English Word	Emotion	Emotion-Intensity-Score	Vietnamese Word
murderous	anger	0.853	giết người
attack	anger	0.853	tấn công
malice	anger	0.852	ác ý
terrorism	anger	0.851	khủng bố
beating	anger	0.849	đánh đập
outrage	anger	0.848	sự phẫn nộ
desecration	anger	0.848	sự mạo phạm
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	phá hủy
slaughter	anger	0.844	sự tàn sát
irate	anger	0.844	giận dữ
violent	anger	0.844	hung bạo
stab	anger	0.844	cú đâm
abomination	anger	0.844	sự ghê tởm
tumultuous	anger	0.844	xôn xao
infuriate	anger	0.844	tức giận
obliterate	anger	0.843	bôi
belligerent	anger	0.841	hiếu chiến
dumbbitch	anger	0.841	ngu ngốc
detest	anger	0.838	ghê tởm
hostilities	anger	0.837	thù địch
prick	anger	0.835	đâm
rampage	anger	0.833	hung hăng
horrid	anger	0.833	kinh khủng
cruelty	anger	0.833	độc ác
torture	anger	0.833	tra tấn
rabid	anger	0.833	dại dột
despicable	anger	0.828	đáng khinh
tyrannical	anger	0.828	chuyên chế
demonic	anger	0.828	ma quỷ
satanic	anger	0.828	satanic
hate	anger	0.828	ghét bỏ
ragemode	anger	0.828	ragemode
hating	anger	0.828	ghét
ruinous	anger	0.825	hư hỏng
condemn	anger	0.825	lên án
riots	anger	0.824	cuộc bạo động
demolish	anger	0.824	phá hủy
angry	anger	0.824	tức giận
extermination	anger	0.824	tiêu diệt
dickhead	anger	0.824	đầu ranh
livid	anger	0.821	tức giận
madman	anger	0.820	người điên
vindictive	anger	0.819	thù hằn
terrorist	anger	0.818	khủng bố
threaten	anger	0.818	hăm dọa
venomous	anger	0.818	có nọc độc
hateyou	anger	0.818	ghét bạn
ferocity	anger	0.818	hung dữ
effyou	anger	0.818	effyou
abhor	anger	0.816	ghê tởm
carnage	anger	0.814	sự tàn sát
savage	anger	0.814	dã man
atrocity	anger	0.814	sự tàn bạo
fucksake	anger	0.812	fucksake
abuse	anger	0.812	lạm dụng
fierce	anger	0.812	hung dữ
destroyer	anger	0.812	kẻ huỷ diệt
angrytweet	anger	0.812	giận dữ
barbaric	anger	0.812	dã man
vendetta	anger	0.812	nhà cung cấp
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	bực mình
tyrant	anger	0.812	bạo chúa
berserk	anger	0.812	khó chịu
fuming	anger	0.812	bốc khói
anger	anger	0.811	Sự phẫn nộ
pieceofshit	anger	0.810	đồ nhảm nhí
punched	anger	0.803	bị đấm
punching	anger	0.803	đấm đá
slam	anger	0.803	sập
homicide	anger	0.803	tội giết người
bitch	anger	0.803	chó cái
fights	anger	0.803	đánh nhau
ruthless	anger	0.797	tàn nhẫn
villainous	anger	0.797	phản diện
destructive	anger	0.797	phá hoại
slap	anger	0.791	cái tát
riot	anger	0.788	bạo loạn
growthefuckup	anger	0.788	growthefuckup
punishing	anger	0.788	trừng phạt
slaughterhouse	anger	0.788	lò mổ
yelling	anger	0.788	la hét
diabolical	anger	0.788	quỷ quyệt
destroyed	anger	0.788	bị phá hủy
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	trả đũa
manslaughter	anger	0.783	ngộ sát
clash	anger	0.783	sự xung đột
quarrel	anger	0.781	cuộc tranh cãi
bloody	anger	0.781	dính máu
hellish	anger	0.781	quái quỷ
sinister	anger	0.781	nham hiểm
loath	anger	0.781	không ưa
detonation	anger	0.781	sự phát nổ
accusing	anger	0.779	buộc tội
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	gian trá
madder	anger	0.773	điên hơn
horrific	anger	0.773	kinh khủng
revulsion	anger	0.773	sự xua đuổi
retaliate	anger	0.773	trả đũa
scorn	anger	0.769	khinh bỉ
bomb	anger	0.766	bom
deplorable	anger	0.766	thương tâm
devastation	anger	0.765	sự tàn phá
anarchist	anger	0.765	người theo chủ nghĩa vô chính phủ
firestorm	anger	0.765	Cơn bão lửa
resent	anger	0.765	bực bội
contemptible	anger	0.764	khinh thường
shittest	anger	0.760	đẹp nhất
rant	anger	0.758	rant
cruel	anger	0.758	tàn ác
deadly	anger	0.758	chết người
smash	anger	0.758	đập vỡ
soangry	anger	0.758	rất tức giận
outburst	anger	0.757	bộc phát
snarl	anger	0.754	tiếng gầm gừ
profane	anger	0.750	Báng bổ
revolting	anger	0.750	nổi loạn
aggravating	anger	0.750	làm trầm trọng thêm
horror	anger	0.750	rùng rợn
despise	anger	0.750	khinh thường
offend	anger	0.750	xúc phạm
stfu	anger	0.750	stfu
vulgarity	anger	0.750	thô tục
crazed	anger	0.750	điên cuồng
douchebags	anger	0.750	túi thụt rửa
growling	anger	0.750	gầm gừ
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	la hét
threat	anger	0.742	mối đe dọa
erupt	anger	0.742	phun trào
horrible	anger	0.742	tệ hại
molestation	anger	0.742	lạm dụng tình dục
fuckedoff	anger	0.742	chết tiệt
violence	anger	0.742	bạo lực
bastards	anger	0.741	lũ khốn
revenge	anger	0.738	sự trả thù
menacing	anger	0.735	đe dọa
crushing	anger	0.735	thầm yêu
damn	anger	0.735	chết tiệt
catastrophe	anger	0.735	Thảm khốc
demon	anger	0.735	con quỷ
argue	anger	0.734	tranh cãi
persecute	anger	0.734	hãm hại
deplore	anger	0.734	sự chán nản
flog	anger	0.734	đánh bông
fedup	anger	0.734	chán
riotous	anger	0.734	náo loạn
vehement	anger	0.734	kịch liệt
revolt	anger	0.734	cuộc nổi dậy
warfare	anger	0.734	chiến tranh
thrash	anger	0.734	thrash
altercation	anger	0.729	sự thay đổi
warlike	anger	0.728	hiếu chiến
shitday	anger	0.727	shitday
mutiny	anger	0.727	binh biến
castrate	anger	0.727	thiến
sabotage	anger	0.727	sự phá hoại
malevolent	anger	0.721	ác tâm
strike	anger	0.721	đánh đập
disaster	anger	0.721	thảm họa
disastrous	anger	0.720	tai hại
bastarding	anger	0.719	khốn nạn
treachery	anger	0.719	phản bội
arseholes	anger	0.719	lỗ đít
horseshit	anger	0.719	chết tiệt
slay	anger	0.719	giết người
disdain	anger	0.719	khinh bỉ
aggravates	anger	0.719	làm trầm trọng thêm
brutal	anger	0.719	tàn bạo
scorching	anger	0.719	thiêu đốt
devil	anger	0.719	ác quỷ
madden	anger	0.719	mê muội
spiteful	anger	0.719	cay nghiệt
scream	anger	0.719	la hét
choke	anger	0.719	nghẹt thở
vermin	anger	0.719	sâu bọ
tumult	anger	0.719	xôn xao
criminal	anger	0.714	tội phạm
mangle	anger	0.714	mangle
anarchism	anger	0.714	chủ nghĩa vô chính phủ
mutilation	anger	0.714	sự cắt xén
denunciation	anger	0.713	tố cáo
punch	anger	0.713	cú đấm
virulence	anger	0.712	độc lực
fatal	anger	0.712	gây tử vong
hurting	anger	0.712	làm tổn thương
crucifixion	anger	0.712	sự đóng đinh
dontlikeyou	anger	0.712	dontlikeyou
blasphemous	anger	0.712	phạm thượng
holocaust	anger	0.712	tàn sát
dumbasses	anger	0.712	ngu ngốc
battled	anger	0.712	chiến đấu
deranged	anger	0.706	loạn trí
irritated	anger	0.706	bị kích thích
atrocious	anger	0.706	gớm ghiếc
evil	anger	0.706	độc ác
aggravated	anger	0.703	trầm trọng hơn
intimidation	anger	0.703	sự đe dọa
dicks	anger	0.703	dicks
assassin	anger	0.703	kẻ ám sát
scolding	anger	0.703	mắng mỏ
persecution	anger	0.703	áp bức
slayer	anger	0.703	kẻ giết người
kidnap	anger	0.703	bắt cóc
aggression	anger	0.702	Hiếu chiến
armed	anger	0.700	vũ trang
battle	anger	0.697	trận đánh
poison	anger	0.697	thuốc độc
snarling	anger	0.697	gầm gừ
venom	anger	0.697	nọc độc
disgruntled	anger	0.693	bất bình
resentment	anger	0.691	phẫn nộ
assailant	anger	0.691	kẻ tấn công
insidious	anger	0.691	xảo quyệt
contemptuous	anger	0.690	khinh thường
lynch	anger	0.690	lynch
temper	anger	0.688	nóng nảy
terrible	anger	0.688	kinh khủng
disparage	anger	0.688	chê bai
lunatic	anger	0.688	người mất trí
bully	anger	0.688	bắt nạt
mad	anger	0.688	điên
makesmemad	anger	0.688	Khiến tôi phát điên
infanticide	anger	0.688	kẻ giết người
domination	anger	0.688	sự thống trị
peeved	anger	0.688	chọc giận
imprisonment	anger	0.688	giam cầm
curse	anger	0.688	nguyền rủa
volatility	anger	0.687	biến động
eradication	anger	0.685	diệt trừ
eradicate	anger	0.682	diệt trừ
tantrum	anger	0.682	cơn giận dữ
scoundrel	anger	0.682	kẻ vô lại
devastate	anger	0.682	tàn phá
aggressively	anger	0.680	tích cực
agitation	anger	0.680	sự kích động
dictatorship	anger	0.676	chế độ độc tài
irritates	anger	0.676	khó chịu
profanity	anger	0.673	lời nói tục tĩu
shove	anger	0.672	xô
nasty	anger	0.672	bẩn thỉu
shot	anger	0.672	bắn
cruelly	anger	0.672	tàn nhẫn
shoot	anger	0.672	bắn
condemnation	anger	0.672	sự lên án
crushed	anger	0.672	nghiền nát
aggravation	anger	0.672	làm trầm trọng thêm
poisonous	anger	0.672	độc
egregious	anger	0.672	nghiêm trọng
crime	anger	0.672	tội ác
corrupting	anger	0.672	làm hỏng
dastardly	anger	0.672	hèn hạ
contempt	anger	0.672	khinh thường
harmful	anger	0.672	có hại
expletive	anger	0.672	dứt khoát
wreak	anger	0.672	làm hỏng
maniac	anger	0.670	người điên
cutthroat	anger	0.667	vết cắt
enemy	anger	0.667	kẻ thù
hit	anger	0.667	đánh
hateeveryone	anger	0.667	ghét tất cả mọi người
eruption	anger	0.667	phun trào
irritable	anger	0.667	dễ cáu bẳn
odious	anger	0.667	ghê tởm
shooting	anger	0.667	chụp
shout	anger	0.667	kêu la
aggressive	anger	0.667	hung dữ
kick	anger	0.667	đá
combat	anger	0.667	chiến đấu
fight	anger	0.667	Đánh nhau
punished	anger	0.662	bị trừng phạt
yell	anger	0.661	la lên
ambush	anger	0.661	phục kích
harass	anger	0.659	quấy rối
malignant	anger	0.656	ác tính
aggressor	anger	0.656	kẻ xâm lược
gore	anger	0.656	máu me
destruction	anger	0.656	sự phá hủy
grudge	anger	0.656	mối hận thù
antichrist	anger	0.656	antichrist
incense	anger	0.656	hương
expel	anger	0.656	trục xuất
cranky	anger	0.653	cáu kỉnh
slave	anger	0.652	nô lệ
reprisal	anger	0.652	sự trả thù
growl	anger	0.652	gầm gừ
animosity	anger	0.652	thù hận
insurrection	anger	0.652	cuộc nổi dậy
clashing	anger	0.652	đụng độ
denounce	anger	0.652	tố cáo
offended	anger	0.652	bị xúc phạm
spank	anger	0.652	đánh đòn
insulting	anger	0.652	xúc phạm
growls	anger	0.649	tiếng gầm gừ
executioner	anger	0.644	đao phủ
twat	anger	0.644	twat
doomsday	anger	0.643	ngày tận thế
obscenity	anger	0.641	tục tĩu
accused	anger	0.641	bị tô cáo
feud	anger	0.641	mối thù hận
daemon	anger	0.641	daemon
havoc	anger	0.641	sự tàn phá
shackle	anger	0.641	cùm
inexcusable	anger	0.641	không thể bào chữa
indignant	anger	0.641	phẫn nộ
grr	anger	0.641	grr
expulsion	anger	0.641	trục xuất
bombard	anger	0.641	bắn phá
spat	anger	0.641	nhổ
arson	anger	0.641	đốt phá
reprimand	anger	0.641	khiển trách
somad	anger	0.637	quá điên
frustrated	anger	0.636	bực bội
batter	anger	0.636	Bột nhồi
kicking	anger	0.636	đá
anarchy	anger	0.636	tình trạng vô chính phủ
spanking	anger	0.636	đánh đòn
glaring	anger	0.636	trừng mắt
suicidal	anger	0.636	tự sát
disgusting	anger	0.636	kinh tởm
wound	anger	0.636	vết thương
hanging	anger	0.636	treo cổ
poisoned	anger	0.636	bị nhiễm độc
combatant	anger	0.636	chiến binh
wrecked	anger	0.633	bị đắm
inflict	anger	0.633	gây thiệt
grievous	anger	0.632	đau buồn
prosecute	anger	0.630	truy tố
agitated	anger	0.630	kích động
cheat	anger	0.630	lừa đảo
swastika	anger	0.627	chữ vạn
injure	anger	0.625	bị thương
indict	anger	0.625	truy tố
scourge	anger	0.625	tai họa
provocation	anger	0.625	sự khiêu khích
suffocation	anger	0.625	sự nghẹt thở
strife	anger	0.625	xung đột
raid	anger	0.625	đột kích
enslaved	anger	0.625	làm nô lệ
cursing	anger	0.625	chửi rủa
defamatory	anger	0.625	nói xấu
harassing	anger	0.625	quấy rối
thundering	anger	0.625	sấm sét
betray	anger	0.625	phản bội
arsehole	anger	0.624	lỗ đít
theft	anger	0.621	trộm cắp
insane	anger	0.621	điên cuồng
retaliation	anger	0.621	sự trả thù
irritate	anger	0.621	kích thích
deprivation	anger	0.621	tước đoạt
fiend	anger	0.621	quái vật
jerk	anger	0.621	cà trớn
convict	anger	0.621	kết tội
cussed	anger	0.619	la hét
turmoil	anger	0.618	hỗn loạn
smack	anger	0.615	đập
retribution	anger	0.614	quả báo
rebellion	anger	0.609	nổi loạn
oppressor	anger	0.609	kẻ áp bức
gang	anger	0.609	băng nhóm
slavery	anger	0.609	chế độ nô lệ
intolerable	anger	0.609	không thể chịu đựng được
adverse	anger	0.609	bất lợi
injurious	anger	0.609	gây thương tích
twats	anger	0.609	đôi giày
collision	anger	0.609	va chạm
battery	anger	0.609	pin
bitterly	anger	0.609	cay đắng
antagonism	anger	0.609	đối kháng
irritability	anger	0.609	cáu gắt
disgraced	anger	0.608	thất sủng
diatribe	anger	0.606	đấu khẩu
asshole	anger	0.606	lỗ đít
blast	anger	0.606	vụ nổ
bombardment	anger	0.606	bắn phá
irks	anger	0.606	irks
ranting	anger	0.606	chạy đua
revolution	anger	0.606	Cuộc cách mạng
thug	anger	0.606	du côn
antagonistic	anger	0.606	đối kháng
irritating	anger	0.606	khó chịu
sickening	anger	0.606	ốm yếu
discrimination	anger	0.606	phân biệt
frustrate	anger	0.604	bực bội
insult	anger	0.603	sự sỉ nhục
hurtful	anger	0.603	đau đớn
oppression	anger	0.603	sự áp bức
manipulation	anger	0.603	Thao tác
tiredofit	anger	0.603	mệt mỏi
bigot	anger	0.603	cố chấp
tension	anger	0.603	căng thẳng
disgust	anger	0.602	ghê tởm
spite	anger	0.600	cay cú
intrusive	anger	0.598	xâm nhập
harshness	anger	0.597	sự khắc nghiệt
slur	anger	0.596	nước lèo
tempest	anger	0.594	bão tố
assail	anger	0.594	tấn công
bitterness	anger	0.594	cay đắng
morbidity	anger	0.594	bệnh tật
casualty	anger	0.594	thương vong
puncture	anger	0.594	đâm thủng
miserable	anger	0.594	khổ sở
inferno	anger	0.594	địa ngục
invasion	anger	0.594	cuộc xâm lăng
storming	anger	0.594	làm mưa làm gió
wretch	anger	0.594	khốn nạn
consternation	anger	0.592	sự mất tinh thần
raving	anger	0.591	say sưa
forcibly	anger	0.591	cưỡng bức
guillotine	anger	0.591	máy chém
guilty	anger	0.591	tội lỗi
depraved	anger	0.591	đồi trụy
immoral	anger	0.591	vô luân
overpowering	anger	0.591	chế ngự
scare	anger	0.588	sự sợ hãi
recalcitrant	anger	0.588	ngoan cố
screwed	anger	0.588	hơi say
accursed	anger	0.588	đáng nguyền rủa
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	kẻ xâm lược
jealousy	anger	0.587	lòng ghen tị
indignation	anger	0.587	sự phẫn nộ
vexed	anger	0.586	bực bội
confront	anger	0.582	đối đầu
brute	anger	0.581	vũ phu
throttle	anger	0.579	ga
slut	anger	0.578	con đĩ
coup	anger	0.578	đảo chính
blaze	anger	0.578	chói lọi
pillage	anger	0.578	cướp bóc
provoking	anger	0.578	khiêu khích
damage	anger	0.578	chấn thương
criminality	anger	0.578	tội ác
shutup	anger	0.578	Câm miệng
lash	anger	0.578	dây da roi
conflict	anger	0.578	xung đột
contentious	anger	0.578	gây tranh cãi
shutit	anger	0.578	tắt nó
wreck	anger	0.578	xác tàu
defiant	anger	0.578	khiêu khích
butcher	anger	0.578	người bán thịt
incarceration	anger	0.578	sự giam giữ
revolver	anger	0.578	súng lục ổ quay
bickering	anger	0.578	cãi nhau
yousuck	anger	0.578	yousuck
cancer	anger	0.577	ung thư
discriminate	anger	0.576	phân biệt
gun	anger	0.576	súng
frustration	anger	0.576	thất vọng
gory	anger	0.576	máu me
pernicious	anger	0.576	ác độc
dontmess	anger	0.576	không có
blasphemy	anger	0.576	phạm thượng
chaotic	anger	0.576	hỗn loạn
grope	anger	0.576	dò dẫm
alienation	anger	0.576	xa lánh
disturbance	anger	0.576	xáo trộn
condescension	anger	0.576	sự trịch thượng
standoff	anger	0.576	bế tắc
discord	anger	0.576	sự bất hòa
friggen	anger	0.575	sợ hãi
sneer	anger	0.574	chế nhạo
death	anger	0.574	cái chết
lunacy	anger	0.574	mất trí nhớ
scandalous	anger	0.574	tai tiếng
oppressive	anger	0.574	áp bức
jab	anger	0.574	đâm vào
cursed	anger	0.574	bị nguyền rủa
monstrosity	anger	0.574	quái dị
shit	anger	0.573	Chết tiệt
disparaging	anger	0.571	chê bai
slash	anger	0.571	gạch chéo
unfair	anger	0.571	không công bằng
gallows	anger	0.570	giá treo cổ
escalate	anger	0.569	leo thang
intolerant	anger	0.564	không khoan dung
lawlessness	anger	0.563	vô luật pháp
beast	anger	0.562	quái thú
torpedo	anger	0.562	ngư lôi
malign	anger	0.562	hung tinh
traitor	anger	0.562	kẻ phản bội
frightful	anger	0.562	ghê sợ
wrangling	anger	0.562	quấn lấy nhau
slander	anger	0.562	vu khống
bellows	anger	0.562	ống thổi
retards	anger	0.562	chậm phát triển
grouchy	anger	0.562	cáu kỉnh
derogatory	anger	0.562	xúc phạm
bearish	anger	0.562	giảm giá
invade	anger	0.562	xâm lược
perdition	anger	0.562	sự diệt vong
arghh	anger	0.562	arghh
dreadful	anger	0.562	ghê gớm
bluddy	anger	0.562	bluddy
deceived	anger	0.562	bị lừa dối
glare	anger	0.562	chói mắt
taunt	anger	0.562	chế nhạo
dissension	anger	0.561	sự chia rẽ
cross	anger	0.561	đi qua
rave	anger	0.561	say sưa
grating	anger	0.561	ghê tai
devastating	anger	0.561	tàn phá
fits	anger	0.561	vừa vặn
jeopardize	anger	0.561	gây nguy hiểm
shatter	anger	0.561	làm vỡ
idiots	anger	0.561	đồ ngốc
hurt	anger	0.561	đau
thief	anger	0.561	kẻ trộm
uncontrollable	anger	0.561	không kiểm soát được
conflagration	anger	0.561	sự thiêu rụi
betrayal	anger	0.561	sự phản bội
banshee	anger	0.561	banshee
subjugation	anger	0.559	sự khuất phục
disturbed	anger	0.559	bị làm phiền
stomped	anger	0.557	dậm chân
grab	anger	0.557	vồ lấy
grievance	anger	0.556	than phiền
ticked	anger	0.556	tích tắc
masochism	anger	0.556	khổ dâm
defiance	anger	0.552	thách thức
blackmail	anger	0.550	tống tiền
offensive	anger	0.549	phản cảm
decry	anger	0.548	chê bai
frustrates	anger	0.547	thất vọng
violation	anger	0.547	sự vi phạm
confine	anger	0.547	giam cầm
misery	anger	0.547	khốn khổ
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	khác biệt
punishment	anger	0.547	sự trừng phạt
rebel	anger	0.547	nổi loạn
preposterous	anger	0.547	vô lý
disgraceful	anger	0.547	hổ thẹn
ire	anger	0.547	tôi là
deceive	anger	0.547	lừa dối
fustrated	anger	0.547	mệt mỏi
sin	anger	0.547	tội
shrill	anger	0.547	chói tai
darkside	anger	0.547	mặt tối
overbearing	anger	0.547	hống hách
firearms	anger	0.547	súng cầm tay
stolen	anger	0.546	ăn cắp
hadenough	anger	0.546	đã có đủ
prejudice	anger	0.545	định kiến
tackle	anger	0.545	giải quyết
resentful	anger	0.545	bực bội
heated	anger	0.545	đun nóng
callous	anger	0.545	nhẫn tâm
conspirator	anger	0.545	kẻ chủ mưu
ruined	anger	0.545	tàn tạ
antagonist	anger	0.545	đối kháng
skirmish	anger	0.545	cuộc giao tranh
menace	anger	0.545	sự đe dọa
annoyin	anger	0.545	làm phiền
foul	anger	0.545	Hôi
argument	anger	0.545	tranh luận
humiliate	anger	0.545	làm nhục
wanker	anger	0.545	wanker
adversary	anger	0.545	đối thủ
sting	anger	0.544	châm chích
entangled	anger	0.544	vướng víu
grumble	anger	0.544	càu nhàu
robbery	anger	0.544	ăn cướp
outcry	anger	0.544	phản đối
resistance	anger	0.543	Sức cản
irreconcilable	anger	0.543	không thể hòa giải
obstructive	anger	0.542	cản trở
dismay	anger	0.540	mất tinh thần
mob	anger	0.538	đám đông
juststop	anger	0.537	juststop
badness	anger	0.536	tính xấu
ridicule	anger	0.534	chế giễu
incendiary	anger	0.533	gây cháy
flares	anger	0.532	pháo sáng
twofaced	anger	0.531	hai mặt
reckless	anger	0.531	liều lĩnh
communism	anger	0.531	chủ nghĩa cộng sản
allegation	anger	0.531	sự cáo buộc
prejudicial	anger	0.531	thành kiến
whip	anger	0.531	roi da
unbridled	anger	0.531	không kiềm chế
degeneracy	anger	0.531	thoái hóa
intruder	anger	0.531	kẻ xâm nhập
belittle	anger	0.531	chê
confinement	anger	0.531	giam cầm
dispute	anger	0.531	tranh chấp
exacerbation	anger	0.531	cơn trầm trọng
uprising	anger	0.531	cuộc nổi dậy
unjust	anger	0.530	oan uổng
unjustifiable	anger	0.530	không chính đáng
perversion	anger	0.530	sự đồi bại
bigoted	anger	0.530	cố chấp
fiesty	anger	0.530	uy nghiêm
offender	anger	0.530	người phạm tội
dictatorial	anger	0.530	độc tài
hassle	anger	0.530	rắc rối
dissonance	anger	0.530	sự bất hòa
tackled	anger	0.530	giải quyết
renegade	anger	0.529	phản bội
cantstandit	anger	0.529	can đảm
trespass	anger	0.529	xâm phạm
hot	anger	0.529	nóng
prison	anger	0.529	tù giam
suicide	anger	0.521	tự sát
annoy	anger	0.520	làm trái ý
leavemealone	anger	0.517	để tôi yên
cretins	anger	0.516	cretins
depravity	anger	0.516	sa đọa
idiotic	anger	0.516	ngu ngốc
dishonest	anger	0.516	Không trung thực
distrust	anger	0.516	không tin tưởng
broil	anger	0.516	giấy bạc
grrr	anger	0.516	grrr
criticize	anger	0.516	chỉ trích
inimical	anger	0.516	phi thường
tortious	anger	0.516	hảo hạng
prisoner	anger	0.516	Tù nhân
treason	anger	0.516	phản quốc
divorce	anger	0.516	ly hôn
venting	anger	0.516	trút giận
duress	anger	0.516	cương bưc
disrespectful	anger	0.516	không tôn trọng
poaching	anger	0.515	săn trộm
scold	anger	0.515	mắng mỏ
poachers	anger	0.515	những kẻ săn trộm
pow	anger	0.515	pow
hangry	anger	0.515	nôn nao
argumentation	anger	0.515	tranh luận
frustrating	anger	0.515	làm nản lòng
unkind	anger	0.515	không ngoan
roar	anger	0.515	Gầm
coercion	anger	0.515	sự ép buộc
unforgiving	anger	0.515	không tha thứ
grump	anger	0.515	càu nhàu
bile	anger	0.515	mật
unleash	anger	0.515	giải phóng
chaos	anger	0.515	sự hỗn loạn
victimized	anger	0.515	nạn nhân
jerks	anger	0.515	giật
tussle	anger	0.514	lộn xộn
bane	anger	0.511	tai ương
accusation	anger	0.510	lời buộc tội
enmity	anger	0.510	thù hận
repudiation	anger	0.510	sự thoái thác
banish	anger	0.509	đày ải
disfigured	anger	0.508	biến dạng
storm	anger	0.507	bão táp
crazy	anger	0.500	khùng
hammering	anger	0.500	búa đập
defy	anger	0.500	thách thức
antithesis	anger	0.500	phản đề
scoff	anger	0.500	chế giễu
anguish	anger	0.500	đau khổ
confined	anger	0.500	hạn chế
fear	anger	0.500	nỗi sợ
bout	anger	0.500	cơn
unruly	anger	0.500	ngỗ nghịch
delusional	anger	0.500	ảo tưởng
obstruct	anger	0.500	cản trở
possessed	anger	0.500	sở hữu
injustice	anger	0.500	sự bất công
fervor	anger	0.500	nhiệt thành
spear	anger	0.500	thương
derision	anger	0.500	chế nhạo
intractable	anger	0.500	khó chữa
reject	anger	0.500	Từ chối
dominate	anger	0.500	thống trị
ordeal	anger	0.500	thử thách
banished	anger	0.500	trục xuất
rejects	anger	0.500	từ chối
shun	anger	0.500	xa lánh
brunt	anger	0.500	ngăm đen
derogation	anger	0.500	sự phủ định
frenzied	anger	0.500	điên cuồng
animus	anger	0.500	động vật
suppression	anger	0.500	sự đàn áp
malpractice	anger	0.500	sơ suất
brazen	anger	0.500	trơ trẽn
foaming	anger	0.500	tạo bọt
disrupting	anger	0.500	làm gián đoạn
nobodycares	anger	0.500	không ai quan tâm
patronising	anger	0.500	bảo trợ
getoveryourself	anger	0.495	vượt qua chính mình
toughness	anger	0.492	sự dẻo dai
stupidpeople	anger	0.492	những người ngu ngốc
madness	anger	0.491	điên cuồng
sinful	anger	0.491	tội lỗi
avarice	anger	0.490	hám lợi
oppress	anger	0.490	đàn áp
cutting	anger	0.485	cắt
anathema	anger	0.485	anathema
annoyed	anger	0.485	bực mình
dissident	anger	0.485	bất đồng chính kiến
demand	anger	0.485	yêu cầu
usurp	anger	0.485	chiếm đoạt
claw	anger	0.485	móng vuốt
alienate	anger	0.485	xa lánh
infraction	anger	0.485	sự vi phạm
avenger	anger	0.485	người báo thù
revoke	anger	0.485	thu hồi
smuggler	anger	0.485	người buôn lậu
abolish	anger	0.485	bỏ
fricking	anger	0.485	cọ xát
stayaway	anger	0.485	ở lại
pervert	anger	0.485	kẻ biến thái
disservice	anger	0.485	làm trái ý
disobedient	anger	0.485	không vâng lời
incest	anger	0.485	loạn luân
complaint	anger	0.485	lời phàn nàn
disapproved	anger	0.485	không chấp thuận
inhuman	anger	0.485	vô nhân đạo
