English Word	Emotion	Emotion-Intensity-Score	Basque Word
treachery	anger	0.719	traizioa
arseholes	anger	0.719	ipurdiak
horseshit	anger	0.719	zaldi kaka
slay	anger	0.719	hil
disdain	anger	0.719	mespretxua
aggravates	anger	0.719	areagotu egiten du
brutal	anger	0.719	basatiak
scorching	anger	0.719	kiskarra
devil	anger	0.719	deabrua
madden	anger	0.719	erotu
spiteful	anger	0.719	maltzurra
scream	anger	0.719	garrasi egin
choke	anger	0.719	ito
vermin	anger	0.719	bitxiak
tumult	anger	0.719	zalaparta
criminal	anger	0.714	kriminal
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkismoa
mutilation	anger	0.714	mutilazioa
denunciation	anger	0.713	salaketa
punch	anger	0.713	zulatu
virulence	anger	0.712	birulentzia
fatal	anger	0.712	hilgarria
hurting	anger	0.712	minduta
crucifixion	anger	0.712	gurutziltzatzea
dontlikeyou	anger	0.712	ez zaitut gustatzen
blasphemous	anger	0.712	blasfemo
holocaust	anger	0.712	holokaustoa
dumbasses	anger	0.712	tontoak
battled	anger	0.712	borrokatua
deranged	anger	0.706	desorekatua
irritated	anger	0.706	suminduta
atrocious	anger	0.706	ikaragarria
evil	anger	0.706	gaiztoa
aggravated	anger	0.703	larriagotu
intimidation	anger	0.703	larderia
dicks	anger	0.703	zakarrak
assassin	anger	0.703	hiltzailea
scolding	anger	0.703	errieta
persecution	anger	0.703	jazarpena
slayer	anger	0.703	hiltzailea
kidnap	anger	0.703	bahitu
aggression	anger	0.702	oldarkortasuna
armed	anger	0.700	armatua
battle	anger	0.697	gudua
poison	anger	0.697	pozoia
snarling	anger	0.697	garrasika
venom	anger	0.697	pozoia
disgruntled	anger	0.693	atsekabetuta
resentment	anger	0.691	erresumina
assailant	anger	0.691	erasotzailea
insidious	anger	0.691	maltzurra
contemptuous	anger	0.690	mespretxuzkoa
lynch	anger	0.690	lintxa
temper	anger	0.688	tenplea
terrible	anger	0.688	izugarria
disparage	anger	0.688	gutxiesten
lunatic	anger	0.688	zoro
bully	anger	0.688	jazarlea
mad	anger	0.688	erotu
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	infantizidioa
domination	anger	0.688	menderakuntza
peeved	anger	0.688	haserretu
imprisonment	anger	0.688	espetxeratzea
curse	anger	0.688	madarikatu
volatility	anger	0.687	hegazkortasuna
eradication	anger	0.685	desagerraraztea
eradicate	anger	0.682	desagerrarazi
tantrum	anger	0.682	haserre
scoundrel	anger	0.682	zitala
devastate	anger	0.682	suntsitu
aggressively	anger	0.680	oldarkorki
agitation	anger	0.680	asaldura
dictatorship	anger	0.676	diktadura
irritates	anger	0.676	sumintzen
profanity	anger	0.673	blaskeria
shove	anger	0.672	bulkatu
nasty	anger	0.672	gaiztoa
shot	anger	0.672	jaurtiketa
cruelly	anger	0.672	krudelki
shoot	anger	0.672	tiro egin
condemnation	anger	0.672	gaitzespena
crushed	anger	0.672	birrinduta
aggravation	anger	0.672	larritasuna
poisonous	anger	0.672	pozoitsu
egregious	anger	0.672	ikaragarria
crime	anger	0.672	delitua
corrupting	anger	0.672	usteltzen
dastardly	anger	0.672	zitala
contempt	anger	0.672	mespretxua
harmful	anger	0.672	kaltegarria
expletive	anger	0.672	iraingarria
wreak	anger	0.672	apurtu
maniac	anger	0.670	maniakoa
cutthroat	anger	0.667	moztu
enemy	anger	0.667	etsaia
hit	anger	0.667	jo
hateeveryone	anger	0.667	denei gorroto
eruption	anger	0.667	erupzioa
irritable	anger	0.667	haserregarria
odious	anger	0.667	higuingarria
shooting	anger	0.667	tiroka
shout	anger	0.667	oihu egin
aggressive	anger	0.667	oldarkorra
kick	anger	0.667	ostikoa
combat	anger	0.667	borroka
fight	anger	0.667	borrokatu
punished	anger	0.662	zigortu
yell	anger	0.661	garrasi
ambush	anger	0.661	segada
harass	anger	0.659	jazarri
malignant	anger	0.656	gaiztoa
aggressor	anger	0.656	erasotzailea
gore	anger	0.656	gore
destruction	anger	0.656	suntsipena
grudge	anger	0.656	haserre
antichrist	anger	0.656	antikristo
incense	anger	0.656	intsentsua
expel	anger	0.656	kanporatu
cranky	anger	0.653	garratza
slave	anger	0.652	esklabo
reprisal	anger	0.652	errepresalia
growl	anger	0.652	garrasi
animosity	anger	0.652	etsaitasuna
insurrection	anger	0.652	matxinada
clashing	anger	0.652	talka egiten
denounce	anger	0.652	salatu
offended	anger	0.652	minduta
spank	anger	0.652	zartada
insulting	anger	0.652	iraingarria
growls	anger	0.649	burrunbaka
executioner	anger	0.644	borrero
twat	anger	0.644	txora
doomsday	anger	0.643	azken eguna
obscenity	anger	0.641	lizunkeria
accused	anger	0.641	salatua
feud	anger	0.641	feudo
daemon	anger	0.641	deabru
havoc	anger	0.641	hondamendia
shackle	anger	0.641	giltza
inexcusable	anger	0.641	barkaezina
indignant	anger	0.641	haserretu
grr	anger	0.641	grr
expulsion	anger	0.641	kanporatzea
bombard	anger	0.641	bonbardatu
spat	anger	0.641	tutu
arson	anger	0.641	piztea
reprimand	anger	0.641	errieta
somad	anger	0.637	somad
frustrated	anger	0.636	zapuztuta
batter	anger	0.636	arrautza
kicking	anger	0.636	ostikoka
anarchy	anger	0.636	anarkia
spanking	anger	0.636	zartada
glaring	anger	0.636	distiratsua
suicidal	anger	0.636	suizida
disgusting	anger	0.636	nazkagarria
wound	anger	0.636	zauria
hanging	anger	0.636	zintzilik
poisoned	anger	0.636	pozoitua
combatant	anger	0.636	borrokalaria
wrecked	anger	0.633	hondatua
inflict	anger	0.633	eragin
grievous	anger	0.632	mingarria
prosecute	anger	0.630	epaitu
agitated	anger	0.630	asaldatuta
cheat	anger	0.630	iruzurra
swastika	anger	0.627	esvastika
injure	anger	0.625	zauritu
indict	anger	0.625	inputatu
scourge	anger	0.625	azota
provocation	anger	0.625	probokazioa
suffocation	anger	0.625	itotzea
strife	anger	0.625	liskar
raid	anger	0.625	raid
enslaved	anger	0.625	esklabo
cursing	anger	0.625	madarikatuz
defamatory	anger	0.625	difamatorioa
harassing	anger	0.625	jazarpena
thundering	anger	0.625	trumoiak
betray	anger	0.625	saldu
arsehole	anger	0.624	ipurdia
theft	anger	0.621	lapurreta
insane	anger	0.621	eroa
retaliation	anger	0.621	mendekua
irritate	anger	0.621	haserretu
deprivation	anger	0.621	gabezia
fiend	anger	0.621	demonio
jerk	anger	0.621	txorrota
convict	anger	0.621	kondenatu
cussed	anger	0.619	madarikatu
turmoil	anger	0.618	zalaparta
smack	anger	0.615	zaparrada
retribution	anger	0.614	ordaina
rebellion	anger	0.609	matxinada
oppressor	anger	0.609	zapaltzailea
gang	anger	0.609	koadrila
slavery	anger	0.609	esklabotza
intolerable	anger	0.609	jasangaitza
adverse	anger	0.609	kontrakoa
injurious	anger	0.609	kaltegarria
twats	anger	0.609	txorak
collision	anger	0.609	talka
battery	anger	0.609	bateria
bitterly	anger	0.609	mingotsez
antagonism	anger	0.609	antagonismoa
irritability	anger	0.609	suminkortasuna
disgraced	anger	0.608	lotsatuta
diatribe	anger	0.606	diatriba
asshole	anger	0.606	ipurdia
blast	anger	0.606	eztanda
bombardment	anger	0.606	bonbardaketa
irks	anger	0.606	irak
ranting	anger	0.606	txaloka
revolution	anger	0.606	iraultza
thug	anger	0.606	matxura
antagonistic	anger	0.606	antagonista
irritating	anger	0.606	sumingarria
sickening	anger	0.606	gaiztoa
discrimination	anger	0.606	diskriminazioa
frustrate	anger	0.604	zapuztu
insult	anger	0.603	iraina
hurtful	anger	0.603	mingarria
oppression	anger	0.603	zapalkuntza
manipulation	anger	0.603	manipulazioa
tiredofit	anger	0.603	nekatuadafit
bigot	anger	0.603	potoloa
tension	anger	0.603	tentsioa
disgust	anger	0.602	nazka
spite	anger	0.600	arren
intrusive	anger	0.598	intrusiboa
harshness	anger	0.597	gogortasuna
slur	anger	0.596	irinkeria
tempest	anger	0.594	ekaitza
assail	anger	0.594	eraso
bitterness	anger	0.594	mingostasuna
morbidity	anger	0.594	erikortasuna
casualty	anger	0.594	biktima
puncture	anger	0.594	zulatu
miserable	anger	0.594	miserable
inferno	anger	0.594	infernua
invasion	anger	0.594	inbasioa
storming	anger	0.594	ekaitza
wretch	anger	0.594	dohakabea
consternation	anger	0.592	harridura
raving	anger	0.591	txundituta
forcibly	anger	0.591	bortxaz
guillotine	anger	0.591	gillotina
guilty	anger	0.591	errudun
depraved	anger	0.591	deprabatua
immoral	anger	0.591	inmorala
overpowering	anger	0.591	gailendu
scare	anger	0.588	ikaratu
recalcitrant	anger	0.588	errezitratzailea
screwed	anger	0.588	izorratu
accursed	anger	0.588	madarikatua
soannoyed	anger	0.588	haserretu
invader	anger	0.588	inbaditzaile
jealousy	anger	0.587	jelosia
indignation	anger	0.587	sumindura
vexed	anger	0.586	haserretu
confront	anger	0.582	aurre egin
brute	anger	0.581	gordina
throttle	anger	0.579	giltzada
slut	anger	0.578	puta
coup	anger	0.578	kolpea
blaze	anger	0.578	sutan
pillage	anger	0.578	lapurreta
provoking	anger	0.578	probokatuz
damage	anger	0.578	kalteak
criminality	anger	0.578	kriminaltasuna
shutup	anger	0.578	isildu
lash	anger	0.578	astindu
conflict	anger	0.578	gatazka
contentious	anger	0.578	gatazkatsua
shutit	anger	0.578	ixildu
wreck	anger	0.578	hondamendia
defiant	anger	0.578	desafiatzaile
butcher	anger	0.578	harakina
incarceration	anger	0.578	espetxeratzea
revolver	anger	0.578	errebolberra
bickering	anger	0.578	liskarra
yousuck	anger	0.578	zuek
cancer	anger	0.577	minbizia
discriminate	anger	0.576	diskriminatu
gun	anger	0.576	pistola
frustration	anger	0.576	frustrazioa
gory	anger	0.576	goria
pernicious	anger	0.576	kaltegarri
dontmess	anger	0.576	ez nahastu
blasphemy	anger	0.576	blasfemia
chaotic	anger	0.576	kaotikoa
grope	anger	0.576	haztapatu
alienation	anger	0.576	alienazioa
disturbance	anger	0.576	asaldura
condescension	anger	0.576	adeitasuna
standoff	anger	0.576	geldialdia
discord	anger	0.576	desadostasuna
friggen	anger	0.575	friggen
sneer	anger	0.574	iseka
death	anger	0.574	heriotza
lunacy	anger	0.574	erokeria
scandalous	anger	0.574	eskandalagarria
oppressive	anger	0.574	zapaltzailea
jab	anger	0.574	jab
cursed	anger	0.574	madarikatua
monstrosity	anger	0.574	munstrokeria
shit	anger	0.573	kaka
disparaging	anger	0.571	gutxiesgarria
slash	anger	0.571	barra-barra
unfair	anger	0.571	bidegabea
gallows	anger	0.570	urkamendia
escalate	anger	0.569	areagotu
intolerant	anger	0.564	intolerantea
lawlessness	anger	0.563	legegabekeria
beast	anger	0.562	piztia
torpedo	anger	0.562	torpedoa
malign	anger	0.562	gaiztoa
traitor	anger	0.562	traidore
frightful	anger	0.562	beldurgarria
wrangling	anger	0.562	liskarra
slander	anger	0.562	kalumnia
bellows	anger	0.562	hauspoa
retards	anger	0.562	atzeratuak
grouchy	anger	0.562	makurtu
derogatory	anger	0.562	gutxiesgarria
bearish	anger	0.562	bearish
invade	anger	0.562	inbaditu
perdition	anger	0.562	galtzea
arghh	anger	0.562	arghh
dreadful	anger	0.562	ikaragarria
bluddy	anger	0.562	gorritxo
deceived	anger	0.562	engainatua
glare	anger	0.562	distira
taunt	anger	0.562	burla
dissension	anger	0.561	disidentzia
cross	anger	0.561	gurutzea
rave	anger	0.561	arrapatu
grating	anger	0.561	sarekada
devastating	anger	0.561	suntsitzailea
fits	anger	0.561	egokitzen
jeopardize	anger	0.561	arriskuan jarri
shatter	anger	0.561	apurtu
idiots	anger	0.561	ergelak
hurt	anger	0.561	mindu
thief	anger	0.561	lapurra
uncontrollable	anger	0.561	kontrolaezina
conflagration	anger	0.561	konflagrazioa
betrayal	anger	0.561	traizioa
banshee	anger	0.561	banshee
subjugation	anger	0.559	menderatzea
disturbed	anger	0.559	asaldatu
stomped	anger	0.557	zapaldu
grab	anger	0.557	hartu
grievance	anger	0.556	kexa
ticked	anger	0.556	markatuta
masochism	anger	0.556	masokismoa
defiance	anger	0.552	desafioa
blackmail	anger	0.550	xantaia
offensive	anger	0.549	iraingarria
decry	anger	0.548	gaitzetsi
frustrates	anger	0.547	zapuztu egiten du
violation	anger	0.547	urraketa
confine	anger	0.547	mugatu
misery	anger	0.547	miseria
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	desberdintasuna
punishment	anger	0.547	zigorra
rebel	anger	0.547	matxinatu
preposterous	anger	0.547	absurdoa
disgraceful	anger	0.547	lotsagarri
ire	anger	0.547	ire
deceive	anger	0.547	engainatu
fustrated	anger	0.547	fustratua
sin	anger	0.547	bekatua
shrill	anger	0.547	garratza
darkside	anger	0.547	alde iluna
overbearing	anger	0.547	soberan
firearms	anger	0.547	su-armak
stolen	anger	0.546	lapurtu
hadenough	anger	0.546	nahikoa
prejudice	anger	0.545	aurreiritziak
tackle	anger	0.545	aurre egin
resentful	anger	0.545	haserretu
heated	anger	0.545	berotu
callous	anger	0.545	kaskarra
conspirator	anger	0.545	konspiratzaile
ruined	anger	0.545	hondatuta
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	liskarra
menace	anger	0.545	mehatxua
annoyin	anger	0.545	gogaitu
foul	anger	0.545	nazka
argument	anger	0.545	argumentua
humiliate	anger	0.545	umiliatu
wanker	anger	0.545	zurrunbilo
adversary	anger	0.545	aurkari
sting	anger	0.544	eztena
entangled	anger	0.544	korapilatuta
grumble	anger	0.544	marmar
robbery	anger	0.544	lapurreta
outcry	anger	0.544	oihu
resistance	anger	0.543	erresistentzia
irreconcilable	anger	0.543	bateraezina
obstructive	anger	0.542	oztopatzailea
dismay	anger	0.540	atsekabea
mob	anger	0.538	mafia
juststop	anger	0.537	besterik gabe gelditu
badness	anger	0.536	gaiztakeria
ridicule	anger	0.534	iseka
incendiary	anger	0.533	suzkor
flares	anger	0.532	bengalak
twofaced	anger	0.531	bi aurpegi
reckless	anger	0.531	arduragabea
communism	anger	0.531	komunismoa
allegation	anger	0.531	alegazioa
prejudicial	anger	0.531	kaltegarri
whip	anger	0.531	azota
unbridled	anger	0.531	neurrigabea
degeneracy	anger	0.531	endekapena
intruder	anger	0.531	intrusoa
belittle	anger	0.531	gutxietsi
confinement	anger	0.531	konfinamendua
dispute	anger	0.531	auzia
exacerbation	anger	0.531	areagotzea
uprising	anger	0.531	altxamendua
unjust	anger	0.530	bidegabea
unjustifiable	anger	0.530	justifikaezina
perversion	anger	0.530	perbertsioa
bigoted	anger	0.530	potoloa
fiesty	anger	0.530	sutsu
offender	anger	0.530	delitugilea
dictatorial	anger	0.530	diktatoriala
hassle	anger	0.530	traba
dissonance	anger	0.530	disonantzia
tackled	anger	0.530	aurre egin
renegade	anger	0.529	errenegatua
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	iruzurra
hot	anger	0.529	beroa
prison	anger	0.529	kartzela
suicide	anger	0.521	suizidioa
annoy	anger	0.520	gogaitu
leavemealone	anger	0.517	utzi nazazu bakarrik
cretins	anger	0.516	kretinoak
depravity	anger	0.516	depravation
idiotic	anger	0.516	idiota
dishonest	anger	0.516	petrala
distrust	anger	0.516	mesfidantza
broil	anger	0.516	errea
grrr	anger	0.516	grrr
criticize	anger	0.516	kritikatu
inimical	anger	0.516	etsai
tortious	anger	0.516	tortious
prisoner	anger	0.516	preso
treason	anger	0.516	traizioa
divorce	anger	0.516	dibortzioa
venting	anger	0.516	aireztatzea
duress	anger	0.516	estutasuna
disrespectful	anger	0.516	errespetu falta
poaching	anger	0.515	ekusketa
scold	anger	0.515	errieta
poachers	anger	0.515	ehiztariak
pow	anger	0.515	pow
hangry	anger	0.515	gosetuta
argumentation	anger	0.515	argudioa
frustrating	anger	0.515	frustragarria
unkind	anger	0.515	adeigabea
roar	anger	0.515	orroa
coercion	anger	0.515	hertsadura
unforgiving	anger	0.515	barkaezina
grump	anger	0.515	mamuka
bile	anger	0.515	behazun
unleash	anger	0.515	askatu
chaos	anger	0.515	kaosa
victimized	anger	0.515	biktimizatuta
jerks	anger	0.515	jerkak
tussle	anger	0.514	liskar
bane	anger	0.511	zoritxarra
accusation	anger	0.510	salaketa
enmity	anger	0.510	etsai
repudiation	anger	0.510	arbuioa
banish	anger	0.509	erbesteratu
disfigured	anger	0.508	itxuragabetua
storm	anger	0.507	ekaitza
crazy	anger	0.500	zoro
hammering	anger	0.500	mailuka
defy	anger	0.500	desafiatu
antithesis	anger	0.500	antitesia
scoff	anger	0.500	iseka
anguish	anger	0.500	larritasuna
confined	anger	0.500	mugatuta
fear	anger	0.500	beldurra
bout	anger	0.500	bouta
unruly	anger	0.500	intsumisoak
delusional	anger	0.500	eldarniozkoa
obstruct	anger	0.500	oztopatu
possessed	anger	0.500	jabetu
injustice	anger	0.500	injustizia
fervor	anger	0.500	sutsutasuna
spear	anger	0.500	lantza
derision	anger	0.500	iseka
intractable	anger	0.500	konponezinak
reject	anger	0.500	baztertu
dominate	anger	0.500	menderatu
ordeal	anger	0.500	kalbarioa
banished	anger	0.500	erbesteratu
rejects	anger	0.500	baztertzen
shun	anger	0.500	baztertu
brunt	anger	0.500	gogor
derogation	anger	0.500	salbuespena
frenzied	anger	0.500	amorratuta
animus	anger	0.500	animoso
suppression	anger	0.500	zapalkuntza
malpractice	anger	0.500	praktika okerra
brazen	anger	0.500	lotsagabea
foaming	anger	0.500	aparra
disrupting	anger	0.500	eten egiten
nobodycares	anger	0.500	inori ez zaio axola
patronising	anger	0.500	babesle
getoveryourself	anger	0.495	lortuzure burua
toughness	anger	0.492	gogortasuna
stupidpeople	anger	0.492	ergelak
madness	anger	0.491	eromena
sinful	anger	0.491	bekatari
avarice	anger	0.490	zitalkeria
oppress	anger	0.490	zapaldu
cutting	anger	0.485	ebaketa
anathema	anger	0.485	anatema
annoyed	anger	0.485	gogaituta
dissident	anger	0.485	disidentea
demand	anger	0.485	eskaria
usurp	anger	0.485	usurpatu
claw	anger	0.485	atzaparra
alienate	anger	0.485	alienatu
infraction	anger	0.485	arau-haustea
avenger	anger	0.485	mendekatzailea
revoke	anger	0.485	indargabetu
smuggler	anger	0.485	kontrabandista
abolish	anger	0.485	deuseztatu
fricking	anger	0.485	fricking
stayaway	anger	0.485	aldendu
pervert	anger	0.485	perbertsoa
disservice	anger	0.485	desegokia
disobedient	anger	0.485	desobediente
incest	anger	0.485	intzestua
complaint	anger	0.485	kexa
disapproved	anger	0.485	gaitzetsi
inhuman	anger	0.485	gizagabea
mocking	anger	0.484	iseka
penalty	anger	0.484	zigorra
renounce	anger	0.484	uko egin
restrain	anger	0.484	eutsi
upheaval	anger	0.484	gorabehera
deceit	anger	0.484	iruzurra
obnoxious	anger	0.484	nazkagarria
imprisoned	anger	0.484	espetxeratua
strained	anger	0.484	tenkatu
blame	anger	0.484	errua
oust	anger	0.484	bota
litigious	anger	0.484	auzibidezkoak
rivalry	anger	0.484	norgehiagoka
sucker	anger	0.484	xurgatzailea
opposed	anger	0.484	aurka
thresh	anger	0.484	araztu
disgrace	anger	0.484	lotsagarri
suspicious	anger	0.484	susmagarria
turbulence	anger	0.483	turbulentzia
pound	anger	0.481	libra
coldness	anger	0.477	hoztasuna
ungrateful	anger	0.472	eskergabea
stoopid	anger	0.471	makurtu
battalion	anger	0.471	batailoia
feudalism	anger	0.470	feudalismoa
hostage	anger	0.470	bahitu
annoying	anger	0.470	gogaikarria
dispossessed	anger	0.470	desjabetu
subversion	anger	0.470	subertsioa
friction	anger	0.470	marruskadura
jealous	anger	0.470	jeloskor
adversity	anger	0.470	ezbeharra
infidel	anger	0.470	infidel
gall	anger	0.470	erkametza
accuser	anger	0.470	salatzailea
ram	anger	0.470	RAM
armament	anger	0.470	armamentua
thump	anger	0.469	kolpeka
dislike	anger	0.469	ez gustatzen
steal	anger	0.469	lapurtu
backoff	anger	0.469	atzera egin
stifled	anger	0.469	itota
incite	anger	0.469	bultzatu
distress	anger	0.469	atsekabea
