English Word	Emotion	Emotion-Intensity-Score	Corsican Word
makesmemad	anger	0.688	face memad
infanticide	anger	0.688	infanticidiu
domination	anger	0.688	duminazione
peeved	anger	0.688	arrabbiatu
imprisonment	anger	0.688	prigiò
curse	anger	0.688	maledizzione
volatility	anger	0.687	volatilità
eradication	anger	0.685	eradicazione
eradicate	anger	0.682	sradicà
tantrum	anger	0.682	capriccio
scoundrel	anger	0.682	canaglia
devastate	anger	0.682	devastà
aggressively	anger	0.680	aggressivamente
agitation	anger	0.680	agitazione
dictatorship	anger	0.676	dittatura
irritates	anger	0.676	irrita
profanity	anger	0.673	profanità
shove	anger	0.672	spinta
nasty	anger	0.672	bruttu
shot	anger	0.672	sparatu
cruelly	anger	0.672	crudelmente
shoot	anger	0.672	sparà
condemnation	anger	0.672	cundanna
crushed	anger	0.672	schiacciatu
aggravation	anger	0.672	aggravazione
poisonous	anger	0.672	velenosa
egregious	anger	0.672	flagrante
crime	anger	0.672	crimine
corrupting	anger	0.672	corrupting
dastardly	anger	0.672	disgraziatu
contempt	anger	0.672	disprezzu
harmful	anger	0.672	dannosu
expletive	anger	0.672	sprezzante
wreak	anger	0.672	scuzzulate
maniac	anger	0.670	maniacu
cutthroat	anger	0.667	tagliuzzatu
enemy	anger	0.667	nemicu
hit	anger	0.667	culpisce
hateeveryone	anger	0.667	odià tutti
eruption	anger	0.667	eruzzione
irritable	anger	0.667	irritable
odious	anger	0.667	odiosa
shooting	anger	0.667	sparà
shout	anger	0.667	gridà
aggressive	anger	0.667	aggressivu
kick	anger	0.667	calci
combat	anger	0.667	cumbattimentu
fight	anger	0.667	lotta
punished	anger	0.662	punitu
yell	anger	0.661	urla
ambush	anger	0.661	imboscata
harass	anger	0.659	fastidiu
malignant	anger	0.656	malignu
aggressor	anger	0.656	aggressore
gore	anger	0.656	gore
destruction	anger	0.656	distruzzione
grudge	anger	0.656	rancore
antichrist	anger	0.656	anticristu
incense	anger	0.656	incensu
expel	anger	0.656	caccià
cranky	anger	0.653	cranky
slave	anger	0.652	schiavu
reprisal	anger	0.652	ripresali
growl	anger	0.652	ringhi
animosity	anger	0.652	animosità
insurrection	anger	0.652	insurrezzione
clashing	anger	0.652	scontru
denounce	anger	0.652	denunzià
offended	anger	0.652	offesu
spank	anger	0.652	sculacciata
insulting	anger	0.652	insultante
growls	anger	0.649	ringhi
executioner	anger	0.644	boia
twat	anger	0.644	sciacca
doomsday	anger	0.643	ghjudiziu
obscenity	anger	0.641	oscenità
accused	anger	0.641	accusatu
feud	anger	0.641	feuda
daemon	anger	0.641	demone
havoc	anger	0.641	cavu
shackle	anger	0.641	catene
inexcusable	anger	0.641	inscusable
indignant	anger	0.641	indignatu
grr	anger	0.641	grr
expulsion	anger	0.641	espulsione
bombard	anger	0.641	bombarde
spat	anger	0.641	sputò
arson	anger	0.641	incendiu
reprimand	anger	0.641	rimproveru
somad	anger	0.637	somad
frustrated	anger	0.636	frustratu
batter	anger	0.636	pastella
kicking	anger	0.636	calci
anarchy	anger	0.636	anarchia
spanking	anger	0.636	sculacciata
glaring	anger	0.636	glaring
suicidal	anger	0.636	suicida
disgusting	anger	0.636	disgustante
wound	anger	0.636	ferita
hanging	anger	0.636	impiccatu
poisoned	anger	0.636	avvelenatu
combatant	anger	0.636	combattant
wrecked	anger	0.633	distruttu
inflict	anger	0.633	inflittu
grievous	anger	0.632	dulore
prosecute	anger	0.630	perseguite
agitated	anger	0.630	agitatu
cheat	anger	0.630	ingannà
swastika	anger	0.627	svastica
injure	anger	0.625	ferite
indict	anger	0.625	accusà
scourge	anger	0.625	flagellu
provocation	anger	0.625	pruvucazione
suffocation	anger	0.625	suffocation
strife	anger	0.625	lite
raid	anger	0.625	raid
enslaved	anger	0.625	schiavitù
cursing	anger	0.625	maledicà
defamatory	anger	0.625	difamatori
harassing	anger	0.625	fastidiu
thundering	anger	0.625	tronu
betray	anger	0.625	tradisce
arsehole	anger	0.624	culo
theft	anger	0.621	furtu
insane	anger	0.621	pazzi
retaliation	anger	0.621	ripresa
irritate	anger	0.621	irritate
deprivation	anger	0.621	privazione
fiend	anger	0.621	diabolicu
jerk	anger	0.621	schernu
convict	anger	0.621	cundannatu
cussed	anger	0.619	cussed
turmoil	anger	0.618	turbulenza
smack	anger	0.615	smack
retribution	anger	0.614	retribuzione
rebellion	anger	0.609	ribellione
oppressor	anger	0.609	oppressore
gang	anger	0.609	gang
slavery	anger	0.609	schiavitù
intolerable	anger	0.609	intollerabile
adverse	anger	0.609	avversu
injurious	anger	0.609	inghjustu
twats	anger	0.609	chjappi
collision	anger	0.609	collisione
battery	anger	0.609	batteria
bitterly	anger	0.609	amaramente
antagonism	anger	0.609	antagonismu
irritability	anger	0.609	irritabilità
disgraced	anger	0.608	disgraziatu
diatribe	anger	0.606	diatriba
asshole	anger	0.606	stronzo
blast	anger	0.606	scoppiu
bombardment	anger	0.606	bumbardamentu
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	rivuluzione
thug	anger	0.606	thug
antagonistic	anger	0.606	antagonistu
irritating	anger	0.606	irritante
sickening	anger	0.606	ammalatu
discrimination	anger	0.606	discriminazione
frustrate	anger	0.604	frustà
insult	anger	0.603	insultu
hurtful	anger	0.603	feritu
oppression	anger	0.603	oppressione
manipulation	anger	0.603	manipulazione
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	biguttu
tension	anger	0.603	tensione
disgust	anger	0.602	disgustu
spite	anger	0.600	spite
intrusive	anger	0.598	intrusiva
harshness	anger	0.597	durezza
slur	anger	0.596	slur
tempest	anger	0.594	tempesta
assail	anger	0.594	assaltà
bitterness	anger	0.594	amarezza
morbidity	anger	0.594	morbidità
casualty	anger	0.594	vittima
puncture	anger	0.594	puntura
miserable	anger	0.594	miserable
inferno	anger	0.594	infernu
invasion	anger	0.594	invasione
storming	anger	0.594	tempesta
wretch	anger	0.594	disgraziatu
consternation	anger	0.592	custernazione
raving	anger	0.591	raving
forcibly	anger	0.591	per forza
guillotine	anger	0.591	ghigliottina
guilty	anger	0.591	culpèvule
depraved	anger	0.591	depravatu
immoral	anger	0.591	immurali
overpowering	anger	0.591	sopravviventi
scare	anger	0.588	paura
recalcitrant	anger	0.588	recalcitrante
screwed	anger	0.588	avvitata
accursed	anger	0.588	maledetti
soannoyed	anger	0.588	tantu arrabbiatu
invader	anger	0.588	invasore
jealousy	anger	0.587	ghjilosia
indignation	anger	0.587	indignazione
vexed	anger	0.586	vessatu
confront	anger	0.582	affruntà
brute	anger	0.581	brute
throttle	anger	0.579	throttle
slut	anger	0.578	sgualdrina
coup	anger	0.578	colpu
blaze	anger	0.578	blaze
pillage	anger	0.578	pillage
provoking	anger	0.578	pruvucannu
damage	anger	0.578	danni
criminality	anger	0.578	criminalità
shutup	anger	0.578	zittu
lash	anger	0.578	lash
conflict	anger	0.578	cunflittu
contentious	anger	0.578	cuntinciosa
shutit	anger	0.578	zittu
wreck	anger	0.578	naufragiu
defiant	anger	0.578	sfida
butcher	anger	0.578	macellaio
incarceration	anger	0.578	incarcerazione
revolver	anger	0.578	revolver
bickering	anger	0.578	litigazione
yousuck	anger	0.578	sì nullu
cancer	anger	0.577	cancru
discriminate	anger	0.576	discriminate
gun	anger	0.576	pistola
frustration	anger	0.576	frustrazione
gory	anger	0.576	sanguinosa
pernicious	anger	0.576	perniciosa
dontmess	anger	0.576	nun miss
blasphemy	anger	0.576	blasfemia
chaotic	anger	0.576	caòticu
grope	anger	0.576	palpà
alienation	anger	0.576	alienazione
disturbance	anger	0.576	disturbazione
condescension	anger	0.576	cundescendenza
standoff	anger	0.576	standoff
discord	anger	0.576	discordia
friggen	anger	0.575	friggen
sneer	anger	0.574	schernu
death	anger	0.574	morte
lunacy	anger	0.574	pazzia
scandalous	anger	0.574	scandalu
oppressive	anger	0.574	oppressive
jab	anger	0.574	jab
cursed	anger	0.574	maledetti
monstrosity	anger	0.574	mostruosità
shit	anger	0.573	merda
disparaging	anger	0.571	disprezzu
slash	anger	0.571	slash
unfair	anger	0.571	inghjustu
gallows	anger	0.570	forca
escalate	anger	0.569	scalate
intolerant	anger	0.564	intolleranti
lawlessness	anger	0.563	l'anarchia
beast	anger	0.562	bestia
torpedo	anger	0.562	torpedo
malign	anger	0.562	malignu
traitor	anger	0.562	traditore
frightful	anger	0.562	spaventosi
wrangling	anger	0.562	litigazione
slander	anger	0.562	calunnia
bellows	anger	0.562	soffiu
retards	anger	0.562	ritardi
grouchy	anger	0.562	grondaia
derogatory	anger	0.562	disprezzu
bearish	anger	0.562	ribassista
invade	anger	0.562	invadiu
perdition	anger	0.562	perdizioni
arghh	anger	0.562	arghh
dreadful	anger	0.562	terribili
bluddy	anger	0.562	bluddy
deceived	anger	0.562	ingannatu
glare	anger	0.562	splendore
taunt	anger	0.562	burla
dissension	anger	0.561	dissensioni
cross	anger	0.561	croce
rave	anger	0.561	rave
grating	anger	0.561	griglia
devastating	anger	0.561	devastanti
fits	anger	0.561	adatta
jeopardize	anger	0.561	mette in periculu
shatter	anger	0.561	scuzzulate
idiots	anger	0.561	idioti
hurt	anger	0.561	feritu
thief	anger	0.561	latru
uncontrollable	anger	0.561	incontrollabile
conflagration	anger	0.561	conflagrazione
betrayal	anger	0.561	tradimentu
banshee	anger	0.561	banshee
subjugation	anger	0.559	sottumissione
disturbed	anger	0.559	disturbatu
stomped	anger	0.557	stomped
grab	anger	0.557	piglia
grievance	anger	0.556	lagnanza
ticked	anger	0.556	ticcatu
masochism	anger	0.556	masochismu
defiance	anger	0.552	sfida
blackmail	anger	0.550	ricattamentu
offensive	anger	0.549	offensiva
decry	anger	0.548	dichjarà
frustrates	anger	0.547	frustra
violation	anger	0.547	violazione
confine	anger	0.547	cunfina
misery	anger	0.547	miseria
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparità
punishment	anger	0.547	punizioni
rebel	anger	0.547	ribellu
preposterous	anger	0.547	absurdu
disgraceful	anger	0.547	disgraziatu
ire	anger	0.547	ire
deceive	anger	0.547	ingannà
fustrated	anger	0.547	fustratu
sin	anger	0.547	peccatu
shrill	anger	0.547	stridulu
darkside	anger	0.547	latu scuru
overbearing	anger	0.547	prepotente
firearms	anger	0.547	armi di focu
stolen	anger	0.546	arrubatu
hadenough	anger	0.546	basta
prejudice	anger	0.545	preghjudiziu
tackle	anger	0.545	affruntà
resentful	anger	0.545	risentitu
heated	anger	0.545	riscaldatu
callous	anger	0.545	callu
conspirator	anger	0.545	cuspiratore
ruined	anger	0.545	ruvinatu
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	scaramuccia
menace	anger	0.545	minaccia
annoyin	anger	0.545	fastidiu
foul	anger	0.545	bruttu
argument	anger	0.545	argumentu
humiliate	anger	0.545	umiliate
wanker	anger	0.545	wanker
adversary	anger	0.545	avversariu
sting	anger	0.544	sting
entangled	anger	0.544	intricatu
grumble	anger	0.544	murmurà
robbery	anger	0.544	robba
outcry	anger	0.544	grida
resistance	anger	0.543	resistenza
irreconcilable	anger	0.543	irreconciliable
obstructive	anger	0.542	obstructive
dismay	anger	0.540	disgrazia
mob	anger	0.538	mob
juststop	anger	0.537	basta
badness	anger	0.536	male
ridicule	anger	0.534	ridicule
incendiary	anger	0.533	incendiaria
flares	anger	0.532	flares
twofaced	anger	0.531	duie facce
reckless	anger	0.531	imprudente
communism	anger	0.531	cumunisimu
allegation	anger	0.531	allegazione
prejudicial	anger	0.531	preghjudiziu
whip	anger	0.531	frusta
unbridled	anger	0.531	senza frenu
degeneracy	anger	0.531	degenerazione
intruder	anger	0.531	intrus
belittle	anger	0.531	sminuisce
confinement	anger	0.531	cunfinazione
dispute	anger	0.531	disputa
exacerbation	anger	0.531	esacerbazione
uprising	anger	0.531	rivolta
unjust	anger	0.530	inghjustu
unjustifiable	anger	0.530	inghjustificabile
perversion	anger	0.530	perversione
bigoted	anger	0.530	bigotti
fiesty	anger	0.530	fieru
offender	anger	0.530	delinquente
dictatorial	anger	0.530	dittatoriale
hassle	anger	0.530	fastidiu
dissonance	anger	0.530	dissonanza
tackled	anger	0.530	affrontatu
renegade	anger	0.529	rinnegatu
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	traspassu
hot	anger	0.529	caldu
prison	anger	0.529	prigiò
suicide	anger	0.521	suicidiu
annoy	anger	0.520	fastidiu
leavemealone	anger	0.517	lascia mi tranquillu
cretins	anger	0.516	cretini
depravity	anger	0.516	depravazione
idiotic	anger	0.516	idiotu
dishonest	anger	0.516	disonesti
distrust	anger	0.516	sfiducia
broil	anger	0.516	griglia
grrr	anger	0.516	grrr
criticize	anger	0.516	criticà
inimical	anger	0.516	ostili
tortious	anger	0.516	tortuosa
prisoner	anger	0.516	prigiuneru
treason	anger	0.516	tradimentu
divorce	anger	0.516	divorziu
venting	anger	0.516	ventu
duress	anger	0.516	costrizzioni
disrespectful	anger	0.516	senza rispettu
poaching	anger	0.515	braconnage
scold	anger	0.515	rimpruverà
poachers	anger	0.515	bracconieri
pow	anger	0.515	puu
hangry	anger	0.515	affamato
argumentation	anger	0.515	argumentazione
frustrating	anger	0.515	frustrante
unkind	anger	0.515	sgradu
roar	anger	0.515	ruggiti
coercion	anger	0.515	coercizione
unforgiving	anger	0.515	senza perdona
grump	anger	0.515	grumpù
bile	anger	0.515	bile
unleash	anger	0.515	scatinà
chaos	anger	0.515	caos
victimized	anger	0.515	vittime
jerks	anger	0.515	scherzi
tussle	anger	0.514	rissa
bane	anger	0.511	bane
accusation	anger	0.510	accusa
enmity	anger	0.510	inimicizia
repudiation	anger	0.510	repudia
banish	anger	0.509	scacciate
disfigured	anger	0.508	sfiguratu
storm	anger	0.507	tempesta
crazy	anger	0.500	pazza
hammering	anger	0.500	martellante
defy	anger	0.500	sfida
antithesis	anger	0.500	antitesi
scoff	anger	0.500	scherni
anguish	anger	0.500	angoscia
confined	anger	0.500	cunfinatu
fear	anger	0.500	paura
bout	anger	0.500	bout
unruly	anger	0.500	indisciplinatu
delusional	anger	0.500	delirante
obstruct	anger	0.500	ostaculi
possessed	anger	0.500	pusessu
injustice	anger	0.500	inghjustizia
fervor	anger	0.500	fervore
spear	anger	0.500	lancia
derision	anger	0.500	derisione
intractable	anger	0.500	intrattabile
reject	anger	0.500	ricusà
dominate	anger	0.500	duminà
ordeal	anger	0.500	prova
banished	anger	0.500	banditu
rejects	anger	0.500	rifiuta
shun	anger	0.500	scappà
brunt	anger	0.500	bruttu
derogation	anger	0.500	derogazione
frenzied	anger	0.500	frenetica
animus	anger	0.500	animus
suppression	anger	0.500	suppressione
malpractice	anger	0.500	malpractice
brazen	anger	0.500	sfacciatu
foaming	anger	0.500	schiuma
disrupting	anger	0.500	disrupting
nobodycares	anger	0.500	nimu ùn importa
patronising	anger	0.500	patroning
getoveryourself	anger	0.495	ripiglià voi stessu
toughness	anger	0.492	durezza
stupidpeople	anger	0.492	stupidi
madness	anger	0.491	follia
sinful	anger	0.491	piccatu
avarice	anger	0.490	avarizia
oppress	anger	0.490	oppressà
cutting	anger	0.485	tagliu
anathema	anger	0.485	anatema
annoyed	anger	0.485	fastidiu
dissident	anger	0.485	dissidenti
demand	anger	0.485	dumanda
usurp	anger	0.485	usurpà
claw	anger	0.485	unghie
alienate	anger	0.485	alienà
infraction	anger	0.485	infrazione
avenger	anger	0.485	vindicatore
revoke	anger	0.485	revocà
smuggler	anger	0.485	contrabandista
abolish	anger	0.485	abulisce
fricking	anger	0.485	fricking
stayaway	anger	0.485	stà luntanu
pervert	anger	0.485	pervertitu
disservice	anger	0.485	disserviziu
disobedient	anger	0.485	disubbidienti
incest	anger	0.485	incestu
complaint	anger	0.485	lagnanza
disapproved	anger	0.485	disappruvatu
inhuman	anger	0.485	inumanu
mocking	anger	0.484	burla
penalty	anger	0.484	pena
renounce	anger	0.484	rinunzià
restrain	anger	0.484	frenà
upheaval	anger	0.484	sconvolgimentu
deceit	anger	0.484	ingannu
obnoxious	anger	0.484	odiosa
imprisoned	anger	0.484	incarceratu
strained	anger	0.484	struitu
blame	anger	0.484	culpè
oust	anger	0.484	scacciate
litigious	anger	0.484	litigiosa
rivalry	anger	0.484	rivalità
sucker	anger	0.484	succhiu
opposed	anger	0.484	oppostu
thresh	anger	0.484	triglia
disgrace	anger	0.484	disgrazia
suspicious	anger	0.484	suspettu
turbulence	anger	0.483	turbulenza
pound	anger	0.481	libbra
coldness	anger	0.477	friddizza
ungrateful	anger	0.472	ingrati
stoopid	anger	0.471	stoopid
battalion	anger	0.471	battaglione
feudalism	anger	0.470	feudalisimu
hostage	anger	0.470	ostage
annoying	anger	0.470	fastidiosu
dispossessed	anger	0.470	spulatu
subversion	anger	0.470	suvversione
friction	anger	0.470	attritu
jealous	anger	0.470	ghjilosu
adversity	anger	0.470	avversità
infidel	anger	0.470	infidèle
gall	anger	0.470	gall
accuser	anger	0.470	accusatore
ram	anger	0.470	ram
armament	anger	0.470	armamentu
thump	anger	0.469	tombu
dislike	anger	0.469	dispiace
steal	anger	0.469	arrubbari
backoff	anger	0.469	retrocede
stifled	anger	0.469	affucatu
incite	anger	0.469	incita
distress	anger	0.469	distress
angermanagement	anger	0.469	gestione di l'ira
selfish	anger	0.469	egoista
injury	anger	0.469	ferita
exile	anger	0.469	esiliu
insanity	anger	0.469	pazzia
offense	anger	0.469	offense
objection	anger	0.469	obiezione
smother	anger	0.469	soffocà
disruption	anger	0.469	disruption
intolerance	anger	0.469	intolleranza
disobey	anger	0.469	disubbidì
selfishness	anger	0.469	l'egoismu
recidivism	anger	0.469	recidivismu
subversive	anger	0.469	suvversivu
huff	anger	0.469	huff
plunder	anger	0.469	saccheghju
opposition	anger	0.469	opposizione
complain	anger	0.469	lagnanza
perpetrator	anger	0.469	autore
simmer	anger	0.469	fogghiu
areyoukidding	anger	0.468	stai scherzando
mug	anger	0.467	mug
agony	anger	0.465	agonia
arrogant	anger	0.461	arroganti
sux	anger	0.456	sux
vent	anger	0.456	ventu
elimination	anger	0.456	eliminazione
picketing	anger	0.456	picketing
haughty	anger	0.456	altero
grated	anger	0.455	grattugiatu
flagrant	anger	0.455	flagrante
busted	anger	0.455	busted
crabby	anger	0.455	crabby
