English Word	Emotion	Emotion-Intensity-Score	Luxembourgish Word
cruel	anger	0.758	grausam
deadly	anger	0.758	déidlech
smash	anger	0.758	zerbriechen
soangry	anger	0.758	sougeng
outburst	anger	0.757	Ausbroch
snarl	anger	0.754	scharf
profane	anger	0.750	profan
revolting	anger	0.750	revoltéierend
aggravating	anger	0.750	verschlechtert
horror	anger	0.750	Schrecken
despise	anger	0.750	veruechten
offend	anger	0.750	beleidegen
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaritéit
crazed	anger	0.750	verréckt
douchebags	anger	0.750	douchebags
growling	anger	0.750	grommen
dontmesswithme	anger	0.750	net mat mir
screaming	anger	0.742	kräischen
threat	anger	0.742	Drohung
erupt	anger	0.742	ausbriechen
horrible	anger	0.742	schrecklech
molestation	anger	0.742	belästegt
fuckedoff	anger	0.742	gefeckt
violence	anger	0.742	Gewalt
bastards	anger	0.741	bastards
revenge	anger	0.738	Revanche
menacing	anger	0.735	menacéieren
crushing	anger	0.735	kräischen
damn	anger	0.735	verdammt
catastrophe	anger	0.735	Katastroph
demon	anger	0.735	demon
argue	anger	0.734	streiden
persecute	anger	0.734	verfollegen
deplore	anger	0.734	bedaueren
flog	anger	0.734	fléissen
fedup	anger	0.734	rosen
riotous	anger	0.734	riotous
vehement	anger	0.734	heftig
revolt	anger	0.734	revolt
warfare	anger	0.734	Krich
thrash	anger	0.734	dreschen
altercation	anger	0.729	streiden
warlike	anger	0.728	krieglech
shitday	anger	0.727	scheissdag
mutiny	anger	0.727	Mutin
castrate	anger	0.727	kastréieren
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	béiswëlleg
strike	anger	0.721	streiken
disaster	anger	0.721	Katastroph
disastrous	anger	0.720	katastrofal
bastarding	anger	0.719	bastard
treachery	anger	0.719	Verrot
arseholes	anger	0.719	Arseholes
horseshit	anger	0.719	horseshit
slay	anger	0.719	ëmbréngen
disdain	anger	0.719	Veruechtung
aggravates	anger	0.719	verschäerft
brutal	anger	0.719	brutal
scorching	anger	0.719	brennend
devil	anger	0.719	Däiwel
madden	anger	0.719	verréckt
spiteful	anger	0.719	schrecklech
scream	anger	0.719	kräischen
choke	anger	0.719	erstécken
vermin	anger	0.719	vermin
tumult	anger	0.719	tumult
criminal	anger	0.714	kriminellen
mangle	anger	0.714	mangel
anarchism	anger	0.714	Anarchismus
mutilation	anger	0.714	Mutilatioun
denunciation	anger	0.713	Dénonciatioun
punch	anger	0.713	Schloo
virulence	anger	0.712	virulenz
fatal	anger	0.712	fatal
hurting	anger	0.712	verletzen
crucifixion	anger	0.712	Kräizegung
dontlikeyou	anger	0.712	gär dech net
blasphemous	anger	0.712	blasphemesch
holocaust	anger	0.712	Holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	gekämpft
deranged	anger	0.706	derangéiert
irritated	anger	0.706	irritéiert
atrocious	anger	0.706	grausam
evil	anger	0.706	béis
aggravated	anger	0.703	verschäerft
intimidation	anger	0.703	Intimidatioun
dicks	anger	0.703	dicks
assassin	anger	0.703	Attentäter
scolding	anger	0.703	schelden
persecution	anger	0.703	Verfolgung
slayer	anger	0.703	slayer
kidnap	anger	0.703	entfouert
aggression	anger	0.702	Agressioun
armed	anger	0.700	bewaffnet
battle	anger	0.697	Schluecht
poison	anger	0.697	Gëft
snarling	anger	0.697	schnurren
venom	anger	0.697	Gëft
disgruntled	anger	0.693	onzefridden
resentment	anger	0.691	Ressentiment
assailant	anger	0.691	Ugräifer
insidious	anger	0.691	lächerlech
contemptuous	anger	0.690	veruechtend
lynch	anger	0.690	lynch
temper	anger	0.688	temperament
terrible	anger	0.688	schrecklech
disparage	anger	0.688	vernoléissegen
lunatic	anger	0.688	geckeg
bully	anger	0.688	Bulli
mad	anger	0.688	verréckt
makesmemad	anger	0.688	mécht
infanticide	anger	0.688	infanticide
domination	anger	0.688	Herrschaft
peeved	anger	0.688	gepecht
imprisonment	anger	0.688	Prisongsstrof
curse	anger	0.688	verflucht
volatility	anger	0.687	volatility
eradication	anger	0.685	Ausrotten
eradicate	anger	0.682	ausrotten
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	Schäiss
devastate	anger	0.682	zerstéieren
aggressively	anger	0.680	aggressiv
agitation	anger	0.680	agitation
dictatorship	anger	0.676	Diktatur
irritates	anger	0.676	irritéiert
profanity	anger	0.673	profanity
shove	anger	0.672	schafen
nasty	anger	0.672	béis
shot	anger	0.672	geschoss
cruelly	anger	0.672	grausam
shoot	anger	0.672	schéissen
condemnation	anger	0.672	Veruerteelung
crushed	anger	0.672	zerquetscht
aggravation	anger	0.672	Verschlechterung
poisonous	anger	0.672	gëfteg
egregious	anger	0.672	éierlech
crime	anger	0.672	Kriminalitéit
corrupting	anger	0.672	korruptéieren
dastardly	anger	0.672	schrecklech
contempt	anger	0.672	Veruechtung
harmful	anger	0.672	schiedlech
expletive	anger	0.672	expletive
wreak	anger	0.672	widdert
maniac	anger	0.670	maniak
cutthroat	anger	0.667	schaarf
enemy	anger	0.667	Feind
hit	anger	0.667	getraff
hateeveryone	anger	0.667	haassen jiddereen
eruption	anger	0.667	Ausbroch
irritable	anger	0.667	reizbar
odious	anger	0.667	odious
shooting	anger	0.667	schéissen
shout	anger	0.667	ruffen
aggressive	anger	0.667	aggressiv
kick	anger	0.667	kick
combat	anger	0.667	bekämpfen
fight	anger	0.667	kämpfen
punished	anger	0.662	bestrooft
yell	anger	0.661	rifft
ambush	anger	0.661	ambush
harass	anger	0.659	belästegt
malignant	anger	0.656	malignant
aggressor	anger	0.656	agressor
gore	anger	0.656	goer
destruction	anger	0.656	Zerstéierung
grudge	anger	0.656	grujeleg
antichrist	anger	0.656	antichrist
incense	anger	0.656	Räucherstäerkt
expel	anger	0.656	verdreiwen
cranky	anger	0.653	knaschteg
slave	anger	0.652	Sklave
reprisal	anger	0.652	represali
growl	anger	0.652	knallen
animosity	anger	0.652	Feindlechkeet
insurrection	anger	0.652	Opstand
clashing	anger	0.652	botzen
denounce	anger	0.652	veruerteelen
offended	anger	0.652	beleidegt
spank	anger	0.652	spann
insulting	anger	0.652	beleidegend
growls	anger	0.649	gromt
executioner	anger	0.644	Berögler
twat	anger	0.644	zweet
doomsday	anger	0.643	Doudesfäll
obscenity	anger	0.641	Obszönitéit
accused	anger	0.641	beschëllegt
feud	anger	0.641	feud
daemon	anger	0.641	Daemon
havoc	anger	0.641	zerstéieren
shackle	anger	0.641	schackel
inexcusable	anger	0.641	inexcusable
indignant	anger	0.641	indignéiert
grr	anger	0.641	grr
expulsion	anger	0.641	Auswee
bombard	anger	0.641	bombardéieren
spat	anger	0.641	spatzen
arson	anger	0.641	Brandstëftung
reprimand	anger	0.641	reprimande
somad	anger	0.637	Somad
frustrated	anger	0.636	frustréiert
batter	anger	0.636	batter
kicking	anger	0.636	kicken
anarchy	anger	0.636	anarchie
spanking	anger	0.636	spannen
glaring	anger	0.636	glänzend
suicidal	anger	0.636	Suizid
disgusting	anger	0.636	Eekleges
wound	anger	0.636	Wonn
hanging	anger	0.636	hänkt
poisoned	anger	0.636	vergëft
combatant	anger	0.636	kämpfer
wrecked	anger	0.633	zerstéiert
inflict	anger	0.633	bewierken
grievous	anger	0.632	traureg
prosecute	anger	0.630	verfollegen
agitated	anger	0.630	agitéiert
cheat	anger	0.630	fuddelen
swastika	anger	0.627	swastika
injure	anger	0.625	verletzen
indict	anger	0.625	ugeklot
scourge	anger	0.625	päifen
provocation	anger	0.625	Provokatioun
suffocation	anger	0.625	erstécken
strife	anger	0.625	Sträit
raid	anger	0.625	Iwwerfall
enslaved	anger	0.625	versklavt
cursing	anger	0.625	verflucht
defamatory	anger	0.625	diffaméierend
harassing	anger	0.625	belästegt
thundering	anger	0.625	donner
betray	anger	0.625	verréid
arsehole	anger	0.624	Aarsch
theft	anger	0.621	Déifstall
insane	anger	0.621	verréckt
retaliation	anger	0.621	Retaliatioun
irritate	anger	0.621	irritéieren
deprivation	anger	0.621	Entzuch
fiend	anger	0.621	feind
jerk	anger	0.621	jeck
convict	anger	0.621	veruerteelen
cussed	anger	0.619	verschwonnen
turmoil	anger	0.618	Onrouen
smack	anger	0.615	schmaacht
retribution	anger	0.614	retribution
rebellion	anger	0.609	Rebellioun
oppressor	anger	0.609	Ënnerdrécker
gang	anger	0.609	gang
slavery	anger	0.609	Sklaverei
intolerable	anger	0.609	onerlaabt
adverse	anger	0.609	negativ
injurious	anger	0.609	verletzend
twats	anger	0.609	tutt
collision	anger	0.609	Kollisioun
battery	anger	0.609	Batterie
bitterly	anger	0.609	batter
antagonism	anger	0.609	antagonismus
irritability	anger	0.609	Reizbarkeet
disgraced	anger	0.608	geschummt
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Arsch
blast	anger	0.606	Héichiewe
bombardment	anger	0.606	bombardement
irks	anger	0.606	irks
ranting	anger	0.606	räissen
revolution	anger	0.606	Revolutioun
thug	anger	0.606	béis
antagonistic	anger	0.606	antagonistesch
irritating	anger	0.606	irritéierend
sickening	anger	0.606	krank
discrimination	anger	0.606	Diskriminatioun
frustrate	anger	0.604	frustréieren
insult	anger	0.603	beleidegt
hurtful	anger	0.603	verletzend
oppression	anger	0.603	Ënnerdréckung
manipulation	anger	0.603	Manipulatioun
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	groussaarteg
tension	anger	0.603	Spannung
disgust	anger	0.602	Eekleges
spite	anger	0.600	trotz
intrusive	anger	0.598	opdrénglech
harshness	anger	0.597	haart
slur	anger	0.596	schlemm
tempest	anger	0.594	Stuerm
assail	anger	0.594	iwwerfalen
bitterness	anger	0.594	Batterkeet
morbidity	anger	0.594	Morbiditéit
casualty	anger	0.594	Affer
puncture	anger	0.594	punktéieren
miserable	anger	0.594	miserabel
inferno	anger	0.594	inferno
invasion	anger	0.594	Invasioun
storming	anger	0.594	gestiermt
wretch	anger	0.594	schlëmm
consternation	anger	0.592	Konsternatioun
raving	anger	0.591	rabbelen
forcibly	anger	0.591	gezwongen
guillotine	anger	0.591	guillotine
guilty	anger	0.591	schëlleg
depraved	anger	0.591	verduerwe
immoral	anger	0.591	onmoralesch
overpowering	anger	0.591	iwwerwältegend
scare	anger	0.588	erschrecken
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	geschrauft
accursed	anger	0.588	verflucht
soannoyed	anger	0.588	gesoot
invader	anger	0.588	Eruewerer
jealousy	anger	0.587	Jalousie
indignation	anger	0.587	Indignatioun
vexed	anger	0.586	erweidert
confront	anger	0.582	konfrontéieren
brute	anger	0.581	brut
throttle	anger	0.579	drossel
slut	anger	0.578	schluss
coup	anger	0.578	Coup
blaze	anger	0.578	bléien
pillage	anger	0.578	geplënnert
provoking	anger	0.578	provozéieren
damage	anger	0.578	Schued
criminality	anger	0.578	Kriminalitéit
shutup	anger	0.578	sief roueg
lash	anger	0.578	labber
conflict	anger	0.578	Konflikt
contentious	anger	0.578	ëmstridden
shutit	anger	0.578	shutit
wreck	anger	0.578	wrack
defiant	anger	0.578	trotzdem
butcher	anger	0.578	Metzler
incarceration	anger	0.578	Prisongsstrof
revolver	anger	0.578	revolver
bickering	anger	0.578	kierzen
yousuck	anger	0.578	du gees mer op d'Nerven
cancer	anger	0.577	Kriibs
discriminate	anger	0.576	diskriminéieren
gun	anger	0.576	Pistoul
frustration	anger	0.576	Frustratioun
gory	anger	0.576	gory
pernicious	anger	0.576	pernicious
dontmess	anger	0.576	net mess
blasphemy	anger	0.576	Blasphemie
chaotic	anger	0.576	chaotesch
grope	anger	0.576	gräifen
alienation	anger	0.576	Auslännerung
disturbance	anger	0.576	Stéierung
condescension	anger	0.576	condescension
standoff	anger	0.576	standoff
discord	anger	0.576	diskord
friggen	anger	0.575	friggen
sneer	anger	0.574	schlemm
death	anger	0.574	Doud
lunacy	anger	0.574	Wahnsinn
scandalous	anger	0.574	skandaléis
oppressive	anger	0.574	oppressiv
jab	anger	0.574	jap
cursed	anger	0.574	verflucht
monstrosity	anger	0.574	Monstrositéit
shit	anger	0.573	scheiss
disparaging	anger	0.571	depriméierend
slash	anger	0.571	schlitz
unfair	anger	0.571	ongerecht
gallows	anger	0.570	galgen
escalate	anger	0.569	eskaléieren
intolerant	anger	0.564	intolerant
lawlessness	anger	0.563	Gesetzlosegkeet
beast	anger	0.562	beast
torpedo	anger	0.562	torpedo
malign	anger	0.562	béiswëlleg
traitor	anger	0.562	verréider
frightful	anger	0.562	schrecklech
wrangling	anger	0.562	wrangelen
slander	anger	0.562	Verleumdung
bellows	anger	0.562	Bäll
retards	anger	0.562	retards
grouchy	anger	0.562	grujeleg
derogatory	anger	0.562	derogatory
bearish	anger	0.562	bearish
invade	anger	0.562	iwwerfalen
perdition	anger	0.562	Perdition
arghh	anger	0.562	argh
dreadful	anger	0.562	schrecklech
bluddy	anger	0.562	bluddeg
deceived	anger	0.562	verfouert
glare	anger	0.562	blénken
taunt	anger	0.562	trauen
dissension	anger	0.561	Sträit
cross	anger	0.561	Kräiz
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	zerstéierend
fits	anger	0.561	passt
jeopardize	anger	0.561	a Gefor bréngen
shatter	anger	0.561	zerbriechen
idiots	anger	0.561	Idioten
hurt	anger	0.561	verletzt
thief	anger	0.561	déif
uncontrollable	anger	0.561	onkontrolléierbar
conflagration	anger	0.561	Konflagratioun
betrayal	anger	0.561	Verrot
banshee	anger	0.561	banshee
subjugation	anger	0.559	Ënneruerdnung
disturbed	anger	0.559	gestéiert
stomped	anger	0.557	gestampt
grab	anger	0.557	gräifen
grievance	anger	0.556	Trauer
ticked	anger	0.556	ugekräizt
masochism	anger	0.556	Masochismus
defiance	anger	0.552	Trotz
blackmail	anger	0.550	Erpressung
offensive	anger	0.549	offensiv
decry	anger	0.548	entscheeden
frustrates	anger	0.547	frustréiert
violation	anger	0.547	Violatioun
confine	anger	0.547	begrenzen
misery	anger	0.547	Misär
arghhhh	anger	0.547	arghhh
disparity	anger	0.547	disparity
punishment	anger	0.547	Strof
rebel	anger	0.547	rebelléieren
preposterous	anger	0.547	onheemlech
disgraceful	anger	0.547	schued
ire	anger	0.547	ier
deceive	anger	0.547	täuschen
fustrated	anger	0.547	fustréiert
sin	anger	0.547	sin
shrill	anger	0.547	schrecklech
darkside	anger	0.547	däischter Säit
overbearing	anger	0.547	iwwerhaapt
firearms	anger	0.547	Feierwaffen
stolen	anger	0.546	geklaut
hadenough	anger	0.546	genuch
prejudice	anger	0.545	Viruerteeler
tackle	anger	0.545	unzepaken
resentful	anger	0.545	verréckt
heated	anger	0.545	gehëtzt
callous	anger	0.545	rufflech
conspirator	anger	0.545	Verschwörer
ruined	anger	0.545	ruinéiert
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	Schierm
menace	anger	0.545	Menace
annoyin	anger	0.545	nerven
foul	anger	0.545	foul
argument	anger	0.545	Argument
humiliate	anger	0.545	humiliéieren
wanker	anger	0.545	wacker
adversary	anger	0.545	Géigner
sting	anger	0.544	sting
entangled	anger	0.544	verwéckelt
grumble	anger	0.544	grommelen
robbery	anger	0.544	Iwwerfall
outcry	anger	0.544	kräischen
resistance	anger	0.543	Resistenz
irreconcilable	anger	0.543	irreconciliable
obstructive	anger	0.542	obstruktiv
dismay	anger	0.540	enttäuscht
mob	anger	0.538	mob
juststop	anger	0.537	just ophalen
badness	anger	0.536	Schlechtheet
ridicule	anger	0.534	lächerlech
incendiary	anger	0.533	brennend
flares	anger	0.532	flares
twofaced	anger	0.531	zweesäiteg
reckless	anger	0.531	recklos
communism	anger	0.531	Kommunismus
allegation	anger	0.531	Uklo
prejudicial	anger	0.531	viru Geriicht
whip	anger	0.531	päischt
unbridled	anger	0.531	ongebremst
degeneracy	anger	0.531	Degeneratioun
intruder	anger	0.531	Andréngen
belittle	anger	0.531	verklengeren
confinement	anger	0.531	agespaart
dispute	anger	0.531	Sträit
exacerbation	anger	0.531	Vergréisserung
uprising	anger	0.531	Opstand
unjust	anger	0.530	ongerecht
unjustifiable	anger	0.530	ongerechtfäerdegt
perversion	anger	0.530	perversioun
bigoted	anger	0.530	groussaarteg
fiesty	anger	0.530	fiesty
offender	anger	0.530	Täter
dictatorial	anger	0.530	diktatoresch
hassle	anger	0.530	streiden
dissonance	anger	0.530	Dissonanz
tackled	anger	0.530	ugepaakt
renegade	anger	0.529	renegade
cantstandit	anger	0.529	kann net stoen
trespass	anger	0.529	iwwerfalen
hot	anger	0.529	waarm
prison	anger	0.529	Prisong
suicide	anger	0.521	Suizid
annoy	anger	0.520	nerven
leavemealone	anger	0.517	looss mech eleng
cretins	anger	0.516	cretins
depravity	anger	0.516	Depravitéit
idiotic	anger	0.516	idiotesch
dishonest	anger	0.516	onéierlech
distrust	anger	0.516	Mësstrauen
broil	anger	0.516	brëllen
grrr	anger	0.516	grrr
criticize	anger	0.516	kritiséieren
inimical	anger	0.516	inimical
tortious	anger	0.516	tortious
prisoner	anger	0.516	Prisonnéier
treason	anger	0.516	Verrot
divorce	anger	0.516	Scheedung
venting	anger	0.516	entlaascht
duress	anger	0.516	zwéngen
disrespectful	anger	0.516	respektlos
poaching	anger	0.515	pochen
scold	anger	0.515	schold
poachers	anger	0.515	pochers
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	Argumentatioun
frustrating	anger	0.515	frustréiernd
unkind	anger	0.515	onfrëndlech
roar	anger	0.515	brëllen
coercion	anger	0.515	Zwang
unforgiving	anger	0.515	unforgiving
grump	anger	0.515	gräifen
bile	anger	0.515	bile
unleash	anger	0.515	entlooss
chaos	anger	0.515	chaos
victimized	anger	0.515	Affer
jerks	anger	0.515	jerks
tussle	anger	0.514	streiden
bane	anger	0.511	bane
accusation	anger	0.510	Uklo
enmity	anger	0.510	Feindlechkeet
repudiation	anger	0.510	Oflehnung
banish	anger	0.509	verbannen
disfigured	anger	0.508	disfiguréiert
storm	anger	0.507	Stuerm
crazy	anger	0.500	verréckt
hammering	anger	0.500	gehummert
defy	anger	0.500	verteidegen
antithesis	anger	0.500	antithesis
scoff	anger	0.500	schlofen
anguish	anger	0.500	Angscht
confined	anger	0.500	agespaart
fear	anger	0.500	Angscht
bout	anger	0.500	bout
unruly	anger	0.500	onroueg
delusional	anger	0.500	wahnsinneg
obstruct	anger	0.500	verstoppen
possessed	anger	0.500	besat
injustice	anger	0.500	Ongerechtegkeet
fervor	anger	0.500	fervor
spear	anger	0.500	späicher
derision	anger	0.500	derisioun
intractable	anger	0.500	intractable
reject	anger	0.500	refuséieren
dominate	anger	0.500	dominéieren
ordeal	anger	0.500	uerg
banished	anger	0.500	verbannt
rejects	anger	0.500	refuséiert
shun	anger	0.500	verschwannen
brunt	anger	0.500	brunt
derogation	anger	0.500	derogation
frenzied	anger	0.500	frenzied
animus	anger	0.500	animus
suppression	anger	0.500	Ënnerdréckung
malpractice	anger	0.500	Mëssbrauch
brazen	anger	0.500	braven
foaming	anger	0.500	schaumend
disrupting	anger	0.500	stéieren
nobodycares	anger	0.500	kee këmmert sech
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	iwwerhuelen selwer
toughness	anger	0.492	Zähegkeet
stupidpeople	anger	0.492	domm Leit
madness	anger	0.491	Wahnsinn
sinful	anger	0.491	sënnlech
avarice	anger	0.490	géigesäiteg
oppress	anger	0.490	ënnerdrécken
cutting	anger	0.485	schneiden
anathema	anger	0.485	anathema
annoyed	anger	0.485	genervt
dissident	anger	0.485	dissident
demand	anger	0.485	Demande
usurp	anger	0.485	usurp
claw	anger	0.485	klauen
alienate	anger	0.485	alienéieren
infraction	anger	0.485	Verletzung
avenger	anger	0.485	avenger
revoke	anger	0.485	zréckzéien
smuggler	anger	0.485	Schmuggler
abolish	anger	0.485	ofschafen
fricking	anger	0.485	fricking
stayaway	anger	0.485	bleif ewech
pervert	anger	0.485	pervert
disservice	anger	0.485	disservice
disobedient	anger	0.485	ongehéierlech
incest	anger	0.485	Inzest
complaint	anger	0.485	Plainte
disapproved	anger	0.485	ofgestëmmt
inhuman	anger	0.485	onmënschlech
mocking	anger	0.484	spottend
penalty	anger	0.484	Eelefmeter
renounce	anger	0.484	verzichten
restrain	anger	0.484	behalen
upheaval	anger	0.484	Ëmbroch
deceit	anger	0.484	Bedruch
obnoxious	anger	0.484	onheemlech
imprisoned	anger	0.484	agespaart
strained	anger	0.484	ugestrach
blame	anger	0.484	Schold
oust	anger	0.484	erauszekréien
litigious	anger	0.484	litigious
rivalry	anger	0.484	Rivalitéit
sucker	anger	0.484	suckel
opposed	anger	0.484	dogéint
thresh	anger	0.484	dreschen
disgrace	anger	0.484	schued
suspicious	anger	0.484	verdächteg
turbulence	anger	0.483	turbulenz
pound	anger	0.481	Pound
coldness	anger	0.477	Keelt
ungrateful	anger	0.472	ondankbar
stoopid	anger	0.471	stoopid
battalion	anger	0.471	Batailloun
feudalism	anger	0.470	feudalismus
hostage	anger	0.470	Geiselen
annoying	anger	0.470	lästeg
dispossessed	anger	0.470	entsuergt
subversion	anger	0.470	subversion
friction	anger	0.470	Reiwung
jealous	anger	0.470	jalous
adversity	anger	0.470	Néierlag
infidel	anger	0.470	infidel
gall	anger	0.470	gall
accuser	anger	0.470	Uklo
ram	anger	0.470	Ram
armament	anger	0.470	Bewaffnung
thump	anger	0.469	dump
dislike	anger	0.469	net gär
steal	anger	0.469	klauen
backoff	anger	0.469	zréckzéien
stifled	anger	0.469	gestéiert
incite	anger	0.469	encouragéieren
distress	anger	0.469	Nout
angermanagement	anger	0.469	angermanagement
selfish	anger	0.469	egoistesch
injury	anger	0.469	Verletzung
exile	anger	0.469	Exil
insanity	anger	0.469	Wahnsinn
offense	anger	0.469	beleidegt
