English Word	Emotion	Emotion-Intensity-Score	Icelandic Word
slaughterhouse	anger	0.788	sláturhús
yelling	anger	0.788	öskrandi
diabolical	anger	0.788	djöfullegur
destroyed	anger	0.788	eytt
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	hefndaraðgerðir
manslaughter	anger	0.783	manndráp af gáleysi
clash	anger	0.783	árekstur
quarrel	anger	0.781	deila
bloody	anger	0.781	blóðug
hellish	anger	0.781	helvítis
sinister	anger	0.781	óheillavænlegt
loath	anger	0.781	andstyggð
detonation	anger	0.781	sprenging
accusing	anger	0.779	ásakandi
fumin	anger	0.779	fumin
hateeee	anger	0.779	hataeee
treacherous	anger	0.779	svikul
madder	anger	0.773	vitlausari
horrific	anger	0.773	hræðilegt
revulsion	anger	0.773	andstyggð
retaliate	anger	0.773	hefna sín
scorn	anger	0.769	háði
bomb	anger	0.766	sprengju
deplorable	anger	0.766	ömurlegt
devastation	anger	0.765	eyðileggingu
anarchist	anger	0.765	anarkisti
firestorm	anger	0.765	eldstormur
resent	anger	0.765	gremjast
contemptible	anger	0.764	fyrirlitleg
shittest	anger	0.760	skítkast
rant	anger	0.758	væla
cruel	anger	0.758	grimmur
deadly	anger	0.758	banvænn
smash	anger	0.758	snilldar
soangry	anger	0.758	sár
outburst	anger	0.757	útúrsnúningur
snarl	anger	0.754	nöldur
profane	anger	0.750	óhreint
revolting	anger	0.750	uppreisn æru
aggravating	anger	0.750	versnandi
horror	anger	0.750	hryllingur
despise	anger	0.750	fyrirlíta
offend	anger	0.750	móðga
stfu	anger	0.750	stfu
vulgarity	anger	0.750	dónaskapur
crazed	anger	0.750	brjálaður
douchebags	anger	0.750	drullusokkar
growling	anger	0.750	urrandi
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	öskrandi
threat	anger	0.742	hótun
erupt	anger	0.742	gjósa
horrible	anger	0.742	hræðilegt
molestation	anger	0.742	ofbeldi
fuckedoff	anger	0.742	helvíti
violence	anger	0.742	ofbeldi
bastards	anger	0.741	skíthælar
revenge	anger	0.738	hefnd
menacing	anger	0.735	ógnvekjandi
crushing	anger	0.735	myljandi
damn	anger	0.735	fjandinn
catastrophe	anger	0.735	stórslys
demon	anger	0.735	púki
argue	anger	0.734	rífast
persecute	anger	0.734	ofsækja
deplore	anger	0.734	harma
flog	anger	0.734	flogið
fedup	anger	0.734	leiðinlegt
riotous	anger	0.734	uppþot
vehement	anger	0.734	ákafur
revolt	anger	0.734	uppreisn
warfare	anger	0.734	hernaði
thrash	anger	0.734	þras
altercation	anger	0.729	deilur
warlike	anger	0.728	stríðslegur
shitday	anger	0.727	skítadagur
mutiny	anger	0.727	uppreisn
castrate	anger	0.727	gelda
sabotage	anger	0.727	skemmdarverk
malevolent	anger	0.721	illgjarn
strike	anger	0.721	verkfall
disaster	anger	0.721	hörmung
disastrous	anger	0.720	hörmulegt
bastarding	anger	0.719	skítkast
treachery	anger	0.719	svik
arseholes	anger	0.719	rassgat
horseshit	anger	0.719	hestaskítur
slay	anger	0.719	drepa
disdain	anger	0.719	fyrirlitningu
aggravates	anger	0.719	eykur á
brutal	anger	0.719	grimmur
scorching	anger	0.719	brennandi
devil	anger	0.719	djöfull
madden	anger	0.719	brjálaður
spiteful	anger	0.719	grimmur
scream	anger	0.719	öskra
choke	anger	0.719	kæfa
vermin	anger	0.719	meindýr
tumult	anger	0.719	órói
criminal	anger	0.714	glæpamaður
mangle	anger	0.714	mögla
anarchism	anger	0.714	anarkisma
mutilation	anger	0.714	limlestingar
denunciation	anger	0.713	uppsögn
punch	anger	0.713	kýla
virulence	anger	0.712	meinsæri
fatal	anger	0.712	banvæn
hurting	anger	0.712	meiða
crucifixion	anger	0.712	krossfestingu
dontlikeyou	anger	0.712	líkar ekki við þig
blasphemous	anger	0.712	guðlast
holocaust	anger	0.712	helför
dumbasses	anger	0.712	vitleysingar
battled	anger	0.712	barðist
deranged	anger	0.706	brjálaður
irritated	anger	0.706	pirruð
atrocious	anger	0.706	grimmur
evil	anger	0.706	illt
aggravated	anger	0.703	versnað
intimidation	anger	0.703	ógnun
dicks	anger	0.703	pikkar
assassin	anger	0.703	morðingja
scolding	anger	0.703	skamma
persecution	anger	0.703	ofsóknum
slayer	anger	0.703	vígamaður
kidnap	anger	0.703	ræna
aggression	anger	0.702	árásargirni
armed	anger	0.700	vopnaður
battle	anger	0.697	bardaga
poison	anger	0.697	eitur
snarling	anger	0.697	nöldur
venom	anger	0.697	eitri
disgruntled	anger	0.693	óánægður
resentment	anger	0.691	gremju
assailant	anger	0.691	árásarmaður
insidious	anger	0.691	lúmsk
contemptuous	anger	0.690	fyrirlitleg
lynch	anger	0.690	lynch
temper	anger	0.688	skapi
terrible	anger	0.688	hræðilegt
disparage	anger	0.688	lítilsvirðing
lunatic	anger	0.688	brjálæðingur
bully	anger	0.688	einelti
mad	anger	0.688	vitlaus
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	barnamorð
domination	anger	0.688	yfirráð
peeved	anger	0.688	pirraður
imprisonment	anger	0.688	fangelsi
curse	anger	0.688	bölvun
volatility	anger	0.687	óstöðugleika
eradication	anger	0.685	útrýming
eradicate	anger	0.682	uppræta
tantrum	anger	0.682	reiðikast
scoundrel	anger	0.682	skúrkur
devastate	anger	0.682	hrikalegt
aggressively	anger	0.680	árásargjarn
agitation	anger	0.680	æsingur
dictatorship	anger	0.676	einræði
irritates	anger	0.676	pirrar
profanity	anger	0.673	blótsyrði
shove	anger	0.672	ýta
nasty	anger	0.672	viðbjóðslegur
shot	anger	0.672	skot
cruelly	anger	0.672	grimmilega
shoot	anger	0.672	skjóta
condemnation	anger	0.672	fordæming
crushed	anger	0.672	mulið
aggravation	anger	0.672	versnun
poisonous	anger	0.672	eitrað
egregious	anger	0.672	hrikalegt
crime	anger	0.672	glæp
corrupting	anger	0.672	spillandi
dastardly	anger	0.672	ömurlegt
contempt	anger	0.672	fyrirlitningu
harmful	anger	0.672	skaðlegt
expletive	anger	0.672	sprengiefni
wreak	anger	0.672	valda
maniac	anger	0.670	vitfirringur
cutthroat	anger	0.667	hnífur
enemy	anger	0.667	óvinur
hit	anger	0.667	högg
hateeveryone	anger	0.667	hata alla
eruption	anger	0.667	eldgos
irritable	anger	0.667	pirraður
odious	anger	0.667	viðbjóðslegur
shooting	anger	0.667	skjóta
shout	anger	0.667	hrópa
aggressive	anger	0.667	árásargjarn
kick	anger	0.667	sparka
combat	anger	0.667	bardaga
fight	anger	0.667	bardagi
punished	anger	0.662	refsað
yell	anger	0.661	öskra
ambush	anger	0.661	fyrirsát
harass	anger	0.659	áreita
malignant	anger	0.656	illkynja
aggressor	anger	0.656	árásarmaður
gore	anger	0.656	gore
destruction	anger	0.656	eyðileggingu
grudge	anger	0.656	gremju
antichrist	anger	0.656	andkristur
incense	anger	0.656	reykelsi
expel	anger	0.656	reka út
cranky	anger	0.653	pirraður
slave	anger	0.652	þræll
reprisal	anger	0.652	hefndaraðgerðir
growl	anger	0.652	grenja
animosity	anger	0.652	fjandskapur
insurrection	anger	0.652	uppreisn
clashing	anger	0.652	árekstur
denounce	anger	0.652	fordæma
offended	anger	0.652	móðgast
spank	anger	0.652	spann
insulting	anger	0.652	móðgandi
growls	anger	0.649	urrar
executioner	anger	0.644	böðull
twat	anger	0.644	títt
doomsday	anger	0.643	dómsdag
obscenity	anger	0.641	ruddaskapur
accused	anger	0.641	ákærður
feud	anger	0.641	deilur
daemon	anger	0.641	púkinn
havoc	anger	0.641	eyðilegging
shackle	anger	0.641	fjötur
inexcusable	anger	0.641	óafsakanlegt
indignant	anger	0.641	reiðilegur
grr	anger	0.641	grr
expulsion	anger	0.641	brottvísun
bombard	anger	0.641	sprengjuárás
spat	anger	0.641	hrækti
arson	anger	0.641	íkveikju
reprimand	anger	0.641	áminningu
somad	anger	0.637	somad
frustrated	anger	0.636	svekktur
batter	anger	0.636	deig
kicking	anger	0.636	sparka
anarchy	anger	0.636	stjórnleysi
spanking	anger	0.636	rassskellur
glaring	anger	0.636	glöggt
suicidal	anger	0.636	sjálfsvíg
disgusting	anger	0.636	ógeðslegt
wound	anger	0.636	sár
hanging	anger	0.636	hangandi
poisoned	anger	0.636	eitrað
combatant	anger	0.636	bardagamaður
wrecked	anger	0.633	brotinn
inflict	anger	0.633	valdið
grievous	anger	0.632	ömurlegur
prosecute	anger	0.630	ákæra
agitated	anger	0.630	æstur
cheat	anger	0.630	svindla
swastika	anger	0.627	hakakross
injure	anger	0.625	meiða
indict	anger	0.625	ákæra
scourge	anger	0.625	böl
provocation	anger	0.625	ögrun
suffocation	anger	0.625	köfnun
strife	anger	0.625	deilur
raid	anger	0.625	áhlaup
enslaved	anger	0.625	þrælaður
cursing	anger	0.625	bölvun
defamatory	anger	0.625	ærumeiðandi
harassing	anger	0.625	áreiti
thundering	anger	0.625	þrumandi
betray	anger	0.625	svíkja
arsehole	anger	0.624	rassgat
theft	anger	0.621	þjófnaði
insane	anger	0.621	geðveikur
retaliation	anger	0.621	hefndaraðgerðir
irritate	anger	0.621	pirra
deprivation	anger	0.621	sviptingu
fiend	anger	0.621	djöfull
jerk	anger	0.621	skíthæll
convict	anger	0.621	sakfella
cussed	anger	0.619	bölvaður
turmoil	anger	0.618	órói
smack	anger	0.615	slá
retribution	anger	0.614	hefnd
rebellion	anger	0.609	uppreisn
oppressor	anger	0.609	kúgari
gang	anger	0.609	klíka
slavery	anger	0.609	þrælahald
intolerable	anger	0.609	óþolandi
adverse	anger	0.609	skaðleg
injurious	anger	0.609	skaðleg
twats	anger	0.609	kjánar
collision	anger	0.609	árekstur
battery	anger	0.609	rafhlaða
bitterly	anger	0.609	biturlega
antagonism	anger	0.609	andstæður
irritability	anger	0.609	pirringur
disgraced	anger	0.608	til skammar
diatribe	anger	0.606	svívirðing
asshole	anger	0.606	rassgat
blast	anger	0.606	sprengja
bombardment	anger	0.606	sprengjuárás
irks	anger	0.606	irks
ranting	anger	0.606	vælandi
revolution	anger	0.606	byltingu
thug	anger	0.606	þrjótur
antagonistic	anger	0.606	andstæðingur
irritating	anger	0.606	pirrandi
sickening	anger	0.606	veikindi
discrimination	anger	0.606	mismunun
frustrate	anger	0.604	svekktur
insult	anger	0.603	móðgun
hurtful	anger	0.603	meiðandi
oppression	anger	0.603	kúgun
manipulation	anger	0.603	meðferð
tiredofit	anger	0.603	þreytafit
bigot	anger	0.603	stórmenni
tension	anger	0.603	spennu
disgust	anger	0.602	viðbjóð
spite	anger	0.600	þrátt fyrir
intrusive	anger	0.598	uppáþrengjandi
harshness	anger	0.597	hörku
slur	anger	0.596	slúður
tempest	anger	0.594	stormur
assail	anger	0.594	árás
bitterness	anger	0.594	biturð
morbidity	anger	0.594	veikindi
casualty	anger	0.594	mannfall
puncture	anger	0.594	gata
miserable	anger	0.594	ömurlegt
inferno	anger	0.594	helvítis
invasion	anger	0.594	innrás
storming	anger	0.594	stormur
wretch	anger	0.594	aumingi
consternation	anger	0.592	skelfing
raving	anger	0.591	röfl
forcibly	anger	0.591	með valdi
guillotine	anger	0.591	guillotine
guilty	anger	0.591	sekur
depraved	anger	0.591	siðspilltur
immoral	anger	0.591	siðlaus
overpowering	anger	0.591	yfirgnæfandi
scare	anger	0.588	hræða
recalcitrant	anger	0.588	óþrjótandi
screwed	anger	0.588	skrúfað
accursed	anger	0.588	bölvaður
soannoyed	anger	0.588	pirraður
invader	anger	0.588	innrásarher
jealousy	anger	0.587	öfund
indignation	anger	0.587	reiði
vexed	anger	0.586	pirraður
confront	anger	0.582	horfast í augu við
brute	anger	0.581	skepna
throttle	anger	0.579	inngjöf
slut	anger	0.578	drusla
coup	anger	0.578	valdarán
blaze	anger	0.578	loga
pillage	anger	0.578	ræna
provoking	anger	0.578	ögrandi
damage	anger	0.578	skemmdir
criminality	anger	0.578	glæpastarfsemi
shutup	anger	0.578	Þegiðu
lash	anger	0.578	augnhár
conflict	anger	0.578	átök
contentious	anger	0.578	umdeildur
shutit	anger	0.578	Lokaðu því
wreck	anger	0.578	flak
defiant	anger	0.578	ögrandi
butcher	anger	0.578	slátrari
incarceration	anger	0.578	fangelsun
revolver	anger	0.578	byssa
bickering	anger	0.578	deilur
yousuck	anger	0.578	þú sökkar
cancer	anger	0.577	krabbamein
discriminate	anger	0.576	mismuna
gun	anger	0.576	byssu
frustration	anger	0.576	gremju
gory	anger	0.576	geggjað
pernicious	anger	0.576	skaðleg
dontmess	anger	0.576	ekki rugla
blasphemy	anger	0.576	guðlast
chaotic	anger	0.576	óreiðukenndur
grope	anger	0.576	þreifa
alienation	anger	0.576	höfnun
disturbance	anger	0.576	truflun
condescension	anger	0.576	hógværð
standoff	anger	0.576	uppistand
discord	anger	0.576	ósætti
friggen	anger	0.575	friggen
sneer	anger	0.574	hláturskast
death	anger	0.574	dauða
lunacy	anger	0.574	brjálæði
scandalous	anger	0.574	hneyksli
oppressive	anger	0.574	þrúgandi
jab	anger	0.574	stökk
cursed	anger	0.574	bölvaður
monstrosity	anger	0.574	voðaverk
shit	anger	0.573	skítur
disparaging	anger	0.571	niðrandi
slash	anger	0.571	rista
unfair	anger	0.571	ósanngjarnt
gallows	anger	0.570	gálga
escalate	anger	0.569	stigmagnast
intolerant	anger	0.564	óþolandi
lawlessness	anger	0.563	lögleysa
beast	anger	0.562	skepna
torpedo	anger	0.562	tundurskeyti
malign	anger	0.562	illkynja
traitor	anger	0.562	svikari
frightful	anger	0.562	hræðilegt
wrangling	anger	0.562	rífast
slander	anger	0.562	rógburður
bellows	anger	0.562	belg
retards	anger	0.562	seinþroska
grouchy	anger	0.562	geggjaður
derogatory	anger	0.562	niðrandi
bearish	anger	0.562	bearish
invade	anger	0.562	ráðast inn
perdition	anger	0.562	glötun
arghh	anger	0.562	arghh
dreadful	anger	0.562	hræðilegt
bluddy	anger	0.562	blíður
deceived	anger	0.562	blekkt
glare	anger	0.562	glampi
taunt	anger	0.562	hæða
dissension	anger	0.561	ágreiningur
cross	anger	0.561	kross
rave	anger	0.561	rave
grating	anger	0.561	rist
devastating	anger	0.561	hrikalegt
fits	anger	0.561	passar
jeopardize	anger	0.561	setja í hættu
shatter	anger	0.561	splundrast
idiots	anger	0.561	fávitar
hurt	anger	0.561	meiða
thief	anger	0.561	þjófur
uncontrollable	anger	0.561	óviðráðanlegt
conflagration	anger	0.561	eldsvoða
betrayal	anger	0.561	svik
banshee	anger	0.561	banshee
subjugation	anger	0.559	undirgefni
disturbed	anger	0.559	truflað
stomped	anger	0.557	stappaði
grab	anger	0.557	grípa
grievance	anger	0.556	kvörtun
ticked	anger	0.556	merkt við
masochism	anger	0.556	masókismi
defiance	anger	0.552	ögrun
blackmail	anger	0.550	kúgun
offensive	anger	0.549	móðgandi
decry	anger	0.548	hafna
frustrates	anger	0.547	pirrar
violation	anger	0.547	brot
confine	anger	0.547	takmarka
misery	anger	0.547	eymd
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	misræmi
punishment	anger	0.547	refsing
rebel	anger	0.547	uppreisnarmaður
preposterous	anger	0.547	fáránlegt
disgraceful	anger	0.547	svívirðilegt
ire	anger	0.547	reiði
deceive	anger	0.547	blekkja
fustrated	anger	0.547	ruglað
sin	anger	0.547	synd
shrill	anger	0.547	skelfilegur
darkside	anger	0.547	dökk hlið
overbearing	anger	0.547	yfirþyrmandi
firearms	anger	0.547	skotvopn
stolen	anger	0.546	stolið
hadenough	anger	0.546	hef fengið nóg
prejudice	anger	0.545	fordóma
tackle	anger	0.545	takast á við
resentful	anger	0.545	gremjulegur
heated	anger	0.545	hitað
callous	anger	0.545	kvíðalaus
conspirator	anger	0.545	samsærismaður
ruined	anger	0.545	eyðilagður
antagonist	anger	0.545	andstæðingur
skirmish	anger	0.545	átök
menace	anger	0.545	ógn
annoyin	anger	0.545	pirrandi
foul	anger	0.545	rangt
argument	anger	0.545	rök
humiliate	anger	0.545	niðurlægja
wanker	anger	0.545	töffari
adversary	anger	0.545	andstæðingur
sting	anger	0.544	stinga
entangled	anger	0.544	flækt
grumble	anger	0.544	nöldra
robbery	anger	0.544	rán
outcry	anger	0.544	upphrópun
resistance	anger	0.543	mótstöðu
irreconcilable	anger	0.543	ósættanlegt
obstructive	anger	0.542	hindrandi
dismay	anger	0.540	óánægju
mob	anger	0.538	múgur
juststop	anger	0.537	Stoppaðu bara
badness	anger	0.536	illsku
ridicule	anger	0.534	háði
incendiary	anger	0.533	íkveikju
flares	anger	0.532	blys
twofaced	anger	0.531	tvíhliða
reckless	anger	0.531	kærulaus
communism	anger	0.531	kommúnisma
allegation	anger	0.531	ásökun
prejudicial	anger	0.531	fordómafullur
whip	anger	0.531	svipa
unbridled	anger	0.531	taumlaus
degeneracy	anger	0.531	hrörnun
intruder	anger	0.531	boðflenna
belittle	anger	0.531	gera lítið úr
confinement	anger	0.531	innilokun
dispute	anger	0.531	ágreiningur
exacerbation	anger	0.531	versnun
uprising	anger	0.531	uppreisn
unjust	anger	0.530	óréttlátt
unjustifiable	anger	0.530	óafsakanlegt
perversion	anger	0.530	öfugmæli
bigoted	anger	0.530	stórhuga
fiesty	anger	0.530	hátíðlegur
offender	anger	0.530	brotamaður
dictatorial	anger	0.530	einræðisherra
hassle	anger	0.530	þræta
dissonance	anger	0.530	ósamræmi
tackled	anger	0.530	tekist á við
renegade	anger	0.529	fráfallinn
cantstandit	anger	0.529	þoli ekki
trespass	anger	0.529	brot
hot	anger	0.529	heitt
prison	anger	0.529	fangelsi
suicide	anger	0.521	sjálfsvíg
annoy	anger	0.520	ónáða
leavemealone	anger	0.517	Láttu mig vera
cretins	anger	0.516	kretin
depravity	anger	0.516	hrörnun
idiotic	anger	0.516	fávitalegt
dishonest	anger	0.516	óheiðarlegur
distrust	anger	0.516	vantraust
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	gagnrýna
inimical	anger	0.516	óviljandi
tortious	anger	0.516	skaðabótaskyldur
prisoner	anger	0.516	fangi
treason	anger	0.516	landráð
divorce	anger	0.516	skilnað
venting	anger	0.516	loftræsting
duress	anger	0.516	þvingun
disrespectful	anger	0.516	virðingarleysi
poaching	anger	0.515	rjúpnaveiðar
scold	anger	0.515	skamma
poachers	anger	0.515	veiðiþjófar
pow	anger	0.515	pow
hangry	anger	0.515	hungraður
argumentation	anger	0.515	röksemdafærslu
frustrating	anger	0.515	svekkjandi
unkind	anger	0.515	óvingjarnlegur
roar	anger	0.515	öskra
coercion	anger	0.515	þvingun
unforgiving	anger	0.515	ófyrirgefanlegt
grump	anger	0.515	nöldur
bile	anger	0.515	galli
unleash	anger	0.515	leysa úr læðingi
chaos	anger	0.515	óreiðu
victimized	anger	0.515	fórnarlamb
jerks	anger	0.515	skíthæll
tussle	anger	0.514	þræta
bane	anger	0.511	bann
accusation	anger	0.510	ásökun
enmity	anger	0.510	fjandskapur
repudiation	anger	0.510	afneitun
banish	anger	0.509	reka út
disfigured	anger	0.508	afmyndaður
storm	anger	0.507	stormur
crazy	anger	0.500	brjálaður
hammering	anger	0.500	hamra
defy	anger	0.500	ögra
antithesis	anger	0.500	andstæða
scoff	anger	0.500	spotta
anguish	anger	0.500	angist
confined	anger	0.500	innilokaður
fear	anger	0.500	ótta
bout	anger	0.500	bardaga
unruly	anger	0.500	óstýrilátur
delusional	anger	0.500	blekkingar
obstruct	anger	0.500	hindra
possessed	anger	0.500	andsetinn
injustice	anger	0.500	óréttlæti
fervor	anger	0.500	ákafa
spear	anger	0.500	spjót
derision	anger	0.500	háði
intractable	anger	0.500	óleysanleg
reject	anger	0.500	hafna
dominate	anger	0.500	ráða yfir
ordeal	anger	0.500	prófraun
banished	anger	0.500	bannfærður
rejects	anger	0.500	hafnar
shun	anger	0.500	forðast
brunt	anger	0.500	hiti
derogation	anger	0.500	undanþágu
frenzied	anger	0.500	æði
animus	anger	0.500	fjör
suppression	anger	0.500	bælingu
malpractice	anger	0.500	misferli
brazen	anger	0.500	frækinn
foaming	anger	0.500	froðufellandi
disrupting	anger	0.500	trufla
nobodycares	anger	0.500	öllum er sama
patronising	anger	0.500	verndarvæng
getoveryourself	anger	0.495	komst yfir sjálfan þig
toughness	anger	0.492	hörku
stupidpeople	anger	0.492	heimskt fólk
madness	anger	0.491	brjálæði
sinful	anger	0.491	syndugt
avarice	anger	0.490	græðgi
oppress	anger	0.490	kúga
cutting	anger	0.485	klippa
anathema	anger	0.485	anathema
annoyed	anger	0.485	pirraður
dissident	anger	0.485	andófsmaður
demand	anger	0.485	heimta
usurp	anger	0.485	ræna
claw	anger	0.485	kló
alienate	anger	0.485	fjarlæga
infraction	anger	0.485	brot
avenger	anger	0.485	hefndarmaður
revoke	anger	0.485	afturkalla
smuggler	anger	0.485	smyglari
abolish	anger	0.485	afnema
fricking	anger	0.485	frekjandi
stayaway	anger	0.485	vera í burtu
pervert	anger	0.485	öfuguggi
disservice	anger	0.485	vanþóknun
disobedient	anger	0.485	óhlýðinn
incest	anger	0.485	sifjaspell
complaint	anger	0.485	kvörtun
disapproved	anger	0.485	hafnað
inhuman	anger	0.485	ómanneskjulegt
mocking	anger	0.484	háði
penalty	anger	0.484	víti
renounce	anger	0.484	afsala sér
restrain	anger	0.484	aðhald
upheaval	anger	0.484	uppnám
deceit	anger	0.484	svik
obnoxious	anger	0.484	viðbjóðslegur
imprisoned	anger	0.484	fangelsaðir
strained	anger	0.484	þvingaður
blame	anger	0.484	kenna
oust	anger	0.484	brottvísun
litigious	anger	0.484	málaferli
rivalry	anger	0.484	samkeppni
sucker	anger	0.484	sogskál
opposed	anger	0.484	á móti
thresh	anger	0.484	þreskja
disgrace	anger	0.484	svívirðing
suspicious	anger	0.484	grunsamlegt
turbulence	anger	0.483	iðustreymi
pound	anger	0.481	punda
coldness	anger	0.477	kulda
ungrateful	anger	0.472	vanþakklátur
stoopid	anger	0.471	stupid
battalion	anger	0.471	herfylki
feudalism	anger	0.470	feudalism
hostage	anger	0.470	í gíslingu
annoying	anger	0.470	pirrandi
dispossessed	anger	0.470	ráðstafað
subversion	anger	0.470	niðurrif
friction	anger	0.470	núningur
jealous	anger	0.470	öfundsjúkur
adversity	anger	0.470	mótlæti
infidel	anger	0.470	vantrúaður
gall	anger	0.470	gall
accuser	anger	0.470	ákærandi
ram	anger	0.470	Vinnsluminni
armament	anger	0.470	vígbúnað
thump	anger	0.469	dunka
dislike	anger	0.469	mislíkar
steal	anger	0.469	stela
backoff	anger	0.469	bakslag
stifled	anger	0.469	kæfður
incite	anger	0.469	hvetja til
distress	anger	0.469	neyð
angermanagement	anger	0.469	reiðistjórnun
selfish	anger	0.469	eigingirni
injury	anger	0.469	meiðsli
exile	anger	0.469	útlegð
insanity	anger	0.469	geðveiki
