English Word	Emotion	Emotion-Intensity-Score	Serbian Word
stab	anger	0.844	убости
abomination	anger	0.844	одвратност
tumultuous	anger	0.844	буран
infuriate	anger	0.844	разбеснети
obliterate	anger	0.843	избрисати
belligerent	anger	0.841	ратоборни
dumbbitch	anger	0.841	думббитцх
detest	anger	0.838	мрзити
hostilities	anger	0.837	непријатељства
prick	anger	0.835	прицк
rampage	anger	0.833	разјареност
horrid	anger	0.833	страшно
cruelty	anger	0.833	окрутност
torture	anger	0.833	мучење
rabid	anger	0.833	бесни
despicable	anger	0.828	презира
tyrannical	anger	0.828	тирански
demonic	anger	0.828	демонски
satanic	anger	0.828	сатански
hate	anger	0.828	мржња
ragemode	anger	0.828	рагемоде
hating	anger	0.828	мрзећи
ruinous	anger	0.825	погубан
condemn	anger	0.825	осудити
riots	anger	0.824	немири
demolish	anger	0.824	рушити
angry	anger	0.824	љут
extermination	anger	0.824	истребљење
dickhead	anger	0.824	курац
livid	anger	0.821	ливид
madman	anger	0.820	лудак
vindictive	anger	0.819	осветољубив
terrorist	anger	0.818	терориста
threaten	anger	0.818	претити
venomous	anger	0.818	отрован
hateyou	anger	0.818	Мрзим те
ferocity	anger	0.818	жестина
effyou	anger	0.818	еффиоу
abhor	anger	0.816	гнушати се
carnage	anger	0.814	царнаге
savage	anger	0.814	дивљачки
atrocity	anger	0.814	зверство
fucksake	anger	0.812	фуцксаке
abuse	anger	0.812	злоупотреба
fierce	anger	0.812	жестоки
destroyer	anger	0.812	разарач
angrytweet	anger	0.812	ангритвеет
barbaric	anger	0.812	варварски
vendetta	anger	0.812	освета
pissesmeoff	anger	0.812	писсесмеофф
pissedoff	anger	0.812	надркани
tyrant	anger	0.812	тиранин
berserk	anger	0.812	помахнитао
fuming	anger	0.812	фуминг
anger	anger	0.811	љутња
pieceofshit	anger	0.810	пиецеофсхит
punched	anger	0.803	ударио
punching	anger	0.803	ударање
slam	anger	0.803	слам
homicide	anger	0.803	убиство
bitch	anger	0.803	кучко
fights	anger	0.803	туче
ruthless	anger	0.797	немилосрдни
villainous	anger	0.797	зликовац
destructive	anger	0.797	деструктивни
slap	anger	0.791	шамар
riot	anger	0.788	нереда
growthefuckup	anger	0.788	гровефуцкуп
punishing	anger	0.788	кажњавајући
slaughterhouse	anger	0.788	кланица
yelling	anger	0.788	виче
diabolical	anger	0.788	ђаволски
destroyed	anger	0.788	уништена
ragetweet	anger	0.788	рагетвеет
retaliatory	anger	0.788	осветнички
manslaughter	anger	0.783	убиство из нехата
clash	anger	0.783	сукоб
quarrel	anger	0.781	свађа
bloody	anger	0.781	крваво
hellish	anger	0.781	паклено
sinister	anger	0.781	злокобно
loath	anger	0.781	мрзети
detonation	anger	0.781	детонација
accusing	anger	0.779	оптужујући
fumin	anger	0.779	фумин
hateeee	anger	0.779	хатееее
treacherous	anger	0.779	издајнички
madder	anger	0.773	маддер
horrific	anger	0.773	страшно
revulsion	anger	0.773	одбојност
retaliate	anger	0.773	узвратити
scorn	anger	0.769	презир
bomb	anger	0.766	бомба
deplorable	anger	0.766	жалосно
devastation	anger	0.765	пустош
anarchist	anger	0.765	анархиста
firestorm	anger	0.765	ватрена олуја
resent	anger	0.765	негодовати
contemptible	anger	0.764	презира
shittest	anger	0.760	схиттест
rant	anger	0.758	рант
cruel	anger	0.758	сурово
deadly	anger	0.758	смртоносна
smash	anger	0.758	разбити
soangry	anger	0.758	толико љут
outburst	anger	0.757	испад
snarl	anger	0.754	режати
profane	anger	0.750	профане
revolting	anger	0.750	револтиран
aggravating	anger	0.750	отежавајуће
horror	anger	0.750	хорор
despise	anger	0.750	презирати
offend	anger	0.750	увредити
stfu	anger	0.750	стфу
vulgarity	anger	0.750	вулгарност
crazed	anger	0.750	полудео
douchebags	anger	0.750	доуцхебагс
growling	anger	0.750	режање
dontmesswithme	anger	0.750	донтмессвитхме
screaming	anger	0.742	вриштећи
threat	anger	0.742	претња
erupt	anger	0.742	избијати
horrible	anger	0.742	страшно
molestation	anger	0.742	злостављање
fuckedoff	anger	0.742	фуцкедофф
violence	anger	0.742	насиља
bastards	anger	0.741	гадови
revenge	anger	0.738	освета
menacing	anger	0.735	претећи
crushing	anger	0.735	дробљење
damn	anger	0.735	проклети
catastrophe	anger	0.735	катастрофа
demon	anger	0.735	демон
argue	anger	0.734	расправљати
persecute	anger	0.734	прогонити
deplore	anger	0.734	жалити
flog	anger	0.734	бичевати
fedup	anger	0.734	дојадити
riotous	anger	0.734	бунован
vehement	anger	0.734	вехемент
revolt	anger	0.734	побуна
warfare	anger	0.734	ратовање
thrash	anger	0.734	тхрасх
altercation	anger	0.729	свађање
warlike	anger	0.728	ратоборни
shitday	anger	0.727	схитдаи
mutiny	anger	0.727	побуна
castrate	anger	0.727	кастрирати
sabotage	anger	0.727	саботаже
malevolent	anger	0.721	злонамерни
strike	anger	0.721	ударац
disaster	anger	0.721	катастрофа
disastrous	anger	0.720	погубно
bastarding	anger	0.719	копиле
treachery	anger	0.719	издаја
arseholes	anger	0.719	сероње
horseshit	anger	0.719	срање
slay	anger	0.719	слаи
disdain	anger	0.719	презир
aggravates	anger	0.719	отежава
brutal	anger	0.719	брутално
scorching	anger	0.719	ужареним
devil	anger	0.719	ђавола
madden	anger	0.719	избезумљен
spiteful	anger	0.719	злобни
scream	anger	0.719	вриштати
choke	anger	0.719	гушити
vermin	anger	0.719	гамад
tumult	anger	0.719	метеж
criminal	anger	0.714	злочиначки
mangle	anger	0.714	мангле
anarchism	anger	0.714	анархизам
mutilation	anger	0.714	сакаћење
denunciation	anger	0.713	денунцијација
punch	anger	0.713	пунцх
virulence	anger	0.712	вируленција
fatal	anger	0.712	фаталне
hurting	anger	0.712	боли
crucifixion	anger	0.712	распеће
dontlikeyou	anger	0.712	донтликеиоу
blasphemous	anger	0.712	богохулни
holocaust	anger	0.712	холокауста
dumbasses	anger	0.712	глупане
battled	anger	0.712	борио
deranged	anger	0.706	поремећен
irritated	anger	0.706	изиритиран
atrocious	anger	0.706	грозан
evil	anger	0.706	зла
aggravated	anger	0.703	отежано
intimidation	anger	0.703	застрашивање
dicks	anger	0.703	дицкс
assassin	anger	0.703	ассассин
scolding	anger	0.703	грдећи
persecution	anger	0.703	прогон
slayer	anger	0.703	убица
kidnap	anger	0.703	киднаповати
aggression	anger	0.702	агресија
armed	anger	0.700	наоружани
battle	anger	0.697	битка
poison	anger	0.697	отров
snarling	anger	0.697	режање
venom	anger	0.697	отров
disgruntled	anger	0.693	незадовољан
resentment	anger	0.691	озлојеђеност
assailant	anger	0.691	нападач
insidious	anger	0.691	подмукао
contemptuous	anger	0.690	презриво
lynch	anger	0.690	линч
temper	anger	0.688	темперамент
terrible	anger	0.688	страшно
disparage	anger	0.688	омаловажавање
lunatic	anger	0.688	лудак
bully	anger	0.688	насилник
mad	anger	0.688	луд
makesmemad	anger	0.688	макесмемад
infanticide	anger	0.688	чедоморство
domination	anger	0.688	доминација
peeved	anger	0.688	љут
imprisonment	anger	0.688	лишавање слободе
curse	anger	0.688	проклетство
volatility	anger	0.687	волатилност
eradication	anger	0.685	искорењивање
eradicate	anger	0.682	искоренити
tantrum	anger	0.682	наступ беса
scoundrel	anger	0.682	нитков
devastate	anger	0.682	опустошити
aggressively	anger	0.680	агресивно
agitation	anger	0.680	узнемиреност
dictatorship	anger	0.676	диктатуре
irritates	anger	0.676	иритира
profanity	anger	0.673	вулгарности
shove	anger	0.672	гурнути
nasty	anger	0.672	гадно
shot	anger	0.672	пуцањ
cruelly	anger	0.672	сурово
shoot	anger	0.672	Пуцај
condemnation	anger	0.672	осуда
crushed	anger	0.672	згњечен
aggravation	anger	0.672	погоршање
poisonous	anger	0.672	отрован
egregious	anger	0.672	егрегиоус
crime	anger	0.672	злочин
corrupting	anger	0.672	кварећи
dastardly	anger	0.672	подло
contempt	anger	0.672	презир
harmful	anger	0.672	штетно
expletive	anger	0.672	псовке
wreak	anger	0.672	сејати
maniac	anger	0.670	манијак
cutthroat	anger	0.667	кобник
enemy	anger	0.667	непријатељ
hit	anger	0.667	хит
hateeveryone	anger	0.667	Мрзим све
eruption	anger	0.667	ерупција
irritable	anger	0.667	раздражљив
odious	anger	0.667	одиозан
shooting	anger	0.667	пуцање
shout	anger	0.667	узвик
aggressive	anger	0.667	агресиван
kick	anger	0.667	кицк
combat	anger	0.667	борба
fight	anger	0.667	борба
punished	anger	0.662	кажњен
yell	anger	0.661	викати
ambush	anger	0.661	заседа
harass	anger	0.659	узнемиравати
malignant	anger	0.656	малигни
aggressor	anger	0.656	агресор
gore	anger	0.656	горе
destruction	anger	0.656	уништење
grudge	anger	0.656	зловоља
antichrist	anger	0.656	антихрист
incense	anger	0.656	тамјан
expel	anger	0.656	избацити
cranky	anger	0.653	мрзовољан
slave	anger	0.652	Роб
reprisal	anger	0.652	одмазде
growl	anger	0.652	режати
animosity	anger	0.652	анимозитет
insurrection	anger	0.652	устанак
clashing	anger	0.652	сукобљавајући се
denounce	anger	0.652	денунцирати
offended	anger	0.652	увређени
spank	anger	0.652	спанк
insulting	anger	0.652	увреда
growls	anger	0.649	режи
executioner	anger	0.644	џелата
twat	anger	0.644	пизда
doomsday	anger	0.643	судњи дан
obscenity	anger	0.641	опсцености
accused	anger	0.641	оптужени
feud	anger	0.641	завада
daemon	anger	0.641	демон
havoc	anger	0.641	хаос
shackle	anger	0.641	окова
inexcusable	anger	0.641	неопростиво
indignant	anger	0.641	огорчен
grr	anger	0.641	грр
expulsion	anger	0.641	протеривање
bombard	anger	0.641	бомбардовати
spat	anger	0.641	пљунути
arson	anger	0.641	паљевина
reprimand	anger	0.641	укор
somad	anger	0.637	тако љут
frustrated	anger	0.636	фрустриран
batter	anger	0.636	тесто
kicking	anger	0.636	ударање ногама
anarchy	anger	0.636	анархија
spanking	anger	0.636	спанкинг
glaring	anger	0.636	блиставо
suicidal	anger	0.636	самоубилачки
disgusting	anger	0.636	одвратан
wound	anger	0.636	рана
hanging	anger	0.636	висећи
poisoned	anger	0.636	отрован
combatant	anger	0.636	борац
wrecked	anger	0.633	разбијен
inflict	anger	0.633	нанети
grievous	anger	0.632	тужан
prosecute	anger	0.630	гонити
agitated	anger	0.630	узнемирен
cheat	anger	0.630	варати
swastika	anger	0.627	свастика
injure	anger	0.625	повредити
indict	anger	0.625	оптужница
scourge	anger	0.625	бич
provocation	anger	0.625	провокација
suffocation	anger	0.625	гушење
strife	anger	0.625	свађа
raid	anger	0.625	раид
enslaved	anger	0.625	поробљен
cursing	anger	0.625	псујући
defamatory	anger	0.625	клеветнички
harassing	anger	0.625	узнемиравање
thundering	anger	0.625	грми
betray	anger	0.625	издати
arsehole	anger	0.624	сероња
theft	anger	0.621	крађа
insane	anger	0.621	инсане
retaliation	anger	0.621	одмазде
irritate	anger	0.621	иритирати
deprivation	anger	0.621	лишавање
fiend	anger	0.621	фиенд
jerk	anger	0.621	кретен
convict	anger	0.621	осуђеник
cussed	anger	0.619	псовао
turmoil	anger	0.618	превирања
smack	anger	0.615	смацк
retribution	anger	0.614	одмазда
rebellion	anger	0.609	побуна
oppressor	anger	0.609	тлачитеља
gang	anger	0.609	банда
slavery	anger	0.609	ропство
intolerable	anger	0.609	неподношљиво
adverse	anger	0.609	штетан
injurious	anger	0.609	штетно
twats	anger	0.609	тватс
collision	anger	0.609	судара
battery	anger	0.609	батерија
bitterly	anger	0.609	горко
antagonism	anger	0.609	антагонизам
irritability	anger	0.609	раздражљивост
disgraced	anger	0.608	обешчашћени
diatribe	anger	0.606	дијатриба
asshole	anger	0.606	сероња
blast	anger	0.606	бласт
bombardment	anger	0.606	бомбардовање
irks	anger	0.606	иркс
ranting	anger	0.606	рантинг
revolution	anger	0.606	револуција
thug	anger	0.606	насилник
antagonistic	anger	0.606	антагонистички
irritating	anger	0.606	иритантно
sickening	anger	0.606	мучно
discrimination	anger	0.606	дискриминација
frustrate	anger	0.604	фрустрирати
insult	anger	0.603	увреде
hurtful	anger	0.603	штетно
oppression	anger	0.603	угњетавање
manipulation	anger	0.603	манипулација
tiredofit	anger	0.603	тиредофит
bigot	anger	0.603	затуцана особа
tension	anger	0.603	напетост
disgust	anger	0.602	гађење
spite	anger	0.600	инат
intrusive	anger	0.598	наметљив
harshness	anger	0.597	грубост
slur	anger	0.596	увреда
tempest	anger	0.594	олуја
assail	anger	0.594	ассаил
bitterness	anger	0.594	горчина
morbidity	anger	0.594	морбидитета
casualty	anger	0.594	жртва
puncture	anger	0.594	пункција
miserable	anger	0.594	јадан
inferno	anger	0.594	инферно
invasion	anger	0.594	инвазија
storming	anger	0.594	јуриша
wretch	anger	0.594	бедник
consternation	anger	0.592	констернација
raving	anger	0.591	бунцање
forcibly	anger	0.591	насилно
guillotine	anger	0.591	гиљотина
guilty	anger	0.591	крив
depraved	anger	0.591	развратни
immoral	anger	0.591	неморално
overpowering	anger	0.591	надмоћан
scare	anger	0.588	плашити
recalcitrant	anger	0.588	непослушан
screwed	anger	0.588	сјебан
accursed	anger	0.588	проклети
soannoyed	anger	0.588	соанноиед
invader	anger	0.588	освајач
jealousy	anger	0.587	љубомора
indignation	anger	0.587	негодовање
vexed	anger	0.586	раздражено
confront	anger	0.582	суочити
brute	anger	0.581	бруте
throttle	anger	0.579	Гуша
slut	anger	0.578	дроља
coup	anger	0.578	дрзавни удар
blaze	anger	0.578	пламен
pillage	anger	0.578	пљачкање
provoking	anger	0.578	изазивајући
damage	anger	0.578	оштећења
criminality	anger	0.578	криминалитет
shutup	anger	0.578	ућути
lash	anger	0.578	трепавица
conflict	anger	0.578	сукоба
contentious	anger	0.578	споран
shutit	anger	0.578	схутит
wreck	anger	0.578	олупина
defiant	anger	0.578	пркосан
butcher	anger	0.578	месар
incarceration	anger	0.578	затварање
revolver	anger	0.578	револвер
bickering	anger	0.578	препирке
yousuck	anger	0.578	лош си
cancer	anger	0.577	рак
discriminate	anger	0.576	дискриминисати
gun	anger	0.576	пиштољ
frustration	anger	0.576	фрустрација
gory	anger	0.576	гори
pernicious	anger	0.576	погубан
dontmess	anger	0.576	донтмесс
blasphemy	anger	0.576	богохуљење
chaotic	anger	0.576	хаотично
grope	anger	0.576	опипати
alienation	anger	0.576	отуђење
disturbance	anger	0.576	поремећај
condescension	anger	0.576	снисходљивост
standoff	anger	0.576	стандофф
discord	anger	0.576	раздор
friggen	anger	0.575	фригген
sneer	anger	0.574	подсмевати се
death	anger	0.574	смрти
lunacy	anger	0.574	лудило
scandalous	anger	0.574	скандалозно
oppressive	anger	0.574	угњетавајући
jab	anger	0.574	јаб
cursed	anger	0.574	проклет
monstrosity	anger	0.574	монструозност
shit	anger	0.573	срање
disparaging	anger	0.571	потцењивачки
slash	anger	0.571	коса црта
unfair	anger	0.571	неправедно
gallows	anger	0.570	вешала
escalate	anger	0.569	ескалирати
intolerant	anger	0.564	нетолерантни
lawlessness	anger	0.563	безакоње
beast	anger	0.562	звер
torpedo	anger	0.562	торпедо
malign	anger	0.562	малигни
traitor	anger	0.562	издајник
frightful	anger	0.562	страшно
wrangling	anger	0.562	свађање
slander	anger	0.562	клевета
bellows	anger	0.562	мехови
retards	anger	0.562	ретарди
grouchy	anger	0.562	мрзовољно
derogatory	anger	0.562	погрдно
bearish	anger	0.562	медведасти
invade	anger	0.562	упадати
perdition	anger	0.562	пропаст
arghh	anger	0.562	аргхх
dreadful	anger	0.562	страшно
bluddy	anger	0.562	блудди
deceived	anger	0.562	преварени
glare	anger	0.562	одсјај
taunt	anger	0.562	ругати се
dissension	anger	0.561	раздор
cross	anger	0.561	крст
rave	anger	0.561	раве
grating	anger	0.561	рибање
devastating	anger	0.561	поражавајуће
fits	anger	0.561	одговара
jeopardize	anger	0.561	угрозити
shatter	anger	0.561	разбити
idiots	anger	0.561	идиоти
hurt	anger	0.561	повредити
thief	anger	0.561	лопов
uncontrollable	anger	0.561	неконтролисано
conflagration	anger	0.561	пожар
betrayal	anger	0.561	издаја
banshee	anger	0.561	бансхее
subjugation	anger	0.559	потчињавање
disturbed	anger	0.559	узнемирен
stomped	anger	0.557	газио
grab	anger	0.557	граб
grievance	anger	0.556	притужба
ticked	anger	0.556	означено
masochism	anger	0.556	мазохизам
defiance	anger	0.552	пркос
blackmail	anger	0.550	уцена
offensive	anger	0.549	офанзивно
decry	anger	0.548	осудити
frustrates	anger	0.547	фрустрира
violation	anger	0.547	кршење
confine	anger	0.547	ограничити
misery	anger	0.547	беда
arghhhh	anger	0.547	аргхххх
disparity	anger	0.547	диспаритет
punishment	anger	0.547	казна
rebel	anger	0.547	Побуњеник
preposterous	anger	0.547	бесмислено
disgraceful	anger	0.547	срамотно
ire	anger	0.547	ире
deceive	anger	0.547	преварити
fustrated	anger	0.547	фустриран
sin	anger	0.547	грех
shrill	anger	0.547	рески
darkside	anger	0.547	Тамна страна
overbearing	anger	0.547	надмоћан
firearms	anger	0.547	ватрено оружје
stolen	anger	0.546	украден
hadenough	anger	0.546	Доста
prejudice	anger	0.545	предрасуда
tackle	anger	0.545	тацкле
resentful	anger	0.545	огорчен
heated	anger	0.545	загрејан
callous	anger	0.545	бешћутан
conspirator	anger	0.545	завереника
ruined	anger	0.545	разорен
antagonist	anger	0.545	антагониста
skirmish	anger	0.545	окршај
menace	anger	0.545	претња
annoyin	anger	0.545	досадан
foul	anger	0.545	фаул
argument	anger	0.545	расправа
humiliate	anger	0.545	понизити
wanker	anger	0.545	ванкер
adversary	anger	0.545	противник
sting	anger	0.544	убод
entangled	anger	0.544	уплетен
grumble	anger	0.544	зановетати
robbery	anger	0.544	пљачка
outcry	anger	0.544	негодовање
resistance	anger	0.543	отпор
irreconcilable	anger	0.543	непомирљив
obstructive	anger	0.542	опструктивно
dismay	anger	0.540	ужаснутост
mob	anger	0.538	банда
juststop	anger	0.537	престани
badness	anger	0.536	лошега
ridicule	anger	0.534	исмевање
incendiary	anger	0.533	запаљива
flares	anger	0.532	бакље
twofaced	anger	0.531	дволичан
reckless	anger	0.531	безобзиран
communism	anger	0.531	комунизам
allegation	anger	0.531	навод
prejudicial	anger	0.531	предрасуда
whip	anger	0.531	Бич
unbridled	anger	0.531	необуздан
degeneracy	anger	0.531	дегенерација
intruder	anger	0.531	уљез
belittle	anger	0.531	омаловажавати
confinement	anger	0.531	затварање
dispute	anger	0.531	спора
exacerbation	anger	0.531	погоршање
uprising	anger	0.531	устанак
unjust	anger	0.530	неправедан
unjustifiable	anger	0.530	неоправдано
perversion	anger	0.530	изопаченост
bigoted	anger	0.530	фанатичан
fiesty	anger	0.530	фиести
offender	anger	0.530	преступник
dictatorial	anger	0.530	диктаторски
hassle	anger	0.530	гњаважа
dissonance	anger	0.530	дисонанце
tackled	anger	0.530	ухватио у коштац
renegade	anger	0.529	ренегаде
cantstandit	anger	0.529	цантстандит
trespass	anger	0.529	преступ
hot	anger	0.529	вруће
prison	anger	0.529	затвор
suicide	anger	0.521	самоубиство
annoy	anger	0.520	нервирати
leavemealone	anger	0.517	остави ме на миру
cretins	anger	0.516	кретени
depravity	anger	0.516	изопаченост
idiotic	anger	0.516	идиотски
dishonest	anger	0.516	непоштен
distrust	anger	0.516	неповерење
broil	anger	0.516	пржити
grrr	anger	0.516	гррр
criticize	anger	0.516	критиковати
inimical	anger	0.516	непријатељски
tortious	anger	0.516	деликтно
prisoner	anger	0.516	затвореник
treason	anger	0.516	издаја
divorce	anger	0.516	развод брака
venting	anger	0.516	одзрачивање
duress	anger	0.516	принуда
disrespectful	anger	0.516	непоштовање
poaching	anger	0.515	криволов
scold	anger	0.515	грдити
poachers	anger	0.515	ловокрадице
pow	anger	0.515	пов
hangry	anger	0.515	гладан
argumentation	anger	0.515	аргументација
frustrating	anger	0.515	фрустрирајуће
unkind	anger	0.515	нељубазни
roar	anger	0.515	урлати
coercion	anger	0.515	принуда
unforgiving	anger	0.515	неопростиви
grump	anger	0.515	грумп
bile	anger	0.515	жучи
unleash	anger	0.515	ослободити
chaos	anger	0.515	хаос
victimized	anger	0.515	жртвама
jerks	anger	0.515	кретени
tussle	anger	0.514	тучњава
bane	anger	0.511	бане
accusation	anger	0.510	оптужба
enmity	anger	0.510	непријатељство
repudiation	anger	0.510	одбацивање
banish	anger	0.509	протерати
disfigured	anger	0.508	унакажена
storm	anger	0.507	олуја
crazy	anger	0.500	луда
hammering	anger	0.500	чекићем
defy	anger	0.500	пркосити
antithesis	anger	0.500	антитеза
scoff	anger	0.500	ругати се
anguish	anger	0.500	тескоба
confined	anger	0.500	ограничен
fear	anger	0.500	страх
bout	anger	0.500	боут
unruly	anger	0.500	непослушан
delusional	anger	0.500	заблуда
obstruct	anger	0.500	ометати
possessed	anger	0.500	поседнут
injustice	anger	0.500	неправда
fervor	anger	0.500	жар
spear	anger	0.500	копље
derision	anger	0.500	подсмех
intractable	anger	0.500	неумољив
reject	anger	0.500	одбити
dominate	anger	0.500	доминирати
ordeal	anger	0.500	искушење
banished	anger	0.500	прогнани
rejects	anger	0.500	одбија
shun	anger	0.500	клонити се
brunt	anger	0.500	највећи терет
derogation	anger	0.500	дерогација
frenzied	anger	0.500	помахнитао
animus	anger	0.500	анимус
suppression	anger	0.500	потискивање
malpractice	anger	0.500	несавесност
brazen	anger	0.500	дрзак
foaming	anger	0.500	пенушање
disrupting	anger	0.500	ометајући
nobodycares	anger	0.500	никога није брига
patronising	anger	0.500	покровитељски
getoveryourself	anger	0.495	гетовериоурселф
toughness	anger	0.492	жилавост
stupidpeople	anger	0.492	глупи људи
madness	anger	0.491	лудило
sinful	anger	0.491	грешни
avarice	anger	0.490	среброљубље
oppress	anger	0.490	тлачити
cutting	anger	0.485	сечење
anathema	anger	0.485	анатема
annoyed	anger	0.485	изнервиран
dissident	anger	0.485	дисидент
demand	anger	0.485	потражња
usurp	anger	0.485	узурпирати
claw	anger	0.485	канџа
alienate	anger	0.485	отуђити
infraction	anger	0.485	прекршај
avenger	anger	0.485	осветник
revoke	anger	0.485	опозвати
smuggler	anger	0.485	шверцер
abolish	anger	0.485	укинути
fricking	anger	0.485	фрицкинг
stayaway	anger	0.485	клони се
pervert	anger	0.485	перверзњак
disservice	anger	0.485	медвеђу услугу
disobedient	anger	0.485	непослушан
incest	anger	0.485	инцест
complaint	anger	0.485	жалба
disapproved	anger	0.485	неодобрено
inhuman	anger	0.485	нељудски
mocking	anger	0.484	подругљив
penalty	anger	0.484	казна
renounce	anger	0.484	одрећи се
restrain	anger	0.484	обуздати
upheaval	anger	0.484	преокрет
deceit	anger	0.484	превара
obnoxious	anger	0.484	одвратан
imprisoned	anger	0.484	затворен
strained	anger	0.484	напрегнути
blame	anger	0.484	кривити
oust	anger	0.484	избацити
litigious	anger	0.484	парнични
rivalry	anger	0.484	ривалство
sucker	anger	0.484	сисавац
opposed	anger	0.484	супротстављени
thresh	anger	0.484	млатити
disgrace	anger	0.484	срамота
suspicious	anger	0.484	сумњиво
turbulence	anger	0.483	турбуленција
pound	anger	0.481	фунта
coldness	anger	0.477	хладноћа
ungrateful	anger	0.472	незахвални
stoopid	anger	0.471	стоопид
battalion	anger	0.471	батаљона
feudalism	anger	0.470	феудализам
hostage	anger	0.470	талац
annoying	anger	0.470	досадно
dispossessed	anger	0.470	одузети
subversion	anger	0.470	субверзија
friction	anger	0.470	трење
jealous	anger	0.470	љубоморан
adversity	anger	0.470	недаће
infidel	anger	0.470	неверник
gall	anger	0.470	жуч
accuser	anger	0.470	тужитељ
ram	anger	0.470	РАМ
armament	anger	0.470	наоружање
thump	anger	0.469	бат
dislike	anger	0.469	несвиђање
steal	anger	0.469	красти
backoff	anger	0.469	одбиј
stifled	anger	0.469	угушен
incite	anger	0.469	подстицати
distress	anger	0.469	невоља
angermanagement	anger	0.469	контрола беса
selfish	anger	0.469	себичан
injury	anger	0.469	повреда
exile	anger	0.469	изгнанство
insanity	anger	0.469	безумље
offense	anger	0.469	прекршај
objection	anger	0.469	приговор
smother	anger	0.469	угушити
disruption	anger	0.469	прекид
intolerance	anger	0.469	нетолеранција
disobey	anger	0.469	не послушати
selfishness	anger	0.469	себичност
recidivism	anger	0.469	рецидивизам
subversive	anger	0.469	субверзивна
huff	anger	0.469	хуфф
plunder	anger	0.469	пљачкати
opposition	anger	0.469	опозиција
complain	anger	0.469	жалити се
perpetrator	anger	0.469	извршилац
simmer	anger	0.469	крчкати
areyoukidding	anger	0.468	шалиш се
mug	anger	0.467	шоља
agony	anger	0.465	агонија
arrogant	anger	0.461	арогантан
sux	anger	0.456	сук
vent	anger	0.456	одушка
elimination	anger	0.456	елиминација
picketing	anger	0.456	пицкетинг
haughty	anger	0.456	охоло
grated	anger	0.455	рендани
flagrant	anger	0.455	флагрантно
busted	anger	0.455	ухапшен
crabby	anger	0.455	крабби
dying	anger	0.455	умирући
idiocy	anger	0.455	идиотизам
impermeable	anger	0.455	непропусна
stubbed	anger	0.455	стуббед
illegality	anger	0.455	незаконитости
veto	anger	0.455	вето
constraint	anger	0.455	ограничење
mislead	anger	0.455	завести
illicit	anger	0.455	недозвољеним
troublesome	anger	0.455	мучан
clamor	anger	0.455	галама
bayonet	anger	0.453	бајонет
suppress	anger	0.453	потиснути
intense	anger	0.453	интензиван
displeased	anger	0.453	незадовољан
disapproving	anger	0.453	неодобравајући
