English Word	Emotion	Emotion-Intensity-Score	Tatar Word
madden	anger	0.719	акылдан язган
spiteful	anger	0.719	усал
scream	anger	0.719	кычкыр
choke	anger	0.719	бөкләү
vermin	anger	0.719	чүп үләне
tumult	anger	0.719	шау-шу
criminal	anger	0.714	җинаятьче
mangle	anger	0.714	мангле
anarchism	anger	0.714	анархизм
mutilation	anger	0.714	мутация
denunciation	anger	0.713	хөкем итү
punch	anger	0.713	тип
virulence	anger	0.712	вируслылык
fatal	anger	0.712	үлемгә китерүче
hurting	anger	0.712	рәнҗетү
crucifixion	anger	0.712	хачка кадаклау
dontlikeyou	anger	0.712	dәр сүзнең
blasphemous	anger	0.712	көфер
holocaust	anger	0.712	холокост
dumbasses	anger	0.712	телсезләр
battled	anger	0.712	сугышты
deranged	anger	0.706	.әр сүзнең
irritated	anger	0.706	ачуланган
atrocious	anger	0.706	рәхимсез
evil	anger	0.706	явызлык
aggravated	anger	0.703	авыртты
intimidation	anger	0.703	куркыту
dicks	anger	0.703	дикс
assassin	anger	0.703	үтерүче
scolding	anger	0.703	мыскыллау
persecution	anger	0.703	эзәрлекләүләр
slayer	anger	0.703	үтерүче
kidnap	anger	0.703	урлау
aggression	anger	0.702	агрессия
armed	anger	0.700	кораллы
battle	anger	0.697	сугыш
poison	anger	0.697	агулану
snarling	anger	0.697	карак
venom	anger	0.697	уу
disgruntled	anger	0.693	риза түгел
resentment	anger	0.691	үпкәләү
assailant	anger	0.691	һөҗүмче
insidious	anger	0.691	мәкерле
contemptuous	anger	0.690	җирәнгеч
lynch	anger	0.690	линч
temper	anger	0.688	холык
terrible	anger	0.688	коточкыч
disparage	anger	0.688	аерма
lunatic	anger	0.688	лунатик
bully	anger	0.688	тупас
mad	anger	0.688	акылдан язган
makesmemad	anger	0.688	ясалган
infanticide	anger	0.688	инфицицид
domination	anger	0.688	өстенлек
peeved	anger	0.688	peeved
imprisonment	anger	0.688	төрмә
curse	anger	0.688	ләгънәт
volatility	anger	0.687	үзгәрүчәнлек
eradication	anger	0.685	бетерү
eradicate	anger	0.682	бетерү
tantrum	anger	0.682	ачулану
scoundrel	anger	0.682	усал
devastate	anger	0.682	җимергеч
aggressively	anger	0.680	агрессив
agitation	anger	0.680	агитация
dictatorship	anger	0.676	диктатура
irritates	anger	0.676	ярсыта
profanity	anger	0.673	хурлык
shove	anger	0.672	селкетү
nasty	anger	0.672	җирәнеч
shot	anger	0.672	атылды
cruelly	anger	0.672	рәхимсез
shoot	anger	0.672	ату
condemnation	anger	0.672	хөкем итү
crushed	anger	0.672	изелгән
aggravation	anger	0.672	көчәйтү
poisonous	anger	0.672	агулы
egregious	anger	0.672	әдәпсез
crime	anger	0.672	җинаять
corrupting	anger	0.672	бозык
dastardly	anger	0.672	ямьсез
contempt	anger	0.672	кимсетү
harmful	anger	0.672	зарарлы
expletive	anger	0.672	.әр сүзнең
wreak	anger	0.672	.әр сүзнең
maniac	anger	0.670	маньяк
cutthroat	anger	0.667	катер
enemy	anger	0.667	дошман
hit	anger	0.667	хит
hateeveryone	anger	0.667	hәр сүзнең
eruption	anger	0.667	атылу
irritable	anger	0.667	ачулы
odious	anger	0.667	ямьсез
shooting	anger	0.667	ату
shout	anger	0.667	кычкыр
aggressive	anger	0.667	агрессив
kick	anger	0.667	тибү
combat	anger	0.667	сугыш
fight	anger	0.667	сугыш
punished	anger	0.662	җәзага тартылды
yell	anger	0.661	кычкыр
ambush	anger	0.661	подъезд
harass	anger	0.659	эзәрлекләү
malignant	anger	0.656	яман
aggressor	anger	0.656	агрессор
gore	anger	0.656	гор
destruction	anger	0.656	юк итү
grudge	anger	0.656	үпкәләү
antichrist	anger	0.656	антихрист
incense	anger	0.656	фимиам
expel	anger	0.656	куып чыгару
cranky	anger	0.653	усал
slave	anger	0.652	кол
reprisal	anger	0.652	үч алу
growl	anger	0.652	үкерү
animosity	anger	0.652	дошманлык
insurrection	anger	0.652	фетнә
clashing	anger	0.652	бәрелеш
denounce	anger	0.652	хөкем итү
offended	anger	0.652	рәнҗетелгән
spank	anger	0.652	чәнечке
insulting	anger	0.652	мыскыллау
growls	anger	0.649	кычкыра
executioner	anger	0.644	җәза
twat	anger	0.644	twat
doomsday	anger	0.643	Кыямәт
obscenity	anger	0.641	әшәкелек
accused	anger	0.641	гаепләнүче
feud	anger	0.641	низаг
daemon	anger	0.641	демон
havoc	anger	0.641	җимерү
shackle	anger	0.641	кишер
inexcusable	anger	0.641	акланмый
indignant	anger	0.641	ачуы чыккан
grr	anger	0.641	гр
expulsion	anger	0.641	куып чыгару
bombard	anger	0.641	бомбардировщик
spat	anger	0.641	төкерү
arson	anger	0.641	яндыру
reprimand	anger	0.641	шелтәләү
somad	anger	0.637	somad
frustrated	anger	0.636	күңелсезләнде
batter	anger	0.636	кыйнау
kicking	anger	0.636	тибү
anarchy	anger	0.636	анархия
spanking	anger	0.636	чәнечке
glaring	anger	0.636	ялтыравык
suicidal	anger	0.636	үз-үзенә кул салу
disgusting	anger	0.636	җирәнгеч
wound	anger	0.636	җәрәхәт
hanging	anger	0.636	асылу
poisoned	anger	0.636	агуланган
combatant	anger	0.636	сугышчы
wrecked	anger	0.633	җимерелгән
inflict	anger	0.633	.әр сүзнең
grievous	anger	0.632	аяныч
prosecute	anger	0.630	гаепләү
agitated	anger	0.630	борчыла
cheat	anger	0.630	алдау
swastika	anger	0.627	свастика
injure	anger	0.625	җәрәхәтләр
indict	anger	0.625	гаепләү
scourge	anger	0.625	җәза
provocation	anger	0.625	провокация
suffocation	anger	0.625	сулыш
strife	anger	0.625	низаг
raid	anger	0.625	рейд
enslaved	anger	0.625	кол
cursing	anger	0.625	сүгенү
defamatory	anger	0.625	яла ягу
harassing	anger	0.625	эзәрлекләү
thundering	anger	0.625	күк күкрәү
betray	anger	0.625	хыянәт
arsehole	anger	0.624	археол
theft	anger	0.621	урлау
insane	anger	0.621	акылсыз
retaliation	anger	0.621	үч алу
irritate	anger	0.621	ачулану
deprivation	anger	0.621	мәхрүм итү
fiend	anger	0.621	fiend
jerk	anger	0.621	шакмак
convict	anger	0.621	хөкем ителгән
cussed	anger	0.619	.әр сүзнең
turmoil	anger	0.618	тәртипсезлек
smack	anger	0.615	смак
retribution	anger	0.614	үч алу
rebellion	anger	0.609	фетнә
oppressor	anger	0.609	золымчы
gang	anger	0.609	банда
slavery	anger	0.609	коллык
intolerable	anger	0.609	түземсезлек
adverse	anger	0.609	тискәре
injurious	anger	0.609	зарарлы
twats	anger	0.609	twats
collision	anger	0.609	бәрелеш
battery	anger	0.609	батарея
bitterly	anger	0.609	ачы
antagonism	anger	0.609	антагонизм
irritability	anger	0.609	ачулану
disgraced	anger	0.608	хурлык
diatribe	anger	0.606	диатриб
asshole	anger	0.606	көл
blast	anger	0.606	шартлау
bombardment	anger	0.606	бомбардировщик
irks	anger	0.606	иркс
ranting	anger	0.606	рант
revolution	anger	0.606	революция
thug	anger	0.606	карак
antagonistic	anger	0.606	антагонистик
irritating	anger	0.606	ачуландыручы
sickening	anger	0.606	авыру
discrimination	anger	0.606	дискриминация
frustrate	anger	0.604	күңелсезләнү
insult	anger	0.603	хурлау
hurtful	anger	0.603	зарарлы
oppression	anger	0.603	җәберләү
manipulation	anger	0.603	манипуляция
tiredofit	anger	0.603	арыган
bigot	anger	0.603	зур
tension	anger	0.603	киеренкелек
disgust	anger	0.602	җирәнгеч
spite	anger	0.600	карамастан
intrusive	anger	0.598	интрузив
harshness	anger	0.597	кырыслык
slur	anger	0.596	пычрак
tempest	anger	0.594	давыл
assail	anger	0.594	һөҗүм
bitterness	anger	0.594	ачу
morbidity	anger	0.594	авыру
casualty	anger	0.594	корбан
puncture	anger	0.594	пункция
miserable	anger	0.594	аяныч
inferno	anger	0.594	инферно
invasion	anger	0.594	һөҗүм
storming	anger	0.594	буран
wretch	anger	0.594	мескен
consternation	anger	0.592	аптыраш
raving	anger	0.591	селкенү
forcibly	anger	0.591	көчләп
guillotine	anger	0.591	гилотин
guilty	anger	0.591	гаепле
depraved	anger	0.591	бозык
immoral	anger	0.591	әхлаксызлык
overpowering	anger	0.591	артык көч
scare	anger	0.588	куркыту
recalcitrant	anger	0.588	кабат
screwed	anger	0.588	винт
accursed	anger	0.588	ләгънәт
soannoyed	anger	0.588	.әр сүзнең
invader	anger	0.588	басып алучы
jealousy	anger	0.587	көнчелек
indignation	anger	0.587	ачу
vexed	anger	0.586	борчулы
confront	anger	0.582	каршылык
brute	anger	0.581	тупас
throttle	anger	0.579	троттл
slut	anger	0.578	ирен
coup	anger	0.578	төңкөреш
blaze	anger	0.578	ут
pillage	anger	0.578	талау
provoking	anger	0.578	котырту
damage	anger	0.578	зыян
criminality	anger	0.578	җинаятьчелек
shutup	anger	0.578	авызыңны яб
lash	anger	0.578	камчы
conflict	anger	0.578	конфликт
contentious	anger	0.578	бәхәсле
shutit	anger	0.578	ябык
wreck	anger	0.578	җимерелү
defiant	anger	0.578	.әр сүзнең
butcher	anger	0.578	итче
incarceration	anger	0.578	төрмә
revolver	anger	0.578	револьвер
bickering	anger	0.578	бәхәсләшү
yousuck	anger	0.578	yousuck
cancer	anger	0.577	яман шеш
discriminate	anger	0.576	дискриминацияләү
gun	anger	0.576	мылтык
frustration	anger	0.576	өметсезлек
gory	anger	0.576	Гори
pernicious	anger	0.576	куркыныч
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	көфер сүз
chaotic	anger	0.576	тәртипсез
grope	anger	0.576	култык
alienation	anger	0.576	читләшү
disturbance	anger	0.576	тәртип бозу
condescension	anger	0.576	конденсация
standoff	anger	0.576	каршылык
discord	anger	0.576	низаг
friggen	anger	0.575	фригген
sneer	anger	0.574	мыскыллау
death	anger	0.574	үлем
lunacy	anger	0.574	lunacy
scandalous	anger	0.574	җәнҗал
oppressive	anger	0.574	җәберләүче
jab	anger	0.574	каб
cursed	anger	0.574	ләгънәт
monstrosity	anger	0.574	монстросизм
shit	anger	0.573	бук
disparaging	anger	0.571	кимсетү
slash	anger	0.571	слайд
unfair	anger	0.571	гаделсез
gallows	anger	0.570	багана
escalate	anger	0.569	көчәйтү
intolerant	anger	0.564	түземсезлек
lawlessness	anger	0.563	канунсызлык
beast	anger	0.562	җанвар
torpedo	anger	0.562	торпедо
malign	anger	0.562	яман
traitor	anger	0.562	хыянәтче
frightful	anger	0.562	куркыныч
wrangling	anger	0.562	бәхәс
slander	anger	0.562	яла ягу
bellows	anger	0.562	кыңгырау
retards	anger	0.562	тоткарлый
grouchy	anger	0.562	груши
derogatory	anger	0.562	кимсетү
bearish	anger	0.562	.әр сүзнең
invade	anger	0.562	басып алу
perdition	anger	0.562	һәлакәт
arghh	anger	0.562	арг
dreadful	anger	0.562	куркыныч
bluddy	anger	0.562	саран
deceived	anger	0.562	алданган
glare	anger	0.562	ялтыравык
taunt	anger	0.562	мыскыллау
dissension	anger	0.561	каршылык
cross	anger	0.561	кросс
rave	anger	0.561	дулкын
grating	anger	0.561	торлау
devastating	anger	0.561	җимергеч
fits	anger	0.561	туры килә
jeopardize	anger	0.561	куркыныч астына куегыз
shatter	anger	0.561	вату
idiots	anger	0.561	ахмаклар
hurt	anger	0.561	рәнҗетелгән
thief	anger	0.561	карак
uncontrollable	anger	0.561	контрольсез
conflagration	anger	0.561	янгын
betrayal	anger	0.561	хыянәт
banshee	anger	0.561	банши
subjugation	anger	0.559	буйсыну
disturbed	anger	0.559	борчыла
stomped	anger	0.557	аякка басты
grab	anger	0.557	тоту
grievance	anger	0.556	зарлану
ticked	anger	0.556	.әр сүзнең
masochism	anger	0.556	масохизм
defiance	anger	0.552	буйсынмау
blackmail	anger	0.550	шантаж
offensive	anger	0.549	рәнҗетүче
decry	anger	0.548	.әр сүзнең
frustrates	anger	0.547	күңелсезләндерә
violation	anger	0.547	бозу
confine	anger	0.547	чикләү
misery	anger	0.547	бәхетсезлек
arghhhh	anger	0.547	.әр сүзнең
disparity	anger	0.547	тигезсезлек
punishment	anger	0.547	җәза
rebel	anger	0.547	фетнәче
preposterous	anger	0.547	препостер
disgraceful	anger	0.547	хурлык
ire	anger	0.547	ярсу
deceive	anger	0.547	алдау
fustrated	anger	0.547	.әр сүзнең
sin	anger	0.547	гөнаһ
shrill	anger	0.547	шрил
darkside	anger	0.547	караңгы як
overbearing	anger	0.547	чиктән тыш
firearms	anger	0.547	утлы корал
stolen	anger	0.546	урланган
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	тискәре караш
tackle	anger	0.545	чишү
resentful	anger	0.545	үпкәләү
heated	anger	0.545	җылытылган
callous	anger	0.545	шомлы
conspirator	anger	0.545	конспиратор
ruined	anger	0.545	җимерелгән
antagonist	anger	0.545	антагонист
skirmish	anger	0.545	бәрелеш
menace	anger	0.545	куркыныч
annoyin	anger	0.545	ачулану
foul	anger	0.545	бозык
argument	anger	0.545	аргумент
humiliate	anger	0.545	кимсетү
wanker	anger	0.545	ванкер
adversary	anger	0.545	дошман
sting	anger	0.544	усаллык
entangled	anger	0.544	бәйләнгән
grumble	anger	0.544	зарлану
robbery	anger	0.544	талау
outcry	anger	0.544	кычкыру
resistance	anger	0.543	каршылык
irreconcilable	anger	0.543	килешеп булмый
obstructive	anger	0.542	обструктив
dismay	anger	0.540	курку
mob	anger	0.538	төркем
juststop	anger	0.537	juststop
badness	anger	0.536	начарлык
ridicule	anger	0.534	мыскыллау
incendiary	anger	0.533	усал
flares	anger	0.532	ялкын
twofaced	anger	0.531	икеләтә
reckless	anger	0.531	игътибарсыз
communism	anger	0.531	коммунизм
allegation	anger	0.531	гаепләү
prejudicial	anger	0.531	тискәре караш
whip	anger	0.531	камчы
unbridled	anger	0.531	идарә ителмәгән
degeneracy	anger	0.531	бозылу
intruder	anger	0.531	керүче
belittle	anger	0.531	кимсетү
confinement	anger	0.531	төрмә
dispute	anger	0.531	бәхәс
exacerbation	anger	0.531	көчәйтү
uprising	anger	0.531	күтәрелеш
unjust	anger	0.530	гаделсез
unjustifiable	anger	0.530	нигезсез
perversion	anger	0.530	бозыклык
bigoted	anger	0.530	зур
fiesty	anger	0.530	усаллык
offender	anger	0.530	хокук бозучы
dictatorial	anger	0.530	диктатор
hassle	anger	0.530	кыенлык
dissonance	anger	0.530	диссонанс
tackled	anger	0.530	каралды
renegade	anger	0.529	кире кагу
cantstandit	anger	0.529	.әр сүзнең
trespass	anger	0.529	бозу
hot	anger	0.529	кайнар
prison	anger	0.529	төрмә
suicide	anger	0.521	үз-үзенә кул салу
annoy	anger	0.520	ачулану
leavemealone	anger	0.517	мине ялгыз калдыр
cretins	anger	0.516	кретиннар
depravity	anger	0.516	бозыклык
idiotic	anger	0.516	акылсыз
dishonest	anger	0.516	намуссыз
distrust	anger	0.516	ышанмау
broil	anger	0.516	кычкыру
grrr	anger	0.516	grrr
criticize	anger	0.516	тәнкыйтьләү
inimical	anger	0.516	инимик
tortious	anger	0.516	җәберләүче
prisoner	anger	0.516	тоткын
treason	anger	0.516	хыянәт
divorce	anger	0.516	аерылышу
venting	anger	0.516	вентиляция
duress	anger	0.516	ныклык
disrespectful	anger	0.516	хөрмәтсезлек
poaching	anger	0.515	браконьерлык
scold	anger	0.515	мыскыллау
poachers	anger	0.515	браконьерлар
pow	anger	0.515	пау
hangry	anger	0.515	ач
argumentation	anger	0.515	аргумент
frustrating	anger	0.515	күңелсезләндерә
unkind	anger	0.515	мәрхәмәтсез
roar	anger	0.515	кычкыру
coercion	anger	0.515	көчләү
unforgiving	anger	0.515	гафу итү
grump	anger	0.515	грум
bile	anger	0.515	үт
unleash	anger	0.515	җибәрү
chaos	anger	0.515	хаос
victimized	anger	0.515	корбан
jerks	anger	0.515	шакмаклар
tussle	anger	0.514	чуалыш
bane	anger	0.511	.әр сүзнең
accusation	anger	0.510	гаепләү
enmity	anger	0.510	дошманлык
repudiation	anger	0.510	кире кагу
banish	anger	0.509	куып чыгару
disfigured	anger	0.508	үзгәртелгән
storm	anger	0.507	давыл
crazy	anger	0.500	акылсыз
hammering	anger	0.500	чүкеч
defy	anger	0.500	.әр сүзнең
antithesis	anger	0.500	антитез
scoff	anger	0.500	мыскыллау
anguish	anger	0.500	әрнү
confined	anger	0.500	чикләнгән
fear	anger	0.500	курку
bout	anger	0.500	бәрелеш
unruly	anger	0.500	тәртипсез
delusional	anger	0.500	алдану
obstruct	anger	0.500	комачаулау
possessed	anger	0.500	ия
injustice	anger	0.500	гаделсезлек
fervor	anger	0.500	дәрт
spear	anger	0.500	сөңге
derision	anger	0.500	көлү
intractable	anger	0.500	үтеп булмый
reject	anger	0.500	кире кагу
dominate	anger	0.500	өстенлек итә
ordeal	anger	0.500	сынаулар
banished	anger	0.500	куылган
rejects	anger	0.500	кире кага
shun	anger	0.500	кач
brunt	anger	0.500	брунт
derogation	anger	0.500	кимсетү
frenzied	anger	0.500	усал
animus	anger	0.500	анимус
suppression	anger	0.500	бастыру
malpractice	anger	0.500	хокук бозу
brazen	anger	0.500	усал
foaming	anger	0.500	күбек
disrupting	anger	0.500	бозу
nobodycares	anger	0.500	беркем дә карамый
patronising	anger	0.500	меценатлык
getoveryourself	anger	0.495	.әр сүзнең
toughness	anger	0.492	кырыслык
stupidpeople	anger	0.492	ахмаклар
madness	anger	0.491	акылсызлык
sinful	anger	0.491	гөнаһлы
avarice	anger	0.490	аварица
oppress	anger	0.490	җәберләү
cutting	anger	0.485	кисү
anathema	anger	0.485	анатема
annoyed	anger	0.485	ачуланган
dissident	anger	0.485	диссидент
demand	anger	0.485	таләп
usurp	anger	0.485	usurp
claw	anger	0.485	тырнак
alienate	anger	0.485	читләштерү
infraction	anger	0.485	инфракция
avenger	anger	0.485	үч алучы
revoke	anger	0.485	кире кагу
smuggler	anger	0.485	контрабандагер
abolish	anger	0.485	бетерү
fricking	anger	0.485	селкенү
stayaway	anger	0.485	калу
pervert	anger	0.485	бозык
disservice	anger	0.485	диссервис
disobedient	anger	0.485	тыңламаучан
incest	anger	0.485	якынлык кылу
complaint	anger	0.485	шикаять
disapproved	anger	0.485	хупланмады
inhuman	anger	0.485	кешелексез
mocking	anger	0.484	мыскыллау
penalty	anger	0.484	штраф
renounce	anger	0.484	баш тарту
restrain	anger	0.484	тыю
upheaval	anger	0.484	күтәрелеш
deceit	anger	0.484	алдау
obnoxious	anger	0.484	обноксион
imprisoned	anger	0.484	төрмәдә
strained	anger	0.484	киеренке
blame	anger	0.484	гаеп
oust	anger	0.484	куып чыгару
litigious	anger	0.484	хокуклы
rivalry	anger	0.484	көндәшлек
sucker	anger	0.484	сорау
opposed	anger	0.484	каршы
thresh	anger	0.484	бусага
disgrace	anger	0.484	хурлык
suspicious	anger	0.484	шикле
turbulence	anger	0.483	турбулентлык
pound	anger	0.481	фунт
coldness	anger	0.477	салкынлык
ungrateful	anger	0.472	рәхмәтсез
stoopid	anger	0.471	стоопид
battalion	anger	0.471	батальон
feudalism	anger	0.470	феодализм
hostage	anger	0.470	залог
annoying	anger	0.470	күңелсезләндерә
dispossessed	anger	0.470	куылган
subversion	anger	0.470	җимерү
friction	anger	0.470	сүрелү
jealous	anger	0.470	көнләшү
adversity	anger	0.470	авырлыклар
infidel	anger	0.470	кяфер
gall	anger	0.470	үт
accuser	anger	0.470	гаепләүче
ram	anger	0.470	Ram
armament	anger	0.470	корал
thump	anger	0.469	ыргыту
dislike	anger	0.469	ошамый
steal	anger	0.469	урлау
backoff	anger	0.469	артка
stifled	anger	0.469	урланган
incite	anger	0.469	котырту
distress	anger	0.469	кайгы
