English Word	Emotion	Emotion-Intensity-Score	Telugu Word
hateyou	anger	0.818	నిన్ను ద్వేషిస్తున్నాను
ferocity	anger	0.818	క్రూరత్వం
effyou	anger	0.818	మీరు
abhor	anger	0.816	అసహ్యించు
carnage	anger	0.814	మారణహోమం
savage	anger	0.814	క్రూరుడు
atrocity	anger	0.814	దారుణం
fucksake	anger	0.812	ఫక్‌సేక్
abuse	anger	0.812	తిట్టు
fierce	anger	0.812	భయంకరమైన
destroyer	anger	0.812	నాశనం చేసేవాడు
angrytweet	anger	0.812	కోపంగా ట్వీట్
barbaric	anger	0.812	అనాగరికమైన
vendetta	anger	0.812	వెండెట్టా
pissesmeoff	anger	0.812	పిసినారి
pissedoff	anger	0.812	పిసినారి
tyrant	anger	0.812	నిరంకుశుడు
berserk	anger	0.812	మొహమాటం
fuming	anger	0.812	పొగలు కక్కుతున్నాయి
anger	anger	0.811	కోపం
pieceofshit	anger	0.810	ముక్క ముక్క
punched	anger	0.803	పిడిగుద్దులు కురిపించారు
punching	anger	0.803	పంచింగ్
slam	anger	0.803	నేలకి కొట్టటం
homicide	anger	0.803	నరహత్య
bitch	anger	0.803	బిచ్
fights	anger	0.803	తగాదాలు
ruthless	anger	0.797	క్రూరమైన
villainous	anger	0.797	దుర్మార్గుడు
destructive	anger	0.797	విధ్వంసకర
slap	anger	0.791	చప్పుడు
riot	anger	0.788	అల్లర్లు
growthefuckup	anger	0.788	పెరుగుదల
punishing	anger	0.788	శిక్షించడం
slaughterhouse	anger	0.788	కబేళా
yelling	anger	0.788	పదాన్ని
diabolical	anger	0.788	క్రూరమైన
destroyed	anger	0.788	ధ్వంసమైంది
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ప్రతీకార
manslaughter	anger	0.783	నరహత్య
clash	anger	0.783	ఘర్షణ
quarrel	anger	0.781	తగాదా
bloody	anger	0.781	రక్తసిక్తమైనది
hellish	anger	0.781	నరకప్రాయమైన
sinister	anger	0.781	చెడ్డ
loath	anger	0.781	అసహ్యం
detonation	anger	0.781	పేలుడు
accusing	anger	0.779	ఆరోపిస్తున్నారు
fumin	anger	0.779	ఫ్యూమిన్
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	నమ్మకద్రోహమైన
madder	anger	0.773	పిచ్చి
horrific	anger	0.773	భయంకరమైన
revulsion	anger	0.773	విరక్తి
retaliate	anger	0.773	ప్రతీకారం తీర్చుకుంటారు
scorn	anger	0.769	అపహాస్యం
bomb	anger	0.766	బాంబు
deplorable	anger	0.766	దుర్భరమైన
devastation	anger	0.765	వినాశనం
anarchist	anger	0.765	అరాచకవాది
firestorm	anger	0.765	అగ్ని తుఫాను
resent	anger	0.765	కోపము
contemptible	anger	0.764	ధిక్కారమైన
shittest	anger	0.760	shittest
rant	anger	0.758	కోపము
cruel	anger	0.758	క్రూరమైన
deadly	anger	0.758	ఘోరమైన
smash	anger	0.758	పగులగొట్టు
soangry	anger	0.758	చాలా కోపం
outburst	anger	0.757	విస్ఫోటనం
snarl	anger	0.754	మొఱ్ఱపెట్టు
profane	anger	0.750	అపవిత్రమైన
revolting	anger	0.750	తిరుగుబాటు
aggravating	anger	0.750	తీవ్రతరం చేస్తోంది
horror	anger	0.750	భయానక
despise	anger	0.750	తృణీకరించు
offend	anger	0.750	నేరం
stfu	anger	0.750	stfu
vulgarity	anger	0.750	అసభ్యత
crazed	anger	0.750	క్రేజ్ తెచ్చుకున్నాడు
douchebags	anger	0.750	డౌచెబ్యాగ్స్
growling	anger	0.750	మూలుగుతూ
dontmesswithme	anger	0.750	మీతో డోంట్మెస్స్
screaming	anger	0.742	అరుస్తూ
threat	anger	0.742	బెదిరింపు
erupt	anger	0.742	విస్ఫోటనం
horrible	anger	0.742	భయంకరమైన
molestation	anger	0.742	వేధింపులు
fuckedoff	anger	0.742	ఇబ్బంది పెట్టాడు
violence	anger	0.742	హింస
bastards	anger	0.741	బాస్టర్డ్స్
revenge	anger	0.738	పగ
menacing	anger	0.735	బెదిరింపు
crushing	anger	0.735	అణిచివేయడం
damn	anger	0.735	తిట్టు
catastrophe	anger	0.735	విపత్తు
demon	anger	0.735	భూతం
argue	anger	0.734	వాదిస్తారు
persecute	anger	0.734	పీడించు
deplore	anger	0.734	విచారించండి
flog	anger	0.734	కొరడా
fedup	anger	0.734	ఫెడప్
riotous	anger	0.734	అల్లరి
vehement	anger	0.734	పటిష్టమైన
revolt	anger	0.734	తిరుగుబాటు
warfare	anger	0.734	యుద్ధం
thrash	anger	0.734	కొట్టు
altercation	anger	0.729	వాగ్వాదం
warlike	anger	0.728	యుద్ధప్రాతిపదిక
shitday	anger	0.727	shitday
mutiny	anger	0.727	తిరుగుబాటు
castrate	anger	0.727	కాస్ట్రేట్
sabotage	anger	0.727	విధ్వంసం
malevolent	anger	0.721	దుర్మార్గమైన
strike	anger	0.721	సమ్మె
disaster	anger	0.721	విపత్తు
disastrous	anger	0.720	వినాశకరమైన
bastarding	anger	0.719	బాస్టర్డింగ్
treachery	anger	0.719	ద్రోహం
arseholes	anger	0.719	గుంటలు
horseshit	anger	0.719	గుర్రపుడెక్క
slay	anger	0.719	వధించు
disdain	anger	0.719	తృణీకరించు
aggravates	anger	0.719	తీవ్రతరం చేస్తుంది
brutal	anger	0.719	క్రూరమైన
scorching	anger	0.719	దహనం
devil	anger	0.719	దెయ్యం
madden	anger	0.719	పిచ్చిపట్టింది
spiteful	anger	0.719	ద్వేషపూరితమైన
scream	anger	0.719	అరుస్తారు
choke	anger	0.719	ఉక్కిరిబిక్కిరి
vermin	anger	0.719	చీడపురుగు
tumult	anger	0.719	కోలాహలం
criminal	anger	0.714	నేరస్థుడు
mangle	anger	0.714	మాంగిల్
anarchism	anger	0.714	అరాచకత్వం
mutilation	anger	0.714	వికృతీకరణ
denunciation	anger	0.713	ఖండించడం
punch	anger	0.713	పంచ్
virulence	anger	0.712	వైరలెన్స్
fatal	anger	0.712	ప్రాణాంతకం
hurting	anger	0.712	బాధిస్తోంది
crucifixion	anger	0.712	శిలువ వేయడం
dontlikeyou	anger	0.712	నీ ఇష్టం లేదు
blasphemous	anger	0.712	దైవదూషణ
holocaust	anger	0.712	హోలోకాస్ట్
dumbasses	anger	0.712	మూగవాళ్ళు
battled	anger	0.712	పోరాడారు
deranged	anger	0.706	విభ్రాంతి చెందాడు
irritated	anger	0.706	చిరాకుపడ్డాడు
atrocious	anger	0.706	దారుణమైన
evil	anger	0.706	చెడు
aggravated	anger	0.703	తీవ్రతరం
intimidation	anger	0.703	బెదిరింపు
dicks	anger	0.703	డిక్స్
assassin	anger	0.703	హంతకుడు
scolding	anger	0.703	తిట్టడం
persecution	anger	0.703	పీడించడం
slayer	anger	0.703	సంహారకుడు
kidnap	anger	0.703	కిడ్నాప్
aggression	anger	0.702	దూకుడు
armed	anger	0.700	సాయుధ
battle	anger	0.697	యుద్ధం
poison	anger	0.697	విషం
snarling	anger	0.697	మొరగడం
venom	anger	0.697	విషం
disgruntled	anger	0.693	అసంతృప్తి
resentment	anger	0.691	పగ
assailant	anger	0.691	దుండగుడు
insidious	anger	0.691	కృత్రిమమైన
contemptuous	anger	0.690	ధిక్కారమైన
lynch	anger	0.690	లించ్
temper	anger	0.688	కోపము
terrible	anger	0.688	భయంకరమైన
disparage	anger	0.688	అవమానం
lunatic	anger	0.688	వెర్రివాడు
bully	anger	0.688	వేధించేవాడు
mad	anger	0.688	పిచ్చి
makesmemad	anger	0.688	మేమాడ్ చేస్తుంది
infanticide	anger	0.688	శిశుహత్య
domination	anger	0.688	ఆధిపత్యం
peeved	anger	0.688	peeved
imprisonment	anger	0.688	జైలు శిక్ష
curse	anger	0.688	శాపం
volatility	anger	0.687	అస్థిరత
eradication	anger	0.685	నిర్మూలన
eradicate	anger	0.682	నిర్మూలించేందుకు
tantrum	anger	0.682	ప్రకోపము
scoundrel	anger	0.682	దుష్టుడు
devastate	anger	0.682	వినాశనం
aggressively	anger	0.680	దూకుడుగా
agitation	anger	0.680	ఆందోళన
dictatorship	anger	0.676	నియంతృత్వం
irritates	anger	0.676	చికాకు కలిగిస్తుంది
profanity	anger	0.673	అసభ్యత
shove	anger	0.672	త్రోయు
nasty	anger	0.672	దుష్ట
shot	anger	0.672	కాల్చారు
cruelly	anger	0.672	క్రూరంగా
shoot	anger	0.672	షూట్
condemnation	anger	0.672	ఖండించడం
crushed	anger	0.672	చూర్ణం
aggravation	anger	0.672	తీవ్రతరం
poisonous	anger	0.672	విషపూరితమైన
egregious	anger	0.672	విపరీతమైన
crime	anger	0.672	నేరం
corrupting	anger	0.672	అవినీతిపరుస్తున్నారు
dastardly	anger	0.672	భయంకరంగా
contempt	anger	0.672	ధిక్కారం
harmful	anger	0.672	హానికరమైన
expletive	anger	0.672	వివరణాత్మకమైన
wreak	anger	0.672	నాశనం
maniac	anger	0.670	ఉన్మాది
cutthroat	anger	0.667	కట్త్రోట్
enemy	anger	0.667	శత్రువు
hit	anger	0.667	కొట్టుట
hateeveryone	anger	0.667	అందరినీ ద్వేషించు
eruption	anger	0.667	విస్ఫోటనం
irritable	anger	0.667	చిరాకు
odious	anger	0.667	అసహ్యకరమైన
shooting	anger	0.667	షూటింగ్
shout	anger	0.667	అరవడం
aggressive	anger	0.667	దూకుడు
kick	anger	0.667	తన్నండి
combat	anger	0.667	పోరాటం
fight	anger	0.667	పోరాడు
punished	anger	0.662	శిక్షించబడింది
yell	anger	0.661	అరుస్తారు
ambush	anger	0.661	మెరుపుదాడి
harass	anger	0.659	వేధిస్తాయి
malignant	anger	0.656	ప్రాణాంతకమైన
aggressor	anger	0.656	దురాక్రమణదారుడు
gore	anger	0.656	గోరే
destruction	anger	0.656	విధ్వంసం
grudge	anger	0.656	పగ
antichrist	anger	0.656	క్రీస్తు విరోధి
incense	anger	0.656	ధూపం
expel	anger	0.656	బహిష్కరించండి
cranky	anger	0.653	పిచ్చిగా
slave	anger	0.652	బానిస
reprisal	anger	0.652	ప్రతీకారం
growl	anger	0.652	కేక
animosity	anger	0.652	శత్రుత్వం
insurrection	anger	0.652	తిరుగుబాటు
clashing	anger	0.652	ఘర్షణ పడుతున్నారు
denounce	anger	0.652	ఖండించండి
offended	anger	0.652	మనస్తాపం చెందాడు
spank	anger	0.652	పిరుదుల
insulting	anger	0.652	అవమానకరం
growls	anger	0.649	మూలుగుతాడు
executioner	anger	0.644	తలారి
twat	anger	0.644	twat
doomsday	anger	0.643	ప్రళయకాలము
obscenity	anger	0.641	అశ్లీలత
accused	anger	0.641	ఆరోపణలు
feud	anger	0.641	వైరం
daemon	anger	0.641	డెమన్
havoc	anger	0.641	విధ్వంసం
shackle	anger	0.641	సంకెళ్ళు
inexcusable	anger	0.641	క్షమించరానిది
indignant	anger	0.641	కోపము
grr	anger	0.641	grr
expulsion	anger	0.641	బహిష్కరణ
bombard	anger	0.641	బాంబులు వేయండి
spat	anger	0.641	ఉమ్మివేసింది
arson	anger	0.641	ఆర్సన్
reprimand	anger	0.641	మందలింపు
somad	anger	0.637	సోమద్
frustrated	anger	0.636	విసుగు
batter	anger	0.636	కొట్టు
kicking	anger	0.636	తన్నడం
anarchy	anger	0.636	అరాచకం
spanking	anger	0.636	పిరుదులు
glaring	anger	0.636	మెరుస్తున్నది
suicidal	anger	0.636	ఆత్మహత్య
disgusting	anger	0.636	అసహ్యకరమైన
wound	anger	0.636	గాయం
hanging	anger	0.636	వేలాడుతున్న
poisoned	anger	0.636	విషప్రయోగం
combatant	anger	0.636	పోరాట యోధుడు
wrecked	anger	0.633	ధ్వంసమైంది
inflict	anger	0.633	కలిగించు
grievous	anger	0.632	బాధాకరమైన
prosecute	anger	0.630	విచారించండి
agitated	anger	0.630	రెచ్చిపోయాడు
cheat	anger	0.630	మోసం
swastika	anger	0.627	స్వస్తిక
injure	anger	0.625	గాయపరచు
indict	anger	0.625	నేరారోపణ
scourge	anger	0.625	శాపము
provocation	anger	0.625	రెచ్చగొట్టడం
suffocation	anger	0.625	ఊపిరాడక
strife	anger	0.625	కలహాలు
raid	anger	0.625	దాడి
enslaved	anger	0.625	బానిసలయ్యారు
cursing	anger	0.625	తిట్లు
defamatory	anger	0.625	పరువు నష్టం కలిగించే
harassing	anger	0.625	వేధిస్తున్నాడు
thundering	anger	0.625	ఉరుములు
betray	anger	0.625	ద్రోహం
arsehole	anger	0.624	ఆర్స్ హోల్
theft	anger	0.621	దొంగతనం
insane	anger	0.621	పిచ్చివాడు
retaliation	anger	0.621	ప్రతీకారం
irritate	anger	0.621	చిరాకు
deprivation	anger	0.621	లేమి
fiend	anger	0.621	క్రూరమైన
jerk	anger	0.621	కుదుపు
convict	anger	0.621	దోషి
cussed	anger	0.619	cussed
turmoil	anger	0.618	అలజడి
smack	anger	0.615	కొట్టు
retribution	anger	0.614	ప్రతీకారం
rebellion	anger	0.609	తిరుగుబాటు
oppressor	anger	0.609	పీడించేవాడు
gang	anger	0.609	ముఠా
slavery	anger	0.609	బానిసత్వం
intolerable	anger	0.609	తట్టుకోలేని
adverse	anger	0.609	ప్రతికూలమైన
injurious	anger	0.609	గాయపరిచే
twats	anger	0.609	twats
collision	anger	0.609	తాకిడి
battery	anger	0.609	బ్యాటరీ
bitterly	anger	0.609	చేదుగా
antagonism	anger	0.609	విరోధం
irritability	anger	0.609	చిరాకు
disgraced	anger	0.608	పరువు తీశాడు
diatribe	anger	0.606	డయాట్రిబ్
asshole	anger	0.606	గాడిద
blast	anger	0.606	పేలుడు
bombardment	anger	0.606	బాంబుల వర్షం
irks	anger	0.606	irks
ranting	anger	0.606	వాంగ్మూలం
revolution	anger	0.606	విప్లవం
thug	anger	0.606	పోకిరి
antagonistic	anger	0.606	విరోధమైన
irritating	anger	0.606	చిరాకు
sickening	anger	0.606	అనారోగ్యము
discrimination	anger	0.606	వివక్ష
frustrate	anger	0.604	విసుగు
insult	anger	0.603	అవమానించడం
hurtful	anger	0.603	బాధించే
oppression	anger	0.603	అణచివేత
manipulation	anger	0.603	తారుమారు
tiredofit	anger	0.603	అలసిపోయిన
bigot	anger	0.603	మతోన్మాదుడు
tension	anger	0.603	ఉద్రిక్తత
disgust	anger	0.602	అసహ్యము
spite	anger	0.600	ఉన్నప్పటికీ
intrusive	anger	0.598	చొరబాటు
harshness	anger	0.597	కఠినత్వం
slur	anger	0.596	అపవాదు
tempest	anger	0.594	తుఫాను
assail	anger	0.594	దాడి
bitterness	anger	0.594	చేదు
morbidity	anger	0.594	అనారోగ్యం
casualty	anger	0.594	ప్రాణనష్టం
puncture	anger	0.594	పంక్చర్
miserable	anger	0.594	దయనీయమైన
inferno	anger	0.594	నరకయాతన
invasion	anger	0.594	దండయాత్ర
storming	anger	0.594	తుఫాను
wretch	anger	0.594	నీచుడు
consternation	anger	0.592	దిగ్భ్రాంతి
raving	anger	0.591	ఆవేశం
forcibly	anger	0.591	బలవంతంగా
guillotine	anger	0.591	గిలెటిన్
guilty	anger	0.591	దోషి
depraved	anger	0.591	చెడిపోయిన
immoral	anger	0.591	అనైతికమైన
overpowering	anger	0.591	మితిమీరిన
scare	anger	0.588	భయ పెట్టు
recalcitrant	anger	0.588	తిరుగుబాటుదారుడు
screwed	anger	0.588	చిత్తు చేశాడు
accursed	anger	0.588	శపించబడ్డాడు
soannoyed	anger	0.588	చిరాకుపడ్డాడు
invader	anger	0.588	ఆక్రమణదారుడు
jealousy	anger	0.587	అసూయ
indignation	anger	0.587	ఆగ్రహం
vexed	anger	0.586	వెక్కిరించింది
confront	anger	0.582	అదుపుచేయలేని
brute	anger	0.581	బ్రూట్
throttle	anger	0.579	థొరెటల్
slut	anger	0.578	పతిత
coup	anger	0.578	తిరుగుబాటు
blaze	anger	0.578	మంటలు
pillage	anger	0.578	దోపిడీ
provoking	anger	0.578	రెచ్చగొట్టడం
damage	anger	0.578	నష్టం
criminality	anger	0.578	నేరత్వం
shutup	anger	0.578	నోరుముయ్యి
lash	anger	0.578	కొరడా దెబ్బ
conflict	anger	0.578	సంఘర్షణ
contentious	anger	0.578	వివాదస్పద
shutit	anger	0.578	మూసివేయి
wreck	anger	0.578	ధ్వంసం
defiant	anger	0.578	ధిక్కరించే
butcher	anger	0.578	కసాయి
incarceration	anger	0.578	నిర్బంధం
revolver	anger	0.578	రివాల్వర్
bickering	anger	0.578	గొడవలు
yousuck	anger	0.578	మీరు సక్
cancer	anger	0.577	క్యాన్సర్
discriminate	anger	0.576	వివక్ష చూపు
gun	anger	0.576	తుపాకీ
frustration	anger	0.576	నిరాశ
gory	anger	0.576	గోరీ
pernicious	anger	0.576	హానికరమైన
dontmess	anger	0.576	డోంట్మెస్
blasphemy	anger	0.576	దైవదూషణ
chaotic	anger	0.576	అస్తవ్యస్తంగా
grope	anger	0.576	తడబడు
alienation	anger	0.576	పరాయీకరణ
disturbance	anger	0.576	భంగం
condescension	anger	0.576	ముడుపు
standoff	anger	0.576	ప్రతిష్టంభన
discord	anger	0.576	అసమ్మతి
friggen	anger	0.575	ఫ్రిగ్జెన్
sneer	anger	0.574	ఎగతాళి
death	anger	0.574	మరణం
lunacy	anger	0.574	వెర్రితనం
scandalous	anger	0.574	అపవాదు
oppressive	anger	0.574	అణచివేత
jab	anger	0.574	జబ్
cursed	anger	0.574	నిందించారు
monstrosity	anger	0.574	రాక్షసత్వం
shit	anger	0.573	ఒంటి
disparaging	anger	0.571	అవమానకరం
slash	anger	0.571	స్లాష్
unfair	anger	0.571	అన్యాయం
gallows	anger	0.570	ఉరి
escalate	anger	0.569	పెంచు
intolerant	anger	0.564	అసహనం
lawlessness	anger	0.563	అధర్మం
beast	anger	0.562	మృగం
torpedo	anger	0.562	టార్పెడో
malign	anger	0.562	హానికరం
traitor	anger	0.562	ద్రోహి
frightful	anger	0.562	భయంకరమైన
wrangling	anger	0.562	తగాదా
slander	anger	0.562	అపవాదు
bellows	anger	0.562	గర్జించు
retards	anger	0.562	రిటార్డ్స్
grouchy	anger	0.562	చిరాకు
derogatory	anger	0.562	అవమానకరమైన
bearish	anger	0.562	బేరిష్
invade	anger	0.562	దండయాత్ర చేస్తారు
perdition	anger	0.562	నాశనము
arghh	anger	0.562	అర్ఘ్
dreadful	anger	0.562	భయంకరమైన
bluddy	anger	0.562	బ్లడ్డీ
deceived	anger	0.562	మోసపోయాడు
glare	anger	0.562	మెరుపు
taunt	anger	0.562	ఎగతాళి
dissension	anger	0.561	భిన్నాభిప్రాయం
cross	anger	0.561	క్రాస్
rave	anger	0.561	రేవ్
grating	anger	0.561	గ్రేటింగ్
devastating	anger	0.561	విధ్వంసకర
fits	anger	0.561	సరిపోతుంది
jeopardize	anger	0.561	ప్రమాదంలో పడతాయి
shatter	anger	0.561	పగిలిపోతాయి
idiots	anger	0.561	మూర్ఖులు
hurt	anger	0.561	బాధించింది
thief	anger	0.561	దొంగ
uncontrollable	anger	0.561	నియంత్రించలేని
conflagration	anger	0.561	మంట
betrayal	anger	0.561	ద్రోహం
banshee	anger	0.561	banshee
subjugation	anger	0.559	లొంగదీసుకోవడం
disturbed	anger	0.559	కలవరపడ్డాడు
stomped	anger	0.557	తొక్కాడు
grab	anger	0.557	పట్టుకో
grievance	anger	0.556	ఉపద్రవము
ticked	anger	0.556	టిక్ చేసింది
masochism	anger	0.556	మసోకిజం
defiance	anger	0.552	ధిక్కరించడం
blackmail	anger	0.550	బ్లాక్ మెయిల్
offensive	anger	0.549	ప్రమాదకర
decry	anger	0.548	దూషించు
frustrates	anger	0.547	నిరుత్సాహపరుస్తుంది
violation	anger	0.547	ఉల్లంఘన
confine	anger	0.547	హద్దులలో ఉంచు
misery	anger	0.547	కష్టాలు
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	అసమానత
punishment	anger	0.547	శిక్ష
rebel	anger	0.547	తిరుగుబాటు
preposterous	anger	0.547	అసంబద్ధమైన
disgraceful	anger	0.547	అవమానకరమైన
ire	anger	0.547	కోపము
deceive	anger	0.547	మోసం
fustrated	anger	0.547	విసుగు చెందాడు
sin	anger	0.547	పాపం
shrill	anger	0.547	ఉత్కంఠ
darkside	anger	0.547	చీకటి వైపు
overbearing	anger	0.547	మితిమీరిన
firearms	anger	0.547	ఆయుధాలు
stolen	anger	0.546	దొంగిలించారు
hadenough	anger	0.546	తగినంత
prejudice	anger	0.545	పక్షపాతం
tackle	anger	0.545	అధిగమించేందుకు
resentful	anger	0.545	పగతో
heated	anger	0.545	వేడి
callous	anger	0.545	నిష్కపటమైన
conspirator	anger	0.545	కుట్రదారుడు
ruined	anger	0.545	వ్యర్థమైంది
antagonist	anger	0.545	విరోధి
skirmish	anger	0.545	వాగ్వివాదం
menace	anger	0.545	ముప్పు
annoyin	anger	0.545	బాధించు
foul	anger	0.545	తప్పు
argument	anger	0.545	వాదన
humiliate	anger	0.545	అవమానపరచు
wanker	anger	0.545	వాంకర్
adversary	anger	0.545	విరోధి
sting	anger	0.544	స్టింగ్
entangled	anger	0.544	చిక్కుబడ్డ
grumble	anger	0.544	గొణుగుడు
robbery	anger	0.544	దోపిడీ
outcry	anger	0.544	కేకలు
resistance	anger	0.543	ప్రతిఘటన
irreconcilable	anger	0.543	సరిదిద్దలేని
obstructive	anger	0.542	అడ్డుకునే
dismay	anger	0.540	నిస్పృహ
mob	anger	0.538	గుంపు
juststop	anger	0.537	కేవలం ఆపు
badness	anger	0.536	చెడుతనం
ridicule	anger	0.534	అపహాస్యం
incendiary	anger	0.533	దాహక
flares	anger	0.532	మంటలు
twofaced	anger	0.531	ద్విముఖ
reckless	anger	0.531	నిర్లక్ష్యంగా
communism	anger	0.531	కమ్యూనిజం
allegation	anger	0.531	ఆరోపణ
prejudicial	anger	0.531	పక్షపాతం
whip	anger	0.531	కొరడా దెబ్బ
unbridled	anger	0.531	హద్దులేని
degeneracy	anger	0.531	క్షీణత
intruder	anger	0.531	చొరబాటుదారుడు
belittle	anger	0.531	తక్కువ
confinement	anger	0.531	నిర్బంధం
dispute	anger	0.531	వివాదం
exacerbation	anger	0.531	తీవ్రతరం
uprising	anger	0.531	తిరుగుబాటు
unjust	anger	0.530	అన్యాయం
unjustifiable	anger	0.530	సమర్థించలేని
perversion	anger	0.530	వక్రబుద్ధి
bigoted	anger	0.530	మతోన్మాద
fiesty	anger	0.530	ఉగ్రమైన
offender	anger	0.530	అపరాధి
dictatorial	anger	0.530	నియంతృత్వ
hassle	anger	0.530	అవాంతరం
dissonance	anger	0.530	వైరుధ్యం
tackled	anger	0.530	పరిష్కరించారు
renegade	anger	0.529	తిరుగుబాటుదారుడు
cantstandit	anger	0.529	నిలబడలేము
trespass	anger	0.529	అతిక్రమించు
hot	anger	0.529	వేడి
prison	anger	0.529	జైలు
suicide	anger	0.521	ఆత్మహత్య
annoy	anger	0.520	బాధించు
leavemealone	anger	0.517	నన్ను ఒంటరిగా వదిలేయ్
cretins	anger	0.516	క్రెటిన్స్
depravity	anger	0.516	అధోగతి
idiotic	anger	0.516	మూర్ఖుడు
