English Word	Emotion	Emotion-Intensity-Score	Yoruba Word
irate	anger	0.844	ibinu
violent	anger	0.844	iwa-ipa
stab	anger	0.844	gun
abomination	anger	0.844	irira
tumultuous	anger	0.844	rudurudu
infuriate	anger	0.844	ibinu
obliterate	anger	0.843	parun
belligerent	anger	0.841	jagunjagun
dumbbitch	anger	0.841	dumbitch
detest	anger	0.838	ikorira
hostilities	anger	0.837	igbogunti
prick	anger	0.835	kọlu
rampage	anger	0.833	ijakadi
horrid	anger	0.833	ibanuje
cruelty	anger	0.833	iwa ika
torture	anger	0.833	ijiya
rabid	anger	0.833	aburu
despicable	anger	0.828	ẹlẹgàn
tyrannical	anger	0.828	apanilaya
demonic	anger	0.828	èṣu
satanic	anger	0.828	Satani
hate	anger	0.828	ikorira
ragemode	anger	0.828	ragemode
hating	anger	0.828	ikorira
ruinous	anger	0.825	apanirun
condemn	anger	0.825	lẹbi
riots	anger	0.824	rudurudu
demolish	anger	0.824	wó lulẹ̀
angry	anger	0.824	ibinu
extermination	anger	0.824	iparun
dickhead	anger	0.824	dickhead
livid	anger	0.821	gbele
madman	anger	0.820	were
vindictive	anger	0.819	olugbẹsan
terrorist	anger	0.818	onijagidijagan
threaten	anger	0.818	deruba
venomous	anger	0.818	oloro
hateyou	anger	0.818	korira re
ferocity	anger	0.818	iwa ibaje
effyou	anger	0.818	efa o
abhor	anger	0.816	korira
carnage	anger	0.814	ipaniyan
savage	anger	0.814	egan
atrocity	anger	0.814	iwa ika
fucksake	anger	0.812	àgbere
abuse	anger	0.812	ilokulo
fierce	anger	0.812	imuna
destroyer	anger	0.812	apanirun
angrytweet	anger	0.812	ibinu tweet
barbaric	anger	0.812	barbaric
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	ibinujẹ
pissedoff	anger	0.812	inu bibi
tyrant	anger	0.812	aladede
berserk	anger	0.812	asan
fuming	anger	0.812	fuming
anger	anger	0.811	ibinu
pieceofshit	anger	0.810	nkan
punched	anger	0.803	punched
punching	anger	0.803	lilu
slam	anger	0.803	slam
homicide	anger	0.803	ipaniyan
bitch	anger	0.803	bishi
fights	anger	0.803	ija
ruthless	anger	0.797	aláìláàánú
villainous	anger	0.797	buburu
destructive	anger	0.797	apanirun
slap	anger	0.791	labara
riot	anger	0.788	rudurudu
growthefuckup	anger	0.788	ìdàgbàsókè
punishing	anger	0.788	ijiya
slaughterhouse	anger	0.788	ile ipaniyan
yelling	anger	0.788	kígbe
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	run
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	igbẹsan
manslaughter	anger	0.783	ipaniyan
clash	anger	0.783	figagbaga
quarrel	anger	0.781	ija
bloody	anger	0.781	itajesile
hellish	anger	0.781	apaadi
sinister	anger	0.781	alaburuku
loath	anger	0.781	ikorira
detonation	anger	0.781	detonation
accusing	anger	0.779	ẹsun
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	arekereke
madder	anger	0.773	aṣiwere
horrific	anger	0.773	jayi
revulsion	anger	0.773	revulsion
retaliate	anger	0.773	gbẹsan
scorn	anger	0.769	ẹgan
bomb	anger	0.766	bombu
deplorable	anger	0.766	deplorable
devastation	anger	0.765	iparun
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	ìjì líle
resent	anger	0.765	ibinu
contemptible	anger	0.764	ẹgan
shittest	anger	0.760	shitest
rant	anger	0.758	ireje
cruel	anger	0.758	ìkà
deadly	anger	0.758	oloro
smash	anger	0.758	fọ́
soangry	anger	0.758	ibinu
outburst	anger	0.757	ijade
snarl	anger	0.754	gbon
profane	anger	0.750	onibaje
revolting	anger	0.750	sote
aggravating	anger	0.750	aggravating
horror	anger	0.750	ẹru
despise	anger	0.750	kẹgàn
offend	anger	0.750	ibinu
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ìwà àgbèrè
crazed	anger	0.750	crazed
douchebags	anger	0.750	douchebags
growling	anger	0.750	nkùn
dontmesswithme	anger	0.750	maṣe pẹlu mi
screaming	anger	0.742	igbe
threat	anger	0.742	ewu
erupt	anger	0.742	nwaye
horrible	anger	0.742	oburewa
molestation	anger	0.742	ifipabanilopo
fuckedoff	anger	0.742	aburu
violence	anger	0.742	iwa-ipa
bastards	anger	0.741	àlè
revenge	anger	0.738	ẹsan
menacing	anger	0.735	idẹruba
crushing	anger	0.735	fifun pa
damn	anger	0.735	Gbaga
catastrophe	anger	0.735	ajalu
demon	anger	0.735	ànjọ̀nú
argue	anger	0.734	jiyan
persecute	anger	0.734	inunibini si
deplore	anger	0.734	binu
flog	anger	0.734	pàṣán
fedup	anger	0.734	fedup
riotous	anger	0.734	rudurudu
vehement	anger	0.734	ibinu
revolt	anger	0.734	iṣọtẹ
warfare	anger	0.734	ogun
thrash	anger	0.734	paṣan
altercation	anger	0.729	ariyanjiyan
warlike	anger	0.728	jagunjagun
shitday	anger	0.727	shitday
mutiny	anger	0.727	ipanilara
castrate	anger	0.727	simẹnti
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	malevolent
strike	anger	0.721	idasesile
disaster	anger	0.721	ajalu
disastrous	anger	0.720	ajalu
bastarding	anger	0.719	onibaje
treachery	anger	0.719	arekereke
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	ẹlẹṣin
slay	anger	0.719	Pa
disdain	anger	0.719	ikorira
aggravates	anger	0.719	aggravates
brutal	anger	0.719	buruju
scorching	anger	0.719	gbigbona
devil	anger	0.719	bìlísì
madden	anger	0.719	were
spiteful	anger	0.719	àbùkù
scream	anger	0.719	pariwo
choke	anger	0.719	fun pa
vermin	anger	0.719	kokoro
tumult	anger	0.719	rudurudu
criminal	anger	0.714	odaran
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	ìpakúpa
denunciation	anger	0.713	ìdálẹ́bi
punch	anger	0.713	Pupọ
virulence	anger	0.712	virulence
fatal	anger	0.712	apaniyan
hurting	anger	0.712	ipalara
crucifixion	anger	0.712	agbelebu
dontlikeyou	anger	0.712	maṣe fẹran rẹ
blasphemous	anger	0.712	ọrọ-odi
holocaust	anger	0.712	iparun
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	jagun
deranged	anger	0.706	ti bajẹ
irritated	anger	0.706	binu
atrocious	anger	0.706	atrocious
evil	anger	0.706	ibi
aggravated	anger	0.703	ti o buruju
intimidation	anger	0.703	ẹru
dicks	anger	0.703	awọn dicks
assassin	anger	0.703	apaniyan
scolding	anger	0.703	ibaniwi
persecution	anger	0.703	inunibini
slayer	anger	0.703	apaniyan
kidnap	anger	0.703	ajínigbé
aggression	anger	0.702	ifinran
armed	anger	0.700	ologun
battle	anger	0.697	ogun
poison	anger	0.697	majele
snarling	anger	0.697	snarling
venom	anger	0.697	majele
disgruntled	anger	0.693	ibanuje
resentment	anger	0.691	ìkóríra
assailant	anger	0.691	apaniyan
insidious	anger	0.691	arekereke
contemptuous	anger	0.690	ẹlẹgàn
lynch	anger	0.690	lynch
temper	anger	0.688	ibinu
terrible	anger	0.688	ẹru
disparage	anger	0.688	aibikita
lunatic	anger	0.688	aṣiwere
bully	anger	0.688	ipanilaya
mad	anger	0.688	were
makesmemad	anger	0.688	makemad
infanticide	anger	0.688	ìkókó
domination	anger	0.688	gaba lori
peeved	anger	0.688	peved
imprisonment	anger	0.688	ewon
curse	anger	0.688	egún
volatility	anger	0.687	iyipada
eradication	anger	0.685	imukuro
eradicate	anger	0.682	parun
tantrum	anger	0.682	ibinu
scoundrel	anger	0.682	onirekọja
devastate	anger	0.682	apanirun
aggressively	anger	0.680	ibinu
agitation	anger	0.680	ijakadi
dictatorship	anger	0.676	ijọba olominira
irritates	anger	0.676	binu
profanity	anger	0.673	àbùkù
shove	anger	0.672	ṣoki
nasty	anger	0.672	ẹgbin
shot	anger	0.672	shot
cruelly	anger	0.672	ìkà
shoot	anger	0.672	iyaworan
condemnation	anger	0.672	ìdálẹ́bi
crushed	anger	0.672	itemole
aggravation	anger	0.672	ibinu
poisonous	anger	0.672	oloro
egregious	anger	0.672	nla
crime	anger	0.672	ilufin
corrupting	anger	0.672	ibaje
dastardly	anger	0.672	dastardly
contempt	anger	0.672	ẹgan
harmful	anger	0.672	ipalara
expletive	anger	0.672	expletive
wreak	anger	0.672	run
maniac	anger	0.670	maniac
cutthroat	anger	0.667	gige gige
enemy	anger	0.667	ọtá
hit	anger	0.667	lu
hateeveryone	anger	0.667	korira gbogbo eniyan
eruption	anger	0.667	eruption
irritable	anger	0.667	ibinu
odious	anger	0.667	irira
shooting	anger	0.667	ibon yiyan
shout	anger	0.667	kígbe
aggressive	anger	0.667	ibinu
kick	anger	0.667	tapa
combat	anger	0.667	ija
fight	anger	0.667	jagun
punished	anger	0.662	jiya
yell	anger	0.661	pariwo
ambush	anger	0.661	ibùba
harass	anger	0.659	wahala
malignant	anger	0.656	buburu
aggressor	anger	0.656	onijagidijagan
gore	anger	0.656	gore
destruction	anger	0.656	iparun
grudge	anger	0.656	ibinu
antichrist	anger	0.656	Aṣodisi-Kristi
incense	anger	0.656	turari
expel	anger	0.656	le jade
cranky	anger	0.653	cranky
slave	anger	0.652	ẹrú
reprisal	anger	0.652	ẹ̀san
growl	anger	0.652	gbo
animosity	anger	0.652	ikorira
insurrection	anger	0.652	iṣọtẹ
clashing	anger	0.652	figagbaga
denounce	anger	0.652	ibawi
offended	anger	0.652	ṣẹ
spank	anger	0.652	lẹsẹ
insulting	anger	0.652	ẹgan
growls	anger	0.649	nkùn
executioner	anger	0.644	apaniyan
twat	anger	0.644	twat
doomsday	anger	0.643	ojo idajo
obscenity	anger	0.641	àgbèrè
accused	anger	0.641	ẹsun
feud	anger	0.641	ija
daemon	anger	0.641	daemon
havoc	anger	0.641	iparun
shackle	anger	0.641	dè
inexcusable	anger	0.641	inexcusable
indignant	anger	0.641	ibinu
grr	anger	0.641	grr
expulsion	anger	0.641	itusilẹ
bombard	anger	0.641	bombard
spat	anger	0.641	tutọ
arson	anger	0.641	gbigbona
reprimand	anger	0.641	ibawi
somad	anger	0.637	somádù
frustrated	anger	0.636	ibanuje
batter	anger	0.636	batter
kicking	anger	0.636	gbigba
anarchy	anger	0.636	anarchy
spanking	anger	0.636	leta
glaring	anger	0.636	didan
suicidal	anger	0.636	suicidal
disgusting	anger	0.636	ìríra
wound	anger	0.636	egbo
hanging	anger	0.636	adiye
poisoned	anger	0.636	oloro
combatant	anger	0.636	jagunjagun
wrecked	anger	0.633	ti bajẹ
inflict	anger	0.633	jijẹ
grievous	anger	0.632	ibanuje
prosecute	anger	0.630	lẹjọ
agitated	anger	0.630	rudurudu
cheat	anger	0.630	iyanjẹ
swastika	anger	0.627	swastika
injure	anger	0.625	ipalara
indict	anger	0.625	indict
scourge	anger	0.625	ajakalẹ-arun
provocation	anger	0.625	imunibinu
suffocation	anger	0.625	igbẹmi
strife	anger	0.625	ija
raid	anger	0.625	igbogun ti
enslaved	anger	0.625	ẹrú
cursing	anger	0.625	ègún
defamatory	anger	0.625	abuku
harassing	anger	0.625	tipatipa
thundering	anger	0.625	ãra
betray	anger	0.625	danu
arsehole	anger	0.624	arsehole
theft	anger	0.621	ole
insane	anger	0.621	were
retaliation	anger	0.621	igbẹsan
irritate	anger	0.621	binu
deprivation	anger	0.621	aini
fiend	anger	0.621	fiend
jerk	anger	0.621	oloriburuku
convict	anger	0.621	jẹbi
cussed	anger	0.619	ẹsun
turmoil	anger	0.618	rudurudu
smack	anger	0.615	kọlu
retribution	anger	0.614	ẹsan
rebellion	anger	0.609	iṣọtẹ
oppressor	anger	0.609	aninilara
gang	anger	0.609	onijagidijagan
slavery	anger	0.609	ẹrú
intolerable	anger	0.609	aibikita
adverse	anger	0.609	ikolu
injurious	anger	0.609	ipalara
twats	anger	0.609	awot
collision	anger	0.609	ijamba
battery	anger	0.609	batiri
bitterly	anger	0.609	kikoro
antagonism	anger	0.609	atako
irritability	anger	0.609	ìbínú
disgraced	anger	0.608	itiju
diatribe	anger	0.606	ditribe
asshole	anger	0.606	Iwoomusu
blast	anger	0.606	fifún
bombardment	anger	0.606	bombardment
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	rogbodiyan
thug	anger	0.606	onijagidijagan
antagonistic	anger	0.606	atako
irritating	anger	0.606	ibinu
sickening	anger	0.606	aláìsàn
discrimination	anger	0.606	iyasoto
frustrate	anger	0.604	ibanuje
insult	anger	0.603	ẹgan
hurtful	anger	0.603	ipalara
oppression	anger	0.603	irẹjẹ
manipulation	anger	0.603	ifọwọyi
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	nlanla
tension	anger	0.603	ẹdọfu
disgust	anger	0.602	ikorira
spite	anger	0.600	pelu
intrusive	anger	0.598	intrusive
harshness	anger	0.597	lile
slur	anger	0.596	slur
tempest	anger	0.594	iji
assail	anger	0.594	ikọlu
bitterness	anger	0.594	kikoro
morbidity	anger	0.594	arun
casualty	anger	0.594	apaniyan
puncture	anger	0.594	puncture
miserable	anger	0.594	ibanuje
inferno	anger	0.594	aijina
invasion	anger	0.594	ayabo
storming	anger	0.594	ìjì líle
wretch	anger	0.594	aburu
consternation	anger	0.592	ijaya
raving	anger	0.591	raving
forcibly	anger	0.591	tipatipa
guillotine	anger	0.591	guillotine
guilty	anger	0.591	jẹbi
depraved	anger	0.591	ibajẹ
immoral	anger	0.591	alaimoye
overpowering	anger	0.591	alagbara
scare	anger	0.588	dẹruba
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	dabaru
accursed	anger	0.588	ègún
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	olutayo
jealousy	anger	0.587	owú
indignation	anger	0.587	ibinu
vexed	anger	0.586	ibinu
confront	anger	0.582	koju
brute	anger	0.581	irokuro
throttle	anger	0.579	finasi
slut	anger	0.578	panṣaga
coup	anger	0.578	gbajoba
blaze	anger	0.578	gbigbona
pillage	anger	0.578	ikogun
provoking	anger	0.578	imunibinu
damage	anger	0.578	bibajẹ
criminality	anger	0.578	odaran
shutup	anger	0.578	dake enu re
lash	anger	0.578	panṣa
conflict	anger	0.578	rogbodiyan
contentious	anger	0.578	ariyanjiyan
shutit	anger	0.578	tiipa
wreck	anger	0.578	iparun
defiant	anger	0.578	atako
butcher	anger	0.578	alapata
incarceration	anger	0.578	itimole
revolver	anger	0.578	revolver
bickering	anger	0.578	àríyànjiyàn
yousuck	anger	0.578	o mu
cancer	anger	0.577	akàn
discriminate	anger	0.576	iyasoto
gun	anger	0.576	ibon
frustration	anger	0.576	ibanuje
gory	anger	0.576	gori
pernicious	anger	0.576	pernicious
dontmess	anger	0.576	dontmes
blasphemy	anger	0.576	ọrọ-odi
chaotic	anger	0.576	rudurudu
grope	anger	0.576	kórè
alienation	anger	0.576	àjèjì
disturbance	anger	0.576	idamu
condescension	anger	0.576	condescension
standoff	anger	0.576	iduro
discord	anger	0.576	ija
friggen	anger	0.575	friggen
sneer	anger	0.574	ẹlẹgàn
death	anger	0.574	iku
lunacy	anger	0.574	were
scandalous	anger	0.574	scandalous
oppressive	anger	0.574	aninilara
jab	anger	0.574	jab
cursed	anger	0.574	eegun
monstrosity	anger	0.574	ibanilẹru
shit	anger	0.573	nik
disparaging	anger	0.571	disparaging
slash	anger	0.571	din ku
unfair	anger	0.571	aiṣododo
gallows	anger	0.570	igi gallow
escalate	anger	0.569	pọ si
intolerant	anger	0.564	aláìfaradà
lawlessness	anger	0.563	ailofin
beast	anger	0.562	ẹranko
torpedo	anger	0.562	torpedo
malign	anger	0.562	buburu
traitor	anger	0.562	ẹlẹtan
frightful	anger	0.562	ẹru
wrangling	anger	0.562	ija
slander	anger	0.562	egan
bellows	anger	0.562	ikun
retards	anger	0.562	awọn idaduro
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	àbùkù
bearish	anger	0.562	bearish
invade	anger	0.562	gbogun ti
perdition	anger	0.562	iparun
arghh	anger	0.562	arghh
dreadful	anger	0.562	ẹru
bluddy	anger	0.562	bulu
deceived	anger	0.562	tan
glare	anger	0.562	didan
taunt	anger	0.562	ẹgan
dissension	anger	0.561	iyapa
cross	anger	0.561	agbelebu
rave	anger	0.561	igbogun ti
grating	anger	0.561	grating
devastating	anger	0.561	apanirun
fits	anger	0.561	yẹ
jeopardize	anger	0.561	fi ewu
shatter	anger	0.561	shatter
idiots	anger	0.561	awon omugo
hurt	anger	0.561	farapa
thief	anger	0.561	ole
uncontrollable	anger	0.561	aiṣakoso
conflagration	anger	0.561	gbigbona
betrayal	anger	0.561	betrayal
banshee	anger	0.561	banshee
subjugation	anger	0.559	ìtẹríba
disturbed	anger	0.559	idamu
stomped	anger	0.557	rì
grab	anger	0.557	gbamu
grievance	anger	0.556	ẹdun ọkan
ticked	anger	0.556	ami si
masochism	anger	0.556	masochism
defiance	anger	0.552	atako
blackmail	anger	0.550	dudu
offensive	anger	0.549	ibinu
decry	anger	0.548	kọ
frustrates	anger	0.547	ibanuje
violation	anger	0.547	ṣẹ
confine	anger	0.547	ihamọ
misery	anger	0.547	ìbànújẹ́
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	iyapa
punishment	anger	0.547	ijiya
rebel	anger	0.547	ọlọtẹ
preposterous	anger	0.547	preposterous
disgraceful	anger	0.547	itiju
ire	anger	0.547	ire
deceive	anger	0.547	tan
fustrated	anger	0.547	fustrated
sin	anger	0.547	ese
shrill	anger	0.547	ariwo
darkside	anger	0.547	okunkun
overbearing	anger	0.547	apọju
firearms	anger	0.547	ohun ija
stolen	anger	0.546	ji
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	ẹ̀tanú
tackle	anger	0.545	koju
resentful	anger	0.545	ibinu
heated	anger	0.545	kikan
callous	anger	0.545	alailaanu
conspirator	anger	0.545	rikisi
ruined	anger	0.545	ti bajẹ
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	ijakadi
menace	anger	0.545	ewu
annoyin	anger	0.545	aniyan
foul	anger	0.545	ahon
argument	anger	0.545	ariyanjiyan
humiliate	anger	0.545	idojutini
wanker	anger	0.545	ohun ọṣọ
adversary	anger	0.545	ọta
sting	anger	0.544	oró
entangled	anger	0.544	dipọ
grumble	anger	0.544	kùn
robbery	anger	0.544	ole jija
outcry	anger	0.544	igbe
resistance	anger	0.543	resistance
irreconcilable	anger	0.543	aiṣedeede
obstructive	anger	0.542	idiwo
dismay	anger	0.540	ibanuje
mob	anger	0.538	agbajo eniyan
juststop	anger	0.537	kan duro
badness	anger	0.536	buburu
ridicule	anger	0.534	ẹgan
incendiary	anger	0.533	incendiary
flares	anger	0.532	flares
twofaced	anger	0.531	oju meji
reckless	anger	0.531	aibikita
communism	anger	0.531	communism
allegation	anger	0.531	ẹsun
prejudicial	anger	0.531	abosi
whip	anger	0.531	okùn
unbridled	anger	0.531	ti ko ni idaabobo
degeneracy	anger	0.531	ibajẹ
intruder	anger	0.531	onijagidijagan
belittle	anger	0.531	kekere
confinement	anger	0.531	atimole
dispute	anger	0.531	àríyànjiyàn
exacerbation	anger	0.531	imudara
uprising	anger	0.531	igbega
unjust	anger	0.530	aiṣododo
unjustifiable	anger	0.530	unjustifiable
perversion	anger	0.530	ìdàrúdàpọ̀
bigoted	anger	0.530	nlanla
fiesty	anger	0.530	fifẹ
offender	anger	0.530	ẹlẹṣẹ
dictatorial	anger	0.530	apanilaya
hassle	anger	0.530	wahala
dissonance	anger	0.530	dissonance
tackled	anger	0.530	ti koju
renegade	anger	0.529	apadabọ
cantstandit	anger	0.529	ko le duro
trespass	anger	0.529	irekọja
hot	anger	0.529	gbona
prison	anger	0.529	tubu
suicide	anger	0.521	igbẹmi ara ẹni
annoy	anger	0.520	binu
leavemealone	anger	0.517	fi mi silẹ
cretins	anger	0.516	awọn cretin
depravity	anger	0.516	ibajẹ
idiotic	anger	0.516	òmùgọ̀
dishonest	anger	0.516	aiṣododo
distrust	anger	0.516	aifokanbale
broil	anger	0.516	broil
grrr	anger	0.516	grr
criticize	anger	0.516	ṣofintoto
inimical	anger	0.516	inimical
tortious	anger	0.516	tortious
prisoner	anger	0.516	elewon
treason	anger	0.516	iṣọtẹ
divorce	anger	0.516	ikọsilẹ
venting	anger	0.516	isunmi
duress	anger	0.516	ipanilaya
disrespectful	anger	0.516	alaibọwọ
poaching	anger	0.515	ọdẹ
scold	anger	0.515	ibaniwi
poachers	anger	0.515	awon ode ode
pow	anger	0.515	agbara
hangry	anger	0.515	adiye
argumentation	anger	0.515	ariyanjiyan
frustrating	anger	0.515	ibanuje
unkind	anger	0.515	aibikita
roar	anger	0.515	ariwo
coercion	anger	0.515	ifipabanilopo
unforgiving	anger	0.515	aláìdáríjì
grump	anger	0.515	ìkùnsínú
bile	anger	0.515	bile
unleash	anger	0.515	tu silẹ
chaos	anger	0.515	rudurudu
victimized	anger	0.515	olufaragba
jerks	anger	0.515	jerks
tussle	anger	0.514	tussle
bane	anger	0.511	bane
accusation	anger	0.510	ẹsun
enmity	anger	0.510	ìṣọ̀tá
repudiation	anger	0.510	ikọsilẹ
banish	anger	0.509	banish
disfigured	anger	0.508	ti bajẹ
storm	anger	0.507	iji
crazy	anger	0.500	were
hammering	anger	0.500	hammering
defy	anger	0.500	koju
antithesis	anger	0.500	antithesis
scoff	anger	0.500	ẹlẹgàn
anguish	anger	0.500	ibanuje
confined	anger	0.500	ni ihamọ
fear	anger	0.500	iberu
bout	anger	0.500	ijakadi
unruly	anger	0.500	alaigbọran
delusional	anger	0.500	arekereke
obstruct	anger	0.500	idilọwọ
possessed	anger	0.500	ti gba
injustice	anger	0.500	ìwà ìrẹjẹ
fervor	anger	0.500	igbona
spear	anger	0.500	ọkọ
derision	anger	0.500	ẹgan
intractable	anger	0.500	intractable
reject	anger	0.500	kọ
dominate	anger	0.500	jọba
ordeal	anger	0.500	inira
banished	anger	0.500	ti yọ kuro
rejects	anger	0.500	kọ
shun	anger	0.500	yago fun
brunt	anger	0.500	brunt
derogation	anger	0.500	irẹwẹsi
frenzied	anger	0.500	frenzied
animus	anger	0.500	animus
suppression	anger	0.500	titẹkuro
malpractice	anger	0.500	aiṣedeede
brazen	anger	0.500	idẹruba
foaming	anger	0.500	foomu
disrupting	anger	0.500	idalọwọduro
nobodycares	anger	0.500	ko si eniti o bikita
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	gba ara rẹ
toughness	anger	0.492	lile
stupidpeople	anger	0.492	awon omugo
madness	anger	0.491	isinwin
sinful	anger	0.491	elese
avarice	anger	0.490	avarice
oppress	anger	0.490	inilara
cutting	anger	0.485	gige
anathema	anger	0.485	anathema
annoyed	anger	0.485	binu
dissident	anger	0.485	dissist
demand	anger	0.485	ibeere
usurp	anger	0.485	ilokulo
claw	anger	0.485	claw
alienate	anger	0.485	àjèjì
infraction	anger	0.485	ipalara
avenger	anger	0.485	olugbẹsan
revoke	anger	0.485	fagilee
smuggler	anger	0.485	onijagidijagan
abolish	anger	0.485	fopin si
fricking	anger	0.485	fricking
stayaway	anger	0.485	idaduro
pervert	anger	0.485	oniyi
disservice	anger	0.485	aibikita
disobedient	anger	0.485	alaigbọran
incest	anger	0.485	ìbálòpọ̀
complaint	anger	0.485	ẹdun ọkan
disapproved	anger	0.485	ko fọwọsi
inhuman	anger	0.485	aiṣedeede
mocking	anger	0.484	ẹlẹgàn
penalty	anger	0.484	ijiya
renounce	anger	0.484	kọ silẹ
restrain	anger	0.484	idaduro
upheaval	anger	0.484	rudurudu
deceit	anger	0.484	etan
obnoxious	anger	0.484	irira
imprisoned	anger	0.484	ewon
strained	anger	0.484	igara
blame	anger	0.484	ìdálẹ́bi
oust	anger	0.484	jade
litigious	anger	0.484	ẹjọ
rivalry	anger	0.484	idije
sucker	anger	0.484	muyan
opposed	anger	0.484	ilodi si
thresh	anger	0.484	ipakà
disgrace	anger	0.484	itiju
suspicious	anger	0.484	ifura
turbulence	anger	0.483	rudurudu
pound	anger	0.481	iwon
coldness	anger	0.477	otutu
ungrateful	anger	0.472	aláìmoore
stoopid	anger	0.471	oniduro
battalion	anger	0.471	batalionu
feudalism	anger	0.470	feudalism
hostage	anger	0.470	idimu
annoying	anger	0.470	didanubi
dispossessed	anger	0.470	ti sọnu
subversion	anger	0.470	ipadasẹhin
friction	anger	0.470	edekoyede
jealous	anger	0.470	jowú
adversity	anger	0.470	ipọnju
infidel	anger	0.470	alaigbagbọ
gall	anger	0.470	ikunra
accuser	anger	0.470	olufisun
ram	anger	0.470	Àgbo
armament	anger	0.470	ohun ija
thump	anger	0.469	jump
dislike	anger	0.469	ikorira
steal	anger	0.469	ji
backoff	anger	0.469	ifẹhinti
stifled	anger	0.469	stifled
incite	anger	0.469	ru
distress	anger	0.469	wahala
angermanagement	anger	0.469	angermanagement
selfish	anger	0.469	amotaraeninikan
injury	anger	0.469	ipalara
exile	anger	0.469	ìgbèkùn
insanity	anger	0.469	were
offense	anger	0.469	ẹṣẹ
objection	anger	0.469	atako
smother	anger	0.469	simi
disruption	anger	0.469	idalọwọduro
intolerance	anger	0.469	aibikita
disobey	anger	0.469	aigbọran
selfishness	anger	0.469	ìmọtara-ẹni-nìkan
