English Word	Emotion	Emotion-Intensity-Score	Swedish Word
obliterate	anger	0.843	utplåna
belligerent	anger	0.841	krigförande
dumbbitch	anger	0.841	dum
detest	anger	0.838	avsky
hostilities	anger	0.837	fientligheterna
prick	anger	0.835	sticka
rampage	anger	0.833	framfart
horrid	anger	0.833	otäck
cruelty	anger	0.833	grymhet
torture	anger	0.833	tortyr
rabid	anger	0.833	fanatisk
despicable	anger	0.828	föraktlig
tyrannical	anger	0.828	tyrannisk
demonic	anger	0.828	demonisk
satanic	anger	0.828	satanisk
hate	anger	0.828	hata
ragemode	anger	0.828	ursinnesläge
hating	anger	0.828	hatar
ruinous	anger	0.825	ödeläggande
condemn	anger	0.825	fördöma
riots	anger	0.824	kravaller
demolish	anger	0.824	förstöra
angry	anger	0.824	arg
extermination	anger	0.824	utrotning
dickhead	anger	0.824	kukhuvud
livid	anger	0.821	askgrå
madman	anger	0.820	galning
vindictive	anger	0.819	hämndlysten
terrorist	anger	0.818	terrorist
threaten	anger	0.818	hota
venomous	anger	0.818	giftig
hateyou	anger	0.818	hatar dig
ferocity	anger	0.818	grymhet
effyou	anger	0.818	effy du
abhor	anger	0.816	avsky
carnage	anger	0.814	blodbad
savage	anger	0.814	vilde
atrocity	anger	0.814	illdåd
fucksake	anger	0.812	fan
abuse	anger	0.812	missbruk
fierce	anger	0.812	våldsam
destroyer	anger	0.812	jagare
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbarisk
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	gör mig förbannad
pissedoff	anger	0.812	förbannad
tyrant	anger	0.812	tyrann
berserk	anger	0.812	bärsärk
fuming	anger	0.812	rykande
anger	anger	0.811	ilska
pieceofshit	anger	0.810	skitbit
punched	anger	0.803	stansade
punching	anger	0.803	stansning
slam	anger	0.803	slam
homicide	anger	0.803	dråp
bitch	anger	0.803	tik
fights	anger	0.803	slagsmål
ruthless	anger	0.797	hänsynslös
villainous	anger	0.797	skurkaktig
destructive	anger	0.797	destruktiv
slap	anger	0.791	slag
riot	anger	0.788	upplopp
growthefuckup	anger	0.788	tillväxtfan
punishing	anger	0.788	straffa
slaughterhouse	anger	0.788	slakteri
yelling	anger	0.788	skrikande
diabolical	anger	0.788	djävulsk
destroyed	anger	0.788	förstörd
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	vedergällning
manslaughter	anger	0.783	dråp
clash	anger	0.783	krock
quarrel	anger	0.781	gräl
bloody	anger	0.781	blodig
hellish	anger	0.781	helvetisk
sinister	anger	0.781	olycksbådande
loath	anger	0.781	ovillig
detonation	anger	0.781	detonation
accusing	anger	0.779	anklagande
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	förrädisk
madder	anger	0.773	galnare
horrific	anger	0.773	hemskt
revulsion	anger	0.773	motvilja
retaliate	anger	0.773	hämnas
scorn	anger	0.769	förakt
bomb	anger	0.766	bomba
deplorable	anger	0.766	beklaglig
devastation	anger	0.765	förödelse
anarchist	anger	0.765	anarkist
firestorm	anger	0.765	eldstorm
resent	anger	0.765	harmas över
contemptible	anger	0.764	föraktlig
shittest	anger	0.760	skitigaste
rant	anger	0.758	utläggning
cruel	anger	0.758	grym
deadly	anger	0.758	dödligt
smash	anger	0.758	smash
soangry	anger	0.758	så arg
outburst	anger	0.757	utbrott
snarl	anger	0.754	morra
profane	anger	0.750	vanhelga
revolting	anger	0.750	upprörande
aggravating	anger	0.750	försvårande
horror	anger	0.750	Skräck
despise	anger	0.750	förakta
offend	anger	0.750	förolämpa
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaritet
crazed	anger	0.750	galen
douchebags	anger	0.750	duschbaggar
growling	anger	0.750	morrande
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	skrikande
threat	anger	0.742	hot
erupt	anger	0.742	få ett utbrott
horrible	anger	0.742	fruktansvärd
molestation	anger	0.742	ofredande
fuckedoff	anger	0.742	förbannad
violence	anger	0.742	våld
bastards	anger	0.741	jäklar
revenge	anger	0.738	hämnd
menacing	anger	0.735	hotfull
crushing	anger	0.735	förkrossande
damn	anger	0.735	attans
catastrophe	anger	0.735	katastrof
demon	anger	0.735	demon
argue	anger	0.734	argumentera
persecute	anger	0.734	förfölja
deplore	anger	0.734	djupt beklaga
flog	anger	0.734	prygla
fedup	anger	0.734	fått nog
riotous	anger	0.734	utsvävande
vehement	anger	0.734	häftig
revolt	anger	0.734	revolt
warfare	anger	0.734	krigföring
thrash	anger	0.734	tröska
altercation	anger	0.729	gräl
warlike	anger	0.728	krigisk
shitday	anger	0.727	skitdag
mutiny	anger	0.727	myteri
castrate	anger	0.727	kastrera
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	illvillig
strike	anger	0.721	strejk
disaster	anger	0.721	katastrof
disastrous	anger	0.720	katastrofal
bastarding	anger	0.719	jävla
treachery	anger	0.719	förräderi
arseholes	anger	0.719	rövhål
horseshit	anger	0.719	hästskit
slay	anger	0.719	dräpa
disdain	anger	0.719	förakt
aggravates	anger	0.719	förvärrar
brutal	anger	0.719	Brutal
scorching	anger	0.719	brännhet
devil	anger	0.719	jäkel
madden	anger	0.719	galen
spiteful	anger	0.719	hätsk
scream	anger	0.719	skrika
choke	anger	0.719	sätta i halsen
vermin	anger	0.719	skadedjur
tumult	anger	0.719	tumult
criminal	anger	0.714	kriminell
mangle	anger	0.714	mangel
anarchism	anger	0.714	anarkism
mutilation	anger	0.714	stympning
denunciation	anger	0.713	uppsägning
punch	anger	0.713	stansa
virulence	anger	0.712	virulens
fatal	anger	0.712	dödlig
hurting	anger	0.712	gör ont
crucifixion	anger	0.712	korsfästelse
dontlikeyou	anger	0.712	gillar inte dig
blasphemous	anger	0.712	hädisk
holocaust	anger	0.712	förintelse
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	kämpade
deranged	anger	0.706	rubbad
irritated	anger	0.706	irriterad
atrocious	anger	0.706	grymt
evil	anger	0.706	ondska
aggravated	anger	0.703	förvärras
intimidation	anger	0.703	skrämsel
dicks	anger	0.703	kukar
assassin	anger	0.703	mördare
scolding	anger	0.703	utskällning
persecution	anger	0.703	förföljelse
slayer	anger	0.703	baneman
kidnap	anger	0.703	kidnappa
aggression	anger	0.702	aggression
armed	anger	0.700	väpnad
battle	anger	0.697	slåss
poison	anger	0.697	förgifta
snarling	anger	0.697	morrande
venom	anger	0.697	gift
disgruntled	anger	0.693	missnöjd
resentment	anger	0.691	förbittring
assailant	anger	0.691	angripare
insidious	anger	0.691	smygande
contemptuous	anger	0.690	föraktfull
lynch	anger	0.690	lyncha
temper	anger	0.688	humör
terrible	anger	0.688	fruktansvärd
disparage	anger	0.688	nedvärdera
lunatic	anger	0.688	galning
bully	anger	0.688	översittare
mad	anger	0.688	galen
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	barnamord
domination	anger	0.688	herravälde
peeved	anger	0.688	irriterad
imprisonment	anger	0.688	fängelse
curse	anger	0.688	förbanna
volatility	anger	0.687	flyktighet
eradication	anger	0.685	utrotning
eradicate	anger	0.682	utrota
tantrum	anger	0.682	raserianfall
scoundrel	anger	0.682	skurk
devastate	anger	0.682	ödelägga
aggressively	anger	0.680	aggressivt
agitation	anger	0.680	agitation
dictatorship	anger	0.676	diktatur
irritates	anger	0.676	irriterar
profanity	anger	0.673	hädelser
shove	anger	0.672	knuff
nasty	anger	0.672	otäck
shot	anger	0.672	skott
cruelly	anger	0.672	grymt
shoot	anger	0.672	skjuta
condemnation	anger	0.672	fördömelse
crushed	anger	0.672	krossad
aggravation	anger	0.672	förvärrande
poisonous	anger	0.672	giftig
egregious	anger	0.672	oerhörd
crime	anger	0.672	brottslighet
corrupting	anger	0.672	korrumperar
dastardly	anger	0.672	usel
contempt	anger	0.672	förakt
harmful	anger	0.672	skadlig
expletive	anger	0.672	svordom
wreak	anger	0.672	utlösa
maniac	anger	0.670	galning
cutthroat	anger	0.667	mördande
enemy	anger	0.667	fiende
hit	anger	0.667	träffa
hateeveryone	anger	0.667	hatar alla
eruption	anger	0.667	utbrott
irritable	anger	0.667	irritabel
odious	anger	0.667	motbjudande
shooting	anger	0.667	skytte
shout	anger	0.667	skrika
aggressive	anger	0.667	aggressiv
kick	anger	0.667	sparka
combat	anger	0.667	bekämpa
fight	anger	0.667	bekämpa
punished	anger	0.662	straffad
yell	anger	0.661	skrik
ambush	anger	0.661	bakhåll
harass	anger	0.659	plåga
malignant	anger	0.656	malign
aggressor	anger	0.656	angripare
gore	anger	0.656	levrat blod
destruction	anger	0.656	förstörelse
grudge	anger	0.656	agg
antichrist	anger	0.656	antikrist
incense	anger	0.656	rökelse
expel	anger	0.656	utvisa
cranky	anger	0.653	knasig
slave	anger	0.652	slav
reprisal	anger	0.652	vedergällning
growl	anger	0.652	morra
animosity	anger	0.652	fientlighet
insurrection	anger	0.652	uppror
clashing	anger	0.652	krockar
denounce	anger	0.652	fördöma
offended	anger	0.652	stött
spank	anger	0.652	daska
insulting	anger	0.652	förolämpande
growls	anger	0.649	morrar
executioner	anger	0.644	bödel
twat	anger	0.644	fitta
doomsday	anger	0.643	domedag
obscenity	anger	0.641	obscenitet
accused	anger	0.641	den anklagade
feud	anger	0.641	fejd
daemon	anger	0.641	demon
havoc	anger	0.641	kaos
shackle	anger	0.641	schackel
inexcusable	anger	0.641	oursäktlig
indignant	anger	0.641	indignerad
grr	anger	0.641	grr
expulsion	anger	0.641	uteslutning
bombard	anger	0.641	bombardera
spat	anger	0.641	spottade
arson	anger	0.641	mordbrand
reprimand	anger	0.641	tillrättavisning
somad	anger	0.637	så arg
frustrated	anger	0.636	frustrerad
batter	anger	0.636	smet
kicking	anger	0.636	sparkar
anarchy	anger	0.636	anarki
spanking	anger	0.636	dask
glaring	anger	0.636	bländande
suicidal	anger	0.636	självmordsbenägen
disgusting	anger	0.636	äcklig
wound	anger	0.636	sår
hanging	anger	0.636	hängande
poisoned	anger	0.636	förgiftad
combatant	anger	0.636	stridande
wrecked	anger	0.633	havererade
inflict	anger	0.633	vålla
grievous	anger	0.632	svår
prosecute	anger	0.630	åtala
agitated	anger	0.630	upprörd
cheat	anger	0.630	fuska
swastika	anger	0.627	hakkors
injure	anger	0.625	skada
indict	anger	0.625	åtala
scourge	anger	0.625	gissel
provocation	anger	0.625	provokation
suffocation	anger	0.625	kvävning
strife	anger	0.625	kiv
raid	anger	0.625	räd
enslaved	anger	0.625	förslavad
cursing	anger	0.625	förbannelse
defamatory	anger	0.625	ärekränkande
harassing	anger	0.625	trakasserande
thundering	anger	0.625	dundrande
betray	anger	0.625	förråda
arsehole	anger	0.624	rövhål
theft	anger	0.621	stöld
insane	anger	0.621	sinnessjuk
retaliation	anger	0.621	hämnd
irritate	anger	0.621	irritera
deprivation	anger	0.621	berövande
fiend	anger	0.621	djävul
jerk	anger	0.621	rycka
convict	anger	0.621	fånge
cussed	anger	0.619	förbannad
turmoil	anger	0.618	kaos
smack	anger	0.615	smack
retribution	anger	0.614	vedergällning
rebellion	anger	0.609	uppror
oppressor	anger	0.609	förtryckare
gang	anger	0.609	gäng
slavery	anger	0.609	slaveri
intolerable	anger	0.609	outhärdlig
adverse	anger	0.609	ogynnsam
injurious	anger	0.609	skadlig
twats	anger	0.609	tuttar
collision	anger	0.609	kollision
battery	anger	0.609	batteri
bitterly	anger	0.609	bittert
antagonism	anger	0.609	antagonism
irritability	anger	0.609	irritabilitet
disgraced	anger	0.608	vanärat
diatribe	anger	0.606	diatribe
asshole	anger	0.606	idiot
blast	anger	0.606	kul
bombardment	anger	0.606	bombardemang
irks	anger	0.606	irks
ranting	anger	0.606	gnällande
revolution	anger	0.606	rotation
thug	anger	0.606	gangster
antagonistic	anger	0.606	antagonistisk
irritating	anger	0.606	irriterande
sickening	anger	0.606	kväljande
discrimination	anger	0.606	diskriminering
frustrate	anger	0.604	omintetgöra
insult	anger	0.603	förolämpning
hurtful	anger	0.603	sårande
oppression	anger	0.603	förtryck
manipulation	anger	0.603	manipulation
tiredofit	anger	0.603	trött på det
bigot	anger	0.603	trångsynt
tension	anger	0.603	spänning
disgust	anger	0.602	avsky
spite	anger	0.600	trots
intrusive	anger	0.598	påträngande
harshness	anger	0.597	hårdhet
slur	anger	0.596	slurring
tempest	anger	0.594	storm
assail	anger	0.594	angripa
bitterness	anger	0.594	bitterhet
morbidity	anger	0.594	sjuklighet
casualty	anger	0.594	offer
puncture	anger	0.594	punktera
miserable	anger	0.594	eländig
inferno	anger	0.594	inferno
invasion	anger	0.594	invasion
storming	anger	0.594	stormar
wretch	anger	0.594	usling
consternation	anger	0.592	bestörtning
raving	anger	0.591	raving
forcibly	anger	0.591	med våld
guillotine	anger	0.591	giljotin
guilty	anger	0.591	skyldig
depraved	anger	0.591	depraverad
immoral	anger	0.591	omoralisk
overpowering	anger	0.591	överväldigande
scare	anger	0.588	skrämma
recalcitrant	anger	0.588	motsträvig
screwed	anger	0.588	skruvad
accursed	anger	0.588	förbannad
soannoyed	anger	0.588	irriterad
invader	anger	0.588	inkräktare
jealousy	anger	0.587	svartsjuka
indignation	anger	0.587	indignation
vexed	anger	0.586	förargad
confront	anger	0.582	konfrontera
brute	anger	0.581	djurisk
throttle	anger	0.579	strypa
slut	anger	0.578	slampa
coup	anger	0.578	kupp
blaze	anger	0.578	bläs
pillage	anger	0.578	plundring
provoking	anger	0.578	provocerande
damage	anger	0.578	skada
criminality	anger	0.578	brottslighet
shutup	anger	0.578	håll käften
lash	anger	0.578	surra
conflict	anger	0.578	konflikt
contentious	anger	0.578	omtvistad
shutit	anger	0.578	stänga det
wreck	anger	0.578	förstöra
defiant	anger	0.578	trotsig
butcher	anger	0.578	slaktare
incarceration	anger	0.578	fängslande
revolver	anger	0.578	revolver
bickering	anger	0.578	gnabb
yousuck	anger	0.578	du suger
cancer	anger	0.577	cancer
discriminate	anger	0.576	diskriminera
gun	anger	0.576	pistol
frustration	anger	0.576	frustration
gory	anger	0.576	blodig
pernicious	anger	0.576	fördärvlig
dontmess	anger	0.576	stöka inte
blasphemy	anger	0.576	hädelse
chaotic	anger	0.576	kaotisk
grope	anger	0.576	famla
alienation	anger	0.576	alienation
disturbance	anger	0.576	störning
condescension	anger	0.576	nedlåtenhet
standoff	anger	0.576	standoff
discord	anger	0.576	disharmoni
friggen	anger	0.575	friggen
sneer	anger	0.574	håna
death	anger	0.574	död
lunacy	anger	0.574	vansinne
scandalous	anger	0.574	skandal-
oppressive	anger	0.574	förtryckande
jab	anger	0.574	stöt
cursed	anger	0.574	förbannad
monstrosity	anger	0.574	monster
shit	anger	0.573	Skit
disparaging	anger	0.571	nedsättande
slash	anger	0.571	snedstreck
unfair	anger	0.571	orättvis
gallows	anger	0.570	galge
escalate	anger	0.569	eskalera
intolerant	anger	0.564	intolerant
lawlessness	anger	0.563	laglöshet
beast	anger	0.562	fä
torpedo	anger	0.562	torped
malign	anger	0.562	baktala
traitor	anger	0.562	förrädare
frightful	anger	0.562	förskräcklig
wrangling	anger	0.562	gräl
slander	anger	0.562	förtal
bellows	anger	0.562	bälg
retards	anger	0.562	retards
grouchy	anger	0.562	vresig
derogatory	anger	0.562	nedsättande
bearish	anger	0.562	baisseartad
invade	anger	0.562	invadera
perdition	anger	0.562	fördärv
arghh	anger	0.562	arghh
dreadful	anger	0.562	hemsk
bluddy	anger	0.562	knäpp
deceived	anger	0.562	lurade
glare	anger	0.562	lysa skarpt
taunt	anger	0.562	håna
dissension	anger	0.561	oenighet
cross	anger	0.561	korsa
rave	anger	0.561	rave
grating	anger	0.561	galler
devastating	anger	0.561	förödande
fits	anger	0.561	passar
jeopardize	anger	0.561	äventyra
shatter	anger	0.561	splittras
idiots	anger	0.561	idioter
hurt	anger	0.561	ont
thief	anger	0.561	tjuv
uncontrollable	anger	0.561	okontrollerbar
conflagration	anger	0.561	brand
betrayal	anger	0.561	svek
banshee	anger	0.561	banshee
subjugation	anger	0.559	underkastelse
disturbed	anger	0.559	störd
stomped	anger	0.557	stampade
grab	anger	0.557	hugg
grievance	anger	0.556	klagomål
ticked	anger	0.556	bockat
masochism	anger	0.556	masochism
defiance	anger	0.552	trots
blackmail	anger	0.550	utpressning
offensive	anger	0.549	offensiv
decry	anger	0.548	fördöma
frustrates	anger	0.547	frustrerar
violation	anger	0.547	överträdelse
confine	anger	0.547	begränsa
misery	anger	0.547	elände
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	skillnad
punishment	anger	0.547	bestraffning
rebel	anger	0.547	rebell
preposterous	anger	0.547	orimlig
disgraceful	anger	0.547	vanhedrande
ire	anger	0.547	vrede
deceive	anger	0.547	lura
fustrated	anger	0.547	förvirrad
sin	anger	0.547	synd
shrill	anger	0.547	gäll
darkside	anger	0.547	mörk sida
overbearing	anger	0.547	högdragen
firearms	anger	0.547	skjutvapen
stolen	anger	0.546	stulen
hadenough	anger	0.546	fått nog
prejudice	anger	0.545	fördomar
tackle	anger	0.545	tackla
resentful	anger	0.545	förbittrad
heated	anger	0.545	uppvärmd
callous	anger	0.545	okänslig
conspirator	anger	0.545	konspiratör
ruined	anger	0.545	förstörd
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	skärmytsling
menace	anger	0.545	hot
annoyin	anger	0.545	irriterande
foul	anger	0.545	ojust spel
argument	anger	0.545	argument
humiliate	anger	0.545	förödmjuka
wanker	anger	0.545	wanker
adversary	anger	0.545	motståndare
sting	anger	0.544	sting
entangled	anger	0.544	intrasslad
grumble	anger	0.544	klaga
robbery	anger	0.544	rån
outcry	anger	0.544	skrik
resistance	anger	0.543	motstånd
irreconcilable	anger	0.543	oförenlig
obstructive	anger	0.542	hindrande
dismay	anger	0.540	bestörtning
mob	anger	0.538	folkhop
juststop	anger	0.537	bara sluta
badness	anger	0.536	dålighet
ridicule	anger	0.534	förlöjliga
incendiary	anger	0.533	upphetsande
flares	anger	0.532	bloss
twofaced	anger	0.531	tvåsidigt
reckless	anger	0.531	hänsynslös
communism	anger	0.531	kommunism
allegation	anger	0.531	påstående
prejudicial	anger	0.531	skadlig
whip	anger	0.531	piska
unbridled	anger	0.531	ohämmad
degeneracy	anger	0.531	degeneration
intruder	anger	0.531	inkräktare
belittle	anger	0.531	förringa
confinement	anger	0.531	förlossning
dispute	anger	0.531	tvist
exacerbation	anger	0.531	förvärrande
uprising	anger	0.531	uppror
unjust	anger	0.530	orättvis
unjustifiable	anger	0.530	oförsvarligt
perversion	anger	0.530	förvrängning
bigoted	anger	0.530	bigott
fiesty	anger	0.530	festlig
offender	anger	0.530	lagbrytare
dictatorial	anger	0.530	diktatorisk
hassle	anger	0.530	krångel
dissonance	anger	0.530	dissonans
tackled	anger	0.530	tacklas
renegade	anger	0.529	renegat
cantstandit	anger	0.529	orkar inte
trespass	anger	0.529	intrång
hot	anger	0.529	varm
prison	anger	0.529	fängelse
suicide	anger	0.521	självmord
annoy	anger	0.520	irritera
leavemealone	anger	0.517	lämna mig ifred
cretins	anger	0.516	kretiner
depravity	anger	0.516	sedefördärv
idiotic	anger	0.516	idiotisk
dishonest	anger	0.516	oärlig
distrust	anger	0.516	misstro
broil	anger	0.516	halstra
grrr	anger	0.516	grrr
criticize	anger	0.516	klandra
inimical	anger	0.516	fientlig
tortious	anger	0.516	skadeståndsgrundande
prisoner	anger	0.516	fånge
treason	anger	0.516	förräderi
divorce	anger	0.516	äktenskapsskillnad
venting	anger	0.516	ventilering
duress	anger	0.516	tvång
disrespectful	anger	0.516	respektlös
poaching	anger	0.515	tjuvjakt
scold	anger	0.515	skälla
poachers	anger	0.515	tjuvjägare
pow	anger	0.515	pow
hangry	anger	0.515	hungrig och arg
argumentation	anger	0.515	argumentation
frustrating	anger	0.515	frustrerande
unkind	anger	0.515	ovänlig
roar	anger	0.515	ryta
coercion	anger	0.515	tvång
unforgiving	anger	0.515	oförsonlig
grump	anger	0.515	grumpa
bile	anger	0.515	galla
unleash	anger	0.515	frigöra
chaos	anger	0.515	kaos
victimized	anger	0.515	offer
jerks	anger	0.515	ryck
tussle	anger	0.514	tampas
bane	anger	0.511	fördärv
accusation	anger	0.510	anklagelse
enmity	anger	0.510	fiendskap
repudiation	anger	0.510	förkastande
banish	anger	0.509	förvisa
disfigured	anger	0.508	vanställd
storm	anger	0.507	storm
crazy	anger	0.500	galen
hammering	anger	0.500	hamring
defy	anger	0.500	trotsa
antithesis	anger	0.500	antites
scoff	anger	0.500	håna
anguish	anger	0.500	ångest
confined	anger	0.500	instängd
fear	anger	0.500	rädsla
bout	anger	0.500	anfall
unruly	anger	0.500	ostyrig
delusional	anger	0.500	förvirrad
obstruct	anger	0.500	hindra
possessed	anger	0.500	besatt
injustice	anger	0.500	orättvisa
fervor	anger	0.500	glöd
spear	anger	0.500	spjut
derision	anger	0.500	hån
intractable	anger	0.500	svårhanterliga
reject	anger	0.500	avvisa
dominate	anger	0.500	dominera
ordeal	anger	0.500	prövning
banished	anger	0.500	förvisad
rejects	anger	0.500	avvisar
shun	anger	0.500	sky
brunt	anger	0.500	brunt
derogation	anger	0.500	undantag
frenzied	anger	0.500	frenetisk
animus	anger	0.500	animus
suppression	anger	0.500	undertryckande
malpractice	anger	0.500	försummelse
brazen	anger	0.500	fräck
foaming	anger	0.500	skummande
disrupting	anger	0.500	störande
nobodycares	anger	0.500	ingen bryr sig
patronising	anger	0.500	nedlåtande
getoveryourself	anger	0.495	komma över dig själv
toughness	anger	0.492	seghet
stupidpeople	anger	0.492	dumma människor
madness	anger	0.491	galenskap
sinful	anger	0.491	syndig
avarice	anger	0.490	girighet
oppress	anger	0.490	förtrycka
cutting	anger	0.485	skärande
anathema	anger	0.485	förbannelse
annoyed	anger	0.485	irriterad
dissident	anger	0.485	oliktänkande
demand	anger	0.485	efterfrågan
usurp	anger	0.485	tillskansa sig
claw	anger	0.485	klo
alienate	anger	0.485	fjärma
infraction	anger	0.485	överträdelse
avenger	anger	0.485	hämnare
revoke	anger	0.485	återkalla
smuggler	anger	0.485	smugglare
abolish	anger	0.485	avskaffa
fricking	anger	0.485	fricking
stayaway	anger	0.485	håll dig borta
pervert	anger	0.485	pervers
disservice	anger	0.485	otjänst
disobedient	anger	0.485	olydig
incest	anger	0.485	incest
complaint	anger	0.485	klagomål
disapproved	anger	0.485	ogillades
inhuman	anger	0.485	omänsklig
mocking	anger	0.484	hånfull
penalty	anger	0.484	straff
renounce	anger	0.484	avsäga sig
restrain	anger	0.484	hålla tillbaka
upheaval	anger	0.484	omvälvning
deceit	anger	0.484	svek
obnoxious	anger	0.484	motbjudande
imprisoned	anger	0.484	fången
strained	anger	0.484	spänd
blame	anger	0.484	skylla
oust	anger	0.484	kasta ut
litigious	anger	0.484	stridslysten
rivalry	anger	0.484	rivalitet
sucker	anger	0.484	parasit
opposed	anger	0.484	motsatt
thresh	anger	0.484	tröska
disgrace	anger	0.484	skam
suspicious	anger	0.484	misstänksam
turbulence	anger	0.483	turbulens
pound	anger	0.481	pund
coldness	anger	0.477	kyla
ungrateful	anger	0.472	otacksam
stoopid	anger	0.471	stupid
battalion	anger	0.471	bataljon
feudalism	anger	0.470	feodalism
hostage	anger	0.470	gisslan
annoying	anger	0.470	irriterande
dispossessed	anger	0.470	fördrivits
subversion	anger	0.470	omstörtning
friction	anger	0.470	friktion
jealous	anger	0.470	svartsjuk
adversity	anger	0.470	motgång
infidel	anger	0.470	otrogen
gall	anger	0.470	galla
accuser	anger	0.470	åklagare
ram	anger	0.470	Bagge
armament	anger	0.470	beväpning
thump	anger	0.469	dunk
dislike	anger	0.469	motvilja
steal	anger	0.469	stjäla
backoff	anger	0.469	backoff
stifled	anger	0.469	kvävd
incite	anger	0.469	hetsa
distress	anger	0.469	ångest
angermanagement	anger	0.469	ilskahantering
selfish	anger	0.469	självisk
injury	anger	0.469	skada
exile	anger	0.469	exil
insanity	anger	0.469	vansinne
offense	anger	0.469	anfall
objection	anger	0.469	invändning
smother	anger	0.469	kväva
disruption	anger	0.469	störning
intolerance	anger	0.469	intolerans
disobey	anger	0.469	inte lyda
selfishness	anger	0.469	själviskhet
recidivism	anger	0.469	återfall i brott
subversive	anger	0.469	omstörtande
huff	anger	0.469	huff
plunder	anger	0.469	plundra
opposition	anger	0.469	opposition
complain	anger	0.469	klaga
perpetrator	anger	0.469	förövare
simmer	anger	0.469	sjuda
areyoukidding	anger	0.468	skojar du
mug	anger	0.467	mugg
agony	anger	0.465	vånda
arrogant	anger	0.461	arrogant
sux	anger	0.456	sux
vent	anger	0.456	ventilera
elimination	anger	0.456	eliminering
picketing	anger	0.456	strejkvakt
haughty	anger	0.456	högdragen
grated	anger	0.455	riven
flagrant	anger	0.455	flagrant
busted	anger	0.455	avslöjad
crabby	anger	0.455	knasig
dying	anger	0.455	döende
idiocy	anger	0.455	idioti
impermeable	anger	0.455	ogenomsläpplig
stubbed	anger	0.455	stubbad
illegality	anger	0.455	olaglighet
veto	anger	0.455	veto
constraint	anger	0.455	begränsning
mislead	anger	0.455	vilseleda
illicit	anger	0.455	olaglig
