English Word	Emotion	Emotion-Intensity-Score	Hmong Word
snarl	anger	0.754	snarl
profane	anger	0.750	ua phem
revolting	anger	0.750	ntxeev siab
aggravating	anger	0.750	hnyav dua
horror	anger	0.750	ntshai heev
despise	anger	0.750	saib tsis taus
offend	anger	0.750	ua txhaum
stfu	anger	0.750	stfu ua
vulgarity	anger	0.750	lus dag
crazed	anger	0.750	vwm
douchebags	anger	0.750	douchebags
growling	anger	0.750	yws
dontmesswithme	anger	0.750	tsis txhob nrog kuv
screaming	anger	0.742	qw
threat	anger	0.742	hem
erupt	anger	0.742	tawg
horrible	anger	0.742	txaus ntshai
molestation	anger	0.742	kev ua phem ua qias
fuckedoff	anger	0.742	fucked tawm
violence	anger	0.742	kev ua phem
bastards	anger	0.741	neeg ruam
revenge	anger	0.738	kua zaub ntsuab
menacing	anger	0.735	ua phem
crushing	anger	0.735	crushing
damn	anger	0.735	damn
catastrophe	anger	0.735	kev puas tsuaj
demon	anger	0.735	dab
argue	anger	0.734	sib cav
persecute	anger	0.734	tsim txom
deplore	anger	0.734	deplore
flog	anger	0.734	flog
fedup	anger	0.734	fedup
riotous	anger	0.734	kev kub ntxhov
vehement	anger	0.734	kev mob siab
revolt	anger	0.734	ntxeev siab
warfare	anger	0.734	tsov rog
thrash	anger	0.734	thrash
altercation	anger	0.729	kev sib cav
warlike	anger	0.728	zoo li tsov rog
shitday	anger	0.727	shitday
mutiny	anger	0.727	kev tawm tsam
castrate	anger	0.727	castrate
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	siab phem
strike	anger	0.721	ntaus
disaster	anger	0.721	kev puas tsuaj
disastrous	anger	0.720	kev puas tsuaj
bastarding	anger	0.719	bastarding
treachery	anger	0.719	kev ntxeev siab
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	nees
slay	anger	0.719	tua
disdain	anger	0.719	saib tsis taus
aggravates	anger	0.719	ua rau hnyav dua
brutal	anger	0.719	siab phem
scorching	anger	0.719	kub kub
devil	anger	0.719	dab ntxwg nyoog
madden	anger	0.719	ua madden
spiteful	anger	0.719	siab phem
scream	anger	0.719	qw
choke	anger	0.719	choke
vermin	anger	0.719	vaj tse
tumult	anger	0.719	ntxhov siab
criminal	anger	0.714	txhaum cai
mangle	anger	0.714	mangle
anarchism	anger	0.714	kev tsis ncaj ncees
mutilation	anger	0.714	kev sib hloov
denunciation	anger	0.713	kev denunciation
punch	anger	0.713	xuas nrig ntaus
virulence	anger	0.712	kev ua phem
fatal	anger	0.712	tuag
hurting	anger	0.712	mob
crucifixion	anger	0.712	kev ntsia saum ntoo Khaublig
dontlikeyou	anger	0.712	tsis nyiam koj
blasphemous	anger	0.712	thuam
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	ruam
battled	anger	0.712	sib ntaus sib tua
deranged	anger	0.706	ua tsis taus pa
irritated	anger	0.706	chim siab
atrocious	anger	0.706	siab phem
evil	anger	0.706	phem
aggravated	anger	0.703	hnyav dua
intimidation	anger	0.703	kev hem
dicks	anger	0.703	cov dics
assassin	anger	0.703	tus neeg tua neeg
scolding	anger	0.703	cem
persecution	anger	0.703	kev tsim txom
slayer	anger	0.703	tus tua neeg
kidnap	anger	0.703	tub sab
aggression	anger	0.702	kev ua phem
armed	anger	0.700	riam phom
battle	anger	0.697	sib ntaus sib tua
poison	anger	0.697	tshuaj lom
snarling	anger	0.697	snarling
venom	anger	0.697	venom
disgruntled	anger	0.693	tsis txaus siab
resentment	anger	0.691	kev chim siab
assailant	anger	0.691	neeg tua neeg
insidious	anger	0.691	insidious
contemptuous	anger	0.690	saib tsis taus
lynch	anger	0.690	lynch
temper	anger	0.688	npau taws
terrible	anger	0.688	txaus ntshai
disparage	anger	0.688	kev ntxub ntxaug
lunatic	anger	0.688	ruam
bully	anger	0.688	thab plaub
mad	anger	0.688	chim
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	tshuaj tiv thaiv menyuam mos
domination	anger	0.688	kev tswj hwm
peeved	anger	0.688	siab
imprisonment	anger	0.688	raug kaw
curse	anger	0.688	foom
volatility	anger	0.687	volatility
eradication	anger	0.685	kev tshem tawm
eradicate	anger	0.682	tshem tawm
tantrum	anger	0.682	kev xav
scoundrel	anger	0.682	neeg vwm
devastate	anger	0.682	ua kev puas tsuaj
aggressively	anger	0.680	txhoj puab heev
agitation	anger	0.680	kev ntxhov siab
dictatorship	anger	0.676	dictatorship
irritates	anger	0.676	irritates
profanity	anger	0.673	lus dag
shove	anger	0.672	shov
nasty	anger	0.672	phem
shot	anger	0.672	txhaj tshuaj
cruelly	anger	0.672	siab phem
shoot	anger	0.672	tua
condemnation	anger	0.672	kev rau txim
crushed	anger	0.672	crushed
aggravation	anger	0.672	hnyav dua
poisonous	anger	0.672	lom
egregious	anger	0.672	egregious
crime	anger	0.672	kev ua txhaum
corrupting	anger	0.672	ua tsis ncaj
dastardly	anger	0.672	dastardly
contempt	anger	0.672	saib tsis taus
harmful	anger	0.672	phom sij
expletive	anger	0.672	piav qhia
wreak	anger	0.672	wreak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	txiav caj pas
enemy	anger	0.667	yeeb ncuab
hit	anger	0.667	ntaus
hateeveryone	anger	0.667	ntxub txhua tus
eruption	anger	0.667	tawg
irritable	anger	0.667	chim siab
odious	anger	0.667	lus phem
shooting	anger	0.667	tua
shout	anger	0.667	qw
aggressive	anger	0.667	txhoj puab heev
kick	anger	0.667	ncaws
combat	anger	0.667	kev sib ntaus sib tua
fight	anger	0.667	sib ntaus
punished	anger	0.662	rau txim
yell	anger	0.661	qw
ambush	anger	0.661	kev tawm tsam
harass	anger	0.659	ua phem
malignant	anger	0.656	mob phem
aggressor	anger	0.656	tus neeg ua phem
gore	anger	0.656	gore
destruction	anger	0.656	kev puas tsuaj
grudge	anger	0.656	kev npau taws
antichrist	anger	0.656	antichrist
incense	anger	0.656	xyab
expel	anger	0.656	ntiab tawm
cranky	anger	0.653	cranky
slave	anger	0.652	qhev
reprisal	anger	0.652	kev tsim txom
growl	anger	0.652	yws
animosity	anger	0.652	kev ntxub ntxaug
insurrection	anger	0.652	kev tawm tsam
clashing	anger	0.652	kev sib tsoo
denounce	anger	0.652	tsis hais
offended	anger	0.652	ua txhaum
spank	anger	0.652	spank
insulting	anger	0.652	thuam
growls	anger	0.649	yws
executioner	anger	0.644	tus tua neeg
twat	anger	0.644	twg
doomsday	anger	0.643	hnub poob
obscenity	anger	0.641	kev qias neeg
accused	anger	0.641	liam
feud	anger	0.641	kev sib cav
daemon	anger	0.641	dab
havoc	anger	0.641	kev phem
shackle	anger	0.641	shackle
inexcusable	anger	0.641	zam txim tsis tau
indignant	anger	0.641	chim siab
grr	anger	0.641	grr
expulsion	anger	0.641	kev ntiab tawm
bombard	anger	0.641	foob pob
spat	anger	0.641	nplawm
arson	anger	0.641	hluav taws kub
reprimand	anger	0.641	cem
somad	anger	0.637	somad
frustrated	anger	0.636	ntxhov siab
batter	anger	0.636	batter
kicking	anger	0.636	ncaws
anarchy	anger	0.636	kev tsis ncaj ncees
spanking	anger	0.636	ntaus
glaring	anger	0.636	ci ntsa iab
suicidal	anger	0.636	tua tus kheej
disgusting	anger	0.636	qias neeg
wound	anger	0.636	qhov txhab
hanging	anger	0.636	dai
poisoned	anger	0.636	raug lom
combatant	anger	0.636	tus tub rog
wrecked	anger	0.633	ua puas tsuaj
inflict	anger	0.633	ua phem
grievous	anger	0.632	mob siab
prosecute	anger	0.630	foob
agitated	anger	0.630	ntxhov siab
cheat	anger	0.630	dag
swastika	anger	0.627	swastika
injure	anger	0.625	raug mob
indict	anger	0.625	lus hais
scourge	anger	0.625	raug nplawm
provocation	anger	0.625	kev ua phem
suffocation	anger	0.625	ua tsis taus pa
strife	anger	0.625	kev sib cav
raid	anger	0.625	raid
enslaved	anger	0.625	ua qhev
cursing	anger	0.625	foom
defamatory	anger	0.625	yuam kev
harassing	anger	0.625	ua phem
thundering	anger	0.625	xob quaj
betray	anger	0.625	ntxeev siab
arsehole	anger	0.624	arsehole
theft	anger	0.621	tub sab
insane	anger	0.621	neeg vwm
retaliation	anger	0.621	kev ua pauj
irritate	anger	0.621	khaus khaus
deprivation	anger	0.621	kev poob qis
fiend	anger	0.621	neeg phem
jerk	anger	0.621	jerk
convict	anger	0.621	txim
cussed	anger	0.619	cussed
turmoil	anger	0.618	kev ntxhov siab
smack	anger	0.615	smack
retribution	anger	0.614	kev ua pauj
rebellion	anger	0.609	kev ntxeev siab
oppressor	anger	0.609	tus tsim txom
gang	anger	0.609	laib
slavery	anger	0.609	kev ua qhev
intolerable	anger	0.609	intolerable
adverse	anger	0.609	phem
injurious	anger	0.609	raug mob
twats	anger	0.609	tws
collision	anger	0.609	kev sib tsoo
battery	anger	0.609	roj teeb
bitterly	anger	0.609	iab
antagonism	anger	0.609	kev tawm tsam
irritability	anger	0.609	chim siab
disgraced	anger	0.608	kev txaj muag
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asshole
blast	anger	0.606	tawg
bombardment	anger	0.606	kev foob pob
irks	anger	0.606	irks
ranting	anger	0.606	hais lus
revolution	anger	0.606	kiv puag ncig
thug	anger	0.606	thug
antagonistic	anger	0.606	tiv thaiv
irritating	anger	0.606	khaus khaus
sickening	anger	0.606	mob
discrimination	anger	0.606	kev ntxub ntxaug
frustrate	anger	0.604	chim siab
insult	anger	0.603	thuam
hurtful	anger	0.603	mob siab
oppression	anger	0.603	kev tsim txom
manipulation	anger	0.603	manipulation
tiredofit	anger	0.603	nkees nkees
bigot	anger	0.603	loj
tension	anger	0.603	nruj
disgust	anger	0.602	qias neeg
spite	anger	0.600	ntxhov siab
intrusive	anger	0.598	cuam tshuam
harshness	anger	0.597	hnyav
slur	anger	0.596	lus
tempest	anger	0.594	cua daj cua dub
assail	anger	0.594	ntaus
bitterness	anger	0.594	iab
morbidity	anger	0.594	mob mob
casualty	anger	0.594	raug mob
puncture	anger	0.594	xuas nrig ntaus
miserable	anger	0.594	txom nyem
inferno	anger	0.594	inferno
invasion	anger	0.594	ntxeem tau
storming	anger	0.594	cua daj cua dub
wretch	anger	0.594	siab phem
consternation	anger	0.592	kev ntxhov siab
raving	anger	0.591	raving
forcibly	anger	0.591	quab yuam
guillotine	anger	0.591	guillotine
guilty	anger	0.591	ua txhaum
depraved	anger	0.591	ua phem
immoral	anger	0.591	kev tsis ncaj ncees
overpowering	anger	0.591	overpowering
scare	anger	0.588	ntshai
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	ntsia hlau
accursed	anger	0.588	raug foom
soannoyed	anger	0.588	ua siab ntev
invader	anger	0.588	invader
jealousy	anger	0.587	kev khib
indignation	anger	0.587	kev npau taws
vexed	anger	0.586	vexed
confront	anger	0.582	tawm tsam
brute	anger	0.581	siab phem
throttle	anger	0.579	lub tog raj kheej
slut	anger	0.578	slut
coup	anger	0.578	coup
blaze	anger	0.578	blaze
pillage	anger	0.578	pillage
provoking	anger	0.578	ua rau
damage	anger	0.578	kev puas tsuaj
criminality	anger	0.578	txhaum cai
shutup	anger	0.578	kaws
lash	anger	0.578	lash
conflict	anger	0.578	tsis sib haum xeeb
contentious	anger	0.578	tsis sib haum xeeb
shutit	anger	0.578	kaw
wreck	anger	0.578	kev puas tsuaj
defiant	anger	0.578	tiv thaiv
butcher	anger	0.578	neeg tua tsiaj
incarceration	anger	0.578	raug kaw
revolver	anger	0.578	rab phom
bickering	anger	0.578	kev sib cav sib ceg
yousuck	anger	0.578	kojsuck
cancer	anger	0.577	mob qog noj ntshav
discriminate	anger	0.576	ntxub ntxaug
gun	anger	0.576	phom
frustration	anger	0.576	kev chim siab
gory	anger	0.576	gory
pernicious	anger	0.576	txom nyem
dontmess	anger	0.576	tsis txhob poob siab
blasphemy	anger	0.576	thuam
chaotic	anger	0.576	chaotic
grope	anger	0.576	grope
alienation	anger	0.576	kev cais
disturbance	anger	0.576	cuam tshuam
condescension	anger	0.576	kev txiav txim siab
standoff	anger	0.576	sawv ntsug
discord	anger	0.576	kev tsis sib haum xeeb
friggen	anger	0.575	friggen
sneer	anger	0.574	yws
death	anger	0.574	tuag
lunacy	anger	0.574	kev plam
scandalous	anger	0.574	kev txaj muag
oppressive	anger	0.574	tsim txom
jab	anger	0.574	jab
cursed	anger	0.574	foom
monstrosity	anger	0.574	kev tsis ncaj ncees
shit	anger	0.573	quav
disparaging	anger	0.571	kev ntxub ntxaug
slash	anger	0.571	swb
unfair	anger	0.571	tsis ncaj ncees
gallows	anger	0.570	cov hlab ntsha
escalate	anger	0.569	nce ntxiv
intolerant	anger	0.564	tsis kam
lawlessness	anger	0.563	kev tsis ncaj ncees
beast	anger	0.562	tsiaj qus
torpedo	anger	0.562	lub torpedo
malign	anger	0.562	phem
traitor	anger	0.562	tus neeg ntxeev siab
frightful	anger	0.562	txaus ntshai
wrangling	anger	0.562	kev sib cav
slander	anger	0.562	kev hais lus phem
bellows	anger	0.562	hauv qab
retards	anger	0.562	qab
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	ua phem
bearish	anger	0.562	poob siab
invade	anger	0.562	ntxeem tau
perdition	anger	0.562	kev puas tsuaj
arghh	anger	0.562	arghh ua
dreadful	anger	0.562	txaus ntshai
bluddy	anger	0.562	ruam
deceived	anger	0.562	dag
glare	anger	0.562	glare
taunt	anger	0.562	thuam
dissension	anger	0.561	kev tsis sib haum xeeb
cross	anger	0.561	ntoo khaub lig
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	kev puas tsuaj
fits	anger	0.561	haum
jeopardize	anger	0.561	ua rau raug mob
shatter	anger	0.561	tawg
idiots	anger	0.561	neeg ruam
hurt	anger	0.561	mob
thief	anger	0.561	tub sab
uncontrollable	anger	0.561	tswj tsis tau
conflagration	anger	0.561	conflagration
betrayal	anger	0.561	kev ntxeev siab
banshee	anger	0.561	banshee
subjugation	anger	0.559	subjugation
disturbed	anger	0.559	ntxhov siab
stomped	anger	0.557	tsoo
grab	anger	0.557	ntes
grievance	anger	0.556	kev tsis txaus siab
ticked	anger	0.556	zuam
masochism	anger	0.556	masochism
defiance	anger	0.552	tiv thaiv
blackmail	anger	0.550	dubmail
offensive	anger	0.549	ua phem
decry	anger	0.548	kev txiav txim
frustrates	anger	0.547	ntxhov siab
violation	anger	0.547	ua txhaum cai
confine	anger	0.547	kaw
misery	anger	0.547	kev nyuaj siab
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	tsis sib xws
punishment	anger	0.547	rau txim
rebel	anger	0.547	ntxeev siab
preposterous	anger	0.547	ua ntej
disgraceful	anger	0.547	kev txaj muag
ire	anger	0.547	yog
deceive	anger	0.547	dag
fustrated	anger	0.547	chim siab
sin	anger	0.547	kev txhaum
shrill	anger	0.547	shrill
darkside	anger	0.547	tsaus ntuj
overbearing	anger	0.547	overbearing
firearms	anger	0.547	phom
stolen	anger	0.546	nyiag
hadenough	anger	0.546	muaj txaus
prejudice	anger	0.545	kev ntxub ntxaug
tackle	anger	0.545	daws
resentful	anger	0.545	chim siab
heated	anger	0.545	cua sov
callous	anger	0.545	siab
conspirator	anger	0.545	tus neeg koom siab
ruined	anger	0.545	puas lawm
antagonist	anger	0.545	tus antagonist
skirmish	anger	0.545	kev sib cav
menace	anger	0.545	ua phem
annoyin	anger	0.545	ntxhov siab
foul	anger	0.545	foul
argument	anger	0.545	kev sib cav
humiliate	anger	0.545	txaj muag
wanker	anger	0.545	wanker
adversary	anger	0.545	yeeb ncuab
sting	anger	0.544	sting
entangled	anger	0.544	entangled
grumble	anger	0.544	yws
robbery	anger	0.544	tub sab
outcry	anger	0.544	chim siab
resistance	anger	0.543	tsis kam
irreconcilable	anger	0.543	irreconcilable
obstructive	anger	0.542	obstructive
dismay	anger	0.540	poob siab
mob	anger	0.538	mob
juststop	anger	0.537	nres
badness	anger	0.536	kev phem
ridicule	anger	0.534	thuam
incendiary	anger	0.533	hluav taws kub
flares	anger	0.532	nplaim taws
twofaced	anger	0.531	ob lub ntsej muag
reckless	anger	0.531	tsis ua txhaum
communism	anger	0.531	communism
allegation	anger	0.531	kev liam
prejudicial	anger	0.531	kev ncaj ncees
whip	anger	0.531	nplawm
unbridled	anger	0.531	ua tsis ncaj
degeneracy	anger	0.531	degeneracy
intruder	anger	0.531	intruder
belittle	anger	0.531	saib tsis taus
confinement	anger	0.531	kev kaw
dispute	anger	0.531	kev sib cav
exacerbation	anger	0.531	exacerbation
uprising	anger	0.531	kev tawm tsam
unjust	anger	0.530	tsis ncaj ncees
unjustifiable	anger	0.530	tsis ncaj ncees lawm
perversion	anger	0.530	kev ntxeev siab
bigoted	anger	0.530	ua siab loj
fiesty	anger	0.530	fiesy
offender	anger	0.530	tus neeg ua txhaum
dictatorial	anger	0.530	dictatorial
hassle	anger	0.530	nyuaj
dissonance	anger	0.530	kev tsis sib haum xeeb
tackled	anger	0.530	tackled
renegade	anger	0.529	rov qab los
cantstandit	anger	0.529	ua tsis taus
trespass	anger	0.529	ua txhaum
hot	anger	0.529	kub
prison	anger	0.529	tsev lojcuj
suicide	anger	0.521	tua tus kheej
annoy	anger	0.520	ntxhov siab
leavemealone	anger	0.517	zaub mov noj
cretins	anger	0.516	cov cretins
depravity	anger	0.516	kev ua phem
idiotic	anger	0.516	ruam
dishonest	anger	0.516	tsis ncaj ncees
distrust	anger	0.516	tsis ntseeg
broil	anger	0.516	nqaij qaib
grrr	anger	0.516	grrr
criticize	anger	0.516	thuam
inimical	anger	0.516	yam tsis zoo
tortious	anger	0.516	tsim txom
prisoner	anger	0.516	neeg raug kaw
treason	anger	0.516	kev ntxeev siab
divorce	anger	0.516	kev sib nrauj
venting	anger	0.516	tso pa tawm
duress	anger	0.516	raug quab yuam
disrespectful	anger	0.516	saib tsis taus
poaching	anger	0.515	kev yos hav zoov
scold	anger	0.515	cem
poachers	anger	0.515	neeg poachers
pow	anger	0.515	pow
hangry	anger	0.515	tshaib plab
argumentation	anger	0.515	kev sib cav
frustrating	anger	0.515	ntxhov siab
unkind	anger	0.515	ua siab phem
roar	anger	0.515	yws
coercion	anger	0.515	kev quab yuam
unforgiving	anger	0.515	tsis zam txim
grump	anger	0.515	ruam
bile	anger	0.515	kua tsib
unleash	anger	0.515	tso tawm
chaos	anger	0.515	kev kub ntxhov
victimized	anger	0.515	raug tsim txom
jerks	anger	0.515	jerks
tussle	anger	0.514	tussle
bane	anger	0.511	bane
accusation	anger	0.510	kev liam
enmity	anger	0.510	kev ua phem
repudiation	anger	0.510	kev lees paub
banish	anger	0.509	banish
disfigured	anger	0.508	ua tsis taus pa
storm	anger	0.507	cua daj cua dub
crazy	anger	0.500	vwm
hammering	anger	0.500	rauj
defy	anger	0.500	defy
antithesis	anger	0.500	antithesis
scoff	anger	0.500	thuam
anguish	anger	0.500	mob siab
confined	anger	0.500	raug kaw
fear	anger	0.500	ntshai
bout	anger	0.500	kev sib tw
unruly	anger	0.500	tsis ncaj ncees
delusional	anger	0.500	kev dag ntxias
obstruct	anger	0.500	thaiv
possessed	anger	0.500	muaj
injustice	anger	0.500	kev tsis ncaj ncees
fervor	anger	0.500	kev npau taws
spear	anger	0.500	hmuv
derision	anger	0.500	kev thuam
intractable	anger	0.500	intractable
reject	anger	0.500	tsis lees paub
dominate	anger	0.500	tswj hwm
ordeal	anger	0.500	kev nyuaj siab
banished	anger	0.500	txwv
rejects	anger	0.500	tsis lees paub
shun	anger	0.500	shun
brunt	anger	0.500	brunt
derogation	anger	0.500	derogation
frenzied	anger	0.500	npau taws
animus	anger	0.500	animus
suppression	anger	0.500	kev quab yuam
malpractice	anger	0.500	kev ua tsis ncaj
brazen	anger	0.500	brazen
foaming	anger	0.500	ua npuas ncauj
disrupting	anger	0.500	cuam tshuam
nobodycares	anger	0.500	tsis muaj leej twg saib xyuas
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	getover koj tus kheej
toughness	anger	0.492	tawv
stupidpeople	anger	0.492	cov neeg ruam
madness	anger	0.491	kev vwm
sinful	anger	0.491	kev txhaum
avarice	anger	0.490	avarice
oppress	anger	0.490	tsim txom
cutting	anger	0.485	txiav
anathema	anger	0.485	ua tsis taus pa
annoyed	anger	0.485	ntxhov siab
dissident	anger	0.485	tsis pom zoo
demand	anger	0.485	xav tau
usurp	anger	0.485	usurp ua
claw	anger	0.485	claw
alienate	anger	0.485	txawv txawv
infraction	anger	0.485	ua txhaum cai
avenger	anger	0.485	avenger
revoke	anger	0.485	tshem tawm
smuggler	anger	0.485	tus neeg nyiag khoom
abolish	anger	0.485	tshem tawm
fricking	anger	0.485	fricking
stayaway	anger	0.485	nyob deb
pervert	anger	0.485	yuam kev
disservice	anger	0.485	kev puas tsuaj
disobedient	anger	0.485	tsis mloog lus
incest	anger	0.485	kev sib deev
complaint	anger	0.485	tsis txaus siab
disapproved	anger	0.485	tsis pom zoo
inhuman	anger	0.485	ua tsis ncaj ncees
mocking	anger	0.484	thuam
penalty	anger	0.484	txim
renounce	anger	0.484	tso tseg
restrain	anger	0.484	txwv
upheaval	anger	0.484	kev kub ntxhov
deceit	anger	0.484	kev dag
obnoxious	anger	0.484	ua qias neeg
imprisoned	anger	0.484	raug kaw
strained	anger	0.484	ntxhov siab
blame	anger	0.484	liam
oust	anger	0.484	tawm
