English Word	Emotion	Emotion-Intensity-Score	Greek Word
desecration	anger	0.848	βεβήλωση
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	καταστρέφοντας
slaughter	anger	0.844	σφαγή
irate	anger	0.844	ωργισμένος
violent	anger	0.844	βίαιος
stab	anger	0.844	μαχαιριά
abomination	anger	0.844	βδέλυγμα
tumultuous	anger	0.844	ταραχώδης
infuriate	anger	0.844	εξαγριώ
obliterate	anger	0.843	σβήνω
belligerent	anger	0.841	εμπόλεμος
dumbbitch	anger	0.841	χαζός
detest	anger	0.838	αντιπαθώ
hostilities	anger	0.837	εχθροπραξίες
prick	anger	0.835	πούτσος
rampage	anger	0.833	τρέχω
horrid	anger	0.833	φρικαλέος
cruelty	anger	0.833	σκληρότητα
torture	anger	0.833	βασανιστήριο
rabid	anger	0.833	φανατικός
despicable	anger	0.828	ποταπός
tyrannical	anger	0.828	τυραννικός
demonic	anger	0.828	δαιμονικός
satanic	anger	0.828	σατανικός
hate	anger	0.828	μισώ
ragemode	anger	0.828	ragemode
hating	anger	0.828	μίσος
ruinous	anger	0.825	ολέθριος
condemn	anger	0.825	καταδικάζω
riots	anger	0.824	ταραχές
demolish	anger	0.824	κατεδαφίζω
angry	anger	0.824	θυμωμένος
extermination	anger	0.824	εξόντωση
dickhead	anger	0.824	πουλάι
livid	anger	0.821	πελιδνός
madman	anger	0.820	παραφρόντας
vindictive	anger	0.819	εκδικητικός
terrorist	anger	0.818	τρομοκράτης
threaten	anger	0.818	απειλώ
venomous	anger	0.818	δηλητηριώδης
hateyou	anger	0.818	σε μισώ
ferocity	anger	0.818	αγριότητα
effyou	anger	0.818	εφυ εσυ
abhor	anger	0.816	απεχθάνομαι
carnage	anger	0.814	σφαγή
savage	anger	0.814	άγριος
atrocity	anger	0.814	θηριωδία
fucksake	anger	0.812	γαμημένος
abuse	anger	0.812	κατάχρηση
fierce	anger	0.812	άγριος
destroyer	anger	0.812	αντιτορπιλικό
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	βαρβαρικός
vendetta	anger	0.812	βεντέττα
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	τσαντισμένος
tyrant	anger	0.812	τύραννος
berserk	anger	0.812	έξω φρενών
fuming	anger	0.812	ατμίζοντας
anger	anger	0.811	θυμός
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	γρονθοκοπημένος
punching	anger	0.803	γροθιά
slam	anger	0.803	χτύπημα
homicide	anger	0.803	ανθρωποκτονία
bitch	anger	0.803	σκύλα
fights	anger	0.803	μάχες
ruthless	anger	0.797	αδίστακτος
villainous	anger	0.797	άθλιος
destructive	anger	0.797	καταστρεπτικός
slap	anger	0.791	σφαλιάρα
riot	anger	0.788	ταραχή
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	τιμωρώντας
slaughterhouse	anger	0.788	σφαγείο
yelling	anger	0.788	δυνατή φωνή
diabolical	anger	0.788	διαβολικός
destroyed	anger	0.788	καταστράφηκε από
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	αντίποινα
manslaughter	anger	0.783	ανθρωποκτονία
clash	anger	0.783	σύγκρουση
quarrel	anger	0.781	φιλονικία
bloody	anger	0.781	αιματηρός
hellish	anger	0.781	καταχθόνιος
sinister	anger	0.781	απαίσιος
loath	anger	0.781	ακούσιος
detonation	anger	0.781	πυροκρότηση
accusing	anger	0.779	κατηγορώντας
fumin	anger	0.779	φούμιν
hateeee	anger	0.779	μίσοςεεε
treacherous	anger	0.779	επίβουλος
madder	anger	0.773	πιο τρελός
horrific	anger	0.773	φρικιαστικός
revulsion	anger	0.773	μεταστροφή
retaliate	anger	0.773	ανταποδίδω
scorn	anger	0.769	περιφρόνηση
bomb	anger	0.766	βόμβα
deplorable	anger	0.766	αξιοθρήνητος
devastation	anger	0.765	καταστροφή
anarchist	anger	0.765	αναρχικός
firestorm	anger	0.765	καταιγίδα πυρκαγιάς
resent	anger	0.765	φέρω βαρέως
contemptible	anger	0.764	ποταπός
shittest	anger	0.760	πιο χαζό
rant	anger	0.758	κομπάζω
cruel	anger	0.758	σκληρός
deadly	anger	0.758	θανάσιμα
smash	anger	0.758	σπάσιμο
soangry	anger	0.758	τόσο θυμωμένος
outburst	anger	0.757	ξέσπασμα
snarl	anger	0.754	γρύλισμα
profane	anger	0.750	βέβηλος
revolting	anger	0.750	αποκρουστικός
aggravating	anger	0.750	επιβαρυντικός
horror	anger	0.750	φρίκη
despise	anger	0.750	περιφρονώ
offend	anger	0.750	προσβάλλω
stfu	anger	0.750	stfu
vulgarity	anger	0.750	χυδαιότητα
crazed	anger	0.750	τρελαμένοι
douchebags	anger	0.750	τσαντάκια
growling	anger	0.750	γρυλίζοντας
dontmesswithme	anger	0.750	μην με συναναστρέφεσαι
screaming	anger	0.742	σκούξιμο
threat	anger	0.742	απειλή
erupt	anger	0.742	εκρήγνυμαι
horrible	anger	0.742	φρικτός
molestation	anger	0.742	παρενόχληση
fuckedoff	anger	0.742	γαμημένος
violence	anger	0.742	βία
bastards	anger	0.741	καθάρματα
revenge	anger	0.738	εκδίκηση
menacing	anger	0.735	απειλητικός
crushing	anger	0.735	συντριπτικός
damn	anger	0.735	δεκάρα
catastrophe	anger	0.735	καταστροφή
demon	anger	0.735	δαίμονας
argue	anger	0.734	λογομαχώ
persecute	anger	0.734	καταδιώκω
deplore	anger	0.734	θρηνώ
flog	anger	0.734	δέρνω
fedup	anger	0.734	κουρασμένος
riotous	anger	0.734	ταραχώδης
vehement	anger	0.734	σφοδρός
revolt	anger	0.734	επανάσταση
warfare	anger	0.734	πόλεμος
thrash	anger	0.734	κοπανίζω
altercation	anger	0.729	φιλονικία
warlike	anger	0.728	πολεμοχαρής
shitday	anger	0.727	σκατά
mutiny	anger	0.727	ανταρσία
castrate	anger	0.727	ευνουχίζω
sabotage	anger	0.727	σαμποτάζ
malevolent	anger	0.721	κακόβουλος
strike	anger	0.721	απεργία
disaster	anger	0.721	καταστροφή
disastrous	anger	0.720	καταστρεπτικός
bastarding	anger	0.719	κάθαρμα
treachery	anger	0.719	προδοσία
arseholes	anger	0.719	οπές
horseshit	anger	0.719	άλογο
slay	anger	0.719	σκοτώνω
disdain	anger	0.719	περιφρονώ
aggravates	anger	0.719	επιδεινώνει
brutal	anger	0.719	κτηνώδης
scorching	anger	0.719	καψάλισμα
devil	anger	0.719	διάβολος
madden	anger	0.719	τρελαίνομαι
spiteful	anger	0.719	μοχθηρός
scream	anger	0.719	κραυγή
choke	anger	0.719	πνιγομαι
vermin	anger	0.719	ζωύφια
tumult	anger	0.719	θόρυβος
criminal	anger	0.714	εγκληματίας
mangle	anger	0.714	μάγγανο
anarchism	anger	0.714	αναρχισμός
mutilation	anger	0.714	ακρωτηριασμός
denunciation	anger	0.713	καταγγελία
punch	anger	0.713	γροθιά
virulence	anger	0.712	τοξικότητα
fatal	anger	0.712	μοιραίος
hurting	anger	0.712	πληγώνει
crucifixion	anger	0.712	σταύρωση
dontlikeyou	anger	0.712	δεν σε συμπαθώ
blasphemous	anger	0.712	βλάσφημος
holocaust	anger	0.712	ολοκαύτωμα
dumbasses	anger	0.712	χαζοί
battled	anger	0.712	πολεμούσε
deranged	anger	0.706	διαταραγμένος
irritated	anger	0.706	ενοχλημένος
atrocious	anger	0.706	φρικτός
evil	anger	0.706	κακό
aggravated	anger	0.703	επιδεινώθηκε
intimidation	anger	0.703	εκφοβισμός
dicks	anger	0.703	πούτσες
assassin	anger	0.703	δολοφόνος
scolding	anger	0.703	κατσάδα
persecution	anger	0.703	καταδίωξη
slayer	anger	0.703	φονιάς
kidnap	anger	0.703	απαγωγή
aggression	anger	0.702	επίθεση
armed	anger	0.700	ένοπλος
battle	anger	0.697	μάχη
poison	anger	0.697	δηλητήριο
snarling	anger	0.697	γκρινιάρης
venom	anger	0.697	δηλητήριο
disgruntled	anger	0.693	θυμωμένος
resentment	anger	0.691	μνησικακία
assailant	anger	0.691	επιτιθεμένος
insidious	anger	0.691	ύπουλος
contemptuous	anger	0.690	περιφρονητικός
lynch	anger	0.690	θανατώ άνευ δίκης
temper	anger	0.688	ιδιοσυγκρασία
terrible	anger	0.688	τρομερός
disparage	anger	0.688	δυσφημώ
lunatic	anger	0.688	θεοπάλαβος
bully	anger	0.688	νταής
mad	anger	0.688	τρελός
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	βρεφοκτονία
domination	anger	0.688	κυριαρχία
peeved	anger	0.688	απογοητευμένος
imprisonment	anger	0.688	φυλάκιση
curse	anger	0.688	κατάρα
volatility	anger	0.687	αστάθεια
eradication	anger	0.685	εκρίζωση
eradicate	anger	0.682	εκρίζω
tantrum	anger	0.682	θυμός
scoundrel	anger	0.682	αχρείος
devastate	anger	0.682	ερημώνω
aggressively	anger	0.680	επιθετικά
agitation	anger	0.680	ανακίνηση
dictatorship	anger	0.676	δικτατορία
irritates	anger	0.676	ερεθίζει
profanity	anger	0.673	βλασφημία
shove	anger	0.672	σπρώχνω
nasty	anger	0.672	δυσάρεστος
shot	anger	0.672	βολή
cruelly	anger	0.672	σκληρά
shoot	anger	0.672	βλαστός
condemnation	anger	0.672	καταδίκη
crushed	anger	0.672	συνθλίβονται
aggravation	anger	0.672	επιδείνωση
poisonous	anger	0.672	δηλητηριώδης
egregious	anger	0.672	διαβόητος
crime	anger	0.672	έγκλημα
corrupting	anger	0.672	διαφθείροντας
dastardly	anger	0.672	ποταπός
contempt	anger	0.672	περιφρόνηση
harmful	anger	0.672	επιβλαβής
expletive	anger	0.672	βλαστήμια
wreak	anger	0.672	επιβάλλω
maniac	anger	0.670	μανιακός
cutthroat	anger	0.667	κόντρα
enemy	anger	0.667	εχθρός
hit	anger	0.667	Κτύπημα
hateeveryone	anger	0.667	Μισώ τους πάντες
eruption	anger	0.667	έκρηξη
irritable	anger	0.667	ευέξαπτος
odious	anger	0.667	απεχθής
shooting	anger	0.667	κυνήγι
shout	anger	0.667	κραυγή
aggressive	anger	0.667	επιθετικός
kick	anger	0.667	λάκτισμα
combat	anger	0.667	μάχη
fight	anger	0.667	πάλη
punished	anger	0.662	τιμωρούνται
yell	anger	0.661	κραυγή
ambush	anger	0.661	ενέδρα
harass	anger	0.659	παρενοχλούν
malignant	anger	0.656	κακοήθης
aggressor	anger	0.656	επιδρομέας
gore	anger	0.656	τριγωνικό τεμάχιο
destruction	anger	0.656	καταστροφή
grudge	anger	0.656	μνησικακία
antichrist	anger	0.656	αντίχριστος
incense	anger	0.656	θυμίαμα
expel	anger	0.656	αποβάλλω
cranky	anger	0.653	εκκεντρικός
slave	anger	0.652	δούλος
reprisal	anger	0.652	αντεκδίκηση
growl	anger	0.652	γκρινιάζω
animosity	anger	0.652	έχθρα
insurrection	anger	0.652	εξέγερση
clashing	anger	0.652	συγκρούονται
denounce	anger	0.652	καταγγέλω
offended	anger	0.652	προσβεβλημένος
spank	anger	0.652	δέρνω
insulting	anger	0.652	προσβλητικός
growls	anger	0.649	γρυλίζει
executioner	anger	0.644	δήμιος
twat	anger	0.644	twat
doomsday	anger	0.643	ημέρα της κρίσης
obscenity	anger	0.641	αισχρότητα
accused	anger	0.641	κατηγορούμενος
feud	anger	0.641	έχθρα
daemon	anger	0.641	δαίμονας
havoc	anger	0.641	πανωλεθρία
shackle	anger	0.641	δεσμεύω
inexcusable	anger	0.641	αδικαιολόγητος
indignant	anger	0.641	αγανακτισμένος
grr	anger	0.641	grr
expulsion	anger	0.641	απέλαση
bombard	anger	0.641	βομβαρδίζω
spat	anger	0.641	γκέτα
arson	anger	0.641	εμπρησμός
reprimand	anger	0.641	αυστηρά επίπληξη
somad	anger	0.637	τόσο θυμωμένος
frustrated	anger	0.636	απογοητευμένος
batter	anger	0.636	ροπαλοφόρος
kicking	anger	0.636	κλωτσιές
anarchy	anger	0.636	αναρχία
spanking	anger	0.636	ξύλισμα
glaring	anger	0.636	καταφανής
suicidal	anger	0.636	αυτοκτονικός
disgusting	anger	0.636	αηδιαστικός
wound	anger	0.636	πληγή
hanging	anger	0.636	κρέμασμα
poisoned	anger	0.636	δηλητηριασμένος
combatant	anger	0.636	πολεμιστής
wrecked	anger	0.633	σαραβαλιασμένος
inflict	anger	0.633	επιβάλλω
grievous	anger	0.632	λυπηρός
prosecute	anger	0.630	καταδιώκω
agitated	anger	0.630	ταραγμένος
cheat	anger	0.630	απάτη
swastika	anger	0.627	σβάστικα
injure	anger	0.625	βλάπτω
indict	anger	0.625	ενάγω
scourge	anger	0.625	μάστιγα
provocation	anger	0.625	πρόκληση
suffocation	anger	0.625	ασφυξία
strife	anger	0.625	διαμάχη
raid	anger	0.625	επιδρομή
enslaved	anger	0.625	υπόδουλος
cursing	anger	0.625	βρίζοντας
defamatory	anger	0.625	δυσφημηστικός
harassing	anger	0.625	παρενοχλητικός
thundering	anger	0.625	βροντή
betray	anger	0.625	προδίδω
arsehole	anger	0.624	αρσετρύπα
theft	anger	0.621	κλοπή
insane	anger	0.621	παράφρων
retaliation	anger	0.621	αντίποινα
irritate	anger	0.621	εκνευρίζω
deprivation	anger	0.621	στέρηση
fiend	anger	0.621	δαίμονας
jerk	anger	0.621	κόπανος
convict	anger	0.621	κατάδικος
cussed	anger	0.619	πεισματάρης
turmoil	anger	0.618	αναταραχή
smack	anger	0.615	σκαμπίλι
retribution	anger	0.614	τιμωρία
rebellion	anger	0.609	επανάσταση
oppressor	anger	0.609	καταπιεστής
gang	anger	0.609	συμμορία
slavery	anger	0.609	σκλαβιά
intolerable	anger	0.609	ανυπόφορος
adverse	anger	0.609	δυσμενής
injurious	anger	0.609	επιβλαβής
twats	anger	0.609	twats
collision	anger	0.609	σύγκρουση
battery	anger	0.609	μπαταρία
bitterly	anger	0.609	πικρά
antagonism	anger	0.609	ανταγωνισμός
irritability	anger	0.609	ευερέθιστο
disgraced	anger	0.608	ατιμασμένος
diatribe	anger	0.606	λίβελλος
asshole	anger	0.606	κώλος
blast	anger	0.606	έκρηξη
bombardment	anger	0.606	βομβαρδισμός
irks	anger	0.606	θυμώνει
ranting	anger	0.606	φασαρία
revolution	anger	0.606	επανάσταση
thug	anger	0.606	φονεύς
antagonistic	anger	0.606	ανταγωνιστικός
irritating	anger	0.606	εκνευριστικό
sickening	anger	0.606	αηδής
discrimination	anger	0.606	διάκριση
frustrate	anger	0.604	αγανακτώ
insult	anger	0.603	προσβολή
hurtful	anger	0.603	βλαβερός
oppression	anger	0.603	καταπίεση
manipulation	anger	0.603	χειρισμός
tiredofit	anger	0.603	με έχει κουράσει
bigot	anger	0.603	φανατικός
tension	anger	0.603	ένταση
disgust	anger	0.602	αηδία
spite	anger	0.600	πείσμα
intrusive	anger	0.598	παρεμβαίνων με αυθάδεια
harshness	anger	0.597	τραχύτητα
slur	anger	0.596	μομφή
tempest	anger	0.594	θύελλα
assail	anger	0.594	προσβάλλω
bitterness	anger	0.594	πικρία
morbidity	anger	0.594	νοσηρότητα
casualty	anger	0.594	ατύχημα
puncture	anger	0.594	παρακέντηση
miserable	anger	0.594	άθλιος
inferno	anger	0.594	κόλαση
invasion	anger	0.594	εισβολή
storming	anger	0.594	άλωση εξ εφόδου
wretch	anger	0.594	φουκαράς
consternation	anger	0.592	κατάπληξη
raving	anger	0.591	έξαλλος
forcibly	anger	0.591	βίαια
guillotine	anger	0.591	καρμανιόλα
guilty	anger	0.591	ένοχος
depraved	anger	0.591	διεφθαρμένος
immoral	anger	0.591	ανήθικος
overpowering	anger	0.591	συντριπτικός
scare	anger	0.588	φόβος
recalcitrant	anger	0.588	δύστροπος
screwed	anger	0.588	βιδωμένο
accursed	anger	0.588	αθεόφοβος
soannoyed	anger	0.588	εκνευρισμένος
invader	anger	0.588	επιδρομέας
jealousy	anger	0.587	ζήλια
indignation	anger	0.587	αγανάκτηση
vexed	anger	0.586	ερεθισμένος
confront	anger	0.582	αντιμετωπίζω
brute	anger	0.581	κτήνος
throttle	anger	0.579	γκάζι
slut	anger	0.578	πόρνη
coup	anger	0.578	πραξικόπημα
blaze	anger	0.578	φλόγα
pillage	anger	0.578	λεηλασία
provoking	anger	0.578	προκλητικός
damage	anger	0.578	υλικές ζημιές
criminality	anger	0.578	εγκληματικότητα
shutup	anger	0.578	σκάσε
lash	anger	0.578	μαστίγιο
conflict	anger	0.578	σύγκρουση
contentious	anger	0.578	φιλόνικος
shutit	anger	0.578	Βούλωσέ το
wreck	anger	0.578	ναυάγιο
defiant	anger	0.578	προκλητικός
butcher	anger	0.578	σφάζω
incarceration	anger	0.578	φυλάκιση
revolver	anger	0.578	περίστροφο
bickering	anger	0.578	φιλονικία
yousuck	anger	0.578	είσαι χάλια
cancer	anger	0.577	Καρκίνος
discriminate	anger	0.576	κανω διακρισεις
gun	anger	0.576	όπλο
frustration	anger	0.576	εκνευρισμός
gory	anger	0.576	αιματοβαμμένος
pernicious	anger	0.576	ολέθριος
dontmess	anger	0.576	άστο
blasphemy	anger	0.576	βλασφημία
chaotic	anger	0.576	χαώδης
grope	anger	0.576	ψηλαφώ
alienation	anger	0.576	αποξένωση
disturbance	anger	0.576	διατάραξη
condescension	anger	0.576	συγκατάβαση
standoff	anger	0.576	αντιπαράθεση
discord	anger	0.576	διχόνοια
friggen	anger	0.575	friggen
sneer	anger	0.574	χλεύη
death	anger	0.574	θάνατος
lunacy	anger	0.574	παραφροσύνη
scandalous	anger	0.574	σκανδαλώδης
oppressive	anger	0.574	καταπιεστικός
jab	anger	0.574	ένεση
cursed	anger	0.574	καταραμένος
monstrosity	anger	0.574	τερατούργημα
shit	anger	0.573	σκατά
disparaging	anger	0.571	δυσφημιστικός
slash	anger	0.571	εγκοπή
unfair	anger	0.571	άδικος
gallows	anger	0.570	αγχόνη
escalate	anger	0.569	κλιμακώνω
intolerant	anger	0.564	μισαλλόδοξος
lawlessness	anger	0.563	ανομία
beast	anger	0.562	θηρίο
torpedo	anger	0.562	τορπίλλη
malign	anger	0.562	κακόβουλος
traitor	anger	0.562	προδότης
frightful	anger	0.562	τρομερός
wrangling	anger	0.562	τσακωμός
slander	anger	0.562	συκοφαντία
bellows	anger	0.562	φυσερό
retards	anger	0.562	καθυστερεί
grouchy	anger	0.562	γκρινιάρης
derogatory	anger	0.562	υποτιμητικός
bearish	anger	0.562	πτωτική
invade	anger	0.562	εισβαλλει
perdition	anger	0.562	απώλεια
arghh	anger	0.562	αργκχ
dreadful	anger	0.562	φοβερός
bluddy	anger	0.562	θολό
deceived	anger	0.562	εξαπατημένοι
glare	anger	0.562	αντηλιά
taunt	anger	0.562	χλευασμός
dissension	anger	0.561	διαφωνία
cross	anger	0.561	σταυρός
rave	anger	0.561	ουρλιάζω
grating	anger	0.561	κιγκλίδωμα
devastating	anger	0.561	καταστροφική
fits	anger	0.561	ταιριάζει
jeopardize	anger	0.561	διακινδυνεύω
shatter	anger	0.561	θρυμματίζω
idiots	anger	0.561	ηλίθιοι
hurt	anger	0.561	πλήγμα
thief	anger	0.561	κλέφτης
uncontrollable	anger	0.561	αχαλίνωτος
conflagration	anger	0.561	πυρκαγιά
betrayal	anger	0.561	προδοσία
banshee	anger	0.561	banshee
subjugation	anger	0.559	υποδούλωση
disturbed	anger	0.559	διαταραγμένος
stomped	anger	0.557	πατούσε
grab	anger	0.557	αρπάζω
grievance	anger	0.556	παράπονο
ticked	anger	0.556	τσεκαρισμένο
masochism	anger	0.556	μαζοχισμός
defiance	anger	0.552	περιφρόνηση
blackmail	anger	0.550	εκβιασμός
offensive	anger	0.549	προσβλητικός
decry	anger	0.548	κατηγορώ
frustrates	anger	0.547	απογοητεύει
violation	anger	0.547	παράβαση
confine	anger	0.547	περιορίζω
misery	anger	0.547	μιζέρια
arghhhh	anger	0.547	αργκχχχ
disparity	anger	0.547	ανισότητα
punishment	anger	0.547	τιμωρία
rebel	anger	0.547	επαναστάτης
preposterous	anger	0.547	Εξωφρενικό
disgraceful	anger	0.547	αισχρός
ire	anger	0.547	οργή
deceive	anger	0.547	εξαπατώ
fustrated	anger	0.547	απογοητευμένος
sin	anger	0.547	αμαρτία
shrill	anger	0.547	διαπεραστικός
darkside	anger	0.547	σκοτεινή πλευρά
overbearing	anger	0.547	καταθλιπτικός
firearms	anger	0.547	πυροβόλα όπλα
stolen	anger	0.546	κλεμμένο
hadenough	anger	0.546	ανέχτηκα αρκετά
prejudice	anger	0.545	προκατάληψη
tackle	anger	0.545	ανυψωτήρ
resentful	anger	0.545	μνησίκακος
heated	anger	0.545	θερμός
callous	anger	0.545	τυλώδης
conspirator	anger	0.545	συνωμότης
ruined	anger	0.545	ξεπεσμένος
antagonist	anger	0.545	ανταγωνιστής
skirmish	anger	0.545	αψιμαχία
menace	anger	0.545	απειλή
annoyin	anger	0.545	ενοχλεί
foul	anger	0.545	βρωμερός
argument	anger	0.545	διαφωνία
humiliate	anger	0.545	εξευτελίζω
wanker	anger	0.545	περιπλανώμενος
adversary	anger	0.545	αντίπαλος
sting	anger	0.544	τσίμπημα
entangled	anger	0.544	μπλεγμένος
grumble	anger	0.544	γογγυσμός
robbery	anger	0.544	ληστεία
outcry	anger	0.544	κατακραυγή
resistance	anger	0.543	αντίσταση
irreconcilable	anger	0.543	ασυμβίβαστος
obstructive	anger	0.542	κωλυσιεργικός
dismay	anger	0.540	φόβος
mob	anger	0.538	όχλος
juststop	anger	0.537	κόφτο
badness	anger	0.536	κακία
ridicule	anger	0.534	γελοιοποίηση
incendiary	anger	0.533	εμπρηστικός
flares	anger	0.532	φωτοβολίδες
twofaced	anger	0.531	διπρόσωπος
reckless	anger	0.531	ριψοκίνδυνος
communism	anger	0.531	κομμουνισμός
allegation	anger	0.531	ισχυρισμός
prejudicial	anger	0.531	επιζήμιος
whip	anger	0.531	μαστίγιο
unbridled	anger	0.531	αχαλίνωτος
degeneracy	anger	0.531	εκφυλισμός
intruder	anger	0.531	παρείσακτος
belittle	anger	0.531	υποτιμώ
confinement	anger	0.531	περιορισμός
dispute	anger	0.531	διαμάχη
exacerbation	anger	0.531	παρόξυνση
uprising	anger	0.531	εξέγερση
unjust	anger	0.530	άδικος
unjustifiable	anger	0.530	αδικαιολόγητος
perversion	anger	0.530	διαστροφή
bigoted	anger	0.530	φανατικός
fiesty	anger	0.530	φλογερός
offender	anger	0.530	παραβάτης
dictatorial	anger	0.530	δικτατορικός
hassle	anger	0.530	ταλαιπωρία
dissonance	anger	0.530	παραφωνία
tackled	anger	0.530	αντιμετώπισε
renegade	anger	0.529	αποστάτης
cantstandit	anger	0.529	αντέχω
trespass	anger	0.529	παράπτωμα
hot	anger	0.529	ζεστό
prison	anger	0.529	φυλακή
suicide	anger	0.521	αυτοκτονία
annoy	anger	0.520	ενοχλώ
leavemealone	anger	0.517	άσε με ήσυχο
cretins	anger	0.516	κρετίνες
depravity	anger	0.516	διαφθορά
idiotic	anger	0.516	βλακώδης
dishonest	anger	0.516	ανέντιμος
distrust	anger	0.516	δυσπιστία
broil	anger	0.516	ψήνω στη σχάρα
grrr	anger	0.516	grrr
criticize	anger	0.516	κριτικάρω
inimical	anger	0.516	εχθρικός
tortious	anger	0.516	αδικοπραξία
prisoner	anger	0.516	φυλακισμένος
treason	anger	0.516	προδοσία
divorce	anger	0.516	διαζύγιο
venting	anger	0.516	εξαερισμός
duress	anger	0.516	απειλή
disrespectful	anger	0.516	ασεβής
poaching	anger	0.515	λαθροθηρία
scold	anger	0.515	μαλώνω
poachers	anger	0.515	λαθροθήρες
pow	anger	0.515	pow
hangry	anger	0.515	πεινασμένος
argumentation	anger	0.515	συζήτηση
frustrating	anger	0.515	απογοητευτικό
unkind	anger	0.515	αφιλοφρών
roar	anger	0.515	βρυχηθμός
coercion	anger	0.515	εξαναγκασμός
unforgiving	anger	0.515	ανελέητος
grump	anger	0.515	γκρινιάρης
bile	anger	0.515	χολή
unleash	anger	0.515	απολύω
chaos	anger	0.515	χάος
victimized	anger	0.515	θυματοποιημένος
jerks	anger	0.515	τραντάγματα
tussle	anger	0.514	συμπλοκή
bane	anger	0.511	όλεθρος
accusation	anger	0.510	κατηγορία
enmity	anger	0.510	εχθρότητα
repudiation	anger	0.510	αποκήρυξη
banish	anger	0.509	εξορίζω
disfigured	anger	0.508	παραμορφωμένος
storm	anger	0.507	καταιγίδα
crazy	anger	0.500	τρελός
hammering	anger	0.500	σφυρηλάτηση
defy	anger	0.500	προκαλώ
antithesis	anger	0.500	αντίθεση
scoff	anger	0.500	χλεύη
anguish	anger	0.500	αγωνία
confined	anger	0.500	περιορισμένος
fear	anger	0.500	φόβος
bout	anger	0.500	πάλη
unruly	anger	0.500	άτακτος
delusional	anger	0.500	παραληρηματικό
obstruct	anger	0.500	κωλυσιεργώ
possessed	anger	0.500	κατεχόμενος
injustice	anger	0.500	αδικία
fervor	anger	0.500	θέρμη
spear	anger	0.500	δόρυ
derision	anger	0.500	χλευασμός
intractable	anger	0.500	ατίθασος
reject	anger	0.500	απορρίπτω
dominate	anger	0.500	κατακυριεύω
