English Word	Emotion	Emotion-Intensity-Score	Odia Word
bloodthirsty	anger	0.875	ରକ୍ତହୀନ
pissoff	anger	0.875	ଚିଡ୍ ଚିଡା
fighting	anger	0.868	ଯୁଦ୍ଧ
attacking	anger	0.865	ଆକ୍ରମଣ
annihilated	anger	0.865	ବିନାଶ
angriest	anger	0.864	କ୍ରୋଧିତ
bloodshed	anger	0.864	ରକ୍ତପାତ
smite	anger	0.862	ପ୍ରହାର
brawl	anger	0.861	raw ଗଡା
malicious	anger	0.859	ଦୁଷ୍ଟ
assassination	anger	0.859	ହତ୍ୟା
strangle	anger	0.859	ଗଳାବାଟ
hostility	anger	0.859	ଶତ୍ରୁତା |
assault	anger	0.859	ଆକ୍ରମଣ
explode	anger	0.859	ବିସ୍ଫୋରଣ |
tirade	anger	0.859	ତିରଡେ |
loathsome	anger	0.857	ଘୃଣ୍ୟ
hell	anger	0.853	ନର୍କ
murderous	anger	0.853	ହତ୍ୟାକାରୀ
attack	anger	0.853	ଆକ୍ରମଣ
malice	anger	0.852	ଦୁଷ୍କର୍ମ
terrorism	anger	0.851	ଆତଙ୍କବାଦ
beating	anger	0.849	ମାଡ
outrage	anger	0.848	କ୍ରୋଧ
desecration	anger	0.848	ଅପମାନ
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ବିନାଶ
slaughter	anger	0.844	ହତ୍ୟା
irate	anger	0.844	କ୍ରୋଧ
violent	anger	0.844	ହିଂସାତ୍ମକ
stab	anger	0.844	ଛୁରୀ
abomination	anger	0.844	ଘୃଣ୍ୟ
tumultuous	anger	0.844	ଉତ୍ତେଜନା
infuriate	anger	0.844	କ୍ରୋଧିତ
obliterate	anger	0.843	ବିଲୋପ
belligerent	anger	0.841	ଯୁକ୍ତିତର୍କ |
dumbbitch	anger	0.841	ମୂକ
detest	anger	0.838	ଘୃଣା
hostilities	anger	0.837	ଶତ୍ରୁତା |
prick	anger	0.835	ପ୍ରିକ୍
rampage	anger	0.833	ରାମ୍ପେଜ୍
horrid	anger	0.833	ଭୟଙ୍କର
cruelty	anger	0.833	ନିଷ୍ଠୁରତା
torture	anger	0.833	ନିର୍ଯାତନା
rabid	anger	0.833	ରାଗି
despicable	anger	0.828	ଘୃଣ୍ୟ
tyrannical	anger	0.828	ଅତ୍ୟାଚାର
demonic	anger	0.828	ଭୂତ
satanic	anger	0.828	ଶୟତାନ |
hate	anger	0.828	ଘୃଣା
ragemode	anger	0.828	ରାଗେମୋଡ୍ |
hating	anger	0.828	ଘୃଣା
ruinous	anger	0.825	ବିନାଶକାରୀ
condemn	anger	0.825	ନିନ୍ଦା କର |
riots	anger	0.824	ଦଙ୍ଗା
demolish	anger	0.824	ଭାଙ୍ଗିବା
angry	anger	0.824	କ୍ରୋଧିତ
extermination	anger	0.824	ବିନାଶ
dickhead	anger	0.824	ଡିକହେଡ୍
livid	anger	0.821	ଉଜ୍ଜ୍ୱଳ
madman	anger	0.820	ପାଗଳ
vindictive	anger	0.819	ପ୍ରତିଶୋଧ ପରାୟଣ |
terrorist	anger	0.818	ଆତଙ୍କବାଦୀ
threaten	anger	0.818	ଧମକାଇବା
venomous	anger	0.818	ବିଷାକ୍ତ
hateyou	anger	0.818	ତୁମକୁ ଘୃଣା କରେ
ferocity	anger	0.818	ନିଷ୍ଠୁରତା
effyou	anger	0.818	effyou
abhor	anger	0.816	ଘୃଣ୍ୟ
carnage	anger	0.814	ହତ୍ୟା
savage	anger	0.814	ସାଂଘାତିକ
atrocity	anger	0.814	ଅତ୍ୟାଚାର
fucksake	anger	0.812	fucksake
abuse	anger	0.812	ଅପବ୍ୟବହାର |
fierce	anger	0.812	ଭୟଙ୍କର
destroyer	anger	0.812	ବିନାଶକାରୀ |
angrytweet	anger	0.812	କ୍ରୋଧିତ
barbaric	anger	0.812	ବର୍ବର
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	pissedoff
tyrant	anger	0.812	ଅତ୍ୟାଚାରୀ
berserk	anger	0.812	berserk
fuming	anger	0.812	ଧୂଆଁ
anger	anger	0.811	କ୍ରୋଧ
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	ପିଚ୍
punching	anger	0.803	ପିଚ୍
slam	anger	0.803	ସ୍ଲାମ୍
homicide	anger	0.803	ହତ୍ୟା
bitch	anger	0.803	ବିଚ୍
fights	anger	0.803	ights ଗଡା
ruthless	anger	0.797	ନିର୍ଦ୍ଦୟ
villainous	anger	0.797	ଖରାପ
destructive	anger	0.797	ବିନାଶକାରୀ |
slap	anger	0.791	ଚାପୁଡ଼ା
riot	anger	0.788	ଦଙ୍ଗା
growthefuckup	anger	0.788	ବ grow ଼ିବା
punishing	anger	0.788	ଦଣ୍ଡ
slaughterhouse	anger	0.788	ହତ୍ୟା
yelling	anger	0.788	ଚିତ୍କାର
diabolical	anger	0.788	ମଧୁମେହ
destroyed	anger	0.788	ଧ୍ୱଂସ
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ପ୍ରତିଶୋଧ
manslaughter	anger	0.783	ହତ୍ୟା
clash	anger	0.783	ସଂଘର୍ଷ |
quarrel	anger	0.781	rel ଗଡା
bloody	anger	0.781	ରକ୍ତାକ୍ତ
hellish	anger	0.781	ନର୍କ
sinister	anger	0.781	ପାପୀ
loath	anger	0.781	ଘୃଣା
detonation	anger	0.781	ବିସ୍ଫୋରଣ
accusing	anger	0.779	ଅଭିଯୋଗ
fumin	anger	0.779	ଫୁମିନ୍ |
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	ବିଶ୍ୱାସଘାତକ
madder	anger	0.773	ପାଗଳ
horrific	anger	0.773	ଭୟଙ୍କର
revulsion	anger	0.773	ପ୍ରତ୍ୟାହାର
retaliate	anger	0.773	ପ୍ରତିଶୋଧ
scorn	anger	0.769	ନିନ୍ଦା
bomb	anger	0.766	ବୋମା
deplorable	anger	0.766	ଦୁ or ଖଦାୟକ
devastation	anger	0.765	ବିନାଶ
anarchist	anger	0.765	ଅରାଜକତାବାଦୀ |
firestorm	anger	0.765	ଅଗ୍ନିକାଣ୍ଡ
resent	anger	0.765	ବିରକ୍ତ
contemptible	anger	0.764	ଅବମାନନା
shittest	anger	0.760	ଚିଟଫଣ୍ଡ
rant	anger	0.758	rant
cruel	anger	0.758	ନିଷ୍ଠୁର
deadly	anger	0.758	ସାଂଘାତିକ
smash	anger	0.758	ଧୂଳିସାତ୍
soangry	anger	0.758	soangry
outburst	anger	0.757	ଉତ୍ତେଜନା
snarl	anger	0.754	snarl
profane	anger	0.750	ଅପବିତ୍ର
revolting	anger	0.750	ବିଦ୍ରୋହ
aggravating	anger	0.750	ବୃଦ୍ଧି
horror	anger	0.750	ଭୟ
despise	anger	0.750	ତୁଚ୍ଛ
offend	anger	0.750	ଅପମାନ
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ଅଶ୍ଳୀଳତା
crazed	anger	0.750	ପାଗଳ
douchebags	anger	0.750	ଡାଉଚବ୍ୟାଗ୍ |
growling	anger	0.750	ଗର୍ଜନ
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	ଚିତ୍କାର
threat	anger	0.742	ଧମକ
erupt	anger	0.742	ବିସ୍ଫୋରଣ
horrible	anger	0.742	ଭୟଙ୍କର
molestation	anger	0.742	ନିର୍ଯାତନା
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	ହିଂସା
bastards	anger	0.741	ଦୁଷ୍ଟ
revenge	anger	0.738	ପ୍ରତିଶୋଧ
menacing	anger	0.735	ବିପଦ
crushing	anger	0.735	ଚୂର୍ଣ୍ଣ
damn	anger	0.735	ଅଭିଶାପ
catastrophe	anger	0.735	ବିପର୍ଯ୍ୟୟ |
demon	anger	0.735	ଭୂତ
argue	anger	0.734	ଯୁକ୍ତି
persecute	anger	0.734	ତାଡ଼ନା
deplore	anger	0.734	ଦୁ ore ଖ
flog	anger	0.734	ଚାପ
fedup	anger	0.734	ଫିଡଅପ୍ |
riotous	anger	0.734	ଦଙ୍ଗା
vehement	anger	0.734	vehement
revolt	anger	0.734	ବିଦ୍ରୋହ
warfare	anger	0.734	ଯୁଦ୍ଧ
thrash	anger	0.734	ଥ୍ରାସ୍ |
altercation	anger	0.729	ter ଗଡା
warlike	anger	0.728	ଯୁଦ୍ଧ ଭଳି |
shitday	anger	0.727	ଚିଟଫଣ୍ଡ
mutiny	anger	0.727	ବିଦ୍ରୋହ
castrate	anger	0.727	କାଷ୍ଟ୍ରେଟ୍ |
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	ଦୁଷ୍କର୍ମ
strike	anger	0.721	ଧର୍ମଘଟ
disaster	anger	0.721	ବିପର୍ଯ୍ୟୟ |
disastrous	anger	0.720	ବିପର୍ଯ୍ୟସ୍ତ
bastarding	anger	0.719	ଦୁ ast ଖ
treachery	anger	0.719	ବିଶ୍ୱାସଘାତକତା
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	ଘୋଡା
slay	anger	0.719	ହତ୍ୟା
disdain	anger	0.719	ଅବମାନନା
aggravates	anger	0.719	ବୃଦ୍ଧି କରେ |
brutal	anger	0.719	ନିର୍ଦ୍ଦୟ
scorching	anger	0.719	ଜ୍ୱଳନ୍ତ
devil	anger	0.719	ଶୟତାନ
madden	anger	0.719	ପାଗଳ
spiteful	anger	0.719	ଖରାପ
scream	anger	0.719	ଚିତ୍କାର କର
choke	anger	0.719	ଚକ୍କର
vermin	anger	0.719	ଶବ୍ଦ
tumult	anger	0.719	ଉତ୍ତେଜନା |
criminal	anger	0.714	ଅପରାଧୀ
mangle	anger	0.714	mangle
anarchism	anger	0.714	ଅରାଜକତା |
mutilation	anger	0.714	ପରିବର୍ତ୍ତନ
denunciation	anger	0.713	ନିନ୍ଦା
punch	anger	0.713	ପିଚ୍ |
virulence	anger	0.712	virulence
fatal	anger	0.712	ସାଂଘାତିକ
hurting	anger	0.712	ଆଘାତ
crucifixion	anger	0.712	କ୍ରୁଶବିଦ୍ଧ
dontlikeyou	anger	0.712	dontlikeyou
blasphemous	anger	0.712	ନିନ୍ଦା
holocaust	anger	0.712	ହୋଲକୋଷ୍ଟ
dumbasses	anger	0.712	ମୂକ
battled	anger	0.712	ଯୁଦ୍ଧ କରିଥିଲେ
deranged	anger	0.706	ବିଚଳିତ |
irritated	anger	0.706	ବିରକ୍ତ
atrocious	anger	0.706	ଅତ୍ୟାଚାର
evil	anger	0.706	ମନ୍ଦ
aggravated	anger	0.703	ବୃଦ୍ଧି
intimidation	anger	0.703	ଭୟ
dicks	anger	0.703	ଡିକ୍ସ
assassin	anger	0.703	ହତ୍ୟାକାରୀ
scolding	anger	0.703	ଗାଳି
persecution	anger	0.703	ନିର୍ଯ୍ୟାତନା
slayer	anger	0.703	ହତ୍ୟାକାରୀ
kidnap	anger	0.703	ଅପହରଣ
aggression	anger	0.702	ଆକ୍ରୋଶ
armed	anger	0.700	ସଶସ୍ତ୍ର
battle	anger	0.697	ଯୁଦ୍ଧ
poison	anger	0.697	ବିଷ
snarling	anger	0.697	snarling
venom	anger	0.697	ବିଷ
disgruntled	anger	0.693	ଅସନ୍ତୁଷ୍ଟ
resentment	anger	0.691	ବିରକ୍ତି
assailant	anger	0.691	ଆକ୍ରମଣକାରୀ
insidious	anger	0.691	ଗୁପ୍ତ
contemptuous	anger	0.690	ଅବମାନନା
lynch	anger	0.690	ଲିଞ୍ଚ୍ |
temper	anger	0.688	ସ୍ୱଭାବ
terrible	anger	0.688	ଭୟଙ୍କର
disparage	anger	0.688	ଭେଦଭାବ
lunatic	anger	0.688	lunatic
bully	anger	0.688	ଗାଳିଗୁଲଜ
mad	anger	0.688	ପାଗଳ
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	ଶିଶୁକନ୍ୟା
domination	anger	0.688	ଆଧିପତ୍ୟ
peeved	anger	0.688	peeved
imprisonment	anger	0.688	କାରାଗାର
curse	anger	0.688	ଅଭିଶାପ
volatility	anger	0.687	ଅସ୍ଥିରତା |
eradication	anger	0.685	ବିଲୋପ
eradicate	anger	0.682	ବିଲୋପ କର |
tantrum	anger	0.682	ଟାଣ୍ଟ୍ରମ୍ |
scoundrel	anger	0.682	ଘୃଣ୍ୟ
devastate	anger	0.682	ବିନାଶ
aggressively	anger	0.680	ଆକ୍ରମଣାତ୍ମକ ଭାବରେ |
agitation	anger	0.680	ଆନ୍ଦୋଳନ
dictatorship	anger	0.676	ଏକଛତ୍ରବାଦୀ ଶାସନ
irritates	anger	0.676	ବିରକ୍ତ କରେ |
profanity	anger	0.673	ଅପମାନ
shove	anger	0.672	ଘୋଡାଇବା |
nasty	anger	0.672	ଖରାପ
shot	anger	0.672	ଗୁଳି
cruelly	anger	0.672	ନିଷ୍ଠୁର
shoot	anger	0.672	ଗୁଳି
condemnation	anger	0.672	ନିନ୍ଦା
crushed	anger	0.672	ଚୂର୍ଣ୍ଣ
aggravation	anger	0.672	ବୃଦ୍ଧି
poisonous	anger	0.672	ବିଷାକ୍ତ
egregious	anger	0.672	ଉଦାହରଣ
crime	anger	0.672	ଅପରାଧ
corrupting	anger	0.672	ଦୁର୍ନୀତି
dastardly	anger	0.672	ଦୁ ast ଖଦାୟକ |
contempt	anger	0.672	ଅବମାନନା
harmful	anger	0.672	କ୍ଷତିକାରକ
expletive	anger	0.672	ବ୍ୟାଖ୍ୟାକାରୀ |
wreak	anger	0.672	wreak
maniac	anger	0.670	ମାନିଆକ୍ |
cutthroat	anger	0.667	କଟକ
enemy	anger	0.667	ଶତ୍ରୁ
hit	anger	0.667	ହିଟ୍
hateeveryone	anger	0.667	hateeveryone
eruption	anger	0.667	ଉଦ୍ଗୀରଣ
irritable	anger	0.667	ବିରକ୍ତ
odious	anger	0.667	ଖରାପ
shooting	anger	0.667	ଶୁଟିଂ
shout	anger	0.667	ଚିତ୍କାର କର
aggressive	anger	0.667	ଆକ୍ରମଣାତ୍ମକ
kick	anger	0.667	କିକ୍
combat	anger	0.667	ଯୁଦ୍ଧ
fight	anger	0.667	ଯୁଦ୍ଧ କର
punished	anger	0.662	ଦଣ୍ଡିତ
yell	anger	0.661	ଚିତ୍କାର
ambush	anger	0.661	ଆକ୍ରମଣ
harass	anger	0.659	ହଇରାଣ |
malignant	anger	0.656	କ୍ଷତିକାରକ
aggressor	anger	0.656	ଆକ୍ରମଣକାରୀ
gore	anger	0.656	ଗୋରେ
destruction	anger	0.656	ବିନାଶ
grudge	anger	0.656	କ୍ରୋଧ
antichrist	anger	0.656	ଖ୍ରୀଷ୍ଟଧର୍ମ
incense	anger	0.656	ଧୂପ
expel	anger	0.656	ବହିଷ୍କାର
cranky	anger	0.653	ପାଗଳ
slave	anger	0.652	ଦାସ
reprisal	anger	0.652	ପ୍ରତିଶୋଧ
growl	anger	0.652	ଗର୍ଜନ
animosity	anger	0.652	ଶତ୍ରୁତା |
insurrection	anger	0.652	ବିଦ୍ରୋହ
clashing	anger	0.652	ସଂଘର୍ଷ
denounce	anger	0.652	ନିନ୍ଦା
offended	anger	0.652	ବିରକ୍ତ
spank	anger	0.652	ସ୍ପଙ୍କ
insulting	anger	0.652	ଅପମାନ
growls	anger	0.649	ଗର୍ଜନ
executioner	anger	0.644	ଏକଜେକ୍ୟୁଟର୍
twat	anger	0.644	twat
doomsday	anger	0.643	ଶେଷ ଦିନ
obscenity	anger	0.641	ଅଶ୍ଳୀଳତା |
accused	anger	0.641	ଅଭିଯୁକ୍ତ
feud	anger	0.641	ud ଗଡା
daemon	anger	0.641	ଡେମନ୍ |
havoc	anger	0.641	ବିପଦ
shackle	anger	0.641	ଶିକୁଳି
inexcusable	anger	0.641	ଅସହଯୋଗୀ |
indignant	anger	0.641	କ୍ରୋଧିତ
grr	anger	0.641	grr
expulsion	anger	0.641	ବହିଷ୍କାର
bombard	anger	0.641	ବୋମା ବିସ୍ଫୋରଣ |
spat	anger	0.641	ଛେପ
arson	anger	0.641	ଜାଳେଣି
reprimand	anger	0.641	ଭର୍ତ୍ସନା |
somad	anger	0.637	somad
frustrated	anger	0.636	ବିରକ୍ତି
batter	anger	0.636	ବାଟା
kicking	anger	0.636	ମାରିବା
anarchy	anger	0.636	ଅରାଜକତା |
spanking	anger	0.636	ସ୍ପଙ୍କିଙ୍ଗ୍ |
glaring	anger	0.636	ଚମକ
suicidal	anger	0.636	ଆତ୍ମହତ୍ୟା
disgusting	anger	0.636	ଘୃଣ୍ୟ
wound	anger	0.636	କ୍ଷତ
hanging	anger	0.636	ଫାଶୀ
poisoned	anger	0.636	ବିଷାକ୍ତ
combatant	anger	0.636	ଯୁଦ୍ଧବିମାନ |
wrecked	anger	0.633	ଧ୍ୱଂସ
inflict	anger	0.633	ଆଘାତ
grievous	anger	0.632	ଦୁ iev ଖଦାୟକ
prosecute	anger	0.630	ଦୋଷୀ ସାବ୍ୟସ୍ତ
agitated	anger	0.630	ଉତ୍ତେଜିତ
cheat	anger	0.630	ପ୍ରତାରଣା
swastika	anger	0.627	ସ୍ ast ସ୍ତିକା
injure	anger	0.625	ଆଘାତ
indict	anger	0.625	ଦୋଷ
scourge	anger	0.625	ଘା ’
provocation	anger	0.625	ଉତ୍ତେଜନା
suffocation	anger	0.625	ଶ୍ୱାସ
strife	anger	0.625	ife ଗଡା
raid	anger	0.625	ଆକ୍ରମଣ
enslaved	anger	0.625	ଦାସ
cursing	anger	0.625	ଅଭିଶାପ
defamatory	anger	0.625	ବଦନାମ
harassing	anger	0.625	ହଇରାଣ ହରକତ |
thundering	anger	0.625	ବଜ୍ରପାତ
betray	anger	0.625	ବିଶ୍ୱାସଘାତକତା
arsehole	anger	0.624	arsehole
theft	anger	0.621	ଚୋରି
insane	anger	0.621	ପାଗଳ |
retaliation	anger	0.621	ପ୍ରତିଶୋଧ
irritate	anger	0.621	ବିରକ୍ତ କର |
deprivation	anger	0.621	ବ iv ୍ଚିତ
fiend	anger	0.621	fiend
jerk	anger	0.621	ଜର୍କ
convict	anger	0.621	ଦୋଷୀ
cussed	anger	0.619	cussed
turmoil	anger	0.618	ଅଶାନ୍ତି |
smack	anger	0.615	ସ୍ମାକ୍
retribution	anger	0.614	ପ୍ରତିଶୋଧ
rebellion	anger	0.609	ବିଦ୍ରୋହ
oppressor	anger	0.609	ଦଳିତ
gang	anger	0.609	ଗ୍ୟାଙ୍ଗ
slavery	anger	0.609	ଦାସତ୍ୱ
intolerable	anger	0.609	ଅସହିଷ୍ଣୁ |
adverse	anger	0.609	ପ୍ରତିକୂଳ
injurious	anger	0.609	କ୍ଷତିକାରକ |
twats	anger	0.609	twats
collision	anger	0.609	ଧକ୍କା
battery	anger	0.609	ବ୍ୟାଟେରୀ
bitterly	anger	0.609	ତିକ୍ତ ଭାବରେ
antagonism	anger	0.609	ବିରୋଧ
irritability	anger	0.609	କ୍ରୋଧ
disgraced	anger	0.608	ଅପମାନିତ
diatribe	anger	0.606	diatribe
asshole	anger	0.606	ପାଉଁଶ
blast	anger	0.606	ବିସ୍ଫୋରଣ
bombardment	anger	0.606	ବୋମା ବିସ୍ଫୋରଣ |
irks	anger	0.606	irks
ranting	anger	0.606	ଚିତ୍କାର
revolution	anger	0.606	ବିପ୍ଳବ
thug	anger	0.606	ଥଗ୍
antagonistic	anger	0.606	ବିରୋଧୀ
irritating	anger	0.606	ବିରକ୍ତିକର |
sickening	anger	0.606	ଅସୁସ୍ଥ
discrimination	anger	0.606	ଭେଦଭାବ
frustrate	anger	0.604	ନିରାଶ
insult	anger	0.603	ଅପମାନ
hurtful	anger	0.603	କ୍ଷତିକାରକ |
oppression	anger	0.603	ଅତ୍ୟାଚାର
manipulation	anger	0.603	ମନିପୁଲେସନ୍ |
tiredofit	anger	0.603	କ୍ଳାନ୍ତ
bigot	anger	0.603	bigot
tension	anger	0.603	ଟେନସନ |
disgust	anger	0.602	ଘୃଣ୍ୟ
spite	anger	0.600	ସତ୍ତ୍ .େ |
intrusive	anger	0.598	ଅନୁପ୍ରବେଶକାରୀ |
harshness	anger	0.597	କଠୋରତା
slur	anger	0.596	slur
tempest	anger	0.594	ଘୂର୍ଣ୍ଣିବଳୟ
assail	anger	0.594	ଆକ୍ରମଣ
bitterness	anger	0.594	ତିକ୍ତତା
morbidity	anger	0.594	ଅସୁସ୍ଥତା
casualty	anger	0.594	ଆହତ
puncture	anger	0.594	ଖୁଣ୍ଟ
miserable	anger	0.594	ଦୁଃଖୀ
inferno	anger	0.594	inferno
invasion	anger	0.594	ଆକ୍ରମଣ
storming	anger	0.594	ing ଡ଼
wretch	anger	0.594	ଦୁ ret ଖ
consternation	anger	0.592	ନକ୍ଷତ୍ର
raving	anger	0.591	raving
forcibly	anger	0.591	ଜବରଦସ୍ତ
guillotine	anger	0.591	ଗିଲୋଟିନ୍ |
guilty	anger	0.591	ଦୋଷୀ
depraved	anger	0.591	ଖରାପ
immoral	anger	0.591	ଅନ mo ତିକ |
overpowering	anger	0.591	ଅତ୍ୟଧିକ ଶକ୍ତି
scare	anger	0.588	ଭୟ
recalcitrant	anger	0.588	ପୁନ al ବିଚାର
screwed	anger	0.588	ସ୍କ୍ରୁଡ୍
accursed	anger	0.588	ଅଭିଶାପିତ
soannoyed	anger	0.588	ଦୁ ann ଖ
invader	anger	0.588	ଆକ୍ରମଣକାରୀ
jealousy	anger	0.587	ealous ର୍ଷା
indignation	anger	0.587	କ୍ରୋଧ
vexed	anger	0.586	ବିବ୍ରତ
confront	anger	0.582	ମୁହାଁମୁହିଁ |
brute	anger	0.581	ନିଷ୍ଠୁର
throttle	anger	0.579	ଥ୍ରଟଲ୍ |
slut	anger	0.578	ସ୍ଲଟ୍
coup	anger	0.578	ପୁଲୱାମା ଆକ୍ରମଣ
blaze	anger	0.578	ନିଆଁ
pillage	anger	0.578	ଲୁଣ୍ଠନ
provoking	anger	0.578	ଉତ୍ତେଜକ
damage	anger	0.578	କ୍ଷତି
criminality	anger	0.578	ଅପରାଧ
shutup	anger	0.578	ଚୁପ କର
lash	anger	0.578	ଲାଶ୍
conflict	anger	0.578	ବିବାଦ |
contentious	anger	0.578	ବିବାଦୀୟ
shutit	anger	0.578	ବନ୍ଦ
wreck	anger	0.578	ଧ୍ୱଂସ
defiant	anger	0.578	ନିନ୍ଦନୀୟ |
butcher	anger	0.578	ବୁଟର୍
incarceration	anger	0.578	କାରାଗାର
revolver	anger	0.578	ରିଭଲଭର
bickering	anger	0.578	ବିବାଦ
yousuck	anger	0.578	ତୁମେ ଖରାପ୍
cancer	anger	0.577	କର୍କଟ
discriminate	anger	0.576	ଭେଦଭାବ
gun	anger	0.576	ବନ୍ଧୁକ
frustration	anger	0.576	ନିରାଶା
gory	anger	0.576	ଗୋରୀ
pernicious	anger	0.576	କ୍ଷତିକାରକ |
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	ନିନ୍ଦା
chaotic	anger	0.576	ବିଶୃଙ୍ଖଳା |
grope	anger	0.576	ଗ୍ରୋପ୍ |
alienation	anger	0.576	ବିଚ୍ଛିନ୍ନତା
disturbance	anger	0.576	ବିଶୃଙ୍ଖଳା
condescension	anger	0.576	ଘନଘନ
standoff	anger	0.576	ଷ୍ଟାଣ୍ଡଅଫ୍ |
discord	anger	0.576	ମତଭେଦ |
friggen	anger	0.575	ଫ୍ରିଜେନ୍
sneer	anger	0.574	ନିନ୍ଦା
death	anger	0.574	ମୃତ୍ୟୁ
lunacy	anger	0.574	lunacy
scandalous	anger	0.574	ଘୋଟାଲା
oppressive	anger	0.574	ଦଳିତ
jab	anger	0.574	ଜବ୍
cursed	anger	0.574	ଅଭିଶାପିତ
monstrosity	anger	0.574	ରାକ୍ଷସ
shit	anger	0.573	ଚିଟ୍
disparaging	anger	0.571	ଅପମାନଜନକ |
slash	anger	0.571	ସ୍ଲାସ୍
unfair	anger	0.571	ଅନ୍ୟାୟ
gallows	anger	0.570	ଫାଶୀ
escalate	anger	0.569	ବୃଦ୍ଧି କର |
intolerant	anger	0.564	ଅସହିଷ୍ଣୁ |
lawlessness	anger	0.563	ଅନ less ତିକତା
beast	anger	0.562	ପଶୁ
torpedo	anger	0.562	ଟର୍ପେଡୋ |
malign	anger	0.562	କୁପ୍ରଭାବ
traitor	anger	0.562	ଦେଶଦ୍ରୋହୀ
frightful	anger	0.562	ଭୟଭୀତ
wrangling	anger	0.562	ଯୁକ୍ତିତର୍କ |
slander	anger	0.562	ନିନ୍ଦା
bellows	anger	0.562	ଘଣ୍ଟି
retards	anger	0.562	retards
grouchy	anger	0.562	ଗ୍ରୁଚି
derogatory	anger	0.562	ଅପମାନ
bearish	anger	0.562	ଭାଲୁ
invade	anger	0.562	ଆକ୍ରମଣ
perdition	anger	0.562	ବିନାଶ
arghh	anger	0.562	arghh
dreadful	anger	0.562	ଭୟଭୀତ
bluddy	anger	0.562	bluddy
deceived	anger	0.562	ପ୍ରତାରିତ |
glare	anger	0.562	ଚମକ
taunt	anger	0.562	ଅପମାନ
dissension	anger	0.561	ମତଭେଦ
cross	anger	0.561	କ୍ରସ୍
rave	anger	0.561	rave
grating	anger	0.561	ଗ୍ରେଟିଂ
devastating	anger	0.561	ବିନାଶକାରୀ |
fits	anger	0.561	ଫିଟ୍
jeopardize	anger	0.561	ବିପଦ
shatter	anger	0.561	ଭାଙ୍ଗିବା |
idiots	anger	0.561	ମୂର୍ଖ
hurt	anger	0.561	ଆଘାତ
