English Word	Emotion	Emotion-Intensity-Score	Xhosa Word
tyrannical	anger	0.828	ingqwabalala
demonic	anger	0.828	yobudemon
satanic	anger	0.828	kaSathana
hate	anger	0.828	inzondo
ragemode	anger	0.828	imowudi
hating	anger	0.828	ukuthiya
ruinous	anger	0.825	yingozi
condemn	anger	0.825	gweba
riots	anger	0.824	izidubedube
demolish	anger	0.824	diliza
angry	anger	0.824	nomsindo
extermination	anger	0.824	ukutshatyalaliswa
dickhead	anger	0.824	intloko yentloko
livid	anger	0.821	livid
madman	anger	0.820	uphambene
vindictive	anger	0.819	ukuziphindezela
terrorist	anger	0.818	umnqolobi
threaten	anger	0.818	grogrisa
venomous	anger	0.818	inetyhefu
hateyou	anger	0.818	caphukel wena
ferocity	anger	0.818	ubungcwangu
effyou	anger	0.818	effyou
abhor	anger	0.816	cekisa
carnage	anger	0.814	imbubhiso
savage	anger	0.814	ndlongondlongo
atrocity	anger	0.814	inkohlakalo
fucksake	anger	0.812	i-fucksake
abuse	anger	0.812	ukuxhatshazwa
fierce	anger	0.812	zindlobongela
destroyer	anger	0.812	umtshabalalisi
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	burhabaxa
vendetta	anger	0.812	into
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ndicaphukile
tyrant	anger	0.812	uzwilakhe
berserk	anger	0.812	rserk
fuming	anger	0.812	enomsindo
anger	anger	0.811	umsindo
pieceofshit	anger	0.810	ipisi yekaka
punched	anger	0.803	kubethelwa ngenqindi
punching	anger	0.803	ukubetha
slam	anger	0.803	slam
homicide	anger	0.803	ukubulala
bitch	anger	0.803	mazenja
fights	anger	0.803	imilo
ruthless	anger	0.797	abangenanceba
villainous	anger	0.797	ngendawo
destructive	anger	0.797	etshabalalisayo
slap	anger	0.791	impama
riot	anger	0.788	uqhushululu
growthefuckup	anger	0.788	ukukhula
punishing	anger	0.788	ukohlwaya
slaughterhouse	anger	0.788	indawo yokuxhela
yelling	anger	0.788	ekhwaza
diabolical	anger	0.788	kaSathana
destroyed	anger	0.788	itshatyalalisiwe
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ukuziphindezela
manslaughter	anger	0.783	ukubulala umntu
clash	anger	0.783	ukungqubana
quarrel	anger	0.781	ukuxabana
bloody	anger	0.781	igazi
hellish	anger	0.781	isihogo
sinister	anger	0.781	bubi
loath	anger	0.781	ukuzonda
detonation	anger	0.781	ukuqhushumba
accusing	anger	0.779	etyholayo
fumin	anger	0.779	umphunga
hateeee	anger	0.779	utheeeee
treacherous	anger	0.779	ngobuqhophololo
madder	anger	0.773	uhlanya
horrific	anger	0.773	eyoyikekayo
revulsion	anger	0.773	ukucaphuka
retaliate	anger	0.773	phindezela
scorn	anger	0.769	intlekisa
bomb	anger	0.766	ibhombu
deplorable	anger	0.766	lusizi
devastation	anger	0.765	intshabalalo
anarchist	anger	0.765	i-anarchist
firestorm	anger	0.765	umlilo
resent	anger	0.765	ukucaphuka
contemptible	anger	0.764	kudelekileyo
shittest	anger	0.760	shittest
rant	anger	0.758	ukukhwaza
cruel	anger	0.758	ukhohlakele
deadly	anger	0.758	ebulalayo
smash	anger	0.758	qhekeza
soangry	anger	0.758	unomsindo
outburst	anger	0.757	ukugqabhuka
snarl	anger	0.754	tswina
profane	anger	0.750	engcolileyo
revolting	anger	0.750	uvukelo
aggravating	anger	0.750	ezenza mandundu
horror	anger	0.750	uloyiko
despise	anger	0.750	dela
offend	anger	0.750	ukukhubekisa
stfu	anger	0.750	Stfu
vulgarity	anger	0.750	ubukrwada
crazed	anger	0.750	uphambene
douchebags	anger	0.750	iidouchebags
growling	anger	0.750	ukugquma
dontmesswithme	anger	0.750	ungamesswithme
screaming	anger	0.742	ekhwaza
threat	anger	0.742	isoyikiso
erupt	anger	0.742	gqabhuka
horrible	anger	0.742	eyoyikekayo
molestation	anger	0.742	ukuxhatshazwa
fuckedoff	anger	0.742	iphelile
violence	anger	0.742	ubundlobongela
bastards	anger	0.741	amarhewu
revenge	anger	0.738	ukuziphindezela
menacing	anger	0.735	ukoyikisa
crushing	anger	0.735	ukutyumza
damn	anger	0.735	Demethi
catastrophe	anger	0.735	intlekele
demon	anger	0.735	idemon
argue	anger	0.734	xoxa
persecute	anger	0.734	tshutshisa
deplore	anger	0.734	deplore
flog	anger	0.734	isabhokhwe
fedup	anger	0.734	ndidiniwe
riotous	anger	0.734	isidubedube
vehement	anger	0.734	ngamandla
revolt	anger	0.734	imvukelo
warfare	anger	0.734	imfazwe
thrash	anger	0.734	thrasha
altercation	anger	0.729	ingxabano
warlike	anger	0.728	njengemfazwe
shitday	anger	0.727	shitday
mutiny	anger	0.727	imvukelo
castrate	anger	0.727	wathenwa
sabotage	anger	0.727	ukonakaliswa
malevolent	anger	0.721	ukhohlakele
strike	anger	0.721	ugwayimbo
disaster	anger	0.721	intlekele
disastrous	anger	0.720	yintlekele
bastarding	anger	0.719	ukubhatala
treachery	anger	0.719	ubuqhophololo
arseholes	anger	0.719	imigodi
horseshit	anger	0.719	ihashe
slay	anger	0.719	bulala
disdain	anger	0.719	indelelo
aggravates	anger	0.719	yenza mandundu
brutal	anger	0.719	ngenkohlakalo
scorching	anger	0.719	ukutshisa
devil	anger	0.719	usathana
madden	anger	0.719	uphambene
spiteful	anger	0.719	nentiyo
scream	anger	0.719	khala
choke	anger	0.719	kuminxa
vermin	anger	0.719	intaka
tumult	anger	0.719	isiphithiphithi
criminal	anger	0.714	isaphuli-mthetho
mangle	anger	0.714	umjita
anarchism	anger	0.714	i-anarchism
mutilation	anger	0.714	ukutyunyuzwa
denunciation	anger	0.713	isiqalekiso
punch	anger	0.713	inqindi
virulence	anger	0.712	ubundlobongela
fatal	anger	0.712	bulalayo
hurting	anger	0.712	buhlungu
crucifixion	anger	0.712	ubethelelo
dontlikeyou	anger	0.712	andithandi wena
blasphemous	anger	0.712	unyeliso
holocaust	anger	0.712	iHolocaust
dumbasses	anger	0.712	iidemon
battled	anger	0.712	walwa
deranged	anger	0.706	udidekile
irritated	anger	0.706	ukucaphuka
atrocious	anger	0.706	ngenkohlakalo
evil	anger	0.706	ububi
aggravated	anger	0.703	yenziwe mandundu
intimidation	anger	0.703	izoyikiso
dicks	anger	0.703	iidicks
assassin	anger	0.703	umbulali
scolding	anger	0.703	ukuthethisa
persecution	anger	0.703	intshutshiso
slayer	anger	0.703	umbulali
kidnap	anger	0.703	qweqwedisa
aggression	anger	0.702	ubundlongondlongo
armed	anger	0.700	uxhobile
battle	anger	0.697	idabi
poison	anger	0.697	ityhefu
snarling	anger	0.697	ekhwaza
venom	anger	0.697	ubuthi
disgruntled	anger	0.693	engonelisekanga
resentment	anger	0.691	ukucaphuka
assailant	anger	0.691	umhlaseli
insidious	anger	0.691	ngobuqhophololo
contemptuous	anger	0.690	nendelelo
lynch	anger	0.690	lynch
temper	anger	0.688	umsindo
terrible	anger	0.688	yoyikeka
disparage	anger	0.688	ukugxeka
lunatic	anger	0.688	unegeza
bully	anger	0.688	umxhaphazi
mad	anger	0.688	uphambene
makesmemad	anger	0.688	iyacaphukisa
infanticide	anger	0.688	ukubulala iintsana
domination	anger	0.688	ulawulo
peeved	anger	0.688	wakroba
imprisonment	anger	0.688	ukuvalelwa
curse	anger	0.688	isiqalekiso
volatility	anger	0.687	ukuguquguquka
eradication	anger	0.685	ukuphelisa
eradicate	anger	0.682	phelisa
tantrum	anger	0.682	umsindo
scoundrel	anger	0.682	utsotsi
devastate	anger	0.682	yonakalisa
aggressively	anger	0.680	ngobundlongondlongo
agitation	anger	0.680	ukuphazamiseka
dictatorship	anger	0.676	ubuzwilakhe
irritates	anger	0.676	iyacaphukisa
profanity	anger	0.673	inhlamba
shove	anger	0.672	tyhala
nasty	anger	0.672	mbi
shot	anger	0.672	wadutyulwa
cruelly	anger	0.672	ngenkohlakalo
shoot	anger	0.672	dubula
condemnation	anger	0.672	ukugwetywa
crushed	anger	0.672	ityunyuziwe
aggravation	anger	0.672	ukuxhwaleka
poisonous	anger	0.672	enetyhefu
egregious	anger	0.672	kakhulu
crime	anger	0.672	ulwaphulo-mthetho
corrupting	anger	0.672	yonakalisa
dastardly	anger	0.672	ngokukrakra
contempt	anger	0.672	indelelo
harmful	anger	0.672	eyingozi
expletive	anger	0.672	etshabalalisayo
wreak	anger	0.672	yonakalisa
maniac	anger	0.670	maniac
cutthroat	anger	0.667	umqala
enemy	anger	0.667	utshaba
hit	anger	0.667	hit
hateeveryone	anger	0.667	uthiye wonke umntu
eruption	anger	0.667	ugqabhuko-dubulo
irritable	anger	0.667	nomsindo
odious	anger	0.667	edidayo
shooting	anger	0.667	ukudubula
shout	anger	0.667	khwaza
aggressive	anger	0.667	ndlongondlongo
kick	anger	0.667	khaba
combat	anger	0.667	ukulwa
fight	anger	0.667	ukulwa
punished	anger	0.662	wohlwaywa
yell	anger	0.661	khala
ambush	anger	0.661	lalela
harass	anger	0.659	hlukumeza
malignant	anger	0.656	yingozi
aggressor	anger	0.656	umhlaseli
gore	anger	0.656	unyaka
destruction	anger	0.656	intshabalalo
grudge	anger	0.656	inzondo
antichrist	anger	0.656	umchasi-Kristu
incense	anger	0.656	isiqhumiso
expel	anger	0.656	gxotha
cranky	anger	0.653	cranky
slave	anger	0.652	ikhoboka
reprisal	anger	0.652	impindezelo
growl	anger	0.652	gquma
animosity	anger	0.652	inzondo
insurrection	anger	0.652	imvukelo
clashing	anger	0.652	ukungqubana
denounce	anger	0.652	gxeka
offended	anger	0.652	ukhubekile
spank	anger	0.652	i-span
insulting	anger	0.652	ukuthuka
growls	anger	0.649	uyagquma
executioner	anger	0.644	umbulali
twat	anger	0.644	nto
doomsday	anger	0.643	imini yentshabalalo
obscenity	anger	0.641	amanyala
accused	anger	0.641	umtyholwa
feud	anger	0.641	ingxabano
daemon	anger	0.641	idaemon
havoc	anger	0.641	isiphithiphithi
shackle	anger	0.641	ikhonkco
inexcusable	anger	0.641	engenakuxolelwa
indignant	anger	0.641	nomsindo
grr	anger	0.641	grr
expulsion	anger	0.641	ukugxothwa
bombard	anger	0.641	ibhombu
spat	anger	0.641	amathe
arson	anger	0.641	ukutshisa
reprimand	anger	0.641	khalimela
somad	anger	0.637	somad
frustrated	anger	0.636	ukudana
batter	anger	0.636	betha
kicking	anger	0.636	ukukhaba
anarchy	anger	0.636	isiphithiphithi
spanking	anger	0.636	ukubetha
glaring	anger	0.636	ilinge
suicidal	anger	0.636	ukuzibulala
disgusting	anger	0.636	lizothe
wound	anger	0.636	inxeba
hanging	anger	0.636	ukuxhoma
poisoned	anger	0.636	ityhefu
combatant	anger	0.636	umlwi
wrecked	anger	0.633	yaphukile
inflict	anger	0.633	bangela
grievous	anger	0.632	buhlungu
prosecute	anger	0.630	tshutshisa
agitated	anger	0.630	phazamisekile
cheat	anger	0.630	ukukopela
swastika	anger	0.627	swastika
injure	anger	0.625	ukwenzakalisa
indict	anger	0.625	ityala
scourge	anger	0.625	isibetho
provocation	anger	0.625	ukucaphukisa
suffocation	anger	0.625	ukufuthaniselwa
strife	anger	0.625	ingxabano
raid	anger	0.625	ugqogqo
enslaved	anger	0.625	enziwe amakhoboka
cursing	anger	0.625	isiqalekiso
defamatory	anger	0.625	enyelisa
harassing	anger	0.625	ukuhlukumeza
thundering	anger	0.625	iindudumo
betray	anger	0.625	ukungcatsha
arsehole	anger	0.624	umngxuma omkhulu
theft	anger	0.621	ubusela
insane	anger	0.621	uphambene
retaliation	anger	0.621	impindezelo
irritate	anger	0.621	caphukisa
deprivation	anger	0.621	ukuswela
fiend	anger	0.621	umhlobo
jerk	anger	0.621	xhuzula
convict	anger	0.621	ogwetyiweyo
cussed	anger	0.619	wathuka
turmoil	anger	0.618	isiphithiphithi
smack	anger	0.615	impama
retribution	anger	0.614	impindezelo
rebellion	anger	0.609	imvukelo
oppressor	anger	0.609	umcinezeli
gang	anger	0.609	iqela lemigulukudu
slavery	anger	0.609	ubukhoboka
intolerable	anger	0.609	ayinyamezeleki
adverse	anger	0.609	embi
injurious	anger	0.609	eyingozi
twats	anger	0.609	iintambo
collision	anger	0.609	ukungqubana
battery	anger	0.609	ibhetri
bitterly	anger	0.609	ngokukrakra
antagonism	anger	0.609	inkcaso
irritability	anger	0.609	ukucaphuka
disgraced	anger	0.608	ihlazo
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Umgqobho wempundu
blast	anger	0.606	uqhushumbo
bombardment	anger	0.606	ibhombu
irks	anger	0.606	iyacaphukisa
ranting	anger	0.606	ukukhwaza
revolution	anger	0.606	revolution
thug	anger	0.606	isigebenga
antagonistic	anger	0.606	ochasayo
irritating	anger	0.606	iyacaphukisa
sickening	anger	0.606	ukugula
discrimination	anger	0.606	ucalucalulo
frustrate	anger	0.604	ukuphoxa
insult	anger	0.603	isithuko
hurtful	anger	0.603	enzakalisayo
oppression	anger	0.603	ingcinezelo
manipulation	anger	0.603	ukukhohlisa
tiredofit	anger	0.603	ndidiniwe
bigot	anger	0.603	indoda enkulu
tension	anger	0.603	Uxinzelelo
disgust	anger	0.602	ukucaphuka
spite	anger	0.600	ngaphandle
intrusive	anger	0.598	engenelelayo
harshness	anger	0.597	ubungqwabalala
slur	anger	0.596	intlebendwane
tempest	anger	0.594	isaqhwithi
assail	anger	0.594	ukuhlasela
bitterness	anger	0.594	ubukrakra
morbidity	anger	0.594	ukugula
casualty	anger	0.594	ukwenzakala
puncture	anger	0.594	ukugqobhoza
miserable	anger	0.594	lusizi
inferno	anger	0.594	umlillo omkhulu
invasion	anger	0.594	uhlaselo
storming	anger	0.594	uqhwithela
wretch	anger	0.594	lusizi
consternation	anger	0.592	unxunguphalo
raving	anger	0.591	raving
forcibly	anger	0.591	ngenkani
guillotine	anger	0.591	i-guillotine
guilty	anger	0.591	unetyala
depraved	anger	0.591	wonakele
immoral	anger	0.591	eziphethe kakubi
overpowering	anger	0.591	ukoyisa
scare	anger	0.588	uloyiko
recalcitrant	anger	0.588	umntu ongavumiyo
screwed	anger	0.588	ikrwelwe
accursed	anger	0.588	uqalekisiwe
soannoyed	anger	0.588	ukucaphuka
invader	anger	0.588	umhlaseli
jealousy	anger	0.587	umona
indignation	anger	0.587	ukucaphuka
vexed	anger	0.586	ukhathazekile
confront	anger	0.582	jongana
brute	anger	0.581	sisilumko
throttle	anger	0.579	umqala
slut	anger	0.578	ihule
coup	anger	0.578	ubhukuqo-mbuso
blaze	anger	0.578	ilangatye
pillage	anger	0.578	ukuphanga
provoking	anger	0.578	ukucaphukisa
damage	anger	0.578	umonakalo
criminality	anger	0.578	ubugebenga
shutup	anger	0.578	thula
lash	anger	0.578	umqolo
conflict	anger	0.578	ungquzulwano
contentious	anger	0.578	ingxabano
shutit	anger	0.578	vala
wreck	anger	0.578	ukuphuka
defiant	anger	0.578	ngendelelo
butcher	anger	0.578	umxheli
incarceration	anger	0.578	ukuvalelwa
revolver	anger	0.578	ivolovolo
bickering	anger	0.578	ukuxabana
yousuck	anger	0.578	uyafunxa
cancer	anger	0.577	umhlaza
discriminate	anger	0.576	ukucalula
gun	anger	0.576	umpu
frustration	anger	0.576	ukudandatheka
gory	anger	0.576	gory
pernicious	anger	0.576	yingozi
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	unyeliso
chaotic	anger	0.576	isiphithiphithi
grope	anger	0.576	phuthaphutha
alienation	anger	0.576	ukwahlukana
disturbance	anger	0.576	ukuphazamiseka
condescension	anger	0.576	ukuzithoba
standoff	anger	0.576	ukuma
discord	anger	0.576	imbambano
friggen	anger	0.575	ifriji
sneer	anger	0.574	hlekisa
death	anger	0.574	ukufa
lunacy	anger	0.574	ubuhlanya
scandalous	anger	0.574	ihlazo
oppressive	anger	0.574	cinezela
jab	anger	0.574	jab
cursed	anger	0.574	uqalekisiwe
monstrosity	anger	0.574	ubugebenga
shit	anger	0.573	ikaka
disparaging	anger	0.571	ukuthoba
slash	anger	0.571	Slash
unfair	anger	0.571	ngokungafanelekanga
gallows	anger	0.570	umthi
escalate	anger	0.569	ukunyuka
intolerant	anger	0.564	ukunganyamezeli
lawlessness	anger	0.563	ukuchas’ umthetho
beast	anger	0.562	irhamncwa
torpedo	anger	0.562	i-torpedo
malign	anger	0.562	kakubi
traitor	anger	0.562	umngcatshi
frightful	anger	0.562	iyoyikisa
wrangling	anger	0.562	ukuxabana
slander	anger	0.562	ukunyelisa
bellows	anger	0.562	gquma
retards	anger	0.562	ukulibaziseka
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	ethobayo
bearish	anger	0.562	i-bearish
invade	anger	0.562	hlasela
perdition	anger	0.562	intshabalalo
arghh	anger	0.562	argh
dreadful	anger	0.562	yoyikeka
bluddy	anger	0.562	bludy
deceived	anger	0.562	ukhohlisiwe
glare	anger	0.562	ilitha
taunt	anger	0.562	intlekisa
dissension	anger	0.561	Ukungavisisani
cross	anger	0.561	umnqamlezo
rave	anger	0.561	qhwaba
grating	anger	0.561	ukuhluza
devastating	anger	0.561	etshabalalisayo
fits	anger	0.561	iyangena
jeopardize	anger	0.561	beka esichengeni
shatter	anger	0.561	qhekeza
idiots	anger	0.561	izidenge
hurt	anger	0.561	buhlungu
thief	anger	0.561	isela
uncontrollable	anger	0.561	engalawulekiyo
conflagration	anger	0.561	umlilo
betrayal	anger	0.561	ukungcatshwa
banshee	anger	0.561	banshee
subjugation	anger	0.559	ukuzithoba
disturbed	anger	0.559	phazamisekile
stomped	anger	0.557	wanyathela
grab	anger	0.557	bamba
grievance	anger	0.556	isikhalazo
ticked	anger	0.556	kuphawulwe
masochism	anger	0.556	i-masochism
defiance	anger	0.552	inkcaso
blackmail	anger	0.550	ukutyhola
offensive	anger	0.549	ekhubekisayo
decry	anger	0.548	ukukhala
frustrates	anger	0.547	iyakhathaza
violation	anger	0.547	ukwaphulwa
confine	anger	0.547	vala
misery	anger	0.547	intlupheko
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ukungafani
punishment	anger	0.547	isohlwayo
rebel	anger	0.547	abavukeli
preposterous	anger	0.547	neentloni
disgraceful	anger	0.547	ilihlazo
ire	anger	0.547	unomsindo
deceive	anger	0.547	khohlisa
fustrated	anger	0.547	fustrated
sin	anger	0.547	isono
shrill	anger	0.547	shwabula
darkside	anger	0.547	icala elimnyama
overbearing	anger	0.547	ukugqithisela
firearms	anger	0.547	imipu
stolen	anger	0.546	ibiwe
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	ucalucalulo
tackle	anger	0.545	ukuwisa
resentful	anger	0.545	nomsindo
heated	anger	0.545	shushu
callous	anger	0.545	engenanceba
conspirator	anger	0.545	umenzi weyelenqe
ruined	anger	0.545	yonakele
antagonist	anger	0.545	umchasi
skirmish	anger	0.545	ukulwa
menace	anger	0.545	ingozi
annoyin	anger	0.545	iyacaphukisa
foul	anger	0.545	umbi
argument	anger	0.545	ingxoxo
humiliate	anger	0.545	thoba
wanker	anger	0.545	umntu ohambahambayo
adversary	anger	0.545	umchasi
sting	anger	0.544	hlaba
entangled	anger	0.544	bambekile
grumble	anger	0.544	khalaza
robbery	anger	0.544	ukuphanga
outcry	anger	0.544	isikhalo
resistance	anger	0.543	ukuxhathisa
irreconcilable	anger	0.543	ayingqinelani
obstructive	anger	0.542	isithintelo
dismay	anger	0.540	ukudana
mob	anger	0.538	ihlokondiba
juststop	anger	0.537	khawume
badness	anger	0.536	ububi
ridicule	anger	0.534	isigculelo
incendiary	anger	0.533	incendiary
flares	anger	0.532	amadangatye
twofaced	anger	0.531	ubuso obubini
reckless	anger	0.531	ngokungakhathali
communism	anger	0.531	ubukomanisi
allegation	anger	0.531	isityholo
prejudicial	anger	0.531	ucalucalulo
whip	anger	0.531	isabhokhwe
unbridled	anger	0.531	engalawulekiyo
degeneracy	anger	0.531	ukuwohloka
intruder	anger	0.531	umhlaseli
belittle	anger	0.531	thoba
confinement	anger	0.531	ukuvalelwa
dispute	anger	0.531	ingxabano
exacerbation	anger	0.531	ukwanda
uprising	anger	0.531	imvukelo
unjust	anger	0.530	gwenxa
unjustifiable	anger	0.530	ayithetheleleki
perversion	anger	0.530	ugqweso
bigoted	anger	0.530	likhulu
fiesty	anger	0.530	ukhohlakele
offender	anger	0.530	umoni
dictatorial	anger	0.530	zwilakhe
hassle	anger	0.530	ingxaki
dissonance	anger	0.530	ukungavisisani
tackled	anger	0.530	kuliwe
renegade	anger	0.529	umkreqi
cantstandit	anger	0.529	andinakuyimela
trespass	anger	0.529	ityala
hot	anger	0.529	shushu
prison	anger	0.529	entolongweni
suicide	anger	0.521	ukuzibulala
annoy	anger	0.520	caphukisa
leavemealone	anger	0.517	hlukana
cretins	anger	0.516	iikretin
depravity	anger	0.516	ukonakala
idiotic	anger	0.516	isidenge
dishonest	anger	0.516	abanganyanisekanga
distrust	anger	0.516	ukungathembi
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	gxeka
inimical	anger	0.516	i-inimical
tortious	anger	0.516	tortious
prisoner	anger	0.516	ibanjwa
treason	anger	0.516	ukungcatsha umbuso
divorce	anger	0.516	uqhawulo-mtshato
venting	anger	0.516	ukukhupha umoya
duress	anger	0.516	unyanzeliso
disrespectful	anger	0.516	ukungabi nantlonipho
poaching	anger	0.515	ukuzingela ngokungekho mthethweni
scold	anger	0.515	ngxolisa
poachers	anger	0.515	abazingeli ngaphandle kwemvume
pow	anger	0.515	powu
hangry	anger	0.515	ixhomile
argumentation	anger	0.515	ingxoxo
frustrating	anger	0.515	iyakhathaza
unkind	anger	0.515	abangenabubele
roar	anger	0.515	gquma
coercion	anger	0.515	ukunyanzeliswa
unforgiving	anger	0.515	ukungaxoleli
grump	anger	0.515	ukugquma
bile	anger	0.515	inyongo
unleash	anger	0.515	khulula
chaos	anger	0.515	isiphithiphithi
victimized	anger	0.515	ixhoba
jerks	anger	0.515	iijerks
tussle	anger	0.514	ingxabano
bane	anger	0.511	isibhanxa
accusation	anger	0.510	isityholo
enmity	anger	0.510	ubutshaba
repudiation	anger	0.510	ukwala
banish	anger	0.509	gxotha
disfigured	anger	0.508	yonakele
storm	anger	0.507	isaqhwithi
crazy	anger	0.500	uphambene
hammering	anger	0.500	ukubethelela ngesando
defy	anger	0.500	defy
antithesis	anger	0.500	isichasi
scoff	anger	0.500	bagculele
anguish	anger	0.500	intlungu
confined	anger	0.500	evalelwe
fear	anger	0.500	uloyiko
bout	anger	0.500	uqhushululu
unruly	anger	0.500	ngokungalawulekiyo
delusional	anger	0.500	inkohliso
obstruct	anger	0.500	isithintelo
possessed	anger	0.500	uphethwe
injustice	anger	0.500	okungekho sikweni
fervor	anger	0.500	inzondelelo
spear	anger	0.500	umkhonto
derision	anger	0.500	isigculelo
intractable	anger	0.500	ayinakuchaphazeleka
reject	anger	0.500	yala
dominate	anger	0.500	lawula
ordeal	anger	0.500	ubunzima
banished	anger	0.500	bagxothiwe
rejects	anger	0.500	uyala
shun	anger	0.500	xwaya
brunt	anger	0.500	brunt
derogation	anger	0.500	ukujongelwa phantsi
frenzied	anger	0.500	bhidekile
animus	anger	0.500	umphefumlo
suppression	anger	0.500	ingcinezelo
malpractice	anger	0.500	ubugwenxa
brazen	anger	0.500	ubhedu
foaming	anger	0.500	ugwebu
disrupting	anger	0.500	ukuphazamisa
nobodycares	anger	0.500	akukho mntu ukhathalayo
patronising	anger	0.500	ukuxhasa
getoveryourself	anger	0.495	ziphathe kakuhle
toughness	anger	0.492	ubunzima
stupidpeople	anger	0.492	abantu abaziziyatha
madness	anger	0.491	impambano
sinful	anger	0.491	unesono
avarice	anger	0.490	uburharha
oppress	anger	0.490	cinezela
cutting	anger	0.485	ukusika
anathema	anger	0.485	isiqalekiso
annoyed	anger	0.485	ndicaphukile
dissident	anger	0.485	umchasi
demand	anger	0.485	imfuno
usurp	anger	0.485	ukurhwaphiliza
claw	anger	0.485	uzipho
alienate	anger	0.485	ahlukanise
infraction	anger	0.485	ulwaphulo-mthetho
avenger	anger	0.485	umphindezeli
revoke	anger	0.485	rhoxisa
smuggler	anger	0.485	umrhwebi
abolish	anger	0.485	bhangisa
fricking	anger	0.485	ukukhenkceza
stayaway	anger	0.485	yibakude
pervert	anger	0.485	gqwetha
disservice	anger	0.485	ukungakhathali
disobedient	anger	0.485	abangathobeliyo
