English Word	Emotion	Emotion-Intensity-Score	Igbo Word
scream	anger	0.719	tie mkpu
choke	anger	0.719	kpagbuo
vermin	anger	0.719	anụ ọhịa
tumult	anger	0.719	ọgba aghara
criminal	anger	0.714	omempụ
mangle	anger	0.714	mangle
anarchism	anger	0.714	Anarchism
mutilation	anger	0.714	ibibi
denunciation	anger	0.713	nkatọ
punch	anger	0.713	ịkụ ọkpọ
virulence	anger	0.712	nje virus
fatal	anger	0.712	egbu egbu
hurting	anger	0.712	na-afụ ụfụ
crucifixion	anger	0.712	nkpogide n'obe
dontlikeyou	anger	0.712	ahụghị gị n'anya
blasphemous	anger	0.712	nkwulu
holocaust	anger	0.712	oke mbibi
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	agha
deranged	anger	0.706	mebiri emebi
irritated	anger	0.706	iwe iwe
atrocious	anger	0.706	obi ọjọọ
evil	anger	0.706	ihe ojoo
aggravated	anger	0.703	ka njọ
intimidation	anger	0.703	iyi egwu
dicks	anger	0.703	dicks
assassin	anger	0.703	ogbugbu
scolding	anger	0.703	ịbara mba
persecution	anger	0.703	mkpagbu
slayer	anger	0.703	ogbugbu
kidnap	anger	0.703	tọọrọ
aggression	anger	0.702	ime ihe ike
armed	anger	0.700	ngwa agha
battle	anger	0.697	agha
poison	anger	0.697	nsi
snarling	anger	0.697	na-egbu egbu
venom	anger	0.697	venom
disgruntled	anger	0.693	ewe iwe
resentment	anger	0.691	iwe
assailant	anger	0.691	onye na-awakpo
insidious	anger	0.691	aghụghọ
contemptuous	anger	0.690	nke nlelị
lynch	anger	0.690	lynch
temper	anger	0.688	iwe iwe
terrible	anger	0.688	egwu
disparage	anger	0.688	nlelị
lunatic	anger	0.688	onye ara
bully	anger	0.688	emegbu
mad	anger	0.688	ara
makesmemad	anger	0.688	na-eme ihere
infanticide	anger	0.688	igbu nwa ọhụrụ
domination	anger	0.688	ọchịchị
peeved	anger	0.688	pewed
imprisonment	anger	0.688	mkpọrọ
curse	anger	0.688	ọnụ
volatility	anger	0.687	mgbanwe
eradication	anger	0.685	ikpochapu
eradicate	anger	0.682	ikpochapu
tantrum	anger	0.682	iwe iwe
scoundrel	anger	0.682	onye njo
devastate	anger	0.682	ibibi
aggressively	anger	0.680	ike ike
agitation	anger	0.680	mkpasu iwe
dictatorship	anger	0.676	ọchịchị aka ike
irritates	anger	0.676	na-akpasu iwe
profanity	anger	0.673	okwu rụrụ arụ
shove	anger	0.672	agwakọta
nasty	anger	0.672	obi ojoo
shot	anger	0.672	gbagburu
cruelly	anger	0.672	obi ọjọọ
shoot	anger	0.672	gbaa
condemnation	anger	0.672	ikpe
crushed	anger	0.672	anuahade
aggravation	anger	0.672	ihe ka njọ
poisonous	anger	0.672	nsi
egregious	anger	0.672	dị egwu
crime	anger	0.672	mpụ
corrupting	anger	0.672	na-emebi emebi
dastardly	anger	0.672	dastard
contempt	anger	0.672	nlelị
harmful	anger	0.672	emerụ
expletive	anger	0.672	expletive
wreak	anger	0.672	imebi
maniac	anger	0.670	maniac
cutthroat	anger	0.667	igbutu
enemy	anger	0.667	onye iro
hit	anger	0.667	see
hateeveryone	anger	0.667	ịkpọ onye ọ bụla asị
eruption	anger	0.667	mgbawa
irritable	anger	0.667	iwe
odious	anger	0.667	na-asọ oyi
shooting	anger	0.667	agbapụ
shout	anger	0.667	tie mkpu
aggressive	anger	0.667	ike ike
kick	anger	0.667	igba
combat	anger	0.667	ọgụ
fight	anger	0.667	ọgụ
punished	anger	0.662	tara ahụhụ
yell	anger	0.661	tie mkpu
ambush	anger	0.661	zoro ezo
harass	anger	0.659	imenye ụjọ
malignant	anger	0.656	ọjọọ
aggressor	anger	0.656	onye na-eme ihe ike
gore	anger	0.656	agba
destruction	anger	0.656	mbibi
grudge	anger	0.656	iwe
antichrist	anger	0.656	onye na-emegide Kraịst
incense	anger	0.656	ihe nsure ọkụ na-esi ísì ụtọ
expel	anger	0.656	ịchụpụ
cranky	anger	0.653	cranky
slave	anger	0.652	ohu
reprisal	anger	0.652	mmegwara
growl	anger	0.652	tie mkpu
animosity	anger	0.652	iro
insurrection	anger	0.652	nnupụisi
clashing	anger	0.652	na-ese okwu
denounce	anger	0.652	katọọ
offended	anger	0.652	kpasuru iwe
spank	anger	0.652	nka
insulting	anger	0.652	mkparị
growls	anger	0.649	na-eti mkpu
executioner	anger	0.644	onye ogbugbu
twat	anger	0.644	twat
doomsday	anger	0.643	ụbọchị ikpe
obscenity	anger	0.641	okwu rụrụ arụ
accused	anger	0.641	ebubo
feud	anger	0.641	esemokwu
daemon	anger	0.641	daemon
havoc	anger	0.641	mbibi
shackle	anger	0.641	njigide
inexcusable	anger	0.641	enweghị ngọpụ
indignant	anger	0.641	iwe
grr	anger	0.641	grr
expulsion	anger	0.641	nchụpụ
bombard	anger	0.641	bọmbụ
spat	anger	0.641	gbaa ọnụ mmiri
arson	anger	0.641	igba oku
reprimand	anger	0.641	ịba mba
somad	anger	0.637	somad
frustrated	anger	0.636	nkụda mmụọ
batter	anger	0.636	batter
kicking	anger	0.636	igba
anarchy	anger	0.636	ọgba aghara
spanking	anger	0.636	ịkụ aka
glaring	anger	0.636	na-egbuke egbuke
suicidal	anger	0.636	igbu onwe ya
disgusting	anger	0.636	na-asọ oyi
wound	anger	0.636	ọnya
hanging	anger	0.636	kpọgidere
poisoned	anger	0.636	nsi
combatant	anger	0.636	onye agha
wrecked	anger	0.633	mebiri emebi
inflict	anger	0.633	ime ihe
grievous	anger	0.632	dị mwute
prosecute	anger	0.630	kpee ikpe
agitated	anger	0.630	iwe iwe
cheat	anger	0.630	aghụghọ
swastika	anger	0.627	swastika
injure	anger	0.625	merụọ ahụ
indict	anger	0.625	gosi
scourge	anger	0.625	ihe otiti
provocation	anger	0.625	mkpasu iwe
suffocation	anger	0.625	ntachi obi
strife	anger	0.625	esemokwu
raid	anger	0.625	mbuso agha
enslaved	anger	0.625	agba ohu
cursing	anger	0.625	ọbụbụ ọnụ
defamatory	anger	0.625	nkwutọ
harassing	anger	0.625	na-akpagbu
thundering	anger	0.625	égbè eluigwe
betray	anger	0.625	raara onwe ya nye
arsehole	anger	0.624	ulo agha
theft	anger	0.621	izu ohi
insane	anger	0.621	ara
retaliation	anger	0.621	imegwara
irritate	anger	0.621	iwe iwe
deprivation	anger	0.621	ụkọ
fiend	anger	0.621	fiend
jerk	anger	0.621	jek
convict	anger	0.621	ikpe
cussed	anger	0.619	kọsara
turmoil	anger	0.618	ọgba aghara
smack	anger	0.615	smak
retribution	anger	0.614	nkwụghachi ụgwọ
rebellion	anger	0.609	nnupụisi
oppressor	anger	0.609	onye mmegbu
gang	anger	0.609	òtù ọjọọ
slavery	anger	0.609	ịgba ohu
intolerable	anger	0.609	anabataghi
adverse	anger	0.609	ọjọọ
injurious	anger	0.609	na-emerụ ahụ
twats	anger	0.609	twats
collision	anger	0.609	nkukota
battery	anger	0.609	batrị
bitterly	anger	0.609	nke ilu
antagonism	anger	0.609	mmegide
irritability	anger	0.609	mgbakasị ahụ
disgraced	anger	0.608	ihere
diatribe	anger	0.606	ditribe
asshole	anger	0.606	Ike
blast	anger	0.606	gbawara
bombardment	anger	0.606	ogbunigwe
irks	anger	0.606	irks
ranting	anger	0.606	ịgba egwu
revolution	anger	0.606	mgbanwe
thug	anger	0.606	onye ohi
antagonistic	anger	0.606	mmegide
irritating	anger	0.606	na-agbakasị ahụ
sickening	anger	0.606	na-arịa ọrịa
discrimination	anger	0.606	ịkpa oke
frustrate	anger	0.604	iwe iwe
insult	anger	0.603	mkparị
hurtful	anger	0.603	na-emerụ ahụ
oppression	anger	0.603	mmegbu
manipulation	anger	0.603	aghụghọ
tiredofit	anger	0.603	ike ọgwụgwụ
bigot	anger	0.603	nnukwu
tension	anger	0.603	esemokwu
disgust	anger	0.602	ịkpọasị
spite	anger	0.600	n'agbanyeghị
intrusive	anger	0.598	ntinye aka
harshness	anger	0.597	obi ọjọọ
slur	anger	0.596	slur
tempest	anger	0.594	oké ifufe
assail	anger	0.594	mwakpo
bitterness	anger	0.594	obi ilu
morbidity	anger	0.594	ọrịa na-efe efe
casualty	anger	0.594	onwu
puncture	anger	0.594	igbapu
miserable	anger	0.594	nhụsianya
inferno	anger	0.594	inferno
invasion	anger	0.594	mbuso agha
storming	anger	0.594	oké ifufe
wretch	anger	0.594	jọrọ njọ
consternation	anger	0.592	mgbagwoju anya
raving	anger	0.591	agụụ
forcibly	anger	0.591	n'ike
guillotine	anger	0.591	guillotine
guilty	anger	0.591	ikpe mara
depraved	anger	0.591	rụrụ arụ
immoral	anger	0.591	omume rụrụ arụ
overpowering	anger	0.591	na-emebiga ihe ókè
scare	anger	0.588	egwu
recalcitrant	anger	0.588	na-atụgharị uche
screwed	anger	0.588	kposara
accursed	anger	0.588	bụrụ ọnụ
soannoyed	anger	0.588	were iwe
invader	anger	0.588	onye mbuso agha
jealousy	anger	0.587	ekworo
indignation	anger	0.587	iwe
vexed	anger	0.586	were iwe
confront	anger	0.582	ihu
brute	anger	0.581	obi ọjọọ
throttle	anger	0.579	trotul
slut	anger	0.578	slut
coup	anger	0.578	nchipu
blaze	anger	0.578	ọkụ
pillage	anger	0.578	ịkwakọrọ ihe
provoking	anger	0.578	na-akpasu iwe
damage	anger	0.578	mmebi
criminality	anger	0.578	mpụ
shutup	anger	0.578	kpuchie ọnụ
lash	anger	0.578	ire ere
conflict	anger	0.578	esemokwu
contentious	anger	0.578	na-ese okwu
shutit	anger	0.578	mechie
wreck	anger	0.578	mbibi
defiant	anger	0.578	na-enupụ isi
butcher	anger	0.578	onye na-egbu anụ
incarceration	anger	0.578	nganga
revolver	anger	0.578	revolver
bickering	anger	0.578	esemokwu
yousuck	anger	0.578	ị nweghị isi
cancer	anger	0.577	ọrịa kansa
discriminate	anger	0.576	ikpa oke
gun	anger	0.576	egbe
frustration	anger	0.576	obi nkoropụ
gory	anger	0.576	gori
pernicious	anger	0.576	dị egwu
dontmess	anger	0.576	obi ụtọ
blasphemy	anger	0.576	nkwulu
chaotic	anger	0.576	chaotic
grope	anger	0.576	ikpokọta
alienation	anger	0.576	nkewa
disturbance	anger	0.576	nsogbu
condescension	anger	0.576	nkwenye
standoff	anger	0.576	nkwụsịtụ
discord	anger	0.576	esemokwu
friggen	anger	0.575	friggen
sneer	anger	0.574	ịkwa emo
death	anger	0.574	ọnwụ
lunacy	anger	0.574	ara
scandalous	anger	0.574	asịrị
oppressive	anger	0.574	emegbu
jab	anger	0.574	jab
cursed	anger	0.574	abụrụ ọnụ
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	shit
disparaging	anger	0.571	nlelị
slash	anger	0.571	slash
unfair	anger	0.571	ezighi ezi
gallows	anger	0.570	osisi
escalate	anger	0.569	gbasaa
intolerant	anger	0.564	enweghị ndidi
lawlessness	anger	0.563	mmebi iwu
beast	anger	0.562	anụ ọhịa
torpedo	anger	0.562	topedo
malign	anger	0.562	njọ
traitor	anger	0.562	onye sabo
frightful	anger	0.562	egwu
wrangling	anger	0.562	esemokwu
slander	anger	0.562	nkwutọ
bellows	anger	0.562	mkpu
retards	anger	0.562	azụ azụ
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	mkparị
bearish	anger	0.562	bearish
invade	anger	0.562	wakpoo
perdition	anger	0.562	mbibi
arghh	anger	0.562	aghugh
dreadful	anger	0.562	dị egwu
bluddy	anger	0.562	isiri oji
deceived	anger	0.562	ghọgburu
glare	anger	0.562	onwunwu
taunt	anger	0.562	ịkwa emo
dissension	anger	0.561	esemokwu
cross	anger	0.561	obe
rave	anger	0.561	agụụ
grating	anger	0.561	grating
devastating	anger	0.561	na-agbawa obi
fits	anger	0.561	dabara
jeopardize	anger	0.561	tinye ihe egwu
shatter	anger	0.561	agbaji
idiots	anger	0.561	ndi nzuzu
hurt	anger	0.561	merụọ ahụ
thief	anger	0.561	onye ohi
uncontrollable	anger	0.561	enweghi ike ịchịkwa
conflagration	anger	0.561	ọgbaghara
betrayal	anger	0.561	aghụghọ
banshee	anger	0.561	banshee
subjugation	anger	0.559	ido onwe
disturbed	anger	0.559	na-esogbu
stomped	anger	0.557	zọọ ụkwụ
grab	anger	0.557	jide
grievance	anger	0.556	iwe
ticked	anger	0.556	akara
masochism	anger	0.556	masochism
defiance	anger	0.552	nnupụisi
blackmail	anger	0.550	imebi iwu
offensive	anger	0.549	mkparị
decry	anger	0.548	kwubie
frustrates	anger	0.547	na-ewe iwe
violation	anger	0.547	imebi
confine	anger	0.547	kpochie
misery	anger	0.547	nhụsianya
arghhhh	anger	0.547	aghugh
disparity	anger	0.547	ndiiche
punishment	anger	0.547	ntaramahụhụ
rebel	anger	0.547	nnupụisi
preposterous	anger	0.547	nke adịgboroja
disgraceful	anger	0.547	ihere
ire	anger	0.547	ire
deceive	anger	0.547	aghụghọ
fustrated	anger	0.547	agbagọ
sin	anger	0.547	mmehie
shrill	anger	0.547	mkpu
darkside	anger	0.547	ọchịchịrị
overbearing	anger	0.547	imebiga ihe ókè
firearms	anger	0.547	ngwa agha
stolen	anger	0.546	ezuru
hadenough	anger	0.546	zuru oke
prejudice	anger	0.545	ajọ mbunobi
tackle	anger	0.545	gboo
resentful	anger	0.545	na-ewe iwe
heated	anger	0.545	kpụ ọkụ n'ọnụ
callous	anger	0.545	nke obi
conspirator	anger	0.545	onye na-agba izu
ruined	anger	0.545	mebiri emebi
antagonist	anger	0.545	onye mmegide
skirmish	anger	0.545	skirmish
menace	anger	0.545	egwu
annoyin	anger	0.545	manụ
foul	anger	0.545	ihe ojoo
argument	anger	0.545	arụmụka
humiliate	anger	0.545	weda n'ala
wanker	anger	0.545	ịkwa akwa
adversary	anger	0.545	onye mmegide
sting	anger	0.544	agba
entangled	anger	0.544	gbakọrọ ọnụ
grumble	anger	0.544	ntamu
robbery	anger	0.544	ohi
outcry	anger	0.544	mkpu ákwá
resistance	anger	0.543	iguzogide
irreconcilable	anger	0.543	enweghi ike imekorita
obstructive	anger	0.542	ihe mgbochi
dismay	anger	0.540	itujo
mob	anger	0.538	ìgwè mmadụ
juststop	anger	0.537	kwụsịtụ
badness	anger	0.536	ihe ọjọọ
ridicule	anger	0.534	ịkwa emo
incendiary	anger	0.533	ihe nsure ọkụ
flares	anger	0.532	flares
twofaced	anger	0.531	ihu abụọ
reckless	anger	0.531	akpachapụghị anya
communism	anger	0.531	ọchịchị Kọmunist
allegation	anger	0.531	ebubo
prejudicial	anger	0.531	ajọ mbunobi
whip	anger	0.531	iti
unbridled	anger	0.531	na-achịkwaghị achịkwa
degeneracy	anger	0.531	mmebi
intruder	anger	0.531	onye nbata
belittle	anger	0.531	eleda
confinement	anger	0.531	mkpochi
dispute	anger	0.531	esemokwu
exacerbation	anger	0.531	ihe ka njọ
uprising	anger	0.531	ọgba aghara
unjust	anger	0.530	ezighi ezi
unjustifiable	anger	0.530	na-ezighị ezi
perversion	anger	0.530	agbagọ
bigoted	anger	0.530	onye ukwu
fiesty	anger	0.530	fisty
offender	anger	0.530	onye mejọrọ
dictatorial	anger	0.530	ọchịchị aka ike
hassle	anger	0.530	nsogbu
dissonance	anger	0.530	dissonance
tackled	anger	0.530	agbadoro
renegade	anger	0.529	nnupụisi
cantstandit	anger	0.529	enweghị ike
trespass	anger	0.529	ngabiga
hot	anger	0.529	na-ekpo ọkụ
prison	anger	0.529	ụlọ mkpọrọ
suicide	anger	0.521	igbu onwe
annoy	anger	0.520	iwe
leavemealone	anger	0.517	hapụ m aka
cretins	anger	0.516	cretins
depravity	anger	0.516	mmebi iwu
idiotic	anger	0.516	onye nzuzu
dishonest	anger	0.516	akwụwaghị aka ọtọ
distrust	anger	0.516	enweghị ntụkwasị obi
broil	anger	0.516	broil
grrr	anger	0.516	grr
criticize	anger	0.516	nkatọ
inimical	anger	0.516	inimical
tortious	anger	0.516	na-ata ahụhụ
prisoner	anger	0.516	onye mkpọrọ
treason	anger	0.516	aghụghọ
divorce	anger	0.516	ịgba alụkwaghịm
venting	anger	0.516	ventilashion
duress	anger	0.516	mmanye
disrespectful	anger	0.516	enweghị nkwanye ùgwù
poaching	anger	0.515	ịchụ nta
scold	anger	0.515	mba
poachers	anger	0.515	ndị na-achụ anụ
pow	anger	0.515	pow
hangry	anger	0.515	aguu
argumentation	anger	0.515	arụmụka
frustrating	anger	0.515	na-akụda mmụọ
unkind	anger	0.515	adịghị obiọma
roar	anger	0.515	ebigbọ
coercion	anger	0.515	mmanye
unforgiving	anger	0.515	na-adịghị agbaghara
grump	anger	0.515	ntumo
bile	anger	0.515	bile
unleash	anger	0.515	tọhapụ
chaos	anger	0.515	ọgbaghara
victimized	anger	0.515	emegbu
jerks	anger	0.515	jerk
tussle	anger	0.514	tussle
bane	anger	0.511	bane
accusation	anger	0.510	ebubo
enmity	anger	0.510	iro
repudiation	anger	0.510	ịjụ oyi
banish	anger	0.509	ịchụpụ
disfigured	anger	0.508	emeruru
storm	anger	0.507	oké ifufe
crazy	anger	0.500	onye ara
hammering	anger	0.500	hammering
defy	anger	0.500	megidere
antithesis	anger	0.500	mgbochi
scoff	anger	0.500	ịkwa emo
anguish	anger	0.500	nhụjuanya
confined	anger	0.500	ejichiri
fear	anger	0.500	egwu
bout	anger	0.500	mgba
unruly	anger	0.500	na-adịghị akwụwa aka ọtọ
delusional	anger	0.500	nke aghụghọ
obstruct	anger	0.500	igbochi
possessed	anger	0.500	nwere
injustice	anger	0.500	ikpe na-ezighị ezi
fervor	anger	0.500	ịnụ ọkụ n'obi
spear	anger	0.500	ube
derision	anger	0.500	ịkwa emo
intractable	anger	0.500	enweghi ike imeri
reject	anger	0.500	jụ
dominate	anger	0.500	achị
ordeal	anger	0.500	nhụsianya
banished	anger	0.500	chụpụrụ
rejects	anger	0.500	na-ajụ
shun	anger	0.500	zere
brunt	anger	0.500	nke ukwuu
derogation	anger	0.500	nbibi
frenzied	anger	0.500	obi tara mmiri
animus	anger	0.500	animus
suppression	anger	0.500	nkwụsị
malpractice	anger	0.500	mmejọ
brazen	anger	0.500	nchara nchara
foaming	anger	0.500	na-afụ ụfụfụ
disrupting	anger	0.500	na-akpaghasị
nobodycares	anger	0.500	ọ dịghị onye na-eche
patronising	anger	0.500	nkwado
getoveryourself	anger	0.495	nweta onwe gị
toughness	anger	0.492	ike
stupidpeople	anger	0.492	ndi nzuzu
madness	anger	0.491	ara
sinful	anger	0.491	nmehie
avarice	anger	0.490	avarice
oppress	anger	0.490	emegbu
cutting	anger	0.485	ịcha
anathema	anger	0.485	anathema
annoyed	anger	0.485	were iwe
dissident	anger	0.485	dissist
demand	anger	0.485	ọchịchọ
usurp	anger	0.485	usurp
claw	anger	0.485	nkàrà
alienate	anger	0.485	kewapụ
infraction	anger	0.485	mmebi iwu
avenger	anger	0.485	onye ọbọ
revoke	anger	0.485	kagbuo
smuggler	anger	0.485	onye na-ebubata mmadụ
