English Word	Emotion	Emotion-Intensity-Score	Punjabi Word
fierce	anger	0.812	ਭਿਆਨਕ
destroyer	anger	0.812	ਵਿਨਾਸ਼ਕਾਰੀ
angrytweet	anger	0.812	ਗੁੱਸੇ ਵਾਲਾ ਟਵੀਟ
barbaric	anger	0.812	ਵਹਿਸ਼ੀ
vendetta	anger	0.812	ਬਦਲਾਖੋਰੀ
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ਨਰਾਜ਼ ਹੋਣਾ
tyrant	anger	0.812	ਜ਼ਾਲਮ
berserk	anger	0.812	ਬੇਰਹਿਮ
fuming	anger	0.812	ਧੁੰਦ
anger	anger	0.811	ਗੁੱਸਾ
pieceofshit	anger	0.810	ਟੁਕੜਾ
punched	anger	0.803	ਮੁੱਕਾ ਮਾਰਿਆ
punching	anger	0.803	ਮੁੱਕਾ ਮਾਰਨਾ
slam	anger	0.803	ਸਲੈਮ
homicide	anger	0.803	ਕਤਲ
bitch	anger	0.803	ਕੁੱਤੀ
fights	anger	0.803	ਲੜਾਈਆਂ
ruthless	anger	0.797	ਬੇਰਹਿਮ
villainous	anger	0.797	ਬਦਮਾਸ਼
destructive	anger	0.797	ਵਿਨਾਸ਼ਕਾਰੀ
slap	anger	0.791	ਥੱਪੜ
riot	anger	0.788	ਦੰਗਾ
growthefuckup	anger	0.788	ਵਿਕਾਸ
punishing	anger	0.788	ਸਜ਼ਾ
slaughterhouse	anger	0.788	ਬੁੱਚੜਖਾਨਾ
yelling	anger	0.788	ਚੀਕਣਾ
diabolical	anger	0.788	ਸ਼ੈਤਾਨੀ
destroyed	anger	0.788	ਤਬਾਹ ਕਰ ਦਿੱਤਾ
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ਬਦਲਾ ਲੈਣ ਵਾਲਾ
manslaughter	anger	0.783	ਕਤਲ
clash	anger	0.783	ਝੜਪ
quarrel	anger	0.781	ਝਗੜਾ
bloody	anger	0.781	ਖੂਨੀ
hellish	anger	0.781	ਨਰਕ
sinister	anger	0.781	ਭਿਆਨਕ
loath	anger	0.781	ਨਫ਼ਰਤ
detonation	anger	0.781	ਧਮਾਕਾ
accusing	anger	0.779	ਦੋਸ਼
fumin	anger	0.779	ਫਿਊਮਿਨ
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	ਧੋਖੇਬਾਜ਼
madder	anger	0.773	ਪਾਗਲ
horrific	anger	0.773	ਭਿਆਨਕ
revulsion	anger	0.773	ਬਗਾਵਤ
retaliate	anger	0.773	ਬਦਲਾ ਲੈਣਾ
scorn	anger	0.769	ਅਪਮਾਨ
bomb	anger	0.766	ਬੰਬ
deplorable	anger	0.766	ਦੁਖਦਾਈ
devastation	anger	0.765	ਤਬਾਹੀ
anarchist	anger	0.765	ਅਰਾਜਕਤਾਵਾਦੀ
firestorm	anger	0.765	ਅੱਗ ਦਾ ਤੂਫ਼ਾਨ
resent	anger	0.765	ਨਾਰਾਜ਼
contemptible	anger	0.764	ਨਿੰਦਣਯੋਗ
shittest	anger	0.760	shittest
rant	anger	0.758	ਰੌਲਾ
cruel	anger	0.758	ਬੇਰਹਿਮ
deadly	anger	0.758	ਜਾਨਲੇਵਾ
smash	anger	0.758	ਤੋੜਨਾ
soangry	anger	0.758	ਮਿੱਠੇ
outburst	anger	0.757	ਵਿਸਫੋਟ
snarl	anger	0.754	snarl
profane	anger	0.750	ਅਪਵਿੱਤਰ
revolting	anger	0.750	ਬਗਾਵਤ
aggravating	anger	0.750	ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
horror	anger	0.750	ਡਰ
despise	anger	0.750	ਨਫ਼ਰਤ
offend	anger	0.750	ਅਪਮਾਨ
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ਅਸ਼ਲੀਲਤਾ
crazed	anger	0.750	ਪਾਗਲ
douchebags	anger	0.750	ਡੂਚਬੈਗ
growling	anger	0.750	ਗਰਜਣਾ
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	ਚੀਕਣਾ
threat	anger	0.742	ਧਮਕੀ
erupt	anger	0.742	ਫਟਣਾ
horrible	anger	0.742	ਭਿਆਨਕ
molestation	anger	0.742	ਛੇੜਛਾੜ
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	ਹਿੰਸਾ
bastards	anger	0.741	ਘਟੀਆ
revenge	anger	0.738	ਬਦਲਾ
menacing	anger	0.735	ਖਤਰਨਾਕ
crushing	anger	0.735	ਕੁਚਲਣਾ
damn	anger	0.735	ਓਏ
catastrophe	anger	0.735	ਤਬਾਹੀ
demon	anger	0.735	ਭੂਤ
argue	anger	0.734	ਬਹਿਸ
persecute	anger	0.734	ਸਤਾਉਣਾ
deplore	anger	0.734	ਅਫ਼ਸੋਸ
flog	anger	0.734	ਕੋਰੜੇ
fedup	anger	0.734	ਤੰਗ ਆ ਜਾਣਾ
riotous	anger	0.734	ਦੰਗਾਕਾਰੀ
vehement	anger	0.734	ਜ਼ੋਰਦਾਰ
revolt	anger	0.734	ਬਗਾਵਤ
warfare	anger	0.734	ਯੁੱਧ
thrash	anger	0.734	ਕੁੱਟਣਾ
altercation	anger	0.729	ਝਗੜਾ
warlike	anger	0.728	ਜੰਗੀ
shitday	anger	0.727	shitday
mutiny	anger	0.727	ਬਗਾਵਤ
castrate	anger	0.727	castrate
sabotage	anger	0.727	ਭੰਨਤੋੜ
malevolent	anger	0.721	ਦੁਰਾਚਾਰੀ
strike	anger	0.721	ਹੜਤਾਲ
disaster	anger	0.721	ਆਫ਼ਤ
disastrous	anger	0.720	ਤਬਾਹਕੁਨ
bastarding	anger	0.719	ਬਦਨਾਮ
treachery	anger	0.719	ਧੋਖੇਬਾਜ਼ੀ
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	ਘੋੜੇ
slay	anger	0.719	ਮਾਰਨਾ
disdain	anger	0.719	ਨਫ਼ਰਤ
aggravates	anger	0.719	ਵਧਾਉਂਦਾ ਹੈ
brutal	anger	0.719	ਬੇਰਹਿਮੀ
scorching	anger	0.719	ਝੁਲਸਣਾ
devil	anger	0.719	ਸ਼ੈਤਾਨ
madden	anger	0.719	ਪਾਗਲ
spiteful	anger	0.719	ਘਿਣਾਉਣੀ
scream	anger	0.719	ਚੀਕਣਾ
choke	anger	0.719	ਘੁੱਟਣਾ
vermin	anger	0.719	ਕੀੜੇ
tumult	anger	0.719	ਹੰਗਾਮਾ
criminal	anger	0.714	ਅਪਰਾਧੀ
mangle	anger	0.714	ਮੰਗਲ
anarchism	anger	0.714	ਅਰਾਜਕਤਾਵਾਦ
mutilation	anger	0.714	ਵਿਗਾੜ
denunciation	anger	0.713	ਨਿੰਦਾ
punch	anger	0.713	ਪੰਚ
virulence	anger	0.712	ਵਾਇਰਸ
fatal	anger	0.712	ਘਾਤਕ
hurting	anger	0.712	ਦੁਖਦਾਈ
crucifixion	anger	0.712	ਸਲੀਬ
dontlikeyou	anger	0.712	ਤੁਹਾਨੂੰ ਪਸੰਦ ਨਹੀਂ
blasphemous	anger	0.712	ਕੁਫ਼ਰ
holocaust	anger	0.712	ਸਰਬਨਾਸ਼
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	ਲੜਿਆ
deranged	anger	0.706	ਉਦਾਸ
irritated	anger	0.706	ਚਿੜਚਿੜਾ
atrocious	anger	0.706	ਅੱਤਿਆਚਾਰੀ
evil	anger	0.706	ਬੁਰਾਈ
aggravated	anger	0.703	ਵਧਿਆ
intimidation	anger	0.703	ਧਮਕਾਉਣਾ
dicks	anger	0.703	ਡਿਕਸ
assassin	anger	0.703	ਕਾਤਲ
scolding	anger	0.703	ਝਿੜਕਣਾ
persecution	anger	0.703	ਜ਼ੁਲਮ
slayer	anger	0.703	ਕਾਤਲ
kidnap	anger	0.703	ਅਗਵਾ
aggression	anger	0.702	ਹਮਲਾਵਰਤਾ
armed	anger	0.700	ਹਥਿਆਰਬੰਦ
battle	anger	0.697	ਲੜਾਈ
poison	anger	0.697	ਜ਼ਹਿਰ
snarling	anger	0.697	snarling
venom	anger	0.697	ਜ਼ਹਿਰ
disgruntled	anger	0.693	ਅਸੰਤੁਸ਼ਟ
resentment	anger	0.691	ਨਾਰਾਜ਼ਗੀ
assailant	anger	0.691	ਹਮਲਾਵਰ
insidious	anger	0.691	ਧੋਖੇਬਾਜ਼
contemptuous	anger	0.690	ਅਪਮਾਨਜਨਕ
lynch	anger	0.690	ਲਿੰਚ
temper	anger	0.688	ਗੁੱਸਾ
terrible	anger	0.688	ਭਿਆਨਕ
disparage	anger	0.688	ਬੇਇੱਜ਼ਤੀ
lunatic	anger	0.688	ਪਾਗਲ
bully	anger	0.688	ਧੱਕੇਸ਼ਾਹੀ
mad	anger	0.688	ਪਾਗਲ
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	ਬਾਲ ਹੱਤਿਆ
domination	anger	0.688	ਦਬਦਬਾ
peeved	anger	0.688	ਪਰੇਸ਼ਾਨ
imprisonment	anger	0.688	ਕੈਦ
curse	anger	0.688	ਸਰਾਪ
volatility	anger	0.687	ਅਸਥਿਰਤਾ
eradication	anger	0.685	ਖਾਤਮਾ
eradicate	anger	0.682	ਮਿਟਾਉਣਾ
tantrum	anger	0.682	ਗੁੱਸਾ
scoundrel	anger	0.682	ਬਦਮਾਸ਼
devastate	anger	0.682	ਤਬਾਹੀ
aggressively	anger	0.680	ਹਮਲਾਵਰ ਤੌਰ 'ਤੇ
agitation	anger	0.680	ਅੰਦੋਲਨ
dictatorship	anger	0.676	ਤਾਨਾਸ਼ਾਹੀ
irritates	anger	0.676	ਪਰੇਸ਼ਾਨ
profanity	anger	0.673	ਅਪਮਾਨਜਨਕਤਾ
shove	anger	0.672	ਧੱਕਾ
nasty	anger	0.672	ਗੰਦਾ
shot	anger	0.672	ਗੋਲੀ
cruelly	anger	0.672	ਬੇਰਹਿਮੀ ਨਾਲ
shoot	anger	0.672	ਸ਼ੂਟ
condemnation	anger	0.672	ਨਿੰਦਾ
crushed	anger	0.672	ਕੁਚਲਿਆ
aggravation	anger	0.672	ਵਧਣਾ
poisonous	anger	0.672	ਜ਼ਹਿਰੀਲਾ
egregious	anger	0.672	ਗੰਭੀਰ
crime	anger	0.672	ਅਪਰਾਧ
corrupting	anger	0.672	ਭ੍ਰਿਸ਼ਟ
dastardly	anger	0.672	ਘਿਣਾਉਣੇ ਢੰਗ ਨਾਲ
contempt	anger	0.672	ਅਪਮਾਨ
harmful	anger	0.672	ਹਾਨੀਕਾਰਕ
expletive	anger	0.672	ਵਿਅੰਗਾਤਮਕ
wreak	anger	0.672	ਤਬਾਹੀ
maniac	anger	0.670	ਪਾਗਲ
cutthroat	anger	0.667	ਕੱਟ
enemy	anger	0.667	ਦੁਸ਼ਮਣ
hit	anger	0.667	ਹਿੱਟ
hateeveryone	anger	0.667	ਹਰ ਕਿਸੇ ਨੂੰ ਨਫ਼ਰਤ
eruption	anger	0.667	ਫਟਣਾ
irritable	anger	0.667	ਚਿੜਚਿੜਾ
odious	anger	0.667	ਘਿਣਾਉਣੀ
shooting	anger	0.667	ਸ਼ੂਟਿੰਗ
shout	anger	0.667	ਚੀਕਣਾ
aggressive	anger	0.667	ਹਮਲਾਵਰ
kick	anger	0.667	ਕਿੱਕ
combat	anger	0.667	ਲੜਾਈ
fight	anger	0.667	ਲੜਾਈ
punished	anger	0.662	ਸਜ਼ਾ ਦਿੱਤੀ
yell	anger	0.661	ਚੀਕਣਾ
ambush	anger	0.661	ਹਮਲਾ
harass	anger	0.659	ਪਰੇਸ਼ਾਨ ਕਰਨਾ
malignant	anger	0.656	ਘਾਤਕ
aggressor	anger	0.656	ਹਮਲਾਵਰ
gore	anger	0.656	ਗੋਰ
destruction	anger	0.656	ਤਬਾਹੀ
grudge	anger	0.656	ਗੁੱਸਾ
antichrist	anger	0.656	ਮਸੀਹ ਵਿਰੋਧੀ
incense	anger	0.656	ਧੂਪ
expel	anger	0.656	ਕੱਢ ਦਿਓ
cranky	anger	0.653	ਕ੍ਰੈਂਕੀ
slave	anger	0.652	ਗੁਲਾਮ
reprisal	anger	0.652	ਬਦਲਾ
growl	anger	0.652	ਗਰਜਣਾ
animosity	anger	0.652	ਦੁਸ਼ਮਣੀ
insurrection	anger	0.652	ਬਗਾਵਤ
clashing	anger	0.652	ਟਕਰਾਅ
denounce	anger	0.652	ਨਿੰਦਾ
offended	anger	0.652	ਨਾਰਾਜ਼
spank	anger	0.652	spank
insulting	anger	0.652	ਅਪਮਾਨਜਨਕ
growls	anger	0.649	ਗਰਜਣਾ
executioner	anger	0.644	ਫਾਂਸੀ ਦੇਣ ਵਾਲਾ
twat	anger	0.644	twat
doomsday	anger	0.643	ਕਿਆਮਤ ਦਾ ਦਿਨ
obscenity	anger	0.641	ਅਸ਼ਲੀਲਤਾ
accused	anger	0.641	ਦੋਸ਼ੀ
feud	anger	0.641	ਝਗੜਾ
daemon	anger	0.641	ਡੈਮਨ
havoc	anger	0.641	ਤਬਾਹੀ
shackle	anger	0.641	ਬੇੜੀ
inexcusable	anger	0.641	ਮਾਫੀਯੋਗ
indignant	anger	0.641	ਨਾਰਾਜ਼
grr	anger	0.641	grr
expulsion	anger	0.641	ਬਰਖਾਸਤਗੀ
bombard	anger	0.641	ਬੰਬਾਰੀ
spat	anger	0.641	ਥੁੱਕ
arson	anger	0.641	ਅੱਗ
reprimand	anger	0.641	ਝਿੜਕ
somad	anger	0.637	somad
frustrated	anger	0.636	ਨਿਰਾਸ਼
batter	anger	0.636	batter
kicking	anger	0.636	ਲੱਤ ਮਾਰਨਾ
anarchy	anger	0.636	ਅਰਾਜਕਤਾ
spanking	anger	0.636	ਤੇਜ਼ਾਬ
glaring	anger	0.636	ਚਮਕਦਾਰ
suicidal	anger	0.636	ਆਤਮਘਾਤੀ
disgusting	anger	0.636	ਘਿਣਾਉਣੀ
wound	anger	0.636	ਜ਼ਖ਼ਮ
hanging	anger	0.636	ਲਟਕਣਾ
poisoned	anger	0.636	ਜ਼ਹਿਰ
combatant	anger	0.636	ਲੜਾਕੂ
wrecked	anger	0.633	ਤਬਾਹ
inflict	anger	0.633	ਪਹੁੰਚਾਉਣਾ
grievous	anger	0.632	ਦੁਖਦਾਈ
prosecute	anger	0.630	ਮੁਕੱਦਮਾ ਚਲਾਓ
agitated	anger	0.630	ਪਰੇਸ਼ਾਨ
cheat	anger	0.630	ਧੋਖਾ
swastika	anger	0.627	ਸਵਾਸਤਿਕ
injure	anger	0.625	ਜ਼ਖਮੀ
indict	anger	0.625	ਦੋਸ਼
scourge	anger	0.625	ਕੋਰਾ
provocation	anger	0.625	ਉਕਸਾਉਣਾ
suffocation	anger	0.625	ਦਮ ਘੁੱਟਣਾ
strife	anger	0.625	ਝਗੜਾ
raid	anger	0.625	ਛਾਪਾ
enslaved	anger	0.625	ਗ਼ੁਲਾਮ
cursing	anger	0.625	ਸਰਾਪ
defamatory	anger	0.625	ਅਪਮਾਨਜਨਕ
harassing	anger	0.625	ਪਰੇਸ਼ਾਨ ਕਰਨਾ
thundering	anger	0.625	ਗਰਜਣਾ
betray	anger	0.625	ਧੋਖਾ
arsehole	anger	0.624	arshole
theft	anger	0.621	ਚੋਰੀ
insane	anger	0.621	ਪਾਗਲ
retaliation	anger	0.621	ਬਦਲਾ
irritate	anger	0.621	ਪਰੇਸ਼ਾਨ
deprivation	anger	0.621	ਕਮੀ
fiend	anger	0.621	ਸ਼ੌਕੀਨ
jerk	anger	0.621	ਝਟਕਾ
convict	anger	0.621	ਦੋਸ਼ੀ
cussed	anger	0.619	ਗਾਲਾਂ ਕੱਢੀਆਂ
turmoil	anger	0.618	ਗੜਬੜ
smack	anger	0.615	ਸਮੈਕ
retribution	anger	0.614	ਬਦਲਾ
rebellion	anger	0.609	ਬਗਾਵਤ
oppressor	anger	0.609	ਜ਼ੁਲਮ ਕਰਨ ਵਾਲਾ
gang	anger	0.609	ਗੈਂਗ
slavery	anger	0.609	ਗੁਲਾਮੀ
intolerable	anger	0.609	ਅਸਹਿਣਸ਼ੀਲ
adverse	anger	0.609	ਪ੍ਰਤੀਕੂਲ
injurious	anger	0.609	ਨੁਕਸਾਨਦੇਹ
twats	anger	0.609	twats
collision	anger	0.609	ਟੱਕਰ
battery	anger	0.609	ਬੈਟਰੀ
bitterly	anger	0.609	ਕੁੜੱਤਣ ਨਾਲ
antagonism	anger	0.609	ਦੁਸ਼ਮਣੀ
irritability	anger	0.609	ਚਿੜਚਿੜਾਪਨ
disgraced	anger	0.608	ਬਦਨਾਮ
diatribe	anger	0.606	diatribe
asshole	anger	0.606	ਗੰਦੇ
blast	anger	0.606	ਧਮਾਕਾ
bombardment	anger	0.606	ਬੰਬਾਰੀ
irks	anger	0.606	irks
ranting	anger	0.606	ਰੌਲਾ ਪਾਉਣਾ
revolution	anger	0.606	ਇਨਕਲਾਬ
thug	anger	0.606	ਠੱਗ
antagonistic	anger	0.606	ਵਿਰੋਧੀ
irritating	anger	0.606	ਪਰੇਸ਼ਾਨ
sickening	anger	0.606	ਦੁਖਦਾਈ
discrimination	anger	0.606	ਵਿਤਕਰਾ
frustrate	anger	0.604	ਨਿਰਾਸ਼
insult	anger	0.603	ਅਪਮਾਨ
hurtful	anger	0.603	ਦੁਖਦਾਈ
oppression	anger	0.603	ਜ਼ੁਲਮ
manipulation	anger	0.603	ਹੇਰਾਫੇਰੀ
tiredofit	anger	0.603	ਥਕਾਵਟ
bigot	anger	0.603	ਕੱਟੜਪੰਥੀ
tension	anger	0.603	ਤਣਾਅ
disgust	anger	0.602	ਘਿਰਣਾ
spite	anger	0.600	ਬਾਵਜੂਦ
intrusive	anger	0.598	ਦਖਲਅੰਦਾਜ਼ੀ
harshness	anger	0.597	ਕਠੋਰਤਾ
slur	anger	0.596	ਗੰਦੀ
tempest	anger	0.594	ਤੂਫਾਨ
assail	anger	0.594	ਹਮਲਾ
bitterness	anger	0.594	ਕੁੜੱਤਣ
morbidity	anger	0.594	ਰੋਗ
casualty	anger	0.594	ਹਾਨੀਕਾਰਕ
puncture	anger	0.594	ਪੰਕਚਰ
miserable	anger	0.594	ਦੁਖੀ
inferno	anger	0.594	ਨਰਕ
invasion	anger	0.594	ਹਮਲਾ
storming	anger	0.594	ਤੂਫਾਨ
wretch	anger	0.594	ਦੁਖੀ
consternation	anger	0.592	ਘਬਰਾਹਟ
raving	anger	0.591	raving
forcibly	anger	0.591	ਜ਼ਬਰਦਸਤੀ
guillotine	anger	0.591	ਗਿਲੋਟਿਨ
guilty	anger	0.591	ਦੋਸ਼ੀ
depraved	anger	0.591	ਘਟੀਆ
immoral	anger	0.591	ਅਨੈਤਿਕ
overpowering	anger	0.591	ਬਹੁਤ ਤਾਕਤਵਰ
scare	anger	0.588	ਡਰਾਉਣਾ
recalcitrant	anger	0.588	ਅੜਿੱਕਾ
screwed	anger	0.588	ਪੇਚ
accursed	anger	0.588	ਦੋਸ਼ੀ
soannoyed	anger	0.588	ਨਾਰਾਜ਼
invader	anger	0.588	ਹਮਲਾਵਰ
jealousy	anger	0.587	ਈਰਖਾ
indignation	anger	0.587	ਗੁੱਸਾ
vexed	anger	0.586	ਪਰੇਸ਼ਾਨ
confront	anger	0.582	ਦਾ ਸਾਹਮਣਾ ਕਰਨਾ
brute	anger	0.581	ਵਹਿਸ਼ੀ
throttle	anger	0.579	ਥ੍ਰੋਟਲ
slut	anger	0.578	slut
coup	anger	0.578	ਤਖਤਾਪਲਟ
blaze	anger	0.578	ਬਲੇਜ਼
pillage	anger	0.578	ਲੁੱਟ
provoking	anger	0.578	ਭੜਕਾਉਣਾ
damage	anger	0.578	ਨੁਕਸਾਨ
criminality	anger	0.578	ਅਪਰਾਧਿਕਤਾ
shutup	anger	0.578	ਚੁਪ ਰਹੋ
lash	anger	0.578	ਝਟਕਾ
conflict	anger	0.578	ਸੰਘਰਸ਼
contentious	anger	0.578	ਵਿਵਾਦਪੂਰਨ
shutit	anger	0.578	ਇਸ ਨੂੰ ਬੰਦ ਕਰੋ
wreck	anger	0.578	ਤਬਾਹੀ
defiant	anger	0.578	ਵਿਰੋਧ ਕਰਨ ਵਾਲਾ
butcher	anger	0.578	ਕਸਾਈ
incarceration	anger	0.578	ਕੈਦ
revolver	anger	0.578	ਰਿਵਾਲਵਰ
bickering	anger	0.578	ਝਗੜਾ
yousuck	anger	0.578	ਤੁਸੀਂ ਚੂਸੋ
cancer	anger	0.577	ਕੈਂਸਰ
discriminate	anger	0.576	ਵਿਤਕਰਾ ਕਰਨਾ
gun	anger	0.576	ਬੰਦੂਕ
frustration	anger	0.576	ਨਿਰਾਸ਼ਾ
gory	anger	0.576	ਗੋਰੀ
pernicious	anger	0.576	ਨੁਕਸਾਨਦੇਹ
dontmess	anger	0.576	ਗੜਬੜ
blasphemy	anger	0.576	ਕੁਫ਼ਰ
chaotic	anger	0.576	ਅਰਾਜਕ
grope	anger	0.576	ਛਾਲ ਮਾਰਨਾ
alienation	anger	0.576	ਬੇਗਾਨਗੀ
disturbance	anger	0.576	ਗੜਬੜ
