English Word	Emotion	Emotion-Intensity-Score	Japanese Word
destructive	anger	0.797	破壊的な
slap	anger	0.791	平手打ち
riot	anger	0.788	暴動
growthefuckup	anger	0.788	成長性交
punishing	anger	0.788	罰する
slaughterhouse	anger	0.788	食肉処理場
yelling	anger	0.788	叫ぶ
diabolical	anger	0.788	悪魔的な
destroyed	anger	0.788	破壊されました
ragetweet	anger	0.788	激怒ツイート
retaliatory	anger	0.788	報復的な
manslaughter	anger	0.783	過失致死
clash	anger	0.783	衝突
quarrel	anger	0.781	喧嘩
bloody	anger	0.781	流血
hellish	anger	0.781	地獄のような
sinister	anger	0.781	不吉な
loath	anger	0.781	嫌悪
detonation	anger	0.781	爆発
accusing	anger	0.779	非難する
fumin	anger	0.779	フミン
hateeee	anger	0.779	はてぃー
treacherous	anger	0.779	危険な
madder	anger	0.773	茜
horrific	anger	0.773	恐ろしい
revulsion	anger	0.773	嫌悪感
retaliate	anger	0.773	報復する
scorn	anger	0.769	軽蔑
bomb	anger	0.766	爆弾
deplorable	anger	0.766	嘆かわしい
devastation	anger	0.765	荒廃
anarchist	anger	0.765	アナキスト
firestorm	anger	0.765	ファイアストーム
resent	anger	0.765	憤る
contemptible	anger	0.764	卑劣な
shittest	anger	0.760	くそったれ
rant	anger	0.758	暴言
cruel	anger	0.758	残酷
deadly	anger	0.758	致命的な
smash	anger	0.758	スマッシュ
soangry	anger	0.758	怒っている
outburst	anger	0.757	爆発
snarl	anger	0.754	うなる
profane	anger	0.750	冒涜的な
revolting	anger	0.750	反抗的な
aggravating	anger	0.750	悪化させる
horror	anger	0.750	ホラー
despise	anger	0.750	軽蔑する
offend	anger	0.750	気分を害する
stfu	anger	0.750	stfu
vulgarity	anger	0.750	下品
crazed	anger	0.750	狂った
douchebags	anger	0.750	ダッチバッグ
growling	anger	0.750	うなる
dontmesswithme	anger	0.750	私と一緒にしないでください
screaming	anger	0.742	絶叫
threat	anger	0.742	脅威
erupt	anger	0.742	噴火する
horrible	anger	0.742	最悪
molestation	anger	0.742	痴漢
fuckedoff	anger	0.742	犯された
violence	anger	0.742	暴力
bastards	anger	0.741	ろくでなし
revenge	anger	0.738	復讐
menacing	anger	0.735	威嚇する
crushing	anger	0.735	破砕
damn	anger	0.735	くそ
catastrophe	anger	0.735	大惨事
demon	anger	0.735	悪魔
argue	anger	0.734	口論
persecute	anger	0.734	迫害する
deplore	anger	0.734	嘆く
flog	anger	0.734	フロッグ
fedup	anger	0.734	うんざり
riotous	anger	0.734	騒々しい
vehement	anger	0.734	激しい
revolt	anger	0.734	反乱
warfare	anger	0.734	戦争
thrash	anger	0.734	スラッシュ
altercation	anger	0.729	口論
warlike	anger	0.728	好戦的な
shitday	anger	0.727	たわごと
mutiny	anger	0.727	反乱
castrate	anger	0.727	去勢する
sabotage	anger	0.727	破壊工作
malevolent	anger	0.721	悪意のある
strike	anger	0.721	攻撃
disaster	anger	0.721	災害
disastrous	anger	0.720	悲惨な
bastarding	anger	0.719	ろくでなし
treachery	anger	0.719	裏切り
arseholes	anger	0.719	お尻の穴
horseshit	anger	0.719	たわごと
slay	anger	0.719	殺す
disdain	anger	0.719	軽蔑
aggravates	anger	0.719	悪化させる
brutal	anger	0.719	残忍な
scorching	anger	0.719	灼熱
devil	anger	0.719	悪魔
madden	anger	0.719	狂った
spiteful	anger	0.719	意地悪
scream	anger	0.719	悲鳴
choke	anger	0.719	むせさせる
vermin	anger	0.719	害虫
tumult	anger	0.719	騒動
criminal	anger	0.714	犯罪的
mangle	anger	0.714	マングル
anarchism	anger	0.714	アナキズム
mutilation	anger	0.714	切断
denunciation	anger	0.713	非難
punch	anger	0.713	パンチ
virulence	anger	0.712	毒性
fatal	anger	0.712	致命的
hurting	anger	0.712	傷つける
crucifixion	anger	0.712	はりつけ
dontlikeyou	anger	0.712	好きじゃない
blasphemous	anger	0.712	冒涜的な
holocaust	anger	0.712	ホロコースト
dumbasses	anger	0.712	愚か者
battled	anger	0.712	戦った
deranged	anger	0.706	狂った
irritated	anger	0.706	イライラしている
atrocious	anger	0.706	凶悪な
evil	anger	0.706	悪の
aggravated	anger	0.703	悪化した
intimidation	anger	0.703	脅迫
dicks	anger	0.703	ディックス
assassin	anger	0.703	暗殺者
scolding	anger	0.703	叱る
persecution	anger	0.703	迫害
slayer	anger	0.703	スレイヤー
kidnap	anger	0.703	誘拐
aggression	anger	0.702	侵略
armed	anger	0.700	武装した
battle	anger	0.697	戦い
poison	anger	0.697	毒
snarling	anger	0.697	うなる
venom	anger	0.697	毒
disgruntled	anger	0.693	不機嫌な
resentment	anger	0.691	恨み
assailant	anger	0.691	加害者
insidious	anger	0.691	陰湿な
contemptuous	anger	0.690	軽蔑的な
lynch	anger	0.690	リンチ
temper	anger	0.688	気性
terrible	anger	0.688	ひどい
disparage	anger	0.688	軽蔑する
lunatic	anger	0.688	狂人
bully	anger	0.688	いじめっ子
mad	anger	0.688	狂った
makesmemad	anger	0.688	メイドメマド
infanticide	anger	0.688	子殺し
domination	anger	0.688	支配
peeved	anger	0.688	うんざりした
imprisonment	anger	0.688	投獄
curse	anger	0.688	呪い
volatility	anger	0.687	ボラティリティ
eradication	anger	0.685	根絶
eradicate	anger	0.682	根絶する
tantrum	anger	0.682	癇癪
scoundrel	anger	0.682	悪党
devastate	anger	0.682	荒廃させる
aggressively	anger	0.680	積極的に
agitation	anger	0.680	攪拌
dictatorship	anger	0.676	独裁
irritates	anger	0.676	イライラする
profanity	anger	0.673	冒涜
shove	anger	0.672	突く
nasty	anger	0.672	汚い
shot	anger	0.672	ショット
cruelly	anger	0.672	残酷に
shoot	anger	0.672	シュート
condemnation	anger	0.672	非難
crushed	anger	0.672	破砕されました
aggravation	anger	0.672	悪化
poisonous	anger	0.672	有毒
egregious	anger	0.672	ひどい
crime	anger	0.672	犯罪
corrupting	anger	0.672	破損している
dastardly	anger	0.672	卑劣に
contempt	anger	0.672	軽蔑
harmful	anger	0.672	危害を与える
expletive	anger	0.672	罵倒的な
wreak	anger	0.672	壊す
maniac	anger	0.670	マニアック
cutthroat	anger	0.667	殺し屋
enemy	anger	0.667	敵
hit	anger	0.667	打つ
hateeveryone	anger	0.667	みんな嫌い
eruption	anger	0.667	噴火
irritable	anger	0.667	過敏な
odious	anger	0.667	いやらしい
shooting	anger	0.667	撮影
shout	anger	0.667	叫ぶ
aggressive	anger	0.667	攻撃的
kick	anger	0.667	キック
combat	anger	0.667	戦闘
fight	anger	0.667	喧嘩
punished	anger	0.662	罰せられた
yell	anger	0.661	エール
ambush	anger	0.661	待ち伏せ
harass	anger	0.659	嫌がらせ
malignant	anger	0.656	悪性
aggressor	anger	0.656	侵略者
gore	anger	0.656	ゴア
destruction	anger	0.656	破壊
grudge	anger	0.656	恨み
antichrist	anger	0.656	反キリスト
incense	anger	0.656	お香
expel	anger	0.656	追放する
cranky	anger	0.653	気難しい
slave	anger	0.652	スレーブ
reprisal	anger	0.652	報復
growl	anger	0.652	うなり声
animosity	anger	0.652	敵意
insurrection	anger	0.652	暴動
clashing	anger	0.652	衝突
denounce	anger	0.652	非難する
offended	anger	0.652	気分を害した
spank	anger	0.652	たたく
insulting	anger	0.652	侮辱
growls	anger	0.649	うなる
executioner	anger	0.644	死刑執行人
twat	anger	0.644	陰部
doomsday	anger	0.643	終末
obscenity	anger	0.641	猥褻
accused	anger	0.641	被告人
feud	anger	0.641	確執
daemon	anger	0.641	デーモン
havoc	anger	0.641	大混乱
shackle	anger	0.641	シャックル
inexcusable	anger	0.641	許しがたい
indignant	anger	0.641	憤慨する
grr	anger	0.641	ぐら
expulsion	anger	0.641	追放
bombard	anger	0.641	砲撃
spat	anger	0.641	唾を吐く
arson	anger	0.641	放火
reprimand	anger	0.641	叱責する
somad	anger	0.637	ソマド
frustrated	anger	0.636	欲求不満
batter	anger	0.636	バター
kicking	anger	0.636	蹴る
anarchy	anger	0.636	無政府状態
spanking	anger	0.636	スパンキング
glaring	anger	0.636	ギラギラ
suicidal	anger	0.636	自殺的な
disgusting	anger	0.636	おぞましい
wound	anger	0.636	傷
hanging	anger	0.636	ぶら下げ
poisoned	anger	0.636	毒された
combatant	anger	0.636	戦闘員
wrecked	anger	0.633	難破した
inflict	anger	0.633	与える
grievous	anger	0.632	悲惨な
prosecute	anger	0.630	起訴する
agitated	anger	0.630	動揺した
cheat	anger	0.630	浮気
swastika	anger	0.627	卍
injure	anger	0.625	傷つける
indict	anger	0.625	起訴する
scourge	anger	0.625	惨劇
provocation	anger	0.625	挑発
suffocation	anger	0.625	窒息
strife	anger	0.625	闘争
raid	anger	0.625	襲撃
enslaved	anger	0.625	奴隷にされた
cursing	anger	0.625	のろい
defamatory	anger	0.625	中傷的な
harassing	anger	0.625	嫌がらせ
thundering	anger	0.625	雷鳴
betray	anger	0.625	裏切る
arsehole	anger	0.624	お尻の穴
theft	anger	0.621	盗難
insane	anger	0.621	非常識
retaliation	anger	0.621	報復
irritate	anger	0.621	いらいらさせる
deprivation	anger	0.621	剥奪
fiend	anger	0.621	悪魔
jerk	anger	0.621	ぴくぴく動く
convict	anger	0.621	有罪判決を下す
cussed	anger	0.619	罵倒した
turmoil	anger	0.618	混乱
smack	anger	0.615	スマック
retribution	anger	0.614	報復
rebellion	anger	0.609	反乱
oppressor	anger	0.609	抑圧者
gang	anger	0.609	ギャング
slavery	anger	0.609	奴隷制
intolerable	anger	0.609	耐え難い
adverse	anger	0.609	不利な
injurious	anger	0.609	有害な
twats	anger	0.609	陰口
collision	anger	0.609	衝突
battery	anger	0.609	バッテリー
bitterly	anger	0.609	激しく
antagonism	anger	0.609	拮抗
irritability	anger	0.609	過敏性
disgraced	anger	0.608	不名誉な
diatribe	anger	0.606	ディアトライブ
asshole	anger	0.606	下衆野郎
blast	anger	0.606	爆発
bombardment	anger	0.606	砲撃
irks	anger	0.606	イライラする
ranting	anger	0.606	怒鳴る
revolution	anger	0.606	革命
thug	anger	0.606	凶悪犯
antagonistic	anger	0.606	敵対的
irritating	anger	0.606	イライラする
sickening	anger	0.606	気分が悪くなる
discrimination	anger	0.606	差別
frustrate	anger	0.604	欲求不満
insult	anger	0.603	侮辱
hurtful	anger	0.603	人を傷つける
oppression	anger	0.603	抑圧
manipulation	anger	0.603	操作
tiredofit	anger	0.603	疲れた
bigot	anger	0.603	偏見
tension	anger	0.603	テンション
disgust	anger	0.602	嫌悪
spite	anger	0.600	悪意
intrusive	anger	0.598	押し付けがましい
harshness	anger	0.597	厳しさ
slur	anger	0.596	スラー
tempest	anger	0.594	嵐
assail	anger	0.594	襲う
bitterness	anger	0.594	苦味
morbidity	anger	0.594	罹患率
casualty	anger	0.594	死傷者
puncture	anger	0.594	穿刺
miserable	anger	0.594	惨め
inferno	anger	0.594	インフェルノ
invasion	anger	0.594	侵入
storming	anger	0.594	ストーミング
wretch	anger	0.594	惨めな
consternation	anger	0.592	驚愕
raving	anger	0.591	絶賛
forcibly	anger	0.591	強制的に
guillotine	anger	0.591	ギロチン
guilty	anger	0.591	有罪
depraved	anger	0.591	堕落した
immoral	anger	0.591	不道徳な
overpowering	anger	0.591	圧倒する
scare	anger	0.588	怖がらせる
recalcitrant	anger	0.588	反抗的な
screwed	anger	0.588	ねじ込まれた
accursed	anger	0.588	呪われた
soannoyed	anger	0.588	とてもイライラした
invader	anger	0.588	インベーダー
jealousy	anger	0.587	嫉妬
indignation	anger	0.587	憤慨
vexed	anger	0.586	困った
confront	anger	0.582	直面する
brute	anger	0.581	野蛮な
throttle	anger	0.579	スロットル
slut	anger	0.578	ふしだらな女
coup	anger	0.578	クーデター
blaze	anger	0.578	燃える
pillage	anger	0.578	略奪
provoking	anger	0.578	挑発する
damage	anger	0.578	ダメージ
criminality	anger	0.578	犯罪性
shutup	anger	0.578	うるさい
lash	anger	0.578	ラッシュ
conflict	anger	0.578	対立
contentious	anger	0.578	物議をかもす
shutit	anger	0.578	黙れ
wreck	anger	0.578	大破
defiant	anger	0.578	反抗的な
butcher	anger	0.578	肉屋
incarceration	anger	0.578	投獄
revolver	anger	0.578	リボルバー
bickering	anger	0.578	口論
yousuck	anger	0.578	最悪だな
cancer	anger	0.577	癌
discriminate	anger	0.576	差別する
gun	anger	0.576	銃
frustration	anger	0.576	欲求不満
gory	anger	0.576	血みどろ
pernicious	anger	0.576	有害な
dontmess	anger	0.576	混乱しないでください
blasphemy	anger	0.576	冒涜
chaotic	anger	0.576	混沌としました
grope	anger	0.576	手探り
alienation	anger	0.576	疎外
disturbance	anger	0.576	妨害
condescension	anger	0.576	軽蔑
standoff	anger	0.576	スタンドオフ
discord	anger	0.576	不和
friggen	anger	0.575	フリゲン
sneer	anger	0.574	冷笑する
death	anger	0.574	死
lunacy	anger	0.574	狂気
scandalous	anger	0.574	スキャンダラス
oppressive	anger	0.574	抑圧的な
jab	anger	0.574	ジャブ
cursed	anger	0.574	呪われた
monstrosity	anger	0.574	怪物
shit	anger	0.573	たわごと
disparaging	anger	0.571	軽蔑する
slash	anger	0.571	スラッシュ
unfair	anger	0.571	不公平
gallows	anger	0.570	絞首台
escalate	anger	0.569	エスカレート
intolerant	anger	0.564	不寛容
lawlessness	anger	0.563	無法
beast	anger	0.562	獣
torpedo	anger	0.562	魚雷
malign	anger	0.562	悪性
traitor	anger	0.562	裏切り者
frightful	anger	0.562	恐ろしい
wrangling	anger	0.562	口論
slander	anger	0.562	中傷
bellows	anger	0.562	ベローズ
retards	anger	0.562	遅らせる
grouchy	anger	0.562	不機嫌
derogatory	anger	0.562	軽蔑的な
bearish	anger	0.562	弱気
invade	anger	0.562	侵入する
perdition	anger	0.562	破滅
arghh	anger	0.562	ああああ
dreadful	anger	0.562	恐ろしい
bluddy	anger	0.562	血まみれ
deceived	anger	0.562	だまされた
glare	anger	0.562	グレア
taunt	anger	0.562	挑発する
dissension	anger	0.561	意見の相違
cross	anger	0.561	クロス
rave	anger	0.561	絶賛
grating	anger	0.561	格子
devastating	anger	0.561	壊滅的な
fits	anger	0.561	フィット
jeopardize	anger	0.561	危険にさらす
shatter	anger	0.561	粉々になる
idiots	anger	0.561	ばか
hurt	anger	0.561	傷つく
thief	anger	0.561	泥棒
uncontrollable	anger	0.561	制御不能
conflagration	anger	0.561	大火
betrayal	anger	0.561	裏切り
banshee	anger	0.561	バンシー
subjugation	anger	0.559	征服
disturbed	anger	0.559	乱れた
stomped	anger	0.557	踏んだ
grab	anger	0.557	掴む
grievance	anger	0.556	苦情
ticked	anger	0.556	刻んだ
masochism	anger	0.556	マゾヒズム
defiance	anger	0.552	反抗
blackmail	anger	0.550	恐喝
offensive	anger	0.549	攻撃
decry	anger	0.548	非難する
frustrates	anger	0.547	欲求不満
violation	anger	0.547	違反
confine	anger	0.547	閉じ込める
misery	anger	0.547	悲惨
arghhhh	anger	0.547	ああああ
disparity	anger	0.547	格差
punishment	anger	0.547	罰
rebel	anger	0.547	反逆者
preposterous	anger	0.547	ばかげた
disgraceful	anger	0.547	恥ずべき
ire	anger	0.547	怒り
deceive	anger	0.547	欺く
fustrated	anger	0.547	挫折した
sin	anger	0.547	罪
shrill	anger	0.547	甲高い
darkside	anger	0.547	暗黒面
overbearing	anger	0.547	威圧的な
firearms	anger	0.547	銃器
stolen	anger	0.546	盗まれた
hadenough	anger	0.546	もう十分
prejudice	anger	0.545	偏見
tackle	anger	0.545	タックル
resentful	anger	0.545	憤慨した
heated	anger	0.545	加熱された
callous	anger	0.545	無神経
conspirator	anger	0.545	共謀者
ruined	anger	0.545	台無しにされた
antagonist	anger	0.545	拮抗薬
skirmish	anger	0.545	小競り合い
menace	anger	0.545	脅威
annoyin	anger	0.545	うるさい
foul	anger	0.545	ファウル
argument	anger	0.545	口論
humiliate	anger	0.545	屈辱を与える
wanker	anger	0.545	オカズ
adversary	anger	0.545	敵対者
sting	anger	0.544	刺す
entangled	anger	0.544	もつれた
grumble	anger	0.544	不平を言う
robbery	anger	0.544	強盗
outcry	anger	0.544	抗議する
resistance	anger	0.543	抵抗
irreconcilable	anger	0.543	相容れない
obstructive	anger	0.542	邪魔な
dismay	anger	0.540	落胆
mob	anger	0.538	暴徒
juststop	anger	0.537	やめて
badness	anger	0.536	不良
ridicule	anger	0.534	嘲笑
incendiary	anger	0.533	焼夷弾
flares	anger	0.532	フレア
twofaced	anger	0.531	二面性がある
reckless	anger	0.531	無謀
communism	anger	0.531	共産主義
allegation	anger	0.531	申し立て
prejudicial	anger	0.531	不利な
whip	anger	0.531	ホイップ
unbridled	anger	0.531	束縛されない
degeneracy	anger	0.531	縮退
intruder	anger	0.531	侵入者
belittle	anger	0.531	見くびる
confinement	anger	0.531	監禁
dispute	anger	0.531	紛争
exacerbation	anger	0.531	増悪
uprising	anger	0.531	蜂起
unjust	anger	0.530	不公平
unjustifiable	anger	0.530	不当な
perversion	anger	0.530	倒錯
bigoted	anger	0.530	偏見のある
fiesty	anger	0.530	激しい
offender	anger	0.530	違反者
dictatorial	anger	0.530	独裁者
hassle	anger	0.530	面倒
dissonance	anger	0.530	不協和音
tackled	anger	0.530	取り組みました
renegade	anger	0.529	反逆者
cantstandit	anger	0.529	我慢できない
trespass	anger	0.529	不法侵入
hot	anger	0.529	ホット
prison	anger	0.529	刑務所
suicide	anger	0.521	自殺
annoy	anger	0.520	迷惑
leavemealone	anger	0.517	ほっといて
cretins	anger	0.516	クレチン
depravity	anger	0.516	堕落
idiotic	anger	0.516	ばかげた
dishonest	anger	0.516	不誠実
distrust	anger	0.516	不信
broil	anger	0.516	炙る
grrr	anger	0.516	うーん
criticize	anger	0.516	批判
inimical	anger	0.516	卑劣な
tortious	anger	0.516	曲がりくねった
prisoner	anger	0.516	囚人
treason	anger	0.516	反逆
divorce	anger	0.516	離婚
venting	anger	0.516	ベント
duress	anger	0.516	強要
disrespectful	anger	0.516	無礼な
poaching	anger	0.515	密猟
scold	anger	0.515	叱る
poachers	anger	0.515	密猟者
pow	anger	0.515	捕虜
hangry	anger	0.515	ハングリー
argumentation	anger	0.515	議論
frustrating	anger	0.515	イライラする
unkind	anger	0.515	不親切
roar	anger	0.515	轟音
coercion	anger	0.515	強要
unforgiving	anger	0.515	容赦ない
grump	anger	0.515	不機嫌
bile	anger	0.515	胆汁
unleash	anger	0.515	解き放つ
chaos	anger	0.515	混沌
victimized	anger	0.515	犠牲になった
jerks	anger	0.515	けいれん
tussle	anger	0.514	喧嘩
bane	anger	0.511	悩みの種
accusation	anger	0.510	告発
enmity	anger	0.510	敵意
repudiation	anger	0.510	否認
banish	anger	0.509	追放する
disfigured	anger	0.508	変形した
storm	anger	0.507	嵐
crazy	anger	0.500	クレイジー
hammering	anger	0.500	ハンマー
defy	anger	0.500	挑む
antithesis	anger	0.500	アンチテーゼ
scoff	anger	0.500	嘲笑する
anguish	anger	0.500	苦悩
confined	anger	0.500	閉じ込められた
fear	anger	0.500	恐れ
bout	anger	0.500	試合
unruly	anger	0.500	手に負えない
delusional	anger	0.500	妄想的な
obstruct	anger	0.500	妨害
possessed	anger	0.500	憑依した
injustice	anger	0.500	不正
fervor	anger	0.500	熱意
spear	anger	0.500	槍
derision	anger	0.500	嘲笑
intractable	anger	0.500	難治性
reject	anger	0.500	拒絶
dominate	anger	0.500	支配する
ordeal	anger	0.500	試練
banished	anger	0.500	追放された
rejects	anger	0.500	拒否する
shun	anger	0.500	避ける
brunt	anger	0.500	ブラント
derogation	anger	0.500	特例
frenzied	anger	0.500	熱狂的な
animus	anger	0.500	敵意
suppression	anger	0.500	抑制
malpractice	anger	0.500	不正行為
brazen	anger	0.500	厚かましい
foaming	anger	0.500	発泡
disrupting	anger	0.500	邪魔する
nobodycares	anger	0.500	誰も気にしない
patronising	anger	0.500	ひいきにする
getoveryourself	anger	0.495	自分自身を乗り越えます
toughness	anger	0.492	靭性
stupidpeople	anger	0.492	愚か人
madness	anger	0.491	狂気
sinful	anger	0.491	罪深い
avarice	anger	0.490	貪欲
oppress	anger	0.490	抑圧する
cutting	anger	0.485	切断
anathema	anger	0.485	アナテマ
annoyed	anger	0.485	イライラ
dissident	anger	0.485	反体制派
demand	anger	0.485	要求する
usurp	anger	0.485	奪う
claw	anger	0.485	爪
alienate	anger	0.485	疎外する
infraction	anger	0.485	違反
avenger	anger	0.485	アベンジャー
revoke	anger	0.485	取り消す
smuggler	anger	0.485	密輸業者
abolish	anger	0.485	廃止する
fricking	anger	0.485	フリッキング
stayaway	anger	0.485	ステイアウェイ
pervert	anger	0.485	変態
disservice	anger	0.485	不利益
disobedient	anger	0.485	不従順な
incest	anger	0.485	近親相姦
complaint	anger	0.485	苦情文句
disapproved	anger	0.485	不承認
inhuman	anger	0.485	非人道的な
mocking	anger	0.484	あざける
penalty	anger	0.484	ペナルティ
renounce	anger	0.484	放棄する
restrain	anger	0.484	抑える
upheaval	anger	0.484	激動
deceit	anger	0.484	欺瞞
obnoxious	anger	0.484	不快な
imprisoned	anger	0.484	投獄された
strained	anger	0.484	緊張した
blame	anger	0.484	非難
oust	anger	0.484	追放する
litigious	anger	0.484	訴訟的な
rivalry	anger	0.484	競争
sucker	anger	0.484	吸盤
opposed	anger	0.484	反対した
thresh	anger	0.484	脱穀
disgrace	anger	0.484	不名誉
suspicious	anger	0.484	疑わしい
turbulence	anger	0.483	乱気流
pound	anger	0.481	ポンド
coldness	anger	0.477	冷たさ
ungrateful	anger	0.472	恩知らず
stoopid	anger	0.471	愚かな
battalion	anger	0.471	大隊
feudalism	anger	0.470	封建主義
hostage	anger	0.470	人質
annoying	anger	0.470	迷惑
dispossessed	anger	0.470	没収された
subversion	anger	0.470	転覆
friction	anger	0.470	摩擦
jealous	anger	0.470	嫉妬
adversity	anger	0.470	逆境
infidel	anger	0.470	異教徒
gall	anger	0.470	胆汁
accuser	anger	0.470	告発者
ram	anger	0.470	RAM
armament	anger	0.470	武装
thump	anger	0.469	どきどき
dislike	anger	0.469	嫌い
steal	anger	0.469	窃盗
backoff	anger	0.469	バックオフ
stifled	anger	0.469	息苦しさ
incite	anger	0.469	扇動する
distress	anger	0.469	苦痛
angermanagement	anger	0.469	アンガーマネジメント
selfish	anger	0.469	自己中
injury	anger	0.469	けが
exile	anger	0.469	亡命
insanity	anger	0.469	狂気
offense	anger	0.469	犯罪
objection	anger	0.469	異議
smother	anger	0.469	窒息させる
disruption	anger	0.469	混乱
intolerance	anger	0.469	不寛容
disobey	anger	0.469	従わない
selfishness	anger	0.469	わがまま
recidivism	anger	0.469	再犯
subversive	anger	0.469	破壊的な
huff	anger	0.469	ハフ
plunder	anger	0.469	略奪
opposition	anger	0.469	反対
complain	anger	0.469	不平をいう
perpetrator	anger	0.469	加害者
simmer	anger	0.469	煮る
areyoukidding	anger	0.468	冗談ですか
mug	anger	0.467	マグ
agony	anger	0.465	苦痛
arrogant	anger	0.461	傲慢
sux	anger	0.456	サックス
vent	anger	0.456	排出する
elimination	anger	0.456	排除
picketing	anger	0.456	ピケ
haughty	anger	0.456	傲慢
grated	anger	0.455	すりおろし
flagrant	anger	0.455	目に余る
