English Word	Emotion	Emotion-Intensity-Score	Haitian-Creole Word
thrash	anger	0.734	thrash
altercation	anger	0.729	diskisyon
warlike	anger	0.728	lagè
shitday	anger	0.727	kaka
mutiny	anger	0.727	revòlt
castrate	anger	0.727	kastre
sabotage	anger	0.727	sabotaj
malevolent	anger	0.721	malveyan
strike	anger	0.721	grèv
disaster	anger	0.721	dezas
disastrous	anger	0.720	dezas
bastarding	anger	0.719	bastarding
treachery	anger	0.719	trayizon
arseholes	anger	0.719	twou dèyè
horseshit	anger	0.719	horseshit
slay	anger	0.719	touye
disdain	anger	0.719	deden
aggravates	anger	0.719	agrave
brutal	anger	0.719	brital
scorching	anger	0.719	boule
devil	anger	0.719	dyab
madden	anger	0.719	fache
spiteful	anger	0.719	mechan
scream	anger	0.719	rèl
choke	anger	0.719	toufe
vermin	anger	0.719	vèmin
tumult	anger	0.719	tumult
criminal	anger	0.714	kriminèl
mangle	anger	0.714	mangle
anarchism	anger	0.714	anachis
mutilation	anger	0.714	mutilasyon
denunciation	anger	0.713	denonsyasyon
punch	anger	0.713	kout pyen
virulence	anger	0.712	virulans
fatal	anger	0.712	fatal
hurting	anger	0.712	fè mal
crucifixion	anger	0.712	krisifikasyon
dontlikeyou	anger	0.712	pa renmen ou
blasphemous	anger	0.712	blasfeme
holocaust	anger	0.712	olokòs
dumbasses	anger	0.712	enbesil
battled	anger	0.712	batay
deranged	anger	0.706	deranje
irritated	anger	0.706	irite
atrocious	anger	0.706	atros
evil	anger	0.706	sa ki mal
aggravated	anger	0.703	agrave
intimidation	anger	0.703	entimidasyon
dicks	anger	0.703	dick
assassin	anger	0.703	asasen
scolding	anger	0.703	reprimande
persecution	anger	0.703	pèsekisyon
slayer	anger	0.703	tuye
kidnap	anger	0.703	kidnape
aggression	anger	0.702	agresyon
armed	anger	0.700	ame
battle	anger	0.697	batay
poison	anger	0.697	pwazon
snarling	anger	0.697	gronyen
venom	anger	0.697	venen
disgruntled	anger	0.693	mekontantman
resentment	anger	0.691	resantiman
assailant	anger	0.691	atakan
insidious	anger	0.691	trètr
contemptuous	anger	0.690	meprize
lynch	anger	0.690	lynch
temper	anger	0.688	tanperaman
terrible	anger	0.688	terib
disparage	anger	0.688	denigre
lunatic	anger	0.688	fou
bully	anger	0.688	entimidatè
mad	anger	0.688	fache
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	enfantisid
domination	anger	0.688	dominasyon
peeved	anger	0.688	pete
imprisonment	anger	0.688	prizon
curse	anger	0.688	madichon
volatility	anger	0.687	volatilité
eradication	anger	0.685	eradikasyon
eradicate	anger	0.682	elimine
tantrum	anger	0.682	kolèr
scoundrel	anger	0.682	kannay
devastate	anger	0.682	devaste
aggressively	anger	0.680	agresif
agitation	anger	0.680	ajitasyon
dictatorship	anger	0.676	diktati
irritates	anger	0.676	irite
profanity	anger	0.673	profanite
shove	anger	0.672	pouse
nasty	anger	0.672	degoutan
shot	anger	0.672	tire
cruelly	anger	0.672	mechanste
shoot	anger	0.672	tire
condemnation	anger	0.672	kondanasyon
crushed	anger	0.672	kraze
aggravation	anger	0.672	agravasyon
poisonous	anger	0.672	pwazon
egregious	anger	0.672	flagran
crime	anger	0.672	krim
corrupting	anger	0.672	koripsyon
dastardly	anger	0.672	dezagreyab
contempt	anger	0.672	mepri
harmful	anger	0.672	danjere
expletive	anger	0.672	plore
wreak	anger	0.672	kraze
maniac	anger	0.670	maniak
cutthroat	anger	0.667	koupe gòj
enemy	anger	0.667	lènmi
hit	anger	0.667	frape
hateeveryone	anger	0.667	rayi tout moun
eruption	anger	0.667	eripsyon
irritable	anger	0.667	chimerik
odious	anger	0.667	odiyan
shooting	anger	0.667	tire
shout	anger	0.667	rele byen fò
aggressive	anger	0.667	agresif
kick	anger	0.667	kout pye
combat	anger	0.667	konba
fight	anger	0.667	goumen
punished	anger	0.662	pini
yell	anger	0.661	rele
ambush	anger	0.661	anbiskad
harass	anger	0.659	anmède
malignant	anger	0.656	malfezan
aggressor	anger	0.656	agresè
gore	anger	0.656	gore
destruction	anger	0.656	destriksyon
grudge	anger	0.656	rankin
antichrist	anger	0.656	antikristyanism
incense	anger	0.656	lansan
expel	anger	0.656	mete deyò
cranky	anger	0.653	degoutan
slave	anger	0.652	esklav
reprisal	anger	0.652	reprezay
growl	anger	0.652	gwonde
animosity	anger	0.652	animozite
insurrection	anger	0.652	insirèksyon
clashing	anger	0.652	eklatman
denounce	anger	0.652	denonse
offended	anger	0.652	ofanse
spank	anger	0.652	fese
insulting	anger	0.652	joure
growls	anger	0.649	gwonde
executioner	anger	0.644	bouro
twat	anger	0.644	twat
doomsday	anger	0.643	doomsday
obscenity	anger	0.641	obscenite
accused	anger	0.641	akize
feud	anger	0.641	fwod
daemon	anger	0.641	demon
havoc	anger	0.641	dega
shackle	anger	0.641	chenn
inexcusable	anger	0.641	inexcusable
indignant	anger	0.641	endiye
grr	anger	0.641	grr
expulsion	anger	0.641	ekspilsyon
bombard	anger	0.641	bonbard
spat	anger	0.641	krache
arson	anger	0.641	mete dife
reprimand	anger	0.641	reprimande
somad	anger	0.637	somad
frustrated	anger	0.636	fristre
batter	anger	0.636	baton
kicking	anger	0.636	choute
anarchy	anger	0.636	anachi
spanking	anger	0.636	fese
glaring	anger	0.636	flagran
suicidal	anger	0.636	swisid
disgusting	anger	0.636	degoutan
wound	anger	0.636	blese
hanging	anger	0.636	pandye
poisoned	anger	0.636	anpwazonnen
combatant	anger	0.636	konbatan
wrecked	anger	0.633	kraze brize
inflict	anger	0.633	blese
grievous	anger	0.632	lapenn
prosecute	anger	0.630	pouswiv
agitated	anger	0.630	ajite
cheat	anger	0.630	tronpe
swastika	anger	0.627	swastika
injure	anger	0.625	blese
indict	anger	0.625	akize
scourge	anger	0.625	fleo
provocation	anger	0.625	pwovokasyon
suffocation	anger	0.625	toufe
strife	anger	0.625	diskisyon
raid	anger	0.625	atak
enslaved	anger	0.625	esklav
cursing	anger	0.625	madichon
defamatory	anger	0.625	difamatwa
harassing	anger	0.625	anmède
thundering	anger	0.625	loraj
betray	anger	0.625	trayi
arsehole	anger	0.624	twou dèyè
theft	anger	0.621	vòlè
insane	anger	0.621	fou
retaliation	anger	0.621	vanjans
irritate	anger	0.621	irite
deprivation	anger	0.621	privasyon
fiend	anger	0.621	dyab
jerk	anger	0.621	embesil
convict	anger	0.621	kondane
cussed	anger	0.619	madichon
turmoil	anger	0.618	toumant
smack	anger	0.615	smack
retribution	anger	0.614	pinisyon
rebellion	anger	0.609	rebelyon
oppressor	anger	0.609	opresè
gang	anger	0.609	gang
slavery	anger	0.609	esklavaj
intolerable	anger	0.609	entolerab
adverse	anger	0.609	negatif
injurious	anger	0.609	blese
twats	anger	0.609	twats
collision	anger	0.609	kolizyon
battery	anger	0.609	batri
bitterly	anger	0.609	anmè
antagonism	anger	0.609	antagonis
irritability	anger	0.609	chimerik
disgraced	anger	0.608	wont
diatribe	anger	0.606	dyatrib
asshole	anger	0.606	bourik
blast	anger	0.606	eksplozyon
bombardment	anger	0.606	bonbadman
irks	anger	0.606	irks
ranting	anger	0.606	ranking
revolution	anger	0.606	revolisyon
thug	anger	0.606	bandi
antagonistic	anger	0.606	antagonis
irritating	anger	0.606	enèvan
sickening	anger	0.606	malad
discrimination	anger	0.606	diskriminasyon
frustrate	anger	0.604	fristre
insult	anger	0.603	joure
hurtful	anger	0.603	fè mal
oppression	anger	0.603	opresyon
manipulation	anger	0.603	manipilasyon
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	tansyon
disgust	anger	0.602	degou
spite	anger	0.600	malgre
intrusive	anger	0.598	pèsistan
harshness	anger	0.597	severite
slur	anger	0.596	sal
tempest	anger	0.594	tanpèt
assail	anger	0.594	atake
bitterness	anger	0.594	anmè
morbidity	anger	0.594	morbidite
casualty	anger	0.594	aksidan
puncture	anger	0.594	pike
miserable	anger	0.594	mizerab
inferno	anger	0.594	lanfè
invasion	anger	0.594	envazyon
storming	anger	0.594	tanpèt
wretch	anger	0.594	mizè
consternation	anger	0.592	konstènasyon
raving	anger	0.591	divagasyon
forcibly	anger	0.591	lafòs
guillotine	anger	0.591	guillotin
guilty	anger	0.591	koupab
depraved	anger	0.591	deprave
immoral	anger	0.591	imoral
overpowering	anger	0.591	overpowering
scare	anger	0.588	fè pè
recalcitrant	anger	0.588	rekalsitran
screwed	anger	0.588	vise
accursed	anger	0.588	madichon
soannoyed	anger	0.588	ankouraje
invader	anger	0.588	anvayisè
jealousy	anger	0.587	jalouzi
indignation	anger	0.587	endiyasyon
vexed	anger	0.586	vekse
confront	anger	0.582	konfwonte
brute	anger	0.581	brital
throttle	anger	0.579	gaz
slut	anger	0.578	salope
coup	anger	0.578	koudeta
blaze	anger	0.578	limen
pillage	anger	0.578	pilye
provoking	anger	0.578	pwovoke
damage	anger	0.578	domaj
criminality	anger	0.578	kriminèl
shutup	anger	0.578	fèmen bouch
lash	anger	0.578	sil
conflict	anger	0.578	konfli
contentious	anger	0.578	kontwovèsyal
shutit	anger	0.578	fèmen
wreck	anger	0.578	epav
defiant	anger	0.578	defi
butcher	anger	0.578	bouche
incarceration	anger	0.578	anprizònman
revolver	anger	0.578	revòlvè
bickering	anger	0.578	diskisyon
yousuck	anger	0.578	ousuck
cancer	anger	0.577	kansè
discriminate	anger	0.576	fè diskriminasyon
gun	anger	0.576	zam
frustration	anger	0.576	fristrasyon
gory	anger	0.576	goy
pernicious	anger	0.576	malfezan
dontmess	anger	0.576	pa dezòd
blasphemy	anger	0.576	blasfèm
chaotic	anger	0.576	chaotic
grope	anger	0.576	taton
alienation	anger	0.576	izolman
disturbance	anger	0.576	twoub
condescension	anger	0.576	kondesandans
standoff	anger	0.576	kanpe
discord	anger	0.576	dezakò
friggen	anger	0.575	friggen
sneer	anger	0.574	betiz
death	anger	0.574	lanmò
lunacy	anger	0.574	foli
scandalous	anger	0.574	scandales
oppressive	anger	0.574	opresyon
jab	anger	0.574	jab
cursed	anger	0.574	madichon
monstrosity	anger	0.574	monstruozite
shit	anger	0.573	kaka
disparaging	anger	0.571	denigre
slash	anger	0.571	koupe
unfair	anger	0.571	enjis
gallows	anger	0.570	plas piblik
escalate	anger	0.569	ogmante
intolerant	anger	0.564	entolerans
lawlessness	anger	0.563	anachi
beast	anger	0.562	bèt
torpedo	anger	0.562	tòpiyè
malign	anger	0.562	malign
traitor	anger	0.562	trèt
frightful	anger	0.562	efreyan
wrangling	anger	0.562	diskisyon
slander	anger	0.562	kalomnye
bellows	anger	0.562	bellows
retards	anger	0.562	retade
grouchy	anger	0.562	degoutan
derogatory	anger	0.562	denigre
bearish	anger	0.562	bearish
invade	anger	0.562	anvayi
perdition	anger	0.562	perdisyon
arghh	anger	0.562	arghh
dreadful	anger	0.562	terib
bluddy	anger	0.562	bluddy
deceived	anger	0.562	twonpe
glare	anger	0.562	ekla
taunt	anger	0.562	fawouche
dissension	anger	0.561	divizyon
cross	anger	0.561	kwa
rave	anger	0.561	rave
grating	anger	0.561	griyaj
devastating	anger	0.561	devaste
fits	anger	0.561	anfòm
jeopardize	anger	0.561	mete an danje
shatter	anger	0.561	kraze brize
idiots	anger	0.561	moun sòt
hurt	anger	0.561	fè mal
thief	anger	0.561	vòlè
uncontrollable	anger	0.561	enkontwolab
conflagration	anger	0.561	konflagrasyon
betrayal	anger	0.561	trayizon
banshee	anger	0.561	banshee
subjugation	anger	0.559	soumisyon
disturbed	anger	0.559	deranje
stomped	anger	0.557	stomped
grab	anger	0.557	pwan
grievance	anger	0.556	plent
ticked	anger	0.556	koche
masochism	anger	0.556	masochis
defiance	anger	0.552	defi
blackmail	anger	0.550	chantaj
offensive	anger	0.549	ofansif
decry	anger	0.548	denonse
frustrates	anger	0.547	fristre
violation	anger	0.547	vyolasyon
confine	anger	0.547	konfine
misery	anger	0.547	mizè
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparite
punishment	anger	0.547	pinisyon
rebel	anger	0.547	rebèl
preposterous	anger	0.547	absurde
disgraceful	anger	0.547	wont
ire	anger	0.547	ire
deceive	anger	0.547	twonpe
fustrated	anger	0.547	fustrated
sin	anger	0.547	peche
shrill	anger	0.547	strid
darkside	anger	0.547	kote sonb
overbearing	anger	0.547	enpotan
firearms	anger	0.547	zam afe
stolen	anger	0.546	vòlè
hadenough	anger	0.546	adenough
prejudice	anger	0.545	prejije
tackle	anger	0.545	atake
resentful	anger	0.545	rankin
heated	anger	0.545	chofe
callous	anger	0.545	entansif
conspirator	anger	0.545	konspiratè
ruined	anger	0.545	depafini
antagonist	anger	0.545	antagonis
skirmish	anger	0.545	akrochaj
menace	anger	0.545	menas
annoyin	anger	0.545	annoyin
foul	anger	0.545	move
argument	anger	0.545	agiman
humiliate	anger	0.545	imilye
wanker	anger	0.545	wanker
adversary	anger	0.545	advèsè
sting	anger	0.544	pike
entangled	anger	0.544	mele
grumble	anger	0.544	bougonnen
robbery	anger	0.544	vòlè
outcry	anger	0.544	kriye
resistance	anger	0.543	rezistans
irreconcilable	anger	0.543	enkonsilab
obstructive	anger	0.542	obstriktif
dismay	anger	0.540	dekouraje
mob	anger	0.538	foul moun
juststop	anger	0.537	jis sispann
badness	anger	0.536	mechanste
ridicule	anger	0.534	betiz
incendiary	anger	0.533	ensandyè
flares	anger	0.532	fize
twofaced	anger	0.531	de fas
reckless	anger	0.531	ensousyan
communism	anger	0.531	kominis
allegation	anger	0.531	akizasyon
prejudicial	anger	0.531	prejidis
whip	anger	0.531	fwèt
unbridled	anger	0.531	san fren
degeneracy	anger	0.531	koripsyon
intruder	anger	0.531	entrigan
belittle	anger	0.531	minimize
confinement	anger	0.531	prizon
dispute	anger	0.531	diskisyon
exacerbation	anger	0.531	vin pi grav
uprising	anger	0.531	soulèvman
unjust	anger	0.530	enjis
unjustifiable	anger	0.530	enjistifyab
perversion	anger	0.530	pèvèsyon
bigoted	anger	0.530	fanatik
fiesty	anger	0.530	fieste
offender	anger	0.530	delenkan
dictatorial	anger	0.530	diktatoryal
hassle	anger	0.530	konplikasyon
dissonance	anger	0.530	disonans
tackled	anger	0.530	abòde
renegade	anger	0.529	rebèl
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	pase
hot	anger	0.529	cho
prison	anger	0.529	prizon
suicide	anger	0.521	swisid
annoy	anger	0.520	anbete
leavemealone	anger	0.517	kite pou kont li
cretins	anger	0.516	kreten
depravity	anger	0.516	depravasyon
idiotic	anger	0.516	moun sòt
dishonest	anger	0.516	malonèt
distrust	anger	0.516	defye
broil	anger	0.516	griye
grrr	anger	0.516	grrr
criticize	anger	0.516	kritike
inimical	anger	0.516	enmiksyèl
tortious	anger	0.516	tortious
prisoner	anger	0.516	prizonye
treason	anger	0.516	trayizon
divorce	anger	0.516	divòs
venting	anger	0.516	vantilasyon
duress	anger	0.516	kontrent
disrespectful	anger	0.516	derespektan
poaching	anger	0.515	poche
scold	anger	0.515	reprimande
poachers	anger	0.515	brakonye
pow	anger	0.515	pow
hangry	anger	0.515	grangou
argumentation	anger	0.515	agimantasyon
frustrating	anger	0.515	fwistre
unkind	anger	0.515	mechan
roar	anger	0.515	gwonde
coercion	anger	0.515	fòse
unforgiving	anger	0.515	san padon
grump	anger	0.515	bouchon
bile	anger	0.515	kòlè
unleash	anger	0.515	debouche
chaos	anger	0.515	dezòd
victimized	anger	0.515	viktimize
jerks	anger	0.515	enbesil
tussle	anger	0.514	dispute
bane	anger	0.511	malè
accusation	anger	0.510	akizasyon
enmity	anger	0.510	ennmi
repudiation	anger	0.510	repiyasyon
banish	anger	0.509	ban
disfigured	anger	0.508	defigire
storm	anger	0.507	tanpèt
crazy	anger	0.500	fou
hammering	anger	0.500	mato
defy	anger	0.500	defye
antithesis	anger	0.500	antitez
scoff	anger	0.500	betiz
anguish	anger	0.500	kè sere
confined	anger	0.500	fèmen
fear	anger	0.500	pè
bout	anger	0.500	bout
unruly	anger	0.500	dezobeyisan
delusional	anger	0.500	delirant
obstruct	anger	0.500	obstrue
possessed	anger	0.500	posede
injustice	anger	0.500	enjistis
fervor	anger	0.500	ferveur
spear	anger	0.500	frenn
derision	anger	0.500	rizib
intractable	anger	0.500	entrayab
reject	anger	0.500	rejte
dominate	anger	0.500	domine
ordeal	anger	0.500	apwè move moman
banished	anger	0.500	depòte
rejects	anger	0.500	rejte
shun	anger	0.500	evite
brunt	anger	0.500	blese
derogation	anger	0.500	derogasyon
frenzied	anger	0.500	frene
animus	anger	0.500	animo
suppression	anger	0.500	repwesyon
malpractice	anger	0.500	move pratik
brazen	anger	0.500	an kwiv
foaming	anger	0.500	kimen
disrupting	anger	0.500	deranje
nobodycares	anger	0.500	pèsonn pa okipe
patronising	anger	0.500	patronize
getoveryourself	anger	0.495	jwenn tèt ou
toughness	anger	0.492	severite
stupidpeople	anger	0.492	moun sòt
madness	anger	0.491	foli
sinful	anger	0.491	peche
avarice	anger	0.490	avaris
oppress	anger	0.490	toupizi
cutting	anger	0.485	koupe
anathema	anger	0.485	anatem
annoyed	anger	0.485	énervé
dissident	anger	0.485	dizidan
demand	anger	0.485	demann
usurp	anger	0.485	uzurpe
claw	anger	0.485	grif
alienate	anger	0.485	alyene
infraction	anger	0.485	enfraksyon
avenger	anger	0.485	vanje
revoke	anger	0.485	revoke
smuggler	anger	0.485	kontrebann
abolish	anger	0.485	aboli
fricking	anger	0.485	fricking
stayaway	anger	0.485	rete lwen
pervert	anger	0.485	perverti
disservice	anger	0.485	move sèvis
disobedient	anger	0.485	dezobeyisan
incest	anger	0.485	ensès
complaint	anger	0.485	plent
disapproved	anger	0.485	dezapwouve
inhuman	anger	0.485	inimen
mocking	anger	0.484	betiz
penalty	anger	0.484	penalite
renounce	anger	0.484	renonse
restrain	anger	0.484	kenbe
upheaval	anger	0.484	boulvèsman
deceit	anger	0.484	twonpe
obnoxious	anger	0.484	dezagreyab
imprisoned	anger	0.484	nan prizon
strained	anger	0.484	tension
blame	anger	0.484	blame
oust	anger	0.484	chase
litigious	anger	0.484	litijye
rivalry	anger	0.484	rivalite
sucker	anger	0.484	vantouz
opposed	anger	0.484	opoze
thresh	anger	0.484	bat
disgrace	anger	0.484	wont
suspicious	anger	0.484	sispèk
turbulence	anger	0.483	tibilans
pound	anger	0.481	liv
coldness	anger	0.477	frèt
ungrateful	anger	0.472	engra
stoopid	anger	0.471	stoopid
battalion	anger	0.471	batayon
feudalism	anger	0.470	feyodalis
hostage	anger	0.470	an otaj
annoying	anger	0.470	anmèdan
dispossessed	anger	0.470	deposede
subversion	anger	0.470	sibvèsyon
friction	anger	0.470	friksyon
jealous	anger	0.470	jalouzi
adversity	anger	0.470	advèsite
infidel	anger	0.470	enfidel
gall	anger	0.470	fyèl
accuser	anger	0.470	akize
ram	anger	0.470	belye mouton
armament	anger	0.470	zam
thump	anger	0.469	frape
dislike	anger	0.469	pa renmen
steal	anger	0.469	vòlè
backoff	anger	0.469	backoff
stifled	anger	0.469	toufe
incite	anger	0.469	ensite
distress	anger	0.469	detrès
angermanagement	anger	0.469	jesyon kòlè
selfish	anger	0.469	egoyis
injury	anger	0.469	blesi
exile	anger	0.469	ekzil
insanity	anger	0.469	foli
offense	anger	0.469	ofans
objection	anger	0.469	objeksyon
smother	anger	0.469	toufe
disruption	anger	0.469	dezòd
intolerance	anger	0.469	entolerans
disobey	anger	0.469	dezobeyi
selfishness	anger	0.469	egoyis
recidivism	anger	0.469	recidivis
subversive	anger	0.469	sibvèsif
huff	anger	0.469	huff
plunder	anger	0.469	piye
opposition	anger	0.469	opozisyon
complain	anger	0.469	plenyen
perpetrator	anger	0.469	otè krim
simmer	anger	0.469	mitone
areyoukidding	anger	0.468	ou ap jwe
mug	anger	0.467	tas
agony	anger	0.465	agoni
arrogant	anger	0.461	arogan
sux	anger	0.456	suks
vent	anger	0.456	vantilasyon
elimination	anger	0.456	eliminasyon
picketing	anger	0.456	pikèt
haughty	anger	0.456	ògeye
grated	anger	0.455	griye
flagrant	anger	0.455	flagran
busted	anger	0.455	busted
crabby	anger	0.455	krab
dying	anger	0.455	mouri
idiocy	anger	0.455	moun sòt
impermeable	anger	0.455	enpèmeyab
stubbed	anger	0.455	bouche
illegality	anger	0.455	ilegalite
veto	anger	0.455	mete veto sou
constraint	anger	0.455	kontrent
mislead	anger	0.455	twonpe
illicit	anger	0.455	ilegal
troublesome	anger	0.455	anbarasman
clamor	anger	0.455	clameur
bayonet	anger	0.453	bayonèt
suppress	anger	0.453	siprime
intense	anger	0.453	entans
displeased	anger	0.453	pa kontan
disapproving	anger	0.453	dezapwouve
hysterical	anger	0.453	isterik
struggle	anger	0.453	lite
godless	anger	0.453	san Bondye
desist	anger	0.453	desiste
usurped	anger	0.453	uzurpe
despotism	anger	0.453	despotism
