English Word	Emotion	Emotion-Intensity-Score	Urdu Word
tumultuous	anger	0.844	ہنگامہ خیز
infuriate	anger	0.844	مشتعل
obliterate	anger	0.843	مٹانا
belligerent	anger	0.841	جنگجو
dumbbitch	anger	0.841	گونگا
detest	anger	0.838	نفرت
hostilities	anger	0.837	دشمنی
prick	anger	0.835	چبھنا
rampage	anger	0.833	ہنگامہ آرائی
horrid	anger	0.833	خوفناک
cruelty	anger	0.833	ظلم
torture	anger	0.833	تشدد
rabid	anger	0.833	پاگل
despicable	anger	0.828	حقیر
tyrannical	anger	0.828	ظالم
demonic	anger	0.828	شیطانی
satanic	anger	0.828	شیطانی
hate	anger	0.828	سے نفرت
ragemode	anger	0.828	ragemode
hating	anger	0.828	نفرت
ruinous	anger	0.825	تباہ کن
condemn	anger	0.825	مذمت
riots	anger	0.824	فسادات
demolish	anger	0.824	گرانا
angry	anger	0.824	ناراض
extermination	anger	0.824	تباہی
dickhead	anger	0.824	ڈک ہیڈ
livid	anger	0.821	بے چین
madman	anger	0.820	پاگل آدمی
vindictive	anger	0.819	انتقامی
terrorist	anger	0.818	دہشت گرد
threaten	anger	0.818	دھمکی
venomous	anger	0.818	زہریلا
hateyou	anger	0.818	نفرت ہے تم سے
ferocity	anger	0.818	درندگی
effyou	anger	0.818	effyou
abhor	anger	0.816	نفرت
carnage	anger	0.814	قتل عام
savage	anger	0.814	وحشی
atrocity	anger	0.814	ظلم
fucksake	anger	0.812	بھاڑ میں جاؤ
abuse	anger	0.812	بدسلوکی
fierce	anger	0.812	شدید
destroyer	anger	0.812	تباہ کن
angrytweet	anger	0.812	ناراض ٹویٹ
barbaric	anger	0.812	وحشیانہ
vendetta	anger	0.812	انتقام
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ناراض
tyrant	anger	0.812	ظالم
berserk	anger	0.812	نڈر
fuming	anger	0.812	دھواں
anger	anger	0.811	غصہ
pieceofshit	anger	0.810	ٹکڑا
punched	anger	0.803	گھونس دیا
punching	anger	0.803	مکے مارنا
slam	anger	0.803	تنقید
homicide	anger	0.803	قتل عام
bitch	anger	0.803	کتیا
fights	anger	0.803	لڑائیاں
ruthless	anger	0.797	بے رحم
villainous	anger	0.797	بدمعاش
destructive	anger	0.797	تباہ کن
slap	anger	0.791	تپپڑ
riot	anger	0.788	فساد
growthefuckup	anger	0.788	نمو
punishing	anger	0.788	سزا دینے والا
slaughterhouse	anger	0.788	مذبح خانہ
yelling	anger	0.788	چیخنا
diabolical	anger	0.788	شیطانی
destroyed	anger	0.788	تباہ
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	انتقامی
manslaughter	anger	0.783	قتل عام
clash	anger	0.783	تصادم
quarrel	anger	0.781	جھگڑا
bloody	anger	0.781	خونی
hellish	anger	0.781	جہنمی
sinister	anger	0.781	منحوس
loath	anger	0.781	نفرت
detonation	anger	0.781	دھماکہ
accusing	anger	0.779	الزام لگانا
fumin	anger	0.779	فومین
hateeee	anger	0.779	نفرت ہے
treacherous	anger	0.779	غدار
madder	anger	0.773	پاگل
horrific	anger	0.773	خوفناک
revulsion	anger	0.773	بغاوت
retaliate	anger	0.773	بدلہ لینا
scorn	anger	0.769	طعنہ
bomb	anger	0.766	بم
deplorable	anger	0.766	افسوسناک
devastation	anger	0.765	تباہی
anarchist	anger	0.765	انارکیسٹ
firestorm	anger	0.765	آگ کا طوفان
resent	anger	0.765	ناراضگی
contemptible	anger	0.764	حقیر
shittest	anger	0.760	سب سے گھٹیا
rant	anger	0.758	چیخ
cruel	anger	0.758	ظالمانہ
deadly	anger	0.758	مہلک
smash	anger	0.758	توڑ
soangry	anger	0.758	بہت غصہ
outburst	anger	0.757	غصہ
snarl	anger	0.754	snarl
profane	anger	0.750	ناپاک
revolting	anger	0.750	بغاوت
aggravating	anger	0.750	پریشان کن
horror	anger	0.750	وحشت
despise	anger	0.750	حقارت
offend	anger	0.750	توہین
stfu	anger	0.750	stfu
vulgarity	anger	0.750	فحاشی
crazed	anger	0.750	پاگل
douchebags	anger	0.750	ڈوچ بیگ
growling	anger	0.750	گرجتا ہوا
dontmesswithme	anger	0.750	میرے ساتھ میسج نہ کریں۔
screaming	anger	0.742	چیخنا
threat	anger	0.742	دھمکی
erupt	anger	0.742	پھوٹنا
horrible	anger	0.742	خوفناک
molestation	anger	0.742	چھیڑ چھاڑ
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	تشدد
bastards	anger	0.741	کمینے
revenge	anger	0.738	بدلہ
menacing	anger	0.735	دھمکی آمیز
crushing	anger	0.735	کچلنا
damn	anger	0.735	لعنت
catastrophe	anger	0.735	تباہی
demon	anger	0.735	شیطان
argue	anger	0.734	بحث
persecute	anger	0.734	ستانا
deplore	anger	0.734	افسوس کرنا
flog	anger	0.734	کوڑے مارنا
fedup	anger	0.734	تنگ آگیا
riotous	anger	0.734	فسادی
vehement	anger	0.734	پرجوش
revolt	anger	0.734	بغاوت
warfare	anger	0.734	جنگ
thrash	anger	0.734	مارنا
altercation	anger	0.729	جھگڑا
warlike	anger	0.728	جنگجو
shitday	anger	0.727	شٹ ڈے
mutiny	anger	0.727	بغاوت
castrate	anger	0.727	کاسٹریٹ
sabotage	anger	0.727	تخریب کاری
malevolent	anger	0.721	بدتمیز
strike	anger	0.721	ہڑتال
disaster	anger	0.721	مصیبت
disastrous	anger	0.720	تباہ کن
bastarding	anger	0.719	گھٹیا
treachery	anger	0.719	غداری
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	گھوڑا
slay	anger	0.719	قتل
disdain	anger	0.719	حقارت
aggravates	anger	0.719	بڑھاتا ہے
brutal	anger	0.719	ظالمانہ
scorching	anger	0.719	جھلسا دینے والا
devil	anger	0.719	شیطان
madden	anger	0.719	پاگل
spiteful	anger	0.719	نفرت انگیز
scream	anger	0.719	چیخ
choke	anger	0.719	گلا گھونٹنا
vermin	anger	0.719	کیڑے
tumult	anger	0.719	ہنگامہ
criminal	anger	0.714	مجرمانہ
mangle	anger	0.714	mangle
anarchism	anger	0.714	انارکیزم
mutilation	anger	0.714	مسخ کرنا
denunciation	anger	0.713	مذمت
punch	anger	0.713	گھونسہ مارنا
virulence	anger	0.712	وائرلیس
fatal	anger	0.712	مہلک
hurting	anger	0.712	تکلیف دہ
crucifixion	anger	0.712	مصلوب
dontlikeyou	anger	0.712	آپ کو پسند نہیں
blasphemous	anger	0.712	توہین آمیز
holocaust	anger	0.712	ہولوکاسٹ
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	لڑا
deranged	anger	0.706	پریشان
irritated	anger	0.706	چڑچڑا
atrocious	anger	0.706	ظالمانہ
evil	anger	0.706	برائی
aggravated	anger	0.703	بڑھا ہوا
intimidation	anger	0.703	دھمکی
dicks	anger	0.703	ڈکس
assassin	anger	0.703	قاتل
scolding	anger	0.703	ڈانٹنا
persecution	anger	0.703	ظلم و ستم
slayer	anger	0.703	قاتل
kidnap	anger	0.703	اغوا
aggression	anger	0.702	جارحیت
armed	anger	0.700	مسلح
battle	anger	0.697	جنگ
poison	anger	0.697	زہر
snarling	anger	0.697	snarling
venom	anger	0.697	زہر
disgruntled	anger	0.693	ناراض
resentment	anger	0.691	ناراضگی
assailant	anger	0.691	حملہ آور
insidious	anger	0.691	کپٹی
contemptuous	anger	0.690	توہین آمیز
lynch	anger	0.690	لنچ
temper	anger	0.688	غصہ
terrible	anger	0.688	خوفناک
disparage	anger	0.688	بے عزتی
lunatic	anger	0.688	پاگل
bully	anger	0.688	بدمعاش
mad	anger	0.688	پاگل
makesmemad	anger	0.688	بناتا ہے
infanticide	anger	0.688	بچے کا قتل
domination	anger	0.688	تسلط
peeved	anger	0.688	پریشان
imprisonment	anger	0.688	قید
curse	anger	0.688	لعنت
volatility	anger	0.687	اتار چڑھاؤ
eradication	anger	0.685	خاتمہ
eradicate	anger	0.682	مٹانا
tantrum	anger	0.682	غصہ
scoundrel	anger	0.682	بدمعاش
devastate	anger	0.682	تباہ
aggressively	anger	0.680	جارحانہ طور پر
agitation	anger	0.680	تحریک
dictatorship	anger	0.676	آمریت
irritates	anger	0.676	پریشان کرتا ہے
profanity	anger	0.673	بے حرمتی
shove	anger	0.672	دھکا دینا
nasty	anger	0.672	گندی
shot	anger	0.672	گولی مار دی
cruelly	anger	0.672	بے دردی سے
shoot	anger	0.672	گولی مار
condemnation	anger	0.672	مذمت
crushed	anger	0.672	کچل دیا
aggravation	anger	0.672	اضطراب
poisonous	anger	0.672	زہریلا
egregious	anger	0.672	زبردست
crime	anger	0.672	جرم
corrupting	anger	0.672	خراب کرنے والا
dastardly	anger	0.672	بزدلانہ
contempt	anger	0.672	توہین
harmful	anger	0.672	نقصان دہ
expletive	anger	0.672	فضول
wreak	anger	0.672	تباہی
maniac	anger	0.670	پاگل
cutthroat	anger	0.667	حلق کاٹنا
enemy	anger	0.667	دشمن
hit	anger	0.667	مارو
hateeveryone	anger	0.667	سب سے نفرت
eruption	anger	0.667	پھٹنا
irritable	anger	0.667	چڑچڑا
odious	anger	0.667	ناگوار
shooting	anger	0.667	شوٹنگ
shout	anger	0.667	چیخنا
aggressive	anger	0.667	جارحانہ
kick	anger	0.667	لات مارنا
combat	anger	0.667	لڑائی
fight	anger	0.667	لڑنا
punished	anger	0.662	سزا دی
yell	anger	0.661	چیخنا
ambush	anger	0.661	گھات لگا کر حملہ
harass	anger	0.659	ہراساں کرنا
malignant	anger	0.656	مہلک
aggressor	anger	0.656	حملہ آور
gore	anger	0.656	گور
destruction	anger	0.656	تباہی
grudge	anger	0.656	رنجش
antichrist	anger	0.656	دجال
incense	anger	0.656	بخور
expel	anger	0.656	بے دخل
cranky	anger	0.653	خبطی
slave	anger	0.652	غلام
reprisal	anger	0.652	انتقام
growl	anger	0.652	گرجنا
animosity	anger	0.652	دشمنی
insurrection	anger	0.652	بغاوت
clashing	anger	0.652	تصادم
denounce	anger	0.652	مذمت
offended	anger	0.652	ناراض
spank	anger	0.652	مارنا
insulting	anger	0.652	توہین آمیز
growls	anger	0.649	گرجتا ہے
executioner	anger	0.644	جلاد
twat	anger	0.644	twat
doomsday	anger	0.643	قیامت کا دن
obscenity	anger	0.641	فحاشی
accused	anger	0.641	ملزم
feud	anger	0.641	جھگڑا
daemon	anger	0.641	ڈیمون
havoc	anger	0.641	تباہی
shackle	anger	0.641	بیڑی
inexcusable	anger	0.641	ناقابل معافی
indignant	anger	0.641	ناراض
grr	anger	0.641	grr
expulsion	anger	0.641	اخراج
bombard	anger	0.641	بمباری
spat	anger	0.641	تھوکنا
arson	anger	0.641	آگ لگانا
reprimand	anger	0.641	ڈانٹ ڈپٹ
somad	anger	0.637	صوماد
frustrated	anger	0.636	مایوس
batter	anger	0.636	بلے باز
kicking	anger	0.636	لات مارنا
anarchy	anger	0.636	انارکی
spanking	anger	0.636	تیز
glaring	anger	0.636	چمکدار
suicidal	anger	0.636	خودکشی
disgusting	anger	0.636	ناگوار
wound	anger	0.636	زخم
hanging	anger	0.636	پھانسی
poisoned	anger	0.636	زہر
combatant	anger	0.636	جنگجو
wrecked	anger	0.633	تباہ
inflict	anger	0.633	پہنچانا
grievous	anger	0.632	دردناک
prosecute	anger	0.630	مقدمہ چلانا
agitated	anger	0.630	مشتعل
cheat	anger	0.630	دھوکہ
swastika	anger	0.627	سواستیکا
injure	anger	0.625	زخمی کرنا
indict	anger	0.625	فرد جرم
scourge	anger	0.625	لعنت
provocation	anger	0.625	اشتعال انگیزی
suffocation	anger	0.625	دم گھٹنا
strife	anger	0.625	جھگڑا
raid	anger	0.625	چھاپہ
enslaved	anger	0.625	غلامی
cursing	anger	0.625	لعنت بھیجنا
defamatory	anger	0.625	ہتک آمیز
harassing	anger	0.625	ہراساں کرنا
thundering	anger	0.625	گرج
betray	anger	0.625	دھوکہ دینا
arsehole	anger	0.624	گدھے کا سوراخ
theft	anger	0.621	چوری
insane	anger	0.621	پاگل
retaliation	anger	0.621	انتقامی کارروائی
irritate	anger	0.621	چڑچڑانا
deprivation	anger	0.621	محرومی
fiend	anger	0.621	شیطان
jerk	anger	0.621	جھٹکا
convict	anger	0.621	مجرم
cussed	anger	0.619	گالیاں دی
turmoil	anger	0.618	ہنگامہ
smack	anger	0.615	سمیک
retribution	anger	0.614	بدلہ
rebellion	anger	0.609	بغاوت
oppressor	anger	0.609	ظالم
gang	anger	0.609	گروہ
slavery	anger	0.609	غلامی
intolerable	anger	0.609	ناقابل برداشت
adverse	anger	0.609	منفی
injurious	anger	0.609	نقصان دہ
twats	anger	0.609	twats
collision	anger	0.609	تصادم
battery	anger	0.609	بیٹری
bitterly	anger	0.609	تلخی سے
antagonism	anger	0.609	دشمنی
irritability	anger	0.609	چڑچڑاپن
disgraced	anger	0.608	رسوا
diatribe	anger	0.606	diatribe
asshole	anger	0.606	گدی
blast	anger	0.606	دھماکے
bombardment	anger	0.606	بمباری
irks	anger	0.606	irks
ranting	anger	0.606	بڑبڑانا
revolution	anger	0.606	انقلاب
thug	anger	0.606	ٹھگ
antagonistic	anger	0.606	مخالف
irritating	anger	0.606	پریشان کن
sickening	anger	0.606	بیمار
discrimination	anger	0.606	امتیاز
frustrate	anger	0.604	مایوس
insult	anger	0.603	توہین
hurtful	anger	0.603	تکلیف دہ
oppression	anger	0.603	جبر
manipulation	anger	0.603	ہیرا پھیری
tiredofit	anger	0.603	تھکاوٹ
bigot	anger	0.603	مکروہ، بدترین شخص
tension	anger	0.603	تناؤ
disgust	anger	0.602	نفرت
spite	anger	0.600	باوجود
intrusive	anger	0.598	دخل اندازی کرنے والا
harshness	anger	0.597	سختی
slur	anger	0.596	گندگی
tempest	anger	0.594	طوفان
assail	anger	0.594	حملہ
bitterness	anger	0.594	تلخی
morbidity	anger	0.594	بیماری
casualty	anger	0.594	جانی نقصان
puncture	anger	0.594	پنچر
miserable	anger	0.594	دکھی
inferno	anger	0.594	جہنم
invasion	anger	0.594	حملہ
storming	anger	0.594	طوفان
wretch	anger	0.594	بدبخت
consternation	anger	0.592	گھبراہٹ
raving	anger	0.591	بڑبڑانا
forcibly	anger	0.591	زبردستی
guillotine	anger	0.591	گیلوٹین
guilty	anger	0.591	مجرم
depraved	anger	0.591	محروم
immoral	anger	0.591	غیر اخلاقی
overpowering	anger	0.591	زبردست
scare	anger	0.588	ڈرانا
recalcitrant	anger	0.588	متزلزل
screwed	anger	0.588	خراب
accursed	anger	0.588	ملعون
soannoyed	anger	0.588	غصہ
invader	anger	0.588	حملہ آور
jealousy	anger	0.587	حسد
indignation	anger	0.587	غصہ
vexed	anger	0.586	پریشان
confront	anger	0.582	سامنا کرنا
brute	anger	0.581	جانور
throttle	anger	0.579	گلا گھونٹنا
slut	anger	0.578	slut
coup	anger	0.578	بغاوت
blaze	anger	0.578	بلیز
pillage	anger	0.578	لوٹنا
provoking	anger	0.578	اشتعال انگیز
damage	anger	0.578	نقصان
criminality	anger	0.578	جرم
shutup	anger	0.578	بکواس بند کرو
lash	anger	0.578	کوڑے
conflict	anger	0.578	تنازعہ
contentious	anger	0.578	متنازعہ
shutit	anger	0.578	اس کو بند کرو
wreck	anger	0.578	ملبہ
defiant	anger	0.578	منحرف
butcher	anger	0.578	قصاب
incarceration	anger	0.578	قید
revolver	anger	0.578	ریوالور
bickering	anger	0.578	جھگڑا
yousuck	anger	0.578	تم بڑے فضول ہوں
cancer	anger	0.577	کینسر
discriminate	anger	0.576	امتیاز
gun	anger	0.576	بندوق
frustration	anger	0.576	مایوسی
gory	anger	0.576	گوری
pernicious	anger	0.576	نقصان دہ
dontmess	anger	0.576	بے ترتیبی
blasphemy	anger	0.576	توہین
chaotic	anger	0.576	افراتفری
grope	anger	0.576	ٹٹولنا
alienation	anger	0.576	بیگانگی
disturbance	anger	0.576	خلل
condescension	anger	0.576	تعزیت
standoff	anger	0.576	تعطل
discord	anger	0.576	اختلاف
friggen	anger	0.575	friggen
sneer	anger	0.574	طنز
death	anger	0.574	موت
lunacy	anger	0.574	پاگل پن
scandalous	anger	0.574	مکروہ
oppressive	anger	0.574	جابرانہ
jab	anger	0.574	جاب
cursed	anger	0.574	لعنتی
monstrosity	anger	0.574	شیطانیت
shit	anger	0.573	گندگی
disparaging	anger	0.571	توہین آمیز
slash	anger	0.571	سلیش
unfair	anger	0.571	غیر منصفانہ
gallows	anger	0.570	پھانسی
escalate	anger	0.569	بڑھ
intolerant	anger	0.564	عدم برداشت
lawlessness	anger	0.563	لاقانونیت
beast	anger	0.562	جانور
torpedo	anger	0.562	ٹارپیڈو
malign	anger	0.562	بدنام کرنا
traitor	anger	0.562	غدار
frightful	anger	0.562	خوفناک
wrangling	anger	0.562	جھگڑا
slander	anger	0.562	بہتان
bellows	anger	0.562	بیل
retards	anger	0.562	روکتا ہے
grouchy	anger	0.562	بدمزاج
derogatory	anger	0.562	توہین آمیز
bearish	anger	0.562	مندی
invade	anger	0.562	حملہ
perdition	anger	0.562	تباہی
arghh	anger	0.562	aghh
dreadful	anger	0.562	خوفناک
bluddy	anger	0.562	بلڈی
deceived	anger	0.562	دھوکہ دیا
glare	anger	0.562	چکاچوند
taunt	anger	0.562	طنز
dissension	anger	0.561	اختلاف
cross	anger	0.561	کراس
rave	anger	0.561	بڑبڑانا
grating	anger	0.561	جھنڈی
devastating	anger	0.561	تباہ کن
fits	anger	0.561	فٹ بیٹھتا ہے
jeopardize	anger	0.561	خطرے میں ڈالنا
shatter	anger	0.561	بکھرنا
idiots	anger	0.561	بیوقوف
hurt	anger	0.561	چوٹ
thief	anger	0.561	چور
uncontrollable	anger	0.561	بے قابو
conflagration	anger	0.561	بھڑکاؤ
betrayal	anger	0.561	دھوکہ
banshee	anger	0.561	بنشی
subjugation	anger	0.559	محکومیت
disturbed	anger	0.559	پریشان
stomped	anger	0.557	سٹمپڈ
grab	anger	0.557	پکڑو
grievance	anger	0.556	شکایت
ticked	anger	0.556	ٹک کیا
masochism	anger	0.556	masochism
defiance	anger	0.552	خلاف ورزی
blackmail	anger	0.550	بلیک میل
offensive	anger	0.549	جارحانہ
decry	anger	0.548	رد کرنا
frustrates	anger	0.547	مایوس
violation	anger	0.547	خلاف ورزی
confine	anger	0.547	محدود
misery	anger	0.547	مصیبت
arghhhh	anger	0.547	aghhhhh
disparity	anger	0.547	تفاوت
punishment	anger	0.547	سزا
rebel	anger	0.547	باغی
preposterous	anger	0.547	مضحکہ خیز
disgraceful	anger	0.547	ذلت آمیز
ire	anger	0.547	غصہ
deceive	anger	0.547	دھوکہ دینا
fustrated	anger	0.547	مایوس
sin	anger	0.547	گناہ
shrill	anger	0.547	تیز
darkside	anger	0.547	تاریک پہلو
overbearing	anger	0.547	دبنگ
firearms	anger	0.547	آتشیں اسلحہ
stolen	anger	0.546	چوری
hadenough	anger	0.546	کافی
prejudice	anger	0.545	تعصب
tackle	anger	0.545	نمٹنا
resentful	anger	0.545	ناراض
heated	anger	0.545	گرم
callous	anger	0.545	سخت
conspirator	anger	0.545	سازش کرنے والا
ruined	anger	0.545	تباہ شدہ
antagonist	anger	0.545	مخالف
skirmish	anger	0.545	جھڑپ
menace	anger	0.545	خطرہ
annoyin	anger	0.545	پریشان کن
foul	anger	0.545	گندے
argument	anger	0.545	دلیل
humiliate	anger	0.545	ذلیل کرنا
wanker	anger	0.545	بھٹکنے والا
adversary	anger	0.545	مخالف
sting	anger	0.544	ڈنک
entangled	anger	0.544	الجھا ہوا
grumble	anger	0.544	بنبنانا
robbery	anger	0.544	ڈکیتی
outcry	anger	0.544	چللاہٹ
resistance	anger	0.543	مزاحمت
irreconcilable	anger	0.543	ناقابل مصالحت
obstructive	anger	0.542	رکاوٹ
dismay	anger	0.540	مایوسی
mob	anger	0.538	ہجوم
juststop	anger	0.537	ابھی روکو
badness	anger	0.536	برائی
ridicule	anger	0.534	طنز
incendiary	anger	0.533	آگ لگانے والا
flares	anger	0.532	بھڑک اٹھنا
twofaced	anger	0.531	دو چہرے
reckless	anger	0.531	لاپرواہ
communism	anger	0.531	اشتراکیت
allegation	anger	0.531	الزام
prejudicial	anger	0.531	متعصبانہ
whip	anger	0.531	کوڑا
unbridled	anger	0.531	بے لگام
degeneracy	anger	0.531	تنزلی
intruder	anger	0.531	گھسنے والا
belittle	anger	0.531	چھوٹا
confinement	anger	0.531	قید
dispute	anger	0.531	تنازعہ
exacerbation	anger	0.531	شدت
uprising	anger	0.531	بغاوت
unjust	anger	0.530	غیر منصفانہ
unjustifiable	anger	0.530	ناقابل جواز
perversion	anger	0.530	بگاڑ
bigoted	anger	0.530	متعصب
fiesty	anger	0.530	پرجوش
offender	anger	0.530	مجرم
dictatorial	anger	0.530	آمرانہ
hassle	anger	0.530	پریشانی
dissonance	anger	0.530	اختلاف
tackled	anger	0.530	نمٹا
renegade	anger	0.529	بغاوت
cantstandit	anger	0.529	نہیں ہو سکتا
trespass	anger	0.529	تجاوز
hot	anger	0.529	گرم
prison	anger	0.529	جیل
suicide	anger	0.521	خودکشی
annoy	anger	0.520	ناراض
leavemealone	anger	0.517	مجھے اکیلا چھوڑ دو
cretins	anger	0.516	کریٹنز
depravity	anger	0.516	بدحالی
idiotic	anger	0.516	بیوقوف
dishonest	anger	0.516	بے ایمان
distrust	anger	0.516	عدم اعتماد
broil	anger	0.516	جھگڑا
grrr	anger	0.516	grrr
criticize	anger	0.516	تنقید
inimical	anger	0.516	دشمنی
tortious	anger	0.516	تکلیف دہ
prisoner	anger	0.516	قیدی
treason	anger	0.516	غداری
divorce	anger	0.516	طلاق
venting	anger	0.516	نکالنا
duress	anger	0.516	جبر
disrespectful	anger	0.516	بے عزتی
poaching	anger	0.515	غیر قانونی شکار
scold	anger	0.515	ڈانٹنا
poachers	anger	0.515	شکاری
pow	anger	0.515	پاؤ
hangry	anger	0.515	پھانسی
argumentation	anger	0.515	دلیل
frustrating	anger	0.515	مایوس کن
unkind	anger	0.515	بے رحم
roar	anger	0.515	دہاڑ
coercion	anger	0.515	جبر
unforgiving	anger	0.515	ناقابل معافی
grump	anger	0.515	بدمعاش
bile	anger	0.515	پت
unleash	anger	0.515	اتارنا
chaos	anger	0.515	افراتفری
victimized	anger	0.515	شکار
jerks	anger	0.515	جھٹکے
tussle	anger	0.514	جھگڑا
bane	anger	0.511	نقصان
accusation	anger	0.510	الزام
enmity	anger	0.510	دشمنی
repudiation	anger	0.510	انکار
banish	anger	0.509	نکال دینا
disfigured	anger	0.508	بگاڑ
storm	anger	0.507	طوفان
crazy	anger	0.500	پاگل
hammering	anger	0.500	ہتھوڑا
defy	anger	0.500	انکار
antithesis	anger	0.500	مخالف
scoff	anger	0.500	طنز
anguish	anger	0.500	تکلیف
confined	anger	0.500	محدود
fear	anger	0.500	خوف
bout	anger	0.500	مککیبازی
unruly	anger	0.500	بے قاعدہ
delusional	anger	0.500	فریب
obstruct	anger	0.500	رکاوٹ
possessed	anger	0.500	قبضے میں
injustice	anger	0.500	ناانصافی
fervor	anger	0.500	جوش
spear	anger	0.500	نیزہ
derision	anger	0.500	طنز
intractable	anger	0.500	ناقابل برداشت
reject	anger	0.500	مسترد
dominate	anger	0.500	غلبہ
ordeal	anger	0.500	آزمائش
banished	anger	0.500	نکال دیا
rejects	anger	0.500	مسترد کرتا ہے
shun	anger	0.500	جھگڑا
brunt	anger	0.500	جھٹکا
derogation	anger	0.500	توہین
frenzied	anger	0.500	پاگل
animus	anger	0.500	دشمنی
suppression	anger	0.500	دبانا
malpractice	anger	0.500	بدعملی
brazen	anger	0.500	ڈھٹائی
foaming	anger	0.500	جھاگ
disrupting	anger	0.500	خلل ڈالنے والا
nobodycares	anger	0.500	کوئی پرواہ نہیں کرتا
patronising	anger	0.500	سرپرستی
getoveryourself	anger	0.495	اپنے آپ کو حاصل کرنا
toughness	anger	0.492	سختی
stupidpeople	anger	0.492	بیوقوف لوگ
madness	anger	0.491	پاگل پن
sinful	anger	0.491	گناہگار
avarice	anger	0.490	لالچ
oppress	anger	0.490	ظلم
cutting	anger	0.485	کاٹنے
anathema	anger	0.485	بے حسی
annoyed	anger	0.485	ناراض
dissident	anger	0.485	اختلاف کرنے والا
demand	anger	0.485	مطالبہ
usurp	anger	0.485	غصب کرنا
claw	anger	0.485	پنجہ
alienate	anger	0.485	اجنبی
infraction	anger	0.485	خلاف ورزی
avenger	anger	0.485	بدلہ لینے والا
revoke	anger	0.485	منسوخ
smuggler	anger	0.485	سمگلر
abolish	anger	0.485	خاتمہ کرنا
fricking	anger	0.485	fricking
stayaway	anger	0.485	دور رہو
pervert	anger	0.485	بیہودہ
disservice	anger	0.485	خدمت
disobedient	anger	0.485	نافرمان
incest	anger	0.485	بے حیائی
complaint	anger	0.485	شکایت
disapproved	anger	0.485	نامنظور
inhuman	anger	0.485	غیر انسانی
mocking	anger	0.484	طنز
penalty	anger	0.484	جرمانہ
