English Word	Emotion	Emotion-Intensity-Score	Uzbek Word
effyou	anger	0.818	effyou
abhor	anger	0.816	nafrat
carnage	anger	0.814	qirg'in
savage	anger	0.814	vahshiy
atrocity	anger	0.814	vahshiylik
fucksake	anger	0.812	ahmoq
abuse	anger	0.812	suiiste'mol qilish
fierce	anger	0.812	shiddatli
destroyer	anger	0.812	buzuvchi
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	vahshiylik
vendetta	anger	0.812	qasos
pissesmeoff	anger	0.812	g'azablandim
pissedoff	anger	0.812	jahl chiqishi; joniga tegib ketishi
tyrant	anger	0.812	zolim
berserk	anger	0.812	aqldan ozgan
fuming	anger	0.812	bug'lanish
anger	anger	0.811	g'azab
pieceofshit	anger	0.810	bo'lak
punched	anger	0.803	mushtlangan
punching	anger	0.803	mushtlash
slam	anger	0.803	urmoq
homicide	anger	0.803	qotillik
bitch	anger	0.803	kaltak
fights	anger	0.803	kurashadi
ruthless	anger	0.797	shafqatsiz
villainous	anger	0.797	yovuz
destructive	anger	0.797	halokatli
slap	anger	0.791	tarsaki
riot	anger	0.788	g'alayon
growthefuckup	anger	0.788	o'sish
punishing	anger	0.788	jazolash
slaughterhouse	anger	0.788	qassobxona
yelling	anger	0.788	baqirish
diabolical	anger	0.788	shaytoniy
destroyed	anger	0.788	vayron qilingan
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	qasos olish
manslaughter	anger	0.783	qotillik
clash	anger	0.783	to'qnashuv
quarrel	anger	0.781	janjal
bloody	anger	0.781	qonli
hellish	anger	0.781	jahannam
sinister	anger	0.781	dahshatli
loath	anger	0.781	nafrat
detonation	anger	0.781	portlash
accusing	anger	0.779	ayblash
fumin	anger	0.779	fumin
hateeee	anger	0.779	nafratlangan
treacherous	anger	0.779	xoin
madder	anger	0.773	aqldan ozgan
horrific	anger	0.773	dahshatli
revulsion	anger	0.773	nafratlanish
retaliate	anger	0.773	qasos olish
scorn	anger	0.769	nafrat
bomb	anger	0.766	bomba
deplorable	anger	0.766	achinarli
devastation	anger	0.765	vayronagarchilik
anarchist	anger	0.765	anarxist
firestorm	anger	0.765	olov bo'roni
resent	anger	0.765	norozi
contemptible	anger	0.764	xor
shittest	anger	0.760	eng yomon
rant	anger	0.758	qichqirmoq
cruel	anger	0.758	shafqatsiz
deadly	anger	0.758	halokatli
smash	anger	0.758	sindirish
soangry	anger	0.758	g'azablangan
outburst	anger	0.757	portlash
snarl	anger	0.754	qichqirmoq
profane	anger	0.750	nopok
revolting	anger	0.750	isyonkor
aggravating	anger	0.750	og'irlashtiruvchi
horror	anger	0.750	dahshat
despise	anger	0.750	mensimaslik
offend	anger	0.750	xafa qilish
stfu	anger	0.750	stfu
vulgarity	anger	0.750	qo'pollik
crazed	anger	0.750	aqldan ozgan
douchebags	anger	0.750	ahmoqlar
growling	anger	0.750	xirillash
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	qichqiriq
threat	anger	0.742	tahdid
erupt	anger	0.742	otilib chiqish
horrible	anger	0.742	dahshatli
molestation	anger	0.742	zo'ravonlik
fuckedoff	anger	0.742	jinni
violence	anger	0.742	zo'ravonlik
bastards	anger	0.741	haromlar
revenge	anger	0.738	qasos
menacing	anger	0.735	tahdidli
crushing	anger	0.735	maydalash
damn	anger	0.735	Jin ursin
catastrophe	anger	0.735	falokat
demon	anger	0.735	jin
argue	anger	0.734	bahslashmoq
persecute	anger	0.734	quvg'in qilish
deplore	anger	0.734	xafa qilish
flog	anger	0.734	kaltak
fedup	anger	0.734	jonga tegdi
riotous	anger	0.734	g'alayonli
vehement	anger	0.734	shiddat bilan
revolt	anger	0.734	qo'zg'olon
warfare	anger	0.734	urush
thrash	anger	0.734	urish
altercation	anger	0.729	janjal
warlike	anger	0.728	jangovar
shitday	anger	0.727	shitday
mutiny	anger	0.727	isyon
castrate	anger	0.727	kastratsiya qilish
sabotage	anger	0.727	sabotaj
malevolent	anger	0.721	yomon niyatli
strike	anger	0.721	zarba berish
disaster	anger	0.721	falokat
disastrous	anger	0.720	halokatli
bastarding	anger	0.719	ahmoqlik
treachery	anger	0.719	xiyonat
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	ot
slay	anger	0.719	o'ldirmoq
disdain	anger	0.719	mensimaslik
aggravates	anger	0.719	og'irlashtiradi
brutal	anger	0.719	shafqatsiz
scorching	anger	0.719	kuydiruvchi
devil	anger	0.719	shayton
madden	anger	0.719	aqldan ozgan
spiteful	anger	0.719	g'azabli
scream	anger	0.719	qichqiriq
choke	anger	0.719	bo'g'moq
vermin	anger	0.719	zararkunanda
tumult	anger	0.719	g'alayon
criminal	anger	0.714	jinoyatchi
mangle	anger	0.714	manglay
anarchism	anger	0.714	anarxizm
mutilation	anger	0.714	jarohatlanish
denunciation	anger	0.713	denonsatsiya
punch	anger	0.713	musht
virulence	anger	0.712	virulentlik
fatal	anger	0.712	halokatli
hurting	anger	0.712	og'riyotgan
crucifixion	anger	0.712	xochga mixlanish
dontlikeyou	anger	0.712	sevmayman
blasphemous	anger	0.712	kufr
holocaust	anger	0.712	holokost
dumbasses	anger	0.712	ahmoqlar
battled	anger	0.712	jang qildi
deranged	anger	0.706	aqldan ozgan
irritated	anger	0.706	g'azablangan
atrocious	anger	0.706	vahshiy
evil	anger	0.706	yomon
aggravated	anger	0.703	og'irlashgan
intimidation	anger	0.703	qo'rqitish
dicks	anger	0.703	siklar
assassin	anger	0.703	qotil
scolding	anger	0.703	so'kish
persecution	anger	0.703	ta'qiblar
slayer	anger	0.703	qotil
kidnap	anger	0.703	o'g'irlash
aggression	anger	0.702	tajovuz
armed	anger	0.700	qurollangan
battle	anger	0.697	jang
poison	anger	0.697	zahar
snarling	anger	0.697	xirillash
venom	anger	0.697	zahar
disgruntled	anger	0.693	norozi
resentment	anger	0.691	norozilik
assailant	anger	0.691	hujumchi
insidious	anger	0.691	makkor
contemptuous	anger	0.690	mensimaydigan
lynch	anger	0.690	linch
temper	anger	0.688	jahl
terrible	anger	0.688	qo'rqinchli
disparage	anger	0.688	kamsitish
lunatic	anger	0.688	telba
bully	anger	0.688	bezori
mad	anger	0.688	Telba
makesmemad	anger	0.688	qiladi
infanticide	anger	0.688	go'dak o'ldirish
domination	anger	0.688	hukmronlik
peeved	anger	0.688	g'azablandi
imprisonment	anger	0.688	qamoq
curse	anger	0.688	la'nat
volatility	anger	0.687	o'zgaruvchanlik
eradication	anger	0.685	yo'q qilish
eradicate	anger	0.682	yo'q qilish
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	harom
devastate	anger	0.682	vayron qilish
aggressively	anger	0.680	agressiv tarzda
agitation	anger	0.680	qo'zg'alish
dictatorship	anger	0.676	diktatura
irritates	anger	0.676	bezovta qiladi
profanity	anger	0.673	uyat
shove	anger	0.672	turtki
nasty	anger	0.672	jirkanch
shot	anger	0.672	otish
cruelly	anger	0.672	shafqatsizlarcha
shoot	anger	0.672	otish
condemnation	anger	0.672	qoralash
crushed	anger	0.672	ezilgan
aggravation	anger	0.672	kuchayishi
poisonous	anger	0.672	zaharli
egregious	anger	0.672	dahshatli
crime	anger	0.672	jinoyat
corrupting	anger	0.672	buzuvchi
dastardly	anger	0.672	g'alati
contempt	anger	0.672	nafrat
harmful	anger	0.672	zararli
expletive	anger	0.672	haqorat qiluvchi
wreak	anger	0.672	vayron qilish
maniac	anger	0.670	manyak
cutthroat	anger	0.667	tomoq
enemy	anger	0.667	dushman
hit	anger	0.667	urish
hateeveryone	anger	0.667	hammani yomon ko'raman
eruption	anger	0.667	portlash
irritable	anger	0.667	asabiy
odious	anger	0.667	jirkanch
shooting	anger	0.667	tortishish
shout	anger	0.667	baqirmoq
aggressive	anger	0.667	tajovuzkor
kick	anger	0.667	tepmoq
combat	anger	0.667	jang
fight	anger	0.667	kurash
punished	anger	0.662	jazoladi
yell	anger	0.661	baqirmoq
ambush	anger	0.661	pistirma
harass	anger	0.659	bezovta qilmoq
malignant	anger	0.656	xavfli
aggressor	anger	0.656	tajovuzkor
gore	anger	0.656	qon
destruction	anger	0.656	halokat
grudge	anger	0.656	g'azab
antichrist	anger	0.656	dajjol
incense	anger	0.656	tutatqi
expel	anger	0.656	haydab chiqarish
cranky	anger	0.653	hushyor
slave	anger	0.652	qul
reprisal	anger	0.652	repressiya
growl	anger	0.652	irillamoq
animosity	anger	0.652	adovat
insurrection	anger	0.652	qo'zg'olon
clashing	anger	0.652	to'qnashuv
denounce	anger	0.652	qoralamoq
offended	anger	0.652	xafa bo'lgan
spank	anger	0.652	urish
insulting	anger	0.652	haqoratli
growls	anger	0.649	qichqiradi
executioner	anger	0.644	jallod
twat	anger	0.644	twat
doomsday	anger	0.643	qiyomat kuni
obscenity	anger	0.641	odobsizlik
accused	anger	0.641	ayblanuvchi
feud	anger	0.641	janjal
daemon	anger	0.641	demon
havoc	anger	0.641	vayronalik
shackle	anger	0.641	kishan
inexcusable	anger	0.641	kechirib bo'lmaydigan
indignant	anger	0.641	g'azablangan
grr	anger	0.641	grr
expulsion	anger	0.641	chiqarib yuborish
bombard	anger	0.641	bombardimon qilish
spat	anger	0.641	tupurdi
arson	anger	0.641	o't qo'yish
reprimand	anger	0.641	tanbeh berish
somad	anger	0.637	somad
frustrated	anger	0.636	hafsalasi pir bo'lgan
batter	anger	0.636	xamir
kicking	anger	0.636	tepish
anarchy	anger	0.636	anarxiya
spanking	anger	0.636	urish
glaring	anger	0.636	yaltiroq
suicidal	anger	0.636	o'z joniga qasd qilish
disgusting	anger	0.636	jirkanch
wound	anger	0.636	yara
hanging	anger	0.636	osilgan
poisoned	anger	0.636	zaharlangan
combatant	anger	0.636	jangchi
wrecked	anger	0.633	vayron bo'lgan
inflict	anger	0.633	ta'sir qilish
grievous	anger	0.632	og'ir
prosecute	anger	0.630	jinoiy javobgarlikka tortish
agitated	anger	0.630	hayajonlangan
cheat	anger	0.630	aldash
swastika	anger	0.627	svastika
injure	anger	0.625	shikastlamoq
indict	anger	0.625	ayblov
scourge	anger	0.625	balo
provocation	anger	0.625	provokatsiya
suffocation	anger	0.625	bo'g'ilish
strife	anger	0.625	janjal
raid	anger	0.625	reyd
enslaved	anger	0.625	qul qilingan
cursing	anger	0.625	qarg'ish
defamatory	anger	0.625	tuhmat qiluvchi
harassing	anger	0.625	bezorilik
thundering	anger	0.625	momaqaldiroq
betray	anger	0.625	xiyonat qilish
arsehole	anger	0.624	arsehole
theft	anger	0.621	o'g'irlik
insane	anger	0.621	aqldan ozgan
retaliation	anger	0.621	qasos olish
irritate	anger	0.621	asabiylashtirmoq
deprivation	anger	0.621	mahrumlik
fiend	anger	0.621	shayton
jerk	anger	0.621	jirkanch
convict	anger	0.621	mahkum
cussed	anger	0.619	la'natlangan
turmoil	anger	0.618	tartibsizlik
smack	anger	0.615	urish
retribution	anger	0.614	qasos
rebellion	anger	0.609	isyon
oppressor	anger	0.609	zolim
gang	anger	0.609	to'da
slavery	anger	0.609	qullik
intolerable	anger	0.609	chidab bo'lmas
adverse	anger	0.609	salbiy
injurious	anger	0.609	shikastli
twats	anger	0.609	twats
collision	anger	0.609	to'qnashuv
battery	anger	0.609	batareya
bitterly	anger	0.609	achchiq
antagonism	anger	0.609	qarama-qarshilik
irritability	anger	0.609	asabiylashish
disgraced	anger	0.608	sharmanda qilingan
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Tentak
blast	anger	0.606	portlash
bombardment	anger	0.606	bombardimon qilish
irks	anger	0.606	g'azablanadi
ranting	anger	0.606	qichqiriq
revolution	anger	0.606	inqilob
thug	anger	0.606	bezori
antagonistic	anger	0.606	antagonistik
irritating	anger	0.606	bezovta qiluvchi
sickening	anger	0.606	og'riqli
discrimination	anger	0.606	diskriminatsiya
frustrate	anger	0.604	xafa qilmoq
insult	anger	0.603	haqorat qilish
hurtful	anger	0.603	og'riqli
oppression	anger	0.603	zulm
manipulation	anger	0.603	manipulyatsiya
tiredofit	anger	0.603	charchagan
bigot	anger	0.603	mutaassib
tension	anger	0.603	kuchlanish
disgust	anger	0.602	jirkanish
spite	anger	0.600	g'azab
intrusive	anger	0.598	intruziv
harshness	anger	0.597	qattiqqo'llik
slur	anger	0.596	tuhmat
tempest	anger	0.594	bo'ron
assail	anger	0.594	hujum
bitterness	anger	0.594	achchiqlik
morbidity	anger	0.594	kasallanish
casualty	anger	0.594	qurbon
puncture	anger	0.594	teshik
miserable	anger	0.594	baxtsiz
inferno	anger	0.594	do'zax
invasion	anger	0.594	bosqin
storming	anger	0.594	bo'ron
wretch	anger	0.594	bechora
consternation	anger	0.592	hayrat
raving	anger	0.591	quvnoq
forcibly	anger	0.591	majburan
guillotine	anger	0.591	gilyotin
guilty	anger	0.591	aybdor
depraved	anger	0.591	buzuq
immoral	anger	0.591	axloqsiz
overpowering	anger	0.591	haddan tashqari kuchayish
scare	anger	0.588	qo'rqitish
recalcitrant	anger	0.588	bosh tortuvchi
screwed	anger	0.588	vidalangan
accursed	anger	0.588	la'nati
soannoyed	anger	0.588	g'azablangan
invader	anger	0.588	bosqinchi
jealousy	anger	0.587	hasad
indignation	anger	0.587	g'azab
vexed	anger	0.586	g'azablangan
confront	anger	0.582	duch kelmoq
brute	anger	0.581	qo'pol
throttle	anger	0.579	gaz kelebeği
slut	anger	0.578	fohisha
coup	anger	0.578	to'ntarish
blaze	anger	0.578	alanga
pillage	anger	0.578	talon-taroj qilish
provoking	anger	0.578	qo'zg'atuvchi
damage	anger	0.578	zarar
criminality	anger	0.578	jinoyatchilik
shutup	anger	0.578	Og'zingni yop
lash	anger	0.578	kirpik
conflict	anger	0.578	ziddiyat
contentious	anger	0.578	bahsli
shutit	anger	0.578	shutit
wreck	anger	0.578	halokat
defiant	anger	0.578	bo'ysunuvchi
butcher	anger	0.578	qassob
incarceration	anger	0.578	qamoqqa olish
revolver	anger	0.578	revolver
bickering	anger	0.578	janjal
yousuck	anger	0.578	Siz rasvosiz
cancer	anger	0.577	saraton
discriminate	anger	0.576	diskriminatsiya qilish
gun	anger	0.576	qurol
frustration	anger	0.576	umidsizlik
gory	anger	0.576	qonli
pernicious	anger	0.576	zararli
dontmess	anger	0.576	tartibsizlik
blasphemy	anger	0.576	kufr
chaotic	anger	0.576	xaotik
grope	anger	0.576	paypaslash
alienation	anger	0.576	begonalashish
disturbance	anger	0.576	bezovtalik
condescension	anger	0.576	kamsitish
standoff	anger	0.576	qarama-qarshilik
discord	anger	0.576	kelishmovchilik
friggen	anger	0.575	friggen
sneer	anger	0.574	masxara qilish
death	anger	0.574	o'lim
lunacy	anger	0.574	telbalik
scandalous	anger	0.574	janjal
oppressive	anger	0.574	zolim
jab	anger	0.574	jab
cursed	anger	0.574	la'natlangan
monstrosity	anger	0.574	dahshatlilik
shit	anger	0.573	axir
disparaging	anger	0.571	kamsituvchi
slash	anger	0.571	slash
unfair	anger	0.571	adolatsiz
gallows	anger	0.570	dargoh
escalate	anger	0.569	kuchaymoq
intolerant	anger	0.564	murosasizlik
lawlessness	anger	0.563	qonunsizlik
beast	anger	0.562	hayvon
torpedo	anger	0.562	torpedo
malign	anger	0.562	yomon
traitor	anger	0.562	xoin
frightful	anger	0.562	qo'rqinchli
wrangling	anger	0.562	janjal
slander	anger	0.562	tuhmat
bellows	anger	0.562	körük
retards	anger	0.562	kechikishlar
grouchy	anger	0.562	xira
derogatory	anger	0.562	kamsituvchi
bearish	anger	0.562	ayiq
invade	anger	0.562	bostirib kirish
perdition	anger	0.562	halokat
arghh	anger	0.562	aghh
dreadful	anger	0.562	dahshatli
bluddy	anger	0.562	xira
deceived	anger	0.562	aldangan
glare	anger	0.562	yarqirash
taunt	anger	0.562	masxara qilish
dissension	anger	0.561	kelishmovchilik
cross	anger	0.561	kesib o'tish
rave	anger	0.561	maqtov
grating	anger	0.561	panjara
devastating	anger	0.561	halokatli
fits	anger	0.561	mos keladi
jeopardize	anger	0.561	xavf ostiga qo'yish
shatter	anger	0.561	parchalash
idiots	anger	0.561	ahmoqlar
hurt	anger	0.561	og'riydi
thief	anger	0.561	o'g'ri
uncontrollable	anger	0.561	nazorat qilib bo'lmaydigan
conflagration	anger	0.561	alangalanish
betrayal	anger	0.561	xiyonat
banshee	anger	0.561	banshi
subjugation	anger	0.559	bo'ysunish
disturbed	anger	0.559	bezovta qilgan
stomped	anger	0.557	oyoq osti qildi
grab	anger	0.557	tutmoq
grievance	anger	0.556	xafalik
ticked	anger	0.556	belgilandi
masochism	anger	0.556	mazoxizm
defiance	anger	0.552	bo'ysunmaslik
blackmail	anger	0.550	shantaj
offensive	anger	0.549	hujumkor
decry	anger	0.548	qoralash
frustrates	anger	0.547	xafa qiladi
violation	anger	0.547	buzilishi
confine	anger	0.547	chegaralash
misery	anger	0.547	baxtsizlik
arghhhh	anger	0.547	aghhhh
disparity	anger	0.547	nomutanosiblik
punishment	anger	0.547	jazo
rebel	anger	0.547	isyonchi
preposterous	anger	0.547	bema'ni
disgraceful	anger	0.547	sharmandali
ire	anger	0.547	g'azab
deceive	anger	0.547	aldamoq
fustrated	anger	0.547	asabiylashgan
sin	anger	0.547	gunoh
shrill	anger	0.547	shitirlash
darkside	anger	0.547	mavhum tomoni
overbearing	anger	0.547	haddan tashqari zo'r
firearms	anger	0.547	o'qotar qurollar
stolen	anger	0.546	o'g'irlangan
hadenough	anger	0.546	yetarli
prejudice	anger	0.545	xurofot
tackle	anger	0.545	hal qilish
resentful	anger	0.545	xafa
heated	anger	0.545	isitiladi
callous	anger	0.545	shafqatsiz
conspirator	anger	0.545	fitnachi
ruined	anger	0.545	vayron bo'lgan
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	otishma
menace	anger	0.545	tahdid
annoyin	anger	0.545	bezovta qiluvchi
foul	anger	0.545	yomon
argument	anger	0.545	dalil
humiliate	anger	0.545	kamsitish
wanker	anger	0.545	ahmoq
adversary	anger	0.545	raqib
sting	anger	0.544	chaqish
entangled	anger	0.544	chigallashgan
grumble	anger	0.544	nolimoq
robbery	anger	0.544	talonchilik
outcry	anger	0.544	hayqiriq
resistance	anger	0.543	qarshilik
irreconcilable	anger	0.543	murosasiz
obstructive	anger	0.542	obstruktiv
dismay	anger	0.540	vahima
mob	anger	0.538	olomon
juststop	anger	0.537	shunchaki to'xtating
badness	anger	0.536	yomonlik
ridicule	anger	0.534	masxara qilish
incendiary	anger	0.533	yondiruvchi
flares	anger	0.532	olovlar
twofaced	anger	0.531	ikki yuzli
reckless	anger	0.531	beparvo
communism	anger	0.531	kommunizm
allegation	anger	0.531	da'vo
prejudicial	anger	0.531	noto'g'ri
whip	anger	0.531	qamchi
unbridled	anger	0.531	jilovsiz
degeneracy	anger	0.531	degeneratsiya
intruder	anger	0.531	bosqinchi
belittle	anger	0.531	kamsitish
confinement	anger	0.531	qamoqqa olish
dispute	anger	0.531	bahs
exacerbation	anger	0.531	kuchayishi
uprising	anger	0.531	qo'zg'olon
unjust	anger	0.530	adolatsiz
unjustifiable	anger	0.530	asoslab bo'lmaydigan
perversion	anger	0.530	buzuqlik
bigoted	anger	0.530	mutaassib
fiesty	anger	0.530	shijoatli
offender	anger	0.530	jinoyatchi
dictatorial	anger	0.530	diktatorlik
hassle	anger	0.530	qiyinchilik
dissonance	anger	0.530	dissonans
tackled	anger	0.530	hal qilindi
renegade	anger	0.529	dindan qaytgan
cantstandit	anger	0.529	chiday olmayman
trespass	anger	0.529	huquqbuzarlik
hot	anger	0.529	issiq
prison	anger	0.529	qamoqxona
suicide	anger	0.521	o'z joniga qasd qilish
annoy	anger	0.520	bezovta qilmoq
leavemealone	anger	0.517	meni o'z holimga qo'yinglar
cretins	anger	0.516	kretinlar
depravity	anger	0.516	buzuqlik
idiotic	anger	0.516	ahmoq
dishonest	anger	0.516	insofsiz
distrust	anger	0.516	ishonchsizlik
broil	anger	0.516	qovurmoq
grrr	anger	0.516	grrr
criticize	anger	0.516	tanqid qilish
inimical	anger	0.516	dushman
tortious	anger	0.516	azobli
prisoner	anger	0.516	mahbus
treason	anger	0.516	xiyonat
divorce	anger	0.516	ajralish
venting	anger	0.516	shamollatish
duress	anger	0.516	majburlash
disrespectful	anger	0.516	hurmatsizlik
poaching	anger	0.515	brakonerlik
scold	anger	0.515	tanbeh
poachers	anger	0.515	brakonerlar
pow	anger	0.515	pow
hangry	anger	0.515	och
argumentation	anger	0.515	argumentatsiya
frustrating	anger	0.515	asabiylashtiradigan
unkind	anger	0.515	shafqatsiz
roar	anger	0.515	bo'kirish
coercion	anger	0.515	majburlash
unforgiving	anger	0.515	kechirimsiz
grump	anger	0.515	g'azab
bile	anger	0.515	safro
unleash	anger	0.515	bo'shatish
chaos	anger	0.515	tartibsizlik
victimized	anger	0.515	qurbon bo'ldi
jerks	anger	0.515	jinnilar
tussle	anger	0.514	janjal
bane	anger	0.511	yomon
accusation	anger	0.510	ayblov
enmity	anger	0.510	dushmanlik
repudiation	anger	0.510	rad etish
banish	anger	0.509	haydab chiqarish
disfigured	anger	0.508	buzilgan
storm	anger	0.507	bo'ron
crazy	anger	0.500	aqldan ozgan
hammering	anger	0.500	bolg'a bilan urish
defy	anger	0.500	qarshilik ko'rsatish
antithesis	anger	0.500	antiteza
scoff	anger	0.500	masxara qilish
anguish	anger	0.500	iztirob
confined	anger	0.500	cheklangan
fear	anger	0.500	qo'rquv
bout	anger	0.500	jang
unruly	anger	0.500	itoatsiz
delusional	anger	0.500	xayolparast
obstruct	anger	0.500	to'sqinlik qilmoq
possessed	anger	0.500	egalik qilgan
injustice	anger	0.500	adolatsizlik
fervor	anger	0.500	ishtiyoq
spear	anger	0.500	nayza
derision	anger	0.500	masxara
intractable	anger	0.500	chidab bo'lmas
reject	anger	0.500	rad qilish
dominate	anger	0.500	hukmronlik qiladi
ordeal	anger	0.500	sinov
banished	anger	0.500	surgun qilingan
rejects	anger	0.500	rad etadi
shun	anger	0.500	qochmoq
brunt	anger	0.500	og'ir
derogation	anger	0.500	derogatsiya
frenzied	anger	0.500	g'azablangan
animus	anger	0.500	dushman
suppression	anger	0.500	bostirish
malpractice	anger	0.500	noto'g'ri ishlash
brazen	anger	0.500	shafqatsiz
foaming	anger	0.500	ko'piklanish
disrupting	anger	0.500	buzish
nobodycares	anger	0.500	hech kim qayg'uradi
patronising	anger	0.500	homiylik qilish
getoveryourself	anger	0.495	o'zingni ol
toughness	anger	0.492	qattiqlik
stupidpeople	anger	0.492	ahmoq odamlar
madness	anger	0.491	jinnilik
sinful	anger	0.491	gunohkor
avarice	anger	0.490	ochko'zlik
oppress	anger	0.490	zulm qilish
cutting	anger	0.485	kesish
anathema	anger	0.485	anathema
annoyed	anger	0.485	bezovta
dissident	anger	0.485	dissident
demand	anger	0.485	talab
usurp	anger	0.485	tortib olish
claw	anger	0.485	tirnoq
alienate	anger	0.485	begonalashtirish
infraction	anger	0.485	qoidabuzarlik
avenger	anger	0.485	qasoskor
revoke	anger	0.485	bekor qilish
smuggler	anger	0.485	kontrabandachi
abolish	anger	0.485	bekor qilish
fricking	anger	0.485	friklash
stayaway	anger	0.485	qoling
pervert	anger	0.485	buzuq
disservice	anger	0.485	yomon xizmat
disobedient	anger	0.485	itoatsiz
incest	anger	0.485	insest
complaint	anger	0.485	shikoyat
disapproved	anger	0.485	ma'qullanmagan
inhuman	anger	0.485	g'ayriinsoniy
mocking	anger	0.484	masxara qilish
penalty	anger	0.484	jarima
renounce	anger	0.484	voz kechish
restrain	anger	0.484	cheklash
upheaval	anger	0.484	g'alayon
deceit	anger	0.484	yolg'on
obnoxious	anger	0.484	jirkanch
imprisoned	anger	0.484	qamoqqa olingan
