English Word	Emotion	Emotion-Intensity-Score	Catalan Word
arson	anger	0.641	incendi provocat
reprimand	anger	0.641	amonestació
somad	anger	0.637	somad
frustrated	anger	0.636	frustrat
batter	anger	0.636	batedora
kicking	anger	0.636	donant puntades
anarchy	anger	0.636	anarquia
spanking	anger	0.636	nalgadas
glaring	anger	0.636	fulgurant
suicidal	anger	0.636	suïcida
disgusting	anger	0.636	repugnant
wound	anger	0.636	ferida
hanging	anger	0.636	penjant
poisoned	anger	0.636	enverinat
combatant	anger	0.636	combatent
wrecked	anger	0.633	naufragat
inflict	anger	0.633	infligir
grievous	anger	0.632	lamentable
prosecute	anger	0.630	processar
agitated	anger	0.630	agitat
cheat	anger	0.630	enganyar
swastika	anger	0.627	esvàstica
injure	anger	0.625	ferir
indict	anger	0.625	acusar
scourge	anger	0.625	flagell
provocation	anger	0.625	provocació
suffocation	anger	0.625	asfixia
strife	anger	0.625	lluita
raid	anger	0.625	raid
enslaved	anger	0.625	esclavitzat
cursing	anger	0.625	maleint
defamatory	anger	0.625	difamatori
harassing	anger	0.625	assetjant
thundering	anger	0.625	tronant
betray	anger	0.625	trair
arsehole	anger	0.624	culo
theft	anger	0.621	robatori
insane	anger	0.621	boig
retaliation	anger	0.621	represàlia
irritate	anger	0.621	irritar
deprivation	anger	0.621	privació
fiend	anger	0.621	dimoni
jerk	anger	0.621	idiota
convict	anger	0.621	condemnat
cussed	anger	0.619	maleït
turmoil	anger	0.618	confusió
smack	anger	0.615	cop
retribution	anger	0.614	retribució
rebellion	anger	0.609	rebel·lió
oppressor	anger	0.609	opressor
gang	anger	0.609	colla
slavery	anger	0.609	esclavitud
intolerable	anger	0.609	intolerable
adverse	anger	0.609	adversos
injurious	anger	0.609	perjudicial
twats	anger	0.609	putas
collision	anger	0.609	col·lisió
battery	anger	0.609	pila
bitterly	anger	0.609	amargament
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	irritabilitat
disgraced	anger	0.608	deshonrat
diatribe	anger	0.606	diatriba
asshole	anger	0.606	idiota
blast	anger	0.606	explosió
bombardment	anger	0.606	bombardeig
irks	anger	0.606	irritacions
ranting	anger	0.606	devagar
revolution	anger	0.606	revolució
thug	anger	0.606	brètol
antagonistic	anger	0.606	antagònic
irritating	anger	0.606	irritant
sickening	anger	0.606	malaltissa
discrimination	anger	0.606	discriminació
frustrate	anger	0.604	frustrar
insult	anger	0.603	insult
hurtful	anger	0.603	ferint
oppression	anger	0.603	opressió
manipulation	anger	0.603	manipulació
tiredofit	anger	0.603	cansat
bigot	anger	0.603	fanàtic
tension	anger	0.603	tensió
disgust	anger	0.602	fàstic
spite	anger	0.600	malgrat
intrusive	anger	0.598	intrusiu
harshness	anger	0.597	duresa
slur	anger	0.596	insult
tempest	anger	0.594	tempesta
assail	anger	0.594	assaltar
bitterness	anger	0.594	amargor
morbidity	anger	0.594	morbilitat
casualty	anger	0.594	víctima
puncture	anger	0.594	punxada
miserable	anger	0.594	miserable
inferno	anger	0.594	infern
invasion	anger	0.594	invasió
storming	anger	0.594	tempesta
wretch	anger	0.594	miserable
consternation	anger	0.592	consternació
raving	anger	0.591	delirant
forcibly	anger	0.591	per força
guillotine	anger	0.591	guillotina
guilty	anger	0.591	culpable
depraved	anger	0.591	depravada
immoral	anger	0.591	immoral
overpowering	anger	0.591	aclaparador
scare	anger	0.588	por
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	cargolat
accursed	anger	0.588	maleït
soannoyed	anger	0.588	tan enfadat
invader	anger	0.588	invasor
jealousy	anger	0.587	gelosia
indignation	anger	0.587	indignació
vexed	anger	0.586	enfadat
confront	anger	0.582	enfrontar-se
brute	anger	0.581	brut
throttle	anger	0.579	accelerador
slut	anger	0.578	puta
coup	anger	0.578	cop d'estat
blaze	anger	0.578	flamejar
pillage	anger	0.578	saqueig
provoking	anger	0.578	provocant
damage	anger	0.578	dany
criminality	anger	0.578	criminalitat
shutup	anger	0.578	calla
lash	anger	0.578	pestanya
conflict	anger	0.578	conflicte
contentious	anger	0.578	polèmica
shutit	anger	0.578	calla
wreck	anger	0.578	naufragi
defiant	anger	0.578	desafiant
butcher	anger	0.578	carnisser
incarceration	anger	0.578	empresonament
revolver	anger	0.578	revòlver
bickering	anger	0.578	baralla
yousuck	anger	0.578	puta
cancer	anger	0.577	càncer
discriminate	anger	0.576	discriminar
gun	anger	0.576	pistola
frustration	anger	0.576	frustració
gory	anger	0.576	sangrienta
pernicious	anger	0.576	perniciosa
dontmess	anger	0.576	no embolicar
blasphemy	anger	0.576	blasfèmia
chaotic	anger	0.576	caòtic
grope	anger	0.576	palpar
alienation	anger	0.576	alienació
disturbance	anger	0.576	pertorbació
condescension	anger	0.576	condescendència
standoff	anger	0.576	parada
discord	anger	0.576	discòrdia
friggen	anger	0.575	friggen
sneer	anger	0.574	riure
death	anger	0.574	mort
lunacy	anger	0.574	bogeria
scandalous	anger	0.574	escandalosa
oppressive	anger	0.574	opressiu
jab	anger	0.574	cop
cursed	anger	0.574	Maleït
monstrosity	anger	0.574	monstruositat
shit	anger	0.573	merda
disparaging	anger	0.571	menyspreant
slash	anger	0.571	barra
unfair	anger	0.571	injust
gallows	anger	0.570	forca
escalate	anger	0.569	escalar
intolerant	anger	0.564	intolerant
lawlessness	anger	0.563	il·legalitat
beast	anger	0.562	bèstia
torpedo	anger	0.562	torpede
malign	anger	0.562	maligne
traitor	anger	0.562	traïdor
frightful	anger	0.562	espantós
wrangling	anger	0.562	baralla
slander	anger	0.562	calúmnies
bellows	anger	0.562	manxes
retards	anger	0.562	retardats
grouchy	anger	0.562	groller
derogatory	anger	0.562	despectiu
bearish	anger	0.562	baixista
invade	anger	0.562	envair
perdition	anger	0.562	perdició
arghh	anger	0.562	arghh
dreadful	anger	0.562	terrible
bluddy	anger	0.562	bluddy
deceived	anger	0.562	enganyat
glare	anger	0.562	enlluernament
taunt	anger	0.562	burla
dissension	anger	0.561	dissensió
cross	anger	0.561	creu
rave	anger	0.561	deliri
grating	anger	0.561	reixa
devastating	anger	0.561	devastador
fits	anger	0.561	encaixa
jeopardize	anger	0.561	posar en perill
shatter	anger	0.561	fer miques
idiots	anger	0.561	idiotes
hurt	anger	0.561	ferit
thief	anger	0.561	lladre
uncontrollable	anger	0.561	incontrolable
conflagration	anger	0.561	conflagració
betrayal	anger	0.561	traïció
banshee	anger	0.561	banshee
subjugation	anger	0.559	submissió
disturbed	anger	0.559	pertorbat
stomped	anger	0.557	trepitjat
grab	anger	0.557	agafar
grievance	anger	0.556	greuge
ticked	anger	0.556	marcat
masochism	anger	0.556	masoquisme
defiance	anger	0.552	desafiament
blackmail	anger	0.550	xantatge
offensive	anger	0.549	ofensiu
decry	anger	0.548	censurar
frustrates	anger	0.547	frustra
violation	anger	0.547	violació
confine	anger	0.547	confinar
misery	anger	0.547	misèria
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparitat
punishment	anger	0.547	càstig
rebel	anger	0.547	rebel
preposterous	anger	0.547	absurd
disgraceful	anger	0.547	vergonyós
ire	anger	0.547	ire
deceive	anger	0.547	enganyar
fustrated	anger	0.547	frustrat
sin	anger	0.547	pecat
shrill	anger	0.547	agut
darkside	anger	0.547	costat fosc
overbearing	anger	0.547	prepotent
firearms	anger	0.547	armes de foc
stolen	anger	0.546	robat
hadenough	anger	0.546	haden prou
prejudice	anger	0.545	prejudici
tackle	anger	0.545	abordar
resentful	anger	0.545	ressentit
heated	anger	0.545	escalfat
callous	anger	0.545	callós
conspirator	anger	0.545	conspirador
ruined	anger	0.545	arruïnat
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	escaramuza
menace	anger	0.545	amenaça
annoyin	anger	0.545	molestar
foul	anger	0.545	falta
argument	anger	0.545	argument
humiliate	anger	0.545	humiliar
wanker	anger	0.545	pallador
adversary	anger	0.545	adversari
sting	anger	0.544	picada
entangled	anger	0.544	enredat
grumble	anger	0.544	murmurar
robbery	anger	0.544	robatori
outcry	anger	0.544	crit
resistance	anger	0.543	resistència
irreconcilable	anger	0.543	irreconciliable
obstructive	anger	0.542	obstructiva
dismay	anger	0.540	consternació
mob	anger	0.538	turba
juststop	anger	0.537	Només para
badness	anger	0.536	maldat
ridicule	anger	0.534	ridícul
incendiary	anger	0.533	incendiari
flares	anger	0.532	bengales
twofaced	anger	0.531	de dues cares
reckless	anger	0.531	imprudent
communism	anger	0.531	comunisme
allegation	anger	0.531	al · legació
prejudicial	anger	0.531	prejudicial
whip	anger	0.531	fuet
unbridled	anger	0.531	desenfrenat
degeneracy	anger	0.531	degeneració
intruder	anger	0.531	intrús
belittle	anger	0.531	menystenir
confinement	anger	0.531	confinament
dispute	anger	0.531	disputa
exacerbation	anger	0.531	exacerbació
uprising	anger	0.531	aixecament
unjust	anger	0.530	injust
unjustifiable	anger	0.530	injustificable
perversion	anger	0.530	perversió
bigoted	anger	0.530	fanàtic
fiesty	anger	0.530	fogosa
offender	anger	0.530	delinqüent
dictatorial	anger	0.530	dictatorial
hassle	anger	0.530	molèstia
dissonance	anger	0.530	dissonància
tackled	anger	0.530	abordat
renegade	anger	0.529	renegat
cantstandit	anger	0.529	no puc estar
trespass	anger	0.529	traspassar
hot	anger	0.529	calent
prison	anger	0.529	presó
suicide	anger	0.521	suïcidi
annoy	anger	0.520	molestar
leavemealone	anger	0.517	Deixa'm sol
cretins	anger	0.516	cretins
depravity	anger	0.516	depravació
idiotic	anger	0.516	idiota
dishonest	anger	0.516	deshonest
distrust	anger	0.516	desconfiança
broil	anger	0.516	rostir
grrr	anger	0.516	grrr
criticize	anger	0.516	criticar
inimical	anger	0.516	hostil
tortious	anger	0.516	tortuós
prisoner	anger	0.516	pres
treason	anger	0.516	traïció
divorce	anger	0.516	divorci
venting	anger	0.516	ventilació
duress	anger	0.516	coacció
disrespectful	anger	0.516	irrespectuós
poaching	anger	0.515	caça furtiva
scold	anger	0.515	renyar
poachers	anger	0.515	caçadors furtius
pow	anger	0.515	pow
hangry	anger	0.515	amb gana
argumentation	anger	0.515	argumentació
frustrating	anger	0.515	frustrant
unkind	anger	0.515	desagradable
roar	anger	0.515	rugir
coercion	anger	0.515	coerció
unforgiving	anger	0.515	implacable
grump	anger	0.515	grunyit
bile	anger	0.515	bilis
unleash	anger	0.515	deslligar
chaos	anger	0.515	Chaos
victimized	anger	0.515	victimitzat
jerks	anger	0.515	idiotes
tussle	anger	0.514	baralla
bane	anger	0.511	maledicció
accusation	anger	0.510	acusació
enmity	anger	0.510	enemistat
repudiation	anger	0.510	repudi
banish	anger	0.509	desterrar
disfigured	anger	0.508	desfigurat
storm	anger	0.507	tempesta
crazy	anger	0.500	boig
hammering	anger	0.500	martellejant
defy	anger	0.500	desafiar
antithesis	anger	0.500	antítesi
scoff	anger	0.500	burlar-se
anguish	anger	0.500	angoixa
confined	anger	0.500	confinat
fear	anger	0.500	por
bout	anger	0.500	combat
unruly	anger	0.500	indisciplinat
delusional	anger	0.500	delirant
obstruct	anger	0.500	obstruir
possessed	anger	0.500	posseït
injustice	anger	0.500	injustícia
fervor	anger	0.500	fervor
spear	anger	0.500	llança
derision	anger	0.500	burla
intractable	anger	0.500	intratable
reject	anger	0.500	rebutjar
dominate	anger	0.500	dominar
ordeal	anger	0.500	calvari
banished	anger	0.500	desterrat
rejects	anger	0.500	rebutja
shun	anger	0.500	defugir
brunt	anger	0.500	pes
derogation	anger	0.500	derogació
frenzied	anger	0.500	frenètic
animus	anger	0.500	animus
suppression	anger	0.500	supressió
malpractice	anger	0.500	mala praxi
brazen	anger	0.500	descarat
foaming	anger	0.500	fent escuma
disrupting	anger	0.500	pertorbador
nobodycares	anger	0.500	A ningú li importa
patronising	anger	0.500	patrocinador
getoveryourself	anger	0.495	Supera't
toughness	anger	0.492	duresa
stupidpeople	anger	0.492	la gent estúpida
madness	anger	0.491	bogeria
sinful	anger	0.491	pecador
avarice	anger	0.490	avarícia
oppress	anger	0.490	oprimir
cutting	anger	0.485	tall
anathema	anger	0.485	anatema
annoyed	anger	0.485	molest
dissident	anger	0.485	dissident
demand	anger	0.485	demanda
usurp	anger	0.485	usurpar
claw	anger	0.485	urpa
alienate	anger	0.485	alienar
infraction	anger	0.485	infracció
avenger	anger	0.485	venjador
revoke	anger	0.485	revocar
smuggler	anger	0.485	contrabandista
abolish	anger	0.485	abolir
fricking	anger	0.485	fricció
stayaway	anger	0.485	Allunya't
pervert	anger	0.485	pervertit
disservice	anger	0.485	desservei
disobedient	anger	0.485	desobedient
incest	anger	0.485	incest
complaint	anger	0.485	denúncia
disapproved	anger	0.485	desaprovat
inhuman	anger	0.485	inhumà
mocking	anger	0.484	burlant
penalty	anger	0.484	penalització
renounce	anger	0.484	renunciar
restrain	anger	0.484	refrenar
upheaval	anger	0.484	trasbals
deceit	anger	0.484	engany
obnoxious	anger	0.484	desagradable
imprisoned	anger	0.484	empresonat
strained	anger	0.484	colat
blame	anger	0.484	culpa
oust	anger	0.484	expulsar
litigious	anger	0.484	litigiós
rivalry	anger	0.484	rivalitat
sucker	anger	0.484	xuclador
opposed	anger	0.484	oposat
thresh	anger	0.484	batre
disgrace	anger	0.484	desgràcia
suspicious	anger	0.484	sospitós
turbulence	anger	0.483	turbulència
pound	anger	0.481	lliura
coldness	anger	0.477	fredor
ungrateful	anger	0.472	desagraït
stoopid	anger	0.471	estúpid
battalion	anger	0.471	batalló
feudalism	anger	0.470	feudalisme
hostage	anger	0.470	ostatge
annoying	anger	0.470	molest
dispossessed	anger	0.470	desposseïts
subversion	anger	0.470	subversió
friction	anger	0.470	fricció
jealous	anger	0.470	gelós
adversity	anger	0.470	adversitat
infidel	anger	0.470	infidel
gall	anger	0.470	fel
accuser	anger	0.470	acusador
ram	anger	0.470	ram
armament	anger	0.470	armament
thump	anger	0.469	cop
dislike	anger	0.469	desagradar
steal	anger	0.469	robar
backoff	anger	0.469	marxa enrere
stifled	anger	0.469	sufocat
incite	anger	0.469	incitar
distress	anger	0.469	angoixa
angermanagement	anger	0.469	maneig de la ira
selfish	anger	0.469	egoista
injury	anger	0.469	lesió
exile	anger	0.469	exili
insanity	anger	0.469	bogeria
offense	anger	0.469	ofensa
objection	anger	0.469	objecció
smother	anger	0.469	sufocar
disruption	anger	0.469	interrupció
intolerance	anger	0.469	intolerància
disobey	anger	0.469	desobeir
selfishness	anger	0.469	egoisme
recidivism	anger	0.469	reincidència
subversive	anger	0.469	subversiu
huff	anger	0.469	xuf
plunder	anger	0.469	saqueig
opposition	anger	0.469	oposició
complain	anger	0.469	queixar-se
perpetrator	anger	0.469	autor
simmer	anger	0.469	bullir a foc lent
areyoukidding	anger	0.468	estàs de broma
mug	anger	0.467	tassa
agony	anger	0.465	agonia
arrogant	anger	0.461	arrogant
sux	anger	0.456	sux
vent	anger	0.456	ventilació
elimination	anger	0.456	eliminació
picketing	anger	0.456	piquetatge
haughty	anger	0.456	altiu
grated	anger	0.455	ratllat
flagrant	anger	0.455	flagrant
busted	anger	0.455	rebentat
crabby	anger	0.455	crapós
dying	anger	0.455	morint
idiocy	anger	0.455	idiotesa
impermeable	anger	0.455	impermeable
stubbed	anger	0.455	punxat
illegality	anger	0.455	il·legalitat
veto	anger	0.455	veto
constraint	anger	0.455	restricció
mislead	anger	0.455	enganyar
illicit	anger	0.455	il·lícit
troublesome	anger	0.455	problemàtic
clamor	anger	0.455	clamor
bayonet	anger	0.453	baioneta
suppress	anger	0.453	suprimir
intense	anger	0.453	intens
displeased	anger	0.453	disgustat
disapproving	anger	0.453	desaprovar
hysterical	anger	0.453	histèric
struggle	anger	0.453	lluitar
godless	anger	0.453	sense Déu
desist	anger	0.453	desistir
usurped	anger	0.453	usurpat
