English Word	Emotion	Emotion-Intensity-Score	Chichewa Word
punching	anger	0.803	kukhomerera
slam	anger	0.803	slam
homicide	anger	0.803	kupha
bitch	anger	0.803	kuluma
fights	anger	0.803	ndewu
ruthless	anger	0.797	wopanda chifundo
villainous	anger	0.797	woipa
destructive	anger	0.797	zowononga
slap	anger	0.791	mbama
riot	anger	0.788	chipolowe
growthefuckup	anger	0.788	kukula
punishing	anger	0.788	kulanga
slaughterhouse	anger	0.788	nyumba yophera
yelling	anger	0.788	kulira
diabolical	anger	0.788	wauchiwanda
destroyed	anger	0.788	kuwonongedwa
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	wobwezera
manslaughter	anger	0.783	kupha munthu
clash	anger	0.783	kulimbana
quarrel	anger	0.781	kukangana
bloody	anger	0.781	wamagazi
hellish	anger	0.781	gehena
sinister	anger	0.781	woyipa
loath	anger	0.781	kunyansidwa
detonation	anger	0.781	kuphulitsa
accusing	anger	0.779	kuimba mlandu
fumin	anger	0.779	mafuni
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	wachinyengo
madder	anger	0.773	misala
horrific	anger	0.773	zoopsa
revulsion	anger	0.773	kuipidwa
retaliate	anger	0.773	kubwezera
scorn	anger	0.769	kunyoza
bomb	anger	0.766	bomba
deplorable	anger	0.766	zomvetsa chisoni
devastation	anger	0.765	chiwonongeko
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	mkuntho
resent	anger	0.765	kukhumudwa
contemptible	anger	0.764	wonyozeka
shittest	anger	0.760	zoyipa
rant	anger	0.758	phokoso
cruel	anger	0.758	wankhanza
deadly	anger	0.758	zakupha
smash	anger	0.758	smash
soangry	anger	0.758	wachisoni
outburst	anger	0.757	kuphulika
snarl	anger	0.754	snarl
profane	anger	0.750	zachipongwe
revolting	anger	0.750	wopanduka
aggravating	anger	0.750	kukulitsa
horror	anger	0.750	mantha
despise	anger	0.750	kunyoza
offend	anger	0.750	kukhumudwitsa
stfu	anger	0.750	stfu
vulgarity	anger	0.750	zamwano
crazed	anger	0.750	wamisala
douchebags	anger	0.750	matumba
growling	anger	0.750	kulira
dontmesswithme	anger	0.750	musandimenye
screaming	anger	0.742	kukuwa
threat	anger	0.742	kuwopseza
erupt	anger	0.742	kuphulika
horrible	anger	0.742	zoopsa
molestation	anger	0.742	kuzunza
fuckedoff	anger	0.742	adachita manyazi
violence	anger	0.742	chiwawa
bastards	anger	0.741	apathengo
revenge	anger	0.738	kubwezera
menacing	anger	0.735	kuwopseza
crushing	anger	0.735	kuphwanya
damn	anger	0.735	Asa
catastrophe	anger	0.735	tsoka
demon	anger	0.735	chiwanda
argue	anger	0.734	kutsutsana
persecute	anger	0.734	kuzunza
deplore	anger	0.734	kudandaula
flog	anger	0.734	kukwapula
fedup	anger	0.734	kwanidwa
riotous	anger	0.734	zachiwawa
vehement	anger	0.734	mphamvu
revolt	anger	0.734	kuwukira
warfare	anger	0.734	nkhondo
thrash	anger	0.734	thrash
altercation	anger	0.729	kukangana
warlike	anger	0.728	ngati nkhondo
shitday	anger	0.727	tsiku
mutiny	anger	0.727	chisokonezo
castrate	anger	0.727	othena
sabotage	anger	0.727	kuwononga
malevolent	anger	0.721	wankhanza
strike	anger	0.721	menyani
disaster	anger	0.721	tsoka
disastrous	anger	0.720	zoopsa
bastarding	anger	0.719	wachiwerewere
treachery	anger	0.719	chinyengo
arseholes	anger	0.719	mabowo
horseshit	anger	0.719	kavalo
slay	anger	0.719	kupha
disdain	anger	0.719	kunyoza
aggravates	anger	0.719	zimakulitsa
brutal	anger	0.719	wankhanza
scorching	anger	0.719	kuyaka
devil	anger	0.719	mdierekezi
madden	anger	0.719	wamisala
spiteful	anger	0.719	zamwano
scream	anger	0.719	kukuwa
choke	anger	0.719	kutsamwitsa
vermin	anger	0.719	nsozi
tumult	anger	0.719	phokoso
criminal	anger	0.714	chigawenga
mangle	anger	0.714	mgulu
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	kudulidwa
denunciation	anger	0.713	kudzudzula
punch	anger	0.713	nkhonya
virulence	anger	0.712	nkhanza
fatal	anger	0.712	zakupha
hurting	anger	0.712	kupweteka
crucifixion	anger	0.712	kupachikidwa
dontlikeyou	anger	0.712	sindimakukondani
blasphemous	anger	0.712	mwano
holocaust	anger	0.712	chiwonongeko
dumbasses	anger	0.712	zibwana
battled	anger	0.712	nkhondo
deranged	anger	0.706	wosokonezeka
irritated	anger	0.706	kukwiyitsidwa
atrocious	anger	0.706	wankhanza
evil	anger	0.706	zoipa
aggravated	anger	0.703	kulira
intimidation	anger	0.703	kuwopseza
dicks	anger	0.703	zikomo
assassin	anger	0.703	wakupha
scolding	anger	0.703	kudzudzula
persecution	anger	0.703	kuzunzidwa
slayer	anger	0.703	wakupha
kidnap	anger	0.703	kulanda
aggression	anger	0.702	chiwawa
armed	anger	0.700	zida
battle	anger	0.697	nkhondo
poison	anger	0.697	poizoni
snarling	anger	0.697	kukuwa
venom	anger	0.697	utsi
disgruntled	anger	0.693	wosakondwa
resentment	anger	0.691	mkwiyo
assailant	anger	0.691	wachiwembu
insidious	anger	0.691	wonyenga
contemptuous	anger	0.690	wonyoza
lynch	anger	0.690	lynch
temper	anger	0.688	mkwiyo
terrible	anger	0.688	zoopsa
disparage	anger	0.688	kunyoza
lunatic	anger	0.688	wamisala
bully	anger	0.688	wozunza
mad	anger	0.688	wamisala
makesmemad	anger	0.688	makemad
infanticide	anger	0.688	kupha ana
domination	anger	0.688	ulamuliro
peeved	anger	0.688	peeved
imprisonment	anger	0.688	kumangidwa
curse	anger	0.688	temberero
volatility	anger	0.687	kusakhazikika
eradication	anger	0.685	kuthetsa
eradicate	anger	0.682	thetsa
tantrum	anger	0.682	kukwiya
scoundrel	anger	0.682	wachipongwe
devastate	anger	0.682	wononga
aggressively	anger	0.680	mwamakani
agitation	anger	0.680	chipwirikiti
dictatorship	anger	0.676	ulamuliro wankhanza
irritates	anger	0.676	amakwiyitsa
profanity	anger	0.673	kutukwana
shove	anger	0.672	kukankha
nasty	anger	0.672	zoipa
shot	anger	0.672	kuwomberedwa
cruelly	anger	0.672	mwankhanza
shoot	anger	0.672	kuwombera
condemnation	anger	0.672	kutsutsidwa
crushed	anger	0.672	wophwanyidwa
aggravation	anger	0.672	kukulitsa
poisonous	anger	0.672	chakupha
egregious	anger	0.672	zazikulu
crime	anger	0.672	umbanda
corrupting	anger	0.672	zowononga
dastardly	anger	0.672	mwamwayi
contempt	anger	0.672	kunyoza
harmful	anger	0.672	zovulaza
expletive	anger	0.672	zotukwana
wreak	anger	0.672	kuwonongeka
maniac	anger	0.670	wamisala
cutthroat	anger	0.667	khosi
enemy	anger	0.667	mdani
hit	anger	0.667	kugunda
hateeveryone	anger	0.667	adani aliyense
eruption	anger	0.667	kuphulika
irritable	anger	0.667	wokwiya
odious	anger	0.667	zonyansa
shooting	anger	0.667	kuwombera
shout	anger	0.667	fuula
aggressive	anger	0.667	mwaukali
kick	anger	0.667	kukankha
combat	anger	0.667	kulimbana
fight	anger	0.667	ndewu
punished	anger	0.662	kulangidwa
yell	anger	0.661	kulira
ambush	anger	0.661	kubisalira
harass	anger	0.659	zunza
malignant	anger	0.656	zoipa
aggressor	anger	0.656	wankhanza
gore	anger	0.656	gore
destruction	anger	0.656	chiwonongeko
grudge	anger	0.656	mkwiyo
antichrist	anger	0.656	wokana Khristu
incense	anger	0.656	zofukiza
expel	anger	0.656	tulutsa
cranky	anger	0.653	wopenga
slave	anger	0.652	kapolo
reprisal	anger	0.652	kubwezera
growl	anger	0.652	kulira
animosity	anger	0.652	chidani
insurrection	anger	0.652	kuwukira
clashing	anger	0.652	kukangana
denounce	anger	0.652	kutsutsa
offended	anger	0.652	kukhumudwa
spank	anger	0.652	kumenya
insulting	anger	0.652	mwano
growls	anger	0.649	kulira
executioner	anger	0.644	wakupha
twat	anger	0.644	zomwe
doomsday	anger	0.643	tsiku lachiweruzo
obscenity	anger	0.641	zotukwana
accused	anger	0.641	woimbidwa mlandu
feud	anger	0.641	mkangano
daemon	anger	0.641	daemon
havoc	anger	0.641	chisokonezo
shackle	anger	0.641	unyolo
inexcusable	anger	0.641	wosawiringula
indignant	anger	0.641	wokwiya
grr	anger	0.641	grr
expulsion	anger	0.641	kuthamangitsidwa
bombard	anger	0.641	bomba
spat	anger	0.641	kulavulira
arson	anger	0.641	kuwotcha
reprimand	anger	0.641	kudzudzula
somad	anger	0.637	soma
frustrated	anger	0.636	kukhumudwa
batter	anger	0.636	menya
kicking	anger	0.636	kukankha
anarchy	anger	0.636	chisokonezo
spanking	anger	0.636	kukwapula
glaring	anger	0.636	kuyang'anitsitsa
suicidal	anger	0.636	wodzipha
disgusting	anger	0.636	zonyansa
wound	anger	0.636	chilonda
hanging	anger	0.636	kulendewera
poisoned	anger	0.636	wakupha
combatant	anger	0.636	wankhondo
wrecked	anger	0.633	wosweka
inflict	anger	0.633	bweretsa
grievous	anger	0.632	zowawa
prosecute	anger	0.630	kuimba mlandu
agitated	anger	0.630	wokwiya
cheat	anger	0.630	kunyenga
swastika	anger	0.627	swastika
injure	anger	0.625	kuvulaza
indict	anger	0.625	mlandu
scourge	anger	0.625	mliri
provocation	anger	0.625	kuputa
suffocation	anger	0.625	Kulephera kupuma
strife	anger	0.625	ndewu
raid	anger	0.625	kuukira
enslaved	anger	0.625	kukhala akapolo
cursing	anger	0.625	kutukwana
defamatory	anger	0.625	woipitsa mbiri
harassing	anger	0.625	kuzunza
thundering	anger	0.625	bingu
betray	anger	0.625	pereka
arsehole	anger	0.624	dzenje
theft	anger	0.621	kuba
insane	anger	0.621	wamisala
retaliation	anger	0.621	kubwezera
irritate	anger	0.621	kukwiyitsa
deprivation	anger	0.621	kusowa
fiend	anger	0.621	imfa
jerk	anger	0.621	kugwedeza
convict	anger	0.621	wolakwa
cussed	anger	0.619	wotukwana
turmoil	anger	0.618	chipwirikiti
smack	anger	0.615	kumenya
retribution	anger	0.614	kubwezera
rebellion	anger	0.609	kupanduka
oppressor	anger	0.609	wopondereza
gang	anger	0.609	gulu
slavery	anger	0.609	ukapolo
intolerable	anger	0.609	wosapiririka
adverse	anger	0.609	wotsutsa
injurious	anger	0.609	zovulaza
twats	anger	0.609	mawu
collision	anger	0.609	kugundana
battery	anger	0.609	batire
bitterly	anger	0.609	zowawa
antagonism	anger	0.609	kutsutsa
irritability	anger	0.609	kukwiya
disgraced	anger	0.608	manyazi
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Chitsiru
blast	anger	0.606	kuphulika
bombardment	anger	0.606	mabomba
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	kusintha
thug	anger	0.606	chigawenga
antagonistic	anger	0.606	wotsutsa
irritating	anger	0.606	chokwiyitsa
sickening	anger	0.606	kudwala
discrimination	anger	0.606	tsankho
frustrate	anger	0.604	kukhumudwitsa
insult	anger	0.603	chipongwe
hurtful	anger	0.603	zopweteka
oppression	anger	0.603	kuponderezana
manipulation	anger	0.603	kusokoneza
tiredofit	anger	0.603	kutopa
bigot	anger	0.603	wamkulu
tension	anger	0.603	kukangana
disgust	anger	0.602	kunyansidwa
spite	anger	0.600	ngakhale
intrusive	anger	0.598	wosokoneza
harshness	anger	0.597	nkhanza
slur	anger	0.596	slur
tempest	anger	0.594	mphepo yamkuntho
assail	anger	0.594	kuukira
bitterness	anger	0.594	kuwawa
morbidity	anger	0.594	matenda
casualty	anger	0.594	wovulala
puncture	anger	0.594	kubowola
miserable	anger	0.594	wachisoni
inferno	anger	0.594	inferno
invasion	anger	0.594	kuwukira
storming	anger	0.594	mphepo yamkuntho
wretch	anger	0.594	watsoka
consternation	anger	0.592	kuda nkhawa
raving	anger	0.591	raving
forcibly	anger	0.591	mokakamiza
guillotine	anger	0.591	guillotine
guilty	anger	0.591	wolakwa
depraved	anger	0.591	woipa
immoral	anger	0.591	wachiwerewere
overpowering	anger	0.591	mopambanitsa
scare	anger	0.588	mantha
recalcitrant	anger	0.588	wokana
screwed	anger	0.588	khwekhwe
accursed	anger	0.588	wotembereredwa
soannoyed	anger	0.588	wokhumudwa
invader	anger	0.588	wowukira
jealousy	anger	0.587	nsanje
indignation	anger	0.587	mkwiyo
vexed	anger	0.586	kukhumudwa
confront	anger	0.582	kulimbana
brute	anger	0.581	wankhanza
throttle	anger	0.579	kupuma
slut	anger	0.578	slut
coup	anger	0.578	kulanda boma
blaze	anger	0.578	moto
pillage	anger	0.578	kulanda
provoking	anger	0.578	kuputa
damage	anger	0.578	kuwonongeka
criminality	anger	0.578	umbanda
shutup	anger	0.578	Khalani chete
lash	anger	0.578	kukwapula
conflict	anger	0.578	kukangana
contentious	anger	0.578	wokangana
shutit	anger	0.578	kutseka
wreck	anger	0.578	kuwonongeka
defiant	anger	0.578	wosamvera
butcher	anger	0.578	wopha nyama
incarceration	anger	0.578	kutsekeredwa m’ndende
revolver	anger	0.578	mfuti
bickering	anger	0.578	kukangana
yousuck	anger	0.578	ukuchititsa manyazi
cancer	anger	0.577	khansa
discriminate	anger	0.576	kusankhana
gun	anger	0.576	mfuti
frustration	anger	0.576	kukhumudwa
gory	anger	0.576	gory
pernicious	anger	0.576	woipa
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	mwano
chaotic	anger	0.576	chipwirikiti
grope	anger	0.576	kupapasa
alienation	anger	0.576	kulekanitsidwa
disturbance	anger	0.576	chisokonezo
condescension	anger	0.576	kudzichepetsa
standoff	anger	0.576	kuyimirira
discord	anger	0.576	kusagwirizana
friggen	anger	0.575	furiji
sneer	anger	0.574	monyodola
death	anger	0.574	imfa
lunacy	anger	0.574	wamisala
scandalous	anger	0.574	zamanyazi
oppressive	anger	0.574	wopondereza
jab	anger	0.574	jab
cursed	anger	0.574	wotembereredwa
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	zoyipa
disparaging	anger	0.571	kunyoza
slash	anger	0.571	slash
unfair	anger	0.571	zopanda chilungamo
gallows	anger	0.570	mtengo
escalate	anger	0.569	kukwera
intolerant	anger	0.564	wosalolera
lawlessness	anger	0.563	kusayeruzika
beast	anger	0.562	chilombo
torpedo	anger	0.562	torpedo
malign	anger	0.562	zoipa
traitor	anger	0.562	wachiwembu
frightful	anger	0.562	zochititsa mantha
wrangling	anger	0.562	kulimbana
slander	anger	0.562	miseche
bellows	anger	0.562	mvuvu
retards	anger	0.562	ochedwetsa
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	wonyoza
bearish	anger	0.562	bearish
invade	anger	0.562	ukira
perdition	anger	0.562	chiwonongeko
arghh	anger	0.562	argh
dreadful	anger	0.562	zowopsya
bluddy	anger	0.562	buluu
deceived	anger	0.562	kunyengedwa
glare	anger	0.562	kuwala
taunt	anger	0.562	kunyoza
dissension	anger	0.561	kusagwirizana
cross	anger	0.561	mtanda
rave	anger	0.561	rave
grating	anger	0.561	kukwapula
devastating	anger	0.561	zowononga
fits	anger	0.561	zoyenera
jeopardize	anger	0.561	kuyika pachiwopsezo
shatter	anger	0.561	kuswa
idiots	anger	0.561	zitsiru
hurt	anger	0.561	kupweteka
thief	anger	0.561	wakuba
uncontrollable	anger	0.561	osalamulirika
conflagration	anger	0.561	moto
betrayal	anger	0.561	kuperekedwa
banshee	anger	0.561	bansi
subjugation	anger	0.559	kugonjera
disturbed	anger	0.559	kusokonezedwa
stomped	anger	0.557	adaponda
grab	anger	0.557	gwira
grievance	anger	0.556	dandaulo
ticked	anger	0.556	konda
masochism	anger	0.556	masochism
defiance	anger	0.552	kusamvera
blackmail	anger	0.550	zakuda
offensive	anger	0.549	zokhumudwitsa
decry	anger	0.548	kudandaula
frustrates	anger	0.547	amakhumudwitsa
violation	anger	0.547	kuphwanya
confine	anger	0.547	chepetsa
misery	anger	0.547	chisoni
arghhhh	anger	0.547	arghh
disparity	anger	0.547	kusiyana
punishment	anger	0.547	chilango
rebel	anger	0.547	wopanduka
preposterous	anger	0.547	wopusa
disgraceful	anger	0.547	zamanyazi
ire	anger	0.547	ndi
deceive	anger	0.547	kunyenga
fustrated	anger	0.547	wokhumudwa
sin	anger	0.547	tchimo
shrill	anger	0.547	kukuwa
darkside	anger	0.547	mdima
overbearing	anger	0.547	wopondereza
firearms	anger	0.547	mfuti
stolen	anger	0.546	kubedwa
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	tsankho
tackle	anger	0.545	kulimbana
resentful	anger	0.545	woipidwa
heated	anger	0.545	kutentha
callous	anger	0.545	wosalimba mtima
conspirator	anger	0.545	wochitira chiwembu
ruined	anger	0.545	wonongeka
antagonist	anger	0.545	wotsutsa
skirmish	anger	0.545	kulimbana
menace	anger	0.545	kuwopseza
annoyin	anger	0.545	kukhumudwitsa
foul	anger	0.545	zoipa
argument	anger	0.545	kukangana
humiliate	anger	0.545	chititsa manyazi
wanker	anger	0.545	wanker
adversary	anger	0.545	mdani
sting	anger	0.544	mbola
entangled	anger	0.544	kukodwa
grumble	anger	0.544	kung'ung'udza
robbery	anger	0.544	umbava
outcry	anger	0.544	kulira
resistance	anger	0.543	kukaniza
irreconcilable	anger	0.543	osayanjanitsika
obstructive	anger	0.542	cholepheretsa
dismay	anger	0.540	kukhumudwa
mob	anger	0.538	gulu
juststop	anger	0.537	Imani basi
badness	anger	0.536	kuipa
ridicule	anger	0.534	kunyoza
incendiary	anger	0.533	chowotcha
flares	anger	0.532	zoyaka moto
twofaced	anger	0.531	nkhope ziwiri
reckless	anger	0.531	wosasamala
communism	anger	0.531	chikominisi
allegation	anger	0.531	mlandu
prejudicial	anger	0.531	tsankho
whip	anger	0.531	chikwapu
unbridled	anger	0.531	wosalamulirika
degeneracy	anger	0.531	kufooka
intruder	anger	0.531	wolowerera
belittle	anger	0.531	chepetsa
confinement	anger	0.531	kutsekeredwa
dispute	anger	0.531	kutsutsana
exacerbation	anger	0.531	kuchulukitsa
uprising	anger	0.531	kuwukira
unjust	anger	0.530	osalungama
unjustifiable	anger	0.530	zosavomerezeka
perversion	anger	0.530	kupotoza
bigoted	anger	0.530	wodzikweza
fiesty	anger	0.530	zonyansa
offender	anger	0.530	wolakwa
dictatorial	anger	0.530	wankhanza
hassle	anger	0.530	zovuta
dissonance	anger	0.530	kusagwirizana
tackled	anger	0.530	kugwidwa
renegade	anger	0.529	wopanduka
cantstandit	anger	0.529	sindingathe
trespass	anger	0.529	kulakwa
hot	anger	0.529	otentha
prison	anger	0.529	ndende
suicide	anger	0.521	kudzipha
annoy	anger	0.520	kukwiyitsa
leavemealone	anger	0.517	tandilekeni
cretins	anger	0.516	cretins
depravity	anger	0.516	kuipa
idiotic	anger	0.516	wopusa
dishonest	anger	0.516	osaona mtima
distrust	anger	0.516	kusakhulupirira
broil	anger	0.516	broil
grrr	anger	0.516	grr
criticize	anger	0.516	tsutsa
inimical	anger	0.516	woyipa
tortious	anger	0.516	wovutitsa
prisoner	anger	0.516	mkaidi
treason	anger	0.516	kuukira boma
divorce	anger	0.516	chisudzulo
venting	anger	0.516	kutulutsa mpweya
duress	anger	0.516	kukakamiza
disrespectful	anger	0.516	wopanda ulemu
poaching	anger	0.515	kupha nyama
scold	anger	0.515	lalatira
poachers	anger	0.515	opha nyama
pow	anger	0.515	uwu
hangry	anger	0.515	nyonga
argumentation	anger	0.515	kukangana
frustrating	anger	0.515	zokhumudwitsa
unkind	anger	0.515	wopanda chifundo
roar	anger	0.515	kubangula
coercion	anger	0.515	kukakamiza
unforgiving	anger	0.515	wosakhululuka
grump	anger	0.515	grump
bile	anger	0.515	bile
unleash	anger	0.515	masula
chaos	anger	0.515	chisokonezo
victimized	anger	0.515	kuzunzidwa
jerks	anger	0.515	zododometsa
tussle	anger	0.514	kulimbana
bane	anger	0.511	bane
accusation	anger	0.510	mlandu
enmity	anger	0.510	udani
repudiation	anger	0.510	kukana
banish	anger	0.509	thamangitsa
disfigured	anger	0.508	owonongeka
storm	anger	0.507	mkuntho
crazy	anger	0.500	wamisala
hammering	anger	0.500	kumenya nyundo
defy	anger	0.500	kunyoza
antithesis	anger	0.500	kutsutsa
scoff	anger	0.500	kunyoza
anguish	anger	0.500	kuwawa
confined	anger	0.500	wotsekeredwa
fear	anger	0.500	mantha
bout	anger	0.500	koma
unruly	anger	0.500	wosalamulirika
delusional	anger	0.500	zachinyengo
obstruct	anger	0.500	kulepheretsa
possessed	anger	0.500	wogwidwa
injustice	anger	0.500	kupanda chilungamo
fervor	anger	0.500	changu
spear	anger	0.500	mkondo
derision	anger	0.500	kunyoza
intractable	anger	0.500	wosasunthika
reject	anger	0.500	kukana
dominate	anger	0.500	lamulira
ordeal	anger	0.500	zovuta
banished	anger	0.500	kuthamangitsidwa
rejects	anger	0.500	amakana
shun	anger	0.500	pewani
brunt	anger	0.500	brunt
derogation	anger	0.500	kunyoza
frenzied	anger	0.500	wopenga
animus	anger	0.500	moyo
suppression	anger	0.500	kupondereza
malpractice	anger	0.500	kusachita bwino
brazen	anger	0.500	mkuwa
foaming	anger	0.500	kuchita thovu
disrupting	anger	0.500	kusokoneza
nobodycares	anger	0.500	palibe amene amasamala
patronising	anger	0.500	wosamalira
getoveryourself	anger	0.495	dzipezeni nokha
toughness	anger	0.492	kulimba
stupidpeople	anger	0.492	anthu opusa
madness	anger	0.491	misala
sinful	anger	0.491	wochimwa
avarice	anger	0.490	kudya
oppress	anger	0.490	kupondereza
cutting	anger	0.485	kudula
anathema	anger	0.485	anathema
annoyed	anger	0.485	wokwiya
dissident	anger	0.485	wotsutsa
demand	anger	0.485	kufuna
usurp	anger	0.485	kulanda
claw	anger	0.485	chikhasu
alienate	anger	0.485	kulekanitsa
infraction	anger	0.485	kuphwanya
avenger	anger	0.485	wobwezera
revoke	anger	0.485	bweza
smuggler	anger	0.485	wozembetsa
abolish	anger	0.485	kuthetsa
fricking	anger	0.485	fricking
stayaway	anger	0.485	khalani kutali
pervert	anger	0.485	kupotoza
disservice	anger	0.485	kusasamala
disobedient	anger	0.485	osamvera
incest	anger	0.485	kugonana pachibale
complaint	anger	0.485	dandaulo
disapproved	anger	0.485	osavomerezedwa
inhuman	anger	0.485	wopanda umunthu
mocking	anger	0.484	kunyoza
penalty	anger	0.484	chilango
renounce	anger	0.484	kusiya
restrain	anger	0.484	letsa
upheaval	anger	0.484	chipwirikiti
deceit	anger	0.484	chinyengo
obnoxious	anger	0.484	wonyansa
imprisoned	anger	0.484	kumangidwa
strained	anger	0.484	kupsyinjika
blame	anger	0.484	mlandu
oust	anger	0.484	chotsa
litigious	anger	0.484	milandu
rivalry	anger	0.484	mpikisano
sucker	anger	0.484	kuyamwa
opposed	anger	0.484	otsutsa
thresh	anger	0.484	ponda
disgrace	anger	0.484	manyazi
suspicious	anger	0.484	wokayikira
turbulence	anger	0.483	chipwirikiti
pound	anger	0.481	paundi
coldness	anger	0.477	kuzizira
ungrateful	anger	0.472	osayamika
stoopid	anger	0.471	kugwa
battalion	anger	0.471	batalioni
feudalism	anger	0.470	feudalism
hostage	anger	0.470	wogwidwa
annoying	anger	0.470	zokwiyitsa
