English Word	Emotion	Emotion-Intensity-Score	Korean Word
dastardly	anger	0.672	비겁한
contempt	anger	0.672	경멸
harmful	anger	0.672	해로운
expletive	anger	0.672	조어
wreak	anger	0.672	가하다
maniac	anger	0.670	미치광이
cutthroat	anger	0.667	치열한
enemy	anger	0.667	적
hit	anger	0.667	때리다
hateeveryone	anger	0.667	모두 싫어
eruption	anger	0.667	분화
irritable	anger	0.667	민감한
odious	anger	0.667	추악한
shooting	anger	0.667	촬영
shout	anger	0.667	외침
aggressive	anger	0.667	적극적인
kick	anger	0.667	발 차기
combat	anger	0.667	전투
fight	anger	0.667	싸움
punished	anger	0.662	처벌
yell	anger	0.661	소리치다
ambush	anger	0.661	매복
harass	anger	0.659	괴롭히다
malignant	anger	0.656	악의 있는
aggressor	anger	0.656	침략자
gore	anger	0.656	핏덩어리
destruction	anger	0.656	파괴
grudge	anger	0.656	악의
antichrist	anger	0.656	적그리스도
incense	anger	0.656	향
expel	anger	0.656	내쫓다
cranky	anger	0.653	까다로운
slave	anger	0.652	노예
reprisal	anger	0.652	보복
growl	anger	0.652	으르렁
animosity	anger	0.652	악의
insurrection	anger	0.652	반란
clashing	anger	0.652	충돌
denounce	anger	0.652	고발하다
offended	anger	0.652	기분을 상하게
spank	anger	0.652	찰싹 때리기
insulting	anger	0.652	모욕
growls	anger	0.649	으르렁
executioner	anger	0.644	실행자
twat	anger	0.644	엉덩이에
doomsday	anger	0.643	최후의 날
obscenity	anger	0.641	외설
accused	anger	0.641	고발 당한
feud	anger	0.641	불화
daemon	anger	0.641	악마
havoc	anger	0.641	큰 파란
shackle	anger	0.641	걸쇠
inexcusable	anger	0.641	변명의 여지가 없는
indignant	anger	0.641	분개
grr	anger	0.641	그르르
expulsion	anger	0.641	제명
bombard	anger	0.641	포
spat	anger	0.641	말다툼
arson	anger	0.641	방화
reprimand	anger	0.641	견책
somad	anger	0.637	소마드
frustrated	anger	0.636	좌절스러운
batter	anger	0.636	반죽
kicking	anger	0.636	발로 차다
anarchy	anger	0.636	무정부 상태
spanking	anger	0.636	매우
glaring	anger	0.636	현란한
suicidal	anger	0.636	자살 충동
disgusting	anger	0.636	역겨운
wound	anger	0.636	상처
hanging	anger	0.636	교수형
poisoned	anger	0.636	중독된
combatant	anger	0.636	전투원
wrecked	anger	0.633	난파
inflict	anger	0.633	가하다
grievous	anger	0.632	괴롭게 하는
prosecute	anger	0.630	기소하다
agitated	anger	0.630	흥분한
cheat	anger	0.630	속이다
swastika	anger	0.627	만자
injure	anger	0.625	해치다
indict	anger	0.625	기소하다
scourge	anger	0.625	채찍
provocation	anger	0.625	성나게 하기
suffocation	anger	0.625	질식
strife	anger	0.625	싸움
raid	anger	0.625	습격
enslaved	anger	0.625	노예
cursing	anger	0.625	저주
defamatory	anger	0.625	명예 훼손
harassing	anger	0.625	괴롭히는
thundering	anger	0.625	우뢰 같은
betray	anger	0.625	팔다
arsehole	anger	0.624	똥구멍
theft	anger	0.621	훔침
insane	anger	0.621	정신 이상의
retaliation	anger	0.621	앙갚음
irritate	anger	0.621	짜증나게 하다
deprivation	anger	0.621	박탈
fiend	anger	0.621	악마
jerk	anger	0.621	바보
convict	anger	0.621	죄수
cussed	anger	0.619	저주 받은
turmoil	anger	0.618	소란
smack	anger	0.615	헤로인
retribution	anger	0.614	보복
rebellion	anger	0.609	반항
oppressor	anger	0.609	압제자
gang	anger	0.609	한 떼
slavery	anger	0.609	노예 제도
intolerable	anger	0.609	참을 수 없는
adverse	anger	0.609	불리한
injurious	anger	0.609	유해한
twats	anger	0.609	쯧쯧
collision	anger	0.609	충돌
battery	anger	0.609	배터리
bitterly	anger	0.609	몹시
antagonism	anger	0.609	반대
irritability	anger	0.609	짜증
disgraced	anger	0.608	불명예스러운
diatribe	anger	0.606	불평
asshole	anger	0.606	항문
blast	anger	0.606	폭발
bombardment	anger	0.606	충격
irks	anger	0.606	짜증
ranting	anger	0.606	소리치다
revolution	anger	0.606	혁명
thug	anger	0.606	자객
antagonistic	anger	0.606	적대적인
irritating	anger	0.606	화나게 하는
sickening	anger	0.606	역겹다
discrimination	anger	0.606	차별
frustrate	anger	0.604	좌절
insult	anger	0.603	모욕
hurtful	anger	0.603	해로운
oppression	anger	0.603	압박
manipulation	anger	0.603	시장 조작
tiredofit	anger	0.603	피곤하다
bigot	anger	0.603	편협한
tension	anger	0.603	긴장
disgust	anger	0.602	싫음
spite	anger	0.600	악의
intrusive	anger	0.598	방해하는
harshness	anger	0.597	거친 것
slur	anger	0.596	중상
tempest	anger	0.594	대소동
assail	anger	0.594	공격하다
bitterness	anger	0.594	신랄
morbidity	anger	0.594	병적 상태
casualty	anger	0.594	사상자 수
puncture	anger	0.594	찌름
miserable	anger	0.594	비참한
inferno	anger	0.594	지옥
invasion	anger	0.594	침입
storming	anger	0.594	폭풍우 치는
wretch	anger	0.594	놈
consternation	anger	0.592	깜짝 놀람
raving	anger	0.591	미쳐 날뛰는
forcibly	anger	0.591	억지로
guillotine	anger	0.591	기요틴
guilty	anger	0.591	죄책감이 드는
depraved	anger	0.591	타락한
immoral	anger	0.591	부도덕한
overpowering	anger	0.591	압도적
scare	anger	0.588	공황
recalcitrant	anger	0.588	고집 불통
screwed	anger	0.588	나사로 죈
accursed	anger	0.588	저주 받은
soannoyed	anger	0.588	짜증
invader	anger	0.588	침략자
jealousy	anger	0.587	질투
indignation	anger	0.587	분개
vexed	anger	0.586	안절부절 못하는
confront	anger	0.582	대면하다
brute	anger	0.581	짐승
throttle	anger	0.579	조절판
slut	anger	0.578	암캐
coup	anger	0.578	일격
blaze	anger	0.578	불꽃
pillage	anger	0.578	약탈
provoking	anger	0.578	도발
damage	anger	0.578	손상
criminality	anger	0.578	범죄
shutup	anger	0.578	입 다물어
lash	anger	0.578	속눈썹
conflict	anger	0.578	갈등
contentious	anger	0.578	논쟁적인
shutit	anger	0.578	닥쳐
wreck	anger	0.578	난파선
defiant	anger	0.578	도전적인
butcher	anger	0.578	푸줏간
incarceration	anger	0.578	감금
revolver	anger	0.578	리볼버
bickering	anger	0.578	말다툼
yousuck	anger	0.578	너 빨
cancer	anger	0.577	암
discriminate	anger	0.576	차별하다
gun	anger	0.576	총
frustration	anger	0.576	좌절
gory	anger	0.576	피투성이
pernicious	anger	0.576	유해한
dontmess	anger	0.576	하지마
blasphemy	anger	0.576	신성 모독
chaotic	anger	0.576	혼란스러운
grope	anger	0.576	더듬다
alienation	anger	0.576	이질성
disturbance	anger	0.576	방해
condescension	anger	0.576	겸손
standoff	anger	0.576	대치 상태
discord	anger	0.576	불화
friggen	anger	0.575	프리겐
sneer	anger	0.574	비웃음
death	anger	0.574	죽음
lunacy	anger	0.574	전광
scandalous	anger	0.574	스캔들
oppressive	anger	0.574	억압적인
jab	anger	0.574	갑자기 찌르기
cursed	anger	0.574	저주 받은
monstrosity	anger	0.574	기괴
shit	anger	0.573	똥
disparaging	anger	0.571	폄하
slash	anger	0.571	삭감
unfair	anger	0.571	불공정
gallows	anger	0.570	교수대
escalate	anger	0.569	차츰 오르다
intolerant	anger	0.564	편협
lawlessness	anger	0.563	불법
beast	anger	0.562	짐승
torpedo	anger	0.562	수뢰
malign	anger	0.562	유해한
traitor	anger	0.562	배신자
frightful	anger	0.562	무서운
wrangling	anger	0.562	승강이
slander	anger	0.562	중상
bellows	anger	0.562	풀무
retards	anger	0.562	지체하다
grouchy	anger	0.562	시무룩한
derogatory	anger	0.562	경멸적인
bearish	anger	0.562	약세
invade	anger	0.562	침략하다
perdition	anger	0.562	파멸
arghh	anger	0.562	아아아아
dreadful	anger	0.562	무서운
bluddy	anger	0.562	블러디
deceived	anger	0.562	속이다
glare	anger	0.562	섬광
taunt	anger	0.562	조롱
dissension	anger	0.561	불화
cross	anger	0.561	십자가
rave	anger	0.561	날뛰다
grating	anger	0.561	창살
devastating	anger	0.561	지독한
fits	anger	0.561	맞다
jeopardize	anger	0.561	위태롭게 하다
shatter	anger	0.561	파편
idiots	anger	0.561	바보들
hurt	anger	0.561	아프다
thief	anger	0.561	도둑
uncontrollable	anger	0.561	통제할 수 없는
conflagration	anger	0.561	큰 화재
betrayal	anger	0.561	배신
banshee	anger	0.561	반시
subjugation	anger	0.559	진압
disturbed	anger	0.559	방해
stomped	anger	0.557	짓밟았다
grab	anger	0.557	붙잡다
grievance	anger	0.556	불만
ticked	anger	0.556	체크
masochism	anger	0.556	마조히즘
defiance	anger	0.552	도전
blackmail	anger	0.550	약탈
offensive	anger	0.549	공격
decry	anger	0.548	비난
frustrates	anger	0.547	좌절
violation	anger	0.547	위반
confine	anger	0.547	가두다
misery	anger	0.547	불행
arghhhh	anger	0.547	아아아아
disparity	anger	0.547	상이
punishment	anger	0.547	처벌
rebel	anger	0.547	반역자
preposterous	anger	0.547	터무니없는
disgraceful	anger	0.547	수치스러운
ire	anger	0.547	분노
deceive	anger	0.547	속이다
fustrated	anger	0.547	좌절
sin	anger	0.547	죄
shrill	anger	0.547	날카로운
darkside	anger	0.547	어두운면
overbearing	anger	0.547	뽐내는
firearms	anger	0.547	총기류
stolen	anger	0.546	훔친
hadenough	anger	0.546	해든
prejudice	anger	0.545	편견
tackle	anger	0.545	태클
resentful	anger	0.545	분개하다
heated	anger	0.545	가열
callous	anger	0.545	굳어진
conspirator	anger	0.545	공모자
ruined	anger	0.545	망가진
antagonist	anger	0.545	길항근
skirmish	anger	0.545	작은 접전
menace	anger	0.545	위협
annoyin	anger	0.545	짜증나
foul	anger	0.545	반칙
argument	anger	0.545	논쟁
humiliate	anger	0.545	모욕하다
wanker	anger	0.545	방랑자
adversary	anger	0.545	적
sting	anger	0.544	찌르기
entangled	anger	0.544	빠뜨리는
grumble	anger	0.544	투덜거리다
robbery	anger	0.544	강도
outcry	anger	0.544	항의
resistance	anger	0.543	저항
irreconcilable	anger	0.543	화해할 수 없는
obstructive	anger	0.542	방해하는
dismay	anger	0.540	당황
mob	anger	0.538	무리
juststop	anger	0.537	그냥 멈춰
badness	anger	0.536	나쁜 상태
ridicule	anger	0.534	조소
incendiary	anger	0.533	방화범
flares	anger	0.532	플레어
twofaced	anger	0.531	양면
reckless	anger	0.531	무모한
communism	anger	0.531	공산주의
allegation	anger	0.531	진술
prejudicial	anger	0.531	불리한
whip	anger	0.531	채찍
unbridled	anger	0.531	고삐 풀린
degeneracy	anger	0.531	퇴화
intruder	anger	0.531	침입자
belittle	anger	0.531	얕보다
confinement	anger	0.531	제한
dispute	anger	0.531	논쟁
exacerbation	anger	0.531	격화
uprising	anger	0.531	반란
unjust	anger	0.530	부당한
unjustifiable	anger	0.530	정당화할 수 없는
perversion	anger	0.530	곡해
bigoted	anger	0.530	편협한
fiesty	anger	0.530	흥겨운
offender	anger	0.530	범죄자
dictatorial	anger	0.530	독재적인
hassle	anger	0.530	혼전
dissonance	anger	0.530	불협화음
tackled	anger	0.530	태클
renegade	anger	0.529	배신자
cantstandit	anger	0.529	못 견디다
trespass	anger	0.529	죄
hot	anger	0.529	더운
prison	anger	0.529	감옥
suicide	anger	0.521	자살
annoy	anger	0.520	짜증나게 하다
leavemealone	anger	0.517	남겨두다
cretins	anger	0.516	크레틴
depravity	anger	0.516	타락
idiotic	anger	0.516	바보
dishonest	anger	0.516	부정한
distrust	anger	0.516	불신
broil	anger	0.516	굽다
grrr	anger	0.516	그르르
criticize	anger	0.516	흠잡다
inimical	anger	0.516	반하는
tortious	anger	0.516	비뚤어진
prisoner	anger	0.516	죄인
treason	anger	0.516	반역
divorce	anger	0.516	이혼
venting	anger	0.516	환기
duress	anger	0.516	협박
disrespectful	anger	0.516	무례한
poaching	anger	0.515	밀렵
scold	anger	0.515	꾸짖다
poachers	anger	0.515	밀렵꾼
pow	anger	0.515	펑
hangry	anger	0.515	행그리
argumentation	anger	0.515	입론
frustrating	anger	0.515	불만스러운
unkind	anger	0.515	불친절한
roar	anger	0.515	노호
coercion	anger	0.515	강제
unforgiving	anger	0.515	용서하지 않는
grump	anger	0.515	투덜거리다
bile	anger	0.515	담즙
unleash	anger	0.515	풀다
chaos	anger	0.515	혼돈
victimized	anger	0.515	희생
jerks	anger	0.515	바보
tussle	anger	0.514	격투
bane	anger	0.511	독
accusation	anger	0.510	고발
enmity	anger	0.510	증오
repudiation	anger	0.510	포기
banish	anger	0.509	덜어 없애다
disfigured	anger	0.508	기형
storm	anger	0.507	폭풍
crazy	anger	0.500	미친
hammering	anger	0.500	망치질
defy	anger	0.500	무시하다
antithesis	anger	0.500	대조법
scoff	anger	0.500	비웃다
anguish	anger	0.500	격통
confined	anger	0.500	갇힌
fear	anger	0.500	두려움
bout	anger	0.500	합
unruly	anger	0.500	제멋대로
delusional	anger	0.500	망상
obstruct	anger	0.500	막다
possessed	anger	0.500	소유
injustice	anger	0.500	부당
fervor	anger	0.500	열렬
spear	anger	0.500	창
derision	anger	0.500	비웃음
intractable	anger	0.500	다루기 힘든
reject	anger	0.500	거부하다
dominate	anger	0.500	억누르다
ordeal	anger	0.500	지독한 시련
banished	anger	0.500	추방
rejects	anger	0.500	거부하다
shun	anger	0.500	피하다
brunt	anger	0.500	정면
derogation	anger	0.500	감손
frenzied	anger	0.500	열광
animus	anger	0.500	적의
suppression	anger	0.500	억압
malpractice	anger	0.500	부정 요법
brazen	anger	0.500	단단한
foaming	anger	0.500	발포
disrupting	anger	0.500	방해
nobodycares	anger	0.500	아무도 신경 쓰지 않는다
patronising	anger	0.500	애용
getoveryourself	anger	0.495	스스로 극복하다
toughness	anger	0.492	인성
stupidpeople	anger	0.492	바보들
madness	anger	0.491	광기
sinful	anger	0.491	죄 많은
avarice	anger	0.490	탐욕
oppress	anger	0.490	억압하다
cutting	anger	0.485	절단
anathema	anger	0.485	저주
annoyed	anger	0.485	짜증이 난
dissident	anger	0.485	반체제 인사
demand	anger	0.485	수요
usurp	anger	0.485	빼앗다
claw	anger	0.485	갈고리 발톱
alienate	anger	0.485	소외시키다
infraction	anger	0.485	위반
avenger	anger	0.485	복수자
revoke	anger	0.485	취소
smuggler	anger	0.485	밀수선
abolish	anger	0.485	폐하다
fricking	anger	0.485	프릭킹
stayaway	anger	0.485	체재
pervert	anger	0.485	변태
disservice	anger	0.485	해
disobedient	anger	0.485	불순종
incest	anger	0.485	근친 상간
complaint	anger	0.485	불평
disapproved	anger	0.485	비승인
inhuman	anger	0.485	비인간적인
mocking	anger	0.484	조롱
penalty	anger	0.484	패널티
renounce	anger	0.484	포기하다
restrain	anger	0.484	억제하다
upheaval	anger	0.484	대변동
deceit	anger	0.484	책략
obnoxious	anger	0.484	불쾌한
imprisoned	anger	0.484	투옥
strained	anger	0.484	팽팽한
blame	anger	0.484	탓하다
oust	anger	0.484	축출
litigious	anger	0.484	소송을 제기하는
rivalry	anger	0.484	경쟁
sucker	anger	0.484	빨판
opposed	anger	0.484	반대
thresh	anger	0.484	뒹굴다
disgrace	anger	0.484	불명예
suspicious	anger	0.484	의심스러운
turbulence	anger	0.483	난기류
pound	anger	0.481	파운드
coldness	anger	0.477	추위
ungrateful	anger	0.472	일한 보람 없는
stoopid	anger	0.471	멍청한
battalion	anger	0.471	대대
feudalism	anger	0.470	봉건 제도
hostage	anger	0.470	인질
annoying	anger	0.470	성가신
dispossessed	anger	0.470	빼앗긴
subversion	anger	0.470	파괴
friction	anger	0.470	마찰
jealous	anger	0.470	질투하는
adversity	anger	0.470	역경
infidel	anger	0.470	신앙심 없는 사람
gall	anger	0.470	담즙
accuser	anger	0.470	고발인
ram	anger	0.470	램
armament	anger	0.470	군비
thump	anger	0.469	때림
dislike	anger	0.469	싫어함
steal	anger	0.469	훔치다
backoff	anger	0.469	물러나 다
stifled	anger	0.469	억눌린
incite	anger	0.469	선동하다
distress	anger	0.469	고통
angermanagement	anger	0.469	분노 조절
selfish	anger	0.469	이기적인
injury	anger	0.469	부상
exile	anger	0.469	망명
insanity	anger	0.469	광기
offense	anger	0.469	위반
objection	anger	0.469	반대
smother	anger	0.469	연기 내는 것
disruption	anger	0.469	분열
intolerance	anger	0.469	견딜 수 없기
disobey	anger	0.469	좇지 않다
selfishness	anger	0.469	이기주의
recidivism	anger	0.469	상습적 범행
subversive	anger	0.469	전복
huff	anger	0.469	성냄
plunder	anger	0.469	약탈
opposition	anger	0.469	반대
complain	anger	0.469	불평하다
perpetrator	anger	0.469	가해자
simmer	anger	0.469	끓이다
areyoukidding	anger	0.468	장난하냐
mug	anger	0.467	얼굴
agony	anger	0.465	고뇌
arrogant	anger	0.461	오만한
sux	anger	0.456	숙
vent	anger	0.456	벤트
elimination	anger	0.456	제거
picketing	anger	0.456	피켓팅
haughty	anger	0.456	거만한
grated	anger	0.455	강판
flagrant	anger	0.455	악명 높은
busted	anger	0.455	체포
crabby	anger	0.455	게 같은
dying	anger	0.455	사망
idiocy	anger	0.455	백치
impermeable	anger	0.455	불침투성
stubbed	anger	0.455	그루터기
illegality	anger	0.455	위법
veto	anger	0.455	거부권
constraint	anger	0.455	강제
mislead	anger	0.455	오도하다
illicit	anger	0.455	불법
troublesome	anger	0.455	귀찮은
clamor	anger	0.455	외치다
bayonet	anger	0.453	총검
suppress	anger	0.453	막다
intense	anger	0.453	극심한
displeased	anger	0.453	불쾌한
disapproving	anger	0.453	비승인
hysterical	anger	0.453	히스테리
struggle	anger	0.453	고심하다
godless	anger	0.453	신이 없는
desist	anger	0.453	단념하다
usurped	anger	0.453	강탈
despotism	anger	0.453	전제국
disagreeing	anger	0.453	동의하지 않는
bad	anger	0.453	나쁜
unlawful	anger	0.451	불법
wrongly	anger	0.448	잘못
repellent	anger	0.442	싫은
dishonor	anger	0.441	불명예
