English Word	Emotion	Emotion-Intensity-Score	Lithuanian Word
persecute	anger	0.734	persekioti
deplore	anger	0.734	apgailestauti
flog	anger	0.734	plakti
fedup	anger	0.734	nuobodu
riotous	anger	0.734	siautulinga
vehement	anger	0.734	aršus
revolt	anger	0.734	sukilimas
warfare	anger	0.734	karyba
thrash	anger	0.734	thrash
altercation	anger	0.729	ginčas
warlike	anger	0.728	karingas
shitday	anger	0.727	šūdas
mutiny	anger	0.727	maištas
castrate	anger	0.727	kastruoti
sabotage	anger	0.727	sabotažas
malevolent	anger	0.721	piktavališkas
strike	anger	0.721	streikuoti
disaster	anger	0.721	nelaimė
disastrous	anger	0.720	pražūtingas
bastarding	anger	0.719	niekšas
treachery	anger	0.719	išdavystė
arseholes	anger	0.719	arse
horseshit	anger	0.719	arklio šūdas
slay	anger	0.719	nužudyti
disdain	anger	0.719	panieka
aggravates	anger	0.719	apsunkina
brutal	anger	0.719	brutalus
scorching	anger	0.719	deginantis
devil	anger	0.719	velnias
madden	anger	0.719	išprotėjęs
spiteful	anger	0.719	šlykštus
scream	anger	0.719	rėkti
choke	anger	0.719	užspringti
vermin	anger	0.719	kenkėjai
tumult	anger	0.719	šurmulys
criminal	anger	0.714	nusikaltėlis
mangle	anger	0.714	mėšlungis
anarchism	anger	0.714	anarchizmas
mutilation	anger	0.714	suluošinimas
denunciation	anger	0.713	denonsavimas
punch	anger	0.713	smūgis
virulence	anger	0.712	virulentiškumas
fatal	anger	0.712	mirtinas
hurting	anger	0.712	skauda
crucifixion	anger	0.712	nukryžiavimas
dontlikeyou	anger	0.712	tau nepatinka
blasphemous	anger	0.712	šventvagiška
holocaust	anger	0.712	holokaustas
dumbasses	anger	0.712	kvailiai
battled	anger	0.712	kovojo
deranged	anger	0.706	sutrikęs
irritated	anger	0.706	susierzinęs
atrocious	anger	0.706	žiaurus
evil	anger	0.706	velnias
aggravated	anger	0.703	apsunkintas
intimidation	anger	0.703	bauginimas
dicks	anger	0.703	varpai
assassin	anger	0.703	žudikas
scolding	anger	0.703	bardamas
persecution	anger	0.703	persekiojimas
slayer	anger	0.703	žudikas
kidnap	anger	0.703	pagrobti
aggression	anger	0.702	agresija
armed	anger	0.700	ginkluotas
battle	anger	0.697	mūšis
poison	anger	0.697	nuodų
snarling	anger	0.697	niurzgdamas
venom	anger	0.697	nuodai
disgruntled	anger	0.693	nepatenkintas
resentment	anger	0.691	apmaudas
assailant	anger	0.691	užpuolikas
insidious	anger	0.691	klastingas
contemptuous	anger	0.690	niekinantis
lynch	anger	0.690	linčas
temper	anger	0.688	temperamentas
terrible	anger	0.688	baisu
disparage	anger	0.688	menkinti
lunatic	anger	0.688	pamišėlis
bully	anger	0.688	tyčiojasi
mad	anger	0.688	piktas
makesmemad	anger	0.688	verčia susierzinti
infanticide	anger	0.688	kūdikių nužudymas
domination	anger	0.688	dominavimas
peeved	anger	0.688	supykęs
imprisonment	anger	0.688	įkalinimas
curse	anger	0.688	prakeikimas
volatility	anger	0.687	nepastovumas
eradication	anger	0.685	išnaikinimas
eradicate	anger	0.682	išnaikinti
tantrum	anger	0.682	pykčio priepuolis
scoundrel	anger	0.682	niekšas
devastate	anger	0.682	nuniokoti
aggressively	anger	0.680	agresyviai
agitation	anger	0.680	agitacija
dictatorship	anger	0.676	diktatūra
irritates	anger	0.676	erzina
profanity	anger	0.673	keiksmažodžiai
shove	anger	0.672	stumti
nasty	anger	0.672	bjaurus
shot	anger	0.672	nušautas
cruelly	anger	0.672	žiauriai
shoot	anger	0.672	šaudyti
condemnation	anger	0.672	pasmerkimą
crushed	anger	0.672	sutraiškytas
aggravation	anger	0.672	pasunkėjimas
poisonous	anger	0.672	nuodingas
egregious	anger	0.672	žiaurus
crime	anger	0.672	nusikaltimas
corrupting	anger	0.672	gadinantis
dastardly	anger	0.672	šlykštus
contempt	anger	0.672	panieka
harmful	anger	0.672	kenksmingas
expletive	anger	0.672	iškalbingas
wreak	anger	0.672	sugriauti
maniac	anger	0.670	maniakas
cutthroat	anger	0.667	žiaurus
enemy	anger	0.667	priešas
hit	anger	0.667	pataikyti
hateeveryone	anger	0.667	nekenčiu visų
eruption	anger	0.667	išsiveržimas
irritable	anger	0.667	irzlus
odious	anger	0.667	šlykštus
shooting	anger	0.667	Šaudymas
shout	anger	0.667	šaukti
aggressive	anger	0.667	agresyvus
kick	anger	0.667	spardyti
combat	anger	0.667	kovoti
fight	anger	0.667	kovoti
punished	anger	0.662	nubaustas
yell	anger	0.661	šaukti
ambush	anger	0.661	pasalą
harass	anger	0.659	priekabiauti
malignant	anger	0.656	piktybinis
aggressor	anger	0.656	agresorius
gore	anger	0.656	įsiuvas
destruction	anger	0.656	sunaikinimas
grudge	anger	0.656	pyktis
antichrist	anger	0.656	antikristas
incense	anger	0.656	smilkalai
expel	anger	0.656	išvaryti
cranky	anger	0.653	kaprizingas
slave	anger	0.652	vergas
reprisal	anger	0.652	atpildas
growl	anger	0.652	urzgti
animosity	anger	0.652	priešiškumas
insurrection	anger	0.652	sukilimas
clashing	anger	0.652	susikirtimas
denounce	anger	0.652	denonsuoti
offended	anger	0.652	įsižeidęs
spank	anger	0.652	pliaukštelėti
insulting	anger	0.652	įžeidžiantis
growls	anger	0.649	urzgia
executioner	anger	0.644	budelis
twat	anger	0.644	twat
doomsday	anger	0.643	pabaigos diena
obscenity	anger	0.641	nepadorumas
accused	anger	0.641	apkaltintas
feud	anger	0.641	nesantaika
daemon	anger	0.641	demonas
havoc	anger	0.641	sumaištį
shackle	anger	0.641	pančius
inexcusable	anger	0.641	nepateisinama
indignant	anger	0.641	pasipiktinęs
grr	anger	0.641	grr
expulsion	anger	0.641	išsiuntimas
bombard	anger	0.641	bombarduoti
spat	anger	0.641	išspjovė
arson	anger	0.641	padegimas
reprimand	anger	0.641	papeikimas
somad	anger	0.637	toks piktas
frustrated	anger	0.636	nusivylęs
batter	anger	0.636	tešla
kicking	anger	0.636	spardosi
anarchy	anger	0.636	anarchija
spanking	anger	0.636	pliaukštelėjimas
glaring	anger	0.636	žvilgantis
suicidal	anger	0.636	savižudiškas
disgusting	anger	0.636	šlykštus
wound	anger	0.636	žaizda
hanging	anger	0.636	kabantis
poisoned	anger	0.636	apsinuodijęs
combatant	anger	0.636	kovotojas
wrecked	anger	0.633	sudužo
inflict	anger	0.633	padaryti
grievous	anger	0.632	skaudus
prosecute	anger	0.630	patraukti baudžiamojon atsakomybėn
agitated	anger	0.630	susijaudinęs
cheat	anger	0.630	apgauti
swastika	anger	0.627	svastika
injure	anger	0.625	sužaloti
indict	anger	0.625	apkaltinti
scourge	anger	0.625	rykštė
provocation	anger	0.625	provokacija
suffocation	anger	0.625	uždusimas
strife	anger	0.625	nesantaika
raid	anger	0.625	reidas
enslaved	anger	0.625	pavergtas
cursing	anger	0.625	keikdamasis
defamatory	anger	0.625	šmeižikiškas
harassing	anger	0.625	priekabiaujantis
thundering	anger	0.625	griausmingas
betray	anger	0.625	išduoti
arsehole	anger	0.624	arse
theft	anger	0.621	vagystė
insane	anger	0.621	beprotiškas
retaliation	anger	0.621	keršto
irritate	anger	0.621	erzinti
deprivation	anger	0.621	nepriteklius
fiend	anger	0.621	velnias
jerk	anger	0.621	trūkčioti
convict	anger	0.621	nuteistasis
cussed	anger	0.619	keikiamas
turmoil	anger	0.618	neramumai
smack	anger	0.615	smirdėti
retribution	anger	0.614	atpildas
rebellion	anger	0.609	maištas
oppressor	anger	0.609	engėjas
gang	anger	0.609	gauja
slavery	anger	0.609	vergija
intolerable	anger	0.609	netoleruotinas
adverse	anger	0.609	nepalankios
injurious	anger	0.609	žalingas
twats	anger	0.609	tvatai
collision	anger	0.609	susidūrimas
battery	anger	0.609	baterija
bitterly	anger	0.609	karčiai
antagonism	anger	0.609	antagonizmas
irritability	anger	0.609	dirglumas
disgraced	anger	0.608	sugėdintas
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asile
blast	anger	0.606	sprogimas
bombardment	anger	0.606	bombardavimas
irks	anger	0.606	erzina
ranting	anger	0.606	riaumojimas
revolution	anger	0.606	revoliucija
thug	anger	0.606	banditas
antagonistic	anger	0.606	antagonistinis
irritating	anger	0.606	erzina
sickening	anger	0.606	liguistas
discrimination	anger	0.606	diskriminacija
frustrate	anger	0.604	nuvilti
insult	anger	0.603	įžeidimas
hurtful	anger	0.603	žeidžiantis
oppression	anger	0.603	priespauda
manipulation	anger	0.603	manipuliavimas
tiredofit	anger	0.603	pavargęs
bigot	anger	0.603	bigot
tension	anger	0.603	įtampa
disgust	anger	0.602	pasibjaurėjimas
spite	anger	0.600	nepaisymas
intrusive	anger	0.598	įkyrus
harshness	anger	0.597	atšiaurumas
slur	anger	0.596	šlamštas
tempest	anger	0.594	audra
assail	anger	0.594	puolimas
bitterness	anger	0.594	kartumas
morbidity	anger	0.594	sergamumas
casualty	anger	0.594	žuvusysis
puncture	anger	0.594	punkcija
miserable	anger	0.594	apgailėtinas
inferno	anger	0.594	pragaras
invasion	anger	0.594	invazija
storming	anger	0.594	šturmo
wretch	anger	0.594	vargšas
consternation	anger	0.592	pasibaisėjimą
raving	anger	0.591	šėlsdamas
forcibly	anger	0.591	priverstinai
guillotine	anger	0.591	giljotina
guilty	anger	0.591	kaltas
depraved	anger	0.591	ištvirkęs
immoral	anger	0.591	amoralus
overpowering	anger	0.591	pergalingas
scare	anger	0.588	išgąsdinti
recalcitrant	anger	0.588	nepaklusnus
screwed	anger	0.588	prisukamas
accursed	anger	0.588	prakeiktas
soannoyed	anger	0.588	labai susierzinęs
invader	anger	0.588	užpuolikas
jealousy	anger	0.587	pavydas
indignation	anger	0.587	pasipiktinimą
vexed	anger	0.586	susierzinęs
confront	anger	0.582	susidurti
brute	anger	0.581	žiaurus
throttle	anger	0.579	droselis
slut	anger	0.578	apskretėlė
coup	anger	0.578	perversmas
blaze	anger	0.578	liepsna
pillage	anger	0.578	apiplėšimas
provoking	anger	0.578	provokuojantis
damage	anger	0.578	žalą
criminality	anger	0.578	nusikalstamumas
shutup	anger	0.578	Užsičiaupk
lash	anger	0.578	blakstiena
conflict	anger	0.578	konfliktas
contentious	anger	0.578	ginčytinas
shutit	anger	0.578	uždaryk tai
wreck	anger	0.578	nuolaužos
defiant	anger	0.578	iššaukiantis
butcher	anger	0.578	mėsininkas
incarceration	anger	0.578	įkalinimas
revolver	anger	0.578	revolveris
bickering	anger	0.578	kivirčys
yousuck	anger	0.578	tu šlykšti
cancer	anger	0.577	vėžys
discriminate	anger	0.576	diskriminuoti
gun	anger	0.576	ginklas
frustration	anger	0.576	nusivylimas
gory	anger	0.576	kruvinas
pernicious	anger	0.576	žalingas
dontmess	anger	0.576	netvarka
blasphemy	anger	0.576	šventvagystė
chaotic	anger	0.576	chaotiškas
grope	anger	0.576	apčiuopti
alienation	anger	0.576	susvetimėjimas
disturbance	anger	0.576	sutrikimas
condescension	anger	0.576	nuolaidumas
standoff	anger	0.576	atotrūkis
discord	anger	0.576	nesantaika
friggen	anger	0.575	friggenas
sneer	anger	0.574	pašaipiai
death	anger	0.574	mirtis
lunacy	anger	0.574	beprotybė
scandalous	anger	0.574	skandalingas
oppressive	anger	0.574	slegiantis
jab	anger	0.574	smaugti
cursed	anger	0.574	prakeiktas
monstrosity	anger	0.574	monstriškumas
shit	anger	0.573	šūdas
disparaging	anger	0.571	menkinantis
slash	anger	0.571	pasvirasis brūkšnys
unfair	anger	0.571	Nesąžininga
gallows	anger	0.570	kartuvės
escalate	anger	0.569	eskaluoti
intolerant	anger	0.564	netolerantiškas
lawlessness	anger	0.563	neteisėtumas
beast	anger	0.562	žvėris
torpedo	anger	0.562	torpeda
malign	anger	0.562	piktybinis
traitor	anger	0.562	išdavikas
frightful	anger	0.562	baisu
wrangling	anger	0.562	ginčytis
slander	anger	0.562	šmeižtas
bellows	anger	0.562	dumplės
retards	anger	0.562	atsilieka
grouchy	anger	0.562	niūrus
derogatory	anger	0.562	menkinantis
bearish	anger	0.562	meškų
invade	anger	0.562	įsiveržti
perdition	anger	0.562	pražūtis
arghh	anger	0.562	arghh
dreadful	anger	0.562	baisu
bluddy	anger	0.562	bluddy
deceived	anger	0.562	apgauti
glare	anger	0.562	akinimo
taunt	anger	0.562	pašaipiai
dissension	anger	0.561	nesantaika
cross	anger	0.561	kirsti
rave	anger	0.561	siautėti
grating	anger	0.561	grotelės
devastating	anger	0.561	pražūtingas
fits	anger	0.561	tinka
jeopardize	anger	0.561	kelti pavojų
shatter	anger	0.561	suskaldyti
idiots	anger	0.561	idiotai
hurt	anger	0.561	skaudėjo
thief	anger	0.561	vagis
uncontrollable	anger	0.561	nevaldomas
conflagration	anger	0.561	gaisras
betrayal	anger	0.561	išdavystė
banshee	anger	0.561	banshee
subjugation	anger	0.559	pajungimas
disturbed	anger	0.559	sutrikęs
stomped	anger	0.557	trypė
grab	anger	0.557	patraukti
grievance	anger	0.556	skundas
ticked	anger	0.556	pažymėta
masochism	anger	0.556	mazochizmas
defiance	anger	0.552	nepaisymas
blackmail	anger	0.550	šantažas
offensive	anger	0.549	agresyvus
decry	anger	0.548	smerkti
frustrates	anger	0.547	nuvilia
violation	anger	0.547	pažeidimas
confine	anger	0.547	apriboti
misery	anger	0.547	vargas
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	skirtumai
punishment	anger	0.547	bausmė
rebel	anger	0.547	maištininkas
preposterous	anger	0.547	absurdiška
disgraceful	anger	0.547	gėdinga
ire	anger	0.547	pyktis
deceive	anger	0.547	apgauti
fustrated	anger	0.547	nusivylęs
sin	anger	0.547	nuodėmė
shrill	anger	0.547	rėksmingas
darkside	anger	0.547	tamsioji pusė
overbearing	anger	0.547	valdingas
firearms	anger	0.547	šaunamieji ginklai
stolen	anger	0.546	pavogtas
hadenough	anger	0.546	Užteko
prejudice	anger	0.545	išankstinis nusistatymas
tackle	anger	0.545	spręsti
resentful	anger	0.545	įsižeidęs
heated	anger	0.545	įkaitintas
callous	anger	0.545	bejausmis
conspirator	anger	0.545	sąmokslininkas
ruined	anger	0.545	sugriautas
antagonist	anger	0.545	antagonistas
skirmish	anger	0.545	susirėmimas
menace	anger	0.545	Gresmė
annoyin	anger	0.545	erzina
foul	anger	0.545	pražanga
argument	anger	0.545	argumentas
humiliate	anger	0.545	pažeminti
wanker	anger	0.545	niekšas
adversary	anger	0.545	priešininkas
sting	anger	0.544	įgelti
entangled	anger	0.544	įsipainiojęs
grumble	anger	0.544	niurzgėti
robbery	anger	0.544	apiplėšimas
outcry	anger	0.544	pasipiktinimo
resistance	anger	0.543	pasipriešinimas
irreconcilable	anger	0.543	nesuderinamas
obstructive	anger	0.542	obstrukcinis
dismay	anger	0.540	pasibaisėjimą
mob	anger	0.538	mob
juststop	anger	0.537	tiesiog sustok
badness	anger	0.536	blogybė
ridicule	anger	0.534	pajuoka
incendiary	anger	0.533	padegamoji
flares	anger	0.532	raketos
twofaced	anger	0.531	dviveidis
reckless	anger	0.531	neapgalvotas
communism	anger	0.531	komunizmas
allegation	anger	0.531	kaltinimas
prejudicial	anger	0.531	žalingas
whip	anger	0.531	plakti
unbridled	anger	0.531	nežabotas
degeneracy	anger	0.531	degeneracija
intruder	anger	0.531	įsibrovėlis
belittle	anger	0.531	menkinti
confinement	anger	0.531	įkalinimas
dispute	anger	0.531	ginčas
exacerbation	anger	0.531	paūmėjimas
uprising	anger	0.531	sukilimą
unjust	anger	0.530	neteisingas
unjustifiable	anger	0.530	nepateisinamas
perversion	anger	0.530	iškrypimas
bigoted	anger	0.530	fanatiškas
fiesty	anger	0.530	žiaurus
offender	anger	0.530	nusikaltėlis
dictatorial	anger	0.530	diktatoriškas
hassle	anger	0.530	vargo
dissonance	anger	0.530	disonansas
tackled	anger	0.530	sprendžiamas
renegade	anger	0.529	renegatas
cantstandit	anger	0.529	negaliu pakęsti
trespass	anger	0.529	pažeidimas
hot	anger	0.529	karšta
prison	anger	0.529	kalėjimas
suicide	anger	0.521	savižudybė
annoy	anger	0.520	erzinti
leavemealone	anger	0.517	palik mane vieną
cretins	anger	0.516	kretinai
depravity	anger	0.516	ištvirkimas
idiotic	anger	0.516	idiotiškas
dishonest	anger	0.516	nesąžiningi
distrust	anger	0.516	nepasitikėjimas
broil	anger	0.516	kepti
grrr	anger	0.516	grrr
criticize	anger	0.516	kritikuoti
inimical	anger	0.516	priešiškas
tortious	anger	0.516	kankinantis
prisoner	anger	0.516	kalinys
treason	anger	0.516	išdavystė
divorce	anger	0.516	skyrybos
venting	anger	0.516	vėdinimas
duress	anger	0.516	prievarta
disrespectful	anger	0.516	nepagarbus
poaching	anger	0.515	brakonieriavimas
scold	anger	0.515	barti
poachers	anger	0.515	brakonieriai
pow	anger	0.515	pow
hangry	anger	0.515	alkanas
argumentation	anger	0.515	argumentacija
frustrating	anger	0.515	varginantis
unkind	anger	0.515	negeras
roar	anger	0.515	riaumojimas
coercion	anger	0.515	prievarta
unforgiving	anger	0.515	neatlaidus
grump	anger	0.515	rūstus
bile	anger	0.515	tulžis
unleash	anger	0.515	išlaisvinti
chaos	anger	0.515	chaosas
victimized	anger	0.515	nukentėjo
jerks	anger	0.515	trūkčiojimai
tussle	anger	0.514	muštis
bane	anger	0.511	bane
accusation	anger	0.510	kaltinimas
enmity	anger	0.510	priešiškumas
repudiation	anger	0.510	atsisakymas
banish	anger	0.509	ištremti
disfigured	anger	0.508	subjaurotas
storm	anger	0.507	audra
crazy	anger	0.500	pamišusi
hammering	anger	0.500	kalimas
defy	anger	0.500	nepaisyti
antithesis	anger	0.500	antitezė
scoff	anger	0.500	šaiposi
anguish	anger	0.500	kančia
confined	anger	0.500	apribotas
fear	anger	0.500	baimė
bout	anger	0.500	kova
unruly	anger	0.500	nepaklusnus
delusional	anger	0.500	kliedesinis
obstruct	anger	0.500	trukdyti
possessed	anger	0.500	apsėstas
injustice	anger	0.500	neteisybė
fervor	anger	0.500	užsidegimas
spear	anger	0.500	ietis
derision	anger	0.500	pasityčiojimas
intractable	anger	0.500	neįveikiamas
reject	anger	0.500	atmesti
dominate	anger	0.500	dominuoti
ordeal	anger	0.500	išbandymas
banished	anger	0.500	ištremtas
rejects	anger	0.500	atmeta
shun	anger	0.500	vengti
brunt	anger	0.500	sunkus
derogation	anger	0.500	leidžianti nukrypti nuostata
frenzied	anger	0.500	pasiutęs
animus	anger	0.500	animus
suppression	anger	0.500	slopinimas
malpractice	anger	0.500	netinkama praktika
brazen	anger	0.500	įžūlus
foaming	anger	0.500	putojantis
disrupting	anger	0.500	trikdantis
nobodycares	anger	0.500	niekam nerūpi
patronising	anger	0.500	globojantis
getoveryourself	anger	0.495	susitvarkyk
toughness	anger	0.492	kietumas
stupidpeople	anger	0.492	kvaili žmonės
madness	anger	0.491	beprotybė
sinful	anger	0.491	nuodėmingas
avarice	anger	0.490	gobšumas
oppress	anger	0.490	engti
cutting	anger	0.485	pjaustymas
anathema	anger	0.485	anatema
annoyed	anger	0.485	susierzinęs
dissident	anger	0.485	disidentas
demand	anger	0.485	paklausa
usurp	anger	0.485	uzurpuoti
claw	anger	0.485	letena
alienate	anger	0.485	atstumti
infraction	anger	0.485	pažeidimas
avenger	anger	0.485	keršytojas
revoke	anger	0.485	atšaukti
smuggler	anger	0.485	kontrabandininkas
abolish	anger	0.485	panaikinti
fricking	anger	0.485	keikimasis
stayaway	anger	0.485	laikytis atokiau
pervert	anger	0.485	iškrypėlis
disservice	anger	0.485	meškos paslauga
disobedient	anger	0.485	nepaklusnus
incest	anger	0.485	kraujomaiša
complaint	anger	0.485	skundas
disapproved	anger	0.485	nepritarė
inhuman	anger	0.485	nežmoniškas
mocking	anger	0.484	pašaipiai
penalty	anger	0.484	bauda
renounce	anger	0.484	išsižadėti
restrain	anger	0.484	suvaržyti
upheaval	anger	0.484	sukrėtimas
deceit	anger	0.484	apgaulė
obnoxious	anger	0.484	nemalonus
imprisoned	anger	0.484	įkalintas
strained	anger	0.484	įtemptas
blame	anger	0.484	kaltinti
oust	anger	0.484	išstumti
litigious	anger	0.484	bylinėtis
rivalry	anger	0.484	konkurencija
sucker	anger	0.484	čiulptukas
opposed	anger	0.484	priešinosi
thresh	anger	0.484	kulti
disgrace	anger	0.484	gėda
suspicious	anger	0.484	įtartinas
turbulence	anger	0.483	turbulencija
