English Word	Emotion	Emotion-Intensity-Score	Azerbaijani Word
depraved	anger	0.591	pozğun
immoral	anger	0.591	əxlaqsız
overpowering	anger	0.591	üstələyən
scare	anger	0.588	qorxutmaq
recalcitrant	anger	0.588	inadkar
screwed	anger	0.588	vidalanmış
accursed	anger	0.588	lənətlənmiş
soannoyed	anger	0.588	əsəbiləşdi
invader	anger	0.588	işğalçı
jealousy	anger	0.587	qısqanclıq
indignation	anger	0.587	qəzəb
vexed	anger	0.586	əsəbiləşdi
confront	anger	0.582	üz-üzə gəlmək
brute	anger	0.581	kobud
throttle	anger	0.579	qaz
slut	anger	0.578	fahişə
coup	anger	0.578	çevriliş
blaze	anger	0.578	alov
pillage	anger	0.578	talan
provoking	anger	0.578	təhrikedici
damage	anger	0.578	zərər
criminality	anger	0.578	cinayətkarlıq
shutup	anger	0.578	kəs səsini
lash	anger	0.578	kirpik
conflict	anger	0.578	münaqişə
contentious	anger	0.578	mübahisəli
shutit	anger	0.578	qapalı
wreck	anger	0.578	qəza
defiant	anger	0.578	müxalif
butcher	anger	0.578	qəssab
incarceration	anger	0.578	həbs
revolver	anger	0.578	revolver
bickering	anger	0.578	çəkişmə
yousuck	anger	0.578	sən pis
cancer	anger	0.577	xərçəng
discriminate	anger	0.576	ayrı-seçkilik etmək
gun	anger	0.576	silah
frustration	anger	0.576	məyusluq
gory	anger	0.576	qanlı
pernicious	anger	0.576	zərərli
dontmess	anger	0.576	etmə
blasphemy	anger	0.576	küfr
chaotic	anger	0.576	xaotik
grope	anger	0.576	ovlamaq
alienation	anger	0.576	yadlaşma
disturbance	anger	0.576	narahatlıq
condescension	anger	0.576	təvazökarlıq
standoff	anger	0.576	qarşıdurma
discord	anger	0.576	ixtilaf
friggen	anger	0.575	friggen
sneer	anger	0.574	istehza
death	anger	0.574	ölüm
lunacy	anger	0.574	dəlilik
scandalous	anger	0.574	qalmaqallı
oppressive	anger	0.574	zülmkar
jab	anger	0.574	jab
cursed	anger	0.574	lənət
monstrosity	anger	0.574	vəhşilik
shit	anger	0.573	bok
disparaging	anger	0.571	aşağılayan
slash	anger	0.571	kəsişmək
unfair	anger	0.571	ədalətsiz
gallows	anger	0.570	dar ağacı
escalate	anger	0.569	yüksəltmək
intolerant	anger	0.564	dözümsüz
lawlessness	anger	0.563	qanunsuzluq
beast	anger	0.562	heyvan
torpedo	anger	0.562	torpedo
malign	anger	0.562	bədxassəli
traitor	anger	0.562	satqın
frightful	anger	0.562	qorxulu
wrangling	anger	0.562	çəkişmə
slander	anger	0.562	böhtan
bellows	anger	0.562	körük
retards	anger	0.562	ləngidir
grouchy	anger	0.562	huysuz
derogatory	anger	0.562	alçaldıcı
bearish	anger	0.562	ayı
invade	anger	0.562	işğal etmək
perdition	anger	0.562	məhv olmaq
arghh	anger	0.562	arghh
dreadful	anger	0.562	qorxulu
bluddy	anger	0.562	tutqun
deceived	anger	0.562	aldandı
glare	anger	0.562	parıltı
taunt	anger	0.562	istehza
dissension	anger	0.561	ixtilaf
cross	anger	0.561	xaç
rave	anger	0.561	heyran
grating	anger	0.561	ızgara
devastating	anger	0.561	dağıdıcı
fits	anger	0.561	uyğun gəlir
jeopardize	anger	0.561	təhlükəyə atmaq
shatter	anger	0.561	parçalamaq
idiots	anger	0.561	axmaqlar
hurt	anger	0.561	incitmək
thief	anger	0.561	oğru
uncontrollable	anger	0.561	nəzarətsiz
conflagration	anger	0.561	alovlanma
betrayal	anger	0.561	xəyanət
banshee	anger	0.561	banshee
subjugation	anger	0.559	tabeçilik
disturbed	anger	0.559	narahat etdi
stomped	anger	0.557	ayaq basdı
grab	anger	0.557	tutmaq
grievance	anger	0.556	şikayət
ticked	anger	0.556	işarələndi
masochism	anger	0.556	mazoxizm
defiance	anger	0.552	itaətsizlik
blackmail	anger	0.550	şantaj
offensive	anger	0.549	hücumçu
decry	anger	0.548	danlamaq
frustrates	anger	0.547	məyus edir
violation	anger	0.547	pozulması
confine	anger	0.547	məhdudlaşdırmaq
misery	anger	0.547	səfalət
arghhhh	anger	0.547	aghhhh
disparity	anger	0.547	uyğunsuzluq
punishment	anger	0.547	cəza
rebel	anger	0.547	üsyankar
preposterous	anger	0.547	axmaq
disgraceful	anger	0.547	biabırçı
ire	anger	0.547	qəzəb
deceive	anger	0.547	aldatmaq
fustrated	anger	0.547	əsəbiləşdi
sin	anger	0.547	günah
shrill	anger	0.547	gurultu
darkside	anger	0.547	qaranlıq tərəf
overbearing	anger	0.547	hədsiz
firearms	anger	0.547	odlu silahlar
stolen	anger	0.546	oğurlanmış
hadenough	anger	0.546	yetər
prejudice	anger	0.545	qərəz
tackle	anger	0.545	həll etmək
resentful	anger	0.545	küskün
heated	anger	0.545	qızdırılmış
callous	anger	0.545	qəddar
conspirator	anger	0.545	sui-qəsdçi
ruined	anger	0.545	dağılmış
antagonist	anger	0.545	antaqonist
skirmish	anger	0.545	atışma
menace	anger	0.545	təhlükə
annoyin	anger	0.545	bezdirici
foul	anger	0.545	faul
argument	anger	0.545	arqument
humiliate	anger	0.545	alçaltmaq
wanker	anger	0.545	avara
adversary	anger	0.545	düşmən
sting	anger	0.544	sancmaq
entangled	anger	0.544	dolaşıq
grumble	anger	0.544	deyinmək
robbery	anger	0.544	soyğunçuluq
outcry	anger	0.544	qışqırmaq
resistance	anger	0.543	müqavimət
irreconcilable	anger	0.543	barışmaz
obstructive	anger	0.542	obstruktiv
dismay	anger	0.540	qorxu
mob	anger	0.538	izdiham
juststop	anger	0.537	sadəcə dayan
badness	anger	0.536	pislik
ridicule	anger	0.534	istehza
incendiary	anger	0.533	yandırıcı
flares	anger	0.532	alovlar
twofaced	anger	0.531	ikiüzlü
reckless	anger	0.531	ehtiyatsız
communism	anger	0.531	kommunizm
allegation	anger	0.531	iddia
prejudicial	anger	0.531	qərəzli
whip	anger	0.531	qamçı
unbridled	anger	0.531	cilovsuz
degeneracy	anger	0.531	degenerasiya
intruder	anger	0.531	təcavüzkar
belittle	anger	0.531	alçaltmaq
confinement	anger	0.531	həbs
dispute	anger	0.531	münaqişə
exacerbation	anger	0.531	kəskinləşməsi
uprising	anger	0.531	üsyan
unjust	anger	0.530	ədalətsiz
unjustifiable	anger	0.530	əsassız
perversion	anger	0.530	pozğunluq
bigoted	anger	0.530	fanat
fiesty	anger	0.530	alovlu
offender	anger	0.530	cinayətkar
dictatorial	anger	0.530	diktator
hassle	anger	0.530	əngəl
dissonance	anger	0.530	dissonans
tackled	anger	0.530	mübarizə apardı
renegade	anger	0.529	dönük
cantstandit	anger	0.529	dözə bilməz
trespass	anger	0.529	pozmaq
hot	anger	0.529	isti
prison	anger	0.529	həbsxana
suicide	anger	0.521	intihar
annoy	anger	0.520	bezdirmək
leavemealone	anger	0.517	məni yalnız burax
cretins	anger	0.516	kretinlər
depravity	anger	0.516	pozğunluq
idiotic	anger	0.516	axmaq
dishonest	anger	0.516	vicdansız
distrust	anger	0.516	inamsızlıq
broil	anger	0.516	qızartmaq
grrr	anger	0.516	grrr
criticize	anger	0.516	tənqid etmək
inimical	anger	0.516	düşmən
tortious	anger	0.516	əzablı
prisoner	anger	0.516	məhbus
treason	anger	0.516	xəyanət
divorce	anger	0.516	boşanma
venting	anger	0.516	havalandırma
duress	anger	0.516	məcbur etmək
disrespectful	anger	0.516	hörmətsiz
poaching	anger	0.515	brakonyerlik
scold	anger	0.515	danlamaq
poachers	anger	0.515	brakonyerlər
pow	anger	0.515	güc
hangry	anger	0.515	acdır
argumentation	anger	0.515	arqumentasiya
frustrating	anger	0.515	sinir bozucu
unkind	anger	0.515	mehriban
roar	anger	0.515	nərilti
coercion	anger	0.515	məcburiyyət
unforgiving	anger	0.515	bağışlamaz
grump	anger	0.515	gurultu
bile	anger	0.515	öd
unleash	anger	0.515	sərbəst buraxmaq
chaos	anger	0.515	xaos
victimized	anger	0.515	qurban
jerks	anger	0.515	cahillər
tussle	anger	0.514	çəkişmə
bane	anger	0.511	bəla
accusation	anger	0.510	ittiham
enmity	anger	0.510	düşmənçilik
repudiation	anger	0.510	inkar
banish	anger	0.509	qovmaq
disfigured	anger	0.508	eybəcərləşdi
storm	anger	0.507	fırtına
crazy	anger	0.500	dəli
hammering	anger	0.500	çəkic
defy	anger	0.500	meydan oxumaq
antithesis	anger	0.500	antiteza
scoff	anger	0.500	istehza
anguish	anger	0.500	iztirab
confined	anger	0.500	qapalı
fear	anger	0.500	qorxu
bout	anger	0.500	mübarizə
unruly	anger	0.500	itaətsiz
delusional	anger	0.500	xəyalpərəst
obstruct	anger	0.500	mane olmaq
possessed	anger	0.500	sahib oldu
injustice	anger	0.500	ədalətsizlik
fervor	anger	0.500	şövq
spear	anger	0.500	nizə
derision	anger	0.500	istehza
intractable	anger	0.500	dözülməz
reject	anger	0.500	rədd etmək
dominate	anger	0.500	hakim olmaq
ordeal	anger	0.500	sınaq
banished	anger	0.500	qovulmuş
rejects	anger	0.500	rədd edir
shun	anger	0.500	çəkinmək
brunt	anger	0.500	ağır
derogation	anger	0.500	istisna
frenzied	anger	0.500	qəzəbli
animus	anger	0.500	düşmən
suppression	anger	0.500	bastırma
malpractice	anger	0.500	səhv hərəkət
brazen	anger	0.500	həyasız
foaming	anger	0.500	köpüklənmə
disrupting	anger	0.500	pozan
nobodycares	anger	0.500	heç kimin vecinə deyil
patronising	anger	0.500	himayədarlıq
getoveryourself	anger	0.495	Özündən ötrü
toughness	anger	0.492	sərtlik
stupidpeople	anger	0.492	axmaq insanlar
madness	anger	0.491	dəlilik
sinful	anger	0.491	günahkar
avarice	anger	0.490	xəsislik
oppress	anger	0.490	zülm etmək
cutting	anger	0.485	kəsmə
anathema	anger	0.485	anatema
annoyed	anger	0.485	əsəbiləşdi
dissident	anger	0.485	dissident
demand	anger	0.485	tələb
usurp	anger	0.485	qəsb etmək
claw	anger	0.485	pəncə
alienate	anger	0.485	özgələşdirmək
infraction	anger	0.485	pozuntu
avenger	anger	0.485	qisasçı
revoke	anger	0.485	ləğv etmək
smuggler	anger	0.485	qaçaqmalçı
abolish	anger	0.485	ləğv etmək
fricking	anger	0.485	sürtünmə
stayaway	anger	0.485	uzaq dur
pervert	anger	0.485	pozğun
disservice	anger	0.485	pis xidmət
disobedient	anger	0.485	itaətsiz
incest	anger	0.485	insest
complaint	anger	0.485	şikayət
disapproved	anger	0.485	bəyənilmədi
inhuman	anger	0.485	qeyri-insani
mocking	anger	0.484	istehza
penalty	anger	0.484	cəza
renounce	anger	0.484	imtina etmək
restrain	anger	0.484	cilovlamaq
upheaval	anger	0.484	sarsıntı
deceit	anger	0.484	hiylə
obnoxious	anger	0.484	iyrənc
imprisoned	anger	0.484	həbs edildi
strained	anger	0.484	gərgin
blame	anger	0.484	günahlandırmaq
oust	anger	0.484	qovmaq
litigious	anger	0.484	davalı
rivalry	anger	0.484	rəqabət
sucker	anger	0.484	əmzik
opposed	anger	0.484	qarşı çıxdı
thresh	anger	0.484	xırman
disgrace	anger	0.484	biabırçılıq
suspicious	anger	0.484	şübhəli
