English Word	Emotion	Emotion-Intensity-Score	Hawaiian Word
shot	anger	0.672	pana
cruelly	anger	0.672	lokoino
shoot	anger	0.672	pana
condemnation	anger	0.672	ka hoohewa ana
crushed	anger	0.672	ʻeha ʻia
aggravation	anger	0.672	hoehaehae
poisonous	anger	0.672	ʻawaʻawa
egregious	anger	0.672	ʻinoʻino
crime	anger	0.672	kalaima
corrupting	anger	0.672	hana ino
dastardly	anger	0.672	hoʻomāʻewaʻewa
contempt	anger	0.672	hoowahawaha
harmful	anger	0.672	mea ino
expletive	anger	0.672	hoʻomāʻewaʻewa
wreak	anger	0.672	wreak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	ʻoki ʻoki
enemy	anger	0.667	enemi
hit	anger	0.667	hahau
hateeveryone	anger	0.667	inaina i na mea a pau
eruption	anger	0.667	pele pele
irritable	anger	0.667	ukiuki
odious	anger	0.667	ʻinoʻino
shooting	anger	0.667	pana ana
shout	anger	0.667	walaau aku
aggressive	anger	0.667	hoʻopaʻapaʻa
kick	anger	0.667	kiʻi
combat	anger	0.667	kaua
fight	anger	0.667	hakaka
punished	anger	0.662	hoopaiia
yell	anger	0.661	uē
ambush	anger	0.661	hoʻohālua
harass	anger	0.659	hoopilikia
malignant	anger	0.656	ʻinoʻino
aggressor	anger	0.656	mea hoowahawaha
gore	anger	0.656	ʻeha
destruction	anger	0.656	luku
grudge	anger	0.656	inaina
antichrist	anger	0.656	antikristo
incense	anger	0.656	mea ʻala
expel	anger	0.656	kipaku
cranky	anger	0.653	ʻūhū
slave	anger	0.652	kauā
reprisal	anger	0.652	ka hoʻopaʻi ʻana
growl	anger	0.652	ʻōhumu
animosity	anger	0.652	inaina
insurrection	anger	0.652	kipi
clashing	anger	0.652	paio ana
denounce	anger	0.652	hoʻohewa
offended	anger	0.652	hōʻeha
spank	anger	0.652	hahau
insulting	anger	0.652	hoʻomāinoino
growls	anger	0.649	ʻūhū
executioner	anger	0.644	mea hoʻopaʻapaʻa
twat	anger	0.644	ʻūhā
doomsday	anger	0.643	lā make
obscenity	anger	0.641	ka olelo ino
accused	anger	0.641	hoʻopiʻi ʻia
feud	anger	0.641	paio
daemon	anger	0.641	daemon
havoc	anger	0.641	pōʻino
shackle	anger	0.641	kaulahao
inexcusable	anger	0.641	hiki ole ke kalaia
indignant	anger	0.641	huhu
grr	anger	0.641	grr
expulsion	anger	0.641	kipaku
bombard	anger	0.641	hoʻopāpā
spat	anger	0.641	kuha aku
arson	anger	0.641	puhi ahi
reprimand	anger	0.641	hoʻopāpā
somad	anger	0.637	somad
frustrated	anger	0.636	huhū
batter	anger	0.636	pāpaʻi
kicking	anger	0.636	kiʻi ʻana
anarchy	anger	0.636	kūʻē
spanking	anger	0.636	hahau ana
glaring	anger	0.636	ʻālohilohi
suicidal	anger	0.636	pepehi kanaka
disgusting	anger	0.636	hoʻopailua
wound	anger	0.636	ʻeha
hanging	anger	0.636	e kau ana
poisoned	anger	0.636	ʻona
combatant	anger	0.636	mea hakakā
wrecked	anger	0.633	wawahiia
inflict	anger	0.633	e hookau aku
grievous	anger	0.632	kaumaha
prosecute	anger	0.630	hoʻopiʻi
agitated	anger	0.630	hoonaukiuki
cheat	anger	0.630	hoʻopunipuni
swastika	anger	0.627	swastika
injure	anger	0.625	hōʻeha
indict	anger	0.625	hoʻopiʻi
scourge	anger	0.625	hahau
provocation	anger	0.625	hoonaukiuki
suffocation	anger	0.625	ʻūhā
strife	anger	0.625	paio
raid	anger	0.625	hoouka kaua
enslaved	anger	0.625	hookauwa
cursing	anger	0.625	hoino
defamatory	anger	0.625	hōʻino
harassing	anger	0.625	hoopilikia
thundering	anger	0.625	hekili
betray	anger	0.625	kumakaia
arsehole	anger	0.624	pāʻani
theft	anger	0.621	ʻaihue
insane	anger	0.621	pupule
retaliation	anger	0.621	ka hoʻopaʻi ʻana
irritate	anger	0.621	hoonaukiuki
deprivation	anger	0.621	nele
fiend	anger	0.621	kupua
jerk	anger	0.621	haʻalulu
convict	anger	0.621	hoahewa
cussed	anger	0.619	ʻōlelo ʻia
turmoil	anger	0.618	haunaele
smack	anger	0.615	paʻi
retribution	anger	0.614	ka hoopai ana
rebellion	anger	0.609	kipi
oppressor	anger	0.609	mea hooluhi
gang	anger	0.609	pūʻulu
slavery	anger	0.609	hookauwa
intolerable	anger	0.609	hiki ole ke hoomanawanui
adverse	anger	0.609	ʻinoʻino
injurious	anger	0.609	ʻehaʻeha
twats	anger	0.609	twats
collision	anger	0.609	huikau
battery	anger	0.609	pākaukau
bitterly	anger	0.609	awaawa
antagonism	anger	0.609	hoʻopaʻapaʻa
irritability	anger	0.609	ukiuki
disgraced	anger	0.608	hoʻohilahila ʻia
diatribe	anger	0.606	diatribe
asshole	anger	0.606	puʻukū
blast	anger	0.606	pahū
bombardment	anger	0.606	hoʻopāpā
irks	anger	0.606	irks
ranting	anger	0.606	ʻōhumu ʻino
revolution	anger	0.606	kipi
thug	anger	0.606	pōā
antagonistic	anger	0.606	kūʻē
irritating	anger	0.606	hoonaukiuki
sickening	anger	0.606	ʻehaʻeha
discrimination	anger	0.606	hoowahawaha
frustrate	anger	0.604	hoohihia
insult	anger	0.603	hōʻino
hurtful	anger	0.603	ʻehaʻeha
oppression	anger	0.603	hookaumaha
manipulation	anger	0.603	hoʻopunipuni
tiredofit	anger	0.603	luhi luhi
bigot	anger	0.603	manaʻo nui
tension	anger	0.603	haʻalulu
disgust	anger	0.602	hoʻopailua
spite	anger	0.600	hoʻomāʻewaʻewa
intrusive	anger	0.598	hoʻopio
harshness	anger	0.597	ʻoʻoleʻa
slur	anger	0.596	hoʻomāʻewaʻewa
tempest	anger	0.594	makani ino
assail	anger	0.594	hoʻouka kaua
bitterness	anger	0.594	ʻawaʻawa
morbidity	anger	0.594	maʻi maʻi
casualty	anger	0.594	poino
puncture	anger	0.594	ʻōʻō
miserable	anger	0.594	poino
inferno	anger	0.594	inferno
invasion	anger	0.594	hoouka kaua
storming	anger	0.594	ʻinoʻino
wretch	anger	0.594	poino
consternation	anger	0.592	ka haalulu
raving	anger	0.591	hoʻōho
forcibly	anger	0.591	me ka ikaika
guillotine	anger	0.591	guillotine
guilty	anger	0.591	hewa
depraved	anger	0.591	ino
immoral	anger	0.591	moe kolohe
overpowering	anger	0.591	ka mana nui
scare	anger	0.588	makaʻu
recalcitrant	anger	0.588	hoʻopaʻapaʻa
screwed	anger	0.588	wili ʻia
accursed	anger	0.588	hōʻino ʻia
soannoyed	anger	0.588	huhū loa
invader	anger	0.588	hoʻouka kaua
jealousy	anger	0.587	lili
indignation	anger	0.587	ukiuki
vexed	anger	0.586	ukiuki
confront	anger	0.582	kūʻē
brute	anger	0.581	kolohe
throttle	anger	0.579	throttle
slut	anger	0.578	wahine hoʻokamakama
coup	anger	0.578	hoʻokahuli aupuni
blaze	anger	0.578	lapalapa
pillage	anger	0.578	hao wale
provoking	anger	0.578	hoonaukiuki
damage	anger	0.578	poino
criminality	anger	0.578	ka hewa
shutup	anger	0.578	hāmau
lash	anger	0.578	hahau
conflict	anger	0.578	paio
contentious	anger	0.578	paio
shutit	anger	0.578	pani pani
wreck	anger	0.578	pōʻino
defiant	anger	0.578	hoole
butcher	anger	0.578	kahu hānai
incarceration	anger	0.578	hoʻopaʻahao
revolver	anger	0.578	pu panapana
bickering	anger	0.578	hoʻopaʻapaʻa
yousuck	anger	0.578	hoka ʻoe
cancer	anger	0.577	ma'i 'a'ai
discriminate	anger	0.576	hoʻokae
gun	anger	0.576	pū
frustration	anger	0.576	hoehaehae
gory	anger	0.576	ʻehaʻeha
pernicious	anger	0.576	hana ino
dontmess	anger	0.576	mai huikau
blasphemy	anger	0.576	olelo hoino
chaotic	anger	0.576	huikau
grope	anger	0.576	hāhā
alienation	anger	0.576	kaawale
disturbance	anger	0.576	haunaele
condescension	anger	0.576	hoʻohaʻahaʻa
standoff	anger	0.576	kūʻokoʻa
discord	anger	0.576	hoʻopaʻapaʻa
friggen	anger	0.575	friggen
sneer	anger	0.574	hoʻomāʻewaʻewa
death	anger	0.574	make
lunacy	anger	0.574	pupule
scandalous	anger	0.574	hoʻohilahila
oppressive	anger	0.574	hookaumaha
jab	anger	0.574	jab
cursed	anger	0.574	hōʻino ʻia
monstrosity	anger	0.574	ʻinoʻino
shit	anger	0.573	ʻūhā
disparaging	anger	0.571	hoowahawaha
slash	anger	0.571	hōʻemi
unfair	anger	0.571	pono ole
gallows	anger	0.570	lāʻau ʻauʻau
escalate	anger	0.569	piʻi
intolerant	anger	0.564	hoʻomanawanui ʻole
lawlessness	anger	0.563	ka hewa
beast	anger	0.562	holoholona
torpedo	anger	0.562	torpedo
malign	anger	0.562	ʻinoʻino
traitor	anger	0.562	kumakaia
frightful	anger	0.562	weliweli
wrangling	anger	0.562	paio ana
slander	anger	0.562	ʻōlelo hōʻino
bellows	anger	0.562	bellows
retards	anger	0.562	hoʻopaneʻe
grouchy	anger	0.562	ʻūhū
derogatory	anger	0.562	hoʻomāʻewaʻewa
bearish	anger	0.562	haʻahaʻa
invade	anger	0.562	hoʻouka
perdition	anger	0.562	ka make
arghh	anger	0.562	arghh
dreadful	anger	0.562	weliweli
bluddy	anger	0.562	bluddy
deceived	anger	0.562	hoopunipuni
glare	anger	0.562	ʻālohilohi
taunt	anger	0.562	hoʻomāʻewaʻewa
dissension	anger	0.561	kuee
cross	anger	0.561	kea
rave	anger	0.561	hoʻohiwahiwa
grating	anger	0.561	mākūʻai
devastating	anger	0.561	e hoopoino ana
fits	anger	0.561	kūpono
jeopardize	anger	0.561	pilikia
shatter	anger	0.561	wawahi
idiots	anger	0.561	poe naaupo
hurt	anger	0.561	ʻeha
thief	anger	0.561	ʻaihue
uncontrollable	anger	0.561	hiki ole ke hoomaluia
conflagration	anger	0.561	ke ahi ahi
betrayal	anger	0.561	kumakaia
banshee	anger	0.561	banshee
subjugation	anger	0.559	ka hookauwa ana
disturbed	anger	0.559	hoʻopilikia ʻia
stomped	anger	0.557	hehi
grab	anger	0.557	hopu
grievance	anger	0.556	hoʻopiʻi
ticked	anger	0.556	kiʻi ʻia
masochism	anger	0.556	masochism
defiance	anger	0.552	ka hoole ana
blackmail	anger	0.550	ʻeleʻele
offensive	anger	0.549	hōʻeha
decry	anger	0.548	hoʻohewa
frustrates	anger	0.547	hoonaukiuki
violation	anger	0.547	uhaki
confine	anger	0.547	hoʻopaʻa
misery	anger	0.547	poino
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ʻokoʻa
punishment	anger	0.547	hoʻopaʻi
rebel	anger	0.547	kipi
preposterous	anger	0.547	hoʻopunipuni
disgraceful	anger	0.547	hoohilahila
ire	anger	0.547	ire
deceive	anger	0.547	hoopunipuni
fustrated	anger	0.547	huhu
sin	anger	0.547	hewa
shrill	anger	0.547	uwau
darkside	anger	0.547	ʻaoʻao pouli
overbearing	anger	0.547	hookiekie
firearms	anger	0.547	nā pū
stolen	anger	0.546	ʻaihue ʻia
hadenough	anger	0.546	pono
prejudice	anger	0.545	ka manao ino
tackle	anger	0.545	hoʻopaʻapaʻa
resentful	anger	0.545	huhu
heated	anger	0.545	wela
callous	anger	0.545	pilihua
conspirator	anger	0.545	mea kipi
ruined	anger	0.545	hoʻopau ʻia
antagonist	anger	0.545	mea kūʻē
skirmish	anger	0.545	hakaka
menace	anger	0.545	hoʻoweliweli
annoyin	anger	0.545	hoʻonāukiuki
foul	anger	0.545	ino
argument	anger	0.545	hoʻopaʻapaʻa
humiliate	anger	0.545	hoʻohaʻahaʻa
wanker	anger	0.545	wanker
adversary	anger	0.545	ʻenemi
sting	anger	0.544	ʻūhā
entangled	anger	0.544	hihia
grumble	anger	0.544	ʻōhumu
robbery	anger	0.544	powa
outcry	anger	0.544	uē
resistance	anger	0.543	kūʻē
irreconcilable	anger	0.543	hiki ole ke kuikahi
obstructive	anger	0.542	keakea
dismay	anger	0.540	pilikia
mob	anger	0.538	poʻe pōʻino
juststop	anger	0.537	kū wale
badness	anger	0.536	ino
ridicule	anger	0.534	hoohenehene
incendiary	anger	0.533	mea puhi ahi
flares	anger	0.532	nā lapalapa
twofaced	anger	0.531	makaʻelua
reckless	anger	0.531	hoʻohalahala
communism	anger	0.531	komunisme
allegation	anger	0.531	hoʻopiʻi
prejudicial	anger	0.531	hoʻohewahewa
whip	anger	0.531	hahau
unbridled	anger	0.531	kaohi ole
degeneracy	anger	0.531	degeneracy
intruder	anger	0.531	mea komo hewa
belittle	anger	0.531	hoowahawaha
confinement	anger	0.531	hoʻopaʻa ʻia
dispute	anger	0.531	hoʻopaʻapaʻa
exacerbation	anger	0.531	hoʻomāhuahua
uprising	anger	0.531	kipi
unjust	anger	0.530	pono ole
unjustifiable	anger	0.530	pono ole
perversion	anger	0.530	kolohe
bigoted	anger	0.530	pilihua
fiesty	anger	0.530	fiesty
offender	anger	0.530	lawehala
dictatorial	anger	0.530	dictactor
hassle	anger	0.530	pilikia
dissonance	anger	0.530	dissonance
tackled	anger	0.530	hoʻopaʻa ʻia
renegade	anger	0.529	kipi
cantstandit	anger	0.529	hiki ole
trespass	anger	0.529	komo hewa
hot	anger	0.529	wela
prison	anger	0.529	halepaahao
suicide	anger	0.521	pepehi kanaka
annoy	anger	0.520	hoonaukiuki
leavemealone	anger	0.517	e waiho mai iaʻu
cretins	anger	0.516	cretins
depravity	anger	0.516	ka hewa
idiotic	anger	0.516	pupule
dishonest	anger	0.516	pono ole
distrust	anger	0.516	paulele ole
broil	anger	0.516	kālua
grrr	anger	0.516	grrr
criticize	anger	0.516	hoohewahewa
inimical	anger	0.516	hana ino
tortious	anger	0.516	ʻinoʻino
prisoner	anger	0.516	pio
treason	anger	0.516	kipi
divorce	anger	0.516	oki mare
venting	anger	0.516	hoʻokuʻu ʻana
duress	anger	0.516	koʻikoʻi
disrespectful	anger	0.516	mahalo ole
poaching	anger	0.515	poaching
scold	anger	0.515	ʻāhewa
poachers	anger	0.515	poachers
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	hoʻopaʻapaʻa
frustrating	anger	0.515	hoohihia
unkind	anger	0.515	aloha ole
roar	anger	0.515	halulu
coercion	anger	0.515	ka hooikaika ana
unforgiving	anger	0.515	kala ole
grump	anger	0.515	ʻōhumu
bile	anger	0.515	bile
unleash	anger	0.515	wehe
chaos	anger	0.515	haunaele
victimized	anger	0.515	hoʻopilikia ʻia
jerks	anger	0.515	ʻāneʻe
tussle	anger	0.514	paio
bane	anger	0.511	hoʻopaʻapaʻa
accusation	anger	0.510	hoʻohewa
enmity	anger	0.510	inaina
repudiation	anger	0.510	hoole ana
banish	anger	0.509	kipaku
disfigured	anger	0.508	ino
storm	anger	0.507	ino
crazy	anger	0.500	lōlō
hammering	anger	0.500	hāmama
defy	anger	0.500	kūʻē
antithesis	anger	0.500	kūʻē
scoff	anger	0.500	hoʻomāʻewaʻewa
anguish	anger	0.500	ehaeha
confined	anger	0.500	paa
fear	anger	0.500	makaʻu
bout	anger	0.500	pili
unruly	anger	0.500	kū ʻole
delusional	anger	0.500	hoʻopunipuni
obstruct	anger	0.500	keakea
possessed	anger	0.500	loaa
injustice	anger	0.500	ka pono ole
fervor	anger	0.500	hooikaika kino
spear	anger	0.500	ihe
derision	anger	0.500	hoʻohenehene
intractable	anger	0.500	paakiki
reject	anger	0.500	hoole
dominate	anger	0.500	hoʻomalu
ordeal	anger	0.500	pilikia
banished	anger	0.500	kipakuia
rejects	anger	0.500	hoole
shun	anger	0.500	pale aku
brunt	anger	0.500	kaumaha
derogation	anger	0.500	hoʻohaʻahaʻa
frenzied	anger	0.500	pupule
animus	anger	0.500	animus
suppression	anger	0.500	kaohi ana
malpractice	anger	0.500	hana ino
brazen	anger	0.500	keleawe
foaming	anger	0.500	huāhuā
disrupting	anger	0.500	hoʻopilikia
nobodycares	anger	0.500	ʻaʻohe mea mālama
patronising	anger	0.500	mālama ʻana
getoveryourself	anger	0.495	e hoopau ia oe iho
toughness	anger	0.492	ʻoʻoleʻa
stupidpeople	anger	0.492	poe naaupo
madness	anger	0.491	pupule
sinful	anger	0.491	hewa
avarice	anger	0.490	kuko wale
oppress	anger	0.490	hookaumaha
cutting	anger	0.485	ʻoki ʻoki
anathema	anger	0.485	hoinoino
annoyed	anger	0.485	huhū
dissident	anger	0.485	kuee
demand	anger	0.485	koi
usurp	anger	0.485	ʻaihue
claw	anger	0.485	maiuu
alienate	anger	0.485	kaawale
infraction	anger	0.485	hana ino
