English Word	Emotion	Emotion-Intensity-Score	Hungarian Word
tumultuous	anger	0.844	lármás
infuriate	anger	0.844	felbosszant
obliterate	anger	0.843	kitöröl
belligerent	anger	0.841	hadviselő
dumbbitch	anger	0.841	hülyegyerek
detest	anger	0.838	utálni
hostilities	anger	0.837	ellenségeskedések
prick	anger	0.835	pöcs
rampage	anger	0.833	tombol
horrid	anger	0.833	borzalmas
cruelty	anger	0.833	kegyetlenség
torture	anger	0.833	kínzás
rabid	anger	0.833	fanatikus
despicable	anger	0.828	megvetendő
tyrannical	anger	0.828	zsarnoki
demonic	anger	0.828	démoni
satanic	anger	0.828	sátáni
hate	anger	0.828	gyűlöl
ragemode	anger	0.828	ragemode
hating	anger	0.828	gyűlölni
ruinous	anger	0.825	romboló
condemn	anger	0.825	elítélni
riots	anger	0.824	zavargások
demolish	anger	0.824	lebontani
angry	anger	0.824	mérges
extermination	anger	0.824	kiirtás
dickhead	anger	0.824	faszfejű
livid	anger	0.821	fakó
madman	anger	0.820	őrült
vindictive	anger	0.819	bosszúszomjas
terrorist	anger	0.818	terrorista
threaten	anger	0.818	fenyeget
venomous	anger	0.818	mérges
hateyou	anger	0.818	utállak
ferocity	anger	0.818	vadság
effyou	anger	0.818	effyou
abhor	anger	0.816	gyűlöl
carnage	anger	0.814	vérontás
savage	anger	0.814	vad
atrocity	anger	0.814	kegyetlenség
fucksake	anger	0.812	kibaszott
abuse	anger	0.812	visszaélés
fierce	anger	0.812	vad
destroyer	anger	0.812	romboló
angrytweet	anger	0.812	dühös tweet
barbaric	anger	0.812	barbár
vendetta	anger	0.812	vérbosszú
pissesmeoff	anger	0.812	dühös
pissedoff	anger	0.812	dühös
tyrant	anger	0.812	zsarnok
berserk	anger	0.812	megvadult
fuming	anger	0.812	füstölgő
anger	anger	0.811	harag
pieceofshit	anger	0.810	szar darab
punched	anger	0.803	lyukasztott
punching	anger	0.803	lyukasztás
slam	anger	0.803	slam
homicide	anger	0.803	emberölés
bitch	anger	0.803	kurva
fights	anger	0.803	harcok
ruthless	anger	0.797	könyörtelen
villainous	anger	0.797	aljas
destructive	anger	0.797	romboló
slap	anger	0.791	pofon
riot	anger	0.788	lázadás
growthefuckup	anger	0.788	növekedési faszság
punishing	anger	0.788	büntetés
slaughterhouse	anger	0.788	vágóhíd
yelling	anger	0.788	kiabálva
diabolical	anger	0.788	ördögi
destroyed	anger	0.788	megsemmisült
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	megtorló
manslaughter	anger	0.783	emberölés
clash	anger	0.783	összecsapás
quarrel	anger	0.781	veszekedés
bloody	anger	0.781	véres
hellish	anger	0.781	pokoli
sinister	anger	0.781	baljós
loath	anger	0.781	vonakodva
detonation	anger	0.781	robbanás
accusing	anger	0.779	vádló
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	áruló
madder	anger	0.773	festőbuzér
horrific	anger	0.773	rettenetes
revulsion	anger	0.773	ellenérzés
retaliate	anger	0.773	megtorolni
scorn	anger	0.769	megvetés
bomb	anger	0.766	bomba
deplorable	anger	0.766	siralmas
devastation	anger	0.765	pusztulás
anarchist	anger	0.765	anarchista
firestorm	anger	0.765	tűzvihar
resent	anger	0.765	neheztel
contemptible	anger	0.764	megvetendő
shittest	anger	0.760	legszarabb
rant	anger	0.758	kirohanás
cruel	anger	0.758	kegyetlen
deadly	anger	0.758	halálos
smash	anger	0.758	összetör
soangry	anger	0.758	Annyira dühös
outburst	anger	0.757	kitörés
snarl	anger	0.754	vicsorog
profane	anger	0.750	profán
revolting	anger	0.750	lázadó
aggravating	anger	0.750	súlyosbító
horror	anger	0.750	borzalom
despise	anger	0.750	megvet
offend	anger	0.750	megbántani
stfu	anger	0.750	stfu
vulgarity	anger	0.750	közönségesség
crazed	anger	0.750	őrült
douchebags	anger	0.750	tuskó
growling	anger	0.750	morogva
dontmesswithme	anger	0.750	ne foglalkozz velem
screaming	anger	0.742	sikoltozva
threat	anger	0.742	fenyegetés
erupt	anger	0.742	kinő
horrible	anger	0.742	szörnyű
molestation	anger	0.742	molesztálás
fuckedoff	anger	0.742	kibaszott
violence	anger	0.742	erőszak
bastards	anger	0.741	köcsögök
revenge	anger	0.738	bosszú
menacing	anger	0.735	fenyegető
crushing	anger	0.735	zúzó
damn	anger	0.735	átkozott
catastrophe	anger	0.735	katasztrófa
demon	anger	0.735	démon
argue	anger	0.734	vitatkozni
persecute	anger	0.734	üldözni
deplore	anger	0.734	sajnálja
flog	anger	0.734	ostoroz
fedup	anger	0.734	torkig van
riotous	anger	0.734	lázadó
vehement	anger	0.734	heves
revolt	anger	0.734	lázadás
warfare	anger	0.734	hadviselés
thrash	anger	0.734	thrash
altercation	anger	0.729	veszekedés
warlike	anger	0.728	harcias
shitday	anger	0.727	szar nap
mutiny	anger	0.727	lázadás
castrate	anger	0.727	kasztrál
sabotage	anger	0.727	szabotázs
malevolent	anger	0.721	rosszindulatú
strike	anger	0.721	sztrájk
disaster	anger	0.721	katasztrófa
disastrous	anger	0.720	katasztrofális
bastarding	anger	0.719	köcsög
treachery	anger	0.719	árulás
arseholes	anger	0.719	segglyukak
horseshit	anger	0.719	lószart
slay	anger	0.719	megölni
disdain	anger	0.719	megvetés
aggravates	anger	0.719	súlyosbítja
brutal	anger	0.719	brutális
scorching	anger	0.719	perzselő
devil	anger	0.719	ördög
madden	anger	0.719	megőrjít
spiteful	anger	0.719	rosszindulatú
scream	anger	0.719	sikoly
choke	anger	0.719	fojtás
vermin	anger	0.719	féreg
tumult	anger	0.719	felfordulás
criminal	anger	0.714	Bűnügyi
mangle	anger	0.714	mángorló
anarchism	anger	0.714	anarchizmus
mutilation	anger	0.714	csonkítás
denunciation	anger	0.713	felmondás
punch	anger	0.713	puncs
virulence	anger	0.712	virulencia
fatal	anger	0.712	halálos
hurting	anger	0.712	fáj
crucifixion	anger	0.712	keresztre feszítés
dontlikeyou	anger	0.712	nem tetszel
blasphemous	anger	0.712	istenkáromló
holocaust	anger	0.712	Holocaust
dumbasses	anger	0.712	buták
battled	anger	0.712	harcolt
deranged	anger	0.706	megzavarodott
irritated	anger	0.706	ingerülten
atrocious	anger	0.706	kegyetlen
evil	anger	0.706	gonosz
aggravated	anger	0.703	súlyosbítva
intimidation	anger	0.703	megfélemlítés
dicks	anger	0.703	farkukat
assassin	anger	0.703	orgyilkos
scolding	anger	0.703	szidás
persecution	anger	0.703	üldözés
slayer	anger	0.703	Mészáros
kidnap	anger	0.703	elrabol
aggression	anger	0.702	agresszió
armed	anger	0.700	fegyveres
battle	anger	0.697	csata
poison	anger	0.697	méreg
snarling	anger	0.697	vicsorogva
venom	anger	0.697	méreg
disgruntled	anger	0.693	elégedetlen
resentment	anger	0.691	neheztelés
assailant	anger	0.691	támadó
insidious	anger	0.691	alattomos
contemptuous	anger	0.690	megvető
lynch	anger	0.690	lincsel
temper	anger	0.688	kedély
terrible	anger	0.688	szörnyű
disparage	anger	0.688	becsmérel
lunatic	anger	0.688	őrült
bully	anger	0.688	terrorizál
mad	anger	0.688	őrült
makesmemad	anger	0.688	idegesít
infanticide	anger	0.688	csecsemőgyilkosság
domination	anger	0.688	uralom
peeved	anger	0.688	felpiszkált
imprisonment	anger	0.688	bebörtönzés
curse	anger	0.688	átok
volatility	anger	0.687	volatilitás
eradication	anger	0.685	felszámolása
eradicate	anger	0.682	kiirtani
tantrum	anger	0.682	hiszti
scoundrel	anger	0.682	gazember
devastate	anger	0.682	elpusztít
aggressively	anger	0.680	agresszívan
agitation	anger	0.680	agitáció
dictatorship	anger	0.676	diktatúra
irritates	anger	0.676	irritál
profanity	anger	0.673	káromkodás
shove	anger	0.672	lök
nasty	anger	0.672	csúnya
shot	anger	0.672	lövés
cruelly	anger	0.672	kegyetlenül
shoot	anger	0.672	lő
condemnation	anger	0.672	kárhoztatás
crushed	anger	0.672	összetörve
aggravation	anger	0.672	súlyosbodás
poisonous	anger	0.672	mérgező
egregious	anger	0.672	hallatlan
crime	anger	0.672	bűn
corrupting	anger	0.672	korrumpáló
dastardly	anger	0.672	hitvány
contempt	anger	0.672	megvetés
harmful	anger	0.672	káros
expletive	anger	0.672	pót-
wreak	anger	0.672	pusztít
maniac	anger	0.670	mániás
cutthroat	anger	0.667	gyilkos
enemy	anger	0.667	ellenség
hit	anger	0.667	találat
hateeveryone	anger	0.667	mindenkit utálok
eruption	anger	0.667	kitörés
irritable	anger	0.667	ingerlékeny
odious	anger	0.667	utálatos
shooting	anger	0.667	lövés
shout	anger	0.667	kiáltás
aggressive	anger	0.667	agresszív
kick	anger	0.667	rúgás
combat	anger	0.667	harc
fight	anger	0.667	harc
punished	anger	0.662	megbüntették
yell	anger	0.661	ordít
ambush	anger	0.661	csapda
harass	anger	0.659	zaklat
malignant	anger	0.656	rosszindulatú
aggressor	anger	0.656	agresszor
gore	anger	0.656	alvadt vér
destruction	anger	0.656	megsemmisítés
grudge	anger	0.656	ellenszenv
antichrist	anger	0.656	Antikrisztus
incense	anger	0.656	tömjén
expel	anger	0.656	kiutasítani
cranky	anger	0.653	házsártos
slave	anger	0.652	rabszolga
reprisal	anger	0.652	megtorlás
growl	anger	0.652	morgás
animosity	anger	0.652	ellenségeskedés
insurrection	anger	0.652	felkelés
clashing	anger	0.652	összecsapva
denounce	anger	0.652	felmondani
offended	anger	0.652	megsértődött
spank	anger	0.652	ütés
insulting	anger	0.652	sértő
growls	anger	0.649	morog
executioner	anger	0.644	hóhér
twat	anger	0.644	twat
doomsday	anger	0.643	utolsó ítélet
obscenity	anger	0.641	trágárság
accused	anger	0.641	vádlott
feud	anger	0.641	viszály
daemon	anger	0.641	démon
havoc	anger	0.641	pusztítás
shackle	anger	0.641	bilincs
inexcusable	anger	0.641	megbocsáthatatlan
indignant	anger	0.641	felháborodott
grr	anger	0.641	grr
expulsion	anger	0.641	kiutasítás
bombard	anger	0.641	bombáz
spat	anger	0.641	köpött
arson	anger	0.641	gyújtogatás
reprimand	anger	0.641	megrovás
somad	anger	0.637	Annyira dühös
frustrated	anger	0.636	frusztrált
batter	anger	0.636	tészta
kicking	anger	0.636	rugdosni
anarchy	anger	0.636	anarchia
spanking	anger	0.636	verés
glaring	anger	0.636	vakító
suicidal	anger	0.636	öngyilkos
disgusting	anger	0.636	undorító
wound	anger	0.636	seb
hanging	anger	0.636	függő
poisoned	anger	0.636	megmérgezve
combatant	anger	0.636	harcos
wrecked	anger	0.633	tönkrement
inflict	anger	0.633	okoz
grievous	anger	0.632	fájdalmas
prosecute	anger	0.630	vádat emeljenek
agitated	anger	0.630	izgatott
cheat	anger	0.630	csal
swastika	anger	0.627	horogkereszt
injure	anger	0.625	megsebesíteni
indict	anger	0.625	vádol
scourge	anger	0.625	csapás
provocation	anger	0.625	provokáció
suffocation	anger	0.625	fulladás
strife	anger	0.625	viszály
raid	anger	0.625	rajtaütés
enslaved	anger	0.625	leigázott
cursing	anger	0.625	káromkodva
defamatory	anger	0.625	gyalázkodó
harassing	anger	0.625	zaklató
thundering	anger	0.625	mennydörgő
betray	anger	0.625	elárul
arsehole	anger	0.624	segglyuk
theft	anger	0.621	lopás
insane	anger	0.621	őrült
retaliation	anger	0.621	megtorlás
irritate	anger	0.621	idegesít
deprivation	anger	0.621	hiány
fiend	anger	0.621	ördög
jerk	anger	0.621	bunkó
convict	anger	0.621	elítélt
cussed	anger	0.619	megátalkodott
turmoil	anger	0.618	zűrzavar
smack	anger	0.615	cuppanás
retribution	anger	0.614	büntetés
rebellion	anger	0.609	lázadó
oppressor	anger	0.609	zsarnok
gang	anger	0.609	banda
slavery	anger	0.609	rabszolgaság
intolerable	anger	0.609	tűrhetetlen
adverse	anger	0.609	kedvezőtlen
injurious	anger	0.609	káros
twats	anger	0.609	csicska
collision	anger	0.609	ütközés
battery	anger	0.609	akkumulátor
bitterly	anger	0.609	keserűen
antagonism	anger	0.609	ellentét
irritability	anger	0.609	ingerlékenység
disgraced	anger	0.608	megszégyenült
diatribe	anger	0.606	gyalázkodás
asshole	anger	0.606	seggfej
blast	anger	0.606	robbanás
bombardment	anger	0.606	bombázás
irks	anger	0.606	irks
ranting	anger	0.606	rikácsolva
revolution	anger	0.606	forradalom
thug	anger	0.606	orgyilkos
antagonistic	anger	0.606	ellentétes
irritating	anger	0.606	irritáló
sickening	anger	0.606	émelyítő
discrimination	anger	0.606	megkülönböztetés
frustrate	anger	0.604	meghiúsítani
insult	anger	0.603	sértés
hurtful	anger	0.603	bántó
oppression	anger	0.603	elnyomás
manipulation	anger	0.603	manipuláció
tiredofit	anger	0.603	belefáradt
bigot	anger	0.603	bigott
tension	anger	0.603	feszültség
disgust	anger	0.602	undor
spite	anger	0.600	dacára
intrusive	anger	0.598	tolakodó
harshness	anger	0.597	keménység
slur	anger	0.596	elmosódik
tempest	anger	0.594	vihar
assail	anger	0.594	megtámad
bitterness	anger	0.594	keserűség
morbidity	anger	0.594	morbiditás
casualty	anger	0.594	sérülés
puncture	anger	0.594	szúrás
miserable	anger	0.594	nyomorult
inferno	anger	0.594	pokol
invasion	anger	0.594	invázió
storming	anger	0.594	viharzik
wretch	anger	0.594	nyomorult
consternation	anger	0.592	megdöbbenés
raving	anger	0.591	dühöngő
forcibly	anger	0.591	erővel
guillotine	anger	0.591	guillotine
guilty	anger	0.591	bűnös
depraved	anger	0.591	romlott
immoral	anger	0.591	erkölcstelen
overpowering	anger	0.591	ellenállhatatlan
scare	anger	0.588	megijeszt
recalcitrant	anger	0.588	makacs
screwed	anger	0.588	csavart
accursed	anger	0.588	elátkozott
soannoyed	anger	0.588	nagyon bosszús
invader	anger	0.588	határsértő
jealousy	anger	0.587	féltékenység
indignation	anger	0.587	felháborodás
vexed	anger	0.586	bosszús
confront	anger	0.582	szembesülni
brute	anger	0.581	durva
throttle	anger	0.579	gázkar
slut	anger	0.578	kurva
coup	anger	0.578	puccs
blaze	anger	0.578	lángol
pillage	anger	0.578	fosztogatás
provoking	anger	0.578	provokatív
damage	anger	0.578	kár
criminality	anger	0.578	bűnözés
shutup	anger	0.578	fogd be
lash	anger	0.578	szempilla
conflict	anger	0.578	konfliktus
contentious	anger	0.578	vitás
shutit	anger	0.578	zárd be
wreck	anger	0.578	roncs
defiant	anger	0.578	dacos
butcher	anger	0.578	hentes
incarceration	anger	0.578	bebörtönzés
revolver	anger	0.578	revolver
bickering	anger	0.578	civakodás
yousuck	anger	0.578	te szívsz
cancer	anger	0.577	rák
discriminate	anger	0.576	megkülönböztetni
gun	anger	0.576	pisztoly
frustration	anger	0.576	csalódottság
gory	anger	0.576	véres
pernicious	anger	0.576	káros
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	istenkáromlás
chaotic	anger	0.576	kaotikus
grope	anger	0.576	tapogatózva keres
alienation	anger	0.576	elidegenítés
disturbance	anger	0.576	zavarás
condescension	anger	0.576	leereszkedés
standoff	anger	0.576	tartózkodó
discord	anger	0.576	viszály
friggen	anger	0.575	friggen
sneer	anger	0.574	gúnymosoly
death	anger	0.574	halál
lunacy	anger	0.574	elmebaj
scandalous	anger	0.574	botrányos
oppressive	anger	0.574	elnyomó
jab	anger	0.574	döf
cursed	anger	0.574	átkozott
monstrosity	anger	0.574	szörnyűség
shit	anger	0.573	szar
disparaging	anger	0.571	becsmérlő
slash	anger	0.571	vágás
unfair	anger	0.571	tisztességtelen
gallows	anger	0.570	akasztófa
escalate	anger	0.569	eszkalálódik
intolerant	anger	0.564	türelmetlen
lawlessness	anger	0.563	törvénytelenség
beast	anger	0.562	vadállat
torpedo	anger	0.562	torpedó
malign	anger	0.562	rosszindulatú
traitor	anger	0.562	áruló
frightful	anger	0.562	ijesztő
wrangling	anger	0.562	civakodás
slander	anger	0.562	rágalom
bellows	anger	0.562	fújtató
retards	anger	0.562	késlelteti
grouchy	anger	0.562	nyűgös
derogatory	anger	0.562	méltatlan
bearish	anger	0.562	mogorva
invade	anger	0.562	behatolni
perdition	anger	0.562	kárhozat
arghh	anger	0.562	arghh
dreadful	anger	0.562	szörnyű
bluddy	anger	0.562	bódult
deceived	anger	0.562	megtévesztve
glare	anger	0.562	ragyogás
taunt	anger	0.562	gúnyolódás
dissension	anger	0.561	széthúzás
cross	anger	0.561	kereszt
rave	anger	0.561	félrebeszél
grating	anger	0.561	rács
devastating	anger	0.561	pusztító
fits	anger	0.561	illik
jeopardize	anger	0.561	veszélyeztetni
shatter	anger	0.561	összetör
idiots	anger	0.561	idióták
hurt	anger	0.561	sért
thief	anger	0.561	tolvaj
uncontrollable	anger	0.561	ellenőrizhetetlen
conflagration	anger	0.561	tűzvész
betrayal	anger	0.561	árulás
banshee	anger	0.561	banshee
subjugation	anger	0.559	leigázás
disturbed	anger	0.559	zavart
stomped	anger	0.557	taposott
grab	anger	0.557	Megragad
grievance	anger	0.556	sérelem
ticked	anger	0.556	jelölve
masochism	anger	0.556	mazochizmus
defiance	anger	0.552	ellenszegülés
blackmail	anger	0.550	zsarolás
offensive	anger	0.549	támadó
decry	anger	0.548	becsmérel
frustrates	anger	0.547	frusztrálja
violation	anger	0.547	megsértése
confine	anger	0.547	korlátozza
misery	anger	0.547	szenvedés
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	különbség
punishment	anger	0.547	büntetés
rebel	anger	0.547	lázadó
preposterous	anger	0.547	abszurd
disgraceful	anger	0.547	szégyenletes
ire	anger	0.547	harag
deceive	anger	0.547	megtéveszteni
fustrated	anger	0.547	elkeseredett
sin	anger	0.547	bűn
shrill	anger	0.547	éles
darkside	anger	0.547	sötét oldal
overbearing	anger	0.547	erőszakos
firearms	anger	0.547	lőfegyverek
stolen	anger	0.546	lopott
hadenough	anger	0.546	elég volt
prejudice	anger	0.545	előítélet
tackle	anger	0.545	megbirkózni
resentful	anger	0.545	bosszús
heated	anger	0.545	fűtött
callous	anger	0.545	érzéketlen
conspirator	anger	0.545	összeesküvő
ruined	anger	0.545	romos
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	csetepaté
menace	anger	0.545	fenyegetés
annoyin	anger	0.545	bosszantó
foul	anger	0.545	szabálytalan
argument	anger	0.545	érv
humiliate	anger	0.545	megalázni
wanker	anger	0.545	bolondozó
adversary	anger	0.545	ellenség
sting	anger	0.544	fullánk
entangled	anger	0.544	összegabalyodott
grumble	anger	0.544	morog
robbery	anger	0.544	rablás
outcry	anger	0.544	felháborodás
resistance	anger	0.543	ellenállás
irreconcilable	anger	0.543	összeegyeztethetetlen
obstructive	anger	0.542	akadályozó
dismay	anger	0.540	döbbenet
mob	anger	0.538	csőcselék
juststop	anger	0.537	Állj le
badness	anger	0.536	rosszaság
ridicule	anger	0.534	gúny
incendiary	anger	0.533	gyújtó-
flares	anger	0.532	fáklyák
twofaced	anger	0.531	kétarcú
reckless	anger	0.531	vakmerő
communism	anger	0.531	kommunizmus
allegation	anger	0.531	állítás
prejudicial	anger	0.531	hátrányos
whip	anger	0.531	ostor
unbridled	anger	0.531	féktelen
degeneracy	anger	0.531	degeneráltság
intruder	anger	0.531	betolakodó
belittle	anger	0.531	lekicsinyelni
confinement	anger	0.531	bezártság
dispute	anger	0.531	vita
exacerbation	anger	0.531	súlyosbodása
uprising	anger	0.531	felkelés
unjust	anger	0.530	igazságtalan
unjustifiable	anger	0.530	nem igazolható
perversion	anger	0.530	perverzió
bigoted	anger	0.530	nagyképű
fiesty	anger	0.530	fergeteges
offender	anger	0.530	szabálysértő
dictatorial	anger	0.530	diktatórikus
hassle	anger	0.530	szóváltás
dissonance	anger	0.530	disszonancia
tackled	anger	0.530	megbirkózni
renegade	anger	0.529	renegát
cantstandit	anger	0.529	nem bírja
trespass	anger	0.529	kihágás
hot	anger	0.529	forró
prison	anger	0.529	börtön
suicide	anger	0.521	öngyilkosság
annoy	anger	0.520	bosszant
leavemealone	anger	0.517	hagyjon békén
cretins	anger	0.516	kretének
depravity	anger	0.516	romlottság
idiotic	anger	0.516	ostoba
dishonest	anger	0.516	tisztességtelen
distrust	anger	0.516	bizalmatlanság
broil	anger	0.516	civakodás
grrr	anger	0.516	grrr
criticize	anger	0.516	kritizálni
inimical	anger	0.516	ellenséges
tortious	anger	0.516	kínzó
prisoner	anger	0.516	Rab
treason	anger	0.516	árulás
divorce	anger	0.516	válás
venting	anger	0.516	szellőztetés
duress	anger	0.516	kényszer
disrespectful	anger	0.516	tiszteletlen
poaching	anger	0.515	orvvadászat
scold	anger	0.515	szid
poachers	anger	0.515	orvvadászok
pow	anger	0.515	hadifogoly
hangry	anger	0.515	éhes
argumentation	anger	0.515	érvelés
frustrating	anger	0.515	frusztráló
unkind	anger	0.515	barátságtalan
roar	anger	0.515	ordít
coercion	anger	0.515	kényszerítés
unforgiving	anger	0.515	megbocsáthatatlan
grump	anger	0.515	mogorva
bile	anger	0.515	epe
unleash	anger	0.515	szabadjára engedni
chaos	anger	0.515	káosz
victimized	anger	0.515	áldozatul esett
jerks	anger	0.515	bunkók
tussle	anger	0.514	verekedés
bane	anger	0.511	csapás
accusation	anger	0.510	vád
enmity	anger	0.510	ellenségeskedés
repudiation	anger	0.510	megtagadás
banish	anger	0.509	száműzni
disfigured	anger	0.508	eltorzított
storm	anger	0.507	vihar
crazy	anger	0.500	őrült
hammering	anger	0.500	kalapálás
defy	anger	0.500	dacol
antithesis	anger	0.500	ellentét
scoff	anger	0.500	kötekedés
anguish	anger	0.500	kín
confined	anger	0.500	korlátozott
fear	anger	0.500	félelem
bout	anger	0.500	küzdelem
unruly	anger	0.500	rakoncátlan
delusional	anger	0.500	káprázatos
obstruct	anger	0.500	akadályozza
possessed	anger	0.500	megszállott
injustice	anger	0.500	igazságtalanság
fervor	anger	0.500	buzgalom
spear	anger	0.500	lándzsa
derision	anger	0.500	gúny
intractable	anger	0.500	makacs
reject	anger	0.500	elutasít
dominate	anger	0.500	uralni
ordeal	anger	0.500	megpróbáltatás
banished	anger	0.500	száműzték
rejects	anger	0.500	elutasítja
shun	anger	0.500	kitér
brunt	anger	0.500	brunt
derogation	anger	0.500	eltérést
frenzied	anger	0.500	dühöngő
animus	anger	0.500	szándék
suppression	anger	0.500	elnyomás
malpractice	anger	0.500	visszásság
brazen	anger	0.500	arcátlan
foaming	anger	0.500	habzó
disrupting	anger	0.500	zavaró
nobodycares	anger	0.500	senkit sem érdekel
patronising	anger	0.500	pártfogó
getoveryourself	anger	0.495	túltenni magát
toughness	anger	0.492	szívósság
stupidpeople	anger	0.492	buta emberek
madness	anger	0.491	őrültség
sinful	anger	0.491	bűnös
avarice	anger	0.490	kapzsiság
oppress	anger	0.490	elnyomni
cutting	anger	0.485	vágás
anathema	anger	0.485	átok
annoyed	anger	0.485	bosszús
dissident	anger	0.485	szakadár
demand	anger	0.485	igény
usurp	anger	0.485	bitorol
claw	anger	0.485	karom
alienate	anger	0.485	elidegeníteni
infraction	anger	0.485	szabálysértést
avenger	anger	0.485	bosszúálló
revoke	anger	0.485	visszavonni
smuggler	anger	0.485	csempész
abolish	anger	0.485	megszüntetni
fricking	anger	0.485	fricska
stayaway	anger	0.485	maradj távol
pervert	anger	0.485	perverz
disservice	anger	0.485	rossz szolgálat
disobedient	anger	0.485	engedetlen
incest	anger	0.485	vérfertőzés
complaint	anger	0.485	panasz
disapproved	anger	0.485	helytelenített
inhuman	anger	0.485	embertelen
mocking	anger	0.484	gúnyolódni
penalty	anger	0.484	büntetés
renounce	anger	0.484	lemond
restrain	anger	0.484	visszatartani
upheaval	anger	0.484	felfordulás
deceit	anger	0.484	csalás
obnoxious	anger	0.484	kellemetlen
imprisoned	anger	0.484	bebörtönzött
strained	anger	0.484	feszült
blame	anger	0.484	szemrehányás
oust	anger	0.484	elűz
litigious	anger	0.484	peres
rivalry	anger	0.484	versengés
sucker	anger	0.484	szívó
opposed	anger	0.484	ellentétes
thresh	anger	0.484	csépel
disgrace	anger	0.484	szégyen
suspicious	anger	0.484	gyanús
turbulence	anger	0.483	légörvény
pound	anger	0.481	font
coldness	anger	0.477	hidegség
ungrateful	anger	0.472	hálátlan
stoopid	anger	0.471	hajlott
battalion	anger	0.471	zászlóalj
feudalism	anger	0.470	feudalizmus
hostage	anger	0.470	túsz
annoying	anger	0.470	bosszantó
dispossessed	anger	0.470	kifosztották
subversion	anger	0.470	felforgatás
friction	anger	0.470	súrlódás
jealous	anger	0.470	irigy
adversity	anger	0.470	balsors
infidel	anger	0.470	hitetlen
gall	anger	0.470	epe
accuser	anger	0.470	vádló
ram	anger	0.470	ram
armament	anger	0.470	fegyverzet
thump	anger	0.469	puffanás
dislike	anger	0.469	ellenszenv
steal	anger	0.469	lop
backoff	anger	0.469	hátrálj
stifled	anger	0.469	elfojtott
incite	anger	0.469	ösztönöz
distress	anger	0.469	szorongás
angermanagement	anger	0.469	dühkezelés
selfish	anger	0.469	önző
injury	anger	0.469	sérülés
exile	anger	0.469	száműzetés
insanity	anger	0.469	őrület
offense	anger	0.469	vétség
objection	anger	0.469	ellenvetés
smother	anger	0.469	elrejt
disruption	anger	0.469	zavar
