English Word	Emotion	Emotion-Intensity-Score	Hindi Word
malice	anger	0.852	द्वेष
terrorism	anger	0.851	आतंक
beating	anger	0.849	मार पीट
outrage	anger	0.848	उल्लंघन
desecration	anger	0.848	अपवित्रता
pissingmeoff	anger	0.848	पिस्सिंगमेऑफ़
destroying	anger	0.844	नष्ट
slaughter	anger	0.844	वध
irate	anger	0.844	क्रुद्ध
violent	anger	0.844	हिंसक
stab	anger	0.844	छूरा भोंकना
abomination	anger	0.844	नफरत
tumultuous	anger	0.844	उतार-चढ़ाव भरे
infuriate	anger	0.844	क्रुद्ध करना
obliterate	anger	0.843	काटना
belligerent	anger	0.841	युद्धरत
dumbbitch	anger	0.841	गूंगा
detest	anger	0.838	घृणा
hostilities	anger	0.837	युद्ध
prick	anger	0.835	चुभन
rampage	anger	0.833	हिसात्मक आचरण
horrid	anger	0.833	भयंकर
cruelty	anger	0.833	क्रूरता
torture	anger	0.833	कष्ट पहुंचाना
rabid	anger	0.833	विक्षिप्त
despicable	anger	0.828	नाली का कीड़ा
tyrannical	anger	0.828	अत्याचारी
demonic	anger	0.828	राक्षसी
satanic	anger	0.828	पैशाचिक
hate	anger	0.828	नफ़रत करना
ragemode	anger	0.828	क्रोधित
hating	anger	0.828	नफरत
ruinous	anger	0.825	खंडहर वाला
condemn	anger	0.825	निंदा करना
riots	anger	0.824	दंगों
demolish	anger	0.824	ध्वस्त
angry	anger	0.824	नाराज़
extermination	anger	0.824	तबाही
dickhead	anger	0.824	गधे
livid	anger	0.821	जर्द
madman	anger	0.820	पागल आदमी
vindictive	anger	0.819	प्रतिशोधी
terrorist	anger	0.818	आतंकवादी
threaten	anger	0.818	धमकी देना
venomous	anger	0.818	विषैला
hateyou	anger	0.818	तुमसे नफ़रत है
ferocity	anger	0.818	क्रूरता
effyou	anger	0.818	effyou
abhor	anger	0.816	घृणा करना
carnage	anger	0.814	नरसंहार
savage	anger	0.814	बर्बर
atrocity	anger	0.814	क्रूरता
fucksake	anger	0.812	बकवास
abuse	anger	0.812	गाली देना
fierce	anger	0.812	भयंकर
destroyer	anger	0.812	मिटाने वाला
angrytweet	anger	0.812	एंग्रीट्वीट
barbaric	anger	0.812	असभ्य
vendetta	anger	0.812	प्रतिशोध
pissesmeoff	anger	0.812	पेशाब
pissedoff	anger	0.812	यहं से चले जाओ
tyrant	anger	0.812	तानाशाह
berserk	anger	0.812	निडर
fuming	anger	0.812	नाराज
anger	anger	0.811	क्रोध
pieceofshit	anger	0.810	टुकड़ा-टुकड़ा
punched	anger	0.803	मुक्का मारा
punching	anger	0.803	पंचिंग
slam	anger	0.803	स्लैम
homicide	anger	0.803	मानव हत्या
bitch	anger	0.803	कुतिया
fights	anger	0.803	झगड़े
ruthless	anger	0.797	क्रूर
villainous	anger	0.797	शरारतपूर्ण
destructive	anger	0.797	हानिकारक
slap	anger	0.791	थप्पड़
riot	anger	0.788	दंगा
growthefuckup	anger	0.788	विकास बकवास
punishing	anger	0.788	दंडित
slaughterhouse	anger	0.788	क़साईख़ाना
yelling	anger	0.788	चिल्ला
diabolical	anger	0.788	पैशाचिक
destroyed	anger	0.788	नष्ट किया हुआ
ragetweet	anger	0.788	रैगट्वीट
retaliatory	anger	0.788	मुंहतोड़
manslaughter	anger	0.783	हत्या
clash	anger	0.783	संघर्ष
quarrel	anger	0.781	झगड़ा
bloody	anger	0.781	रक्तरंजित
hellish	anger	0.781	नारकीय
sinister	anger	0.781	भयावह
loath	anger	0.781	अनिच्छुक
detonation	anger	0.781	विस्फोट
accusing	anger	0.779	आरोप लगा
fumin	anger	0.779	फ्यूमिन
hateeee	anger	0.779	नफरत
treacherous	anger	0.779	नमक हराम
madder	anger	0.773	मजीठ
horrific	anger	0.773	भीषण
revulsion	anger	0.773	तबदीली
retaliate	anger	0.773	प्रतिकार करना
scorn	anger	0.769	घिन आना
bomb	anger	0.766	बम
deplorable	anger	0.766	खेदजनक
devastation	anger	0.765	तबाही
anarchist	anger	0.765	अराजकतावादी
firestorm	anger	0.765	अग्नि
resent	anger	0.765	पुन: भेज
contemptible	anger	0.764	घिनौना
shittest	anger	0.760	शिटेस्ट
rant	anger	0.758	शेख़ी
cruel	anger	0.758	निर्दयी
deadly	anger	0.758	घातक
smash	anger	0.758	गरज
soangry	anger	0.758	बहुत गुस्सा मै
outburst	anger	0.757	विस्फोट
snarl	anger	0.754	गिरह
profane	anger	0.750	अपवित्र
revolting	anger	0.750	विप्लव करनेवाला
aggravating	anger	0.750	उत्तेजक
horror	anger	0.750	डरावना
despise	anger	0.750	घृणा
offend	anger	0.750	कष्ट पहुंचाना
stfu	anger	0.750	स्टफु
vulgarity	anger	0.750	असभ्यता
crazed	anger	0.750	पागल
douchebags	anger	0.750	डौशबैग
growling	anger	0.750	लगाकर गुर्राता
dontmesswithme	anger	0.750	अपन से मुॅह मत लगा कर
screaming	anger	0.742	चिल्ला
threat	anger	0.742	धमकी
erupt	anger	0.742	फूटना
horrible	anger	0.742	भयंकर
molestation	anger	0.742	छेड़छाड़
fuckedoff	anger	0.742	गड़बड़
violence	anger	0.742	हिंसा
bastards	anger	0.741	कमीनों
revenge	anger	0.738	बदला
menacing	anger	0.735	खतरनाक
crushing	anger	0.735	मुंहतोड़
damn	anger	0.735	लानत है
catastrophe	anger	0.735	तबाही
demon	anger	0.735	दानव
argue	anger	0.734	बहस करना
persecute	anger	0.734	सताना
deplore	anger	0.734	विलाप करना
flog	anger	0.734	चाबुक से मारना
fedup	anger	0.734	त्रस्त
riotous	anger	0.734	उपद्रवी
vehement	anger	0.734	लवलीन
revolt	anger	0.734	विद्रोह
warfare	anger	0.734	युद्ध
thrash	anger	0.734	पीटना
altercation	anger	0.729	तकरार
warlike	anger	0.728	जंगी
shitday	anger	0.727	शिटडे
mutiny	anger	0.727	गदर
castrate	anger	0.727	नपुंसक
sabotage	anger	0.727	तोड़-फोड़
malevolent	anger	0.721	द्रोही
strike	anger	0.721	धरना
disaster	anger	0.721	आपदा
disastrous	anger	0.720	विनाशकारी
bastarding	anger	0.719	कमीना
treachery	anger	0.719	द्रऋह
arseholes	anger	0.719	गड्ढों का छेद
horseshit	anger	0.719	घोड़े की नाल
slay	anger	0.719	टूटना
disdain	anger	0.719	तिरस्कार
aggravates	anger	0.719	aggravates
brutal	anger	0.719	क्रूर
scorching	anger	0.719	झुलसानेवाला
devil	anger	0.719	शैतान
madden	anger	0.719	क्रोधित करना
spiteful	anger	0.719	द्वेषपूर्ण
scream	anger	0.719	चीख
choke	anger	0.719	गला घोंटना
vermin	anger	0.719	दरिंदा
tumult	anger	0.719	कोलाहल
criminal	anger	0.714	आपराधिक
mangle	anger	0.714	वध करना
anarchism	anger	0.714	अराजकतावाद
mutilation	anger	0.714	विकृति
denunciation	anger	0.713	निंदा
punch	anger	0.713	पंच
virulence	anger	0.712	डाह
fatal	anger	0.712	घातक
hurting	anger	0.712	चोट पहुँचाने
crucifixion	anger	0.712	सूली पर चढ़ाये जाने
dontlikeyou	anger	0.712	आपको पसंद नहीं है
blasphemous	anger	0.712	तिरस्कारी
holocaust	anger	0.712	प्रलय
dumbasses	anger	0.712	बेवकूफ
battled	anger	0.712	लड़ाई लड़ी
deranged	anger	0.706	विक्षिप्त
irritated	anger	0.706	चिढ़ा हुआ
atrocious	anger	0.706	नृशंस
evil	anger	0.706	बुराई
aggravated	anger	0.703	बहुत बिगड़
intimidation	anger	0.703	धमकी
dicks	anger	0.703	डिक्स
assassin	anger	0.703	हत्यारा
scolding	anger	0.703	डांट-डपट
persecution	anger	0.703	उत्पीड़न
slayer	anger	0.703	बध करनेवाला
kidnap	anger	0.703	अपहरण करना
aggression	anger	0.702	आक्रमण
armed	anger	0.700	हथियारबंद
battle	anger	0.697	युद्ध
poison	anger	0.697	ज़हर
snarling	anger	0.697	खर्राटे लेना
venom	anger	0.697	ज़हर
disgruntled	anger	0.693	असंतुष्ट
resentment	anger	0.691	क्रोध
assailant	anger	0.691	आक्रमण-संबंधी
insidious	anger	0.691	कपटी
contemptuous	anger	0.690	तिरस्कारपूर्ण
lynch	anger	0.690	वध करना
temper	anger	0.688	गुस्सा
terrible	anger	0.688	भयानक
disparage	anger	0.688	उपेक्षा करना
lunatic	anger	0.688	पागल मनुष्य
bully	anger	0.688	धमकाना
mad	anger	0.688	पागल
makesmemad	anger	0.688	मुझे पागल कर देता है
infanticide	anger	0.688	भ्रूण हत्या
domination	anger	0.688	प्रभुत्व
peeved	anger	0.688	नाराज़
imprisonment	anger	0.688	कैद होना
curse	anger	0.688	अभिशाप
volatility	anger	0.687	अस्थिरता
eradication	anger	0.685	नाश
eradicate	anger	0.682	उन्मूलन करना
tantrum	anger	0.682	गुस्से का आवेश
scoundrel	anger	0.682	दुष्ट
devastate	anger	0.682	उजाड़ना
aggressively	anger	0.680	उग्रता के साथ
agitation	anger	0.680	घबराहट
dictatorship	anger	0.676	अधिनायकत्व
irritates	anger	0.676	परेशान
profanity	anger	0.673	गालियां बकने की क्रिया
shove	anger	0.672	धक्का
nasty	anger	0.672	बहुत खराब
shot	anger	0.672	गोली मारना
cruelly	anger	0.672	निर्दयतापूर्वक
shoot	anger	0.672	गोली मार
condemnation	anger	0.672	निंदा
crushed	anger	0.672	कुचल
aggravation	anger	0.672	उत्तेजना
poisonous	anger	0.672	विषैला
egregious	anger	0.672	प्रबल
crime	anger	0.672	अपराध
corrupting	anger	0.672	भ्रष्ट
dastardly	anger	0.672	डरपोक
contempt	anger	0.672	अवमानना
harmful	anger	0.672	हानिकारक
expletive	anger	0.672	दुर्वचन
wreak	anger	0.672	बरपा
maniac	anger	0.670	पागल
cutthroat	anger	0.667	गलाकाट
enemy	anger	0.667	शत्रु
hit	anger	0.667	मारो
hateeveryone	anger	0.667	हर किसी से घृणा
eruption	anger	0.667	विस्फोट
irritable	anger	0.667	चिड़चिड़ा
odious	anger	0.667	घिनौना
shooting	anger	0.667	शूटिंग
shout	anger	0.667	चिल्लाना
aggressive	anger	0.667	आक्रामक
kick	anger	0.667	लात
combat	anger	0.667	लड़ाई
fight	anger	0.667	लड़ाई
punished	anger	0.662	दंडित
yell	anger	0.661	चीखना
ambush	anger	0.661	घात लगाना
harass	anger	0.659	परेशान
malignant	anger	0.656	घातक
aggressor	anger	0.656	आक्रामक
gore	anger	0.656	तिकोना कपड़ा
destruction	anger	0.656	विनाश
grudge	anger	0.656	ईर्ष्या
antichrist	anger	0.656	ईसा मसीह का शत्रु
incense	anger	0.656	धूप
expel	anger	0.656	निष्कासित
cranky	anger	0.653	सठिया
slave	anger	0.652	दास
reprisal	anger	0.652	प्रतिहिंसा
growl	anger	0.652	बादल की गरज
animosity	anger	0.652	बैर
insurrection	anger	0.652	विद्रोह
clashing	anger	0.652	टकरा
denounce	anger	0.652	आरोप लगा देना
offended	anger	0.652	अपमानित
spank	anger	0.652	झापड़
insulting	anger	0.652	अपमान
growls	anger	0.649	गुर्राता
executioner	anger	0.644	जल्लाद
twat	anger	0.644	योनी
doomsday	anger	0.643	कयामत का दिन
obscenity	anger	0.641	बेहूदापन
accused	anger	0.641	दोषी
feud	anger	0.641	झगड़ा
daemon	anger	0.641	डेमॉन
havoc	anger	0.641	प्रलय
shackle	anger	0.641	बेड़ी
inexcusable	anger	0.641	अक्षम्य
indignant	anger	0.641	क्रोधित
grr	anger	0.641	जीआर
expulsion	anger	0.641	निष्कासन
bombard	anger	0.641	बौछार
spat	anger	0.641	झगड़ा
arson	anger	0.641	आगजनी
reprimand	anger	0.641	डांटना
somad	anger	0.637	इतना पागल
frustrated	anger	0.636	निराश
batter	anger	0.636	बैटर
kicking	anger	0.636	लात
anarchy	anger	0.636	अराजकता
spanking	anger	0.636	तेज़
glaring	anger	0.636	स्पष्ट
suicidal	anger	0.636	आत्मघात
disgusting	anger	0.636	घिनौना
wound	anger	0.636	घाव
hanging	anger	0.636	फांसी
poisoned	anger	0.636	जहर
combatant	anger	0.636	योद्धा
wrecked	anger	0.633	बर्बाद
inflict	anger	0.633	दण्ड
grievous	anger	0.632	क्षतिकर
prosecute	anger	0.630	पर मुकदमा चलाने
agitated	anger	0.630	उत्तेजित
cheat	anger	0.630	धोखा
swastika	anger	0.627	स्वस्तिक
injure	anger	0.625	घायल
indict	anger	0.625	दोषी ठहराने
scourge	anger	0.625	चाबुक से पीटना
provocation	anger	0.625	उकसावा
suffocation	anger	0.625	घुटन
strife	anger	0.625	कलह
raid	anger	0.625	छापा
enslaved	anger	0.625	गुलाम
cursing	anger	0.625	अपशब्द
defamatory	anger	0.625	अपवादक
harassing	anger	0.625	छेड़ छड करना
thundering	anger	0.625	गरजनदार
betray	anger	0.625	धोखा देना
arsehole	anger	0.624	आर्सेहोल
theft	anger	0.621	चोरी
insane	anger	0.621	पागल
retaliation	anger	0.621	प्रतिशोध
irritate	anger	0.621	चिढ़ना
deprivation	anger	0.621	हानि
fiend	anger	0.621	राक्षस
jerk	anger	0.621	झटका देना
convict	anger	0.621	मिद्धदोष अपराधी
cussed	anger	0.619	चर्चा हुई
turmoil	anger	0.618	उथल-पुथल
smack	anger	0.615	एक प्रकार का जहाज़
retribution	anger	0.614	प्रतिकार
rebellion	anger	0.609	विद्रोह
oppressor	anger	0.609	जालिम
gang	anger	0.609	गिरोह
slavery	anger	0.609	गुलामी
intolerable	anger	0.609	न सहने योग्य
adverse	anger	0.609	विपरीत
injurious	anger	0.609	हानिकारक
twats	anger	0.609	ट्वट्स
collision	anger	0.609	टक्कर
battery	anger	0.609	बैटरी
bitterly	anger	0.609	कटु
antagonism	anger	0.609	विरोध
irritability	anger	0.609	चिड़चिड़ापन
disgraced	anger	0.608	बदनाम
diatribe	anger	0.606	अभियोगात्मक भाषण
asshole	anger	0.606	गधे
blast	anger	0.606	विस्फोट
bombardment	anger	0.606	बमबारी
irks	anger	0.606	irks
ranting	anger	0.606	शेखी बघारना
revolution	anger	0.606	क्रांति
thug	anger	0.606	हत्यारा
antagonistic	anger	0.606	विरोधी
irritating	anger	0.606	चिड़चिड़ा
sickening	anger	0.606	कुत्सित
discrimination	anger	0.606	भेदभाव
frustrate	anger	0.604	हताश
insult	anger	0.603	अपमान करना
hurtful	anger	0.603	हानिकारक
oppression	anger	0.603	उत्पीड़न
manipulation	anger	0.603	चालाकी
tiredofit	anger	0.603	इससे थक गया
bigot	anger	0.603	कट्टर व्यक्रित
tension	anger	0.603	तनाव
disgust	anger	0.602	घृणा
spite	anger	0.600	विरोध
intrusive	anger	0.598	दखल
harshness	anger	0.597	कठोरता
slur	anger	0.596	कलंक
tempest	anger	0.594	तूफ़ान
assail	anger	0.594	आक्रमण करना
bitterness	anger	0.594	अप्रसन्नता
morbidity	anger	0.594	रोगों की संख्या
casualty	anger	0.594	दुर्घटना
puncture	anger	0.594	छिद्र
miserable	anger	0.594	दुखी
inferno	anger	0.594	नरक
invasion	anger	0.594	आक्रमण
storming	anger	0.594	तूफान
wretch	anger	0.594	नीच
consternation	anger	0.592	आतंक
raving	anger	0.591	दीवाना
forcibly	anger	0.591	बलपूर्वक
guillotine	anger	0.591	गिलोटिन
guilty	anger	0.591	अपराधी
depraved	anger	0.591	भ्रष्ट
immoral	anger	0.591	अनैतिक
overpowering	anger	0.591	जोरदार
scare	anger	0.588	डराना
recalcitrant	anger	0.588	आज्ञा न माननेवाला
screwed	anger	0.588	स्क्रिव्ड
accursed	anger	0.588	शापित
soannoyed	anger	0.588	बहुत नाराज़
invader	anger	0.588	घुसनेवाला
jealousy	anger	0.587	डाह करना
indignation	anger	0.587	रोष
vexed	anger	0.586	झगड़े का
confront	anger	0.582	सामना होना
brute	anger	0.581	पशु
throttle	anger	0.579	गला घोंटना
slut	anger	0.578	फूहड़
coup	anger	0.578	तख्तापलट
blaze	anger	0.578	ज्वाला
pillage	anger	0.578	लूट का माल
provoking	anger	0.578	अफ़सोसनाक
damage	anger	0.578	क्षति
criminality	anger	0.578	अपराधिता
shutup	anger	0.578	बंद करना
lash	anger	0.578	चाबुक
conflict	anger	0.578	टकराव
contentious	anger	0.578	विवादास्पद
shutit	anger	0.578	इसे बंद करो
wreck	anger	0.578	जहाज के मलबे
defiant	anger	0.578	उपेक्षापूर्ण
butcher	anger	0.578	कसाई
incarceration	anger	0.578	क़ैद कर देना
revolver	anger	0.578	रिवाल्वर
bickering	anger	0.578	कलह
yousuck	anger	0.578	बेकार इंसान
cancer	anger	0.577	कैंसर
discriminate	anger	0.576	भेदभाव
gun	anger	0.576	बंदूक
frustration	anger	0.576	निराशा
gory	anger	0.576	रक्तमय
pernicious	anger	0.576	हानिकारक
dontmess	anger	0.576	नॉटमेस
blasphemy	anger	0.576	ईश - निंदा
chaotic	anger	0.576	अराजक
grope	anger	0.576	अंधे की तरह खोजना
alienation	anger	0.576	अलगाव की भावना
disturbance	anger	0.576	अशांति
condescension	anger	0.576	रिआयत
standoff	anger	0.576	गतिरोध
discord	anger	0.576	कलह
friggen	anger	0.575	फ्रिजेन
sneer	anger	0.574	उपहास
death	anger	0.574	मौत
lunacy	anger	0.574	पागलपन
scandalous	anger	0.574	लज्जाजनक
oppressive	anger	0.574	दमनकारी
jab	anger	0.574	प्रहार
cursed	anger	0.574	शापित
monstrosity	anger	0.574	कुरूपता
shit	anger	0.573	मल
disparaging	anger	0.571	उपेक्षा करनेवाला
slash	anger	0.571	स्लैश
unfair	anger	0.571	अनुचित
gallows	anger	0.570	फांसी
escalate	anger	0.569	ख़राब
intolerant	anger	0.564	असहिष्णु
lawlessness	anger	0.563	अराजकता
beast	anger	0.562	जानवर
torpedo	anger	0.562	टारपीडो
malign	anger	0.562	दुष्ट
traitor	anger	0.562	गद्दार
frightful	anger	0.562	भयंकर
wrangling	anger	0.562	तकरार
slander	anger	0.562	बदनामी
bellows	anger	0.562	धौंकनी
retards	anger	0.562	अवरूद्ध
grouchy	anger	0.562	कर्कश
derogatory	anger	0.562	अपमानजनक
bearish	anger	0.562	मंदी
invade	anger	0.562	पर आक्रमण
perdition	anger	0.562	तबाही
arghh	anger	0.562	अर्घः
dreadful	anger	0.562	भयानक
bluddy	anger	0.562	ब्लडी
deceived	anger	0.562	धोखा
glare	anger	0.562	चमक
taunt	anger	0.562	उपहास
dissension	anger	0.561	कलह
cross	anger	0.561	पार
rave	anger	0.561	बड़बड़ाना
grating	anger	0.561	कर्कश
devastating	anger	0.561	भयानक
fits	anger	0.561	फिट
jeopardize	anger	0.561	ख़तरे में डालना
shatter	anger	0.561	टूटने
idiots	anger	0.561	बेवकूफों
hurt	anger	0.561	आहत
thief	anger	0.561	चोर
uncontrollable	anger	0.561	अवज्ञा का
conflagration	anger	0.561	आग
betrayal	anger	0.561	विश्वासघात
banshee	anger	0.561	Banshee
subjugation	anger	0.559	दमन
disturbed	anger	0.559	बिंध डाली
stomped	anger	0.557	स्टम्प्ड
grab	anger	0.557	लपकना
grievance	anger	0.556	शिकायत
ticked	anger	0.556	टिक
masochism	anger	0.556	स्वपीड़न
defiance	anger	0.552	अवज्ञा
blackmail	anger	0.550	भयादोहन
offensive	anger	0.549	आक्रामक
decry	anger	0.548	दोष देना
frustrates	anger	0.547	को परेशान करता
violation	anger	0.547	उल्लंघन
confine	anger	0.547	सीमित
misery	anger	0.547	कष्ट
arghhhh	anger	0.547	अर्घ्ह्ह
disparity	anger	0.547	असमानता
punishment	anger	0.547	सज़ा
rebel	anger	0.547	बागी
preposterous	anger	0.547	निरर्थक
disgraceful	anger	0.547	शर्मनाक
ire	anger	0.547	क्रोध
deceive	anger	0.547	धोखा देना
fustrated	anger	0.547	निराश
sin	anger	0.547	पाप
shrill	anger	0.547	अनिमेष
darkside	anger	0.547	अंधेरा पहलू
overbearing	anger	0.547	रोबदार
firearms	anger	0.547	आग्नेयास्त्रों
stolen	anger	0.546	चुराया हुआ
hadenough	anger	0.546	काफी था
prejudice	anger	0.545	पक्षपात
tackle	anger	0.545	जूझना
resentful	anger	0.545	क्रोधित
heated	anger	0.545	तप्त
callous	anger	0.545	कठोर
conspirator	anger	0.545	षड्यंत्रकारी
ruined	anger	0.545	बर्बाद होगया
antagonist	anger	0.545	प्रतिपक्षी
skirmish	anger	0.545	झड़प
menace	anger	0.545	खतरा
annoyin	anger	0.545	झुंझलाना
foul	anger	0.545	बेईमानी से
argument	anger	0.545	बहस
humiliate	anger	0.545	अपमानित नहीं
wanker	anger	0.545	वानकेर
adversary	anger	0.545	वैरी
sting	anger	0.544	डंक मारना
entangled	anger	0.544	फँसा हआ
grumble	anger	0.544	बड़बड़ाना
robbery	anger	0.544	डकैती
outcry	anger	0.544	चिल्लाहट
resistance	anger	0.543	प्रतिरोध
irreconcilable	anger	0.543	कट्टर विरोधी
obstructive	anger	0.542	प्रतिरोधी
dismay	anger	0.540	बेचैनी
mob	anger	0.538	भीड़
juststop	anger	0.537	अभी रोको
badness	anger	0.536	बुराई
ridicule	anger	0.534	उपहास
incendiary	anger	0.533	आग लगाने वाला
flares	anger	0.532	फ्लेयर्स
twofaced	anger	0.531	दोमुखी
reckless	anger	0.531	लापरवाह
communism	anger	0.531	साम्यवाद
allegation	anger	0.531	आरोप
prejudicial	anger	0.531	हानिकारक
whip	anger	0.531	कोड़ा
unbridled	anger	0.531	निरंकुश
degeneracy	anger	0.531	पतन
intruder	anger	0.531	घुसेड़नेवाला
belittle	anger	0.531	कम हो जाना
confinement	anger	0.531	कारावास
dispute	anger	0.531	विवाद
exacerbation	anger	0.531	तेज़ हो जाना
uprising	anger	0.531	विद्रोह
unjust	anger	0.530	अन्यायपूर्ण
unjustifiable	anger	0.530	अनुचित
perversion	anger	0.530	विकृति
bigoted	anger	0.530	धर्माध
fiesty	anger	0.530	उत्सव
offender	anger	0.530	अपराधी
dictatorial	anger	0.530	तानाशाह का
hassle	anger	0.530	परेशानी
dissonance	anger	0.530	मतभेद
tackled	anger	0.530	घेरने की कोशिश की
renegade	anger	0.529	पाखण्डी
cantstandit	anger	0.529	कैंटस्टैंडिट
trespass	anger	0.529	अतिचार
hot	anger	0.529	गरम
prison	anger	0.529	कारागार
suicide	anger	0.521	आत्मघाती
annoy	anger	0.520	चिढ़ाना
leavemealone	anger	0.517	मुझे अकेला छोड़ दो
cretins	anger	0.516	क्रेटिन्स
depravity	anger	0.516	भ्रष्टता
idiotic	anger	0.516	मूर्खतापूर्ण
dishonest	anger	0.516	बेईमान
distrust	anger	0.516	शक
broil	anger	0.516	विवाद
grrr	anger	0.516	गरर
criticize	anger	0.516	आलोचना करना
inimical	anger	0.516	विरोधी
tortious	anger	0.516	अत्याचारी
prisoner	anger	0.516	बंदी
treason	anger	0.516	राज-द्रोह
divorce	anger	0.516	तलाक
venting	anger	0.516	उतार
duress	anger	0.516	अवरोध
disrespectful	anger	0.516	अनुचित
poaching	anger	0.515	अवैध शिकार
scold	anger	0.515	भला-बुरा कहना
poachers	anger	0.515	शिकारियों
pow	anger	0.515	पॉव
hangry	anger	0.515	जल्लाद
argumentation	anger	0.515	तर्क
frustrating	anger	0.515	निराशा होती
unkind	anger	0.515	निर्दयी
roar	anger	0.515	गर्जन
coercion	anger	0.515	दबाव
unforgiving	anger	0.515	माफ
grump	anger	0.515	गड़गड़ाहट
bile	anger	0.515	पित्त
unleash	anger	0.515	दिलाने
chaos	anger	0.515	अव्यवस्था
victimized	anger	0.515	सताया हुआ
jerks	anger	0.515	झटके
tussle	anger	0.514	संघर्ष
bane	anger	0.511	फटकार
accusation	anger	0.510	आरोप
enmity	anger	0.510	शत्रुता
repudiation	anger	0.510	परित्याग
banish	anger	0.509	निर्वासित
disfigured	anger	0.508	विकृत
storm	anger	0.507	आंधी
crazy	anger	0.500	पागल
hammering	anger	0.500	टंकण
defy	anger	0.500	अवहेलना
antithesis	anger	0.500	विलोम
scoff	anger	0.500	उपहास
anguish	anger	0.500	पीड़ा
confined	anger	0.500	बंद
fear	anger	0.500	डर
bout	anger	0.500	बार
unruly	anger	0.500	अनियंत्रित
delusional	anger	0.500	भ्रम का शिकार हो
obstruct	anger	0.500	बाधा डालती
possessed	anger	0.500	अधीन
injustice	anger	0.500	अन्याय
fervor	anger	0.500	जोश
spear	anger	0.500	भाला
derision	anger	0.500	उपहास
intractable	anger	0.500	असभ्य
reject	anger	0.500	अस्वीकार
dominate	anger	0.500	हावी होना
ordeal	anger	0.500	परख
banished	anger	0.500	निर्वासित
rejects	anger	0.500	को खारिज कर दिया
shun	anger	0.500	सीधे खड़े हो
brunt	anger	0.500	चोट
derogation	anger	0.500	मानमर्दन
frenzied	anger	0.500	क्रोधित
animus	anger	0.500	विरोधपूर्ण भावना
suppression	anger	0.500	दमन
malpractice	anger	0.500	कदाचार
brazen	anger	0.500	तांबे का
foaming	anger	0.500	झाग
disrupting	anger	0.500	खलल न डालें
nobodycares	anger	0.500	किसी को परवाह नहीं
patronising	anger	0.500	संरक्षण
getoveryourself	anger	0.495	अपने आप से आगे बढ़ो
toughness	anger	0.492	बेरहमी
stupidpeople	anger	0.492	मूर्ख लोग
madness	anger	0.491	पागलपन
sinful	anger	0.491	पापी
avarice	anger	0.490	लोभ
oppress	anger	0.490	अन्धेर
