English Word	Emotion	Emotion-Intensity-Score	Dutch Word
explode	anger	0.859	ontploffen
tirade	anger	0.859	tirade
loathsome	anger	0.857	walgelijk
hell	anger	0.853	hel
murderous	anger	0.853	moorddadig
attack	anger	0.853	aanval
malice	anger	0.852	kwaadaardigheid
terrorism	anger	0.851	terrorisme
beating	anger	0.849	slaan
outrage	anger	0.848	verontwaardiging
desecration	anger	0.848	ontheiliging
pissingmeoff	anger	0.848	pissig
destroying	anger	0.844	vernietigen
slaughter	anger	0.844	slachten
irate	anger	0.844	woedend
violent	anger	0.844	gewelddadig
stab	anger	0.844	steken
abomination	anger	0.844	gruwel
tumultuous	anger	0.844	tumultueus
infuriate	anger	0.844	woedend maken
obliterate	anger	0.843	uitwissen
belligerent	anger	0.841	strijdlustig
dumbbitch	anger	0.841	dommerik
detest	anger	0.838	verafschuwen
hostilities	anger	0.837	vijandelijkheden
prick	anger	0.835	prik
rampage	anger	0.833	razernij
horrid	anger	0.833	afschuwelijk
cruelty	anger	0.833	wreedheid
torture	anger	0.833	marteling
rabid	anger	0.833	hondsdolheid
despicable	anger	0.828	verachtelijk
tyrannical	anger	0.828	tiranniek
demonic	anger	0.828	demonisch
satanic	anger	0.828	satanisch
hate	anger	0.828	een hekel hebben aan
ragemode	anger	0.828	woedemodus
hating	anger	0.828	haten
ruinous	anger	0.825	verwoestend
condemn	anger	0.825	veroordelen
riots	anger	0.824	oproer
demolish	anger	0.824	slopen
angry	anger	0.824	boos
extermination	anger	0.824	uitroeiing
dickhead	anger	0.824	eikel
livid	anger	0.821	boos
madman	anger	0.820	gek
vindictive	anger	0.819	wraakzuchtig
terrorist	anger	0.818	terrorist
threaten	anger	0.818	dreigen
venomous	anger	0.818	giftig
hateyou	anger	0.818	Ik haat jou
ferocity	anger	0.818	wreedheid
effyou	anger	0.818	effyou
abhor	anger	0.816	verafschuwen
carnage	anger	0.814	bloedbad
savage	anger	0.814	wild
atrocity	anger	0.814	gruweldaad
fucksake	anger	0.812	fucksake
abuse	anger	0.812	misbruik
fierce	anger	0.812	krachtig
destroyer	anger	0.812	torpedojager
angrytweet	anger	0.812	boos tweeten
barbaric	anger	0.812	barbaars
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	kwaad doen
pissedoff	anger	0.812	kwaad
tyrant	anger	0.812	tiran
berserk	anger	0.812	berserk
fuming	anger	0.812	rokend
anger	anger	0.811	woede
pieceofshit	anger	0.810	stuk stront
punched	anger	0.803	geslagen
punching	anger	0.803	ponsen
slam	anger	0.803	dichtslaan
homicide	anger	0.803	moord
bitch	anger	0.803	teef
fights	anger	0.803	gevechten
ruthless	anger	0.797	meedogenloos
villainous	anger	0.797	schurkachtig
destructive	anger	0.797	destructief
slap	anger	0.791	klap
riot	anger	0.788	opstand
growthefuckup	anger	0.788	groeifuckup
punishing	anger	0.788	straffen
slaughterhouse	anger	0.788	slachthuis
yelling	anger	0.788	schreeuwen
diabolical	anger	0.788	duivels
destroyed	anger	0.788	vernietigd
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	vergelding
manslaughter	anger	0.783	doodslag
clash	anger	0.783	botsen
quarrel	anger	0.781	ruzie
bloody	anger	0.781	verdomd
hellish	anger	0.781	hels
sinister	anger	0.781	sinister
loath	anger	0.781	afkerig
detonation	anger	0.781	ontploffing
accusing	anger	0.779	beschuldigen
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	verraderlijk
madder	anger	0.773	meekrap
horrific	anger	0.773	afschuwelijk
revulsion	anger	0.773	afkeer
retaliate	anger	0.773	wraak nemen
scorn	anger	0.769	minachting
bomb	anger	0.766	bom
deplorable	anger	0.766	betreurenswaardig
devastation	anger	0.765	verwoesting
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	vuurstorm
resent	anger	0.765	aanstoot nemen
contemptible	anger	0.764	verachtelijk
shittest	anger	0.760	shittest
rant	anger	0.758	tirade
cruel	anger	0.758	wreed
deadly	anger	0.758	dodelijk
smash	anger	0.758	verpletteren
soangry	anger	0.758	zo boos
outburst	anger	0.757	uitbarsting
snarl	anger	0.754	grauwen
profane	anger	0.750	ontheiligen
revolting	anger	0.750	weerzinwekkend
aggravating	anger	0.750	verzwarend
horror	anger	0.750	verschrikking
despise	anger	0.750	verachten
offend	anger	0.750	beledigen
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgariteit
crazed	anger	0.750	gek
douchebags	anger	0.750	klootzakken
growling	anger	0.750	grommen
dontmesswithme	anger	0.750	rotzooi niet met mij
screaming	anger	0.742	schreeuwen
threat	anger	0.742	bedreiging
erupt	anger	0.742	uitbarsten
horrible	anger	0.742	vreselijk
molestation	anger	0.742	molestering
fuckedoff	anger	0.742	afgedwaald
violence	anger	0.742	geweld
bastards	anger	0.741	klootzakken
revenge	anger	0.738	wraak
menacing	anger	0.735	dreigend
crushing	anger	0.735	verpletteren
damn	anger	0.735	verdomd
catastrophe	anger	0.735	catastrofe
demon	anger	0.735	demon
argue	anger	0.734	ruzie maken
persecute	anger	0.734	vervolgen
deplore	anger	0.734	betreuren
flog	anger	0.734	geseling
fedup	anger	0.734	beu
riotous	anger	0.734	losbandig
vehement	anger	0.734	heftig
revolt	anger	0.734	opstand
warfare	anger	0.734	oorlogvoering
thrash	anger	0.734	thrash
altercation	anger	0.729	woordenwisseling
warlike	anger	0.728	oorlogszuchtig
shitday	anger	0.727	shitday
mutiny	anger	0.727	muiterij
castrate	anger	0.727	castreren
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	kwaadaardig
strike	anger	0.721	staking
disaster	anger	0.721	ramp
disastrous	anger	0.720	rampzalig
bastarding	anger	0.719	bastaarden
treachery	anger	0.719	verraad
arseholes	anger	0.719	klootzakken
horseshit	anger	0.719	paardenstront
slay	anger	0.719	doden
disdain	anger	0.719	ongenoegen
aggravates	anger	0.719	verergert
brutal	anger	0.719	brutaal
scorching	anger	0.719	verzengend
devil	anger	0.719	duivel
madden	anger	0.719	gek geworden
spiteful	anger	0.719	hatelijk
scream	anger	0.719	schreeuw
choke	anger	0.719	verstikken
vermin	anger	0.719	ongedierte
tumult	anger	0.719	tumult
criminal	anger	0.714	crimineel
mangle	anger	0.714	mangel
anarchism	anger	0.714	anarchisme
mutilation	anger	0.714	verminking
denunciation	anger	0.713	opzegging
punch	anger	0.713	stomp
virulence	anger	0.712	virulentie
fatal	anger	0.712	fataal
hurting	anger	0.712	pijn doen
crucifixion	anger	0.712	kruisiging
dontlikeyou	anger	0.712	vind je niet leuk
blasphemous	anger	0.712	godslasterlijk
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	sukkels
battled	anger	0.712	gevochten
deranged	anger	0.706	gestoord
irritated	anger	0.706	geërgerd
atrocious	anger	0.706	afschuwelijk
evil	anger	0.706	slecht
aggravated	anger	0.703	verergerd
intimidation	anger	0.703	intimidatie
dicks	anger	0.703	lullen
assassin	anger	0.703	Sluipmoordenaar
scolding	anger	0.703	uitbrander
persecution	anger	0.703	vervolging
slayer	anger	0.703	moordenaar
kidnap	anger	0.703	ontvoeren
aggression	anger	0.702	agressie
armed	anger	0.700	gewapend
battle	anger	0.697	strijd
poison	anger	0.697	vergif
snarling	anger	0.697	grommend
venom	anger	0.697	venijn
disgruntled	anger	0.693	ontevreden
resentment	anger	0.691	rancune
assailant	anger	0.691	aanvaller
insidious	anger	0.691	verraderlijk
contemptuous	anger	0.690	minachtend
lynch	anger	0.690	lynchen
temper	anger	0.688	woedeaanval
terrible	anger	0.688	verschrikkelijk
disparage	anger	0.688	kleineren
lunatic	anger	0.688	gek
bully	anger	0.688	pestkop
mad	anger	0.688	boos
makesmemad	anger	0.688	maakt me kwaad
infanticide	anger	0.688	kindermoord
domination	anger	0.688	overheersing
peeved	anger	0.688	irriteerde
imprisonment	anger	0.688	gevangenisstraf
curse	anger	0.688	vloek
volatility	anger	0.687	wisselvalligheid
eradication	anger	0.685	uitroeiing
eradicate	anger	0.682	uitroeien
tantrum	anger	0.682	woedeaanval
scoundrel	anger	0.682	schurk
devastate	anger	0.682	verwoesten
aggressively	anger	0.680	agressief
agitation	anger	0.680	agitatie
dictatorship	anger	0.676	dictatuur
irritates	anger	0.676	irriteert
profanity	anger	0.673	vulgair taalgebruik
shove	anger	0.672	duw
nasty	anger	0.672	vervelend
shot	anger	0.672	schot
cruelly	anger	0.672	wreed
shoot	anger	0.672	schieten
condemnation	anger	0.672	veroordeling
crushed	anger	0.672	verpletterd
aggravation	anger	0.672	verergering
poisonous	anger	0.672	giftig
egregious	anger	0.672	ongehoord
crime	anger	0.672	misdrijf
corrupting	anger	0.672	corrumperen
dastardly	anger	0.672	lafhartig
contempt	anger	0.672	minachting
harmful	anger	0.672	schadelijk
expletive	anger	0.672	krachtterm
wreak	anger	0.672	aanrichten
maniac	anger	0.670	maniac
cutthroat	anger	0.667	moordenaar
enemy	anger	0.667	vijand
hit	anger	0.667	raken
hateeveryone	anger	0.667	haat iedereen
eruption	anger	0.667	uitbarsting
irritable	anger	0.667	prikkelbaar
odious	anger	0.667	verfoeilijk
shooting	anger	0.667	schieten
shout	anger	0.667	roepen
aggressive	anger	0.667	agressief
kick	anger	0.667	trap
combat	anger	0.667	strijden
fight	anger	0.667	gevecht
punished	anger	0.662	gestraft
yell	anger	0.661	gillen
ambush	anger	0.661	hinderlaag
harass	anger	0.659	kwellen
malignant	anger	0.656	kwaadaardig
aggressor	anger	0.656	agressor
gore	anger	0.656	gore
destruction	anger	0.656	verwoesting
grudge	anger	0.656	wrok
antichrist	anger	0.656	antichrist
incense	anger	0.656	wierook
expel	anger	0.656	verdrijven
cranky	anger	0.653	chagrijnig
slave	anger	0.652	slaaf
reprisal	anger	0.652	wraakactie
growl	anger	0.652	grommen
animosity	anger	0.652	vijandigheid
insurrection	anger	0.652	opstand
clashing	anger	0.652	botsen
denounce	anger	0.652	aangeven
offended	anger	0.652	beledigd
spank	anger	0.652	pak slaag
insulting	anger	0.652	beledigend
growls	anger	0.649	gromt
executioner	anger	0.644	beul
twat	anger	0.644	kutje
doomsday	anger	0.643	dag des oordeels
obscenity	anger	0.641	obsceniteit
accused	anger	0.641	beschuldigd
feud	anger	0.641	vete
daemon	anger	0.641	demon
havoc	anger	0.641	ravage
shackle	anger	0.641	sluiting
inexcusable	anger	0.641	onvergeeflijk
indignant	anger	0.641	verontwaardigd
grr	anger	0.641	grr
expulsion	anger	0.641	uitzetting
bombard	anger	0.641	bombarderen
spat	anger	0.641	spuugde
arson	anger	0.641	brandstichting
reprimand	anger	0.641	berisping
somad	anger	0.637	zo boos
frustrated	anger	0.636	gefrustreerd
batter	anger	0.636	beslag
kicking	anger	0.636	schoppen
anarchy	anger	0.636	anarchie
spanking	anger	0.636	pak slaag
glaring	anger	0.636	intens staren
suicidal	anger	0.636	suïcidaal
disgusting	anger	0.636	afschuwelijk
wound	anger	0.636	wond
hanging	anger	0.636	hangend
poisoned	anger	0.636	vergiftigd
combatant	anger	0.636	strijder
wrecked	anger	0.633	vernield
inflict	anger	0.633	toebrengen
grievous	anger	0.632	pijnlijk
prosecute	anger	0.630	vervolgen
agitated	anger	0.630	opgewonden
cheat	anger	0.630	bedriegen
swastika	anger	0.627	swastika
injure	anger	0.625	verwonden
indict	anger	0.625	aanklagen
scourge	anger	0.625	geselen
provocation	anger	0.625	provocatie
suffocation	anger	0.625	verstikking
strife	anger	0.625	strijd
raid	anger	0.625	inval
enslaved	anger	0.625	tot slaaf gemaakt
cursing	anger	0.625	vloeken
defamatory	anger	0.625	lasterlijk
harassing	anger	0.625	intimiderend
thundering	anger	0.625	donderend
betray	anger	0.625	verraden
arsehole	anger	0.624	klootzak
theft	anger	0.621	diefstal
insane	anger	0.621	gestoord
retaliation	anger	0.621	wraak
irritate	anger	0.621	irriteren
deprivation	anger	0.621	ontbering
fiend	anger	0.621	duivel
jerk	anger	0.621	eikel
convict	anger	0.621	veroordelen
cussed	anger	0.619	vervloekt
turmoil	anger	0.618	onrust
smack	anger	0.615	slaan
retribution	anger	0.614	vergelding
rebellion	anger	0.609	opstand
oppressor	anger	0.609	onderdrukker
gang	anger	0.609	bende
slavery	anger	0.609	slavernij
intolerable	anger	0.609	ondraaglijk
adverse	anger	0.609	nadelig
injurious	anger	0.609	schadelijk
twats	anger	0.609	kutjes
collision	anger	0.609	botsing
battery	anger	0.609	accu
bitterly	anger	0.609	bitter
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	prikkelbaarheid
disgraced	anger	0.608	in ongenade gevallen
diatribe	anger	0.606	tirade
asshole	anger	0.606	klootzak
blast	anger	0.606	ontploffing
bombardment	anger	0.606	bombardement
irks	anger	0.606	ergert zich aan
ranting	anger	0.606	tekeer gaan
revolution	anger	0.606	revolutie
thug	anger	0.606	misdadiger
antagonistic	anger	0.606	antagonistisch
irritating	anger	0.606	irritante
sickening	anger	0.606	misselijkmakend
discrimination	anger	0.606	discriminatie
frustrate	anger	0.604	frustreren
insult	anger	0.603	belediging
hurtful	anger	0.603	kwetsend
oppression	anger	0.603	onderdrukking
manipulation	anger	0.603	manipulatie
tiredofit	anger	0.603	moe van
bigot	anger	0.603	onverdraagzame
tension	anger	0.603	spanning
disgust	anger	0.602	walging
spite	anger	0.600	rancune
intrusive	anger	0.598	opdringerig
harshness	anger	0.597	hardheid
slur	anger	0.596	belediging
tempest	anger	0.594	storm
assail	anger	0.594	aanval op
bitterness	anger	0.594	bitterheid
morbidity	anger	0.594	ziektecijfers
casualty	anger	0.594	slachtoffer
puncture	anger	0.594	lekke band
miserable	anger	0.594	miserabel
inferno	anger	0.594	inferno
invasion	anger	0.594	invasie
storming	anger	0.594	bestorming
wretch	anger	0.594	ellendeling
consternation	anger	0.592	consternatie
raving	anger	0.591	enthousiast
forcibly	anger	0.591	met geweld
guillotine	anger	0.591	guillotine
guilty	anger	0.591	schuldig
depraved	anger	0.591	verdorven
immoral	anger	0.591	immoreel
overpowering	anger	0.591	overweldigend
scare	anger	0.588	laten schrikken
recalcitrant	anger	0.588	weerspannige
screwed	anger	0.588	genaaid
accursed	anger	0.588	vervloekt
soannoyed	anger	0.588	zo geïrriteerd
invader	anger	0.588	indringer
jealousy	anger	0.587	jaloezie
indignation	anger	0.587	verontwaardiging
vexed	anger	0.586	geërgerd
confront	anger	0.582	confronteren
brute	anger	0.581	bruut
throttle	anger	0.579	gas geven
slut	anger	0.578	slet
coup	anger	0.578	staatsgreep
blaze	anger	0.578	vlam
pillage	anger	0.578	plundering
provoking	anger	0.578	provoceren
damage	anger	0.578	schade
criminality	anger	0.578	criminaliteit
shutup	anger	0.578	hou je mond
lash	anger	0.578	zweep
conflict	anger	0.578	conflict
contentious	anger	0.578	omstreden
shutit	anger	0.578	hou je mond
wreck	anger	0.578	wrak
defiant	anger	0.578	provocerend
butcher	anger	0.578	slager
incarceration	anger	0.578	opsluiting
revolver	anger	0.578	revolver
bickering	anger	0.578	gekibbel
yousuck	anger	0.578	je bakt er niks van
cancer	anger	0.577	kanker
discriminate	anger	0.576	discrimineren
gun	anger	0.576	pistool
frustration	anger	0.576	frustratie
gory	anger	0.576	bloederig
pernicious	anger	0.576	verderfelijk
dontmess	anger	0.576	niet knoeien
blasphemy	anger	0.576	godslastering
chaotic	anger	0.576	chaotisch
grope	anger	0.576	tasten
alienation	anger	0.576	vervreemding
disturbance	anger	0.576	verstoring
condescension	anger	0.576	neerbuigendheid
standoff	anger	0.576	impasse
discord	anger	0.576	meningsverschil
friggen	anger	0.575	ijskoud
sneer	anger	0.574	spottend
death	anger	0.574	dood
lunacy	anger	0.574	waanzin
scandalous	anger	0.574	schandalig
oppressive	anger	0.574	benauwend
jab	anger	0.574	jaba
cursed	anger	0.574	vervloekt
monstrosity	anger	0.574	monsterachtigheid
shit	anger	0.573	shit
disparaging	anger	0.571	minachtend
slash	anger	0.571	schuine streep
unfair	anger	0.571	oneerlijk
gallows	anger	0.570	galg
escalate	anger	0.569	escaleren
intolerant	anger	0.564	onverdraagzaam
lawlessness	anger	0.563	wetteloosheid
beast	anger	0.562	beest
torpedo	anger	0.562	torpedo-
malign	anger	0.562	kwaadaardig
traitor	anger	0.562	verrader
frightful	anger	0.562	beangstigend
wrangling	anger	0.562	ruzie maken
slander	anger	0.562	laster
bellows	anger	0.562	balg
retards	anger	0.562	achterlijk
grouchy	anger	0.562	humeurig
derogatory	anger	0.562	denigrerend
bearish	anger	0.562	bearish
invade	anger	0.562	binnenvallen
perdition	anger	0.562	verderf
arghh	anger	0.562	arghh
dreadful	anger	0.562	vreselijk
bluddy	anger	0.562	bluddy
deceived	anger	0.562	bedrogen
glare	anger	0.562	schittering
taunt	anger	0.562	uitdagen
dissension	anger	0.561	onenigheid
cross	anger	0.561	kruis
rave	anger	0.561	raaskallen
grating	anger	0.561	rooster
devastating	anger	0.561	verwoestend
fits	anger	0.561	past bij
jeopardize	anger	0.561	in gevaar brengen
shatter	anger	0.561	breken
idiots	anger	0.561	idioten
hurt	anger	0.561	pijn doen
thief	anger	0.561	dief
uncontrollable	anger	0.561	oncontroleerbaar
conflagration	anger	0.561	vuurzee
betrayal	anger	0.561	bedrog
banshee	anger	0.561	banshee
subjugation	anger	0.559	onderwerping
disturbed	anger	0.559	verstoord
stomped	anger	0.557	gestampt
grab	anger	0.557	grijpen
grievance	anger	0.556	klacht
ticked	anger	0.556	aangevinkt
masochism	anger	0.556	masochisme
defiance	anger	0.552	trotsering
blackmail	anger	0.550	chantage
offensive	anger	0.549	offensief
decry	anger	0.548	afkeuren
frustrates	anger	0.547	frustreert
violation	anger	0.547	overtreding
confine	anger	0.547	beperken
misery	anger	0.547	ellende
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ongelijkheid
punishment	anger	0.547	straf
rebel	anger	0.547	rebel
preposterous	anger	0.547	belachelijk
disgraceful	anger	0.547	schandelijk
ire	anger	0.547	ire
deceive	anger	0.547	bedriegen
fustrated	anger	0.547	gefuseerd
sin	anger	0.547	zonde
shrill	anger	0.547	schel
darkside	anger	0.547	duistere kant
overbearing	anger	0.547	aanmatigend
firearms	anger	0.547	vuurwapens
stolen	anger	0.546	gestolen
hadenough	anger	0.546	Genoeg gehad
prejudice	anger	0.545	vooroordeel
tackle	anger	0.545	Onderscheppen
resentful	anger	0.545	rancuneus
heated	anger	0.545	verhitte
callous	anger	0.545	gevoelloos
conspirator	anger	0.545	samenzweerder
ruined	anger	0.545	geruïneerd
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	schermutseling
menace	anger	0.545	bedreiging
annoyin	anger	0.545	vervelend
foul	anger	0.545	vals
argument	anger	0.545	argument
humiliate	anger	0.545	vernederen
wanker	anger	0.545	rukker
adversary	anger	0.545	tegenstander
sting	anger	0.544	steek
entangled	anger	0.544	verstrikt
grumble	anger	0.544	mopperen
robbery	anger	0.544	beroving
outcry	anger	0.544	verontwaardiging
resistance	anger	0.543	weerstand
irreconcilable	anger	0.543	onverenigbaar
obstructive	anger	0.542	obstructief
dismay	anger	0.540	verslagenheid
mob	anger	0.538	menigte
juststop	anger	0.537	stop gewoon
badness	anger	0.536	slechtheid
ridicule	anger	0.534	spot
incendiary	anger	0.533	brandgevaarlijk
flares	anger	0.532	fakkels
twofaced	anger	0.531	twee gezichten
reckless	anger	0.531	roekeloos
communism	anger	0.531	communisme
allegation	anger	0.531	bewering
prejudicial	anger	0.531	nadelig
whip	anger	0.531	zweep
unbridled	anger	0.531	ongebreideld
degeneracy	anger	0.531	degeneratie
intruder	anger	0.531	indringer
belittle	anger	0.531	kleineren
confinement	anger	0.531	beperking
dispute	anger	0.531	onenigheid
exacerbation	anger	0.531	verergering
uprising	anger	0.531	opstand
unjust	anger	0.530	onrechtvaardig
unjustifiable	anger	0.530	niet te rechtvaardigen
perversion	anger	0.530	perversie
bigoted	anger	0.530	onverdraagzaam
fiesty	anger	0.530	fiesty
offender	anger	0.530	overtreder
dictatorial	anger	0.530	dictatoriaal
hassle	anger	0.530	gedoe
dissonance	anger	0.530	dissonantie
tackled	anger	0.530	aangepakt
renegade	anger	0.529	overloper
cantstandit	anger	0.529	kan er niet tegen
trespass	anger	0.529	overtreding
hot	anger	0.529	heet
prison	anger	0.529	gevangenis
suicide	anger	0.521	zelfmoord
annoy	anger	0.520	ergeren
leavemealone	anger	0.517	laat me alleen
cretins	anger	0.516	cretins
depravity	anger	0.516	verdorvenheid
idiotic	anger	0.516	idioot
dishonest	anger	0.516	oneerlijk
distrust	anger	0.516	wantrouwen
broil	anger	0.516	braden
grrr	anger	0.516	grrr
criticize	anger	0.516	bekritiseren
inimical	anger	0.516	vijandig
tortious	anger	0.516	onrechtmatig
prisoner	anger	0.516	gevangene
treason	anger	0.516	landverraad
divorce	anger	0.516	scheiding
venting	anger	0.516	ontluchten
duress	anger	0.516	dwang
disrespectful	anger	0.516	respectloos
poaching	anger	0.515	stroperij
scold	anger	0.515	uitschelden
poachers	anger	0.515	stropers
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	argumentatie
frustrating	anger	0.515	frustrerend
unkind	anger	0.515	onaardig
roar	anger	0.515	brullen
coercion	anger	0.515	dwang
unforgiving	anger	0.515	meedogenloos
grump	anger	0.515	grom
bile	anger	0.515	gal
unleash	anger	0.515	ontketenen
chaos	anger	0.515	chaos
victimized	anger	0.515	slachtoffer
jerks	anger	0.515	eikels
tussle	anger	0.514	worsteling
bane	anger	0.511	vloek
accusation	anger	0.510	beschuldiging
enmity	anger	0.510	vijandschap
repudiation	anger	0.510	afwijzing
banish	anger	0.509	verbannen
disfigured	anger	0.508	misvormd
storm	anger	0.507	storm
crazy	anger	0.500	gek
hammering	anger	0.500	hameren
defy	anger	0.500	trotseren
antithesis	anger	0.500	antithese
scoff	anger	0.500	spotten
anguish	anger	0.500	doodsangst
confined	anger	0.500	burgelijk
fear	anger	0.500	angst
bout	anger	0.500	wedstrijd
unruly	anger	0.500	onhandelbaar
delusional	anger	0.500	misleidend
obstruct	anger	0.500	belemmeren
possessed	anger	0.500	bezeten
injustice	anger	0.500	onrecht
fervor	anger	0.500	vurigheid
spear	anger	0.500	speer
derision	anger	0.500	spot
intractable	anger	0.500	onhandelbaar
reject	anger	0.500	afwijzen
dominate	anger	0.500	domineren
ordeal	anger	0.500	beproeving
banished	anger	0.500	verbannen
rejects	anger	0.500	verwerpt
shun	anger	0.500	vermijden
brunt	anger	0.500	zwaarmoedig
derogation	anger	0.500	afwijking
frenzied	anger	0.500	waanzinnig
animus	anger	0.500	animositeit
suppression	anger	0.500	onderdrukking
malpractice	anger	0.500	wanpraktijken
brazen	anger	0.500	brutaal
foaming	anger	0.500	schuimend
disrupting	anger	0.500	verstorend
nobodycares	anger	0.500	niemand geeft om
patronising	anger	0.500	neerbuigend
getoveryourself	anger	0.495	over jezelf heen
toughness	anger	0.492	taaiheid
stupidpeople	anger	0.492	domme mensen
madness	anger	0.491	krankzinnigheid
sinful	anger	0.491	zondig
avarice	anger	0.490	gierigheid
oppress	anger	0.490	onderdrukken
cutting	anger	0.485	snijden
anathema	anger	0.485	anathema
annoyed	anger	0.485	verveeld
dissident	anger	0.485	dissident
demand	anger	0.485	vraag naar
usurp	anger	0.485	usurperen
claw	anger	0.485	klauw
alienate	anger	0.485	vervreemden
infraction	anger	0.485	overtreding
avenger	anger	0.485	wreker
revoke	anger	0.485	herroepen
smuggler	anger	0.485	smokkelaar
abolish	anger	0.485	vernietigen
fricking	anger	0.485	verdomd
stayaway	anger	0.485	Blijf weg
pervert	anger	0.485	viezerik
disservice	anger	0.485	slechte dienst
disobedient	anger	0.485	ongehoorzaam
incest	anger	0.485	incest
complaint	anger	0.485	klacht
disapproved	anger	0.485	afgekeurd
inhuman	anger	0.485	onmenselijk
mocking	anger	0.484	bespotten
penalty	anger	0.484	straf
renounce	anger	0.484	afstand doen van
restrain	anger	0.484	in toom houden
upheaval	anger	0.484	omwenteling
deceit	anger	0.484	bedrog
obnoxious	anger	0.484	weerzinwekkend
imprisoned	anger	0.484	gevangen gezet
strained	anger	0.484	gespannen
blame	anger	0.484	schuld geven
oust	anger	0.484	verdrijven
litigious	anger	0.484	litigieuze
rivalry	anger	0.484	rivaliteit
sucker	anger	0.484	sukkel
opposed	anger	0.484	tegengesteld
thresh	anger	0.484	dorsen
disgrace	anger	0.484	schande
suspicious	anger	0.484	verdacht
turbulence	anger	0.483	turbulentie
pound	anger	0.481	pond
coldness	anger	0.477	koude
ungrateful	anger	0.472	ondankbaar
stoopid	anger	0.471	stompzinnig
battalion	anger	0.471	bataljon
feudalism	anger	0.470	feodalisme
hostage	anger	0.470	gegijzelde
annoying	anger	0.470	vervelend
dispossessed	anger	0.470	onteigend
subversion	anger	0.470	ondermijning
friction	anger	0.470	wrijving
jealous	anger	0.470	jaloers
adversity	anger	0.470	tegenslag
infidel	anger	0.470	ongelovige
gall	anger	0.470	gal
accuser	anger	0.470	aanklager
ram	anger	0.470	RAM
armament	anger	0.470	bewapening
thump	anger	0.469	dreun
dislike	anger	0.469	afkeer
steal	anger	0.469	stelen
backoff	anger	0.469	Donder op
stifled	anger	0.469	verstikt
incite	anger	0.469	opstoken
distress	anger	0.469	angst
angermanagement	anger	0.469	woedebeheersing
selfish	anger	0.469	egoïstisch
injury	anger	0.469	blessure
exile	anger	0.469	verbanning
insanity	anger	0.469	krankzinnigheid
offense	anger	0.469	belediging
objection	anger	0.469	bezwaar
smother	anger	0.469	smoren
disruption	anger	0.469	ontregeling
intolerance	anger	0.469	onverdraagzaamheid
disobey	anger	0.469	ongehoorzaam zijn
selfishness	anger	0.469	egoïsme
