English Word	Emotion	Emotion-Intensity-Score	Afrikaans Word
dumbbitch	anger	0.841	domkop
detest	anger	0.838	verafsku
hostilities	anger	0.837	vyandelikhede
prick	anger	0.835	prik
rampage	anger	0.833	amok
horrid	anger	0.833	verskriklik
cruelty	anger	0.833	wreedheid
torture	anger	0.833	marteling
rabid	anger	0.833	hondsdol
despicable	anger	0.828	veragtelik
tyrannical	anger	0.828	tirannies
demonic	anger	0.828	demonies
satanic	anger	0.828	satanies
hate	anger	0.828	haat
ragemode	anger	0.828	woedemodus
hating	anger	0.828	haat
ruinous	anger	0.825	verwoestend
condemn	anger	0.825	veroordeel
riots	anger	0.824	onluste
demolish	anger	0.824	sloop
angry	anger	0.824	kwaad
extermination	anger	0.824	uitwissing
dickhead	anger	0.824	pielkop
livid	anger	0.821	woedend
madman	anger	0.820	mal man
vindictive	anger	0.819	wraaksugtig
terrorist	anger	0.818	terroris
threaten	anger	0.818	dreig
venomous	anger	0.818	giftig
hateyou	anger	0.818	haat jou
ferocity	anger	0.818	felheid
effyou	anger	0.818	effy jy
abhor	anger	0.816	verafsku
carnage	anger	0.814	bloedbad
savage	anger	0.814	woeste
atrocity	anger	0.814	gruweldaad
fucksake	anger	0.812	fokken
abuse	anger	0.812	misbruik
fierce	anger	0.812	kwaai
destroyer	anger	0.812	vernietiger
angrytweet	anger	0.812	kwaadtwiet
barbaric	anger	0.812	barbaars
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	vieslik
tyrant	anger	0.812	tiran
berserk	anger	0.812	berserk
fuming	anger	0.812	rokend
anger	anger	0.811	woede
pieceofshit	anger	0.810	stukkie kak
punched	anger	0.803	geslaan
punching	anger	0.803	pons
slam	anger	0.803	klap
homicide	anger	0.803	moord
bitch	anger	0.803	teef
fights	anger	0.803	gevegte
ruthless	anger	0.797	genadeloos
villainous	anger	0.797	skurkagtig
destructive	anger	0.797	vernietigende
slap	anger	0.791	klap
riot	anger	0.788	oproer
growthefuckup	anger	0.788	groeifok
punishing	anger	0.788	straf
slaughterhouse	anger	0.788	slaghuis
yelling	anger	0.788	skree
diabolical	anger	0.788	diaboliese
destroyed	anger	0.788	vernietig
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	vergeldend
manslaughter	anger	0.783	manslag
clash	anger	0.783	botsing
quarrel	anger	0.781	rusie
bloody	anger	0.781	bloederig
hellish	anger	0.781	helse
sinister	anger	0.781	sinister
loath	anger	0.781	afkeer
detonation	anger	0.781	ontploffing
accusing	anger	0.779	beskuldigend
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	verraderlik
madder	anger	0.773	malder
horrific	anger	0.773	gruwelik
revulsion	anger	0.773	weersin
retaliate	anger	0.773	weerwraak
scorn	anger	0.769	minagting
bomb	anger	0.766	bom
deplorable	anger	0.766	betreurenswaardig
devastation	anger	0.765	verwoesting
anarchist	anger	0.765	anargis
firestorm	anger	0.765	vuurstorm
resent	anger	0.765	aanstoot
contemptible	anger	0.764	veragtelik
shittest	anger	0.760	kakste
rant	anger	0.758	rant
cruel	anger	0.758	wreed
deadly	anger	0.758	dodelik
smash	anger	0.758	verpletter
soangry	anger	0.758	so kwaad
outburst	anger	0.757	uitbarsting
snarl	anger	0.754	snerp
profane	anger	0.750	profane
revolting	anger	0.750	opstandig
aggravating	anger	0.750	verswarende
horror	anger	0.750	gruwel
despise	anger	0.750	verag
offend	anger	0.750	aanstoot gee
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgariteit
crazed	anger	0.750	gek
douchebags	anger	0.750	douchebags
growling	anger	0.750	grommend
dontmesswithme	anger	0.750	moenie met my mors nie
screaming	anger	0.742	skree
threat	anger	0.742	bedreiging
erupt	anger	0.742	uitbars
horrible	anger	0.742	aaklig
molestation	anger	0.742	molestering
fuckedoff	anger	0.742	afgefok
violence	anger	0.742	geweld
bastards	anger	0.741	basters
revenge	anger	0.738	wraak
menacing	anger	0.735	dreigend
crushing	anger	0.735	verpletterend
damn	anger	0.735	verdomp
catastrophe	anger	0.735	katastrofe
demon	anger	0.735	demoon
argue	anger	0.734	stry
persecute	anger	0.734	vervolg
deplore	anger	0.734	betreur
flog	anger	0.734	gesel
fedup	anger	0.734	siek en sat
riotous	anger	0.734	oproerig
vehement	anger	0.734	heftig
revolt	anger	0.734	opstand
warfare	anger	0.734	oorlogvoering
thrash	anger	0.734	slaan
altercation	anger	0.729	woordewisseling
warlike	anger	0.728	oorlogsugtige
shitday	anger	0.727	kakdag
mutiny	anger	0.727	muitery
castrate	anger	0.727	kastreer
sabotage	anger	0.727	sabotasie
malevolent	anger	0.721	kwaadwillig
strike	anger	0.721	staak
disaster	anger	0.721	ramp
disastrous	anger	0.720	rampspoedig
bastarding	anger	0.719	basterend
treachery	anger	0.719	verraad
arseholes	anger	0.719	moersgate
horseshit	anger	0.719	perdekak
slay	anger	0.719	doodmaak
disdain	anger	0.719	minagting
aggravates	anger	0.719	vererger
brutal	anger	0.719	brutaal
scorching	anger	0.719	skroeiend
devil	anger	0.719	duiwel
madden	anger	0.719	mal
spiteful	anger	0.719	haatlik
scream	anger	0.719	gil
choke	anger	0.719	verstik
vermin	anger	0.719	ongediertes
tumult	anger	0.719	rumoer
criminal	anger	0.714	krimineel
mangle	anger	0.714	mangle
anarchism	anger	0.714	anargisme
mutilation	anger	0.714	verminking
denunciation	anger	0.713	veroordeling
punch	anger	0.713	slaan
virulence	anger	0.712	virulensie
fatal	anger	0.712	noodlottig
hurting	anger	0.712	seermaak
crucifixion	anger	0.712	kruisiging
dontlikeyou	anger	0.712	hou nie van jou nie
blasphemous	anger	0.712	godslasterlik
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	domkoppe
battled	anger	0.712	geveg het
deranged	anger	0.706	versteurd
irritated	anger	0.706	geïrriteerd
atrocious	anger	0.706	gruwelik
evil	anger	0.706	kwaad
aggravated	anger	0.703	vererger
intimidation	anger	0.703	intimidasie
dicks	anger	0.703	pieltjies
assassin	anger	0.703	sluipmoordenaar
scolding	anger	0.703	skel
persecution	anger	0.703	vervolging
slayer	anger	0.703	moordenaar
kidnap	anger	0.703	ontvoer
aggression	anger	0.702	aggressie
armed	anger	0.700	gewapen
battle	anger	0.697	stryd
poison	anger	0.697	gif
snarling	anger	0.697	snerpend
venom	anger	0.697	gif
disgruntled	anger	0.693	ontevrede
resentment	anger	0.691	wrok
assailant	anger	0.691	aanvaller
insidious	anger	0.691	verraderlik
contemptuous	anger	0.690	minagtend
lynch	anger	0.690	lynch
temper	anger	0.688	humeur
terrible	anger	0.688	verskriklik
disparage	anger	0.688	afkraak
lunatic	anger	0.688	gek
bully	anger	0.688	boelie
mad	anger	0.688	mal
makesmemad	anger	0.688	maakmemad
infanticide	anger	0.688	kindermoord
domination	anger	0.688	oorheersing
peeved	anger	0.688	gepla
imprisonment	anger	0.688	gevangenisstraf
curse	anger	0.688	vloek
volatility	anger	0.687	wisselvalligheid
eradication	anger	0.685	uitwissing
eradicate	anger	0.682	uitroei
tantrum	anger	0.682	vloermoer
scoundrel	anger	0.682	skelm
devastate	anger	0.682	verwoes
aggressively	anger	0.680	aggressief
agitation	anger	0.680	agitasie
dictatorship	anger	0.676	diktatuur
irritates	anger	0.676	irriteer
profanity	anger	0.673	vloektaal
shove	anger	0.672	stoot
nasty	anger	0.672	vieslik
shot	anger	0.672	geskiet
cruelly	anger	0.672	wreed
shoot	anger	0.672	skiet
condemnation	anger	0.672	veroordeling
crushed	anger	0.672	verpletter
aggravation	anger	0.672	verergering
poisonous	anger	0.672	giftig
egregious	anger	0.672	verskriklik
crime	anger	0.672	misdaad
corrupting	anger	0.672	korrupteer
dastardly	anger	0.672	lelik
contempt	anger	0.672	minagting
harmful	anger	0.672	skadelik
expletive	anger	0.672	plofbaar
wreak	anger	0.672	saai
maniac	anger	0.670	maniak
cutthroat	anger	0.667	moordenaar
enemy	anger	0.667	vyand
hit	anger	0.667	getref
hateeveryone	anger	0.667	haat almal
eruption	anger	0.667	uitbarsting
irritable	anger	0.667	prikkelbaar
odious	anger	0.667	afskuwelik
shooting	anger	0.667	skiet
shout	anger	0.667	skree
aggressive	anger	0.667	aggressief
kick	anger	0.667	skop
combat	anger	0.667	geveg
fight	anger	0.667	veg
punished	anger	0.662	gestraf
yell	anger	0.661	skree
ambush	anger	0.661	hinderlaag
harass	anger	0.659	teister
malignant	anger	0.656	kwaadaardig
aggressor	anger	0.656	aggressor
gore	anger	0.656	goor
destruction	anger	0.656	vernietiging
grudge	anger	0.656	wrok
antichrist	anger	0.656	antichris
incense	anger	0.656	wierook
expel	anger	0.656	skors
cranky	anger	0.653	chagrijnig
slave	anger	0.652	slaaf
reprisal	anger	0.652	vergelding
growl	anger	0.652	grom
animosity	anger	0.652	vyandigheid
insurrection	anger	0.652	opstand
clashing	anger	0.652	botsende
denounce	anger	0.652	aan die kaak stel
offended	anger	0.652	beledig
spank	anger	0.652	pak slae
insulting	anger	0.652	beledigend
growls	anger	0.649	grom
executioner	anger	0.644	laksman
twat	anger	0.644	twak
doomsday	anger	0.643	oordeelsdag
obscenity	anger	0.641	obseniteit
accused	anger	0.641	beskuldigde
feud	anger	0.641	vete
daemon	anger	0.641	daemoon
havoc	anger	0.641	verwoesting
shackle	anger	0.641	boei
inexcusable	anger	0.641	onverskoonbaar
indignant	anger	0.641	verontwaardig
grr	anger	0.641	grr
expulsion	anger	0.641	uitsetting
bombard	anger	0.641	bombardeer
spat	anger	0.641	gespoeg
arson	anger	0.641	brandstigting
reprimand	anger	0.641	berisping
somad	anger	0.637	so kwaad
frustrated	anger	0.636	gefrustreerd
batter	anger	0.636	beslag
kicking	anger	0.636	skop
anarchy	anger	0.636	anargie
spanking	anger	0.636	pak slae
glaring	anger	0.636	glansend
suicidal	anger	0.636	selfmoord
disgusting	anger	0.636	walglik
wound	anger	0.636	wond
hanging	anger	0.636	hang
poisoned	anger	0.636	vergiftig
combatant	anger	0.636	vegter
wrecked	anger	0.633	verniel
inflict	anger	0.633	toedien
grievous	anger	0.632	hartseer
prosecute	anger	0.630	vervolg
agitated	anger	0.630	geroer
cheat	anger	0.630	bedrieg
swastika	anger	0.627	swastika
injure	anger	0.625	beseer
indict	anger	0.625	aankla
scourge	anger	0.625	plaag
provocation	anger	0.625	provokasie
suffocation	anger	0.625	verstikking
strife	anger	0.625	twis
raid	anger	0.625	klopjag
enslaved	anger	0.625	verslaaf
cursing	anger	0.625	vloek
defamatory	anger	0.625	lasterlik
harassing	anger	0.625	teisterend
thundering	anger	0.625	donderend
betray	anger	0.625	verraai
arsehole	anger	0.624	moergat
theft	anger	0.621	diefstal
insane	anger	0.621	kranksinnig
retaliation	anger	0.621	vergelding
irritate	anger	0.621	irriteer
deprivation	anger	0.621	ontneming
fiend	anger	0.621	duiwel
jerk	anger	0.621	ruk
convict	anger	0.621	skuldig bevind
cussed	anger	0.619	gevloek
turmoil	anger	0.618	onrus
smack	anger	0.615	slaan
retribution	anger	0.614	vergelding
rebellion	anger	0.609	rebellie
oppressor	anger	0.609	onderdrukker
gang	anger	0.609	bende
slavery	anger	0.609	slawerny
intolerable	anger	0.609	ondraaglik
adverse	anger	0.609	nadelig
injurious	anger	0.609	skadelik
twats	anger	0.609	twak
collision	anger	0.609	botsing
battery	anger	0.609	battery
bitterly	anger	0.609	bitterlik
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	prikkelbaarheid
disgraced	anger	0.608	onteer
diatribe	anger	0.606	diatrie
asshole	anger	0.606	gat
blast	anger	0.606	ontploffing
bombardment	anger	0.606	bombardement
irks	anger	0.606	irks
ranting	anger	0.606	gekerm
revolution	anger	0.606	rewolusie
thug	anger	0.606	boef
antagonistic	anger	0.606	antagonisties
irritating	anger	0.606	irriterend
sickening	anger	0.606	sieklik
discrimination	anger	0.606	diskriminasie
frustrate	anger	0.604	frustreer
insult	anger	0.603	belediging
hurtful	anger	0.603	kwetsend
oppression	anger	0.603	onderdrukking
manipulation	anger	0.603	manipulasie
tiredofit	anger	0.603	moegfit
bigot	anger	0.603	grootmens
tension	anger	0.603	spanning
disgust	anger	0.602	walging
spite	anger	0.600	ten spyte
intrusive	anger	0.598	opdringerig
harshness	anger	0.597	hardheid
slur	anger	0.596	slenter
tempest	anger	0.594	storm
assail	anger	0.594	aanval
bitterness	anger	0.594	bitterheid
morbidity	anger	0.594	morbiditeit
casualty	anger	0.594	ongevalle
puncture	anger	0.594	punksie
miserable	anger	0.594	ellendig
inferno	anger	0.594	inferno
invasion	anger	0.594	inval
storming	anger	0.594	bestorm
wretch	anger	0.594	ellendig
consternation	anger	0.592	konsternasie
raving	anger	0.591	gaande
forcibly	anger	0.591	met geweld
guillotine	anger	0.591	guillotine
guilty	anger	0.591	skuldig
depraved	anger	0.591	verdorwe
immoral	anger	0.591	immoreel
overpowering	anger	0.591	oorweldigend
scare	anger	0.588	skrik
recalcitrant	anger	0.588	weerbarstig
screwed	anger	0.588	geskroef
accursed	anger	0.588	vervloek
soannoyed	anger	0.588	geïrriteerd
invader	anger	0.588	indringer
jealousy	anger	0.587	jaloesie
indignation	anger	0.587	verontwaardiging
vexed	anger	0.586	ontsteld
confront	anger	0.582	konfronteer
brute	anger	0.581	brute
throttle	anger	0.579	versneller
slut	anger	0.578	slet
coup	anger	0.578	staatsgreep
blaze	anger	0.578	brand
pillage	anger	0.578	plundering
provoking	anger	0.578	uitlokkend
damage	anger	0.578	skade
criminality	anger	0.578	misdadigheid
shutup	anger	0.578	bly stil
lash	anger	0.578	wimper
conflict	anger	0.578	konflik
contentious	anger	0.578	omstrede
shutit	anger	0.578	maak dit toe
wreck	anger	0.578	wrak
defiant	anger	0.578	uitdagend
butcher	anger	0.578	slagter
incarceration	anger	0.578	opsluiting
revolver	anger	0.578	rewolwer
bickering	anger	0.578	gekibbel
yousuck	anger	0.578	jy suig
cancer	anger	0.577	Kanker
discriminate	anger	0.576	diskrimineer
gun	anger	0.576	geweer
frustration	anger	0.576	frustrasie
gory	anger	0.576	bloederig
pernicious	anger	0.576	verderflik
dontmess	anger	0.576	moenie mors nie
blasphemy	anger	0.576	godslastering
chaotic	anger	0.576	chaotiese
grope	anger	0.576	tas
alienation	anger	0.576	vervreemding
disturbance	anger	0.576	versteuring
condescension	anger	0.576	neerbuigend
standoff	anger	0.576	staanplek
discord	anger	0.576	onenigheid
friggen	anger	0.575	friggen
sneer	anger	0.574	spot
death	anger	0.574	dood
lunacy	anger	0.574	waansin
scandalous	anger	0.574	skandalig
oppressive	anger	0.574	onderdrukkend
jab	anger	0.574	steek
cursed	anger	0.574	vervloek
monstrosity	anger	0.574	monstrositeit
shit	anger	0.573	kak
disparaging	anger	0.571	neerhalend
slash	anger	0.571	slash
unfair	anger	0.571	onregverdig
gallows	anger	0.570	galg
escalate	anger	0.569	eskaleer
intolerant	anger	0.564	onverdraagsaam
lawlessness	anger	0.563	wetteloosheid
beast	anger	0.562	dier
torpedo	anger	0.562	torpedo
malign	anger	0.562	kwaadaardig
traitor	anger	0.562	verraaier
frightful	anger	0.562	skrikwekkend
wrangling	anger	0.562	stryery
slander	anger	0.562	laster
bellows	anger	0.562	blaasbalk
retards	anger	0.562	vertraagde
grouchy	anger	0.562	knorrig
derogatory	anger	0.562	neerhalend
bearish	anger	0.562	lomp
invade	anger	0.562	inval
perdition	anger	0.562	verderf
arghh	anger	0.562	arghh
dreadful	anger	0.562	verskriklik
bluddy	anger	0.562	bles
deceived	anger	0.562	mislei
glare	anger	0.562	glans
taunt	anger	0.562	uittart
dissension	anger	0.561	onenigheid
cross	anger	0.561	kwaad
rave	anger	0.561	rave
grating	anger	0.561	rasper
devastating	anger	0.561	verwoestend
fits	anger	0.561	pas
jeopardize	anger	0.561	in gevaar stel
shatter	anger	0.561	verbrysel
idiots	anger	0.561	idiote
hurt	anger	0.561	seermaak
thief	anger	0.561	dief
uncontrollable	anger	0.561	onbeheerbaar
conflagration	anger	0.561	brand
betrayal	anger	0.561	verraad
banshee	anger	0.561	banshee
subjugation	anger	0.559	onderwerping
disturbed	anger	0.559	versteur
stomped	anger	0.557	getrap
grab	anger	0.557	gryp
grievance	anger	0.556	grief
ticked	anger	0.556	gemerk
masochism	anger	0.556	masochisme
defiance	anger	0.552	uittarting
blackmail	anger	0.550	afpersing
offensive	anger	0.549	aanstootlik
decry	anger	0.548	afkeur
frustrates	anger	0.547	frustreer
violation	anger	0.547	oortreding
confine	anger	0.547	beperk
misery	anger	0.547	ellende
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ongelykheid
punishment	anger	0.547	straf
rebel	anger	0.547	rebelleer
preposterous	anger	0.547	belaglik
disgraceful	anger	0.547	skandelik
ire	anger	0.547	woedend
deceive	anger	0.547	bedrieg
fustrated	anger	0.547	gefrustreerd
sin	anger	0.547	sonde
shrill	anger	0.547	skril
darkside	anger	0.547	donkerkant
overbearing	anger	0.547	aanmatigend
firearms	anger	0.547	vuurwapens
stolen	anger	0.546	gesteel
hadenough	anger	0.546	genoeg gehad
prejudice	anger	0.545	vooroordeel
tackle	anger	0.545	aanpak
resentful	anger	0.545	gegrief
heated	anger	0.545	verhit
callous	anger	0.545	gevoelloos
conspirator	anger	0.545	samesweerder
ruined	anger	0.545	verwoes
antagonist	anger	0.545	antagonis
skirmish	anger	0.545	skermutseling
menace	anger	0.545	bedreiging
annoyin	anger	0.545	irriteer
foul	anger	0.545	vieslik
argument	anger	0.545	argument
humiliate	anger	0.545	verneder
wanker	anger	0.545	wankel
adversary	anger	0.545	teenstander
sting	anger	0.544	steek
entangled	anger	0.544	gekoek
grumble	anger	0.544	gebrom
robbery	anger	0.544	roof
outcry	anger	0.544	uitgeroep
resistance	anger	0.543	weerstand
irreconcilable	anger	0.543	onversoenbaar
obstructive	anger	0.542	belemmerend
dismay	anger	0.540	ontsteltenis
mob	anger	0.538	gepeupel
juststop	anger	0.537	net ophou
badness	anger	0.536	slegtheid
ridicule	anger	0.534	bespotting
incendiary	anger	0.533	aansteeklik
flares	anger	0.532	fakkels
twofaced	anger	0.531	tweegesig
reckless	anger	0.531	roekeloos
communism	anger	0.531	kommunisme
allegation	anger	0.531	bewering
prejudicial	anger	0.531	benadeel
whip	anger	0.531	sweep
unbridled	anger	0.531	ongebreidelde
degeneracy	anger	0.531	degenerasie
intruder	anger	0.531	indringer
belittle	anger	0.531	verkleineer
confinement	anger	0.531	opsluiting
dispute	anger	0.531	dispuut
exacerbation	anger	0.531	verergering
uprising	anger	0.531	opstand
unjust	anger	0.530	onregverdig
unjustifiable	anger	0.530	onregverdigbaar
perversion	anger	0.530	perversie
bigoted	anger	0.530	grootmoedig
fiesty	anger	0.530	pittig
offender	anger	0.530	oortreder
dictatorial	anger	0.530	diktatoriaal
hassle	anger	0.530	moeite
dissonance	anger	0.530	dissonansie
tackled	anger	0.530	aangepak
renegade	anger	0.529	afvallige
cantstandit	anger	0.529	kan nie staan nie
trespass	anger	0.529	oortreding
hot	anger	0.529	warm
prison	anger	0.529	tronk
suicide	anger	0.521	selfmoord
annoy	anger	0.520	vererg
leavemealone	anger	0.517	los my uit
cretins	anger	0.516	kretins
depravity	anger	0.516	verdorwenheid
idiotic	anger	0.516	idioot
dishonest	anger	0.516	oneerlik
distrust	anger	0.516	wantroue
broil	anger	0.516	braai
grrr	anger	0.516	grrr
criticize	anger	0.516	kritiseer
inimical	anger	0.516	vyandiggesind
tortious	anger	0.516	onregmatige
prisoner	anger	0.516	gevangene
treason	anger	0.516	verraad
divorce	anger	0.516	egskeiding
venting	anger	0.516	ventilasie
duress	anger	0.516	dwang
disrespectful	anger	0.516	oneerbiedig
poaching	anger	0.515	stropery
scold	anger	0.515	skel
poachers	anger	0.515	stropers
pow	anger	0.515	pow
hangry	anger	0.515	honger
argumentation	anger	0.515	argumentasie
frustrating	anger	0.515	frustrerend
unkind	anger	0.515	onvriendelik
roar	anger	0.515	brul
coercion	anger	0.515	dwang
unforgiving	anger	0.515	onvergewensgesind
grump	anger	0.515	knorrig
bile	anger	0.515	gal
unleash	anger	0.515	ontketen
chaos	anger	0.515	chaos
victimized	anger	0.515	geviktimiseer
jerks	anger	0.515	rukke
tussle	anger	0.514	gesukkel
bane	anger	0.511	vloek
accusation	anger	0.510	beskuldiging
enmity	anger	0.510	vyandskap
repudiation	anger	0.510	repudiasie
banish	anger	0.509	verban
disfigured	anger	0.508	ontsier
storm	anger	0.507	storm
crazy	anger	0.500	gek
hammering	anger	0.500	hamer
defy	anger	0.500	trotseer
antithesis	anger	0.500	antitese
scoff	anger	0.500	spot
anguish	anger	0.500	angs
confined	anger	0.500	ingeperk
fear	anger	0.500	vrees
bout	anger	0.500	geveg
unruly	anger	0.500	weerbarstig
delusional	anger	0.500	dwaling
obstruct	anger	0.500	belemmer
possessed	anger	0.500	besit
injustice	anger	0.500	onreg
fervor	anger	0.500	ywer
spear	anger	0.500	spies
derision	anger	0.500	bespotting
intractable	anger	0.500	onhandelbaar
reject	anger	0.500	verwerp
dominate	anger	0.500	oorheers
ordeal	anger	0.500	beproewing
banished	anger	0.500	verban
rejects	anger	0.500	verwerp
shun	anger	0.500	vermy
brunt	anger	0.500	swaarkry
derogation	anger	0.500	afwyking
frenzied	anger	0.500	waansinnig
animus	anger	0.500	animus
suppression	anger	0.500	onderdrukking
malpractice	anger	0.500	wanpraktyke
brazen	anger	0.500	braaf
foaming	anger	0.500	skuim
disrupting	anger	0.500	ontwrig
nobodycares	anger	0.500	niemand gee om nie
patronising	anger	0.500	neerbuigend
getoveryourself	anger	0.495	ruk jou reg
toughness	anger	0.492	taaiheid
stupidpeople	anger	0.492	dom mense
madness	anger	0.491	waansin
sinful	anger	0.491	sondig
avarice	anger	0.490	gierigheid
oppress	anger	0.490	onderdruk
cutting	anger	0.485	sny
anathema	anger	0.485	anathema
annoyed	anger	0.485	vererg
dissident	anger	0.485	andersdenkende
demand	anger	0.485	vraag
usurp	anger	0.485	usurp
claw	anger	0.485	klou
alienate	anger	0.485	vervreem
infraction	anger	0.485	oortreding
avenger	anger	0.485	wreker
revoke	anger	0.485	herroep
smuggler	anger	0.485	smokkelaar
abolish	anger	0.485	afskaf
fricking	anger	0.485	frikk
stayaway	anger	0.485	bly weg
pervert	anger	0.485	verdraai
disservice	anger	0.485	ondiens
disobedient	anger	0.485	ongehoorsaam
incest	anger	0.485	bloedskande
complaint	anger	0.485	klagte
disapproved	anger	0.485	afgekeur
inhuman	anger	0.485	onmenslik
mocking	anger	0.484	spottend
penalty	anger	0.484	straf
renounce	anger	0.484	verloën
restrain	anger	0.484	toom
upheaval	anger	0.484	omwenteling
deceit	anger	0.484	bedrog
obnoxious	anger	0.484	onaangenaam
imprisoned	anger	0.484	gevange geneem
strained	anger	0.484	gespanne
blame	anger	0.484	blameer
oust	anger	0.484	verdryf
litigious	anger	0.484	litigies
rivalry	anger	0.484	wedywering
sucker	anger	0.484	suier
opposed	anger	0.484	teenstelling
thresh	anger	0.484	dors
disgrace	anger	0.484	skande
suspicious	anger	0.484	verdag
turbulence	anger	0.483	turbulensie
pound	anger	0.481	pond
coldness	anger	0.477	koudheid
ungrateful	anger	0.472	ondankbaar
stoopid	anger	0.471	stomp
battalion	anger	0.471	bataljon
feudalism	anger	0.470	feodalisme
hostage	anger	0.470	gyselaar
annoying	anger	0.470	irriterend
dispossessed	anger	0.470	onteien
subversion	anger	0.470	ondermyning
friction	anger	0.470	wrywing
jealous	anger	0.470	jaloers
adversity	anger	0.470	teëspoed
infidel	anger	0.470	ongelowige
gall	anger	0.470	gal
accuser	anger	0.470	aanklaer
ram	anger	0.470	ram
armament	anger	0.470	bewapening
thump	anger	0.469	stamp
dislike	anger	0.469	hou nie van nie
steal	anger	0.469	steel
backoff	anger	0.469	terugslag
stifled	anger	0.469	gesmoor
incite	anger	0.469	aanhits
distress	anger	0.469	nood
angermanagement	anger	0.469	woede bestuur
selfish	anger	0.469	selfsugtig
injury	anger	0.469	besering
exile	anger	0.469	ballingskap
insanity	anger	0.469	waansin
offense	anger	0.469	aanstoot
objection	anger	0.469	beswaar
smother	anger	0.469	versmoor
disruption	anger	0.469	ontwrigting
intolerance	anger	0.469	onverdraagsaamheid
disobey	anger	0.469	ongehoorsaam
selfishness	anger	0.469	selfsug
recidivism	anger	0.469	herhaling
subversive	anger	0.469	ondermynend
huff	anger	0.469	huf
plunder	anger	0.469	plunder
opposition	anger	0.469	opposisie
complain	anger	0.469	kla
perpetrator	anger	0.469	oortreder
simmer	anger	0.469	prut
areyoukidding	anger	0.468	speel jy
mug	anger	0.467	beker
agony	anger	0.465	angs
arrogant	anger	0.461	arrogant
sux	anger	0.456	sux
vent	anger	0.456	vent
elimination	anger	0.456	uitskakeling
picketing	anger	0.456	staking
haughty	anger	0.456	hoogmoedig
grated	anger	0.455	gerasper
flagrant	anger	0.455	flagrant
