English Word	Emotion	Emotion-Intensity-Score	Spanish Word
hellish	anger	0.781	infernal
sinister	anger	0.781	siniestro
loath	anger	0.781	poco dispuesto
detonation	anger	0.781	detonación
accusing	anger	0.779	acusando
fumin	anger	0.779	fumando
hateeee	anger	0.779	odio
treacherous	anger	0.779	traicionero
madder	anger	0.773	rubia
horrific	anger	0.773	horrendo
revulsion	anger	0.773	repugnancia
retaliate	anger	0.773	tomar represalias
scorn	anger	0.769	desdén
bomb	anger	0.766	bomba
deplorable	anger	0.766	deplorable
devastation	anger	0.765	devastación
anarchist	anger	0.765	anarquista
firestorm	anger	0.765	tormenta de fuego
resent	anger	0.765	resentirse de
contemptible	anger	0.764	despreciable
shittest	anger	0.760	mierda
rant	anger	0.758	despotricar
cruel	anger	0.758	cruel
deadly	anger	0.758	mortal
smash	anger	0.758	aplastar
soangry	anger	0.758	tan enojado
outburst	anger	0.757	explosión
snarl	anger	0.754	gruñido
profane	anger	0.750	profano
revolting	anger	0.750	repugnante
aggravating	anger	0.750	agravante
horror	anger	0.750	horror
despise	anger	0.750	despreciar
offend	anger	0.750	ofender
stfu	anger	0.750	cosas
vulgarity	anger	0.750	vulgaridad
crazed	anger	0.750	loco
douchebags	anger	0.750	idiotas
growling	anger	0.750	gruñendo
dontmesswithme	anger	0.750	no te metas conmigo
screaming	anger	0.742	gritando
threat	anger	0.742	amenaza
erupt	anger	0.742	estallar
horrible	anger	0.742	horrible
molestation	anger	0.742	acoso
fuckedoff	anger	0.742	jodido
violence	anger	0.742	violencia
bastards	anger	0.741	bastardos
revenge	anger	0.738	venganza
menacing	anger	0.735	amenazador
crushing	anger	0.735	aplastante
damn	anger	0.735	maldita sea
catastrophe	anger	0.735	catástrofe
demon	anger	0.735	demonio
argue	anger	0.734	discutir
persecute	anger	0.734	perseguir
deplore	anger	0.734	deplorar
flog	anger	0.734	azotar
fedup	anger	0.734	harto
riotous	anger	0.734	desenfrenado
vehement	anger	0.734	vehemente
revolt	anger	0.734	revuelta
warfare	anger	0.734	guerra
thrash	anger	0.734	movimiento de piernas
altercation	anger	0.729	altercado
warlike	anger	0.728	belicoso
shitday	anger	0.727	mierda
mutiny	anger	0.727	motín
castrate	anger	0.727	castrar
sabotage	anger	0.727	sabotaje
malevolent	anger	0.721	malévolo
strike	anger	0.721	Huelga
disaster	anger	0.721	desastre
disastrous	anger	0.720	desastroso
bastarding	anger	0.719	bastardo
treachery	anger	0.719	traición
arseholes	anger	0.719	pendejos
horseshit	anger	0.719	mierda de caballo
slay	anger	0.719	matar
disdain	anger	0.719	desdén
aggravates	anger	0.719	agrava
brutal	anger	0.719	brutal
scorching	anger	0.719	abrasador
devil	anger	0.719	demonio
madden	anger	0.719	enloquecer
spiteful	anger	0.719	malévolo
scream	anger	0.719	grito
choke	anger	0.719	ahogo
vermin	anger	0.719	alimañas
tumult	anger	0.719	tumulto
criminal	anger	0.714	delincuente
mangle	anger	0.714	mutilar
anarchism	anger	0.714	anarquismo
mutilation	anger	0.714	mutilación
denunciation	anger	0.713	denuncia
punch	anger	0.713	puñetazo
virulence	anger	0.712	virulencia
fatal	anger	0.712	fatal
hurting	anger	0.712	lastimando
crucifixion	anger	0.712	crucifixión
dontlikeyou	anger	0.712	no me gustas
blasphemous	anger	0.712	blasfemo
holocaust	anger	0.712	holocausto
dumbasses	anger	0.712	tontos
battled	anger	0.712	luchó
deranged	anger	0.706	trastornado
irritated	anger	0.706	irritado
atrocious	anger	0.706	atroz
evil	anger	0.706	demonio
aggravated	anger	0.703	agravado
intimidation	anger	0.703	intimidación
dicks	anger	0.703	pollas
assassin	anger	0.703	asesino
scolding	anger	0.703	regaño
persecution	anger	0.703	persecucion
slayer	anger	0.703	asesino
kidnap	anger	0.703	secuestrar
aggression	anger	0.702	agresión
armed	anger	0.700	armado
battle	anger	0.697	batalla
poison	anger	0.697	veneno
snarling	anger	0.697	gruñendo
venom	anger	0.697	veneno
disgruntled	anger	0.693	descontento
resentment	anger	0.691	resentimiento
assailant	anger	0.691	agresor
insidious	anger	0.691	insidioso
contemptuous	anger	0.690	desdeñoso
lynch	anger	0.690	linchar
temper	anger	0.688	temperamento
terrible	anger	0.688	horrible
disparage	anger	0.688	menospreciar
lunatic	anger	0.688	lunático
bully	anger	0.688	matón
mad	anger	0.688	enojado
makesmemad	anger	0.688	me enfurece
infanticide	anger	0.688	infanticidio
domination	anger	0.688	dominación
peeved	anger	0.688	furioso
imprisonment	anger	0.688	prisión
curse	anger	0.688	maldición
volatility	anger	0.687	volatilidad
eradication	anger	0.685	erradicación
eradicate	anger	0.682	erradicar
tantrum	anger	0.682	berrinche
scoundrel	anger	0.682	sinvergüenza
devastate	anger	0.682	devastar
aggressively	anger	0.680	agresivamente
agitation	anger	0.680	agitación
dictatorship	anger	0.676	dictadura
irritates	anger	0.676	irrita
profanity	anger	0.673	blasfemia
shove	anger	0.672	empujón
nasty	anger	0.672	asqueroso
shot	anger	0.672	Disparo
cruelly	anger	0.672	con crueldad
shoot	anger	0.672	disparar
condemnation	anger	0.672	condenación
crushed	anger	0.672	aplastada
aggravation	anger	0.672	agravación
poisonous	anger	0.672	venenoso
egregious	anger	0.672	enorme
crime	anger	0.672	delito
corrupting	anger	0.672	corrompiendo
dastardly	anger	0.672	ruin
contempt	anger	0.672	desprecio
harmful	anger	0.672	dañino
expletive	anger	0.672	expletivo
wreak	anger	0.672	infligir
maniac	anger	0.670	maníaco
cutthroat	anger	0.667	asesino
enemy	anger	0.667	enemigo
hit	anger	0.667	pegar
hateeveryone	anger	0.667	odio a todos
eruption	anger	0.667	erupción
irritable	anger	0.667	irritable
odious	anger	0.667	odioso
shooting	anger	0.667	tiroteo
shout	anger	0.667	grito
aggressive	anger	0.667	agresivo
kick	anger	0.667	patada
combat	anger	0.667	combate
fight	anger	0.667	lucha
punished	anger	0.662	castigado
yell	anger	0.661	gritar
ambush	anger	0.661	emboscada
harass	anger	0.659	acosar
malignant	anger	0.656	maligno
aggressor	anger	0.656	agresor
gore	anger	0.656	sangre
destruction	anger	0.656	destrucción
grudge	anger	0.656	resentimiento
antichrist	anger	0.656	antecristo
incense	anger	0.656	incienso
expel	anger	0.656	expulsar
cranky	anger	0.653	de maniático
slave	anger	0.652	esclavo
reprisal	anger	0.652	represalia
growl	anger	0.652	gruñido
animosity	anger	0.652	animosidad
insurrection	anger	0.652	insurrección
clashing	anger	0.652	chocando
denounce	anger	0.652	denunciar
offended	anger	0.652	ofendido
spank	anger	0.652	azotar
insulting	anger	0.652	insultante
growls	anger	0.649	gruñidos
executioner	anger	0.644	verdugo
twat	anger	0.644	coño
doomsday	anger	0.643	Día del Juicio Final
obscenity	anger	0.641	obscenidad
accused	anger	0.641	acusado
feud	anger	0.641	feudo
daemon	anger	0.641	demonio
havoc	anger	0.641	estragos
shackle	anger	0.641	encadenar
inexcusable	anger	0.641	inexcusable
indignant	anger	0.641	indignado
grr	anger	0.641	grr
expulsion	anger	0.641	expulsión
bombard	anger	0.641	bombardear
spat	anger	0.641	escupió
arson	anger	0.641	incendio provocado
reprimand	anger	0.641	reprimenda
somad	anger	0.637	tan enojado
frustrated	anger	0.636	frustrado
batter	anger	0.636	masa
kicking	anger	0.636	pateando
anarchy	anger	0.636	anarquía
spanking	anger	0.636	azotaina
glaring	anger	0.636	deslumbrador
suicidal	anger	0.636	suicida
disgusting	anger	0.636	desagradable
wound	anger	0.636	herida
hanging	anger	0.636	colgando
poisoned	anger	0.636	envenenado
combatant	anger	0.636	combatiente
wrecked	anger	0.633	destrozado
inflict	anger	0.633	infligir
grievous	anger	0.632	grave
prosecute	anger	0.630	enjuiciar
agitated	anger	0.630	agitado
cheat	anger	0.630	hacer trampa
swastika	anger	0.627	esvástica
injure	anger	0.625	lesionar
indict	anger	0.625	procesar
scourge	anger	0.625	azotar
provocation	anger	0.625	provocación
suffocation	anger	0.625	asfixia
strife	anger	0.625	lucha
raid	anger	0.625	Redada
enslaved	anger	0.625	esclavizado
cursing	anger	0.625	maldiciendo
defamatory	anger	0.625	difamatorio
harassing	anger	0.625	acosando
thundering	anger	0.625	tremendo
betray	anger	0.625	traicionar
arsehole	anger	0.624	gilipollas
theft	anger	0.621	robo
insane	anger	0.621	loco
retaliation	anger	0.621	represalias
irritate	anger	0.621	irritar
deprivation	anger	0.621	privación
fiend	anger	0.621	demonio
jerk	anger	0.621	imbécil
convict	anger	0.621	condenar
cussed	anger	0.619	terco
turmoil	anger	0.618	confusión
smack	anger	0.615	tortazo
retribution	anger	0.614	venganza
rebellion	anger	0.609	rebelión
oppressor	anger	0.609	opresor
gang	anger	0.609	pandilla
slavery	anger	0.609	esclavitud
intolerable	anger	0.609	intolerable
adverse	anger	0.609	adverso
injurious	anger	0.609	perjudicial
twats	anger	0.609	idiotas
collision	anger	0.609	colisión
battery	anger	0.609	batería
bitterly	anger	0.609	amargamente
antagonism	anger	0.609	antagonismo
irritability	anger	0.609	irritabilidad
disgraced	anger	0.608	deshonrado
diatribe	anger	0.606	diatriba
asshole	anger	0.606	Estúpido
blast	anger	0.606	explosión
bombardment	anger	0.606	bombardeo
irks	anger	0.606	irrita
ranting	anger	0.606	despotricando
revolution	anger	0.606	revolución
thug	anger	0.606	matón
antagonistic	anger	0.606	antagonista
irritating	anger	0.606	irritante
sickening	anger	0.606	nauseabundo
discrimination	anger	0.606	discriminación
frustrate	anger	0.604	frustrar
insult	anger	0.603	insulto
hurtful	anger	0.603	hiriente
oppression	anger	0.603	opresión
manipulation	anger	0.603	manipulación
tiredofit	anger	0.603	cansado de ello
bigot	anger	0.603	fanático
tension	anger	0.603	tensión
disgust	anger	0.602	asco
spite	anger	0.600	despecho
intrusive	anger	0.598	intruso
harshness	anger	0.597	dureza
slur	anger	0.596	calumnia
tempest	anger	0.594	tempestad
assail	anger	0.594	atacar
bitterness	anger	0.594	amargura
morbidity	anger	0.594	morbosidad
casualty	anger	0.594	víctima
puncture	anger	0.594	punción
miserable	anger	0.594	miserable
inferno	anger	0.594	infierno
invasion	anger	0.594	invasión
storming	anger	0.594	asalto
wretch	anger	0.594	desgraciado
consternation	anger	0.592	consternación
raving	anger	0.591	delirante
forcibly	anger	0.591	a la fuerza
guillotine	anger	0.591	guillotina
guilty	anger	0.591	culpable
depraved	anger	0.591	depravado
immoral	anger	0.591	inmoral
overpowering	anger	0.591	abrumador
scare	anger	0.588	susto
recalcitrant	anger	0.588	recalcitrante
screwed	anger	0.588	atornillado
accursed	anger	0.588	maldito
soannoyed	anger	0.588	muy molesto
invader	anger	0.588	invasor
jealousy	anger	0.587	celos
indignation	anger	0.587	indignación
vexed	anger	0.586	enfadado
confront	anger	0.582	confrontar
brute	anger	0.581	bruto
throttle	anger	0.579	acelerador
slut	anger	0.578	puta
coup	anger	0.578	golpe
blaze	anger	0.578	resplandor
pillage	anger	0.578	pillaje
provoking	anger	0.578	provocador
damage	anger	0.578	daño
criminality	anger	0.578	criminalidad
shutup	anger	0.578	callarse la boca
lash	anger	0.578	latigazo
conflict	anger	0.578	conflicto
contentious	anger	0.578	contencioso
shutit	anger	0.578	ciérralo
wreck	anger	0.578	naufragio
defiant	anger	0.578	desafiante
butcher	anger	0.578	carnicero
incarceration	anger	0.578	encarcelamiento
revolver	anger	0.578	revólver
bickering	anger	0.578	dimes y diretes
yousuck	anger	0.578	eres un inútil
cancer	anger	0.577	cáncer
discriminate	anger	0.576	discriminar
gun	anger	0.576	pistola
frustration	anger	0.576	frustración
gory	anger	0.576	sangriento
pernicious	anger	0.576	pernicioso
dontmess	anger	0.576	no te metas
blasphemy	anger	0.576	blasfemia
chaotic	anger	0.576	caótico
grope	anger	0.576	ir a tientas
alienation	anger	0.576	alienación
disturbance	anger	0.576	disturbio
condescension	anger	0.576	condescendencia
standoff	anger	0.576	punto muerto
discord	anger	0.576	discordia
friggen	anger	0.575	Friggen
sneer	anger	0.574	burla
death	anger	0.574	muerte
lunacy	anger	0.574	locura
scandalous	anger	0.574	escandaloso
oppressive	anger	0.574	opresivo
jab	anger	0.574	pinchazo
cursed	anger	0.574	maldito
monstrosity	anger	0.574	monstruosidad
shit	anger	0.573	mierda
disparaging	anger	0.571	despectivo
slash	anger	0.571	barra oblicua
unfair	anger	0.571	injusto
gallows	anger	0.570	horca
escalate	anger	0.569	escalar
intolerant	anger	0.564	intolerante
lawlessness	anger	0.563	desorden
beast	anger	0.562	bestia
torpedo	anger	0.562	torpedo
malign	anger	0.562	maligno
traitor	anger	0.562	traidor
frightful	anger	0.562	espantoso
wrangling	anger	0.562	discutiendo
slander	anger	0.562	calumnia
bellows	anger	0.562	fuelle
retards	anger	0.562	retrasados
grouchy	anger	0.562	malhumorado
derogatory	anger	0.562	despectivo
bearish	anger	0.562	osuno
invade	anger	0.562	invadir
perdition	anger	0.562	perdición
arghh	anger	0.562	arghh
dreadful	anger	0.562	terrible
bluddy	anger	0.562	Bluddy
deceived	anger	0.562	engañado
glare	anger	0.562	destello
taunt	anger	0.562	pulla
dissension	anger	0.561	disensión
cross	anger	0.561	cruz
rave	anger	0.561	delirio
grating	anger	0.561	rejilla
devastating	anger	0.561	devastador
fits	anger	0.561	encaja
jeopardize	anger	0.561	poner en peligro
shatter	anger	0.561	romper
idiots	anger	0.561	idiotas
hurt	anger	0.561	herir
thief	anger	0.561	ladrón
uncontrollable	anger	0.561	incontrolable
conflagration	anger	0.561	conflagración
betrayal	anger	0.561	traición
banshee	anger	0.561	alma en pena
subjugation	anger	0.559	subyugación
disturbed	anger	0.559	perturbado
stomped	anger	0.557	pisoteado
grab	anger	0.557	tomar
grievance	anger	0.556	queja
ticked	anger	0.556	marcado
masochism	anger	0.556	masoquismo
defiance	anger	0.552	desafío
blackmail	anger	0.550	chantaje
offensive	anger	0.549	ofensivo
decry	anger	0.548	desacreditar
frustrates	anger	0.547	frustra
violation	anger	0.547	violación
confine	anger	0.547	confinar
misery	anger	0.547	miseria
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparidad
punishment	anger	0.547	castigo
rebel	anger	0.547	rebelde
preposterous	anger	0.547	absurdo
disgraceful	anger	0.547	vergonzoso
ire	anger	0.547	ira
deceive	anger	0.547	engañar
fustrated	anger	0.547	frustrado
sin	anger	0.547	pecado
shrill	anger	0.547	estridente
darkside	anger	0.547	lado oscuro
overbearing	anger	0.547	despótico
firearms	anger	0.547	armas de fuego
stolen	anger	0.546	robado
hadenough	anger	0.546	tuve suficiente
prejudice	anger	0.545	prejuicio
tackle	anger	0.545	abordar
resentful	anger	0.545	resentido
heated	anger	0.545	calentado
callous	anger	0.545	calloso
conspirator	anger	0.545	conspirador
ruined	anger	0.545	arruinado
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	escaramuza
menace	anger	0.545	amenaza
annoyin	anger	0.545	molesto
foul	anger	0.545	falta
argument	anger	0.545	argumento
humiliate	anger	0.545	humillar
wanker	anger	0.545	gilipollas
adversary	anger	0.545	adversario
sting	anger	0.544	picadura
entangled	anger	0.544	enredado
grumble	anger	0.544	queja
robbery	anger	0.544	robo
outcry	anger	0.544	grito
resistance	anger	0.543	resistencia
irreconcilable	anger	0.543	irreconciliable
obstructive	anger	0.542	obstructivo
dismay	anger	0.540	consternación
mob	anger	0.538	multitud
juststop	anger	0.537	solo para
badness	anger	0.536	maldad
ridicule	anger	0.534	ridículo
incendiary	anger	0.533	incendiario
flares	anger	0.532	bengalas
twofaced	anger	0.531	dos caras
reckless	anger	0.531	imprudente
communism	anger	0.531	comunismo
allegation	anger	0.531	alegación
prejudicial	anger	0.531	perjudicial
whip	anger	0.531	látigo
unbridled	anger	0.531	desenfrenado
degeneracy	anger	0.531	degeneración
intruder	anger	0.531	intruso
belittle	anger	0.531	empequeñecer
confinement	anger	0.531	confinamiento
dispute	anger	0.531	disputar
exacerbation	anger	0.531	exacerbación
uprising	anger	0.531	levantamiento
unjust	anger	0.530	injusto
unjustifiable	anger	0.530	injustificable
perversion	anger	0.530	perversión
bigoted	anger	0.530	fanático
fiesty	anger	0.530	fiestero
offender	anger	0.530	delincuente
dictatorial	anger	0.530	dictatorial
hassle	anger	0.530	molestia
dissonance	anger	0.530	disonancia
tackled	anger	0.530	abordado
renegade	anger	0.529	renegado
cantstandit	anger	0.529	no puedo soportarlo
trespass	anger	0.529	pecado
hot	anger	0.529	caliente
prison	anger	0.529	prisión
suicide	anger	0.521	suicidio
annoy	anger	0.520	enojarse
leavemealone	anger	0.517	Déjame en paz
cretins	anger	0.516	cretinos
depravity	anger	0.516	depravación
idiotic	anger	0.516	idiota
dishonest	anger	0.516	deshonesto
distrust	anger	0.516	desconfianza
broil	anger	0.516	asar
grrr	anger	0.516	grrr
criticize	anger	0.516	criticar
inimical	anger	0.516	hostil
tortious	anger	0.516	tortuoso
prisoner	anger	0.516	prisionero
treason	anger	0.516	traición
divorce	anger	0.516	divorcio
venting	anger	0.516	desfogue
duress	anger	0.516	coacción
disrespectful	anger	0.516	irrespetuoso
poaching	anger	0.515	caza furtiva
scold	anger	0.515	regañar
poachers	anger	0.515	cazadores furtivos
pow	anger	0.515	pow
hangry	anger	0.515	hambriento
argumentation	anger	0.515	argumentación
frustrating	anger	0.515	frustrante
unkind	anger	0.515	cruel
roar	anger	0.515	rugido
coercion	anger	0.515	coerción
unforgiving	anger	0.515	implacable
grump	anger	0.515	gruñón
bile	anger	0.515	bilis
unleash	anger	0.515	desatraillar
chaos	anger	0.515	caos
victimized	anger	0.515	victimizado
jerks	anger	0.515	idiotas
tussle	anger	0.514	pelea
bane	anger	0.511	perdición
accusation	anger	0.510	acusación
enmity	anger	0.510	enemistad
repudiation	anger	0.510	repudio
banish	anger	0.509	desterrar
disfigured	anger	0.508	desfigurado
storm	anger	0.507	tormenta
crazy	anger	0.500	loca
hammering	anger	0.500	martilleo
defy	anger	0.500	desafiar
antithesis	anger	0.500	antítesis
scoff	anger	0.500	burla
anguish	anger	0.500	angustia
confined	anger	0.500	confinado
fear	anger	0.500	miedo
bout	anger	0.500	combate
unruly	anger	0.500	revoltoso
delusional	anger	0.500	delirante
obstruct	anger	0.500	obstruir
possessed	anger	0.500	poseído
injustice	anger	0.500	injusticia
fervor	anger	0.500	fervor
spear	anger	0.500	lanza
derision	anger	0.500	burla
intractable	anger	0.500	intratable
reject	anger	0.500	rechazar
dominate	anger	0.500	dominar
ordeal	anger	0.500	prueba
banished	anger	0.500	alejado
rejects	anger	0.500	rechaza
shun	anger	0.500	rehuir
brunt	anger	0.500	esfuerzo
derogation	anger	0.500	humillación
frenzied	anger	0.500	frenético
animus	anger	0.500	ánimo
suppression	anger	0.500	supresión
malpractice	anger	0.500	negligencia profesional
brazen	anger	0.500	descarado
foaming	anger	0.500	espumoso
disrupting	anger	0.500	interrumpiendo
nobodycares	anger	0.500	a nadie le importa
patronising	anger	0.500	protector
getoveryourself	anger	0.495	Supérate a ti mismo
toughness	anger	0.492	tenacidad
stupidpeople	anger	0.492	gente estupida
madness	anger	0.491	Locura
sinful	anger	0.491	pecaminoso
avarice	anger	0.490	avaricia
oppress	anger	0.490	oprimir
cutting	anger	0.485	corte
anathema	anger	0.485	anatema
annoyed	anger	0.485	molesto
dissident	anger	0.485	disidente
demand	anger	0.485	pedir
usurp	anger	0.485	usurpar
claw	anger	0.485	garra
alienate	anger	0.485	enajenar
infraction	anger	0.485	infracción
avenger	anger	0.485	vengador
revoke	anger	0.485	revocar
smuggler	anger	0.485	contrabandista
abolish	anger	0.485	abolir
fricking	anger	0.485	maldito
stayaway	anger	0.485	Mantente alejado
pervert	anger	0.485	pervertido
disservice	anger	0.485	deservicio
disobedient	anger	0.485	desobediente
incest	anger	0.485	incesto
complaint	anger	0.485	queja
disapproved	anger	0.485	desaprobado
inhuman	anger	0.485	inhumano
mocking	anger	0.484	burlón
penalty	anger	0.484	multa
renounce	anger	0.484	renuncia
restrain	anger	0.484	contener
upheaval	anger	0.484	convulsión
deceit	anger	0.484	engaño
obnoxious	anger	0.484	desagradable
imprisoned	anger	0.484	encarcelado
strained	anger	0.484	tenso
blame	anger	0.484	culpa
oust	anger	0.484	expulsar
litigious	anger	0.484	litigioso
rivalry	anger	0.484	rivalidad
sucker	anger	0.484	ventosa
opposed	anger	0.484	opuesto
thresh	anger	0.484	trillar
disgrace	anger	0.484	desgracia
suspicious	anger	0.484	sospechoso
turbulence	anger	0.483	turbulencia
pound	anger	0.481	libra
coldness	anger	0.477	frialdad
ungrateful	anger	0.472	desagradecido
stoopid	anger	0.471	estúpido
battalion	anger	0.471	batallón
feudalism	anger	0.470	feudalismo
hostage	anger	0.470	rehén
annoying	anger	0.470	irritante
dispossessed	anger	0.470	desposeído
subversion	anger	0.470	subversión
friction	anger	0.470	fricción
jealous	anger	0.470	celoso
adversity	anger	0.470	adversidad
infidel	anger	0.470	infiel
gall	anger	0.470	hiel
accuser	anger	0.470	acusador
ram	anger	0.470	RAM
armament	anger	0.470	armamento
thump	anger	0.469	golpear
dislike	anger	0.469	disgusto
steal	anger	0.469	robar
backoff	anger	0.469	Apártate
stifled	anger	0.469	sofocado
incite	anger	0.469	incitar
distress	anger	0.469	angustia
angermanagement	anger	0.469	control de la ira
selfish	anger	0.469	egoísta
injury	anger	0.469	lesión
exile	anger	0.469	exilio
insanity	anger	0.469	locura
offense	anger	0.469	ofensa
objection	anger	0.469	objeción
smother	anger	0.469	ahogar
disruption	anger	0.469	ruptura
intolerance	anger	0.469	intolerancia
disobey	anger	0.469	desobedecer
selfishness	anger	0.469	egoísmo
recidivism	anger	0.469	reincidencia
subversive	anger	0.469	subversivo
huff	anger	0.469	Suspiro
plunder	anger	0.469	saquear
opposition	anger	0.469	oposición
complain	anger	0.469	quejarse
perpetrator	anger	0.469	autor
simmer	anger	0.469	hervir a fuego lento
areyoukidding	anger	0.468	Estás bromeando
mug	anger	0.467	tazón
agony	anger	0.465	agonía
arrogant	anger	0.461	arrogante
sux	anger	0.456	sux
vent	anger	0.456	respiradero
elimination	anger	0.456	eliminación
picketing	anger	0.456	piquetes
haughty	anger	0.456	arrogante
grated	anger	0.455	rallado
flagrant	anger	0.455	flagrante
busted	anger	0.455	Arrestado
crabby	anger	0.455	osco
dying	anger	0.455	muriendo
idiocy	anger	0.455	idiotez
impermeable	anger	0.455	impermeable
stubbed	anger	0.455	atropellado
illegality	anger	0.455	ilegalidad
veto	anger	0.455	veto
constraint	anger	0.455	restricción
mislead	anger	0.455	engañar
illicit	anger	0.455	ilícito
troublesome	anger	0.455	molesto
clamor	anger	0.455	clamor
bayonet	anger	0.453	bayoneta
suppress	anger	0.453	reprimir
intense	anger	0.453	intenso
