English Word	Emotion	Emotion-Intensity-Score	Frisian Word
strangle	anger	0.859	strangje
hostility	anger	0.859	fijannigens
assault	anger	0.859	oanfal
explode	anger	0.859	eksplodearje
tirade	anger	0.859	tirade
loathsome	anger	0.857	ôfgryslik
hell	anger	0.853	hel
murderous	anger	0.853	moardlik
attack	anger	0.853	oanfal
malice	anger	0.852	kwea
terrorism	anger	0.851	terrorisme
beating	anger	0.849	slaan
outrage	anger	0.848	skande
desecration	anger	0.848	ûntheiliging
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ferneatigjen
slaughter	anger	0.844	slachtsje
irate	anger	0.844	irate
violent	anger	0.844	gewelddiedich
stab	anger	0.844	stekke
abomination	anger	0.844	grouwel
tumultuous	anger	0.844	tumultuous
infuriate	anger	0.844	grimmitich
obliterate	anger	0.843	wiskje
belligerent	anger	0.841	stridich
dumbbitch	anger	0.841	stomme
detest	anger	0.838	hekel
hostilities	anger	0.837	fijannichheden
prick	anger	0.835	prik
rampage	anger	0.833	rampage
horrid	anger	0.833	horrid
cruelty	anger	0.833	wredens
torture	anger	0.833	marteling
rabid	anger	0.833	rabid
despicable	anger	0.828	ferachtlik
tyrannical	anger	0.828	tirannysk
demonic	anger	0.828	demonysk
satanic	anger	0.828	satanysk
hate	anger	0.828	haat
ragemode	anger	0.828	ragemode
hating	anger	0.828	haatsje
ruinous	anger	0.825	ferneatigjend
condemn	anger	0.825	feroardielje
riots	anger	0.824	rellen
demolish	anger	0.824	ôfbrekke
angry	anger	0.824	lilk
extermination	anger	0.824	ferneatiging
dickhead	anger	0.824	dikke kop
livid	anger	0.821	lilk
madman	anger	0.820	gek
vindictive	anger	0.819	wraaksuchtich
terrorist	anger	0.818	terrorist
threaten	anger	0.818	driigje
venomous	anger	0.818	giftich
hateyou	anger	0.818	haat dy
ferocity	anger	0.818	ferocity
effyou	anger	0.818	effy
abhor	anger	0.816	ôfgryslik
carnage	anger	0.814	bloedbad
savage	anger	0.814	wyld
atrocity	anger	0.814	gruwelijkheid
fucksake	anger	0.812	fucksak
abuse	anger	0.812	misbrûk
fierce	anger	0.812	fûl
destroyer	anger	0.812	fernieler
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbaarsk
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	lulk
tyrant	anger	0.812	tiran
berserk	anger	0.812	berserk
fuming	anger	0.812	fuming
anger	anger	0.811	lilkens
pieceofshit	anger	0.810	stik stront
punched	anger	0.803	punched
punching	anger	0.803	punching
slam	anger	0.803	slam
homicide	anger	0.803	moard
bitch	anger	0.803	teef
fights	anger	0.803	gefjochten
ruthless	anger	0.797	ûnferbidlik
villainous	anger	0.797	smjunt
destructive	anger	0.797	destruktyf
slap	anger	0.791	slach
riot	anger	0.788	oproer
growthefuckup	anger	0.788	groeifuckup
punishing	anger	0.788	straffen
slaughterhouse	anger	0.788	slachterij
yelling	anger	0.788	ropt
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	ferneatige
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ferjilding
manslaughter	anger	0.783	deaslach
clash	anger	0.783	botsing
quarrel	anger	0.781	skeel
bloody	anger	0.781	bloedich
hellish	anger	0.781	helsk
sinister	anger	0.781	sinister
loath	anger	0.781	loath
detonation	anger	0.781	detonaasje
accusing	anger	0.779	beskuldigjend
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	ferriederlik
madder	anger	0.773	madder
horrific	anger	0.773	ôfgryslik
revulsion	anger	0.773	ôfwizing
retaliate	anger	0.773	retaliate
scorn	anger	0.769	spot
bomb	anger	0.766	bom
deplorable	anger	0.766	jammerdearlik
devastation	anger	0.765	ferwoasting
anarchist	anger	0.765	anargist
firestorm	anger	0.765	fjoerstoarm
resent	anger	0.765	kwea-ôf nimme
contemptible	anger	0.764	ferachtlik
shittest	anger	0.760	sjitste
rant	anger	0.758	rant
cruel	anger	0.758	wreed
deadly	anger	0.758	deadlik
smash	anger	0.758	smyt
soangry	anger	0.758	sa lilk
outburst	anger	0.757	útbarsting
snarl	anger	0.754	snarl
profane	anger	0.750	profane
revolting	anger	0.750	opstannich
aggravating	anger	0.750	aggravating
horror	anger	0.750	ôfgriis
despise	anger	0.750	ferachtsje
offend	anger	0.750	misledigje
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgariteit
crazed	anger	0.750	gek
douchebags	anger	0.750	douchebags
growling	anger	0.750	grommend
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	gûlend
threat	anger	0.742	bedriging
erupt	anger	0.742	útbrekke
horrible	anger	0.742	ôfgryslik
molestation	anger	0.742	molestaasje
fuckedoff	anger	0.742	fokt
violence	anger	0.742	geweld
bastards	anger	0.741	bastards
revenge	anger	0.738	wraak
menacing	anger	0.735	driigjend
crushing	anger	0.735	ferpletterjend
damn	anger	0.735	ferdomme
catastrophe	anger	0.735	katastrofe
demon	anger	0.735	demon
argue	anger	0.734	argumearje
persecute	anger	0.734	ferfolgje
deplore	anger	0.734	betreurje
flog	anger	0.734	flog
fedup	anger	0.734	genôch
riotous	anger	0.734	oproerich
vehement	anger	0.734	heftich
revolt	anger	0.734	opstân
warfare	anger	0.734	oarlochsfiering
thrash	anger	0.734	thrash
altercation	anger	0.729	altercation
warlike	anger	0.728	warlike
shitday	anger	0.727	sjitdei
mutiny	anger	0.727	muiterij
castrate	anger	0.727	kastrearje
sabotage	anger	0.727	sabotaazje
malevolent	anger	0.721	kwea-aardich
strike	anger	0.721	slaan
disaster	anger	0.721	ramp
disastrous	anger	0.720	funest
bastarding	anger	0.719	bastarding
treachery	anger	0.719	ferried
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	horseshit
slay	anger	0.719	deadzje
disdain	anger	0.719	ferachting
aggravates	anger	0.719	fergruttet
brutal	anger	0.719	brutal
scorching	anger	0.719	skroeiend
devil	anger	0.719	duvel
madden	anger	0.719	madden
spiteful	anger	0.719	grimmitich
scream	anger	0.719	scream
choke	anger	0.719	stikje
vermin	anger	0.719	fermin
tumult	anger	0.719	tumult
criminal	anger	0.714	krimineel
mangle	anger	0.714	mangel
anarchism	anger	0.714	anargisme
mutilation	anger	0.714	ferminking
denunciation	anger	0.713	ûntkenning
punch	anger	0.713	punch
virulence	anger	0.712	virulinsje
fatal	anger	0.712	fataal
hurting	anger	0.712	sear
crucifixion	anger	0.712	krusiging
dontlikeyou	anger	0.712	hâld fan dy net
blasphemous	anger	0.712	godslasterlik
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	striid
deranged	anger	0.706	deranged
irritated	anger	0.706	yrritearre
atrocious	anger	0.706	ôfgryslik
evil	anger	0.706	kwea
aggravated	anger	0.703	fergriemd
intimidation	anger	0.703	yntimidaasje
dicks	anger	0.703	dicks
assassin	anger	0.703	moardner
scolding	anger	0.703	skelen
persecution	anger	0.703	ferfolging
slayer	anger	0.703	slachter
kidnap	anger	0.703	kidnap
aggression	anger	0.702	agresje
armed	anger	0.700	bewapene
battle	anger	0.697	fjildslach
poison	anger	0.697	fergif
snarling	anger	0.697	snarling
venom	anger	0.697	venom
disgruntled	anger	0.693	ûntefreden
resentment	anger	0.691	wrok
assailant	anger	0.691	oanfaller
insidious	anger	0.691	ferrifeljend
contemptuous	anger	0.690	ferachtlik
lynch	anger	0.690	lynch
temper	anger	0.688	temperament
terrible	anger	0.688	freeslik
disparage	anger	0.688	disparate
lunatic	anger	0.688	gek
bully	anger	0.688	pesten
mad	anger	0.688	gek
makesmemad	anger	0.688	makketmemad
infanticide	anger	0.688	bernemoard
domination	anger	0.688	oerhearsking
peeved	anger	0.688	peeved
imprisonment	anger	0.688	finzenisstraf
curse	anger	0.688	flok
volatility	anger	0.687	volatiliteit
eradication	anger	0.685	útroeiing
eradicate	anger	0.682	útroege
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	skurk
devastate	anger	0.682	ferneatigje
aggressively	anger	0.680	agressyf
agitation	anger	0.680	agitaasje
dictatorship	anger	0.676	diktatuer
irritates	anger	0.676	irritearret
profanity	anger	0.673	profanity
shove	anger	0.672	skowe
nasty	anger	0.672	ferfelend
shot	anger	0.672	skot
cruelly	anger	0.672	wreed
shoot	anger	0.672	shoot
condemnation	anger	0.672	feroardieling
crushed	anger	0.672	ferpletterd
aggravation	anger	0.672	aggravation
poisonous	anger	0.672	giftich
egregious	anger	0.672	ferskriklik
crime	anger	0.672	misdie
corrupting	anger	0.672	korrupsje
dastardly	anger	0.672	ferfelend
contempt	anger	0.672	ferachting
harmful	anger	0.672	skealik
expletive	anger	0.672	eksploityf
wreak	anger	0.672	wrak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	moord
enemy	anger	0.667	fijân
hit	anger	0.667	slaan
hateeveryone	anger	0.667	haat elkenien
eruption	anger	0.667	útbarsting
irritable	anger	0.667	irritable
odious	anger	0.667	odious
shooting	anger	0.667	sjitten
shout	anger	0.667	roppe
aggressive	anger	0.667	agressyf
kick	anger	0.667	skop
combat	anger	0.667	striid
fight	anger	0.667	fjochtsje
punished	anger	0.662	straft
yell	anger	0.661	roppe
ambush	anger	0.661	hinderlaag
harass	anger	0.659	lastigje
malignant	anger	0.656	maligne
aggressor	anger	0.656	agressor
gore	anger	0.656	gore
destruction	anger	0.656	ferneatiging
grudge	anger	0.656	wrok
antichrist	anger	0.656	antykrist
incense	anger	0.656	wijreek
expel	anger	0.656	ferdriuwe
cranky	anger	0.653	cranky
slave	anger	0.652	slaaf
reprisal	anger	0.652	represaille
growl	anger	0.652	grom
animosity	anger	0.652	fijânskip
insurrection	anger	0.652	opstân
clashing	anger	0.652	botsing
denounce	anger	0.652	denounce
offended	anger	0.652	misledige
spank	anger	0.652	spank
insulting	anger	0.652	beledigjend
growls	anger	0.649	gromt
executioner	anger	0.644	beul
twat	anger	0.644	twat
doomsday	anger	0.643	doomsday
obscenity	anger	0.641	obscenity
accused	anger	0.641	beskuldige
feud	anger	0.641	Fete
daemon	anger	0.641	daemon
havoc	anger	0.641	ferneatiging
shackle	anger	0.641	boei
inexcusable	anger	0.641	unexcusable
indignant	anger	0.641	fergriemd
grr	anger	0.641	grr
expulsion	anger	0.641	útsetting
bombard	anger	0.641	bombardearje
spat	anger	0.641	spatte
arson	anger	0.641	brânstichting
reprimand	anger	0.641	reprimand
somad	anger	0.637	sa lilk
frustrated	anger	0.636	frustreard
batter	anger	0.636	beslach
kicking	anger	0.636	skoppen
anarchy	anger	0.636	anargy
spanking	anger	0.636	spanking
glaring	anger	0.636	glânzjend
suicidal	anger	0.636	suicidal
disgusting	anger	0.636	walgelijk
wound	anger	0.636	wûne
hanging	anger	0.636	hingjen
poisoned	anger	0.636	fergiftige
combatant	anger	0.636	strider
wrecked	anger	0.633	wrak
inflict	anger	0.633	tabringe
grievous	anger	0.632	grievous
prosecute	anger	0.630	ferfolgje
agitated	anger	0.630	agitearre
cheat	anger	0.630	cheat
swastika	anger	0.627	swastika
injure	anger	0.625	ferwûnje
indict	anger	0.625	oanklacht
scourge	anger	0.625	gesel
provocation	anger	0.625	provokaasje
suffocation	anger	0.625	ferstikking
strife	anger	0.625	striid
raid	anger	0.625	oerfal
enslaved	anger	0.625	ferslave
cursing	anger	0.625	ferflokt
defamatory	anger	0.625	lasterlik
harassing	anger	0.625	harassing
thundering	anger	0.625	tongerjen
betray	anger	0.625	ferriede
arsehole	anger	0.624	arshole
theft	anger	0.621	stellerij
insane	anger	0.621	gek
retaliation	anger	0.621	ferjilding
irritate	anger	0.621	irritearje
deprivation	anger	0.621	deprivaasje
fiend	anger	0.621	fiend
jerk	anger	0.621	ryk
convict	anger	0.621	fonnisje
cussed	anger	0.619	skuord
turmoil	anger	0.618	Reboelje
smack	anger	0.615	smakke
retribution	anger	0.614	ferjilding
rebellion	anger	0.609	reboelje
oppressor	anger	0.609	ûnderdrukker
gang	anger	0.609	gang
slavery	anger	0.609	slavernij
intolerable	anger	0.609	ûnferdraachlik
adverse	anger	0.609	adverse
injurious	anger	0.609	skealik
twats	anger	0.609	twats
collision	anger	0.609	botsing
battery	anger	0.609	batterij
bitterly	anger	0.609	bitter
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	irritabiliteit
disgraced	anger	0.608	skande
diatribe	anger	0.606	diatribe
asshole	anger	0.606	lulk
blast	anger	0.606	blast
bombardment	anger	0.606	bombardemint
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	revolúsje
thug	anger	0.606	boef
antagonistic	anger	0.606	antagonistysk
irritating	anger	0.606	irriterend
sickening	anger	0.606	sikenjend
discrimination	anger	0.606	diskriminaasje
frustrate	anger	0.604	frustrearje
insult	anger	0.603	belediging
hurtful	anger	0.603	kwetsend
oppression	anger	0.603	ûnderdrukking
manipulation	anger	0.603	manipulaasje
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	spanning
disgust	anger	0.602	wearze
spite	anger	0.600	nettsjinsteande
intrusive	anger	0.598	opdringerig
harshness	anger	0.597	hurdens
slur	anger	0.596	slur
tempest	anger	0.594	stoarm
assail	anger	0.594	oanfalle
bitterness	anger	0.594	ferbittering
morbidity	anger	0.594	morbiditeit
casualty	anger	0.594	slachtoffer
puncture	anger	0.594	puncture
miserable	anger	0.594	jammerdearlik
inferno	anger	0.594	inferno
invasion	anger	0.594	ynvaazje
storming	anger	0.594	stoarmjen
wretch	anger	0.594	jammerdearlik
consternation	anger	0.592	ferbjustering
raving	anger	0.591	raving
forcibly	anger	0.591	mei geweld
guillotine	anger	0.591	guillotine
guilty	anger	0.591	skuldich
depraved	anger	0.591	ferdreaun
immoral	anger	0.591	ymmoreel
overpowering	anger	0.591	oermânsk
scare	anger	0.588	eangst
recalcitrant	anger	0.588	tsjinstridich
screwed	anger	0.588	geschroefd
accursed	anger	0.588	ferflokt
soannoyed	anger	0.588	soanoyed
invader	anger	0.588	ynfaller
jealousy	anger	0.587	jaloerskens
indignation	anger	0.587	fergriemerij
vexed	anger	0.586	ferfelend
confront	anger	0.582	konfrontearje
brute	anger	0.581	brute
throttle	anger	0.579	throttle
slut	anger	0.578	slute
coup	anger	0.578	steatsgreep
blaze	anger	0.578	blaze
pillage	anger	0.578	plonderje
provoking	anger	0.578	provosearjend
damage	anger	0.578	skea
criminality	anger	0.578	kriminaliteit
shutup	anger	0.578	hald dy de mûle
lash	anger	0.578	lash
conflict	anger	0.578	konflikt
contentious	anger	0.578	kontroversjeel
shutit	anger	0.578	shutit
wreck	anger	0.578	wrak
defiant	anger	0.578	útdaagjend
butcher	anger	0.578	slachter
incarceration	anger	0.578	finzenisstraf
revolver	anger	0.578	revolver
bickering	anger	0.578	kibbeljen
yousuck	anger	0.578	do kinst der neat fan
cancer	anger	0.577	kanker
discriminate	anger	0.576	diskriminearje
gun	anger	0.576	gewear
frustration	anger	0.576	frustraasje
gory	anger	0.576	gory
pernicious	anger	0.576	pernicious
dontmess	anger	0.576	dontmes
blasphemy	anger	0.576	godslastering
chaotic	anger	0.576	gaoatysk
grope	anger	0.576	groppe
alienation	anger	0.576	ferfrjemding
disturbance	anger	0.576	steuring
condescension	anger	0.576	konsenscension
standoff	anger	0.576	standoff
discord	anger	0.576	ûnfrede
friggen	anger	0.575	friggen
sneer	anger	0.574	sneer
death	anger	0.574	dea
lunacy	anger	0.574	gekheid
scandalous	anger	0.574	skandalich
oppressive	anger	0.574	ûnderdrukkend
jab	anger	0.574	jab
cursed	anger	0.574	ferflokt
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	shit
disparaging	anger	0.571	disparaging
slash	anger	0.571	slash
unfair	anger	0.571	ûnearlik
gallows	anger	0.570	galge
escalate	anger	0.569	eskalearje
intolerant	anger	0.564	ûnferdraachsum
lawlessness	anger	0.563	wetteloosheid
beast	anger	0.562	bist
torpedo	anger	0.562	torpedo
malign	anger	0.562	maligne
traitor	anger	0.562	ferrieder
frightful	anger	0.562	freeslik
wrangling	anger	0.562	wrakselje
slander	anger	0.562	rabberij
bellows	anger	0.562	balgen
retards	anger	0.562	retards
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	derogatory
bearish	anger	0.562	bearish
invade	anger	0.562	ynfalle
perdition	anger	0.562	ferneatiging
arghh	anger	0.562	arghh
dreadful	anger	0.562	ferskriklik
bluddy	anger	0.562	bluddy
deceived	anger	0.562	ferrifelje
glare	anger	0.562	glare
taunt	anger	0.562	taunt
dissension	anger	0.561	ûnskieding
cross	anger	0.561	krús
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	ferneatigjend
fits	anger	0.561	past
jeopardize	anger	0.561	yn gefaar bringe
shatter	anger	0.561	brekke
idiots	anger	0.561	idioaten
hurt	anger	0.561	sear
thief	anger	0.561	dief
uncontrollable	anger	0.561	net te kontrolearjen
conflagration	anger	0.561	brân
betrayal	anger	0.561	ferried
banshee	anger	0.561	banshee
subjugation	anger	0.559	ûnderwerping
disturbed	anger	0.559	fersteurd
stomped	anger	0.557	stompe
grab	anger	0.557	gryp
grievance	anger	0.556	grief
ticked	anger	0.556	tikke
masochism	anger	0.556	masochisme
defiance	anger	0.552	útdaging
blackmail	anger	0.550	sjantaazje
offensive	anger	0.549	offensyf
decry	anger	0.548	decry
frustrates	anger	0.547	frustreart
violation	anger	0.547	oertrêding
confine	anger	0.547	beheine
misery	anger	0.547	lijen
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparity
punishment	anger	0.547	straf
rebel	anger	0.547	rebel
preposterous	anger	0.547	absurd
disgraceful	anger	0.547	skande
ire	anger	0.547	ire
deceive	anger	0.547	ferrifelje
fustrated	anger	0.547	fustrearre
sin	anger	0.547	sûnde
shrill	anger	0.547	skril
darkside	anger	0.547	donkere kant
overbearing	anger	0.547	oermoedich
firearms	anger	0.547	fjoerwapens
stolen	anger	0.546	stellen
hadenough	anger	0.546	hie genôch
prejudice	anger	0.545	foaroardiel
tackle	anger	0.545	oanpakke
resentful	anger	0.545	wrokkerich
heated	anger	0.545	ferwaarme
callous	anger	0.545	gefoelich
conspirator	anger	0.545	gearspanner
ruined	anger	0.545	ferwoaste
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	skermutseling
menace	anger	0.545	menace
annoyin	anger	0.545	argewaasje
foul	anger	0.545	foul
argument	anger	0.545	argumint
humiliate	anger	0.545	fernederje
wanker	anger	0.545	wanker
adversary	anger	0.545	tsjinstanner
sting	anger	0.544	stekke
entangled	anger	0.544	entangled
grumble	anger	0.544	grommelje
robbery	anger	0.544	oerfal
outcry	anger	0.544	útroppen
resistance	anger	0.543	ferset
irreconcilable	anger	0.543	ûnfersoenlik
obstructive	anger	0.542	obstruktyf
dismay	anger	0.540	ferachting
mob	anger	0.538	mob
juststop	anger	0.537	stopje gewoan
badness	anger	0.536	badness
ridicule	anger	0.534	bespotlik
incendiary	anger	0.533	brânstof
flares	anger	0.532	fakkels
twofaced	anger	0.531	twafâldich
reckless	anger	0.531	roekeloos
communism	anger	0.531	kommunisme
allegation	anger	0.531	beskuldiging
prejudicial	anger	0.531	foaroardielend
whip	anger	0.531	swipe
unbridled	anger	0.531	ûnbeheind
degeneracy	anger	0.531	degeneraasje
intruder	anger	0.531	ynbrekker
belittle	anger	0.531	belitte
confinement	anger	0.531	opsluting
dispute	anger	0.531	skeel
exacerbation	anger	0.531	exacerbaasje
uprising	anger	0.531	opstân
unjust	anger	0.530	ûnrjochtfeardich
unjustifiable	anger	0.530	unjustifiable
perversion	anger	0.530	perversion
bigoted	anger	0.530	bigoted
fiesty	anger	0.530	fiesty
offender	anger	0.530	oertreder
dictatorial	anger	0.530	diktatoriaal
hassle	anger	0.530	gedoe
dissonance	anger	0.530	dissonânsje
tackled	anger	0.530	oanpakt
renegade	anger	0.529	oerfal
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	oertreding
hot	anger	0.529	hyt
prison	anger	0.529	gefangenis
suicide	anger	0.521	selsmoard
annoy	anger	0.520	argewaasje
leavemealone	anger	0.517	lit my allinnich
cretins	anger	0.516	cretins
depravity	anger	0.516	ferfal
idiotic	anger	0.516	idioat
dishonest	anger	0.516	ûnearlik
distrust	anger	0.516	wantrouwen
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	kritisearje
inimical	anger	0.516	fijânske
tortious	anger	0.516	tortious
prisoner	anger	0.516	finzene
treason	anger	0.516	Ferrie
divorce	anger	0.516	skieding
venting	anger	0.516	venting
duress	anger	0.516	twang
disrespectful	anger	0.516	respektleas
poaching	anger	0.515	stropery
scold	anger	0.515	skele
poachers	anger	0.515	stropers
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	argumintaasje
frustrating	anger	0.515	frustrerend
unkind	anger	0.515	ûnfreonlik
roar	anger	0.515	roar
coercion	anger	0.515	twang
unforgiving	anger	0.515	ûnferjitlik
grump	anger	0.515	grump
bile	anger	0.515	bile
unleash	anger	0.515	loslitte
chaos	anger	0.515	gaos
victimized	anger	0.515	slachtoffer
jerks	anger	0.515	ryk
tussle	anger	0.514	tútsje
bane	anger	0.511	bane
accusation	anger	0.510	beskuldiging
enmity	anger	0.510	fijânskip
repudiation	anger	0.510	repudiation
banish	anger	0.509	ferballe
disfigured	anger	0.508	misfoarme
storm	anger	0.507	stoarm
crazy	anger	0.500	gek
hammering	anger	0.500	hammering
defy	anger	0.500	defy
antithesis	anger	0.500	tsjinstelling
scoff	anger	0.500	scoff
anguish	anger	0.500	eangst
confined	anger	0.500	beheind
fear	anger	0.500	bangens
bout	anger	0.500	bout
unruly	anger	0.500	ûnrêstich
delusional	anger	0.500	delusional
obstruct	anger	0.500	hinderje
possessed	anger	0.500	beset
injustice	anger	0.500	ûnrjocht
fervor	anger	0.500	fervor
spear	anger	0.500	spear
derision	anger	0.500	spot
intractable	anger	0.500	ûnbidich
reject	anger	0.500	ôfwize
dominate	anger	0.500	dominearje
ordeal	anger	0.500	beproeving
banished	anger	0.500	ferballe
rejects	anger	0.500	rejects
shun	anger	0.500	mije
brunt	anger	0.500	brunt
derogation	anger	0.500	derogaasje
frenzied	anger	0.500	frenzyed
animus	anger	0.500	animus
suppression	anger	0.500	ûnderdrukking
malpractice	anger	0.500	malpractice
brazen	anger	0.500	brazen
foaming	anger	0.500	skomjende
disrupting	anger	0.500	fersteurend
nobodycares	anger	0.500	nimmen makket it út
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	Stel dy net sa oan
toughness	anger	0.492	hurdens
stupidpeople	anger	0.492	stomme minsken
madness	anger	0.491	waansin
sinful	anger	0.491	sûndich
avarice	anger	0.490	gierichheid
oppress	anger	0.490	ûnderdrukke
cutting	anger	0.485	cutting
anathema	anger	0.485	anathema
annoyed	anger	0.485	argewaasje
dissident	anger	0.485	dissidint
demand	anger	0.485	eask
usurp	anger	0.485	usurp
claw	anger	0.485	klau
alienate	anger	0.485	ferfrjemdzje
infraction	anger	0.485	oertreding
avenger	anger	0.485	wreker
revoke	anger	0.485	weromlûke
smuggler	anger	0.485	smokkelaar
abolish	anger	0.485	ôfskaffe
fricking	anger	0.485	fricking
stayaway	anger	0.485	bliuw fuort
pervert	anger	0.485	pervert
disservice	anger	0.485	disservice
disobedient	anger	0.485	ongehoorzaam
incest	anger	0.485	ynsest
complaint	anger	0.485	klacht
disapproved	anger	0.485	ôfkard
inhuman	anger	0.485	ûnminsklik
mocking	anger	0.484	spottend
penalty	anger	0.484	straf
renounce	anger	0.484	opjaan
restrain	anger	0.484	ynbine
upheaval	anger	0.484	upheaval
deceit	anger	0.484	bedrog
obnoxious	anger	0.484	onaangenaam
imprisoned	anger	0.484	finzen set
strained	anger	0.484	spand
blame	anger	0.484	skuld
oust	anger	0.484	útsette
litigious	anger	0.484	litigious
rivalry	anger	0.484	rivaliteit
sucker	anger	0.484	sûch
opposed	anger	0.484	ferset
thresh	anger	0.484	dorsken
disgrace	anger	0.484	skande
suspicious	anger	0.484	fertocht
turbulence	anger	0.483	turbulinsje
pound	anger	0.481	pûn
coldness	anger	0.477	kjeld
ungrateful	anger	0.472	ûntankber
stoopid	anger	0.471	stoopid
battalion	anger	0.471	bataljon
feudalism	anger	0.470	feodalisme
hostage	anger	0.470	gizelder
annoying	anger	0.470	ferfelend
dispossessed	anger	0.470	ûntslein
subversion	anger	0.470	subversion
friction	anger	0.470	wriuwing
jealous	anger	0.470	jaloersk
adversity	anger	0.470	tsjinslach
infidel	anger	0.470	ûnleauwe
gall	anger	0.470	gall
accuser	anger	0.470	oanklager
ram	anger	0.470	raam
armament	anger	0.470	bewapening
thump	anger	0.469	thump
dislike	anger	0.469	net leuk
steal	anger	0.469	stelle
backoff	anger	0.469	backoff
stifled	anger	0.469	fersmoarge
incite	anger	0.469	stimulearje
distress	anger	0.469	need
angermanagement	anger	0.469	omgean mei lulkens
selfish	anger	0.469	egoïstysk
injury	anger	0.469	ferwûning
exile	anger	0.469	ballingskip
insanity	anger	0.469	waansin
offense	anger	0.469	oanstjit
objection	anger	0.469	beswier
smother	anger	0.469	smoare
disruption	anger	0.469	fersteuring
intolerance	anger	0.469	yntolerânsje
disobey	anger	0.469	ûnfoldwaan
selfishness	anger	0.469	egoïsme
recidivism	anger	0.469	recidivisme
subversive	anger	0.469	subversive
huff	anger	0.469	huf
plunder	anger	0.469	plonderje
opposition	anger	0.469	opposysje
complain	anger	0.469	kleie
perpetrator	anger	0.469	dieder
simmer	anger	0.469	simmer
areyoukidding	anger	0.468	binne jo oan it rieden
mug	anger	0.467	mok
agony	anger	0.465	agony
arrogant	anger	0.461	eigenwiis
sux	anger	0.456	sux
