English Word	Emotion	Emotion-Intensity-Score	Turkmen Word
despise	anger	0.750	ýigrenmek
offend	anger	0.750	göwnüne degmek
stfu	anger	0.750	stfu
vulgarity	anger	0.750	gödeklik
crazed	anger	0.750	däli
douchebags	anger	0.750	torbalar
growling	anger	0.750	möňňürmek
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	diýip gygyrýar
threat	anger	0.742	howp
erupt	anger	0.742	atmak
horrible	anger	0.742	elhenç
molestation	anger	0.742	zorlamak
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	zorluk
bastards	anger	0.741	jellatlar
revenge	anger	0.738	ar almak
menacing	anger	0.735	howp abanýar
crushing	anger	0.735	ezmek
damn	anger	0.735	nälet bolsun
catastrophe	anger	0.735	betbagtçylyk
demon	anger	0.735	jyn
argue	anger	0.734	jedel etmek
persecute	anger	0.734	yzarlamak
deplore	anger	0.734	gynanç
flog	anger	0.734	gamçy
fedup	anger	0.734	iýmitlenmek
riotous	anger	0.734	bidüzgünçilik
vehement	anger	0.734	aljyraňňylyk
revolt	anger	0.734	gozgalaň
warfare	anger	0.734	söweş
thrash	anger	0.734	zyňmak
altercation	anger	0.729	dawa
warlike	anger	0.728	söweşjeň
shitday	anger	0.727	Bu gün
mutiny	anger	0.727	gozgalaň
castrate	anger	0.727	kastrat
sabotage	anger	0.727	sabotaj
malevolent	anger	0.721	erbet niýet
strike	anger	0.721	iş taşlaýyş
disaster	anger	0.721	betbagtçylyk
disastrous	anger	0.720	betbagtçylykly
bastarding	anger	0.719	gödeklik
treachery	anger	0.719	dönüklik
arseholes	anger	0.719	arheholes
horseshit	anger	0.719	at
slay	anger	0.719	öldürmek
disdain	anger	0.719	äsgermezlik
aggravates	anger	0.719	agyrlaşdyrýar
brutal	anger	0.719	wagşy
scorching	anger	0.719	ýanmak
devil	anger	0.719	iblis
madden	anger	0.719	däli
spiteful	anger	0.719	garaz
scream	anger	0.719	gygyr
choke	anger	0.719	bogmak
vermin	anger	0.719	gurçuk
tumult	anger	0.719	tolgunyşyk
criminal	anger	0.714	jenaýatçy
mangle	anger	0.714	gümürtik
anarchism	anger	0.714	anarhizm
mutilation	anger	0.714	şikeslendirmek
denunciation	anger	0.713	ýazgarmak
punch	anger	0.713	urmak
virulence	anger	0.712	wirus
fatal	anger	0.712	ölüm howply
hurting	anger	0.712	agyrýar
crucifixion	anger	0.712	haça çüýlenmek
dontlikeyou	anger	0.712	dontlikeyou
blasphemous	anger	0.712	Hudaýa dil ýetirmek
holocaust	anger	0.712	holokost
dumbasses	anger	0.712	lal
battled	anger	0.712	söweşdi
deranged	anger	0.706	kemsidildi
irritated	anger	0.706	gaharlandy
atrocious	anger	0.706	wagşy
evil	anger	0.706	erbet
aggravated	anger	0.703	agyrlaşdy
intimidation	anger	0.703	gorkuzmak
dicks	anger	0.703	dik
assassin	anger	0.703	ganhor
scolding	anger	0.703	käýinmek
persecution	anger	0.703	yzarlamalar
slayer	anger	0.703	ganhor
kidnap	anger	0.703	adam alyp gaçmak
aggression	anger	0.702	agressiýa
armed	anger	0.700	ýaragly
battle	anger	0.697	söweş
poison	anger	0.697	zäher
snarling	anger	0.697	gykylyk
venom	anger	0.697	zäher
disgruntled	anger	0.693	nägile
resentment	anger	0.691	gahar
assailant	anger	0.691	hüjümçi
insidious	anger	0.691	mekir
contemptuous	anger	0.690	ýigrenji
lynch	anger	0.690	linç
temper	anger	0.688	gaharjaň
terrible	anger	0.688	aýylganç
disparage	anger	0.688	tapawutlandyrmak
lunatic	anger	0.688	lunatik
bully	anger	0.688	gödek
mad	anger	0.688	däli
makesmemad	anger	0.688	ýasama
infanticide	anger	0.688	çaga öldürmek
domination	anger	0.688	agalyk etmek
peeved	anger	0.688	peeved
imprisonment	anger	0.688	azatlykdan mahrum etmek
curse	anger	0.688	nälet bolsun
volatility	anger	0.687	üýtgewsizligi
eradication	anger	0.685	ýok etmek
eradicate	anger	0.682	ýok et
tantrum	anger	0.682	gahar-gazap
scoundrel	anger	0.682	kezzap
devastate	anger	0.682	weýran etmek
aggressively	anger	0.680	agressiw
agitation	anger	0.680	agitasiýa
dictatorship	anger	0.676	diktatura
irritates	anger	0.676	gaharlandyrýar
profanity	anger	0.673	sögünç
shove	anger	0.672	silkmek
nasty	anger	0.672	nejis
shot	anger	0.672	atyldy
cruelly	anger	0.672	rehimsizlik bilen
shoot	anger	0.672	at
condemnation	anger	0.672	ýazgarmak
crushed	anger	0.672	ezilen
aggravation	anger	0.672	agyrlaşdyrmak
poisonous	anger	0.672	zäherli
egregious	anger	0.672	gödek
crime	anger	0.672	jenaýat
corrupting	anger	0.672	korrupsiýa
dastardly	anger	0.672	dastardly
contempt	anger	0.672	äsgermezlik
harmful	anger	0.672	zyýanly
expletive	anger	0.672	düşündiriji
wreak	anger	0.672	wreak
maniac	anger	0.670	manyak
cutthroat	anger	0.667	kesik
enemy	anger	0.667	duşman
hit	anger	0.667	ur
hateeveryone	anger	0.667	hateeveryone
eruption	anger	0.667	atylmagy
irritable	anger	0.667	gaharjaň
odious	anger	0.667	erbet
shooting	anger	0.667	atyş
shout	anger	0.667	gygyr
aggressive	anger	0.667	agressiw
kick	anger	0.667	urmak
combat	anger	0.667	söweş
fight	anger	0.667	söweş
punished	anger	0.662	jezalandyryldy
yell	anger	0.661	gygyr
ambush	anger	0.661	gabaw
harass	anger	0.659	azar bermek
malignant	anger	0.656	erbet
aggressor	anger	0.656	agressor
gore	anger	0.656	Gor
destruction	anger	0.656	weýran etmek
grudge	anger	0.656	gahar
antichrist	anger	0.656	antihrist
incense	anger	0.656	ýakymly ysly tütetgi
expel	anger	0.656	kowmak
cranky	anger	0.653	keýpsiz
slave	anger	0.652	gul
reprisal	anger	0.652	jeza
growl	anger	0.652	gygyr
animosity	anger	0.652	duşmançylyk
insurrection	anger	0.652	gozgalaň
clashing	anger	0.652	çaknyşyk
denounce	anger	0.652	ýazgarmak
offended	anger	0.652	göwnüne degdi
spank	anger	0.652	pyçak
insulting	anger	0.652	kemsidiji
growls	anger	0.649	gygyrýar
executioner	anger	0.644	ýerine ýetiriji
twat	anger	0.644	twat
doomsday	anger	0.643	Kyýamat güni
obscenity	anger	0.641	biabraýlyk
accused	anger	0.641	günäkärlenýär
feud	anger	0.641	dawa
daemon	anger	0.641	daemon
havoc	anger	0.641	weýrançylyk
shackle	anger	0.641	zynjyr
inexcusable	anger	0.641	aklap bolmaýar
indignant	anger	0.641	gaharlandy
grr	anger	0.641	grr
expulsion	anger	0.641	kowmak
bombard	anger	0.641	bombalady
spat	anger	0.641	tüýkürmek
arson	anger	0.641	ot ýakmak
reprimand	anger	0.641	käýinç
somad	anger	0.637	somad
frustrated	anger	0.636	lapykeç
batter	anger	0.636	batyr
kicking	anger	0.636	tüpeňlemek
anarchy	anger	0.636	anarhiýa
spanking	anger	0.636	pyçak
glaring	anger	0.636	ýalpyldawuk
suicidal	anger	0.636	öz janyna kast etmek
disgusting	anger	0.636	ýigrenji
wound	anger	0.636	ýara
hanging	anger	0.636	asylýar
poisoned	anger	0.636	zäherlenendir
combatant	anger	0.636	söweşiji
wrecked	anger	0.633	weýran boldy
inflict	anger	0.633	urmak
grievous	anger	0.632	gynandyryjy
prosecute	anger	0.630	kazyýet işi
agitated	anger	0.630	gaharlandy
cheat	anger	0.630	aldamak
swastika	anger	0.627	swastika
injure	anger	0.625	şikes ýetmek
indict	anger	0.625	günäkärlemek
scourge	anger	0.625	jeza
provocation	anger	0.625	prowokasiýa
suffocation	anger	0.625	demikmek
strife	anger	0.625	dawa
raid	anger	0.625	reýd
enslaved	anger	0.625	gul edildi
cursing	anger	0.625	näletlemek
defamatory	anger	0.625	töhmet
harassing	anger	0.625	azar bermek
thundering	anger	0.625	ýyldyrym
betray	anger	0.625	dönüklik
arsehole	anger	0.624	arsehole
theft	anger	0.621	ogurlyk
insane	anger	0.621	däli
retaliation	anger	0.621	ar alyş
irritate	anger	0.621	gaharlandyrmak
deprivation	anger	0.621	mahrum etmek
fiend	anger	0.621	gazaply
jerk	anger	0.621	degişme
convict	anger	0.621	iş kesilen
cussed	anger	0.619	gysyldy
turmoil	anger	0.618	başagaýlyk
smack	anger	0.615	smack
retribution	anger	0.614	jeza
rebellion	anger	0.609	gozgalaň
oppressor	anger	0.609	sütemçi
gang	anger	0.609	topar
slavery	anger	0.609	gulçulyk
intolerable	anger	0.609	çydamsyz
adverse	anger	0.609	ýaramaz
injurious	anger	0.609	zyýanly
twats	anger	0.609	twats
collision	anger	0.609	çaknyşdy
battery	anger	0.609	batareýa
bitterly	anger	0.609	ajy
antagonism	anger	0.609	garşydaşlyk
irritability	anger	0.609	gaharjaňlyk
disgraced	anger	0.608	masgara
diatribe	anger	0.606	diatribe
asshole	anger	0.606	gümürtik
blast	anger	0.606	partlama
bombardment	anger	0.606	bombalamak
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	ynkylap
thug	anger	0.606	garakçy
antagonistic	anger	0.606	garşydaş
irritating	anger	0.606	gaharlandyryjy
sickening	anger	0.606	kesel
discrimination	anger	0.606	diskriminasiýa
frustrate	anger	0.604	lapykeç etmek
insult	anger	0.603	kemsitmek
hurtful	anger	0.603	zyýanly
oppression	anger	0.603	sütem
manipulation	anger	0.603	manipulýasiýa
tiredofit	anger	0.603	ýadaw
bigot	anger	0.603	bigot
tension	anger	0.603	dartgynlylyk
disgust	anger	0.602	ýigrenç
spite	anger	0.600	garamazdan
intrusive	anger	0.598	çozuş
harshness	anger	0.597	gödeklik
slur	anger	0.596	tüýdük
tempest	anger	0.594	tupan
assail	anger	0.594	hüjüm
bitterness	anger	0.594	ajy
morbidity	anger	0.594	kesel
casualty	anger	0.594	ýitgi
puncture	anger	0.594	deşik
miserable	anger	0.594	betbagt
inferno	anger	0.594	inferno
invasion	anger	0.594	çozuş
storming	anger	0.594	tupan
wretch	anger	0.594	betbagt
consternation	anger	0.592	aljyraňňylyk
raving	anger	0.591	gyrkmak
forcibly	anger	0.591	zor bilen
guillotine	anger	0.591	gillotin
guilty	anger	0.591	günäkär
depraved	anger	0.591	hapa
immoral	anger	0.591	ahlaksyz
overpowering	anger	0.591	aşa güýç
scare	anger	0.588	gorkuz
recalcitrant	anger	0.588	gaýtadan işlemek
screwed	anger	0.588	nurbat
accursed	anger	0.588	nälet bolsun
soannoyed	anger	0.588	aljyraňňy
invader	anger	0.588	basybalyjy
jealousy	anger	0.587	gabanjaňlyk
indignation	anger	0.587	gahar
vexed	anger	0.586	aljyraňňy
confront	anger	0.582	garşy durmak
brute	anger	0.581	zalym
throttle	anger	0.579	siňdiriş
slut	anger	0.578	ýalta
coup	anger	0.578	agdarlyşyk
blaze	anger	0.578	ýangyn
pillage	anger	0.578	talaňçylyk
provoking	anger	0.578	öjükdiriji
damage	anger	0.578	zyýan
criminality	anger	0.578	jenaýat
shutup	anger	0.578	gepleme
lash	anger	0.578	kirpik
conflict	anger	0.578	dawa
contentious	anger	0.578	jedelli
shutit	anger	0.578	ýapyk
wreck	anger	0.578	heläkçilik
defiant	anger	0.578	äsgermezlik
butcher	anger	0.578	gassap
incarceration	anger	0.578	türme
revolver	anger	0.578	revolwer
bickering	anger	0.578	jedelleşmek
yousuck	anger	0.578	yousuck
cancer	anger	0.577	rak
discriminate	anger	0.576	kemsitmek
gun	anger	0.576	ýarag
frustration	anger	0.576	lapykeçlik
gory	anger	0.576	gory
pernicious	anger	0.576	zyýanly
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	Hudaýa dil ýetirmek
chaotic	anger	0.576	bulam-bujarlyk
grope	anger	0.576	ýüp
alienation	anger	0.576	keseki bolmak
disturbance	anger	0.576	bidüzgünçilik
condescension	anger	0.576	kondensasiýa
standoff	anger	0.576	gapma-garşylyk
discord	anger	0.576	düşünişmezlik
friggen	anger	0.575	friggen
sneer	anger	0.574	masgaralamak
death	anger	0.574	ölüm
lunacy	anger	0.574	lunacy
scandalous	anger	0.574	skandal
oppressive	anger	0.574	eziji
jab	anger	0.574	jab
cursed	anger	0.574	nälet bolsun
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	bok
disparaging	anger	0.571	kemsidiji
slash	anger	0.571	çyzgy
unfair	anger	0.571	adalatsyz
gallows	anger	0.570	galstuk
escalate	anger	0.569	ýokarlandyrmak
intolerant	anger	0.564	çydamsyzlyk
lawlessness	anger	0.563	bikanunçylyk
beast	anger	0.562	haýwan
torpedo	anger	0.562	torpedo
malign	anger	0.562	erbet
traitor	anger	0.562	dönük
frightful	anger	0.562	gorkunç
wrangling	anger	0.562	dawa
slander	anger	0.562	töhmet
bellows	anger	0.562	jaňlar
retards	anger	0.562	yza çekýär
grouchy	anger	0.562	aljyraňňy
derogatory	anger	0.562	kemsidiji
bearish	anger	0.562	aýy
invade	anger	0.562	çozmak
perdition	anger	0.562	heläkçilik
arghh	anger	0.562	argh
dreadful	anger	0.562	gorkunç
bluddy	anger	0.562	bulaşyk
deceived	anger	0.562	aldanýar
glare	anger	0.562	ýalpyldawuk
taunt	anger	0.562	kemsitmek
dissension	anger	0.561	düşünişmezlik
cross	anger	0.561	haç
rave	anger	0.561	tolkun
grating	anger	0.561	örtük
devastating	anger	0.561	weýran ediji
fits	anger	0.561	laýyk gelýär
jeopardize	anger	0.561	howp sal
shatter	anger	0.561	döwmek
idiots	anger	0.561	samsyklar
hurt	anger	0.561	ýaralanmak
thief	anger	0.561	ogry
uncontrollable	anger	0.561	gözegçiliksiz
conflagration	anger	0.561	ýangyn
betrayal	anger	0.561	dönüklik
banshee	anger	0.561	Banshee
subjugation	anger	0.559	boýun egmek
disturbed	anger	0.559	biynjalyk
stomped	anger	0.557	basdy
grab	anger	0.557	tutmak
grievance	anger	0.556	nägilelik
ticked	anger	0.556	bellik edildi
masochism	anger	0.556	masohizm
defiance	anger	0.552	boýun egmezlik
blackmail	anger	0.550	şantaj
offensive	anger	0.549	kemsidiji
decry	anger	0.548	ret et
frustrates	anger	0.547	lapykeç edýär
violation	anger	0.547	bozulmagy
confine	anger	0.547	çäklendirmek
misery	anger	0.547	betbagtlyk
arghhhh	anger	0.547	arghhh
disparity	anger	0.547	deňsizlik
punishment	anger	0.547	jeza
rebel	anger	0.547	gozgalaňçy
preposterous	anger	0.547	Öwreniji
disgraceful	anger	0.547	masgara
ire	anger	0.547	gahar
deceive	anger	0.547	aldamak
fustrated	anger	0.547	gaharly
sin	anger	0.547	günä
shrill	anger	0.547	shrill
darkside	anger	0.547	garaňky
overbearing	anger	0.547	artykmaç
firearms	anger	0.547	ot açýan ýaraglar
stolen	anger	0.546	ogurlandy
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	öňdengörüjilik
tackle	anger	0.545	çözmek
resentful	anger	0.545	gaharly
heated	anger	0.545	gyzdyrylýar
callous	anger	0.545	gülkünç
conspirator	anger	0.545	dildüwşük
ruined	anger	0.545	weýran boldy
antagonist	anger	0.545	garşydaş
skirmish	anger	0.545	dawa
menace	anger	0.545	howp abanýar
annoyin	anger	0.545	bizar
foul	anger	0.545	erbet
argument	anger	0.545	argument
humiliate	anger	0.545	masgara et
wanker	anger	0.545	wanker
adversary	anger	0.545	garşydaş
sting	anger	0.544	aljyramak
entangled	anger	0.544	gümürtik
grumble	anger	0.544	närazy
robbery	anger	0.544	talaňçylyk
outcry	anger	0.544	gykylyk
resistance	anger	0.543	garşylyk
irreconcilable	anger	0.543	ylalaşyp bolmaýar
obstructive	anger	0.542	obstruktiw
dismay	anger	0.540	aljyraňňy
mob	anger	0.538	märekäniň
juststop	anger	0.537	juststop
badness	anger	0.536	erbetlik
ridicule	anger	0.534	gülmek
incendiary	anger	0.533	gazaply
flares	anger	0.532	alawlar
twofaced	anger	0.531	iki
reckless	anger	0.531	biperwaý
communism	anger	0.531	kommunizm
allegation	anger	0.531	aýyplama
prejudicial	anger	0.531	kazyýet
whip	anger	0.531	gamçy
unbridled	anger	0.531	gözegçiliksiz
degeneracy	anger	0.531	ýaramazlyk
intruder	anger	0.531	çozýan
belittle	anger	0.531	kemsitmek
confinement	anger	0.531	tussaglyk
dispute	anger	0.531	dawa
exacerbation	anger	0.531	agyrlaşma
uprising	anger	0.531	gozgalaň
unjust	anger	0.530	adalatsyz
unjustifiable	anger	0.530	esassyz
perversion	anger	0.530	ýoýulmak
bigoted	anger	0.530	uly
fiesty	anger	0.530	yhlas
offender	anger	0.530	jenaýatçy
dictatorial	anger	0.530	diktator
hassle	anger	0.530	kynçylyk
dissonance	anger	0.530	dissonans
tackled	anger	0.530	çözüldi
renegade	anger	0.529	dinsiz
cantstandit	anger	0.529	düşnüksiz
trespass	anger	0.529	hyýanatçylyk
hot	anger	0.529	yssy
prison	anger	0.529	türme
suicide	anger	0.521	öz janyna kast etmek
annoy	anger	0.520	bizar etmek
leavemealone	anger	0.517	letmealone
cretins	anger	0.516	kretinler
depravity	anger	0.516	hapaçylyk
idiotic	anger	0.516	samsyk
dishonest	anger	0.516	binamys
distrust	anger	0.516	ynamsyzlyk
broil	anger	0.516	gykylyk
grrr	anger	0.516	grrr
criticize	anger	0.516	tankyt et
inimical	anger	0.516	manysyz
tortious	anger	0.516	gynandyryjy
prisoner	anger	0.516	tussag
treason	anger	0.516	dönüklik
divorce	anger	0.516	aýrylyşmak
venting	anger	0.516	ventilyasiýa
duress	anger	0.516	dowamlylygy
disrespectful	anger	0.516	hormatsyzlyk
poaching	anger	0.515	brakonerlik
scold	anger	0.515	käýin
poachers	anger	0.515	brakonerler
pow	anger	0.515	pow
hangry	anger	0.515	aç
argumentation	anger	0.515	argument
frustrating	anger	0.515	lapykeç
unkind	anger	0.515	rehimsiz
roar	anger	0.515	gykylyk
coercion	anger	0.515	mejbur etmek
unforgiving	anger	0.515	bagyşlamaz
grump	anger	0.515	grump
bile	anger	0.515	öt
unleash	anger	0.515	boşat
chaos	anger	0.515	bulam-bujarlyk
victimized	anger	0.515	pidasy boldy
jerks	anger	0.515	degişmeler
tussle	anger	0.514	dawa
bane	anger	0.511	gadagan
accusation	anger	0.510	aýyplama
enmity	anger	0.510	duşmançylyk
repudiation	anger	0.510	ret etmek
banish	anger	0.509	kowmak
disfigured	anger	0.508	üýtgedildi
storm	anger	0.507	tupan
crazy	anger	0.500	däli
hammering	anger	0.500	çekiç
defy	anger	0.500	garşy çyk
antithesis	anger	0.500	antitez
scoff	anger	0.500	masgara
anguish	anger	0.500	hasrat
confined	anger	0.500	çäklendirilen
fear	anger	0.500	gorky
bout	anger	0.500	dawa
unruly	anger	0.500	tertipsiz
delusional	anger	0.500	aldaw
obstruct	anger	0.500	päsgelçilik
possessed	anger	0.500	eýe
injustice	anger	0.500	adalatsyzlyk
fervor	anger	0.500	joşgun
spear	anger	0.500	naýza
derision	anger	0.500	gülmek
intractable	anger	0.500	çylşyrymly
reject	anger	0.500	ret et
dominate	anger	0.500	agdyklyk edýär
ordeal	anger	0.500	synag
banished	anger	0.500	ýurtdan çykaryldy
rejects	anger	0.500	ret edýär
shun	anger	0.500	gaç
brunt	anger	0.500	gümürtik
derogation	anger	0.500	kemsitmek
frenzied	anger	0.500	gazaply
animus	anger	0.500	animus
suppression	anger	0.500	basyş
malpractice	anger	0.500	nädogry hereket
brazen	anger	0.500	brazen
foaming	anger	0.500	köpük
disrupting	anger	0.500	bozmak
nobodycares	anger	0.500	hiç kim alada etmeýär
patronising	anger	0.500	howandarlyk etmek
getoveryourself	anger	0.495	Özüňi al
toughness	anger	0.492	berklik
stupidpeople	anger	0.492	samsyk adamlar
madness	anger	0.491	däli
sinful	anger	0.491	günäli
avarice	anger	0.490	awarice
oppress	anger	0.490	sütem etmek
cutting	anger	0.485	kesmek
anathema	anger	0.485	anatema
annoyed	anger	0.485	bizar
dissident	anger	0.485	dissident
demand	anger	0.485	isleg
usurp	anger	0.485	usurp
claw	anger	0.485	dyrnak
alienate	anger	0.485	keseki
infraction	anger	0.485	bozulmagy
avenger	anger	0.485	ar alyjy
revoke	anger	0.485	ýatyrmak
smuggler	anger	0.485	kontrabandaçy
abolish	anger	0.485	ýatyr
fricking	anger	0.485	sürtmek
stayaway	anger	0.485	galmak
pervert	anger	0.485	bozuk
disservice	anger	0.485	disservice
disobedient	anger	0.485	boýun egmezlik
incest	anger	0.485	jyns gatnaşygy
complaint	anger	0.485	şikaýat
disapproved	anger	0.485	makullanmady
inhuman	anger	0.485	adamkärçiliksiz
mocking	anger	0.484	masgaralamak
penalty	anger	0.484	jeza
renounce	anger	0.484	ýüz öwürmek
restrain	anger	0.484	sakla
upheaval	anger	0.484	tolgunyşyk
deceit	anger	0.484	aldaw
obnoxious	anger	0.484	obnoxious
imprisoned	anger	0.484	türmä basyldy
strained	anger	0.484	dartgynly
blame	anger	0.484	günäkär
oust	anger	0.484	kowmak
litigious	anger	0.484	kazyýet işi
rivalry	anger	0.484	bäsdeşlik
sucker	anger	0.484	emdiriji
opposed	anger	0.484	garşy çykdy
thresh	anger	0.484	bosagasy
disgrace	anger	0.484	masgaraçylyk
suspicious	anger	0.484	şübheli
