English Word	Emotion	Emotion-Intensity-Score	Romanian Word
deplore	anger	0.734	deplânge
flog	anger	0.734	biciui
fedup	anger	0.734	satul
riotous	anger	0.734	răvăşitor
vehement	anger	0.734	vehement
revolt	anger	0.734	revoltă
warfare	anger	0.734	război
thrash	anger	0.734	thrash
altercation	anger	0.729	altercaţie
warlike	anger	0.728	războinic
shitday	anger	0.727	rahat
mutiny	anger	0.727	revoltă
castrate	anger	0.727	castra
sabotage	anger	0.727	sabotaj
malevolent	anger	0.721	răuvoitor
strike	anger	0.721	grevă
disaster	anger	0.721	dezastru
disastrous	anger	0.720	dezastruos
bastarding	anger	0.719	nenorocit
treachery	anger	0.719	trădare
arseholes	anger	0.719	fundituri
horseshit	anger	0.719	rahat de cal
slay	anger	0.719	ucide
disdain	anger	0.719	dispreț
aggravates	anger	0.719	agravează
brutal	anger	0.719	brutal
scorching	anger	0.719	arzător
devil	anger	0.719	diavol
madden	anger	0.719	înnebunit
spiteful	anger	0.719	duşmănos
scream	anger	0.719	ţipăt
choke	anger	0.719	sufoca
vermin	anger	0.719	paraziţi
tumult	anger	0.719	tumult
criminal	anger	0.714	penal
mangle	anger	0.714	calandru
anarchism	anger	0.714	anarhism
mutilation	anger	0.714	mutilare
denunciation	anger	0.713	denunţare
punch	anger	0.713	lovi cu pumnul
virulence	anger	0.712	virulenţă
fatal	anger	0.712	fatal
hurting	anger	0.712	doare
crucifixion	anger	0.712	răstignire
dontlikeyou	anger	0.712	nu-ti place
blasphemous	anger	0.712	hulitor
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	prostii
battled	anger	0.712	luptat
deranged	anger	0.706	deranjat
irritated	anger	0.706	iritat
atrocious	anger	0.706	atroce
evil	anger	0.706	rău
aggravated	anger	0.703	agravat
intimidation	anger	0.703	intimidare
dicks	anger	0.703	disti
assassin	anger	0.703	asasin
scolding	anger	0.703	mustrând
persecution	anger	0.703	persecuţie
slayer	anger	0.703	ucigaș
kidnap	anger	0.703	răpi
aggression	anger	0.702	agresiune
armed	anger	0.700	armat
battle	anger	0.697	luptă
poison	anger	0.697	otravă
snarling	anger	0.697	mârâind
venom	anger	0.697	venin
disgruntled	anger	0.693	nemulţumit
resentment	anger	0.691	resentiment
assailant	anger	0.691	atacator
insidious	anger	0.691	insidios
contemptuous	anger	0.690	dispreţuitor
lynch	anger	0.690	linșarea
temper	anger	0.688	temperament
terrible	anger	0.688	teribil
disparage	anger	0.688	discredita
lunatic	anger	0.688	nebun
bully	anger	0.688	bătăuş
mad	anger	0.688	nebun
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	infanticid
domination	anger	0.688	dominaţie
peeved	anger	0.688	iritat
imprisonment	anger	0.688	pedeapsa cu închisoarea
curse	anger	0.688	blestem
volatility	anger	0.687	volatilitate
eradication	anger	0.685	eradicare
eradicate	anger	0.682	eradica
tantrum	anger	0.682	acces de furie
scoundrel	anger	0.682	ticălos
devastate	anger	0.682	devasta
aggressively	anger	0.680	agresiv
agitation	anger	0.680	agitaţie
dictatorship	anger	0.676	dictatură
irritates	anger	0.676	irita
profanity	anger	0.673	blasfemie
shove	anger	0.672	împinge
nasty	anger	0.672	neplăcut
shot	anger	0.672	lovitură
cruelly	anger	0.672	cu cruzime
shoot	anger	0.672	trage
condemnation	anger	0.672	condamnare
crushed	anger	0.672	zdrobit
aggravation	anger	0.672	agravare
poisonous	anger	0.672	otrăvitoare
egregious	anger	0.672	extraordinar
crime	anger	0.672	crima
corrupting	anger	0.672	corupând
dastardly	anger	0.672	mişelesc
contempt	anger	0.672	dispreţ
harmful	anger	0.672	dăunătoare
expletive	anger	0.672	expletiv
wreak	anger	0.672	wreak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	taiat
enemy	anger	0.667	dusman
hit	anger	0.667	lovit
hateeveryone	anger	0.667	urasc pe toata lumea
eruption	anger	0.667	erupţie
irritable	anger	0.667	iritabil
odious	anger	0.667	odios
shooting	anger	0.667	filmare
shout	anger	0.667	strigăt
aggressive	anger	0.667	agresiv
kick	anger	0.667	lovitură
combat	anger	0.667	luptă
fight	anger	0.667	luptă
punished	anger	0.662	pedepsit
yell	anger	0.661	strigăt
ambush	anger	0.661	ambuscadă
harass	anger	0.659	hărțui
malignant	anger	0.656	malign
aggressor	anger	0.656	agresor
gore	anger	0.656	împunge
destruction	anger	0.656	distrugere
grudge	anger	0.656	pică
antichrist	anger	0.656	antihrist
incense	anger	0.656	tămâia
expel	anger	0.656	expulza
cranky	anger	0.653	capricios
slave	anger	0.652	sclav
reprisal	anger	0.652	represalii
growl	anger	0.652	mârâi
animosity	anger	0.652	animozitate
insurrection	anger	0.652	insurecţie
clashing	anger	0.652	ciocnindu-se
denounce	anger	0.652	denunţa
offended	anger	0.652	ofensat
spank	anger	0.652	lovitură
insulting	anger	0.652	jignitoare
growls	anger	0.649	mârâie
executioner	anger	0.644	călău
twat	anger	0.644	pizdă
doomsday	anger	0.643	judecata de apoi
obscenity	anger	0.641	obscenitate
accused	anger	0.641	acuzat
feud	anger	0.641	vâlvă
daemon	anger	0.641	demonul
havoc	anger	0.641	ravagii
shackle	anger	0.641	cătuşe
inexcusable	anger	0.641	de neiertat
indignant	anger	0.641	indignat
grr	anger	0.641	grr
expulsion	anger	0.641	expulzare
bombard	anger	0.641	bombarda
spat	anger	0.641	scuipat
arson	anger	0.641	incendiere
reprimand	anger	0.641	mustrare
somad	anger	0.637	asa de nebun
frustrated	anger	0.636	frustrat
batter	anger	0.636	aluat
kicking	anger	0.636	lovind cu piciorul
anarchy	anger	0.636	anarhie
spanking	anger	0.636	bătaie
glaring	anger	0.636	strălucitor
suicidal	anger	0.636	sinucigaș
disgusting	anger	0.636	dezgustător
wound	anger	0.636	răni
hanging	anger	0.636	agăţat
poisoned	anger	0.636	otrăvit
combatant	anger	0.636	combatant
wrecked	anger	0.633	naufragiat
inflict	anger	0.633	cauza
grievous	anger	0.632	dureros
prosecute	anger	0.630	urmărirea penală
agitated	anger	0.630	agitat
cheat	anger	0.630	trișa
swastika	anger	0.627	zvastică
injure	anger	0.625	răni
indict	anger	0.625	inculpat
scourge	anger	0.625	flagel
provocation	anger	0.625	provocare
suffocation	anger	0.625	sufocare
strife	anger	0.625	ceartă
raid	anger	0.625	raid
enslaved	anger	0.625	înrobit
cursing	anger	0.625	blestemând
defamatory	anger	0.625	defăimător
harassing	anger	0.625	hărțuind
thundering	anger	0.625	fulminant
betray	anger	0.625	trăda
arsehole	anger	0.624	nenorocit
theft	anger	0.621	furt
insane	anger	0.621	nebun
retaliation	anger	0.621	represalii
irritate	anger	0.621	irita
deprivation	anger	0.621	privare
fiend	anger	0.621	dracului
jerk	anger	0.621	smucitură
convict	anger	0.621	condamna
cussed	anger	0.619	înjurat
turmoil	anger	0.618	frământări
smack	anger	0.615	scrack
retribution	anger	0.614	pedeapsa
rebellion	anger	0.609	rebeliune
oppressor	anger	0.609	opresor
gang	anger	0.609	bandă
slavery	anger	0.609	robie
intolerable	anger	0.609	intolerabil
adverse	anger	0.609	advers
injurious	anger	0.609	vătămătoare
twats	anger	0.609	tâmpiti
collision	anger	0.609	coliziune
battery	anger	0.609	baterie
bitterly	anger	0.609	amar
antagonism	anger	0.609	antagonism
irritability	anger	0.609	iritabilitate
disgraced	anger	0.608	dezonorat
diatribe	anger	0.606	diatribă
asshole	anger	0.606	Idiotule
blast	anger	0.606	explozie
bombardment	anger	0.606	bombardament
irks	anger	0.606	irks
ranting	anger	0.606	ranit
revolution	anger	0.606	revoluţie
thug	anger	0.606	asasin
antagonistic	anger	0.606	antagonist
irritating	anger	0.606	iritant
sickening	anger	0.606	îmbolnăvitor
discrimination	anger	0.606	discriminare
frustrate	anger	0.604	frustra
insult	anger	0.603	insultă
hurtful	anger	0.603	rănitoare
oppression	anger	0.603	opresiune
manipulation	anger	0.603	manipulare
tiredofit	anger	0.603	sătul de
bigot	anger	0.603	bigot
tension	anger	0.603	tensiune
disgust	anger	0.602	dezgust
spite	anger	0.600	ciudă
intrusive	anger	0.598	intruziv
harshness	anger	0.597	asprime
slur	anger	0.596	Insulta
tempest	anger	0.594	furtună
assail	anger	0.594	asalta
bitterness	anger	0.594	amărăciune
morbidity	anger	0.594	morbiditate
casualty	anger	0.594	accidentat
puncture	anger	0.594	străpungere
miserable	anger	0.594	mizerabil
inferno	anger	0.594	infern
invasion	anger	0.594	invazie
storming	anger	0.594	asalt
wretch	anger	0.594	nenorocit
consternation	anger	0.592	consternare
raving	anger	0.591	delirios
forcibly	anger	0.591	cu forţa
guillotine	anger	0.591	ghilotină
guilty	anger	0.591	vinovat
depraved	anger	0.591	depravat
immoral	anger	0.591	imoral
overpowering	anger	0.591	copleșitoare
scare	anger	0.588	a speria
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	înșurubat
accursed	anger	0.588	blestemat
soannoyed	anger	0.588	atât de enervat
invader	anger	0.588	invadator
jealousy	anger	0.587	gelozie
indignation	anger	0.587	indignare
vexed	anger	0.586	supărat
confront	anger	0.582	confrunta
brute	anger	0.581	brută
throttle	anger	0.579	regulator
slut	anger	0.578	curvă
coup	anger	0.578	lovitură
blaze	anger	0.578	foc
pillage	anger	0.578	jefuirea
provoking	anger	0.578	provocând
damage	anger	0.578	deteriora
criminality	anger	0.578	criminalitatea
shutup	anger	0.578	taci
lash	anger	0.578	bici
conflict	anger	0.578	conflict
contentious	anger	0.578	contencios
shutit	anger	0.578	taci
wreck	anger	0.578	distruge
defiant	anger	0.578	sfidător
butcher	anger	0.578	măcelar
incarceration	anger	0.578	încarcerare
revolver	anger	0.578	revolver
bickering	anger	0.578	ciorovăială
yousuck	anger	0.578	eşti naşpa
cancer	anger	0.577	cancer
discriminate	anger	0.576	deosebi
gun	anger	0.576	pistol
frustration	anger	0.576	frustrare
gory	anger	0.576	sângeros
pernicious	anger	0.576	pernicios
dontmess	anger	0.576	nu dezordine
blasphemy	anger	0.576	blasfemie
chaotic	anger	0.576	haotic
grope	anger	0.576	bâjbâi
alienation	anger	0.576	alienare
disturbance	anger	0.576	tulburare
condescension	anger	0.576	condescendenţă
standoff	anger	0.576	standoff
discord	anger	0.576	discordie
friggen	anger	0.575	friggen
sneer	anger	0.574	insinuare
death	anger	0.574	moarte
lunacy	anger	0.574	nebunie
scandalous	anger	0.574	scandalos
oppressive	anger	0.574	apăsătoare
jab	anger	0.574	jab
cursed	anger	0.574	blestemat
monstrosity	anger	0.574	monstruozitate
shit	anger	0.573	rahat
disparaging	anger	0.571	disprețuitor
slash	anger	0.571	bară oblică
unfair	anger	0.571	nedrept
gallows	anger	0.570	spânzurătoare
escalate	anger	0.569	escalada
intolerant	anger	0.564	intoleranta
lawlessness	anger	0.563	fărădelege
beast	anger	0.562	fiară
torpedo	anger	0.562	torpilă
malign	anger	0.562	malign
traitor	anger	0.562	trădător
frightful	anger	0.562	înfricoșător
wrangling	anger	0.562	ceartă
slander	anger	0.562	calomnie
bellows	anger	0.562	burduf
retards	anger	0.562	retardati
grouchy	anger	0.562	morocănos
derogatory	anger	0.562	peiorativ
bearish	anger	0.562	de urs
invade	anger	0.562	a invada
perdition	anger	0.562	pierzanie
arghh	anger	0.562	arghh
dreadful	anger	0.562	îngrozitor
bluddy	anger	0.562	bluddy
deceived	anger	0.562	înşelat
glare	anger	0.562	strălucire
taunt	anger	0.562	batjocură
dissension	anger	0.561	disensiune
cross	anger	0.561	cruce
rave	anger	0.561	rave
grating	anger	0.561	grătar
devastating	anger	0.561	devastator
fits	anger	0.561	se potrivește
jeopardize	anger	0.561	periclita
shatter	anger	0.561	sfărâma
idiots	anger	0.561	idioti
hurt	anger	0.561	rănit
thief	anger	0.561	hoţ
uncontrollable	anger	0.561	incontrolabil
conflagration	anger	0.561	conflagraţie
betrayal	anger	0.561	trădare
banshee	anger	0.561	banshee
subjugation	anger	0.559	subjugare
disturbed	anger	0.559	deranjat
stomped	anger	0.557	călcat în picioare
grab	anger	0.557	apuca
grievance	anger	0.556	plângere
ticked	anger	0.556	bifat
masochism	anger	0.556	masochismul
defiance	anger	0.552	sfidare
blackmail	anger	0.550	şantaj
offensive	anger	0.549	ofensator
decry	anger	0.548	detesta
frustrates	anger	0.547	frustrează
violation	anger	0.547	încălcare
confine	anger	0.547	limita
misery	anger	0.547	mizerie
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparitate
punishment	anger	0.547	pedeapsă
rebel	anger	0.547	rebel
preposterous	anger	0.547	absurd
disgraceful	anger	0.547	ruşinos
ire	anger	0.547	ire
deceive	anger	0.547	înşela
fustrated	anger	0.547	fustrată
sin	anger	0.547	păcat
shrill	anger	0.547	strident
darkside	anger	0.547	partea întunecată
overbearing	anger	0.547	arogant
firearms	anger	0.547	arme de foc
stolen	anger	0.546	furat
hadenough	anger	0.546	săturat
prejudice	anger	0.545	prejudecata
tackle	anger	0.545	aborda
resentful	anger	0.545	supărător
heated	anger	0.545	încălzit
callous	anger	0.545	dur
conspirator	anger	0.545	conspirator
ruined	anger	0.545	ruinat
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	încăierare
menace	anger	0.545	ameninţare
annoyin	anger	0.545	enervant
foul	anger	0.545	fault
argument	anger	0.545	argument
humiliate	anger	0.545	umili
wanker	anger	0.545	wanker
adversary	anger	0.545	adversar
sting	anger	0.544	intepatura
entangled	anger	0.544	încurcat
grumble	anger	0.544	bâzâi
robbery	anger	0.544	jaf
outcry	anger	0.544	strigăt
resistance	anger	0.543	rezistenţă
irreconcilable	anger	0.543	ireconciliabile
obstructive	anger	0.542	obstructiv
dismay	anger	0.540	consternare
mob	anger	0.538	gloată
juststop	anger	0.537	doar opreste
badness	anger	0.536	răutate
ridicule	anger	0.534	ridicol
incendiary	anger	0.533	incendiar
flares	anger	0.532	rachete
twofaced	anger	0.531	două feţe
reckless	anger	0.531	nesăbuit
communism	anger	0.531	comunism
allegation	anger	0.531	afirmaţie
prejudicial	anger	0.531	prejudiciabil
whip	anger	0.531	bici
unbridled	anger	0.531	neînfrânat
degeneracy	anger	0.531	degenerare
intruder	anger	0.531	intrus
belittle	anger	0.531	slăbici
confinement	anger	0.531	izolarea
dispute	anger	0.531	disputa
exacerbation	anger	0.531	exacerbare
uprising	anger	0.531	răscoală
unjust	anger	0.530	nedrept
unjustifiable	anger	0.530	nejustificat
perversion	anger	0.530	perversiune
bigoted	anger	0.530	bigot
fiesty	anger	0.530	fierbinte
offender	anger	0.530	contravenient
dictatorial	anger	0.530	dictatorial
hassle	anger	0.530	bătaie de cap
dissonance	anger	0.530	disonanţă
tackled	anger	0.530	abordat
renegade	anger	0.529	renegat
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	fărădelege
hot	anger	0.529	Fierbinte
prison	anger	0.529	închisoare
suicide	anger	0.521	sinucidere
annoy	anger	0.520	deranja
leavemealone	anger	0.517	lasa-ma in pace
cretins	anger	0.516	cretini
depravity	anger	0.516	depravare
idiotic	anger	0.516	idiot
dishonest	anger	0.516	necinstit
distrust	anger	0.516	neîncredere
broil	anger	0.516	se emoţiona
grrr	anger	0.516	grrr
criticize	anger	0.516	a critica
inimical	anger	0.516	ostil
tortious	anger	0.516	delictuos
prisoner	anger	0.516	prizonier
treason	anger	0.516	trădare
divorce	anger	0.516	divorț
venting	anger	0.516	aerisire
duress	anger	0.516	constrângere
disrespectful	anger	0.516	lipsit de respect
poaching	anger	0.515	braconaj
scold	anger	0.515	certa
poachers	anger	0.515	braconieri
pow	anger	0.515	pow
hangry	anger	0.515	flămând
argumentation	anger	0.515	argumentare
frustrating	anger	0.515	frustrant
unkind	anger	0.515	aspru
roar	anger	0.515	hohote
coercion	anger	0.515	constrângere
unforgiving	anger	0.515	neiertător
grump	anger	0.515	morocănos
bile	anger	0.515	bilă
unleash	anger	0.515	dezlănțui
chaos	anger	0.515	haos
victimized	anger	0.515	victimizat
jerks	anger	0.515	smucituri
tussle	anger	0.514	ceartă
bane	anger	0.511	nenorocire
accusation	anger	0.510	acuzare
enmity	anger	0.510	antipatie
repudiation	anger	0.510	repudiere
banish	anger	0.509	alunga
disfigured	anger	0.508	desfigurat
storm	anger	0.507	furtună
crazy	anger	0.500	nebun
hammering	anger	0.500	ciocănind
defy	anger	0.500	sfidează
antithesis	anger	0.500	antiteză
scoff	anger	0.500	batjocoresc
anguish	anger	0.500	angoasa
confined	anger	0.500	închis
fear	anger	0.500	frică
bout	anger	0.500	pete
unruly	anger	0.500	nesupus
delusional	anger	0.500	delirante
obstruct	anger	0.500	obstrucționează
possessed	anger	0.500	posedat
injustice	anger	0.500	nedreptate
fervor	anger	0.500	fervoare
spear	anger	0.500	suliţă
derision	anger	0.500	derizoriu
intractable	anger	0.500	insolubil
reject	anger	0.500	respinge
dominate	anger	0.500	domina
ordeal	anger	0.500	calvar
banished	anger	0.500	alungat
rejects	anger	0.500	respinge
shun	anger	0.500	evita
brunt	anger	0.500	grea
derogation	anger	0.500	derogare
frenzied	anger	0.500	frenetic
animus	anger	0.500	animus
suppression	anger	0.500	suprimare
malpractice	anger	0.500	malpraxis
brazen	anger	0.500	nebunesc
foaming	anger	0.500	spumând
disrupting	anger	0.500	perturbatoare
nobodycares	anger	0.500	nimanui nu-i pasa
patronising	anger	0.500	patronatoare
getoveryourself	anger	0.495	depășește-te pe tine însuți
toughness	anger	0.492	duritate
stupidpeople	anger	0.492	oameni prosti
madness	anger	0.491	nebunie
sinful	anger	0.491	păcătos
avarice	anger	0.490	avariţia
oppress	anger	0.490	asupri
cutting	anger	0.485	tăiere
anathema	anger	0.485	anatema
annoyed	anger	0.485	enervat
dissident	anger	0.485	disident
demand	anger	0.485	cerere
usurp	anger	0.485	uzurpa
claw	anger	0.485	Gheară
alienate	anger	0.485	înstrăina
infraction	anger	0.485	infractiune
avenger	anger	0.485	răzbunător
revoke	anger	0.485	revoca
smuggler	anger	0.485	contrabandist
abolish	anger	0.485	aboli
fricking	anger	0.485	frică
stayaway	anger	0.485	stai departe
pervert	anger	0.485	pervers
disservice	anger	0.485	deserviciu
disobedient	anger	0.485	neascultător
incest	anger	0.485	incest
complaint	anger	0.485	plângere
disapproved	anger	0.485	dezaprobat
inhuman	anger	0.485	inuman
mocking	anger	0.484	batjocoritor
penalty	anger	0.484	penalizare
renounce	anger	0.484	renunta
restrain	anger	0.484	reține
upheaval	anger	0.484	răsturnare
deceit	anger	0.484	înşelăciune
obnoxious	anger	0.484	dezastruoasă
imprisoned	anger	0.484	închis
strained	anger	0.484	încordat
blame	anger	0.484	vina
oust	anger	0.484	alungat
litigious	anger	0.484	litigios
rivalry	anger	0.484	rivalitate
sucker	anger	0.484	fraier
opposed	anger	0.484	opus
thresh	anger	0.484	treiera
disgrace	anger	0.484	ruşine
suspicious	anger	0.484	suspicios
turbulence	anger	0.483	turbulenţă
pound	anger	0.481	livră
coldness	anger	0.477	frig
ungrateful	anger	0.472	nerecunoscător
stoopid	anger	0.471	aplecat
battalion	anger	0.471	batalion
feudalism	anger	0.470	feudalism
hostage	anger	0.470	ostatic
annoying	anger	0.470	enervant
dispossessed	anger	0.470	deposedat
subversion	anger	0.470	subversiune
friction	anger	0.470	frecare
jealous	anger	0.470	gelos
adversity	anger	0.470	adversitate
infidel	anger	0.470	necredincios
gall	anger	0.470	fiere
accuser	anger	0.470	acuzator
ram	anger	0.470	Berbec
armament	anger	0.470	armament
thump	anger	0.469	tâmpit
dislike	anger	0.469	antipatie
steal	anger	0.469	fura
backoff	anger	0.469	retrage-te
stifled	anger	0.469	înăbușită
incite	anger	0.469	incita
distress	anger	0.469	suferință
angermanagement	anger	0.469	management al furiei
selfish	anger	0.469	egoist
injury	anger	0.469	rănire
exile	anger	0.469	exil
insanity	anger	0.469	nebunie
offense	anger	0.469	delict
objection	anger	0.469	obiecţie
smother	anger	0.469	sufoca
disruption	anger	0.469	perturbare
intolerance	anger	0.469	intoleranţă
disobey	anger	0.469	neascultă
selfishness	anger	0.469	egoism
recidivism	anger	0.469	recidivă
subversive	anger	0.469	subversiv
huff	anger	0.469	acces de furie
plunder	anger	0.469	jaf
opposition	anger	0.469	opoziţie
complain	anger	0.469	plangeti
perpetrator	anger	0.469	autor
simmer	anger	0.469	fierbe
areyoukidding	anger	0.468	glumești
mug	anger	0.467	halbă
agony	anger	0.465	agonie
arrogant	anger	0.461	arogant
sux	anger	0.456	sux
vent	anger	0.456	aerisire
elimination	anger	0.456	eliminare
picketing	anger	0.456	pichetare
haughty	anger	0.456	trufaş
grated	anger	0.455	răzuit
flagrant	anger	0.455	flagrant
busted	anger	0.455	prins
crabby	anger	0.455	ursuz
dying	anger	0.455	moarte
idiocy	anger	0.455	idiotie
impermeable	anger	0.455	impermeabil
stubbed	anger	0.455	înţepat
illegality	anger	0.455	nelegalitate
veto	anger	0.455	veto
constraint	anger	0.455	constrângere
