English Word	Emotion	Emotion-Intensity-Score	Tamil Word
pissesmeoff	anger	0.812	பிஸ்ஸஸ்மிஃப்
pissedoff	anger	0.812	வெறித்தனம்
tyrant	anger	0.812	கொடுங்கோலன்
berserk	anger	0.812	வெறித்தனம்
fuming	anger	0.812	பொங்கியெழுந்த
anger	anger	0.811	கோபம்
pieceofshit	anger	0.810	துண்டு
punched	anger	0.803	குத்தினார்
punching	anger	0.803	குத்துதல்
slam	anger	0.803	அறைகூவல்
homicide	anger	0.803	கொலை
bitch	anger	0.803	பிச்
fights	anger	0.803	சண்டையிடுகிறது
ruthless	anger	0.797	இரக்கமற்ற
villainous	anger	0.797	வில்லத்தனமான
destructive	anger	0.797	அழிவுகரமான
slap	anger	0.791	அறைதல்
riot	anger	0.788	கலவரம்
growthefuckup	anger	0.788	வளர்ச்சி
punishing	anger	0.788	தண்டிக்கும்
slaughterhouse	anger	0.788	இறைச்சி கூடம்
yelling	anger	0.788	கத்துகிறது
diabolical	anger	0.788	கொடூரமான
destroyed	anger	0.788	அழிக்கப்பட்டது
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	பழிவாங்கும்
manslaughter	anger	0.783	ஆணவக் கொலை
clash	anger	0.783	மோதல்
quarrel	anger	0.781	சண்டை
bloody	anger	0.781	இரத்தக்களரி
hellish	anger	0.781	நரகமானது
sinister	anger	0.781	கெட்ட
loath	anger	0.781	வெறுப்பு
detonation	anger	0.781	வெடிப்பு
accusing	anger	0.779	குற்றம் சாட்டுகிறது
fumin	anger	0.779	ஃபுமின்
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	துரோகமான
madder	anger	0.773	பைத்தியக்காரத்தனம்
horrific	anger	0.773	பயங்கரமான
revulsion	anger	0.773	வெறுப்பு
retaliate	anger	0.773	பழிவாங்கும்
scorn	anger	0.769	தூற்றுதல்
bomb	anger	0.766	குண்டு
deplorable	anger	0.766	வருந்தத்தக்கது
devastation	anger	0.765	அழிவு
anarchist	anger	0.765	அராஜகவாதி
firestorm	anger	0.765	தீப்புயல்
resent	anger	0.765	வெறுப்பு
contemptible	anger	0.764	இழிவான
shittest	anger	0.760	shittest
rant	anger	0.758	கூச்சல்
cruel	anger	0.758	கொடூரமான
deadly	anger	0.758	கொடிய
smash	anger	0.758	அடித்து நொறுக்கு
soangry	anger	0.758	சோகமான
outburst	anger	0.757	வெடிப்பு
snarl	anger	0.754	உறுமல்
profane	anger	0.750	அசுத்தமான
revolting	anger	0.750	கிளர்ச்சி
aggravating	anger	0.750	மோசமாக்கும்
horror	anger	0.750	திகில்
despise	anger	0.750	வெறுக்கிறார்கள்
offend	anger	0.750	உள்ளத்தை புண்படுத்து
stfu	anger	0.750	stfu
vulgarity	anger	0.750	அசிங்கம்
crazed	anger	0.750	வெறிகொண்டது
douchebags	anger	0.750	பைகள்
growling	anger	0.750	உறுமுகிறது
dontmesswithme	anger	0.750	என்னுடன் பேச வேண்டாம்
screaming	anger	0.742	அலறல்
threat	anger	0.742	அச்சுறுத்தல்
erupt	anger	0.742	வெடிக்கும்
horrible	anger	0.742	பயங்கரமான
molestation	anger	0.742	துன்புறுத்தல்
fuckedoff	anger	0.742	புணர்ந்தது
violence	anger	0.742	வன்முறை
bastards	anger	0.741	பாஸ்டர்ட்ஸ்
revenge	anger	0.738	பழிவாங்கும்
menacing	anger	0.735	அச்சுறுத்தும்
crushing	anger	0.735	நசுக்குகிறது
damn	anger	0.735	அடடா
catastrophe	anger	0.735	பேரழிவு
demon	anger	0.735	பேய்
argue	anger	0.734	வாதிடுகின்றனர்
persecute	anger	0.734	துன்புறுத்துகின்றன
deplore	anger	0.734	இரங்கல்
flog	anger	0.734	கசையடி
fedup	anger	0.734	வெறுப்பு
riotous	anger	0.734	கலவரமான
vehement	anger	0.734	வீரியம்
revolt	anger	0.734	கிளர்ச்சி
warfare	anger	0.734	போர்முறை
thrash	anger	0.734	அடித்தல்
altercation	anger	0.729	வாக்குவாதம்
warlike	anger	0.728	போர்க்குணம்
shitday	anger	0.727	shitday
mutiny	anger	0.727	கலகம்
castrate	anger	0.727	காஸ்ட்ரேட்
sabotage	anger	0.727	நாசவேலை
malevolent	anger	0.721	தீங்கிழைக்கும்
strike	anger	0.721	வேலைநிறுத்தம்
disaster	anger	0.721	பேரழிவு
disastrous	anger	0.720	பேரழிவு
bastarding	anger	0.719	பாஸ்டர்டிங்
treachery	anger	0.719	துரோகம்
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	குதிரைவாலி
slay	anger	0.719	கொல்லு
disdain	anger	0.719	அலட்சியம்
aggravates	anger	0.719	மோசமாக்குகிறது
brutal	anger	0.719	மிருகத்தனமான
scorching	anger	0.719	எரியும்
devil	anger	0.719	பிசாசு
madden	anger	0.719	பைத்தியம் பிடித்தது
spiteful	anger	0.719	வெறுக்கத்தக்க
scream	anger	0.719	அலறல்
choke	anger	0.719	மூச்சுத்திணறல்
vermin	anger	0.719	பூச்சிகள்
tumult	anger	0.719	சலசலப்பு
criminal	anger	0.714	குற்றவாளி
mangle	anger	0.714	மங்கல்
anarchism	anger	0.714	அராஜகம்
mutilation	anger	0.714	சிதைத்தல்
denunciation	anger	0.713	கண்டனம்
punch	anger	0.713	குத்து
virulence	anger	0.712	நச்சுத்தன்மை
fatal	anger	0.712	அபாயகரமான
hurting	anger	0.712	வலிக்கிறது
crucifixion	anger	0.712	சிலுவை மரணம்
dontlikeyou	anger	0.712	உன்னை போல் இல்லை
blasphemous	anger	0.712	நிந்தனை
holocaust	anger	0.712	படுகொலை
dumbasses	anger	0.712	முட்டாள்கள்
battled	anger	0.712	போராடினார்
deranged	anger	0.706	நிலைகுலைந்தது
irritated	anger	0.706	எரிச்சல்
atrocious	anger	0.706	கொடூரமான
evil	anger	0.706	தீய
aggravated	anger	0.703	மோசமடைந்தது
intimidation	anger	0.703	மிரட்டல்
dicks	anger	0.703	டிக்ஸ்
assassin	anger	0.703	கொலையாளி
scolding	anger	0.703	திட்டுவது
persecution	anger	0.703	துன்புறுத்தல்
slayer	anger	0.703	கொலைகாரன்
kidnap	anger	0.703	கடத்தல்
aggression	anger	0.702	ஆக்கிரமிப்பு
armed	anger	0.700	ஆயுதம் ஏந்திய
battle	anger	0.697	போர்
poison	anger	0.697	விஷம்
snarling	anger	0.697	உறுமுகிறது
venom	anger	0.697	விஷம்
disgruntled	anger	0.693	அதிருப்தி
resentment	anger	0.691	மனக்கசப்பு
assailant	anger	0.691	தாக்குபவர்
insidious	anger	0.691	நயவஞ்சகமான
contemptuous	anger	0.690	இழிவான
lynch	anger	0.690	லிஞ்ச்
temper	anger	0.688	கோபம்
terrible	anger	0.688	பயங்கரமான
disparage	anger	0.688	இழிவு
lunatic	anger	0.688	பைத்தியக்காரன்
bully	anger	0.688	கொடுமைப்படுத்துபவர்
mad	anger	0.688	பைத்தியம்
makesmemad	anger	0.688	மேட் செய்கிறது
infanticide	anger	0.688	சிசுக்கொலை
domination	anger	0.688	ஆதிக்கம்
peeved	anger	0.688	கோபமடைந்தார்
imprisonment	anger	0.688	சிறைவாசம்
curse	anger	0.688	சாபம்
volatility	anger	0.687	நிலையற்ற தன்மை
eradication	anger	0.685	ஒழிப்பு
eradicate	anger	0.682	ஒழிக்க
tantrum	anger	0.682	கோபம்
scoundrel	anger	0.682	அயோக்கியன்
devastate	anger	0.682	அழிக்கும்
aggressively	anger	0.680	ஆக்ரோஷமாக
agitation	anger	0.680	கிளர்ச்சி
dictatorship	anger	0.676	சர்வாதிகாரம்
irritates	anger	0.676	எரிச்சலூட்டுகிறது
profanity	anger	0.673	அவதூறு
shove	anger	0.672	தள்ளு
nasty	anger	0.672	மோசமான
shot	anger	0.672	சுடப்பட்டது
cruelly	anger	0.672	கொடூரமாக
shoot	anger	0.672	சுடு
condemnation	anger	0.672	கண்டனம்
crushed	anger	0.672	நசுக்கப்பட்டது
aggravation	anger	0.672	தீவிரமடைதல்
poisonous	anger	0.672	விஷம்
egregious	anger	0.672	அருவருப்பான
crime	anger	0.672	குற்றம்
corrupting	anger	0.672	கெடுக்கும்
dastardly	anger	0.672	கொடூரமாக
contempt	anger	0.672	அவமதிப்பு
harmful	anger	0.672	தீங்கு விளைவிக்கும்
expletive	anger	0.672	விரிவாக
wreak	anger	0.672	அழிவு
maniac	anger	0.670	வெறி பிடித்தவன்
cutthroat	anger	0.667	கட்த்ரோட்
enemy	anger	0.667	எதிரி
hit	anger	0.667	தாக்கியது
hateeveryone	anger	0.667	அனைவரையும் வெறுக்கிறேன்
eruption	anger	0.667	வெடிப்பு
irritable	anger	0.667	எரிச்சலூட்டும்
odious	anger	0.667	அருவருப்பான
shooting	anger	0.667	படப்பிடிப்பு
shout	anger	0.667	கத்தி
aggressive	anger	0.667	முரட்டுத்தனமான
kick	anger	0.667	உதை
combat	anger	0.667	போர்
fight	anger	0.667	சண்டை
punished	anger	0.662	தண்டிக்கப்பட்டது
yell	anger	0.661	கத்தவும்
ambush	anger	0.661	பதுங்கியிருந்து
harass	anger	0.659	துன்புறுத்துகின்றன
malignant	anger	0.656	வீரியம் மிக்கது
aggressor	anger	0.656	ஆக்கிரமிப்பாளர்
gore	anger	0.656	காயம்
destruction	anger	0.656	அழிவு
grudge	anger	0.656	வெறுப்பு
antichrist	anger	0.656	ஆண்டிகிறிஸ்ட்
incense	anger	0.656	தூபம்
expel	anger	0.656	வெளியேற்று
cranky	anger	0.653	வெறித்தனமான
slave	anger	0.652	அடிமை
reprisal	anger	0.652	பழிவாங்கல்
growl	anger	0.652	உறுமல்
animosity	anger	0.652	பகைமை
insurrection	anger	0.652	கிளர்ச்சி
clashing	anger	0.652	மோதல்
denounce	anger	0.652	கண்டிக்கிறார்கள்
offended	anger	0.652	புண்படுத்தப்பட்டது
spank	anger	0.652	அடி
insulting	anger	0.652	அவமதிப்பு
growls	anger	0.649	உறுமுகிறது
executioner	anger	0.644	மரணதண்டனை செய்பவர்
twat	anger	0.644	twat
doomsday	anger	0.643	அழிவுநாள்
obscenity	anger	0.641	ஆபாசம்
accused	anger	0.641	குற்றம் சாட்டினார்
feud	anger	0.641	பகை
daemon	anger	0.641	டீமான்
havoc	anger	0.641	அழிவை
shackle	anger	0.641	கட்டு
inexcusable	anger	0.641	மன்னிக்க முடியாதது
indignant	anger	0.641	கோபம்
grr	anger	0.641	grr
expulsion	anger	0.641	வெளியேற்றம்
bombard	anger	0.641	குண்டுவீச்சு
spat	anger	0.641	துப்பியது
arson	anger	0.641	தீ வைப்பு
reprimand	anger	0.641	திட்டு
somad	anger	0.637	சோமத்
frustrated	anger	0.636	விரக்தியடைந்த
batter	anger	0.636	இடி
kicking	anger	0.636	உதைத்தல்
anarchy	anger	0.636	அராஜகம்
spanking	anger	0.636	அடித்தல்
glaring	anger	0.636	கூசும்
suicidal	anger	0.636	தற்கொலை
disgusting	anger	0.636	அருவருப்பான
wound	anger	0.636	காயம்
hanging	anger	0.636	தொங்கும்
poisoned	anger	0.636	விஷம்
combatant	anger	0.636	போராளி
wrecked	anger	0.633	சிதைந்தன
inflict	anger	0.633	ஏற்படுத்துகின்றன
grievous	anger	0.632	துயரமான
prosecute	anger	0.630	வழக்குத் தொடரவும்
agitated	anger	0.630	கிளர்ந்தெழுந்தார்
cheat	anger	0.630	ஏமாற்று
swastika	anger	0.627	ஸ்வஸ்திகா
injure	anger	0.625	காயப்படுத்து
indict	anger	0.625	குற்றஞ்சாட்டவும்
scourge	anger	0.625	கசையடி
provocation	anger	0.625	தூண்டுதல்
suffocation	anger	0.625	மூச்சுத்திணறல்
strife	anger	0.625	சச்சரவு
raid	anger	0.625	சோதனை
enslaved	anger	0.625	அடிமைப்படுத்தப்பட்டது
cursing	anger	0.625	சபிப்பது
defamatory	anger	0.625	அவதூறு
harassing	anger	0.625	துன்புறுத்தல்
thundering	anger	0.625	இடிமுழக்கம்
betray	anger	0.625	காட்டிக்கொடுக்கின்றன
arsehole	anger	0.624	ஆயுத துளை
theft	anger	0.621	திருட்டு
insane	anger	0.621	பைத்தியக்காரன்
retaliation	anger	0.621	பதிலடி
irritate	anger	0.621	எரிச்சல்
deprivation	anger	0.621	பற்றாக்குறை
fiend	anger	0.621	அசுரன்
jerk	anger	0.621	முட்டாள்
convict	anger	0.621	குற்றவாளி
cussed	anger	0.619	cussed
turmoil	anger	0.618	கொந்தளிப்பு
smack	anger	0.615	ஸ்மாக்
retribution	anger	0.614	பழிவாங்கல்
rebellion	anger	0.609	கிளர்ச்சி
oppressor	anger	0.609	ஒடுக்குபவர்
gang	anger	0.609	கும்பல்
slavery	anger	0.609	அடிமைத்தனம்
intolerable	anger	0.609	சகிக்க முடியாத
adverse	anger	0.609	பாதகமான
injurious	anger	0.609	காயப்படுத்தும்
twats	anger	0.609	twats
collision	anger	0.609	மோதல்
battery	anger	0.609	மின்கலம்
bitterly	anger	0.609	கசப்பான
antagonism	anger	0.609	விரோதம்
irritability	anger	0.609	எரிச்சல்
disgraced	anger	0.608	அவமானப்படுத்தப்பட்டது
diatribe	anger	0.606	diatribe
asshole	anger	0.606	கழுதை
blast	anger	0.606	குண்டு வெடிப்பு
bombardment	anger	0.606	குண்டுவீச்சு
irks	anger	0.606	irks
ranting	anger	0.606	கூக்குரலிடுதல்
revolution	anger	0.606	புரட்சி
thug	anger	0.606	குண்டர்
antagonistic	anger	0.606	விரோதமான
irritating	anger	0.606	எரிச்சலூட்டும்
sickening	anger	0.606	நோய்வாய்ப்பட்ட
discrimination	anger	0.606	பாகுபாடு
frustrate	anger	0.604	ஏமாற்றம்
insult	anger	0.603	அவமதிப்பு
hurtful	anger	0.603	புண்படுத்தும்
oppression	anger	0.603	அடக்குமுறை
manipulation	anger	0.603	கையாளுதல்
tiredofit	anger	0.603	சோர்வாக
bigot	anger	0.603	மதவெறி
tension	anger	0.603	பதற்றம்
disgust	anger	0.602	வெறுப்பு
spite	anger	0.600	இருந்தாலும்
intrusive	anger	0.598	ஊடுருவும்
harshness	anger	0.597	கடுமை
slur	anger	0.596	அவதூறு
tempest	anger	0.594	புயல்
assail	anger	0.594	தாக்குதல்
bitterness	anger	0.594	கசப்பு
morbidity	anger	0.594	நோயுற்ற தன்மை
casualty	anger	0.594	உயிரிழப்பு
puncture	anger	0.594	பஞ்சர்
miserable	anger	0.594	பரிதாபகரமான
inferno	anger	0.594	நரகம்
invasion	anger	0.594	படையெடுப்பு
storming	anger	0.594	முற்றுகையிடப்பட்டன
wretch	anger	0.594	பாதகமான
consternation	anger	0.592	திகைப்பு
raving	anger	0.591	வெறித்தனம்
forcibly	anger	0.591	வலுக்கட்டாயமாக
guillotine	anger	0.591	கில்லட்டின்
guilty	anger	0.591	குற்ற உணர்வு
depraved	anger	0.591	சீரழிந்த
immoral	anger	0.591	ஒழுக்கக்கேடான
overpowering	anger	0.591	மிகைப்படுத்துதல்
scare	anger	0.588	பயமுறுத்தும்
recalcitrant	anger	0.588	மறுப்பவர்
screwed	anger	0.588	திருகப்பட்டது
accursed	anger	0.588	சபிக்கப்பட்ட
soannoyed	anger	0.588	எரிச்சலடைந்தது
invader	anger	0.588	படையெடுப்பாளர்
jealousy	anger	0.587	பொறாமை
indignation	anger	0.587	கோபம்
vexed	anger	0.586	எரிச்சலூட்டியது
confront	anger	0.582	எதிர்கொள்ள
brute	anger	0.581	மிருகத்தனமான
throttle	anger	0.579	த்ரோட்டில்
slut	anger	0.578	வேசி
coup	anger	0.578	சதி
blaze	anger	0.578	நெருப்பு
pillage	anger	0.578	கொள்ளை
provoking	anger	0.578	தூண்டும்
damage	anger	0.578	சேதம்
criminality	anger	0.578	குற்றவியல்
shutup	anger	0.578	வாயை மூடு
lash	anger	0.578	பலங்கொண்டு அடி
conflict	anger	0.578	மோதல்
contentious	anger	0.578	சர்ச்சைக்குரிய
shutit	anger	0.578	இதை மூடு
wreck	anger	0.578	சிதைவு
defiant	anger	0.578	எதிர்க்கும்
butcher	anger	0.578	கசாப்புக் கடைக்காரர்
incarceration	anger	0.578	சிறைவாசம்
revolver	anger	0.578	ரிவால்வர்
bickering	anger	0.578	சச்சரவு
yousuck	anger	0.578	நீ சக்
cancer	anger	0.577	புற்றுநோய்
discriminate	anger	0.576	பாகுபாடு காட்டு
gun	anger	0.576	துப்பாக்கி
frustration	anger	0.576	ஏமாற்றம்
gory	anger	0.576	கோரமான
pernicious	anger	0.576	தீங்கு விளைவிக்கும்
dontmess	anger	0.576	அலட்சியம்
blasphemy	anger	0.576	நிந்தனை
chaotic	anger	0.576	குழப்பமான
grope	anger	0.576	தடுமாறி
alienation	anger	0.576	அந்நியப்படுதல்
disturbance	anger	0.576	தொந்தரவு
condescension	anger	0.576	தாழ்வு மனப்பான்மை
standoff	anger	0.576	முட்டுக்கட்டை
discord	anger	0.576	முரண்பாடு
friggen	anger	0.575	ஃப்ரிஜென்
sneer	anger	0.574	ஏளனம் செய்
death	anger	0.574	இறப்பு
lunacy	anger	0.574	பைத்தியக்காரத்தனம்
scandalous	anger	0.574	அவதூறான
oppressive	anger	0.574	அடக்குமுறை
jab	anger	0.574	ஜப்
cursed	anger	0.574	சபித்தார்
monstrosity	anger	0.574	அரக்கத்தனம்
shit	anger	0.573	மலம்
disparaging	anger	0.571	இழிவுபடுத்தும்
slash	anger	0.571	வெட்டு
unfair	anger	0.571	நியாயமற்ற
gallows	anger	0.570	தூக்கு மேடை
escalate	anger	0.569	அதிகரிக்கும்
intolerant	anger	0.564	சகிப்புத்தன்மையற்ற
lawlessness	anger	0.563	அக்கிரமம்
beast	anger	0.562	மிருகம்
torpedo	anger	0.562	டார்பிடோ
malign	anger	0.562	தீங்கான
traitor	anger	0.562	துரோகி
frightful	anger	0.562	பயமுறுத்தும்
wrangling	anger	0.562	சண்டையிடுதல்
slander	anger	0.562	அவதூறு
bellows	anger	0.562	பெல்லோஸ்
retards	anger	0.562	பின்னடைவு
grouchy	anger	0.562	கவலையான
derogatory	anger	0.562	இழிவான
bearish	anger	0.562	முரட்டுத்தனமான
invade	anger	0.562	படையெடுக்கின்றன
perdition	anger	0.562	அழிவு
arghh	anger	0.562	arghh
dreadful	anger	0.562	பயங்கரமான
bluddy	anger	0.562	மங்கலான
deceived	anger	0.562	ஏமாற்றினார்
glare	anger	0.562	கண்ணை கூசும்
taunt	anger	0.562	இகழ்ச்சிப்
dissension	anger	0.561	கருத்து வேறுபாடு
cross	anger	0.561	குறுக்கு
rave	anger	0.561	வெறித்தனமாக
grating	anger	0.561	தட்டுதல்
devastating	anger	0.561	அழிவுகரமான
fits	anger	0.561	பொருந்துகிறது
jeopardize	anger	0.561	ஆபத்து
shatter	anger	0.561	நொறுக்கு
idiots	anger	0.561	முட்டாள்கள்
hurt	anger	0.561	காயப்படுத்தியது
thief	anger	0.561	திருடன்
uncontrollable	anger	0.561	கட்டுப்படுத்த முடியாத
conflagration	anger	0.561	வெடிப்பு
betrayal	anger	0.561	துரோகம்
banshee	anger	0.561	பன்ஷி
subjugation	anger	0.559	அடிபணிதல்
disturbed	anger	0.559	தொந்தரவு
stomped	anger	0.557	மிதித்தார்
grab	anger	0.557	பிடி
grievance	anger	0.556	மனக்குறை
ticked	anger	0.556	டிக்
masochism	anger	0.556	மசோகிசம்
defiance	anger	0.552	எதிர்ப்பு
blackmail	anger	0.550	மிரட்டல்
offensive	anger	0.549	தாக்குதல்
decry	anger	0.548	குறை கூறுகின்றனர்
frustrates	anger	0.547	ஏமாற்றமடைகிறது
violation	anger	0.547	மீறல்
confine	anger	0.547	எல்லைக்குட்படுத்த
misery	anger	0.547	துயரத்தின்
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ஏற்றத்தாழ்வு
punishment	anger	0.547	தண்டனை
rebel	anger	0.547	கிளர்ச்சியாளர்
preposterous	anger	0.547	அபத்தமான
disgraceful	anger	0.547	அவமானகரமான
ire	anger	0.547	கோபம்
deceive	anger	0.547	ஏமாற்று
fustrated	anger	0.547	விரக்தியடைந்தார்
sin	anger	0.547	பாவம்
shrill	anger	0.547	சிலிர்ப்பு
darkside	anger	0.547	இருண்ட பகுதி
overbearing	anger	0.547	மிகையான
firearms	anger	0.547	துப்பாக்கிகள்
stolen	anger	0.546	திருடப்பட்டது
hadenough	anger	0.546	போதுமான அளவு
prejudice	anger	0.545	பாரபட்சம்
tackle	anger	0.545	சமாளிக்க
resentful	anger	0.545	வெறுப்பு
heated	anger	0.545	சூடுபடுத்தப்பட்டது
callous	anger	0.545	இரக்கமற்ற
conspirator	anger	0.545	சதிகாரன்
ruined	anger	0.545	பாழாக்கி
antagonist	anger	0.545	எதிரி
skirmish	anger	0.545	சண்டை
menace	anger	0.545	அச்சுறுத்தல்
annoyin	anger	0.545	எரிச்சலூட்டும்
foul	anger	0.545	தவறான
argument	anger	0.545	வாதம்
humiliate	anger	0.545	அவமானப்படுத்துகின்றன
wanker	anger	0.545	வழிப்பறி
adversary	anger	0.545	எதிரி
sting	anger	0.544	கொடுக்கு
entangled	anger	0.544	சிக்கிக்கொண்டது
grumble	anger	0.544	முணுமுணுக்கவும்
robbery	anger	0.544	கொள்ளை
outcry	anger	0.544	கூக்குரல்
resistance	anger	0.543	எதிர்ப்பு
irreconcilable	anger	0.543	சமரசம் செய்ய முடியாதது
obstructive	anger	0.542	தடையாக
dismay	anger	0.540	திகைப்பு
mob	anger	0.538	கும்பல்
juststop	anger	0.537	நிறுத்து
badness	anger	0.536	கெட்டது
ridicule	anger	0.534	கிண்டல்
incendiary	anger	0.533	தீக்குளிக்கும்
flares	anger	0.532	எரிப்பு
twofaced	anger	0.531	இருமுகம்
reckless	anger	0.531	பொறுப்பற்ற
communism	anger	0.531	கம்யூனிசம்
allegation	anger	0.531	குற்றச்சாட்டு
prejudicial	anger	0.531	பாரபட்சமான
whip	anger	0.531	சவுக்கை
unbridled	anger	0.531	கட்டுக்கடங்காத
degeneracy	anger	0.531	சீரழிவு
intruder	anger	0.531	ஊடுருவி
belittle	anger	0.531	சிறியது
confinement	anger	0.531	சிறைவாசம்
dispute	anger	0.531	தகராறு
exacerbation	anger	0.531	தீவிரமடைதல்
uprising	anger	0.531	எழுச்சி
unjust	anger	0.530	நியாயமற்ற
unjustifiable	anger	0.530	நியாயப்படுத்த முடியாதது
perversion	anger	0.530	வக்கிரம்
