English Word	Emotion	Emotion-Intensity-Score	Mongolian Word
barbaric	anger	0.812	зэрлэг
vendetta	anger	0.812	өшөө авалт
pissesmeoff	anger	0.812	уурлахгүй байна
pissedoff	anger	0.812	уурлах
tyrant	anger	0.812	дарангуйлагч
berserk	anger	0.812	галзуу
fuming	anger	0.812	уурлах
anger	anger	0.811	уур хилэн
pieceofshit	anger	0.810	новш
punched	anger	0.803	цохьсон
punching	anger	0.803	цоолох
slam	anger	0.803	цохих
homicide	anger	0.803	аллага
bitch	anger	0.803	гичий
fights	anger	0.803	зодолддог
ruthless	anger	0.797	хэрцгий
villainous	anger	0.797	хорон санаатай
destructive	anger	0.797	хор хөнөөлтэй
slap	anger	0.791	алгадах
riot	anger	0.788	үймээн самуун
growthefuckup	anger	0.788	өсөлтийн новш
punishing	anger	0.788	шийтгэх
slaughterhouse	anger	0.788	нядалгааны газар
yelling	anger	0.788	хашгирах
diabolical	anger	0.788	диаболизм
destroyed	anger	0.788	устгасан
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	хариу арга хэмжээ авах
manslaughter	anger	0.783	хүний аминд хүрсэн
clash	anger	0.783	мөргөлдөөн
quarrel	anger	0.781	хэрүүл маргаан
bloody	anger	0.781	цуст
hellish	anger	0.781	тамын
sinister	anger	0.781	харгис
loath	anger	0.781	жигшил
detonation	anger	0.781	тэсэлгээ
accusing	anger	0.779	буруутгаж байна
fumin	anger	0.779	fumin
hateeee	anger	0.779	үзэн ядаж байна
treacherous	anger	0.779	урвасан
madder	anger	0.773	галзуу
horrific	anger	0.773	аймшигтай
revulsion	anger	0.773	дургүйцэл
retaliate	anger	0.773	хариу арга хэмжээ авах
scorn	anger	0.769	доромжлох
bomb	anger	0.766	бөмбөг
deplorable	anger	0.766	өрөвдмөөр
devastation	anger	0.765	сүйрэл
anarchist	anger	0.765	анархист
firestorm	anger	0.765	галт шуурга
resent	anger	0.765	дургүйцэх
contemptible	anger	0.764	жигшил
shittest	anger	0.760	хамгийн новш
rant	anger	0.758	хашгирах
cruel	anger	0.758	хэрцгий
deadly	anger	0.758	үхлийн аюултай
smash	anger	0.758	бутлах
soangry	anger	0.758	ууртай
outburst	anger	0.757	тэсрэлт
snarl	anger	0.754	хашгирах
profane	anger	0.750	бузар булай
revolting	anger	0.750	эсэргүүцсэн
aggravating	anger	0.750	хүндрүүлэх
horror	anger	0.750	аймшиг
despise	anger	0.750	жигших
offend	anger	0.750	гомдоох
stfu	anger	0.750	stfu
vulgarity	anger	0.750	бүдүүлэг байдал
crazed	anger	0.750	галзуурсан
douchebags	anger	0.750	новшнууд
growling	anger	0.750	архирах
dontmesswithme	anger	0.750	бүү messwithme
screaming	anger	0.742	хашгирч байна
threat	anger	0.742	аюул занал
erupt	anger	0.742	дэлбэрэх
horrible	anger	0.742	аймшигтай
molestation	anger	0.742	хүчирхийлэл
fuckedoff	anger	0.742	новш
violence	anger	0.742	хүчирхийлэл
bastards	anger	0.741	новшнууд
revenge	anger	0.738	өшөө авалт
menacing	anger	0.735	заналхийлсэн
crushing	anger	0.735	бутлах
damn	anger	0.735	Новш гэж
catastrophe	anger	0.735	сүйрэл
demon	anger	0.735	чөтгөр
argue	anger	0.734	маргах
persecute	anger	0.734	хавчдаг
deplore	anger	0.734	харамсах
flog	anger	0.734	ташуур
fedup	anger	0.734	залхсан
riotous	anger	0.734	үймээн самуунтай
vehement	anger	0.734	ширүүн
revolt	anger	0.734	бослого
warfare	anger	0.734	дайн
thrash	anger	0.734	цохих
altercation	anger	0.729	хэрүүл маргаан
warlike	anger	0.728	дайчин
shitday	anger	0.727	новшийн өдөр
mutiny	anger	0.727	бослого
castrate	anger	0.727	кастрит
sabotage	anger	0.727	хорлон сүйтгэх ажиллагаа
malevolent	anger	0.721	хорон санаатай
strike	anger	0.721	ажил хаях
disaster	anger	0.721	гамшиг
disastrous	anger	0.720	гамшигтай
bastarding	anger	0.719	новш
treachery	anger	0.719	урвалт
arseholes	anger	0.719	зэвсгийн нүх
horseshit	anger	0.719	новш
slay	anger	0.719	алах
disdain	anger	0.719	үл тоомсорлох
aggravates	anger	0.719	хүндрүүлдэг
brutal	anger	0.719	харгис
scorching	anger	0.719	шатамхай
devil	anger	0.719	чөтгөр
madden	anger	0.719	галзуу
spiteful	anger	0.719	харгис
scream	anger	0.719	хашгирах
choke	anger	0.719	амьсгал боогдох
vermin	anger	0.719	хортон шавьж
tumult	anger	0.719	үймээн самуун
criminal	anger	0.714	гэмт хэрэгтэн
mangle	anger	0.714	мангар
anarchism	anger	0.714	анархизм
mutilation	anger	0.714	зэрэмдэглэх
denunciation	anger	0.713	буруушаах
punch	anger	0.713	цоолтуур
virulence	anger	0.712	хоруу чанар
fatal	anger	0.712	үхлийн аюултай
hurting	anger	0.712	өвдөж байна
crucifixion	anger	0.712	цовдлолт
dontlikeyou	anger	0.712	чамд дургүй
blasphemous	anger	0.712	доромжилсон
holocaust	anger	0.712	Холокост
dumbasses	anger	0.712	тэнэгүүд
battled	anger	0.712	тулалдсан
deranged	anger	0.706	ухаан алдсан
irritated	anger	0.706	цочромтгой
atrocious	anger	0.706	харгис
evil	anger	0.706	хорон муу
aggravated	anger	0.703	хүндрүүлсэн
intimidation	anger	0.703	айлган сүрдүүлэх
dicks	anger	0.703	хойлог
assassin	anger	0.703	алуурчин
scolding	anger	0.703	загнаж байна
persecution	anger	0.703	хавчлага
slayer	anger	0.703	алуурчин
kidnap	anger	0.703	хулгайлах
aggression	anger	0.702	түрэмгийлэл
armed	anger	0.700	зэвсэглэсэн
battle	anger	0.697	тулаан
poison	anger	0.697	хор
snarling	anger	0.697	хашгирах
venom	anger	0.697	хор
disgruntled	anger	0.693	дургүйцсэн
resentment	anger	0.691	дургүйцэл
assailant	anger	0.691	халдагч
insidious	anger	0.691	зальтай
contemptuous	anger	0.690	жигшил
lynch	anger	0.690	Линч
temper	anger	0.688	ааштай
terrible	anger	0.688	аймшигтай
disparage	anger	0.688	доромжлох
lunatic	anger	0.688	галзуу
bully	anger	0.688	дээрэлхэх
mad	anger	0.688	галзуу
makesmemad	anger	0.688	болгов
infanticide	anger	0.688	нярайн аллага
domination	anger	0.688	ноёрхол
peeved	anger	0.688	уурлав
imprisonment	anger	0.688	шоронд хорих
curse	anger	0.688	хараал
volatility	anger	0.687	тогтворгүй байдал
eradication	anger	0.685	устгах
eradicate	anger	0.682	устгах
tantrum	anger	0.682	уурлах
scoundrel	anger	0.682	новш
devastate	anger	0.682	сүйрүүлэх
aggressively	anger	0.680	түрэмгий байдлаар
agitation	anger	0.680	үймээн самуун
dictatorship	anger	0.676	дарангуйлал
irritates	anger	0.676	цочроодог
profanity	anger	0.673	хараалын үг
shove	anger	0.672	түлхэх
nasty	anger	0.672	муухай
shot	anger	0.672	буудсан
cruelly	anger	0.672	хэрцгий
shoot	anger	0.672	буудах
condemnation	anger	0.672	зэмлэл
crushed	anger	0.672	буталсан
aggravation	anger	0.672	хүндрүүлэх
poisonous	anger	0.672	хортой
egregious	anger	0.672	аймшигтай
crime	anger	0.672	гэмт хэрэг
corrupting	anger	0.672	авилга
dastardly	anger	0.672	бүдүүлэг
contempt	anger	0.672	жигшил
harmful	anger	0.672	хортой
expletive	anger	0.672	доромжлол
wreak	anger	0.672	сүйрүүлэх
maniac	anger	0.670	маньяк
cutthroat	anger	0.667	захын хоолой
enemy	anger	0.667	дайсан
hit	anger	0.667	цохих
hateeveryone	anger	0.667	хүн бүрийг үзэн яддаг
eruption	anger	0.667	дэлбэрэлт
irritable	anger	0.667	цочромтгой
odious	anger	0.667	жигшүүртэй
shooting	anger	0.667	буудлага
shout	anger	0.667	хашгирах
aggressive	anger	0.667	түрэмгий
kick	anger	0.667	өшиглөх
combat	anger	0.667	тулаан
fight	anger	0.667	тулалдах
punished	anger	0.662	шийтгэгдсэн
yell	anger	0.661	хашгирах
ambush	anger	0.661	отолт
harass	anger	0.659	дарамтлах
malignant	anger	0.656	хорт хавдар
aggressor	anger	0.656	түрэмгийлэгч
gore	anger	0.656	гор
destruction	anger	0.656	сүйрэл
grudge	anger	0.656	өшөө хорсол
antichrist	anger	0.656	Христийн эсрэг
incense	anger	0.656	хүж
expel	anger	0.656	хөөх
cranky	anger	0.653	галзуу
slave	anger	0.652	боол
reprisal	anger	0.652	хэлмэгдүүлэлт
growl	anger	0.652	архирах
animosity	anger	0.652	дайсагнал
insurrection	anger	0.652	бослого
clashing	anger	0.652	мөргөлдөөн
denounce	anger	0.652	буруушаах
offended	anger	0.652	гомдсон
spank	anger	0.652	цохих
insulting	anger	0.652	доромжилсон
growls	anger	0.649	архирдаг
executioner	anger	0.644	цаазлагч
twat	anger	0.644	тэнэг
doomsday	anger	0.643	сүйрлийн өдөр
obscenity	anger	0.641	садар самуун явдал
accused	anger	0.641	яллагдагч
feud	anger	0.641	хэрүүл маргаан
daemon	anger	0.641	демон
havoc	anger	0.641	сүйрэл
shackle	anger	0.641	дөнгө
inexcusable	anger	0.641	уучлах аргагүй
indignant	anger	0.641	ууртай
grr	anger	0.641	грр
expulsion	anger	0.641	хөөх
bombard	anger	0.641	бөмбөгддөг
spat	anger	0.641	нулимсан
arson	anger	0.641	галдан шатаах
reprimand	anger	0.641	зэмлэх
somad	anger	0.637	сомад
frustrated	anger	0.636	бухимдсан
batter	anger	0.636	зуурсан гурил
kicking	anger	0.636	өшиглөх
anarchy	anger	0.636	анархи
spanking	anger	0.636	цохих
glaring	anger	0.636	гялалзсан
suicidal	anger	0.636	амиа хорлох
disgusting	anger	0.636	жигшүүртэй
wound	anger	0.636	шарх
hanging	anger	0.636	өлгөөтэй
poisoned	anger	0.636	хордсон
combatant	anger	0.636	байлдагч
wrecked	anger	0.633	сүйрсэн
inflict	anger	0.633	учруулах
grievous	anger	0.632	гашуун
prosecute	anger	0.630	яллах
agitated	anger	0.630	сэтгэл хөдөлсөн
cheat	anger	0.630	хуурах
swastika	anger	0.627	хас тэмдэг
injure	anger	0.625	гэмтэл учруулах
indict	anger	0.625	яллах
scourge	anger	0.625	гамшиг
provocation	anger	0.625	өдөөн хатгалга
suffocation	anger	0.625	амьсгал боогдох
strife	anger	0.625	хэрүүл маргаан
raid	anger	0.625	дайралт
enslaved	anger	0.625	боолчлогдсон
cursing	anger	0.625	хараал
defamatory	anger	0.625	гүтгэлэг
harassing	anger	0.625	дарамтлах
thundering	anger	0.625	аянга
betray	anger	0.625	урвах
arsehole	anger	0.624	арселийн нүх
theft	anger	0.621	хулгай
insane	anger	0.621	галзуу
retaliation	anger	0.621	хариу арга хэмжээ
irritate	anger	0.621	цочроох
deprivation	anger	0.621	гачигдал
fiend	anger	0.621	золбин
jerk	anger	0.621	новш
convict	anger	0.621	ялтан
cussed	anger	0.619	хараасан
turmoil	anger	0.618	үймээн самуун
smack	anger	0.615	цохих
retribution	anger	0.614	шийтгэл
rebellion	anger	0.609	бослого
oppressor	anger	0.609	дарангуйлагч
gang	anger	0.609	бүлэглэл
slavery	anger	0.609	боолчлол
intolerable	anger	0.609	тэвчихийн аргагүй
adverse	anger	0.609	сөрөг
injurious	anger	0.609	гэмтэлтэй
twats	anger	0.609	тэнэгүүд
collision	anger	0.609	Зөрчилдөөн
battery	anger	0.609	зай
bitterly	anger	0.609	гашуунаар
antagonism	anger	0.609	антагонизм
irritability	anger	0.609	цочромтгой байдал
disgraced	anger	0.608	гутамшигтай
diatribe	anger	0.606	diatribe
asshole	anger	0.606	новш
blast	anger	0.606	тэсрэлт
bombardment	anger	0.606	бөмбөгдөлт
irks	anger	0.606	уурлаж байна
ranting	anger	0.606	хашгирах
revolution	anger	0.606	хувьсгал
thug	anger	0.606	дээрэмчин
antagonistic	anger	0.606	антагонист
irritating	anger	0.606	цочромтгой
sickening	anger	0.606	өвдөж байна
discrimination	anger	0.606	ялгаварлан гадуурхах
frustrate	anger	0.604	бухимдах
insult	anger	0.603	доромжлох
hurtful	anger	0.603	гомдмоор
oppression	anger	0.603	дарангуйлал
manipulation	anger	0.603	заль мэх
tiredofit	anger	0.603	ядарсан
bigot	anger	0.603	том хүн
tension	anger	0.603	хурцадмал байдал
disgust	anger	0.602	зэвүүцэл
spite	anger	0.600	харамсах
intrusive	anger	0.598	интрузив
harshness	anger	0.597	хатуу ширүүн байдал
slur	anger	0.596	доромжлол
tempest	anger	0.594	шуурга
assail	anger	0.594	дайрах
bitterness	anger	0.594	хорсол
morbidity	anger	0.594	өвчлөл
casualty	anger	0.594	хохирогч
puncture	anger	0.594	цоолох
miserable	anger	0.594	өрөвдөлтэй
inferno	anger	0.594	там
invasion	anger	0.594	довтолгоо
storming	anger	0.594	шуурга
wretch	anger	0.594	хөөрхий
consternation	anger	0.592	гайхшрал
raving	anger	0.591	догшин
forcibly	anger	0.591	хүчээр
guillotine	anger	0.591	гильотин
guilty	anger	0.591	гэм буруутай
depraved	anger	0.591	завхарсан
immoral	anger	0.591	ёс суртахуунгүй
overpowering	anger	0.591	давж гарах
scare	anger	0.588	айлгах
recalcitrant	anger	0.588	эсэргүүцэгч
screwed	anger	0.588	боолттой
accursed	anger	0.588	хараагдсан
soannoyed	anger	0.588	уурласан
invader	anger	0.588	түрэмгийлэгч
jealousy	anger	0.587	атаархал
indignation	anger	0.587	уур хилэн
vexed	anger	0.586	бухимдсан
confront	anger	0.582	тулгарах
brute	anger	0.581	харгис
throttle	anger	0.579	тохируулагч
slut	anger	0.578	завхай
coup	anger	0.578	төрийн эргэлт
blaze	anger	0.578	гал
pillage	anger	0.578	дээрэм
provoking	anger	0.578	өдөөн хатгасан
damage	anger	0.578	хохирол
criminality	anger	0.578	гэмт хэрэг
shutup	anger	0.578	хаах
lash	anger	0.578	сормуус
conflict	anger	0.578	зөрчилдөөн
contentious	anger	0.578	маргаантай
shutit	anger	0.578	хааяа
wreck	anger	0.578	сүйрэл
defiant	anger	0.578	эсэргүүцэгч
butcher	anger	0.578	яргачин
incarceration	anger	0.578	хорих
revolver	anger	0.578	буу
bickering	anger	0.578	хэрүүл маргаан
yousuck	anger	0.578	чи муу
cancer	anger	0.577	хорт хавдар
discriminate	anger	0.576	ялгаварлан гадуурхах
gun	anger	0.576	буу
frustration	anger	0.576	бухимдал
gory	anger	0.576	Гори
pernicious	anger	0.576	хор хөнөөлтэй
dontmess	anger	0.576	бүү зов
blasphemy	anger	0.576	доромжлол
chaotic	anger	0.576	эмх замбараагүй
grope	anger	0.576	тэмтрэх
alienation	anger	0.576	харийнхан
disturbance	anger	0.576	үймээн самуун
condescension	anger	0.576	доромжлол
standoff	anger	0.576	зогсолт
discord	anger	0.576	зөрчилдөөн
friggen	anger	0.575	friggen
sneer	anger	0.574	шоолох
death	anger	0.574	үхэл
lunacy	anger	0.574	галзуурал
scandalous	anger	0.574	дуулиантай
oppressive	anger	0.574	дарангуйлагч
jab	anger	0.574	jab
cursed	anger	0.574	хараал идсэн
monstrosity	anger	0.574	аймшигт байдал
shit	anger	0.573	новш
disparaging	anger	0.571	доромжлох
slash	anger	0.571	налуу зураас
unfair	anger	0.571	шударга бус
gallows	anger	0.570	дүүжлүүр
escalate	anger	0.569	даамжрах
intolerant	anger	0.564	үл тэвчих
lawlessness	anger	0.563	хууль бус байдал
beast	anger	0.562	араатан
torpedo	anger	0.562	торпедо
malign	anger	0.562	хортой
traitor	anger	0.562	урвагч
frightful	anger	0.562	аймаар
wrangling	anger	0.562	хэрүүл маргаан
slander	anger	0.562	гүтгэлэг
bellows	anger	0.562	хөөрөг
retards	anger	0.562	хоцрогдол
grouchy	anger	0.562	зэвүүн
derogatory	anger	0.562	доромжилсон
bearish	anger	0.562	буурай
invade	anger	0.562	довтлох
perdition	anger	0.562	мөхөл
arghh	anger	0.562	ахх
dreadful	anger	0.562	аймшигтай
bluddy	anger	0.562	бүдэг
deceived	anger	0.562	хууртагдсан
glare	anger	0.562	хурц гэрэл
taunt	anger	0.562	дооглох
dissension	anger	0.561	санал зөрөлдөөн
cross	anger	0.561	хөндлөн
rave	anger	0.561	магтсан
grating	anger	0.561	сараалжтай
devastating	anger	0.561	сүйрүүлэх
fits	anger	0.561	таарч байна
jeopardize	anger	0.561	аюулд оруулах
shatter	anger	0.561	бутлах
idiots	anger	0.561	тэнэгүүд
hurt	anger	0.561	өвдсөн
thief	anger	0.561	хулгайч
uncontrollable	anger	0.561	хяналтгүй
conflagration	anger	0.561	гал түймэр
betrayal	anger	0.561	урвалт
banshee	anger	0.561	банши
subjugation	anger	0.559	захирагдах
disturbed	anger	0.559	саад болсон
stomped	anger	0.557	дэвсэв
grab	anger	0.557	шүүрэх
grievance	anger	0.556	гомдол
ticked	anger	0.556	тэмдэглэсэн
masochism	anger	0.556	мазохизм
defiance	anger	0.552	эсэргүүцэх
blackmail	anger	0.550	шантааж
offensive	anger	0.549	доромжилсон
decry	anger	0.548	шоолох
frustrates	anger	0.547	бухимддаг
violation	anger	0.547	зөрчил
confine	anger	0.547	хязгаарлах
misery	anger	0.547	зовлон
arghhhh	anger	0.547	ахххх
disparity	anger	0.547	тэгш бус байдал
punishment	anger	0.547	шийтгэл
rebel	anger	0.547	босогч
preposterous	anger	0.547	тэнэг
disgraceful	anger	0.547	гутамшигтай
ire	anger	0.547	уурлах
deceive	anger	0.547	хуурах
fustrated	anger	0.547	бухимдсан
sin	anger	0.547	нүгэл
shrill	anger	0.547	хашгирах
darkside	anger	0.547	муу тал
overbearing	anger	0.547	хэт даварсан
firearms	anger	0.547	галт зэвсэг
stolen	anger	0.546	хулгайлагдсан
hadenough	anger	0.546	хангалттай байсан
prejudice	anger	0.545	өрөөсгөл ойлголт
tackle	anger	0.545	тэмцэх
resentful	anger	0.545	дургүйцсэн
heated	anger	0.545	халсан
callous	anger	0.545	ааштай
conspirator	anger	0.545	хуйвалдаан
ruined	anger	0.545	сүйрсэн
antagonist	anger	0.545	антагонист
skirmish	anger	0.545	мөргөлдөөн
menace	anger	0.545	аюул заналхийлэл
annoyin	anger	0.545	ядаргаатай
foul	anger	0.545	бүдүүлэг
argument	anger	0.545	маргаан
humiliate	anger	0.545	доромжлох
wanker	anger	0.545	гоншигч
adversary	anger	0.545	дайсан
sting	anger	0.544	хатгах
entangled	anger	0.544	орооцолдсон
grumble	anger	0.544	гомдоллох
robbery	anger	0.544	дээрэм
outcry	anger	0.544	хашгирах
resistance	anger	0.543	эсэргүүцэл
irreconcilable	anger	0.543	эвлэршгүй
obstructive	anger	0.542	саадтай
dismay	anger	0.540	айдас
mob	anger	0.538	танхайрагч
juststop	anger	0.537	зүгээр л зогсоо
badness	anger	0.536	муу муухай
ridicule	anger	0.534	шоолох
incendiary	anger	0.533	шатаах
flares	anger	0.532	бамбар
twofaced	anger	0.531	хоёр нүүртэй
reckless	anger	0.531	болгоомжгүй
communism	anger	0.531	коммунизм
allegation	anger	0.531	гомдол
prejudicial	anger	0.531	өрөөсгөл
whip	anger	0.531	ташуур
unbridled	anger	0.531	хазааргүй
degeneracy	anger	0.531	доройтол
intruder	anger	0.531	халдагч
belittle	anger	0.531	доромжлох
confinement	anger	0.531	хорих
dispute	anger	0.531	маргаан
exacerbation	anger	0.531	хурцадмал байдал
uprising	anger	0.531	бослого
unjust	anger	0.530	шударга бус
unjustifiable	anger	0.530	үндэслэлгүй
perversion	anger	0.530	гажуудал
bigoted	anger	0.530	мухардмал
fiesty	anger	0.530	ширүүн
offender	anger	0.530	гэмт хэрэгтэн
dictatorial	anger	0.530	дарангуйлагч
hassle	anger	0.530	төвөг
dissonance	anger	0.530	диссонанс
tackled	anger	0.530	тэмцсэн
renegade	anger	0.529	урвагч
cantstandit	anger	0.529	тэсэхгүй
trespass	anger	0.529	зөрчих
hot	anger	0.529	халуун
prison	anger	0.529	шорон
suicide	anger	0.521	амиа хорлох
annoy	anger	0.520	залхаах
leavemealone	anger	0.517	ганцаараа үлдээ
cretins	anger	0.516	кретин
depravity	anger	0.516	завхрал
idiotic	anger	0.516	тэнэг
dishonest	anger	0.516	шударга бус
distrust	anger	0.516	үл итгэх
broil	anger	0.516	хуурах
grrr	anger	0.516	гррр
criticize	anger	0.516	шүүмжлэх
inimical	anger	0.516	дайсагнасан
tortious	anger	0.516	зовлонтой
prisoner	anger	0.516	хоригдол
treason	anger	0.516	урвасан
divorce	anger	0.516	салалт
venting	anger	0.516	агааржуулалт
duress	anger	0.516	шахалт
disrespectful	anger	0.516	үл хүндэтгэсэн
poaching	anger	0.515	хулгайн ан
scold	anger	0.515	загнах
poachers	anger	0.515	хулгайн анчид
pow	anger	0.515	хүч
hangry	anger	0.515	өлссөн
argumentation	anger	0.515	маргаан
frustrating	anger	0.515	урам хугарах
unkind	anger	0.515	эелдэг бус
roar	anger	0.515	архирах
coercion	anger	0.515	албадлага
unforgiving	anger	0.515	өршөөлгүй
grump	anger	0.515	зэвүүн
bile	anger	0.515	цөс
unleash	anger	0.515	суллах
chaos	anger	0.515	эмх замбараагүй байдал
victimized	anger	0.515	хохирогч болсон
jerks	anger	0.515	новш
tussle	anger	0.514	хэрүүл маргаан
bane	anger	0.511	муу
accusation	anger	0.510	буруутгах
enmity	anger	0.510	дайсагнал
repudiation	anger	0.510	няцаалт
banish	anger	0.509	хөөх
disfigured	anger	0.508	гажигтай
storm	anger	0.507	шуурга
crazy	anger	0.500	галзуу
hammering	anger	0.500	цохих
defy	anger	0.500	эсэргүүцэх
antithesis	anger	0.500	эсрэг үзэл
scoff	anger	0.500	шоолох
anguish	anger	0.500	шаналал
confined	anger	0.500	хязгаарлагдсан
fear	anger	0.500	айдас
bout	anger	0.500	тулаан
unruly	anger	0.500	сахилгагүй
delusional	anger	0.500	хуурмаг
obstruct	anger	0.500	саад хийх
possessed	anger	0.500	эзэмшсэн
injustice	anger	0.500	шударга бус байдал
fervor	anger	0.500	урам зориг
spear	anger	0.500	жад
derision	anger	0.500	доог тохуу
intractable	anger	0.500	тэвчихийн аргагүй
reject	anger	0.500	татгалзах
dominate	anger	0.500	давамгайлах
ordeal	anger	0.500	сорилт
banished	anger	0.500	хөөгдсөн
rejects	anger	0.500	татгалздаг
shun	anger	0.500	зайлсхий
brunt	anger	0.500	хүнд хэцүү
derogation	anger	0.500	хасах
frenzied	anger	0.500	галзуурсан
animus	anger	0.500	дайсагнал
suppression	anger	0.500	дарангуйлал
malpractice	anger	0.500	буруу үйлдэл
brazen	anger	0.500	бүдүүлэг
foaming	anger	0.500	хөөсөрч байна
disrupting	anger	0.500	саад учруулж байна
nobodycares	anger	0.500	хэнд ч хамаагүй
patronising	anger	0.500	ивээн тэтгэх
getoveryourself	anger	0.495	өөрийгөө ав
toughness	anger	0.492	хатуулаг
stupidpeople	anger	0.492	тэнэг хүмүүс
madness	anger	0.491	галзуурал
sinful	anger	0.491	нүгэлт
avarice	anger	0.490	шунал
oppress	anger	0.490	дарамтлах
cutting	anger	0.485	огтлох
anathema	anger	0.485	анатема
annoyed	anger	0.485	бухимдсан
dissident	anger	0.485	эсэргүүцэгч
demand	anger	0.485	эрэлт хэрэгцээ
usurp	anger	0.485	хууль бусаар авах
claw	anger	0.485	хумс
alienate	anger	0.485	холдуулах
infraction	anger	0.485	зөрчил
avenger	anger	0.485	өшөө авагч
revoke	anger	0.485	хүчингүй болгох
smuggler	anger	0.485	хууль бус наймаачин
