English Word	Emotion	Emotion-Intensity-Score	Danish Word
hostility	anger	0.859	fjendtlighed
assault	anger	0.859	angreb
explode	anger	0.859	eksplodere
tirade	anger	0.859	tirade
loathsome	anger	0.857	afskyeligt
hell	anger	0.853	helvede
murderous	anger	0.853	morderisk
attack	anger	0.853	angreb
malice	anger	0.852	ondskab
terrorism	anger	0.851	terrorisme
beating	anger	0.849	prygl
outrage	anger	0.848	skandale
desecration	anger	0.848	vanhelligelse
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ødelæggende
slaughter	anger	0.844	slagte
irate	anger	0.844	rasende
violent	anger	0.844	voldsom
stab	anger	0.844	dolke
abomination	anger	0.844	vederstyggelighed
tumultuous	anger	0.844	tumultarisk
infuriate	anger	0.844	forarge
obliterate	anger	0.843	udslette
belligerent	anger	0.841	krigsførende
dumbbitch	anger	0.841	dum
detest	anger	0.838	afsky
hostilities	anger	0.837	fjendtligheder
prick	anger	0.835	prikke
rampage	anger	0.833	amokløb
horrid	anger	0.833	rædselsfuldt
cruelty	anger	0.833	grusomhed
torture	anger	0.833	tortur
rabid	anger	0.833	rabiat
despicable	anger	0.828	foragtelig
tyrannical	anger	0.828	tyrannisk
demonic	anger	0.828	dæmonisk
satanic	anger	0.828	satanisk
hate	anger	0.828	had
ragemode	anger	0.828	ragemode
hating	anger	0.828	hader
ruinous	anger	0.825	ruinerende
condemn	anger	0.825	fordømme
riots	anger	0.824	optøjer
demolish	anger	0.824	nedrive
angry	anger	0.824	vred
extermination	anger	0.824	udryddelse
dickhead	anger	0.824	pikhoved
livid	anger	0.821	rasende
madman	anger	0.820	galning
vindictive	anger	0.819	hævngerrig
terrorist	anger	0.818	terrorist
threaten	anger	0.818	true
venomous	anger	0.818	giftigt
hateyou	anger	0.818	hader dig
ferocity	anger	0.818	vildskab
effyou	anger	0.818	effy dig
abhor	anger	0.816	afsky
carnage	anger	0.814	blodbad
savage	anger	0.814	brutal
atrocity	anger	0.814	grusomhed
fucksake	anger	0.812	for fanden
abuse	anger	0.812	misbrug
fierce	anger	0.812	voldsom
destroyer	anger	0.812	destroyer
angrytweet	anger	0.812	vredtweet
barbaric	anger	0.812	barbarisk
vendetta	anger	0.812	hævn
pissesmeoff	anger	0.812	pisser mig af
pissedoff	anger	0.812	sur
tyrant	anger	0.812	tyrann
berserk	anger	0.812	bersærk
fuming	anger	0.812	rygende
anger	anger	0.811	vrede
pieceofshit	anger	0.810	lort
punched	anger	0.803	slået
punching	anger	0.803	stansning
slam	anger	0.803	smække
homicide	anger	0.803	drab
bitch	anger	0.803	tæve
fights	anger	0.803	kampe
ruthless	anger	0.797	ubarmhjertig
villainous	anger	0.797	skurkagtig
destructive	anger	0.797	Destruktiv
slap	anger	0.791	smække
riot	anger	0.788	optøjer
growthefuckup	anger	0.788	vækstfuckup
punishing	anger	0.788	straffe
slaughterhouse	anger	0.788	slagteri
yelling	anger	0.788	råber
diabolical	anger	0.788	djævelsk
destroyed	anger	0.788	ødelagt
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	gengældelse
manslaughter	anger	0.783	manddrab
clash	anger	0.783	sammenstød
quarrel	anger	0.781	skændes
bloody	anger	0.781	blodig
hellish	anger	0.781	helvedes
sinister	anger	0.781	uhyggelig
loath	anger	0.781	afsky
detonation	anger	0.781	detonation
accusing	anger	0.779	anklagende
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	forræderisk
madder	anger	0.773	galere
horrific	anger	0.773	forfærdelige
revulsion	anger	0.773	afsky
retaliate	anger	0.773	gengælde
scorn	anger	0.769	hån
bomb	anger	0.766	bombe
deplorable	anger	0.766	beklageligt
devastation	anger	0.765	ødelæggelse
anarchist	anger	0.765	anarkist
firestorm	anger	0.765	ildstorm
resent	anger	0.765	harmes over
contemptible	anger	0.764	foragtelig
shittest	anger	0.760	lorteste
rant	anger	0.758	rant
cruel	anger	0.758	grusom
deadly	anger	0.758	dødelig
smash	anger	0.758	smadre
soangry	anger	0.758	så vred
outburst	anger	0.757	udbrud
snarl	anger	0.754	snerre
profane	anger	0.750	profan
revolting	anger	0.750	oprørende
aggravating	anger	0.750	forværret
horror	anger	0.750	rædsel
despise	anger	0.750	foragte
offend	anger	0.750	fornærme
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaritet
crazed	anger	0.750	skøre
douchebags	anger	0.750	tøser
growling	anger	0.750	knurrende
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	skrigende
threat	anger	0.742	trussel
erupt	anger	0.742	bryde ud
horrible	anger	0.742	forfærdelig
molestation	anger	0.742	overgreb
fuckedoff	anger	0.742	forbandet
violence	anger	0.742	vold
bastards	anger	0.741	bastards
revenge	anger	0.738	hævn
menacing	anger	0.735	truende
crushing	anger	0.735	knusende
damn	anger	0.735	for pokker
catastrophe	anger	0.735	katastrofe
demon	anger	0.735	dæmon
argue	anger	0.734	argumentere
persecute	anger	0.734	forfølge
deplore	anger	0.734	beklager
flog	anger	0.734	piske
fedup	anger	0.734	træt af
riotous	anger	0.734	uroligt
vehement	anger	0.734	heftig
revolt	anger	0.734	opstand
warfare	anger	0.734	krigsførelse
thrash	anger	0.734	thrash
altercation	anger	0.729	skænderi
warlike	anger	0.728	krigerisk
shitday	anger	0.727	lortedag
mutiny	anger	0.727	mytteri
castrate	anger	0.727	kastrere
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	ondsindet
strike	anger	0.721	strejke
disaster	anger	0.721	katastrofe
disastrous	anger	0.720	katastrofal
bastarding	anger	0.719	bastard
treachery	anger	0.719	forræderi
arseholes	anger	0.719	røvhuller
horseshit	anger	0.719	hestelort
slay	anger	0.719	dræbe
disdain	anger	0.719	Foragt
aggravates	anger	0.719	forværrer
brutal	anger	0.719	brutal
scorching	anger	0.719	brændende
devil	anger	0.719	djævel
madden	anger	0.719	gal
spiteful	anger	0.719	ondsindet
scream	anger	0.719	skrige
choke	anger	0.719	kvæle
vermin	anger	0.719	skadedyr
tumult	anger	0.719	tumult
criminal	anger	0.714	kriminel
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkisme
mutilation	anger	0.714	lemlæstelse
denunciation	anger	0.713	opsigelse
punch	anger	0.713	slag
virulence	anger	0.712	virulens
fatal	anger	0.712	fatal
hurting	anger	0.712	gør ondt
crucifixion	anger	0.712	korsfæstelse
dontlikeyou	anger	0.712	kan ikke lide dig
blasphemous	anger	0.712	blasfemisk
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	kæmpede
deranged	anger	0.706	sindsforvirret
irritated	anger	0.706	irriteret
atrocious	anger	0.706	grusom
evil	anger	0.706	ond
aggravated	anger	0.703	forværret
intimidation	anger	0.703	intimidering
dicks	anger	0.703	pikke
assassin	anger	0.703	snigmorder
scolding	anger	0.703	skæld ud
persecution	anger	0.703	forfølgelse
slayer	anger	0.703	dræber
kidnap	anger	0.703	kidnappe
aggression	anger	0.702	aggression
armed	anger	0.700	bevæbnet
battle	anger	0.697	kamp
poison	anger	0.697	gift
snarling	anger	0.697	snerrende
venom	anger	0.697	gift
disgruntled	anger	0.693	utilfredse
resentment	anger	0.691	vrede
assailant	anger	0.691	overfaldsmand
insidious	anger	0.691	lumsk
contemptuous	anger	0.690	foragtende
lynch	anger	0.690	lynch
temper	anger	0.688	temperament
terrible	anger	0.688	forfærdeligt
disparage	anger	0.688	nedsættende
lunatic	anger	0.688	sindssyg
bully	anger	0.688	Bølle
mad	anger	0.688	gal
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	barnemord
domination	anger	0.688	dominans
peeved	anger	0.688	ærgerlig
imprisonment	anger	0.688	fængsling
curse	anger	0.688	forbande
volatility	anger	0.687	volatilitet
eradication	anger	0.685	udryddelse
eradicate	anger	0.682	udrydde
tantrum	anger	0.682	raserianfald
scoundrel	anger	0.682	slyngel
devastate	anger	0.682	ødelægge
aggressively	anger	0.680	aggressivt
agitation	anger	0.680	agitation
dictatorship	anger	0.676	diktatur
irritates	anger	0.676	irriterer
profanity	anger	0.673	bandeord
shove	anger	0.672	puffe
nasty	anger	0.672	grim
shot	anger	0.672	skud
cruelly	anger	0.672	grusomt
shoot	anger	0.672	skyde
condemnation	anger	0.672	fordømmelse
crushed	anger	0.672	knust
aggravation	anger	0.672	forværring
poisonous	anger	0.672	giftig
egregious	anger	0.672	uhyggelig
crime	anger	0.672	forbrydelse
corrupting	anger	0.672	korrumperer
dastardly	anger	0.672	uhyggeligt
contempt	anger	0.672	foragt
harmful	anger	0.672	skadelig
expletive	anger	0.672	eksplosiv
wreak	anger	0.672	anrette
maniac	anger	0.670	sindsyg
cutthroat	anger	0.667	møghals
enemy	anger	0.667	fjende
hit	anger	0.667	hit
hateeveryone	anger	0.667	hader alle
eruption	anger	0.667	udbrud
irritable	anger	0.667	irritabel
odious	anger	0.667	odiøs
shooting	anger	0.667	skydning
shout	anger	0.667	råbe
aggressive	anger	0.667	aggressiv
kick	anger	0.667	sparke
combat	anger	0.667	bekæmpe
fight	anger	0.667	kæmpe
punished	anger	0.662	straffet
yell	anger	0.661	råbe
ambush	anger	0.661	baghold
harass	anger	0.659	plage
malignant	anger	0.656	ondartet
aggressor	anger	0.656	aggressor
gore	anger	0.656	gore
destruction	anger	0.656	ødelæggelse
grudge	anger	0.656	nag
antichrist	anger	0.656	antikrist
incense	anger	0.656	røgelse
expel	anger	0.656	bortvise
cranky	anger	0.653	sur
slave	anger	0.652	slave
reprisal	anger	0.652	repressalier
growl	anger	0.652	knurre
animosity	anger	0.652	fjendskab
insurrection	anger	0.652	opstand
clashing	anger	0.652	sammenstød
denounce	anger	0.652	opsige
offended	anger	0.652	fornærmet
spank	anger	0.652	spank
insulting	anger	0.652	fornærmende
growls	anger	0.649	knurrer
executioner	anger	0.644	bøddel
twat	anger	0.644	tøs
doomsday	anger	0.643	dommedag
obscenity	anger	0.641	obskønitet
accused	anger	0.641	anklagede
feud	anger	0.641	fejde
daemon	anger	0.641	dæmon
havoc	anger	0.641	ødelæggelse
shackle	anger	0.641	lænke
inexcusable	anger	0.641	utilgiveligt
indignant	anger	0.641	indigneret
grr	anger	0.641	grr
expulsion	anger	0.641	udvisning
bombard	anger	0.641	bombardere
spat	anger	0.641	spyttet
arson	anger	0.641	brandstiftelse
reprimand	anger	0.641	irettesættelse
somad	anger	0.637	så vred
frustrated	anger	0.636	frustreret
batter	anger	0.636	dej
kicking	anger	0.636	sparker
anarchy	anger	0.636	anarki
spanking	anger	0.636	tæsk
glaring	anger	0.636	grelt
suicidal	anger	0.636	selvmorderisk
disgusting	anger	0.636	ulækkert
wound	anger	0.636	sår
hanging	anger	0.636	hængende
poisoned	anger	0.636	forgiftet
combatant	anger	0.636	kombattant
wrecked	anger	0.633	ødelagt
inflict	anger	0.633	påføre
grievous	anger	0.632	sørgelig
prosecute	anger	0.630	rejse tiltale
agitated	anger	0.630	ophidset
cheat	anger	0.630	snyde
swastika	anger	0.627	hagekors
injure	anger	0.625	beskadige
indict	anger	0.625	anklage
scourge	anger	0.625	plage
provocation	anger	0.625	provokation
suffocation	anger	0.625	kvælning
strife	anger	0.625	stridigheder
raid	anger	0.625	raid
enslaved	anger	0.625	slavegjort
cursing	anger	0.625	forbandelse
defamatory	anger	0.625	ærekrænkende
harassing	anger	0.625	chikanerende
thundering	anger	0.625	tordnende
betray	anger	0.625	forråde
arsehole	anger	0.624	røvhul
theft	anger	0.621	tyveri
insane	anger	0.621	sindssyg
retaliation	anger	0.621	repressalier
irritate	anger	0.621	irritere
deprivation	anger	0.621	afsavn
fiend	anger	0.621	djævel
jerk	anger	0.621	fjols
convict	anger	0.621	straffefange
cussed	anger	0.619	forbandet
turmoil	anger	0.618	oprør
smack	anger	0.615	smæk
retribution	anger	0.614	gengældelse
rebellion	anger	0.609	oprør
oppressor	anger	0.609	undertrykker
gang	anger	0.609	bande
slavery	anger	0.609	slaveri
intolerable	anger	0.609	utålelig
adverse	anger	0.609	ugunstig
injurious	anger	0.609	skadelig
twats	anger	0.609	tøser
collision	anger	0.609	kollision
battery	anger	0.609	batteri
bitterly	anger	0.609	bittert
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	irritabilitet
disgraced	anger	0.608	vanæret
diatribe	anger	0.606	diatribe
asshole	anger	0.606	røvhul
blast	anger	0.606	sprænge
bombardment	anger	0.606	bombardement
irks	anger	0.606	irks
ranting	anger	0.606	skrålende
revolution	anger	0.606	revolution
thug	anger	0.606	bandit
antagonistic	anger	0.606	antagonistisk
irritating	anger	0.606	irriterende
sickening	anger	0.606	kvalmende
discrimination	anger	0.606	forskelsbehandling
frustrate	anger	0.604	frustrere
insult	anger	0.603	fornærme
hurtful	anger	0.603	sårende
oppression	anger	0.603	undertrykkelse
manipulation	anger	0.603	manipulation
tiredofit	anger	0.603	trættefit
bigot	anger	0.603	bigot
tension	anger	0.603	spænding
disgust	anger	0.602	afsky
spite	anger	0.600	trods
intrusive	anger	0.598	påtrængende
harshness	anger	0.597	hårdhed
slur	anger	0.596	slumre
tempest	anger	0.594	storm
assail	anger	0.594	angribe
bitterness	anger	0.594	bitterhed
morbidity	anger	0.594	sygelighed
casualty	anger	0.594	tilskadekomne
puncture	anger	0.594	punktering
miserable	anger	0.594	elendig
inferno	anger	0.594	helvede
invasion	anger	0.594	invasion
storming	anger	0.594	stormende
wretch	anger	0.594	stakkel
consternation	anger	0.592	bestyrtelse
raving	anger	0.591	rablende
forcibly	anger	0.591	med magt
guillotine	anger	0.591	guillotine
guilty	anger	0.591	skyldig
depraved	anger	0.591	fordærvet
immoral	anger	0.591	umoralsk
overpowering	anger	0.591	overvældende
scare	anger	0.588	skræmme
recalcitrant	anger	0.588	genstridig
screwed	anger	0.588	skruet
accursed	anger	0.588	forbandet
soannoyed	anger	0.588	irriteret
invader	anger	0.588	angriber
jealousy	anger	0.587	misundelse
indignation	anger	0.587	indignation
vexed	anger	0.586	irriteret
confront	anger	0.582	konfrontere
brute	anger	0.581	brute
throttle	anger	0.579	gashåndtag
slut	anger	0.578	tøs
coup	anger	0.578	kup
blaze	anger	0.578	flamme
pillage	anger	0.578	plyndring
provoking	anger	0.578	provokerende
damage	anger	0.578	skade
criminality	anger	0.578	kriminalitet
shutup	anger	0.578	hold kæft
lash	anger	0.578	vippe
conflict	anger	0.578	konflikt
contentious	anger	0.578	omstridte
shutit	anger	0.578	Luk
wreck	anger	0.578	vrag
defiant	anger	0.578	trodsig
butcher	anger	0.578	slagter
incarceration	anger	0.578	fængsling
revolver	anger	0.578	revolver
bickering	anger	0.578	skænderier
yousuck	anger	0.578	du stinker
cancer	anger	0.577	Kræft
discriminate	anger	0.576	diskriminere
gun	anger	0.576	pistol
frustration	anger	0.576	frustration
gory	anger	0.576	blodig
pernicious	anger	0.576	ødelæggende
dontmess	anger	0.576	ikke rod
blasphemy	anger	0.576	blasfemi
chaotic	anger	0.576	kaotisk
grope	anger	0.576	Befamle
alienation	anger	0.576	fremmedgørelse
disturbance	anger	0.576	forstyrrelse
condescension	anger	0.576	nedladenhed
standoff	anger	0.576	standoff
discord	anger	0.576	uenighed
friggen	anger	0.575	friggen
sneer	anger	0.574	hån
death	anger	0.574	død
lunacy	anger	0.574	galskab
scandalous	anger	0.574	skandaløst
oppressive	anger	0.574	undertrykkende
jab	anger	0.574	jab
cursed	anger	0.574	forbandet
monstrosity	anger	0.574	monstrøsitet
shit	anger	0.573	lort
disparaging	anger	0.571	nedsættende
slash	anger	0.571	skråstreg
unfair	anger	0.571	urimelig
gallows	anger	0.570	galger
escalate	anger	0.569	eskalere
intolerant	anger	0.564	intolerant
lawlessness	anger	0.563	lovløshed
beast	anger	0.562	dyr
torpedo	anger	0.562	torpedo
malign	anger	0.562	ondartet
traitor	anger	0.562	forræder
frightful	anger	0.562	skræmmende
wrangling	anger	0.562	skænderier
slander	anger	0.562	bagvaskelse
bellows	anger	0.562	bælg
retards	anger	0.562	retarder
grouchy	anger	0.562	sur
derogatory	anger	0.562	nedsættende
bearish	anger	0.562	bearish
invade	anger	0.562	invadere
perdition	anger	0.562	fortabelse
arghh	anger	0.562	arghh
dreadful	anger	0.562	forfærdelig
bluddy	anger	0.562	klodset
deceived	anger	0.562	bedraget
glare	anger	0.562	blænding
taunt	anger	0.562	håne
dissension	anger	0.561	uenighed
cross	anger	0.561	kryds
rave	anger	0.561	rave
grating	anger	0.561	rist
devastating	anger	0.561	ødelæggende
fits	anger	0.561	passer
jeopardize	anger	0.561	bringe i fare
shatter	anger	0.561	splintre
idiots	anger	0.561	idioter
hurt	anger	0.561	gøre ondt
thief	anger	0.561	tyv
uncontrollable	anger	0.561	ustyrlig
conflagration	anger	0.561	brand
betrayal	anger	0.561	forræderi
banshee	anger	0.561	banshee
subjugation	anger	0.559	underkastelse
disturbed	anger	0.559	forstyrret
stomped	anger	0.557	trampede
grab	anger	0.557	tag fat
grievance	anger	0.556	klage
ticked	anger	0.556	afkrydset
masochism	anger	0.556	masochisme
defiance	anger	0.552	trodsighed
blackmail	anger	0.550	afpresse
offensive	anger	0.549	offensiv
decry	anger	0.548	fordømme
frustrates	anger	0.547	frustrerer
violation	anger	0.547	krænkelse
confine	anger	0.547	begrænse
misery	anger	0.547	elendighed
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ulighed
punishment	anger	0.547	straf
rebel	anger	0.547	Rebel
preposterous	anger	0.547	absurd
disgraceful	anger	0.547	vanærende
ire	anger	0.547	ire
deceive	anger	0.547	bedrage
fustrated	anger	0.547	fustreret
sin	anger	0.547	synd
shrill	anger	0.547	skinger
darkside	anger	0.547	mørk side
overbearing	anger	0.547	anmassende
firearms	anger	0.547	skydevåben
stolen	anger	0.546	stjålet
hadenough	anger	0.546	havde nok
prejudice	anger	0.545	fordomme
tackle	anger	0.545	tackle
resentful	anger	0.545	krænket
heated	anger	0.545	opvarmet
callous	anger	0.545	hårdfør
conspirator	anger	0.545	konspirator
ruined	anger	0.545	ødelagt
antagonist	anger	0.545	modstander
skirmish	anger	0.545	træfning
menace	anger	0.545	trussel
annoyin	anger	0.545	irritere
foul	anger	0.545	fejl
argument	anger	0.545	argument
humiliate	anger	0.545	ydmyge
wanker	anger	0.545	wanker
adversary	anger	0.545	modstander
sting	anger	0.544	stik
entangled	anger	0.544	viklet ind
grumble	anger	0.544	brokke sig
robbery	anger	0.544	røveri
outcry	anger	0.544	ramaskrig
resistance	anger	0.543	modstand
irreconcilable	anger	0.543	uforenelige
obstructive	anger	0.542	obstruktiv
dismay	anger	0.540	forfærdelse
mob	anger	0.538	pøbel
juststop	anger	0.537	bare stop
badness	anger	0.536	ondskab
ridicule	anger	0.534	latterliggøre
incendiary	anger	0.533	brandstiftende
flares	anger	0.532	blusser
twofaced	anger	0.531	tosidet
reckless	anger	0.531	hensynsløs
communism	anger	0.531	kommunisme
allegation	anger	0.531	påstand
prejudicial	anger	0.531	fordomsfuldt
whip	anger	0.531	pisk
unbridled	anger	0.531	uhæmmet
degeneracy	anger	0.531	degeneration
intruder	anger	0.531	ubuden gæst
belittle	anger	0.531	forklejne
confinement	anger	0.531	indespærring
dispute	anger	0.531	bestride
exacerbation	anger	0.531	eksacerbation
uprising	anger	0.531	opstand
unjust	anger	0.530	uretfærdig
unjustifiable	anger	0.530	uberettiget
perversion	anger	0.530	perversion
bigoted	anger	0.530	storslået
fiesty	anger	0.530	festlig
offender	anger	0.530	gerningsmand
dictatorial	anger	0.530	diktatorisk
hassle	anger	0.530	besvær
dissonance	anger	0.530	dissonans
tackled	anger	0.530	tacklet
renegade	anger	0.529	frafalden
cantstandit	anger	0.529	kan ikke tåle
trespass	anger	0.529	overtrædelse
hot	anger	0.529	hed
prison	anger	0.529	fængsel
suicide	anger	0.521	selvmord
annoy	anger	0.520	irritere
leavemealone	anger	0.517	Lad mig være i fred
cretins	anger	0.516	cretins
depravity	anger	0.516	fordærv
idiotic	anger	0.516	idiotisk
dishonest	anger	0.516	uærlig
distrust	anger	0.516	mistillid
broil	anger	0.516	stege
grrr	anger	0.516	grrr
criticize	anger	0.516	kritisere
inimical	anger	0.516	fjendtlig
tortious	anger	0.516	skadevoldende
prisoner	anger	0.516	fange
treason	anger	0.516	forræderi
divorce	anger	0.516	skilsmisse
venting	anger	0.516	udluftning
duress	anger	0.516	tvang
disrespectful	anger	0.516	respektløst
poaching	anger	0.515	krybskytteri
scold	anger	0.515	skælde ud
poachers	anger	0.515	krybskytter
pow	anger	0.515	pow
hangry	anger	0.515	hængende
argumentation	anger	0.515	argumentation
frustrating	anger	0.515	frustrerende
unkind	anger	0.515	uvenlig
roar	anger	0.515	brøl
coercion	anger	0.515	tvang
unforgiving	anger	0.515	utilgivelig
grump	anger	0.515	gnaven
bile	anger	0.515	galde
unleash	anger	0.515	slippe løs
chaos	anger	0.515	kaos
victimized	anger	0.515	ofre
jerks	anger	0.515	ryk
tussle	anger	0.514	slås
bane	anger	0.511	bane
accusation	anger	0.510	anklage
enmity	anger	0.510	fjendskab
repudiation	anger	0.510	afvisning
banish	anger	0.509	forjage
disfigured	anger	0.508	vansiret
storm	anger	0.507	storm
crazy	anger	0.500	helt vildt
hammering	anger	0.500	hamrende
defy	anger	0.500	trodse
antithesis	anger	0.500	antitese
scoff	anger	0.500	håne
anguish	anger	0.500	kvaler
confined	anger	0.500	indespærret
fear	anger	0.500	frygt
bout	anger	0.500	kamp
unruly	anger	0.500	uregerlige
delusional	anger	0.500	vrangforestillinger
obstruct	anger	0.500	hindre
possessed	anger	0.500	besad
injustice	anger	0.500	uretfærdighed
fervor	anger	0.500	inderlighed
spear	anger	0.500	spyd
derision	anger	0.500	hån
intractable	anger	0.500	umedgørlige
reject	anger	0.500	afvise
dominate	anger	0.500	dominere
ordeal	anger	0.500	prøvelse
banished	anger	0.500	forvist
rejects	anger	0.500	afviser
shun	anger	0.500	sky
brunt	anger	0.500	brunt
derogation	anger	0.500	dispensation
frenzied	anger	0.500	vanvittig
animus	anger	0.500	animus
suppression	anger	0.500	undertrykkelse
malpractice	anger	0.500	fejlbehandling
brazen	anger	0.500	dristige
foaming	anger	0.500	skummende
disrupting	anger	0.500	forstyrrende
nobodycares	anger	0.500	alle er ligeglade
patronising	anger	0.500	nedladende
getoveryourself	anger	0.495	kom over dig selv
toughness	anger	0.492	sejhed
stupidpeople	anger	0.492	dumme mennesker
madness	anger	0.491	galskab
sinful	anger	0.491	syndig
avarice	anger	0.490	griskhed
oppress	anger	0.490	undertrykke
cutting	anger	0.485	skæring
anathema	anger	0.485	anathema
annoyed	anger	0.485	irriteret
dissident	anger	0.485	dissident
demand	anger	0.485	efterspørgsel
usurp	anger	0.485	tilrane sig
claw	anger	0.485	klo
alienate	anger	0.485	fremmedgøre
infraction	anger	0.485	overtrædelse
avenger	anger	0.485	hævner
revoke	anger	0.485	tilbagekalde
smuggler	anger	0.485	smugler
abolish	anger	0.485	afskaffe
fricking	anger	0.485	fricking
stayaway	anger	0.485	Bliv væk
pervert	anger	0.485	pervers
disservice	anger	0.485	bjørnetjeneste
disobedient	anger	0.485	ulydig
incest	anger	0.485	blodskam
complaint	anger	0.485	klage
disapproved	anger	0.485	afvist
inhuman	anger	0.485	umenneskelig
mocking	anger	0.484	hånende
penalty	anger	0.484	straf
renounce	anger	0.484	give afkald på
restrain	anger	0.484	tilbageholde
upheaval	anger	0.484	omvæltning
deceit	anger	0.484	bedrag
obnoxious	anger	0.484	modbydeligt
imprisoned	anger	0.484	fængslet
strained	anger	0.484	anstrengt
blame	anger	0.484	bebrejde
oust	anger	0.484	fordrive
litigious	anger	0.484	litigiøse
rivalry	anger	0.484	rivalisering
sucker	anger	0.484	sutter
opposed	anger	0.484	imod
thresh	anger	0.484	tærske
disgrace	anger	0.484	vanære
suspicious	anger	0.484	mistænksom
turbulence	anger	0.483	turbulens
pound	anger	0.481	pund
coldness	anger	0.477	kulde
ungrateful	anger	0.472	utaknemmelig
stoopid	anger	0.471	bøjet
battalion	anger	0.471	bataljon
feudalism	anger	0.470	feudalisme
hostage	anger	0.470	gidsel
annoying	anger	0.470	irriterende
dispossessed	anger	0.470	fordrevet
subversion	anger	0.470	subversion
friction	anger	0.470	friktion
jealous	anger	0.470	jaloux
adversity	anger	0.470	modgang
infidel	anger	0.470	vantro
gall	anger	0.470	galde
accuser	anger	0.470	anklager
ram	anger	0.470	vædder
armament	anger	0.470	bevæbning
thump	anger	0.469	dunk
dislike	anger	0.469	kan ikke lide
steal	anger	0.469	stjæle
backoff	anger	0.469	gå væk
stifled	anger	0.469	kvalt
incite	anger	0.469	tilskynde
distress	anger	0.469	nød
angermanagement	anger	0.469	vrede håndtering
selfish	anger	0.469	selvisk
injury	anger	0.469	skade
exile	anger	0.469	eksil
insanity	anger	0.469	sindssyge
offense	anger	0.469	forbrydelse
objection	anger	0.469	indvending
smother	anger	0.469	kvæle
disruption	anger	0.469	forstyrrelse
intolerance	anger	0.469	intolerance
disobey	anger	0.469	ikke adlyde
selfishness	anger	0.469	selvoptagethed
recidivism	anger	0.469	recidiv
subversive	anger	0.469	subversiv
huff	anger	0.469	huff
plunder	anger	0.469	plyndre
opposition	anger	0.469	modstand
complain	anger	0.469	brokke sig
perpetrator	anger	0.469	gerningsmand
simmer	anger	0.469	simre
areyoukidding	anger	0.468	laver du sjov
mug	anger	0.467	krus
agony	anger	0.465	smerte
arrogant	anger	0.461	arrogant
sux	anger	0.456	sux
vent	anger	0.456	aftræk
elimination	anger	0.456	eliminering
picketing	anger	0.456	pikettering
haughty	anger	0.456	hovmodig
grated	anger	0.455	revet
flagrant	anger	0.455	flagrant
busted	anger	0.455	sprængt
crabby	anger	0.455	knasende
dying	anger	0.455	døende
