English Word	Emotion	Emotion-Intensity-Score	Somali Word
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	khiyaano badan
madder	anger	0.773	waalan
horrific	anger	0.773	naxdin leh
revulsion	anger	0.773	aflagaado
retaliate	anger	0.773	aargoosi
scorn	anger	0.769	quudhsasho
bomb	anger	0.766	bam
deplorable	anger	0.766	wax laga xumaado
devastation	anger	0.765	burbur
anarchist	anger	0.765	Anarchist
firestorm	anger	0.765	dabayl
resent	anger	0.765	ciil
contemptible	anger	0.764	la quudhsado
shittest	anger	0.760	shit
rant	anger	0.758	caro
cruel	anger	0.758	naxariis daran
deadly	anger	0.758	dilaa ah
smash	anger	0.758	burburin
soangry	anger	0.758	xanaaqsan
outburst	anger	0.757	xanaaqid
snarl	anger	0.754	jahawareerin
profane	anger	0.750	xumaan
revolting	anger	0.750	gadoodsan
aggravating	anger	0.750	ka sii daraysa
horror	anger	0.750	argagax
despise	anger	0.750	quudhsan
offend	anger	0.750	gaf
stfu	anger	0.750	stfu
vulgarity	anger	0.750	foolxumo
crazed	anger	0.750	waalan
douchebags	anger	0.750	bacaha
growling	anger	0.750	guuxa
dontmesswithme	anger	0.750	ha iga helin
screaming	anger	0.742	qaylinaya
threat	anger	0.742	hanjabaad
erupt	anger	0.742	dilaacday
horrible	anger	0.742	naxdin leh
molestation	anger	0.742	faraxumayn
fuckedoff	anger	0.742	fuckoff
violence	anger	0.742	gacan ka hadal
bastards	anger	0.741	nacasyo
revenge	anger	0.738	aargoosi
menacing	anger	0.735	khatar gelin
crushing	anger	0.735	burburin
damn	anger	0.735	nacalad
catastrophe	anger	0.735	masiibo
demon	anger	0.735	jinni
argue	anger	0.734	ku doodo
persecute	anger	0.734	silcin
deplore	anger	0.734	ka xumaado
flog	anger	0.734	karbaash
fedup	anger	0.734	khayaali
riotous	anger	0.734	rabshado badan
vehement	anger	0.734	xanaaq
revolt	anger	0.734	kacdoon
warfare	anger	0.734	dagaal
thrash	anger	0.734	cuncun
altercation	anger	0.729	dagaal
warlike	anger	0.728	dagaal jecel
shitday	anger	0.727	shitday
mutiny	anger	0.727	qallafsanaan
castrate	anger	0.727	tuurid
sabotage	anger	0.727	qaran dumis
malevolent	anger	0.721	xumaan
strike	anger	0.721	shaqo joojin
disaster	anger	0.721	masiibo
disastrous	anger	0.720	masiibo
bastarding	anger	0.719	baashaalid
treachery	anger	0.719	khiyaamo
arseholes	anger	0.719	ceelasha
horseshit	anger	0.719	fardaha
slay	anger	0.719	dilid
disdain	anger	0.719	quudhsi
aggravates	anger	0.719	ka sii daraysa
brutal	anger	0.719	arxan daran
scorching	anger	0.719	gubasho
devil	anger	0.719	shaydaan
madden	anger	0.719	waalan
spiteful	anger	0.719	caasinimo
scream	anger	0.719	qaylo
choke	anger	0.719	ceejin
vermin	anger	0.719	cayayaan
tumult	anger	0.719	buuqa
criminal	anger	0.714	dambiile
mangle	anger	0.714	maangaab
anarchism	anger	0.714	fowdo
mutilation	anger	0.714	naafaynta
denunciation	anger	0.713	cambaarayn
punch	anger	0.713	feer
virulence	anger	0.712	fayraska
fatal	anger	0.712	dilaa ah
hurting	anger	0.712	damqanaya
crucifixion	anger	0.712	iskutallaabta
dontlikeyou	anger	0.712	ku jeclayn
blasphemous	anger	0.712	cay
holocaust	anger	0.712	xasuuq
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	dagaalantay
deranged	anger	0.706	qallafsanaan
irritated	anger	0.706	xanaaqsan
atrocious	anger	0.706	bahalnimo
evil	anger	0.706	xumaan
aggravated	anger	0.703	ka sii daray
intimidation	anger	0.703	cabsigelin
dicks	anger	0.703	dikisyo
assassin	anger	0.703	gacan ku dhiigle
scolding	anger	0.703	canaanasho
persecution	anger	0.703	cadaadis
slayer	anger	0.703	dilaa
kidnap	anger	0.703	afduub
aggression	anger	0.702	gardaro
armed	anger	0.700	hubaysan
battle	anger	0.697	dagaal
poison	anger	0.697	sun
snarling	anger	0.697	gariir
venom	anger	0.697	sunta
disgruntled	anger	0.693	niyad jabsan
resentment	anger	0.691	xanaaq
assailant	anger	0.691	gacan-ku-dhiigle
insidious	anger	0.691	khiyaano
contemptuous	anger	0.690	quudhsasho
lynch	anger	0.690	lynch
temper	anger	0.688	xanaaq
terrible	anger	0.688	laga cabsado
disparage	anger	0.688	ceebayn
lunatic	anger	0.688	waalan
bully	anger	0.688	cagajugleyn
mad	anger	0.688	waalan
makesmemad	anger	0.688	ka dhigaysa
infanticide	anger	0.688	dhallaan dilid
domination	anger	0.688	xukun
peeved	anger	0.688	diiray
imprisonment	anger	0.688	xadhig
curse	anger	0.688	habaar
volatility	anger	0.687	isbedbedelid
eradication	anger	0.685	ciribtirka
eradicate	anger	0.682	ciribtirka
tantrum	anger	0.682	xanaaq
scoundrel	anger	0.682	faqash
devastate	anger	0.682	baabba'
aggressively	anger	0.680	si gardarro ah
agitation	anger	0.680	kicin
dictatorship	anger	0.676	kalitalisnimo
irritates	anger	0.676	ka xanaajiso
profanity	anger	0.673	afxumo
shove	anger	0.672	gariir
nasty	anger	0.672	xumaan
shot	anger	0.672	toogtay
cruelly	anger	0.672	naxariis darro
shoot	anger	0.672	toogtaan
condemnation	anger	0.672	cambaarayn
crushed	anger	0.672	la jajabiyey
aggravation	anger	0.672	sii xumaansho
poisonous	anger	0.672	sun ah
egregious	anger	0.672	aad u xun
crime	anger	0.672	dembi
corrupting	anger	0.672	musuqmaasuq
dastardly	anger	0.672	caajisnimo
contempt	anger	0.672	quudhsi
harmful	anger	0.672	waxyeello leh
expletive	anger	0.672	fasiraado
wreak	anger	0.672	jabin
maniac	anger	0.670	waalan
cutthroat	anger	0.667	goyn
enemy	anger	0.667	cadowga
hit	anger	0.667	garaacid
hateeveryone	anger	0.667	qof walba neceb
eruption	anger	0.667	qarxin
irritable	anger	0.667	xanaaqsan
odious	anger	0.667	neceb
shooting	anger	0.667	toogashada
shout	anger	0.667	qayli
aggressive	anger	0.667	gardaran
kick	anger	0.667	laad
combat	anger	0.667	dagaal
fight	anger	0.667	dagaalan
punished	anger	0.662	ciqaabay
yell	anger	0.661	qaylo
ambush	anger	0.661	gaadmo
harass	anger	0.659	dhibaatayn
malignant	anger	0.656	xumaan
aggressor	anger	0.656	gardaro
gore	anger	0.656	gore
destruction	anger	0.656	burburin
grudge	anger	0.656	ciil
antichrist	anger	0.656	ka gees ah
incense	anger	0.656	foox
expel	anger	0.656	cayrin
cranky	anger	0.653	qallafsanaan
slave	anger	0.652	addoon
reprisal	anger	0.652	aargoosi
growl	anger	0.652	ciil
animosity	anger	0.652	cadaawad
insurrection	anger	0.652	kacdoon
clashing	anger	0.652	isku dhaca
denounce	anger	0.652	cambaarayn
offended	anger	0.652	dhibsaday
spank	anger	0.652	dharbaaxo
insulting	anger	0.652	cayda
growls	anger	0.649	ciil
executioner	anger	0.644	fuline
twat	anger	0.644	twat
doomsday	anger	0.643	qiyaamaha
obscenity	anger	0.641	fisqi
accused	anger	0.641	eedaysane
feud	anger	0.641	colaad
daemon	anger	0.641	daemon
havoc	anger	0.641	qas
shackle	anger	0.641	silsilado
inexcusable	anger	0.641	cudurdaar la'aan
indignant	anger	0.641	xanaaqsan
grr	anger	0.641	grr
expulsion	anger	0.641	cayrin
bombard	anger	0.641	duqeyn
spat	anger	0.641	candhuuf
arson	anger	0.641	gubasho
reprimand	anger	0.641	canaanan
somad	anger	0.637	somaliyeed
frustrated	anger	0.636	niyad jabsan
batter	anger	0.636	garaacid
kicking	anger	0.636	haraati
anarchy	anger	0.636	fowdo
spanking	anger	0.636	dharbaaxo
glaring	anger	0.636	iftiimaya
suicidal	anger	0.636	isdilid
disgusting	anger	0.636	karaahiyo
wound	anger	0.636	dhaawac
hanging	anger	0.636	laadlaadsan
poisoned	anger	0.636	sumaysan
combatant	anger	0.636	dagaalame
wrecked	anger	0.633	burburay
inflict	anger	0.633	dhibin
grievous	anger	0.632	caloolxumo badan
prosecute	anger	0.630	dacweeyaan
agitated	anger	0.630	kacsan
cheat	anger	0.630	khiyaamo
swastika	anger	0.627	swastika
injure	anger	0.625	dhaawac
indict	anger	0.625	eedayn
scourge	anger	0.625	aafo
provocation	anger	0.625	daandaansi
suffocation	anger	0.625	caburin
strife	anger	0.625	colaad
raid	anger	0.625	duullaan
enslaved	anger	0.625	la adoonsado
cursing	anger	0.625	habaarid
defamatory	anger	0.625	sumcad dilid
harassing	anger	0.625	dhibaatayn
thundering	anger	0.625	onkod
betray	anger	0.625	khiyaamo
arsehole	anger	0.624	ceel biyood
theft	anger	0.621	xatooyo
insane	anger	0.621	waalan
retaliation	anger	0.621	aargoosi
irritate	anger	0.621	xanaaqin
deprivation	anger	0.621	wax la'aan
fiend	anger	0.621	fiid
jerk	anger	0.621	xamaasad
convict	anger	0.621	xukun
cussed	anger	0.619	cayday
turmoil	anger	0.618	qas
smack	anger	0.615	dharbaaxid
retribution	anger	0.614	ciqaabid
rebellion	anger	0.609	jabhadayn
oppressor	anger	0.609	dulmane
gang	anger	0.609	burcad
slavery	anger	0.609	addoonsiga
intolerable	anger	0.609	aan loo dulqaadan karin
adverse	anger	0.609	xumaan
injurious	anger	0.609	dhaawac leh
twats	anger	0.609	tus
collision	anger	0.609	isku dhac
battery	anger	0.609	baytari
bitterly	anger	0.609	qadhaadh
antagonism	anger	0.609	iska soo horjeeda
irritability	anger	0.609	xanaaqid
disgraced	anger	0.608	ceebayn
diatribe	anger	0.606	ditribe
asshole	anger	0.606	dabada
blast	anger	0.606	qarxin
bombardment	anger	0.606	duqeyn
irks	anger	0.606	irks
ranting	anger	0.606	qaylo-dhaan
revolution	anger	0.606	kacaan
thug	anger	0.606	tuug
antagonistic	anger	0.606	iska soo horjeeda
irritating	anger	0.606	xanaaqsan
sickening	anger	0.606	buka
discrimination	anger	0.606	takoorid
frustrate	anger	0.604	niyad jabin
insult	anger	0.603	cay
hurtful	anger	0.603	dhaawac leh
oppression	anger	0.603	dulmiga
manipulation	anger	0.603	wax isdaba marin
tiredofit	anger	0.603	daal
bigot	anger	0.603	nin weyn
tension	anger	0.603	xiisad
disgust	anger	0.602	karaahiyo
spite	anger	0.600	cayda
intrusive	anger	0.598	faragelin
harshness	anger	0.597	qallafsanaan
slur	anger	0.596	cay
tempest	anger	0.594	duufaan
assail	anger	0.594	weerar
bitterness	anger	0.594	qadhaadh
morbidity	anger	0.594	jirrada
casualty	anger	0.594	dhaawac
puncture	anger	0.594	dalool
miserable	anger	0.594	murugaysan
inferno	anger	0.594	hurdo
invasion	anger	0.594	duullaan
storming	anger	0.594	duufaan
wretch	anger	0.594	xun
consternation	anger	0.592	naxdin
raving	anger	0.591	xamaasad
forcibly	anger	0.591	xoog
guillotine	anger	0.591	guillotiin
guilty	anger	0.591	dambiile
depraved	anger	0.591	kharriban
immoral	anger	0.591	anshax xumo
overpowering	anger	0.591	ka xoog badan
scare	anger	0.588	cabsi
recalcitrant	anger	0.588	cagajiid
screwed	anger	0.588	duuduubay
accursed	anger	0.588	habaaran
soannoyed	anger	0.588	xanaaqsan
invader	anger	0.588	duullaan
jealousy	anger	0.587	xaasidnimo
indignation	anger	0.587	cadho
vexed	anger	0.586	xanaaqsan
confront	anger	0.582	iska hor imaad
brute	anger	0.581	caasinimo
throttle	anger	0.579	ceejin
slut	anger	0.578	caajisnimo
coup	anger	0.578	afgambi
blaze	anger	0.578	olol
pillage	anger	0.578	tuugo
provoking	anger	0.578	kicin
damage	anger	0.578	dhaawac
criminality	anger	0.578	dambiile
shutup	anger	0.578	Aamus
lash	anger	0.578	karbaash
conflict	anger	0.578	khilaaf
contentious	anger	0.578	muran badan
shutit	anger	0.578	xidhid
wreck	anger	0.578	burburay
defiant	anger	0.578	diidan
butcher	anger	0.578	hilible
incarceration	anger	0.578	xidhidh
revolver	anger	0.578	kacdoon
bickering	anger	0.578	isqabqabsi
yousuck	anger	0.578	waad nuugtay
cancer	anger	0.577	kansarka
discriminate	anger	0.576	takoorid
gun	anger	0.576	qoriga
frustration	anger	0.576	niyad jab
gory	anger	0.576	gory
pernicious	anger	0.576	khatar ah
dontmess	anger	0.576	niyad jab
blasphemy	anger	0.576	cayda
chaotic	anger	0.576	fowdo
grope	anger	0.576	haabhaab
alienation	anger	0.576	fogaansho
disturbance	anger	0.576	qas
condescension	anger	0.576	is-hoosaysiin
standoff	anger	0.576	is taagid
discord	anger	0.576	khilaaf
friggen	anger	0.575	qaboojiye
sneer	anger	0.574	jeesjees
death	anger	0.574	dhimasho
lunacy	anger	0.574	waalan
scandalous	anger	0.574	fadeexad ah
oppressive	anger	0.574	dulman
jab	anger	0.574	jab
cursed	anger	0.574	habaaran
monstrosity	anger	0.574	bahalnimo
shit	anger	0.573	xaar
disparaging	anger	0.571	ceebayn
slash	anger	0.571	dharbaaxo
unfair	anger	0.571	cadaalad darro
gallows	anger	0.570	godad
escalate	anger	0.569	kor u qaadid
intolerant	anger	0.564	dulqaad lahayn
lawlessness	anger	0.563	sharci darro
beast	anger	0.562	bahal
torpedo	anger	0.562	torpedo
malign	anger	0.562	xumaan
traitor	anger	0.562	khaa'inul waddan
frightful	anger	0.562	cabsi badan
wrangling	anger	0.562	muransanaan
slander	anger	0.562	aflagaado
bellows	anger	0.562	hooska
retards	anger	0.562	dib u dhac
grouchy	anger	0.562	xumeyn
derogatory	anger	0.562	bahdilid
bearish	anger	0.562	bahalnimo
invade	anger	0.562	duulaan
perdition	anger	0.562	halaag
arghh	anger	0.562	argh
dreadful	anger	0.562	laga cabsado
bluddy	anger	0.562	madow
deceived	anger	0.562	la khiyaaneeyey
glare	anger	0.562	dhalaalid
taunt	anger	0.562	cayda
dissension	anger	0.561	khilaaf
cross	anger	0.561	iskutallaab
rave	anger	0.561	hanuunin
grating	anger	0.561	daadin
devastating	anger	0.561	halaagsamo
fits	anger	0.561	ku habboon
jeopardize	anger	0.561	khatar gelin
shatter	anger	0.561	jabin
idiots	anger	0.561	nacasyo
hurt	anger	0.561	dhaawacday
thief	anger	0.561	tuug
uncontrollable	anger	0.561	aan la xakamayn karin
conflagration	anger	0.561	gubasho
betrayal	anger	0.561	khiyaamo
banshee	anger	0.561	banshee
subjugation	anger	0.559	hoosaysiin
disturbed	anger	0.559	dhibsaday
stomped	anger	0.557	ku tuntay
grab	anger	0.557	qabsato
grievance	anger	0.556	cabasho
ticked	anger	0.556	saxan
masochism	anger	0.556	mashaqeysi
defiance	anger	0.552	diidid
blackmail	anger	0.550	aflagaado
offensive	anger	0.549	weerar
decry	anger	0.548	diidaan
frustrates	anger	0.547	niyad jab
violation	anger	0.547	xadgudub
confine	anger	0.547	xirid
misery	anger	0.547	darxumo
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	kala duwanaansho
punishment	anger	0.547	ciqaab
rebel	anger	0.547	fallaagow
preposterous	anger	0.547	been abuur ah
disgraceful	anger	0.547	ceeb
ire	anger	0.547	ciil
deceive	anger	0.547	khiyaamo
fustrated	anger	0.547	fudayd
sin	anger	0.547	dembi
shrill	anger	0.547	qaylo
darkside	anger	0.547	mugdiga
overbearing	anger	0.547	dulqaadasho
firearms	anger	0.547	hubka
stolen	anger	0.546	xaday
hadenough	anger	0.546	hadey kugu filan
prejudice	anger	0.545	cuqdad
tackle	anger	0.545	wax ka qaban
resentful	anger	0.545	ciil badan
heated	anger	0.545	kululayn
callous	anger	0.545	warxumo
conspirator	anger	0.545	dhagar qabe
ruined	anger	0.545	burburay
antagonist	anger	0.545	ka soo horjeeda
skirmish	anger	0.545	dagaal
menace	anger	0.545	khatar
annoyin	anger	0.545	xanaaqsan
foul	anger	0.545	xumaan
argument	anger	0.545	dood
humiliate	anger	0.545	dullinimo
wanker	anger	0.545	dharbaaxo
adversary	anger	0.545	cadaw
sting	anger	0.544	qaniinyo
entangled	anger	0.544	isku duuban
grumble	anger	0.544	gunuunac
robbery	anger	0.544	dhac
outcry	anger	0.544	qaylo
resistance	anger	0.543	iska caabin
irreconcilable	anger	0.543	aan la heshiin karin
obstructive	anger	0.542	xannibid
dismay	anger	0.540	naxdin
mob	anger	0.538	mooryaan
juststop	anger	0.537	joojiso
badness	anger	0.536	xumaan
ridicule	anger	0.534	jeesjees
incendiary	anger	0.533	hurisa
flares	anger	0.532	ololaya
twofaced	anger	0.531	laba waji leh
reckless	anger	0.531	taxadar la'aan
communism	anger	0.531	shuuciyad
allegation	anger	0.531	eedayn
prejudicial	anger	0.531	eexasho
whip	anger	0.531	karbaash
unbridled	anger	0.531	aan xakameyn
degeneracy	anger	0.531	xumaan
intruder	anger	0.531	soo dhex galay
belittle	anger	0.531	yaree
confinement	anger	0.531	xirid
dispute	anger	0.531	khilaaf
exacerbation	anger	0.531	ka sii darid
uprising	anger	0.531	kacdoon
unjust	anger	0.530	cadaalad darro
unjustifiable	anger	0.530	qiil la'aan
perversion	anger	0.530	qalloocan
bigoted	anger	0.530	nin jeclaysi
fiesty	anger	0.530	fican
offender	anger	0.530	dembiilaha
dictatorial	anger	0.530	kalitalisnimo
hassle	anger	0.530	dhib
dissonance	anger	0.530	khilaafid
tackled	anger	0.530	wax laga qabtay
renegade	anger	0.529	gadoodsan
cantstandit	anger	0.529	taagnayn
trespass	anger	0.529	xad gudub
hot	anger	0.529	kulul
prison	anger	0.529	xabsiga
suicide	anger	0.521	isdilid
annoy	anger	0.520	xanaaqsan
leavemealone	anger	0.517	bislaaday
cretins	anger	0.516	cretins
depravity	anger	0.516	xumaan
idiotic	anger	0.516	nacasnimo
dishonest	anger	0.516	daacadnimo
distrust	anger	0.516	kalsooni darro
broil	anger	0.516	shiil
grrr	anger	0.516	grr
criticize	anger	0.516	dhaleecayn
inimical	anger	0.516	aan caadi ahayn
tortious	anger	0.516	jirdil badan
prisoner	anger	0.516	maxbuus
treason	anger	0.516	khiyaamo Qaran
divorce	anger	0.516	furriin
venting	anger	0.516	hawo qaadid
duress	anger	0.516	qasbid
disrespectful	anger	0.516	ixtiraam darro
poaching	anger	0.515	ugaarsi
scold	anger	0.515	canaanto
poachers	anger	0.515	ugaarsatada
pow	anger	0.515	boob
hangry	anger	0.515	gaajaysan
argumentation	anger	0.515	dood
frustrating	anger	0.515	niyad jab
unkind	anger	0.515	naxariis darro
roar	anger	0.515	guux
coercion	anger	0.515	jujuub
unforgiving	anger	0.515	cafis la'aan
grump	anger	0.515	gunuunac
bile	anger	0.515	bile
unleash	anger	0.515	furto
chaos	anger	0.515	fowdo
victimized	anger	0.515	dhibane
jerks	anger	0.515	xamaasad
tussle	anger	0.514	dagaal
bane	anger	0.511	ban
accusation	anger	0.510	eedayn
enmity	anger	0.510	cadaawad
repudiation	anger	0.510	diidmo
banish	anger	0.509	ka saarid
disfigured	anger	0.508	xumeeyey
storm	anger	0.507	duufaan
crazy	anger	0.500	Waali
hammering	anger	0.500	dubbeyaal
defy	anger	0.500	diidi
antithesis	anger	0.500	liddi ku ah
scoff	anger	0.500	jeesjees
anguish	anger	0.500	cidhiidhi
confined	anger	0.500	xiran
fear	anger	0.500	cabsi
bout	anger	0.500	dagaal
unruly	anger	0.500	maamul la'aan
delusional	anger	0.500	dhalanteed
obstruct	anger	0.500	hor istaagid
possessed	anger	0.500	hantiyey
injustice	anger	0.500	cadaalad daro
fervor	anger	0.500	xamaasad
spear	anger	0.500	waran
derision	anger	0.500	jeesjees
intractable	anger	0.500	lama taabtaan ah
reject	anger	0.500	diido
dominate	anger	0.500	ka taliyaan
ordeal	anger	0.500	dhibaato
banished	anger	0.500	laga eryay
rejects	anger	0.500	diiday
shun	anger	0.500	iska ilaali
brunt	anger	0.500	bararsan
derogation	anger	0.500	hoos u dhigid
frenzied	anger	0.500	wareersan
animus	anger	0.500	animus
suppression	anger	0.500	cabudhinta
malpractice	anger	0.500	dhaqan xumo
brazen	anger	0.500	nacasnimo
foaming	anger	0.500	xumbo
disrupting	anger	0.500	carqaladayn
nobodycares	anger	0.500	cidna dan uma aha
patronising	anger	0.500	masruufka
getoveryourself	anger	0.495	naftaada ka gudub
toughness	anger	0.492	adkaanshaha
stupidpeople	anger	0.492	nacasyo
madness	anger	0.491	waali
sinful	anger	0.491	dembiile
avarice	anger	0.490	bahalnimo
oppress	anger	0.490	dulmi
cutting	anger	0.485	goyn
anathema	anger	0.485	anathema
annoyed	anger	0.485	xanaaqsan
dissident	anger	0.485	diidan
demand	anger	0.485	dalbashada
usurp	anger	0.485	dulsaar
claw	anger	0.485	ciddi
alienate	anger	0.485	fogayn
infraction	anger	0.485	xadgudub
avenger	anger	0.485	aargoosi
revoke	anger	0.485	ka noqosho
smuggler	anger	0.485	tahriibiye
abolish	anger	0.485	baabi'in
fricking	anger	0.485	isku xoqid
stayaway	anger	0.485	joogid
pervert	anger	0.485	qalloocan
disservice	anger	0.485	adeeg xumo
disobedient	anger	0.485	caasiya
incest	anger	0.485	qaraabo kiil
complaint	anger	0.485	cabashada
disapproved	anger	0.485	diiday
inhuman	anger	0.485	bini'aadantinimada ka baxsan
mocking	anger	0.484	jeesjees
penalty	anger	0.484	rigoore
renounce	anger	0.484	ka tanaasulid
restrain	anger	0.484	xakamayn
upheaval	anger	0.484	kacdoon
deceit	anger	0.484	khiyaano
obnoxious	anger	0.484	foolxun
imprisoned	anger	0.484	la xidhay
strained	anger	0.484	cadaadisay
blame	anger	0.484	eedda
oust	anger	0.484	ka saarid
litigious	anger	0.484	dacwayn
rivalry	anger	0.484	xafiiltanka
sucker	anger	0.484	nuugid
opposed	anger	0.484	ka soo horjeeda
thresh	anger	0.484	tumasho
disgrace	anger	0.484	ceebayn
suspicious	anger	0.484	laga shakiyo
turbulence	anger	0.483	qasnaansho
pound	anger	0.481	rodol
coldness	anger	0.477	qaboow
ungrateful	anger	0.472	aan la mahadin
stoopid	anger	0.471	foorarsan
battalion	anger	0.471	guuto
feudalism	anger	0.470	feudalism
hostage	anger	0.470	la haysto
annoying	anger	0.470	xanaaqsan
dispossessed	anger	0.470	lagala wareegay
subversion	anger	0.470	qaran dumis
friction	anger	0.470	khilaaf
jealous	anger	0.470	masayr
adversity	anger	0.470	dhib
infidel	anger	0.470	gaal
gall	anger	0.470	xameetida
