English Word	Emotion	Emotion-Intensity-Score	Kazakh Word
terrorism	anger	0.851	терроризм
beating	anger	0.849	ұру
outrage	anger	0.848	ашу
desecration	anger	0.848	қорлау
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	жою
slaughter	anger	0.844	сою
irate	anger	0.844	ашуланшақ
violent	anger	0.844	зорлық-зомбылық
stab	anger	0.844	пышақтау
abomination	anger	0.844	жексұрындық
tumultuous	anger	0.844	дүбірлі
infuriate	anger	0.844	ашуландырады
obliterate	anger	0.843	жою
belligerent	anger	0.841	соғысушы
dumbbitch	anger	0.841	ақымақ
detest	anger	0.838	жек көру
hostilities	anger	0.837	соғыс қимылдары
prick	anger	0.835	шаншу
rampage	anger	0.833	ашу
horrid	anger	0.833	қорқынышты
cruelty	anger	0.833	қатыгездік
torture	anger	0.833	азаптау
rabid	anger	0.833	құтырған
despicable	anger	0.828	жексұрын
tyrannical	anger	0.828	тираниялық
demonic	anger	0.828	жын
satanic	anger	0.828	шайтандық
hate	anger	0.828	жек көру
ragemode	anger	0.828	ragemode
hating	anger	0.828	жек көру
ruinous	anger	0.825	бүлдіргіш
condemn	anger	0.825	айыптау
riots	anger	0.824	тәртіпсіздіктер
demolish	anger	0.824	бұзу
angry	anger	0.824	ашулы
extermination	anger	0.824	жою
dickhead	anger	0.824	бас
livid	anger	0.821	діріл
madman	anger	0.820	жынды
vindictive	anger	0.819	кекшіл
terrorist	anger	0.818	террорист
threaten	anger	0.818	қорқыту
venomous	anger	0.818	улы
hateyou	anger	0.818	сені жек көремін
ferocity	anger	0.818	қатыгездік
effyou	anger	0.818	эффсен
abhor	anger	0.816	жек көру
carnage	anger	0.814	қырғын
savage	anger	0.814	жабайы
atrocity	anger	0.814	зұлымдық
fucksake	anger	0.812	блять
abuse	anger	0.812	теріс пайдалану
fierce	anger	0.812	қаһарлы
destroyer	anger	0.812	жойғыш
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	варварлық
vendetta	anger	0.812	кек
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ашулы
tyrant	anger	0.812	тиран
berserk	anger	0.812	ақымақ
fuming	anger	0.812	түтін шығару
anger	anger	0.811	ашу
pieceofshit	anger	0.810	боқтық
punched	anger	0.803	соқты
punching	anger	0.803	соққы
slam	anger	0.803	соғу
homicide	anger	0.803	кісі өлтіру
bitch	anger	0.803	қаншық
fights	anger	0.803	ұрысады
ruthless	anger	0.797	аяусыз
villainous	anger	0.797	зұлым
destructive	anger	0.797	деструктивті
slap	anger	0.791	ұру
riot	anger	0.788	бүлік
growthefuckup	anger	0.788	өсу
punishing	anger	0.788	жазалау
slaughterhouse	anger	0.788	қасапхана
yelling	anger	0.788	айғайлау
diabolical	anger	0.788	шайтандық
destroyed	anger	0.788	жойылды
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	кек алу
manslaughter	anger	0.783	адам өлтіру
clash	anger	0.783	қақтығыс
quarrel	anger	0.781	жанжал
bloody	anger	0.781	қанды
hellish	anger	0.781	тозақ
sinister	anger	0.781	қасіретті
loath	anger	0.781	жек көру
detonation	anger	0.781	детонация
accusing	anger	0.779	айыптау
fumin	anger	0.779	фумин
hateeee	anger	0.779	жек көремін
treacherous	anger	0.779	сатқын
madder	anger	0.773	ашуланшақ
horrific	anger	0.773	қорқынышты
revulsion	anger	0.773	ренжіту
retaliate	anger	0.773	кек алу
scorn	anger	0.769	мысқыл
bomb	anger	0.766	бомба
deplorable	anger	0.766	аянышты
devastation	anger	0.765	қирау
anarchist	anger	0.765	анархист
firestorm	anger	0.765	отты дауыл
resent	anger	0.765	ренжіту
contemptible	anger	0.764	жексұрын
shittest	anger	0.760	ең сұмдық
rant	anger	0.758	айқайлау
cruel	anger	0.758	қатыгез
deadly	anger	0.758	өлімге әкелетін
smash	anger	0.758	соққы
soangry	anger	0.758	ашулы
outburst	anger	0.757	жарылыс
snarl	anger	0.754	ырылдау
profane	anger	0.750	профандық
revolting	anger	0.750	бүлікші
aggravating	anger	0.750	ауырлататын
horror	anger	0.750	қорқыныш
despise	anger	0.750	менсінбеу
offend	anger	0.750	ренжіту
stfu	anger	0.750	stfu
vulgarity	anger	0.750	тұрпайылық
crazed	anger	0.750	жынды
douchebags	anger	0.750	дұшпандар
growling	anger	0.750	ырылдау
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	айқайлау
threat	anger	0.742	қауіп-қатер
erupt	anger	0.742	атқылау
horrible	anger	0.742	қорқынышты
molestation	anger	0.742	зорлау
fuckedoff	anger	0.742	блять
violence	anger	0.742	зорлық-зомбылық
bastards	anger	0.741	бейбақтар
revenge	anger	0.738	кек алу
menacing	anger	0.735	қорқыту
crushing	anger	0.735	ұсақтау
damn	anger	0.735	Шайтан алғыр
catastrophe	anger	0.735	апат
demon	anger	0.735	жын
argue	anger	0.734	дауласу
persecute	anger	0.734	қудалау
deplore	anger	0.734	өкініш
flog	anger	0.734	қамшы
fedup	anger	0.734	жалықтырған
riotous	anger	0.734	дүрбелең
vehement	anger	0.734	қызу
revolt	anger	0.734	көтеріліс
warfare	anger	0.734	соғыс
thrash	anger	0.734	соққы
altercation	anger	0.729	жанжал
warlike	anger	0.728	жауынгерлік
shitday	anger	0.727	боқ күн
mutiny	anger	0.727	бүлік
castrate	anger	0.727	кастрация
sabotage	anger	0.727	саботаж
malevolent	anger	0.721	зұлым
strike	anger	0.721	ереуіл
disaster	anger	0.721	апат
disastrous	anger	0.720	апатты
bastarding	anger	0.719	бейбақ
treachery	anger	0.719	сатқындық
arseholes	anger	0.719	арсеналдар
horseshit	anger	0.719	жылқы
slay	anger	0.719	өлтіру
disdain	anger	0.719	менсінбеу
aggravates	anger	0.719	ауырлатады
brutal	anger	0.719	қатыгез
scorching	anger	0.719	күйдіргіш
devil	anger	0.719	шайтан
madden	anger	0.719	жынды
spiteful	anger	0.719	өшпенді
scream	anger	0.719	айқайлау
choke	anger	0.719	тұншығу
vermin	anger	0.719	зиянкестер
tumult	anger	0.719	дүрбелең
criminal	anger	0.714	қылмыстық
mangle	anger	0.714	мәңгүрт
anarchism	anger	0.714	анархизм
mutilation	anger	0.714	жарақаттау
denunciation	anger	0.713	денонсация
punch	anger	0.713	соққы
virulence	anger	0.712	вируленттілігі
fatal	anger	0.712	өлімге әкелетін
hurting	anger	0.712	ауыртады
crucifixion	anger	0.712	айқышқа шегелену
dontlikeyou	anger	0.712	сенбе
blasphemous	anger	0.712	күпірлік
holocaust	anger	0.712	Холокост
dumbasses	anger	0.712	мылқаулар
battled	anger	0.712	шайқасты
deranged	anger	0.706	есінен танған
irritated	anger	0.706	тітіркенген
atrocious	anger	0.706	қатыгез
evil	anger	0.706	жауыз
aggravated	anger	0.703	ауырлатылған
intimidation	anger	0.703	қорқыту
dicks	anger	0.703	сиқырлар
assassin	anger	0.703	өлтіруші
scolding	anger	0.703	ұрысу
persecution	anger	0.703	қудалау
slayer	anger	0.703	өлтіруші
kidnap	anger	0.703	ұрлау
aggression	anger	0.702	агрессия
armed	anger	0.700	қарулы
battle	anger	0.697	шайқас
poison	anger	0.697	улану
snarling	anger	0.697	ырылдау
venom	anger	0.697	у
disgruntled	anger	0.693	наразы
resentment	anger	0.691	реніш
assailant	anger	0.691	шабуылшы
insidious	anger	0.691	қулық
contemptuous	anger	0.690	менсінбейтін
lynch	anger	0.690	линч
temper	anger	0.688	мінез
terrible	anger	0.688	қорқынышты
disparage	anger	0.688	кемсіту
lunatic	anger	0.688	жынды
bully	anger	0.688	бұзақы
mad	anger	0.688	жынды
makesmemad	anger	0.688	жасайды
infanticide	anger	0.688	нәресте өлтіру
domination	anger	0.688	үстемдік
peeved	anger	0.688	ренжіді
imprisonment	anger	0.688	бас бостандығынан айыру
curse	anger	0.688	қарғыс
volatility	anger	0.687	құбылмалылық
eradication	anger	0.685	жою
eradicate	anger	0.682	жою
tantrum	anger	0.682	ашушаңдық
scoundrel	anger	0.682	арамза
devastate	anger	0.682	қирату
aggressively	anger	0.680	агрессивті түрде
agitation	anger	0.680	толқу
dictatorship	anger	0.676	диктатура
irritates	anger	0.676	тітіркендіреді
profanity	anger	0.673	балағат сөздер
shove	anger	0.672	итеру
nasty	anger	0.672	жағымсыз
shot	anger	0.672	ату
cruelly	anger	0.672	қатыгездікпен
shoot	anger	0.672	ату
condemnation	anger	0.672	айыптау
crushed	anger	0.672	ұсақталған
aggravation	anger	0.672	шиеленісуі
poisonous	anger	0.672	улы
egregious	anger	0.672	өрескел
crime	anger	0.672	қылмыс
corrupting	anger	0.672	бүлдіретін
dastardly	anger	0.672	ақымақ
contempt	anger	0.672	менсінбеу
harmful	anger	0.672	зиянды
expletive	anger	0.672	реніш
wreak	anger	0.672	бұзу
maniac	anger	0.670	маньяк
cutthroat	anger	0.667	жұлдыру
enemy	anger	0.667	жау
hit	anger	0.667	соққы
hateeveryone	anger	0.667	барлығын жек көру
eruption	anger	0.667	атқылау
irritable	anger	0.667	тітіркендіргіш
odious	anger	0.667	жексұрын
shooting	anger	0.667	ату
shout	anger	0.667	айқай
aggressive	anger	0.667	агрессивті
kick	anger	0.667	тебу
combat	anger	0.667	шайқас
fight	anger	0.667	күрес
punished	anger	0.662	жазаланды
yell	anger	0.661	айқайлау
ambush	anger	0.661	буксирлеу
harass	anger	0.659	қудалау
malignant	anger	0.656	қатерлі
aggressor	anger	0.656	агрессор
gore	anger	0.656	гор
destruction	anger	0.656	жойылу
grudge	anger	0.656	кек
antichrist	anger	0.656	антихрист
incense	anger	0.656	хош иісті заттар
expel	anger	0.656	шығару
cranky	anger	0.653	ашулы
slave	anger	0.652	құл
reprisal	anger	0.652	репрессия
growl	anger	0.652	ырылдау
animosity	anger	0.652	дұшпандық
insurrection	anger	0.652	көтеріліс
clashing	anger	0.652	қақтығыс
denounce	anger	0.652	айыптау
offended	anger	0.652	ренжіткен
spank	anger	0.652	ұру
insulting	anger	0.652	қорлау
growls	anger	0.649	айқайлайды
executioner	anger	0.644	жазалаушы
twat	anger	0.644	тват
doomsday	anger	0.643	қиямет күні
obscenity	anger	0.641	ұятсыздық
accused	anger	0.641	айыпталушы
feud	anger	0.641	жанжал
daemon	anger	0.641	демон
havoc	anger	0.641	бүліну
shackle	anger	0.641	бұғау
inexcusable	anger	0.641	кешірілмейтін
indignant	anger	0.641	ашулы
grr	anger	0.641	грр
expulsion	anger	0.641	шығару
bombard	anger	0.641	бомбалау
spat	anger	0.641	түкірді
arson	anger	0.641	өртеу
reprimand	anger	0.641	сөгіс
somad	anger	0.637	сомад
frustrated	anger	0.636	көңілсіз
batter	anger	0.636	қамыр
kicking	anger	0.636	тебу
anarchy	anger	0.636	анархия
spanking	anger	0.636	ұру
glaring	anger	0.636	жарқыраған
suicidal	anger	0.636	суицидтік
disgusting	anger	0.636	жиіркенішті
wound	anger	0.636	жарақат
hanging	anger	0.636	ілулі
poisoned	anger	0.636	уланған
combatant	anger	0.636	жауынгер
wrecked	anger	0.633	қираған
inflict	anger	0.633	тигізу
grievous	anger	0.632	ауыр
prosecute	anger	0.630	қудалау
agitated	anger	0.630	толқыған
cheat	anger	0.630	алдау
swastika	anger	0.627	свастика
injure	anger	0.625	зиян келтіру
indict	anger	0.625	айыптау
scourge	anger	0.625	қасірет
provocation	anger	0.625	арандату
suffocation	anger	0.625	тұншығу
strife	anger	0.625	жанжал
raid	anger	0.625	рейд
enslaved	anger	0.625	құлдықта
cursing	anger	0.625	қарғыс айту
defamatory	anger	0.625	жала жабу
harassing	anger	0.625	қудалау
thundering	anger	0.625	найзағай
betray	anger	0.625	сатқындық
arsehole	anger	0.624	арсенал
theft	anger	0.621	ұрлық
insane	anger	0.621	жынды
retaliation	anger	0.621	кек алу
irritate	anger	0.621	тітіркендіреді
deprivation	anger	0.621	айыру
fiend	anger	0.621	жын
jerk	anger	0.621	ерсі
convict	anger	0.621	сотталған
cussed	anger	0.619	қарғыс айтты
turmoil	anger	0.618	дүрбелең
smack	anger	0.615	соққы
retribution	anger	0.614	жаза
rebellion	anger	0.609	көтеріліс
oppressor	anger	0.609	жәбірлеуші
gang	anger	0.609	банда
slavery	anger	0.609	құлдық
intolerable	anger	0.609	төзгісіз
adverse	anger	0.609	қолайсыз
injurious	anger	0.609	жарақаттанушы
twats	anger	0.609	бұралқылар
collision	anger	0.609	соқтығыс
battery	anger	0.609	батарея
bitterly	anger	0.609	ащы
antagonism	anger	0.609	антагонизм
irritability	anger	0.609	тітіркену
disgraced	anger	0.608	масқара болды
diatribe	anger	0.606	диатриб
asshole	anger	0.606	Нақұрыс
blast	anger	0.606	жарылыс
bombardment	anger	0.606	бомбалау
irks	anger	0.606	ашуланады
ranting	anger	0.606	айқайлау
revolution	anger	0.606	революция
thug	anger	0.606	бұзақы
antagonistic	anger	0.606	антагонистік
irritating	anger	0.606	тітіркендіргіш
sickening	anger	0.606	ауру
discrimination	anger	0.606	кемсітушілік
frustrate	anger	0.604	ренжіту
insult	anger	0.603	қорлау
hurtful	anger	0.603	жаралы
oppression	anger	0.603	езгі
manipulation	anger	0.603	манипуляция
tiredofit	anger	0.603	шаршау
bigot	anger	0.603	фанат
tension	anger	0.603	кернеу
disgust	anger	0.602	жиіркеніш
spite	anger	0.600	ренжіту
intrusive	anger	0.598	интрузивті
harshness	anger	0.597	қаталдық
slur	anger	0.596	былғау
tempest	anger	0.594	дауыл
assail	anger	0.594	шабуыл
bitterness	anger	0.594	ащылық
morbidity	anger	0.594	аурушаңдық
casualty	anger	0.594	құрбан
puncture	anger	0.594	пункция
miserable	anger	0.594	аянышты
inferno	anger	0.594	тозақ
invasion	anger	0.594	басып алу
storming	anger	0.594	шабуыл
wretch	anger	0.594	бейшара
consternation	anger	0.592	таңданыс
raving	anger	0.591	мақтану
forcibly	anger	0.591	мәжбүрлеп
guillotine	anger	0.591	гильотина
guilty	anger	0.591	кінәлі
depraved	anger	0.591	бұзылған
immoral	anger	0.591	әдепсіз
overpowering	anger	0.591	басым
scare	anger	0.588	қорқыту
recalcitrant	anger	0.588	көнбейтін
screwed	anger	0.588	бұрандалы
accursed	anger	0.588	қарғыс атқан
soannoyed	anger	0.588	қатты ашуланды
invader	anger	0.588	басқыншы
jealousy	anger	0.587	қызғаныш
indignation	anger	0.587	наразылық
vexed	anger	0.586	ренжіген
confront	anger	0.582	қарсы тұру
brute	anger	0.581	дөрекі
throttle	anger	0.579	дроссель
slut	anger	0.578	шлюха
coup	anger	0.578	төңкеріс
blaze	anger	0.578	жалын
pillage	anger	0.578	тонау
provoking	anger	0.578	арандату
damage	anger	0.578	зақымдану
criminality	anger	0.578	қылмыстылық
shutup	anger	0.578	ауызыңды жап
lash	anger	0.578	кірпік
conflict	anger	0.578	қақтығыс
contentious	anger	0.578	даулы
shutit	anger	0.578	жабық
wreck	anger	0.578	қирау
defiant	anger	0.578	қарсы
butcher	anger	0.578	қасапшы
incarceration	anger	0.578	қамау
revolver	anger	0.578	револьвер
bickering	anger	0.578	ұрыс-керіс
yousuck	anger	0.578	сен біткенсің
cancer	anger	0.577	қатерлі ісік
discriminate	anger	0.576	кемсіту
gun	anger	0.576	мылтық
frustration	anger	0.576	көңілсіздік
gory	anger	0.576	горы
pernicious	anger	0.576	зиянды
dontmess	anger	0.576	құртпаңыз
blasphemy	anger	0.576	күпірлік
chaotic	anger	0.576	хаотикалық
grope	anger	0.576	сырлау
alienation	anger	0.576	иеліктен шығару
disturbance	anger	0.576	бұзылу
condescension	anger	0.576	кемсіту
standoff	anger	0.576	қарсы тұру
discord	anger	0.576	келіспеушілік
friggen	anger	0.575	фригген
sneer	anger	0.574	мысқылдау
death	anger	0.574	өлім
lunacy	anger	0.574	жындылық
scandalous	anger	0.574	жанжалды
oppressive	anger	0.574	қысымшылық
jab	anger	0.574	жабы
cursed	anger	0.574	қарғыс атқан
monstrosity	anger	0.574	құбыжық
shit	anger	0.573	боқ
disparaging	anger	0.571	кемсіту
slash	anger	0.571	қиғаш сызық
unfair	anger	0.571	әділетсіз
gallows	anger	0.570	асау
escalate	anger	0.569	ұлғайту
intolerant	anger	0.564	төзімсіз
lawlessness	anger	0.563	заңсыздық
beast	anger	0.562	аң
torpedo	anger	0.562	торпедо
malign	anger	0.562	қатерлі
traitor	anger	0.562	сатқын
frightful	anger	0.562	қорқынышты
wrangling	anger	0.562	таласу
slander	anger	0.562	жала жабу
bellows	anger	0.562	сырыл
retards	anger	0.562	тежейді
grouchy	anger	0.562	ашулы
derogatory	anger	0.562	қорлайтын
bearish	anger	0.562	аю
invade	anger	0.562	басып алу
perdition	anger	0.562	жойылу
arghh	anger	0.562	arghh
dreadful	anger	0.562	қорқынышты
bluddy	anger	0.562	бұлдыр
deceived	anger	0.562	алданған
glare	anger	0.562	жарқырау
taunt	anger	0.562	мазақ ету
dissension	anger	0.561	келіспеушілік
cross	anger	0.561	крест
rave	anger	0.561	мақтаныш
grating	anger	0.561	тор
devastating	anger	0.561	жойқын
fits	anger	0.561	сәйкес келеді
jeopardize	anger	0.561	қауіп төндіреді
shatter	anger	0.561	талқандау
idiots	anger	0.561	ақымақтар
hurt	anger	0.561	ауыртады
thief	anger	0.561	ұры
uncontrollable	anger	0.561	бақыланбайтын
conflagration	anger	0.561	өрт
betrayal	anger	0.561	сатқындық
banshee	anger	0.561	банши
subjugation	anger	0.559	бағындыру
disturbed	anger	0.559	алаңдатты
stomped	anger	0.557	таптады
grab	anger	0.557	ұстау
grievance	anger	0.556	шағым
ticked	anger	0.556	белгіледі
masochism	anger	0.556	мазохизм
defiance	anger	0.552	қарсылық
blackmail	anger	0.550	шантаж
offensive	anger	0.549	шабуылдаушы
decry	anger	0.548	айыптау
frustrates	anger	0.547	көңілін қалдырады
violation	anger	0.547	бұзу
confine	anger	0.547	шектеу
misery	anger	0.547	қасірет
arghhhh	anger	0.547	ағххх
disparity	anger	0.547	теңсіздік
punishment	anger	0.547	жаза
rebel	anger	0.547	бүлікші
preposterous	anger	0.547	ақылға сыймайтын
disgraceful	anger	0.547	масқара
ire	anger	0.547	ашулану
deceive	anger	0.547	алдау
fustrated	anger	0.547	ашуланған
sin	anger	0.547	күнә
shrill	anger	0.547	шырылдау
darkside	anger	0.547	қараңғы жақ
overbearing	anger	0.547	басым
firearms	anger	0.547	атыс қаруы
stolen	anger	0.546	ұрланған
hadenough	anger	0.546	жеткілікті
prejudice	anger	0.545	алдын ала пікір
tackle	anger	0.545	шешу
resentful	anger	0.545	ренжіген
heated	anger	0.545	қыздырылған
callous	anger	0.545	қатал
conspirator	anger	0.545	қастандық жасаушы
ruined	anger	0.545	қираған
antagonist	anger	0.545	антагонист
skirmish	anger	0.545	қақтығыс
menace	anger	0.545	қауіп
annoyin	anger	0.545	тітіркендіргіш
foul	anger	0.545	дөрекі
argument	anger	0.545	аргумент
humiliate	anger	0.545	қорлау
wanker	anger	0.545	ванкер
adversary	anger	0.545	қарсылас
sting	anger	0.544	шаншу
entangled	anger	0.544	шырмалған
grumble	anger	0.544	күңкілдеу
robbery	anger	0.544	тонау
outcry	anger	0.544	айқай
resistance	anger	0.543	қарсылық
irreconcilable	anger	0.543	бітіспес
obstructive	anger	0.542	обструктивті
dismay	anger	0.540	үрей
mob	anger	0.538	тобыр
juststop	anger	0.537	тоқта
badness	anger	0.536	жамандық
ridicule	anger	0.534	мазақ ету
incendiary	anger	0.533	тұтандырғыш
flares	anger	0.532	алаулар
twofaced	anger	0.531	екі жүзді
reckless	anger	0.531	абайсыз
communism	anger	0.531	коммунизм
allegation	anger	0.531	айыптау
prejudicial	anger	0.531	преюдициялық
whip	anger	0.531	қамшы
unbridled	anger	0.531	тежеусіз
degeneracy	anger	0.531	дегенерация
intruder	anger	0.531	бұзушы
belittle	anger	0.531	кемсіту
confinement	anger	0.531	қамау
dispute	anger	0.531	дау
exacerbation	anger	0.531	шиеленісуі
uprising	anger	0.531	көтеріліс
unjust	anger	0.530	әділетсіз
unjustifiable	anger	0.530	негізсіз
perversion	anger	0.530	бұрмалау
bigoted	anger	0.530	фанат
fiesty	anger	0.530	жалынды
offender	anger	0.530	қылмыскер
dictatorial	anger	0.530	диктаторлық
hassle	anger	0.530	қиындық
dissonance	anger	0.530	диссонанс
tackled	anger	0.530	шешілді
renegade	anger	0.529	теріс айналушы
cantstandit	anger	0.529	шыдай алмайды
trespass	anger	0.529	бұзу
hot	anger	0.529	ыстық
prison	anger	0.529	түрме
suicide	anger	0.521	суицид
annoy	anger	0.520	ренжіту
leavemealone	anger	0.517	мені жалғыз қалдыр
cretins	anger	0.516	кретиндер
depravity	anger	0.516	азғындық
idiotic	anger	0.516	идиотик
dishonest	anger	0.516	адал емес
distrust	anger	0.516	сенімсіздік
broil	anger	0.516	қайнату
grrr	anger	0.516	гррр
criticize	anger	0.516	сынау
inimical	anger	0.516	қарсы
tortious	anger	0.516	азапты
prisoner	anger	0.516	тұтқын
treason	anger	0.516	сатқындық
divorce	anger	0.516	ажырасу
venting	anger	0.516	желдету
duress	anger	0.516	мәжбүрлеу
disrespectful	anger	0.516	сыйламаушылық
poaching	anger	0.515	браконьерлік
scold	anger	0.515	ұрысады
poachers	anger	0.515	браконьерлер
pow	anger	0.515	күш
hangry	anger	0.515	ашты
argumentation	anger	0.515	аргументация
frustrating	anger	0.515	көңілсіз
unkind	anger	0.515	мейірімсіз
roar	anger	0.515	гүрілдеу
coercion	anger	0.515	мәжбүрлеу
unforgiving	anger	0.515	кешірімсіз
grump	anger	0.515	ренжіту
bile	anger	0.515	өт
unleash	anger	0.515	босату
chaos	anger	0.515	хаос
victimized	anger	0.515	құрбан болды
jerks	anger	0.515	жұлқылар
tussle	anger	0.514	тартыс
bane	anger	0.511	қасірет
accusation	anger	0.510	айыптау
enmity	anger	0.510	дұшпандық
repudiation	anger	0.510	бас тарту
banish	anger	0.509	қуып жіберу
disfigured	anger	0.508	пішіні бұзылған
storm	anger	0.507	дауыл
crazy	anger	0.500	жынды
hammering	anger	0.500	соғу
defy	anger	0.500	қарсы тұру
antithesis	anger	0.500	антитеза
scoff	anger	0.500	мазақ ету
anguish	anger	0.500	азап
confined	anger	0.500	шектелген
fear	anger	0.500	қорқыныш
bout	anger	0.500	жекпе-жек
unruly	anger	0.500	бағынбайтын
delusional	anger	0.500	адасушылық
obstruct	anger	0.500	кедергі жасау
possessed	anger	0.500	иеленген
injustice	anger	0.500	әділетсіздік
fervor	anger	0.500	құштарлық
spear	anger	0.500	найза
derision	anger	0.500	мазақ ету
intractable	anger	0.500	шешілмейтін
reject	anger	0.500	бас тарту
dominate	anger	0.500	үстемдік ету
ordeal	anger	0.500	сынақ
banished	anger	0.500	қуылған
rejects	anger	0.500	бас тартады
shun	anger	0.500	қашу
brunt	anger	0.500	ауыртпалық
derogation	anger	0.500	шектеу
frenzied	anger	0.500	ашулы
animus	anger	0.500	жау
suppression	anger	0.500	басу
malpractice	anger	0.500	қателік
brazen	anger	0.500	жексұрын
foaming	anger	0.500	көбіктену
disrupting	anger	0.500	бұзу
nobodycares	anger	0.500	ешкімге мән бермейді
patronising	anger	0.500	қамқорлық
getoveryourself	anger	0.495	өзіңді жеңу
toughness	anger	0.492	қаттылық
stupidpeople	anger	0.492	ақымақ адамдар
madness	anger	0.491	ақылсыздық
sinful	anger	0.491	күнәкар
avarice	anger	0.490	сараңдық
oppress	anger	0.490	қысым жасау
cutting	anger	0.485	кесу
anathema	anger	0.485	анатема
annoyed	anger	0.485	ренжіді
dissident	anger	0.485	диссидент
demand	anger	0.485	сұраныс
usurp	anger	0.485	басып алу
claw	anger	0.485	тырнақ
alienate	anger	0.485	иеліктен шығару
infraction	anger	0.485	бұзушылық
avenger	anger	0.485	кек алушы
revoke	anger	0.485	күшін жою
smuggler	anger	0.485	контрабандашы
abolish	anger	0.485	жою
fricking	anger	0.485	қыбырлау
stayaway	anger	0.485	алыс болу
pervert	anger	0.485	бұзық
disservice	anger	0.485	қызмет көрсету
disobedient	anger	0.485	бағынбайтын
incest	anger	0.485	инцест
complaint	anger	0.485	шағым
disapproved	anger	0.485	мақұлдады
inhuman	anger	0.485	адамгершілікке жатпайтын
mocking	anger	0.484	мазақ ету
penalty	anger	0.484	айыппұл
renounce	anger	0.484	бас тарту
restrain	anger	0.484	тежеу
upheaval	anger	0.484	толқу
deceit	anger	0.484	алдау
obnoxious	anger	0.484	жағымсыз
imprisoned	anger	0.484	түрмеге қамалды
strained	anger	0.484	шиеленіскен
blame	anger	0.484	кінә
oust	anger	0.484	қуып жіберу
litigious	anger	0.484	даулы
rivalry	anger	0.484	бәсекелестік
sucker	anger	0.484	сорғыш
opposed	anger	0.484	қарсы шықты
thresh	anger	0.484	астық
disgrace	anger	0.484	масқара
suspicious	anger	0.484	күдікті
turbulence	anger	0.483	турбуленттілік
pound	anger	0.481	фунт
coldness	anger	0.477	салқындық
ungrateful	anger	0.472	алғыссыз
stoopid	anger	0.471	еңкейген
battalion	anger	0.471	батальон
feudalism	anger	0.470	феодализм
hostage	anger	0.470	кепіл
annoying	anger	0.470	тітіркендіргіш
dispossessed	anger	0.470	иеліктен айырылды
subversion	anger	0.470	диверсия
friction	anger	0.470	үйкеліс
jealous	anger	0.470	қызғаныш
adversity	anger	0.470	қиыншылық
infidel	anger	0.470	кәпір
gall	anger	0.470	өт
accuser	anger	0.470	айыптаушы
