English Word	Emotion	Emotion-Intensity-Score	Swahili Word
dumbasses	anger	0.712	wajinga
battled	anger	0.712	walipigana
deranged	anger	0.706	wamechanganyikiwa
irritated	anger	0.706	kuwashwa
atrocious	anger	0.706	ukatili
evil	anger	0.706	uovu
aggravated	anger	0.703	kuchochewa
intimidation	anger	0.703	vitisho
dicks	anger	0.703	majungu
assassin	anger	0.703	muuaji
scolding	anger	0.703	kukemea
persecution	anger	0.703	mateso
slayer	anger	0.703	mwuaji
kidnap	anger	0.703	Teka nyara
aggression	anger	0.702	uchokozi
armed	anger	0.700	wenye silaha
battle	anger	0.697	vita
poison	anger	0.697	sumu
snarling	anger	0.697	kupiga kelele
venom	anger	0.697	sumu
disgruntled	anger	0.693	kutoridhika
resentment	anger	0.691	chuki
assailant	anger	0.691	mshambulizi
insidious	anger	0.691	mwenye hila
contemptuous	anger	0.690	mwenye dharau
lynch	anger	0.690	lynch
temper	anger	0.688	hasira
terrible	anger	0.688	ya kutisha
disparage	anger	0.688	dharau
lunatic	anger	0.688	kichaa
bully	anger	0.688	mnyanyasaji
mad	anger	0.688	wazimu
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	mauaji ya watoto wachanga
domination	anger	0.688	utawala
peeved	anger	0.688	peeved
imprisonment	anger	0.688	kifungo
curse	anger	0.688	laana
volatility	anger	0.687	tete
eradication	anger	0.685	kutokomeza
eradicate	anger	0.682	tokomeza
tantrum	anger	0.682	hasira
scoundrel	anger	0.682	mhuni
devastate	anger	0.682	uharibifu
aggressively	anger	0.680	kwa ukali
agitation	anger	0.680	fadhaa
dictatorship	anger	0.676	udikteta
irritates	anger	0.676	inakera
profanity	anger	0.673	lugha chafu
shove	anger	0.672	sukuma
nasty	anger	0.672	mbaya
shot	anger	0.672	risasi
cruelly	anger	0.672	kikatili
shoot	anger	0.672	risasi
condemnation	anger	0.672	hukumu
crushed	anger	0.672	kupondwa
aggravation	anger	0.672	kuzidisha
poisonous	anger	0.672	yenye sumu
egregious	anger	0.672	mbaya
crime	anger	0.672	uhalifu
corrupting	anger	0.672	kufisadi
dastardly	anger	0.672	dastardly
contempt	anger	0.672	dharau
harmful	anger	0.672	madhara
expletive	anger	0.672	ya kukera
wreak	anger	0.672	kuharibu
maniac	anger	0.670	mwendawazimu
cutthroat	anger	0.667	kichefuchefu
enemy	anger	0.667	adui
hit	anger	0.667	piga
hateeveryone	anger	0.667	chukia kila mtu
eruption	anger	0.667	mlipuko
irritable	anger	0.667	hasira
odious	anger	0.667	yenye kuchukiza
shooting	anger	0.667	risasi
shout	anger	0.667	piga kelele
aggressive	anger	0.667	mwenye fujo
kick	anger	0.667	teke
combat	anger	0.667	kupambana
fight	anger	0.667	kupigana
punished	anger	0.662	kuadhibiwa
yell	anger	0.661	piga kelele
ambush	anger	0.661	kuvizia
harass	anger	0.659	nyanyasa
malignant	anger	0.656	mbaya
aggressor	anger	0.656	mchokozi
gore	anger	0.656	gore
destruction	anger	0.656	uharibifu
grudge	anger	0.656	kinyongo
antichrist	anger	0.656	mpinga Kristo
incense	anger	0.656	uvumba
expel	anger	0.656	fukuza
cranky	anger	0.653	mwepesi
slave	anger	0.652	mtumwa
reprisal	anger	0.652	kulipiza kisasi
growl	anger	0.652	kunguruma
animosity	anger	0.652	uadui
insurrection	anger	0.652	uasi
clashing	anger	0.652	mgongano
denounce	anger	0.652	kushutumu
offended	anger	0.652	kuchukizwa
spank	anger	0.652	kupiga
insulting	anger	0.652	matusi
growls	anger	0.649	ananguruma
executioner	anger	0.644	mnyongaji
twat	anger	0.644	kitu
doomsday	anger	0.643	siku ya mwisho
obscenity	anger	0.641	uchafu
accused	anger	0.641	mtuhumiwa
feud	anger	0.641	ugomvi
daemon	anger	0.641	daemoni
havoc	anger	0.641	uharibifu
shackle	anger	0.641	pingu
inexcusable	anger	0.641	isiyo na udhuru
indignant	anger	0.641	mwenye hasira
grr	anger	0.641	grr
expulsion	anger	0.641	kufukuzwa
bombard	anger	0.641	bombard
spat	anger	0.641	mate
arson	anger	0.641	uchomaji moto
reprimand	anger	0.641	karipio
somad	anger	0.637	somad
frustrated	anger	0.636	kuchanganyikiwa
batter	anger	0.636	kugonga
kicking	anger	0.636	kupiga teke
anarchy	anger	0.636	machafuko
spanking	anger	0.636	kupiga
glaring	anger	0.636	kuangaza
suicidal	anger	0.636	ya kujiua
disgusting	anger	0.636	kuchukiza
wound	anger	0.636	jeraha
hanging	anger	0.636	kunyongwa
poisoned	anger	0.636	sumu
combatant	anger	0.636	mpiganaji
wrecked	anger	0.633	imeharibika
inflict	anger	0.633	kusababishia
grievous	anger	0.632	chungu
prosecute	anger	0.630	kushtaki
agitated	anger	0.630	kuchafuka
cheat	anger	0.630	kudanganya
swastika	anger	0.627	swastika
injure	anger	0.625	kujeruhi
indict	anger	0.625	mashtaka
scourge	anger	0.625	janga
provocation	anger	0.625	uchochezi
suffocation	anger	0.625	kukosa hewa
strife	anger	0.625	ugomvi
raid	anger	0.625	uvamizi
enslaved	anger	0.625	utumwani
cursing	anger	0.625	laana
defamatory	anger	0.625	kashfa
harassing	anger	0.625	kunyanyasa
thundering	anger	0.625	ngurumo
betray	anger	0.625	kusaliti
arsehole	anger	0.624	shimo
theft	anger	0.621	wizi
insane	anger	0.621	mwendawazimu
retaliation	anger	0.621	kulipiza kisasi
irritate	anger	0.621	kuudhi
deprivation	anger	0.621	kunyimwa
fiend	anger	0.621	rafiki
jerk	anger	0.621	mcheshi
convict	anger	0.621	hatia
cussed	anger	0.619	kutukanwa
turmoil	anger	0.618	mtikisiko
smack	anger	0.615	piga
retribution	anger	0.614	kulipiza kisasi
rebellion	anger	0.609	uasi
oppressor	anger	0.609	dhalimu
gang	anger	0.609	genge
slavery	anger	0.609	utumwa
intolerable	anger	0.609	isiyovumilika
adverse	anger	0.609	mbaya
injurious	anger	0.609	kudhuru
twats	anger	0.609	vituko
collision	anger	0.609	mgongano
battery	anger	0.609	betri
bitterly	anger	0.609	kwa uchungu
antagonism	anger	0.609	uadui
irritability	anger	0.609	kuwashwa
disgraced	anger	0.608	fedheha
diatribe	anger	0.606	diatribe
asshole	anger	0.606	punda
blast	anger	0.606	mlipuko
bombardment	anger	0.606	kupiga mabomu
irks	anger	0.606	inakera
ranting	anger	0.606	kufoka
revolution	anger	0.606	mapinduzi
thug	anger	0.606	mhuni
antagonistic	anger	0.606	kupingana
irritating	anger	0.606	inakera
sickening	anger	0.606	kuugua
discrimination	anger	0.606	ubaguzi
frustrate	anger	0.604	kukatisha tamaa
insult	anger	0.603	tusi
hurtful	anger	0.603	kuumiza
oppression	anger	0.603	ukandamizaji
manipulation	anger	0.603	ghiliba
tiredofit	anger	0.603	uchovu
bigot	anger	0.603	shupavu
tension	anger	0.603	mvutano
disgust	anger	0.602	karaha
spite	anger	0.600	licha
intrusive	anger	0.598	intrusive
harshness	anger	0.597	ukali
slur	anger	0.596	matusi
tempest	anger	0.594	tufani
assail	anger	0.594	shambulio
bitterness	anger	0.594	uchungu
morbidity	anger	0.594	maradhi
casualty	anger	0.594	majeruhi
puncture	anger	0.594	kutoboa
miserable	anger	0.594	huzuni
inferno	anger	0.594	moto
invasion	anger	0.594	uvamizi
storming	anger	0.594	dhoruba
wretch	anger	0.594	mnyonge
consternation	anger	0.592	mshtuko
raving	anger	0.591	raving
forcibly	anger	0.591	kwa nguvu
guillotine	anger	0.591	guillotine
guilty	anger	0.591	hatia
depraved	anger	0.591	potovu
immoral	anger	0.591	wasio na maadili
overpowering	anger	0.591	kuzidi nguvu
scare	anger	0.588	hofu
recalcitrant	anger	0.588	mkaidi
screwed	anger	0.588	screwed
accursed	anger	0.588	kulaaniwa
soannoyed	anger	0.588	hasira
invader	anger	0.588	mvamizi
jealousy	anger	0.587	wivu
indignation	anger	0.587	hasira
vexed	anger	0.586	hasira
confront	anger	0.582	kukabiliana
brute	anger	0.581	katili
throttle	anger	0.579	kaba
slut	anger	0.578	mchumba
coup	anger	0.578	mapinduzi
blaze	anger	0.578	moto
pillage	anger	0.578	uporaji
provoking	anger	0.578	kuchochea
damage	anger	0.578	uharibifu
criminality	anger	0.578	uhalifu
shutup	anger	0.578	nyamaza
lash	anger	0.578	kope
conflict	anger	0.578	mzozo
contentious	anger	0.578	mwenye ubishi
shutit	anger	0.578	funga
wreck	anger	0.578	ajali
defiant	anger	0.578	dharau
butcher	anger	0.578	mchinjaji
incarceration	anger	0.578	kufungwa
revolver	anger	0.578	bastola
bickering	anger	0.578	mabishano
yousuck	anger	0.578	wewe
cancer	anger	0.577	saratani
discriminate	anger	0.576	kubagua
gun	anger	0.576	bunduki
frustration	anger	0.576	kuchanganyikiwa
gory	anger	0.576	gori
pernicious	anger	0.576	mbaya
dontmess	anger	0.576	uchafu
blasphemy	anger	0.576	kufuru
chaotic	anger	0.576	machafuko
grope	anger	0.576	kupapasa
alienation	anger	0.576	kutengwa
disturbance	anger	0.576	usumbufu
condescension	anger	0.576	unyenyekevu
standoff	anger	0.576	msuguano
discord	anger	0.576	mafarakano
friggen	anger	0.575	friji
sneer	anger	0.574	dharau
death	anger	0.574	kifo
lunacy	anger	0.574	kichaa
scandalous	anger	0.574	kashfa
oppressive	anger	0.574	dhuluma
jab	anger	0.574	jab
cursed	anger	0.574	kulaaniwa
monstrosity	anger	0.574	unyama
shit	anger	0.573	shit
disparaging	anger	0.571	kudhalilisha
slash	anger	0.571	kufyeka
unfair	anger	0.571	haki
gallows	anger	0.570	mti
escalate	anger	0.569	kuongezeka
intolerant	anger	0.564	kutovumilia
lawlessness	anger	0.563	uasi-sheria
beast	anger	0.562	mnyama
torpedo	anger	0.562	torpedo
malign	anger	0.562	dhuluma
traitor	anger	0.562	msaliti
frightful	anger	0.562	ya kutisha
wrangling	anger	0.562	kugombana
slander	anger	0.562	kashfa
bellows	anger	0.562	mvuto
retards	anger	0.562	waliochelewa
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	dharau
bearish	anger	0.562	punguza
invade	anger	0.562	kuvamia
perdition	anger	0.562	uharibifu
arghh	anger	0.562	argh
dreadful	anger	0.562	ya kutisha
bluddy	anger	0.562	kipofu
deceived	anger	0.562	kudanganywa
glare	anger	0.562	mwangaza
taunt	anger	0.562	dhihaka
dissension	anger	0.561	mfarakano
cross	anger	0.561	msalaba
rave	anger	0.561	rave
grating	anger	0.561	kusaga
devastating	anger	0.561	yenye kuangamiza
fits	anger	0.561	inafaa
jeopardize	anger	0.561	kuhatarisha
shatter	anger	0.561	kupasuka
idiots	anger	0.561	wajinga
hurt	anger	0.561	kuumiza
thief	anger	0.561	mwizi
uncontrollable	anger	0.561	isiyoweza kudhibitiwa
conflagration	anger	0.561	moto
betrayal	anger	0.561	usaliti
banshee	anger	0.561	banshee
subjugation	anger	0.559	kutiishwa
disturbed	anger	0.559	kusumbuliwa
stomped	anger	0.557	alikanyaga
grab	anger	0.557	kunyakua
grievance	anger	0.556	malalamiko
ticked	anger	0.556	imetiwa tiki
masochism	anger	0.556	umaskini
defiance	anger	0.552	ukaidi
blackmail	anger	0.550	usaliti
offensive	anger	0.549	kukera
decry	anger	0.548	kulialia
frustrates	anger	0.547	inakatisha tamaa
violation	anger	0.547	ukiukaji
confine	anger	0.547	funga
misery	anger	0.547	taabu
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	kutofautiana
punishment	anger	0.547	adhabu
rebel	anger	0.547	mwasi
preposterous	anger	0.547	kiburi
disgraceful	anger	0.547	ya aibu
ire	anger	0.547	hasira
deceive	anger	0.547	kudanganya
fustrated	anger	0.547	fustrated
sin	anger	0.547	dhambi
shrill	anger	0.547	piga kelele
darkside	anger	0.547	gizani
overbearing	anger	0.547	jabari
firearms	anger	0.547	silaha za moto
stolen	anger	0.546	kuibiwa
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	ubaguzi
tackle	anger	0.545	kukabiliana
resentful	anger	0.545	mwenye kinyongo
heated	anger	0.545	joto
callous	anger	0.545	mwenye huruma
conspirator	anger	0.545	mpanga njama
ruined	anger	0.545	kuharibiwa
antagonist	anger	0.545	mpinzani
skirmish	anger	0.545	pigana
menace	anger	0.545	tishio
annoyin	anger	0.545	kuudhi
foul	anger	0.545	uchafu
argument	anger	0.545	hoja
humiliate	anger	0.545	kudhalilisha
wanker	anger	0.545	mwindaji
adversary	anger	0.545	adui
sting	anger	0.544	kuumwa
entangled	anger	0.544	imenasa
grumble	anger	0.544	kunung'unika
robbery	anger	0.544	wizi
outcry	anger	0.544	kilio
resistance	anger	0.543	upinzani
irreconcilable	anger	0.543	isiyopatanishwa
obstructive	anger	0.542	pingamizi
dismay	anger	0.540	fadhaa
mob	anger	0.538	kundi la watu
juststop	anger	0.537	acha tu
badness	anger	0.536	ubaya
ridicule	anger	0.534	dhihaka
incendiary	anger	0.533	mchomaji moto
flares	anger	0.532	moto
twofaced	anger	0.531	wenye nyuso mbili
reckless	anger	0.531	wazembe
communism	anger	0.531	ukomunisti
allegation	anger	0.531	madai
prejudicial	anger	0.531	upendeleo
whip	anger	0.531	mjeledi
unbridled	anger	0.531	isiyodhibitiwa
degeneracy	anger	0.531	kuzorota
intruder	anger	0.531	mvamizi
belittle	anger	0.531	duni
confinement	anger	0.531	kifungo
dispute	anger	0.531	mzozo
exacerbation	anger	0.531	kuzidisha
uprising	anger	0.531	maasi
unjust	anger	0.530	wasio na haki
unjustifiable	anger	0.530	isiyo na uhalali
perversion	anger	0.530	upotoshaji
bigoted	anger	0.530	mwenye ubinafsi
fiesty	anger	0.530	mbaya
offender	anger	0.530	mkosaji
dictatorial	anger	0.530	kidikteta
hassle	anger	0.530	shida
dissonance	anger	0.530	dissonance
tackled	anger	0.530	kushughulikiwa
renegade	anger	0.529	mwasi
cantstandit	anger	0.529	kutoweza kusimama
trespass	anger	0.529	kosa
hot	anger	0.529	moto
prison	anger	0.529	jela
suicide	anger	0.521	kujiua
annoy	anger	0.520	kuudhi
leavemealone	anger	0.517	unga wa majani
cretins	anger	0.516	kretini
depravity	anger	0.516	upotovu
idiotic	anger	0.516	mjinga
dishonest	anger	0.516	wasio waaminifu
distrust	anger	0.516	kutoaminiana
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	kukosoa
inimical	anger	0.516	isiyo ya kawaida
tortious	anger	0.516	mwenye mateso
prisoner	anger	0.516	mfungwa
treason	anger	0.516	uhaini
divorce	anger	0.516	talaka
venting	anger	0.516	uingizaji hewa
duress	anger	0.516	shinikizo
disrespectful	anger	0.516	wasio na heshima
poaching	anger	0.515	ujangili
scold	anger	0.515	kukemea
poachers	anger	0.515	wawindaji haramu
pow	anger	0.515	povu
hangry	anger	0.515	kunyongwa
argumentation	anger	0.515	mabishano
frustrating	anger	0.515	ya kukatisha tamaa
unkind	anger	0.515	wasio na fadhili
roar	anger	0.515	kishindo
coercion	anger	0.515	kulazimisha
unforgiving	anger	0.515	kutosamehe
grump	anger	0.515	grump
bile	anger	0.515	nyongo
unleash	anger	0.515	fungua
chaos	anger	0.515	machafuko
victimized	anger	0.515	kudhulumiwa
jerks	anger	0.515	jerks
tussle	anger	0.514	mzozo
bane	anger	0.511	balaa
accusation	anger	0.510	mashtaka
enmity	anger	0.510	uadui
repudiation	anger	0.510	kukataliwa
banish	anger	0.509	fukuza
disfigured	anger	0.508	kuharibika
storm	anger	0.507	dhoruba
crazy	anger	0.500	kichaa
hammering	anger	0.500	kupiga nyundo
defy	anger	0.500	kataa
antithesis	anger	0.500	kinyume
scoff	anger	0.500	dhihaki
anguish	anger	0.500	uchungu
confined	anger	0.500	kufungiwa
fear	anger	0.500	hofu
bout	anger	0.500	pambano
unruly	anger	0.500	wakaidi
delusional	anger	0.500	ya udanganyifu
obstruct	anger	0.500	Kuzuia
possessed	anger	0.500	mwenye mali
injustice	anger	0.500	ukosefu wa haki
fervor	anger	0.500	hamasa
spear	anger	0.500	mkuki
derision	anger	0.500	dhihaka
intractable	anger	0.500	isiyoweza kuvumilika
reject	anger	0.500	kukataa
dominate	anger	0.500	kutawala
ordeal	anger	0.500	shida
banished	anger	0.500	kufukuzwa
rejects	anger	0.500	anakataa
shun	anger	0.500	jiepushe
brunt	anger	0.500	mbaya
derogation	anger	0.500	kudharauliwa
frenzied	anger	0.500	kuchanganyikiwa
animus	anger	0.500	uhuishaji
suppression	anger	0.500	kukandamiza
malpractice	anger	0.500	utovu wa nidhamu
brazen	anger	0.500	shaba
foaming	anger	0.500	kutokwa na povu
disrupting	anger	0.500	kuvuruga
nobodycares	anger	0.500	Hakuna anayejali
patronising	anger	0.500	kuunga mkono
getoveryourself	anger	0.495	jirudi
toughness	anger	0.492	ukakamavu
stupidpeople	anger	0.492	wajinga
madness	anger	0.491	wazimu
sinful	anger	0.491	mwenye dhambi
avarice	anger	0.490	ubadhirifu
oppress	anger	0.490	kudhulumu
cutting	anger	0.485	kukata
anathema	anger	0.485	anathema
annoyed	anger	0.485	kuudhika
dissident	anger	0.485	mpinzani
demand	anger	0.485	mahitaji
usurp	anger	0.485	unyang'anyi
claw	anger	0.485	makucha
alienate	anger	0.485	kuwatenganisha
infraction	anger	0.485	ukiukaji
avenger	anger	0.485	mlipiza kisasi
revoke	anger	0.485	kubatilisha
smuggler	anger	0.485	mfanya magendo
abolish	anger	0.485	kukomesha
fricking	anger	0.485	fricking
stayaway	anger	0.485	kaa mbali
pervert	anger	0.485	kupotosha
disservice	anger	0.485	kutojali
disobedient	anger	0.485	wasiotii
incest	anger	0.485	kujamiiana
complaint	anger	0.485	malalamiko
disapproved	anger	0.485	kutoidhinishwa
inhuman	anger	0.485	unyama
mocking	anger	0.484	mzaha
penalty	anger	0.484	adhabu
renounce	anger	0.484	kujinyima
restrain	anger	0.484	zuia
upheaval	anger	0.484	mtikisiko
deceit	anger	0.484	udanganyifu
obnoxious	anger	0.484	ya kuchukiza
imprisoned	anger	0.484	kufungwa
strained	anger	0.484	imechujwa
blame	anger	0.484	lawama
oust	anger	0.484	ondoa
litigious	anger	0.484	madai
rivalry	anger	0.484	ushindani
sucker	anger	0.484	mnyonyaji
opposed	anger	0.484	kupinga
thresh	anger	0.484	ponda
disgrace	anger	0.484	fedheha
suspicious	anger	0.484	kutiliwa shaka
turbulence	anger	0.483	mtikisiko
pound	anger	0.481	pound
coldness	anger	0.477	ubaridi
ungrateful	anger	0.472	wasio na shukrani
stoopid	anger	0.471	kuinama
battalion	anger	0.471	kikosi
feudalism	anger	0.470	ukabaila
hostage	anger	0.470	mateka
annoying	anger	0.470	kuudhi
dispossessed	anger	0.470	kunyang'anywa mali
subversion	anger	0.470	kupindua
friction	anger	0.470	msuguano
jealous	anger	0.470	mwenye wivu
adversity	anger	0.470	shida
infidel	anger	0.470	kafiri
gall	anger	0.470	nyongo
accuser	anger	0.470	mshitaki
ram	anger	0.470	kondoo dume
armament	anger	0.470	silaha
thump	anger	0.469	pigo
