English Word	Emotion	Emotion-Intensity-Score	Yiddish Word
feud	anger	0.641	פיוד
daemon	anger	0.641	דעמאָן
havoc	anger	0.641	כאַוואַק
shackle	anger	0.641	שאַקל
inexcusable	anger	0.641	ומניקוזאַבאַל
indignant	anger	0.641	ופגעבראַכט
grr	anger	0.641	grr
expulsion	anger	0.641	יקספּאַלשאַן
bombard	anger	0.641	באָמבאַרדירן
spat	anger	0.641	געשפּאַט
arson	anger	0.641	אונטערצינדונג
reprimand	anger	0.641	רעפּרימאַנד
somad	anger	0.637	somad
frustrated	anger	0.636	פראַסטרייטאַד
batter	anger	0.636	טייג
kicking	anger	0.636	קיקינג
anarchy	anger	0.636	אַנאַרכיע
spanking	anger	0.636	ספּאַנקינג
glaring	anger	0.636	גלערינג
suicidal	anger	0.636	זעלבסטמאָרד
disgusting	anger	0.636	עקלדיק
wound	anger	0.636	ווונד
hanging	anger	0.636	כאַנגגינג
poisoned	anger	0.636	פּויזאַנד
combatant	anger	0.636	קאַמבאַטאַנט
wrecked	anger	0.633	פארבראכט
inflict	anger	0.633	פאַרשאַפן
grievous	anger	0.632	שווער
prosecute	anger	0.630	פּראָסעקוטירן
agitated	anger	0.630	אויפגערעגט
cheat	anger	0.630	אָפּנאַרן
swastika	anger	0.627	סוואַסטיקאַ
injure	anger	0.625	שאָדן
indict	anger	0.625	באַשולדיקן
scourge	anger	0.625	פּלאָג
provocation	anger	0.625	פּראָוואָקאַציע
suffocation	anger	0.625	דערשטיקונג
strife	anger	0.625	קריג
raid	anger	0.625	אָנפאַל
enslaved	anger	0.625	ענסליווד
cursing	anger	0.625	קללה
defamatory	anger	0.625	שמוץ
harassing	anger	0.625	כעראַסינג
thundering	anger	0.625	דונערנדיק
betray	anger	0.625	פאַרראַטן
arsehole	anger	0.624	אַרסעכאָל
theft	anger	0.621	גניבה
insane	anger	0.621	מעשוגע
retaliation	anger	0.621	נקמה
irritate	anger	0.621	רייצן
deprivation	anger	0.621	דעפּראַוויישאַן
fiend	anger	0.621	פיענד
jerk	anger	0.621	שנוק
convict	anger	0.621	פאַרזיכערן
cussed	anger	0.619	געשולדיקט
turmoil	anger	0.618	בעהאָלע
smack	anger	0.615	שמעקן
retribution	anger	0.614	נקמה
rebellion	anger	0.609	מרידה
oppressor	anger	0.609	דריקער
gang	anger	0.609	באַנדע
slavery	anger	0.609	שקלאַפֿערײַ
intolerable	anger	0.609	ניט פאַרטראָגן
adverse	anger	0.609	אַדווערס
injurious	anger	0.609	שעדלעך
twats	anger	0.609	טוואַץ
collision	anger	0.609	צונויפשטויס
battery	anger	0.609	באַטאַרייע
bitterly	anger	0.609	ביטער
antagonism	anger	0.609	אַנטאַגאַניזם
irritability	anger	0.609	יריטאַבילאַטי
disgraced	anger	0.608	פארשעמט
diatribe	anger	0.606	diatribe
asshole	anger	0.606	רחמנות
blast	anger	0.606	בלאַסט
bombardment	anger	0.606	באָמבאַרדמענט
irks	anger	0.606	ירקס
ranting	anger	0.606	ראַנטינג
revolution	anger	0.606	רעוואָלוציע
thug	anger	0.606	טוג
antagonistic	anger	0.606	אַנטאַגאַנאַסטיק
irritating	anger	0.606	יראַטייטינג
sickening	anger	0.606	קראַנקינג
discrimination	anger	0.606	דיסקרימינאציע
frustrate	anger	0.604	פראַסטרירן
insult	anger	0.603	באַליידיקן
hurtful	anger	0.603	שעדלעך
oppression	anger	0.603	דריקונג
manipulation	anger	0.603	מאַניפּיאַליישאַן
tiredofit	anger	0.603	טירעדאָפיט
bigot	anger	0.603	גרויס
tension	anger	0.603	שפּאַנונג
disgust	anger	0.602	עקל
spite	anger	0.600	להכעיס
intrusive	anger	0.598	ינטרוסיוו
harshness	anger	0.597	האַרבקייט
slur	anger	0.596	סלור
tempest	anger	0.594	שטורעם
assail	anger	0.594	באַפאַלן
bitterness	anger	0.594	פארביטערונג
morbidity	anger	0.594	מאָרבידאַטי
casualty	anger	0.594	קרבנות
puncture	anger	0.594	פּאַנגקטשער
miserable	anger	0.594	צאָרעדיק
inferno	anger	0.594	גענעם
invasion	anger	0.594	ינוואַזיע
storming	anger	0.594	שטורעם
wretch	anger	0.594	אומגליק
consternation	anger	0.592	קאַנסטערניישאַן
raving	anger	0.591	ראַווינג
forcibly	anger	0.591	געצווונגען
guillotine	anger	0.591	גיליאטינע
guilty	anger	0.591	שולדיק
depraved	anger	0.591	פאַרדאָרבן
immoral	anger	0.591	וממאָראַליש
overpowering	anger	0.591	אָוווערפּאַוערינג
scare	anger	0.588	יבערשרעקן
recalcitrant	anger	0.588	רעאַלסיטראַנט
screwed	anger	0.588	סקרוד
accursed	anger	0.588	פארשאלטן
soannoyed	anger	0.588	סאַנויד
invader	anger	0.588	ינוויידער
jealousy	anger	0.587	קנאה
indignation	anger	0.587	צארן
vexed	anger	0.586	ופגעבראַכט
confront	anger	0.582	קאָנפראָנטירן
brute	anger	0.581	ברוט
throttle	anger	0.579	גערגל
slut	anger	0.578	זונה
coup	anger	0.578	קו
blaze	anger	0.578	פלאַם
pillage	anger	0.578	בלאָנדזשען
provoking	anger	0.578	פּראַוואָוקינג
damage	anger	0.578	שאדן
criminality	anger	0.578	קרימינאליטעט
shutup	anger	0.578	זיי שטיל
lash	anger	0.578	לאַש
conflict	anger	0.578	קאָנפליקט
contentious	anger	0.578	קריגעריש
shutit	anger	0.578	שאָטיט
wreck	anger	0.578	בראָך
defiant	anger	0.578	דעפיאַנט
butcher	anger	0.578	קצב
incarceration	anger	0.578	תפיסה
revolver	anger	0.578	רעוואָלווער
bickering	anger	0.578	קריגערייען
yousuck	anger	0.578	דו ביסט נישט גוט
cancer	anger	0.577	ראַק
discriminate	anger	0.576	דיסקרימינירן
gun	anger	0.576	ביקס
frustration	anger	0.576	פראַסטריישאַן
gory	anger	0.576	גאָרי
pernicious	anger	0.576	שעדלעך
dontmess	anger	0.576	טאָן ניט מעסטן
blasphemy	anger	0.576	חילול השם
chaotic	anger	0.576	כאַאָטיש
grope	anger	0.576	טראָפּן
alienation	anger	0.576	ייליאַניישאַן
disturbance	anger	0.576	שטערונג
condescension	anger	0.576	התנשאות
standoff	anger	0.576	סטאַנדאָף
discord	anger	0.576	דיסקאָרד
friggen	anger	0.575	friggen
sneer	anger	0.574	שמייכלען
death	anger	0.574	טויט
lunacy	anger	0.574	מעשוגאַס
scandalous	anger	0.574	סקאַנדאַליעז
oppressive	anger	0.574	אַפּרעסיוו
jab	anger	0.574	jab
cursed	anger	0.574	געשאלטן
monstrosity	anger	0.574	מאַנסטראַסאַטי
shit	anger	0.573	דרעק
disparaging	anger	0.571	דיספּעראַגינג
slash	anger	0.571	צעהאַקן
unfair	anger	0.571	ומיוישערדיק
gallows	anger	0.570	תהום
escalate	anger	0.569	עסקאַלייט
intolerant	anger	0.564	ינטאַלעראַנט
lawlessness	anger	0.563	געזעצלעכקייט
beast	anger	0.562	חיה
torpedo	anger	0.562	טאָרפּעדע
malign	anger	0.562	מאַליגנ
traitor	anger	0.562	פאררעטער
frightful	anger	0.562	שרעקלעך
wrangling	anger	0.562	ראַנגלינג
slander	anger	0.562	רעכילעס
bellows	anger	0.562	בעלאָוז
retards	anger	0.562	ריטאַרדס
grouchy	anger	0.562	גראָב
derogatory	anger	0.562	דערשטערנדיק
bearish	anger	0.562	בעריש
invade	anger	0.562	באַפאַלן
perdition	anger	0.562	פארדארבונג
arghh	anger	0.562	arghh
dreadful	anger	0.562	שרעקלעך
bluddy	anger	0.562	בלונדי
deceived	anger	0.562	פארפירט
glare	anger	0.562	גלער
taunt	anger	0.562	טשעפּענ זיך
dissension	anger	0.561	דיסענסיאָן
cross	anger	0.561	קרייַז
rave	anger	0.561	גוואַלדעווען
grating	anger	0.561	גרייטינג
devastating	anger	0.561	דעוואַסטייטינג
fits	anger	0.561	פיץ
jeopardize	anger	0.561	סאַקאָנע
shatter	anger	0.561	צעשמעטערן
idiots	anger	0.561	ידיאָטן
hurt	anger	0.561	שאַטן
thief	anger	0.561	גנב
uncontrollable	anger	0.561	אַנקאַנטראָולאַבאַל
conflagration	anger	0.561	קאַנפלאַגיישאַן
betrayal	anger	0.561	פאַרראַט
banshee	anger	0.561	באַנשי
subjugation	anger	0.559	אונטערטעניקונג
disturbed	anger	0.559	אויפגערודערט
stomped	anger	0.557	געשטרויכלט
grab	anger	0.557	כאַפּן
grievance	anger	0.556	טרויעריק
ticked	anger	0.556	טיקט
masochism	anger	0.556	מאַסאָכיזם
defiance	anger	0.552	צעטרעטן
blackmail	anger	0.550	בלאַקמייל
offensive	anger	0.549	אַפענסיוו
decry	anger	0.548	דיקרייען
frustrates	anger	0.547	פראַסטרייץ
violation	anger	0.547	הילעל
confine	anger	0.547	באַגרענעצן
misery	anger	0.547	אומגליק
arghhhh	anger	0.547	אַרגהההה
disparity	anger	0.547	דיספּעראַטי
punishment	anger	0.547	שטראָף
rebel	anger	0.547	בונטאַר
preposterous	anger	0.547	ומלעגאַל
disgraceful	anger	0.547	שענדלעך
ire	anger	0.547	ire
deceive	anger	0.547	אָפּנאַרן
fustrated	anger	0.547	פוסטראַטעד
sin	anger	0.547	זינד
shrill	anger	0.547	שריל
darkside	anger	0.547	טונקעלע זייט
overbearing	anger	0.547	איבערהויפנדיק
firearms	anger	0.547	פייער געווער
stolen	anger	0.546	סטאָלען
hadenough	anger	0.546	גענוג
prejudice	anger	0.545	פאָרורטל
tackle	anger	0.545	מאַכנ זיך
resentful	anger	0.545	פאַרדראָס
heated	anger	0.545	העאַטעד
callous	anger	0.545	קאַלאָוס
conspirator	anger	0.545	קאָנספּיראַטאָר
ruined	anger	0.545	קאַליע
antagonist	anger	0.545	אַנטאַגאָניסט
skirmish	anger	0.545	צונויפשטויס
menace	anger	0.545	סאַקאָנע
annoyin	anger	0.545	אַננויין
foul	anger	0.545	ברודיק
argument	anger	0.545	אַרגומענט
humiliate	anger	0.545	דערנידעריקן
wanker	anger	0.545	wanker
adversary	anger	0.545	קעגנער
sting	anger	0.544	שטעכן
entangled	anger	0.544	פארכאפט
grumble	anger	0.544	ברומען
robbery	anger	0.544	גנייווע
outcry	anger	0.544	געשריי
resistance	anger	0.543	קעגנשטעל
irreconcilable	anger	0.543	אומגליקלעך
obstructive	anger	0.542	אַבסטראַקטיוו
dismay	anger	0.540	דערשראקן
mob	anger	0.538	mob
juststop	anger	0.537	נאָר האַלטן
badness	anger	0.536	שלעכטס
ridicule	anger	0.534	לעכערלעך
incendiary	anger	0.533	אָנצינדונג
flares	anger	0.532	פלאַרעס
twofaced	anger	0.531	צוויי־פֿײַסטער
reckless	anger	0.531	ניט באַטראַכט
communism	anger	0.531	קאָמוניזם
allegation	anger	0.531	באַשולדיקונג
prejudicial	anger	0.531	פּרידזשודישאַוואַל
whip	anger	0.531	בייַטש
unbridled	anger	0.531	אומגעבראכט
degeneracy	anger	0.531	דידזשענעריישאַן
intruder	anger	0.531	ינטרודער
belittle	anger	0.531	פאַרמינערן
confinement	anger	0.531	קאַנפיינמאַנט
dispute	anger	0.531	פּאָלעמיק
exacerbation	anger	0.531	פאַרערגערונג
uprising	anger	0.531	אויפֿשטאַנד
unjust	anger	0.530	אומגערעכט
unjustifiable	anger	0.530	אומגערעכט
perversion	anger	0.530	פּערווערסיע
bigoted	anger	0.530	גרויס
fiesty	anger	0.530	פיסטי
offender	anger	0.530	אַפענדער
dictatorial	anger	0.530	דיקטאַטאָריש
hassle	anger	0.530	כאַסאַל
dissonance	anger	0.530	דיסאָנאַנסע
tackled	anger	0.530	טאַקאַלד
renegade	anger	0.529	רענעגאַדע
cantstandit	anger	0.529	קענען נישט שטיין
trespass	anger	0.529	שטראָם
hot	anger	0.529	הייס
prison	anger	0.529	טורמע
suicide	anger	0.521	זעלבסטמאָרד
annoy	anger	0.520	באדערן
leavemealone	anger	0.517	לאָזן מאָלן
cretins	anger	0.516	קרעטינס
depravity	anger	0.516	פאַרדאָרבן
idiotic	anger	0.516	ידיאָטיש
dishonest	anger	0.516	ומערלעך
distrust	anger	0.516	דיסטראַסט
broil	anger	0.516	ברילן
grrr	anger	0.516	גררר
criticize	anger	0.516	קריטיקירן
inimical	anger	0.516	שענדלעך
tortious	anger	0.516	טאָרטיאָוס
prisoner	anger	0.516	אַרעסטאַנט
treason	anger	0.516	טריזאַן
divorce	anger	0.516	גט
venting	anger	0.516	ווענטינג
duress	anger	0.516	געצווונגען
disrespectful	anger	0.516	דיסריספּעקטפאַל
poaching	anger	0.515	פּאָאַטשינג
scold	anger	0.515	שילדערן
poachers	anger	0.515	פּאָוטשערס
pow	anger	0.515	pow
hangry	anger	0.515	האַנגרי
argumentation	anger	0.515	אַרגומענטיישאַן
frustrating	anger	0.515	פראַסטרייטינג
unkind	anger	0.515	אומפרייַנדלעך
roar	anger	0.515	ברום
coercion	anger	0.515	צוואנג
unforgiving	anger	0.515	אַנפערגיווינג
grump	anger	0.515	גראַמפּ
bile	anger	0.515	בייל
unleash	anger	0.515	אַנליש
chaos	anger	0.515	כאַאָס
victimized	anger	0.515	וויקטימיזעד
jerks	anger	0.515	דזשערקס
tussle	anger	0.514	טוסל
bane	anger	0.511	bane
accusation	anger	0.510	באַשולדיקונג
enmity	anger	0.510	פיינטשאַפט
repudiation	anger	0.510	ריפּידייישאַן
banish	anger	0.509	פאַרטרייַבן
disfigured	anger	0.508	דיספיגיערד
storm	anger	0.507	שטורעם
crazy	anger	0.500	משוגע
hammering	anger	0.500	האַמערינג
defy	anger	0.500	אַנטקעגנשטעלנ זיך
antithesis	anger	0.500	אַנטיטעזיס
scoff	anger	0.500	סקאָף
anguish	anger	0.500	פּײַן
confined	anger	0.500	קאַנפיינד
fear	anger	0.500	מורא
bout	anger	0.500	באַוט
unruly	anger	0.500	אומגעריכט
