English Word	Emotion	Emotion-Intensity-Score	Welsh Word
strangle	anger	0.859	tagu
hostility	anger	0.859	gelyniaeth
assault	anger	0.859	ymosodiad
explode	anger	0.859	ffrwydro
tirade	anger	0.859	tirade
loathsome	anger	0.857	cas
hell	anger	0.853	uffern
murderous	anger	0.853	llofruddiol
attack	anger	0.853	ymosod
malice	anger	0.852	malais
terrorism	anger	0.851	terfysgaeth
beating	anger	0.849	curo
outrage	anger	0.848	dicter
desecration	anger	0.848	desecration
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	dinistrio
slaughter	anger	0.844	lladd
irate	anger	0.844	digio
violent	anger	0.844	treisgar
stab	anger	0.844	trywanu
abomination	anger	0.844	ffieidd-dra
tumultuous	anger	0.844	cynhyrfus
infuriate	anger	0.844	cynddeiriog
obliterate	anger	0.843	dileu
belligerent	anger	0.841	clochydd
dumbbitch	anger	0.841	dumbitch
detest	anger	0.838	ffieiddio
hostilities	anger	0.837	gelyniaeth
prick	anger	0.835	pric
rampage	anger	0.833	rhemp
horrid	anger	0.833	erchyll
cruelty	anger	0.833	creulondeb
torture	anger	0.833	artaith
rabid	anger	0.833	cynddeiriog
despicable	anger	0.828	dirmygus
tyrannical	anger	0.828	gormesol
demonic	anger	0.828	demonig
satanic	anger	0.828	satanaidd
hate	anger	0.828	casineb
ragemode	anger	0.828	ragemode
hating	anger	0.828	casau
ruinous	anger	0.825	adfail
condemn	anger	0.825	condemnio
riots	anger	0.824	terfysgoedd
demolish	anger	0.824	chwalu
angry	anger	0.824	blin
extermination	anger	0.824	difodi
dickhead	anger	0.824	dickhead
livid	anger	0.821	livid
madman	anger	0.820	gwallgofddyn
vindictive	anger	0.819	dialgar
terrorist	anger	0.818	terfysgol
threaten	anger	0.818	bygwth
venomous	anger	0.818	gwenwynig
hateyou	anger	0.818	casineb chi
ferocity	anger	0.818	ffyrnigrwydd
effyou	anger	0.818	efffyou
abhor	anger	0.816	ffieiddio
carnage	anger	0.814	lladdfa
savage	anger	0.814	milain
atrocity	anger	0.814	erchyllter
fucksake	anger	0.812	ffycin
abuse	anger	0.812	cam-drin
fierce	anger	0.812	ffyrnig
destroyer	anger	0.812	dinistriwr
angrytweet	anger	0.812	trydar blin
barbaric	anger	0.812	barbaraidd
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	pissedoff
tyrant	anger	0.812	teyrn
berserk	anger	0.812	berserc
fuming	anger	0.812	mygdarthu
anger	anger	0.811	dicter
pieceofshit	anger	0.810	darn o shit
punched	anger	0.803	dyrnu
punching	anger	0.803	dyrnu
slam	anger	0.803	slam
homicide	anger	0.803	lladdiad
bitch	anger	0.803	ast
fights	anger	0.803	ymladd
ruthless	anger	0.797	didostur
villainous	anger	0.797	dihiryn
destructive	anger	0.797	dinistriol
slap	anger	0.791	slap
riot	anger	0.788	terfysg
growthefuckup	anger	0.788	twfefuckup
punishing	anger	0.788	cosbi
slaughterhouse	anger	0.788	lladd-dy
yelling	anger	0.788	gweiddi
diabolical	anger	0.788	diabolaidd
destroyed	anger	0.788	dinistrio
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	dialgar
manslaughter	anger	0.783	dynladdiad
clash	anger	0.783	gwrthdaro
quarrel	anger	0.781	ffraeo
bloody	anger	0.781	gwaedlyd
hellish	anger	0.781	uffernol
sinister	anger	0.781	sinistr
loath	anger	0.781	casineb
detonation	anger	0.781	tanio
accusing	anger	0.779	cyhuddo
fumin	anger	0.779	ffwmin
hateeee	anger	0.779	casineb
treacherous	anger	0.779	bradwrus
madder	anger	0.773	madder
horrific	anger	0.773	erchyll
revulsion	anger	0.773	revulsion
retaliate	anger	0.773	dial
scorn	anger	0.769	gwatwar
bomb	anger	0.766	bom
deplorable	anger	0.766	gresynus
devastation	anger	0.765	dinistr
anarchist	anger	0.765	anarchydd
firestorm	anger	0.765	storm dân
resent	anger	0.765	digio
contemptible	anger	0.764	dirmygus
shittest	anger	0.760	shittest
rant	anger	0.758	rhefru
cruel	anger	0.758	creulon
deadly	anger	0.758	marwol
smash	anger	0.758	malu
soangry	anger	0.758	soinc
outburst	anger	0.757	ffrwydrad
snarl	anger	0.754	snarl
profane	anger	0.750	halogedig
revolting	anger	0.750	gwrthryfela
aggravating	anger	0.750	gwaethygu
horror	anger	0.750	arswyd
despise	anger	0.750	dirmygu
offend	anger	0.750	troseddu
stfu	anger	0.750	stfu
vulgarity	anger	0.750	aflednais
crazed	anger	0.750	gwallgof
douchebags	anger	0.750	bagiau douche
growling	anger	0.750	crychlyd
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	sgrechian
threat	anger	0.742	bygythiad
erupt	anger	0.742	ffrwydro
horrible	anger	0.742	erchyll
molestation	anger	0.742	molestu
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	trais
bastards	anger	0.741	bastardiaid
revenge	anger	0.738	dial
menacing	anger	0.735	bygythiol
crushing	anger	0.735	gwasgu
damn	anger	0.735	damn
catastrophe	anger	0.735	trychineb
demon	anger	0.735	cythraul
argue	anger	0.734	dadlau
persecute	anger	0.734	erlid
deplore	anger	0.734	gresynu
flog	anger	0.734	fflangell
fedup	anger	0.734	wedi cael llond bol
riotous	anger	0.734	terfysglyd
vehement	anger	0.734	ffyrnigrwydd
revolt	anger	0.734	gwrthryfel
warfare	anger	0.734	rhyfela
thrash	anger	0.734	dyrnu
altercation	anger	0.729	altercation
warlike	anger	0.728	rhyfelgar
shitday	anger	0.727	dydd shit
mutiny	anger	0.727	gwrthryfel
castrate	anger	0.727	ysbaddu
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	maleisus
strike	anger	0.721	streic
disaster	anger	0.721	trychineb
disastrous	anger	0.720	trychinebus
bastarding	anger	0.719	bastarding
treachery	anger	0.719	bradwriaeth
arseholes	anger	0.719	tyllau arsyll
horseshit	anger	0.719	march
slay	anger	0.719	lladd
disdain	anger	0.719	dirmyg
aggravates	anger	0.719	gwaethygu
brutal	anger	0.719	creulon
scorching	anger	0.719	crasboeth
devil	anger	0.719	diafol
madden	anger	0.719	madden
spiteful	anger	0.719	sbeitlyd
scream	anger	0.719	sgrechian
choke	anger	0.719	tagu
vermin	anger	0.719	fermin
tumult	anger	0.719	cynnwrf
criminal	anger	0.714	troseddol
mangle	anger	0.714	mangl
anarchism	anger	0.714	anarchiaeth
mutilation	anger	0.714	llurguniad
denunciation	anger	0.713	ymwadiad
punch	anger	0.713	dyrnu
virulence	anger	0.712	ffyrnigrwydd
fatal	anger	0.712	angheuol
hurting	anger	0.712	brifo
crucifixion	anger	0.712	croeshoeliad
dontlikeyou	anger	0.712	ddim yn hoffi chi
blasphemous	anger	0.712	cableddus
holocaust	anger	0.712	holocost
dumbasses	anger	0.712	dmbasses
battled	anger	0.712	brwydro
deranged	anger	0.706	dirywiedig
irritated	anger	0.706	llidiog
atrocious	anger	0.706	erchyll
evil	anger	0.706	drwg
aggravated	anger	0.703	gwaethygol
intimidation	anger	0.703	brawychu
dicks	anger	0.703	diciau
assassin	anger	0.703	llofrudd
scolding	anger	0.703	scolding
persecution	anger	0.703	erlidigaeth
slayer	anger	0.703	lladdwr
kidnap	anger	0.703	herwgipio
aggression	anger	0.702	ymosodol
armed	anger	0.700	arfog
battle	anger	0.697	brwydr
poison	anger	0.697	gwenwyn
snarling	anger	0.697	snarling
venom	anger	0.697	gwenwyn
disgruntled	anger	0.693	anfodlon
resentment	anger	0.691	drwgdeimlad
assailant	anger	0.691	ymosodwr
insidious	anger	0.691	llechwraidd
contemptuous	anger	0.690	dirmygus
lynch	anger	0.690	lynch
temper	anger	0.688	tymer
terrible	anger	0.688	ofnadwy
disparage	anger	0.688	dirmyg
lunatic	anger	0.688	lloerig
bully	anger	0.688	bwli
mad	anger	0.688	gwallgof
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	babanladdiad
domination	anger	0.688	tra-arglwyddiaeth
peeved	anger	0.688	peeved
imprisonment	anger	0.688	carchar
curse	anger	0.688	melltith
volatility	anger	0.687	anwadalwch
eradication	anger	0.685	dileu
eradicate	anger	0.682	dileu
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	gwarchae
devastate	anger	0.682	distryw
aggressively	anger	0.680	yn ymosodol
agitation	anger	0.680	cynnwrf
dictatorship	anger	0.676	unbennaeth
irritates	anger	0.676	yn cythruddo
profanity	anger	0.673	cabledd
shove	anger	0.672	gwthio
nasty	anger	0.672	cas
shot	anger	0.672	ergyd
cruelly	anger	0.672	yn greulon
shoot	anger	0.672	saethu
condemnation	anger	0.672	condemniad
crushed	anger	0.672	mâl
aggravation	anger	0.672	gwaethygiad
poisonous	anger	0.672	gwenwynig
egregious	anger	0.672	egregious
crime	anger	0.672	trosedd
corrupting	anger	0.672	llygru
dastardly	anger	0.672	yn ddigalon
contempt	anger	0.672	dirmyg
harmful	anger	0.672	niweidiol
expletive	anger	0.672	helaeth
wreak	anger	0.672	llongddrylliad
maniac	anger	0.670	maniac
cutthroat	anger	0.667	cutthroat
enemy	anger	0.667	gelyn
hit	anger	0.667	taro
hateeveryone	anger	0.667	casáu pawb
eruption	anger	0.667	ffrwydriad
irritable	anger	0.667	llidiog
odious	anger	0.667	atgas
shooting	anger	0.667	saethu
shout	anger	0.667	gweiddi
aggressive	anger	0.667	ymosodol
kick	anger	0.667	cic
combat	anger	0.667	ymladd
fight	anger	0.667	ymladd
punished	anger	0.662	cosbi
yell	anger	0.661	gweiddi
ambush	anger	0.661	ambush
harass	anger	0.659	aflonyddu
malignant	anger	0.656	malaen
aggressor	anger	0.656	ymosodwr
gore	anger	0.656	gore
destruction	anger	0.656	dinistr
grudge	anger	0.656	grwgnach
antichrist	anger	0.656	anghrist
incense	anger	0.656	arogldarth
expel	anger	0.656	diarddel
cranky	anger	0.653	cranky
slave	anger	0.652	caethwas
reprisal	anger	0.652	dial
growl	anger	0.652	cryu
animosity	anger	0.652	gelyniaeth
insurrection	anger	0.652	gwrthryfel
clashing	anger	0.652	gwrthdaro
denounce	anger	0.652	gwadu
offended	anger	0.652	troseddu
spank	anger	0.652	spank
insulting	anger	0.652	sarhaus
growls	anger	0.649	crych
executioner	anger	0.644	dienyddiwr
twat	anger	0.644	twat
doomsday	anger	0.643	dydd dooms
obscenity	anger	0.641	anlladrwydd
accused	anger	0.641	cyhuddedig
feud	anger	0.641	ymryson
daemon	anger	0.641	ellyll
havoc	anger	0.641	hafoc
shackle	anger	0.641	hualau
inexcusable	anger	0.641	anfaddeuol
indignant	anger	0.641	difrawd
grr	anger	0.641	grr
expulsion	anger	0.641	diarddel
bombard	anger	0.641	peledu
spat	anger	0.641	poer
arson	anger	0.641	llosgi bwriadol
reprimand	anger	0.641	cerydd
somad	anger	0.637	somad
frustrated	anger	0.636	rhwystredig
batter	anger	0.636	cytew
kicking	anger	0.636	cicio
anarchy	anger	0.636	anarchiaeth
spanking	anger	0.636	rhychwantu
glaring	anger	0.636	llacharedd
suicidal	anger	0.636	hunanladdol
disgusting	anger	0.636	ffiaidd
wound	anger	0.636	clwyf
hanging	anger	0.636	hongian
poisoned	anger	0.636	gwenwyno
combatant	anger	0.636	ymladdwr
wrecked	anger	0.633	drylliedig
inflict	anger	0.633	achosi
grievous	anger	0.632	blin
prosecute	anger	0.630	erlyn
agitated	anger	0.630	cynhyrfus
cheat	anger	0.630	twyllo
swastika	anger	0.627	swastika
injure	anger	0.625	anaf
indict	anger	0.625	indict
scourge	anger	0.625	ffrewyll
provocation	anger	0.625	cythrudd
suffocation	anger	0.625	mygu
strife	anger	0.625	ymryson
raid	anger	0.625	cyrch
enslaved	anger	0.625	caethiwed
cursing	anger	0.625	melltithio
defamatory	anger	0.625	difenwol
harassing	anger	0.625	aflonyddu
thundering	anger	0.625	taranu
betray	anger	0.625	bradychu
arsehole	anger	0.624	twll arswyd
theft	anger	0.621	lladrad
insane	anger	0.621	wallgof
retaliation	anger	0.621	dial
irritate	anger	0.621	cythruddo
deprivation	anger	0.621	amddifadedd
fiend	anger	0.621	fiend
jerk	anger	0.621	jerc
convict	anger	0.621	euogfarn
cussed	anger	0.619	cussed
turmoil	anger	0.618	cythrwfl
smack	anger	0.615	smac
retribution	anger	0.614	dialedd
rebellion	anger	0.609	gwrthryfel
oppressor	anger	0.609	gormeswr
gang	anger	0.609	gang
slavery	anger	0.609	caethwasiaeth
intolerable	anger	0.609	annioddefol
adverse	anger	0.609	anffafriol
injurious	anger	0.609	niweidiol
twats	anger	0.609	twats
collision	anger	0.609	gwrthdrawiad
battery	anger	0.609	batri
bitterly	anger	0.609	chwerw
antagonism	anger	0.609	gelyniaeth
irritability	anger	0.609	anniddig
disgraced	anger	0.608	gwarthus
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asshole
blast	anger	0.606	chwyth
bombardment	anger	0.606	peledu
irks	anger	0.606	irks
ranting	anger	0.606	rantio
revolution	anger	0.606	chwyldro
thug	anger	0.606	thug
antagonistic	anger	0.606	antagonist
irritating	anger	0.606	cythruddo
sickening	anger	0.606	yn sâl
discrimination	anger	0.606	gwahaniaethu
frustrate	anger	0.604	rhwystredig
insult	anger	0.603	sarhad
hurtful	anger	0.603	niweidiol
oppression	anger	0.603	gormes
manipulation	anger	0.603	trin
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	tensiwn
disgust	anger	0.602	ffieidd-dod
spite	anger	0.600	sbeit
intrusive	anger	0.598	ymwthiol
harshness	anger	0.597	llymder
slur	anger	0.596	slur
tempest	anger	0.594	tymestl
assail	anger	0.594	ymosod
bitterness	anger	0.594	chwerwder
morbidity	anger	0.594	morbidrwydd
casualty	anger	0.594	anafedig
puncture	anger	0.594	pwniad
miserable	anger	0.594	truenus
inferno	anger	0.594	inferno
invasion	anger	0.594	goresgyniad
storming	anger	0.594	stormio
wretch	anger	0.594	druenus
consternation	anger	0.592	gofid
raving	anger	0.591	cynddeiriog
forcibly	anger	0.591	yn rymus
guillotine	anger	0.591	gilotîn
guilty	anger	0.591	euog
depraved	anger	0.591	digalon
immoral	anger	0.591	anfoesol
overpowering	anger	0.591	gorphwyso
scare	anger	0.588	dychryn
recalcitrant	anger	0.588	ystyfnig
screwed	anger	0.588	sgriwio
accursed	anger	0.588	cyfeiliornus
soannoyed	anger	0.588	socian
invader	anger	0.588	goresgynnwr
jealousy	anger	0.587	cenfigen
indignation	anger	0.587	digofaint
vexed	anger	0.586	blin
confront	anger	0.582	wynebu
brute	anger	0.581	'n Ysgrublaidd
throttle	anger	0.579	throtl
slut	anger	0.578	slwt
coup	anger	0.578	coup
blaze	anger	0.578	tân
pillage	anger	0.578	ysbeilio
provoking	anger	0.578	pryfocio
damage	anger	0.578	difrod
criminality	anger	0.578	troseddoldeb
shutup	anger	0.578	cau i fyny
lash	anger	0.578	lash
conflict	anger	0.578	gwrthdaro
contentious	anger	0.578	cynhennus
shutit	anger	0.578	caead
wreck	anger	0.578	llongddrylliad
defiant	anger	0.578	herfeiddiol
butcher	anger	0.578	cigydd
incarceration	anger	0.578	carcharu
revolver	anger	0.578	llawddryll
bickering	anger	0.578	cecru
yousuck	anger	0.578	iau
cancer	anger	0.577	cancr
discriminate	anger	0.576	gwahaniaethu
gun	anger	0.576	gwn
frustration	anger	0.576	rhwystredigaeth
gory	anger	0.576	gory
pernicious	anger	0.576	niweidiol
dontmess	anger	0.576	llanast
blasphemy	anger	0.576	cabledd
chaotic	anger	0.576	anhrefnus
grope	anger	0.576	ymbalfalu
alienation	anger	0.576	dieithrwch
disturbance	anger	0.576	aflonyddwch
condescension	anger	0.576	cydweddiad
standoff	anger	0.576	standoff
discord	anger	0.576	anghytgord
friggen	anger	0.575	friggen
sneer	anger	0.574	sneer
death	anger	0.574	marwolaeth
lunacy	anger	0.574	gwallgofrwydd
scandalous	anger	0.574	gwarthus
oppressive	anger	0.574	gormesol
jab	anger	0.574	pigiad
cursed	anger	0.574	melltigedig
monstrosity	anger	0.574	gwrthun
shit	anger	0.573	cachu
disparaging	anger	0.571	dirmygus
slash	anger	0.571	slaes
unfair	anger	0.571	annheg
gallows	anger	0.570	crocbren
escalate	anger	0.569	dwysáu
intolerant	anger	0.564	anoddefgar
lawlessness	anger	0.563	anghyfraith
beast	anger	0.562	bwystfil
torpedo	anger	0.562	torpido
malign	anger	0.562	malaen
traitor	anger	0.562	bradwr
frightful	anger	0.562	brawychus
wrangling	anger	0.562	ymgecru
slander	anger	0.562	athrod
bellows	anger	0.562	megin
retards	anger	0.562	retards
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	dirmygus
bearish	anger	0.562	bearish
invade	anger	0.562	goresgyn
perdition	anger	0.562	colledigaeth
arghh	anger	0.562	argh
dreadful	anger	0.562	ofnadwy
bluddy	anger	0.562	blwdan
deceived	anger	0.562	twyllo
glare	anger	0.562	llewyrch
taunt	anger	0.562	taunt
dissension	anger	0.561	anghytundeb
cross	anger	0.561	croes
rave	anger	0.561	rêf
grating	anger	0.561	gratio
devastating	anger	0.561	dinistriol
fits	anger	0.561	ffitiau
jeopardize	anger	0.561	peryglu
shatter	anger	0.561	chwalu
idiots	anger	0.561	idiotiaid
hurt	anger	0.561	brifo
thief	anger	0.561	lleidr
uncontrollable	anger	0.561	afreolus
conflagration	anger	0.561	conflagration
betrayal	anger	0.561	brad
banshee	anger	0.561	banshee
subjugation	anger	0.559	darostyngiad
disturbed	anger	0.559	cynhyrfus
stomped	anger	0.557	stompio
grab	anger	0.557	cydio
grievance	anger	0.556	achwyn
ticked	anger	0.556	ticio
masochism	anger	0.556	masochiaeth
defiance	anger	0.552	herfeiddiad
blackmail	anger	0.550	blacmel
offensive	anger	0.549	sarhaus
decry	anger	0.548	dadgri
frustrates	anger	0.547	rhwystredigaeth
violation	anger	0.547	groes
confine	anger	0.547	cyfyngu
misery	anger	0.547	trallod
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	gwahaniaeth
punishment	anger	0.547	cosb
rebel	anger	0.547	gwrthryfelwr
preposterous	anger	0.547	gwaradwyddus
disgraceful	anger	0.547	gwarthus
ire	anger	0.547	iir
deceive	anger	0.547	twyllo
fustrated	anger	0.547	ffustus
sin	anger	0.547	pechod
shrill	anger	0.547	creislen
darkside	anger	0.547	ochr tywyll
overbearing	anger	0.547	gormesol
firearms	anger	0.547	drylliau
stolen	anger	0.546	dwyn
hadenough	anger	0.546	digon
prejudice	anger	0.545	rhagfarn
tackle	anger	0.545	taclo
resentful	anger	0.545	ddig
heated	anger	0.545	twymo
callous	anger	0.545	dideimlad
conspirator	anger	0.545	cynllwynwr
ruined	anger	0.545	adfeiliedig
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	sgarmes
menace	anger	0.545	bygythiad
annoyin	anger	0.545	annoyin
foul	anger	0.545	aflan
argument	anger	0.545	dadl
humiliate	anger	0.545	bychanu
wanker	anger	0.545	wancer
adversary	anger	0.545	gwrthwynebwr
sting	anger	0.544	pigo
entangled	anger	0.544	ymlynu
grumble	anger	0.544	grwgnach
robbery	anger	0.544	lladrad
outcry	anger	0.544	protest
resistance	anger	0.543	ymwrthedd
irreconcilable	anger	0.543	anghymodlon
obstructive	anger	0.542	rhwystrol
dismay	anger	0.540	digalondid
mob	anger	0.538	mob
juststop	anger	0.537	dim ond stopio
badness	anger	0.536	drygioni
ridicule	anger	0.534	gwawd
incendiary	anger	0.533	tanllyd
flares	anger	0.532	fflachiadau
twofaced	anger	0.531	dauwynebog
reckless	anger	0.531	di-hid
communism	anger	0.531	comiwnyddiaeth
allegation	anger	0.531	honiad
prejudicial	anger	0.531	rhagfarnllyd
whip	anger	0.531	chwip
unbridled	anger	0.531	di-rwystr
degeneracy	anger	0.531	dirywiol
intruder	anger	0.531	tresmaswr
belittle	anger	0.531	bychanu
confinement	anger	0.531	caethiwed
dispute	anger	0.531	anghydfod
exacerbation	anger	0.531	gwaethygiad
uprising	anger	0.531	gwrthryfel
unjust	anger	0.530	anghyfiawn
unjustifiable	anger	0.530	anghyfiawn
perversion	anger	0.530	gwyrdroi
bigoted	anger	0.530	bigot
fiesty	anger	0.530	tanbaid
offender	anger	0.530	troseddwr
dictatorial	anger	0.530	unbenaethol
hassle	anger	0.530	ffwdan
dissonance	anger	0.530	anghyseinedd
tackled	anger	0.530	taclo
renegade	anger	0.529	renegade
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	tresmasu
hot	anger	0.529	poeth
prison	anger	0.529	carchar
suicide	anger	0.521	hunanladdiad
annoy	anger	0.520	blin
leavemealone	anger	0.517	leavemealone
cretins	anger	0.516	cretins
depravity	anger	0.516	depravity
idiotic	anger	0.516	idiotaidd
dishonest	anger	0.516	anonest
distrust	anger	0.516	drwgdybiaeth
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	beirniadu
inimical	anger	0.516	anwaraidd
tortious	anger	0.516	arteithiol
prisoner	anger	0.516	carcharor
treason	anger	0.516	bradwriaeth
divorce	anger	0.516	ysgariad
venting	anger	0.516	fentro
duress	anger	0.516	gorfodaeth
disrespectful	anger	0.516	amharchus
poaching	anger	0.515	potsian
scold	anger	0.515	ysgarth
poachers	anger	0.515	potswyr
pow	anger	0.515	pow
hangry	anger	0.515	grog
argumentation	anger	0.515	dadl
frustrating	anger	0.515	rhwystredig
unkind	anger	0.515	angharedig
roar	anger	0.515	rhuo
coercion	anger	0.515	gorfodaeth
unforgiving	anger	0.515	anfaddeuol
grump	anger	0.515	grwmp
bile	anger	0.515	bustl
unleash	anger	0.515	rhyddhau
chaos	anger	0.515	anhrefn
victimized	anger	0.515	erlid
jerks	anger	0.515	crych
tussle	anger	0.514	twmpath
bane	anger	0.511	bane
accusation	anger	0.510	cyhuddiad
enmity	anger	0.510	gelyniaeth
repudiation	anger	0.510	ymwadiad
banish	anger	0.509	alltudio
disfigured	anger	0.508	anffurfiedig
storm	anger	0.507	storm
crazy	anger	0.500	gwallgof
hammering	anger	0.500	morthwylio
defy	anger	0.500	herio
antithesis	anger	0.500	gwrththesis
scoff	anger	0.500	gwatwar
anguish	anger	0.500	ing
confined	anger	0.500	cyfyng
fear	anger	0.500	ofn
bout	anger	0.500	pwl
unruly	anger	0.500	afreolus
delusional	anger	0.500	rhithiol
obstruct	anger	0.500	rhwystro
possessed	anger	0.500	meddu
injustice	anger	0.500	anghyfiawnder
fervor	anger	0.500	frwdfrydedd
spear	anger	0.500	gwaywffon
derision	anger	0.500	gwawd
intractable	anger	0.500	anhydrin
reject	anger	0.500	gwrthod
dominate	anger	0.500	tra-arglwyddiaethu
ordeal	anger	0.500	dioddefaint
banished	anger	0.500	halltudio
rejects	anger	0.500	yn gwrthod
shun	anger	0.500	shun
brunt	anger	0.500	brunt
derogation	anger	0.500	rhanddirymiad
frenzied	anger	0.500	gwylltio
animus	anger	0.500	animws
suppression	anger	0.500	llethu
malpractice	anger	0.500	camymddwyn
brazen	anger	0.500	pres
foaming	anger	0.500	ewynnog
disrupting	anger	0.500	darfu
nobodycares	anger	0.500	does neb yn malio
patronising	anger	0.500	nawddoglyd
getoveryourself	anger	0.495	dod drosoch eich hun
toughness	anger	0.492	caledwch
stupidpeople	anger	0.492	wirioniaid
madness	anger	0.491	gwallgofrwydd
sinful	anger	0.491	pechadurus
avarice	anger	0.490	afaris
oppress	anger	0.490	gormes
cutting	anger	0.485	torri
anathema	anger	0.485	anathema
annoyed	anger	0.485	blin
dissident	anger	0.485	anghytunol
demand	anger	0.485	galw
usurp	anger	0.485	trawsfeddiant
claw	anger	0.485	Crafanc
alienate	anger	0.485	dieithrwch
infraction	anger	0.485	infraction
avenger	anger	0.485	dialydd
revoke	anger	0.485	dirymu
smuggler	anger	0.485	smyglwr
abolish	anger	0.485	diddymu
fricking	anger	0.485	ffricio
stayaway	anger	0.485	aros i ffwrdd
pervert	anger	0.485	gwyrdroi
disservice	anger	0.485	anghymwynas
disobedient	anger	0.485	anufudd
incest	anger	0.485	llosgach
complaint	anger	0.485	cwyn
disapproved	anger	0.485	anghymeradwy
inhuman	anger	0.485	annynol
mocking	anger	0.484	gwatwar
penalty	anger	0.484	cosb
renounce	anger	0.484	ymwrthod
restrain	anger	0.484	atal
upheaval	anger	0.484	cynnwrf
deceit	anger	0.484	twyll
obnoxious	anger	0.484	atgas
imprisoned	anger	0.484	carcharu
strained	anger	0.484	dan straen
blame	anger	0.484	bai
oust	anger	0.484	oust
litigious	anger	0.484	cyfreithgar
rivalry	anger	0.484	ymryson
sucker	anger	0.484	sugnwr
opposed	anger	0.484	gwrthwynebu
thresh	anger	0.484	dyrnu
disgrace	anger	0.484	gwarth
suspicious	anger	0.484	amheus
turbulence	anger	0.483	cynnwrf
pound	anger	0.481	pwys
coldness	anger	0.477	oerni
ungrateful	anger	0.472	anniolchgar
stoopid	anger	0.471	stwpid
battalion	anger	0.471	bataliwn
feudalism	anger	0.470	ffiwdal
hostage	anger	0.470	gwystl
annoying	anger	0.470	blino
dispossessed	anger	0.470	dadfeddiant
subversion	anger	0.470	gwrthdroad
friction	anger	0.470	ffrithiant
jealous	anger	0.470	genfigennus
adversity	anger	0.470	adfyd
infidel	anger	0.470	anffyddlon
gall	anger	0.470	bustl
accuser	anger	0.470	cyhuddwr
ram	anger	0.470	Ram
armament	anger	0.470	arfogaeth
thump	anger	0.469	thump
dislike	anger	0.469	ddim yn hoffi
steal	anger	0.469	dwyn
backoff	anger	0.469	wrth gefn
stifled	anger	0.469	mygu
incite	anger	0.469	cymell
distress	anger	0.469	trallod
angermanagement	anger	0.469	rheoli dicter
selfish	anger	0.469	hunanol
injury	anger	0.469	anaf
