English Word	Emotion	Emotion-Intensity-Score	Samoan Word
corrupting	anger	0.672	faiga pi'opi'o
dastardly	anger	0.672	mata'utia
contempt	anger	0.672	inosia
harmful	anger	0.672	leaga
expletive	anger	0.672	fa'atauva'a
wreak	anger	0.672	fa'aleaga
maniac	anger	0.670	vale
cutthroat	anger	0.667	tipi
enemy	anger	0.667	fili
hit	anger	0.667	taia
hateeveryone	anger	0.667	'ino'ino i tagata uma
eruption	anger	0.667	pa
irritable	anger	0.667	itaitaita
odious	anger	0.667	matagā
shooting	anger	0.667	fana
shout	anger	0.667	alaga
aggressive	anger	0.667	fa'amalosi
kick	anger	0.667	kiki
combat	anger	0.667	taua
fight	anger	0.667	tau
punished	anger	0.662	fa'asalaina
yell	anger	0.661	ee
ambush	anger	0.661	osofa'i
harass	anger	0.659	fa'alavelave
malignant	anger	0.656	leaga
aggressor	anger	0.656	tagata fa'asa
gore	anger	0.656	tui
destruction	anger	0.656	faatafunaga
grudge	anger	0.656	ita
antichrist	anger	0.656	anetikeriso
incense	anger	0.656	mea manogi
expel	anger	0.656	tulia
cranky	anger	0.653	gugutu
slave	anger	0.652	pologa
reprisal	anger	0.652	tauimasui
growl	anger	0.652	tagi
animosity	anger	0.652	ita
insurrection	anger	0.652	fouvalega
clashing	anger	0.652	fefinauai
denounce	anger	0.652	ta'uleagaina
offended	anger	0.652	faatiga
spank	anger	0.652	sasa
insulting	anger	0.652	taufaaleaga
growls	anger	0.649	tagi
executioner	anger	0.644	fa'asala
twat	anger	0.644	twat
doomsday	anger	0.643	aso oti
obscenity	anger	0.641	mea matagā
accused	anger	0.641	molia
feud	anger	0.641	misa
daemon	anger	0.641	temoni
havoc	anger	0.641	malaia
shackle	anger	0.641	noanoa
inexcusable	anger	0.641	e le mafai ona faanoi
indignant	anger	0.641	ita
grr	anger	0.641	grr
expulsion	anger	0.641	tuliesea
bombard	anger	0.641	pomu
spat	anger	0.641	feanu
arson	anger	0.641	susunu
reprimand	anger	0.641	aoaiga
somad	anger	0.637	somad
frustrated	anger	0.636	le fiafia
batter	anger	0.636	pa'u
kicking	anger	0.636	kiki
anarchy	anger	0.636	fa'aleaga
spanking	anger	0.636	sasa
glaring	anger	0.636	pupula
suicidal	anger	0.636	pule i le pule
disgusting	anger	0.636	inosia
wound	anger	0.636	manu'a
hanging	anger	0.636	tautau
poisoned	anger	0.636	'ona
combatant	anger	0.636	tau
wrecked	anger	0.633	malepelepe
inflict	anger	0.633	fa'atupu
grievous	anger	0.632	fa'anoanoa
prosecute	anger	0.630	molia
agitated	anger	0.630	vevesi
cheat	anger	0.630	faimamago
swastika	anger	0.627	swastika
injure	anger	0.625	manu'a
indict	anger	0.625	molia
scourge	anger	0.625	sasa
provocation	anger	0.625	fa'aoso
suffocation	anger	0.625	mānava
strife	anger	0.625	misa
raid	anger	0.625	osofa'iga
enslaved	anger	0.625	faapologaina
cursing	anger	0.625	fetuu
defamatory	anger	0.625	taufaaleaga
harassing	anger	0.625	fa'alavelave
thundering	anger	0.625	faititili
betray	anger	0.625	faalataina
arsehole	anger	0.624	fa'aleaga
theft	anger	0.621	gaoi
insane	anger	0.621	valea
retaliation	anger	0.621	taui ma sui
irritate	anger	0.621	faaita
deprivation	anger	0.621	le tagolima
fiend	anger	0.621	faife'au
jerk	anger	0.621	ma'i
convict	anger	0.621	nofosala
cussed	anger	0.619	malaia
turmoil	anger	0.618	vevesi
smack	anger	0.615	tu'i
retribution	anger	0.614	tauimasui
rebellion	anger	0.609	fouvale
oppressor	anger	0.609	fa'asauā
gang	anger	0.609	kegi
slavery	anger	0.609	pologa
intolerable	anger	0.609	e le mafai ona onosaia
adverse	anger	0.609	leaga
injurious	anger	0.609	manu'a
twats	anger	0.609	twats
collision	anger	0.609	feto'aiga
battery	anger	0.609	maa
bitterly	anger	0.609	oona
antagonism	anger	0.609	feitaga'i
irritability	anger	0.609	itaitaita
disgraced	anger	0.608	faalumaina
diatribe	anger	0.606	mata'utia
asshole	anger	0.606	ulavale
blast	anger	0.606	pa
bombardment	anger	0.606	osofa'iga
irks	anger	0.606	irks
ranting	anger	0.606	fa'amata'u
revolution	anger	0.606	fouvalega
thug	anger	0.606	faomea
antagonistic	anger	0.606	fa'afeagai
irritating	anger	0.606	faaita
sickening	anger	0.606	ma'i
discrimination	anger	0.606	fa'ailoga tagata
frustrate	anger	0.604	fa'anoanoa
insult	anger	0.603	fa'alumaluma
hurtful	anger	0.603	faatiga
oppression	anger	0.603	sauaga
manipulation	anger	0.603	togafiti
tiredofit	anger	0.603	vaivai
bigot	anger	0.603	mata'utia
tension	anger	0.603	vevesi
disgust	anger	0.602	inoino
spite	anger	0.600	fa'anoanoa
intrusive	anger	0.598	fa'alavelave
harshness	anger	0.597	saua
slur	anger	0.596	fa'alumaluma
tempest	anger	0.594	afa
assail	anger	0.594	osofa'i
bitterness	anger	0.594	oona
morbidity	anger	0.594	ma'i
casualty	anger	0.594	manu'a
puncture	anger	0.594	tui
miserable	anger	0.594	malaia
inferno	anger	0.594	inferno
invasion	anger	0.594	osofa'iga
storming	anger	0.594	afa
wretch	anger	0.594	leaga
consternation	anger	0.592	atuatuvale
raving	anger	0.591	gugutu
forcibly	anger	0.591	fa'amalosi
guillotine	anger	0.591	guillotine
guilty	anger	0.591	nofosala
depraved	anger	0.591	amio leaga
immoral	anger	0.591	le mama
overpowering	anger	0.591	pule malosi
scare	anger	0.588	fa'afefe
recalcitrant	anger	0.588	fa'alata
screwed	anger	0.588	viliina
accursed	anger	0.588	malaia
soannoyed	anger	0.588	ua ita tele
invader	anger	0.588	osofa'i
jealousy	anger	0.587	fuā
indignation	anger	0.587	ita
vexed	anger	0.586	ita
confront	anger	0.582	fa'asagatau
brute	anger	0.581	saua
throttle	anger	0.579	fa'amau
slut	anger	0.578	tama'ita'i
coup	anger	0.578	osofa'iga
blaze	anger	0.578	mu
pillage	anger	0.578	faomea
provoking	anger	0.578	fa'aoso
damage	anger	0.578	fa'aleagaina
criminality	anger	0.578	solitulafono
shutup	anger	0.578	tapuni loa
lash	anger	0.578	sasa
conflict	anger	0.578	feteenaiga
contentious	anger	0.578	misa
shutit	anger	0.578	tapuni
wreck	anger	0.578	malepelepe
defiant	anger	0.578	fa'afefe
butcher	anger	0.578	tagata fasi
incarceration	anger	0.578	falepuipui
revolver	anger	0.578	fana fana
bickering	anger	0.578	misa
yousuck	anger	0.578	e ke le aoga
cancer	anger	0.577	kanesa
discriminate	anger	0.576	fa'ailoga tagata
gun	anger	0.576	fana
frustration	anger	0.576	le fiafia
gory	anger	0.576	totogoa
pernicious	anger	0.576	fa'aleagaina
dontmess	anger	0.576	aua le fa'aleaga
blasphemy	anger	0.576	upu leaga
chaotic	anger	0.576	vevesi
grope	anger	0.576	tautagotago
alienation	anger	0.576	faaesea
disturbance	anger	0.576	fa'alavelave
condescension	anger	0.576	faamaualalo
standoff	anger	0.576	fa'asagatau
discord	anger	0.576	feeseeseaiga
friggen	anger	0.575	friggen
sneer	anger	0.574	tauemu
death	anger	0.574	oti
lunacy	anger	0.574	valea
scandalous	anger	0.574	faalumaina
oppressive	anger	0.574	sauā
jab	anger	0.574	tui
cursed	anger	0.574	fetuuina
monstrosity	anger	0.574	mata'utia
shit	anger	0.573	leaga
disparaging	anger	0.571	fa'atauva'a
slash	anger	0.571	tipi
unfair	anger	0.571	le tonu
gallows	anger	0.570	laau faalava
escalate	anger	0.569	fa'ateleina
intolerant	anger	0.564	le faapalepale
lawlessness	anger	0.563	amioletonu
beast	anger	0.562	manu fe'ai
torpedo	anger	0.562	torpedo
malign	anger	0.562	leaga
traitor	anger	0.562	faalata
frightful	anger	0.562	mata'utia
wrangling	anger	0.562	misa
slander	anger	0.562	taufaaleaga
bellows	anger	0.562	ologo
retards	anger	0.562	tuai
grouchy	anger	0.562	fa'anoanoa
derogatory	anger	0.562	fa'alumaluma
bearish	anger	0.562	fa'atauva'a
invade	anger	0.562	osofa'i
perdition	anger	0.562	malaia
arghh	anger	0.562	arghh
dreadful	anger	0.562	mata'utia
bluddy	anger	0.562	fa'atauva'a
deceived	anger	0.562	ua faaseseina
glare	anger	0.562	pupula
taunt	anger	0.562	tauemu
dissension	anger	0.561	fevaevaeaiga
cross	anger	0.561	satauro
rave	anger	0.561	fa'afefe
grating	anger	0.561	togitogiga
devastating	anger	0.561	faataumaoi
fits	anger	0.561	fetaui
jeopardize	anger	0.561	lamatia
shatter	anger	0.561	malepelepe
idiots	anger	0.561	vale
hurt	anger	0.561	tiga
thief	anger	0.561	gaoi
uncontrollable	anger	0.561	le pulea
conflagration	anger	0.561	afi afi
betrayal	anger	0.561	faalataina
banshee	anger	0.561	banshee
subjugation	anger	0.559	fa'ato'ilaloina
disturbed	anger	0.559	fa'alavelave
stomped	anger	0.557	tu'ia
grab	anger	0.557	uu
grievance	anger	0.556	fa'aseā
ticked	anger	0.556	togiina
masochism	anger	0.556	masochism
defiance	anger	0.552	tete'e
blackmail	anger	0.550	fa'afefe
offensive	anger	0.549	faatiga
decry	anger	0.548	ta'uvalea
frustrates	anger	0.547	fa'anoanoa
violation	anger	0.547	soliga
confine	anger	0.547	taofia
misery	anger	0.547	malaia
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	fa'atasi
punishment	anger	0.547	fa'asalaga
rebel	anger	0.547	fouvale
preposterous	anger	0.547	fa'avalevalea
disgraceful	anger	0.547	faalumaina
ire	anger	0.547	ita
deceive	anger	0.547	fa'a'ole'ole
fustrated	anger	0.547	fa'anoanoa
sin	anger	0.547	agasala
shrill	anger	0.547	fa'agogo
darkside	anger	0.547	itu pogisa
overbearing	anger	0.547	faamaualuga
firearms	anger	0.547	fana
stolen	anger	0.546	gaoia
hadenough	anger	0.546	lelei lava
prejudice	anger	0.545	fa'aituau
tackle	anger	0.545	fai
resentful	anger	0.545	ita
heated	anger	0.545	vevela
callous	anger	0.545	fa'atauva'a
conspirator	anger	0.545	taupulepule
ruined	anger	0.545	fa'aleagaina
antagonist	anger	0.545	tagata tetee
skirmish	anger	0.545	fa'asagatau
menace	anger	0.545	fa'amata'u
annoyin	anger	0.545	ita
foul	anger	0.545	leaga
argument	anger	0.545	finauga
humiliate	anger	0.545	faalumaina
wanker	anger	0.545	fa'atauvalea
adversary	anger	0.545	fili
sting	anger	0.544	tui
entangled	anger	0.544	lavelavea
grumble	anger	0.544	muimui
robbery	anger	0.544	faomea
outcry	anger	0.544	tagi
resistance	anger	0.543	tetee
irreconcilable	anger	0.543	le toe fa'alelei
obstructive	anger	0.542	fa'alavelave
dismay	anger	0.540	fa'anoanoa
mob	anger	0.538	tagata leaga
juststop	anger	0.537	taofi lava
badness	anger	0.536	leaga
ridicule	anger	0.534	tauemuga
incendiary	anger	0.533	fa'amumu
flares	anger	0.532	mumu
twofaced	anger	0.531	matalua
reckless	anger	0.531	faatamala
communism	anger	0.531	faiga faa-Komunisi
allegation	anger	0.531	tuuaiga
prejudicial	anger	0.531	fa'aituau
whip	anger	0.531	sasa
unbridled	anger	0.531	lē taofiofia
degeneracy	anger	0.531	fa'aleagaina
intruder	anger	0.531	fa'alavelave
belittle	anger	0.531	fa'atauva'a
confinement	anger	0.531	taofia
dispute	anger	0.531	finauga
exacerbation	anger	0.531	fa'alavelave
uprising	anger	0.531	fouvalega
unjust	anger	0.530	amioletonu
unjustifiable	anger	0.530	lē fa'asalaina
perversion	anger	0.530	fa'api'opi'o
bigoted	anger	0.530	mata'utia
fiesty	anger	0.530	fiesty
offender	anger	0.530	tagata solitulafono
dictatorial	anger	0.530	fa'apulepule
hassle	anger	0.530	fa'alavelave
dissonance	anger	0.530	fa'atasi
tackled	anger	0.530	taulimaina
renegade	anger	0.529	fouvale
cantstandit	anger	0.529	le mafaia
trespass	anger	0.529	solitulafono
hot	anger	0.529	vevela
prison	anger	0.529	falepuipui
suicide	anger	0.521	pule i le ola
annoy	anger	0.520	ita
leavemealone	anger	0.517	tuu mai au
cretins	anger	0.516	cretins
depravity	anger	0.516	amio leaga
idiotic	anger	0.516	faavalevalea
dishonest	anger	0.516	le faamaoni
distrust	anger	0.516	le talitonuina
broil	anger	0.516	kuka
grrr	anger	0.516	grrr
criticize	anger	0.516	faitio
inimical	anger	0.516	fa'aleaga
tortious	anger	0.516	tiga
prisoner	anger	0.516	pagota
treason	anger	0.516	faalata
divorce	anger	0.516	tatala faaipoipoga
venting	anger	0.516	fa'amalo
duress	anger	0.516	fai faamalosi
disrespectful	anger	0.516	le fa'aaloalo
poaching	anger	0.515	fa'atauga
scold	anger	0.515	otegia
poachers	anger	0.515	tagata faomea
pow	anger	0.515	pow
hangry	anger	0.515	fiatau
argumentation	anger	0.515	finauga
frustrating	anger	0.515	fa'anoanoa
unkind	anger	0.515	agaleaga
roar	anger	0.515	gogolo
coercion	anger	0.515	fai faamalosi
unforgiving	anger	0.515	lē loto fa'amagalo
grump	anger	0.515	muimui
bile	anger	0.515	ga'o
unleash	anger	0.515	tatala
chaos	anger	0.515	vevesi
victimized	anger	0.515	fa'aleagaina
jerks	anger	0.515	mate'e
tussle	anger	0.514	tauiviga
bane	anger	0.511	leaga
accusation	anger	0.510	tuuaiga
enmity	anger	0.510	feitaga'i
repudiation	anger	0.510	faafitia
banish	anger	0.509	tulia
disfigured	anger	0.508	fa'aleaga
storm	anger	0.507	afa
crazy	anger	0.500	valea
hammering	anger	0.500	samala
defy	anger	0.500	tetee
antithesis	anger	0.500	fa'afeagai
scoff	anger	0.500	tauemu
anguish	anger	0.500	tiga
confined	anger	0.500	saisaitia
fear	anger	0.500	fefe
bout	anger	0.500	taua
unruly	anger	0.500	le taupulea
delusional	anger	0.500	fa'asesega
obstruct	anger	0.500	fa'alavelave
possessed	anger	0.500	umia
injustice	anger	0.500	faiga lē tonu
fervor	anger	0.500	fa'anaunau
spear	anger	0.500	tao
derision	anger	0.500	tauemuga
intractable	anger	0.500	faigata
reject	anger	0.500	teena
dominate	anger	0.500	pule
ordeal	anger	0.500	puapuaga
banished	anger	0.500	tulia
rejects	anger	0.500	teena
shun	anger	0.500	alo ese
brunt	anger	0.500	mamafa
derogation	anger	0.500	fa'atauva'a
frenzied	anger	0.500	valevalevale
animus	anger	0.500	animus
suppression	anger	0.500	taofiofia
malpractice	anger	0.500	amio leaga
brazen	anger	0.500	apamemea
foaming	anger	0.500	fa'afefe
disrupting	anger	0.500	fa'alavelave
nobodycares	anger	0.500	leai se tasi e popole
patronising	anger	0.500	lagolago
getoveryourself	anger	0.495	soloia oe lava
toughness	anger	0.492	maaa
stupidpeople	anger	0.492	tagata valelea
madness	anger	0.491	valea
sinful	anger	0.491	agasala
avarice	anger	0.490	mana'o tele
oppress	anger	0.490	faasaua
cutting	anger	0.485	tipi
anathema	anger	0.485	malaia
annoyed	anger	0.485	ita
dissident	anger	0.485	tagata tetee
demand	anger	0.485	mana'oga
usurp	anger	0.485	faomea
claw	anger	0.485	matiuu
alienate	anger	0.485	faaesea
infraction	anger	0.485	solitulafono
avenger	anger	0.485	tauimasui
revoke	anger	0.485	soloia
smuggler	anger	0.485	tagata faanana
abolish	anger	0.485	soloia
fricking	anger	0.485	fe'ai
stayaway	anger	0.485	nofo mamao
pervert	anger	0.485	fa'api'opi'o
disservice	anger	0.485	fa'aleagaina
disobedient	anger	0.485	le usiusitai
incest	anger	0.485	mataifale
complaint	anger	0.485	faasea
disapproved	anger	0.485	lē taliaina
inhuman	anger	0.485	lē fa'aletagata
mocking	anger	0.484	tauemu
penalty	anger	0.484	fa'asalaga
renounce	anger	0.484	lafoai
restrain	anger	0.484	taofi
upheaval	anger	0.484	vevesi
deceit	anger	0.484	fa'a'ole'ole
obnoxious	anger	0.484	matagā
imprisoned	anger	0.484	falepuipui
strained	anger	0.484	tigaina
blame	anger	0.484	tu'ua'i
oust	anger	0.484	tuliesea
litigious	anger	0.484	fa'aletulafono
rivalry	anger	0.484	fa'atauvaga
sucker	anger	0.484	susu
opposed	anger	0.484	tetee
thresh	anger	0.484	soli
disgrace	anger	0.484	faalumaina
suspicious	anger	0.484	masalosalo
turbulence	anger	0.483	vevesi
pound	anger	0.481	pauna
coldness	anger	0.477	malulu
ungrateful	anger	0.472	le fa'afetai
stoopid	anger	0.471	fa'amaualuga
battalion	anger	0.471	autau
feudalism	anger	0.470	feudalism
hostage	anger	0.470	ave faapagota
annoying	anger	0.470	faatiga
dispossessed	anger	0.470	fa'ate'aina
subversion	anger	0.470	fa'alavelave
friction	anger	0.470	fesiitaiga
jealous	anger	0.470	lotoleaga
adversity	anger	0.470	puapuaga
infidel	anger	0.470	le talitonu
gall	anger	0.470	ga'o
accuser	anger	0.470	tagata molia
ram	anger	0.470	mamoe po'a
armament	anger	0.470	auupega
thump	anger	0.469	tu'i
dislike	anger	0.469	le fiafia
steal	anger	0.469	gaoi
backoff	anger	0.469	solomuli
stifled	anger	0.469	fa'asalaina
incite	anger	0.469	fa'aoso
