English Word	Emotion	Emotion-Intensity-Score	Galician Word
atrocity	anger	0.814	atrocidade
fucksake	anger	0.812	carallo
abuse	anger	0.812	abuso
fierce	anger	0.812	feroz
destroyer	anger	0.812	destrutor
angrytweet	anger	0.812	chío con rabia
barbaric	anger	0.812	bárbaro
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	cabrear
pissedoff	anger	0.812	Enoxado
tyrant	anger	0.812	tirano
berserk	anger	0.812	tolo
fuming	anger	0.812	fumando
anger	anger	0.811	rabia
pieceofshit	anger	0.810	anaco de merda
punched	anger	0.803	golpeado
punching	anger	0.803	perforación
slam	anger	0.803	golpe
homicide	anger	0.803	homicidio
bitch	anger	0.803	cadela
fights	anger	0.803	pelexas
ruthless	anger	0.797	desapiadado
villainous	anger	0.797	vilán
destructive	anger	0.797	destrutivo
slap	anger	0.791	labazada
riot	anger	0.788	motín
growthefuckup	anger	0.788	crecementoefuckup
punishing	anger	0.788	castigo
slaughterhouse	anger	0.788	matadoiro
yelling	anger	0.788	berrando
diabolical	anger	0.788	diabólico
destroyed	anger	0.788	destruído
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	represalia
manslaughter	anger	0.783	homicidio involuntario
clash	anger	0.783	choque
quarrel	anger	0.781	rifa
bloody	anger	0.781	sanguento
hellish	anger	0.781	infernal
sinister	anger	0.781	sinistro
loath	anger	0.781	repugnancia
detonation	anger	0.781	detonación
accusing	anger	0.779	acusando
fumin	anger	0.779	fumín
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	traizoeiro
madder	anger	0.773	tolo
horrific	anger	0.773	horrible
revulsion	anger	0.773	repulsa
retaliate	anger	0.773	represaliar
scorn	anger	0.769	desprezo
bomb	anger	0.766	bomba
deplorable	anger	0.766	deplorable
devastation	anger	0.765	devastación
anarchist	anger	0.765	anarquista
firestorm	anger	0.765	tormenta de lume
resent	anger	0.765	resentir
contemptible	anger	0.764	desprezable
shittest	anger	0.760	máis merda
rant	anger	0.758	despotricar
cruel	anger	0.758	cruel
deadly	anger	0.758	mortal
smash	anger	0.758	esmagar
soangry	anger	0.758	enfadado
outburst	anger	0.757	estoupido
snarl	anger	0.754	rosmar
profane	anger	0.750	profano
revolting	anger	0.750	revolta
aggravating	anger	0.750	agravante
horror	anger	0.750	horror
despise	anger	0.750	desprezar
offend	anger	0.750	ofender
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaridade
crazed	anger	0.750	tolo
douchebags	anger	0.750	putas
growling	anger	0.750	rosmando
dontmesswithme	anger	0.750	non me metas
screaming	anger	0.742	berrando
threat	anger	0.742	ameaza
erupt	anger	0.742	estoupar
horrible	anger	0.742	horrible
molestation	anger	0.742	abuso sexual
fuckedoff	anger	0.742	fodido
violence	anger	0.742	violencia
bastards	anger	0.741	cabróns
revenge	anger	0.738	vinganza
menacing	anger	0.735	ameazante
crushing	anger	0.735	trituración
damn	anger	0.735	maldición
catastrophe	anger	0.735	catástrofe
demon	anger	0.735	demo
argue	anger	0.734	argumentar
persecute	anger	0.734	perseguir
deplore	anger	0.734	deplorar
flog	anger	0.734	azotar
fedup	anger	0.734	farto
riotous	anger	0.734	alborotado
vehement	anger	0.734	vehemente
revolt	anger	0.734	revolta
warfare	anger	0.734	guerra
thrash	anger	0.734	golear
altercation	anger	0.729	altercado
warlike	anger	0.728	bélico
shitday	anger	0.727	día de merda
mutiny	anger	0.727	motín
castrate	anger	0.727	castrar
sabotage	anger	0.727	sabotaxe
malevolent	anger	0.721	malévolo
strike	anger	0.721	folga
disaster	anger	0.721	desastre
disastrous	anger	0.720	desastroso
bastarding	anger	0.719	cabrón
treachery	anger	0.719	aleivosía
arseholes	anger	0.719	culos
horseshit	anger	0.719	merda de cabalo
slay	anger	0.719	matar
disdain	anger	0.719	desprezo
aggravates	anger	0.719	agrava
brutal	anger	0.719	brutal
scorching	anger	0.719	abrasador
devil	anger	0.719	demo
madden	anger	0.719	toleado
spiteful	anger	0.719	rencoroso
scream	anger	0.719	berrar
choke	anger	0.719	atragantarse
vermin	anger	0.719	alimañas
tumult	anger	0.719	tumulto
criminal	anger	0.714	criminal
mangle	anger	0.714	destrozar
anarchism	anger	0.714	anarquismo
mutilation	anger	0.714	mutilación
denunciation	anger	0.713	denuncia
punch	anger	0.713	golpe
virulence	anger	0.712	virulencia
fatal	anger	0.712	fatal
hurting	anger	0.712	doendo
crucifixion	anger	0.712	crucifixión
dontlikeyou	anger	0.712	non che gustas
blasphemous	anger	0.712	blasfemo
holocaust	anger	0.712	holocausto
dumbasses	anger	0.712	parvos
battled	anger	0.712	batallado
deranged	anger	0.706	desquiciado
irritated	anger	0.706	irritado
atrocious	anger	0.706	atroz
evil	anger	0.706	mal
aggravated	anger	0.703	agravada
intimidation	anger	0.703	intimidación
dicks	anger	0.703	paus
assassin	anger	0.703	asasino
scolding	anger	0.703	regañando
persecution	anger	0.703	persecución
slayer	anger	0.703	asasino
kidnap	anger	0.703	secuestrar
aggression	anger	0.702	agresión
armed	anger	0.700	armado
battle	anger	0.697	batalla
poison	anger	0.697	veleno
snarling	anger	0.697	ruxindo
venom	anger	0.697	veleno
disgruntled	anger	0.693	descontento
resentment	anger	0.691	resentimento
assailant	anger	0.691	agresor
insidious	anger	0.691	insidioso
contemptuous	anger	0.690	despectivo
lynch	anger	0.690	linchamento
temper	anger	0.688	temperamento
terrible	anger	0.688	terrible
disparage	anger	0.688	desprezar
lunatic	anger	0.688	lunático
bully	anger	0.688	matón
mad	anger	0.688	tolo
makesmemad	anger	0.688	faimemad
infanticide	anger	0.688	infanticidio
domination	anger	0.688	dominación
peeved	anger	0.688	enfadado
imprisonment	anger	0.688	prisión
curse	anger	0.688	maldición
volatility	anger	0.687	volatilidade
eradication	anger	0.685	erradicación
eradicate	anger	0.682	erradicar
tantrum	anger	0.682	berrinche
scoundrel	anger	0.682	canalla
devastate	anger	0.682	devastar
aggressively	anger	0.680	agresivamente
agitation	anger	0.680	axitación
dictatorship	anger	0.676	ditadura
irritates	anger	0.676	irrita
profanity	anger	0.673	blasfemia
shove	anger	0.672	empurrar
nasty	anger	0.672	desagradable
shot	anger	0.672	tiro
cruelly	anger	0.672	cruelmente
shoot	anger	0.672	disparar
condemnation	anger	0.672	condena
crushed	anger	0.672	esmagado
aggravation	anger	0.672	agravamento
poisonous	anger	0.672	velenoso
egregious	anger	0.672	flagrante
crime	anger	0.672	crime
corrupting	anger	0.672	corrompendo
dastardly	anger	0.672	cobarde
contempt	anger	0.672	desprezo
harmful	anger	0.672	prexudicial
expletive	anger	0.672	improperio
wreak	anger	0.672	destrozar
maniac	anger	0.670	maníaco
cutthroat	anger	0.667	degollada
enemy	anger	0.667	inimigo
hit	anger	0.667	bater
hateeveryone	anger	0.667	odia a todos
eruption	anger	0.667	erupción
irritable	anger	0.667	irritable
odious	anger	0.667	odioso
shooting	anger	0.667	tiro
shout	anger	0.667	berrar
aggressive	anger	0.667	agresivo
kick	anger	0.667	patada
combat	anger	0.667	combate
fight	anger	0.667	loitar
punished	anger	0.662	castigado
yell	anger	0.661	berrar
ambush	anger	0.661	emboscada
harass	anger	0.659	acosar
malignant	anger	0.656	maligno
aggressor	anger	0.656	agresor
gore	anger	0.656	gore
destruction	anger	0.656	destrución
grudge	anger	0.656	rancor
antichrist	anger	0.656	anticristo
incense	anger	0.656	incenso
expel	anger	0.656	expulsar
cranky	anger	0.653	malhumorado
slave	anger	0.652	escravo
reprisal	anger	0.652	represalia
growl	anger	0.652	rosmar
animosity	anger	0.652	animosidade
insurrection	anger	0.652	insurrección
clashing	anger	0.652	chocando
denounce	anger	0.652	denunciar
offended	anger	0.652	ofendido
spank	anger	0.652	azote
insulting	anger	0.652	insultante
growls	anger	0.649	gruñidos
executioner	anger	0.644	verdugo
twat	anger	0.644	coño
doomsday	anger	0.643	día do final
obscenity	anger	0.641	obscenidade
accused	anger	0.641	acusado
feud	anger	0.641	feudo
daemon	anger	0.641	demo
havoc	anger	0.641	estragos
shackle	anger	0.641	grillete
inexcusable	anger	0.641	inescusable
indignant	anger	0.641	indignado
grr	anger	0.641	grr
expulsion	anger	0.641	expulsión
bombard	anger	0.641	bombardear
spat	anger	0.641	cuspir
arson	anger	0.641	incendio premeditado
reprimand	anger	0.641	reprimenda
somad	anger	0.637	somad
frustrated	anger	0.636	frustrado
batter	anger	0.636	rebozado
kicking	anger	0.636	patadas
anarchy	anger	0.636	anarquía
spanking	anger	0.636	nalgadas
glaring	anger	0.636	deslumbrante
suicidal	anger	0.636	suicida
disgusting	anger	0.636	repugnante
wound	anger	0.636	ferida
hanging	anger	0.636	colgado
poisoned	anger	0.636	envelenado
combatant	anger	0.636	combatente
wrecked	anger	0.633	destrozado
inflict	anger	0.633	inflixir
grievous	anger	0.632	penoso
prosecute	anger	0.630	procesar
agitated	anger	0.630	axitado
cheat	anger	0.630	enganar
swastika	anger	0.627	esvástica
injure	anger	0.625	ferir
indict	anger	0.625	imputar
scourge	anger	0.625	lacra
provocation	anger	0.625	provocación
suffocation	anger	0.625	asfixia
strife	anger	0.625	pelexa
raid	anger	0.625	incursión
enslaved	anger	0.625	escravo
cursing	anger	0.625	maldicindo
defamatory	anger	0.625	difamatorio
harassing	anger	0.625	acosando
thundering	anger	0.625	tronando
betray	anger	0.625	traizoar
arsehole	anger	0.624	culo
theft	anger	0.621	roubo
insane	anger	0.621	tolo
retaliation	anger	0.621	represalia
irritate	anger	0.621	irritar
deprivation	anger	0.621	privación
fiend	anger	0.621	demonio
jerk	anger	0.621	parvo
convict	anger	0.621	condenado
cussed	anger	0.619	maldito
turmoil	anger	0.618	turbulencia
smack	anger	0.615	chupar
retribution	anger	0.614	retribución
rebellion	anger	0.609	rebelión
oppressor	anger	0.609	opresor
gang	anger	0.609	pandilla
slavery	anger	0.609	escravitude
intolerable	anger	0.609	intolerable
adverse	anger	0.609	adverso
injurious	anger	0.609	prexudicial
twats	anger	0.609	parvos
collision	anger	0.609	colisión
battery	anger	0.609	batería
bitterly	anger	0.609	amargamente
antagonism	anger	0.609	antagonismo
irritability	anger	0.609	irritabilidade
disgraced	anger	0.608	deshonrado
diatribe	anger	0.606	diatriba
asshole	anger	0.606	gilipollas
blast	anger	0.606	explosión
bombardment	anger	0.606	bombardeo
irks	anger	0.606	irritacións
ranting	anger	0.606	despotricando
revolution	anger	0.606	revolución
thug	anger	0.606	matón
antagonistic	anger	0.606	antagónico
irritating	anger	0.606	irritante
sickening	anger	0.606	enfermiza
discrimination	anger	0.606	discriminación
frustrate	anger	0.604	frustrar
insult	anger	0.603	insulto
hurtful	anger	0.603	ferinte
oppression	anger	0.603	opresión
manipulation	anger	0.603	manipulación
tiredofit	anger	0.603	cansado
bigot	anger	0.603	fanático
tension	anger	0.603	tensión
disgust	anger	0.602	noxo
spite	anger	0.600	despecho
intrusive	anger	0.598	intrusivo
harshness	anger	0.597	dureza
slur	anger	0.596	ligar
tempest	anger	0.594	tempestade
assail	anger	0.594	asaltar
bitterness	anger	0.594	amargura
morbidity	anger	0.594	morbilidade
casualty	anger	0.594	vítima
puncture	anger	0.594	pinchazo
miserable	anger	0.594	miserable
inferno	anger	0.594	inferno
invasion	anger	0.594	invasión
storming	anger	0.594	asalto
wretch	anger	0.594	miserable
consternation	anger	0.592	consternación
raving	anger	0.591	delirando
forcibly	anger	0.591	á forza
guillotine	anger	0.591	guillotina
guilty	anger	0.591	culpable
depraved	anger	0.591	depravado
immoral	anger	0.591	inmoral
overpowering	anger	0.591	abafante
scare	anger	0.588	susto
recalcitrant	anger	0.588	recalcitrante
screwed	anger	0.588	atornillado
accursed	anger	0.588	maldito
soannoyed	anger	0.588	tan enfadado
invader	anger	0.588	invasor
jealousy	anger	0.587	celos
indignation	anger	0.587	indignación
vexed	anger	0.586	irritado
confront	anger	0.582	enfrontarse
brute	anger	0.581	bruto
throttle	anger	0.579	acelerador
slut	anger	0.578	puta
coup	anger	0.578	golpe de estado
blaze	anger	0.578	arder
pillage	anger	0.578	pillaxe
provoking	anger	0.578	provocando
damage	anger	0.578	danos
criminality	anger	0.578	criminalidade
shutup	anger	0.578	Cala a boca
lash	anger	0.578	pestana
conflict	anger	0.578	conflito
contentious	anger	0.578	contencioso
shutit	anger	0.578	cala
wreck	anger	0.578	naufraxio
defiant	anger	0.578	desafiante
butcher	anger	0.578	carniceiro
incarceration	anger	0.578	encarceramento
revolver	anger	0.578	revólver
bickering	anger	0.578	pelexas
yousuck	anger	0.578	puta
cancer	anger	0.577	cancro
discriminate	anger	0.576	discriminar
gun	anger	0.576	arma
frustration	anger	0.576	frustración
gory	anger	0.576	sangriento
pernicious	anger	0.576	perniciosa
dontmess	anger	0.576	non te metas
blasphemy	anger	0.576	blasfemia
chaotic	anger	0.576	caótico
grope	anger	0.576	tatear
alienation	anger	0.576	alienación
disturbance	anger	0.576	perturbación
condescension	anger	0.576	condescendencia
standoff	anger	0.576	separación
discord	anger	0.576	discordia
friggen	anger	0.575	friggen
sneer	anger	0.574	mofa
death	anger	0.574	morte
lunacy	anger	0.574	loucura
scandalous	anger	0.574	escandaloso
oppressive	anger	0.574	opresivo
jab	anger	0.574	jab
cursed	anger	0.574	maldito
monstrosity	anger	0.574	monstruosidade
shit	anger	0.573	merda
disparaging	anger	0.571	despectivo
slash	anger	0.571	barra
unfair	anger	0.571	inxusto
gallows	anger	0.570	forca
escalate	anger	0.569	escalar
intolerant	anger	0.564	intolerante
lawlessness	anger	0.563	ilegalidade
beast	anger	0.562	besta
torpedo	anger	0.562	torpedo
malign	anger	0.562	maligno
traitor	anger	0.562	traidor
frightful	anger	0.562	espantoso
wrangling	anger	0.562	disputar
slander	anger	0.562	calumnias
bellows	anger	0.562	fol
retards	anger	0.562	retardados
grouchy	anger	0.562	malhumorado
derogatory	anger	0.562	despectivo
bearish	anger	0.562	baixista
invade	anger	0.562	invadir
perdition	anger	0.562	perdición
arghh	anger	0.562	arghh
dreadful	anger	0.562	terrible
bluddy	anger	0.562	bluddy
deceived	anger	0.562	enganado
glare	anger	0.562	brillo
taunt	anger	0.562	mofa
dissension	anger	0.561	disensión
cross	anger	0.561	cruz
rave	anger	0.561	rave
grating	anger	0.561	reixa
devastating	anger	0.561	devastador
fits	anger	0.561	encaixa
jeopardize	anger	0.561	poñer en perigo
shatter	anger	0.561	esnaquizar
idiots	anger	0.561	idiotas
hurt	anger	0.561	ferido
thief	anger	0.561	ladroa
uncontrollable	anger	0.561	incontrolable
conflagration	anger	0.561	conflagración
betrayal	anger	0.561	traizón
banshee	anger	0.561	banshee
subjugation	anger	0.559	sometemento
disturbed	anger	0.559	perturbado
stomped	anger	0.557	pisoteado
grab	anger	0.557	coller
grievance	anger	0.556	agravio
ticked	anger	0.556	marcado
masochism	anger	0.556	masoquismo
defiance	anger	0.552	desafío
blackmail	anger	0.550	chantaxe
offensive	anger	0.549	ofensivo
decry	anger	0.548	censurar
frustrates	anger	0.547	frustra
violation	anger	0.547	violación
confine	anger	0.547	confinar
misery	anger	0.547	miseria
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparidade
punishment	anger	0.547	castigo
rebel	anger	0.547	rebelde
preposterous	anger	0.547	absurdo
disgraceful	anger	0.547	vergonzoso
ire	anger	0.547	ire
deceive	anger	0.547	enganar
fustrated	anger	0.547	frustrado
sin	anger	0.547	pecado
shrill	anger	0.547	estridente
darkside	anger	0.547	lado escuro
overbearing	anger	0.547	prepotente
firearms	anger	0.547	armas de fogo
stolen	anger	0.546	roubado
hadenough	anger	0.546	abondo
prejudice	anger	0.545	prexuízo
tackle	anger	0.545	abordar
resentful	anger	0.545	resentido
heated	anger	0.545	quentada
callous	anger	0.545	insensible
conspirator	anger	0.545	conspirador
ruined	anger	0.545	arruinado
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	escaramuza
menace	anger	0.545	ameaza
annoyin	anger	0.545	molestar
foul	anger	0.545	falta
argument	anger	0.545	argumento
humiliate	anger	0.545	humillar
wanker	anger	0.545	idiota
adversary	anger	0.545	adversario
sting	anger	0.544	picar
entangled	anger	0.544	enredado
grumble	anger	0.544	murmurar
robbery	anger	0.544	roubo
outcry	anger	0.544	clamor
resistance	anger	0.543	resistencia
irreconcilable	anger	0.543	irreconciliable
obstructive	anger	0.542	obstrutivo
dismay	anger	0.540	consternación
mob	anger	0.538	turba
juststop	anger	0.537	só para
badness	anger	0.536	maldade
ridicule	anger	0.534	ridiculizar
incendiary	anger	0.533	incendiario
flares	anger	0.532	bengalas
twofaced	anger	0.531	de dúas caras
reckless	anger	0.531	imprudente
communism	anger	0.531	comunismo
allegation	anger	0.531	alegación
prejudicial	anger	0.531	prexudicial
whip	anger	0.531	látego
unbridled	anger	0.531	desenfreado
degeneracy	anger	0.531	dexeneración
intruder	anger	0.531	intruso
belittle	anger	0.531	menosprezar
confinement	anger	0.531	confinamento
dispute	anger	0.531	disputa
exacerbation	anger	0.531	exacerbación
uprising	anger	0.531	levantamento
unjust	anger	0.530	inxusto
unjustifiable	anger	0.530	inxustificable
perversion	anger	0.530	perversión
bigoted	anger	0.530	intolerante
fiesty	anger	0.530	feroz
offender	anger	0.530	delincuente
dictatorial	anger	0.530	ditatorial
hassle	anger	0.530	apuros
dissonance	anger	0.530	disonancia
tackled	anger	0.530	abordado
renegade	anger	0.529	renegado
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	traspaso
hot	anger	0.529	quente
prison	anger	0.529	prisión
suicide	anger	0.521	suicidio
annoy	anger	0.520	molestar
leavemealone	anger	0.517	Déixame só
cretins	anger	0.516	cretinos
depravity	anger	0.516	depravación
idiotic	anger	0.516	idiota
dishonest	anger	0.516	deshonesto
distrust	anger	0.516	desconfianza
broil	anger	0.516	asar
grrr	anger	0.516	grrr
criticize	anger	0.516	criticar
inimical	anger	0.516	hostil
tortious	anger	0.516	tortuoso
prisoner	anger	0.516	prisioneiro
treason	anger	0.516	traizón
divorce	anger	0.516	divorcio
venting	anger	0.516	ventilación
duress	anger	0.516	coacción
disrespectful	anger	0.516	irrespectuoso
poaching	anger	0.515	caza furtiva
scold	anger	0.515	regañar
poachers	anger	0.515	cazadores furtivos
pow	anger	0.515	pow
hangry	anger	0.515	con fame
argumentation	anger	0.515	argumentación
frustrating	anger	0.515	frustrante
unkind	anger	0.515	desagradable
roar	anger	0.515	ruxir
coercion	anger	0.515	coacción
unforgiving	anger	0.515	implacable
grump	anger	0.515	gruñón
bile	anger	0.515	bile
unleash	anger	0.515	soltar
chaos	anger	0.515	caos
victimized	anger	0.515	victimizado
jerks	anger	0.515	imbéciles
tussle	anger	0.514	liorta
bane	anger	0.511	perdición
accusation	anger	0.510	acusación
enmity	anger	0.510	inimizade
repudiation	anger	0.510	repudio
banish	anger	0.509	desterrar
disfigured	anger	0.508	desfigurado
storm	anger	0.507	tormenta
crazy	anger	0.500	tolo
hammering	anger	0.500	martelando
defy	anger	0.500	desafiar
antithesis	anger	0.500	antítese
scoff	anger	0.500	burlarse
anguish	anger	0.500	angustia
confined	anger	0.500	confinado
fear	anger	0.500	medo
bout	anger	0.500	combate
unruly	anger	0.500	indisciplinado
delusional	anger	0.500	delirante
obstruct	anger	0.500	obstruír
possessed	anger	0.500	posuído
injustice	anger	0.500	inxustiza
fervor	anger	0.500	fervor
spear	anger	0.500	lanza
derision	anger	0.500	escarnio
intractable	anger	0.500	intratable
reject	anger	0.500	rexeitar
dominate	anger	0.500	dominar
ordeal	anger	0.500	calvario
banished	anger	0.500	desterrado
rejects	anger	0.500	rexeita
shun	anger	0.500	evitar
brunt	anger	0.500	peso
derogation	anger	0.500	derogación
frenzied	anger	0.500	frenético
animus	anger	0.500	ánimo
suppression	anger	0.500	supresión
malpractice	anger	0.500	neglixencia
brazen	anger	0.500	descarado
foaming	anger	0.500	espumando
disrupting	anger	0.500	perturbando
nobodycares	anger	0.500	a ninguén lle importa
patronising	anger	0.500	condescendiente
getoveryourself	anger	0.495	superando a ti mesmo
toughness	anger	0.492	dureza
stupidpeople	anger	0.492	parvos
madness	anger	0.491	loucura
sinful	anger	0.491	pecador
avarice	anger	0.490	avaricia
oppress	anger	0.490	oprimir
cutting	anger	0.485	corte
anathema	anger	0.485	anatema
annoyed	anger	0.485	molesto
dissident	anger	0.485	disidente
demand	anger	0.485	demanda
usurp	anger	0.485	usurpar
claw	anger	0.485	garra
alienate	anger	0.485	alienar
infraction	anger	0.485	infracción
avenger	anger	0.485	vingador
revoke	anger	0.485	revogar
smuggler	anger	0.485	contrabandista
abolish	anger	0.485	abolir
fricking	anger	0.485	fricción
stayaway	anger	0.485	Mantente lonxe
pervert	anger	0.485	pervertido
disservice	anger	0.485	desservizo
disobedient	anger	0.485	desobediente
incest	anger	0.485	incesto
complaint	anger	0.485	denuncia
disapproved	anger	0.485	desaprobado
inhuman	anger	0.485	inhumano
mocking	anger	0.484	burlándose
penalty	anger	0.484	penalización
renounce	anger	0.484	renunciar
restrain	anger	0.484	frear
upheaval	anger	0.484	trastorno
deceit	anger	0.484	engano
obnoxious	anger	0.484	desagradable
imprisoned	anger	0.484	preso
strained	anger	0.484	tensas
blame	anger	0.484	culpa
oust	anger	0.484	expulsar
litigious	anger	0.484	litixiosa
rivalry	anger	0.484	rivalidade
sucker	anger	0.484	ventosa
opposed	anger	0.484	oposto
thresh	anger	0.484	debullar
disgrace	anger	0.484	deshonra
suspicious	anger	0.484	sospeitoso
turbulence	anger	0.483	turbulencia
pound	anger	0.481	Libra
coldness	anger	0.477	frialdade
ungrateful	anger	0.472	ingrato
stoopid	anger	0.471	estópido
battalion	anger	0.471	batallón
feudalism	anger	0.470	feudalismo
hostage	anger	0.470	refén
annoying	anger	0.470	molesto
dispossessed	anger	0.470	desposuído
subversion	anger	0.470	subversión
friction	anger	0.470	rozamento
jealous	anger	0.470	celoso
adversity	anger	0.470	adversidade
infidel	anger	0.470	infiel
gall	anger	0.470	fel
accuser	anger	0.470	acusador
ram	anger	0.470	RAM
armament	anger	0.470	armamento
thump	anger	0.469	bater
dislike	anger	0.469	non me gusta
steal	anger	0.469	roubar
backoff	anger	0.469	Voltar
stifled	anger	0.469	sufocado
incite	anger	0.469	incitar
distress	anger	0.469	angustia
angermanagement	anger	0.469	xestión da ira
selfish	anger	0.469	egoísta
injury	anger	0.469	lesión
exile	anger	0.469	exilio
insanity	anger	0.469	tolemia
offense	anger	0.469	ofensa
objection	anger	0.469	obxección
smother	anger	0.469	sufocar
disruption	anger	0.469	interrupción
intolerance	anger	0.469	intolerancia
disobey	anger	0.469	desobedecer
selfishness	anger	0.469	egoísmo
recidivism	anger	0.469	reincidencia
subversive	anger	0.469	subversivo
huff	anger	0.469	huff
plunder	anger	0.469	espolio
opposition	anger	0.469	oposición
complain	anger	0.469	reclamar
perpetrator	anger	0.469	autor
simmer	anger	0.469	ferver a lume lento
areyoukidding	anger	0.468	estás de coña
mug	anger	0.467	cunca
agony	anger	0.465	agonía
arrogant	anger	0.461	arrogante
sux	anger	0.456	sux
vent	anger	0.456	ventilación
elimination	anger	0.456	eliminación
picketing	anger	0.456	piquetes
haughty	anger	0.456	altivo
grated	anger	0.455	ralado
flagrant	anger	0.455	flagrante
busted	anger	0.455	detido
crabby	anger	0.455	crabby
dying	anger	0.455	morrendo
idiocy	anger	0.455	idiotez
impermeable	anger	0.455	impermeable
stubbed	anger	0.455	clavado
illegality	anger	0.455	ilegalidade
veto	anger	0.455	veto
constraint	anger	0.455	restrición
mislead	anger	0.455	enganar
illicit	anger	0.455	ilícito
troublesome	anger	0.455	problemático
clamor	anger	0.455	clamor
bayonet	anger	0.453	baioneta
suppress	anger	0.453	suprimir
intense	anger	0.453	intenso
displeased	anger	0.453	descontento
disapproving	anger	0.453	desaprobando
hysterical	anger	0.453	histérico
struggle	anger	0.453	loita
godless	anger	0.453	sen Deus
desist	anger	0.453	desistir
usurped	anger	0.453	usurpada
