English Word	Emotion	Emotion-Intensity-Score	Cebuano Word
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	pagsilot
slaughterhouse	anger	0.788	ihawan
yelling	anger	0.788	nagsinggit
diabolical	anger	0.788	yawan-on
destroyed	anger	0.788	naguba
ragetweet	anger	0.788	naglagot tweet
retaliatory	anger	0.788	pagbalos
manslaughter	anger	0.783	pagpamatay
clash	anger	0.783	panagsangka
quarrel	anger	0.781	away
bloody	anger	0.781	dugoon
hellish	anger	0.781	impyerno
sinister	anger	0.781	daotan
loath	anger	0.781	kalagot
detonation	anger	0.781	pagpabuto
accusing	anger	0.779	pagsumbong
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	maluibon
madder	anger	0.773	buang
horrific	anger	0.773	makalilisang
revulsion	anger	0.773	pagsukol
retaliate	anger	0.773	mubalos
scorn	anger	0.769	pagtamay
bomb	anger	0.766	bomba
deplorable	anger	0.766	makaluluoy
devastation	anger	0.765	pagkaguba
anarchist	anger	0.765	anarkista
firestorm	anger	0.765	unos sa kalayo
resent	anger	0.765	masuko
contemptible	anger	0.764	talamayon
shittest	anger	0.760	pinaka buang
rant	anger	0.758	yawyaw
cruel	anger	0.758	mapintas
deadly	anger	0.758	makamatay
smash	anger	0.758	dugmok
soangry	anger	0.758	nasuko
outburst	anger	0.757	pagsilaob
snarl	anger	0.754	sungog
profane	anger	0.750	mapasipalahon
revolting	anger	0.750	makasukol
aggravating	anger	0.750	makapasamot
horror	anger	0.750	kalisang
despise	anger	0.750	pagtamay
offend	anger	0.750	makapasilo
stfu	anger	0.750	stfu
vulgarity	anger	0.750	pagkabulgar
crazed	anger	0.750	nabuang
douchebags	anger	0.750	mga douchebags
growling	anger	0.750	nagngulob
dontmesswithme	anger	0.750	ayaw kog panguyab
screaming	anger	0.742	nagsiyagit
threat	anger	0.742	hulga
erupt	anger	0.742	mibuto
horrible	anger	0.742	makalilisang
molestation	anger	0.742	pagmolestiya
fuckedoff	anger	0.742	nabuang
violence	anger	0.742	kapintasan
bastards	anger	0.741	mga bastos
revenge	anger	0.738	panimalos
menacing	anger	0.735	naghulga
crushing	anger	0.735	pagdugmok
damn	anger	0.735	maldita
catastrophe	anger	0.735	katalagman
demon	anger	0.735	demonyo
argue	anger	0.734	makiglalis
persecute	anger	0.734	paglutos
deplore	anger	0.734	maguol
flog	anger	0.734	latigo
fedup	anger	0.734	kabuang
riotous	anger	0.734	gubot
vehement	anger	0.734	mainiton
revolt	anger	0.734	pag-alsa
warfare	anger	0.734	gubat
thrash	anger	0.734	pagkurog
altercation	anger	0.729	panaglalis
warlike	anger	0.728	sama sa gubat
shitday	anger	0.727	shitday
mutiny	anger	0.727	mutiny
castrate	anger	0.727	kastrat
sabotage	anger	0.727	pagsabotahe
malevolent	anger	0.721	daotan
strike	anger	0.721	welga
disaster	anger	0.721	katalagman
disastrous	anger	0.720	makadaot
bastarding	anger	0.719	bastos
treachery	anger	0.719	pagluib
arseholes	anger	0.719	mga arseholes
horseshit	anger	0.719	panit sa kabayo
slay	anger	0.719	sa pagpatay
disdain	anger	0.719	pagtamay
aggravates	anger	0.719	nagpasamot
brutal	anger	0.719	bangis
scorching	anger	0.719	makapaso
devil	anger	0.719	yawa
madden	anger	0.719	nasuko
spiteful	anger	0.719	mabangis
scream	anger	0.719	singgit
choke	anger	0.719	matuk-an
vermin	anger	0.719	peste
tumult	anger	0.719	kaguliyang
criminal	anger	0.714	kriminal
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkismo
mutilation	anger	0.714	pagputol
denunciation	anger	0.713	pagsaway
punch	anger	0.713	suntok
virulence	anger	0.712	kapintasan
fatal	anger	0.712	makamatay
hurting	anger	0.712	nagsakit
crucifixion	anger	0.712	paglansang sa krus
dontlikeyou	anger	0.712	dili ganahan nimo
blasphemous	anger	0.712	mapasipalahon
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	mga tanga
battled	anger	0.712	nakig-away
deranged	anger	0.706	nabuang
irritated	anger	0.706	nasuko
atrocious	anger	0.706	bangis
evil	anger	0.706	daotan
aggravated	anger	0.703	nagkagrabe
intimidation	anger	0.703	pagpanghadlok
dicks	anger	0.703	dicks
assassin	anger	0.703	mamumuno
scolding	anger	0.703	pagpanguyab
persecution	anger	0.703	pagpanggukod
slayer	anger	0.703	mamumuno
kidnap	anger	0.703	kidnap
aggression	anger	0.702	agresyon
armed	anger	0.700	armado
battle	anger	0.697	gubat
poison	anger	0.697	hilo
snarling	anger	0.697	nagngulob
venom	anger	0.697	lala
disgruntled	anger	0.693	nasuko
resentment	anger	0.691	kayugot
assailant	anger	0.691	tig-atake
insidious	anger	0.691	malimbungon
contemptuous	anger	0.690	matamayon
lynch	anger	0.690	lynch
temper	anger	0.688	kasuko
terrible	anger	0.688	makalilisang
disparage	anger	0.688	pagtamay
lunatic	anger	0.688	buangbuang
bully	anger	0.688	tigdaogdaog
mad	anger	0.688	buang
makesmemad	anger	0.688	nagpakatawa
infanticide	anger	0.688	pagpatay sa bata
domination	anger	0.688	pagmando
peeved	anger	0.688	nasuko
imprisonment	anger	0.688	pagkabilanggo
curse	anger	0.688	tunglo
volatility	anger	0.687	volatility
eradication	anger	0.685	pagwagtang
eradicate	anger	0.682	wagtangon
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	bastos
devastate	anger	0.682	makaguba
aggressively	anger	0.680	agresibo
agitation	anger	0.680	kasamok
dictatorship	anger	0.676	diktadurya
irritates	anger	0.676	makapalagot
profanity	anger	0.673	pagpasipala
shove	anger	0.672	iduso
nasty	anger	0.672	daotan
shot	anger	0.672	gipusil
cruelly	anger	0.672	mapintas
shoot	anger	0.672	pagpusil
condemnation	anger	0.672	pagkondenar
crushed	anger	0.672	nadugmok
aggravation	anger	0.672	pagsamot
poisonous	anger	0.672	makahilo
egregious	anger	0.672	grabe
crime	anger	0.672	krimen
corrupting	anger	0.672	makadaot
dastardly	anger	0.672	walay pulos
contempt	anger	0.672	pagtamay
harmful	anger	0.672	makadaot
expletive	anger	0.672	pagpamakak
wreak	anger	0.672	makaguba
maniac	anger	0.670	maniac
cutthroat	anger	0.667	cutthroat
enemy	anger	0.667	kaaway
hit	anger	0.667	naigo
hateeveryone	anger	0.667	pagdumot sa tanan
eruption	anger	0.667	pagbuto
irritable	anger	0.667	masuko
odious	anger	0.667	ngil-ad
shooting	anger	0.667	pagpamusil
shout	anger	0.667	singgit
aggressive	anger	0.667	agresibo
kick	anger	0.667	sipa
combat	anger	0.667	panagsangka
fight	anger	0.667	away
punished	anger	0.662	gisilotan
yell	anger	0.661	mosinggit
ambush	anger	0.661	ambush
harass	anger	0.659	manghasi
malignant	anger	0.656	malignant
aggressor	anger	0.656	aggressor
gore	anger	0.656	dungag
destruction	anger	0.656	kalaglagan
grudge	anger	0.656	pagdumot
antichrist	anger	0.656	antikristo
incense	anger	0.656	insenso
expel	anger	0.656	papahawaon
cranky	anger	0.653	samok
slave	anger	0.652	ulipon
reprisal	anger	0.652	pagbalos
growl	anger	0.652	pagngulob
animosity	anger	0.652	kasuko
insurrection	anger	0.652	insureksyon
clashing	anger	0.652	panagsangka
denounce	anger	0.652	pagsaway
offended	anger	0.652	nasakitan
spank	anger	0.652	bunal
insulting	anger	0.652	insulto
growls	anger	0.649	nangulob
executioner	anger	0.644	berdugo
twat	anger	0.644	twat
doomsday	anger	0.643	adlaw sa kalaglagan
obscenity	anger	0.641	kahilayan
accused	anger	0.641	akusado
feud	anger	0.641	away
daemon	anger	0.641	daemon
havoc	anger	0.641	kadaot
shackle	anger	0.641	gapos
inexcusable	anger	0.641	dili mapasaylo
indignant	anger	0.641	nasuko
grr	anger	0.641	grr
expulsion	anger	0.641	pagpalagpot
bombard	anger	0.641	pagpamomba
spat	anger	0.641	naglaway
arson	anger	0.641	pagsunog
reprimand	anger	0.641	pagbadlong
somad	anger	0.637	suko kaayo
frustrated	anger	0.636	nahigawad
batter	anger	0.636	batter
kicking	anger	0.636	pagsipa
anarchy	anger	0.636	anarkiya
spanking	anger	0.636	pagbunal
glaring	anger	0.636	nagdan-ag
suicidal	anger	0.636	paghikog
disgusting	anger	0.636	makaluod
wound	anger	0.636	samad
hanging	anger	0.636	nagbitay
poisoned	anger	0.636	gihiloan
combatant	anger	0.636	manggugubat
wrecked	anger	0.633	naguba
inflict	anger	0.633	pagpahamtang
grievous	anger	0.632	makaguol
prosecute	anger	0.630	pagkiha
agitated	anger	0.630	nabalisa
cheat	anger	0.630	manglimbong
swastika	anger	0.627	swastika
injure	anger	0.625	makasamad
indict	anger	0.625	sumbong
scourge	anger	0.625	hampak
provocation	anger	0.625	paghagit
suffocation	anger	0.625	paghuot
strife	anger	0.625	panag-away
raid	anger	0.625	reyd
enslaved	anger	0.625	naulipon
cursing	anger	0.625	pagtunglo
defamatory	anger	0.625	mapasipalahon
harassing	anger	0.625	pagpanghasi
thundering	anger	0.625	dalugdog
betray	anger	0.625	magbudhi
arsehole	anger	0.624	arsehole
theft	anger	0.621	pagpangawat
insane	anger	0.621	buangbuang
retaliation	anger	0.621	pagbalos
irritate	anger	0.621	makapalagot
deprivation	anger	0.621	kawad-on
fiend	anger	0.621	daotan
jerk	anger	0.621	jerk
convict	anger	0.621	konbiktado
cussed	anger	0.619	gisuspetsahan
turmoil	anger	0.618	kagubot
smack	anger	0.615	hampak
retribution	anger	0.614	panimalos
rebellion	anger	0.609	rebelyon
oppressor	anger	0.609	malupigon
gang	anger	0.609	gang
slavery	anger	0.609	pagkaulipon
intolerable	anger	0.609	dili maagwanta
adverse	anger	0.609	dili maayo
injurious	anger	0.609	makadaot
twats	anger	0.609	mga twat
collision	anger	0.609	pagbangga
battery	anger	0.609	baterya
bitterly	anger	0.609	mapait
antagonism	anger	0.609	antagonismo
irritability	anger	0.609	kalagot
disgraced	anger	0.608	gipakaulawan
diatribe	anger	0.606	kaligutgot
asshole	anger	0.606	asshole
blast	anger	0.606	pagbuto
bombardment	anger	0.606	pagpamomba
irks	anger	0.606	irks
ranting	anger	0.606	nagbagulbol
revolution	anger	0.606	rebolusyon
thug	anger	0.606	kawatan
antagonistic	anger	0.606	antagonistiko
irritating	anger	0.606	makapalagot
sickening	anger	0.606	makapasakit
discrimination	anger	0.606	diskriminasyon
frustrate	anger	0.604	makapahigawad
insult	anger	0.603	insulto
hurtful	anger	0.603	masakitan
oppression	anger	0.603	pagpanglupig
manipulation	anger	0.603	pagmaniobra
tiredofit	anger	0.603	kakapoy
bigot	anger	0.603	bigot
tension	anger	0.603	tensiyon
disgust	anger	0.602	kasuko
spite	anger	0.600	bisan pa
intrusive	anger	0.598	makasapot
harshness	anger	0.597	kabangis
slur	anger	0.596	pagbugalbugal
tempest	anger	0.594	unos
assail	anger	0.594	pag-atake
bitterness	anger	0.594	kapaitan
morbidity	anger	0.594	sakit
casualty	anger	0.594	kaswalti
puncture	anger	0.594	tusok
miserable	anger	0.594	makalolooy
inferno	anger	0.594	inferno
invasion	anger	0.594	pagsulong
storming	anger	0.594	bagyo
wretch	anger	0.594	alaut
consternation	anger	0.592	kalisang
raving	anger	0.591	nagyawyaw
forcibly	anger	0.591	pinugos
guillotine	anger	0.591	guillotine
guilty	anger	0.591	sad-an
depraved	anger	0.591	daotan
immoral	anger	0.591	imoral
overpowering	anger	0.591	makagagahum
scare	anger	0.588	kahadlok
recalcitrant	anger	0.588	masukihon
screwed	anger	0.588	gibalibaran
accursed	anger	0.588	tinunglo
soannoyed	anger	0.588	naglagot
invader	anger	0.588	manunulong
jealousy	anger	0.587	pangabugho
indignation	anger	0.587	kasuko
vexed	anger	0.586	nasuko
confront	anger	0.582	atubangon
brute	anger	0.581	bangis
throttle	anger	0.579	throttle
slut	anger	0.578	bigaon
coup	anger	0.578	kudeta
blaze	anger	0.578	kalayo
pillage	anger	0.578	pagpangawat
provoking	anger	0.578	makapasuko
damage	anger	0.578	kadaot
criminality	anger	0.578	kriminalidad
shutup	anger	0.578	paghilom
lash	anger	0.578	latigo
conflict	anger	0.578	panagbangi
contentious	anger	0.578	makiglalis
shutit	anger	0.578	shutit
wreck	anger	0.578	pagkaguba
defiant	anger	0.578	masupilon
butcher	anger	0.578	berdugo
incarceration	anger	0.578	pagkabilanggo
revolver	anger	0.578	rebolber
bickering	anger	0.578	panaglalis
yousuck	anger	0.578	gwapa ka
cancer	anger	0.577	kanser
discriminate	anger	0.576	pagpihigpihig
gun	anger	0.576	pusil
frustration	anger	0.576	kahigawad
gory	anger	0.576	dugmok
pernicious	anger	0.576	makadaot
dontmess	anger	0.576	ayaw samok
blasphemy	anger	0.576	pagpasipala
chaotic	anger	0.576	gubot
grope	anger	0.576	pagpangapkap
alienation	anger	0.576	pagbulag
disturbance	anger	0.576	kasamok
condescension	anger	0.576	pagpaubos
standoff	anger	0.576	standoff
discord	anger	0.576	panagsumpaki
friggen	anger	0.575	friggen
sneer	anger	0.574	pagyubit
death	anger	0.574	kamatayon
lunacy	anger	0.574	pagkabuang
scandalous	anger	0.574	eskandaloso
oppressive	anger	0.574	malupigon
jab	anger	0.574	jab
cursed	anger	0.574	gitunglo
monstrosity	anger	0.574	kamangtas
shit	anger	0.573	shit
disparaging	anger	0.571	pagpakaulaw
slash	anger	0.571	laslas
unfair	anger	0.571	dili patas
gallows	anger	0.570	bitayan
escalate	anger	0.569	mosaka
intolerant	anger	0.564	intolerant
lawlessness	anger	0.563	paglapas sa balaod
beast	anger	0.562	mananap
torpedo	anger	0.562	torpedo
malign	anger	0.562	maligno
traitor	anger	0.562	traydor
frightful	anger	0.562	makahahadlok
wrangling	anger	0.562	panaglalis
slander	anger	0.562	pagbutangbutang
bellows	anger	0.562	bellows
retards	anger	0.562	makapugong
grouchy	anger	0.562	naglagot
derogatory	anger	0.562	makapaubos
bearish	anger	0.562	bearish
invade	anger	0.562	mosulong
perdition	anger	0.562	kapildihan
arghh	anger	0.562	arghh
dreadful	anger	0.562	makalilisang
bluddy	anger	0.562	bluddy
deceived	anger	0.562	gilimbongan
glare	anger	0.562	silaw
taunt	anger	0.562	pagtamay
dissension	anger	0.561	panagsumpaki
cross	anger	0.561	krus
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	makaguba
fits	anger	0.561	mohaum
jeopardize	anger	0.561	mabutang sa peligro
shatter	anger	0.561	makaguba
idiots	anger	0.561	mga idiot
hurt	anger	0.561	masakitan
thief	anger	0.561	kawatan
uncontrollable	anger	0.561	dili mapugngan
conflagration	anger	0.561	sunog
betrayal	anger	0.561	pagbudhi
banshee	anger	0.561	banshee
subjugation	anger	0.559	pagpasakop
disturbed	anger	0.559	nasamok
stomped	anger	0.557	gitumban
grab	anger	0.557	gunitan
grievance	anger	0.556	reklamo
ticked	anger	0.556	gitik
masochism	anger	0.556	masokismo
defiance	anger	0.552	pagsupak
blackmail	anger	0.550	blackmail
offensive	anger	0.549	opensiba
decry	anger	0.548	decry
frustrates	anger	0.547	makapahigawad
violation	anger	0.547	paglapas
confine	anger	0.547	pugngan
misery	anger	0.547	kaalaot
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	kalainan
punishment	anger	0.547	silot
rebel	anger	0.547	rebelde
preposterous	anger	0.547	kabuang
disgraceful	anger	0.547	makauulaw
ire	anger	0.547	kasuko
deceive	anger	0.547	paglimbong
fustrated	anger	0.547	naglibog
sin	anger	0.547	sala
shrill	anger	0.547	saba
darkside	anger	0.547	ngitngit nga bahin
overbearing	anger	0.547	mapahitas-on
firearms	anger	0.547	mga armas
stolen	anger	0.546	gikawat
hadenough	anger	0.546	maayo
prejudice	anger	0.545	pagpihig
tackle	anger	0.545	tackle
resentful	anger	0.545	masuko
heated	anger	0.545	gipainit
callous	anger	0.545	walay kaluoy
conspirator	anger	0.545	nagkunsabo
ruined	anger	0.545	naguba
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	panagsangka
menace	anger	0.545	hulga
annoyin	anger	0.545	makalagot
foul	anger	0.545	foul
argument	anger	0.545	argumento
humiliate	anger	0.545	pagpakaulaw
wanker	anger	0.545	wanker
adversary	anger	0.545	kaaway
sting	anger	0.544	ikot
entangled	anger	0.544	nalambigit
grumble	anger	0.544	magbagulbol
robbery	anger	0.544	pagpanulis
outcry	anger	0.544	singgit
resistance	anger	0.543	pagsukol
irreconcilable	anger	0.543	dili mahiuyon
obstructive	anger	0.542	obstructive
dismay	anger	0.540	kalibog
mob	anger	0.538	manggugubot nga panon
juststop	anger	0.537	hunong lang
badness	anger	0.536	pagkadaotan
ridicule	anger	0.534	pagbiaybiay
incendiary	anger	0.533	pagsunog
flares	anger	0.532	mga flare
twofaced	anger	0.531	duhay nawong
reckless	anger	0.531	walay pagtagad
communism	anger	0.531	komunismo
allegation	anger	0.531	alegasyon
prejudicial	anger	0.531	mapihigon
whip	anger	0.531	latigo
unbridled	anger	0.531	walay pugong
degeneracy	anger	0.531	pagkadunot
intruder	anger	0.531	manghilabot
belittle	anger	0.531	pagpaubos
confinement	anger	0.531	pagkabilanggo
dispute	anger	0.531	panaglalis
exacerbation	anger	0.531	pagpalala
uprising	anger	0.531	pag-alsa
unjust	anger	0.530	dili makiangayon
unjustifiable	anger	0.530	dili makatarunganon
perversion	anger	0.530	kahiwian
bigoted	anger	0.530	panatiko
fiesty	anger	0.530	mabangis
offender	anger	0.530	nakasala
dictatorial	anger	0.530	diktatoryal
hassle	anger	0.530	hasol
dissonance	anger	0.530	disonance
tackled	anger	0.530	giatubang
renegade	anger	0.529	masupilon
cantstandit	anger	0.529	dili makabarog
trespass	anger	0.529	paglapas
hot	anger	0.529	init
prison	anger	0.529	prisohan
suicide	anger	0.521	paghikog
annoy	anger	0.520	kalagot
leavemealone	anger	0.517	leavemealone
cretins	anger	0.516	mga cretin
depravity	anger	0.516	pagkadaotan
idiotic	anger	0.516	buangbuang
dishonest	anger	0.516	dili matinud-anon
distrust	anger	0.516	walay pagsalig
broil	anger	0.516	ihaw
grrr	anger	0.516	grrr
criticize	anger	0.516	pagsaway
inimical	anger	0.516	makadaot
tortious	anger	0.516	gubot
prisoner	anger	0.516	binilanggo
treason	anger	0.516	pagbudhi
divorce	anger	0.516	diborsyo
venting	anger	0.516	pagpahungaw
duress	anger	0.516	pagpugos
disrespectful	anger	0.516	walay pagtahod
poaching	anger	0.515	pagpanguha
scold	anger	0.515	Gikasab-an
poachers	anger	0.515	mga mangangayam
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	argumentasyon
frustrating	anger	0.515	makapahigawad
unkind	anger	0.515	dili buotan
roar	anger	0.515	nagngulob
coercion	anger	0.515	pagpamugos
unforgiving	anger	0.515	dili mapasayloon
grump	anger	0.515	nagbagulbol
bile	anger	0.515	apdo
unleash	anger	0.515	buhian
chaos	anger	0.515	kagubot
victimized	anger	0.515	nabiktima
jerks	anger	0.515	mga jerks
tussle	anger	0.514	away
bane	anger	0.511	bane
accusation	anger	0.510	sumbong
enmity	anger	0.510	pagdumot
repudiation	anger	0.510	pagsalikway
banish	anger	0.509	papahawaon
disfigured	anger	0.508	nadaot ang dagway
storm	anger	0.507	bagyo
crazy	anger	0.500	buang
hammering	anger	0.500	pagmartilyo
defy	anger	0.500	supakon
antithesis	anger	0.500	antithesis
scoff	anger	0.500	pagbiaybiay
anguish	anger	0.500	kaguol
confined	anger	0.500	natanggong
fear	anger	0.500	kahadlok
bout	anger	0.500	away
unruly	anger	0.500	dili makapugong
delusional	anger	0.500	delusional
obstruct	anger	0.500	babag
possessed	anger	0.500	gipanag-iya
injustice	anger	0.500	inhustisya
fervor	anger	0.500	kainit
spear	anger	0.500	bangkaw
derision	anger	0.500	pagbiaybiay
intractable	anger	0.500	dili mapugngan
reject	anger	0.500	isalikway
dominate	anger	0.500	modominar
ordeal	anger	0.500	kalisdanan
banished	anger	0.500	gipapahawa
rejects	anger	0.500	nagsalikway
shun	anger	0.500	likayan
brunt	anger	0.500	grabe
derogation	anger	0.500	pagpaubos
frenzied	anger	0.500	naglibog
animus	anger	0.500	animus
suppression	anger	0.500	pagsumpo
malpractice	anger	0.500	malpractice
brazen	anger	0.500	walay pulos
foaming	anger	0.500	nagbula
disrupting	anger	0.500	makabalda
nobodycares	anger	0.500	walay nagpakabana
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	pasayloa ang imong kaugalingon
toughness	anger	0.492	katig-a
stupidpeople	anger	0.492	tanga nga mga tawo
madness	anger	0.491	kabuang
sinful	anger	0.491	makasasala
avarice	anger	0.490	kahakog
oppress	anger	0.490	lupigon
cutting	anger	0.485	pagputol
anathema	anger	0.485	tunglo
annoyed	anger	0.485	naglagot
dissident	anger	0.485	dissident
demand	anger	0.485	panginahanglan
usurp	anger	0.485	pagpangilog
claw	anger	0.485	kuko
alienate	anger	0.485	magpahilayo
infraction	anger	0.485	paglapas
avenger	anger	0.485	tigpanimalos
revoke	anger	0.485	bawion
smuggler	anger	0.485	smuggler
abolish	anger	0.485	wagtangon
fricking	anger	0.485	pagkurog
stayaway	anger	0.485	palayo
pervert	anger	0.485	tuis
disservice	anger	0.485	pagkadaotan
disobedient	anger	0.485	masinupakon
incest	anger	0.485	incest
complaint	anger	0.485	reklamo
disapproved	anger	0.485	wala uyoni
inhuman	anger	0.485	dili tawhanon
mocking	anger	0.484	pagbiaybiay
penalty	anger	0.484	silot
renounce	anger	0.484	biyaan
restrain	anger	0.484	pagpugong
upheaval	anger	0.484	kagubot
deceit	anger	0.484	limbong
obnoxious	anger	0.484	salawayon
imprisoned	anger	0.484	napriso
strained	anger	0.484	pilit
blame	anger	0.484	pagbasol
oust	anger	0.484	palagputon
litigious	anger	0.484	litigasyon
rivalry	anger	0.484	panag-indigay
sucker	anger	0.484	sipsip
opposed	anger	0.484	misupak
thresh	anger	0.484	paggiok
disgrace	anger	0.484	kaulawan
suspicious	anger	0.484	makaduda
turbulence	anger	0.483	kaguliyang
pound	anger	0.481	libra
coldness	anger	0.477	katugnaw
ungrateful	anger	0.472	dili mapasalamaton
stoopid	anger	0.471	nagduko
battalion	anger	0.471	batalyon
feudalism	anger	0.470	pyudalismo
hostage	anger	0.470	hostage
annoying	anger	0.470	makalagot
dispossessed	anger	0.470	gipalagpot
subversion	anger	0.470	pagpukan
friction	anger	0.470	panagbingkil
jealous	anger	0.470	selos
adversity	anger	0.470	kalisdanan
infidel	anger	0.470	walay pagtuo
gall	anger	0.470	apdo
accuser	anger	0.470	tigsumbong
ram	anger	0.470	laking karnero
armament	anger	0.470	hinagiban
thump	anger	0.469	hampak
dislike	anger	0.469	dili ganahan
steal	anger	0.469	mangawat
backoff	anger	0.469	backoff
stifled	anger	0.469	gipugngan
incite	anger	0.469	pagdasig
distress	anger	0.469	kagul-anan
