English Word	Emotion	Emotion-Intensity-Score	Bulgarian Word
strangle	anger	0.859	удушавам
hostility	anger	0.859	враждебност
assault	anger	0.859	нападение
explode	anger	0.859	експлодирам
tirade	anger	0.859	тирада
loathsome	anger	0.857	отвратителен
hell	anger	0.853	по дяволите
murderous	anger	0.853	убийствен
attack	anger	0.853	атака
malice	anger	0.852	злоба
terrorism	anger	0.851	тероризъм
beating	anger	0.849	побой
outrage	anger	0.848	възмущение
desecration	anger	0.848	оскверняване
pissingmeoff	anger	0.848	изнервя ме
destroying	anger	0.844	унищожаване
slaughter	anger	0.844	клане
irate	anger	0.844	ядосан
violent	anger	0.844	насилствен
stab	anger	0.844	намушкам
abomination	anger	0.844	мерзост
tumultuous	anger	0.844	бурен
infuriate	anger	0.844	вбесявам
obliterate	anger	0.843	заличавам
belligerent	anger	0.841	войнстващ
dumbbitch	anger	0.841	тъпа кучка
detest	anger	0.838	ненавиждам
hostilities	anger	0.837	военни действия
prick	anger	0.835	убождане
rampage	anger	0.833	вилнеене
horrid	anger	0.833	ужасен
cruelty	anger	0.833	жестокост
torture	anger	0.833	мъчение
rabid	anger	0.833	бесен
despicable	anger	0.828	презрян
tyrannical	anger	0.828	тираничен
demonic	anger	0.828	демоничен
satanic	anger	0.828	сатанински
hate	anger	0.828	омраза
ragemode	anger	0.828	режим на ярост
hating	anger	0.828	мразя
ruinous	anger	0.825	съсипващ
condemn	anger	0.825	осъждам
riots	anger	0.824	бунтове
demolish	anger	0.824	сривам
angry	anger	0.824	ядосан
extermination	anger	0.824	изтребление
dickhead	anger	0.824	тъпак
livid	anger	0.821	сивкав
madman	anger	0.820	луд човек
vindictive	anger	0.819	отмъстителен
terrorist	anger	0.818	терорист
threaten	anger	0.818	заплашвам
venomous	anger	0.818	отровен
hateyou	anger	0.818	мразя те
ferocity	anger	0.818	свирепост
effyou	anger	0.818	effyou
abhor	anger	0.816	отвращавам се
carnage	anger	0.814	касапница
savage	anger	0.814	дивак
atrocity	anger	0.814	зверство
fucksake	anger	0.812	мамка му
abuse	anger	0.812	злоупотреба
fierce	anger	0.812	свиреп
destroyer	anger	0.812	разрушител
angrytweet	anger	0.812	ядосан туит
barbaric	anger	0.812	варварски
vendetta	anger	0.812	вендета
pissesmeoff	anger	0.812	ядосва ме
pissedoff	anger	0.812	изнервен
tyrant	anger	0.812	тиранин
berserk	anger	0.812	обезумял
fuming	anger	0.812	димящ
anger	anger	0.811	гняв
pieceofshit	anger	0.810	лайно
punched	anger	0.803	перфориран
punching	anger	0.803	щанцоване
slam	anger	0.803	затръшвам
homicide	anger	0.803	убийство
bitch	anger	0.803	кучка
fights	anger	0.803	битки
ruthless	anger	0.797	безмилостен
villainous	anger	0.797	злодей
destructive	anger	0.797	разрушителен
slap	anger	0.791	шамар
riot	anger	0.788	бунт
growthefuckup	anger	0.788	растежпрецакане
punishing	anger	0.788	наказващ
slaughterhouse	anger	0.788	кланица
yelling	anger	0.788	викам
diabolical	anger	0.788	дяволски
destroyed	anger	0.788	унищожени
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	отмъстителен
manslaughter	anger	0.783	непредумишлено убийство
clash	anger	0.783	сблъсък
quarrel	anger	0.781	кавга
bloody	anger	0.781	кървав
hellish	anger	0.781	адски
sinister	anger	0.781	зловещ
loath	anger	0.781	отвращение
detonation	anger	0.781	детонация
accusing	anger	0.779	обвинителен
fumin	anger	0.779	фумин
hateeee	anger	0.779	мразяееее
treacherous	anger	0.779	предателски
madder	anger	0.773	по-луд
horrific	anger	0.773	ужасяващо
revulsion	anger	0.773	отвращение
retaliate	anger	0.773	отвръщам
scorn	anger	0.769	презрение
bomb	anger	0.766	бомба
deplorable	anger	0.766	плачевно
devastation	anger	0.765	опустошение
anarchist	anger	0.765	анархист
firestorm	anger	0.765	огнена буря
resent	anger	0.765	възмущавам се
contemptible	anger	0.764	презрителен
shittest	anger	0.760	най-скапания
rant	anger	0.758	бълнувам
cruel	anger	0.758	жесток
deadly	anger	0.758	смъртоносен
smash	anger	0.758	разбивам
soangry	anger	0.758	толкова ядосан
outburst	anger	0.757	избухване
snarl	anger	0.754	изръмжавам
profane	anger	0.750	сквернословен
revolting	anger	0.750	отвратително
aggravating	anger	0.750	утежняващо
horror	anger	0.750	ужас
despise	anger	0.750	презирам
offend	anger	0.750	обиждам
stfu	anger	0.750	stfu
vulgarity	anger	0.750	вулгарност
crazed	anger	0.750	полудял
douchebags	anger	0.750	глупаци
growling	anger	0.750	ръмжене
dontmesswithme	anger	0.750	не се забърквай с мен
screaming	anger	0.742	крещене
threat	anger	0.742	заплаха
erupt	anger	0.742	избухвам
horrible	anger	0.742	ужасен
molestation	anger	0.742	тормоз
fuckedoff	anger	0.742	прецакано
violence	anger	0.742	насилие
bastards	anger	0.741	копелета
revenge	anger	0.738	отмъщение
menacing	anger	0.735	заплашително
crushing	anger	0.735	смачкване
damn	anger	0.735	по дяволите
catastrophe	anger	0.735	катастрофа
demon	anger	0.735	демон
argue	anger	0.734	спорят
persecute	anger	0.734	преследвам
deplore	anger	0.734	съжалявам
flog	anger	0.734	бич
fedup	anger	0.734	писнало
riotous	anger	0.734	буенски
vehement	anger	0.734	яростен
revolt	anger	0.734	бунт
warfare	anger	0.734	война
thrash	anger	0.734	траш
altercation	anger	0.729	кавга
warlike	anger	0.728	войнствен
shitday	anger	0.727	шит ден
mutiny	anger	0.727	бунт
castrate	anger	0.727	кастрирам
sabotage	anger	0.727	саботаж
malevolent	anger	0.721	злонамерен
strike	anger	0.721	стачка
disaster	anger	0.721	бедствие
disastrous	anger	0.720	катастрофално
bastarding	anger	0.719	копеле
treachery	anger	0.719	предателство
arseholes	anger	0.719	задници
horseshit	anger	0.719	лайна
slay	anger	0.719	убийте
disdain	anger	0.719	презрение
aggravates	anger	0.719	влошава
brutal	anger	0.719	брутален
scorching	anger	0.719	изгарящ
devil	anger	0.719	дявол
madden	anger	0.719	полудял
spiteful	anger	0.719	злопаметен
scream	anger	0.719	вик
choke	anger	0.719	дросел
vermin	anger	0.719	паразити
tumult	anger	0.719	суматоха
criminal	anger	0.714	престъпник
mangle	anger	0.714	изкривявам
anarchism	anger	0.714	анархизъм
mutilation	anger	0.714	осакатяване
denunciation	anger	0.713	донос
punch	anger	0.713	удар
virulence	anger	0.712	вирулентност
fatal	anger	0.712	фатален
hurting	anger	0.712	боли
crucifixion	anger	0.712	разпъване на кръст
dontlikeyou	anger	0.712	не те харесвам
blasphemous	anger	0.712	богохулство
holocaust	anger	0.712	холокост
dumbasses	anger	0.712	глупаци
battled	anger	0.712	воювал
deranged	anger	0.706	обезумял
irritated	anger	0.706	раздразнен
atrocious	anger	0.706	зверски
evil	anger	0.706	зло
aggravated	anger	0.703	утежнено
intimidation	anger	0.703	сплашване
dicks	anger	0.703	пишки
assassin	anger	0.703	наемен убиец
scolding	anger	0.703	мъмрене
persecution	anger	0.703	преследване
slayer	anger	0.703	убиец
kidnap	anger	0.703	отвличам
aggression	anger	0.702	агресия
armed	anger	0.700	въоръжен
battle	anger	0.697	битка
poison	anger	0.697	отрова
snarling	anger	0.697	ръмжене
venom	anger	0.697	отрова
disgruntled	anger	0.693	недоволен
resentment	anger	0.691	негодувание
assailant	anger	0.691	нападател
insidious	anger	0.691	коварен
contemptuous	anger	0.690	презрително
lynch	anger	0.690	линч
temper	anger	0.688	темперамент
terrible	anger	0.688	ужасно
disparage	anger	0.688	опозоряване
lunatic	anger	0.688	лунатик
bully	anger	0.688	побойник
mad	anger	0.688	луд
makesmemad	anger	0.688	прави мемад
infanticide	anger	0.688	детеубийство
domination	anger	0.688	господство
peeved	anger	0.688	раздразнен
imprisonment	anger	0.688	лишаване от свобода
curse	anger	0.688	проклятие
volatility	anger	0.687	летливост
eradication	anger	0.685	изкореняване
eradicate	anger	0.682	изкоренявам
tantrum	anger	0.682	истерика
scoundrel	anger	0.682	негодник
devastate	anger	0.682	опустошавам
aggressively	anger	0.680	агресивно
agitation	anger	0.680	възбуда
dictatorship	anger	0.676	диктатура
irritates	anger	0.676	дразни
profanity	anger	0.673	сквернословие
shove	anger	0.672	блъскам
nasty	anger	0.672	гаден
shot	anger	0.672	изстрел
cruelly	anger	0.672	жестоко
shoot	anger	0.672	стреля
condemnation	anger	0.672	осъждане
crushed	anger	0.672	смачкан
aggravation	anger	0.672	влошаване
poisonous	anger	0.672	отровни
egregious	anger	0.672	впечатляващо
crime	anger	0.672	престъпност
corrupting	anger	0.672	развращаващ
dastardly	anger	0.672	подло
contempt	anger	0.672	презрение
harmful	anger	0.672	вреден
expletive	anger	0.672	ругатня
wreak	anger	0.672	сея
maniac	anger	0.670	маниак
cutthroat	anger	0.667	резец
enemy	anger	0.667	враг
hit	anger	0.667	удари
hateeveryone	anger	0.667	мразя всички
eruption	anger	0.667	изригване
irritable	anger	0.667	раздразнителен
odious	anger	0.667	омразен
shooting	anger	0.667	стрелба
shout	anger	0.667	викам
aggressive	anger	0.667	агресивен
kick	anger	0.667	ритник
combat	anger	0.667	битка
fight	anger	0.667	битка
punished	anger	0.662	наказани
yell	anger	0.661	крещи
ambush	anger	0.661	засада
harass	anger	0.659	тормозя
malignant	anger	0.656	злокачествен
aggressor	anger	0.656	агресор
gore	anger	0.656	кръв
destruction	anger	0.656	унищожаване
grudge	anger	0.656	злоба
antichrist	anger	0.656	антихрист
incense	anger	0.656	тамян
expel	anger	0.656	изгонвам
cranky	anger	0.653	капризен
slave	anger	0.652	роб
reprisal	anger	0.652	репресия
growl	anger	0.652	ръмжа
animosity	anger	0.652	враждебност
insurrection	anger	0.652	въстание
clashing	anger	0.652	сблъсък
denounce	anger	0.652	изобличавам
offended	anger	0.652	обиден
spank	anger	0.652	пляскам
insulting	anger	0.652	обидно
growls	anger	0.649	ръмжи
executioner	anger	0.644	палач
twat	anger	0.644	путка
doomsday	anger	0.643	страшния съд
obscenity	anger	0.641	непристойност
accused	anger	0.641	обвиняем
feud	anger	0.641	вражда
daemon	anger	0.641	демон
havoc	anger	0.641	поразия
shackle	anger	0.641	окови
inexcusable	anger	0.641	непростимо
indignant	anger	0.641	възмутен
grr	anger	0.641	grr
expulsion	anger	0.641	експулсиране
bombard	anger	0.641	бомбардирам
spat	anger	0.641	изплю
arson	anger	0.641	палеж
reprimand	anger	0.641	порицание
somad	anger	0.637	толкова луд
frustrated	anger	0.636	разочарован
batter	anger	0.636	тесто
kicking	anger	0.636	ритане
anarchy	anger	0.636	анархия
spanking	anger	0.636	пляскане
glaring	anger	0.636	крещящи
suicidal	anger	0.636	суициден
disgusting	anger	0.636	отвратително
wound	anger	0.636	рана
hanging	anger	0.636	обесване
poisoned	anger	0.636	отровен
combatant	anger	0.636	борец
wrecked	anger	0.633	разрушен
inflict	anger	0.633	причинявам
grievous	anger	0.632	тежък
prosecute	anger	0.630	преследвам
agitated	anger	0.630	развълнуван
cheat	anger	0.630	мамят
swastika	anger	0.627	свастика
injure	anger	0.625	наранявам
indict	anger	0.625	обвиняем
scourge	anger	0.625	бич
provocation	anger	0.625	провокация
suffocation	anger	0.625	задушаване
strife	anger	0.625	раздори
raid	anger	0.625	нападение
enslaved	anger	0.625	поробени
cursing	anger	0.625	проклинане
defamatory	anger	0.625	клеветнически
harassing	anger	0.625	тормозя
thundering	anger	0.625	гърмящ
betray	anger	0.625	предавам
arsehole	anger	0.624	задник
theft	anger	0.621	кражба
insane	anger	0.621	луд
retaliation	anger	0.621	отмъщение
irritate	anger	0.621	дразня
deprivation	anger	0.621	лишения
fiend	anger	0.621	злодей
jerk	anger	0.621	идиот
convict	anger	0.621	осъден
cussed	anger	0.619	ругатни
turmoil	anger	0.618	смут
smack	anger	0.615	пляскам
retribution	anger	0.614	възмездие
rebellion	anger	0.609	бунт
oppressor	anger	0.609	потисник
gang	anger	0.609	банда
slavery	anger	0.609	робство
intolerable	anger	0.609	непоносимо
adverse	anger	0.609	неблагоприятен
injurious	anger	0.609	нараняващ
twats	anger	0.609	пички
collision	anger	0.609	сблъсък
battery	anger	0.609	батерия
bitterly	anger	0.609	горчиво
antagonism	anger	0.609	антагонизъм
irritability	anger	0.609	раздразнителност
disgraced	anger	0.608	опозорен
diatribe	anger	0.606	диатриба
asshole	anger	0.606	задник
blast	anger	0.606	взрив
bombardment	anger	0.606	бомбардировка
irks	anger	0.606	дразни
ranting	anger	0.606	ръкогласие
revolution	anger	0.606	революция
thug	anger	0.606	гангстер
antagonistic	anger	0.606	антагонистичен
irritating	anger	0.606	дразнещо
sickening	anger	0.606	отвратително
discrimination	anger	0.606	дискриминация
frustrate	anger	0.604	разочаровам
insult	anger	0.603	обида
hurtful	anger	0.603	нараняващо
oppression	anger	0.603	потисничество
manipulation	anger	0.603	манипулация
tiredofit	anger	0.603	тиредофит
bigot	anger	0.603	фанатик
tension	anger	0.603	напрежение
disgust	anger	0.602	отвращение
spite	anger	0.600	злоба
intrusive	anger	0.598	натрапчив
harshness	anger	0.597	суровост
slur	anger	0.596	обида
tempest	anger	0.594	буря
assail	anger	0.594	нападение
bitterness	anger	0.594	горчивина
morbidity	anger	0.594	заболеваемост
casualty	anger	0.594	пострадал
puncture	anger	0.594	пункция
miserable	anger	0.594	жалък
inferno	anger	0.594	ад
invasion	anger	0.594	инвазия
storming	anger	0.594	щурмуващ
wretch	anger	0.594	нещастник
consternation	anger	0.592	ужас
raving	anger	0.591	бълнувам
forcibly	anger	0.591	насила
guillotine	anger	0.591	гилотина
guilty	anger	0.591	виновен
depraved	anger	0.591	развратен
immoral	anger	0.591	неморален
overpowering	anger	0.591	съкрушителен
scare	anger	0.588	плаша
recalcitrant	anger	0.588	непокорен
screwed	anger	0.588	прецакан
accursed	anger	0.588	прокълнат
soannoyed	anger	0.588	толкова раздразнен
invader	anger	0.588	нашественик
jealousy	anger	0.587	ревност
indignation	anger	0.587	възмущение
vexed	anger	0.586	раздразнен
confront	anger	0.582	изправи срещу
brute	anger	0.581	грубиян
throttle	anger	0.579	дросел
slut	anger	0.578	уличница
coup	anger	0.578	преврат
blaze	anger	0.578	пламък
pillage	anger	0.578	ограбване
provoking	anger	0.578	провокиращ
damage	anger	0.578	щета
criminality	anger	0.578	престъпност
shutup	anger	0.578	млъкни
lash	anger	0.578	камшик
conflict	anger	0.578	конфликт
contentious	anger	0.578	спорен
shutit	anger	0.578	затвори
wreck	anger	0.578	развалина
defiant	anger	0.578	предизвикателен
butcher	anger	0.578	касапин
incarceration	anger	0.578	лишаване от свобода
revolver	anger	0.578	револвер
bickering	anger	0.578	пререкания
yousuck	anger	0.578	не струваш
cancer	anger	0.577	рак
discriminate	anger	0.576	дискриминирам
gun	anger	0.576	пистолет
frustration	anger	0.576	разочарование
gory	anger	0.576	кървав
pernicious	anger	0.576	пагубен
dontmess	anger	0.576	не бъркай
blasphemy	anger	0.576	богохулство
chaotic	anger	0.576	хаотичен
grope	anger	0.576	опипвам
alienation	anger	0.576	отчуждение
disturbance	anger	0.576	смущение
condescension	anger	0.576	снизхождение
standoff	anger	0.576	противопоставяне
discord	anger	0.576	раздор
friggen	anger	0.575	friggen
sneer	anger	0.574	подигравка
death	anger	0.574	смърт
lunacy	anger	0.574	лудост
scandalous	anger	0.574	скандално
oppressive	anger	0.574	потискащ
jab	anger	0.574	удар
cursed	anger	0.574	прокълнат
monstrosity	anger	0.574	чудовищност
shit	anger	0.573	мамка му
disparaging	anger	0.571	пренебрежително
slash	anger	0.571	наклонена черта
unfair	anger	0.571	несправедлива
gallows	anger	0.570	бесилка
escalate	anger	0.569	ескалирам
intolerant	anger	0.564	нетолерантен
lawlessness	anger	0.563	беззаконие
beast	anger	0.562	звяр
torpedo	anger	0.562	торпедо
malign	anger	0.562	злокачествен
traitor	anger	0.562	предател
frightful	anger	0.562	страшно
wrangling	anger	0.562	спорове
slander	anger	0.562	клевета
bellows	anger	0.562	духало
retards	anger	0.562	изоставащи
grouchy	anger	0.562	мрънкащ
derogatory	anger	0.562	унизително
bearish	anger	0.562	мечи
invade	anger	0.562	нахлувам
perdition	anger	0.562	гибел
arghh	anger	0.562	arghh
dreadful	anger	0.562	ужасно
bluddy	anger	0.562	тъп
deceived	anger	0.562	измамени
glare	anger	0.562	отблясъци
taunt	anger	0.562	подигравка
dissension	anger	0.561	разногласие
cross	anger	0.561	кръст
rave	anger	0.561	бълнувам
grating	anger	0.561	решетка
devastating	anger	0.561	опустошителен
fits	anger	0.561	пасва
jeopardize	anger	0.561	застрашавам
shatter	anger	0.561	разбивам
idiots	anger	0.561	идиоти
hurt	anger	0.561	боли
thief	anger	0.561	крадец
uncontrollable	anger	0.561	неконтролируема
conflagration	anger	0.561	пожар
betrayal	anger	0.561	предателство
banshee	anger	0.561	банши
subjugation	anger	0.559	подчинение
disturbed	anger	0.559	нарушено
stomped	anger	0.557	тропна
grab	anger	0.557	грабвам
grievance	anger	0.556	оплакване
ticked	anger	0.556	отметнато
masochism	anger	0.556	мазохизъм
defiance	anger	0.552	предизвикателство
blackmail	anger	0.550	изнудване
offensive	anger	0.549	обидно
decry	anger	0.548	порицавам
frustrates	anger	0.547	разочарова
violation	anger	0.547	нарушение
confine	anger	0.547	ограничавам
misery	anger	0.547	мизерия
arghhhh	anger	0.547	аргххх
disparity	anger	0.547	несъответствие
punishment	anger	0.547	наказание
rebel	anger	0.547	бунтовник
preposterous	anger	0.547	абсурдно
disgraceful	anger	0.547	позорно
ire	anger	0.547	ярост
deceive	anger	0.547	заблуждавам
fustrated	anger	0.547	раздразнен
sin	anger	0.547	грях
shrill	anger	0.547	писклив
darkside	anger	0.547	тъмна страна
overbearing	anger	0.547	властен
firearms	anger	0.547	огнестрелни оръжия
stolen	anger	0.546	откраднат
hadenough	anger	0.546	имаше достатъчно
prejudice	anger	0.545	Предразсъдък
tackle	anger	0.545	справи
resentful	anger	0.545	негодуващ
heated	anger	0.545	нагрят
callous	anger	0.545	безчувствен
conspirator	anger	0.545	конспиратор
ruined	anger	0.545	съсипан
antagonist	anger	0.545	антагонист
skirmish	anger	0.545	престрелка
menace	anger	0.545	заплаха
annoyin	anger	0.545	досадно
foul	anger	0.545	фал
argument	anger	0.545	аргумент
humiliate	anger	0.545	унижавам
wanker	anger	0.545	дребосък
adversary	anger	0.545	противник
sting	anger	0.544	ужилване
entangled	anger	0.544	заплетени
grumble	anger	0.544	мрънкам
robbery	anger	0.544	обир
outcry	anger	0.544	възмущение
resistance	anger	0.543	съпротива
irreconcilable	anger	0.543	непримирим
obstructive	anger	0.542	обструктивна
dismay	anger	0.540	ужас
mob	anger	0.538	моб
juststop	anger	0.537	просто спри
badness	anger	0.536	лошотия
ridicule	anger	0.534	подигравка
incendiary	anger	0.533	запалителен
flares	anger	0.532	факли
twofaced	anger	0.531	двуличен
reckless	anger	0.531	безразсъден
communism	anger	0.531	комунизъм
allegation	anger	0.531	твърдение
prejudicial	anger	0.531	вредно
whip	anger	0.531	камшик
unbridled	anger	0.531	необуздан
degeneracy	anger	0.531	израждане
intruder	anger	0.531	натрапник
belittle	anger	0.531	омаловажавам
confinement	anger	0.531	задържане
dispute	anger	0.531	спор
exacerbation	anger	0.531	екзацербация
uprising	anger	0.531	въстание
unjust	anger	0.530	несправедливо
unjustifiable	anger	0.530	неоправдано
perversion	anger	0.530	перверзия
bigoted	anger	0.530	фанатичен
fiesty	anger	0.530	пикантен
offender	anger	0.530	нарушител
dictatorial	anger	0.530	диктаторски
hassle	anger	0.530	караница
dissonance	anger	0.530	дисонанс
tackled	anger	0.530	се справих
renegade	anger	0.529	ренегат
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	престъпление
hot	anger	0.529	горещ
prison	anger	0.529	затвор
suicide	anger	0.521	самоубийство
annoy	anger	0.520	дразня
leavemealone	anger	0.517	остави ме на мира
cretins	anger	0.516	кретини
depravity	anger	0.516	поквара
idiotic	anger	0.516	идиотски
dishonest	anger	0.516	нечестен
distrust	anger	0.516	недоверие
broil	anger	0.516	печем
grrr	anger	0.516	grrr
criticize	anger	0.516	критикувам
inimical	anger	0.516	враждебно
tortious	anger	0.516	непозволено увреждане
prisoner	anger	0.516	затворник
treason	anger	0.516	предателство
divorce	anger	0.516	развод
venting	anger	0.516	обезвъздушаване
duress	anger	0.516	принуда
disrespectful	anger	0.516	неуважително
poaching	anger	0.515	бракониерство
scold	anger	0.515	карам се
poachers	anger	0.515	бракониери
pow	anger	0.515	пау
hangry	anger	0.515	гладен
argumentation	anger	0.515	аргументация
frustrating	anger	0.515	разочароващ
unkind	anger	0.515	нелюбезен
roar	anger	0.515	рев
coercion	anger	0.515	принуда
unforgiving	anger	0.515	безпардонен
grump	anger	0.515	сърдитко
bile	anger	0.515	жлъчката
unleash	anger	0.515	отприщи
chaos	anger	0.515	хаос
victimized	anger	0.515	жертва
jerks	anger	0.515	смотаняци
tussle	anger	0.514	боричкане
bane	anger	0.511	проклятие
accusation	anger	0.510	обвинение
enmity	anger	0.510	вражда
repudiation	anger	0.510	отричане
banish	anger	0.509	прогонвам
disfigured	anger	0.508	обезобразен
storm	anger	0.507	буря
crazy	anger	0.500	луд
hammering	anger	0.500	изчукване
defy	anger	0.500	противопоставям се
antithesis	anger	0.500	антитеза
scoff	anger	0.500	присмивам се
anguish	anger	0.500	мъка
confined	anger	0.500	ограничено
fear	anger	0.500	страх
bout	anger	0.500	двубой
unruly	anger	0.500	непокорен
delusional	anger	0.500	заблуден
obstruct	anger	0.500	възпрепятствам
possessed	anger	0.500	обладан
injustice	anger	0.500	несправедливост
fervor	anger	0.500	жар
spear	anger	0.500	копие
derision	anger	0.500	подигравка
intractable	anger	0.500	неподатлив
reject	anger	0.500	отхвърлям
dominate	anger	0.500	упражнявам контрол
ordeal	anger	0.500	изпитание
banished	anger	0.500	прогонен
rejects	anger	0.500	отхвърля
shun	anger	0.500	избягвам
brunt	anger	0.500	бреме
derogation	anger	0.500	дерогация
frenzied	anger	0.500	обезумял
animus	anger	0.500	анимус
suppression	anger	0.500	потискане
malpractice	anger	0.500	злоупотреба
brazen	anger	0.500	нагъл
foaming	anger	0.500	образуване на пяна
disrupting	anger	0.500	смущаващ
nobodycares	anger	0.500	на никой не му пука
patronising	anger	0.500	покровителствен
getoveryourself	anger	0.495	Вземи се в ръце
toughness	anger	0.492	издръжливост
stupidpeople	anger	0.492	глупави хора
madness	anger	0.491	лудост
sinful	anger	0.491	грешен
avarice	anger	0.490	алчност
oppress	anger	0.490	потискам
cutting	anger	0.485	рязане
anathema	anger	0.485	анатема
annoyed	anger	0.485	раздразнен
dissident	anger	0.485	дисидент
demand	anger	0.485	търсене
usurp	anger	0.485	узурпирам
claw	anger	0.485	нокът
alienate	anger	0.485	отчуждавам
infraction	anger	0.485	нарушение
avenger	anger	0.485	отмъстител
revoke	anger	0.485	отмени
smuggler	anger	0.485	контрабандист
abolish	anger	0.485	премахвам
fricking	anger	0.485	шибане
stayaway	anger	0.485	стой настрана
pervert	anger	0.485	перверзник
disservice	anger	0.485	лоша услуга
disobedient	anger	0.485	непокорен
incest	anger	0.485	кръвосмешение
complaint	anger	0.485	оплакване
disapproved	anger	0.485	неодобрен
inhuman	anger	0.485	нечовешки
mocking	anger	0.484	подигравателен
penalty	anger	0.484	дузпа
renounce	anger	0.484	отказвам се
restrain	anger	0.484	сдържам
upheaval	anger	0.484	катаклизъм
deceit	anger	0.484	измама
obnoxious	anger	0.484	противен
imprisoned	anger	0.484	затворен
strained	anger	0.484	прецедени
blame	anger	0.484	обвинявам
oust	anger	0.484	изгонвам
litigious	anger	0.484	съдебен
rivalry	anger	0.484	съперничество
sucker	anger	0.484	издънка
opposed	anger	0.484	противопоставени
thresh	anger	0.484	вършитба
disgrace	anger	0.484	позор
suspicious	anger	0.484	подозрителен
turbulence	anger	0.483	турбуленция
pound	anger	0.481	паунд
coldness	anger	0.477	студенина
ungrateful	anger	0.472	неблагодарен
stoopid	anger	0.471	прегърбен
battalion	anger	0.471	батальон
feudalism	anger	0.470	феодализъм
hostage	anger	0.470	заложник
annoying	anger	0.470	досадно
dispossessed	anger	0.470	лишен от собственост
subversion	anger	0.470	подривна дейност
friction	anger	0.470	триене
jealous	anger	0.470	ревнив
adversity	anger	0.470	несгоди
infidel	anger	0.470	неверник
gall	anger	0.470	жлъчка
accuser	anger	0.470	обвинител
ram	anger	0.470	овен
armament	anger	0.470	въоръжение
thump	anger	0.469	тропане
dislike	anger	0.469	неприязън
steal	anger	0.469	крадат
backoff	anger	0.469	отстъпи
stifled	anger	0.469	задушен
incite	anger	0.469	подбуждам
distress	anger	0.469	дистрес
angermanagement	anger	0.469	контрол на гнева
selfish	anger	0.469	егоистичен
injury	anger	0.469	нараняване
exile	anger	0.469	изгнание
insanity	anger	0.469	лудост
offense	anger	0.469	нарушение
objection	anger	0.469	възражение
smother	anger	0.469	задушавам
disruption	anger	0.469	прекъсване
intolerance	anger	0.469	непоносимост
disobey	anger	0.469	не се подчиняват
selfishness	anger	0.469	егоизъм
recidivism	anger	0.469	рецидивизъм
subversive	anger	0.469	подривна
huff	anger	0.469	хъф
plunder	anger	0.469	грабеж
opposition	anger	0.469	опозиция
complain	anger	0.469	оплакват
perpetrator	anger	0.469	извършител
simmer	anger	0.469	оставете да къкри
areyoukidding	anger	0.468	шегуваш ли се
mug	anger	0.467	халба
agony	anger	0.465	агония
arrogant	anger	0.461	арогантен
sux	anger	0.456	sux
vent	anger	0.456	отдушник
elimination	anger	0.456	елиминиране
picketing	anger	0.456	пикетиране
haughty	anger	0.456	високомерен
grated	anger	0.455	настърган
flagrant	anger	0.455	крещящо
busted	anger	0.455	разбит
crabby	anger	0.455	раздразнителен
dying	anger	0.455	умиращ
idiocy	anger	0.455	идиотизъм
impermeable	anger	0.455	непропусклив
stubbed	anger	0.455	накъсан
