English Word	Emotion	Emotion-Intensity-Score	Malagasy Word
violent	anger	0.844	NAHERY
stab	anger	0.844	manindrona
abomination	anger	0.844	fahavetavetana
tumultuous	anger	0.844	tabataba
infuriate	anger	0.844	mahatezitra
obliterate	anger	0.843	obliterate
belligerent	anger	0.841	mpila ady
dumbbitch	anger	0.841	adala
detest	anger	0.838	mankahala
hostilities	anger	0.837	ady
prick	anger	0.835	mampahory koa
rampage	anger	0.833	fandrobana
horrid	anger	0.833	nahatsiravina
cruelty	anger	0.833	herisetra
torture	anger	0.833	hazo
rabid	anger	0.833	romotra
despicable	anger	0.828	maharikoriko
tyrannical	anger	0.828	lozabe
demonic	anger	0.828	demonia
satanic	anger	0.828	Satana
hate	anger	0.828	fankahalana
ragemode	anger	0.828	ragemode
hating	anger	0.828	fankahalana
ruinous	anger	0.825	mpandringana
condemn	anger	0.825	manameloka
riots	anger	0.824	korontana
demolish	anger	0.824	handrava
angry	anger	0.824	TEZITRA
extermination	anger	0.824	fandringanana
dickhead	anger	0.824	dickhead
livid	anger	0.821	Tezitra be mihitsy
madman	anger	0.820	adala
vindictive	anger	0.819	tia namaly faty
terrorist	anger	0.818	MPAMPIHOROHORO
threaten	anger	0.818	NAMPITAHOTRA
venomous	anger	0.818	bibilava
hateyou	anger	0.818	halako ianao
ferocity	anger	0.818	kabibiana
effyou	anger	0.818	effyou
abhor	anger	0.816	mankahalà
carnage	anger	0.814	fandripahana
savage	anger	0.814	bibidia
atrocity	anger	0.814	habibiana
fucksake	anger	0.812	fucksake
abuse	anger	0.812	fanararaotana
fierce	anger	0.812	masiaka
destroyer	anger	0.812	mpandringana
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	feno habibiana
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	sosotra
tyrant	anger	0.812	mpanao jadona
berserk	anger	0.812	misedra
fuming	anger	0.812	setroka
anger	anger	0.811	fahatezerana
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	totohondry
punching	anger	0.803	totohondry
slam	anger	0.803	slam
homicide	anger	0.803	vono olona
bitch	anger	0.803	bitch
fights	anger	0.803	ady
ruthless	anger	0.797	indrafo
villainous	anger	0.797	ratsy fanahy
destructive	anger	0.797	Handringanana
slap	anger	0.791	tehamaina
riot	anger	0.788	rotaka
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	manasazy
slaughterhouse	anger	0.788	trano famonoana
yelling	anger	0.788	mamon
diabolical	anger	0.788	devoly
destroyed	anger	0.788	rava
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	valifaty
manslaughter	anger	0.783	tsy nahy
clash	anger	0.783	nifandona
quarrel	anger	0.781	mifanditra
bloody	anger	0.781	ra mandriaka
hellish	anger	0.781	helo
sinister	anger	0.781	Zavaboary Ratsy
loath	anger	0.781	Halan'izy
detonation	anger	0.781	fipoahana
accusing	anger	0.779	niampanga
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateee
treacherous	anger	0.779	mpivadika
madder	anger	0.773	madder
horrific	anger	0.773	mampihoron-koditra
revulsion	anger	0.773	tsy tiako maizina àry
retaliate	anger	0.773	hamaly faty
scorn	anger	0.769	baraka
bomb	anger	0.766	baomba
deplorable	anger	0.766	trangan-javatra mampalahelo
devastation	anger	0.765	fandravana
anarchist	anger	0.765	fanjakan'i Baroa
firestorm	anger	0.765	tafio-drivotra
resent	anger	0.765	sosotra
contemptible	anger	0.764	tsinontsinona
shittest	anger	0.760	ratsy indrindra
rant	anger	0.758	Mitabataba
cruel	anger	0.758	Ratsy Fanahy
deadly	anger	0.758	mahafaty
smash	anger	0.758	hamotipotika
soangry	anger	0.758	soangry
outburst	anger	0.757	fipoahan'ny
snarl	anger	0.754	snarl
profane	anger	0.750	tsy masina
revolting	anger	0.750	maditra
aggravating	anger	0.750	mampitombo
horror	anger	0.750	horohoro
despise	anger	0.750	manamavo ny
offend	anger	0.750	hanafintohina
stfu	anger	0.750	stfu
vulgarity	anger	0.750	baranahina fanaony hatrizay
crazed	anger	0.750	adalana
douchebags	anger	0.750	douchebags
growling	anger	0.750	fieron'ny
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	nikiakiaka
threat	anger	0.742	fandrahonana
erupt	anger	0.742	hipoaka
horrible	anger	0.742	mahatsiravina
molestation	anger	0.742	fametavetana
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	HERISETRA
bastards	anger	0.741	bazana
revenge	anger	0.738	ny mamaly faty
menacing	anger	0.735	mandrahona
crushing	anger	0.735	nanorotoro
damn	anger	0.735	Tss
catastrophe	anger	0.735	loza
demon	anger	0.735	demonia
argue	anger	0.734	miady hevitra
persecute	anger	0.734	Henjehinao
deplore	anger	0.734	Mampahonena
flog	anger	0.734	kapoka
fedup	anger	0.734	leo
riotous	anger	0.734	baranahiny
vehement	anger	0.734	mahamay
revolt	anger	0.734	fikomiana
warfare	anger	0.734	ady
thrash	anger	0.734	thrash
altercation	anger	0.729	fifamaliana
warlike	anger	0.728	fitiavana ady
shitday	anger	0.727	shitday
mutiny	anger	0.727	fikomiana
castrate	anger	0.727	castrate
sabotage	anger	0.727	nanelingelina
malevolent	anger	0.721	ratsy fanahy
strike	anger	0.721	fitokonana
disaster	anger	0.721	Voina
disastrous	anger	0.720	loza
bastarding	anger	0.719	manjavozavo
treachery	anger	0.719	fitaka
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	soavaly
slay	anger	0.719	vonoy,
disdain	anger	0.719	tsinontsinona
aggravates	anger	0.719	mampitombo
brutal	anger	0.719	mahery vaika
scorching	anger	0.719	mahamay
devil	anger	0.719	DEVOLY
madden	anger	0.719	tezitra
spiteful	anger	0.719	feno lolompo
scream	anger	0.719	mikiakiaka
choke	anger	0.719	mangeja
vermin	anger	0.719	bibikely
tumult	anger	0.719	tabataba
criminal	anger	0.714	mpanao heloka bevava
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkisma
mutilation	anger	0.714	fanapahana rantsambatana
denunciation	anger	0.713	fanamelohana
punch	anger	0.713	totohondriny
virulence	anger	0.712	herisetra
fatal	anger	0.712	mahafaty
hurting	anger	0.712	mandratra
crucifixion	anger	0.712	fanomboana
dontlikeyou	anger	0.712	tsy tia anao
blasphemous	anger	0.712	fitenenan-dratsy
holocaust	anger	0.712	Famonoana Tambabe
dumbasses	anger	0.712	adaladala
battled	anger	0.712	niady
deranged	anger	0.706	very hevitra
irritated	anger	0.706	sosotra
atrocious	anger	0.706	mahatsiravina
evil	anger	0.706	RATSY
aggravated	anger	0.703	mainka manasaro
intimidation	anger	0.703	ny fampitahorana
dicks	anger	0.703	dicks
assassin	anger	0.703	mpamono
scolding	anger	0.703	nibedy
persecution	anger	0.703	fanenjehana
slayer	anger	0.703	an'izay nahafaty olona
kidnap	anger	0.703	fakàna an-keriny
aggression	anger	0.702	herisetra
armed	anger	0.700	fitaovam-piadiana
battle	anger	0.697	Battle
poison	anger	0.697	poizina
snarling	anger	0.697	mimenomenona
venom	anger	0.697	poizina
disgruntled	anger	0.693	sosotra
resentment	anger	0.691	lolom-po
assailant	anger	0.691	notafihina
insidious	anger	0.691	mampidi-doza
contemptuous	anger	0.690	manamavo
lynch	anger	0.690	lynch
temper	anger	0.688	tezitra
terrible	anger	0.688	mahatsiravina
disparage	anger	0.688	hitsikera
lunatic	anger	0.688	adala
bully	anger	0.688	mpihetraketraka
mad	anger	0.688	adala
makesmemad	anger	0.688	makesmemad
infanticide	anger	0.688	zazalahy hebreo
domination	anger	0.688	hifehy
peeved	anger	0.688	sosotra
imprisonment	anger	0.688	am-ponja
curse	anger	0.688	hanozona
volatility	anger	0.687	volatility
eradication	anger	0.685	fanafoanana
eradicate	anger	0.682	hamongorana ny
tantrum	anger	0.682	fipoahan'ny hatezerana
scoundrel	anger	0.682	olona ratsy fanahy
devastate	anger	0.682	handrava
aggressively	anger	0.680	mahery vaika
agitation	anger	0.680	pahoriana
dictatorship	anger	0.676	didy jadona
irritates	anger	0.676	tiako
profanity	anger	0.673	ratsy
shove	anger	0.672	manisy tahamaina
nasty	anger	0.672	ratsy
shot	anger	0.672	tifitra
cruelly	anger	0.672	nanaovany
shoot	anger	0.672	tsimoka
condemnation	anger	0.672	fanamelohana
crushed	anger	0.672	nanorotoro
aggravation	anger	0.672	faharatsiana
poisonous	anger	0.672	misy poizina
egregious	anger	0.672	mahatsiravina
crime	anger	0.672	heloka bevava
corrupting	anger	0.672	dratsy
dastardly	anger	0.672	manjavozavo
contempt	anger	0.672	fanamavoana
harmful	anger	0.672	mampidi-doza
expletive	anger	0.672	expletive
wreak	anger	0.672	nijinja
maniac	anger	0.670	maniac
cutthroat	anger	0.667	maty eritreritra
enemy	anger	0.667	fahavalo
hit	anger	0.667	hira
hateeveryone	anger	0.667	mankahala ny olona rehetra
eruption	anger	0.667	fipoahana
irritable	anger	0.667	kizitina
odious	anger	0.667	nampangidy hoditra
shooting	anger	0.667	fitifirana
shout	anger	0.667	Manaova feo fifaliana
aggressive	anger	0.667	masiaka
kick	anger	0.667	daka
combat	anger	0.667	ady
fight	anger	0.667	ady
punished	anger	0.662	voasazy
yell	anger	0.661	mivazavaza
ambush	anger	0.661	otrika
harass	anger	0.659	Rafeso
malignant	anger	0.656	mamohehatra
aggressor	anger	0.656	mpanafika
gore	anger	0.656	feno herisetra
destruction	anger	0.656	RAVA
grudge	anger	0.656	lolompo
antichrist	anger	0.656	ANTIKRISTY
incense	anger	0.656	ditin-kazo manitra
expel	anger	0.656	handroaka
cranky	anger	0.653	mitabataba
slave	anger	0.652	mpanompo
reprisal	anger	0.652	valifaty
growl	anger	0.652	Hierona
animosity	anger	0.652	fankahalana
insurrection	anger	0.652	fikomiana
clashing	anger	0.652	nifanandrina
denounce	anger	0.652	manameloka
offended	anger	0.652	tafintohina
spank	anger	0.652	kapoka
insulting	anger	0.652	faniratsirana
growls	anger	0.649	mierona
executioner	anger	0.644	mpiambina
twat	anger	0.644	twat
doomsday	anger	0.643	Olona ny Fara Andro
obscenity	anger	0.641	fahavetavetana
accused	anger	0.641	voampanga
feud	anger	0.641	mpifanditra
daemon	anger	0.641	daemon
havoc	anger	0.641	nandringana
shackle	anger	0.641	gadra
inexcusable	anger	0.641	afa-tsiny
indignant	anger	0.641	tezitra
grr	anger	0.641	grr
expulsion	anger	0.641	fandroahana
bombard	anger	0.641	be dia be
spat	anger	0.641	nandrora
arson	anger	0.641	fandoroana
reprimand	anger	0.641	fandevilevena
somad	anger	0.637	somad
frustrated	anger	0.636	kivy
batter	anger	0.636	Mamono ny
kicking	anger	0.636	mandaka
anarchy	anger	0.636	anarchy
spanking	anger	0.636	kapoka
glaring	anger	0.636	manjelanjelatra
suicidal	anger	0.636	hamono tena
disgusting	anger	0.636	mahatsiravina
wound	anger	0.636	ratra
hanging	anger	0.636	varavarana lamba
poisoned	anger	0.636	misy poizina
combatant	anger	0.636	mpiady
wrecked	anger	0.633	rendrika
inflict	anger	0.633	ampitondraina
grievous	anger	0.632	mafy
prosecute	anger	0.630	fitsarana
agitated	anger	0.630	mikorontana
cheat	anger	0.630	hanambaka
swastika	anger	0.627	swastika
injure	anger	0.625	hanimba
indict	anger	0.625	miampanga
scourge	anger	0.625	loza
provocation	anger	0.625	fihantsiana
suffocation	anger	0.625	fahasemporana
strife	anger	0.625	fifandirana
raid	anger	0.625	fanafihana
enslaved	anger	0.625	handevozin'ny
cursing	anger	0.625	ozona
defamatory	anger	0.625	manala baraka
harassing	anger	0.625	manorisory
thundering	anger	0.625	kotroka
betray	anger	0.625	hamadika
arsehole	anger	0.624	arsehole
theft	anger	0.621	halatra
insane	anger	0.621	very saina
retaliation	anger	0.621	valifaty
irritate	anger	0.621	mampahatezitra
deprivation	anger	0.621	tsy fananana
fiend	anger	0.621	fiend
jerk	anger	0.621	mitsambikina
convict	anger	0.621	voaheloka
cussed	anger	0.619	cussed
turmoil	anger	0.618	korontana
smack	anger	0.615	smack
retribution	anger	0.614	famaizana
rebellion	anger	0.609	fikomiana
oppressor	anger	0.609	Fampahoriana
gang	anger	0.609	JIOLAHY
slavery	anger	0.609	fanandevozana
intolerable	anger	0.609	tsy azo leferina
adverse	anger	0.609	voka
injurious	anger	0.609	dratsy
twats	anger	0.609	twats
collision	anger	0.609	fifandonan'ny planeta
battery	anger	0.609	bateria
bitterly	anger	0.609	mafy
antagonism	anger	0.609	fanoherana
irritability	anger	0.609	mora tezitra
disgraced	anger	0.608	afa-baraka
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Dondrom-belona
blast	anger	0.606	fipoahana
bombardment	anger	0.606	baomba
irks	anger	0.606	irks
ranting	anger	0.606	mitabataba
revolution	anger	0.606	revolisiona
thug	anger	0.606	jiolahimboto
antagonistic	anger	0.606	manohitra
irritating	anger	0.606	mahasosotra
sickening	anger	0.606	Mankaloiloy
discrimination	anger	0.606	FANAVAKAVAHANA
frustrate	anger	0.604	hahafoana
insult	anger	0.603	fanevatevana
hurtful	anger	0.603	-dratsy
oppression	anger	0.603	famoretana
manipulation	anger	0.603	fanodinkodinana
tiredofit	anger	0.603	reraka
bigot	anger	0.603	be vava
tension	anger	0.603	olana
disgust	anger	0.602	rikoriko
spite	anger	0.600	na dia teo aza
intrusive	anger	0.598	manelingelina
harshness	anger	0.597	fatratra
slur	anger	0.596	manevateva
tempest	anger	0.594	tafio-drivotra
assail	anger	0.594	misambotra
bitterness	anger	0.594	mangidy
morbidity	anger	0.594	aretina
casualty	anger	0.594	niharam-boina
puncture	anger	0.594	puncture
miserable	anger	0.594	fadiranovana
inferno	anger	0.594	inferno
invasion	anger	0.594	fanafihana
storming	anger	0.594	rehefa nanafika
wretch	anger	0.594	ny olo-mahantra
consternation	anger	0.592	tebiteby
raving	anger	0.591	mitabataba
forcibly	anger	0.591	an-keriny
guillotine	anger	0.591	Tapahina ireo taratasim
guilty	anger	0.591	meloka
depraved	anger	0.591	ratsy fitondran-tena
immoral	anger	0.591	fitondran-tena maloto
overpowering	anger	0.591	eran 'ny aina
scare	anger	0.588	Fampitahoran'ny
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	voavily
accursed	anger	0.588	voaozona
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	mpanafika
jealousy	anger	0.587	fahasaro-piaro
indignation	anger	0.587	fahatezerana
vexed	anger	0.586	sosotra
confront	anger	0.582	hiatrika
brute	anger	0.581	tsy manan-tsaina
throttle	anger	0.579	throttle
slut	anger	0.578	slut
coup	anger	0.578	fanonganam-panjakana
blaze	anger	0.578	nirehitra
pillage	anger	0.578	horobain'ireo
provoking	anger	0.578	mihantsy
damage	anger	0.578	fahavoazana
criminality	anger	0.578	heloka bevava
shutup	anger	0.578	Mangìna
lash	anger	0.578	karavasy
conflict	anger	0.578	Fifandirana
contentious	anger	0.578	tia ady
shutit	anger	0.578	shutit
wreck	anger	0.578	seranam-piaramanidina
defiant	anger	0.578	mpikomy
butcher	anger	0.578	mpivaro-kena
incarceration	anger	0.578	fampidirana am-ponja
revolver	anger	0.578	basy
bickering	anger	0.578	Niteraka fifamaliana
yousuck	anger	0.578	mahasosopaty ianao
cancer	anger	0.577	cancer
discriminate	anger	0.576	Manambany
gun	anger	0.576	basy
frustration	anger	0.576	fahasosorana
gory	anger	0.576	Góry
pernicious	anger	0.576	mikiky
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	fitenenan-dratsy
chaotic	anger	0.576	mikorontana
grope	anger	0.576	hitsapatsapa
alienation	anger	0.576	fahafoizako
disturbance	anger	0.576	korontana
condescension	anger	0.576	fiambanian
standoff	anger	0.576	fifanandrinana miantana
discord	anger	0.576	ady
friggen	anger	0.575	friggen
sneer	anger	0.574	maneso
death	anger	0.574	FAHAFATESANA
lunacy	anger	0.574	fahadalana
scandalous	anger	0.574	mahamenatra
oppressive	anger	0.574	nampahory
jab	anger	0.574	jab
cursed	anger	0.574	voaozona
monstrosity	anger	0.574	habibiana
shit	anger	0.573	diky
disparaging	anger	0.571	fanambaniana
slash	anger	0.571	tavy
unfair	anger	0.571	tsy ara-drariny
gallows	anger	0.570	hazo
escalate	anger	0.569	hivadika
intolerant	anger	0.564	fandeferana
lawlessness	anger	0.563	MPANDIKA LALÀNA
beast	anger	0.562	biby
torpedo	anger	0.562	torpedo
malign	anger	0.562	hanaratsy
traitor	anger	0.562	mpamadika
frightful	anger	0.562	mahatahotra
wrangling	anger	0.562	ny adilahy
slander	anger	0.562	fanendrikendrehana
bellows	anger	0.562	bellow
retards	anger	0.562	mihemotra
grouchy	anger	0.562	mikoropaka
derogatory	anger	0.562	fanambaniana
bearish	anger	0.562	bearish
invade	anger	0.562	hanafika
perdition	anger	0.562	fahaverezana
arghh	anger	0.562	arghh
dreadful	anger	0.562	mahatahotra
bluddy	anger	0.562	bluddy
deceived	anger	0.562	voafitaka
glare	anger	0.562	Mamirapiratra mankarary maso
taunt	anger	0.562	fanesoana
dissension	anger	0.561	fifandirana
cross	anger	0.561	hazo fijaliana
rave	anger	0.561	fiderana faran'izay tsara
grating	anger	0.561	makarakara
devastating	anger	0.561	nampivaloharika
fits	anger	0.561	mifanentana
jeopardize	anger	0.561	hanimba
shatter	anger	0.561	manorotoro
idiots	anger	0.561	adala
hurt	anger	0.561	loza
thief	anger	0.561	mpangalatra
uncontrollable	anger	0.561	voafehy
conflagration	anger	0.561	adin'ny
betrayal	anger	0.561	famadihana
banshee	anger	0.561	banshee
subjugation	anger	0.559	fahababoana
disturbed	anger	0.559	sahiran-tsaina
stomped	anger	0.557	voahitsakitsaka
grab	anger	0.557	haka
grievance	anger	0.556	fahoriana Hianao
ticked	anger	0.556	kitihina
masochism	anger	0.556	masochisme
defiance	anger	0.552	fihantsiana
blackmail	anger	0.550	fandrahonana
offensive	anger	0.549	manafintohina
decry	anger	0.548	decry
frustrates	anger	0.547	mahafoana
violation	anger	0.547	FANDIKAN-
confine	anger	0.547	velively
misery	anger	0.547	fahoriana
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	fitoviana
punishment	anger	0.547	sazy
rebel	anger	0.547	MPIKOMY
preposterous	anger	0.547	Safodrano
disgraceful	anger	0.547	-baraka
ire	anger	0.547	Nahatezitra
deceive	anger	0.547	mamita-
fustrated	anger	0.547	tezitra
sin	anger	0.547	fahotana
shrill	anger	0.547	mitabataba
darkside	anger	0.547	ila maizina
overbearing	anger	0.547	nanjakazaka
firearms	anger	0.547	basy
stolen	anger	0.546	angalarina
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	fitsarana an-tendrony
tackle	anger	0.545	hiatrehana
resentful	anger	0.545	TEZITRA
heated	anger	0.545	mafana
callous	anger	0.545	mafy fo
conspirator	anger	0.545	mpikomy
ruined	anger	0.545	simba
antagonist	anger	0.545	mpanohitra
skirmish	anger	0.545	niady
menace	anger	0.545	hampidi-doza
annoyin	anger	0.545	annoyin
foul	anger	0.545	maimbo
argument	anger	0.545	fandresen-dahatra
humiliate	anger	0.545	baraka
wanker	anger	0.545	wanker
adversary	anger	0.545	fahavalo
sting	anger	0.544	fanindronana
entangled	anger	0.544	Azon'ny tamberintany
grumble	anger	0.544	mimonomonona
robbery	anger	0.544	halatra
outcry	anger	0.544	fitarainana
resistance	anger	0.543	fanoherana
irreconcilable	anger	0.543	tsy azo ihavanana
obstructive	anger	0.542	obstructive
dismay	anger	0.540	raiki-tahotra
mob	anger	0.538	vahoaka
juststop	anger	0.537	mijanona fotsiny
badness	anger	0.536	ratsy
ridicule	anger	0.534	maneso
incendiary	anger	0.533	fandoroana
flares	anger	0.532	flares
twofaced	anger	0.531	roa tava
reckless	anger	0.531	Sahisahy ratsy
communism	anger	0.531	kominisma
allegation	anger	0.531	filazana
prejudicial	anger	0.531	fitsarana an-tendron'ny
whip	anger	0.531	karavasy
unbridled	anger	0.531	voafehy
degeneracy	anger	0.531	fitontongananan'ny
intruder	anger	0.531	mpanafika
belittle	anger	0.531	tsinontsinona
confinement	anger	0.531	monina
dispute	anger	0.531	fifandirana
exacerbation	anger	0.531	fanitarana
uprising	anger	0.531	fikomiana
unjust	anger	0.530	tsy ara-drariny
unjustifiable	anger	0.530	tsy azo hamarinina
perversion	anger	0.530	fady
bigoted	anger	0.530	tery saina
fiesty	anger	0.530	fiesty
offender	anger	0.530	ratsy
dictatorial	anger	0.530	tsy refesi-mandidy
hassle	anger	0.530	manahirana
dissonance	anger	0.530	dissonance
tackled	anger	0.530	resahana
renegade	anger	0.529	nikomy
cantstandit	anger	0.529	cantsstandit
trespass	anger	0.529	fahadisoana
hot	anger	0.529	mafana
prison	anger	0.529	am-ponja
suicide	anger	0.521	famonoan-tena
annoy	anger	0.520	mahasorena sy mahadiso
leavemealone	anger	0.517	Avelao aho
cretins	anger	0.516	cretins
depravity	anger	0.516	fitondran-tena maloto
idiotic	anger	0.516	adaladala
dishonest	anger	0.516	tsy marina
distrust	anger	0.516	fitokisana
broil	anger	0.516	manondraka
grrr	anger	0.516	grrr
criticize	anger	0.516	mitsikera
inimical	anger	0.516	mankahala
tortious	anger	0.516	tortious
prisoner	anger	0.516	gadra
treason	anger	0.516	mpamadika
divorce	anger	0.516	FISARAHAM-PANAMBADIANA
venting	anger	0.516	kevitra ny hanampatra
duress	anger	0.516	fanerena
disrespectful	anger	0.516	fanajana
poaching	anger	0.515	fihazana
scold	anger	0.515	nibedy
poachers	anger	0.515	mpihaza an-tsokosoko
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	argumentation
frustrating	anger	0.515	hahakivy
unkind	anger	0.515	ratsy fanahy
roar	anger	0.515	Mierona
coercion	anger	0.515	faneriterena
unforgiving	anger	0.515	mpanontolo fo
grump	anger	0.515	mimenomenona
bile	anger	0.515	bile
unleash	anger	0.515	sanatria
chaos	anger	0.515	korontana
victimized	anger	0.515	iharan'ireo
jerks	anger	0.515	mitsambikina
tussle	anger	0.514	ady
bane	anger	0.511	zava-doza
accusation	anger	0.510	fiampangana
enmity	anger	0.510	fandrafiana
repudiation	anger	0.510	fanipahana marindrano
banish	anger	0.509	manaisotra
disfigured	anger	0.508	Simba Tarehy
storm	anger	0.507	DRIVOTRA
crazy	anger	0.500	adala
hammering	anger	0.500	tantanana
defy	anger	0.500	nihaika
antithesis	anger	0.500	fanoherana-kevitra izany
scoff	anger	0.500	kosa maneso
anguish	anger	0.500	ny fahoriam
confined	anger	0.500	afa-miala
fear	anger	0.500	TAHOTRA
bout	anger	0.500	bout
unruly	anger	0.500	maditra
delusional	anger	0.500	mirediredy
obstruct	anger	0.500	vato misakana
possessed	anger	0.500	nahazo
injustice	anger	0.500	ny Tsy rariny
fervor	anger	0.500	noforonin'Andriamanitra
spear	anger	0.500	lefona
derision	anger	0.500	fihomehezana
intractable	anger	0.500	tsy ahitam-bahaolana
reject	anger	0.500	mandà
dominate	anger	0.500	hanjaka
ordeal	anger	0.500	nanjo
banished	anger	0.500	voaroaka
rejects	anger	0.500	mandà
shun	anger	0.500	Aza tia
brunt	anger	0.500	iharan'izany
derogation	anger	0.500	fepetra
frenzied	anger	0.500	mirediredy
animus	anger	0.500	animus
suppression	anger	0.500	fanafoanana
malpractice	anger	0.500	tsy fanao
brazen	anger	0.500	varahina
foaming	anger	0.500	mandroatra
disrupting	anger	0.500	fanakorontanana
nobodycares	anger	0.500	tsy misy miraharaha
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	mahazo ny tenanao
toughness	anger	0.492	diso mikasika ny Fahasarotana
stupidpeople	anger	0.492	olona adala
madness	anger	0.491	fahaverezan-tsaina
sinful	anger	0.491	mpanota
avarice	anger	0.490	fitiavam-bola
oppress	anger	0.490	mampahory
cutting	anger	0.485	fanapahana
anathema	anger	0.485	voaozona
annoyed	anger	0.485	sorena
dissident	anger	0.485	mpanohitra
demand	anger	0.485	fangatahana
usurp	anger	0.485	handrombaka
claw	anger	0.485	claw
alienate	anger	0.485	hafindrany
infraction	anger	0.485	heloka
avenger	anger	0.485	mpamaly
revoke	anger	0.485	manafoana
smuggler	anger	0.485	mpanondrana an-tsokosoko
abolish	anger	0.485	hanafoana
fricking	anger	0.485	mikitika
stayaway	anger	0.485	mijanona
pervert	anger	0.485	mba mamadika ny
disservice	anger	0.485	hanimba
disobedient	anger	0.485	tsy mankatò
incest	anger	0.485	firaisana amin'olom-pady
complaint	anger	0.485	METY HITARAINA
disapproved	anger	0.485	hankasitrahana
inhuman	anger	0.485	maha-olombelona
mocking	anger	0.484	naneso
penalty	anger	0.484	sazy
renounce	anger	0.484	Miala
restrain	anger	0.484	mifehy
upheaval	anger	0.484	korontana
deceit	anger	0.484	fitaka
obnoxious	anger	0.484	isalasalana
imprisoned	anger	0.484	naiditra am-ponja
strained	anger	0.484	sahirana
blame	anger	0.484	tsiny
oust	anger	0.484	fandroahana
litigious	anger	0.484	ara-pitsarana
rivalry	anger	0.484	fifampiandaniana
