English Word	Emotion	Emotion-Intensity-Score	Slovenian Word
profane	anger	0.750	profano
revolting	anger	0.750	odporno
aggravating	anger	0.750	oteževalno
horror	anger	0.750	groza
despise	anger	0.750	prezirati
offend	anger	0.750	užaliti
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarnost
crazed	anger	0.750	ponorel
douchebags	anger	0.750	neumneži
growling	anger	0.750	renčanje
dontmesswithme	anger	0.750	ne zapletaj se z mano
screaming	anger	0.742	kričanje
threat	anger	0.742	grožnja
erupt	anger	0.742	izbruhniti
horrible	anger	0.742	grozno
molestation	anger	0.742	nadlegovanje
fuckedoff	anger	0.742	odjeban
violence	anger	0.742	nasilje
bastards	anger	0.741	barabe
revenge	anger	0.738	maščevanje
menacing	anger	0.735	grozeče
crushing	anger	0.735	drobljenje
damn	anger	0.735	prekleto
catastrophe	anger	0.735	katastrofa
demon	anger	0.735	demon
argue	anger	0.734	trditi
persecute	anger	0.734	preganjati
deplore	anger	0.734	obžalovati
flog	anger	0.734	bičati
fedup	anger	0.734	naveličani
riotous	anger	0.734	izgredniški
vehement	anger	0.734	vehementen
revolt	anger	0.734	upor
warfare	anger	0.734	vojskovanje
thrash	anger	0.734	mlatiti
altercation	anger	0.729	prepir
warlike	anger	0.728	bojevit
shitday	anger	0.727	sranje
mutiny	anger	0.727	upor
castrate	anger	0.727	kastrirati
sabotage	anger	0.727	sabotaža
malevolent	anger	0.721	zlonamerno
strike	anger	0.721	stavka
disaster	anger	0.721	nesreča
disastrous	anger	0.720	katastrofalno
bastarding	anger	0.719	baraba
treachery	anger	0.719	izdaja
arseholes	anger	0.719	ritke
horseshit	anger	0.719	sranje
slay	anger	0.719	ubiti
disdain	anger	0.719	prezir
aggravates	anger	0.719	poslabša
brutal	anger	0.719	brutalen
scorching	anger	0.719	žgoče
devil	anger	0.719	Hudič
madden	anger	0.719	jezen
spiteful	anger	0.719	zlobna
scream	anger	0.719	kričati
choke	anger	0.719	zadušiti
vermin	anger	0.719	škodljivci
tumult	anger	0.719	nemir
criminal	anger	0.714	zločinec
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarhizem
mutilation	anger	0.714	pohabljanje
denunciation	anger	0.713	odpoved
punch	anger	0.713	udarec
virulence	anger	0.712	virulentnost
fatal	anger	0.712	usodna
hurting	anger	0.712	boli
crucifixion	anger	0.712	križanje
dontlikeyou	anger	0.712	dont like you
blasphemous	anger	0.712	bogokletno
holocaust	anger	0.712	holokavst
dumbasses	anger	0.712	neumneži
battled	anger	0.712	boril
deranged	anger	0.706	zmešan
irritated	anger	0.706	razdražen
atrocious	anger	0.706	grozno
evil	anger	0.706	zlo
aggravated	anger	0.703	poslabšalo
intimidation	anger	0.703	ustrahovanje
dicks	anger	0.703	kurce
assassin	anger	0.703	morilec
scolding	anger	0.703	grajanje
persecution	anger	0.703	preganjanje
slayer	anger	0.703	ubijalec
kidnap	anger	0.703	ugrabiti
aggression	anger	0.702	agresija
armed	anger	0.700	oborožen
battle	anger	0.697	Bitka
poison	anger	0.697	strup
snarling	anger	0.697	renčanje
venom	anger	0.697	strup
disgruntled	anger	0.693	nezadovoljen
resentment	anger	0.691	zamera
assailant	anger	0.691	napadalec
insidious	anger	0.691	zahrbten
contemptuous	anger	0.690	zaničljivo
lynch	anger	0.690	linč
temper	anger	0.688	temperament
terrible	anger	0.688	grozno
disparage	anger	0.688	omalovaževanje
lunatic	anger	0.688	norec
bully	anger	0.688	nasilnež
mad	anger	0.688	nora
makesmemad	anger	0.688	naredi memad
infanticide	anger	0.688	detomor
domination	anger	0.688	dominacija
peeved	anger	0.688	jezen
imprisonment	anger	0.688	zaporna kazen
curse	anger	0.688	prekletstvo
volatility	anger	0.687	nestanovitnost
eradication	anger	0.685	izkoreninjenje
eradicate	anger	0.682	izkoreniniti
tantrum	anger	0.682	izbruh jeze
scoundrel	anger	0.682	podlež
devastate	anger	0.682	opustošiti
aggressively	anger	0.680	agresivno
agitation	anger	0.680	vznemirjenost
dictatorship	anger	0.676	diktatura
irritates	anger	0.676	draži
profanity	anger	0.673	psovke
shove	anger	0.672	suniti
nasty	anger	0.672	grdo
shot	anger	0.672	strel
cruelly	anger	0.672	kruto
shoot	anger	0.672	streljati
condemnation	anger	0.672	obsojanje
crushed	anger	0.672	zdrobljen
aggravation	anger	0.672	poslabšanje
poisonous	anger	0.672	strupeno
egregious	anger	0.672	nenavadno
crime	anger	0.672	zločin
corrupting	anger	0.672	pokvarjen
dastardly	anger	0.672	podlo
contempt	anger	0.672	prezir
harmful	anger	0.672	škodljivo
expletive	anger	0.672	psovka
wreak	anger	0.672	uničiti
maniac	anger	0.670	manijak
cutthroat	anger	0.667	zareznik
enemy	anger	0.667	sovražnik
hit	anger	0.667	udarec
hateeveryone	anger	0.667	sovraži vse
eruption	anger	0.667	izbruh
irritable	anger	0.667	razdražljiv
odious	anger	0.667	odvraten
shooting	anger	0.667	streljanje
shout	anger	0.667	kričati
aggressive	anger	0.667	agresiven
kick	anger	0.667	brcati
combat	anger	0.667	boj
fight	anger	0.667	boj
punished	anger	0.662	kaznovan
yell	anger	0.661	vpiti
ambush	anger	0.661	zaseda
harass	anger	0.659	nadlegovati
malignant	anger	0.656	maligni
aggressor	anger	0.656	agresor
gore	anger	0.656	gore
destruction	anger	0.656	uničenje
grudge	anger	0.656	zamera
antichrist	anger	0.656	antikrist
incense	anger	0.656	kadilo
expel	anger	0.656	izgnati
cranky	anger	0.653	jezen
slave	anger	0.652	suženj
reprisal	anger	0.652	maščevanje
growl	anger	0.652	renčanje
animosity	anger	0.652	sovražnost
insurrection	anger	0.652	vstaja
clashing	anger	0.652	spopadanje
denounce	anger	0.652	obtožiti
offended	anger	0.652	užaljen
spank	anger	0.652	šeškati
insulting	anger	0.652	žaljivo
growls	anger	0.649	renči
executioner	anger	0.644	krvnik
twat	anger	0.644	pička
doomsday	anger	0.643	sodni dan
obscenity	anger	0.641	nespodobnost
accused	anger	0.641	obtožen
feud	anger	0.641	fevd
daemon	anger	0.641	daemon
havoc	anger	0.641	opustošenje
shackle	anger	0.641	okov
inexcusable	anger	0.641	neopravičljivo
indignant	anger	0.641	ogorčen
grr	anger	0.641	grr
expulsion	anger	0.641	izgon
bombard	anger	0.641	bombardirati
spat	anger	0.641	pljunil
arson	anger	0.641	požig
reprimand	anger	0.641	opomin
somad	anger	0.637	tako jezen
frustrated	anger	0.636	razočarana
batter	anger	0.636	testo
kicking	anger	0.636	brcanje
anarchy	anger	0.636	anarhija
spanking	anger	0.636	šeškanje
glaring	anger	0.636	bleščeče
suicidal	anger	0.636	samomorilno
disgusting	anger	0.636	odvratno
wound	anger	0.636	rana
hanging	anger	0.636	visi
poisoned	anger	0.636	zastrupljen
combatant	anger	0.636	borec
wrecked	anger	0.633	uničen
inflict	anger	0.633	povzročiti
grievous	anger	0.632	žalosten
prosecute	anger	0.630	preganjati
agitated	anger	0.630	vznemirjen
cheat	anger	0.630	goljufati
swastika	anger	0.627	svastika
injure	anger	0.625	poškodovati
indict	anger	0.625	obtožnica
scourge	anger	0.625	nadloga
provocation	anger	0.625	provokacija
suffocation	anger	0.625	zadušitev
strife	anger	0.625	prepir
raid	anger	0.625	napad
enslaved	anger	0.625	zasužnjen
cursing	anger	0.625	preklinjanje
defamatory	anger	0.625	obrekljivo
harassing	anger	0.625	nadlegovanje
thundering	anger	0.625	grmenje
betray	anger	0.625	izdati
arsehole	anger	0.624	rit
theft	anger	0.621	tatvina
insane	anger	0.621	noro
retaliation	anger	0.621	maščevanje
irritate	anger	0.621	dražiti
deprivation	anger	0.621	prikrajšanje
fiend	anger	0.621	hudič
jerk	anger	0.621	kreten
convict	anger	0.621	obsojenec
cussed	anger	0.619	preklinjal
turmoil	anger	0.618	nemir
smack	anger	0.615	cmok
retribution	anger	0.614	maščevanje
rebellion	anger	0.609	upor
oppressor	anger	0.609	zatiralec
gang	anger	0.609	tolpa
slavery	anger	0.609	suženjstvo
intolerable	anger	0.609	nevzdržno
adverse	anger	0.609	neugoden
injurious	anger	0.609	škodljivo
twats	anger	0.609	twats
collision	anger	0.609	trk
battery	anger	0.609	baterijo
bitterly	anger	0.609	grenko
antagonism	anger	0.609	antagonizem
irritability	anger	0.609	razdražljivost
disgraced	anger	0.608	osramočen
diatribe	anger	0.606	diatribe
asshole	anger	0.606	kreten
blast	anger	0.606	razstreliti
bombardment	anger	0.606	bombardiranje
irks	anger	0.606	irks
ranting	anger	0.606	tarnanje
revolution	anger	0.606	revolucija
thug	anger	0.606	razbojnik
antagonistic	anger	0.606	antagonistično
irritating	anger	0.606	razdražljiv
sickening	anger	0.606	mučno
discrimination	anger	0.606	diskriminacija
frustrate	anger	0.604	frustrirati
insult	anger	0.603	žalitev
hurtful	anger	0.603	boleče
oppression	anger	0.603	zatiranje
manipulation	anger	0.603	manipulacija
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	napetost
disgust	anger	0.602	gnus
spite	anger	0.600	navkljub
intrusive	anger	0.598	vsiljiv
harshness	anger	0.597	ostrina
slur	anger	0.596	blatiti
tempest	anger	0.594	vihar
assail	anger	0.594	napad
bitterness	anger	0.594	grenkoba
morbidity	anger	0.594	obolevnost
casualty	anger	0.594	žrtev
puncture	anger	0.594	punkcija
miserable	anger	0.594	bedno
inferno	anger	0.594	pekel
invasion	anger	0.594	invazija
storming	anger	0.594	nevihta
wretch	anger	0.594	reva
consternation	anger	0.592	osuplost
raving	anger	0.591	divjanje
forcibly	anger	0.591	prisilno
guillotine	anger	0.591	giljotina
guilty	anger	0.591	kriv
depraved	anger	0.591	izprijen
immoral	anger	0.591	nemoralno
overpowering	anger	0.591	premočen
scare	anger	0.588	prestrašiti
recalcitrant	anger	0.588	preračunljiv
screwed	anger	0.588	zajeban
accursed	anger	0.588	preklet
soannoyed	anger	0.588	tako jezen
invader	anger	0.588	vsiljivec
jealousy	anger	0.587	ljubosumje
indignation	anger	0.587	ogorčenje
vexed	anger	0.586	razburjen
confront	anger	0.582	soočiti se
brute	anger	0.581	surovina
throttle	anger	0.579	plin
slut	anger	0.578	kurba
coup	anger	0.578	državni udar
blaze	anger	0.578	velik požar
pillage	anger	0.578	ropanje
provoking	anger	0.578	provociranje
damage	anger	0.578	poškodbe
criminality	anger	0.578	kriminaliteta
shutup	anger	0.578	utihni
lash	anger	0.578	trepalnica
conflict	anger	0.578	konflikt
contentious	anger	0.578	sporen
shutit	anger	0.578	Zapri
wreck	anger	0.578	razbitina
defiant	anger	0.578	izzivalen
butcher	anger	0.578	mesar
incarceration	anger	0.578	zaprtje
revolver	anger	0.578	revolver
bickering	anger	0.578	prepiranje
yousuck	anger	0.578	beden si
cancer	anger	0.577	rak
discriminate	anger	0.576	diskriminirati
gun	anger	0.576	pištolo
frustration	anger	0.576	frustracija
gory	anger	0.576	krvav
pernicious	anger	0.576	škodljivo
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	bogokletje
chaotic	anger	0.576	kaotično
grope	anger	0.576	tipati
alienation	anger	0.576	odtujenost
disturbance	anger	0.576	motnja
condescension	anger	0.576	prizanesljivost
standoff	anger	0.576	zastoj
discord	anger	0.576	razdor
friggen	anger	0.575	friggen
sneer	anger	0.574	posmeh
death	anger	0.574	smrt
lunacy	anger	0.574	norost
scandalous	anger	0.574	škandalozno
oppressive	anger	0.574	zatiralsko
jab	anger	0.574	udarec
cursed	anger	0.574	preklet
monstrosity	anger	0.574	pošastnost
shit	anger	0.573	sranje
disparaging	anger	0.571	zaničevalen
slash	anger	0.571	poševnica
unfair	anger	0.571	nepošteno
gallows	anger	0.570	vislice
escalate	anger	0.569	stopnjevati
intolerant	anger	0.564	nestrpen
lawlessness	anger	0.563	brezpravnost
beast	anger	0.562	Zver
torpedo	anger	0.562	torpedo
malign	anger	0.562	maligni
traitor	anger	0.562	izdajalec
frightful	anger	0.562	strašno
wrangling	anger	0.562	prepir
slander	anger	0.562	obrekovanje
bellows	anger	0.562	meh
retards	anger	0.562	retardirani
grouchy	anger	0.562	godrnjav
derogatory	anger	0.562	slabšalno
bearish	anger	0.562	medvedji
invade	anger	0.562	vdreti
perdition	anger	0.562	poguba
arghh	anger	0.562	arghh
dreadful	anger	0.562	grozljivo
bluddy	anger	0.562	bluddy
deceived	anger	0.562	prevarani
glare	anger	0.562	bleščanje
taunt	anger	0.562	posmeh
dissension	anger	0.561	nesoglasje
cross	anger	0.561	križ
rave	anger	0.561	rave
grating	anger	0.561	rešetka
devastating	anger	0.561	uničujoče
fits	anger	0.561	ustreza
jeopardize	anger	0.561	ogroziti
shatter	anger	0.561	razbiti
idiots	anger	0.561	idioti
hurt	anger	0.561	poškodovati
thief	anger	0.561	tat
uncontrollable	anger	0.561	neobvladljiv
conflagration	anger	0.561	požar
betrayal	anger	0.561	izdaja
banshee	anger	0.561	banshee
subjugation	anger	0.559	podrejanje
disturbed	anger	0.559	moten
stomped	anger	0.557	pohodil
grab	anger	0.557	zgrabi
grievance	anger	0.556	pritožba
ticked	anger	0.556	odkljukan
masochism	anger	0.556	mazohizem
defiance	anger	0.552	kljubovanje
blackmail	anger	0.550	izsiljevanje
offensive	anger	0.549	žaljivo
decry	anger	0.548	obsoditi
frustrates	anger	0.547	frustrira
violation	anger	0.547	kršitev
confine	anger	0.547	omejiti
misery	anger	0.547	beda
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	nesorazmerje
punishment	anger	0.547	kazen
rebel	anger	0.547	upornik
preposterous	anger	0.547	nesmiselno
disgraceful	anger	0.547	sramotno
ire	anger	0.547	jeza
deceive	anger	0.547	zavajati
fustrated	anger	0.547	razburjen
sin	anger	0.547	greh
shrill	anger	0.547	kričeč
darkside	anger	0.547	temna stran
overbearing	anger	0.547	prepotenten
firearms	anger	0.547	strelno orožje
stolen	anger	0.546	ukraden
hadenough	anger	0.546	dovolj imam
prejudice	anger	0.545	predsodki
tackle	anger	0.545	lotiti se
resentful	anger	0.545	zamerljiv
heated	anger	0.545	ogrevan
callous	anger	0.545	brezčuten
conspirator	anger	0.545	zarotnik
ruined	anger	0.545	uničen
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	spopad
menace	anger	0.545	grožnja
annoyin	anger	0.545	nadležen
foul	anger	0.545	prekršek
argument	anger	0.545	prepir
humiliate	anger	0.545	ponižati
wanker	anger	0.545	norčevalec
adversary	anger	0.545	nasprotnik
sting	anger	0.544	želo
entangled	anger	0.544	zapletena
grumble	anger	0.544	godrnjati
robbery	anger	0.544	rop
outcry	anger	0.544	negodovanje
resistance	anger	0.543	odpornost
irreconcilable	anger	0.543	nezdružljiv
obstructive	anger	0.542	obstruktivno
dismay	anger	0.540	zgroženost
mob	anger	0.538	mob
juststop	anger	0.537	samo ustavi se
badness	anger	0.536	slabost
ridicule	anger	0.534	posmeh
incendiary	anger	0.533	zažigalno
flares	anger	0.532	rakete
twofaced	anger	0.531	dvoličen
reckless	anger	0.531	nepremišljeno
communism	anger	0.531	komunizem
allegation	anger	0.531	obtožba
prejudicial	anger	0.531	škodljivo
whip	anger	0.531	bič
unbridled	anger	0.531	nebrzdana
degeneracy	anger	0.531	degeneracija
intruder	anger	0.531	vsiljivec
belittle	anger	0.531	omalovaževati
confinement	anger	0.531	zaprtje
dispute	anger	0.531	spor
exacerbation	anger	0.531	poslabšanje
uprising	anger	0.531	upor
unjust	anger	0.530	nepravično
unjustifiable	anger	0.530	neupravičeno
perversion	anger	0.530	perverznost
bigoted	anger	0.530	fanatični
fiesty	anger	0.530	fiesty
offender	anger	0.530	storilec
dictatorial	anger	0.530	diktatorski
hassle	anger	0.530	težave
dissonance	anger	0.530	disonanca
tackled	anger	0.530	lotil
renegade	anger	0.529	odpadnik
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	kršitev
hot	anger	0.529	vroče
prison	anger	0.529	zapor
suicide	anger	0.521	samomor
annoy	anger	0.520	nagajati
leavemealone	anger	0.517	pusti me pri miru
cretins	anger	0.516	kreteni
depravity	anger	0.516	pokvarjenost
idiotic	anger	0.516	idiotski
dishonest	anger	0.516	nepošten
distrust	anger	0.516	nezaupanje
broil	anger	0.516	speči
grrr	anger	0.516	grrr
criticize	anger	0.516	kritizirati
inimical	anger	0.516	sovražnega
tortious	anger	0.516	deliktna
prisoner	anger	0.516	zapornik
treason	anger	0.516	izdaja
divorce	anger	0.516	ločitev
venting	anger	0.516	odzračevanje
duress	anger	0.516	prisila
disrespectful	anger	0.516	nespoštljivo
poaching	anger	0.515	krivolov
scold	anger	0.515	grajati
poachers	anger	0.515	divji lovci
pow	anger	0.515	pow
hangry	anger	0.515	lačen
argumentation	anger	0.515	argumentacijo
frustrating	anger	0.515	frustrirajoče
unkind	anger	0.515	neprijazen
roar	anger	0.515	rjoveti
coercion	anger	0.515	prisila
unforgiving	anger	0.515	neprizanesljiv
grump	anger	0.515	godrnjav
bile	anger	0.515	žolč
unleash	anger	0.515	sprostiti
chaos	anger	0.515	kaos
victimized	anger	0.515	žrtev
jerks	anger	0.515	kreteni
tussle	anger	0.514	prerivati se
bane	anger	0.511	poguba
accusation	anger	0.510	obtožba
enmity	anger	0.510	sovraštvo
repudiation	anger	0.510	zavračanje
banish	anger	0.509	izgnati
disfigured	anger	0.508	iznakažen
storm	anger	0.507	nevihta
crazy	anger	0.500	noro
hammering	anger	0.500	zabijanje
defy	anger	0.500	kljubovati
antithesis	anger	0.500	antiteza
scoff	anger	0.500	posmehovati se
anguish	anger	0.500	bojazen
confined	anger	0.500	zaprta
fear	anger	0.500	strah
bout	anger	0.500	dvoboj
unruly	anger	0.500	neukrotljiv
delusional	anger	0.500	prividen
obstruct	anger	0.500	ovirati
possessed	anger	0.500	obseden
injustice	anger	0.500	nepravičnost
fervor	anger	0.500	gorečnost
spear	anger	0.500	kopje
derision	anger	0.500	posmeh
intractable	anger	0.500	nerešljiv
reject	anger	0.500	zavrniti
dominate	anger	0.500	prevladovati
ordeal	anger	0.500	preizkušnja
banished	anger	0.500	izgnan
rejects	anger	0.500	zavrne
shun	anger	0.500	izogibati se
brunt	anger	0.500	glavni udarec
derogation	anger	0.500	odstopanje
frenzied	anger	0.500	podivjan
animus	anger	0.500	animus
suppression	anger	0.500	zatiranje
malpractice	anger	0.500	zloraba
brazen	anger	0.500	predrzen
foaming	anger	0.500	penjenje
disrupting	anger	0.500	moteče
nobodycares	anger	0.500	nikomur ni mar
patronising	anger	0.500	pokroviteljski
getoveryourself	anger	0.495	premagati sebe
toughness	anger	0.492	žilavost
stupidpeople	anger	0.492	neumni ljudje
madness	anger	0.491	norost
sinful	anger	0.491	grešen
avarice	anger	0.490	pohlep
oppress	anger	0.490	zatirati
cutting	anger	0.485	rezanje
anathema	anger	0.485	anatema
annoyed	anger	0.485	jezen
dissident	anger	0.485	disident
demand	anger	0.485	povpraševanje
usurp	anger	0.485	uzurpirati
claw	anger	0.485	krempelj
alienate	anger	0.485	odtujiti
infraction	anger	0.485	kršitev
avenger	anger	0.485	maščevalec
revoke	anger	0.485	preklicati
smuggler	anger	0.485	tihotapec
abolish	anger	0.485	ukiniti
fricking	anger	0.485	prekleto
stayaway	anger	0.485	izogibati se
pervert	anger	0.485	perverznež
disservice	anger	0.485	medvedja storitev
disobedient	anger	0.485	neposlušen
incest	anger	0.485	incest
complaint	anger	0.485	pritožba
disapproved	anger	0.485	neodobren
inhuman	anger	0.485	nečloveško
mocking	anger	0.484	posmehljiv
penalty	anger	0.484	kazen
renounce	anger	0.484	odreči se
restrain	anger	0.484	zadrževati
upheaval	anger	0.484	preobrat
deceit	anger	0.484	prevara
obnoxious	anger	0.484	neprijeten
imprisoned	anger	0.484	zaprt
strained	anger	0.484	napeto
blame	anger	0.484	krivda
oust	anger	0.484	izriniti
litigious	anger	0.484	pravdni
rivalry	anger	0.484	rivalstvo
sucker	anger	0.484	sesalec
opposed	anger	0.484	nasprotoval
thresh	anger	0.484	mlatiti
disgrace	anger	0.484	sramota
suspicious	anger	0.484	sumljivo
turbulence	anger	0.483	turbulence
pound	anger	0.481	funt
coldness	anger	0.477	hladnost
ungrateful	anger	0.472	nehvaležen
stoopid	anger	0.471	sklonjen
battalion	anger	0.471	bataljon
feudalism	anger	0.470	fevdalizem
hostage	anger	0.470	talec
annoying	anger	0.470	nadležen
dispossessed	anger	0.470	razlasten
subversion	anger	0.470	subverzija
friction	anger	0.470	trenje
jealous	anger	0.470	ljubosumen
adversity	anger	0.470	stiska
infidel	anger	0.470	nevernik
gall	anger	0.470	žolč
accuser	anger	0.470	tožilec
ram	anger	0.470	Oven
armament	anger	0.470	oborožitev
thump	anger	0.469	udarec
dislike	anger	0.469	ne maram
steal	anger	0.469	ukrasti
backoff	anger	0.469	umakni se
stifled	anger	0.469	zadušen
incite	anger	0.469	hujskati
distress	anger	0.469	stiska
angermanagement	anger	0.469	upravljanje jeze
selfish	anger	0.469	sebičen
injury	anger	0.469	poškodba
exile	anger	0.469	izgnanstvo
insanity	anger	0.469	norost
offense	anger	0.469	prekršek
objection	anger	0.469	ugovor
smother	anger	0.469	zadušiti
disruption	anger	0.469	prekinitev
intolerance	anger	0.469	nestrpnost
disobey	anger	0.469	ne ubogati
selfishness	anger	0.469	sebičnost
recidivism	anger	0.469	recidivizem
subversive	anger	0.469	subverzivno
huff	anger	0.469	huff
plunder	anger	0.469	pleniti
opposition	anger	0.469	opozicija
complain	anger	0.469	pritožba
perpetrator	anger	0.469	storilec
simmer	anger	0.469	dušimo
areyoukidding	anger	0.468	se hecaš
mug	anger	0.467	skodelica
agony	anger	0.465	agonija
arrogant	anger	0.461	aroganten
sux	anger	0.456	sux
