English Word	Emotion	Emotion-Intensity-Score	Chinese-Simplified Word
irritated	anger	0.706	烦躁
atrocious	anger	0.706	残暴
evil	anger	0.706	邪恶的
aggravated	anger	0.703	加重
intimidation	anger	0.703	恐吓
dicks	anger	0.703	迪克斯
assassin	anger	0.703	刺客
scolding	anger	0.703	骂
persecution	anger	0.703	迫害
slayer	anger	0.703	杀手
kidnap	anger	0.703	绑架
aggression	anger	0.702	侵略
armed	anger	0.700	武装
battle	anger	0.697	战斗
poison	anger	0.697	毒
snarling	anger	0.697	咆哮
venom	anger	0.697	毒液
disgruntled	anger	0.693	不满
resentment	anger	0.691	怨恨
assailant	anger	0.691	袭击者
insidious	anger	0.691	阴险
contemptuous	anger	0.690	轻蔑的
lynch	anger	0.690	私刑
temper	anger	0.688	脾气
terrible	anger	0.688	糟糕的
disparage	anger	0.688	贬损
lunatic	anger	0.688	疯子
bully	anger	0.688	欺负
mad	anger	0.688	疯狂的
makesmemad	anger	0.688	使我疯狂
infanticide	anger	0.688	杀婴
domination	anger	0.688	统治
peeved	anger	0.688	恼怒
imprisonment	anger	0.688	监禁
curse	anger	0.688	诅咒
volatility	anger	0.687	挥发性
eradication	anger	0.685	根除
eradicate	anger	0.682	根除
tantrum	anger	0.682	发脾气
scoundrel	anger	0.682	恶棍
devastate	anger	0.682	蹂躏
aggressively	anger	0.680	积极地
agitation	anger	0.680	搅动
dictatorship	anger	0.676	专政
irritates	anger	0.676	激怒
profanity	anger	0.673	亵渎
shove	anger	0.672	推
nasty	anger	0.672	讨厌
shot	anger	0.672	射击
cruelly	anger	0.672	残酷地
shoot	anger	0.672	射击
condemnation	anger	0.672	谴责
crushed	anger	0.672	碎
aggravation	anger	0.672	加重
poisonous	anger	0.672	有毒
egregious	anger	0.672	令人震惊的
crime	anger	0.672	犯罪
corrupting	anger	0.672	腐败的
dastardly	anger	0.672	卑鄙地
contempt	anger	0.672	鄙视
harmful	anger	0.672	有害
expletive	anger	0.672	脏话
wreak	anger	0.672	恶作剧
maniac	anger	0.670	疯子
cutthroat	anger	0.667	残酷的
enemy	anger	0.667	敌人
hit	anger	0.667	打
hateeveryone	anger	0.667	恨所有人
eruption	anger	0.667	喷发
irritable	anger	0.667	烦躁
odious	anger	0.667	可恶的
shooting	anger	0.667	射击
shout	anger	0.667	喊
aggressive	anger	0.667	挑衅的
kick	anger	0.667	踢
combat	anger	0.667	战斗
fight	anger	0.667	斗争
punished	anger	0.662	受到惩罚
yell	anger	0.661	叫喊
ambush	anger	0.661	伏击
harass	anger	0.659	骚扰
malignant	anger	0.656	恶性的
aggressor	anger	0.656	侵略者
gore	anger	0.656	血块
destruction	anger	0.656	破坏
grudge	anger	0.656	怨恨
antichrist	anger	0.656	敌基督
incense	anger	0.656	香
expel	anger	0.656	驱逐
cranky	anger	0.653	胡思乱想
slave	anger	0.652	奴隶
reprisal	anger	0.652	报复
growl	anger	0.652	咆哮
animosity	anger	0.652	敌意
insurrection	anger	0.652	起义
clashing	anger	0.652	冲突的
denounce	anger	0.652	声讨
offended	anger	0.652	被冒犯了
spank	anger	0.652	打屁股
insulting	anger	0.652	侮辱
growls	anger	0.649	咆哮
executioner	anger	0.644	刽子手
twat	anger	0.644	娘们
doomsday	anger	0.643	末日
obscenity	anger	0.641	淫秽
accused	anger	0.641	被告
feud	anger	0.641	世仇
daemon	anger	0.641	守护进程
havoc	anger	0.641	浩劫
shackle	anger	0.641	枷锁
inexcusable	anger	0.641	不可原谅
indignant	anger	0.641	愤怒
grr	anger	0.641	gr
expulsion	anger	0.641	开除
bombard	anger	0.641	轰击
spat	anger	0.641	口角
arson	anger	0.641	纵火
reprimand	anger	0.641	惩戒
somad	anger	0.637	索马德
frustrated	anger	0.636	沮丧的
batter	anger	0.636	面糊
kicking	anger	0.636	踢
anarchy	anger	0.636	无政府状态
spanking	anger	0.636	打屁股
glaring	anger	0.636	刺眼
suicidal	anger	0.636	自杀的
disgusting	anger	0.636	恶心
wound	anger	0.636	伤口
hanging	anger	0.636	绞刑
poisoned	anger	0.636	中毒
combatant	anger	0.636	战斗员
wrecked	anger	0.633	失事
inflict	anger	0.633	施加
grievous	anger	0.632	悲伤的
prosecute	anger	0.630	起诉
agitated	anger	0.630	激动
cheat	anger	0.630	欺骗
swastika	anger	0.627	卍
injure	anger	0.625	损伤
indict	anger	0.625	起诉
scourge	anger	0.625	祸害
provocation	anger	0.625	挑衅
suffocation	anger	0.625	窒息
strife	anger	0.625	冲突
raid	anger	0.625	袭击
enslaved	anger	0.625	被奴役
cursing	anger	0.625	咒骂
defamatory	anger	0.625	诽谤的
harassing	anger	0.625	骚扰
thundering	anger	0.625	雷鸣般的
betray	anger	0.625	背叛
arsehole	anger	0.624	混蛋
theft	anger	0.621	盗窃
insane	anger	0.621	疯狂的
retaliation	anger	0.621	报复
irritate	anger	0.621	刺激
deprivation	anger	0.621	剥夺
fiend	anger	0.621	恶魔
jerk	anger	0.621	混蛋
convict	anger	0.621	定罪
cussed	anger	0.619	被诅咒
turmoil	anger	0.618	动荡
smack	anger	0.615	咂嘴
retribution	anger	0.614	报应
rebellion	anger	0.609	叛乱
oppressor	anger	0.609	压迫者
gang	anger	0.609	帮派
slavery	anger	0.609	奴隶制
intolerable	anger	0.609	无法忍受
adverse	anger	0.609	不利的
injurious	anger	0.609	有害的
twats	anger	0.609	笨蛋
collision	anger	0.609	碰撞
battery	anger	0.609	电池
bitterly	anger	0.609	苦涩
antagonism	anger	0.609	对抗
irritability	anger	0.609	易怒
disgraced	anger	0.608	丢脸
diatribe	anger	0.606	谩骂
asshole	anger	0.606	混蛋
blast	anger	0.606	爆破
bombardment	anger	0.606	轰击
irks	anger	0.606	讨厌
ranting	anger	0.606	咆哮
revolution	anger	0.606	革命
thug	anger	0.606	暴徒
antagonistic	anger	0.606	敌对的
irritating	anger	0.606	恼人的
sickening	anger	0.606	令人作呕
discrimination	anger	0.606	歧视
frustrate	anger	0.604	阻挠
insult	anger	0.603	侮辱
hurtful	anger	0.603	伤人的
oppression	anger	0.603	压迫
manipulation	anger	0.603	操纵
tiredofit	anger	0.603	厌倦了
bigot	anger	0.603	偏执狂
tension	anger	0.603	紧张
disgust	anger	0.602	厌恶
spite	anger	0.600	尽管
intrusive	anger	0.598	侵入性的
harshness	anger	0.597	严厉
slur	anger	0.596	诽谤
tempest	anger	0.594	暴风雨
assail	anger	0.594	攻击
bitterness	anger	0.594	苦味
morbidity	anger	0.594	发病率
casualty	anger	0.594	伤亡
puncture	anger	0.594	刺
miserable	anger	0.594	悲惨的
inferno	anger	0.594	地狱
invasion	anger	0.594	入侵
storming	anger	0.594	猛攻
wretch	anger	0.594	可怜的
consternation	anger	0.592	惊愕
raving	anger	0.591	狂言
forcibly	anger	0.591	强制
guillotine	anger	0.591	断头台
guilty	anger	0.591	有罪的
depraved	anger	0.591	堕落的
immoral	anger	0.591	不道德
overpowering	anger	0.591	压倒性的
scare	anger	0.588	吓
recalcitrant	anger	0.588	顽固的
screwed	anger	0.588	拧紧
accursed	anger	0.588	被诅咒的
soannoyed	anger	0.588	生气
invader	anger	0.588	侵略者
jealousy	anger	0.587	妒忌
indignation	anger	0.587	愤慨
vexed	anger	0.586	烦恼
confront	anger	0.582	面对
brute	anger	0.581	蛮横的
throttle	anger	0.579	风门
slut	anger	0.578	荡妇
coup	anger	0.578	政变
blaze	anger	0.578	火焰
pillage	anger	0.578	掠夺
provoking	anger	0.578	挑衅
damage	anger	0.578	损害
criminality	anger	0.578	犯罪
shutup	anger	0.578	住口
lash	anger	0.578	睫毛
conflict	anger	0.578	冲突
contentious	anger	0.578	有争议的
shutit	anger	0.578	关掉它
wreck	anger	0.578	破坏
defiant	anger	0.578	挑衅
butcher	anger	0.578	屠夫
incarceration	anger	0.578	监禁
revolver	anger	0.578	左轮手枪
bickering	anger	0.578	争吵
yousuck	anger	0.578	你好烂
cancer	anger	0.577	癌症
discriminate	anger	0.576	辨析
gun	anger	0.576	枪
frustration	anger	0.576	挫折
gory	anger	0.576	血腥
pernicious	anger	0.576	有害
dontmess	anger	0.576	别乱
blasphemy	anger	0.576	亵渎神明
chaotic	anger	0.576	混乱的
grope	anger	0.576	摸索
alienation	anger	0.576	异化
disturbance	anger	0.576	骚乱
condescension	anger	0.576	屈尊俯就
standoff	anger	0.576	对峙
discord	anger	0.576	不和谐
friggen	anger	0.575	冰箱
sneer	anger	0.574	冷笑
death	anger	0.574	死亡
lunacy	anger	0.574	疯癫
scandalous	anger	0.574	丑闻
oppressive	anger	0.574	压迫性的
jab	anger	0.574	戳
cursed	anger	0.574	诅咒
monstrosity	anger	0.574	怪物
shit	anger	0.573	拉屎
disparaging	anger	0.571	贬低
slash	anger	0.571	削减
unfair	anger	0.571	不公平
gallows	anger	0.570	绞刑架
escalate	anger	0.569	升级
intolerant	anger	0.564	不可忍耐
lawlessness	anger	0.563	无法无天
beast	anger	0.562	兽
torpedo	anger	0.562	鱼雷
malign	anger	0.562	诽谤
traitor	anger	0.562	叛徒
frightful	anger	0.562	可怕
wrangling	anger	0.562	争吵
slander	anger	0.562	诽谤
bellows	anger	0.562	波纹管
retards	anger	0.562	延缓
grouchy	anger	0.562	不高兴
derogatory	anger	0.562	贬
bearish	anger	0.562	看跌
invade	anger	0.562	入侵
perdition	anger	0.562	灭亡
arghh	anger	0.562	啊啊
dreadful	anger	0.562	可怕
bluddy	anger	0.562	浑浊
deceived	anger	0.562	受骗
glare	anger	0.562	强光
taunt	anger	0.562	嘲讽
dissension	anger	0.561	纠纷
cross	anger	0.561	叉
rave	anger	0.561	狂欢
grating	anger	0.561	光栅
devastating	anger	0.561	毁灭性的
fits	anger	0.561	适合
jeopardize	anger	0.561	危害
shatter	anger	0.561	粉碎
idiots	anger	0.561	白痴
hurt	anger	0.561	伤害
thief	anger	0.561	贼
uncontrollable	anger	0.561	不可控
conflagration	anger	0.561	大火
betrayal	anger	0.561	背叛
banshee	anger	0.561	女妖
subjugation	anger	0.559	征服
disturbed	anger	0.559	不安
stomped	anger	0.557	跺着脚
grab	anger	0.557	抓住
grievance	anger	0.556	委屈
ticked	anger	0.556	打勾
masochism	anger	0.556	受虐狂
defiance	anger	0.552	蔑视
blackmail	anger	0.550	勒索
offensive	anger	0.549	进攻
decry	anger	0.548	谴责
frustrates	anger	0.547	挫败
violation	anger	0.547	违反
confine	anger	0.547	局限
misery	anger	0.547	苦难
arghhhh	anger	0.547	啊啊啊
disparity	anger	0.547	差距
punishment	anger	0.547	惩罚
rebel	anger	0.547	反叛
preposterous	anger	0.547	荒谬
disgraceful	anger	0.547	可耻
ire	anger	0.547	愤怒
deceive	anger	0.547	欺骗
fustrated	anger	0.547	沮丧的
sin	anger	0.547	罪
shrill	anger	0.547	尖锐
darkside	anger	0.547	阴暗面
overbearing	anger	0.547	霸道
firearms	anger	0.547	枪支
stolen	anger	0.546	被盗
hadenough	anger	0.546	受够了
prejudice	anger	0.545	偏见
tackle	anger	0.545	处理
resentful	anger	0.545	不满
heated	anger	0.545	加热的
callous	anger	0.545	冷酷
conspirator	anger	0.545	同谋
ruined	anger	0.545	毁了
antagonist	anger	0.545	拮抗剂
skirmish	anger	0.545	小冲突
menace	anger	0.545	威胁
annoyin	anger	0.545	烦人
foul	anger	0.545	犯规
argument	anger	0.545	争论
humiliate	anger	0.545	羞辱
wanker	anger	0.545	混蛋
adversary	anger	0.545	对手
sting	anger	0.544	刺
entangled	anger	0.544	纠缠不清
grumble	anger	0.544	叽
robbery	anger	0.544	抢劫
outcry	anger	0.544	强烈抗议
resistance	anger	0.543	反抗
irreconcilable	anger	0.543	不可调和的
obstructive	anger	0.542	阻塞的
dismay	anger	0.540	沮丧
mob	anger	0.538	暴民
juststop	anger	0.537	停下来
badness	anger	0.536	坏处
ridicule	anger	0.534	嘲笑
incendiary	anger	0.533	燃烧的
flares	anger	0.532	耀斑
twofaced	anger	0.531	双面
reckless	anger	0.531	鲁莽
communism	anger	0.531	共产主义
allegation	anger	0.531	指控
prejudicial	anger	0.531	有偏见的
whip	anger	0.531	鞭子
unbridled	anger	0.531	肆无忌惮
degeneracy	anger	0.531	退化
intruder	anger	0.531	入侵者
belittle	anger	0.531	贬低
confinement	anger	0.531	坐月子
dispute	anger	0.531	争议
exacerbation	anger	0.531	恶化
uprising	anger	0.531	起义
unjust	anger	0.530	不公正的
unjustifiable	anger	0.530	无理
perversion	anger	0.530	变态
bigoted	anger	0.530	偏执的
fiesty	anger	0.530	热闹
offender	anger	0.530	罪犯
dictatorial	anger	0.530	独裁
hassle	anger	0.530	麻烦
dissonance	anger	0.530	不和谐
tackled	anger	0.530	解决了
renegade	anger	0.529	叛徒
cantstandit	anger	0.529	无法忍受
trespass	anger	0.529	侵入
hot	anger	0.529	热的
prison	anger	0.529	监狱
suicide	anger	0.521	自杀
annoy	anger	0.520	惹恼
leavemealone	anger	0.517	请别打扰我
cretins	anger	0.516	白痴
depravity	anger	0.516	堕落
idiotic	anger	0.516	白痴
dishonest	anger	0.516	不诚实
distrust	anger	0.516	怀疑
broil	anger	0.516	烤
grrr	anger	0.516	呸呸呸
criticize	anger	0.516	批评
inimical	anger	0.516	敌对的
tortious	anger	0.516	侵权的
prisoner	anger	0.516	囚犯
treason	anger	0.516	叛国罪
divorce	anger	0.516	离婚
venting	anger	0.516	发泄
duress	anger	0.516	胁迫
disrespectful	anger	0.516	不敬
poaching	anger	0.515	偷猎
scold	anger	0.515	骂
poachers	anger	0.515	偷猎者
pow	anger	0.515	战俘
hangry	anger	0.515	衣架
argumentation	anger	0.515	论证
frustrating	anger	0.515	令人沮丧
unkind	anger	0.515	刻薄
roar	anger	0.515	怒吼
coercion	anger	0.515	强迫
unforgiving	anger	0.515	无情
grump	anger	0.515	脾气暴躁
bile	anger	0.515	胆汁
unleash	anger	0.515	发挥
chaos	anger	0.515	混乱
victimized	anger	0.515	受害
jerks	anger	0.515	混蛋
tussle	anger	0.514	打架
bane	anger	0.511	祸根
accusation	anger	0.510	指控
enmity	anger	0.510	敌意
repudiation	anger	0.510	否认
banish	anger	0.509	放逐
disfigured	anger	0.508	毁容
storm	anger	0.507	风暴
crazy	anger	0.500	疯狂的
hammering	anger	0.500	锤击
defy	anger	0.500	违抗
antithesis	anger	0.500	对立
scoff	anger	0.500	嘲笑
anguish	anger	0.500	苦恼
confined	anger	0.500	受限的
fear	anger	0.500	恐惧
bout	anger	0.500	回合
unruly	anger	0.500	不羁
delusional	anger	0.500	妄想
obstruct	anger	0.500	阻碍
possessed	anger	0.500	拥有
injustice	anger	0.500	不公正
fervor	anger	0.500	热情
spear	anger	0.500	矛
derision	anger	0.500	嘲笑
intractable	anger	0.500	棘手的
reject	anger	0.500	拒绝
dominate	anger	0.500	支配
ordeal	anger	0.500	考验
banished	anger	0.500	放逐
rejects	anger	0.500	拒绝
shun	anger	0.500	顺
brunt	anger	0.500	首当其冲
derogation	anger	0.500	减损
frenzied	anger	0.500	丧心病狂
animus	anger	0.500	敌意
suppression	anger	0.500	抑制
malpractice	anger	0.500	弊端
brazen	anger	0.500	厚颜无耻
foaming	anger	0.500	起泡
disrupting	anger	0.500	扰乱
nobodycares	anger	0.500	没人在乎
patronising	anger	0.500	光顾
getoveryourself	anger	0.495	克服自己
toughness	anger	0.492	韧性
stupidpeople	anger	0.492	愚蠢的人
madness	anger	0.491	疯狂
sinful	anger	0.491	有罪的
avarice	anger	0.490	贪婪
oppress	anger	0.490	压迫
cutting	anger	0.485	切割
anathema	anger	0.485	诅咒
annoyed	anger	0.485	恼火
dissident	anger	0.485	持不同政见者
demand	anger	0.485	要求
usurp	anger	0.485	篡
claw	anger	0.485	爪
alienate	anger	0.485	离间
infraction	anger	0.485	违规
avenger	anger	0.485	复仇者
revoke	anger	0.485	撤销
smuggler	anger	0.485	走私者
abolish	anger	0.485	废除
fricking	anger	0.485	弗里克
stayaway	anger	0.485	远离
pervert	anger	0.485	变态
disservice	anger	0.485	伤害
disobedient	anger	0.485	忤
incest	anger	0.485	乱伦
complaint	anger	0.485	抱怨
disapproved	anger	0.485	未获批准
inhuman	anger	0.485	不人道
mocking	anger	0.484	嘲弄
penalty	anger	0.484	惩罚
renounce	anger	0.484	放弃
restrain	anger	0.484	抑制
upheaval	anger	0.484	动荡
deceit	anger	0.484	欺骗
obnoxious	anger	0.484	讨厌的
imprisoned	anger	0.484	被监禁
strained	anger	0.484	紧张
blame	anger	0.484	责备
oust	anger	0.484	驱逐
litigious	anger	0.484	诉讼
rivalry	anger	0.484	对抗
sucker	anger	0.484	吸盘
opposed	anger	0.484	反对
thresh	anger	0.484	脱粒
disgrace	anger	0.484	耻辱
suspicious	anger	0.484	可疑的
turbulence	anger	0.483	湍流
pound	anger	0.481	磅
coldness	anger	0.477	寒冷
ungrateful	anger	0.472	忘恩负义
stoopid	anger	0.471	笨蛋
battalion	anger	0.471	营
feudalism	anger	0.470	封建
hostage	anger	0.470	人质
annoying	anger	0.470	恼人的
dispossessed	anger	0.470	被剥夺
subversion	anger	0.470	颠覆
friction	anger	0.470	摩擦
jealous	anger	0.470	嫉妒的
adversity	anger	0.470	逆境
infidel	anger	0.470	异教徒
gall	anger	0.470	瘿
accuser	anger	0.470	原告
ram	anger	0.470	内存
armament	anger	0.470	武器
thump	anger	0.469	扑通
dislike	anger	0.469	不喜欢
steal	anger	0.469	偷
backoff	anger	0.469	退避
stifled	anger	0.469	窒息
incite	anger	0.469	煽动
distress	anger	0.469	苦恼
angermanagement	anger	0.469	情绪管理
selfish	anger	0.469	自私
injury	anger	0.469	受伤
exile	anger	0.469	流亡
insanity	anger	0.469	疯狂
offense	anger	0.469	罪行
objection	anger	0.469	异议
smother	anger	0.469	窒息
disruption	anger	0.469	中断
intolerance	anger	0.469	不宽容
disobey	anger	0.469	违
selfishness	anger	0.469	自私
recidivism	anger	0.469	累犯
subversive	anger	0.469	颠覆性的
huff	anger	0.469	一怒之下
plunder	anger	0.469	掠夺
opposition	anger	0.469	反对
complain	anger	0.469	投诉
perpetrator	anger	0.469	肇事者
simmer	anger	0.469	煨
areyoukidding	anger	0.468	你在开玩笑吗
mug	anger	0.467	马克杯
agony	anger	0.465	痛苦
arrogant	anger	0.461	傲慢的
sux	anger	0.456	苏克斯
vent	anger	0.456	发泄
elimination	anger	0.456	消除
picketing	anger	0.456	纠察队
haughty	anger	0.456	傲慢
grated	anger	0.455	磨碎的
flagrant	anger	0.455	明目张胆
busted	anger	0.455	破获
crabby	anger	0.455	倔
dying	anger	0.455	垂死
idiocy	anger	0.455	白痴
impermeable	anger	0.455	不透水
stubbed	anger	0.455	存根
illegality	anger	0.455	违法性
veto	anger	0.455	否决
constraint	anger	0.455	约束
mislead	anger	0.455	误导
illicit	anger	0.455	非法的
troublesome	anger	0.455	麻烦的
clamor	anger	0.455	叫嚣
bayonet	anger	0.453	刺刀
suppress	anger	0.453	压制
intense	anger	0.453	激烈的
displeased	anger	0.453	不高兴
disapproving	anger	0.453	不赞成
hysterical	anger	0.453	歇斯底里
struggle	anger	0.453	斗争
godless	anger	0.453	无神论的
desist	anger	0.453	停止
usurped	anger	0.453	篡夺
despotism	anger	0.453	专制
disagreeing	anger	0.453	不同意
bad	anger	0.453	坏的
unlawful	anger	0.451	非法的
wrongly	anger	0.448	错
