English Word	Emotion	Emotion-Intensity-Score	Maori Word
malevolent	anger	0.721	kino
strike	anger	0.721	patuki
disaster	anger	0.721	aitua
disastrous	anger	0.720	kino
bastarding	anger	0.719	whakakino
treachery	anger	0.719	tinihanga
arseholes	anger	0.719	ngangau
horseshit	anger	0.719	hiihi hoiho
slay	anger	0.719	kohuru
disdain	anger	0.719	whakahāwea
aggravates	anger	0.719	whakararu
brutal	anger	0.719	nanakia
scorching	anger	0.719	werawera
devil	anger	0.719	rewera
madden	anger	0.719	porangi
spiteful	anger	0.719	whakakino
scream	anger	0.719	hamama
choke	anger	0.719	kowaowao
vermin	anger	0.719	ngarara
tumult	anger	0.719	ngangau
criminal	anger	0.714	taihara
mangle	anger	0.714	mangere
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	whakakino
denunciation	anger	0.713	whakahenga
punch	anger	0.713	pupuhi
virulence	anger	0.712	mate kino
fatal	anger	0.712	matemate
hurting	anger	0.712	mamae
crucifixion	anger	0.712	ripekatia
dontlikeyou	anger	0.712	kaua e pai ki a koe
blasphemous	anger	0.712	kohukohu
holocaust	anger	0.712	tahunga tinana
dumbasses	anger	0.712	wahangu
battled	anger	0.712	whawhaitia
deranged	anger	0.706	porangi
irritated	anger	0.706	riri
atrocious	anger	0.706	kino
evil	anger	0.706	kino
aggravated	anger	0.703	whakakino
intimidation	anger	0.703	whakawetiweti
dicks	anger	0.703	Tiki
assassin	anger	0.703	kohuru
scolding	anger	0.703	whakaparahako
persecution	anger	0.703	whakatoi
slayer	anger	0.703	kaipatu
kidnap	anger	0.703	kāhaki
aggression	anger	0.702	whakakino
armed	anger	0.700	mau patu
battle	anger	0.697	whawhai
poison	anger	0.697	paihana
snarling	anger	0.697	ngongo
venom	anger	0.697	paihana
disgruntled	anger	0.693	pouri
resentment	anger	0.691	te mauahara
assailant	anger	0.691	kaikino
insidious	anger	0.691	hianga
contemptuous	anger	0.690	whakahāwea
lynch	anger	0.690	lynch
temper	anger	0.688	riri
terrible	anger	0.688	whakamataku
disparage	anger	0.688	whakakino
lunatic	anger	0.688	porangi
bully	anger	0.688	whakaweti
mad	anger	0.688	haurangi
makesmemad	anger	0.688	hangamemad
infanticide	anger	0.688	kohungahunga
domination	anger	0.688	rangatiratanga
peeved	anger	0.688	whakapouri
imprisonment	anger	0.688	whare herehere
curse	anger	0.688	kanga
volatility	anger	0.687	pähekeheke
eradication	anger	0.685	whakakorenga
eradicate	anger	0.682	whakakore
tantrum	anger	0.682	riri
scoundrel	anger	0.682	tangata kino
devastate	anger	0.682	whakakino
aggressively	anger	0.680	pukuriri
agitation	anger	0.680	whakaohooho
dictatorship	anger	0.676	mana whakahaere
irritates	anger	0.676	whakapataritari
profanity	anger	0.673	whakakino
shove	anger	0.672	pana
nasty	anger	0.672	kino
shot	anger	0.672	pupuhi
cruelly	anger	0.672	nanakia
shoot	anger	0.672	pupuhi
condemnation	anger	0.672	whakahenga
crushed	anger	0.672	mongamonga
aggravation	anger	0.672	whakakino
poisonous	anger	0.672	paihana
egregious	anger	0.672	kino
crime	anger	0.672	hara
corrupting	anger	0.672	pirau
dastardly	anger	0.672	whakapouri
contempt	anger	0.672	whakahāwea
harmful	anger	0.672	kino
expletive	anger	0.672	whakangao
wreak	anger	0.672	tukituki
maniac	anger	0.670	maniac
cutthroat	anger	0.667	korokoro
enemy	anger	0.667	hoariri
hit	anger	0.667	patua
hateeveryone	anger	0.667	kino ki te katoa
eruption	anger	0.667	hūnga
irritable	anger	0.667	pukuriri
odious	anger	0.667	whakarihariha
shooting	anger	0.667	pupuhi
shout	anger	0.667	hamama
aggressive	anger	0.667	pukuriri
kick	anger	0.667	whana
combat	anger	0.667	whawhai
fight	anger	0.667	whawhai
punished	anger	0.662	whiua
yell	anger	0.661	tangi
ambush	anger	0.661	pehipehi
harass	anger	0.659	whakakino
malignant	anger	0.656	kino kino
aggressor	anger	0.656	kaitukino
gore	anger	0.656	karekau
destruction	anger	0.656	whakangaromanga
grudge	anger	0.656	mauahara
antichrist	anger	0.656	anatikaraiti
incense	anger	0.656	whakakakara
expel	anger	0.656	pana
cranky	anger	0.653	ngangau
slave	anger	0.652	taurekareka
reprisal	anger	0.652	whakawhiu
growl	anger	0.652	ngunguru
animosity	anger	0.652	te mauahara
insurrection	anger	0.652	tutu
clashing	anger	0.652	taupatupatu
denounce	anger	0.652	whakahē
offended	anger	0.652	whakawhiua
spank	anger	0.652	whiu
insulting	anger	0.652	whakakino
growls	anger	0.649	e tangi ana
executioner	anger	0.644	kaiwhakamate
twat	anger	0.644	whaa
doomsday	anger	0.643	maminga
obscenity	anger	0.641	faufau
accused	anger	0.641	whakapaea
feud	anger	0.641	whawhai
daemon	anger	0.641	tiamona
havoc	anger	0.641	kino
shackle	anger	0.641	herea
inexcusable	anger	0.641	korekore
indignant	anger	0.641	riri
grr	anger	0.641	grr
expulsion	anger	0.641	pananga
bombard	anger	0.641	poma
spat	anger	0.641	tuwha
arson	anger	0.641	tahu ahi
reprimand	anger	0.641	whakatuma
somad	anger	0.637	somad
frustrated	anger	0.636	pouri
batter	anger	0.636	patupatu
kicking	anger	0.636	whana
anarchy	anger	0.636	whakakino
spanking	anger	0.636	patupatu
glaring	anger	0.636	whakakorikori
suicidal	anger	0.636	whakamomori
disgusting	anger	0.636	whakarihariha
wound	anger	0.636	patunga
hanging	anger	0.636	iri
poisoned	anger	0.636	kawa
combatant	anger	0.636	tangata whawhai
wrecked	anger	0.633	pakaru
inflict	anger	0.633	whakawhiu
grievous	anger	0.632	whakapouri
prosecute	anger	0.630	hamene
agitated	anger	0.630	whakapouri
cheat	anger	0.630	tinihanga
swastika	anger	0.627	swastika
injure	anger	0.625	whara
indict	anger	0.625	whakapae
scourge	anger	0.625	whiu
provocation	anger	0.625	whakapataritari
suffocation	anger	0.625	whakapoipoi
strife	anger	0.625	ngangau
raid	anger	0.625	huaki
enslaved	anger	0.625	taurekareka
cursing	anger	0.625	kanga
defamatory	anger	0.625	whakakino
harassing	anger	0.625	whakakino
thundering	anger	0.625	whatitiri
betray	anger	0.625	tuku
arsehole	anger	0.624	horekau
theft	anger	0.621	tahae
insane	anger	0.621	porangi
retaliation	anger	0.621	te utu
irritate	anger	0.621	whakapataritari
deprivation	anger	0.621	te korenga
fiend	anger	0.621	kino
jerk	anger	0.621	porangi
convict	anger	0.621	whakaharahara
cussed	anger	0.619	kanga
turmoil	anger	0.618	raruraru
smack	anger	0.615	pakipaki
retribution	anger	0.614	utu
rebellion	anger	0.609	whakakeke
oppressor	anger	0.609	kaitukino
gang	anger	0.609	roopu
slavery	anger	0.609	taurekareka
intolerable	anger	0.609	kare e taea
adverse	anger	0.609	kino
injurious	anger	0.609	kino
twats	anger	0.609	twats
collision	anger	0.609	tukinga
battery	anger	0.609	pūhiko
bitterly	anger	0.609	kawa
antagonism	anger	0.609	te riri
irritability	anger	0.609	te pukuriri
disgraced	anger	0.608	whakama
diatribe	anger	0.606	kohukohu
asshole	anger	0.606	pouaru
blast	anger	0.606	pupuhi
bombardment	anger	0.606	poma
irks	anger	0.606	irks
ranting	anger	0.606	whakakino
revolution	anger	0.606	hurihanga
thug	anger	0.606	kaipahua
antagonistic	anger	0.606	whakatakariri
irritating	anger	0.606	whakapataritari
sickening	anger	0.606	mamae
discrimination	anger	0.606	whakahāwea
frustrate	anger	0.604	whakapouri
insult	anger	0.603	tawai
hurtful	anger	0.603	whakakino
oppression	anger	0.603	tukino
manipulation	anger	0.603	mahi raweke
tiredofit	anger	0.603	ngenge
bigot	anger	0.603	nui
tension	anger	0.603	mānukanuka
disgust	anger	0.602	whakarihariha
spite	anger	0.600	whakakino
intrusive	anger	0.598	pokanoa
harshness	anger	0.597	pakeke
slur	anger	0.596	tanga
tempest	anger	0.594	awha
assail	anger	0.594	whakaeke
bitterness	anger	0.594	kawa
morbidity	anger	0.594	mate mate
casualty	anger	0.594	patunga
puncture	anger	0.594	werohanga
miserable	anger	0.594	pouri
inferno	anger	0.594	rewharewha
invasion	anger	0.594	whakaekenga
storming	anger	0.594	tupuhi
wretch	anger	0.594	kino
consternation	anger	0.592	ohorere
raving	anger	0.591	whakahihiri
forcibly	anger	0.591	ma te kaha
guillotine	anger	0.591	guillotine
guilty	anger	0.591	hara
depraved	anger	0.591	kino
immoral	anger	0.591	moepuku
overpowering	anger	0.591	kaha rawa
scare	anger	0.588	whakamataku
recalcitrant	anger	0.588	whakakeke
screwed	anger	0.588	wirohia
accursed	anger	0.588	kanga
soannoyed	anger	0.588	whakapouri
invader	anger	0.588	kaikino
jealousy	anger	0.587	puhaehae
indignation	anger	0.587	riri
vexed	anger	0.586	whakapouri
confront	anger	0.582	aro atu
brute	anger	0.581	poauau
throttle	anger	0.579	kātere
slut	anger	0.578	wahine kairau
coup	anger	0.578	tukituki
blaze	anger	0.578	mura ahi
pillage	anger	0.578	pahua
provoking	anger	0.578	whakapataritari
damage	anger	0.578	kino
criminality	anger	0.578	hara
shutup	anger	0.578	whakaweto
lash	anger	0.578	whiu
conflict	anger	0.578	pakanga
contentious	anger	0.578	totohe
shutit	anger	0.578	kati
wreck	anger	0.578	pakaru
defiant	anger	0.578	whakakeke
butcher	anger	0.578	kaipatu
incarceration	anger	0.578	mauhere
revolver	anger	0.578	revolver
bickering	anger	0.578	ngangau
yousuck	anger	0.578	uwha
cancer	anger	0.577	mate pukupuku
discriminate	anger	0.576	whakahāwea
gun	anger	0.576	pu
frustration	anger	0.576	pouri
gory	anger	0.576	pouri
pernicious	anger	0.576	whakakino
dontmess	anger	0.576	kaua e raruraru
blasphemy	anger	0.576	kohukohu
chaotic	anger	0.576	hepohepo
grope	anger	0.576	whawha
alienation	anger	0.576	whakaatea
disturbance	anger	0.576	whakararuraru
condescension	anger	0.576	whakahaehae
standoff	anger	0.576	whakangao
discord	anger	0.576	taupatupatu
friggen	anger	0.575	friggen
sneer	anger	0.574	whakahi
death	anger	0.574	mate
lunacy	anger	0.574	haurangi
scandalous	anger	0.574	whakakino
oppressive	anger	0.574	tukino
jab	anger	0.574	jab
cursed	anger	0.574	kanga
monstrosity	anger	0.574	taikaha
shit	anger	0.573	poha
disparaging	anger	0.571	whakakino
slash	anger	0.571	rītaha
unfair	anger	0.571	hē
gallows	anger	0.570	tarawhana
escalate	anger	0.569	piki ake
intolerant	anger	0.564	kārekau
lawlessness	anger	0.563	mahi tutu
beast	anger	0.562	kararehe
torpedo	anger	0.562	toropapa
malign	anger	0.562	kino
traitor	anger	0.562	kaitukino
frightful	anger	0.562	whakamataku
wrangling	anger	0.562	ngangau
slander	anger	0.562	kohukohu
bellows	anger	0.562	pupuhi
retards	anger	0.562	whakaroa
grouchy	anger	0.562	pukuriri
derogatory	anger	0.562	whakahāwea
bearish	anger	0.562	karekau
invade	anger	0.562	whakaekea
perdition	anger	0.562	mate
arghh	anger	0.562	arghh
dreadful	anger	0.562	whakamataku
bluddy	anger	0.562	porangirangi
deceived	anger	0.562	tinihangatia
glare	anger	0.562	kanapa
taunt	anger	0.562	tawai
dissension	anger	0.561	taupatupatu
cross	anger	0.561	ripeka
rave	anger	0.561	rave
grating	anger	0.561	pae kupenga
devastating	anger	0.561	whakakino
fits	anger	0.561	uru
jeopardize	anger	0.561	whakararu
shatter	anger	0.561	pakaru
idiots	anger	0.561	porangi
hurt	anger	0.561	mamae
thief	anger	0.561	tahae
uncontrollable	anger	0.561	kore e taea te whakahaere
conflagration	anger	0.561	mura ahi
betrayal	anger	0.561	tinihanga
banshee	anger	0.561	banshee
subjugation	anger	0.559	tukunga
disturbed	anger	0.559	raruraru
stomped	anger	0.557	takahia
grab	anger	0.557	hopu
grievance	anger	0.556	amuamu
ticked	anger	0.556	tohua
masochism	anger	0.556	matohi
defiance	anger	0.552	whakakeke
blackmail	anger	0.550	mangumangu
offensive	anger	0.549	whakakino
decry	anger	0.548	whakahē
frustrates	anger	0.547	whakaporearea
violation	anger	0.547	takahi
confine	anger	0.547	herea
misery	anger	0.547	pouri
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	rerekētanga
punishment	anger	0.547	whiunga
rebel	anger	0.547	tutu
preposterous	anger	0.547	pohehe
disgraceful	anger	0.547	whakama
ire	anger	0.547	riri
deceive	anger	0.547	whakapohehe
fustrated	anger	0.547	whakapouri
sin	anger	0.547	hara
shrill	anger	0.547	hikaka
darkside	anger	0.547	taha pouri
overbearing	anger	0.547	whakakake
firearms	anger	0.547	pu
stolen	anger	0.546	tahaetia
hadenough	anger	0.546	pai rawa
prejudice	anger	0.545	whakatoihara
tackle	anger	0.545	whawha
resentful	anger	0.545	whakatakariri
heated	anger	0.545	whakamahana
callous	anger	0.545	korekore
conspirator	anger	0.545	kaiwhakatakoto whakaaro
ruined	anger	0.545	kua pakaru
antagonist	anger	0.545	kaitukino
skirmish	anger	0.545	whawhai
menace	anger	0.545	whakatuma
annoyin	anger	0.545	whakahōhā
foul	anger	0.545	piro
argument	anger	0.545	tautohe
humiliate	anger	0.545	whakaiti
wanker	anger	0.545	karekau
adversary	anger	0.545	hoariri
sting	anger	0.544	wero
entangled	anger	0.544	kua mau
grumble	anger	0.544	amuamu
robbery	anger	0.544	pahua
outcry	anger	0.544	tangi
resistance	anger	0.543	ātete
irreconcilable	anger	0.543	e kore e tau
obstructive	anger	0.542	aukati
dismay	anger	0.540	whakapouri
mob	anger	0.538	mob
juststop	anger	0.537	mutu noa
badness	anger	0.536	kino
ridicule	anger	0.534	tawai
incendiary	anger	0.533	tahu ahi
flares	anger	0.532	muramura
twofaced	anger	0.531	kanohi rua
reckless	anger	0.531	whakaarokore
communism	anger	0.531	komunisme
allegation	anger	0.531	whakapae
prejudicial	anger	0.531	whakahāwea
whip	anger	0.531	whiu
unbridled	anger	0.531	korekore
degeneracy	anger	0.531	whakahekenga
intruder	anger	0.531	tangata pokanoa
belittle	anger	0.531	whakaiti
confinement	anger	0.531	herenga
dispute	anger	0.531	tautohetohe
exacerbation	anger	0.531	whakakino
uprising	anger	0.531	whakakeke
unjust	anger	0.530	hē
unjustifiable	anger	0.530	e kore e tika
perversion	anger	0.530	whanoke
bigoted	anger	0.530	nanakia
fiesty	anger	0.530	karekau
offender	anger	0.530	tangata hara
dictatorial	anger	0.530	manahau
hassle	anger	0.530	raruraru
dissonance	anger	0.530	te koretake
tackled	anger	0.530	ka werohia
renegade	anger	0.529	takahuri
cantstandit	anger	0.529	karekau
trespass	anger	0.529	poka noa
hot	anger	0.529	werawera
prison	anger	0.529	whare herehere
suicide	anger	0.521	whakamomori
annoy	anger	0.520	whakapouri
leavemealone	anger	0.517	te mea whakato
cretins	anger	0.516	cretins
depravity	anger	0.516	kino
idiotic	anger	0.516	porangi
dishonest	anger	0.516	whakapohehe
distrust	anger	0.516	whakaponokore
broil	anger	0.516	tunua
grrr	anger	0.516	grrr
criticize	anger	0.516	whakahē
inimical	anger	0.516	kino
tortious	anger	0.516	tortie
prisoner	anger	0.516	herehere
treason	anger	0.516	te tinihanga
divorce	anger	0.516	whakarere
venting	anger	0.516	hau
duress	anger	0.516	tohe
disrespectful	anger	0.516	whakaute
poaching	anger	0.515	patupatu
scold	anger	0.515	whakaparahako
poachers	anger	0.515	kaipahua
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	tautohetohe
frustrating	anger	0.515	whakapouri
unkind	anger	0.515	kino
roar	anger	0.515	haruru
coercion	anger	0.515	tohenga
unforgiving	anger	0.515	kare e murua
grump	anger	0.515	ngunguru
bile	anger	0.515	rewharewha
unleash	anger	0.515	tuku
chaos	anger	0.515	hepohepo
victimized	anger	0.515	patua
jerks	anger	0.515	heke
tussle	anger	0.514	taupatupatu
bane	anger	0.511	tukituki
accusation	anger	0.510	whakapae
enmity	anger	0.510	mauahara
repudiation	anger	0.510	whakahē
banish	anger	0.509	panaia
disfigured	anger	0.508	whakakino
storm	anger	0.507	āwhā
crazy	anger	0.500	haurangi
hammering	anger	0.500	hammering
defy	anger	0.500	whakakeke
antithesis	anger	0.500	whakapae
scoff	anger	0.500	whakahi
anguish	anger	0.500	mamae
confined	anger	0.500	herea
fear	anger	0.500	wehi
bout	anger	0.500	whawhai
unruly	anger	0.500	korekore
delusional	anger	0.500	pohehe
obstruct	anger	0.500	aukati
possessed	anger	0.500	whai rawa
injustice	anger	0.500	te hee
fervor	anger	0.500	karekau
spear	anger	0.500	tao
derision	anger	0.500	whakahi
intractable	anger	0.500	kare e taea
reject	anger	0.500	whakakāhore
dominate	anger	0.500	rangatira
ordeal	anger	0.500	mamaetanga
banished	anger	0.500	panaia
rejects	anger	0.500	whakakahore
shun	anger	0.500	karo
brunt	anger	0.500	taumaha
derogation	anger	0.500	whakahekenga
frenzied	anger	0.500	porangirangi
animus	anger	0.500	hāora
suppression	anger	0.500	pehanga
malpractice	anger	0.500	mahi kino
brazen	anger	0.500	parapara
foaming	anger	0.500	pahuka
disrupting	anger	0.500	whakapōrearea
nobodycares	anger	0.500	karekau he tangata whakaaro
patronising	anger	0.500	manaaki
getoveryourself	anger	0.495	ka huri i a koe ano
toughness	anger	0.492	pakeke
stupidpeople	anger	0.492	tangata poauau
madness	anger	0.491	haurangi
sinful	anger	0.491	hara
avarice	anger	0.490	mokemoke
oppress	anger	0.490	tukino
cutting	anger	0.485	tapahi
anathema	anger	0.485	anatema
annoyed	anger	0.485	hoha
dissident	anger	0.485	whakakeke
demand	anger	0.485	tono
usurp	anger	0.485	tangohanga
claw	anger	0.485	maikuku
alienate	anger	0.485	whakaatea
infraction	anger	0.485	hara
avenger	anger	0.485	kaitakitaki
revoke	anger	0.485	whakakore
smuggler	anger	0.485	kaipahua
abolish	anger	0.485	whakakore
fricking	anger	0.485	tukituki
stayaway	anger	0.485	noho atu
pervert	anger	0.485	whanoke
disservice	anger	0.485	whakakino
disobedient	anger	0.485	tutua
incest	anger	0.485	iramutu
complaint	anger	0.485	amuamu
disapproved	anger	0.485	kaore i whakaaetia
inhuman	anger	0.485	kore tangata
mocking	anger	0.484	tawai
penalty	anger	0.484	whiunga
renounce	anger	0.484	whakarere
restrain	anger	0.484	herea
upheaval	anger	0.484	ngangau
deceit	anger	0.484	tinihanga
obnoxious	anger	0.484	whakapouri
imprisoned	anger	0.484	ka mauheretia
strained	anger	0.484	whakauaua
blame	anger	0.484	whakahenga
oust	anger	0.484	pana
litigious	anger	0.484	whakawa
rivalry	anger	0.484	tāwhai
sucker	anger	0.484	whakangote
opposed	anger	0.484	whakahē
thresh	anger	0.484	patunga witi
disgrace	anger	0.484	whakama
suspicious	anger	0.484	tūpato
turbulence	anger	0.483	pororaruraru
pound	anger	0.481	pauna
coldness	anger	0.477	makariri
ungrateful	anger	0.472	kare e mihi
stoopid	anger	0.471	piko
battalion	anger	0.471	hokowhitu
feudalism	anger	0.470	feudalism
hostage	anger	0.470	taumau
annoying	anger	0.470	hoha
dispossessed	anger	0.470	kua riro
subversion	anger	0.470	whakahurihuri
friction	anger	0.470	waku
jealous	anger	0.470	hae
adversity	anger	0.470	ati
infidel	anger	0.470	tangata whakaponokore
gall	anger	0.470	kawa
accuser	anger	0.470	kaiwhakapae
ram	anger	0.470	hipi toa
armament	anger	0.470	mau patu
thump	anger	0.469	pupuhi
dislike	anger	0.469	kore e pai
steal	anger	0.469	tahae
backoff	anger	0.469	whakamuri
stifled	anger	0.469	kapohia
incite	anger	0.469	whakahihiri
distress	anger	0.469	pouri
angermanagement	anger	0.469	te whakahaere riri
selfish	anger	0.469	pipiri
injury	anger	0.469	wharanga
exile	anger	0.469	whakarau
insanity	anger	0.469	porangi
offense	anger	0.469	hara
objection	anger	0.469	whakahē
smother	anger	0.469	whakapouri
disruption	anger	0.469	whakapōrearea
intolerance	anger	0.469	te manawanui
disobey	anger	0.469	tutu
selfishness	anger	0.469	pipiri
recidivism	anger	0.469	whakahoki kupu
subversive	anger	0.469	whakatakariri
huff	anger	0.469	huff
plunder	anger	0.469	pahua
opposition	anger	0.469	whakahē
complain	anger	0.469	amuamu
perpetrator	anger	0.469	tangata hara
simmer	anger	0.469	korohū
areyoukidding	anger	0.468	kei te mahi koe
mug	anger	0.467	kapu
agony	anger	0.465	mamae mamae
arrogant	anger	0.461	whakahihi
sux	anger	0.456	sux
