English Word	Emotion	Emotion-Intensity-Score	Portuguese Word
atrocity	anger	0.814	atrocidade
fucksake	anger	0.812	porra
abuse	anger	0.812	Abuso
fierce	anger	0.812	feroz
destroyer	anger	0.812	destruidor
angrytweet	anger	0.812	twittar com raiva
barbaric	anger	0.812	bárbaro
vendetta	anger	0.812	vendeta
pissesmeoff	anger	0.812	me irrita
pissedoff	anger	0.812	irritado
tyrant	anger	0.812	tirano
berserk	anger	0.812	furioso
fuming	anger	0.812	fumegante
anger	anger	0.811	raiva
pieceofshit	anger	0.810	merda
punched	anger	0.803	socado
punching	anger	0.803	soco
slam	anger	0.803	bater
homicide	anger	0.803	homicídio
bitch	anger	0.803	cadela
fights	anger	0.803	brigas
ruthless	anger	0.797	cruel
villainous	anger	0.797	vilão
destructive	anger	0.797	destrutivo
slap	anger	0.791	tapa
riot	anger	0.788	rebelião
growthefuckup	anger	0.788	crescimento da porra
punishing	anger	0.788	punir
slaughterhouse	anger	0.788	matadouro
yelling	anger	0.788	gritando
diabolical	anger	0.788	diabólico
destroyed	anger	0.788	destruído
ragetweet	anger	0.788	raivatuíte
retaliatory	anger	0.788	retaliação
manslaughter	anger	0.783	homicídio culposo
clash	anger	0.783	choque
quarrel	anger	0.781	briga
bloody	anger	0.781	sangrento
hellish	anger	0.781	infernal
sinister	anger	0.781	sinistro
loath	anger	0.781	detestar
detonation	anger	0.781	detonação
accusing	anger	0.779	acusando
fumin	anger	0.779	fumina
hateeee	anger	0.779	ódio
treacherous	anger	0.779	traiçoeiro
madder	anger	0.773	mais louco
horrific	anger	0.773	horrível
revulsion	anger	0.773	repulsa
retaliate	anger	0.773	retaliar
scorn	anger	0.769	desprezo
bomb	anger	0.766	bombear
deplorable	anger	0.766	deplorável
devastation	anger	0.765	devastação
anarchist	anger	0.765	anarquista
firestorm	anger	0.765	tempestade de fogo
resent	anger	0.765	ressentir
contemptible	anger	0.764	desprezível
shittest	anger	0.760	merda
rant	anger	0.758	desabafo
cruel	anger	0.758	cruel
deadly	anger	0.758	mortal
smash	anger	0.758	esmagar
soangry	anger	0.758	raivoso
outburst	anger	0.757	explosão
snarl	anger	0.754	rosnar
profane	anger	0.750	profano
revolting	anger	0.750	revoltante
aggravating	anger	0.750	agravante
horror	anger	0.750	Horror
despise	anger	0.750	desprezar
offend	anger	0.750	ofender
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaridade
crazed	anger	0.750	enlouquecido
douchebags	anger	0.750	Idiotas
growling	anger	0.750	rosnando
dontmesswithme	anger	0.750	não mexa comigo
screaming	anger	0.742	gritando
threat	anger	0.742	ameaça
erupt	anger	0.742	entrar em erupção
horrible	anger	0.742	horrível
molestation	anger	0.742	molestação
fuckedoff	anger	0.742	fodido
violence	anger	0.742	violência
bastards	anger	0.741	bastardos
revenge	anger	0.738	vingança
menacing	anger	0.735	ameaçador
crushing	anger	0.735	esmagador
damn	anger	0.735	droga
catastrophe	anger	0.735	catástrofe
demon	anger	0.735	demônio
argue	anger	0.734	argumentar
persecute	anger	0.734	perseguir
deplore	anger	0.734	deplorar
flog	anger	0.734	açoitar
fedup	anger	0.734	cheio
riotous	anger	0.734	turbulento
vehement	anger	0.734	veemente
revolt	anger	0.734	revolta
warfare	anger	0.734	guerra
thrash	anger	0.734	lixo
altercation	anger	0.729	altercação
warlike	anger	0.728	guerreiro
shitday	anger	0.727	merda
mutiny	anger	0.727	motim
castrate	anger	0.727	castração
sabotage	anger	0.727	sabotar
malevolent	anger	0.721	malévolo
strike	anger	0.721	ataque
disaster	anger	0.721	desastre
disastrous	anger	0.720	desastroso
bastarding	anger	0.719	bastardo
treachery	anger	0.719	traição
arseholes	anger	0.719	babacas
horseshit	anger	0.719	merda
slay	anger	0.719	Arrasar
disdain	anger	0.719	desdém
aggravates	anger	0.719	agrava
brutal	anger	0.719	brutal
scorching	anger	0.719	abrasador
devil	anger	0.719	diabo
madden	anger	0.719	enlouquecer
spiteful	anger	0.719	rancoroso
scream	anger	0.719	gritar
choke	anger	0.719	estrangular
vermin	anger	0.719	verme
tumult	anger	0.719	tumulto
criminal	anger	0.714	Criminoso
mangle	anger	0.714	destroçar
anarchism	anger	0.714	anarquismo
mutilation	anger	0.714	mutilação
denunciation	anger	0.713	denúncia
punch	anger	0.713	soco
virulence	anger	0.712	virulência
fatal	anger	0.712	fatal
hurting	anger	0.712	machucando
crucifixion	anger	0.712	crucificação
dontlikeyou	anger	0.712	não gosto de você
blasphemous	anger	0.712	blasfemo
holocaust	anger	0.712	holocausto
dumbasses	anger	0.712	idiotas
battled	anger	0.712	lutou
deranged	anger	0.706	perturbado
irritated	anger	0.706	irritado
atrocious	anger	0.706	atroz
evil	anger	0.706	mal
aggravated	anger	0.703	agravado
intimidation	anger	0.703	intimidação
dicks	anger	0.703	paus
assassin	anger	0.703	assassino
scolding	anger	0.703	repreensão
persecution	anger	0.703	perseguição
slayer	anger	0.703	assassino
kidnap	anger	0.703	sequestrar
aggression	anger	0.702	agressão
armed	anger	0.700	armado
battle	anger	0.697	batalha
poison	anger	0.697	tóxico
snarling	anger	0.697	rosnando
venom	anger	0.697	veneno
disgruntled	anger	0.693	desapontado
resentment	anger	0.691	ressentimento
assailant	anger	0.691	assaltante
insidious	anger	0.691	insidioso
contemptuous	anger	0.690	desdenhoso
lynch	anger	0.690	linchamento
temper	anger	0.688	temperamento
terrible	anger	0.688	Terrível
disparage	anger	0.688	depreciar
lunatic	anger	0.688	lunático
bully	anger	0.688	valentão
mad	anger	0.688	louco
makesmemad	anger	0.688	me deixa louco
infanticide	anger	0.688	infanticídio
domination	anger	0.688	dominação
peeved	anger	0.688	irritado
imprisonment	anger	0.688	prisão
curse	anger	0.688	xingamento
volatility	anger	0.687	volatilidade
eradication	anger	0.685	erradicação
eradicate	anger	0.682	erradicar
tantrum	anger	0.682	birra
scoundrel	anger	0.682	canalha
devastate	anger	0.682	devastar
aggressively	anger	0.680	agressivamente
agitation	anger	0.680	agitação
dictatorship	anger	0.676	ditadura
irritates	anger	0.676	irrita
profanity	anger	0.673	profanidade
shove	anger	0.672	empurrão
nasty	anger	0.672	desagradável
shot	anger	0.672	tomada
cruelly	anger	0.672	cruelmente
shoot	anger	0.672	atirar
condemnation	anger	0.672	condenação
crushed	anger	0.672	esmagado
aggravation	anger	0.672	agravamento
poisonous	anger	0.672	venenoso
egregious	anger	0.672	notório
crime	anger	0.672	crime
corrupting	anger	0.672	corrompendo
dastardly	anger	0.672	covarde
contempt	anger	0.672	desprezo
harmful	anger	0.672	prejudicial
expletive	anger	0.672	palavrão
wreak	anger	0.672	causar
maniac	anger	0.670	maníaco
cutthroat	anger	0.667	assassino
enemy	anger	0.667	inimigo
hit	anger	0.667	acertar
hateeveryone	anger	0.667	odiar todos
eruption	anger	0.667	erupção
irritable	anger	0.667	irritável
odious	anger	0.667	odioso
shooting	anger	0.667	filmagem
shout	anger	0.667	gritar
aggressive	anger	0.667	agressivo
kick	anger	0.667	chute
combat	anger	0.667	combate
fight	anger	0.667	lutar
punished	anger	0.662	punido
yell	anger	0.661	gritar
ambush	anger	0.661	emboscada
harass	anger	0.659	molestar
malignant	anger	0.656	maligno
aggressor	anger	0.656	agressor
gore	anger	0.656	sangue
destruction	anger	0.656	destruição
grudge	anger	0.656	rancor
antichrist	anger	0.656	anticristo
incense	anger	0.656	incenso
expel	anger	0.656	expulsar
cranky	anger	0.653	irritadiço
slave	anger	0.652	escravo
reprisal	anger	0.652	represália
growl	anger	0.652	rosnar
animosity	anger	0.652	antipatia
insurrection	anger	0.652	insurreição
clashing	anger	0.652	conflitante
denounce	anger	0.652	denunciar
offended	anger	0.652	ofendido
spank	anger	0.652	palmada
insulting	anger	0.652	insultante
growls	anger	0.649	rosnados
executioner	anger	0.644	carrasco
twat	anger	0.644	vadia
doomsday	anger	0.643	Apocalipse
obscenity	anger	0.641	obscenidade
accused	anger	0.641	acusado
feud	anger	0.641	feudo
daemon	anger	0.641	demônio
havoc	anger	0.641	destruição
shackle	anger	0.641	algemar
inexcusable	anger	0.641	indesculpável
indignant	anger	0.641	indignado
grr	anger	0.641	grr
expulsion	anger	0.641	expulsão
bombard	anger	0.641	bombardear
spat	anger	0.641	cuspiu
arson	anger	0.641	incêndio culposo
reprimand	anger	0.641	reprimenda
somad	anger	0.637	tão louco
frustrated	anger	0.636	frustrado
batter	anger	0.636	massa
kicking	anger	0.636	chutando
anarchy	anger	0.636	anarquia
spanking	anger	0.636	palmada
glaring	anger	0.636	gritante
suicidal	anger	0.636	suicida
disgusting	anger	0.636	repugnante
wound	anger	0.636	ferimento
hanging	anger	0.636	pendurado
poisoned	anger	0.636	envenenado
combatant	anger	0.636	combatente
wrecked	anger	0.633	naufragado
inflict	anger	0.633	infligir
grievous	anger	0.632	doloroso
prosecute	anger	0.630	processar
agitated	anger	0.630	agitado
cheat	anger	0.630	burlar
swastika	anger	0.627	suástica
injure	anger	0.625	ferir
indict	anger	0.625	indiciar
scourge	anger	0.625	flagelo
provocation	anger	0.625	provocação
suffocation	anger	0.625	asfixia
strife	anger	0.625	contenda
raid	anger	0.625	ataque
enslaved	anger	0.625	escravizado
cursing	anger	0.625	maldição
defamatory	anger	0.625	difamatório
harassing	anger	0.625	assediando
thundering	anger	0.625	trovejante
betray	anger	0.625	trair
arsehole	anger	0.624	babaca
theft	anger	0.621	roubo
insane	anger	0.621	insano
retaliation	anger	0.621	retaliação
irritate	anger	0.621	irritar
deprivation	anger	0.621	privação
fiend	anger	0.621	demônio
jerk	anger	0.621	idiota
convict	anger	0.621	condenar
cussed	anger	0.619	amaldiçoado
turmoil	anger	0.618	tumulto
smack	anger	0.615	bater
retribution	anger	0.614	retribuição
rebellion	anger	0.609	rebelião
oppressor	anger	0.609	opressor
gang	anger	0.609	gangue
slavery	anger	0.609	escravidão
intolerable	anger	0.609	intolerável
adverse	anger	0.609	desfavoraveis
injurious	anger	0.609	prejudicial
twats	anger	0.609	vadias
collision	anger	0.609	colisão
battery	anger	0.609	bateria
bitterly	anger	0.609	amargamente
antagonism	anger	0.609	antagonismo
irritability	anger	0.609	irritabilidade
disgraced	anger	0.608	desgraçado
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Idiota
blast	anger	0.606	explosão
bombardment	anger	0.606	bombardeamento
irks	anger	0.606	irrita
ranting	anger	0.606	reclamando
revolution	anger	0.606	revolução
thug	anger	0.606	bandido
antagonistic	anger	0.606	antagônico
irritating	anger	0.606	irritante
sickening	anger	0.606	doentio
discrimination	anger	0.606	discriminação
frustrate	anger	0.604	frustrar
insult	anger	0.603	insulto
hurtful	anger	0.603	doloroso
oppression	anger	0.603	opressão
manipulation	anger	0.603	manipulação
tiredofit	anger	0.603	cansado disso
bigot	anger	0.603	intolerante
tension	anger	0.603	tensão
disgust	anger	0.602	desgosto
spite	anger	0.600	Despeito
intrusive	anger	0.598	intrusivo
harshness	anger	0.597	aspereza
slur	anger	0.596	insultar
tempest	anger	0.594	tempestade
assail	anger	0.594	atacar
bitterness	anger	0.594	amargura
morbidity	anger	0.594	morbidade
casualty	anger	0.594	acidente
puncture	anger	0.594	punção
miserable	anger	0.594	miserável
inferno	anger	0.594	inferno
invasion	anger	0.594	invasão
storming	anger	0.594	tempestade
wretch	anger	0.594	miserável
consternation	anger	0.592	consternação
raving	anger	0.591	delirante
forcibly	anger	0.591	forçosamente
guillotine	anger	0.591	guilhotina
guilty	anger	0.591	culpado
depraved	anger	0.591	depravado
immoral	anger	0.591	imoral
overpowering	anger	0.591	avassalador
scare	anger	0.588	susto
recalcitrant	anger	0.588	recalcitrante
screwed	anger	0.588	parafusado
accursed	anger	0.588	maldito
soannoyed	anger	0.588	tão irritado
invader	anger	0.588	invasor
jealousy	anger	0.587	ciúmes
indignation	anger	0.587	indignação
vexed	anger	0.586	irritado
confront	anger	0.582	enfrentar
brute	anger	0.581	bruto
throttle	anger	0.579	acelerador
slut	anger	0.578	vagabunda
coup	anger	0.578	golpe
blaze	anger	0.578	chama
pillage	anger	0.578	pilhagem
provoking	anger	0.578	provocante
damage	anger	0.578	dano
criminality	anger	0.578	criminalidade
shutup	anger	0.578	cale-se
lash	anger	0.578	chicote
conflict	anger	0.578	conflito
contentious	anger	0.578	contencioso
shutit	anger	0.578	cale a boca
wreck	anger	0.578	naufrágio
defiant	anger	0.578	desafiador
butcher	anger	0.578	açougueiro
incarceration	anger	0.578	encarceramento
revolver	anger	0.578	revólver
bickering	anger	0.578	briga
yousuck	anger	0.578	você é um merda
cancer	anger	0.577	Câncer
discriminate	anger	0.576	discriminar
gun	anger	0.576	arma de fogo
frustration	anger	0.576	frustração
gory	anger	0.576	sangrento
pernicious	anger	0.576	pernicioso
dontmess	anger	0.576	não mexa
blasphemy	anger	0.576	blasfêmia
chaotic	anger	0.576	caótico
grope	anger	0.576	tatear
alienation	anger	0.576	alienação
disturbance	anger	0.576	perturbação
condescension	anger	0.576	condescendência
standoff	anger	0.576	impasse
discord	anger	0.576	discórdia
friggen	anger	0.575	friggen
sneer	anger	0.574	zombar
death	anger	0.574	morte
lunacy	anger	0.574	loucura
scandalous	anger	0.574	escandaloso
oppressive	anger	0.574	opressivo
jab	anger	0.574	golpe
cursed	anger	0.574	amaldiçoado
monstrosity	anger	0.574	monstruosidade
shit	anger	0.573	merda
disparaging	anger	0.571	depreciativo
slash	anger	0.571	golpear
unfair	anger	0.571	Injusto
gallows	anger	0.570	forca
escalate	anger	0.569	escalar
intolerant	anger	0.564	intolerante
lawlessness	anger	0.563	ilegalidade
beast	anger	0.562	fera
torpedo	anger	0.562	torpedo
malign	anger	0.562	maligno
traitor	anger	0.562	traidor
frightful	anger	0.562	assustador
wrangling	anger	0.562	disputa
slander	anger	0.562	calúnia
bellows	anger	0.562	fole
retards	anger	0.562	retardados
grouchy	anger	0.562	rabugento
derogatory	anger	0.562	depreciativo
bearish	anger	0.562	grosseiro
invade	anger	0.562	invadir
perdition	anger	0.562	perdição
arghh	anger	0.562	argh
dreadful	anger	0.562	terrível
bluddy	anger	0.562	grosseiro
deceived	anger	0.562	enganado
glare	anger	0.562	brilho
taunt	anger	0.562	insultar
dissension	anger	0.561	dissensão
cross	anger	0.561	Cruz
rave	anger	0.561	delírio
grating	anger	0.561	ralar
devastating	anger	0.561	devastador
fits	anger	0.561	encaixa
jeopardize	anger	0.561	pôr em risco
shatter	anger	0.561	quebrar
idiots	anger	0.561	idiotas
hurt	anger	0.561	ferir
thief	anger	0.561	Ladrão
uncontrollable	anger	0.561	incontrolável
conflagration	anger	0.561	conflagração
betrayal	anger	0.561	traição
banshee	anger	0.561	alma penada
subjugation	anger	0.559	subjugação
disturbed	anger	0.559	perturbado
stomped	anger	0.557	pisoteado
grab	anger	0.557	agarrar
grievance	anger	0.556	queixa
ticked	anger	0.556	marcado
masochism	anger	0.556	masoquismo
defiance	anger	0.552	desafio
blackmail	anger	0.550	chantagem
offensive	anger	0.549	ofensiva
decry	anger	0.548	desacreditar
frustrates	anger	0.547	frustra
violation	anger	0.547	violação
confine	anger	0.547	limitar
misery	anger	0.547	miséria
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparidade
punishment	anger	0.547	punição
rebel	anger	0.547	rebelde
preposterous	anger	0.547	absurdo
disgraceful	anger	0.547	vergonhoso
ire	anger	0.547	ira
deceive	anger	0.547	enganar
fustrated	anger	0.547	frustrado
sin	anger	0.547	pecado
shrill	anger	0.547	estridente
darkside	anger	0.547	lado escuro
overbearing	anger	0.547	arrogante
firearms	anger	0.547	armas de fogo
stolen	anger	0.546	roubado
hadenough	anger	0.546	teve o sufuciente
prejudice	anger	0.545	preconceito
tackle	anger	0.545	enfrentar
resentful	anger	0.545	ressentido
heated	anger	0.545	aquecido
callous	anger	0.545	insensível
conspirator	anger	0.545	conspirador
ruined	anger	0.545	arruinado
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	escaramuça
menace	anger	0.545	ameaça
annoyin	anger	0.545	irritante
foul	anger	0.545	falta
argument	anger	0.545	argumento
humiliate	anger	0.545	humilhar
wanker	anger	0.545	idiota
adversary	anger	0.545	adversário
sting	anger	0.544	picada
entangled	anger	0.544	emaranhado
grumble	anger	0.544	resmungar
robbery	anger	0.544	roubo
outcry	anger	0.544	clamor
resistance	anger	0.543	resistência
irreconcilable	anger	0.543	irreconciliável
obstructive	anger	0.542	obstrutivo
dismay	anger	0.540	desânimo
mob	anger	0.538	turba
juststop	anger	0.537	simplesmente pare
badness	anger	0.536	maldade
ridicule	anger	0.534	ridículo
incendiary	anger	0.533	incendiário
flares	anger	0.532	chamas
twofaced	anger	0.531	dupla face
reckless	anger	0.531	irresponsável
communism	anger	0.531	O comunismo
allegation	anger	0.531	alegação
prejudicial	anger	0.531	prejudicial
whip	anger	0.531	chicote
unbridled	anger	0.531	desenfreado
degeneracy	anger	0.531	degeneração
intruder	anger	0.531	intruso
belittle	anger	0.531	menosprezar
confinement	anger	0.531	confinamento
dispute	anger	0.531	disputa
exacerbation	anger	0.531	exacerbação
uprising	anger	0.531	revolta
unjust	anger	0.530	injusto
unjustifiable	anger	0.530	injustificável
perversion	anger	0.530	perversão
bigoted	anger	0.530	intolerante
fiesty	anger	0.530	feroz
offender	anger	0.530	infrator
dictatorial	anger	0.530	ditatorial
hassle	anger	0.530	problema
dissonance	anger	0.530	dissonância
tackled	anger	0.530	abordado
renegade	anger	0.529	renegado
cantstandit	anger	0.529	não aguentar
trespass	anger	0.529	transgressão
hot	anger	0.529	quente
prison	anger	0.529	prisão
suicide	anger	0.521	suicídio
annoy	anger	0.520	incomodar
leavemealone	anger	0.517	me deixe em paz
cretins	anger	0.516	cretinos
depravity	anger	0.516	depravação
idiotic	anger	0.516	idiota
dishonest	anger	0.516	desonesto
distrust	anger	0.516	desconfiança
broil	anger	0.516	assar
grrr	anger	0.516	grrr
criticize	anger	0.516	criticar
inimical	anger	0.516	hostil
tortious	anger	0.516	tortuoso
prisoner	anger	0.516	prisioneiro
treason	anger	0.516	traição
divorce	anger	0.516	divórcio
venting	anger	0.516	ventilação
duress	anger	0.516	coação
disrespectful	anger	0.516	desrespeitoso
poaching	anger	0.515	caça furtiva
scold	anger	0.515	repreender
poachers	anger	0.515	caçadores furtivos
pow	anger	0.515	Pancada
hangry	anger	0.515	faminto
argumentation	anger	0.515	argumentação
frustrating	anger	0.515	frustrante
unkind	anger	0.515	cruel
roar	anger	0.515	rugido
coercion	anger	0.515	coerção
unforgiving	anger	0.515	implacável
grump	anger	0.515	resmungar
bile	anger	0.515	bile
unleash	anger	0.515	desencadear
chaos	anger	0.515	caos
victimized	anger	0.515	vitimizado
jerks	anger	0.515	idiotas
tussle	anger	0.514	brigar
bane	anger	0.511	maldição
accusation	anger	0.510	acusação
enmity	anger	0.510	inimizade
repudiation	anger	0.510	repúdio
banish	anger	0.509	banir
disfigured	anger	0.508	desfigurado
storm	anger	0.507	tempestade
crazy	anger	0.500	louco
hammering	anger	0.500	martelando
defy	anger	0.500	desafiar
antithesis	anger	0.500	antítese
scoff	anger	0.500	zombar
anguish	anger	0.500	angústia
confined	anger	0.500	confinado
fear	anger	0.500	temer
bout	anger	0.500	ataque
unruly	anger	0.500	rebelde
delusional	anger	0.500	delirante
obstruct	anger	0.500	obstruir
possessed	anger	0.500	possuído
injustice	anger	0.500	injustiça
fervor	anger	0.500	fervor
spear	anger	0.500	lança
derision	anger	0.500	escárnio
intractable	anger	0.500	intratável
reject	anger	0.500	rejeitar
dominate	anger	0.500	dominar
ordeal	anger	0.500	provação
banished	anger	0.500	banido
rejects	anger	0.500	rejeita
shun	anger	0.500	evitar
brunt	anger	0.500	impacto
derogation	anger	0.500	derrogação
frenzied	anger	0.500	frenético
animus	anger	0.500	animus
suppression	anger	0.500	supressão
malpractice	anger	0.500	negligência
brazen	anger	0.500	descarado
foaming	anger	0.500	espumante
disrupting	anger	0.500	perturbador
nobodycares	anger	0.500	ninguém se importa
patronising	anger	0.500	paternalista
getoveryourself	anger	0.495	superar a si mesmo
toughness	anger	0.492	dureza
stupidpeople	anger	0.492	pessoas estúpidas
madness	anger	0.491	loucura
sinful	anger	0.491	pecaminoso
avarice	anger	0.490	avareza
oppress	anger	0.490	oprimir
cutting	anger	0.485	corte
anathema	anger	0.485	anátema
annoyed	anger	0.485	incomodado
dissident	anger	0.485	dissidente
demand	anger	0.485	exigem
usurp	anger	0.485	usurpar
claw	anger	0.485	garra
alienate	anger	0.485	alienar
infraction	anger	0.485	infração
avenger	anger	0.485	vingador
revoke	anger	0.485	revogar
smuggler	anger	0.485	contrabandista
abolish	anger	0.485	abolir
fricking	anger	0.485	enfurecido
stayaway	anger	0.485	ficar longe
pervert	anger	0.485	perverter
disservice	anger	0.485	desserviço
disobedient	anger	0.485	desobediente
incest	anger	0.485	incesto
complaint	anger	0.485	reclamação
disapproved	anger	0.485	reprovado
inhuman	anger	0.485	desumano
mocking	anger	0.484	zombando
penalty	anger	0.484	pena
renounce	anger	0.484	renúncia
restrain	anger	0.484	conter
upheaval	anger	0.484	convulsão
deceit	anger	0.484	engano
obnoxious	anger	0.484	obnóxio
imprisoned	anger	0.484	preso
strained	anger	0.484	tenso
blame	anger	0.484	culpa
oust	anger	0.484	expulsar
litigious	anger	0.484	litigioso
rivalry	anger	0.484	rivalidade
sucker	anger	0.484	otário
opposed	anger	0.484	oposição
thresh	anger	0.484	debulhar
disgrace	anger	0.484	desgraça
suspicious	anger	0.484	suspeito
turbulence	anger	0.483	turbulência
pound	anger	0.481	libra
coldness	anger	0.477	frieza
ungrateful	anger	0.472	ingrato
stoopid	anger	0.471	imbecil
battalion	anger	0.471	batalhão
feudalism	anger	0.470	feudalismo
hostage	anger	0.470	refém
annoying	anger	0.470	chato
dispossessed	anger	0.470	despossuído
subversion	anger	0.470	subversão
friction	anger	0.470	atrito
jealous	anger	0.470	com ciumes
adversity	anger	0.470	adversidade
infidel	anger	0.470	infiel
gall	anger	0.470	fel
accuser	anger	0.470	acusador
ram	anger	0.470	RAM
armament	anger	0.470	armamento
thump	anger	0.469	baque
dislike	anger	0.469	não gostar
steal	anger	0.469	roubar
backoff	anger	0.469	Recuar
stifled	anger	0.469	sufocado
incite	anger	0.469	incitar
distress	anger	0.469	sofrimento
angermanagement	anger	0.469	controle de raiva
selfish	anger	0.469	egoísta
injury	anger	0.469	prejuízo
exile	anger	0.469	exílio
insanity	anger	0.469	insanidade
offense	anger	0.469	ofensa
objection	anger	0.469	objeção
smother	anger	0.469	sufocar
disruption	anger	0.469	perturbação
intolerance	anger	0.469	intolerância
disobey	anger	0.469	desobedecer
selfishness	anger	0.469	egoísmo
recidivism	anger	0.469	reincidência
subversive	anger	0.469	subversivo
huff	anger	0.469	xingar
plunder	anger	0.469	pilhagem
opposition	anger	0.469	oposição
complain	anger	0.469	reclamar
perpetrator	anger	0.469	autor
simmer	anger	0.469	ferver
areyoukidding	anger	0.468	você está de brincadeira
mug	anger	0.467	caneca
agony	anger	0.465	agonia
arrogant	anger	0.461	arrogante
sux	anger	0.456	sux
vent	anger	0.456	ventilação
elimination	anger	0.456	eliminação
picketing	anger	0.456	piquete
haughty	anger	0.456	altivo
grated	anger	0.455	Grato
flagrant	anger	0.455	flagrante
busted	anger	0.455	pego
crabby	anger	0.455	rabugento
dying	anger	0.455	moribundo
idiocy	anger	0.455	idiotice
impermeable	anger	0.455	impermeável
stubbed	anger	0.455	esfaqueado
illegality	anger	0.455	ilegalidade
veto	anger	0.455	veto
constraint	anger	0.455	restrição
mislead	anger	0.455	enganar
illicit	anger	0.455	ilícito
troublesome	anger	0.455	problemático
clamor	anger	0.455	clamor
bayonet	anger	0.453	baioneta
suppress	anger	0.453	suprimir
intense	anger	0.453	intenso
displeased	anger	0.453	descontente
disapproving	anger	0.453	desaprovação
hysterical	anger	0.453	histérico
struggle	anger	0.453	luta
godless	anger	0.453	ímpio
desist	anger	0.453	desistir
