English Word	Emotion	Emotion-Intensity-Score	Irish Word
ruthless	anger	0.797	neamhthrócaireach
villainous	anger	0.797	villainous
destructive	anger	0.797	millteach
slap	anger	0.791	slap
riot	anger	0.788	círéib
growthefuckup	anger	0.788	fáisfuckup
punishing	anger	0.788	ag pionós
slaughterhouse	anger	0.788	seamlas
yelling	anger	0.788	ag béicíl
diabolical	anger	0.788	diabolach
destroyed	anger	0.788	scriosta
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	diallaíoch
manslaughter	anger	0.783	dúnorgain
clash	anger	0.783	chlais
quarrel	anger	0.781	quarrel
bloody	anger	0.781	fuilteach
hellish	anger	0.781	ifreann
sinister	anger	0.781	sinister
loath	anger	0.781	loath
detonation	anger	0.781	maidhm
accusing	anger	0.779	accusing
fumin	anger	0.779	fumin
hateeee	anger	0.779	fuathaí
treacherous	anger	0.779	fealltach
madder	anger	0.773	madder
horrific	anger	0.773	uafásach
revulsion	anger	0.773	revulsion
retaliate	anger	0.773	retaliate
scorn	anger	0.769	scanradh
bomb	anger	0.766	buama
deplorable	anger	0.766	truamhéalach
devastation	anger	0.765	léirscrios
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	stoirm tine
resent	anger	0.765	doicheall
contemptible	anger	0.764	suarach
shittest	anger	0.760	shittest
rant	anger	0.758	rans
cruel	anger	0.758	cruálach
deadly	anger	0.758	marfach
smash	anger	0.758	bain
soangry	anger	0.758	suairc
outburst	anger	0.757	sceith
snarl	anger	0.754	snarl
profane	anger	0.750	profann
revolting	anger	0.750	ag éirí amach
aggravating	anger	0.750	ag dul in olcas
horror	anger	0.750	uafás
despise	anger	0.750	ghrain
offend	anger	0.750	chiontaíonn
stfu	anger	0.750	stfu
vulgarity	anger	0.750	leochaileacht
crazed	anger	0.750	ar mire
douchebags	anger	0.750	málaí douche
growling	anger	0.750	ag caoineadh
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	screadaíl
threat	anger	0.742	bagairt
erupt	anger	0.742	brúchtadh
horrible	anger	0.742	uafás
molestation	anger	0.742	molestation
fuckedoff	anger	0.742	fite fuaite
violence	anger	0.742	foréigean
bastards	anger	0.741	bastardaí
revenge	anger	0.738	díoltas
menacing	anger	0.735	bagrach
crushing	anger	0.735	ag crapadh
damn	anger	0.735	diabhal
catastrophe	anger	0.735	tubaiste
demon	anger	0.735	deamhan
argue	anger	0.734	argóint
persecute	anger	0.734	géarleanúint
deplore	anger	0.734	trua
flog	anger	0.734	flog
fedup	anger	0.734	bréan
riotous	anger	0.734	círéibeach
vehement	anger	0.734	nimhneach
revolt	anger	0.734	éirí amach
warfare	anger	0.734	cogaíocht
thrash	anger	0.734	thrash
altercation	anger	0.729	altrú
warlike	anger	0.728	cogaidh
shitday	anger	0.727	shioc
mutiny	anger	0.727	ceannairc
castrate	anger	0.727	choilleadh
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	mairg
strike	anger	0.721	stailc
disaster	anger	0.721	Tubaiste
disastrous	anger	0.720	tubaisteach
bastarding	anger	0.719	bastardóireacht
treachery	anger	0.719	feall
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	eachaí
slay	anger	0.719	maraigh
disdain	anger	0.719	dímheas
aggravates	anger	0.719	ag dul in olcas
brutal	anger	0.719	brúidiúil
scorching	anger	0.719	scorching
devil	anger	0.719	diabhal
madden	anger	0.719	madden
spiteful	anger	0.719	spíosach
scream	anger	0.719	scread
choke	anger	0.719	tachtadh
vermin	anger	0.719	míolra
tumult	anger	0.719	suaitheadh
criminal	anger	0.714	choiriúil
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	ciorrú
denunciation	anger	0.713	séanadh
punch	anger	0.713	punc
virulence	anger	0.712	feirge
fatal	anger	0.712	marfach
hurting	anger	0.712	ag gortú
crucifixion	anger	0.712	céasadh
dontlikeyou	anger	0.712	nach dtaitníonn leat
blasphemous	anger	0.712	diamhaslach
holocaust	anger	0.712	uileloscadh
dumbasses	anger	0.712	dumbass
battled	anger	0.712	cathaigh
deranged	anger	0.706	deranged
irritated	anger	0.706	irritated
atrocious	anger	0.706	uafásach
evil	anger	0.706	olc
aggravated	anger	0.703	géaraithe
intimidation	anger	0.703	imeaglú
dicks	anger	0.703	dicks
assassin	anger	0.703	assassin
scolding	anger	0.703	scolding
persecution	anger	0.703	géarleanúint
slayer	anger	0.703	maraí
kidnap	anger	0.703	fuadach
aggression	anger	0.702	ionsaí
armed	anger	0.700	armtha
battle	anger	0.697	cath
poison	anger	0.697	nimhe
snarling	anger	0.697	snarling
venom	anger	0.697	venom
disgruntled	anger	0.693	disgruntled
resentment	anger	0.691	doicheall
assailant	anger	0.691	ionsaitheoir
insidious	anger	0.691	insidious
contemptuous	anger	0.690	díspeagadh
lynch	anger	0.690	lions
temper	anger	0.688	meon
terrible	anger	0.688	uafásach
disparage	anger	0.688	dímheas
lunatic	anger	0.688	gealtachta
bully	anger	0.688	bulaí
mad	anger	0.688	buile
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	naíonmharú
domination	anger	0.688	forlámhas
peeved	anger	0.688	peeved
imprisonment	anger	0.688	príosúnacht
curse	anger	0.688	mallacht
volatility	anger	0.687	luaineacht
eradication	anger	0.685	díothú
eradicate	anger	0.682	scrios
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	scoundrel
devastate	anger	0.682	scrios
aggressively	anger	0.680	go ionsaitheach
agitation	anger	0.680	agas
dictatorship	anger	0.676	deachtóireacht
irritates	anger	0.676	greannaíonn
profanity	anger	0.673	profanity
shove	anger	0.672	sluasaid
nasty	anger	0.672	dána
shot	anger	0.672	lámhaigh
cruelly	anger	0.672	go cruálach
shoot	anger	0.672	lámhach
condemnation	anger	0.672	cáineadh
crushed	anger	0.672	brúite
aggravation	anger	0.672	géarú
poisonous	anger	0.672	nimhiúil
egregious	anger	0.672	uafásach
crime	anger	0.672	coir
corrupting	anger	0.672	truaillithe
dastardly	anger	0.672	dastardly
contempt	anger	0.672	díspeagadh
harmful	anger	0.672	dochrach
expletive	anger	0.672	fairsing
wreak	anger	0.672	raic
maniac	anger	0.670	maniac
cutthroat	anger	0.667	gearrthacha
enemy	anger	0.667	namhaid
hit	anger	0.667	Buail
hateeveryone	anger	0.667	fuath gach duine
eruption	anger	0.667	brúchtadh
irritable	anger	0.667	cantalach
odious	anger	0.667	suarach
shooting	anger	0.667	lámhach
shout	anger	0.667	scairt
aggressive	anger	0.667	ionsaitheach
kick	anger	0.667	ciceáil
combat	anger	0.667	comhraic
fight	anger	0.667	troid
punished	anger	0.662	phionósú
yell	anger	0.661	yell
ambush	anger	0.661	luíochán
harass	anger	0.659	ciapadh
malignant	anger	0.656	urchóideach
aggressor	anger	0.656	ionsaitheoir
gore	anger	0.656	goire
destruction	anger	0.656	scrios
grudge	anger	0.656	gruaim
antichrist	anger	0.656	frithchríost
incense	anger	0.656	tuisle
expel	anger	0.656	dhíbirt
cranky	anger	0.653	cranky
slave	anger	0.652	sclábhaí
reprisal	anger	0.652	díoltas
growl	anger	0.652	claoidh
animosity	anger	0.652	aimhreas
insurrection	anger	0.652	éirí amach
clashing	anger	0.652	ag troid
denounce	anger	0.652	shéanadh
offended	anger	0.652	ciontaigh
spank	anger	0.652	spank
insulting	anger	0.652	maslach
growls	anger	0.649	fásann
executioner	anger	0.644	seiceadóir
twat	anger	0.644	twat
doomsday	anger	0.643	doomsday
obscenity	anger	0.641	graostacht
accused	anger	0.641	cúisithe
feud	anger	0.641	feall
daemon	anger	0.641	deamhan
havoc	anger	0.641	havoc
shackle	anger	0.641	geimhle
inexcusable	anger	0.641	dothuigthe
indignant	anger	0.641	dothuigthe
grr	anger	0.641	grr
expulsion	anger	0.641	díbirt
bombard	anger	0.641	bombard
spat	anger	0.641	sceathrach
arson	anger	0.641	coirloscadh
reprimand	anger	0.641	iomardú
somad	anger	0.637	somad
frustrated	anger	0.636	frustrachas
batter	anger	0.636	fuidrimh
kicking	anger	0.636	ag ciceáil
anarchy	anger	0.636	anarchy
spanking	anger	0.636	casta
glaring	anger	0.636	gliondar
suicidal	anger	0.636	féinmharfach
disgusting	anger	0.636	disgusting
wound	anger	0.636	créacht
hanging	anger	0.636	crochta
poisoned	anger	0.636	nimhe
combatant	anger	0.636	comhraiceoir
wrecked	anger	0.633	scriosta
inflict	anger	0.633	infect
grievous	anger	0.632	gríosach
prosecute	anger	0.630	ionchúiseamh
agitated	anger	0.630	corraithe
cheat	anger	0.630	cheat
swastika	anger	0.627	swastika
injure	anger	0.625	gortú
indict	anger	0.625	díotáil
scourge	anger	0.625	sciúirse
provocation	anger	0.625	briogadh
suffocation	anger	0.625	plúchadh
strife	anger	0.625	achrann
raid	anger	0.625	ruathar
enslaved	anger	0.625	sclábhaithe
cursing	anger	0.625	mallacht
defamatory	anger	0.625	clúmhillteach
harassing	anger	0.625	ciapadh
thundering	anger	0.625	toirneach
betray	anger	0.625	feall
arsehole	anger	0.624	tollta
theft	anger	0.621	goid
insane	anger	0.621	dÚsachtach
retaliation	anger	0.621	retaliation
irritate	anger	0.621	greannaigh
deprivation	anger	0.621	díothacht
fiend	anger	0.621	fiend
jerk	anger	0.621	greadadh
convict	anger	0.621	ciontú
cussed	anger	0.619	cussed
turmoil	anger	0.618	suaitheadh
smack	anger	0.615	smack
retribution	anger	0.614	retribution
rebellion	anger	0.609	éirí amach
oppressor	anger	0.609	leatromach
gang	anger	0.609	drong
slavery	anger	0.609	sclábhaíocht
intolerable	anger	0.609	do-ghlactha
adverse	anger	0.609	díobhálach
injurious	anger	0.609	díobhálach
twats	anger	0.609	twats
collision	anger	0.609	imbhualadh
battery	anger	0.609	ceallraí
bitterly	anger	0.609	go leamh
antagonism	anger	0.609	antagonism
irritability	anger	0.609	greannaitheacht
disgraced	anger	0.608	náire
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asshole
blast	anger	0.606	soinneáin
bombardment	anger	0.606	bombardú
irks	anger	0.606	éiric
ranting	anger	0.606	ranting
revolution	anger	0.606	réabhlóid
thug	anger	0.606	thug
antagonistic	anger	0.606	freasúla
irritating	anger	0.606	greannach
sickening	anger	0.606	tinn
discrimination	anger	0.606	leithcheal
frustrate	anger	0.604	frustrachas
insult	anger	0.603	masla
hurtful	anger	0.603	gortach
oppression	anger	0.603	cos ar bolg
manipulation	anger	0.603	ionramháil
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	teannas
disgust	anger	0.602	disgust
spite	anger	0.600	ainneoin
intrusive	anger	0.598	ionsáiteach
harshness	anger	0.597	gruaim
slur	anger	0.596	slur
tempest	anger	0.594	aimsir
assail	anger	0.594	assail
bitterness	anger	0.594	searbhas
morbidity	anger	0.594	galracht
casualty	anger	0.594	taisme
puncture	anger	0.594	puncture
miserable	anger	0.594	truagh
inferno	anger	0.594	inferno
invasion	anger	0.594	ionradh
storming	anger	0.594	ag stoirmeadh
wretch	anger	0.594	truaigh
consternation	anger	0.592	conspóid
raving	anger	0.591	ag creachadh
forcibly	anger	0.591	go héigeantach
guillotine	anger	0.591	gilitín
guilty	anger	0.591	ciontach
depraved	anger	0.591	depraved
immoral	anger	0.591	mímhorálta
overpowering	anger	0.591	overpowering
scare	anger	0.588	scanradh
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	screadach
accursed	anger	0.588	fabhraithe
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	ionróir
jealousy	anger	0.587	éad
indignation	anger	0.587	fearg
vexed	anger	0.586	cráite
confront	anger	0.582	aghaidh a thabhairt
brute	anger	0.581	brutach
throttle	anger	0.579	throttle
slut	anger	0.578	slut
coup	anger	0.578	coup
blaze	anger	0.578	blaise
pillage	anger	0.578	pillage
provoking	anger	0.578	ag spreagadh
damage	anger	0.578	damáiste
criminality	anger	0.578	choiriúlacht
shutup	anger	0.578	múchadh
lash	anger	0.578	glais
conflict	anger	0.578	coimhlint
contentious	anger	0.578	conspóideach
shutit	anger	0.578	múchadh
wreck	anger	0.578	raic
defiant	anger	0.578	dúshlánach
butcher	anger	0.578	búistéir
incarceration	anger	0.578	príosúnachta
revolver	anger	0.578	gunnán
bickering	anger	0.578	bickering
yousuck	anger	0.578	tá tú úafásach
cancer	anger	0.577	ailse
discriminate	anger	0.576	idirdhealú
gun	anger	0.576	gunna
frustration	anger	0.576	frustrachas
gory	anger	0.576	gory
pernicious	anger	0.576	millteach
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	blasphemy
chaotic	anger	0.576	chaotic
grope	anger	0.576	grope
alienation	anger	0.576	coimhthiú
disturbance	anger	0.576	suaitheadh
condescension	anger	0.576	condescension
standoff	anger	0.576	standoff
discord	anger	0.576	easaontas
friggen	anger	0.575	friggin
sneer	anger	0.574	sneer
death	anger	0.574	bás
lunacy	anger	0.574	gealtachta
scandalous	anger	0.574	scannalach
oppressive	anger	0.574	leatromach
jab	anger	0.574	jab
cursed	anger	0.574	mallaithe
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	cac
disparaging	anger	0.571	dímheasúil
slash	anger	0.571	slais
unfair	anger	0.571	éagórach
gallows	anger	0.570	chroich
escalate	anger	0.569	ardú
intolerant	anger	0.564	dofhulaingthe
lawlessness	anger	0.563	aindlí
beast	anger	0.562	beithíoch
torpedo	anger	0.562	toirpéid
malign	anger	0.562	urchóideach
traitor	anger	0.562	fealltóir
frightful	anger	0.562	scanrúil
wrangling	anger	0.562	wrangling
slander	anger	0.562	clúmhilleadh
bellows	anger	0.562	cloigíní
retards	anger	0.562	retards
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	dímheasúil
bearish	anger	0.562	bearish
invade	anger	0.562	ionradh
perdition	anger	0.562	truaill
arghh	anger	0.562	argh
dreadful	anger	0.562	suarach
bluddy	anger	0.562	doiléir
deceived	anger	0.562	meallta
glare	anger	0.562	glare
taunt	anger	0.562	magadh
dissension	anger	0.561	easaontas
cross	anger	0.561	cros
rave	anger	0.561	rave
grating	anger	0.561	gríl
devastating	anger	0.561	tubaisteach
fits	anger	0.561	oireann
jeopardize	anger	0.561	i gcontúirt
shatter	anger	0.561	crith
idiots	anger	0.561	leathcheann
hurt	anger	0.561	gortaítear
thief	anger	0.561	gadaí
uncontrollable	anger	0.561	neamhrialaithe
conflagration	anger	0.561	conflagration
betrayal	anger	0.561	feall
banshee	anger	0.561	banshee
subjugation	anger	0.559	subjugation
disturbed	anger	0.559	suaite
stomped	anger	0.557	stomped
grab	anger	0.557	greim
grievance	anger	0.556	casaoid
ticked	anger	0.556	tic
masochism	anger	0.556	masochism
defiance	anger	0.552	ar neamhchead
blackmail	anger	0.550	dúmhál
offensive	anger	0.549	maslach
decry	anger	0.548	dery
frustrates	anger	0.547	frustrachas
violation	anger	0.547	sárú
confine	anger	0.547	teoranta
misery	anger	0.547	truaighe
arghhhh	anger	0.547	arghhh
disparity	anger	0.547	difríocht
punishment	anger	0.547	pionós
rebel	anger	0.547	reibiliúnach
preposterous	anger	0.547	preposterous
disgraceful	anger	0.547	náireach
ire	anger	0.547	ire
deceive	anger	0.547	mheabhlaireachta
fustrated	anger	0.547	fustrate
sin	anger	0.547	peaca
shrill	anger	0.547	sceall
darkside	anger	0.547	taobh dorcha
overbearing	anger	0.547	overbearing
firearms	anger	0.547	airm tine
stolen	anger	0.546	goidte
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	dochar
tackle	anger	0.545	dul i ngleic
resentful	anger	0.545	doicheallach
heated	anger	0.545	téite
callous	anger	0.545	callach
conspirator	anger	0.545	comhcheilg
ruined	anger	0.545	scriosta
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	skirmish
menace	anger	0.545	bagairt
annoyin	anger	0.545	annoyin
foul	anger	0.545	bréan
argument	anger	0.545	argóint
humiliate	anger	0.545	náirigh
wanker	anger	0.545	wanker
adversary	anger	0.545	namhaid
sting	anger	0.544	sting
entangled	anger	0.544	i bhfostú
grumble	anger	0.544	grumble
robbery	anger	0.544	robáil
outcry	anger	0.544	outcry
resistance	anger	0.543	friotaíocht
irreconcilable	anger	0.543	do-réitithe
obstructive	anger	0.542	bacach
dismay	anger	0.540	diomailt
mob	anger	0.538	slua
juststop	anger	0.537	stad
badness	anger	0.536	olcas
ridicule	anger	0.534	magadh
incendiary	anger	0.533	loiscneach
flares	anger	0.532	bladhmanna
twofaced	anger	0.531	dhá aghaidh
reckless	anger	0.531	meargánta
communism	anger	0.531	cumannachas
allegation	anger	0.531	líomhain
prejudicial	anger	0.531	docharach
whip	anger	0.531	fuip
unbridled	anger	0.531	gan srian
degeneracy	anger	0.531	degeneracy
intruder	anger	0.531	ionróir
belittle	anger	0.531	beagáinín
confinement	anger	0.531	luí seoil
dispute	anger	0.531	aighneas
exacerbation	anger	0.531	géarú
uprising	anger	0.531	éirí amach
unjust	anger	0.530	éagórach
unjustifiable	anger	0.530	dochosanta
perversion	anger	0.530	perversion
bigoted	anger	0.530	bigoted
fiesty	anger	0.530	fiesta
offender	anger	0.530	ciontóir
dictatorial	anger	0.530	deachtóireacht
hassle	anger	0.530	hassle
dissonance	anger	0.530	easaontas
tackled	anger	0.530	i ngleic
renegade	anger	0.529	renegade
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	foghail
hot	anger	0.529	te
prison	anger	0.529	príosún
suicide	anger	0.521	féinmharú
annoy	anger	0.520	cur as do
leavemealone	anger	0.517	Fág mé ar m'aonar
cretins	anger	0.516	cretins
depravity	anger	0.516	depravity
idiotic	anger	0.516	leathcheann
dishonest	anger	0.516	mímhacánta
distrust	anger	0.516	distrust
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	cáineadh
inimical	anger	0.516	ionamhail
tortious	anger	0.516	cráiteach
prisoner	anger	0.516	príosúnach
treason	anger	0.516	tréas
divorce	anger	0.516	colscaradh
venting	anger	0.516	scaoilte
duress	anger	0.516	éigeantas
disrespectful	anger	0.516	dímheasúil
poaching	anger	0.515	póitseáil
scold	anger	0.515	scold
poachers	anger	0.515	poachers
pow	anger	0.515	pow
hangry	anger	0.515	crochta
argumentation	anger	0.515	argóint
frustrating	anger	0.515	frustrachais
unkind	anger	0.515	mí-chineálta
roar	anger	0.515	roar
coercion	anger	0.515	comhéigean
unforgiving	anger	0.515	unforgiving
grump	anger	0.515	gruaim
bile	anger	0.515	bile
unleash	anger	0.515	scaoileadh
chaos	anger	0.515	anord
victimized	anger	0.515	íospairt
jerks	anger	0.515	geansaí
tussle	anger	0.514	tuisle
bane	anger	0.511	bane
accusation	anger	0.510	cúisimh
enmity	anger	0.510	naimhdeas
repudiation	anger	0.510	séanadh
banish	anger	0.509	bainis
disfigured	anger	0.508	disfigured
storm	anger	0.507	stoirme
crazy	anger	0.500	craiceáilte
hammering	anger	0.500	hammering
defy	anger	0.500	dúshlán
antithesis	anger	0.500	friththesis
scoff	anger	0.500	sceal
anguish	anger	0.500	anachain
confined	anger	0.500	teoranta
fear	anger	0.500	eagla
bout	anger	0.500	bout
unruly	anger	0.500	mí-rianta
delusional	anger	0.500	mealltach
obstruct	anger	0.500	bac
possessed	anger	0.500	sheilbh
injustice	anger	0.500	éagóir
fervor	anger	0.500	feall
spear	anger	0.500	speir
derision	anger	0.500	magadh
intractable	anger	0.500	dothuigthe
reject	anger	0.500	diúltaigh
dominate	anger	0.500	ceannas
ordeal	anger	0.500	ordeal
banished	anger	0.500	díbeartha
rejects	anger	0.500	dhiúltaíonn
shun	anger	0.500	shun
brunt	anger	0.500	brutach
derogation	anger	0.500	maolú
frenzied	anger	0.500	freinsiasach
animus	anger	0.500	anamus
suppression	anger	0.500	faoi chois
malpractice	anger	0.500	míchleachtas
brazen	anger	0.500	práis
foaming	anger	0.500	cúradh
disrupting	anger	0.500	ag cur isteach
nobodycares	anger	0.500	Is cuma le gach duine
patronising	anger	0.500	pátrúnach
getoveryourself	anger	0.495	bain leat féin
toughness	anger	0.492	déineacht
stupidpeople	anger	0.492	dúr daoine
madness	anger	0.491	buile
sinful	anger	0.491	peacach
avarice	anger	0.490	abhar
oppress	anger	0.490	leatrom
cutting	anger	0.485	gearradh
anathema	anger	0.485	anathema
annoyed	anger	0.485	ar buile
dissident	anger	0.485	easaontach
demand	anger	0.485	éileamh
usurp	anger	0.485	usurp
claw	anger	0.485	claw
alienate	anger	0.485	coimhthíos
infraction	anger	0.485	sárú
avenger	anger	0.485	díoghaltóir
revoke	anger	0.485	chúlghairm
smuggler	anger	0.485	smuigléir
abolish	anger	0.485	deireadh a chur le
fricking	anger	0.485	fricking
stayaway	anger	0.485	fanacht ar shiúl
pervert	anger	0.485	shaobhadh
disservice	anger	0.485	disservice
disobedient	anger	0.485	easumhal
incest	anger	0.485	ciorrú coil
complaint	anger	0.485	gearán
disapproved	anger	0.485	neamhcheadaithe
inhuman	anger	0.485	mídhaonna
mocking	anger	0.484	ag magadh
penalty	anger	0.484	pionós
renounce	anger	0.484	thréigean
restrain	anger	0.484	srian
upheaval	anger	0.484	suarach
deceit	anger	0.484	cealg
obnoxious	anger	0.484	dothuigthe
imprisoned	anger	0.484	i bpríosún
strained	anger	0.484	brú
blame	anger	0.484	milleán
oust	anger	0.484	oust
litigious	anger	0.484	dlíthíochta
rivalry	anger	0.484	iomaíocht
sucker	anger	0.484	súgán
opposed	anger	0.484	ina choinne
thresh	anger	0.484	buaile
disgrace	anger	0.484	náire
suspicious	anger	0.484	amhrasach
turbulence	anger	0.483	suaiteacht
pound	anger	0.481	púnt
coldness	anger	0.477	fuacht
ungrateful	anger	0.472	mí-thaitneamhach
stoopid	anger	0.471	stoopid
battalion	anger	0.471	cathlán
feudalism	anger	0.470	feodachas
hostage	anger	0.470	ghiall
annoying	anger	0.470	annoying
dispossessed	anger	0.470	díshealbhaithe
subversion	anger	0.470	forleagan
friction	anger	0.470	cuimilte
jealous	anger	0.470	éad
adversity	anger	0.470	aimhreas
infidel	anger	0.470	infidel
gall	anger	0.470	gal
accuser	anger	0.470	cúisitheoir
ram	anger	0.470	Ram
armament	anger	0.470	armáil
thump	anger	0.469	ordóg
dislike	anger	0.469	nach dtaitníonn
steal	anger	0.469	goid
backoff	anger	0.469	cúlú
stifled	anger	0.469	stifed
incite	anger	0.469	ghríosú
distress	anger	0.469	anacair
angermanagement	anger	0.469	bainistiocht feirge
selfish	anger	0.469	leithleasach
injury	anger	0.469	gortú
exile	anger	0.469	deoraíocht
insanity	anger	0.469	gealtachta
offense	anger	0.469	cion
objection	anger	0.469	agóid
smother	anger	0.469	smál
disruption	anger	0.469	cur isteach
intolerance	anger	0.469	éadulaingt
disobey	anger	0.469	easumhal
selfishness	anger	0.469	féiniúlacht
recidivism	anger	0.469	atitimeachas
subversive	anger	0.469	treascrach
huff	anger	0.469	buaile
plunder	anger	0.469	creach
opposition	anger	0.469	freasúra
complain	anger	0.469	gearán
perpetrator	anger	0.469	coire
simmer	anger	0.469	suanbhruith
areyoukidding	anger	0.468	ag magadh atá tú
mug	anger	0.467	muga
agony	anger	0.465	cráite
