English Word	Emotion	Emotion-Intensity-Score	Filipino Word
detest	anger	0.838	kinasusuklaman
hostilities	anger	0.837	labanan
prick	anger	0.835	tusok
rampage	anger	0.833	magalit nang labis
horrid	anger	0.833	nakakakilabot
cruelty	anger	0.833	kalupitan
torture	anger	0.833	pagpapahirap
rabid	anger	0.833	galit na galit
despicable	anger	0.828	kasuklam-suklam
tyrannical	anger	0.828	malupit
demonic	anger	0.828	demonyo
satanic	anger	0.828	sataniko
hate	anger	0.828	poot
ragemode	anger	0.828	ragemode
hating	anger	0.828	napopoot
ruinous	anger	0.825	nakakasira
condemn	anger	0.825	hatulan
riots	anger	0.824	mga kaguluhan
demolish	anger	0.824	gibain
angry	anger	0.824	galit
extermination	anger	0.824	pagpuksa
dickhead	anger	0.824	dickhead
livid	anger	0.821	galit na galit
madman	anger	0.820	baliw
vindictive	anger	0.819	mapaghiganti
terrorist	anger	0.818	terorista
threaten	anger	0.818	pagbabanta
venomous	anger	0.818	makamandag
hateyou	anger	0.818	hindi kita gusto
ferocity	anger	0.818	bangis
effyou	anger	0.818	effyou
abhor	anger	0.816	kasuklam-suklam
carnage	anger	0.814	patayan
savage	anger	0.814	ganid
atrocity	anger	0.814	kalupitan
fucksake	anger	0.812	fucksake
abuse	anger	0.812	pang-aabuso
fierce	anger	0.812	mabangis
destroyer	anger	0.812	maninira
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbariko
vendetta	anger	0.812	paghihiganti
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	naiinis
tyrant	anger	0.812	malupit
berserk	anger	0.812	galit na galit
fuming	anger	0.812	umuusok
anger	anger	0.811	galit
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	sinuntok
punching	anger	0.803	pagsuntok
slam	anger	0.803	slam
homicide	anger	0.803	pagpatay
bitch	anger	0.803	asong babae
fights	anger	0.803	mga away
ruthless	anger	0.797	walang awa
villainous	anger	0.797	kontrabida
destructive	anger	0.797	nakasisira
slap	anger	0.791	sampal
riot	anger	0.788	kaguluhan
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	nagpaparusa
slaughterhouse	anger	0.788	bahay-katayan
yelling	anger	0.788	sumisigaw
diabolical	anger	0.788	demonyo
destroyed	anger	0.788	nawasak
ragetweet	anger	0.788	galit na tweet
retaliatory	anger	0.788	paghihiganti
manslaughter	anger	0.783	pagpatay ng tao
clash	anger	0.783	sagupaan
quarrel	anger	0.781	awayan
bloody	anger	0.781	duguan
hellish	anger	0.781	impiyerno
sinister	anger	0.781	masama
loath	anger	0.781	kasuklam-suklam
detonation	anger	0.781	pagpapasabog
accusing	anger	0.779	nag-aakusa
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeeee
treacherous	anger	0.779	taksil
madder	anger	0.773	baliw
horrific	anger	0.773	kakila-kilabot
revulsion	anger	0.773	pagkasuklam
retaliate	anger	0.773	gumanti
scorn	anger	0.769	pangungutya
bomb	anger	0.766	bomba
deplorable	anger	0.766	nakakalungkot
devastation	anger	0.765	pagkawasak
anarchist	anger	0.765	anarkista
firestorm	anger	0.765	bagyo ng apoy
resent	anger	0.765	sama ng loob
contemptible	anger	0.764	kasuklam-suklam
shittest	anger	0.760	pinaka-bastos
rant	anger	0.758	rant
cruel	anger	0.758	malupit
deadly	anger	0.758	nakamamatay
smash	anger	0.758	basagin
soangry	anger	0.758	sobrang galit
outburst	anger	0.757	pagsabog
snarl	anger	0.754	angal
profane	anger	0.750	bastos
revolting	anger	0.750	naghihimagsik
aggravating	anger	0.750	nagpapalubha
horror	anger	0.750	katatakutan
despise	anger	0.750	hamakin
offend	anger	0.750	masaktan
stfu	anger	0.750	stfu
vulgarity	anger	0.750	kabastusan
crazed	anger	0.750	baliw
douchebags	anger	0.750	douchebags
growling	anger	0.750	ungol
dontmesswithme	anger	0.750	huwag kang makialam sa akin
screaming	anger	0.742	sumisigaw
threat	anger	0.742	pagbabanta
erupt	anger	0.742	sumabog
horrible	anger	0.742	kakila-kilabot
molestation	anger	0.742	pangmomolestiya
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	karahasan
bastards	anger	0.741	mga bastos
revenge	anger	0.738	paghihiganti
menacing	anger	0.735	nananakot
crushing	anger	0.735	pagdurog
damn	anger	0.735	sumpain
catastrophe	anger	0.735	sakuna
demon	anger	0.735	demonyo
argue	anger	0.734	makipagtalo
persecute	anger	0.734	usigin
deplore	anger	0.734	malungkot
flog	anger	0.734	hampasin
fedup	anger	0.734	fedup
riotous	anger	0.734	nagkakagulo
vehement	anger	0.734	masigasig
revolt	anger	0.734	pag-aalsa
warfare	anger	0.734	pakikidigma
thrash	anger	0.734	thrash
altercation	anger	0.729	alitan
warlike	anger	0.728	parang pandigma
shitday	anger	0.727	shitday
mutiny	anger	0.727	pag-aalsa
castrate	anger	0.727	kastrat
sabotage	anger	0.727	sabotahe
malevolent	anger	0.721	masamang hangarin
strike	anger	0.721	strike
disaster	anger	0.721	sakuna
disastrous	anger	0.720	nakapipinsala
bastarding	anger	0.719	bastarding
treachery	anger	0.719	pagtataksil
arseholes	anger	0.719	mga arseholes
horseshit	anger	0.719	kalokohan
slay	anger	0.719	pumatay
disdain	anger	0.719	paghamak
aggravates	anger	0.719	nagpapalubha
brutal	anger	0.719	brutal
scorching	anger	0.719	nakakapaso
devil	anger	0.719	demonyo
madden	anger	0.719	galit na galit
spiteful	anger	0.719	masungit
scream	anger	0.719	sigaw
choke	anger	0.719	mabulunan
vermin	anger	0.719	vermin
tumult	anger	0.719	kaguluhan
criminal	anger	0.714	kriminal
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkismo
mutilation	anger	0.714	pinsala
denunciation	anger	0.713	pagtuligsa
punch	anger	0.713	suntok
virulence	anger	0.712	virulence
fatal	anger	0.712	nakamamatay
hurting	anger	0.712	nananakit
crucifixion	anger	0.712	pagpapako sa krus
dontlikeyou	anger	0.712	hindi kita gusto
blasphemous	anger	0.712	kalapastanganan
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	mga bobo
battled	anger	0.712	nakipaglaban
deranged	anger	0.706	nabaliw
irritated	anger	0.706	naiirita
atrocious	anger	0.706	mabangis
evil	anger	0.706	kasamaan
aggravated	anger	0.703	pinalala
intimidation	anger	0.703	pananakot
dicks	anger	0.703	titi
assassin	anger	0.703	mamamatay-tao
scolding	anger	0.703	pasaway
persecution	anger	0.703	pag-uusig
slayer	anger	0.703	mamamatay tao
kidnap	anger	0.703	kidnap
aggression	anger	0.702	pagsalakay
armed	anger	0.700	armado
battle	anger	0.697	labanan
poison	anger	0.697	lason
snarling	anger	0.697	angal
venom	anger	0.697	lason
disgruntled	anger	0.693	hindi nasisiyahan
resentment	anger	0.691	sama ng loob
assailant	anger	0.691	umaatake
insidious	anger	0.691	tuso
contemptuous	anger	0.690	mapanglait
lynch	anger	0.690	lynch
temper	anger	0.688	init ng ulo
terrible	anger	0.688	kakila-kilabot
disparage	anger	0.688	paghamak
lunatic	anger	0.688	baliw
bully	anger	0.688	bully
mad	anger	0.688	galit
makesmemad	anger	0.688	nagpapakatanga
infanticide	anger	0.688	pagpatay ng sanggol
domination	anger	0.688	dominasyon
peeved	anger	0.688	nagalit
imprisonment	anger	0.688	pagkakulong
curse	anger	0.688	sumpa
volatility	anger	0.687	pagkasumpungin
eradication	anger	0.685	pagpuksa
eradicate	anger	0.682	lipulin
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	hamak
devastate	anger	0.682	magwasak
aggressively	anger	0.680	agresibo
agitation	anger	0.680	pagkabalisa
dictatorship	anger	0.676	diktadura
irritates	anger	0.676	nakakairita
profanity	anger	0.673	kabastusan
shove	anger	0.672	itulak
nasty	anger	0.672	pangit
shot	anger	0.672	binaril
cruelly	anger	0.672	malupit
shoot	anger	0.672	barilin
condemnation	anger	0.672	pagkondena
crushed	anger	0.672	durog
aggravation	anger	0.672	paglala
poisonous	anger	0.672	nakakalason
egregious	anger	0.672	grabe
crime	anger	0.672	krimen
corrupting	anger	0.672	nakakasira
dastardly	anger	0.672	tuso
contempt	anger	0.672	paghamak
harmful	anger	0.672	nakakapinsala
expletive	anger	0.672	panunumpa
wreak	anger	0.672	sumira
maniac	anger	0.670	baliw
cutthroat	anger	0.667	putol
enemy	anger	0.667	kaaway
hit	anger	0.667	tamaan
hateeveryone	anger	0.667	galit sa lahat
eruption	anger	0.667	pagsabog
irritable	anger	0.667	magagalitin
odious	anger	0.667	kasuklam-suklam
shooting	anger	0.667	pagbaril
shout	anger	0.667	sigaw
aggressive	anger	0.667	agresibo
kick	anger	0.667	sipa
combat	anger	0.667	labanan
fight	anger	0.667	lumaban
punished	anger	0.662	pinarusahan
yell	anger	0.661	sumigaw
ambush	anger	0.661	ambush
harass	anger	0.659	harass
malignant	anger	0.656	malignant
aggressor	anger	0.656	aggressor
gore	anger	0.656	gore
destruction	anger	0.656	pagkawasak
grudge	anger	0.656	sama ng loob
antichrist	anger	0.656	antikristo
incense	anger	0.656	insenso
expel	anger	0.656	paalisin
cranky	anger	0.653	masungit
slave	anger	0.652	alipin
reprisal	anger	0.652	paghihiganti
growl	anger	0.652	ungol
animosity	anger	0.652	poot
insurrection	anger	0.652	paghihimagsik
clashing	anger	0.652	nagbabanggaan
denounce	anger	0.652	tuligsain
offended	anger	0.652	nasaktan
spank	anger	0.652	paluin
insulting	anger	0.652	nakakainsulto
growls	anger	0.649	mga ungol
executioner	anger	0.644	berdugo
twat	anger	0.644	twat
doomsday	anger	0.643	araw ng katapusan
obscenity	anger	0.641	kahalayan
accused	anger	0.641	inakusahan
feud	anger	0.641	awayan
daemon	anger	0.641	demonyo
havoc	anger	0.641	kalituhan
shackle	anger	0.641	kadena
inexcusable	anger	0.641	hindi mapapatawad
indignant	anger	0.641	nagagalit
grr	anger	0.641	grr
expulsion	anger	0.641	pagpapatalsik
bombard	anger	0.641	pambobomba
spat	anger	0.641	dumura
arson	anger	0.641	panununog
reprimand	anger	0.641	pasaway
somad	anger	0.637	somad
frustrated	anger	0.636	bigo
batter	anger	0.636	humampas
kicking	anger	0.636	pagsipa
anarchy	anger	0.636	anarkiya
spanking	anger	0.636	palo
glaring	anger	0.636	nanlilisik
suicidal	anger	0.636	nagpapakamatay
disgusting	anger	0.636	nakasusuklam
wound	anger	0.636	sugat
hanging	anger	0.636	nakabitin
poisoned	anger	0.636	nalason
combatant	anger	0.636	panlaban
wrecked	anger	0.633	nawasak
inflict	anger	0.633	pahirapan
grievous	anger	0.632	malungkot
prosecute	anger	0.630	usigin
agitated	anger	0.630	nabalisa
cheat	anger	0.630	manloko
swastika	anger	0.627	swastika
injure	anger	0.625	manakit
indict	anger	0.625	paratang
scourge	anger	0.625	salot
provocation	anger	0.625	panunukso
suffocation	anger	0.625	inis
strife	anger	0.625	alitan
raid	anger	0.625	pagsalakay
enslaved	anger	0.625	inalipin
cursing	anger	0.625	pagmumura
defamatory	anger	0.625	mapanirang-puri
harassing	anger	0.625	nanliligalig
thundering	anger	0.625	dumadagundong
betray	anger	0.625	ipagkanulo
arsehole	anger	0.624	arsehole
theft	anger	0.621	pagnanakaw
insane	anger	0.621	nakakabaliw
retaliation	anger	0.621	paghihiganti
irritate	anger	0.621	nakakairita
deprivation	anger	0.621	pagkakait
fiend	anger	0.621	halimaw
jerk	anger	0.621	haltak
convict	anger	0.621	preso
cussed	anger	0.619	nagmura
turmoil	anger	0.618	kaguluhan
smack	anger	0.615	sampal
retribution	anger	0.614	paghihiganti
rebellion	anger	0.609	paghihimagsik
oppressor	anger	0.609	mapang-api
gang	anger	0.609	gang
slavery	anger	0.609	pang-aalipin
intolerable	anger	0.609	hindi matitiis
adverse	anger	0.609	salungat
injurious	anger	0.609	nakapipinsala
twats	anger	0.609	twats
collision	anger	0.609	banggaan
battery	anger	0.609	baterya
bitterly	anger	0.609	mapait
antagonism	anger	0.609	antagonismo
irritability	anger	0.609	pagkamayamutin
disgraced	anger	0.608	disgrasya
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asshole
blast	anger	0.606	sabog
bombardment	anger	0.606	pambobomba
irks	anger	0.606	irks
ranting	anger	0.606	nagbubulungan
revolution	anger	0.606	rebolusyon
thug	anger	0.606	magnanakaw
antagonistic	anger	0.606	antagonistic
irritating	anger	0.606	nakakairita
sickening	anger	0.606	nakakasakit
discrimination	anger	0.606	diskriminasyon
frustrate	anger	0.604	bigo
insult	anger	0.603	insulto
hurtful	anger	0.603	nakakasakit
oppression	anger	0.603	pang-aapi
manipulation	anger	0.603	pagpapatakbo
tiredofit	anger	0.603	pagod sa ganyan
bigot	anger	0.603	panatiko
tension	anger	0.603	tensyon
disgust	anger	0.602	pagkasuklam
spite	anger	0.600	sa kabila
intrusive	anger	0.598	mapanghimasok
harshness	anger	0.597	kalupitan
slur	anger	0.596	slur
tempest	anger	0.594	unos
assail	anger	0.594	pagsalakay
bitterness	anger	0.594	kapaitan
morbidity	anger	0.594	sakit
casualty	anger	0.594	nasawi
puncture	anger	0.594	mabutas
miserable	anger	0.594	miserable
inferno	anger	0.594	impyerno
invasion	anger	0.594	pagsalakay
storming	anger	0.594	bumabagyo
wretch	anger	0.594	kaawa-awa
consternation	anger	0.592	pagkabalisa
raving	anger	0.591	nagra-raving
forcibly	anger	0.591	pilit
guillotine	anger	0.591	guillotine
guilty	anger	0.591	nagkasala
depraved	anger	0.591	masama ang loob
immoral	anger	0.591	imoral
overpowering	anger	0.591	makapangyarihan
scare	anger	0.588	takutin
recalcitrant	anger	0.588	masungit
screwed	anger	0.588	siraan
accursed	anger	0.588	isinumpa
soannoyed	anger	0.588	nakakainis
invader	anger	0.588	mananalakay
jealousy	anger	0.587	selos
indignation	anger	0.587	galit
vexed	anger	0.586	nagagalit
confront	anger	0.582	harapin
brute	anger	0.581	malupit
throttle	anger	0.579	throttle
slut	anger	0.578	kalapating mababa ang lipad
coup	anger	0.578	kudeta
blaze	anger	0.578	nagliliyab
pillage	anger	0.578	pandarambong
provoking	anger	0.578	nakakagalit
damage	anger	0.578	pinsala
criminality	anger	0.578	kriminalidad
shutup	anger	0.578	tumahimik
lash	anger	0.578	hagupit
conflict	anger	0.578	tunggalian
contentious	anger	0.578	palaaway
shutit	anger	0.578	tumahimik ka
wreck	anger	0.578	pagkawasak
defiant	anger	0.578	mapanghamon
butcher	anger	0.578	magkakatay ng karne
incarceration	anger	0.578	pagkakakulong
revolver	anger	0.578	rebolber
bickering	anger	0.578	pagtatalo
yousuck	anger	0.578	nakakahiya ka
cancer	anger	0.577	kanser
discriminate	anger	0.576	diskriminasyon
gun	anger	0.576	baril
frustration	anger	0.576	pagkabigo
gory	anger	0.576	madugo
pernicious	anger	0.576	nakapipinsala
dontmess	anger	0.576	wag kang magulo
blasphemy	anger	0.576	kalapastanganan
chaotic	anger	0.576	magulo
grope	anger	0.576	kakapa
alienation	anger	0.576	alienation
disturbance	anger	0.576	kaguluhan
condescension	anger	0.576	pagpapakababa
standoff	anger	0.576	standoff
discord	anger	0.576	hindi pagkakasundo
friggen	anger	0.575	friggen
sneer	anger	0.574	ngumisi
death	anger	0.574	kamatayan
lunacy	anger	0.574	kabaliwan
scandalous	anger	0.574	iskandaloso
oppressive	anger	0.574	mapang-api
jab	anger	0.574	jab
cursed	anger	0.574	isinumpa
monstrosity	anger	0.574	kahalimaw
shit	anger	0.573	tae
disparaging	anger	0.571	pang-aalipusta
slash	anger	0.571	slash
unfair	anger	0.571	hindi patas
gallows	anger	0.570	bitayan
escalate	anger	0.569	dumami
intolerant	anger	0.564	hindi nagpaparaya
lawlessness	anger	0.563	kawalan ng batas
beast	anger	0.562	hayop
torpedo	anger	0.562	torpedo
malign	anger	0.562	maligno
traitor	anger	0.562	taksil
frightful	anger	0.562	nakakatakot
wrangling	anger	0.562	pagtatalo
slander	anger	0.562	paninirang-puri
bellows	anger	0.562	bubulusan
retards	anger	0.562	nagpapahina
grouchy	anger	0.562	makulit
derogatory	anger	0.562	mapanlait
bearish	anger	0.562	bearish
invade	anger	0.562	lusubin
perdition	anger	0.562	kapahamakan
arghh	anger	0.562	arghh
dreadful	anger	0.562	kakila-kilabot
bluddy	anger	0.562	bluddy
deceived	anger	0.562	niloko
glare	anger	0.562	liwanag na nakasisilaw
taunt	anger	0.562	panunuya
dissension	anger	0.561	hindi pagkakaunawaan
cross	anger	0.561	krus
rave	anger	0.561	magmagaling
grating	anger	0.561	rehas na bakal
devastating	anger	0.561	nagwawasak
fits	anger	0.561	magkasya
jeopardize	anger	0.561	malagay sa panganib
shatter	anger	0.561	basagin
idiots	anger	0.561	mga idiot
hurt	anger	0.561	nasaktan
thief	anger	0.561	magnanakaw
uncontrollable	anger	0.561	hindi mapigil
conflagration	anger	0.561	sunog
betrayal	anger	0.561	pagtataksil
banshee	anger	0.561	banshee
subjugation	anger	0.559	pagsupil
disturbed	anger	0.559	nabalisa
stomped	anger	0.557	natapakan
grab	anger	0.557	sunggaban
grievance	anger	0.556	hinaing
ticked	anger	0.556	nagtiktik
masochism	anger	0.556	masokismo
defiance	anger	0.552	pagsuway
blackmail	anger	0.550	blackmail
offensive	anger	0.549	nakakasakit
decry	anger	0.548	decry
frustrates	anger	0.547	nakakadismaya
violation	anger	0.547	paglabag
confine	anger	0.547	ikulong
misery	anger	0.547	paghihirap
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	pagkakaiba-iba
punishment	anger	0.547	parusa
rebel	anger	0.547	rebelde
preposterous	anger	0.547	kalokohan
disgraceful	anger	0.547	nakakahiya
ire	anger	0.547	galit
deceive	anger	0.547	manlinlang
fustrated	anger	0.547	naguguluhan
sin	anger	0.547	kasalanan
shrill	anger	0.547	matinis
darkside	anger	0.547	darkside
overbearing	anger	0.547	pagmamalabis
firearms	anger	0.547	mga baril
stolen	anger	0.546	ninakaw
hadenough	anger	0.546	mabuti pa
prejudice	anger	0.545	pagtatangi
tackle	anger	0.545	harapin
resentful	anger	0.545	sama ng loob
heated	anger	0.545	pinainit
callous	anger	0.545	walang kabuluhan
conspirator	anger	0.545	kasabwat
ruined	anger	0.545	wasak
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	labanan
menace	anger	0.545	pagbabanta
annoyin	anger	0.545	nakakainis
foul	anger	0.545	napakarumi
argument	anger	0.545	argumento
humiliate	anger	0.545	manghiya
wanker	anger	0.545	wanker
adversary	anger	0.545	kalaban
sting	anger	0.544	sumakit
entangled	anger	0.544	gusot
grumble	anger	0.544	reklamo
robbery	anger	0.544	pagnanakaw
outcry	anger	0.544	sigaw
resistance	anger	0.543	paglaban
irreconcilable	anger	0.543	hindi mapagkakasundo
obstructive	anger	0.542	nakahahadlang
dismay	anger	0.540	pagkabalisa
mob	anger	0.538	nagkakagulong mga tao
juststop	anger	0.537	Tumigil ka na
badness	anger	0.536	kasamaan
ridicule	anger	0.534	pangungutya
incendiary	anger	0.533	nagsusunog
flares	anger	0.532	mga flare
twofaced	anger	0.531	dalawang mukha
reckless	anger	0.531	walang ingat
communism	anger	0.531	komunismo
allegation	anger	0.531	paratang
prejudicial	anger	0.531	nakapipinsala
whip	anger	0.531	latigo
unbridled	anger	0.531	walang pigil
degeneracy	anger	0.531	pagkabulok
intruder	anger	0.531	nanghihimasok
belittle	anger	0.531	maliitin
confinement	anger	0.531	pagkakulong
dispute	anger	0.531	alitan
exacerbation	anger	0.531	paglala
uprising	anger	0.531	pag-aalsa
unjust	anger	0.530	hindi makatarungan
unjustifiable	anger	0.530	hindi makatwiran
perversion	anger	0.530	kabuktutan
bigoted	anger	0.530	bigoted
fiesty	anger	0.530	mabangis
offender	anger	0.530	nagkasala
dictatorial	anger	0.530	diktatoryal
hassle	anger	0.530	abala
dissonance	anger	0.530	disonance
tackled	anger	0.530	hinarap
renegade	anger	0.529	taksil
cantstandit	anger	0.529	hindi makatiis
trespass	anger	0.529	trespass
hot	anger	0.529	mainit
prison	anger	0.529	bilangguan
suicide	anger	0.521	pagpapakamatay
annoy	anger	0.520	inisin
leavemealone	anger	0.517	iwanan mo akong mag-isa
cretins	anger	0.516	mga cretin
depravity	anger	0.516	kasamaan
idiotic	anger	0.516	tulala
dishonest	anger	0.516	hindi tapat
distrust	anger	0.516	kawalan ng tiwala
broil	anger	0.516	mag-ihaw
grrr	anger	0.516	grrr
criticize	anger	0.516	pumuna
inimical	anger	0.516	kalaban
tortious	anger	0.516	nakakapagod
prisoner	anger	0.516	bilanggo
treason	anger	0.516	pagtataksil
divorce	anger	0.516	diborsyo
venting	anger	0.516	pagpapalabas ng hangin
duress	anger	0.516	pilit
disrespectful	anger	0.516	walang galang
poaching	anger	0.515	poaching
scold	anger	0.515	pagalitan
poachers	anger	0.515	mga poachers
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	pagtatalo
frustrating	anger	0.515	nakakabigo
unkind	anger	0.515	hindi mabait
roar	anger	0.515	dagundong
coercion	anger	0.515	pamimilit
unforgiving	anger	0.515	walang patawad
grump	anger	0.515	masungit
bile	anger	0.515	apdo
unleash	anger	0.515	pakawalan
chaos	anger	0.515	kaguluhan
victimized	anger	0.515	nabiktima
jerks	anger	0.515	mga jerks
tussle	anger	0.514	tunggalian
bane	anger	0.511	bane
accusation	anger	0.510	paratang
enmity	anger	0.510	poot
repudiation	anger	0.510	pagtatakwil
banish	anger	0.509	palayasin
disfigured	anger	0.508	pumangit
storm	anger	0.507	bagyo
crazy	anger	0.500	baliw
hammering	anger	0.500	pagmamartilyo
defy	anger	0.500	suwayin
antithesis	anger	0.500	antithesis
scoff	anger	0.500	panunuya
anguish	anger	0.500	paghihirap
confined	anger	0.500	nakakulong
fear	anger	0.500	takot
bout	anger	0.500	labanan
unruly	anger	0.500	masungit
delusional	anger	0.500	maling akala
obstruct	anger	0.500	hadlangan
possessed	anger	0.500	nagmamay ari
injustice	anger	0.500	kawalan ng katarungan
fervor	anger	0.500	sigla
spear	anger	0.500	sibat
derision	anger	0.500	panunuya
intractable	anger	0.500	mahirap hawakan
reject	anger	0.500	tanggihan
dominate	anger	0.500	mangibabaw
ordeal	anger	0.500	pagsubok
banished	anger	0.500	pinalayas
rejects	anger	0.500	tumatanggi
shun	anger	0.500	umiwas
brunt	anger	0.500	mabigat
derogation	anger	0.500	derogasyon
frenzied	anger	0.500	galit na galit
animus	anger	0.500	animus
suppression	anger	0.500	pagpigil
malpractice	anger	0.500	malpractice
brazen	anger	0.500	bastos
foaming	anger	0.500	bumubula
disrupting	anger	0.500	nakakagambala
nobodycares	anger	0.500	walang may pakialam
patronising	anger	0.500	tumatangkilik
getoveryourself	anger	0.495	getoveryourself
toughness	anger	0.492	katigasan
stupidpeople	anger	0.492	mga tanga
madness	anger	0.491	kabaliwan
sinful	anger	0.491	makasalanan
avarice	anger	0.490	katakawan
oppress	anger	0.490	mang-api
cutting	anger	0.485	pagputol
anathema	anger	0.485	anathema
annoyed	anger	0.485	inis
dissident	anger	0.485	dissidente
demand	anger	0.485	demand
usurp	anger	0.485	pang-aagaw
claw	anger	0.485	kuko
alienate	anger	0.485	ihiwalay
infraction	anger	0.485	paglabag
avenger	anger	0.485	tagapaghiganti
revoke	anger	0.485	bawiin
smuggler	anger	0.485	smuggler
abolish	anger	0.485	buwagin
fricking	anger	0.485	fricking
stayaway	anger	0.485	lumayo
pervert	anger	0.485	pervert
disservice	anger	0.485	kasiraan ng serbisyo
disobedient	anger	0.485	masuwayin
incest	anger	0.485	incest
complaint	anger	0.485	reklamo
disapproved	anger	0.485	hindi naaprubahan
inhuman	anger	0.485	hindi makatao
mocking	anger	0.484	nanunuya
penalty	anger	0.484	parusa
renounce	anger	0.484	talikuran
restrain	anger	0.484	pigilin
upheaval	anger	0.484	kaguluhan
deceit	anger	0.484	panlilinlang
obnoxious	anger	0.484	kasuklam-suklam
imprisoned	anger	0.484	nakulong
strained	anger	0.484	pilit
blame	anger	0.484	sisihin
oust	anger	0.484	patalsikin
litigious	anger	0.484	litigasyon
rivalry	anger	0.484	tunggalian
sucker	anger	0.484	pasusuhin
opposed	anger	0.484	sumasalungat
thresh	anger	0.484	maggiik
disgrace	anger	0.484	kahihiyan
suspicious	anger	0.484	kahina-hinala
turbulence	anger	0.483	kaguluhan
pound	anger	0.481	libra
coldness	anger	0.477	lamig
ungrateful	anger	0.472	walang utang na loob
stoopid	anger	0.471	nakayuko
battalion	anger	0.471	batalyon
feudalism	anger	0.470	pyudalismo
hostage	anger	0.470	prenda
annoying	anger	0.470	nakakainis
dispossessed	anger	0.470	dispossessed
subversion	anger	0.470	pagbabagsak
friction	anger	0.470	alitan
jealous	anger	0.470	nagseselos
adversity	anger	0.470	kahirapan
infidel	anger	0.470	walang pananampalataya
gall	anger	0.470	apdo
accuser	anger	0.470	nag-aakusa
ram	anger	0.470	tupa
