English Word	Emotion	Emotion-Intensity-Score	Esperanto Word
slap	anger	0.791	vangofrapi
riot	anger	0.788	tumulto
growthefuckup	anger	0.788	kreskoefuckup
punishing	anger	0.788	punante
slaughterhouse	anger	0.788	buĉejo
yelling	anger	0.788	kriante
diabolical	anger	0.788	diabla
destroyed	anger	0.788	detruitaj
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	venĝa
manslaughter	anger	0.783	mortigo
clash	anger	0.783	kolizio
quarrel	anger	0.781	kvereli
bloody	anger	0.781	sanga
hellish	anger	0.781	infera
sinister	anger	0.781	sinistra
loath	anger	0.781	abomeno
detonation	anger	0.781	detonacio
accusing	anger	0.779	akuzante
fumin	anger	0.779	fumin
hateeee	anger	0.779	malameeee
treacherous	anger	0.779	perfida
madder	anger	0.773	pli freneza
horrific	anger	0.773	terura
revulsion	anger	0.773	abomeno
retaliate	anger	0.773	rebati
scorn	anger	0.769	malestimo
bomb	anger	0.766	bombo
deplorable	anger	0.766	bedaŭrinda
devastation	anger	0.765	ruiniĝo
anarchist	anger	0.765	anarkiisto
firestorm	anger	0.765	fajroŝtormo
resent	anger	0.765	indigni
contemptible	anger	0.764	malestiminda
shittest	anger	0.760	plej aĉa
rant	anger	0.758	rant
cruel	anger	0.758	kruela
deadly	anger	0.758	mortiga
smash	anger	0.758	frakasi
soangry	anger	0.758	soangry
outburst	anger	0.757	eksplodo
snarl	anger	0.754	grumbli
profane	anger	0.750	profana
revolting	anger	0.750	ribelanta
aggravating	anger	0.750	pligraviganta
horror	anger	0.750	teruro
despise	anger	0.750	malestimi
offend	anger	0.750	ofendi
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgareco
crazed	anger	0.750	freneza
douchebags	anger	0.750	duboj
growling	anger	0.750	grumblante
dontmesswithme	anger	0.750	ne misu kun mi
screaming	anger	0.742	kriante
threat	anger	0.742	minaco
erupt	anger	0.742	erupcii
horrible	anger	0.742	terura
molestation	anger	0.742	molestado
fuckedoff	anger	0.742	fikita
violence	anger	0.742	perforto
bastards	anger	0.741	bastardoj
revenge	anger	0.738	venĝo
menacing	anger	0.735	minaca
crushing	anger	0.735	disbatanta
damn	anger	0.735	diable
catastrophe	anger	0.735	katastrofo
demon	anger	0.735	demono
argue	anger	0.734	argumenti
persecute	anger	0.734	persekuti
deplore	anger	0.734	bedaŭri
flog	anger	0.734	skurĝi
fedup	anger	0.734	fedup
riotous	anger	0.734	tumulta
vehement	anger	0.734	impeta
revolt	anger	0.734	ribelo
warfare	anger	0.734	militado
thrash	anger	0.734	draŝi
altercation	anger	0.729	kverelo
warlike	anger	0.728	militema
shitday	anger	0.727	merda tago
mutiny	anger	0.727	ribelo
castrate	anger	0.727	kastri
sabotage	anger	0.727	sabotado
malevolent	anger	0.721	malbonvola
strike	anger	0.721	striki
disaster	anger	0.721	katastrofo
disastrous	anger	0.720	katastrofa
bastarding	anger	0.719	bastarding
treachery	anger	0.719	perfido
arseholes	anger	0.719	pugtruoj
horseshit	anger	0.719	ĉevalaĉo
slay	anger	0.719	mortigi
disdain	anger	0.719	malestimo
aggravates	anger	0.719	pligravigas
brutal	anger	0.719	brutala
scorching	anger	0.719	brulanta
devil	anger	0.719	diablo
madden	anger	0.719	freneza
spiteful	anger	0.719	malĝoja
scream	anger	0.719	krii
choke	anger	0.719	sufoki
vermin	anger	0.719	fibesto
tumult	anger	0.719	tumulto
criminal	anger	0.714	krimulo
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkiismo
mutilation	anger	0.714	kripligo
denunciation	anger	0.713	denunco
punch	anger	0.713	pugnobato
virulence	anger	0.712	virulenco
fatal	anger	0.712	fatala
hurting	anger	0.712	dolorante
crucifixion	anger	0.712	krucumo
dontlikeyou	anger	0.712	ne ŝatas vin
blasphemous	anger	0.712	blasfema
holocaust	anger	0.712	holokaŭsto
dumbasses	anger	0.712	stultuloj
battled	anger	0.712	batalis
deranged	anger	0.706	konfuzita
irritated	anger	0.706	iritita
atrocious	anger	0.706	terura
evil	anger	0.706	malbono
aggravated	anger	0.703	pligravigita
intimidation	anger	0.703	timigado
dicks	anger	0.703	dikoj
assassin	anger	0.703	murdisto
scolding	anger	0.703	riproĉado
persecution	anger	0.703	persekuto
slayer	anger	0.703	mortiginto
kidnap	anger	0.703	kidnapo
aggression	anger	0.702	agreso
armed	anger	0.700	armita
battle	anger	0.697	batalo
poison	anger	0.697	veneno
snarling	anger	0.697	grumblante
venom	anger	0.697	veneno
disgruntled	anger	0.693	malkontenta
resentment	anger	0.691	rankoro
assailant	anger	0.691	atakanto
insidious	anger	0.691	insida
contemptuous	anger	0.690	malestima
lynch	anger	0.690	linĉo
temper	anger	0.688	humoro
terrible	anger	0.688	terura
disparage	anger	0.688	malestimi
lunatic	anger	0.688	frenezulo
bully	anger	0.688	ĉikananto
mad	anger	0.688	freneza
makesmemad	anger	0.688	farasmemad
infanticide	anger	0.688	infanmurdo
domination	anger	0.688	regado
peeved	anger	0.688	kolerigita
imprisonment	anger	0.688	malliberigo
curse	anger	0.688	malbeno
volatility	anger	0.687	volatilo
eradication	anger	0.685	ekstermado
eradicate	anger	0.682	ekstermi
tantrum	anger	0.682	kolerego
scoundrel	anger	0.682	kanajlo
devastate	anger	0.682	ruinigi
aggressively	anger	0.680	agreseme
agitation	anger	0.680	agitado
dictatorship	anger	0.676	diktatoreco
irritates	anger	0.676	iritas
profanity	anger	0.673	profanaĵo
shove	anger	0.672	ŝovi
nasty	anger	0.672	aĉa
shot	anger	0.672	pafis
cruelly	anger	0.672	kruele
shoot	anger	0.672	pafi
condemnation	anger	0.672	kondamno
crushed	anger	0.672	dispremita
aggravation	anger	0.672	pligraviĝo
poisonous	anger	0.672	venena
egregious	anger	0.672	flagra
crime	anger	0.672	krimo
corrupting	anger	0.672	korupti
dastardly	anger	0.672	aĉa
contempt	anger	0.672	malestimo
harmful	anger	0.672	malutila
expletive	anger	0.672	malhonoro
wreak	anger	0.672	difekto
maniac	anger	0.670	maniulo
cutthroat	anger	0.667	detranĉilo
enemy	anger	0.667	malamiko
hit	anger	0.667	batis
hateeveryone	anger	0.667	malamas ĉiujn
eruption	anger	0.667	erupcio
irritable	anger	0.667	irritable
odious	anger	0.667	abomeninda
shooting	anger	0.667	pafado
shout	anger	0.667	krii
aggressive	anger	0.667	agresema
kick	anger	0.667	piedbato
combat	anger	0.667	batalo
fight	anger	0.667	batali
punished	anger	0.662	punita
yell	anger	0.661	krii
ambush	anger	0.661	embusko
harass	anger	0.659	ĉikani
malignant	anger	0.656	maligna
aggressor	anger	0.656	agresanto
gore	anger	0.656	gore
destruction	anger	0.656	detruo
grudge	anger	0.656	rankoro
antichrist	anger	0.656	antikristo
incense	anger	0.656	incenso
expel	anger	0.656	forpeli
cranky	anger	0.653	freneza
slave	anger	0.652	sklavo
reprisal	anger	0.652	reprezalio
growl	anger	0.652	grumblo
animosity	anger	0.652	malamikeco
insurrection	anger	0.652	insurekcio
clashing	anger	0.652	interbatante
denounce	anger	0.652	denunci
offended	anger	0.652	ofendita
spank	anger	0.652	pugo
insulting	anger	0.652	insultante
growls	anger	0.649	grumblas
executioner	anger	0.644	ekzekutisto
twat	anger	0.644	twat
doomsday	anger	0.643	finjuĝo
obscenity	anger	0.641	obsceneco
accused	anger	0.641	akuzita
feud	anger	0.641	vendetto
daemon	anger	0.641	demono
havoc	anger	0.641	ĥaos
shackle	anger	0.641	kateno
inexcusable	anger	0.641	nepardonebla
indignant	anger	0.641	indigna
grr	anger	0.641	grr
expulsion	anger	0.641	elpelo
bombard	anger	0.641	bombardi
spat	anger	0.641	kraĉis
arson	anger	0.641	krimfajro
reprimand	anger	0.641	riproĉo
somad	anger	0.637	somad
frustrated	anger	0.636	frustrita
batter	anger	0.636	batanto
kicking	anger	0.636	piedbati
anarchy	anger	0.636	anarkio
spanking	anger	0.636	batado
glaring	anger	0.636	okulfrapa
suicidal	anger	0.636	memmortiga
disgusting	anger	0.636	abomeninda
wound	anger	0.636	vundo
hanging	anger	0.636	pendanta
poisoned	anger	0.636	venenita
combatant	anger	0.636	batalisto
wrecked	anger	0.633	ruinigita
inflict	anger	0.633	inflikti
grievous	anger	0.632	malĝoja
prosecute	anger	0.630	procesigi
agitated	anger	0.630	agitita
cheat	anger	0.630	trompi
swastika	anger	0.627	svastiko
injure	anger	0.625	vundi
indict	anger	0.625	kulpigi
scourge	anger	0.625	plago
provocation	anger	0.625	provoko
suffocation	anger	0.625	sufokado
strife	anger	0.625	malpaco
raid	anger	0.625	raid
enslaved	anger	0.625	sklavigita
cursing	anger	0.625	malbenante
defamatory	anger	0.625	kalumnia
harassing	anger	0.625	ĉikanante
thundering	anger	0.625	tondrante
betray	anger	0.625	perfidi
arsehole	anger	0.624	puztruo
theft	anger	0.621	ŝtelo
insane	anger	0.621	freneza
retaliation	anger	0.621	reprezalio
irritate	anger	0.621	inciti
deprivation	anger	0.621	senigo
fiend	anger	0.621	diablo
jerk	anger	0.621	ŝerco
convict	anger	0.621	kondamnito
cussed	anger	0.619	malbenis
turmoil	anger	0.618	tumulto
smack	anger	0.615	smack
retribution	anger	0.614	venĝo
rebellion	anger	0.609	ribelo
oppressor	anger	0.609	subpremanto
gang	anger	0.609	bando
slavery	anger	0.609	sklaveco
intolerable	anger	0.609	netolerebla
adverse	anger	0.609	malfavora
injurious	anger	0.609	malutila
twats	anger	0.609	twatoj
collision	anger	0.609	kolizio
battery	anger	0.609	kuirilaro
bitterly	anger	0.609	amare
antagonism	anger	0.609	antagonismo
irritability	anger	0.609	kolerego
disgraced	anger	0.608	malhonorita
diatribe	anger	0.606	diatribo
asshole	anger	0.606	pugo
blast	anger	0.606	eksplodo
bombardment	anger	0.606	bombado
irks	anger	0.606	irks
ranting	anger	0.606	ranking
revolution	anger	0.606	revolucio
thug	anger	0.606	brutulo
antagonistic	anger	0.606	antagonisma
irritating	anger	0.606	irritante
sickening	anger	0.606	malsaniga
discrimination	anger	0.606	diskriminacio
frustrate	anger	0.604	frustri
insult	anger	0.603	insulto
hurtful	anger	0.603	doloriga
oppression	anger	0.603	subpremo
manipulation	anger	0.603	manipulado
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigoto
tension	anger	0.603	streĉiteco
disgust	anger	0.602	abomeno
spite	anger	0.600	spite
intrusive	anger	0.598	trudema
harshness	anger	0.597	severeco
slur	anger	0.596	kalumnio
tempest	anger	0.594	tempesto
assail	anger	0.594	ataki
bitterness	anger	0.594	amareco
morbidity	anger	0.594	malsaneco
casualty	anger	0.594	viktimo
puncture	anger	0.594	piki
miserable	anger	0.594	mizera
inferno	anger	0.594	infero
invasion	anger	0.594	invado
storming	anger	0.594	ŝtormanta
wretch	anger	0.594	mizerulo
consternation	anger	0.592	konsterno
raving	anger	0.591	delirante
forcibly	anger	0.591	perforte
guillotine	anger	0.591	gilotino
guilty	anger	0.591	kulpa
depraved	anger	0.591	depravado
immoral	anger	0.591	malmorala
overpowering	anger	0.591	superforta
scare	anger	0.588	timigi
recalcitrant	anger	0.588	obstinaj
screwed	anger	0.588	ŝraŭbita
accursed	anger	0.588	malbenita
soannoyed	anger	0.588	tiel ĝenita
invader	anger	0.588	invadanto
jealousy	anger	0.587	ĵaluzo
indignation	anger	0.587	indigno
vexed	anger	0.586	ĉagrenita
confront	anger	0.582	alfronti
brute	anger	0.581	bruto
throttle	anger	0.579	akcelilo
slut	anger	0.578	malĉastulino
coup	anger	0.578	puĉo
blaze	anger	0.578	flami
pillage	anger	0.578	rabado
provoking	anger	0.578	provokanta
damage	anger	0.578	damaĝo
criminality	anger	0.578	krimeco
shutup	anger	0.578	silentu
lash	anger	0.578	vipo
conflict	anger	0.578	konflikto
contentious	anger	0.578	disputema
shutit	anger	0.578	shutit
wreck	anger	0.578	vrako
defiant	anger	0.578	defia
butcher	anger	0.578	buĉisto
incarceration	anger	0.578	malliberigo
revolver	anger	0.578	revolvero
bickering	anger	0.578	kverelado
yousuck	anger	0.578	yousuck
cancer	anger	0.577	kancero
discriminate	anger	0.576	diskriminacii
gun	anger	0.576	pafilo
frustration	anger	0.576	frustriĝo
gory	anger	0.576	sanga
pernicious	anger	0.576	malutila
dontmess	anger	0.576	ne fuŝi
blasphemy	anger	0.576	blasfemo
chaotic	anger	0.576	kaosa
grope	anger	0.576	palpi
alienation	anger	0.576	fremdiĝo
disturbance	anger	0.576	perturbo
condescension	anger	0.576	kondescendeco
standoff	anger	0.576	starigo
discord	anger	0.576	malkonkordo
friggen	anger	0.575	friggen
sneer	anger	0.574	rikani
death	anger	0.574	morto
lunacy	anger	0.574	frenezeco
scandalous	anger	0.574	skandala
oppressive	anger	0.574	subprema
jab	anger	0.574	piko
cursed	anger	0.574	malbenita
monstrosity	anger	0.574	monstreco
shit	anger	0.573	merdo
disparaging	anger	0.571	malestimante
slash	anger	0.571	oblikvo
unfair	anger	0.571	maljusta
gallows	anger	0.570	pendumiloj
escalate	anger	0.569	eskaladi
intolerant	anger	0.564	netolerema
lawlessness	anger	0.563	senleĝeco
beast	anger	0.562	besto
torpedo	anger	0.562	torpedo
malign	anger	0.562	malignaj
traitor	anger	0.562	perfidulo
frightful	anger	0.562	timiga
wrangling	anger	0.562	kverelado
slander	anger	0.562	kalumnii
bellows	anger	0.562	balgoj
retards	anger	0.562	malfruuloj
grouchy	anger	0.562	grumblema
derogatory	anger	0.562	malestima
bearish	anger	0.562	bajista
invade	anger	0.562	invadi
perdition	anger	0.562	pereo
arghh	anger	0.562	arghh
dreadful	anger	0.562	terura
bluddy	anger	0.562	bluddy
deceived	anger	0.562	trompita
glare	anger	0.562	brilego
taunt	anger	0.562	moki
dissension	anger	0.561	malkonsento
cross	anger	0.561	kruco
rave	anger	0.561	rave
grating	anger	0.561	krado
devastating	anger	0.561	ruiniga
fits	anger	0.561	konvenas
jeopardize	anger	0.561	endanĝerigi
shatter	anger	0.561	frakasi
idiots	anger	0.561	idiotoj
hurt	anger	0.561	vundita
thief	anger	0.561	ŝtelisto
uncontrollable	anger	0.561	neregebla
conflagration	anger	0.561	incendio
betrayal	anger	0.561	perfido
banshee	anger	0.561	banŝio
subjugation	anger	0.559	subigo
disturbed	anger	0.559	perturbita
stomped	anger	0.557	piedpremis
grab	anger	0.557	ekpreni
grievance	anger	0.556	plendo
ticked	anger	0.556	tiktakis
masochism	anger	0.556	masoĥismo
defiance	anger	0.552	defio
blackmail	anger	0.550	ĉantaĝo
offensive	anger	0.549	ofensivo
decry	anger	0.548	mallaŭdi
frustrates	anger	0.547	frustras
violation	anger	0.547	malobservo
confine	anger	0.547	limigi
misery	anger	0.547	mizero
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	malegaleco
punishment	anger	0.547	puno
rebel	anger	0.547	ribelulo
preposterous	anger	0.547	absurda
disgraceful	anger	0.547	malhonora
ire	anger	0.547	ire
deceive	anger	0.547	trompi
fustrated	anger	0.547	fustrata
sin	anger	0.547	peko
shrill	anger	0.547	akra
darkside	anger	0.547	malluma flanko
overbearing	anger	0.547	superrega
firearms	anger	0.547	pafiloj
stolen	anger	0.546	ŝtelita
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	antaŭjuĝo
tackle	anger	0.545	pritrakti
resentful	anger	0.545	indignema
heated	anger	0.545	varmigita
callous	anger	0.545	callous
conspirator	anger	0.545	konspiranto
ruined	anger	0.545	ruinigita
antagonist	anger	0.545	antagonisto
skirmish	anger	0.545	bataleto
menace	anger	0.545	minaco
annoyin	anger	0.545	ĝeni
foul	anger	0.545	malica
argument	anger	0.545	argumento
humiliate	anger	0.545	humiligi
wanker	anger	0.545	fuŝulo
adversary	anger	0.545	kontraŭulo
sting	anger	0.544	pikilo
entangled	anger	0.544	implikita
grumble	anger	0.544	grumble
robbery	anger	0.544	rabo
outcry	anger	0.544	kriego
resistance	anger	0.543	rezisto
irreconcilable	anger	0.543	nepacigebla
obstructive	anger	0.542	obstrukcia
dismay	anger	0.540	teruro
mob	anger	0.538	mafio
juststop	anger	0.537	nur haltu
badness	anger	0.536	malbono
ridicule	anger	0.534	ridindigi
incendiary	anger	0.533	incendiema
flares	anger	0.532	flamlumoj
twofaced	anger	0.531	duvizaĝa
reckless	anger	0.531	malzorgema
communism	anger	0.531	komunismo
allegation	anger	0.531	akuzo
prejudicial	anger	0.531	antaŭjuĝa
whip	anger	0.531	vipo
unbridled	anger	0.531	senbrida
degeneracy	anger	0.531	degenero
intruder	anger	0.531	entrudulo
belittle	anger	0.531	malgrandigi
confinement	anger	0.531	enfermo
dispute	anger	0.531	disputo
exacerbation	anger	0.531	exacerbacio
uprising	anger	0.531	ribelo
unjust	anger	0.530	maljusta
unjustifiable	anger	0.530	nepravigebla
perversion	anger	0.530	perverseco
bigoted	anger	0.530	bigota
fiesty	anger	0.530	fiera
offender	anger	0.530	krimulo
dictatorial	anger	0.530	diktatoraj
hassle	anger	0.530	ĝeno
dissonance	anger	0.530	disonanco
tackled	anger	0.530	pritraktita
renegade	anger	0.529	renegato
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	misfaro
hot	anger	0.529	varma
prison	anger	0.529	malliberejo
suicide	anger	0.521	memmortigo
annoy	anger	0.520	ĝeni
leavemealone	anger	0.517	lasu min sola
cretins	anger	0.516	kretenoj
depravity	anger	0.516	malvirteco
idiotic	anger	0.516	idioto
dishonest	anger	0.516	malhonesta
distrust	anger	0.516	malfido
broil	anger	0.516	rosti
grrr	anger	0.516	grrr
criticize	anger	0.516	kritiki
inimical	anger	0.516	malamika
tortious	anger	0.516	tortious
prisoner	anger	0.516	kaptito
treason	anger	0.516	perfido
divorce	anger	0.516	eksedziĝo
venting	anger	0.516	venting
duress	anger	0.516	devigo
disrespectful	anger	0.516	malrespekta
poaching	anger	0.515	ŝtelĉasado
scold	anger	0.515	riproĉi
poachers	anger	0.515	ŝtelĉasistoj
pow	anger	0.515	pow
hangry	anger	0.515	malsata
argumentation	anger	0.515	argumentado
frustrating	anger	0.515	frustrante
unkind	anger	0.515	malafabla
roar	anger	0.515	muĝi
coercion	anger	0.515	devigo
unforgiving	anger	0.515	nepardonantaj
grump	anger	0.515	grumblon
bile	anger	0.515	galo
unleash	anger	0.515	liberigi
chaos	anger	0.515	kaoso
victimized	anger	0.515	viktimigita
jerks	anger	0.515	ŝercoj
tussle	anger	0.514	interbatiĝo
bane	anger	0.511	malbeno
accusation	anger	0.510	akuzo
enmity	anger	0.510	malamikeco
repudiation	anger	0.510	repudio
banish	anger	0.509	forpeli
disfigured	anger	0.508	malbeligita
storm	anger	0.507	ŝtormo
crazy	anger	0.500	freneza
hammering	anger	0.500	martelado
defy	anger	0.500	defii
antithesis	anger	0.500	antitezo
scoff	anger	0.500	moki
anguish	anger	0.500	angoro
confined	anger	0.500	enfermita
fear	anger	0.500	timo
bout	anger	0.500	bout
unruly	anger	0.500	neregebla
delusional	anger	0.500	delira
obstruct	anger	0.500	obstrukci
possessed	anger	0.500	posedita
injustice	anger	0.500	maljusteco
fervor	anger	0.500	fervoro
spear	anger	0.500	lanco
derision	anger	0.500	mokado
intractable	anger	0.500	nesolvebla
reject	anger	0.500	malakcepti
dominate	anger	0.500	regi
ordeal	anger	0.500	suferado
banished	anger	0.500	forigita
rejects	anger	0.500	malakceptas
shun	anger	0.500	evitas
brunt	anger	0.500	ŝarĝo
derogation	anger	0.500	derogado
frenzied	anger	0.500	freneza
animus	anger	0.500	animus
suppression	anger	0.500	subpremado
malpractice	anger	0.500	mispraktiko
brazen	anger	0.500	senhonta
foaming	anger	0.500	ŝaŭmanta
disrupting	anger	0.500	interrompanta
nobodycares	anger	0.500	neniu zorgas
patronising	anger	0.500	patronanta
getoveryourself	anger	0.495	retrovi vin mem
toughness	anger	0.492	forteco
stupidpeople	anger	0.492	stultaj homoj
madness	anger	0.491	frenezo
sinful	anger	0.491	pekema
avarice	anger	0.490	avareco
oppress	anger	0.490	subpremi
cutting	anger	0.485	tranĉante
anathema	anger	0.485	anatemo
annoyed	anger	0.485	ĝenita
dissident	anger	0.485	disidento
demand	anger	0.485	postulo
usurp	anger	0.485	uzurpi
claw	anger	0.485	ungego
alienate	anger	0.485	fremdigi
infraction	anger	0.485	malobservo
avenger	anger	0.485	venĝanto
revoke	anger	0.485	revoki
smuggler	anger	0.485	kontrabandisto
abolish	anger	0.485	aboli
fricking	anger	0.485	friki
stayaway	anger	0.485	resti for
pervert	anger	0.485	perverso
disservice	anger	0.485	misservo
disobedient	anger	0.485	malobeema
incest	anger	0.485	incesto
complaint	anger	0.485	plendo
disapproved	anger	0.485	malaprobita
inhuman	anger	0.485	malhoma
mocking	anger	0.484	mokante
penalty	anger	0.484	puno
renounce	anger	0.484	rezigni
restrain	anger	0.484	reteni
upheaval	anger	0.484	malordo
deceit	anger	0.484	trompo
obnoxious	anger	0.484	abomena
imprisoned	anger	0.484	malliberigita
strained	anger	0.484	streĉita
blame	anger	0.484	kulpo
oust	anger	0.484	elpeli
litigious	anger	0.484	procesiĝema
rivalry	anger	0.484	rivaleco
sucker	anger	0.484	suĉulo
opposed	anger	0.484	kontraŭstaris
thresh	anger	0.484	draŝi
disgrace	anger	0.484	malhonoro
suspicious	anger	0.484	suspektinda
turbulence	anger	0.483	turbuleco
pound	anger	0.481	funto
coldness	anger	0.477	malvarmeco
ungrateful	anger	0.472	nedankema
stoopid	anger	0.471	klinita
battalion	anger	0.471	bataliono
feudalism	anger	0.470	feŭdismo
hostage	anger	0.470	ostaĝo
annoying	anger	0.470	ĝena
dispossessed	anger	0.470	senposedigita
subversion	anger	0.470	subversio
friction	anger	0.470	frotado
jealous	anger	0.470	ĵaluza
adversity	anger	0.470	mizero
infidel	anger	0.470	malfidela
gall	anger	0.470	galo
accuser	anger	0.470	akuzanto
ram	anger	0.470	virŝafo
armament	anger	0.470	armilaro
thump	anger	0.469	frapu
dislike	anger	0.469	malŝati
steal	anger	0.469	ŝteli
backoff	anger	0.469	backoff
stifled	anger	0.469	sufokita
incite	anger	0.469	inciti
distress	anger	0.469	mizero
angermanagement	anger	0.469	kolerego
selfish	anger	0.469	egoisma
injury	anger	0.469	vundo
exile	anger	0.469	ekzilo
insanity	anger	0.469	frenezo
offense	anger	0.469	ofendo
objection	anger	0.469	obĵeto
smother	anger	0.469	sufoki
disruption	anger	0.469	interrompo
intolerance	anger	0.469	maltoleremo
disobey	anger	0.469	malobei
selfishness	anger	0.469	egoismo
recidivism	anger	0.469	recidiveco
subversive	anger	0.469	subfosa
huff	anger	0.469	huf
plunder	anger	0.469	rabi
opposition	anger	0.469	opozicio
complain	anger	0.469	plendi
perpetrator	anger	0.469	kriminto
simmer	anger	0.469	boligu
areyoukidding	anger	0.468	Ĉu vi ŝercas
mug	anger	0.467	mug
agony	anger	0.465	agonio
arrogant	anger	0.461	aroganta
sux	anger	0.456	sux
vent	anger	0.456	vent
elimination	anger	0.456	elimino
picketing	anger	0.456	piketado
haughty	anger	0.456	malhumila
grated	anger	0.455	kradrita
flagrant	anger	0.455	flagra
busted	anger	0.455	rompita
crabby	anger	0.455	crabby
