English Word	Emotion	Emotion-Intensity-Score	Kinyarwanda Word
bitch	anger	0.803	igituba
fights	anger	0.803	imirwano
ruthless	anger	0.797	umugome
villainous	anger	0.797	umugome
destructive	anger	0.797	gusenya
slap	anger	0.791	urushyi
riot	anger	0.788	imvururu
growthefuckup	anger	0.788	gukura
punishing	anger	0.788	guhana
slaughterhouse	anger	0.788	ibagiro
yelling	anger	0.788	induru
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	yarimbuwe
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	kwihorera
manslaughter	anger	0.783	ubwicanyi
clash	anger	0.783	amakimbirane
quarrel	anger	0.781	gutongana
bloody	anger	0.781	maraso
hellish	anger	0.781	ikuzimu
sinister	anger	0.781	sinister
loath	anger	0.781	urwango
detonation	anger	0.781	guturika
accusing	anger	0.779	gushinja
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	umuhemu
madder	anger	0.773	umusazi
horrific	anger	0.773	biteye ubwoba
revulsion	anger	0.773	kwanga
retaliate	anger	0.773	kwihorera
scorn	anger	0.769	agasuzuguro
bomb	anger	0.766	igisasu
deplorable	anger	0.766	birababaje
devastation	anger	0.765	gusenya
anarchist	anger	0.765	anarchiste
firestorm	anger	0.765	inkubi y'umuyaga
resent	anger	0.765	inzika
contemptible	anger	0.764	agasuzuguro
shittest	anger	0.760	shittest
rant	anger	0.758	rant
cruel	anger	0.758	ubugome
deadly	anger	0.758	byica
smash	anger	0.758	kumenagura
soangry	anger	0.758	soangry
outburst	anger	0.757	kurakara
snarl	anger	0.754	guswera
profane	anger	0.750	ibitutsi
revolting	anger	0.750	kwigomeka
aggravating	anger	0.750	kwiyongera
horror	anger	0.750	ubwoba
despise	anger	0.750	gusuzugura
offend	anger	0.750	kubabaza
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ububi
crazed	anger	0.750	yasaze
douchebags	anger	0.750	imifuka
growling	anger	0.750	gutontoma
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	induru
threat	anger	0.742	iterabwoba
erupt	anger	0.742	kuruka
horrible	anger	0.742	biteye ubwoba
molestation	anger	0.742	gusambanywa
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	urugomo
bastards	anger	0.741	bastard
revenge	anger	0.738	kwihorera
menacing	anger	0.735	biteye ubwoba
crushing	anger	0.735	kumenagura
damn	anger	0.735	ndumiwe
catastrophe	anger	0.735	ibyago
demon	anger	0.735	umudayimoni
argue	anger	0.734	gutongana
persecute	anger	0.734	gutoteza
deplore	anger	0.734	kwanga
flog	anger	0.734	flog
fedup	anger	0.734	guhaga
riotous	anger	0.734	imvururu
vehement	anger	0.734	bikabije
revolt	anger	0.734	kwigomeka
warfare	anger	0.734	intambara
thrash	anger	0.734	shash
altercation	anger	0.729	gutongana
warlike	anger	0.728	intambara
shitday	anger	0.727	shitday
mutiny	anger	0.727	kwigomeka
castrate	anger	0.727	castrate
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	malvolent
strike	anger	0.721	imyigaragambyo
disaster	anger	0.721	ibiza
disastrous	anger	0.720	ibyago
bastarding	anger	0.719	bastarding
treachery	anger	0.719	ubuhemu
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	ifarashi
slay	anger	0.719	kwica
disdain	anger	0.719	gusuzugura
aggravates	anger	0.719	byongera
brutal	anger	0.719	ubugome
scorching	anger	0.719	gutwika
devil	anger	0.719	satani
madden	anger	0.719	umusazi
spiteful	anger	0.719	nubwo
scream	anger	0.719	induru
choke	anger	0.719	kuniga
vermin	anger	0.719	vermin
tumult	anger	0.719	imvururu
criminal	anger	0.714	inkozi y'ibibi
mangle	anger	0.714	mangle
anarchism	anger	0.714	Anarchism
mutilation	anger	0.714	gutemagurwa
denunciation	anger	0.713	kwamaganwa
punch	anger	0.713	ingumi
virulence	anger	0.712	virusi
fatal	anger	0.712	byica
hurting	anger	0.712	kubabaza
crucifixion	anger	0.712	kubambwa
dontlikeyou	anger	0.712	dontlikeyou
blasphemous	anger	0.712	gutukana
holocaust	anger	0.712	itsembabwoko
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	barwanye
deranged	anger	0.706	yataye umutwe
irritated	anger	0.706	kurakara
atrocious	anger	0.706	amarorerwa
evil	anger	0.706	ikibi
aggravated	anger	0.703	bikabije
intimidation	anger	0.703	iterabwoba
dicks	anger	0.703	Dicks
assassin	anger	0.703	umwicanyi
scolding	anger	0.703	gutukana
persecution	anger	0.703	gutotezwa
slayer	anger	0.703	umwicanyi
kidnap	anger	0.703	gushimuta
aggression	anger	0.702	igitero
armed	anger	0.700	bitwaje imbunda
battle	anger	0.697	intambara
poison	anger	0.697	uburozi
snarling	anger	0.697	gutontoma
venom	anger	0.697	uburozi
disgruntled	anger	0.693	batishimiye
resentment	anger	0.691	inzika
assailant	anger	0.691	uwagabye igitero
insidious	anger	0.691	amayeri
contemptuous	anger	0.690	agasuzuguro
lynch	anger	0.690	lynch
temper	anger	0.688	uburakari
terrible	anger	0.688	biteye ubwoba
disparage	anger	0.688	gusuzugura
lunatic	anger	0.688	umusazi
bully	anger	0.688	gutoteza
mad	anger	0.688	umusazi
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	infantide
domination	anger	0.688	kuganza
peeved	anger	0.688	peeved
imprisonment	anger	0.688	igifungo
curse	anger	0.688	umuvumo
volatility	anger	0.687	guhindagurika
eradication	anger	0.685	kurandura
eradicate	anger	0.682	kurandura
tantrum	anger	0.682	kurakara
scoundrel	anger	0.682	umututsi
devastate	anger	0.682	gusenya
aggressively	anger	0.680	bikabije
agitation	anger	0.680	imyigaragambyo
dictatorship	anger	0.676	igitugu
irritates	anger	0.676	irakara
profanity	anger	0.673	gutukana
shove	anger	0.672	shove
nasty	anger	0.672	birababaje
shot	anger	0.672	kurasa
cruelly	anger	0.672	ubugome
shoot	anger	0.672	kurasa
condemnation	anger	0.672	gucirwaho iteka
crushed	anger	0.672	yajanjaguwe
aggravation	anger	0.672	kwiyongera
poisonous	anger	0.672	uburozi
egregious	anger	0.672	urugero
crime	anger	0.672	icyaha
corrupting	anger	0.672	ruswa
dastardly	anger	0.672	dastardly
contempt	anger	0.672	agasuzuguro
harmful	anger	0.672	byangiza
expletive	anger	0.672	birasobanutse
wreak	anger	0.672	wreak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	umupaka
enemy	anger	0.667	umwanzi
hit	anger	0.667	hit
hateeveryone	anger	0.667	hateeveryone
eruption	anger	0.667	kuruka
irritable	anger	0.667	kurakara
odious	anger	0.667	odious
shooting	anger	0.667	kurasa
shout	anger	0.667	induru
aggressive	anger	0.667	umunyamahane
kick	anger	0.667	gutera
combat	anger	0.667	kurwana
fight	anger	0.667	kurwana
punished	anger	0.662	yahaniwe
yell	anger	0.661	induru
ambush	anger	0.661	ambush
harass	anger	0.659	gutoteza
malignant	anger	0.656	nabi
aggressor	anger	0.656	igitero
gore	anger	0.656	gore
destruction	anger	0.656	kurimbuka
grudge	anger	0.656	inzika
antichrist	anger	0.656	antikristo
incense	anger	0.656	imibavu
expel	anger	0.656	kwirukana
cranky	anger	0.653	cranky
slave	anger	0.652	imbata
reprisal	anger	0.652	kwihorera
growl	anger	0.652	gutontoma
animosity	anger	0.652	inzangano
insurrection	anger	0.652	kwigomeka
clashing	anger	0.652	amakimbirane
denounce	anger	0.652	kwamagana
offended	anger	0.652	birababaje
spank	anger	0.652	inkoni
insulting	anger	0.652	gutukana
growls	anger	0.649	gutontoma
executioner	anger	0.644	uwishe
twat	anger	0.644	twat
doomsday	anger	0.643	umunsi w'imperuka
obscenity	anger	0.641	amahano
accused	anger	0.641	ushinjwa
feud	anger	0.641	amakimbirane
daemon	anger	0.641	daemon
havoc	anger	0.641	akaduruvayo
shackle	anger	0.641	ingoyi
inexcusable	anger	0.641	bidafite ishingiro
indignant	anger	0.641	ararakaye
grr	anger	0.641	grr
expulsion	anger	0.641	kwirukanwa
bombard	anger	0.641	bombard
spat	anger	0.641	amacandwe
arson	anger	0.641	gutwika
reprimand	anger	0.641	gucyaha
somad	anger	0.637	somad
frustrated	anger	0.636	gucika intege
batter	anger	0.636	batter
kicking	anger	0.636	gukubita
anarchy	anger	0.636	anarchy
spanking	anger	0.636	gukubita
glaring	anger	0.636	urumuri
suicidal	anger	0.636	kwiyahura
disgusting	anger	0.636	biteye ishozi
wound	anger	0.636	igikomere
hanging	anger	0.636	kumanika
poisoned	anger	0.636	uburozi
combatant	anger	0.636	umurwanyi
wrecked	anger	0.633	yamenetse
inflict	anger	0.633	gutera
grievous	anger	0.632	birababaje
prosecute	anger	0.630	gukurikirana
agitated	anger	0.630	bahagaritse umutima
cheat	anger	0.630	kuriganya
swastika	anger	0.627	swastika
injure	anger	0.625	gukomeretsa
indict	anger	0.625	ibirego
scourge	anger	0.625	icyorezo
provocation	anger	0.625	ubushotoranyi
suffocation	anger	0.625	guhumeka
strife	anger	0.625	amakimbirane
raid	anger	0.625	igitero
enslaved	anger	0.625	imbata
cursing	anger	0.625	gutukana
defamatory	anger	0.625	gusebanya
harassing	anger	0.625	gutoteza
thundering	anger	0.625	inkuba
betray	anger	0.625	guhemukira
arsehole	anger	0.624	arsehole
theft	anger	0.621	ubujura
insane	anger	0.621	umusazi
retaliation	anger	0.621	kwihorera
irritate	anger	0.621	kurakara
deprivation	anger	0.621	kwamburwa
fiend	anger	0.621	fiend
jerk	anger	0.621	jerk
convict	anger	0.621	uwahamwe n'icyaha
cussed	anger	0.619	cussed
turmoil	anger	0.618	imvururu
smack	anger	0.615	smack
retribution	anger	0.614	ibihano
rebellion	anger	0.609	kwigomeka
oppressor	anger	0.609	umukandamiza
gang	anger	0.609	agatsiko
slavery	anger	0.609	ubucakara
intolerable	anger	0.609	kutihanganirwa
adverse	anger	0.609	nabi
injurious	anger	0.609	ni bibi
twats	anger	0.609	twats
collision	anger	0.609	kugongana
battery	anger	0.609	bateri
bitterly	anger	0.609	bikabije
antagonism	anger	0.609	Kurwanya
irritability	anger	0.609	kurakara
disgraced	anger	0.608	biteye isoni
diatribe	anger	0.606	diatribe
asshole	anger	0.606	inkweto
blast	anger	0.606	guturika
bombardment	anger	0.606	ibisasu
irks	anger	0.606	irks
ranting	anger	0.606	gutaka
revolution	anger	0.606	impinduramatwara
thug	anger	0.606	thug
antagonistic	anger	0.606	Kurwanya
irritating	anger	0.606	kurakara
sickening	anger	0.606	kurwara
discrimination	anger	0.606	ivangura
frustrate	anger	0.604	gucika intege
insult	anger	0.603	gutukana
hurtful	anger	0.603	birababaje
oppression	anger	0.603	gukandamizwa
manipulation	anger	0.603	manipulation
tiredofit	anger	0.603	Kurambirwa
bigot	anger	0.603	bigot
tension	anger	0.603	impagarara
disgust	anger	0.602	amahano
spite	anger	0.600	nubwo bimeze bityo
intrusive	anger	0.598	kwinjira
harshness	anger	0.597	ubukana
slur	anger	0.596	gusebanya
tempest	anger	0.594	inkubi y'umuyaga
assail	anger	0.594	igitero
bitterness	anger	0.594	umururazi
morbidity	anger	0.594	uburwayi
casualty	anger	0.594	impanuka
puncture	anger	0.594	gucumita
miserable	anger	0.594	birababaje
inferno	anger	0.594	inferno
invasion	anger	0.594	igitero
storming	anger	0.594	serwakira
wretch	anger	0.594	ishyano
consternation	anger	0.592	ubwoba
raving	anger	0.591	raving
forcibly	anger	0.591	ku gahato
guillotine	anger	0.591	guillotine
guilty	anger	0.591	icyaha
depraved	anger	0.591	yangiritse
immoral	anger	0.591	ubwiyandarike
overpowering	anger	0.591	imbaraga nyinshi
scare	anger	0.588	ubwoba
recalcitrant	anger	0.588	gusubiramo
screwed	anger	0.588	yagoramye
accursed	anger	0.588	yavumwe
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	igitero
jealousy	anger	0.587	ishyari
indignation	anger	0.587	uburakari
vexed	anger	0.586	birababaje
confront	anger	0.582	guhangana
brute	anger	0.581	brute
throttle	anger	0.579	kubitsa
slut	anger	0.578	igituba
coup	anger	0.578	guhirika ubutegetsi
blaze	anger	0.578	umuriro
pillage	anger	0.578	ibisambo
provoking	anger	0.578	ubushotoranyi
damage	anger	0.578	ibyangiritse
criminality	anger	0.578	ubugizi bwa nabi
shutup	anger	0.578	kuzimya
lash	anger	0.578	lash
conflict	anger	0.578	amakimbirane
contentious	anger	0.578	amakimbirane
shutit	anger	0.578	shutit
wreck	anger	0.578	impanuka
defiant	anger	0.578	kwanga
butcher	anger	0.578	inyama
incarceration	anger	0.578	gufungwa
revolver	anger	0.578	reverver
bickering	anger	0.578	guterana amagambo
yousuck	anger	0.578	yousuck
cancer	anger	0.577	kanseri
discriminate	anger	0.576	kuvangura
gun	anger	0.576	imbunda
frustration	anger	0.576	gucika intege
gory	anger	0.576	gory
pernicious	anger	0.576	birababaje
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	gutukana
chaotic	anger	0.576	akajagari
grope	anger	0.576	grope
alienation	anger	0.576	kwitandukanya
disturbance	anger	0.576	guhungabana
condescension	anger	0.576	condescension
standoff	anger	0.576	guhagarara
discord	anger	0.576	umwiryane
friggen	anger	0.575	friggen
sneer	anger	0.574	gusebanya
death	anger	0.574	urupfu
lunacy	anger	0.574	Ubusazi
scandalous	anger	0.574	urukozasoni
oppressive	anger	0.574	gukandamiza
jab	anger	0.574	jab
cursed	anger	0.574	havumwe
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	shit
disparaging	anger	0.571	gutesha agaciro
slash	anger	0.571	slash
unfair	anger	0.571	akarengane
gallows	anger	0.570	igiti
escalate	anger	0.569	kwiyongera
intolerant	anger	0.564	kutoroherana
lawlessness	anger	0.563	kutubahiriza amategeko
beast	anger	0.562	inyamaswa
torpedo	anger	0.562	torpedo
malign	anger	0.562	nabi
traitor	anger	0.562	umugambanyi
frightful	anger	0.562	ubwoba
wrangling	anger	0.562	gutongana
slander	anger	0.562	gusebanya
bellows	anger	0.562	inzogera
retards	anger	0.562	retard
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	gusebanya
bearish	anger	0.562	id
invade	anger	0.562	gutera
perdition	anger	0.562	kurimbuka
arghh	anger	0.562	arghh
dreadful	anger	0.562	biteye ubwoba
bluddy	anger	0.562	bluddy
deceived	anger	0.562	yashutswe
glare	anger	0.562	urumuri
taunt	anger	0.562	gutuka
dissension	anger	0.561	gutandukana
cross	anger	0.561	umusaraba
rave	anger	0.561	rave
grating	anger	0.561	Grating
devastating	anger	0.561	birababaje
fits	anger	0.561	birahuye
jeopardize	anger	0.561	byugarije
shatter	anger	0.561	kumeneka
idiots	anger	0.561	injiji
hurt	anger	0.561	kubabaza
thief	anger	0.561	umujura
uncontrollable	anger	0.561	kugenzurwa
conflagration	anger	0.561	gutwika
betrayal	anger	0.561	ubuhemu
banshee	anger	0.561	banshee
subjugation	anger	0.559	kuganduka
disturbed	anger	0.559	guhungabana
stomped	anger	0.557	yakandagiye
grab	anger	0.557	fata
grievance	anger	0.556	kurenganurwa
ticked	anger	0.556	tick
masochism	anger	0.556	maschism
defiance	anger	0.552	kutumvira
blackmail	anger	0.550	gusebanya
offensive	anger	0.549	birababaje
decry	anger	0.548	kubeshya
frustrates	anger	0.547	birababaje
violation	anger	0.547	kurenga ku mategeko
confine	anger	0.547	kugarukira
misery	anger	0.547	amakuba
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ubudasa
punishment	anger	0.547	igihano
rebel	anger	0.547	inyeshyamba
preposterous	anger	0.547	kubeshya
disgraceful	anger	0.547	biteye isoni
ire	anger	0.547	ire
deceive	anger	0.547	kubeshya
fustrated	anger	0.547	Yarakaye
sin	anger	0.547	icyaha
shrill	anger	0.547	shrill
darkside	anger	0.547	umwijima
overbearing	anger	0.547	kurenza urugero
firearms	anger	0.547	imbunda
stolen	anger	0.546	yibwe
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	urwikekwe
tackle	anger	0.545	gukemura
resentful	anger	0.545	inzika
heated	anger	0.545	ashyushye
callous	anger	0.545	umuhamagaro
conspirator	anger	0.545	umugambi mubisha
ruined	anger	0.545	yangiritse
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	guterana amagambo
menace	anger	0.545	menace
annoyin	anger	0.545	birababaje
foul	anger	0.545	nabi
argument	anger	0.545	impaka
humiliate	anger	0.545	agasuzuguro
wanker	anger	0.545	wanker
adversary	anger	0.545	umwanzi
sting	anger	0.544	urubingo
entangled	anger	0.544	byangiritse
grumble	anger	0.544	kwitotomba
robbery	anger	0.544	ubujura
outcry	anger	0.544	induru
resistance	anger	0.543	kurwanywa
irreconcilable	anger	0.543	bidashoboka
obstructive	anger	0.542	inzitizi
dismay	anger	0.540	ubwoba
mob	anger	0.538	agatsiko
juststop	anger	0.537	juststop
badness	anger	0.536	ububi
ridicule	anger	0.534	agashinyaguro
incendiary	anger	0.533	gutwika
flares	anger	0.532	Umuriro
twofaced	anger	0.531	twofaced
reckless	anger	0.531	uburangare
communism	anger	0.531	ubukomunisiti
allegation	anger	0.531	Ikirego
prejudicial	anger	0.531	urwikekwe
whip	anger	0.531	ikiboko
unbridled	anger	0.531	idahwitse
degeneracy	anger	0.531	kwangirika
intruder	anger	0.531	umucengezi
belittle	anger	0.531	gupfobya
confinement	anger	0.531	kwifungisha
dispute	anger	0.531	amakimbirane
exacerbation	anger	0.531	kwiyongera
uprising	anger	0.531	imyigaragambyo
unjust	anger	0.530	Kurenganya
unjustifiable	anger	0.530	bidafite ishingiro
perversion	anger	0.530	kugoreka
bigoted	anger	0.530	bigoted
fiesty	anger	0.530	fiesty
offender	anger	0.530	uwakoze icyaha
dictatorial	anger	0.530	igitugu
hassle	anger	0.530	ingorane
dissonance	anger	0.530	dissonance
tackled	anger	0.530	byakemuwe
renegade	anger	0.529	kwigomeka
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	ubwinjiracyaha
hot	anger	0.529	ashyushye
prison	anger	0.529	gereza
suicide	anger	0.521	kwiyahura
annoy	anger	0.520	birababaje
leavemealone	anger	0.517	Yamazaki
cretins	anger	0.516	cretins
depravity	anger	0.516	ububi
idiotic	anger	0.516	injiji
dishonest	anger	0.516	ubuhemu
distrust	anger	0.516	kutizerana
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	kunegura
inimical	anger	0.516	idasanzwe
tortious	anger	0.516	iyicarubozo
prisoner	anger	0.516	imfungwa
treason	anger	0.516	ubuhemu
divorce	anger	0.516	gutandukana
venting	anger	0.516	guhumeka
duress	anger	0.516	igihe
disrespectful	anger	0.516	kutubaha
poaching	anger	0.515	guhiga
scold	anger	0.515	gutukwa
poachers	anger	0.515	ba rushimusi
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	impaka
frustrating	anger	0.515	birababaje
unkind	anger	0.515	ineza
roar	anger	0.515	gutontoma
coercion	anger	0.515	agahato
unforgiving	anger	0.515	kutababarira
grump	anger	0.515	grump
bile	anger	0.515	umura
unleash	anger	0.515	kurekura
chaos	anger	0.515	akajagari
victimized	anger	0.515	abahohotewe
jerks	anger	0.515	jerks
tussle	anger	0.514	guterana amagambo
bane	anger	0.511	bane
accusation	anger	0.510	ibirego
enmity	anger	0.510	inzangano
repudiation	anger	0.510	kwangwa
banish	anger	0.509	kwirukana
disfigured	anger	0.508	Byahinduwe
storm	anger	0.507	umuyaga
crazy	anger	0.500	umusazi
hammering	anger	0.500	inyundo
defy	anger	0.500	gusuzugura
antithesis	anger	0.500	antithesis
scoff	anger	0.500	urwenya
anguish	anger	0.500	umubabaro
confined	anger	0.500	afunzwe
fear	anger	0.500	ubwoba
bout	anger	0.500	bout
unruly	anger	0.500	bidahwitse
delusional	anger	0.500	kwibeshya
obstruct	anger	0.500	inzitizi
possessed	anger	0.500	gutunga
injustice	anger	0.500	akarengane
fervor	anger	0.500	ishyaka
spear	anger	0.500	icumu
derision	anger	0.500	urwenya
intractable	anger	0.500	bidashoboka
reject	anger	0.500	kwanga
dominate	anger	0.500	biganje
ordeal	anger	0.500	ibigeragezo
banished	anger	0.500	birukanwe
rejects	anger	0.500	yanze
shun	anger	0.500	wirinde
brunt	anger	0.500	brunt
derogation	anger	0.500	gusebanya
frenzied	anger	0.500	frenzied
animus	anger	0.500	animus
suppression	anger	0.500	guhagarika
malpractice	anger	0.500	imyitwarire mibi
brazen	anger	0.500	brazen
foaming	anger	0.500	ifuro
disrupting	anger	0.500	guhungabana
nobodycares	anger	0.500	ntawe ubyitayeho
patronising	anger	0.500	kugoboka
getoveryourself	anger	0.495	Kubona
toughness	anger	0.492	gukomera
stupidpeople	anger	0.492	abapfu
madness	anger	0.491	ibisazi
sinful	anger	0.491	icyaha
avarice	anger	0.490	avarice
oppress	anger	0.490	gukandamiza
cutting	anger	0.485	gukata
anathema	anger	0.485	anatema
annoyed	anger	0.485	kurakara
dissident	anger	0.485	abatavuga rumwe n’ubutegetsi
demand	anger	0.485	icyifuzo
usurp	anger	0.485	usurp
claw	anger	0.485	inzara
alienate	anger	0.485	kwitandukanya
infraction	anger	0.485	amakosa
avenger	anger	0.485	kwihorera
revoke	anger	0.485	gukuraho
smuggler	anger	0.485	magendu
abolish	anger	0.485	gukuraho
fricking	anger	0.485	fricking
stayaway	anger	0.485	guma guma
pervert	anger	0.485	kugoreka
disservice	anger	0.485	kubi
disobedient	anger	0.485	kutumvira
incest	anger	0.485	kuryamana
complaint	anger	0.485	ikirego
disapproved	anger	0.485	ntibyemewe
inhuman	anger	0.485	ubumuntu
mocking	anger	0.484	gushinyagura
penalty	anger	0.484	igihano
renounce	anger	0.484	kureka
restrain	anger	0.484	irinde
upheaval	anger	0.484	imvururu
deceit	anger	0.484	uburiganya
obnoxious	anger	0.484	biteye isoni
imprisoned	anger	0.484	bafunzwe
strained	anger	0.484	kunanirwa
blame	anger	0.484	amakosa
oust	anger	0.484	oust
litigious	anger	0.484	kuburana
rivalry	anger	0.484	guhangana
sucker	anger	0.484	guswera
opposed	anger	0.484	yarwanyije
thresh	anger	0.484	inzitizi
disgrace	anger	0.484	amahano
suspicious	anger	0.484	amakenga
turbulence	anger	0.483	imivurungano
pound	anger	0.481	pound
coldness	anger	0.477	ubukonje
ungrateful	anger	0.472	indashima
stoopid	anger	0.471	stoopid
battalion	anger	0.471	bataillon
feudalism	anger	0.470	feodalism
hostage	anger	0.470	ingwate
annoying	anger	0.470	birababaje
dispossessed	anger	0.470	kwamburwa
subversion	anger	0.470	guhirika
friction	anger	0.470	guterana amagambo
jealous	anger	0.470	ishyari
adversity	anger	0.470	ingorane
infidel	anger	0.470	umukafiri
gall	anger	0.470	gall
accuser	anger	0.470	umushinja
ram	anger	0.470	impfizi y'intama
armament	anger	0.470	intwaro
thump	anger	0.469	thump
dislike	anger	0.469	kwanga
steal	anger	0.469	kwiba
backoff	anger	0.469	gusubira inyuma
stifled	anger	0.469	yinangiye
incite	anger	0.469	gushishikariza
distress	anger	0.469	amarushwa
angermanagement	anger	0.469	Angermanagement
