English Word	Emotion	Emotion-Intensity-Score	Zulu Word
aggravates	anger	0.719	kubhebhethekisa
brutal	anger	0.719	enonya
scorching	anger	0.719	ezishisayo
devil	anger	0.719	usathane
madden	anger	0.719	uhlanya
spiteful	anger	0.719	ononya
scream	anger	0.719	memeza
choke	anger	0.719	kuminyanisa
vermin	anger	0.719	izilokazane
tumult	anger	0.719	isiphithiphithi
criminal	anger	0.714	isigebengu
mangle	anger	0.714	umhluzi
anarchism	anger	0.714	i-anarchism
mutilation	anger	0.714	ukucwiywa kwezitho
denunciation	anger	0.713	ukusola
punch	anger	0.713	isibhakela
virulence	anger	0.712	ubungozi
fatal	anger	0.712	ebulalayo
hurting	anger	0.712	okulimazayo
crucifixion	anger	0.712	ukubethelwa
dontlikeyou	anger	0.712	angikuthandi
blasphemous	anger	0.712	ohlambalazayo
holocaust	anger	0.712	ukuqothulwa kwesizwe
dumbasses	anger	0.712	amadumba
battled	anger	0.712	walwa
deranged	anger	0.706	udidekile
irritated	anger	0.706	ukucasuka
atrocious	anger	0.706	enonya
evil	anger	0.706	okubi
aggravated	anger	0.703	kubi
intimidation	anger	0.703	ukwesatshiswa
dicks	anger	0.703	ama-dicks
assassin	anger	0.703	umbulali
scolding	anger	0.703	ukuthethisa
persecution	anger	0.703	ukushushiswa
slayer	anger	0.703	umbulali
kidnap	anger	0.703	thumba
aggression	anger	0.702	ulaka
armed	anger	0.700	ehlomile
battle	anger	0.697	impi
poison	anger	0.697	ubuthi
snarling	anger	0.697	eklabalasa
venom	anger	0.697	ubuthi
disgruntled	anger	0.693	enokunganeliseki
resentment	anger	0.691	ukucasuka
assailant	anger	0.691	umhlaseli
insidious	anger	0.691	ngobuqili
contemptuous	anger	0.690	odelelayo
lynch	anger	0.690	i-lynch
temper	anger	0.688	ukuthukuthela
terrible	anger	0.688	kabi
disparage	anger	0.688	ukweyisa
lunatic	anger	0.688	uhlanya
bully	anger	0.688	isiqhwaga
mad	anger	0.688	hlanya
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	ukubulawa kwezinsana
domination	anger	0.688	ukubusa
peeved	anger	0.688	bheka
imprisonment	anger	0.688	ukuboshwa
curse	anger	0.688	isiqalekiso
volatility	anger	0.687	ukuntengantenga
eradication	anger	0.685	ukuqedwa
eradicate	anger	0.682	qeda
tantrum	anger	0.682	intukuthelo
scoundrel	anger	0.682	utsotsi
devastate	anger	0.682	bhubhisa
aggressively	anger	0.680	ngobudlova
agitation	anger	0.680	ukuyaluza
dictatorship	anger	0.676	ubushiqela
irritates	anger	0.676	iyacasula
profanity	anger	0.673	inhlamba
shove	anger	0.672	shova
nasty	anger	0.672	kubi
shot	anger	0.672	ukudubula
cruelly	anger	0.672	ngonya
shoot	anger	0.672	dubula
condemnation	anger	0.672	ukulahlwa
crushed	anger	0.672	ochotshoziwe
aggravation	anger	0.672	ukuhlukunyezwa
poisonous	anger	0.672	enoshevu
egregious	anger	0.672	enkulu
crime	anger	0.672	ubugebengu
corrupting	anger	0.672	ukonakalisa
dastardly	anger	0.672	ngokudabukisayo
contempt	anger	0.672	ukwedelela
harmful	anger	0.672	eziyingozi
expletive	anger	0.672	expletive
wreak	anger	0.672	bhidliza
maniac	anger	0.670	uhlanya
cutthroat	anger	0.667	umphimbo
enemy	anger	0.667	isitha
hit	anger	0.667	shaya
hateeveryone	anger	0.667	uzonde wonke umuntu
eruption	anger	0.667	ukuqhuma
irritable	anger	0.667	ukucasuka
odious	anger	0.667	enyanyisayo
shooting	anger	0.667	ukudubula
shout	anger	0.667	memeza
aggressive	anger	0.667	enolaka
kick	anger	0.667	khahlela
combat	anger	0.667	ukulwa
fight	anger	0.667	ukulwa
punished	anger	0.662	ajeziswe
yell	anger	0.661	memeza
ambush	anger	0.661	baqamekele
harass	anger	0.659	hlukumeza
malignant	anger	0.656	yingozi
aggressor	anger	0.656	umhlaseli
gore	anger	0.656	unyaka
destruction	anger	0.656	ukubhujiswa
grudge	anger	0.656	ukucasuka
antichrist	anger	0.656	umphikukristu
incense	anger	0.656	impepho
expel	anger	0.656	khipha
cranky	anger	0.653	cranky
slave	anger	0.652	isigqila
reprisal	anger	0.652	ukuziphindiselela
growl	anger	0.652	gquma
animosity	anger	0.652	ubutha
insurrection	anger	0.652	ukuvukela umbuso
clashing	anger	0.652	ukungqubuzana
denounce	anger	0.652	lahla
offended	anger	0.652	ecasukile
spank	anger	0.652	shaya
insulting	anger	0.652	ukuthuka
growls	anger	0.649	uyabhodla
executioner	anger	0.644	umbulali
twat	anger	0.644	it
doomsday	anger	0.643	usuku lwembubhiso
obscenity	anger	0.641	amanyala
accused	anger	0.641	umsolwa
feud	anger	0.641	umbango
daemon	anger	0.641	idaemon
havoc	anger	0.641	isiphithiphithi
shackle	anger	0.641	intambo
inexcusable	anger	0.641	engenazaba
indignant	anger	0.641	ethukuthele
grr	anger	0.641	grr
expulsion	anger	0.641	ukuxoshwa
bombard	anger	0.641	ibhomu
spat	anger	0.641	amathe
arson	anger	0.641	ukushiswa
reprimand	anger	0.641	ukukhuza
somad	anger	0.637	somad
frustrated	anger	0.636	ekhungathekile
batter	anger	0.636	shaya
kicking	anger	0.636	ukukhahlela
anarchy	anger	0.636	isiyaluyalu
spanking	anger	0.636	ukushaya
glaring	anger	0.636	ecwebezelayo
suicidal	anger	0.636	zokuzibulala
disgusting	anger	0.636	enengekayo
wound	anger	0.636	isilonda
hanging	anger	0.636	ukulenga
poisoned	anger	0.636	enoshevu
combatant	anger	0.636	impi
wrecked	anger	0.633	ephukile
inflict	anger	0.633	bangela
grievous	anger	0.632	buhlungu
prosecute	anger	0.630	shushisa
agitated	anger	0.630	eyaluza
cheat	anger	0.630	khohlisa
swastika	anger	0.627	i-swastika
injure	anger	0.625	limaza
indict	anger	0.625	icala
scourge	anger	0.625	isishayo
provocation	anger	0.625	ukucunula
suffocation	anger	0.625	ukufuthelana
strife	anger	0.625	ingxabano
raid	anger	0.625	ukuhlasela
enslaved	anger	0.625	gqilaziwe
cursing	anger	0.625	ukuthuka
defamatory	anger	0.625	ehlambalazayo
harassing	anger	0.625	ukuhlukumeza
thundering	anger	0.625	ukuduma
betray	anger	0.625	khaphela
arsehole	anger	0.624	i-arsehole
theft	anger	0.621	ubusela
insane	anger	0.621	uhlanya
retaliation	anger	0.621	ukuziphindiselela
irritate	anger	0.621	ukucasula
deprivation	anger	0.621	ukuswela
fiend	anger	0.621	funa
jerk	anger	0.621	qhuqha
convict	anger	0.621	ogwetshiwe
cussed	anger	0.619	ethukile
turmoil	anger	0.618	isiphithiphithi
smack	anger	0.615	shaya
retribution	anger	0.614	impindiselo
rebellion	anger	0.609	ukuhlubuka
oppressor	anger	0.609	umcindezeli
gang	anger	0.609	iqembu lezigelekeqe
slavery	anger	0.609	ubugqila
intolerable	anger	0.609	okungabekezeleleki
adverse	anger	0.609	embi
injurious	anger	0.609	elilimazayo
twats	anger	0.609	ama-twits
collision	anger	0.609	ukushayisana
battery	anger	0.609	ibhethri
bitterly	anger	0.609	kabuhlungu
antagonism	anger	0.609	ukuphikisa
irritability	anger	0.609	ukucasuka
disgraced	anger	0.608	ehlazekile
diatribe	anger	0.606	diatribe
asshole	anger	0.606	isiduli
blast	anger	0.606	ukuqhuma
bombardment	anger	0.606	ukuqhuma kwamabhomu
irks	anger	0.606	kuyacasula
ranting	anger	0.606	ukukhala
revolution	anger	0.606	uguquko
thug	anger	0.606	isigebengu
antagonistic	anger	0.606	ophikisayo
irritating	anger	0.606	ecasulayo
sickening	anger	0.606	ukugula
discrimination	anger	0.606	ukucwasa
frustrate	anger	0.604	khungathekisa
insult	anger	0.603	ukuthuka
hurtful	anger	0.603	okulimazayo
oppression	anger	0.603	ukucindezelwa
manipulation	anger	0.603	ukukhwabanisa
tiredofit	anger	0.603	ngikhathele
bigot	anger	0.603	umkhulungwane
tension	anger	0.603	ukungezwani
disgust	anger	0.602	ukunengeka
spite	anger	0.600	ukwesaba
intrusive	anger	0.598	ukugxambukela
harshness	anger	0.597	ukhahlo
slur	anger	0.596	slur
tempest	anger	0.594	isiphepho
assail	anger	0.594	ukuhlasela
bitterness	anger	0.594	umunyu
morbidity	anger	0.594	ukugula
casualty	anger	0.594	ukulimala
puncture	anger	0.594	ukubhoboza
miserable	anger	0.594	lusizi
inferno	anger	0.594	inferno
invasion	anger	0.594	ukuhlasela
storming	anger	0.594	ukuvunguza
wretch	anger	0.594	usizi
consternation	anger	0.592	ukuxakeka
raving	anger	0.591	raving
forcibly	anger	0.591	ngenkani
guillotine	anger	0.591	i-guillotine
guilty	anger	0.591	enecala
depraved	anger	0.591	okonakele
immoral	anger	0.591	oziphethe kabi
overpowering	anger	0.591	enamandla ngokweqile
scare	anger	0.588	uvalo
recalcitrant	anger	0.588	ophikayo
screwed	anger	0.588	isikulufa
accursed	anger	0.588	uqalekisiwe
soannoyed	anger	0.588	ecasukile
invader	anger	0.588	umhlaseli
jealousy	anger	0.587	umona
indignation	anger	0.587	ukuthukuthela
vexed	anger	0.586	ecasukile
confront	anger	0.582	bhekana
brute	anger	0.581	isihluku
throttle	anger	0.579	mpintsha
slut	anger	0.578	ihule
coup	anger	0.578	ukuketula umbuso
blaze	anger	0.578	ilangabi
pillage	anger	0.578	ukuphanga
provoking	anger	0.578	ukucunula
damage	anger	0.578	umonakalo
criminality	anger	0.578	ubugebengu
shutup	anger	0.578	Thula
lash	anger	0.578	ukuqhuma
conflict	anger	0.578	ukungqubuzana
contentious	anger	0.578	onombango
shutit	anger	0.578	vala
wreck	anger	0.578	ukuphahlazeka
defiant	anger	0.578	edelelayo
butcher	anger	0.578	ukuhlaba inyama
incarceration	anger	0.578	ukuboshwa
revolver	anger	0.578	ivolovolo
bickering	anger	0.578	ukuxabana
yousuck	anger	0.578	uyadina
cancer	anger	0.577	umdlavuza
discriminate	anger	0.576	ukubandlulula
gun	anger	0.576	isibhamu
frustration	anger	0.576	ukukhungatheka
gory	anger	0.576	gory
pernicious	anger	0.576	yingozi
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	ukuhlambalaza
chaotic	anger	0.576	isiphithiphithi
grope	anger	0.576	phumputha
alienation	anger	0.576	ukuhlukaniswa
disturbance	anger	0.576	ukuphazamiseka
condescension	anger	0.576	ukuzithoba
standoff	anger	0.576	ukuma
discord	anger	0.576	ukungezwani
friggen	anger	0.575	ifriji
sneer	anger	0.574	ukubhuqa
death	anger	0.574	ukufa
lunacy	anger	0.574	ubuhlanya
scandalous	anger	0.574	amahlazo
oppressive	anger	0.574	ocindezelayo
jab	anger	0.574	jab
cursed	anger	0.574	ethukile
monstrosity	anger	0.574	ubuhlanya
shit	anger	0.573	shit
disparaging	anger	0.571	ukululaza
slash	anger	0.571	slash
unfair	anger	0.571	ngokungenabulungiswa
gallows	anger	0.570	ugodo
escalate	anger	0.569	khuphuka
intolerant	anger	0.564	ongabekezeleli
lawlessness	anger	0.563	ukungabi namthetho
beast	anger	0.562	isilo
torpedo	anger	0.562	i-torpedo
malign	anger	0.562	kabi
traitor	anger	0.562	imbuka
frightful	anger	0.562	ethusayo
wrangling	anger	0.562	ukuxabana
slander	anger	0.562	ukunyundela
bellows	anger	0.562	kubhodla
retards	anger	0.562	abahlehlayo
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	edelelayo
bearish	anger	0.562	i-bearish
invade	anger	0.562	hlasela
perdition	anger	0.562	ukubhubha
arghh	anger	0.562	argh
dreadful	anger	0.562	eyesabekayo
bluddy	anger	0.562	blude
deceived	anger	0.562	ukhohlisiwe
glare	anger	0.562	ukucwayiza
taunt	anger	0.562	bhuqa
dissension	anger	0.561	ukungezwani
cross	anger	0.561	isiphambano
rave	anger	0.561	rave
grating	anger	0.561	ukugaya
devastating	anger	0.561	elimazayo
fits	anger	0.561	kuyalingana
jeopardize	anger	0.561	faka engozini
shatter	anger	0.561	phahlaza
idiots	anger	0.561	izilima
hurt	anger	0.561	ubuhlungu
thief	anger	0.561	isela
uncontrollable	anger	0.561	engalawuleki
conflagration	anger	0.561	ukuvutha
betrayal	anger	0.561	ukukhaphela
banshee	anger	0.561	banshee
subjugation	anger	0.559	ukuzithoba
disturbed	anger	0.559	ephazamisekile
stomped	anger	0.557	wanyathela
grab	anger	0.557	bamba
grievance	anger	0.556	isikhalo
ticked	anger	0.556	kuphawulwe
masochism	anger	0.556	i-masochism
defiance	anger	0.552	ukudelela
blackmail	anger	0.550	ukukhohlisa
offensive	anger	0.549	ecasulayo
decry	anger	0.548	khala
frustrates	anger	0.547	ekhungathekisayo
violation	anger	0.547	ukwephula
confine	anger	0.547	vala
misery	anger	0.547	usizi
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ukungafani
punishment	anger	0.547	isijeziso
rebel	anger	0.547	dlubulunda
preposterous	anger	0.547	-ngenangqondo
disgraceful	anger	0.547	okuyichilo
ire	anger	0.547	ire
deceive	anger	0.547	khohlisa
fustrated	anger	0.547	fustrated
sin	anger	0.547	isono
shrill	anger	0.547	hlaba
darkside	anger	0.547	Isayidi elimnyama
overbearing	anger	0.547	ukugabadela
firearms	anger	0.547	izibhamu
stolen	anger	0.546	eyebiwe
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	ubandlululo
tackle	anger	0.545	ukulwa
resentful	anger	0.545	ukucasuka
heated	anger	0.545	eshisiwe
callous	anger	0.545	lukhuni
conspirator	anger	0.545	uzungu
ruined	anger	0.545	yonakele
antagonist	anger	0.545	umphikisi
skirmish	anger	0.545	ukuklwebhana
menace	anger	0.545	usongo
annoyin	anger	0.545	ukucasula
foul	anger	0.545	kubi
argument	anger	0.545	ukuphikisana
humiliate	anger	0.545	thobisa
wanker	anger	0.545	i-wanker
adversary	anger	0.545	isitha
sting	anger	0.544	luma
entangled	anger	0.544	ebambekile
grumble	anger	0.544	khononda
robbery	anger	0.544	ukugebenga
outcry	anger	0.544	ukukhala
resistance	anger	0.543	ukumelana
irreconcilable	anger	0.543	okungalungiseki
obstructive	anger	0.542	ovimbayo
dismay	anger	0.540	ukudumala
mob	anger	0.538	isixuku
juststop	anger	0.537	vele ume
badness	anger	0.536	ububi
ridicule	anger	0.534	ukuhleka usulu
incendiary	anger	0.533	incendiary
flares	anger	0.532	ukuvutha
twofaced	anger	0.531	ubuso obubili
reckless	anger	0.531	budedengu
communism	anger	0.531	ubukhomanisi
allegation	anger	0.531	izinsolo
prejudicial	anger	0.531	okubandlululayo
whip	anger	0.531	isiswebhu
unbridled	anger	0.531	ngokungalawuleki
degeneracy	anger	0.531	ukuwohloka
intruder	anger	0.531	isigebengu
belittle	anger	0.531	lulaza
confinement	anger	0.531	ukuvalelwa
dispute	anger	0.531	ingxabano
exacerbation	anger	0.531	ukwanda
uprising	anger	0.531	ukuvukela umbuso
unjust	anger	0.530	okungalungile
unjustifiable	anger	0.530	okungathetheleleki
perversion	anger	0.530	ukuhlanekezela
bigoted	anger	0.530	khulu
fiesty	anger	0.530	esabekayo
offender	anger	0.530	umenzi wobubi
dictatorial	anger	0.530	ubushiqela
hassle	anger	0.530	ukuhlupheka
dissonance	anger	0.530	i-dissonance
tackled	anger	0.530	kuliwe
renegade	anger	0.529	imbuka
cantstandit	anger	0.529	angikwazi
trespass	anger	0.529	ukweqa
hot	anger	0.529	kushisa
prison	anger	0.529	ejele
suicide	anger	0.521	ukuzibulala
annoy	anger	0.520	ukucasula
leavemealone	anger	0.517	ngiyeke
cretins	anger	0.516	ama-cretins
depravity	anger	0.516	ukonakala
idiotic	anger	0.516	isilima
dishonest	anger	0.516	ongathembekile
distrust	anger	0.516	ukungathembani
broil	anger	0.516	broil
grrr	anger	0.516	grr
criticize	anger	0.516	gxeka
inimical	anger	0.516	i-inimical
tortious	anger	0.516	hlupha
prisoner	anger	0.516	isiboshwa
treason	anger	0.516	ukuvukela umbuso
divorce	anger	0.516	isehlukaniso
venting	anger	0.516	ukuphuma umoya
duress	anger	0.516	ukuphoqa
disrespectful	anger	0.516	ngokungahloniphi
poaching	anger	0.515	ukuzingela ngokungemthetho
scold	anger	0.515	thethisa
poachers	anger	0.515	abazingeli
pow	anger	0.515	pho
hangry	anger	0.515	hang
argumentation	anger	0.515	ukuphikisana
frustrating	anger	0.515	ekhungathekisayo
unkind	anger	0.515	engenamusa
roar	anger	0.515	ukubhonga
coercion	anger	0.515	ukuphoqa
unforgiving	anger	0.515	ongathetheleli
grump	anger	0.515	ingquza
bile	anger	0.515	ibile
unleash	anger	0.515	khulula
chaos	anger	0.515	isiphithiphithi
victimized	anger	0.515	abahlukumezekile
jerks	anger	0.515	abahlukumezi
tussle	anger	0.514	umdonsiswano
bane	anger	0.511	bane
accusation	anger	0.510	icala
enmity	anger	0.510	ubutha
repudiation	anger	0.510	ukwenqaba
banish	anger	0.509	dingisa
disfigured	anger	0.508	onakele
storm	anger	0.507	isiphepho
crazy	anger	0.500	uyahlanya
hammering	anger	0.500	ukushaya ngesando
defy	anger	0.500	defy
antithesis	anger	0.500	ukuphikisa
scoff	anger	0.500	hleka usulu
anguish	anger	0.500	usizi
confined	anger	0.500	evalelwe
fear	anger	0.500	ukwesaba
bout	anger	0.500	bout
unruly	anger	0.500	abangalawuleki
delusional	anger	0.500	okukhohlisayo
obstruct	anger	0.500	vimba
possessed	anger	0.500	enomoya
injustice	anger	0.500	ukungabi nabulungisa
fervor	anger	0.500	intshiseko
spear	anger	0.500	umkhonto
derision	anger	0.500	ukuhleka usulu
intractable	anger	0.500	engenakunyakaziswa
reject	anger	0.500	nqaba
dominate	anger	0.500	busa
ordeal	anger	0.500	usizi
banished	anger	0.500	exoshiwe
rejects	anger	0.500	enqaba
shun	anger	0.500	xwaya
brunt	anger	0.500	kanzima
derogation	anger	0.500	ukubukela phansi
frenzied	anger	0.500	uhlanya
animus	anger	0.500	inyama
suppression	anger	0.500	ukucindezelwa
malpractice	anger	0.500	ukungenzi kahle
brazen	anger	0.500	zethusi
foaming	anger	0.500	ekhihliza amagwebu
disrupting	anger	0.500	ukuphazamisa
nobodycares	anger	0.500	akekho onendaba
patronising	anger	0.500	ukusekela
getoveryourself	anger	0.495	zitholele wena
toughness	anger	0.492	ubulukhuni
stupidpeople	anger	0.492	abantu abayiziphukuphuku
madness	anger	0.491	ubuhlanya
sinful	anger	0.491	onesono
avarice	anger	0.490	inkanuko
oppress	anger	0.490	cindezela
cutting	anger	0.485	ukusika
anathema	anger	0.485	inhlamba
annoyed	anger	0.485	ecasukile
dissident	anger	0.485	ophikisayo
demand	anger	0.485	ukufuna
usurp	anger	0.485	ukuqhwaga
claw	anger	0.485	uzipho
alienate	anger	0.485	ahlukanise
infraction	anger	0.485	ukwephulwa komthetho
avenger	anger	0.485	umphindiseli
revoke	anger	0.485	chitha
smuggler	anger	0.485	umshushumbisi
abolish	anger	0.485	qeda
fricking	anger	0.485	fricking
stayaway	anger	0.485	hlala
pervert	anger	0.485	phendukezela
disservice	anger	0.485	ukungahloniphi
disobedient	anger	0.485	abangalaleli
incest	anger	0.485	ukulalana kwezihlobo
complaint	anger	0.485	isikhalazo
disapproved	anger	0.485	kungavunyelwe
inhuman	anger	0.485	ongenabuntu
mocking	anger	0.484	ukubhuqa
penalty	anger	0.484	inhlawulo
renounce	anger	0.484	lahla
