English Word	Emotion	Emotion-Intensity-Score	Slovak Word
deadly	anger	0.758	smrteľný
smash	anger	0.758	rozbiť
soangry	anger	0.758	tak nahnevaný
outburst	anger	0.757	výbuch
snarl	anger	0.754	vrčať
profane	anger	0.750	zneuctiť
revolting	anger	0.750	revoltujúci
aggravating	anger	0.750	priťažujúce
horror	anger	0.750	hrôza
despise	anger	0.750	opovrhovať
offend	anger	0.750	uraziť
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgárnosť
crazed	anger	0.750	pobláznený
douchebags	anger	0.750	douchebags
growling	anger	0.750	vrčanie
dontmesswithme	anger	0.750	nebav sa so mnou
screaming	anger	0.742	kričať
threat	anger	0.742	hrozba
erupt	anger	0.742	vybuchnúť
horrible	anger	0.742	strašné
molestation	anger	0.742	obťažovanie
fuckedoff	anger	0.742	posratý
violence	anger	0.742	násilie
bastards	anger	0.741	bastardi
revenge	anger	0.738	pomsta
menacing	anger	0.735	hrozivý
crushing	anger	0.735	drvenie
damn	anger	0.735	sakra
catastrophe	anger	0.735	katastrofa
demon	anger	0.735	démon
argue	anger	0.734	hádať sa
persecute	anger	0.734	prenasledovať
deplore	anger	0.734	ľutovať
flog	anger	0.734	bičovať
fedup	anger	0.734	presýtení
riotous	anger	0.734	bujarý
vehement	anger	0.734	vehementne
revolt	anger	0.734	vzbura
warfare	anger	0.734	vojny
thrash	anger	0.734	mlátiť
altercation	anger	0.729	hádka
warlike	anger	0.728	bojovný
shitday	anger	0.727	shitday
mutiny	anger	0.727	vzbura
castrate	anger	0.727	kastrovať
sabotage	anger	0.727	sabotáž
malevolent	anger	0.721	zlomyseľný
strike	anger	0.721	štrajk
disaster	anger	0.721	katastrofa
disastrous	anger	0.720	katastrofálne
bastarding	anger	0.719	bastardovanie
treachery	anger	0.719	zrada
arseholes	anger	0.719	zadkov
horseshit	anger	0.719	svinstvo
slay	anger	0.719	zabiť
disdain	anger	0.719	opovrhovať
aggravates	anger	0.719	zhoršuje
brutal	anger	0.719	brutálny
scorching	anger	0.719	spaľujúci
devil	anger	0.719	diabol
madden	anger	0.719	šialený
spiteful	anger	0.719	zlomyseľný
scream	anger	0.719	kričať
choke	anger	0.719	dusiť
vermin	anger	0.719	háveď
tumult	anger	0.719	vrava
criminal	anger	0.714	zločinec
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchizmu
mutilation	anger	0.714	mrzačenie
denunciation	anger	0.713	výpoveď
punch	anger	0.713	punč
virulence	anger	0.712	virulencia
fatal	anger	0.712	smrteľné
hurting	anger	0.712	bolieť
crucifixion	anger	0.712	ukrižovanie
dontlikeyou	anger	0.712	nemám ťa rád
blasphemous	anger	0.712	rúhačský
holocaust	anger	0.712	holokaustu
dumbasses	anger	0.712	blbci
battled	anger	0.712	bojoval
deranged	anger	0.706	vyšinutý
irritated	anger	0.706	podráždený
atrocious	anger	0.706	ukrutný
evil	anger	0.706	zlý
aggravated	anger	0.703	zhoršené
intimidation	anger	0.703	zastrašovanie
dicks	anger	0.703	vtáky
assassin	anger	0.703	vrah
scolding	anger	0.703	karhanie
persecution	anger	0.703	prenasledovanie
slayer	anger	0.703	zabijak
kidnap	anger	0.703	uniesť
aggression	anger	0.702	agresivita
armed	anger	0.700	ozbrojený
battle	anger	0.697	bitka
poison	anger	0.697	jed
snarling	anger	0.697	vrčanie
venom	anger	0.697	jed
disgruntled	anger	0.693	nespokojný
resentment	anger	0.691	zášť
assailant	anger	0.691	útočník
insidious	anger	0.691	zákerný
contemptuous	anger	0.690	pohŕdavý
lynch	anger	0.690	lynčovať
temper	anger	0.688	temperament
terrible	anger	0.688	hrozné
disparage	anger	0.688	znevažovanie
lunatic	anger	0.688	šialenec
bully	anger	0.688	šikanovať
mad	anger	0.688	šialený
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	zabitie novorodencov
domination	anger	0.688	nadvláda
peeved	anger	0.688	nahnevaný
imprisonment	anger	0.688	uväznenie
curse	anger	0.688	kliatba
volatility	anger	0.687	volatilita
eradication	anger	0.685	eradikácia
eradicate	anger	0.682	vykoreniť
tantrum	anger	0.682	záchvat hnevu
scoundrel	anger	0.682	darebák
devastate	anger	0.682	devastovať
aggressively	anger	0.680	agresívne
agitation	anger	0.680	agitácia
dictatorship	anger	0.676	diktatúra
irritates	anger	0.676	dráždi
profanity	anger	0.673	nadávky
shove	anger	0.672	strčiť
nasty	anger	0.672	škaredý
shot	anger	0.672	strela
cruelly	anger	0.672	kruto
shoot	anger	0.672	strieľať
condemnation	anger	0.672	odsúdenie
crushed	anger	0.672	rozdrvený
aggravation	anger	0.672	zhoršenie
poisonous	anger	0.672	jedovatý
egregious	anger	0.672	ohavný
crime	anger	0.672	zločinu
corrupting	anger	0.672	korumpujúci
dastardly	anger	0.672	podlý
contempt	anger	0.672	pohŕdanie
harmful	anger	0.672	škodlivé
expletive	anger	0.672	nadávky
wreak	anger	0.672	spôsobiť
maniac	anger	0.670	maniak
cutthroat	anger	0.667	podrezať hrdlo
enemy	anger	0.667	nepriateľa
hit	anger	0.667	zasiahnuť
hateeveryone	anger	0.667	nenávidieť každého
eruption	anger	0.667	erupcia
irritable	anger	0.667	podráždený
odious	anger	0.667	odporný
shooting	anger	0.667	Streľba
shout	anger	0.667	kričať
aggressive	anger	0.667	agresívny
kick	anger	0.667	kopnúť
combat	anger	0.667	boj
fight	anger	0.667	boj
punished	anger	0.662	potrestaný
yell	anger	0.661	kričať
ambush	anger	0.661	prepadnutie
harass	anger	0.659	obťažovať
malignant	anger	0.656	zhubný
aggressor	anger	0.656	agresor
gore	anger	0.656	gore
destruction	anger	0.656	zničenie
grudge	anger	0.656	zášť
antichrist	anger	0.656	antikrist
incense	anger	0.656	kadidlo
expel	anger	0.656	vyhnať
cranky	anger	0.653	výstredný
slave	anger	0.652	otrok
reprisal	anger	0.652	odveta
growl	anger	0.652	vrčať
animosity	anger	0.652	nevraživosť
insurrection	anger	0.652	povstanie
clashing	anger	0.652	zrážky
denounce	anger	0.652	vypovedať
offended	anger	0.652	urazený
spank	anger	0.652	výprask
insulting	anger	0.652	urážlivý
growls	anger	0.649	vrčí
executioner	anger	0.644	kata
twat	anger	0.644	twat
doomsday	anger	0.643	súdny deň
obscenity	anger	0.641	obscénnosť
accused	anger	0.641	obvinený
feud	anger	0.641	spor
daemon	anger	0.641	démon
havoc	anger	0.641	zmätok
shackle	anger	0.641	spútať
inexcusable	anger	0.641	neospravedlniteľné
indignant	anger	0.641	rozhorčený
grr	anger	0.641	grr
expulsion	anger	0.641	vyhostenie
bombard	anger	0.641	bombardovať
spat	anger	0.641	odpľul
arson	anger	0.641	podpaľačstvo
reprimand	anger	0.641	napomenutie
somad	anger	0.637	tak šialené
frustrated	anger	0.636	frustrovaný
batter	anger	0.636	cesto
kicking	anger	0.636	kopanie
anarchy	anger	0.636	anarchia
spanking	anger	0.636	výprask
glaring	anger	0.636	do očí bijúci
suicidal	anger	0.636	samovražedné
disgusting	anger	0.636	hnusné
wound	anger	0.636	rana
hanging	anger	0.636	visiace
poisoned	anger	0.636	otrávený
combatant	anger	0.636	bojovník
wrecked	anger	0.633	stroskotaný
inflict	anger	0.633	spôsobiť
grievous	anger	0.632	žalostný
prosecute	anger	0.630	stíhať
agitated	anger	0.630	rozrušený
cheat	anger	0.630	podvádzať
swastika	anger	0.627	svastika
injure	anger	0.625	zraniť
indict	anger	0.625	obžalovať
scourge	anger	0.625	pohroma
provocation	anger	0.625	provokácia
suffocation	anger	0.625	udusenie
strife	anger	0.625	rozbroje
raid	anger	0.625	nájazd
enslaved	anger	0.625	zotročený
cursing	anger	0.625	nadávať
defamatory	anger	0.625	ohováračský
harassing	anger	0.625	obťažovanie
thundering	anger	0.625	hrmenie
betray	anger	0.625	zradiť
arsehole	anger	0.624	prdel
theft	anger	0.621	krádežou
insane	anger	0.621	šialený
retaliation	anger	0.621	odveta
irritate	anger	0.621	dráždiť
deprivation	anger	0.621	deprivácia
fiend	anger	0.621	diabol
jerk	anger	0.621	trhnúť
convict	anger	0.621	odsúdený
cussed	anger	0.619	preklial
turmoil	anger	0.618	nepokoje
smack	anger	0.615	smakať
retribution	anger	0.614	odplata
rebellion	anger	0.609	vzbura
oppressor	anger	0.609	utláčateľ
gang	anger	0.609	gang
slavery	anger	0.609	otroctvo
intolerable	anger	0.609	neznesiteľné
adverse	anger	0.609	nepriaznivé
injurious	anger	0.609	zraňujúce
twats	anger	0.609	twats
collision	anger	0.609	Zrážka
battery	anger	0.609	batérie
bitterly	anger	0.609	trpko
antagonism	anger	0.609	antagonizmus
irritability	anger	0.609	Podráždenosť
disgraced	anger	0.608	zneuctený
diatribe	anger	0.606	diatribe
asshole	anger	0.606	kretén
blast	anger	0.606	výbuch
bombardment	anger	0.606	bombardovanie
irks	anger	0.606	irks
ranting	anger	0.606	vychvaľovanie
revolution	anger	0.606	revolúcie
thug	anger	0.606	násilník
antagonistic	anger	0.606	antagonistické
irritating	anger	0.606	dráždivé
sickening	anger	0.606	chorobný
discrimination	anger	0.606	diskriminácia
frustrate	anger	0.604	frustrovať
insult	anger	0.603	urážka
hurtful	anger	0.603	zraňujúci
oppression	anger	0.603	útlaku
manipulation	anger	0.603	manipulácia
tiredofit	anger	0.603	unavený fit
bigot	anger	0.603	bigotný
tension	anger	0.603	napätie
disgust	anger	0.602	znechutenie
spite	anger	0.600	napriek
intrusive	anger	0.598	dotieravý
harshness	anger	0.597	tvrdosť
slur	anger	0.596	nadávka
tempest	anger	0.594	búrka
assail	anger	0.594	napadnúť
bitterness	anger	0.594	horkosť
morbidity	anger	0.594	chorobnosť
casualty	anger	0.594	obeť
puncture	anger	0.594	prepichnutie
miserable	anger	0.594	mizerne
inferno	anger	0.594	peklo
invasion	anger	0.594	invázia
storming	anger	0.594	búrka
wretch	anger	0.594	úbohý
consternation	anger	0.592	zdesenie
raving	anger	0.591	blúznenie
forcibly	anger	0.591	násilne
guillotine	anger	0.591	gilotínu
guilty	anger	0.591	vinný
depraved	anger	0.591	skazený
immoral	anger	0.591	nemorálny
overpowering	anger	0.591	presila
scare	anger	0.588	vystrašiť
recalcitrant	anger	0.588	nepoddajný
screwed	anger	0.588	priskrutkovaný
accursed	anger	0.588	prekliaty
soannoyed	anger	0.588	naštvaný
invader	anger	0.588	útočník
jealousy	anger	0.587	žiarlivosť
indignation	anger	0.587	rozhorčenie
vexed	anger	0.586	naštvaný
confront	anger	0.582	konfrontovať
brute	anger	0.581	surový
throttle	anger	0.579	plyn
slut	anger	0.578	pobehlica
coup	anger	0.578	prevrat
blaze	anger	0.578	vzplanúť
pillage	anger	0.578	drancovanie
provoking	anger	0.578	provokujúce
damage	anger	0.578	poškodenie
criminality	anger	0.578	kriminality
shutup	anger	0.578	zmlkni
lash	anger	0.578	lash
conflict	anger	0.578	konflikt
contentious	anger	0.578	sporný
shutit	anger	0.578	zavri to
wreck	anger	0.578	vrak
defiant	anger	0.578	vzdorovitý
butcher	anger	0.578	mäsiar
incarceration	anger	0.578	uväznenie
revolver	anger	0.578	revolver
bickering	anger	0.578	hašterenie
yousuck	anger	0.578	kurva
cancer	anger	0.577	rakovina
discriminate	anger	0.576	diskriminovať
gun	anger	0.576	pištoľ
frustration	anger	0.576	frustrácia
gory	anger	0.576	krvavý
pernicious	anger	0.576	zhubný
dontmess	anger	0.576	nepokaziť sa
blasphemy	anger	0.576	rúhanie
chaotic	anger	0.576	chaotický
grope	anger	0.576	tápať
alienation	anger	0.576	odcudzenie
disturbance	anger	0.576	rušenie
condescension	anger	0.576	blahosklonnosť
standoff	anger	0.576	odstup
discord	anger	0.576	nesúlad
friggen	anger	0.575	friggen
sneer	anger	0.574	posmievať sa
death	anger	0.574	smrť
lunacy	anger	0.574	šialenstvo
scandalous	anger	0.574	škandalózne
oppressive	anger	0.574	utláčateľský
jab	anger	0.574	bodnutie
cursed	anger	0.574	prekliaty
monstrosity	anger	0.574	príšernosť
shit	anger	0.573	hovno
disparaging	anger	0.571	znevažujúce
slash	anger	0.571	lomítko
unfair	anger	0.571	nespravodlivé
gallows	anger	0.570	šibenica
escalate	anger	0.569	stupňovať
intolerant	anger	0.564	netolerantný
lawlessness	anger	0.563	bezprávie
beast	anger	0.562	zver
torpedo	anger	0.562	torpédo
malign	anger	0.562	zhubný
traitor	anger	0.562	zradca
frightful	anger	0.562	strašný
wrangling	anger	0.562	hádky
slander	anger	0.562	ohováranie
bellows	anger	0.562	mech
retards	anger	0.562	retardi
grouchy	anger	0.562	mrzutý
derogatory	anger	0.562	hanlivý
bearish	anger	0.562	medvedí
invade	anger	0.562	prepadnúť
perdition	anger	0.562	záhuba
arghh	anger	0.562	arghh
dreadful	anger	0.562	strašný
bluddy	anger	0.562	bluddy
deceived	anger	0.562	oklamaný
glare	anger	0.562	oslnenie
taunt	anger	0.562	posmievať sa
dissension	anger	0.561	rozbroje
cross	anger	0.561	kríž
rave	anger	0.561	rave
grating	anger	0.561	strúhanie
devastating	anger	0.561	zničujúce
fits	anger	0.561	pasuje
jeopardize	anger	0.561	ohroziť
shatter	anger	0.561	roztrieštiť
idiots	anger	0.561	idioti
hurt	anger	0.561	ublížiť
thief	anger	0.561	zlodej
uncontrollable	anger	0.561	nekontrolovateľný
conflagration	anger	0.561	požiar
betrayal	anger	0.561	zrada
banshee	anger	0.561	banshee
subjugation	anger	0.559	podrobenie
disturbed	anger	0.559	narušený
stomped	anger	0.557	dupal
grab	anger	0.557	uchmatnúť
grievance	anger	0.556	sťažnosť
ticked	anger	0.556	zaškrtnuté
masochism	anger	0.556	masochizmus
defiance	anger	0.552	vzdor
blackmail	anger	0.550	vydieranie
offensive	anger	0.549	urážlivý
decry	anger	0.548	odsúdiť
frustrates	anger	0.547	frustruje
violation	anger	0.547	porušenie
confine	anger	0.547	obmedziť
misery	anger	0.547	bieda
arghhhh	anger	0.547	ahoj
disparity	anger	0.547	nepomer
punishment	anger	0.547	trest
rebel	anger	0.547	rebel
preposterous	anger	0.547	absurdné
disgraceful	anger	0.547	hanebné
ire	anger	0.547	hnev
deceive	anger	0.547	oklamať
fustrated	anger	0.547	fustrovaný
sin	anger	0.547	hriech
shrill	anger	0.547	prenikavý
darkside	anger	0.547	temná strana
overbearing	anger	0.547	panovačný
firearms	anger	0.547	strelné zbrane
stolen	anger	0.546	ukradnutý
hadenough	anger	0.546	mal dosť
prejudice	anger	0.545	predsudok
tackle	anger	0.545	riešiť
resentful	anger	0.545	rozhorčený
heated	anger	0.545	vyhrievaný
callous	anger	0.545	bezcitný
conspirator	anger	0.545	konšpirátor
ruined	anger	0.545	zničený
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	šarvátka
menace	anger	0.545	hrozba
annoyin	anger	0.545	otravovať
foul	anger	0.545	faul
argument	anger	0.545	argument
humiliate	anger	0.545	ponížiť
wanker	anger	0.545	tulák
adversary	anger	0.545	protivník
sting	anger	0.544	žihadlo
entangled	anger	0.544	zapletený
grumble	anger	0.544	reptať
robbery	anger	0.544	lúpež
outcry	anger	0.544	výkrik
resistance	anger	0.543	odpor
irreconcilable	anger	0.543	nezmieriteľné
obstructive	anger	0.542	obštrukčný
dismay	anger	0.540	zdesenie
mob	anger	0.538	dav
juststop	anger	0.537	len prestaň
badness	anger	0.536	špatnosť
ridicule	anger	0.534	výsmech
incendiary	anger	0.533	zápalný
flares	anger	0.532	svetlice
twofaced	anger	0.531	dvojtvárny
reckless	anger	0.531	nerozvážne
communism	anger	0.531	komunizmu
allegation	anger	0.531	obvinenie
prejudicial	anger	0.531	škodlivé
whip	anger	0.531	bič
unbridled	anger	0.531	nespútaný
degeneracy	anger	0.531	degenerácia
intruder	anger	0.531	votrelec
belittle	anger	0.531	bagatelizovať
confinement	anger	0.531	uväznenie
dispute	anger	0.531	spor
exacerbation	anger	0.531	exacerbácia
uprising	anger	0.531	povstanie
unjust	anger	0.530	nespravodlivý
unjustifiable	anger	0.530	neospravedlniteľné
perversion	anger	0.530	zvrátenosť
bigoted	anger	0.530	bigotný
fiesty	anger	0.530	fiesty
offender	anger	0.530	páchateľa
dictatorial	anger	0.530	diktátorský
hassle	anger	0.530	trápenie
dissonance	anger	0.530	disonancia
tackled	anger	0.530	riešiť
renegade	anger	0.529	odpadlík
cantstandit	anger	0.529	nevydržať
trespass	anger	0.529	priestupok
hot	anger	0.529	horúce
prison	anger	0.529	väzenie
suicide	anger	0.521	samovražda
annoy	anger	0.520	otravovať
leavemealone	anger	0.517	opustiť múčku
cretins	anger	0.516	kretínov
depravity	anger	0.516	skazenosť
idiotic	anger	0.516	idiotský
dishonest	anger	0.516	nečestný
distrust	anger	0.516	nedôvera
broil	anger	0.516	grilovať
grrr	anger	0.516	grrr
criticize	anger	0.516	kritizovať
inimical	anger	0.516	nepriateľský
tortious	anger	0.516	delikventný
prisoner	anger	0.516	väzeň
treason	anger	0.516	zrada
divorce	anger	0.516	rozvod
venting	anger	0.516	odvzdušňovanie
duress	anger	0.516	nátlaku
disrespectful	anger	0.516	neúctivý
poaching	anger	0.515	pytliactvo
scold	anger	0.515	nadávať
poachers	anger	0.515	pytliakov
pow	anger	0.515	pow
hangry	anger	0.515	visieť
argumentation	anger	0.515	argumentácia
frustrating	anger	0.515	frustrujúce
unkind	anger	0.515	nevľúdne
roar	anger	0.515	rev
coercion	anger	0.515	nátlaku
unforgiving	anger	0.515	neodpúšťajúci
grump	anger	0.515	nevrlý
bile	anger	0.515	žlč
unleash	anger	0.515	rozpútať
chaos	anger	0.515	chaos
victimized	anger	0.515	viktimizované
jerks	anger	0.515	trhne
tussle	anger	0.514	hádka
bane	anger	0.511	prekliatie
accusation	anger	0.510	obvinenie
enmity	anger	0.510	nepriateľstvo
repudiation	anger	0.510	odmietnutie
banish	anger	0.509	vyhnať
disfigured	anger	0.508	znetvorený
storm	anger	0.507	búrka
crazy	anger	0.500	šialený
hammering	anger	0.500	kladivom
defy	anger	0.500	vzdorovať
antithesis	anger	0.500	protiklad
scoff	anger	0.500	posmievať sa
anguish	anger	0.500	trápenie
confined	anger	0.500	obmedzený
fear	anger	0.500	strach
bout	anger	0.500	záchvat
unruly	anger	0.500	neposlušný
delusional	anger	0.500	bludný
obstruct	anger	0.500	prekážať
possessed	anger	0.500	posadnutý
injustice	anger	0.500	nespravodlivosť
fervor	anger	0.500	horlivosť
spear	anger	0.500	oštep
derision	anger	0.500	výsmech
intractable	anger	0.500	neriešiteľný
reject	anger	0.500	odmietnuť
dominate	anger	0.500	dominovať
ordeal	anger	0.500	utrpenie
banished	anger	0.500	vyhnaný
rejects	anger	0.500	odmieta
shun	anger	0.500	vyhýbať sa
brunt	anger	0.500	nápor
derogation	anger	0.500	odchýlka
frenzied	anger	0.500	šialený
animus	anger	0.500	animus
suppression	anger	0.500	potlačenie
malpractice	anger	0.500	nesprávny postup
brazen	anger	0.500	drzý
foaming	anger	0.500	penenie
disrupting	anger	0.500	rušivé
nobodycares	anger	0.500	nikoho to nezaujíma
patronising	anger	0.500	povýšenecký
getoveryourself	anger	0.495	prekonaj sa
toughness	anger	0.492	húževnatosť
stupidpeople	anger	0.492	hlúpi ľudia
madness	anger	0.491	šialenstvo
sinful	anger	0.491	hriešny
avarice	anger	0.490	hrabivosť
oppress	anger	0.490	utláčať
cutting	anger	0.485	rezanie
anathema	anger	0.485	kliatba
annoyed	anger	0.485	mrzutý
dissident	anger	0.485	disident
demand	anger	0.485	dopyt
usurp	anger	0.485	uzurpovať
claw	anger	0.485	pazúr
alienate	anger	0.485	odcudziť
infraction	anger	0.485	priestupok
avenger	anger	0.485	pomstiteľ
revoke	anger	0.485	odvolať
smuggler	anger	0.485	pašerák
abolish	anger	0.485	zrušiť
fricking	anger	0.485	fricking
stayaway	anger	0.485	drž sa ďalej
pervert	anger	0.485	perverzný
disservice	anger	0.485	medvediu službu
disobedient	anger	0.485	neposlušný
incest	anger	0.485	incest
complaint	anger	0.485	sťažnosť
disapproved	anger	0.485	zamietnuté
inhuman	anger	0.485	neľudské
mocking	anger	0.484	posmievanie
penalty	anger	0.484	pokuta
renounce	anger	0.484	zriecť sa
restrain	anger	0.484	prekážať
upheaval	anger	0.484	prevrat
deceit	anger	0.484	zákernosť
obnoxious	anger	0.484	nepríjemný
imprisoned	anger	0.484	uväznený
strained	anger	0.484	napätý
blame	anger	0.484	obviňovať
oust	anger	0.484	vytlačiť
litigious	anger	0.484	súdne
rivalry	anger	0.484	rivalita
sucker	anger	0.484	prísavník
opposed	anger	0.484	oponoval
thresh	anger	0.484	mlátiť
disgrace	anger	0.484	hanba
suspicious	anger	0.484	podozrivý
turbulence	anger	0.483	turbulencie
pound	anger	0.481	libra
coldness	anger	0.477	chlad
ungrateful	anger	0.472	nevďačný
stoopid	anger	0.471	zhrbený
battalion	anger	0.471	práporu
feudalism	anger	0.470	feudalizmu
hostage	anger	0.470	rukojemníkov
annoying	anger	0.470	nepríjemný
dispossessed	anger	0.470	vyvlastnený
subversion	anger	0.470	podvracanie
friction	anger	0.470	trenie
jealous	anger	0.470	žiarlivý
adversity	anger	0.470	protivenstvo
infidel	anger	0.470	neverník
gall	anger	0.470	žlčník
accuser	anger	0.470	žalobca
ram	anger	0.470	baran
armament	anger	0.470	výzbroj
thump	anger	0.469	buchnutie
dislike	anger	0.469	nechuť
steal	anger	0.469	ukradnúť
backoff	anger	0.469	ustúpiť
stifled	anger	0.469	udusené
incite	anger	0.469	podnecovať
distress	anger	0.469	tieseň
angermanagement	anger	0.469	angermanagement
selfish	anger	0.469	sebecký
injury	anger	0.469	zranenie
exile	anger	0.469	exil
