English Word	Emotion	Emotion-Intensity-Score	Macedonian Word
terrorism	anger	0.851	тероризам
beating	anger	0.849	тепање
outrage	anger	0.848	бес
desecration	anger	0.848	сквернавење
pissingmeoff	anger	0.848	писингмеоф
destroying	anger	0.844	уништувајќи
slaughter	anger	0.844	колење
irate	anger	0.844	лути
violent	anger	0.844	насилни
stab	anger	0.844	прободе
abomination	anger	0.844	одвратност
tumultuous	anger	0.844	бурен
infuriate	anger	0.844	разгневи
obliterate	anger	0.843	избришат
belligerent	anger	0.841	воинствен
dumbbitch	anger	0.841	глупак
detest	anger	0.838	одвратност
hostilities	anger	0.837	непријателства
prick	anger	0.835	боцкање
rampage	anger	0.833	дивеење
horrid	anger	0.833	ужасен
cruelty	anger	0.833	суровост
torture	anger	0.833	мачење
rabid	anger	0.833	бесен
despicable	anger	0.828	злобен
tyrannical	anger	0.828	тирански
demonic	anger	0.828	демонски
satanic	anger	0.828	сатански
hate	anger	0.828	омраза
ragemode	anger	0.828	рагемод
hating	anger	0.828	мразење
ruinous	anger	0.825	разорен
condemn	anger	0.825	осудуваат
riots	anger	0.824	немири
demolish	anger	0.824	уриваат
angry	anger	0.824	лути
extermination	anger	0.824	истребување
dickhead	anger	0.824	курац
livid	anger	0.821	жестока
madman	anger	0.820	лудак
vindictive	anger	0.819	одмазднички
terrorist	anger	0.818	терорист
threaten	anger	0.818	се закануваат
venomous	anger	0.818	отровно
hateyou	anger	0.818	те мразам
ferocity	anger	0.818	жестокост
effyou	anger	0.818	ефју
abhor	anger	0.816	одвратност
carnage	anger	0.814	масакрот
savage	anger	0.814	дивјак
atrocity	anger	0.814	ѕверство
fucksake	anger	0.812	ебам
abuse	anger	0.812	злоупотреба
fierce	anger	0.812	жесток
destroyer	anger	0.812	уништувач
angrytweet	anger	0.812	лути твит
barbaric	anger	0.812	варварски
vendetta	anger	0.812	одмазда
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	изнервиран
tyrant	anger	0.812	тиранин
berserk	anger	0.812	бесен
fuming	anger	0.812	испарување
anger	anger	0.811	гнев
pieceofshit	anger	0.810	парчефшит
punched	anger	0.803	удрен
punching	anger	0.803	удирање
slam	anger	0.803	тресне
homicide	anger	0.803	убиство
bitch	anger	0.803	кучка
fights	anger	0.803	се бори
ruthless	anger	0.797	безмилосен
villainous	anger	0.797	злобни
destructive	anger	0.797	деструктивни
slap	anger	0.791	шамар
riot	anger	0.788	бунт
growthefuckup	anger	0.788	растот
punishing	anger	0.788	казнување
slaughterhouse	anger	0.788	кланица
yelling	anger	0.788	викање
diabolical	anger	0.788	ѓаволски
destroyed	anger	0.788	уништени
ragetweet	anger	0.788	рагетвит
retaliatory	anger	0.788	одмазднички
manslaughter	anger	0.783	убиство од небрежност
clash	anger	0.783	судир
quarrel	anger	0.781	кавга
bloody	anger	0.781	крвави
hellish	anger	0.781	пеколно
sinister	anger	0.781	злобна
loath	anger	0.781	омраза
detonation	anger	0.781	детонација
accusing	anger	0.779	обвинувајќи
fumin	anger	0.779	фумин
hateeee	anger	0.779	мразееее
treacherous	anger	0.779	предавнички
madder	anger	0.773	полуди
horrific	anger	0.773	ужасно
revulsion	anger	0.773	одбивност
retaliate	anger	0.773	возврати
scorn	anger	0.769	презир
bomb	anger	0.766	бомба
deplorable	anger	0.766	жално
devastation	anger	0.765	опустошување
anarchist	anger	0.765	анархист
firestorm	anger	0.765	огнена бура
resent	anger	0.765	негодуваат
contemptible	anger	0.764	презирен
shittest	anger	0.760	најсрање
rant	anger	0.758	скандал
cruel	anger	0.758	суров
deadly	anger	0.758	смртоносна
smash	anger	0.758	пресече
soangry	anger	0.758	лут
outburst	anger	0.757	изблик
snarl	anger	0.754	рикаат
profane	anger	0.750	профана
revolting	anger	0.750	револтирачки
aggravating	anger	0.750	отежнувачки
horror	anger	0.750	ужас
despise	anger	0.750	презираат
offend	anger	0.750	навреди
stfu	anger	0.750	stfu
vulgarity	anger	0.750	вулгарност
crazed	anger	0.750	луд
douchebags	anger	0.750	кесички
growling	anger	0.750	ржење
dontmesswithme	anger	0.750	не ме запрашај
screaming	anger	0.742	врескање
threat	anger	0.742	закана
erupt	anger	0.742	еруптираат
horrible	anger	0.742	ужасно
molestation	anger	0.742	малтретирање
fuckedoff	anger	0.742	заебана
violence	anger	0.742	насилство
bastards	anger	0.741	копилиња
revenge	anger	0.738	одмазда
menacing	anger	0.735	заканувачки
crushing	anger	0.735	дробење
damn	anger	0.735	проклето
catastrophe	anger	0.735	катастрофа
demon	anger	0.735	демон
argue	anger	0.734	расправаат
persecute	anger	0.734	прогонуваат
deplore	anger	0.734	жалат
flog	anger	0.734	камшикување
fedup	anger	0.734	досаден
riotous	anger	0.734	бунтовнички
vehement	anger	0.734	жесток
revolt	anger	0.734	револт
warfare	anger	0.734	војување
thrash	anger	0.734	ѓубре
altercation	anger	0.729	расправија
warlike	anger	0.728	воинствен
shitday	anger	0.727	срање
mutiny	anger	0.727	бунт
castrate	anger	0.727	кастрираат
sabotage	anger	0.727	саботажа
malevolent	anger	0.721	злонамерен
strike	anger	0.721	штрајк
disaster	anger	0.721	катастрофа
disastrous	anger	0.720	катастрофално
bastarding	anger	0.719	копиле
treachery	anger	0.719	предавство
arseholes	anger	0.719	арсела
horseshit	anger	0.719	срање
slay	anger	0.719	убиваат
disdain	anger	0.719	презир
aggravates	anger	0.719	влошува
brutal	anger	0.719	брутален
scorching	anger	0.719	врел
devil	anger	0.719	ѓаволот
madden	anger	0.719	луд
spiteful	anger	0.719	злонамерен
scream	anger	0.719	врескаат
choke	anger	0.719	задави
vermin	anger	0.719	штетници
tumult	anger	0.719	метеж
criminal	anger	0.714	криминалец
mangle	anger	0.714	магла
anarchism	anger	0.714	анархизам
mutilation	anger	0.714	осакатување
denunciation	anger	0.713	отказ
punch	anger	0.713	удар
virulence	anger	0.712	вирулентност
fatal	anger	0.712	фатална
hurting	anger	0.712	повредува
crucifixion	anger	0.712	распнувањето
dontlikeyou	anger	0.712	не ти се допаѓаш
blasphemous	anger	0.712	богохулни
holocaust	anger	0.712	холокаустот
dumbasses	anger	0.712	глупаци
battled	anger	0.712	се бореле
deranged	anger	0.706	пореметен
irritated	anger	0.706	иритирана
atrocious	anger	0.706	ѕверски
evil	anger	0.706	злото
aggravated	anger	0.703	влошена
intimidation	anger	0.703	заплашување
dicks	anger	0.703	курци
assassin	anger	0.703	атентатор
scolding	anger	0.703	карање
persecution	anger	0.703	прогонство
slayer	anger	0.703	убиец
kidnap	anger	0.703	киднапираат
aggression	anger	0.702	агресија
armed	anger	0.700	вооружени
battle	anger	0.697	битка
poison	anger	0.697	отров
snarling	anger	0.697	гракање
venom	anger	0.697	отров
disgruntled	anger	0.693	незадоволен
resentment	anger	0.691	незадоволство
assailant	anger	0.691	напаѓач
insidious	anger	0.691	подмолно
contemptuous	anger	0.690	презир
lynch	anger	0.690	линч
temper	anger	0.688	темперамент
terrible	anger	0.688	страшно
disparage	anger	0.688	омаловажување
lunatic	anger	0.688	лудак
bully	anger	0.688	силеџија
mad	anger	0.688	луд
makesmemad	anger	0.688	макемемад
infanticide	anger	0.688	чедоморство
domination	anger	0.688	доминација
peeved	anger	0.688	згрчена
imprisonment	anger	0.688	затворска казна
curse	anger	0.688	проклетство
volatility	anger	0.687	нестабилноста
eradication	anger	0.685	искоренување
eradicate	anger	0.682	искоренување
tantrum	anger	0.682	бесот
scoundrel	anger	0.682	подлец
devastate	anger	0.682	опустошува
aggressively	anger	0.680	агресивно
agitation	anger	0.680	агитација
dictatorship	anger	0.676	диктатура
irritates	anger	0.676	иритира
profanity	anger	0.673	вулгарности
shove	anger	0.672	бутам
nasty	anger	0.672	гаден
shot	anger	0.672	застрелан
cruelly	anger	0.672	сурово
shoot	anger	0.672	пукајте
condemnation	anger	0.672	осуда
crushed	anger	0.672	здробени
aggravation	anger	0.672	влошување
poisonous	anger	0.672	отровен
egregious	anger	0.672	застрашувачки
crime	anger	0.672	криминал
corrupting	anger	0.672	корумпирајќи
dastardly	anger	0.672	гадно
contempt	anger	0.672	презир
harmful	anger	0.672	штетни
expletive	anger	0.672	експлозивна
wreak	anger	0.672	измачуваат
maniac	anger	0.670	манијак
cutthroat	anger	0.667	сечење
enemy	anger	0.667	непријател
hit	anger	0.667	удри
hateeveryone	anger	0.667	мразат сите
eruption	anger	0.667	ерупција
irritable	anger	0.667	раздразлив
odious	anger	0.667	омразен
shooting	anger	0.667	пукање
shout	anger	0.667	викај
aggressive	anger	0.667	агресивен
kick	anger	0.667	удар
combat	anger	0.667	борба
fight	anger	0.667	борба
punished	anger	0.662	казнет
yell	anger	0.661	викај
ambush	anger	0.661	заседа
harass	anger	0.659	вознемируваат
malignant	anger	0.656	малигни
aggressor	anger	0.656	агресор
gore	anger	0.656	горат
destruction	anger	0.656	уништување
grudge	anger	0.656	лутина
antichrist	anger	0.656	антихристот
incense	anger	0.656	темјан
expel	anger	0.656	избрка
cranky	anger	0.653	откачена
slave	anger	0.652	роб
reprisal	anger	0.652	одмазда
growl	anger	0.652	ржење
animosity	anger	0.652	непријателство
insurrection	anger	0.652	востание
clashing	anger	0.652	судир
denounce	anger	0.652	осудува
offended	anger	0.652	навреден
spank	anger	0.652	плескаат
insulting	anger	0.652	навредлив
growls	anger	0.649	ржи
executioner	anger	0.644	џелат
twat	anger	0.644	тват
doomsday	anger	0.643	судниот ден
obscenity	anger	0.641	безобразност
accused	anger	0.641	обвинет
feud	anger	0.641	караница
daemon	anger	0.641	демон
havoc	anger	0.641	хаос
shackle	anger	0.641	окови
inexcusable	anger	0.641	неоправдано
indignant	anger	0.641	огорчен
grr	anger	0.641	грр
expulsion	anger	0.641	протерување
bombard	anger	0.641	бомбардираат
spat	anger	0.641	плукаат
arson	anger	0.641	подметнување пожар
reprimand	anger	0.641	опомена
somad	anger	0.637	сомад
frustrated	anger	0.636	исфрустрирани
batter	anger	0.636	тесто
kicking	anger	0.636	клоцање
anarchy	anger	0.636	анархија
spanking	anger	0.636	тепање
glaring	anger	0.636	блескави
suicidal	anger	0.636	самоубиствен
disgusting	anger	0.636	одвратно
wound	anger	0.636	рана
hanging	anger	0.636	виси
poisoned	anger	0.636	отруен
combatant	anger	0.636	борец
wrecked	anger	0.633	уништени
inflict	anger	0.633	нанесете
grievous	anger	0.632	тажна
prosecute	anger	0.630	гони
agitated	anger	0.630	вознемирени
cheat	anger	0.630	измамник
swastika	anger	0.627	свастика
injure	anger	0.625	повреди
indict	anger	0.625	обвинение
scourge	anger	0.625	зло
provocation	anger	0.625	провокација
suffocation	anger	0.625	гушење
strife	anger	0.625	расправија
raid	anger	0.625	рација
enslaved	anger	0.625	поробени
cursing	anger	0.625	пцуејќи
defamatory	anger	0.625	клеветнички
harassing	anger	0.625	вознемирување
thundering	anger	0.625	грмење
betray	anger	0.625	изневерува
arsehole	anger	0.624	арсеол
theft	anger	0.621	кражба
insane	anger	0.621	луд
retaliation	anger	0.621	одмазда
irritate	anger	0.621	иритираат
deprivation	anger	0.621	лишување
fiend	anger	0.621	неверник
jerk	anger	0.621	кретен
convict	anger	0.621	осуденик
cussed	anger	0.619	проколнат
turmoil	anger	0.618	превирања
smack	anger	0.615	шмек
retribution	anger	0.614	одмазда
rebellion	anger	0.609	бунт
oppressor	anger	0.609	угнетувач
gang	anger	0.609	банда
slavery	anger	0.609	ропство
intolerable	anger	0.609	неподнослива
adverse	anger	0.609	неповолни
injurious	anger	0.609	повреден
twats	anger	0.609	твати
collision	anger	0.609	судир
battery	anger	0.609	батерија
bitterly	anger	0.609	горчливо
antagonism	anger	0.609	антагонизам
irritability	anger	0.609	раздразливост
disgraced	anger	0.608	посрамен
diatribe	anger	0.606	дијатриба
asshole	anger	0.606	шупак
blast	anger	0.606	експлозија
bombardment	anger	0.606	бомбардирање
irks	anger	0.606	лути
ranting	anger	0.606	галамење
revolution	anger	0.606	револуција
thug	anger	0.606	криминалец
antagonistic	anger	0.606	антагонистички
irritating	anger	0.606	иритирачки
sickening	anger	0.606	болен
discrimination	anger	0.606	дискриминација
frustrate	anger	0.604	фрустрира
insult	anger	0.603	навреда
hurtful	anger	0.603	повреден
oppression	anger	0.603	угнетување
manipulation	anger	0.603	манипулација
tiredofit	anger	0.603	уморен
bigot	anger	0.603	фанат
tension	anger	0.603	тензија
disgust	anger	0.602	одвратност
spite	anger	0.600	инает
intrusive	anger	0.598	нападни
harshness	anger	0.597	суровост
slur	anger	0.596	клевета
tempest	anger	0.594	бура
assail	anger	0.594	нападнат
bitterness	anger	0.594	горчина
morbidity	anger	0.594	морбидитет
casualty	anger	0.594	жртва
puncture	anger	0.594	пункција
miserable	anger	0.594	мизерен
inferno	anger	0.594	пекол
invasion	anger	0.594	инвазија
storming	anger	0.594	бура
wretch	anger	0.594	бедник
consternation	anger	0.592	зачуденост
raving	anger	0.591	бесење
forcibly	anger	0.591	насилно
guillotine	anger	0.591	гилотина
guilty	anger	0.591	виновен
depraved	anger	0.591	развратен
immoral	anger	0.591	неморален
overpowering	anger	0.591	надмоќен
scare	anger	0.588	исплаши
recalcitrant	anger	0.588	непослушен
screwed	anger	0.588	зезнав
accursed	anger	0.588	проколнат
soannoyed	anger	0.588	толку изнервиран
invader	anger	0.588	напаѓач
jealousy	anger	0.587	љубомора
indignation	anger	0.587	огорченост
vexed	anger	0.586	вознемирен
confront	anger	0.582	соочуваат
brute	anger	0.581	брутален
throttle	anger	0.579	гас
slut	anger	0.578	курва
coup	anger	0.578	државен удар
blaze	anger	0.578	пожар
pillage	anger	0.578	грабеж
provoking	anger	0.578	провоцирајќи
damage	anger	0.578	оштетување
criminality	anger	0.578	криминалитетот
shutup	anger	0.578	замолчи
lash	anger	0.578	камшиче
conflict	anger	0.578	конфликт
contentious	anger	0.578	спорни
shutit	anger	0.578	шутит
wreck	anger	0.578	руина
defiant	anger	0.578	пркосен
butcher	anger	0.578	Месар
incarceration	anger	0.578	затворање
revolver	anger	0.578	револвер
bickering	anger	0.578	карање
yousuck	anger	0.578	за нигде си
cancer	anger	0.577	рак
discriminate	anger	0.576	дискриминираат
gun	anger	0.576	пиштол
frustration	anger	0.576	фрустрација
gory	anger	0.576	горчлив
pernicious	anger	0.576	погубна
dontmess	anger	0.576	немој да се мешаш
blasphemy	anger	0.576	богохулење
chaotic	anger	0.576	хаотичен
grope	anger	0.576	напипуваат
alienation	anger	0.576	отуѓување
disturbance	anger	0.576	нарушување
condescension	anger	0.576	снисходење
standoff	anger	0.576	ќор-сокак
discord	anger	0.576	раздор
friggen	anger	0.575	фриген
sneer	anger	0.574	потсмев
death	anger	0.574	смрт
lunacy	anger	0.574	лудост
scandalous	anger	0.574	скандалозен
oppressive	anger	0.574	угнетувачки
jab	anger	0.574	удар
cursed	anger	0.574	проколнат
monstrosity	anger	0.574	монструозност
shit	anger	0.573	срање
disparaging	anger	0.571	омаловажувачки
slash	anger	0.571	коса црта
unfair	anger	0.571	нефер
gallows	anger	0.570	бесилка
escalate	anger	0.569	ескалира
intolerant	anger	0.564	нетолерантен
lawlessness	anger	0.563	беззаконие
beast	anger	0.562	ѕвер
torpedo	anger	0.562	торпедо
malign	anger	0.562	малигни
traitor	anger	0.562	предавник
frightful	anger	0.562	застрашувачки
wrangling	anger	0.562	расправија
slander	anger	0.562	клевета
bellows	anger	0.562	мевови
retards	anger	0.562	ретардирани
grouchy	anger	0.562	громогласен
derogatory	anger	0.562	погрдни
bearish	anger	0.562	мечешки
invade	anger	0.562	нападне
perdition	anger	0.562	пропаст
arghh	anger	0.562	аргх
dreadful	anger	0.562	страшна
bluddy	anger	0.562	мава
deceived	anger	0.562	измамени
glare	anger	0.562	отсјај
taunt	anger	0.562	потсмев
dissension	anger	0.561	раздор
cross	anger	0.561	крстот
rave	anger	0.561	рејв
grating	anger	0.561	решетка
devastating	anger	0.561	разорувачки
fits	anger	0.561	одговара
jeopardize	anger	0.561	загрозуваат
shatter	anger	0.561	распарчи
idiots	anger	0.561	идиоти
hurt	anger	0.561	повреден
thief	anger	0.561	крадец
uncontrollable	anger	0.561	неконтролирано
conflagration	anger	0.561	пламен
betrayal	anger	0.561	предавство
banshee	anger	0.561	банши
subjugation	anger	0.559	потчинување
disturbed	anger	0.559	нарушен
stomped	anger	0.557	газеше
grab	anger	0.557	зграпчи
grievance	anger	0.556	поплака
ticked	anger	0.556	штиклирано
masochism	anger	0.556	мазохизам
defiance	anger	0.552	пркос
blackmail	anger	0.550	уцена
offensive	anger	0.549	навредливи
decry	anger	0.548	критикувам
frustrates	anger	0.547	фрустрира
violation	anger	0.547	повреда
confine	anger	0.547	ограничи
misery	anger	0.547	мизерија
arghhhh	anger	0.547	аргххх
disparity	anger	0.547	нееднаквост
punishment	anger	0.547	казна
rebel	anger	0.547	бунтовник
preposterous	anger	0.547	глупост
disgraceful	anger	0.547	срамно
ire	anger	0.547	гнев
deceive	anger	0.547	измами
fustrated	anger	0.547	фустриран
sin	anger	0.547	грев
shrill	anger	0.547	пискав
darkside	anger	0.547	темна страна
overbearing	anger	0.547	надмоќен
firearms	anger	0.547	огнено оружје
stolen	anger	0.546	украдени
hadenough	anger	0.546	доволно беше
prejudice	anger	0.545	предрасуди
tackle	anger	0.545	се справи
resentful	anger	0.545	огорчен
heated	anger	0.545	загреан
callous	anger	0.545	бесчувствителен
conspirator	anger	0.545	заговорник
ruined	anger	0.545	руиниран
antagonist	anger	0.545	антагонист
skirmish	anger	0.545	престрелка
menace	anger	0.545	закана
annoyin	anger	0.545	досадни
foul	anger	0.545	фаул
argument	anger	0.545	аргумент
humiliate	anger	0.545	понижуваат
wanker	anger	0.545	скитник
adversary	anger	0.545	противник
sting	anger	0.544	убод
entangled	anger	0.544	заплеткана
grumble	anger	0.544	мрморат
robbery	anger	0.544	кражба
outcry	anger	0.544	негодување
resistance	anger	0.543	отпор
irreconcilable	anger	0.543	непомирлив
obstructive	anger	0.542	опструктивна
dismay	anger	0.540	вознемиреност
mob	anger	0.538	толпа
juststop	anger	0.537	само престани
badness	anger	0.536	лошотија
ridicule	anger	0.534	исмејување
incendiary	anger	0.533	запаливи
flares	anger	0.532	ракети
twofaced	anger	0.531	дволичен
reckless	anger	0.531	непромислено
communism	anger	0.531	комунизмот
allegation	anger	0.531	наводот
prejudicial	anger	0.531	предрасуди
whip	anger	0.531	камшик
unbridled	anger	0.531	незауздана
degeneracy	anger	0.531	дегенерација
intruder	anger	0.531	натрапник
belittle	anger	0.531	омаловажуваат
confinement	anger	0.531	затворање
dispute	anger	0.531	спор
exacerbation	anger	0.531	егзацербација
uprising	anger	0.531	востание
unjust	anger	0.530	неправедни
unjustifiable	anger	0.530	неоправдано
perversion	anger	0.530	перверзија
bigoted	anger	0.530	фанатистички
fiesty	anger	0.530	жесток
offender	anger	0.530	престапник
dictatorial	anger	0.530	диктаторски
hassle	anger	0.530	кавга
dissonance	anger	0.530	дисонанца
tackled	anger	0.530	зафатени
renegade	anger	0.529	отпадник
cantstandit	anger	0.529	не можам да издржам
trespass	anger	0.529	прекршување
hot	anger	0.529	жешко
prison	anger	0.529	затвор
suicide	anger	0.521	самоубиство
annoy	anger	0.520	досадуваат
leavemealone	anger	0.517	остави ме на мира
cretins	anger	0.516	кретините
depravity	anger	0.516	изопаченост
idiotic	anger	0.516	идиотски
dishonest	anger	0.516	нечесен
distrust	anger	0.516	недоверба
broil	anger	0.516	пржете
grrr	anger	0.516	гррр
criticize	anger	0.516	критикуваат
inimical	anger	0.516	непријателски
tortious	anger	0.516	деликвен
prisoner	anger	0.516	затвореник
treason	anger	0.516	предавство
divorce	anger	0.516	развод
venting	anger	0.516	проветрување
duress	anger	0.516	принуда
disrespectful	anger	0.516	непочитување
poaching	anger	0.515	ловокрадство
scold	anger	0.515	карање
poachers	anger	0.515	ловокрадците
pow	anger	0.515	pow
hangry	anger	0.515	гладен
argumentation	anger	0.515	аргументација
frustrating	anger	0.515	фрустрирачки
unkind	anger	0.515	нељубезни
roar	anger	0.515	рикаат
coercion	anger	0.515	принуда
unforgiving	anger	0.515	непростлив
grump	anger	0.515	мрморење
bile	anger	0.515	жолчката
unleash	anger	0.515	ослободи
chaos	anger	0.515	хаос
victimized	anger	0.515	виктимизиран
jerks	anger	0.515	кретени
tussle	anger	0.514	кавга
bane	anger	0.511	пропаст
accusation	anger	0.510	обвинение
enmity	anger	0.510	непријателство
repudiation	anger	0.510	отфрлање
banish	anger	0.509	протеруваат
disfigured	anger	0.508	изобличена
storm	anger	0.507	бура
crazy	anger	0.500	луд
hammering	anger	0.500	чекан
defy	anger	0.500	пркосат
antithesis	anger	0.500	антитеза
scoff	anger	0.500	потсмев
anguish	anger	0.500	мака
confined	anger	0.500	ограничен
fear	anger	0.500	страв
bout	anger	0.500	рунда
unruly	anger	0.500	непослушните
delusional	anger	0.500	заблуда
obstruct	anger	0.500	попречуваат
possessed	anger	0.500	опседнат
injustice	anger	0.500	неправда
fervor	anger	0.500	жар
spear	anger	0.500	копје
derision	anger	0.500	потсмев
intractable	anger	0.500	нерешливи
reject	anger	0.500	отфрли
dominate	anger	0.500	доминираат
ordeal	anger	0.500	искушение
banished	anger	0.500	протеран
rejects	anger	0.500	отфрла
shun	anger	0.500	избегнуваат
brunt	anger	0.500	жесток
derogation	anger	0.500	отстапување
frenzied	anger	0.500	избезумени
animus	anger	0.500	анимус
suppression	anger	0.500	потиснување
malpractice	anger	0.500	небрежност
brazen	anger	0.500	дрски
foaming	anger	0.500	пенење
disrupting	anger	0.500	попречувајќи
nobodycares	anger	0.500	на никој не му е гајле
patronising	anger	0.500	покровителство
getoveryourself	anger	0.495	прибери се
toughness	anger	0.492	цврстина
stupidpeople	anger	0.492	глупави луѓе
madness	anger	0.491	лудило
sinful	anger	0.491	грешен
avarice	anger	0.490	среброљубие
oppress	anger	0.490	угнетуваат
cutting	anger	0.485	сечење
anathema	anger	0.485	анатема
annoyed	anger	0.485	изнервиран
dissident	anger	0.485	дисидент
demand	anger	0.485	побарувачката
usurp	anger	0.485	узурпираат
claw	anger	0.485	канџи
alienate	anger	0.485	отуѓуваат
infraction	anger	0.485	прекршок
avenger	anger	0.485	одмаздник
revoke	anger	0.485	отповика
smuggler	anger	0.485	шверцер
abolish	anger	0.485	укине
fricking	anger	0.485	триење
stayaway	anger	0.485	стој подалеку
pervert	anger	0.485	Перверзен
disservice	anger	0.485	лоша услуга
disobedient	anger	0.485	непослушен
incest	anger	0.485	инцест
complaint	anger	0.485	жалба
disapproved	anger	0.485	неодобрени
inhuman	anger	0.485	нечовечки
mocking	anger	0.484	потсмевање
penalty	anger	0.484	казна
renounce	anger	0.484	одрекуваат
restrain	anger	0.484	воздржат
upheaval	anger	0.484	пресврт
deceit	anger	0.484	измама
obnoxious	anger	0.484	одвратно
imprisoned	anger	0.484	затворен
strained	anger	0.484	напнати
blame	anger	0.484	Вина
oust	anger	0.484	исфрли
litigious	anger	0.484	парнична
rivalry	anger	0.484	ривалство
sucker	anger	0.484	морон
opposed	anger	0.484	се спротивстави
thresh	anger	0.484	млазат
disgrace	anger	0.484	срам
suspicious	anger	0.484	сомнителни
turbulence	anger	0.483	турбуленции
pound	anger	0.481	фунта
coldness	anger	0.477	студенило
ungrateful	anger	0.472	неблагодарен
stoopid	anger	0.471	набиен
battalion	anger	0.471	баталјон
feudalism	anger	0.470	феудализмот
hostage	anger	0.470	заложник
annoying	anger	0.470	досадни
dispossessed	anger	0.470	обесправени
subversion	anger	0.470	субверзија
friction	anger	0.470	триење
jealous	anger	0.470	љубоморен
adversity	anger	0.470	неволја
infidel	anger	0.470	неверник
gall	anger	0.470	жолчка
accuser	anger	0.470	обвинувач
ram	anger	0.470	овен
armament	anger	0.470	вооружување
thump	anger	0.469	удар
dislike	anger	0.469	не им се допаѓаат
steal	anger	0.469	крадат
backoff	anger	0.469	отстапи
stifled	anger	0.469	задушени
incite	anger	0.469	поттикнуваат
distress	anger	0.469	вознемиреност
angermanagement	anger	0.469	управување со гневот
selfish	anger	0.469	себичен
injury	anger	0.469	повреда
exile	anger	0.469	егзил
insanity	anger	0.469	лудило
offense	anger	0.469	прекршок
objection	anger	0.469	приговор
smother	anger	0.469	задуши
disruption	anger	0.469	нарушување
intolerance	anger	0.469	нетолеранција
disobey	anger	0.469	непослушни
selfishness	anger	0.469	себичност
recidivism	anger	0.469	рецидивизам
subversive	anger	0.469	субверзивен
huff	anger	0.469	хаф
plunder	anger	0.469	грабеж
opposition	anger	0.469	опозиција
complain	anger	0.469	се жалат
perpetrator	anger	0.469	сторител
simmer	anger	0.469	врие
areyoukidding	anger	0.468	се шегувате
mug	anger	0.467	кригла
agony	anger	0.465	агонија
arrogant	anger	0.461	арогантен
sux	anger	0.456	сукс
vent	anger	0.456	вентилација
elimination	anger	0.456	елиминација
picketing	anger	0.456	пикетирање
haughty	anger	0.456	надмениот
grated	anger	0.455	рендан
flagrant	anger	0.455	флагрантен
busted	anger	0.455	разбиени
crabby	anger	0.455	краби
dying	anger	0.455	умирање
idiocy	anger	0.455	идиотизам
impermeable	anger	0.455	непропустливи
stubbed	anger	0.455	прободен
illegality	anger	0.455	незаконитоста
veto	anger	0.455	вето
constraint	anger	0.455	ограничување
mislead	anger	0.455	во заблуда
illicit	anger	0.455	недозволено
troublesome	anger	0.455	проблематично
clamor	anger	0.455	џагор
bayonet	anger	0.453	бајонет
suppress	anger	0.453	потиснуваат
intense	anger	0.453	интензивна
displeased	anger	0.453	незадоволен
disapproving	anger	0.453	неодобрување
