English Word	Emotion	Emotion-Intensity-Score	Sundanese Word
treachery	anger	0.719	panghianatan
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	kuda-kuda
slay	anger	0.719	maehan
disdain	anger	0.719	hina
aggravates	anger	0.719	ngaheureuykeun
brutal	anger	0.719	brutal
scorching	anger	0.719	hareudang
devil	anger	0.719	sétan
madden	anger	0.719	gelo
spiteful	anger	0.719	dengki
scream	anger	0.719	ngagorowok
choke	anger	0.719	nyekek
vermin	anger	0.719	hama
tumult	anger	0.719	kaributan
criminal	anger	0.714	kriminal
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkisme
mutilation	anger	0.714	mutilasi
denunciation	anger	0.713	denunciation
punch	anger	0.713	punch
virulence	anger	0.712	virulensi
fatal	anger	0.712	fatal
hurting	anger	0.712	nganyenyeri
crucifixion	anger	0.712	panyaliban
dontlikeyou	anger	0.712	teu resep anjeun
blasphemous	anger	0.712	ngahujat
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	dilawan
deranged	anger	0.706	kacau
irritated	anger	0.706	jengkel
atrocious	anger	0.706	atrocious
evil	anger	0.706	jahat
aggravated	anger	0.703	diperparah
intimidation	anger	0.703	nyingsieunan
dicks	anger	0.703	kontol
assassin	anger	0.703	rajapati
scolding	anger	0.703	nyeuri
persecution	anger	0.703	panganiayaan
slayer	anger	0.703	maehan
kidnap	anger	0.703	nyulik
aggression	anger	0.702	agresi
armed	anger	0.700	pakarang
battle	anger	0.697	perangna
poison	anger	0.697	racun
snarling	anger	0.697	ngagorowok
venom	anger	0.697	racun
disgruntled	anger	0.693	teu sugema
resentment	anger	0.691	ambek-ambekan
assailant	anger	0.691	panyerang
insidious	anger	0.691	insidious
contemptuous	anger	0.690	hina
lynch	anger	0.690	lynch
temper	anger	0.688	watekna
terrible	anger	0.688	dahsyat
disparage	anger	0.688	ngahinakeun
lunatic	anger	0.688	gélo
bully	anger	0.688	ngabully
mad	anger	0.688	gelo
makesmemad	anger	0.688	ngajadikeunmemad
infanticide	anger	0.688	pembunuhan orok
domination	anger	0.688	dominasi
peeved	anger	0.688	kesel
imprisonment	anger	0.688	panjara
curse	anger	0.688	kutukan
volatility	anger	0.687	volatility
eradication	anger	0.685	ngabasmi
eradicate	anger	0.682	ngabasmi
tantrum	anger	0.682	ambek-ambekan
scoundrel	anger	0.682	bajingan
devastate	anger	0.682	ngancurkeun
aggressively	anger	0.680	sacara agrésif
agitation	anger	0.680	guligah
dictatorship	anger	0.676	diktator
irritates	anger	0.676	ngaganggu
profanity	anger	0.673	kasaruaan
shove	anger	0.672	nyodorkeun
nasty	anger	0.672	jahat
shot	anger	0.672	ditembak
cruelly	anger	0.672	kejem
shoot	anger	0.672	némbak
condemnation	anger	0.672	panghukuman
crushed	anger	0.672	ditumbuk
aggravation	anger	0.672	kakeuheul
poisonous	anger	0.672	bahya
egregious	anger	0.672	egregious
crime	anger	0.672	kajahatan
corrupting	anger	0.672	ngaruksak
dastardly	anger	0.672	bangsat
contempt	anger	0.672	hina
harmful	anger	0.672	ngabahayakeun
expletive	anger	0.672	expletive
wreak	anger	0.672	ngawurukan
maniac	anger	0.670	maniak
cutthroat	anger	0.667	cutthroat
enemy	anger	0.667	musuh
hit	anger	0.667	neunggeul
hateeveryone	anger	0.667	hate dulur
eruption	anger	0.667	bitu
irritable	anger	0.667	jengkel
odious	anger	0.667	odious
shooting	anger	0.667	shooting
shout	anger	0.667	ngagorowok
aggressive	anger	0.667	agrésif
kick	anger	0.667	nyepak
combat	anger	0.667	ngempur
fight	anger	0.667	gelut
punished	anger	0.662	dihukum
yell	anger	0.661	ngagorowok
ambush	anger	0.661	tewak
harass	anger	0.659	ngaganggu
malignant	anger	0.656	ganas
aggressor	anger	0.656	panyerang
gore	anger	0.656	gore
destruction	anger	0.656	karuksakan
grudge	anger	0.656	dendam
antichrist	anger	0.656	dajjal
incense	anger	0.656	menyan
expel	anger	0.656	ngusir
cranky	anger	0.653	reuwas
slave	anger	0.652	budak
reprisal	anger	0.652	pamalesan
growl	anger	0.652	ngagerem
animosity	anger	0.652	mumusuhan
insurrection	anger	0.652	pemberontakan
clashing	anger	0.652	pasea
denounce	anger	0.652	ngabantah
offended	anger	0.652	gelo
spank	anger	0.652	nyentak
insulting	anger	0.652	ngahina
growls	anger	0.649	ngagerem
executioner	anger	0.644	algojo
twat	anger	0.644	twat
doomsday	anger	0.643	kiamat
obscenity	anger	0.641	kakeuheul
accused	anger	0.641	dituduh
feud	anger	0.641	pasea
daemon	anger	0.641	daémon
havoc	anger	0.641	malapetaka
shackle	anger	0.641	belenggu
inexcusable	anger	0.641	teu bisa dihampura
indignant	anger	0.641	ngambek
grr	anger	0.641	grr
expulsion	anger	0.641	pangusiran
bombard	anger	0.641	ngabom
spat	anger	0.641	nyiduh
arson	anger	0.641	ngaduruk
reprimand	anger	0.641	teguran
somad	anger	0.637	somad
frustrated	anger	0.636	frustasi
batter	anger	0.636	adonan
kicking	anger	0.636	nyentak
anarchy	anger	0.636	anarki
spanking	anger	0.636	nyentak
glaring	anger	0.636	molotot
suicidal	anger	0.636	bunuh diri
disgusting	anger	0.636	disgusting
wound	anger	0.636	tatu
hanging	anger	0.636	ngagantung
poisoned	anger	0.636	diracun
combatant	anger	0.636	pejuang
wrecked	anger	0.633	ancur
inflict	anger	0.633	nimbulkeun
grievous	anger	0.632	pikasediheun
prosecute	anger	0.630	ngagugat
agitated	anger	0.630	guligah
cheat	anger	0.630	curang
swastika	anger	0.627	swastika
injure	anger	0.625	cilaka
indict	anger	0.625	ngadakwa
scourge	anger	0.625	moyok
provocation	anger	0.625	provokasi
suffocation	anger	0.625	sesak napas
strife	anger	0.625	pasea
raid	anger	0.625	razia
enslaved	anger	0.625	diperbudak
cursing	anger	0.625	ngumpat
defamatory	anger	0.625	fitnah
harassing	anger	0.625	ngaganggu
thundering	anger	0.625	guludug
betray	anger	0.625	ngahianat
arsehole	anger	0.624	arsehole
theft	anger	0.621	maling
insane	anger	0.621	gélo
retaliation	anger	0.621	pamalesan
irritate	anger	0.621	ngaganggu
deprivation	anger	0.621	deprivation
fiend	anger	0.621	setan
jerk	anger	0.621	nyentak
convict	anger	0.621	ngahukum
cussed	anger	0.619	kuciwa
turmoil	anger	0.618	kaributan
smack	anger	0.615	smack
retribution	anger	0.614	retribusi
rebellion	anger	0.609	barontak
oppressor	anger	0.609	panganiaya
gang	anger	0.609	geng
slavery	anger	0.609	perbudakan
intolerable	anger	0.609	teu kaampeuh
adverse	anger	0.609	ngarugikeun
injurious	anger	0.609	cilaka
twats	anger	0.609	twats
collision	anger	0.609	tabrakan
battery	anger	0.609	batré
bitterly	anger	0.609	pait
antagonism	anger	0.609	antagonis
irritability	anger	0.609	sénsitip
disgraced	anger	0.608	dihinakeun
diatribe	anger	0.606	diatribe
asshole	anger	0.606	Bangsat
blast	anger	0.606	ngabeledug
bombardment	anger	0.606	ngabom
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	revolusi
thug	anger	0.606	preman
antagonistic	anger	0.606	antagonis
irritating	anger	0.606	iritasi
sickening	anger	0.606	ngaheureuyan
discrimination	anger	0.606	diskriminasi
frustrate	anger	0.604	ngagagalkeun
insult	anger	0.603	ngahina
hurtful	anger	0.603	nganyenyeri
oppression	anger	0.603	tekenan
manipulation	anger	0.603	manipulasi
tiredofit	anger	0.603	kacapean
bigot	anger	0.603	bageur
tension	anger	0.603	tegangan
disgust	anger	0.602	jijik
spite	anger	0.600	kadeudeuh
intrusive	anger	0.598	intrusive
harshness	anger	0.597	karasa
slur	anger	0.596	slur
tempest	anger	0.594	angin ribut
assail	anger	0.594	narajang
bitterness	anger	0.594	pait
morbidity	anger	0.594	morbidity
casualty	anger	0.594	korban jiwa
puncture	anger	0.594	tusukan
miserable	anger	0.594	sangsara
inferno	anger	0.594	inferno
invasion	anger	0.594	invasi
storming	anger	0.594	storming
wretch	anger	0.594	sial
consternation	anger	0.592	kahariwang
raving	anger	0.591	ngagorowok
forcibly	anger	0.591	sacara paksa
guillotine	anger	0.591	guillotine
guilty	anger	0.591	kaliru
depraved	anger	0.591	bejat
immoral	anger	0.591	amoral
overpowering	anger	0.591	overpowering
scare	anger	0.588	nyingsieunan
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	ngaco
accursed	anger	0.588	dikutuk
soannoyed	anger	0.588	jengkel
invader	anger	0.588	penjajah
jealousy	anger	0.587	timburuan
indignation	anger	0.587	amarah
vexed	anger	0.586	kesel
confront	anger	0.582	nyanghareupan
brute	anger	0.581	kasar
throttle	anger	0.579	throttle
slut	anger	0.578	pelacur
coup	anger	0.578	kudéta
blaze	anger	0.578	seuneu
pillage	anger	0.578	rampog
provoking	anger	0.578	provoking
damage	anger	0.578	karuksakan
criminality	anger	0.578	kriminalitas
shutup	anger	0.578	jempé
lash	anger	0.578	sebatan
conflict	anger	0.578	konflik
contentious	anger	0.578	pasea
shutit	anger	0.578	cicing
wreck	anger	0.578	bangkrut
defiant	anger	0.578	ngabantah
butcher	anger	0.578	tukang jagal
incarceration	anger	0.578	panjara
revolver	anger	0.578	revolver
bickering	anger	0.578	pasea
yousuck	anger	0.578	Anjeun pikasebeleun
cancer	anger	0.577	kanker
discriminate	anger	0.576	ngabentenkeun
gun	anger	0.576	bedil
frustration	anger	0.576	hanjelu
gory	anger	0.576	goy
pernicious	anger	0.576	pernicious
dontmess	anger	0.576	ulah kacau
blasphemy	anger	0.576	ngahujat
chaotic	anger	0.576	kacau
grope	anger	0.576	ngaraba-raba
alienation	anger	0.576	ngasingkeun
disturbance	anger	0.576	gangguan
condescension	anger	0.576	ngarendahkeun
standoff	anger	0.576	standoff
discord	anger	0.576	pasea
friggen	anger	0.575	friggen
sneer	anger	0.574	nyedek
death	anger	0.574	maot
lunacy	anger	0.574	kalemahan
scandalous	anger	0.574	skandal
oppressive	anger	0.574	opresif
jab	anger	0.574	jab
cursed	anger	0.574	dikutuk
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	sial
disparaging	anger	0.571	ngahinakeun
slash	anger	0.571	tebasan
unfair	anger	0.571	teu adil
gallows	anger	0.570	gantungan
escalate	anger	0.569	naék
intolerant	anger	0.564	teu toleran
lawlessness	anger	0.563	kajahatan
beast	anger	0.562	sato galak
torpedo	anger	0.562	torpedo
malign	anger	0.562	ganas
traitor	anger	0.562	panghianatan
frightful	anger	0.562	pikasieuneun
wrangling	anger	0.562	wrangling
slander	anger	0.562	fitnah
bellows	anger	0.562	bellows
retards	anger	0.562	retards
grouchy	anger	0.562	keresek
derogatory	anger	0.562	ngahinakeun
bearish	anger	0.562	bearish
invade	anger	0.562	narajang
perdition	anger	0.562	kabinasaan
arghh	anger	0.562	arghh
dreadful	anger	0.562	pikasieuneun
bluddy	anger	0.562	bluddy
deceived	anger	0.562	ditipu
glare	anger	0.562	sorotan
taunt	anger	0.562	ngahina
dissension	anger	0.561	pasea
cross	anger	0.561	meuntas
rave	anger	0.561	ngareuah-reuah
grating	anger	0.561	kisi-kisi
devastating	anger	0.561	ngaruksak
fits	anger	0.561	ngepas
jeopardize	anger	0.561	ngabahayakeun
shatter	anger	0.561	ngarecah
idiots	anger	0.561	jelema bodo
hurt	anger	0.561	cilaka
thief	anger	0.561	maling
uncontrollable	anger	0.561	teu kaampeuh
conflagration	anger	0.561	kahuruan
betrayal	anger	0.561	panghianatan
banshee	anger	0.561	banshee
subjugation	anger	0.559	subjugation
disturbed	anger	0.559	kaganggu
stomped	anger	0.557	ditincak
grab	anger	0.557	ngarebut
grievance	anger	0.556	wadul
ticked	anger	0.556	ditilik
masochism	anger	0.556	masokisme
defiance	anger	0.552	bantahan
blackmail	anger	0.550	meres
offensive	anger	0.549	karasa
decry	anger	0.548	ngahukum
frustrates	anger	0.547	frustrates
violation	anger	0.547	palanggaran
confine	anger	0.547	ngurung
misery	anger	0.547	kasangsaraan
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparity
punishment	anger	0.547	hukuman
rebel	anger	0.547	barontak
preposterous	anger	0.547	pikasebeleun
disgraceful	anger	0.547	hina
ire	anger	0.547	ambek
deceive	anger	0.547	nipu
fustrated	anger	0.547	kacau
sin	anger	0.547	dosa
shrill	anger	0.547	nyaring
darkside	anger	0.547	sisi poek
overbearing	anger	0.547	overbearing
firearms	anger	0.547	senjata api
stolen	anger	0.546	dipaling
hadenough	anger	0.546	hade pisan
prejudice	anger	0.545	prasangka
tackle	anger	0.545	tackle
resentful	anger	0.545	ambek-ambekan
heated	anger	0.545	dipanaskeun
callous	anger	0.545	teu karasa
conspirator	anger	0.545	konspirator
ruined	anger	0.545	ancur
antagonist	anger	0.545	antagonis
skirmish	anger	0.545	pasea
menace	anger	0.545	ancaman
annoyin	anger	0.545	ngaganggu
foul	anger	0.545	ngalanggar
argument	anger	0.545	argumen
humiliate	anger	0.545	ngahinakeun
wanker	anger	0.545	wanker
adversary	anger	0.545	musuh
sting	anger	0.544	nyeureud
entangled	anger	0.544	kabeungkeut
grumble	anger	0.544	gumujeng
robbery	anger	0.544	rampog
outcry	anger	0.544	ngagorowok
resistance	anger	0.543	lalawanan
irreconcilable	anger	0.543	irreconcilable
obstructive	anger	0.542	ngahalangan
dismay	anger	0.540	kahariwang
mob	anger	0.538	mob
juststop	anger	0.537	ngan eureun
badness	anger	0.536	kagoréngan
ridicule	anger	0.534	nyindiran
incendiary	anger	0.533	ngabakar
flares	anger	0.532	flares
twofaced	anger	0.531	dua rupa
reckless	anger	0.531	gagabah
communism	anger	0.531	komunisme
allegation	anger	0.531	sangkaan
prejudicial	anger	0.531	prasangka
whip	anger	0.531	pecut
unbridled	anger	0.531	teu kaampeuh
degeneracy	anger	0.531	degenerasi
intruder	anger	0.531	panyusup
belittle	anger	0.531	ngarendahkeun
confinement	anger	0.531	kurungan
dispute	anger	0.531	sengketa
exacerbation	anger	0.531	exacerbation
uprising	anger	0.531	pemberontakan
unjust	anger	0.530	teu adil
unjustifiable	anger	0.530	unjustifiable
perversion	anger	0.530	perversion
bigoted	anger	0.530	bigoted
fiesty	anger	0.530	galak
offender	anger	0.530	palaku
dictatorial	anger	0.530	diktator
hassle	anger	0.530	repot
dissonance	anger	0.530	disonansi
tackled	anger	0.530	ditakol
renegade	anger	0.529	murtad
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	ngalanggar
hot	anger	0.529	panas
prison	anger	0.529	panjara
suicide	anger	0.521	bunuh diri
annoy	anger	0.520	ngaganggu
leavemealone	anger	0.517	kantunkeun abdi nyalira
cretins	anger	0.516	cretins
depravity	anger	0.516	depravity
idiotic	anger	0.516	idiot
dishonest	anger	0.516	teu jujur
distrust	anger	0.516	teu percaya
broil	anger	0.516	ngagoreng
grrr	anger	0.516	grrr
criticize	anger	0.516	nyempad
inimical	anger	0.516	ngahina
tortious	anger	0.516	ngaheureuyan
prisoner	anger	0.516	tahanan
treason	anger	0.516	panghianatan
divorce	anger	0.516	cerai
venting	anger	0.516	ventilasi
duress	anger	0.516	maksa
disrespectful	anger	0.516	teu hormat
poaching	anger	0.515	poaching
scold	anger	0.515	nyeuri
poachers	anger	0.515	poachers
pow	anger	0.515	pow
hangry	anger	0.515	hareudang
argumentation	anger	0.515	arguméntasi
frustrating	anger	0.515	frustasi
unkind	anger	0.515	teu sopan
roar	anger	0.515	ngagaur
coercion	anger	0.515	paksaan
unforgiving	anger	0.515	teu ngahampura
grump	anger	0.515	gegeroan
bile	anger	0.515	empedu
unleash	anger	0.515	ngaleupaskeun
chaos	anger	0.515	karusuhan
victimized	anger	0.515	dikorbankeun
jerks	anger	0.515	sentak
tussle	anger	0.514	tawuran
bane	anger	0.511	kutukan
accusation	anger	0.510	tuduh
enmity	anger	0.510	mumusuhan
repudiation	anger	0.510	repudiation
banish	anger	0.509	ngusir
disfigured	anger	0.508	cacad
storm	anger	0.507	ribut
crazy	anger	0.500	gelo
hammering	anger	0.500	palu
defy	anger	0.500	ngabantah
antithesis	anger	0.500	antitésis
scoff	anger	0.500	nyedek
anguish	anger	0.500	kanyeri
confined	anger	0.500	dikurung
fear	anger	0.500	sieun
bout	anger	0.500	pertarungan
unruly	anger	0.500	teu kaurus
delusional	anger	0.500	delusional
obstruct	anger	0.500	ngahalangan
possessed	anger	0.500	dipiboga
injustice	anger	0.500	kateuadilan
fervor	anger	0.500	sumanget
spear	anger	0.500	tumbak
derision	anger	0.500	hinaan
intractable	anger	0.500	teu kaampeuh
reject	anger	0.500	nolak
dominate	anger	0.500	ngadominasi
ordeal	anger	0.500	cobaan
banished	anger	0.500	dibuang
rejects	anger	0.500	nolak
shun	anger	0.500	ngajauhan
brunt	anger	0.500	brunt
derogation	anger	0.500	derogation
frenzied	anger	0.500	pabaliut
animus	anger	0.500	animus
suppression	anger	0.500	suprési
malpractice	anger	0.500	malpractice
brazen	anger	0.500	kurang ajar
foaming	anger	0.500	berbusa
disrupting	anger	0.500	ngaganggu
nobodycares	anger	0.500	taya nu paduli
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	mertahankeun diri
toughness	anger	0.492	kateguhan
stupidpeople	anger	0.492	jelema bodo
madness	anger	0.491	kagila-gilaan
sinful	anger	0.491	dosa
avarice	anger	0.490	karanjingan
oppress	anger	0.490	neken
cutting	anger	0.485	motongan
anathema	anger	0.485	kutukan
annoyed	anger	0.485	keuheul
dissident	anger	0.485	dissident
demand	anger	0.485	paménta
usurp	anger	0.485	ngarebut
claw	anger	0.485	cakar
alienate	anger	0.485	ngasingkeun
infraction	anger	0.485	palanggaran
avenger	anger	0.485	pamales kanyeri
revoke	anger	0.485	nyabut
smuggler	anger	0.485	penyeludup
abolish	anger	0.485	ngaleungitkeun
fricking	anger	0.485	ngagitik
stayaway	anger	0.485	ngajauhan
pervert	anger	0.485	nyimpang
disservice	anger	0.485	dilayanan
disobedient	anger	0.485	teu patuh
incest	anger	0.485	incest
complaint	anger	0.485	keluhan
disapproved	anger	0.485	teu disatujuan
inhuman	anger	0.485	teu manusiawi
mocking	anger	0.484	moyok
penalty	anger	0.484	pinalti
renounce	anger	0.484	nyingkirkeun
restrain	anger	0.484	nahan
upheaval	anger	0.484	pergolakan
deceit	anger	0.484	tipu daya
obnoxious	anger	0.484	keuheul
imprisoned	anger	0.484	dipenjara
strained	anger	0.484	tegang
blame	anger	0.484	nyalahkeun
oust	anger	0.484	ngusir
litigious	anger	0.484	litigious
rivalry	anger	0.484	saingan
sucker	anger	0.484	nyeuseup
opposed	anger	0.484	dilawan
thresh	anger	0.484	ngirik
disgrace	anger	0.484	aib
suspicious	anger	0.484	curiga
turbulence	anger	0.483	karusuhan
pound	anger	0.481	pon
coldness	anger	0.477	tiiseun
ungrateful	anger	0.472	teu bersyukur
stoopid	anger	0.471	jongjon
battalion	anger	0.471	batalyon
feudalism	anger	0.470	feodalisme
hostage	anger	0.470	sandera
annoying	anger	0.470	ngaganggu
dispossessed	anger	0.470	dispossessed
subversion	anger	0.470	subversion
friction	anger	0.470	gesekan
jealous	anger	0.470	timburu
adversity	anger	0.470	kasangsaraan
infidel	anger	0.470	kafir
gall	anger	0.470	peurih
accuser	anger	0.470	panuduh
ram	anger	0.470	Ram
armament	anger	0.470	pakarang
thump	anger	0.469	tumpeng
dislike	anger	0.469	teu resep
steal	anger	0.469	maok
backoff	anger	0.469	mundur
stifled	anger	0.469	ngahalangan
incite	anger	0.469	ngahasut
distress	anger	0.469	marabahaya
angermanagement	anger	0.469	manajemén amarah
selfish	anger	0.469	egois
injury	anger	0.469	tatu
exile	anger	0.469	pangbuangan
insanity	anger	0.469	kagila-gilaan
offense	anger	0.469	ngalanggar
objection	anger	0.469	bantahan
smother	anger	0.469	ngahalangan
disruption	anger	0.469	gangguan
intolerance	anger	0.469	teu toleran
disobey	anger	0.469	teu nurut
selfishness	anger	0.469	mentingkeun diri
recidivism	anger	0.469	residivisme
subversive	anger	0.469	subversif
huff	anger	0.469	huff
plunder	anger	0.469	rampog
opposition	anger	0.469	oposisi
