English Word	Emotion	Emotion-Intensity-Score	Chinese-Traditional Word
persecute	anger	0.734	迫害
deplore	anger	0.734	痛惜
flog	anger	0.734	鞭打
fedup	anger	0.734	受夠了
riotous	anger	0.734	暴亂的
vehement	anger	0.734	慷慨
revolt	anger	0.734	反叛
warfare	anger	0.734	戰爭
thrash	anger	0.734	捶打
altercation	anger	0.729	爭吵
warlike	anger	0.728	好戰
shitday	anger	0.727	狗屎天
mutiny	anger	0.727	兵變
castrate	anger	0.727	閹割
sabotage	anger	0.727	破壞
malevolent	anger	0.721	惡毒的
strike	anger	0.721	罷工
disaster	anger	0.721	災難
disastrous	anger	0.720	慘重
bastarding	anger	0.719	混蛋
treachery	anger	0.719	背信棄義
arseholes	anger	0.719	混蛋
horseshit	anger	0.719	胡說
slay	anger	0.719	誅戮
disdain	anger	0.719	蔑視
aggravates	anger	0.719	加重
brutal	anger	0.719	野蠻
scorching	anger	0.719	灼熱
devil	anger	0.719	魔鬼
madden	anger	0.719	瘋了
spiteful	anger	0.719	惡意的
scream	anger	0.719	尖叫
choke	anger	0.719	嗆
vermin	anger	0.719	害蟲
tumult	anger	0.719	騷動
criminal	anger	0.714	刑事
mangle	anger	0.714	破壞
anarchism	anger	0.714	無政府主義
mutilation	anger	0.714	肢解
denunciation	anger	0.713	譴責
punch	anger	0.713	沖床
virulence	anger	0.712	毒力
fatal	anger	0.712	致命的
hurting	anger	0.712	傷害
crucifixion	anger	0.712	釘十字架
dontlikeyou	anger	0.712	不喜歡你
blasphemous	anger	0.712	褻瀆神明的
holocaust	anger	0.712	大屠殺
dumbasses	anger	0.712	笨蛋
battled	anger	0.712	戰鬥
deranged	anger	0.706	精神錯亂
irritated	anger	0.706	煩躁
atrocious	anger	0.706	殘暴
evil	anger	0.706	邪惡的
aggravated	anger	0.703	加重
intimidation	anger	0.703	恐嚇
dicks	anger	0.703	迪克斯
assassin	anger	0.703	刺客
scolding	anger	0.703	罵
persecution	anger	0.703	迫害
slayer	anger	0.703	殺手
kidnap	anger	0.703	綁架
aggression	anger	0.702	侵略
armed	anger	0.700	武裝
battle	anger	0.697	戰鬥
poison	anger	0.697	毒
snarling	anger	0.697	咆哮
venom	anger	0.697	毒液
disgruntled	anger	0.693	不滿
resentment	anger	0.691	怨恨
assailant	anger	0.691	襲擊者
insidious	anger	0.691	陰險
contemptuous	anger	0.690	輕蔑的
lynch	anger	0.690	私刑
temper	anger	0.688	脾氣
terrible	anger	0.688	糟糕的
disparage	anger	0.688	貶損
lunatic	anger	0.688	瘋子
bully	anger	0.688	欺負
mad	anger	0.688	瘋狂的
makesmemad	anger	0.688	使我瘋狂
infanticide	anger	0.688	殺嬰
domination	anger	0.688	統治
peeved	anger	0.688	惱怒
imprisonment	anger	0.688	監禁
curse	anger	0.688	詛咒
volatility	anger	0.687	揮發性
eradication	anger	0.685	根除
eradicate	anger	0.682	根除
tantrum	anger	0.682	發脾氣
scoundrel	anger	0.682	惡棍
devastate	anger	0.682	蹂躪
aggressively	anger	0.680	積極地
agitation	anger	0.680	攪動
dictatorship	anger	0.676	專政
irritates	anger	0.676	激怒
profanity	anger	0.673	褻瀆
shove	anger	0.672	推
nasty	anger	0.672	討厭
shot	anger	0.672	射擊
cruelly	anger	0.672	殘酷地
shoot	anger	0.672	射擊
condemnation	anger	0.672	譴責
crushed	anger	0.672	碎
aggravation	anger	0.672	加重
poisonous	anger	0.672	有毒
egregious	anger	0.672	令人震驚的
crime	anger	0.672	犯罪
corrupting	anger	0.672	腐敗的
dastardly	anger	0.672	卑鄙地
contempt	anger	0.672	鄙視
harmful	anger	0.672	有害
expletive	anger	0.672	髒話
wreak	anger	0.672	惡作劇
maniac	anger	0.670	瘋子
cutthroat	anger	0.667	殘酷的
enemy	anger	0.667	敵人
hit	anger	0.667	打
hateeveryone	anger	0.667	恨所有人
eruption	anger	0.667	噴發
irritable	anger	0.667	煩躁
odious	anger	0.667	可惡的
shooting	anger	0.667	射擊
shout	anger	0.667	喊
aggressive	anger	0.667	挑釁的
kick	anger	0.667	踢
combat	anger	0.667	戰鬥
fight	anger	0.667	鬥爭
punished	anger	0.662	受到懲罰
yell	anger	0.661	叫喊
ambush	anger	0.661	伏擊
harass	anger	0.659	騷擾
malignant	anger	0.656	惡性的
aggressor	anger	0.656	侵略者
gore	anger	0.656	血塊
destruction	anger	0.656	破壞
grudge	anger	0.656	怨恨
antichrist	anger	0.656	敵基督
incense	anger	0.656	香
expel	anger	0.656	驅逐
cranky	anger	0.653	胡思亂想
slave	anger	0.652	奴隸
reprisal	anger	0.652	報復
growl	anger	0.652	咆哮
animosity	anger	0.652	敵意
insurrection	anger	0.652	起義
clashing	anger	0.652	衝突的
denounce	anger	0.652	聲討
offended	anger	0.652	被冒犯了
spank	anger	0.652	打屁股
insulting	anger	0.652	侮辱
growls	anger	0.649	咆哮
executioner	anger	0.644	劊子手
twat	anger	0.644	娘們
doomsday	anger	0.643	末日
obscenity	anger	0.641	淫穢
accused	anger	0.641	被告
feud	anger	0.641	世仇
daemon	anger	0.641	守護進程
havoc	anger	0.641	浩劫
shackle	anger	0.641	枷鎖
inexcusable	anger	0.641	不可原諒
indignant	anger	0.641	憤怒
grr	anger	0.641	gr
expulsion	anger	0.641	開除
bombard	anger	0.641	轟擊
spat	anger	0.641	口角
arson	anger	0.641	縱火
reprimand	anger	0.641	懲戒
somad	anger	0.637	索馬德
frustrated	anger	0.636	沮喪的
batter	anger	0.636	麵糊
kicking	anger	0.636	踢
anarchy	anger	0.636	無政府狀態
spanking	anger	0.636	打屁股
glaring	anger	0.636	刺眼
suicidal	anger	0.636	自殺的
disgusting	anger	0.636	噁心
wound	anger	0.636	傷口
hanging	anger	0.636	絞刑
poisoned	anger	0.636	中毒
combatant	anger	0.636	戰鬥員
wrecked	anger	0.633	失事
inflict	anger	0.633	施加
grievous	anger	0.632	悲傷的
prosecute	anger	0.630	起訴
agitated	anger	0.630	激動
cheat	anger	0.630	欺騙
swastika	anger	0.627	卍
injure	anger	0.625	損傷
indict	anger	0.625	起訴
scourge	anger	0.625	禍害
provocation	anger	0.625	挑釁
suffocation	anger	0.625	窒息
strife	anger	0.625	衝突
raid	anger	0.625	襲擊
enslaved	anger	0.625	被奴役
cursing	anger	0.625	咒罵
defamatory	anger	0.625	誹謗的
harassing	anger	0.625	騷擾
thundering	anger	0.625	雷鳴般的
betray	anger	0.625	背叛
arsehole	anger	0.624	混蛋
theft	anger	0.621	盜竊
insane	anger	0.621	瘋狂的
retaliation	anger	0.621	報復
irritate	anger	0.621	刺激
deprivation	anger	0.621	剝奪
fiend	anger	0.621	惡魔
jerk	anger	0.621	混蛋
convict	anger	0.621	定罪
cussed	anger	0.619	被詛咒
turmoil	anger	0.618	動盪
smack	anger	0.615	咂嘴
retribution	anger	0.614	報應
rebellion	anger	0.609	叛亂
oppressor	anger	0.609	壓迫者
gang	anger	0.609	幫派
slavery	anger	0.609	奴隸制
intolerable	anger	0.609	無法忍受
adverse	anger	0.609	不利的
injurious	anger	0.609	有害的
twats	anger	0.609	笨蛋
collision	anger	0.609	碰撞
battery	anger	0.609	電池
bitterly	anger	0.609	苦澀
antagonism	anger	0.609	對抗
irritability	anger	0.609	易怒
disgraced	anger	0.608	丟臉
diatribe	anger	0.606	謾罵
asshole	anger	0.606	混蛋
blast	anger	0.606	爆破
bombardment	anger	0.606	轟擊
irks	anger	0.606	討厭
ranting	anger	0.606	咆哮
revolution	anger	0.606	革命
thug	anger	0.606	暴徒
antagonistic	anger	0.606	敵對的
irritating	anger	0.606	惱人的
sickening	anger	0.606	令人作嘔
discrimination	anger	0.606	歧視
frustrate	anger	0.604	阻撓
insult	anger	0.603	侮辱
hurtful	anger	0.603	傷人的
oppression	anger	0.603	壓迫
manipulation	anger	0.603	操縱
tiredofit	anger	0.603	厭倦了
bigot	anger	0.603	偏執狂
tension	anger	0.603	緊張
disgust	anger	0.602	厭惡
spite	anger	0.600	儘管
intrusive	anger	0.598	侵入性的
harshness	anger	0.597	嚴厲
slur	anger	0.596	誹謗
tempest	anger	0.594	暴風雨
assail	anger	0.594	攻擊
bitterness	anger	0.594	苦味
morbidity	anger	0.594	發病率
casualty	anger	0.594	傷亡
puncture	anger	0.594	刺
miserable	anger	0.594	悲慘的
inferno	anger	0.594	地獄
invasion	anger	0.594	入侵
storming	anger	0.594	猛攻
wretch	anger	0.594	可憐的
consternation	anger	0.592	驚愕
raving	anger	0.591	狂言
forcibly	anger	0.591	強制
guillotine	anger	0.591	斷頭台
guilty	anger	0.591	有罪的
depraved	anger	0.591	墮落的
immoral	anger	0.591	不道德
overpowering	anger	0.591	壓倒性的
scare	anger	0.588	嚇
recalcitrant	anger	0.588	頑固的
screwed	anger	0.588	擰緊
accursed	anger	0.588	被詛咒的
soannoyed	anger	0.588	生氣
invader	anger	0.588	侵略者
jealousy	anger	0.587	妒忌
indignation	anger	0.587	憤慨
vexed	anger	0.586	煩惱
confront	anger	0.582	面對
brute	anger	0.581	蠻橫的
throttle	anger	0.579	風門
slut	anger	0.578	蕩婦
coup	anger	0.578	政變
blaze	anger	0.578	火焰
pillage	anger	0.578	掠奪
provoking	anger	0.578	挑釁
damage	anger	0.578	損害
criminality	anger	0.578	犯罪
shutup	anger	0.578	住口
lash	anger	0.578	睫毛
conflict	anger	0.578	衝突
contentious	anger	0.578	有爭議的
shutit	anger	0.578	關掉它
wreck	anger	0.578	破壞
defiant	anger	0.578	挑釁
butcher	anger	0.578	屠夫
incarceration	anger	0.578	監禁
revolver	anger	0.578	左輪手槍
bickering	anger	0.578	爭吵
yousuck	anger	0.578	你好爛
cancer	anger	0.577	癌症
discriminate	anger	0.576	辨析
gun	anger	0.576	槍
frustration	anger	0.576	挫折
gory	anger	0.576	血腥
pernicious	anger	0.576	有害
dontmess	anger	0.576	別亂
blasphemy	anger	0.576	褻瀆神明
chaotic	anger	0.576	混亂的
grope	anger	0.576	摸索
alienation	anger	0.576	異化
disturbance	anger	0.576	騷亂
condescension	anger	0.576	屈尊俯就
standoff	anger	0.576	對峙
discord	anger	0.576	不和諧
friggen	anger	0.575	冰箱
sneer	anger	0.574	冷笑
death	anger	0.574	死亡
lunacy	anger	0.574	瘋癲
scandalous	anger	0.574	醜聞
oppressive	anger	0.574	壓迫性的
jab	anger	0.574	戳
cursed	anger	0.574	詛咒
monstrosity	anger	0.574	怪物
shit	anger	0.573	拉屎
disparaging	anger	0.571	貶低
slash	anger	0.571	削減
unfair	anger	0.571	不公平
gallows	anger	0.570	絞刑架
escalate	anger	0.569	升級
intolerant	anger	0.564	不可忍耐
lawlessness	anger	0.563	無法無天
beast	anger	0.562	獸
torpedo	anger	0.562	魚雷
malign	anger	0.562	誹謗
traitor	anger	0.562	叛徒
frightful	anger	0.562	可怕
wrangling	anger	0.562	爭吵
slander	anger	0.562	誹謗
bellows	anger	0.562	波紋管
retards	anger	0.562	延緩
grouchy	anger	0.562	不高興
derogatory	anger	0.562	貶
bearish	anger	0.562	看跌
invade	anger	0.562	入侵
perdition	anger	0.562	滅亡
arghh	anger	0.562	啊啊
dreadful	anger	0.562	可怕
bluddy	anger	0.562	渾濁
deceived	anger	0.562	受騙
glare	anger	0.562	強光
taunt	anger	0.562	嘲諷
dissension	anger	0.561	糾紛
cross	anger	0.561	叉
rave	anger	0.561	狂歡
grating	anger	0.561	光柵
devastating	anger	0.561	毀滅性的
fits	anger	0.561	適合
jeopardize	anger	0.561	危害
shatter	anger	0.561	粉碎
idiots	anger	0.561	白痴
hurt	anger	0.561	傷害
thief	anger	0.561	賊
uncontrollable	anger	0.561	不可控
conflagration	anger	0.561	大火
betrayal	anger	0.561	背叛
banshee	anger	0.561	女妖
subjugation	anger	0.559	征服
disturbed	anger	0.559	不安
stomped	anger	0.557	跺著腳
grab	anger	0.557	抓住
grievance	anger	0.556	委屈
ticked	anger	0.556	打勾
masochism	anger	0.556	受虐狂
defiance	anger	0.552	蔑視
blackmail	anger	0.550	勒索
offensive	anger	0.549	進攻
decry	anger	0.548	譴責
frustrates	anger	0.547	挫敗
violation	anger	0.547	違反
confine	anger	0.547	局限
misery	anger	0.547	苦難
arghhhh	anger	0.547	啊啊啊
disparity	anger	0.547	差距
punishment	anger	0.547	懲罰
rebel	anger	0.547	反叛
preposterous	anger	0.547	荒謬
disgraceful	anger	0.547	可恥
ire	anger	0.547	憤怒
deceive	anger	0.547	欺騙
fustrated	anger	0.547	沮喪的
sin	anger	0.547	罪
shrill	anger	0.547	尖銳
darkside	anger	0.547	陰暗面
overbearing	anger	0.547	霸道
firearms	anger	0.547	槍支
stolen	anger	0.546	被盜
hadenough	anger	0.546	受夠了
prejudice	anger	0.545	偏見
tackle	anger	0.545	處理
resentful	anger	0.545	不滿
heated	anger	0.545	加熱的
callous	anger	0.545	冷酷
conspirator	anger	0.545	同謀
ruined	anger	0.545	毀了
antagonist	anger	0.545	拮抗劑
skirmish	anger	0.545	小衝突
menace	anger	0.545	威脅
annoyin	anger	0.545	煩人
foul	anger	0.545	犯規
argument	anger	0.545	爭論
humiliate	anger	0.545	羞辱
wanker	anger	0.545	混蛋
adversary	anger	0.545	對手
sting	anger	0.544	刺
entangled	anger	0.544	糾纏不清
grumble	anger	0.544	嘰
robbery	anger	0.544	搶劫
outcry	anger	0.544	強烈抗議
resistance	anger	0.543	反抗
irreconcilable	anger	0.543	不可調和的
obstructive	anger	0.542	阻塞的
dismay	anger	0.540	沮喪
mob	anger	0.538	暴民
juststop	anger	0.537	停下來
badness	anger	0.536	壞處
ridicule	anger	0.534	嘲笑
incendiary	anger	0.533	燃燒的
flares	anger	0.532	耀斑
twofaced	anger	0.531	雙面
reckless	anger	0.531	魯莽
communism	anger	0.531	共產主義
allegation	anger	0.531	指控
prejudicial	anger	0.531	有偏見的
whip	anger	0.531	鞭子
unbridled	anger	0.531	肆無忌憚
degeneracy	anger	0.531	退化
intruder	anger	0.531	入侵者
belittle	anger	0.531	貶低
confinement	anger	0.531	坐月子
dispute	anger	0.531	爭議
exacerbation	anger	0.531	惡化
uprising	anger	0.531	起義
unjust	anger	0.530	不公正的
unjustifiable	anger	0.530	無理
perversion	anger	0.530	變態
bigoted	anger	0.530	偏執的
fiesty	anger	0.530	熱鬧
offender	anger	0.530	罪犯
dictatorial	anger	0.530	獨裁
hassle	anger	0.530	麻煩
dissonance	anger	0.530	不和諧
tackled	anger	0.530	解決了
renegade	anger	0.529	叛徒
cantstandit	anger	0.529	無法忍受
trespass	anger	0.529	侵入
hot	anger	0.529	熱的
prison	anger	0.529	監獄
suicide	anger	0.521	自殺
annoy	anger	0.520	惹惱
leavemealone	anger	0.517	請別打擾我
cretins	anger	0.516	白痴
depravity	anger	0.516	墮落
idiotic	anger	0.516	白痴
dishonest	anger	0.516	不誠實
distrust	anger	0.516	懷疑
broil	anger	0.516	烤
grrr	anger	0.516	呸呸呸
criticize	anger	0.516	批評
inimical	anger	0.516	敵對的
tortious	anger	0.516	侵權的
prisoner	anger	0.516	囚犯
treason	anger	0.516	叛國罪
divorce	anger	0.516	離婚
venting	anger	0.516	發洩
duress	anger	0.516	脅迫
disrespectful	anger	0.516	不敬
poaching	anger	0.515	偷獵
scold	anger	0.515	罵
poachers	anger	0.515	偷獵者
pow	anger	0.515	戰俘
hangry	anger	0.515	衣架
argumentation	anger	0.515	論證
frustrating	anger	0.515	令人沮喪
unkind	anger	0.515	刻薄
roar	anger	0.515	怒吼
coercion	anger	0.515	強迫
unforgiving	anger	0.515	無情
grump	anger	0.515	脾氣暴躁
bile	anger	0.515	膽汁
unleash	anger	0.515	發揮
chaos	anger	0.515	混亂
victimized	anger	0.515	受害
jerks	anger	0.515	混蛋
tussle	anger	0.514	打架
bane	anger	0.511	禍根
accusation	anger	0.510	指控
enmity	anger	0.510	敵意
repudiation	anger	0.510	否認
banish	anger	0.509	放逐
disfigured	anger	0.508	毀容
storm	anger	0.507	風暴
crazy	anger	0.500	瘋狂的
hammering	anger	0.500	錘擊
defy	anger	0.500	違抗
antithesis	anger	0.500	對立
scoff	anger	0.500	嘲笑
anguish	anger	0.500	苦惱
confined	anger	0.500	受限的
fear	anger	0.500	恐懼
bout	anger	0.500	回合
unruly	anger	0.500	不羈
delusional	anger	0.500	妄想
obstruct	anger	0.500	阻礙
possessed	anger	0.500	擁有
injustice	anger	0.500	不公正
fervor	anger	0.500	熱情
spear	anger	0.500	矛
derision	anger	0.500	嘲笑
intractable	anger	0.500	棘手的
reject	anger	0.500	拒絕
dominate	anger	0.500	支配
ordeal	anger	0.500	考驗
banished	anger	0.500	放逐
rejects	anger	0.500	拒絕
shun	anger	0.500	順
brunt	anger	0.500	首當其衝
derogation	anger	0.500	減損
frenzied	anger	0.500	喪心病狂
animus	anger	0.500	敵意
suppression	anger	0.500	抑制
malpractice	anger	0.500	弊端
brazen	anger	0.500	厚顏無恥
foaming	anger	0.500	起泡
disrupting	anger	0.500	擾亂
nobodycares	anger	0.500	沒人在乎
patronising	anger	0.500	光顧
getoveryourself	anger	0.495	克服自己
toughness	anger	0.492	韌性
stupidpeople	anger	0.492	愚蠢的人
madness	anger	0.491	瘋狂
sinful	anger	0.491	有罪的
avarice	anger	0.490	貪婪
oppress	anger	0.490	壓迫
cutting	anger	0.485	切割
anathema	anger	0.485	詛咒
annoyed	anger	0.485	惱火
dissident	anger	0.485	持不同政見者
demand	anger	0.485	要求
usurp	anger	0.485	篡
claw	anger	0.485	爪
alienate	anger	0.485	離間
infraction	anger	0.485	違規
avenger	anger	0.485	復仇者
revoke	anger	0.485	撤銷
smuggler	anger	0.485	走私者
abolish	anger	0.485	廢除
fricking	anger	0.485	弗里克
stayaway	anger	0.485	遠離
pervert	anger	0.485	變態
disservice	anger	0.485	傷害
disobedient	anger	0.485	忤
incest	anger	0.485	亂倫
complaint	anger	0.485	抱怨
disapproved	anger	0.485	未獲批准
inhuman	anger	0.485	不人道
mocking	anger	0.484	嘲弄
penalty	anger	0.484	懲罰
renounce	anger	0.484	放棄
restrain	anger	0.484	抑制
upheaval	anger	0.484	動盪
deceit	anger	0.484	欺騙
obnoxious	anger	0.484	討厭的
imprisoned	anger	0.484	被監禁
strained	anger	0.484	緊張
blame	anger	0.484	責備
oust	anger	0.484	驅逐
litigious	anger	0.484	訴訟
rivalry	anger	0.484	對抗
sucker	anger	0.484	吸盤
opposed	anger	0.484	反對
thresh	anger	0.484	脫粒
disgrace	anger	0.484	恥辱
suspicious	anger	0.484	可疑的
turbulence	anger	0.483	湍流
pound	anger	0.481	磅
coldness	anger	0.477	寒冷
ungrateful	anger	0.472	忘恩負義
stoopid	anger	0.471	笨蛋
battalion	anger	0.471	營
feudalism	anger	0.470	封建
hostage	anger	0.470	人質
annoying	anger	0.470	惱人的
dispossessed	anger	0.470	被剝奪
subversion	anger	0.470	顛覆
friction	anger	0.470	摩擦
jealous	anger	0.470	嫉妒的
adversity	anger	0.470	逆境
infidel	anger	0.470	異教徒
gall	anger	0.470	癭
accuser	anger	0.470	原告
ram	anger	0.470	內存
armament	anger	0.470	武器
thump	anger	0.469	撲通
dislike	anger	0.469	不喜歡
steal	anger	0.469	偷
backoff	anger	0.469	退避
stifled	anger	0.469	窒息
incite	anger	0.469	煽動
distress	anger	0.469	苦惱
angermanagement	anger	0.469	情緒管理
selfish	anger	0.469	自私
injury	anger	0.469	受傷
exile	anger	0.469	流亡
insanity	anger	0.469	瘋狂
offense	anger	0.469	罪行
objection	anger	0.469	異議
smother	anger	0.469	窒息
disruption	anger	0.469	中斷
intolerance	anger	0.469	不寬容
disobey	anger	0.469	違
selfishness	anger	0.469	自私
recidivism	anger	0.469	累犯
subversive	anger	0.469	顛覆性的
huff	anger	0.469	一怒之下
plunder	anger	0.469	掠奪
opposition	anger	0.469	反對
complain	anger	0.469	投訴
perpetrator	anger	0.469	肇事者
simmer	anger	0.469	煨
areyoukidding	anger	0.468	你在開玩笑嗎
mug	anger	0.467	馬克杯
agony	anger	0.465	痛苦
arrogant	anger	0.461	傲慢的
sux	anger	0.456	蘇克斯
vent	anger	0.456	發洩
elimination	anger	0.456	消除
picketing	anger	0.456	糾察隊
haughty	anger	0.456	傲慢
grated	anger	0.455	磨碎的
flagrant	anger	0.455	明目張膽
busted	anger	0.455	破獲
crabby	anger	0.455	倔
dying	anger	0.455	垂死
idiocy	anger	0.455	白痴
impermeable	anger	0.455	不透水
stubbed	anger	0.455	存根
illegality	anger	0.455	違法性
veto	anger	0.455	否決
constraint	anger	0.455	約束
mislead	anger	0.455	誤導
illicit	anger	0.455	非法的
troublesome	anger	0.455	麻煩的
clamor	anger	0.455	叫囂
bayonet	anger	0.453	刺刀
suppress	anger	0.453	壓制
intense	anger	0.453	激烈的
displeased	anger	0.453	不高興
disapproving	anger	0.453	不贊成
hysterical	anger	0.453	歇斯底里
struggle	anger	0.453	鬥爭
