English Word	Emotion	Emotion-Intensity-Score	Bosnian Word
profane	anger	0.750	profane
revolting	anger	0.750	revoltiran
aggravating	anger	0.750	otežavajuće
horror	anger	0.750	horor
despise	anger	0.750	prezirati
offend	anger	0.750	uvrijediti
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarnost
crazed	anger	0.750	lud
douchebags	anger	0.750	douchebags
growling	anger	0.750	režanje
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	vrišti
threat	anger	0.742	prijetnja
erupt	anger	0.742	erupt
horrible	anger	0.742	užasno
molestation	anger	0.742	zlostavljanje
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	nasilje
bastards	anger	0.741	kopilad
revenge	anger	0.738	osveta
menacing	anger	0.735	prijeteći
crushing	anger	0.735	drobljenje
damn	anger	0.735	prokletstvo
catastrophe	anger	0.735	katastrofa
demon	anger	0.735	demon
argue	anger	0.734	rasprava
persecute	anger	0.734	progoniti
deplore	anger	0.734	žaliti
flog	anger	0.734	bičevati
fedup	anger	0.734	Fedup
riotous	anger	0.734	bunovan
vehement	anger	0.734	vehement
revolt	anger	0.734	revolt
warfare	anger	0.734	ratovanje
thrash	anger	0.734	thrash
altercation	anger	0.729	svađa
warlike	anger	0.728	ratoborna
shitday	anger	0.727	sranje
mutiny	anger	0.727	pobuna
castrate	anger	0.727	kastrirati
sabotage	anger	0.727	sabotaža
malevolent	anger	0.721	zlonamjeran
strike	anger	0.721	štrajk
disaster	anger	0.721	katastrofa
disastrous	anger	0.720	katastrofalno
bastarding	anger	0.719	kopile
treachery	anger	0.719	izdaja
arseholes	anger	0.719	seronje
horseshit	anger	0.719	sranje
slay	anger	0.719	ubij
disdain	anger	0.719	prezir
aggravates	anger	0.719	pogoršava
brutal	anger	0.719	brutalno
scorching	anger	0.719	scorching
devil	anger	0.719	đavola
madden	anger	0.719	madden
spiteful	anger	0.719	zloban
scream	anger	0.719	vrisak
choke	anger	0.719	gušiti
vermin	anger	0.719	gamad
tumult	anger	0.719	nemir
criminal	anger	0.714	kriminalac
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarhizam
mutilation	anger	0.714	sakaćenje
denunciation	anger	0.713	denunciation
punch	anger	0.713	punch
virulence	anger	0.712	virulencija
fatal	anger	0.712	fatalan
hurting	anger	0.712	boli
crucifixion	anger	0.712	raspeće
dontlikeyou	anger	0.712	dontlikeyou
blasphemous	anger	0.712	bogohulno
holocaust	anger	0.712	holokaust
dumbasses	anger	0.712	glupane
battled	anger	0.712	borio se
deranged	anger	0.706	poremećen
irritated	anger	0.706	iritiran
atrocious	anger	0.706	grozno
evil	anger	0.706	zlo
aggravated	anger	0.703	otežano
intimidation	anger	0.703	zastrašivanje
dicks	anger	0.703	dicks
assassin	anger	0.703	assassin
scolding	anger	0.703	grditi
persecution	anger	0.703	progon
slayer	anger	0.703	ubica
kidnap	anger	0.703	kidnap
aggression	anger	0.702	agresija
armed	anger	0.700	naoružani
battle	anger	0.697	bitka
poison	anger	0.697	otrov
snarling	anger	0.697	režanje
venom	anger	0.697	otrov
disgruntled	anger	0.693	nezadovoljan
resentment	anger	0.691	ogorčenost
assailant	anger	0.691	napadač
insidious	anger	0.691	podmukao
contemptuous	anger	0.690	prezrivo
lynch	anger	0.690	linč
temper	anger	0.688	temper
terrible	anger	0.688	strašno
disparage	anger	0.688	omalovažavanje
lunatic	anger	0.688	ludak
bully	anger	0.688	bully
mad	anger	0.688	lud
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	čedomorstvo
domination	anger	0.688	dominacija
peeved	anger	0.688	ljut
imprisonment	anger	0.688	zatvor
curse	anger	0.688	prokletstvo
volatility	anger	0.687	volatilnost
eradication	anger	0.685	eradication
eradicate	anger	0.682	iskorijeniti
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	nitkov
devastate	anger	0.682	devastate
aggressively	anger	0.680	agresivno
agitation	anger	0.680	uznemirenost
dictatorship	anger	0.676	diktatura
irritates	anger	0.676	iritira
profanity	anger	0.673	vulgarnost
shove	anger	0.672	gurnuti
nasty	anger	0.672	gadno
shot	anger	0.672	pucao
cruelly	anger	0.672	okrutno
shoot	anger	0.672	pucaj
condemnation	anger	0.672	osuda
crushed	anger	0.672	zdrobljen
aggravation	anger	0.672	pogoršanje
poisonous	anger	0.672	otrovno
egregious	anger	0.672	egregious
crime	anger	0.672	kriminal
corrupting	anger	0.672	korumpirajuće
dastardly	anger	0.672	podlo
contempt	anger	0.672	prezir
harmful	anger	0.672	štetno
expletive	anger	0.672	psovka
wreak	anger	0.672	wreak
maniac	anger	0.670	manijak
cutthroat	anger	0.667	cutthroat
enemy	anger	0.667	neprijatelja
hit	anger	0.667	hit
hateeveryone	anger	0.667	hateeveryone
eruption	anger	0.667	erupcija
irritable	anger	0.667	razdražljiv
odious	anger	0.667	odious
shooting	anger	0.667	pucanje
shout	anger	0.667	vikati
aggressive	anger	0.667	agresivan
kick	anger	0.667	udarac
combat	anger	0.667	combat
fight	anger	0.667	boriti se
punished	anger	0.662	kažnjen
yell	anger	0.661	vikati
ambush	anger	0.661	zaseda
harass	anger	0.659	uznemiravati
malignant	anger	0.656	maligni
aggressor	anger	0.656	agresor
gore	anger	0.656	gore
destruction	anger	0.656	uništenje
grudge	anger	0.656	ljutnja
antichrist	anger	0.656	antihrist
incense	anger	0.656	tamjan
expel	anger	0.656	izbaciti
cranky	anger	0.653	cranky
slave	anger	0.652	rob
reprisal	anger	0.652	odmazde
growl	anger	0.652	režati
animosity	anger	0.652	animozitet
insurrection	anger	0.652	insurrection
clashing	anger	0.652	sukobljavanje
denounce	anger	0.652	denuncirati
offended	anger	0.652	uvrijeđen
spank	anger	0.652	spank
insulting	anger	0.652	uvredljivo
growls	anger	0.649	reži
executioner	anger	0.644	dželat
twat	anger	0.644	drkadžija
doomsday	anger	0.643	sudnji dan
obscenity	anger	0.641	opscenost
accused	anger	0.641	optuženi
feud	anger	0.641	feud
daemon	anger	0.641	daemon
havoc	anger	0.641	pustoš
shackle	anger	0.641	okov
inexcusable	anger	0.641	neoprostivo
indignant	anger	0.641	ogorčen
grr	anger	0.641	grr
expulsion	anger	0.641	protjerivanje
bombard	anger	0.641	bombardovati
spat	anger	0.641	pljunuti
arson	anger	0.641	paljevina
reprimand	anger	0.641	ukor
somad	anger	0.637	somad
frustrated	anger	0.636	frustriran
batter	anger	0.636	batter
kicking	anger	0.636	udaranje
anarchy	anger	0.636	anarhija
spanking	anger	0.636	spanking
glaring	anger	0.636	glaring
suicidal	anger	0.636	samoubilački
disgusting	anger	0.636	odvratno
wound	anger	0.636	rana
hanging	anger	0.636	visi
poisoned	anger	0.636	otrovan
combatant	anger	0.636	borac
wrecked	anger	0.633	razbijen
inflict	anger	0.633	nanijeti
grievous	anger	0.632	tužan
prosecute	anger	0.630	goniti
agitated	anger	0.630	uznemiren
cheat	anger	0.630	cheat
swastika	anger	0.627	svastika
injure	anger	0.625	povrijediti
indict	anger	0.625	optužnica
scourge	anger	0.625	bič
provocation	anger	0.625	provokacija
suffocation	anger	0.625	gušenje
strife	anger	0.625	svađa
raid	anger	0.625	raid
enslaved	anger	0.625	porobljen
cursing	anger	0.625	psovanje
defamatory	anger	0.625	klevetnički
harassing	anger	0.625	uznemiravanje
thundering	anger	0.625	grmi
betray	anger	0.625	izdati
arsehole	anger	0.624	seronja
theft	anger	0.621	krađa
insane	anger	0.621	insane
retaliation	anger	0.621	odmazde
irritate	anger	0.621	iritirati
deprivation	anger	0.621	deprivacija
fiend	anger	0.621	fiend
jerk	anger	0.621	kreten
convict	anger	0.621	osuđenik
cussed	anger	0.619	psovao
turmoil	anger	0.618	previranja
smack	anger	0.615	smack
retribution	anger	0.614	odmazda
rebellion	anger	0.609	pobuna
oppressor	anger	0.609	tlačitelja
gang	anger	0.609	banda
slavery	anger	0.609	ropstvo
intolerable	anger	0.609	nepodnošljivo
adverse	anger	0.609	nepovoljno
injurious	anger	0.609	povrijeđen
twats	anger	0.609	twats
collision	anger	0.609	sudara
battery	anger	0.609	baterija
bitterly	anger	0.609	gorko
antagonism	anger	0.609	antagonizam
irritability	anger	0.609	razdražljivost
disgraced	anger	0.608	osramoćen
diatribe	anger	0.606	dijatriba
asshole	anger	0.606	seronjo
blast	anger	0.606	blast
bombardment	anger	0.606	bombardovanje
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	revolucija
thug	anger	0.606	nasilnik
antagonistic	anger	0.606	antagonistički
irritating	anger	0.606	iritantno
sickening	anger	0.606	bolesno
discrimination	anger	0.606	diskriminacija
frustrate	anger	0.604	frustrirati
insult	anger	0.603	uvreda
hurtful	anger	0.603	bolno
oppression	anger	0.603	ugnjetavanje
manipulation	anger	0.603	manipulacija
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	tenzija
disgust	anger	0.602	gađenje
spite	anger	0.600	inat
intrusive	anger	0.598	nametljiv
harshness	anger	0.597	grubost
slur	anger	0.596	uvreda
tempest	anger	0.594	tempest
assail	anger	0.594	assail
bitterness	anger	0.594	gorčina
morbidity	anger	0.594	morbiditet
casualty	anger	0.594	žrtva
puncture	anger	0.594	punkcija
miserable	anger	0.594	mizeran
inferno	anger	0.594	inferno
invasion	anger	0.594	invazija
storming	anger	0.594	storming
wretch	anger	0.594	bednik
consternation	anger	0.592	konsternacija
raving	anger	0.591	buncati
forcibly	anger	0.591	prisilno
guillotine	anger	0.591	giljotina
guilty	anger	0.591	kriv
depraved	anger	0.591	izopačen
immoral	anger	0.591	nemoralno
overpowering	anger	0.591	nadmoćan
scare	anger	0.588	plašiti se
recalcitrant	anger	0.588	neposlušan
screwed	anger	0.588	sjeban
accursed	anger	0.588	prokleti
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	osvajač
jealousy	anger	0.587	ljubomora
indignation	anger	0.587	ogorčenost
vexed	anger	0.586	ozlojeđen
confront	anger	0.582	suočiti se
brute	anger	0.581	brute
throttle	anger	0.579	gas
slut	anger	0.578	drolja
coup	anger	0.578	državni udar
blaze	anger	0.578	požar
pillage	anger	0.578	pljačke
provoking	anger	0.578	provocira
damage	anger	0.578	oštećenja
criminality	anger	0.578	kriminalitet
shutup	anger	0.578	šuti
lash	anger	0.578	trepavica
conflict	anger	0.578	sukoba
contentious	anger	0.578	sporan
shutit	anger	0.578	zatvori
wreck	anger	0.578	olupina
defiant	anger	0.578	prkosno
butcher	anger	0.578	mesar
incarceration	anger	0.578	zatvaranje
revolver	anger	0.578	revolver
bickering	anger	0.578	prepirke
yousuck	anger	0.578	yousuck
cancer	anger	0.577	rak
discriminate	anger	0.576	diskriminirati
gun	anger	0.576	pištolj
frustration	anger	0.576	frustracija
gory	anger	0.576	gory
pernicious	anger	0.576	poguban
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	bogohuljenje
chaotic	anger	0.576	haotično
grope	anger	0.576	opipajte
alienation	anger	0.576	otuđenje
disturbance	anger	0.576	poremećaj
condescension	anger	0.576	snishodljivost
standoff	anger	0.576	standoff
discord	anger	0.576	nesklad
friggen	anger	0.575	friggen
sneer	anger	0.574	podrugljivo
death	anger	0.574	smrt
lunacy	anger	0.574	ludilo
scandalous	anger	0.574	skandalozno
oppressive	anger	0.574	opresivno
jab	anger	0.574	jab
cursed	anger	0.574	proklet
monstrosity	anger	0.574	monstruoznost
shit	anger	0.573	sranje
disparaging	anger	0.571	omalovažavajući
slash	anger	0.571	slash
unfair	anger	0.571	nepravedno
gallows	anger	0.570	vješala
escalate	anger	0.569	eskalirati
intolerant	anger	0.564	netolerantna
lawlessness	anger	0.563	bezakonje
beast	anger	0.562	zvijer
torpedo	anger	0.562	torpedo
malign	anger	0.562	maligni
traitor	anger	0.562	izdajica
frightful	anger	0.562	strašno
wrangling	anger	0.562	svađanje
slander	anger	0.562	kleveta
bellows	anger	0.562	mijehovi
retards	anger	0.562	retardi
grouchy	anger	0.562	mrzovoljan
derogatory	anger	0.562	pogrdno
bearish	anger	0.562	medvjedast
invade	anger	0.562	napasti
perdition	anger	0.562	propast
arghh	anger	0.562	arghh
dreadful	anger	0.562	strašno
bluddy	anger	0.562	bluddy
deceived	anger	0.562	prevaren
glare	anger	0.562	odsjaj
taunt	anger	0.562	rugati se
dissension	anger	0.561	razdor
cross	anger	0.561	krst
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	razorno
fits	anger	0.561	odgovara
jeopardize	anger	0.561	ugroziti
shatter	anger	0.561	razbiti
idiots	anger	0.561	idioti
hurt	anger	0.561	povrijediti
thief	anger	0.561	lopov
uncontrollable	anger	0.561	nekontrolisano
conflagration	anger	0.561	požar
betrayal	anger	0.561	izdaja
banshee	anger	0.561	banshee
subjugation	anger	0.559	potčinjavanje
disturbed	anger	0.559	poremećen
stomped	anger	0.557	gazio
grab	anger	0.557	grab
grievance	anger	0.556	pritužba
ticked	anger	0.556	ticked
masochism	anger	0.556	mazohizam
defiance	anger	0.552	prkos
blackmail	anger	0.550	ucjena
offensive	anger	0.549	ofanzivno
decry	anger	0.548	osuditi
frustrates	anger	0.547	frustrira
violation	anger	0.547	kršenje
confine	anger	0.547	ograničiti
misery	anger	0.547	bijeda
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparitet
punishment	anger	0.547	kazna
rebel	anger	0.547	buntovnik
preposterous	anger	0.547	apsurdno
disgraceful	anger	0.547	sramotno
ire	anger	0.547	Ire
deceive	anger	0.547	obmanuti
fustrated	anger	0.547	fustriran
sin	anger	0.547	grijeh
shrill	anger	0.547	reski
darkside	anger	0.547	tamna strana
overbearing	anger	0.547	prepotentan
firearms	anger	0.547	vatreno oružje
stolen	anger	0.546	ukraden
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	predrasude
tackle	anger	0.545	tackle
resentful	anger	0.545	ogorčen
heated	anger	0.545	grijano
callous	anger	0.545	bešćutan
conspirator	anger	0.545	konspirator
ruined	anger	0.545	upropastio
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	okršaj
menace	anger	0.545	prijetnja
annoyin	anger	0.545	dosadno
foul	anger	0.545	faul
argument	anger	0.545	argument
humiliate	anger	0.545	ponižavati
wanker	anger	0.545	wanker
adversary	anger	0.545	protivnik
sting	anger	0.544	sting
entangled	anger	0.544	upleten
grumble	anger	0.544	gunđati
robbery	anger	0.544	pljačka
outcry	anger	0.544	negodovanje
resistance	anger	0.543	otpor
irreconcilable	anger	0.543	nepomirljiv
obstructive	anger	0.542	opstruktivno
dismay	anger	0.540	užasnutost
mob	anger	0.538	mob
juststop	anger	0.537	samo stani
badness	anger	0.536	loše
ridicule	anger	0.534	ismijavanje
incendiary	anger	0.533	zapaljivo
flares	anger	0.532	baklje
twofaced	anger	0.531	dvoličan
reckless	anger	0.531	bezobziran
communism	anger	0.531	komunizam
allegation	anger	0.531	navod
prejudicial	anger	0.531	prejudicial
whip	anger	0.531	bič
unbridled	anger	0.531	neobuzdan
degeneracy	anger	0.531	degeneracija
intruder	anger	0.531	uljez
belittle	anger	0.531	omalovažavati
confinement	anger	0.531	zatvaranje
dispute	anger	0.531	spor
exacerbation	anger	0.531	egzacerbacija
uprising	anger	0.531	ustanak
unjust	anger	0.530	nepravedno
unjustifiable	anger	0.530	neopravdano
perversion	anger	0.530	perverzija
bigoted	anger	0.530	fanatičan
fiesty	anger	0.530	fiesty
offender	anger	0.530	prestupnik
dictatorial	anger	0.530	diktatorski
hassle	anger	0.530	hassle
dissonance	anger	0.530	disonance
tackled	anger	0.530	tackled
renegade	anger	0.529	renegade
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	trespass
hot	anger	0.529	vruće
prison	anger	0.529	zatvor
suicide	anger	0.521	samoubistvo
annoy	anger	0.520	nervirati
leavemealone	anger	0.517	ostavi me na miru
cretins	anger	0.516	kretini
depravity	anger	0.516	izopačenost
idiotic	anger	0.516	idiotski
dishonest	anger	0.516	nepošten
distrust	anger	0.516	nepovjerenje
broil	anger	0.516	rostilj
grrr	anger	0.516	grrr
criticize	anger	0.516	kritikovati
inimical	anger	0.516	neprijateljski
tortious	anger	0.516	deliktno
prisoner	anger	0.516	zatvorenik
treason	anger	0.516	izdaja
divorce	anger	0.516	razvod
venting	anger	0.516	ventilacija
duress	anger	0.516	prisila
disrespectful	anger	0.516	nepoštovanje
poaching	anger	0.515	krivolov
scold	anger	0.515	grditi
poachers	anger	0.515	lovokradice
pow	anger	0.515	pow
hangry	anger	0.515	gladan
argumentation	anger	0.515	argumentacija
frustrating	anger	0.515	frustrirajuće
unkind	anger	0.515	neljubazni
roar	anger	0.515	urlati
coercion	anger	0.515	prinuda
unforgiving	anger	0.515	neoprostivi
grump	anger	0.515	grump
bile	anger	0.515	žuč
unleash	anger	0.515	osloboditi
chaos	anger	0.515	haos
victimized	anger	0.515	viktimiziran
jerks	anger	0.515	kreteni
tussle	anger	0.514	tucanje
bane	anger	0.511	bane
accusation	anger	0.510	optužba
enmity	anger	0.510	neprijateljstvo
repudiation	anger	0.510	odbacivanje
banish	anger	0.509	protjerati
disfigured	anger	0.508	unakažena
storm	anger	0.507	oluja
crazy	anger	0.500	ludo
hammering	anger	0.500	čekićem
defy	anger	0.500	prkositi
antithesis	anger	0.500	antiteza
scoff	anger	0.500	rugati se
anguish	anger	0.500	tjeskoba
confined	anger	0.500	zatvoren
fear	anger	0.500	strah
bout	anger	0.500	bout
unruly	anger	0.500	neposlušan
delusional	anger	0.500	delusional
obstruct	anger	0.500	spriječiti
possessed	anger	0.500	opsjednut
injustice	anger	0.500	nepravda
fervor	anger	0.500	žar
spear	anger	0.500	koplje
derision	anger	0.500	ruganje
intractable	anger	0.500	intractable
reject	anger	0.500	odbiti
dominate	anger	0.500	dominirati
ordeal	anger	0.500	ordeal
banished	anger	0.500	prognan
rejects	anger	0.500	odbija
shun	anger	0.500	kloni se
brunt	anger	0.500	teret
derogation	anger	0.500	derogacija
frenzied	anger	0.500	pomahnitao
animus	anger	0.500	animus
suppression	anger	0.500	potiskivanje
malpractice	anger	0.500	zloupotreba
brazen	anger	0.500	drzak
foaming	anger	0.500	pjenjenje
disrupting	anger	0.500	ometajući
nobodycares	anger	0.500	nobodycares
patronising	anger	0.500	pokroviteljski
getoveryourself	anger	0.495	getoveryourself
toughness	anger	0.492	žilavost
stupidpeople	anger	0.492	glupi ljudi
madness	anger	0.491	ludilo
sinful	anger	0.491	grešna
avarice	anger	0.490	srebroljublje
oppress	anger	0.490	ugnjetavati
cutting	anger	0.485	rezanje
anathema	anger	0.485	anatema
annoyed	anger	0.485	iznervirano
dissident	anger	0.485	disident
demand	anger	0.485	potražnja
usurp	anger	0.485	uzurpirati
claw	anger	0.485	kandža
alienate	anger	0.485	otuđiti
infraction	anger	0.485	prekršaj
avenger	anger	0.485	osvetnik
revoke	anger	0.485	opozvati
smuggler	anger	0.485	krijumčar
abolish	anger	0.485	ukinuti
fricking	anger	0.485	fricking
stayaway	anger	0.485	ne prilazi
pervert	anger	0.485	pervert
disservice	anger	0.485	medvjeđu uslugu
disobedient	anger	0.485	neposlušan
incest	anger	0.485	incest
complaint	anger	0.485	pritužba
disapproved	anger	0.485	neodobreno
inhuman	anger	0.485	neljudski
mocking	anger	0.484	podrugljivo
penalty	anger	0.484	penal
renounce	anger	0.484	odreći se
restrain	anger	0.484	obuzdati
upheaval	anger	0.484	preokret
deceit	anger	0.484	prevara
obnoxious	anger	0.484	odvratno
imprisoned	anger	0.484	zatvoren
strained	anger	0.484	napregnut
blame	anger	0.484	kriviti
oust	anger	0.484	izbaciti
litigious	anger	0.484	parnični
rivalry	anger	0.484	rivalstvo
sucker	anger	0.484	sucker
opposed	anger	0.484	protiv
thresh	anger	0.484	mlatiti
disgrace	anger	0.484	sramota
suspicious	anger	0.484	sumnjivo
turbulence	anger	0.483	turbulencija
pound	anger	0.481	funta
coldness	anger	0.477	hladnoća
ungrateful	anger	0.472	nezahvalan
stoopid	anger	0.471	stoopid
battalion	anger	0.471	bataljona
feudalism	anger	0.470	feudalizam
hostage	anger	0.470	talac
annoying	anger	0.470	dosadno
dispossessed	anger	0.470	oduzeto
subversion	anger	0.470	subverzija
friction	anger	0.470	trenje
jealous	anger	0.470	ljubomoran
adversity	anger	0.470	nevolje
infidel	anger	0.470	nevjernik
gall	anger	0.470	žuč
accuser	anger	0.470	tužitelj
ram	anger	0.470	RAM
armament	anger	0.470	naoružanje
thump	anger	0.469	thump
dislike	anger	0.469	dislike
steal	anger	0.469	krasti
backoff	anger	0.469	backoff
stifled	anger	0.469	ugušen
incite	anger	0.469	podsticati
distress	anger	0.469	nevolja
angermanagement	anger	0.469	kontrola bijesa
selfish	anger	0.469	sebičan
injury	anger	0.469	povreda
exile	anger	0.469	egzil
insanity	anger	0.469	ludilo
offense	anger	0.469	prekršaj
objection	anger	0.469	prigovor
smother	anger	0.469	ugušiti
disruption	anger	0.469	poremećaj
intolerance	anger	0.469	netolerancija
disobey	anger	0.469	ne poslušati
selfishness	anger	0.469	sebičnost
recidivism	anger	0.469	recidivizam
subversive	anger	0.469	subverzivno
huff	anger	0.469	huff
plunder	anger	0.469	pljačkati
opposition	anger	0.469	opozicija
complain	anger	0.469	žaliti se
perpetrator	anger	0.469	izvršilac
simmer	anger	0.469	simmer
areyoukidding	anger	0.468	šališ se
mug	anger	0.467	šolja
agony	anger	0.465	agonija
arrogant	anger	0.461	arogantan
sux	anger	0.456	sux
vent	anger	0.456	vent
elimination	anger	0.456	eliminacija
picketing	anger	0.456	picketing
haughty	anger	0.456	ohol
grated	anger	0.455	rendani
flagrant	anger	0.455	flagrantno
