English Word	Emotion	Emotion-Intensity-Score	Shona Word
denounce	anger	0.652	shora
offended	anger	0.652	kugumburwa
spank	anger	0.652	spank
insulting	anger	0.652	vachituka
growls	anger	0.649	anogomera
executioner	anger	0.644	muurayi
twat	anger	0.644	twat
doomsday	anger	0.643	doomsday
obscenity	anger	0.641	zvinyadzi
accused	anger	0.641	mhosva
feud	anger	0.641	feud
daemon	anger	0.641	daemon
havoc	anger	0.641	nhamo
shackle	anger	0.641	shackle
inexcusable	anger	0.641	zvisina pembedzo
indignant	anger	0.641	akatsamwa
grr	anger	0.641	grr
expulsion	anger	0.641	kudzingwa
bombard	anger	0.641	bombard
spat	anger	0.641	spat
arson	anger	0.641	kupisa moto
reprimand	anger	0.641	kutsiura
somad	anger	0.637	somad
frustrated	anger	0.636	kugumbuka
batter	anger	0.636	batter
kicking	anger	0.636	kukava
anarchy	anger	0.636	nyonganyonga
spanking	anger	0.636	kurova
glaring	anger	0.636	kupenya
suicidal	anger	0.636	kuzviuraya
disgusting	anger	0.636	zvinosemesa
wound	anger	0.636	vanga
hanging	anger	0.636	kurembera
poisoned	anger	0.636	poisoned
combatant	anger	0.636	murwi
wrecked	anger	0.633	akaparara
inflict	anger	0.633	kukuvadza
grievous	anger	0.632	grievous
prosecute	anger	0.630	muchuchisi
agitated	anger	0.630	agitated
cheat	anger	0.630	cheat
swastika	anger	0.627	swastika
injure	anger	0.625	kuvadza
indict	anger	0.625	mhosva
scourge	anger	0.625	denda
provocation	anger	0.625	kudenha
suffocation	anger	0.625	kutadza kufema
strife	anger	0.625	kukakavara
raid	anger	0.625	raid
enslaved	anger	0.625	varanda
cursing	anger	0.625	kutuka
defamatory	anger	0.625	defamatory
harassing	anger	0.625	kushungurudza
thundering	anger	0.625	kutinhira
betray	anger	0.625	tengesa
arsehole	anger	0.624	hole
theft	anger	0.621	kuba
insane	anger	0.621	kupenga
retaliation	anger	0.621	kutsiva
irritate	anger	0.621	irritate
deprivation	anger	0.621	kunyimwa
fiend	anger	0.621	fiend
jerk	anger	0.621	jerk
convict	anger	0.621	musungwa
cussed	anger	0.619	kutuka
turmoil	anger	0.618	nyonganyonga
smack	anger	0.615	smack
retribution	anger	0.614	kutsiva
rebellion	anger	0.609	chimurenga
oppressor	anger	0.609	mudzvanyiriri
gang	anger	0.609	chikwata
slavery	anger	0.609	uranda
intolerable	anger	0.609	zvisingashiviriki
adverse	anger	0.609	adverse
injurious	anger	0.609	zvinokuvadza
twats	anger	0.609	twats
collision	anger	0.609	kudhumhana
battery	anger	0.609	bhatiri
bitterly	anger	0.609	zvinovava
antagonism	anger	0.609	kupikisa
irritability	anger	0.609	kushatirwa
disgraced	anger	0.608	kunyadziswa
diatribe	anger	0.606	diatribe
asshole	anger	0.606	mbichana
blast	anger	0.606	kuputika
bombardment	anger	0.606	bombardment
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	chimurenga
thug	anger	0.606	thug
antagonistic	anger	0.606	anopikisa
irritating	anger	0.606	zvinogumbura
sickening	anger	0.606	kurwara
discrimination	anger	0.606	rusarura
frustrate	anger	0.604	frustrate
insult	anger	0.603	kutukana
hurtful	anger	0.603	zvinokuvadza
oppression	anger	0.603	kudzvinyirirwa
manipulation	anger	0.603	manipulation
tiredofit	anger	0.603	ndanetaofit
bigot	anger	0.603	bigot
tension	anger	0.603	kunetsana
disgust	anger	0.602	kusemesa
spite	anger	0.600	spite
intrusive	anger	0.598	intrusive
harshness	anger	0.597	hukasha
slur	anger	0.596	slur
tempest	anger	0.594	dutu
assail	anger	0.594	assail
bitterness	anger	0.594	kuvava
morbidity	anger	0.594	chirwere
casualty	anger	0.594	casualty
puncture	anger	0.594	puncture
miserable	anger	0.594	nhamo
inferno	anger	0.594	inferno
invasion	anger	0.594	kupinda
storming	anger	0.594	dutu
wretch	anger	0.594	wretch
consternation	anger	0.592	kuvhunduka
raving	anger	0.591	raving
forcibly	anger	0.591	nechisimba
guillotine	anger	0.591	guillotine
guilty	anger	0.591	mhosva
depraved	anger	0.591	depraved
immoral	anger	0.591	unzenza
overpowering	anger	0.591	kukunda simba
scare	anger	0.588	kutya
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	screwed
accursed	anger	0.588	vakatukwa
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	invader
jealousy	anger	0.587	godo
indignation	anger	0.587	kutsamwa
vexed	anger	0.586	vexed
confront	anger	0.582	confront
brute	anger	0.581	brute
throttle	anger	0.579	throttle
slut	anger	0.578	hure
coup	anger	0.578	coup
blaze	anger	0.578	moto
pillage	anger	0.578	kupamba
provoking	anger	0.578	kudenha
damage	anger	0.578	kukuvara
criminality	anger	0.578	utsotsi
shutup	anger	0.578	nyarara
lash	anger	0.578	lash
conflict	anger	0.578	kunetsana
contentious	anger	0.578	kukakavara
shutit	anger	0.578	shutit
wreck	anger	0.578	wreck
defiant	anger	0.578	defiant
butcher	anger	0.578	bhucha
incarceration	anger	0.578	kusungwa
revolver	anger	0.578	revolver
bickering	anger	0.578	kukakavara
yousuck	anger	0.578	unobhowa
cancer	anger	0.577	kenza
discriminate	anger	0.576	rusarura
gun	anger	0.576	pfuti
frustration	anger	0.576	kushungurudzika
gory	anger	0.576	gory
pernicious	anger	0.576	zvakaipa
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	kumhura Mwari
chaotic	anger	0.576	chaotic
grope	anger	0.576	kutsvangadzira
alienation	anger	0.576	Alienation
disturbance	anger	0.576	kukanganisa
condescension	anger	0.576	kuzvideredza
standoff	anger	0.576	standoff
discord	anger	0.576	kusawirirana
friggen	anger	0.575	friggen
sneer	anger	0.574	kuseka
death	anger	0.574	rufu
lunacy	anger	0.574	lunacy
scandalous	anger	0.574	zvinonyadzisa
oppressive	anger	0.574	anodzvinyirira
jab	anger	0.574	jab
cursed	anger	0.574	vakatukwa
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	shit
disparaging	anger	0.571	kuzvidza
slash	anger	0.571	slash
unfair	anger	0.571	unfair
gallows	anger	0.570	gallow
escalate	anger	0.569	escalate
intolerant	anger	0.564	vasingashiviriri
lawlessness	anger	0.563	kusateerera mutemo
beast	anger	0.562	mhuka
torpedo	anger	0.562	torpedo
malign	anger	0.562	zvakaipa
traitor	anger	0.562	mutengesi
frightful	anger	0.562	zvinotyisa
wrangling	anger	0.562	kukakavara
slander	anger	0.562	kuchera
bellows	anger	0.562	mavhu
retards	anger	0.562	retards
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	derogatory
bearish	anger	0.562	bearish
invade	anger	0.562	invade
perdition	anger	0.562	kuparadzwa
arghh	anger	0.562	arghh
dreadful	anger	0.562	zvinotyisa
bluddy	anger	0.562	bluddy
deceived	anger	0.562	kunyengerwa
glare	anger	0.562	kupenya
taunt	anger	0.562	taunt
dissension	anger	0.561	kukakavara
cross	anger	0.561	cross
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	kuparadza
fits	anger	0.561	zvakakodzera
jeopardize	anger	0.561	ngozi
shatter	anger	0.561	pwanya
idiots	anger	0.561	idiots
hurt	anger	0.561	kurwadziwa
thief	anger	0.561	mbavha
uncontrollable	anger	0.561	asingadzoreki
conflagration	anger	0.561	conflagration
betrayal	anger	0.561	kutengesa
banshee	anger	0.561	banshee
subjugation	anger	0.559	kuzviisa pasi
disturbed	anger	0.559	kuvhiringidzwa
stomped	anger	0.557	akatsika
grab	anger	0.557	grab
grievance	anger	0.556	chichemo
ticked	anger	0.556	ticked
masochism	anger	0.556	masochism
defiance	anger	0.552	defiance
blackmail	anger	0.550	blackmail
offensive	anger	0.549	zvinogumbura
decry	anger	0.548	decry
frustrates	anger	0.547	zvinogumbura
violation	anger	0.547	kukanganisa
confine	anger	0.547	confine
misery	anger	0.547	nhamo
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	kusiyana
punishment	anger	0.547	kurangwa
rebel	anger	0.547	mupanduki
preposterous	anger	0.547	preposterous
disgraceful	anger	0.547	zvinonyadzisa
ire	anger	0.547	ire
deceive	anger	0.547	nyengedza
fustrated	anger	0.547	fustrated
sin	anger	0.547	chivi
shrill	anger	0.547	shrill
darkside	anger	0.547	divi rakasviba
overbearing	anger	0.547	kunyanyisa
firearms	anger	0.547	pfuti
stolen	anger	0.546	kubiwa
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	rusaruro
tackle	anger	0.545	tackle
resentful	anger	0.545	kugumbuka
heated	anger	0.545	kupisa
callous	anger	0.545	kusava nehanya
conspirator	anger	0.545	murongi
ruined	anger	0.545	kuparadzwa
antagonist	anger	0.545	anopikisa
skirmish	anger	0.545	skirmish
menace	anger	0.545	njodzi
annoyin	anger	0.545	annoyin
foul	anger	0.545	tsvina
argument	anger	0.545	nharo
humiliate	anger	0.545	humiliate
wanker	anger	0.545	wanker
adversary	anger	0.545	muvengi
sting	anger	0.544	sting
entangled	anger	0.544	entangled
grumble	anger	0.544	grumble
robbery	anger	0.544	umbavha
outcry	anger	0.544	kuchema
resistance	anger	0.543	resistance
irreconcilable	anger	0.543	isingawirirane
obstructive	anger	0.542	obstructive
dismay	anger	0.540	kushungurudzika
mob	anger	0.538	mhomho
juststop	anger	0.537	just stop
badness	anger	0.536	kuipa
ridicule	anger	0.534	kuseka
incendiary	anger	0.533	incendiary
flares	anger	0.532	flares
twofaced	anger	0.531	zviso zviviri
reckless	anger	0.531	vasina hanya
communism	anger	0.531	communism
allegation	anger	0.531	mhosva
prejudicial	anger	0.531	rusaruro
whip	anger	0.531	chikwapuro
unbridled	anger	0.531	vasina kudzora
degeneracy	anger	0.531	degeneracy
intruder	anger	0.531	mupandiri
belittle	anger	0.531	kudzikisira
confinement	anger	0.531	kusungwa
dispute	anger	0.531	nharo
exacerbation	anger	0.531	kuwedzera
uprising	anger	0.531	kumukirana
unjust	anger	0.530	kusarurama
unjustifiable	anger	0.530	unjustfiable
perversion	anger	0.530	kutsveyamisa
bigoted	anger	0.530	bigoted
fiesty	anger	0.530	fiesty
offender	anger	0.530	mutadzi
dictatorial	anger	0.530	udzvinyiriri
hassle	anger	0.530	kunetseka
dissonance	anger	0.530	dissonance
tackled	anger	0.530	tackled
renegade	anger	0.529	renegade
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	kudarika
hot	anger	0.529	inopisa
prison	anger	0.529	mujeri
suicide	anger	0.521	kuzviuraya
annoy	anger	0.520	annoy
leavemealone	anger	0.517	ndisiye ndega
cretins	anger	0.516	cretins
depravity	anger	0.516	uori
idiotic	anger	0.516	idiotic
dishonest	anger	0.516	kusatendeseka
distrust	anger	0.516	kusavimba
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	shora
inimical	anger	0.516	inimical
tortious	anger	0.516	tortious
prisoner	anger	0.516	musungwa
treason	anger	0.516	kupandukira
divorce	anger	0.516	kurambana
venting	anger	0.516	venting
duress	anger	0.516	kumanikidza
disrespectful	anger	0.516	kusaremekedza
poaching	anger	0.515	poaching
scold	anger	0.515	tsiura
poachers	anger	0.515	vavhimi
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	kukakavara
frustrating	anger	0.515	kushungurudza
unkind	anger	0.515	vasina mutsa
roar	anger	0.515	roar
coercion	anger	0.515	kumanikidza
unforgiving	anger	0.515	kusaregerera
grump	anger	0.515	grump
bile	anger	0.515	bile
unleash	anger	0.515	unleash
chaos	anger	0.515	chaos
victimized	anger	0.515	victimized
jerks	anger	0.515	jerks
tussle	anger	0.514	tussle
bane	anger	0.511	bane
accusation	anger	0.510	mhosva
enmity	anger	0.510	ruvengo
repudiation	anger	0.510	repudiation
banish	anger	0.509	dzinga
disfigured	anger	0.508	disfigured
storm	anger	0.507	dutu
crazy	anger	0.500	kupenga
hammering	anger	0.500	kusando
defy	anger	0.500	defy
antithesis	anger	0.500	antithesis
scoff	anger	0.500	kuseka
anguish	anger	0.500	kurwadziwa
confined	anger	0.500	kuvharirwa
fear	anger	0.500	kutya
bout	anger	0.500	bout
unruly	anger	0.500	vasingadzoreki
delusional	anger	0.500	delusional
obstruct	anger	0.500	obstruct
possessed	anger	0.500	ane mweya
injustice	anger	0.500	kusaruramisira
fervor	anger	0.500	fervor
spear	anger	0.500	pfumo
derision	anger	0.500	kunyomba
intractable	anger	0.500	intractable
reject	anger	0.500	ramba
dominate	anger	0.500	tonga
ordeal	anger	0.500	dambudziko
banished	anger	0.500	kudzingwa
rejects	anger	0.500	anoramba
shun	anger	0.500	shun
brunt	anger	0.500	brunt
derogation	anger	0.500	derogation
frenzied	anger	0.500	frenzied
animus	anger	0.500	animus
suppression	anger	0.500	kudzvinyirira
malpractice	anger	0.500	kukanganisa
brazen	anger	0.500	brazen
foaming	anger	0.500	kupupa furo
disrupting	anger	0.500	kukanganisa
nobodycares	anger	0.500	hapana anebasa nazvo
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	zviwane
toughness	anger	0.492	kuoma
stupidpeople	anger	0.492	stupidpeople
madness	anger	0.491	kupenga
sinful	anger	0.491	mutadzi
avarice	anger	0.490	avarice
oppress	anger	0.490	dzvanyirira
cutting	anger	0.485	kucheka
anathema	anger	0.485	anathema
annoyed	anger	0.485	kusvotwa
dissident	anger	0.485	dissident
demand	anger	0.485	kuda
usurp	anger	0.485	kubvuta
claw	anger	0.485	claw
alienate	anger	0.485	alienate
infraction	anger	0.485	kukanganisa
avenger	anger	0.485	mutsivi
revoke	anger	0.485	revoke
smuggler	anger	0.485	smuggler
abolish	anger	0.485	bvisa
fricking	anger	0.485	fricking
stayaway	anger	0.485	stayaway
pervert	anger	0.485	kutsveyamisa
disservice	anger	0.485	kusaremekedza
disobedient	anger	0.485	vasingateereri
incest	anger	0.485	makunakuna
complaint	anger	0.485	chichemo
disapproved	anger	0.485	kusatenderwa
inhuman	anger	0.485	vasina munhu
mocking	anger	0.484	vachinyomba
penalty	anger	0.484	chirango
renounce	anger	0.484	ramba
restrain	anger	0.484	dzora
upheaval	anger	0.484	mhirizhonga
deceit	anger	0.484	kunyengera
obnoxious	anger	0.484	zvinosemesa
imprisoned	anger	0.484	kusungwa
strained	anger	0.484	strained
blame	anger	0.484	mhosva
oust	anger	0.484	oust
litigious	anger	0.484	mhosva
rivalry	anger	0.484	kukwikwidzana
sucker	anger	0.484	sucker
opposed	anger	0.484	kupikiswa
thresh	anger	0.484	zviyo
disgrace	anger	0.484	kunyadziswa
suspicious	anger	0.484	kunyumwa
turbulence	anger	0.483	nyonganyonga
pound	anger	0.481	pondo
coldness	anger	0.477	kutonhora
ungrateful	anger	0.472	vasingaongi
stoopid	anger	0.471	stoopid
battalion	anger	0.471	battalion
feudalism	anger	0.470	feudalism
hostage	anger	0.470	nhapwa
annoying	anger	0.470	zvinogumbura
dispossessed	anger	0.470	kutorerwa pfuma
subversion	anger	0.470	kupandukira
friction	anger	0.470	kukakavara
jealous	anger	0.470	godo
adversity	anger	0.470	nhamo
infidel	anger	0.470	infidel
gall	anger	0.470	nduru
accuser	anger	0.470	mupomeri
ram	anger	0.470	ram
armament	anger	0.470	zvombo
thump	anger	0.469	thump
dislike	anger	0.469	kusada
steal	anger	0.469	kuba
backoff	anger	0.469	backoff
stifled	anger	0.469	stifled
incite	anger	0.469	incite
distress	anger	0.469	kushungurudzika
angermanagement	anger	0.469	angermanagement
selfish	anger	0.469	udyire
injury	anger	0.469	kukuvara
exile	anger	0.469	exile
insanity	anger	0.469	kupenga
offense	anger	0.469	mhosva
objection	anger	0.469	kuramba
smother	anger	0.469	smother
disruption	anger	0.469	kukanganisa
intolerance	anger	0.469	kusashivirira
disobey	anger	0.469	kusateerera
selfishness	anger	0.469	udyire
