English Word	Emotion	Emotion-Intensity-Score	Javanese Word
dumbbitch	anger	0.841	bodho
detest	anger	0.838	jijik
hostilities	anger	0.837	memungsuhan
prick	anger	0.835	tusuk
rampage	anger	0.833	ngamuk
horrid	anger	0.833	ngeri
cruelty	anger	0.833	kekejeman
torture	anger	0.833	nyiksa
rabid	anger	0.833	rabid
despicable	anger	0.828	nistha
tyrannical	anger	0.828	tirani
demonic	anger	0.828	setan
satanic	anger	0.828	setan
hate	anger	0.828	sengit
ragemode	anger	0.828	ragemode
hating	anger	0.828	sengit
ruinous	anger	0.825	ngrusak
condemn	anger	0.825	ngukum
riots	anger	0.824	kerusuhan
demolish	anger	0.824	ngrusak
angry	anger	0.824	nesu
extermination	anger	0.824	pemusnahan
dickhead	anger	0.824	bajingan
livid	anger	0.821	kangen
madman	anger	0.820	wong edan
vindictive	anger	0.819	dendam
terrorist	anger	0.818	teroris
threaten	anger	0.818	ngancam
venomous	anger	0.818	berbisa
hateyou	anger	0.818	sengit karo kowe
ferocity	anger	0.818	keganasan
effyou	anger	0.818	kowe
abhor	anger	0.816	nistha
carnage	anger	0.814	pembantaian
savage	anger	0.814	galak
atrocity	anger	0.814	kekejeman
fucksake	anger	0.812	jancok
abuse	anger	0.812	penyalahgunaan
fierce	anger	0.812	galak
destroyer	anger	0.812	pangrusak
angrytweet	anger	0.812	ngamuk tweet
barbaric	anger	0.812	barbar
vendetta	anger	0.812	mbales dendam
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ngamuk
tyrant	anger	0.812	tiran
berserk	anger	0.812	ngamuk
fuming	anger	0.812	ngamuk
anger	anger	0.811	nesu
pieceofshit	anger	0.810	sepele
punched	anger	0.803	ditabuh
punching	anger	0.803	pukulan
slam	anger	0.803	mbanting
homicide	anger	0.803	rajapati
bitch	anger	0.803	asu
fights	anger	0.803	gelut
ruthless	anger	0.797	kejem
villainous	anger	0.797	nakal
destructive	anger	0.797	ngrusak
slap	anger	0.791	tamparan
riot	anger	0.788	kerusuhan
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	ngukum
slaughterhouse	anger	0.788	rumah jagal
yelling	anger	0.788	bengok-bengok
diabolical	anger	0.788	setan
destroyed	anger	0.788	dirusak
ragetweet	anger	0.788	ngamuk
retaliatory	anger	0.788	mbales
manslaughter	anger	0.783	rajapati
clash	anger	0.783	gelut
quarrel	anger	0.781	padu
bloody	anger	0.781	getihen
hellish	anger	0.781	naraka
sinister	anger	0.781	serem
loath	anger	0.781	kangen
detonation	anger	0.781	detonasi
accusing	anger	0.779	nuduh
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	cidra
madder	anger	0.773	madder
horrific	anger	0.773	nggegirisi
revulsion	anger	0.773	revulsi
retaliate	anger	0.773	mbales
scorn	anger	0.769	ngece
bomb	anger	0.766	bom
deplorable	anger	0.766	sedhih
devastation	anger	0.765	karusakan
anarchist	anger	0.765	anarkis
firestorm	anger	0.765	badai geni
resent	anger	0.765	nesu
contemptible	anger	0.764	nistha
shittest	anger	0.760	paling bajingan
rant	anger	0.758	ngoceh
cruel	anger	0.758	kejem
deadly	anger	0.758	agawe
smash	anger	0.758	mbanting
soangry	anger	0.758	kangen
outburst	anger	0.757	njeblug
snarl	anger	0.754	nggegirisi
profane	anger	0.750	ora sopan
revolting	anger	0.750	mbrontak
aggravating	anger	0.750	nglarani
horror	anger	0.750	medeni
despise	anger	0.750	ngremehake
offend	anger	0.750	nyinggung
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgar
crazed	anger	0.750	edan
douchebags	anger	0.750	douchebags
growling	anger	0.750	nggereng
dontmesswithme	anger	0.750	ojo lali karo aku
screaming	anger	0.742	bengok-bengok
threat	anger	0.742	ancaman
erupt	anger	0.742	njeblug
horrible	anger	0.742	nggegirisi
molestation	anger	0.742	nganiaya
fuckedoff	anger	0.742	jebule
violence	anger	0.742	panganiaya
bastards	anger	0.741	bajingan
revenge	anger	0.738	mbales dendam
menacing	anger	0.735	ngancam
crushing	anger	0.735	ngremuk
damn	anger	0.735	sial
catastrophe	anger	0.735	musibah
demon	anger	0.735	setan
argue	anger	0.734	mbantah
persecute	anger	0.734	nganiaya
deplore	anger	0.734	nyesel
flog	anger	0.734	cemeng
fedup	anger	0.734	fedup
riotous	anger	0.734	rame
vehement	anger	0.734	sengit
revolt	anger	0.734	kraman
warfare	anger	0.734	perang
thrash	anger	0.734	thrash
altercation	anger	0.729	pasulayan
warlike	anger	0.728	kaya perang
shitday	anger	0.727	kesel
mutiny	anger	0.727	pemberontakan
castrate	anger	0.727	kastrat
sabotage	anger	0.727	sabotase
malevolent	anger	0.721	jahat
strike	anger	0.721	mogok
disaster	anger	0.721	bilai
disastrous	anger	0.720	bilai
bastarding	anger	0.719	bajingan
treachery	anger	0.719	khianat
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	jaranan
slay	anger	0.719	mateni
disdain	anger	0.719	ngremehake
aggravates	anger	0.719	aggravates
brutal	anger	0.719	kasar
scorching	anger	0.719	ngobong
devil	anger	0.719	setan
madden	anger	0.719	madden
spiteful	anger	0.719	nakal
scream	anger	0.719	bengok-bengok
choke	anger	0.719	keselak
vermin	anger	0.719	hama
tumult	anger	0.719	gegeran
criminal	anger	0.714	durjana
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkisme
mutilation	anger	0.714	mutilasi
denunciation	anger	0.713	denunciation
punch	anger	0.713	pukulan
virulence	anger	0.712	virulensi
fatal	anger	0.712	fatal
hurting	anger	0.712	nglarani
crucifixion	anger	0.712	panyaliban
dontlikeyou	anger	0.712	ora seneng kowe
blasphemous	anger	0.712	nyenyamah
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	perang
deranged	anger	0.706	bingung
irritated	anger	0.706	jengkel
atrocious	anger	0.706	kejem
evil	anger	0.706	ala
aggravated	anger	0.703	aggravated
intimidation	anger	0.703	intimidasi
dicks	anger	0.703	kontol
assassin	anger	0.703	tukang mateni
scolding	anger	0.703	nyenyamah
persecution	anger	0.703	buron
slayer	anger	0.703	tukang mateni
kidnap	anger	0.703	nyulik
aggression	anger	0.702	agresi
armed	anger	0.700	bersenjata
battle	anger	0.697	perang
poison	anger	0.697	racun
snarling	anger	0.697	nggegirisi
venom	anger	0.697	racun
disgruntled	anger	0.693	ora marem
resentment	anger	0.691	murka
assailant	anger	0.691	tukang nyerang
insidious	anger	0.691	insidious
contemptuous	anger	0.690	nistha
lynch	anger	0.690	lynch
temper	anger	0.688	watek
terrible	anger	0.688	elek
disparage	anger	0.688	ngremehake
lunatic	anger	0.688	wong edan
bully	anger	0.688	bullying
mad	anger	0.688	edan
makesmemad	anger	0.688	nggawememad
infanticide	anger	0.688	pembunuhan bayi
domination	anger	0.688	dominasi
peeved	anger	0.688	ngamuk
imprisonment	anger	0.688	pakunjaran
curse	anger	0.688	laknat
volatility	anger	0.687	volatilitas
eradication	anger	0.685	pemberantasan
eradicate	anger	0.682	mbasmi
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	bajingan
devastate	anger	0.682	ngrusak
aggressively	anger	0.680	kanthi agresif
agitation	anger	0.680	agitasi
dictatorship	anger	0.676	kediktatoran
irritates	anger	0.676	jengkel
profanity	anger	0.673	tembung ora sopan
shove	anger	0.672	nyurung
nasty	anger	0.672	nakal
shot	anger	0.672	dijupuk
cruelly	anger	0.672	kejem
shoot	anger	0.672	tembak
condemnation	anger	0.672	paukuman
crushed	anger	0.672	remuk
aggravation	anger	0.672	aggravation
poisonous	anger	0.672	beracun
egregious	anger	0.672	ngeri
crime	anger	0.672	angkara
corrupting	anger	0.672	ngrusak
dastardly	anger	0.672	kejem
contempt	anger	0.672	nistha
harmful	anger	0.672	mbebayani
expletive	anger	0.672	expletive
wreak	anger	0.672	ngrusak
maniac	anger	0.670	maniak
cutthroat	anger	0.667	tenggorokan
enemy	anger	0.667	mungsuh
hit	anger	0.667	kenek
hateeveryone	anger	0.667	sengit marang sapa wae
eruption	anger	0.667	jeblugan
irritable	anger	0.667	gampang nesu
odious	anger	0.667	nakal
shooting	anger	0.667	shooting
shout	anger	0.667	bengok-bengok
aggressive	anger	0.667	agresif
kick	anger	0.667	nyepak
combat	anger	0.667	perang
fight	anger	0.667	perang
punished	anger	0.662	diukum
yell	anger	0.661	bengok-bengok
ambush	anger	0.661	ambush
harass	anger	0.659	ngganggu
malignant	anger	0.656	ganas
aggressor	anger	0.656	agresor
gore	anger	0.656	gore
destruction	anger	0.656	karusakan
grudge	anger	0.656	dendam
antichrist	anger	0.656	antikristus
incense	anger	0.656	dupa
expel	anger	0.656	ngusir
cranky	anger	0.653	ngamuk
slave	anger	0.652	abdi
reprisal	anger	0.652	mbales
growl	anger	0.652	nggereng
animosity	anger	0.652	permusuhan
insurrection	anger	0.652	pambrontakan
clashing	anger	0.652	tawuran
denounce	anger	0.652	ngukum
offended	anger	0.652	gelo
spank	anger	0.652	ngepel
insulting	anger	0.652	ngina
growls	anger	0.649	nggereng
executioner	anger	0.644	algojo
twat	anger	0.644	twat
doomsday	anger	0.643	kiamat
obscenity	anger	0.641	saru
accused	anger	0.641	didakwa
feud	anger	0.641	pasulayan
daemon	anger	0.641	daemon
havoc	anger	0.641	kacilakan
shackle	anger	0.641	belenggu
inexcusable	anger	0.641	ora bisa disalahake
indignant	anger	0.641	nesu
grr	anger	0.641	grr
expulsion	anger	0.641	ngusir
bombard	anger	0.641	ngebom
spat	anger	0.641	ngidoni
arson	anger	0.641	pembakaran
reprimand	anger	0.641	teguran
somad	anger	0.637	somad
frustrated	anger	0.636	frustasi
batter	anger	0.636	adonan
kicking	anger	0.636	nyepak
anarchy	anger	0.636	anarki
spanking	anger	0.636	pukulan
glaring	anger	0.636	mencolot
suicidal	anger	0.636	lampus
disgusting	anger	0.636	njijiki
wound	anger	0.636	tatu
hanging	anger	0.636	gantung
poisoned	anger	0.636	keracunan
combatant	anger	0.636	pejuang
wrecked	anger	0.633	rusak
inflict	anger	0.633	nimbulake
grievous	anger	0.632	nglarani
prosecute	anger	0.630	nuntut
agitated	anger	0.630	agitated
cheat	anger	0.630	ngapusi
swastika	anger	0.627	swastika
injure	anger	0.625	cilaka
indict	anger	0.625	dakwa
scourge	anger	0.625	momotan
provocation	anger	0.625	provokasi
suffocation	anger	0.625	sesak
strife	anger	0.625	pasulayan
raid	anger	0.625	gropyokan
enslaved	anger	0.625	diperbudak
cursing	anger	0.625	ngipat-ipati
defamatory	anger	0.625	fitnah
harassing	anger	0.625	ngganggu
thundering	anger	0.625	gludhug
betray	anger	0.625	ngiyanati
arsehole	anger	0.624	arsehole
theft	anger	0.621	nyolong
insane	anger	0.621	edan
retaliation	anger	0.621	mbales
irritate	anger	0.621	ngganggu
deprivation	anger	0.621	kekurangan
fiend	anger	0.621	setan
jerk	anger	0.621	bodho
convict	anger	0.621	ngukum
cussed	anger	0.619	ditakoni
turmoil	anger	0.618	gegeran
smack	anger	0.615	smack
retribution	anger	0.614	retribusi
rebellion	anger	0.609	kraman
oppressor	anger	0.609	wong nindhes
gang	anger	0.609	geng
slavery	anger	0.609	perbudakan
intolerable	anger	0.609	ora bisa ditoleransi
adverse	anger	0.609	ala
injurious	anger	0.609	cilaka
twats	anger	0.609	twats
collision	anger	0.609	tabrakan
battery	anger	0.609	baterei
bitterly	anger	0.609	kanthi pait
antagonism	anger	0.609	antagonis
irritability	anger	0.609	irritability
disgraced	anger	0.608	nistha
diatribe	anger	0.606	diatribe
asshole	anger	0.606	bajingan
blast	anger	0.606	jeblugan
bombardment	anger	0.606	pamboman
irks	anger	0.606	irks
ranting	anger	0.606	ngoceh
revolution	anger	0.606	revolusi
thug	anger	0.606	preman
antagonistic	anger	0.606	antagonis
irritating	anger	0.606	ngganggu
sickening	anger	0.606	nglarani
discrimination	anger	0.606	diskriminasi
frustrate	anger	0.604	gawe frustasi
insult	anger	0.603	ngina
hurtful	anger	0.603	nglarani
oppression	anger	0.603	penindasan
manipulation	anger	0.603	manipulasi
tiredofit	anger	0.603	kesel
bigot	anger	0.603	bajingan
tension	anger	0.603	tension
disgust	anger	0.602	jijik
spite	anger	0.600	sedhih
intrusive	anger	0.598	ngganggu
harshness	anger	0.597	kasarasan
slur	anger	0.596	slur
tempest	anger	0.594	prahara
assail	anger	0.594	nyerang
bitterness	anger	0.594	pait
morbidity	anger	0.594	morbiditas
casualty	anger	0.594	korban
puncture	anger	0.594	tusukan
miserable	anger	0.594	sengsara
inferno	anger	0.594	inferno
invasion	anger	0.594	invasi
storming	anger	0.594	badai
wretch	anger	0.594	ala
consternation	anger	0.592	kebingungan
raving	anger	0.591	ngoceh
forcibly	anger	0.591	kanthi meksa
guillotine	anger	0.591	guillotine
guilty	anger	0.591	guilty
depraved	anger	0.591	nasar
immoral	anger	0.591	ora sopan
overpowering	anger	0.591	overpowering
scare	anger	0.588	medeni
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	ngaco
accursed	anger	0.588	dilaknat
soannoyed	anger	0.588	jengkel
invader	anger	0.588	penjajah
jealousy	anger	0.587	meri
indignation	anger	0.587	nesu
vexed	anger	0.586	jengkel
confront	anger	0.582	ngadhepi
brute	anger	0.581	kasar
throttle	anger	0.579	throttle
slut	anger	0.578	pelacur
coup	anger	0.578	kudeta
blaze	anger	0.578	murub
pillage	anger	0.578	rampasan
provoking	anger	0.578	provokasi
damage	anger	0.578	karusakan
criminality	anger	0.578	kriminalitas
shutup	anger	0.578	menengo
lash	anger	0.578	lash
conflict	anger	0.578	konflik
contentious	anger	0.578	padudon
shutit	anger	0.578	sitik
wreck	anger	0.578	kacilakan
defiant	anger	0.578	nantang
butcher	anger	0.578	tukang jagal
incarceration	anger	0.578	pakunjaran
revolver	anger	0.578	revolver
bickering	anger	0.578	tawuran
yousuck	anger	0.578	nyesel
cancer	anger	0.577	kanker
discriminate	anger	0.576	mbedakake
gun	anger	0.576	bedhil
frustration	anger	0.576	frustasi
gory	anger	0.576	gory
pernicious	anger	0.576	ngrusak
dontmess	anger	0.576	ora urus
blasphemy	anger	0.576	pitenah
chaotic	anger	0.576	semrawut
grope	anger	0.576	grop
alienation	anger	0.576	alienasi
disturbance	anger	0.576	gangguan
condescension	anger	0.576	ngasorake
standoff	anger	0.576	standoff
discord	anger	0.576	pasulayan
friggen	anger	0.575	friggen
sneer	anger	0.574	ngece
death	anger	0.574	pati
lunacy	anger	0.574	edan
scandalous	anger	0.574	skandal
oppressive	anger	0.574	nindhes
jab	anger	0.574	jab
cursed	anger	0.574	dikutuk
monstrosity	anger	0.574	monster
shit	anger	0.573	telek
disparaging	anger	0.571	ngremehake
slash	anger	0.571	miring
unfair	anger	0.571	ora adil
gallows	anger	0.570	gantungan
escalate	anger	0.569	mundhak
intolerant	anger	0.564	ora toleran
lawlessness	anger	0.563	nglanggar hukum
beast	anger	0.562	kewan
torpedo	anger	0.562	torpedo
malign	anger	0.562	ganas
traitor	anger	0.562	pengkhianat
frightful	anger	0.562	ngeri
wrangling	anger	0.562	wrangling
slander	anger	0.562	fitnah
bellows	anger	0.562	bellow
retards	anger	0.562	retards
grouchy	anger	0.562	grusa-grusu
derogatory	anger	0.562	ngremehake
bearish	anger	0.562	bearish
invade	anger	0.562	nyerbu
perdition	anger	0.562	karusakan
arghh	anger	0.562	arghh
dreadful	anger	0.562	ngeri
bluddy	anger	0.562	bluddy
deceived	anger	0.562	diapusi
glare	anger	0.562	sorotan
taunt	anger	0.562	ngece
dissension	anger	0.561	pasulayan
cross	anger	0.561	nyabrang
rave	anger	0.561	ngelem
grating	anger	0.561	grating
devastating	anger	0.561	ngrusak
fits	anger	0.561	mathuk
jeopardize	anger	0.561	mbebayani
shatter	anger	0.561	pecah
idiots	anger	0.561	wong bodho
hurt	anger	0.561	lara
thief	anger	0.561	maling
uncontrollable	anger	0.561	ora bisa dikendhaleni
conflagration	anger	0.561	kobongan
betrayal	anger	0.561	ngiyanati
banshee	anger	0.561	banshee
subjugation	anger	0.559	subjugasi
disturbed	anger	0.559	kaganggu
stomped	anger	0.557	diidak-idak
grab	anger	0.557	nyekel
grievance	anger	0.556	grievance
ticked	anger	0.556	dicenthang
masochism	anger	0.556	masokisme
defiance	anger	0.552	nglawan
blackmail	anger	0.550	meres
offensive	anger	0.549	nyerang
decry	anger	0.548	dekri
frustrates	anger	0.547	gawe frustasi
violation	anger	0.547	nglanggar
confine	anger	0.547	ngurung
misery	anger	0.547	kasangsaran
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparitas
punishment	anger	0.547	ukuman
rebel	anger	0.547	mbalela
preposterous	anger	0.547	ora sopan
disgraceful	anger	0.547	nistha
ire	anger	0.547	nesu
deceive	anger	0.547	ngapusi
fustrated	anger	0.547	ngamuk
sin	anger	0.547	dosa
shrill	anger	0.547	nyaring
darkside	anger	0.547	sisih peteng
overbearing	anger	0.547	overbearing
firearms	anger	0.547	senjata api
stolen	anger	0.546	dicolong
hadenough	anger	0.546	cukup
prejudice	anger	0.545	prasangka
tackle	anger	0.545	nyegat
resentful	anger	0.545	nesu
heated	anger	0.545	digawe panas
callous	anger	0.545	kalem
conspirator	anger	0.545	konspirator
ruined	anger	0.545	rusak
antagonist	anger	0.545	antagonis
skirmish	anger	0.545	tawuran
menace	anger	0.545	ancaman
annoyin	anger	0.545	ngganggu
foul	anger	0.545	gawe salah
argument	anger	0.545	argumentasi
humiliate	anger	0.545	ngasorake
wanker	anger	0.545	wanker
adversary	anger	0.545	mungsuh
sting	anger	0.544	nyengat
entangled	anger	0.544	kesangkut
grumble	anger	0.544	nggrundel
robbery	anger	0.544	rampog
outcry	anger	0.544	nguwuh-uwuh
resistance	anger	0.543	resistance
irreconcilable	anger	0.543	ora bisa rukun
obstructive	anger	0.542	obstruktif
dismay	anger	0.540	kuciwane
mob	anger	0.538	wong akeh
juststop	anger	0.537	mandeg wae
badness	anger	0.536	ala
ridicule	anger	0.534	ngece
incendiary	anger	0.533	pembakar
flares	anger	0.532	suar-suar
twofaced	anger	0.531	loro pasuryan
reckless	anger	0.531	sembrono
communism	anger	0.531	komunisme
allegation	anger	0.531	songko
prejudicial	anger	0.531	prejudicial
whip	anger	0.531	pecut
unbridled	anger	0.531	ora kendhat
degeneracy	anger	0.531	degenerasi
intruder	anger	0.531	penyusup
belittle	anger	0.531	ngremehake
confinement	anger	0.531	kurungan
dispute	anger	0.531	regejegan
exacerbation	anger	0.531	exacerbation
uprising	anger	0.531	pambrontakan
unjust	anger	0.530	ora adil
unjustifiable	anger	0.530	ora adil
perversion	anger	0.530	keblinger
bigoted	anger	0.530	fanatik
fiesty	anger	0.530	kesel
offender	anger	0.530	nglanggar
dictatorial	anger	0.530	diktator
hassle	anger	0.530	repot
dissonance	anger	0.530	disonansi
tackled	anger	0.530	ditanggulangi
renegade	anger	0.529	murtad
cantstandit	anger	0.529	ora tahan
trespass	anger	0.529	nglanggar
hot	anger	0.529	panas
prison	anger	0.529	pakunjaran
suicide	anger	0.521	lampus
annoy	anger	0.520	ngganggu
leavemealone	anger	0.517	ninggalake mealone
cretins	anger	0.516	cretins
depravity	anger	0.516	kadurjanan
idiotic	anger	0.516	bodho
dishonest	anger	0.516	ora jujur
distrust	anger	0.516	ora percaya
broil	anger	0.516	panggang
grrr	anger	0.516	grrr
criticize	anger	0.516	ngritik
inimical	anger	0.516	nistha
tortious	anger	0.516	nyiksa
prisoner	anger	0.516	tahanan
treason	anger	0.516	khianat
divorce	anger	0.516	pegatan
venting	anger	0.516	ventilasi
duress	anger	0.516	meksa
disrespectful	anger	0.516	ora ngajeni
poaching	anger	0.515	perburuan
scold	anger	0.515	ngamuk
poachers	anger	0.515	pemburu
pow	anger	0.515	pow
hangry	anger	0.515	kangen
argumentation	anger	0.515	argumentasi
frustrating	anger	0.515	gawe mumet
unkind	anger	0.515	ora sopan
roar	anger	0.515	gumuruh
coercion	anger	0.515	paksaan
unforgiving	anger	0.515	ora ngapura
grump	anger	0.515	grusa-grusu
bile	anger	0.515	empedu
unleash	anger	0.515	unleash
chaos	anger	0.515	kekacauan
victimized	anger	0.515	korban
jerks	anger	0.515	wong jowo
tussle	anger	0.514	rebutan
bane	anger	0.511	bane
accusation	anger	0.510	tuduh
enmity	anger	0.510	memungsuhan
repudiation	anger	0.510	penolakan
banish	anger	0.509	ngusir
disfigured	anger	0.508	cacad
storm	anger	0.507	prahara
crazy	anger	0.500	edan
hammering	anger	0.500	palu
defy	anger	0.500	nglawan
antithesis	anger	0.500	antitesis
scoff	anger	0.500	ngece
anguish	anger	0.500	kasangsaran
confined	anger	0.500	kakurung
fear	anger	0.500	wedi
bout	anger	0.500	bab
unruly	anger	0.500	ora diatur
delusional	anger	0.500	delusional
obstruct	anger	0.500	ngalang-alangi
possessed	anger	0.500	diduweni
injustice	anger	0.500	ketidakadilan
fervor	anger	0.500	semangat
spear	anger	0.500	tumbak
derision	anger	0.500	ngece
intractable	anger	0.500	ora bisa ditindakake
reject	anger	0.500	nolak
dominate	anger	0.500	nguwasani
ordeal	anger	0.500	cobaan
banished	anger	0.500	dibuwang
rejects	anger	0.500	nolak
shun	anger	0.500	ngedohi
brunt	anger	0.500	kabotan
derogation	anger	0.500	derogation
frenzied	anger	0.500	gegeran
animus	anger	0.500	animus
suppression	anger	0.500	dipatèni
malpractice	anger	0.500	malpraktek
brazen	anger	0.500	kurang ajar
foaming	anger	0.500	berbusa
disrupting	anger	0.500	ngganggu
nobodycares	anger	0.500	ora ono sing peduli
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	ngalih dhewe
toughness	anger	0.492	kateguhan
stupidpeople	anger	0.492	wong bodho
madness	anger	0.491	edan
sinful	anger	0.491	dosa
avarice	anger	0.490	keserakahan
oppress	anger	0.490	nindhes
cutting	anger	0.485	nglereni
anathema	anger	0.485	kutukan
annoyed	anger	0.485	jengkel
dissident	anger	0.485	mbantah
demand	anger	0.485	panjaluk
usurp	anger	0.485	rebut
claw	anger	0.485	cakar
alienate	anger	0.485	ngasingake
infraction	anger	0.485	nglanggar
avenger	anger	0.485	pembales
revoke	anger	0.485	njabut
smuggler	anger	0.485	penyelundup
abolish	anger	0.485	ngilangi
fricking	anger	0.485	fricking
stayaway	anger	0.485	adoh
pervert	anger	0.485	nyimpang
disservice	anger	0.485	ngrusak
disobedient	anger	0.485	ora manut
incest	anger	0.485	incest
complaint	anger	0.485	keluhan
disapproved	anger	0.485	ora sarujuk
inhuman	anger	0.485	ora manungsa
mocking	anger	0.484	moyoki
penalty	anger	0.484	paukuman
renounce	anger	0.484	nilar
restrain	anger	0.484	ngempet
upheaval	anger	0.484	gegeran
deceit	anger	0.484	ngapusi
obnoxious	anger	0.484	ngganggu
imprisoned	anger	0.484	dikunjara
strained	anger	0.484	tegang
blame	anger	0.484	nyalahke
oust	anger	0.484	ngusir
litigious	anger	0.484	litigious
rivalry	anger	0.484	saingan
sucker	anger	0.484	nyedhot
opposed	anger	0.484	nglawan
thresh	anger	0.484	thresh
disgrace	anger	0.484	nistha
suspicious	anger	0.484	curiga
turbulence	anger	0.483	kerusuhan
pound	anger	0.481	pon
coldness	anger	0.477	kadhemen
ungrateful	anger	0.472	ora matur nuwun
stoopid	anger	0.471	manthuk
battalion	anger	0.471	batalyon
feudalism	anger	0.470	feodalisme
hostage	anger	0.470	sandera
annoying	anger	0.470	ngganggu
dispossessed	anger	0.470	dibuwang
subversion	anger	0.470	subversion
friction	anger	0.470	gesekan
jealous	anger	0.470	cemburu
adversity	anger	0.470	kasangsaran
infidel	anger	0.470	kafir
gall	anger	0.470	empedu
accuser	anger	0.470	panuduh
ram	anger	0.470	Ram
armament	anger	0.470	persenjataan
thump	anger	0.469	tumpeng
dislike	anger	0.469	ora seneng
steal	anger	0.469	nyolong
backoff	anger	0.469	Mundur
stifled	anger	0.469	stifled
incite	anger	0.469	nuwuhake
distress	anger	0.469	kasusahan
angermanagement	anger	0.469	angermanagement
selfish	anger	0.469	egois
injury	anger	0.469	tatu
exile	anger	0.469	pambuwangan
insanity	anger	0.469	edan
offense	anger	0.469	nglanggar
objection	anger	0.469	bantahan
smother	anger	0.469	ngempet
disruption	anger	0.469	gangguan
intolerance	anger	0.469	intoleransi
disobey	anger	0.469	ora manut
selfishness	anger	0.469	egois
recidivism	anger	0.469	residivisme
subversive	anger	0.469	subversif
huff	anger	0.469	huff
plunder	anger	0.469	rampog
opposition	anger	0.469	oposisi
complain	anger	0.469	sambat
perpetrator	anger	0.469	pelaku
simmer	anger	0.469	nggodhok
areyoukidding	anger	0.468	are youukidding
mug	anger	0.467	mug
agony	anger	0.465	kasangsaran
arrogant	anger	0.461	angkuh
sux	anger	0.456	suks
vent	anger	0.456	ventilasi
elimination	anger	0.456	eliminasi
picketing	anger	0.456	piket
haughty	anger	0.456	angkuh
grated	anger	0.455	grated
