English Word	Emotion	Emotion-Intensity-Score	Hausa Word
cruelly	anger	0.672	da zalunci
shoot	anger	0.672	harba
condemnation	anger	0.672	hukunci
crushed	anger	0.672	murkushe
aggravation	anger	0.672	kara tsananta
poisonous	anger	0.672	guba
egregious	anger	0.672	m
crime	anger	0.672	laifi
corrupting	anger	0.672	lalata
dastardly	anger	0.672	ban tsoro
contempt	anger	0.672	raini
harmful	anger	0.672	cutarwa
expletive	anger	0.672	m
wreak	anger	0.672	lalata
maniac	anger	0.670	maniac
cutthroat	anger	0.667	yanke
enemy	anger	0.667	abokan gaba
hit	anger	0.667	buga
hateeveryone	anger	0.667	ƙiyayya da kowa
eruption	anger	0.667	fashewa
irritable	anger	0.667	m
odious	anger	0.667	m
shooting	anger	0.667	harbi
shout	anger	0.667	ihu
aggressive	anger	0.667	m
kick	anger	0.667	harba
combat	anger	0.667	fada
fight	anger	0.667	fada
punished	anger	0.662	azabtarwa
yell	anger	0.661	yi ihu
ambush	anger	0.661	kwanto
harass	anger	0.659	hargitsi
malignant	anger	0.656	m
aggressor	anger	0.656	mai zalunci
gore	anger	0.656	gori
destruction	anger	0.656	halaka
grudge	anger	0.656	bacin rai
antichrist	anger	0.656	maƙiyin Kristi
incense	anger	0.656	turare
expel	anger	0.656	fitar
cranky	anger	0.653	m
slave	anger	0.652	bawa
reprisal	anger	0.652	ramuwar gayya
growl	anger	0.652	yi girma
animosity	anger	0.652	gaba
insurrection	anger	0.652	tawaye
clashing	anger	0.652	karo
denounce	anger	0.652	zargi
offended	anger	0.652	laifi
spank	anger	0.652	dunƙule
insulting	anger	0.652	zagi
growls	anger	0.649	kuka
executioner	anger	0.644	mai zartarwa
twat	anger	0.644	wata
doomsday	anger	0.643	kiyama
obscenity	anger	0.641	batsa
accused	anger	0.641	zargi
feud	anger	0.641	husuma
daemon	anger	0.641	daemon
havoc	anger	0.641	barna
shackle	anger	0.641	dauri
inexcusable	anger	0.641	m
indignant	anger	0.641	bacin rai
grr	anger	0.641	grr
expulsion	anger	0.641	kora
bombard	anger	0.641	bombard
spat	anger	0.641	tofa
arson	anger	0.641	konewa
reprimand	anger	0.641	tsawatarwa
somad	anger	0.637	bauta
frustrated	anger	0.636	takaici
batter	anger	0.636	batar
kicking	anger	0.636	harbawa
anarchy	anger	0.636	rashin zaman lafiya
spanking	anger	0.636	duka
glaring	anger	0.636	kyalli
suicidal	anger	0.636	mai kashe kansa
disgusting	anger	0.636	abin banƙyama
wound	anger	0.636	rauni
hanging	anger	0.636	rataye
poisoned	anger	0.636	guba
combatant	anger	0.636	m
wrecked	anger	0.633	lalace
inflict	anger	0.633	yi
grievous	anger	0.632	m
prosecute	anger	0.630	hukunta
agitated	anger	0.630	tada hankali
cheat	anger	0.630	yaudara
swastika	anger	0.627	swastika
injure	anger	0.625	raunata
indict	anger	0.625	tuhuma
scourge	anger	0.625	annoba
provocation	anger	0.625	tsokana
suffocation	anger	0.625	shakewa
strife	anger	0.625	jayayya
raid	anger	0.625	kai hari
enslaved	anger	0.625	bauta
cursing	anger	0.625	zagi
defamatory	anger	0.625	bata suna
harassing	anger	0.625	hargitsi
thundering	anger	0.625	tsawa
betray	anger	0.625	cin amana
arsehole	anger	0.624	rijiyoyin ruwa
theft	anger	0.621	sata
insane	anger	0.621	hauka
retaliation	anger	0.621	ramuwar gayya
irritate	anger	0.621	haushi
deprivation	anger	0.621	rashi
fiend	anger	0.621	fidda
jerk	anger	0.621	zagi
convict	anger	0.621	mai laifi
cussed	anger	0.619	tsine
turmoil	anger	0.618	hargitsi
smack	anger	0.615	bugu
retribution	anger	0.614	azaba
rebellion	anger	0.609	tawaye
oppressor	anger	0.609	azzalumi
gang	anger	0.609	ƙungiya
slavery	anger	0.609	bauta
intolerable	anger	0.609	m
adverse	anger	0.609	m
injurious	anger	0.609	m
twats	anger	0.609	wato
collision	anger	0.609	karo
battery	anger	0.609	baturi
bitterly	anger	0.609	daci
antagonism	anger	0.609	adawa
irritability	anger	0.609	bacin rai
disgraced	anger	0.608	a kunyace
diatribe	anger	0.606	ditribe
asshole	anger	0.606	dan iska
blast	anger	0.606	fashewa
bombardment	anger	0.606	tashin bama-bamai
irks	anger	0.606	irks
ranting	anger	0.606	rantsewa
revolution	anger	0.606	juyin juya hali
thug	anger	0.606	dan daba
antagonistic	anger	0.606	adawa
irritating	anger	0.606	mai ban haushi
sickening	anger	0.606	rashin lafiya
discrimination	anger	0.606	nuna bambanci
frustrate	anger	0.604	takaici
insult	anger	0.603	zagi
hurtful	anger	0.603	m
oppression	anger	0.603	zalunci
manipulation	anger	0.603	magudi
tiredofit	anger	0.603	gajiya
bigot	anger	0.603	babba
tension	anger	0.603	tashin hankali
disgust	anger	0.602	kyama
spite	anger	0.600	duk da
intrusive	anger	0.598	m
harshness	anger	0.597	tsanani
slur	anger	0.596	slur
tempest	anger	0.594	hadari
assail	anger	0.594	kai hari
bitterness	anger	0.594	haushi
morbidity	anger	0.594	rashin lafiya
casualty	anger	0.594	asarar rayuka
puncture	anger	0.594	huda
miserable	anger	0.594	bakin ciki
inferno	anger	0.594	zafi
invasion	anger	0.594	mamayewa
storming	anger	0.594	tashin hankali
wretch	anger	0.594	tirjiya
consternation	anger	0.592	mamaki
raving	anger	0.591	ragi
forcibly	anger	0.591	tilas
guillotine	anger	0.591	guillotine
guilty	anger	0.591	mai laifi
depraved	anger	0.591	lalatacce
immoral	anger	0.591	m
overpowering	anger	0.591	rinjaye
scare	anger	0.588	tsoro
recalcitrant	anger	0.588	m
screwed	anger	0.588	dunƙule
accursed	anger	0.588	la'ananne
soannoyed	anger	0.588	a fusace
invader	anger	0.588	mamaya
jealousy	anger	0.587	kishi
indignation	anger	0.587	fushi
vexed	anger	0.586	haushi
confront	anger	0.582	fuskantar
brute	anger	0.581	rashin hankali
throttle	anger	0.579	maƙura
slut	anger	0.578	zalla
coup	anger	0.578	juyin mulki
blaze	anger	0.578	wuta
pillage	anger	0.578	fashi
provoking	anger	0.578	tsokana
damage	anger	0.578	lalacewa
criminality	anger	0.578	laifi
shutup	anger	0.578	shiru
lash	anger	0.578	lallashi
conflict	anger	0.578	rikici
contentious	anger	0.578	m
shutit	anger	0.578	rufe
wreck	anger	0.578	rugujewa
defiant	anger	0.578	m
butcher	anger	0.578	mahauci
incarceration	anger	0.578	ɗaurin kurkuku
revolver	anger	0.578	revolver
bickering	anger	0.578	husuma
yousuck	anger	0.578	ka tsotse
cancer	anger	0.577	ciwon daji
discriminate	anger	0.576	nuna bambanci
gun	anger	0.576	gun
frustration	anger	0.576	takaici
gory	anger	0.576	gori
pernicious	anger	0.576	m
dontmess	anger	0.576	dontmes
blasphemy	anger	0.576	sabo
chaotic	anger	0.576	m
grope	anger	0.576	gunaguni
alienation	anger	0.576	ware
disturbance	anger	0.576	hargitsi
condescension	anger	0.576	tawali'u
standoff	anger	0.576	tsayawa
discord	anger	0.576	sabani
friggen	anger	0.575	friggen
sneer	anger	0.574	ba'a
death	anger	0.574	mutuwa
lunacy	anger	0.574	hauka
scandalous	anger	0.574	abin kunya
oppressive	anger	0.574	zalunci
jab	anger	0.574	jab
cursed	anger	0.574	la'ananne
monstrosity	anger	0.574	bala'i
shit	anger	0.573	shirme
disparaging	anger	0.571	wulakantacce
slash	anger	0.571	yanke
unfair	anger	0.571	rashin adalci
gallows	anger	0.570	gallows
escalate	anger	0.569	kara girma
intolerant	anger	0.564	m
lawlessness	anger	0.563	rashin bin doka
beast	anger	0.562	dabba
torpedo	anger	0.562	torpedo
malign	anger	0.562	m
traitor	anger	0.562	maci amana
frightful	anger	0.562	mai ban tsoro
wrangling	anger	0.562	rigima
slander	anger	0.562	batanci
bellows	anger	0.562	kararrawa
retards	anger	0.562	jinkirtawa
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	cin mutunci
bearish	anger	0.562	bakin ciki
invade	anger	0.562	mamayewa
perdition	anger	0.562	halaka
arghh	anger	0.562	argh
dreadful	anger	0.562	m
bluddy	anger	0.562	m
deceived	anger	0.562	yaudara
glare	anger	0.562	kyalli
taunt	anger	0.562	zagi
dissension	anger	0.561	sabani
cross	anger	0.561	giciye
rave	anger	0.561	zagi
grating	anger	0.561	grating
devastating	anger	0.561	m
fits	anger	0.561	dace
jeopardize	anger	0.561	yi hadari
shatter	anger	0.561	farfasa
idiots	anger	0.561	wawaye
hurt	anger	0.561	ciwo
thief	anger	0.561	barawo
uncontrollable	anger	0.561	wanda ba a iya sarrafawa
conflagration	anger	0.561	tashin hankali
betrayal	anger	0.561	cin amana
banshee	anger	0.561	banshi
subjugation	anger	0.559	sarauta
disturbed	anger	0.559	damu
stomped	anger	0.557	tattake
grab	anger	0.557	kama
grievance	anger	0.556	korafi
ticked	anger	0.556	kaskanta
masochism	anger	0.556	masochism
defiance	anger	0.552	rashin amincewa
blackmail	anger	0.550	baƙar fata
offensive	anger	0.549	m
decry	anger	0.548	yanke hukunci
frustrates	anger	0.547	takaici
violation	anger	0.547	cin zarafi
confine	anger	0.547	tsare
misery	anger	0.547	wahala
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	sabani
punishment	anger	0.547	hukunci
rebel	anger	0.547	tawaye
preposterous	anger	0.547	m
disgraceful	anger	0.547	m
ire	anger	0.547	ire
deceive	anger	0.547	yaudara
fustrated	anger	0.547	fustrated
sin	anger	0.547	zunubi
shrill	anger	0.547	girgiza
darkside	anger	0.547	duhu
overbearing	anger	0.547	wuce gona da iri
firearms	anger	0.547	bindigogi
stolen	anger	0.546	sata
hadenough	anger	0.546	haddi
prejudice	anger	0.545	son zuciya
tackle	anger	0.545	magance
resentful	anger	0.545	m
heated	anger	0.545	mai zafi
callous	anger	0.545	m
conspirator	anger	0.545	maƙarƙashiya
ruined	anger	0.545	lalace
antagonist	anger	0.545	mai adawa
skirmish	anger	0.545	fada
menace	anger	0.545	barazana
annoyin	anger	0.545	annurin
foul	anger	0.545	zagi
argument	anger	0.545	hujja
humiliate	anger	0.545	wulakantacce
wanker	anger	0.545	wanker
adversary	anger	0.545	abokin gaba
sting	anger	0.544	hargitsi
entangled	anger	0.544	hade
grumble	anger	0.544	gunaguni
robbery	anger	0.544	fashi
outcry	anger	0.544	kuka
resistance	anger	0.543	juriya
irreconcilable	anger	0.543	m
obstructive	anger	0.542	cikas
dismay	anger	0.540	damuwa
mob	anger	0.538	jama'a
juststop	anger	0.537	tsaya kawai
badness	anger	0.536	mugunta
ridicule	anger	0.534	ba'a
incendiary	anger	0.533	m
flares	anger	0.532	flares
twofaced	anger	0.531	fuska biyu
reckless	anger	0.531	m
communism	anger	0.531	kwaminisanci
allegation	anger	0.531	zargi
prejudicial	anger	0.531	son zuciya
whip	anger	0.531	bulala
unbridled	anger	0.531	mara nauyi
degeneracy	anger	0.531	lalata
intruder	anger	0.531	mai kutse
belittle	anger	0.531	kadan
confinement	anger	0.531	tsare
dispute	anger	0.531	jayayya
exacerbation	anger	0.531	ƙara tsananta
uprising	anger	0.531	tashin hankali
unjust	anger	0.530	rashin adalci
unjustifiable	anger	0.530	rashin hujja
perversion	anger	0.530	karkatarwa
bigoted	anger	0.530	girman kai
fiesty	anger	0.530	m
offender	anger	0.530	mai laifi
dictatorial	anger	0.530	mulkin kama-karya
hassle	anger	0.530	wahala
dissonance	anger	0.530	dissonance
tackled	anger	0.530	magance
renegade	anger	0.529	koma baya
cantstandit	anger	0.529	m
trespass	anger	0.529	cin zarafi
hot	anger	0.529	zafi
prison	anger	0.529	kurkuku
suicide	anger	0.521	kashe kansa
annoy	anger	0.520	haushi
leavemealone	anger	0.517	Ku bar ni
cretins	anger	0.516	cretins
depravity	anger	0.516	lalata
idiotic	anger	0.516	wawa
dishonest	anger	0.516	rashin gaskiya
distrust	anger	0.516	rashin yarda
broil	anger	0.516	broil
grrr	anger	0.516	grr
criticize	anger	0.516	suka
inimical	anger	0.516	m
tortious	anger	0.516	m
prisoner	anger	0.516	fursuna
treason	anger	0.516	cin amanar kasa
divorce	anger	0.516	saki
venting	anger	0.516	iska
duress	anger	0.516	tilas
disrespectful	anger	0.516	rashin mutunci
poaching	anger	0.515	farauta
scold	anger	0.515	tsawa
poachers	anger	0.515	mafarauta
pow	anger	0.515	powu
hangry	anger	0.515	rataye
argumentation	anger	0.515	jayayya
frustrating	anger	0.515	mai takaici
unkind	anger	0.515	rashin alheri
roar	anger	0.515	ruri
coercion	anger	0.515	tilastawa
unforgiving	anger	0.515	m
grump	anger	0.515	gunaguni
bile	anger	0.515	bile
unleash	anger	0.515	saki
chaos	anger	0.515	hargitsi
victimized	anger	0.515	wanda aka azabtar
jerks	anger	0.515	zagi
tussle	anger	0.514	tusa
bane	anger	0.511	ban
accusation	anger	0.510	zargi
enmity	anger	0.510	ƙiyayya
repudiation	anger	0.510	kin amincewa
banish	anger	0.509	kore
disfigured	anger	0.508	ya lalace
storm	anger	0.507	hadari
crazy	anger	0.500	mahaukaci
hammering	anger	0.500	guduma
defy	anger	0.500	sabawa
antithesis	anger	0.500	antithesis
scoff	anger	0.500	ba'a
anguish	anger	0.500	bacin rai
confined	anger	0.500	tsare
fear	anger	0.500	tsoro
bout	anger	0.500	fada
unruly	anger	0.500	rashin da'a
delusional	anger	0.500	na yaudara
obstruct	anger	0.500	cikas
possessed	anger	0.500	mallaka
injustice	anger	0.500	zalunci
fervor	anger	0.500	zafin rai
spear	anger	0.500	mashi
derision	anger	0.500	ba'a
intractable	anger	0.500	m
reject	anger	0.500	ƙi
dominate	anger	0.500	mamaye
ordeal	anger	0.500	wahala
banished	anger	0.500	kore
rejects	anger	0.500	ya ƙi
shun	anger	0.500	guje
brunt	anger	0.500	brunt
derogation	anger	0.500	ragewa
frenzied	anger	0.500	cike da damuwa
animus	anger	0.500	animus
suppression	anger	0.500	danniya
malpractice	anger	0.500	rashin aiki
brazen	anger	0.500	m
foaming	anger	0.500	kumfa
disrupting	anger	0.500	rushewa
nobodycares	anger	0.500	babu wanda ya damu
patronising	anger	0.500	majiɓinci
getoveryourself	anger	0.495	kwace kan ka
toughness	anger	0.492	tauri
stupidpeople	anger	0.492	wawaye
madness	anger	0.491	hauka
sinful	anger	0.491	mai zunubi
avarice	anger	0.490	rashin kunya
oppress	anger	0.490	zalunci
cutting	anger	0.485	yankan
anathema	anger	0.485	rashin lafiya
annoyed	anger	0.485	a fusace
dissident	anger	0.485	sabani
demand	anger	0.485	bukata
usurp	anger	0.485	cin riba
claw	anger	0.485	kaso
alienate	anger	0.485	nisantar da kai
infraction	anger	0.485	cin zarafi
avenger	anger	0.485	mai daukar fansa
revoke	anger	0.485	soke
smuggler	anger	0.485	dan fasa kwauri
abolish	anger	0.485	soke
fricking	anger	0.485	firgita
stayaway	anger	0.485	zama
pervert	anger	0.485	karkatarwa
disservice	anger	0.485	rashin hidima
disobedient	anger	0.485	m
incest	anger	0.485	lalata
complaint	anger	0.485	korafi
disapproved	anger	0.485	rashin yarda
inhuman	anger	0.485	rashin mutuntaka
mocking	anger	0.484	ba'a
penalty	anger	0.484	hukunci
renounce	anger	0.484	watsi
restrain	anger	0.484	kamewa
upheaval	anger	0.484	tashin hankali
deceit	anger	0.484	yaudara
obnoxious	anger	0.484	m
imprisoned	anger	0.484	daure
strained	anger	0.484	m
blame	anger	0.484	zargi
oust	anger	0.484	fitar
litigious	anger	0.484	m
rivalry	anger	0.484	hamayya
sucker	anger	0.484	tsotsa
opposed	anger	0.484	adawa
thresh	anger	0.484	sussuka
disgrace	anger	0.484	abin kunya
suspicious	anger	0.484	m
turbulence	anger	0.483	tashin hankali
pound	anger	0.481	fam
coldness	anger	0.477	sanyi
ungrateful	anger	0.472	rashin godiya
stoopid	anger	0.471	m
battalion	anger	0.471	bataliya
feudalism	anger	0.470	feudalism
hostage	anger	0.470	garkuwa
annoying	anger	0.470	m
dispossessed	anger	0.470	kwace
subversion	anger	0.470	rushewa
friction	anger	0.470	gogayya
jealous	anger	0.470	kishi
adversity	anger	0.470	wahala
infidel	anger	0.470	kafiri
gall	anger	0.470	zafi
accuser	anger	0.470	mai zargi
ram	anger	0.470	rago
armament	anger	0.470	makamai
thump	anger	0.469	bugu
dislike	anger	0.469	ƙi
steal	anger	0.469	sata
backoff	anger	0.469	baya
stifled	anger	0.469	takura
incite	anger	0.469	zuga
distress	anger	0.469	wahala
angermanagement	anger	0.469	sarrafa fushi
selfish	anger	0.469	son kai
injury	anger	0.469	rauni
exile	anger	0.469	gudun hijira
insanity	anger	0.469	hauka
offense	anger	0.469	laifi
objection	anger	0.469	adawa
smother	anger	0.469	bugu
disruption	anger	0.469	rushewa
intolerance	anger	0.469	rashin haƙuri
disobey	anger	0.469	rashin biyayya
selfishness	anger	0.469	son kai
recidivism	anger	0.469	sake komawa
subversive	anger	0.469	m
huff	anger	0.469	huff
plunder	anger	0.469	ganima
opposition	anger	0.469	adawa
complain	anger	0.469	korafi
perpetrator	anger	0.469	mai laifi
simmer	anger	0.469	suturta
areyoukidding	anger	0.468	kuna wasa
mug	anger	0.467	mug
agony	anger	0.465	azaba
arrogant	anger	0.461	girman kai
sux	anger	0.456	sux
vent	anger	0.456	hushi
elimination	anger	0.456	kawarwa
picketing	anger	0.456	picketing
haughty	anger	0.456	girman kai
grated	anger	0.455	grated
flagrant	anger	0.455	m
busted	anger	0.455	bugu
crabby	anger	0.455	mahaukaci
dying	anger	0.455	mutuwa
idiocy	anger	0.455	rashin hankali
impermeable	anger	0.455	wanda ba zai iya jurewa ba
stubbed	anger	0.455	m
illegality	anger	0.455	haramun
veto	anger	0.455	veto
constraint	anger	0.455	takura
mislead	anger	0.455	bata
illicit	anger	0.455	haram
troublesome	anger	0.455	mai wahala
clamor	anger	0.455	kirari
